Camelina_sativa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_010416294.1	766	AT3G04580.1	AT3G04580.1	orthologue	GO:0051740;GO:0000155;GO:0004673;GO:0010105;GO:0004674;GO:0038199;GO:0005515;GO:0005783;GO:0005524;GO:0005789;GO:0046872;GO:0007165;GO:0004672;GO:0009723;GO:0000160	Protein EIN4 (AtEIN4) (EC 2.7.11.-) (Protein ETHYLENE INSENSITIVE 4)
XP_010416297.2	491	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
XP_010416298.1	278	AT1G74430.1	AT1G74430.1	orthologue	GO:0003700;GO:0005634;GO:0000976;GO:0051707;GO:0003677	At1g74430 (MYB transcription factor) (Myb domain protein 95) (Putative MYB family transcription factor; 31729-33438) (Putative transcription factor);Myb domain protein 95
XP_010416299.1	369	AT2G20100.3	AT2G20100.3	orthologue	GO:0003700;GO:0006357;GO:0000978;GO:0046983;GO:0006355;GO:0005515;GO:0005634;GO:0000981;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH133 (Basic helix-loop-helix protein 133) (AtbHLH133) (bHLH 133) (bHLH transcription factor bHLH133)
XP_010416300.1	210	AT1G74440.1	AT1G74440.1	orthologue	GO:0102672;GO:0046521;GO:0009507;GO:0005783;GO:0030149;GO:0016020	ER membrane protein, putative (DUF962)
XP_010416301.1	401	AT1G74450.1	AT1G74450.1	orthologue	GO:0080001;GO:0005634;GO:0040008;GO:0009555;GO:0005515;GO:0005829;GO:0016020	Protein ROH1D
XP_010416302.1	366	AT1G74460.1	AT1G74460.1	orthologue	GO:0008150;GO:0005576;GO:0016788;GO:0016042	GDSL esterase/lipase At1g74460 (EC 3.1.1.-) (Extracellular lipase At1g74460)
XP_010416303.1	468	AT1G74470.1	AT1G74470.1	orthologue	GO:0009507;GO:0045550;GO:0009535;GO:0005515;GO:0005737;GO:0010189;GO:0015995;GO:0009534;GO:0009941;GO:0071949;GO:0102067;GO:0005739;GO:0015979;GO:0031969;GO:0016628	Geranylgeranyl diphosphate reductase, chloroplastic (EC 1.3.1.83) (Geranylgeranyl reductase)
XP_010416305.1	393	AT1G74490.1	AT1G74490.1	orthologue	GO:0003674;GO:0016310;GO:0005634;GO:0004674;GO:0005524;GO:0004672;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_010416306.1	111					
XP_010416307.1	93	AT1G74500.1	AT1G74500.1	orthologue	GO:0006355;GO:0046983;GO:0000976;GO:0040008;GO:0010086;GO:0005634;GO:0003700;GO:0009742;GO:0005737;GO:0005515;GO:0009740;GO:0048364	Transcription factor PRE3 (Basic helix-loop-helix protein 135) (AtbHLH135) (bHLH 135) (Protein ACTIVATION-TAGGED BRI1 SUPPRESSOR 1) (ATBS1) (Protein PACLOBUTRAZOL RESISTANCE 3) (Protein TARGET OF MOOPTEROS 7) (Transcription factor EN 67) (bHLH transcription factor bHLH135)
XP_010416308.1	443	AT1G74510.1	AT1G74510.1	orthologue	GO:0005634;GO:0003674;GO:0005515	F-box/kelch-repeat protein At1g74510
XP_010416309.1	175	AT1G74520.1	AT1G74520.1	orthologue	GO:0042538;GO:0009414;GO:0009737;GO:0003674;GO:0009409;GO:0005634;GO:0016020	HVA22-like protein a (AtHVA22a)
XP_010416310.1	316	AT1G74530.3	AT1G74530.3	orthologue	GO:0008150;GO:0003674;GO:0009507;GO:0005739;GO:0016020	At1g74530 (Transmembrane protein);Transmembrane protein
XP_010416312.1	497	AT1G74540.1	AT1G74540.1	orthologue	GO:0008216;GO:0072551;GO:0080088;GO:0072532;GO:0072552;GO:0072549;GO:0005506;GO:0072550;GO:0072547;GO:0072548;GO:0020037;GO:0005739;GO:0016020;GO:0016705;GO:0004497	Cytochrome P450 98A8 (EC 1.14.-.-) (p-coumarate 3-hydroxylase)
XP_010416313.1	232	AT1G74590.1	AT1G74590.1	orthologue	GO:0005737;GO:0009407;GO:0004364;GO:0006749;GO:0005829	Glutathione S-transferase U10 (AtGSTU10) (EC 2.5.1.18) (GST class-tau member 10)
XP_010416314.1	258	AT1G74560.3	AT1G74560.3	orthologue	GO:0042393;GO:0005634;GO:0005737;GO:0000785;GO:0003682;GO:0016444;GO:0010311;GO:0000724;GO:0051301;GO:0005515;GO:0006334;GO:0030154	NAP1-related protein 1 (Nucleosome/chromatin assembly factor group A6) (Protein SET homolog 1)
XP_010416315.1	491	AT1G74550.1	AT1G74550.1	orthologue	GO:0005506;GO:0072548;GO:0020037;GO:0009507;GO:0072547;GO:0072549;GO:0008216;GO:0016020;GO:0004497;GO:0016705	Cytochrome P450 98A9 (EC 1.14.-.-) (p-coumarate 3-hydroxylase)
XP_010416316.1	893	AT1G74600.1	AT1G74600.1	orthologue	GO:0005739;GO:0080156;GO:0043231;GO:0009451;GO:0009507;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At1g74600, chloroplastic
XP_010416317.1	182	AT2G20080.1	AT2G20080.1	orthologue	GO:0045892;GO:0005634;GO:0003700;GO:0009507;GO:0005515	Protein SPEAR1 (SPL-like, EAR-containing protein 1) (TCP interactor containing EAR motif protein 2);TIE2
XP_010416319.1	187	AT5G23130.1	AT5G23130.1	other	GO:0005515;GO:0005634	Peptidoglycan-binding LysM domain-containing protein
XP_010416321.1	328	AT1G74650.1	AT1G74650.1	orthologue	GO:0009733;GO:0005634;GO:0003700;GO:0005737;GO:0003677	At1g74650 (Myb domain protein 31) (Putative MYB family transcription factor; 97813-99093);Myb domain protein 31
XP_010416323.1	101	AT1G74660.1	AT1G74660.1	orthologue	GO:0005634;GO:0006355;GO:0005515;GO:0003677;GO:0042803;GO:0045892;GO:0007275;GO:0009733;GO:0009640;GO:0000976;GO:0009741;GO:0009737;GO:0009735;GO:0003700;GO:0009739;GO:0005737;GO:0048509;GO:0008270;GO:0043392;GO:0050793	Mini zinc finger 1;Mini zinc finger protein 1 (AtMIF1)
XP_010416324.1	101	AT1G74670.1	AT1G74670.1	orthologue	GO:0009505;GO:0009740;GO:0009831;GO:0009749;GO:0003674;GO:0009744;GO:0009750;GO:0005576	Gibberellin-regulated protein 6 (GAST1 protein homolog 6)
XP_010416325.1	280	AT1G74700.1	AT1G74700.1	orthologue	GO:0042781;GO:0042780;GO:0005634;GO:0008033;GO:0005737;GO:0046872	tRNase Z TRZ1 (EC 3.1.26.11) (Nuclear ribonuclease Z) (Nuclear RNase Z) (Short tRNase Z 1) (Zinc phosphodiesterase NUZ) (tRNA 3 endonuclease) (tRNase ZS1) (AthTRZS1)
XP_010416326.1	566	AT1G74710.2	AT1G74710.2	orthologue	GO:0042372;GO:0060866;GO:0050832;GO:0009536;GO:0050829;GO:0009627;GO:0009617;GO:0008909;GO:0009507;GO:0009409;GO:0042742;GO:0009697;GO:0031348;GO:0010118;GO:0009058	Isochorismate synthase 1, chloroplastic (AtIcs1) (IcsI) (EC 5.4.4.2) (Enhanced disease susceptibility 16) (Eds16) (Isochorismate mutase 1) (Salicylic acid induction deficient 2) (Sid2) (menF-like protein 1)
XP_010416327.1	205	AT2G47840.1	AT2G47840.1	orthologue	GO:0009941;GO:0009706;GO:0009507;GO:0005829;GO:0003674;GO:0009536;GO:0015031	Protein TIC 20-II, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 20-II) (AtTIC20-II)
XP_010416328.1	542	AT1G74740.1	AT1G74740.1	orthologue	GO:0009738;GO:0004683;GO:0004672;GO:0005737;GO:0009931;GO:0005515;GO:0004674;GO:0005634;GO:0035556;GO:0005509;GO:0005886;GO:0005516;GO:0005524;GO:0016020;GO:0106310;GO:0006468	Calcium-dependent protein kinase 30 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK1a) (AtCDPK1a)
XP_010416330.1	199	AT1G74730.1	AT1G74730.1	orthologue	GO:0009515;GO:0009535;GO:0009534;GO:0009507;GO:0090391;GO:0010027;GO:0005739;GO:0010196;GO:0003674	Transmembrane protein, putative (DUF1118)
XP_010416331.1	847	AT1G74750.1	AT1G74750.1	orthologue	GO:0005739;GO:0003674;;GO:0005515	Pentatricopeptide repeat-containing protein At1g74750
XP_010416333.1	1276	AT1G74770.1	AT1G74770.1	orthologue	GO:0005634;GO:0098711;GO:0006511;GO:0033212;GO:0061630;GO:0016567;GO:0006879;GO:0034756;GO:0043161;GO:0008270;GO:0005515;GO:0016020;GO:0016874	Zinc finger protein BRUTUS-like At1g74770;Zinc ion binding protein
XP_010416334.1	534	AT1G74780.1	AT1G74780.1	orthologue	GO:0055085;GO:0016020;GO:0022857	F25A4.25 protein (Nodulin-like / Major Facilitator Superfamily protein)
XP_010416336.1	694	AT1G74790.1	AT1G74790.1	orthologue	GO:0005886;GO:0005739;GO:0003674;GO:0016020;GO:0016491;GO:0098552	HIPL1 protein
XP_010416337.1	668	AT1G74800.1	AT1G74800.1	orthologue	GO:0000139;GO:0005802;GO:0010208;GO:0018258;GO:0080147;GO:1990714;GO:0005794;GO:0016757;GO:0010405;GO:0030246;GO:0005768;GO:0008378;GO:0009101;GO:0016020;GO:0016758	Hydroxyproline O-galactosyltransferase GALT5 (AtGALT5) (EC 2.4.1.-) (Beta-1,3-galactosyltransferase 18)
XP_010416339.1	683	AT1G74810.1	AT1G74810.1	orthologue	GO:0055085;GO:0022857;GO:0050801;GO:0005886;GO:0005452;GO:0009507;GO:0005737;GO:0006820;GO:0016020	HCO3-transporter family;Putative boron transporter 5
XP_010416340.1	205	AT1G74820.1	AT1G74820.1	orthologue	GO:0008150;GO:0030145;GO:0005576;GO:0048046	Germin-like protein subfamily T member 3
XP_010416341.1	547	AT1G74830.1	AT1G74830.1	orthologue	GO:0003674;GO:0005794;GO:0016020;GO:0080115;GO:0017022	Probable myosin-binding protein 6
XP_010416342.1	270	AT1G74840.1	AT1G74840.1	orthologue	GO:0009739;GO:0000976;GO:0003700;GO:0005634;GO:0009723;GO:0003677	AT1G74840 protein (Homeodomain-like superfamily protein);F25A4.19 protein (Homeodomain-like superfamily protein) (MYB transcription factor) (Putative MYB family transcription factor; 86049-87165) (Putative myb-related transcription activator)
XP_010416343.1	863	AT1G74850.1	AT1G74850.1	orthologue	GO:0045893;GO:0009507;GO:0042793;GO:0042644;GO:0003674;GO:0005515	Pentatricopeptide repeat-containing protein At1g74850, chloroplastic (Protein PLASTID TRANSCRIPTIONALLY ACTIVE 2)
XP_010416344.1	393	AT1G74860.1	AT1G74860.1	orthologue	GO:0003674;GO:0005634	At1g74860 (F25A4.17)
XP_010416345.1	312	AT1G74870.1	AT1G74870.1	orthologue	GO:0004842;GO:0016567;GO:0030014;GO:0005634;GO:0008270	At1g74870 (F25A4.16) (RING/U-box superfamily protein)
XP_010416346.1	158	AT1G74880.1	AT1G74880.1	orthologue	GO:0009535;GO:0009507;GO:0005886;GO:0016655;GO:0010258;GO:0010598;GO:0005739;GO:0048038	NAD(P)H-quinone oxidoreductase subunit O, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit O) (NDH subunit O) (NDH-O) (NADH-plastoquinone oxidoreductase subunit O)
XP_010416347.1	198	AT1G74890.1	AT1G74890.1	orthologue	GO:0009735;GO:0005515;GO:0005634;GO:0000156;GO:0006355;GO:0005737;GO:0009736;GO:0009507;GO:0000160	Two-component response regulator ARR15
XP_010416348.1	415	AT1G74910.1	AT1G74910.1	orthologue	GO:0005737;GO:2000082;GO:0005515;GO:0000976;GO:0046686;GO:0009058;GO:0005777	ADP-glucose pyrophosphorylase family protein;ADP-glucose pyrophosphorylase family protein (At1g74910/F9E10_24) (Putative GDP-mannose pyrophosphorylase; 64911-67597)
XP_010416349.1	481	AT1G74900.1	AT1G74900.1	orthologue	GO:0008380;GO:0003729;GO:0006397;GO:0005737;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At1g74900, mitochondrial (Protein ORGANELLE TRANSCRIPT PROCESSING DEFECT 43)
XP_010416350.1	501	AT1G74920.1	AT1G74920.1	orthologue	GO:0110095;GO:0019285;GO:0009414;GO:0005829;GO:0047107;GO:0009516;GO:0009651;GO:0009507;GO:0009505;GO:0019145;GO:0005739;GO:0008802;GO:0047105;GO:0031402;GO:0102244;GO:0016491;GO:0016620	Aminoaldehyde dehydrogenase ALDH10A8, chloroplastic (EC 1.2.1.-) (4-trimethylammoniobutyraldehyde dehydrogenase ALDH10A8) (EC 1.2.1.47) (Aldehyde dehydrogenase family 10 member A8) (Aminobutyraldehyde dehydrogenase ALDH10A8) (EC 1.2.1.19) (Betaine aldehyde dehydrogenase ALDH10A8) (EC 1.2.1.8) (Gamma-guanidinobutyraldehyde dehydrogenase ALDH10A8) (EC 1.2.1.54);aminobutyraldehyde dehydrogenase (EC 1.2.1.19) (Gamma-guanidinobutyraldehyde dehydrogenase ALDH10A8)
XP_010416351.1	204	AT1G74930.1	AT1G74930.1	orthologue	GO:0002213;GO:0003700;GO:0006355;GO:0009611;GO:0000976;GO:0005634;GO:0010087;GO:0051301;GO:0009873;GO:0003677	Ethylene-responsive transcription factor ERF018
XP_010416352.1	221	AT1G74940.1	AT1G74940.1	orthologue	GO:0005515;GO:0071456;GO:0019900;GO:0005829;GO:1902074;GO:0005739;GO:0005634;GO:0008270	FCS-Like Zinc finger 13
XP_010416353.1	350	AT1G67370.1	AT1G67370.1	orthologue	GO:0051026;GO:0007129;GO:0000794;GO:0005654;GO:0005515;GO:0005694;GO:0000785;GO:0007130	Meiosis-specific protein ASY1 (Protein ASYNAPTIC 1) (AtASY1)
XP_010416354.1	253	AT1G74950.1	AT1G74950.1	orthologue	GO:0031347;GO:0005515;GO:0009753;GO:0042802;GO:0009611;GO:0005634;GO:2000022;GO:0006952	Protein TIFY (Jasmonate ZIM domain-containing protein);Protein TIFY 10B (Jasmonate ZIM domain-containing protein 2)
XP_010416355.1	115	AT3G16857.2	AT3G16857.2	other	GO:0000976;GO:0071368;GO:0010082;GO:0005515;GO:0009414;GO:0090506;GO:0005634;GO:0009736;GO:0010492;GO:0009735;GO:0048367;GO:0010380;GO:0080036;GO:0048364;GO:0009507;GO:0080113;GO:1990110;GO:0005829;GO:0031537;GO:0003700;GO:0000156;GO:0080022;GO:0005737;GO:0000160;GO:0003677	Two-component response regulator;Two-component response regulator ARR1
XP_010416357.1	209	AT1G74970.1	AT1G74970.1	orthologue	GO:0009941;GO:0009570;GO:0005739;GO:0003735;GO:0009507;GO:0000312;GO:0003723;GO:0006412;GO:0003729;GO:0019843;GO:0005840;GO:0015935	Small ribosomal subunit protein uS9c (30S ribosomal protein S9, chloroplastic)
XP_010416358.1	283	AT1G75000.1	AT1G75000.1	orthologue	GO:0009922;GO:0034625;GO:0042761;GO:0005789;GO:0034626;GO:0019367;GO:0005739;GO:0030148;GO:0005783;GO:0016020	F25A4.4 (GNS1/SUR4 membrane protein family)
XP_010416360.1	379	AT1G75020.1	AT1G75020.1	orthologue	GO:0016024;GO:0016746;GO:0005739;GO:0003841;GO:0012505;GO:0016020	Probable 1-acyl-sn-glycerol-3-phosphate acyltransferase 4 (EC 2.3.1.51) (Lysophosphatidyl acyltransferase 4)
XP_010416362.1	246	AT1G75030.1	AT1G75030.1	orthologue	GO:0006952;GO:0003674;GO:0005576	At1g75030 (Thaumatin-like protein) (Thaumatin-like protein; 28949-28112)
XP_010416364.1	240	AT1G75040.1	AT1G75040.1	orthologue	GO:0009627;GO:0046686;GO:0009505;GO:0031540;GO:0099503;GO:0000325;GO:0048046;GO:0009615;GO:0005576;GO:0003729;GO:0010224;GO:0006952;GO:0005739	Pathogenesis-related protein 5 (PR-5)
XP_010416365.1	215	AT5G01750.2	AT5G01750.2	other	GO:0005737;GO:0005886;GO:0005829;GO:0003674;GO:0019904	Protein LURP-one-related 15
XP_010416366.1	240	AT1G75040.1	AT1G75040.1	orthologue	GO:0009627;GO:0046686;GO:0009505;GO:0031540;GO:0099503;GO:0000325;GO:0048046;GO:0009615;GO:0005576;GO:0003729;GO:0010224;GO:0006952;GO:0005739	Pathogenesis-related protein 5 (PR-5)
XP_010416367.1	210	AT3G11740.1, AT5G01750.2	AT5G01750.2	other	GO:0005575;GO:0003674;GO:0005737;GO:0005886;GO:0005829;GO:0019904	Protein LURP-one-related 10;Protein LURP-one-related 15
XP_010416369.1	246	AT1G75050.1	AT1G75050.1	orthologue	GO:0003674;GO:0006952;GO:0005576	Pathogenesis-related thaumatin superfamily protein (Thaumatin-like protein/pathogenesis-like protein)
XP_010416370.1	250	AT1G75060.1	AT1G75060.1	orthologue	GO:0006355;GO:0005634;GO:0005515;GO:0042752;GO:0003712;GO:0000118	Histone deacetylase complex subunit
XP_010416371.1	1092	AT2G20050.1	AT2G20050.1	orthologue	GO:0009507;GO:0005739;GO:0007165;GO:0017018;GO:0004674;GO:0004722;GO:0005524;GO:0046872;GO:0004691;GO:0005952;GO:0004672;GO:0006468;GO:0043169	Protein phosphatase 2C and cyclic nucleotide-binding/kinase domain-containing protein [Includes: Probable protein phosphatase 2C 19 (AtPP2C19) (EC 3.1.3.16); Probable inactive cyclic nucleotide-dependent protein kinase At2g20050];protein-serine/threonine phosphatase (EC 3.1.3.16)
XP_010416372.1	336	AT1G75080.1	AT1G75080.1	orthologue	GO:0006351;GO:0005515;GO:0045892;GO:0048316;GO:0009414;GO:0009416;GO:0006355;GO:0009742;GO:0000987;GO:0048481;GO:0005829;GO:0003700;GO:0003677;GO:0005634	Protein BRASSINAZOLE-RESISTANT 1 (Protein BIN2 SUBSTRATE 2)
XP_010416373.1	331	AT1G75090.1	AT1G75090.1	orthologue	GO:0006284;GO:0008725;GO:0005634;GO:0046872;GO:0003824;GO:0006281	DNA glycosylase superfamily protein (Putative DNA-3-methyladenine glycosylase I)
XP_010416374.1	715	AT1G75100.1	AT1G75100.1	orthologue	GO:0072583;GO:0071483;GO:0009903;GO:0005737;GO:0072318;GO:0009904;GO:0005739;GO:0080183;GO:0030276;GO:0007015;GO:0009507;GO:0043231;GO:0031982	J domain-containing protein required for chloroplast accumulation response 1
XP_010416375.1	507	AT1G75130.1	AT1G75130.1	orthologue	GO:0005575;GO:0016705;GO:0020037;GO:0005506;GO:0004497;GO:0016020	Cytochrome P450, family 721, subfamily A, polypeptide 1 (Cytochrome P450, putative; 64213-66051) (Putative cytochrome P450; 1456-3294)
XP_010416376.1	638	AT1G75140.1	AT1G75140.1	orthologue	GO:0005739;GO:0005783;GO:0003674;GO:0016020;GO:0005515	Uncharacterized membrane protein At1g75140
XP_010416379.1	800	AT1G75150.3	AT1G75150.3	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0016874	DNA ligase-like protein
XP_010416381.1	395	AT1G75160.1	AT1G75160.1	orthologue	GO:0005634;GO:0003674	DUF620 family protein (DUF620)
XP_010416382.1	296	AT1G75170.1	AT1G75170.1	orthologue	GO:0005886;GO:0008526;GO:0016020	Sec14p-like phosphatidylinositol transfer family protein
XP_010416385.1	322	AT1G75180.1	AT1G75180.1	orthologue	GO:0005811;GO:0004617;GO:0005634;GO:0005739;GO:0016020	AT1G75180 protein (Erythronate-4-phosphate dehydrogenase family protein);Erythronate-4-phosphate dehydrogenase family protein
XP_010416386.1	135	AT1G75190.1	AT1G75190.1	orthologue	GO:0005634;GO:0003674	At1g75190;Uncharacterized protein
XP_010416387.1	647	AT1G75200.1	AT1G75200.1	orthologue	GO:0102521;GO:0031591;GO:0010181;GO:0005739;GO:0009507;GO:0008033;GO:0046872;GO:0051539;GO:0003824;GO:0051536	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase (EC 4.1.3.44) (tRNA wybutosine-synthesizing protein 1 homolog)
XP_010416389.1	487	AT1G75220.1	AT1G75220.1	orthologue	GO:0009705;GO:0051119;GO:0005794;GO:0055085;GO:0000325;GO:0010030;GO:0015144;GO:0016020;GO:0022857;GO:0042593;GO:0005739;GO:0008643	Sugar transporter ERD6-like 6
XP_010416390.1	391	AT1G75230.2	AT1G75230.2	orthologue	GO:0005634;GO:0006285;GO:0006307;GO:0006284;GO:0032131;GO:0008725;GO:0003824;GO:0043916;GO:0032993;GO:0003684;GO:0006281	DNA glycosylase superfamily protein;DNA glycosylase superfamily protein (Putative 3-methyladenine DNA glycosylase)
XP_010416391.1	393	AT2G20030.1	AT2G20030.1	orthologue	GO:0003674;GO:0005634;GO:0016567;GO:0008270;GO:0016020;GO:0016740	Putative RING-H2 finger protein ATL12 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL12)
XP_010416393.1	309	AT1G75240.1	AT1G75240.1	orthologue	GO:0009737;GO:0006355;GO:0005515;GO:0000976;GO:0005634;GO:0045893;GO:0003700;GO:0043565;GO:0042803;GO:0008270;GO:0009738;GO:0050793	Zinc-finger homeodomain protein 5 (AtZHD5) (Homeobox protein 33) (AtHB-33)
XP_010416394.1	100	AT1G75250.1	AT1G75250.1	orthologue	GO:0006355;GO:0005634;GO:0003700	Protein RADIALIS-like 6 (AtRL6) (Protein RAD-like 6) (Protein RADIALIS-LIKE SANT/MYB 3) (Protein RSM3)
XP_010416395.1	408	AT3G04590.2	AT3G04590.2	orthologue	GO:0003680;GO:0005575;GO:0005634	AT-hook motif nuclear-localized protein;AT-hook motif nuclear-localized protein 14
XP_010416397.1	213	AT1G75270.1	AT1G75270.1	orthologue	GO:0045174;GO:0043295;GO:0005886;GO:0033355;GO:0080151;GO:0005829;GO:0010731;GO:0140547;GO:0005739;GO:0070301;GO:0098869;GO:0019852;GO:0004364	Glutathione S-transferase DHAR2 (EC 2.5.1.18) (Chloride intracellular channel homolog 2) (CLIC homolog 2) (Glutathione-dependent dehydroascorbate reductase 2) (AtDHAR2) (CytDHAR) (GSH-dependent dehydroascorbate reductase 2) (EC 1.8.5.1)
XP_010416398.1	311	AT1G75280.1	AT1G75280.1	orthologue	GO:0005737;GO:0005739;GO:0006979;GO:0005886;GO:0005829;GO:0003674;GO:0016491	Isoflavone reductase homolog P3 (EC 1.3.1.-)
XP_010416399.1	308	AT1G75290.2	AT1G75290.2	orthologue	GO:0009507;GO:0016491;GO:0005739;GO:0005737;GO:0009807;GO:0050664	At1g75290 (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein
XP_010416400.1	319	AT1G75300.1	AT1G75300.1	orthologue	GO:0005737;GO:0016491;GO:0005739;GO:0009807;GO:0050664	At1g75300 (NADPH oxidoreductase, putative; 10572-9197) (NmrA-like negative transcriptional regulator family protein) (Putative NADPH oxidoreductase)
XP_010416401.1	683	AT2G20020.1	AT2G20020.1	orthologue	GO:0009507;GO:0000373;GO:0005515;GO:0003729;GO:0006397;GO:0009570;GO:1990904;GO:0003723	CRS2-associated factor 1, chloroplastic (Chloroplastic group IIA intron splicing facilitator CRS2-associated factor 1)
XP_010416402.1	322				GO:0016491	
XP_010416405.1	322				GO:0016491	
XP_010416406.1	1448	AT1G75310.2	AT1G75310.2	orthologue	GO:0072583;GO:0009507;GO:0005737;GO:0072318;GO:0031982;GO:0030276;GO:0043231;	Auxilin-like protein 1;Auxin-like 1 protein
XP_010416408.1	374	AT1G75330.1	AT1G75330.1	orthologue	GO:0009570;GO:0019240;GO:0004585;GO:0009507;GO:0043231;GO:0016597;GO:0042450;GO:0006591;GO:0006526;GO:0006520;GO:0016743	Ornithine transcarbamylase, chloroplastic (OTCase) (EC 2.1.3.3) (Ornithine carbamoyltransferase, chloroplastic)
XP_010416409.1	87	AT1G75335.1	AT1G75335.1	orthologue	GO:0003674;GO:0009507	Nucleolar-like protein
XP_010416410.1	441	AT1G75340.1	AT1G75340.1	orthologue	GO:0005634;GO:0016567;GO:0061630;GO:0005635;GO:0005515;GO:0003677;GO:0008270;GO:0005643;GO:0015031;GO:0051028;GO:0046872	Zinc finger C-x8-C-x5-C-x3-H type family protein;Zinc finger CCCH domain-containing protein 16 (AtC3H16)
XP_010416412.1	153	AT1G75350.1	AT1G75350.1	orthologue	GO:0009941;GO:0009507;GO:0009793;GO:0009570;GO:0003735;GO:0005739;GO:0006412;GO:0005840;GO:0019843;GO:1990904	Large ribosomal subunit protein bL31c (50S ribosomal protein L31, chloroplastic) (CL31) (Protein EMBRYO DEFECTIVE 2184)
XP_010416413.1	259	AT1G75360.1	AT1G75360.1	orthologue	GO:0005634;GO:0003674;GO:0016020	Transmembrane protein
XP_010416414.1	612	AT1G75370.2	AT1G75370.2	orthologue	GO:0070300;GO:0009507;GO:0005634;GO:0005794;GO:0005783;GO:0009506;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH5 (Protein SEC FOURTEEN HOMOLOGS 5) (AtSFH5);Sec14p-like phosphatidylinositol transfer family protein
XP_010416415.1	329	AT1G75380.1	AT1G75380.1	orthologue	GO:0005634;GO:0004530;GO:0009414;GO:0050832;GO:0009738;GO:0005737;GO:0004518;GO:0004540;GO:0016567;GO:0043565;GO:0030891;GO:0010629;GO:0045892;GO:0010119;GO:0005515	Bifunctional nuclease 1 (AtBBD1) (EC 3.1.-.-)
XP_010416418.1	181	AT1G75390.1	AT1G75390.1	orthologue	GO:0046982;GO:0005515;GO:0000976;GO:0009845;GO:0006355;GO:0003700;GO:0043565;GO:0045893;GO:0005634;GO:0003677	Basic leucine-zipper 44;bZIP transcription factor 44 (AtbZIP44)
XP_010416419.1	459	AT1G75400.1	AT1G75400.1	orthologue	GO:0003674;GO:0005634;GO:0008270	RING/U-box superfamily protein
XP_010416425.1	291	AT1G75430.1	AT1G75430.1	orthologue	GO:0006355;GO:0005739;GO:0000978;GO:0006357;GO:0000981;GO:0005634;GO:0003700;GO:0003677	BEL1-like homeodomain 11;BEL1-like homeodomain protein 11 (BEL1-like protein 11)
XP_010416428.1	399	AT1G45000.1, AT5G43010.1	AT1G45000.1	other	GO:0009506;GO:0045899;GO:0031597;GO:0005524;GO:0005634;GO:0036503;GO:0000502;GO:0005737;GO:0043161;GO:0005730;GO:0009505;GO:0016887;GO:0036402;GO:0008540;GO:0006511	26S proteasome regulatory subunit 10B homolog A (26S proteasome AAA-ATPase subunit RPT4a) (26S proteasome subunit 10B homolog A) (Regulatory particle triple-A ATPase subunit 4a);26S proteasome regulatory subunit S10B homolog B (26S proteasome AAA-ATPase subunit RPT4b) (26S proteasome subunit S10B homolog B) (Regulatory particle triple-A ATPase subunit 4b);AAA-type ATPase family protein
XP_010416429.1	468	AT1G75420.1	AT1G75420.1	orthologue	GO:0005768;GO:0005794;GO:0005802;GO:0016757;GO:0008150;GO:0016020	Glycosyltransferase;UDP-Glycosyltransferase superfamily protein
XP_010416430.1	953	AT2G20010.2	AT2G20010.2	orthologue	GO:0003674;GO:0009507;GO:0005739	Gls protein (DUF810)
XP_010416432.1	532	AT1G75450.1	AT1G75450.1	orthologue	GO:0016491;GO:0019139;GO:0005576;GO:0071949;GO:0009823;GO:0009690;GO:0050660;GO:0003824	Cytokinin dehydrogenase 5 (EC 1.5.99.12) (Cytokinin oxidase 5) (AtCKX5) (AtCKX6) (CKO5);cytokinin dehydrogenase (EC 1.5.99.12)
XP_010416433.1	161	AT1G75440.1	AT1G75440.1	orthologue	GO:0016567;GO:0006511;GO:0005634;GO:0061631;GO:0000209;GO:0005524	Probable ubiquitin-conjugating enzyme E2 16 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 16) (Ubiquitin carrier protein 16)
XP_010416436.1	285	AT1G75460.1	AT1G75460.1	orthologue	GO:0009507;GO:0003674;GO:0006508;GO:0008233	ATP-dependent protease La (LON) domain protein (F1B16.1 protein) (Protease, putative) (Putative protease)
XP_010416438.1	389	AT1G75470.1	AT1G75470.1	orthologue	GO:0016020;GO:0009507;GO:0015211;GO:0006863;GO:0005345	Putative purine permease 15 (AtPUP15)
