Cardamine_amara	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
evm.model.RL_2.3287	524	AT4G37760.1	AT4G37760.1	orthologue	GO:0005783;GO:0004506;GO:0009611;GO:0016126;GO:0050660;GO:0005576;GO:0009753;GO:0016020	Squalene epoxidase 3 (AtSQE3) (EC 1.14.14.17)
evm.model.RL_2.3288	469	AT4G37770.1	AT4G37770.1	orthologue	GO:0042218;GO:0006520;GO:0009693;GO:0016847;GO:0042802;GO:0005515;GO:0030170;GO:0005737;GO:0008483;GO:0009835;GO:0003824;GO:0009058	1-aminocyclopropane-1-carboxylate synthase 8 (ACC synthase 8) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 8)
evm.model.RL_2.3289	308	AT4G37780.1	AT4G37780.1	orthologue	GO:0009664;GO:0003700;GO:0005634;GO:0003677	Transcription factor MYB87 (Myb-related protein 87) (AtMYB87)
evm.model.RL_2.329	176	AT5G38895.3	AT5G38895.3	orthologue	GO:0005634;GO:0004842;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
evm.model.RL_2.3290	281	AT4G37790.1	AT4G37790.1	orthologue	GO:0005515;GO:0009738;GO:0009414;GO:0001217;GO:0009735;GO:0000976;GO:0009737;GO:0003700;GO:0005634;GO:0000981;GO:0003677;GO:0006355;GO:0043565	Homeobox-leucine zipper protein HAT22 (Homeodomain-leucine zipper protein HAT22) (HD-ZIP protein 22)
evm.model.RL_2.3291	294	AT4G37800.1	AT4G37800.1	orthologue	GO:0010411;GO:0042546;GO:0004553;GO:0016762;GO:0030247;GO:0005576;GO:0048046;GO:0071555;GO:0005618;GO:0044042;GO:0005975	Probable xyloglucan endotransglucosylase/hydrolase protein 7 (At-XTH7) (XTH-7) (EC 2.4.1.207)
evm.model.RL_2.3292.1.687c86e8	130	AT4G37810.1	AT4G37810.1	orthologue	GO:0010052;GO:0010374;GO:0048481;GO:0003674;GO:0005576;GO:0010073	EPIDERMAL PATTERNING FACTOR-like protein 2 (EPF-like protein 2) [Cleaved into: MEPFL2]
evm.model.RL_2.3293	542	AT4G37820.1	AT4G37820.1	orthologue	GO:0003674;GO:0005768;GO:0005634;GO:0005794;GO:0008150;GO:0000138;GO:0005802;GO:0016020	Transmembrane protein
evm.model.RL_2.3294	102	AT4G37830.3	AT4G37830.3	orthologue	GO:0030234;GO:0005739;GO:0045277;GO:0006123;GO:0005743	Cytochrome c oxidase subunit 6a, mitochondrial (AtCOX6a);Cytochrome c oxidase-like protein
evm.model.RL_2.3295	78	AT4G00620.1	AT4G00620.1	other	GO:0035999;GO:0004477;GO:0009507;GO:0004488;GO:0005829;GO:0009853	Bifunctional protein FolD 4, chloroplastic (Protein EMBRYO DEFECTIVE 3127) (Tetrahydrofolate dehydrogenase/cyclohydrolase 4) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
evm.model.RL_2.3296	492	AT4G37840.1	AT4G37840.1	orthologue	GO:0009414;GO:0019318;GO:0006096;GO:0006974;GO:0005739;GO:0006970;GO:0009409;GO:0005536;GO:0009651;GO:0004396;GO:0005829;GO:0006979;GO:0009408;GO:0001678;GO:0010224;GO:0005524;GO:0016020;GO:0005975;GO:0016773	Probable hexokinase-like 2 protein (EC 2.7.1.1)
evm.model.RL_2.3297	323	AT4G37860.1	AT4G37860.1	orthologue	GO:0006360;GO:0003677;GO:0006334;GO:0042393;GO:0005739;GO:0005730	SPT2 chromatin protein
evm.model.RL_2.3298	691	AT4G37870.1	AT4G37870.1	orthologue	GO:0004612;GO:0006094;GO:0016036;GO:0005737;GO:0005730;GO:0005829;GO:0005524;GO:0046872;GO:0050832;GO:0004611;GO:0017076	Phosphoenolpyruvate carboxykinase (ATP) 1 (AtPCK1) (PEP carboxykinase 1) (PEPCK 1) (EC 4.1.1.49)
evm.model.RL_2.3299	386	AT4G37880.1	AT4G37880.1	orthologue	GO:0043161;GO:0005634;GO:0005515;GO:0004842;GO:0061630;GO:0005737;GO:0034657;GO:0008270	Protein RMD5 homolog
evm.model.RL_2.33	107	AT1G31580.1	AT1G31580.1	orthologue	GO:0006952;GO:0005739;GO:0009617;GO:0009505;GO:0009416;GO:0003674;GO:0005576	Protein ECS1 (Protein CXc750)
evm.model.RL_2.330	229	AT1G48180.1, AT1G51670.1	AT1G48180.1	orthologue	GO:0008150;GO:0009507;GO:0003674;GO:0009408;GO:0005634;GO:0010286;GO:0009409;GO:0005737	Protein HEAT-INDUCED TAS1 TARGET 5;Target of trans acting-siR480/255 protein
evm.model.RL_2.3300	200	AT4G37880.1	AT4G37880.1	orthologue	GO:0043161;GO:0005634;GO:0005515;GO:0004842;GO:0061630;GO:0005737;GO:0034657;GO:0008270	Protein RMD5 homolog
evm.model.RL_2.3301	723	AT4G37890.1	AT4G37890.1	orthologue	GO:0005634;GO:0003674;GO:0010197;GO:0009506;GO:0008270;GO:0016740	Probable E3 ubiquitin-protein ligase EDA40 (EC 2.3.2.27) (Protein EMBRYO SAC DEVELOPMENT ARREST 40) (RING-type E3 ubiquitin transferase EDA40);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
evm.model.RL_2.3302	166	AT4G37900.1	AT4G37900.1	other	GO:0071470;GO:2000028;GO:0005737;GO:0010928;GO:0003674;GO:0009734	Glycine-rich domain-containing protein 2 (AtGRDP2)
evm.model.RL_2.3303	791	AT4G37900.1	AT4G37900.1	orthologue	GO:0071470;GO:2000028;GO:0005737;GO:0010928;GO:0003674;GO:0009734	Glycine-rich domain-containing protein 2 (AtGRDP2)
evm.model.RL_2.3304	682	AT4G37910.1	AT4G37910.1	orthologue	GO:0005739;GO:0017004;GO:0006457;GO:0005759;GO:0005515;GO:0140964;GO:0042026;GO:0005829;GO:0140662;GO:0051085;GO:0000325;GO:0016887;GO:0005886;GO:0044183;GO:0005737;GO:0016226;GO:0005524;GO:0009505;GO:0051082;GO:0031072;GO:0008270	Heat shock 70 kDa protein 9, mitochondrial (Chaperone protein HscA homolog 1) (AtHscA1) (Heat shock protein 70-9) (AtHsp70-9) (Mitochondrial heat shock protein 70-1) (mtHsc70-1)
evm.model.RL_2.3305	325	AT4G37920.1	AT4G37920.1	orthologue	GO:0009570;GO:0032544;GO:0009535;GO:0009941;GO:0009507;GO:0009534;GO:0003674;GO:0009658	Uncharacterized protein At4g37920
evm.model.RL_2.3306.5.687c86e8	527	AT4G37930.1	AT4G37930.1	orthologue	GO:0005515;GO:0009570;GO:0030170;GO:0010319;GO:0003729;GO:0009534;GO:0048046;GO:0004372;GO:0009626;GO:0019264;GO:0009409;GO:0005739;GO:0046653;GO:0005759;GO:0009416;GO:0005634;GO:0008266;GO:0022626;GO:0005829;GO:0019464;GO:0009853;GO:0035999;GO:0007623;GO:0005737;GO:0005886;GO:0006544;GO:0006563	Serine hydroxymethyltransferase 1, mitochondrial (AtSHMT1) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 1) (Serine Transhydroxymethyltransferase) (STM) (Serine methylase 1)
evm.model.RL_2.3307	688	AT4G37950.1	AT4G37950.1	orthologue	GO:0005576;GO:0102210;GO:0016829;GO:0030246;GO:0005975;GO:0003824	rhamnogalacturonan endolyase (EC 4.2.2.23)
evm.model.RL_2.3308	362	AT4G37970.1	AT4G37970.1	orthologue	GO:0016616;GO:0009809;GO:0005737;GO:0008270;GO:0045551;GO:0050268;GO:0016491	Cinnamyl alcohol dehydrogenase 6;Probable cinnamyl alcohol dehydrogenase 6 (AtCAD6) (EC 1.1.1.195) (Cinnamyl alcohol dehydrogenase-like protein A)
evm.model.RL_2.3309	375	AT4G37980.1	AT4G37980.1	orthologue	GO:0045551;GO:0008270;GO:0009809;GO:0009617;GO:0009626;GO:0005737;GO:0010597;GO:0005886;GO:0016616;GO:0016491	Cinnamyl alcohol dehydrogenase 7 (AtCAD7) (EC 1.1.1.195) (Cinnamyl alcohol dehydrogenase-like protein B)
evm.model.RL_2.331	191	AT5G38890.1	AT5G38890.1	orthologue	GO:0006396;GO:0000176;GO:0009536;GO:0005737;GO:0003723;GO:0005634;GO:0005730;GO:0000178;GO:0003676	At5g38890 (Nucleic acid-binding, OB-fold-like protein)
evm.model.RL_2.3310	359	AT4G37990.1	AT4G37990.1	orthologue	GO:0009626;GO:0005737;GO:0008270;GO:0005886;GO:0045551;GO:0009809;GO:0009617;GO:0047681;GO:0016616;GO:0016491	Cinnamyl alcohol dehydrogenase 8 (AtCAD8) (EC 1.1.1.195) (NAD-dependent mannitol dehydrogenase 2)
evm.model.RL_2.3311	243	AT4G38000.1	AT4G38000.1	orthologue	GO:0003700;GO:0045893;GO:0006355;GO:0010227;GO:0005634;GO:0003677;GO:0005515;GO:0008270	Dof zinc finger protein DOF4.7 (AtDOF4.7) (Protein DNA BINDING WITH ONE FINGER 4.7)
evm.model.RL_2.3312	558	AT4G38010.1	AT4G38010.1	orthologue	GO:0005739;GO:0009451;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At4g38010
evm.model.RL_2.3313	355	AT4G38020.1	AT4G38020.1	orthologue	GO:0009507;GO:0008173;GO:0003723;GO:0006396;GO:0032259	At4g38020 (tRNA/rRNA methyltransferase (SpoU) family protein)
evm.model.RL_2.3314	665	AT4G38030.1	AT4G38030.1	orthologue	GO:0030246;GO:0102210;GO:0005576;GO:0005975;GO:0016829;GO:0003824	rhamnogalacturonan endolyase (EC 4.2.2.23)
evm.model.RL_2.3315.1.687c86e8	463	AT4G38040.1	AT4G38040.1	orthologue	GO:0003674;GO:0000138;GO:0006486;GO:0005802;GO:0005794;GO:0005768;GO:0000139;GO:0016757;GO:0009101	AT4G38040 protein (Exostosin family protein);Exostosin family protein (Glycosyltransferase)
evm.model.RL_2.3316	702	AT4G38050.1	AT4G38050.1	orthologue	GO:0022857;GO:0005886;GO:0055085;GO:0005634;GO:0016020	Nucleobase-ascorbate transporter 11 (AtNAT11)
evm.model.RL_2.3317	138	AT4G38060.2	AT4G38060.2	orthologue	GO:0009507;GO:0005739;GO:0003674	AT4G38060 protein (AT4g38060/F20D10_180);Putative protei
evm.model.RL_2.3318	1078	AT4G38062.1	AT4G38062.1	orthologue	GO:0005737;GO:0003674	Uncharacterized protein At4g38062
evm.model.RL_2.3319	198	AT4G38070.1	AT4G38070.1	orthologue	GO:0006355;GO:0005634;GO:0005739;GO:0003700;GO:0046983;GO:0003677	Transcription factor bHLH131 (Basic helix-loop-helix protein 131) (AtbHLH131) (bHLH 131) (bHLH transcription factor bHLH131)
evm.model.RL_2.332	793	AT5G38880.1	AT5G38880.1	orthologue	GO:0051011;GO:0051225;GO:0070652;GO:0005876;GO:0009524;GO:0051301	AUGMIN subunit 5
evm.model.RL_2.3320	109	AT4G38080.1	AT4G38080.1	orthologue	GO:0008150;GO:0003674;GO:0005575	At4g38080 (Hydroxyproline-rich glycoprotein family protein)
evm.model.RL_2.3321	235	AT4G38090.1	AT4G38090.1	orthologue	GO:0006446;GO:0003674;GO:0005737;GO:0005840;GO:0016020	AT4G38090 protein (Ribosomal protein S5 domain protein);At4g38090 (Ribosomal protein S5 domain protein);Ribosomal protein S5 domain protein
evm.model.RL_2.3322	182	AT4G38100.1	AT4G38100.1	orthologue	GO:0003674;GO:0009535;GO:0009579;GO:0009507;GO:0016020	CURVATURE THYLAKOID 1D-like protein;Protein CURVATURE THYLAKOID 1D, chloroplastic
evm.model.RL_2.3323	146	AT1G26290.1	AT1G26290.1	orthologue	GO:0003674;GO:0005739	Uncharacterized protein F28B23.5
evm.model.RL_2.3324	140	AT4G40090.1	AT4G40090.1	orthologue	GO:0005886;GO:0003674;GO:0007275;GO:0098552	Classical arabinogalactan protein 3
evm.model.RL_2.3325	360	AT4G40080.1	AT4G40080.1	orthologue	GO:0005546;GO:0072583;GO:0000149;GO:0005739;GO:0030136;GO:0006900;GO:0005545;GO:0048268;GO:0005905;GO:0032050;GO:0005543;GO:0005794	Putative clathrin assembly protein At4g40080
evm.model.RL_2.3326	323	AT4G40070.1	AT4G40070.1	orthologue	GO:0016567;GO:0005575;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL32 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL32)
evm.model.RL_2.3327	298	AT4G40060.1	AT4G40060.1	orthologue	GO:0045893;GO:0043565;GO:0048573;GO:0009637;GO:0030308;GO:0003700;GO:0000981;GO:0000976;GO:0048510;GO:0005634;GO:0003677;GO:0006355	Homeobox-leucine zipper protein ATHB-16 (HD-ZIP protein ATHB-16) (Homeodomain transcription factor ATHB-16)
evm.model.RL_2.3328	598	AT4G40050.1	AT4G40050.1	orthologue	GO:0003714;GO:0005634;GO:0006351	Signal transducer, putative (DUF3550/UPF0682)
evm.model.RL_2.3329	138	AT4G40045.1	AT4G40045.1	orthologue	GO:0009507;GO:0003674;GO:0016020	Transmembrane protein
evm.model.RL_2.333	346	AT5G38865.1	AT5G38865.1	orthologue	GO:0005739;GO:0003674	Uncharacterized protein
evm.model.RL_2.3330	114	AT4G40042.1	AT4G40042.1	orthologue	GO:0005787;GO:0006465;GO:0003674;GO:0045047;GO:0016020	Signal peptidase complex subunit 1
evm.model.RL_2.3331	136	AT4G40030.2	AT4G40030.2	other	GO:0030527;GO:0005634;GO:0000786;GO:0003677;GO:0046982;GO:0005886;GO:0005730;GO:0030875	Histone H3.3 (Histone H3.2);Histone superfamily protein
evm.model.RL_2.3332	136	AT4G40030.2	AT4G40030.2	other	GO:0030527;GO:0005634;GO:0000786;GO:0003677;GO:0046982;GO:0005886;GO:0005730;GO:0030875	Histone H3.3 (Histone H3.2);Histone superfamily protein
evm.model.RL_2.3333	620	AT4G40020.1	AT4G40020.1	orthologue	GO:0007131;GO:0005737;GO:0003674	Myosin heavy chain-related protein
evm.model.RL_2.3334	358	AT4G40010.1	AT4G40010.1	orthologue	GO:0004674;GO:0009651;GO:0005634;GO:0006970;GO:0005737;GO:0016301;GO:0005524;GO:0106310;GO:0006468;GO:0004672	Serine/threonine-protein kinase SRK2F (EC 2.7.11.1) (OST1-kinase-like 5) (SNF1-related kinase 2.7) (SnRK2.7)
evm.model.RL_2.3335	200	AT4G38180.1	AT4G38180.1	other	GO:0005515;GO:0005634;GO:0006355;GO:0008270	Protein FAR1-RELATED SEQUENCE 5
evm.model.RL_2.3336	66	AT4G38180.1	AT4G38180.1	other	GO:0005515;GO:0005634;GO:0006355;GO:0008270	Protein FAR1-RELATED SEQUENCE 5
evm.model.RL_2.3337.1.687c86e8	797	AT4G40000.1	AT4G40000.1	orthologue	GO:0001510;GO:0005634;GO:0008168;GO:0016428;GO:0000049;GO:0030488;GO:0003723;GO:0008173	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
evm.model.RL_2.3338	227	AT4G39990.1	AT4G39990.1	orthologue	GO:0032588;GO:0031901;GO:0042546;GO:0035619;GO:0005794;GO:0003924;GO:0005886;GO:0032456;GO:0005525;GO:0019900;GO:0090404;GO:0005768;GO:0015031	Ras-related protein RABA4b (AtRABA4b) (Ras-related protein GB3) (AtGB3) (Ras-related protein Rab11G) (AtRab11G)
evm.model.RL_2.3339	527	AT4G39980.1	AT4G39980.1	orthologue	GO:0003849;GO:0009507;GO:0009073;GO:0009423;GO:0005515;GO:0009617;GO:0005739;GO:0009611;GO:0008652	Phospho-2-dehydro-3-deoxyheptonate aldolase 1, chloroplastic (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1) (DAHP synthase 1) (Phospho-2-keto-3-deoxyheptonate aldolase 1)
evm.model.RL_2.334	295	AT5G38860.1	AT5G38860.1	orthologue	GO:0005634;GO:0006351;GO:0003700;GO:0006355;GO:0046983;GO:0005515;GO:0003677	BES1-interacting Myc-like protein 3;Transcription factor BIM3 (BES1-interacting Myc-like protein 3) (Basic helix-loop-helix protein 141) (AtbHLH141) (bHLH 141) (Transcription factor EN 127) (bHLH transcription factor bHLH141)
evm.model.RL_2.3340	317	AT4G39970.1	AT4G39970.1	orthologue	GO:0009570;GO:0009941;GO:0005886;GO:0003674;GO:0009507;GO:0016787;GO:0046872	Haloacid dehalogenase-like hydrolase domain-containing protein At4g39970 (EC 3.1.3.-)
evm.model.RL_2.3341	444	AT4G39960.1	AT4G39960.1	orthologue	GO:0051085;GO:0042026;GO:0009941;GO:0006457;GO:0051082;GO:0005886;GO:0009535;GO:0005515;GO:0009408;GO:0031072;GO:0009507;GO:0005737;GO:0005506;GO:0005524;GO:0008270	AT4g39960/T5J17_130 (Molecular chaperone Hsp40/DnaJ family protein)
evm.model.RL_2.3342	325	AT4G39955.1	AT4G39955.1	orthologue	GO:0003824;GO:0005575	Alpha/beta-Hydrolases superfamily protein (At4g39955)
evm.model.RL_2.3343	777	AT4G39952.1	AT4G39952.1	orthologue	GO:0009451;GO:0003723;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At4g39952, mitochondrial
evm.model.RL_2.3344	541	AT4G39950.2	AT4G39950.2	orthologue	GO:0009617;GO:0042742;GO:0006952;GO:0009507;GO:0016020;GO:0010120;GO:0009414;GO:0052544;GO:0009684;GO:0009682;GO:0009625;GO:0020037;GO:0002229;GO:0016705;GO:0006569;GO:0016709;GO:0005506;GO:0004497;GO:0090489	Cytochrome P450, family 79, subfamily B, polypeptide 2;Tryptophan N-monooxygenase 1 (EC 1.14.14.156) (Cytochrome P450 79B2) (Tryptophan N-hydroxylase 1)
evm.model.RL_2.3345	291	AT4G39940.1	AT4G39940.1	orthologue	GO:0009536;GO:0016310;GO:0004020;GO:0009507;GO:0010439;GO:0000103;GO:0070814;GO:0048232;GO:0005524;GO:0019344	Adenylyl-sulfate kinase 2, chloroplastic (EC 2.7.1.25) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase 2) (Adenosine-5'-phosphosulfate kinase 2) (APS kinase 2)
evm.model.RL_2.3346	348	AT4G39920.1	AT4G39920.1	orthologue	GO:0007021;GO:0006457;GO:0007023;GO:0005737;GO:0000911;GO:0000226;GO:0015631	Tubulin-folding cofactor C (AtTFCC) (TFC C) (Protein PORCINO)
evm.model.RL_2.3347	370	AT4G39910.1	AT4G39910.1	orthologue	GO:0005634;GO:0006499;GO:0004843;GO:0016579;GO:0005829;GO:0005737;GO:0031647;GO:0006508	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (AtUBP3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3)
evm.model.RL_2.3348	241	AT4G39900.1	AT4G39900.1	orthologue	GO:0003674;GO:0005634;GO:0016020	AT4g39900/T5J17_70 (Adenine deaminase)
evm.model.RL_2.3349	215	AT4G39890.1	AT4G39890.1	orthologue	GO:0003924;GO:0006886;GO:0005886;GO:0006890;GO:0000139;GO:0042147;GO:0006891;GO:0005515;GO:0005794;GO:0005829;GO:0012505;GO:0005525;GO:0015031;GO:0016192	Ras-related protein RABH1c (AtRABH1c)
evm.model.RL_2.335	368	AT5G55440.1, AT5G67040.1	AT5G55440.1	other	GO:0003674;GO:0005575;GO:0008150	F-box protein, putative (DUF295);F-box protein, putative (DUF295) (Gb|AAC80597.1)
evm.model.RL_2.3350	176	AT4G39880.1	AT4G39880.1	orthologue	GO:0006412;GO:0032543;GO:0005762;GO:0009507;GO:0003735;GO:0003729;GO:0005840	Large ribosomal subunit protein uL23m
evm.model.RL_2.3351	414	AT4G39870.1	AT4G39870.1	orthologue	GO:0008150;GO:0003674;GO:0005739	Oxidation resistance protein 1
evm.model.RL_2.3352.1.687c86e9	302	AT4G39860.1	AT4G39860.1	orthologue	GO:0005634;GO:0005737;GO:0003674	Hematological/neurological-like protein
evm.model.RL_2.3353	1338	AT4G39850.3	AT4G39850.3	orthologue	GO:0016042;GO:0005324;GO:0006635;GO:0140359;GO:0005778;GO:0015910;GO:0046861;GO:0016887;GO:0042760;GO:0055085;GO:0042626;GO:0005777;GO:0010030;GO:0015916;GO:0005515;GO:0006744;GO:0005524;GO:0015607;GO:0007031;GO:0016020	ABC transporter D family member 1 (ABC transporter ABCD.1) (AtABCD1) (EC 7.6.2.4) (Peroxisomal ABC transporter 1) (AtPXA1) (Protein ACETATE NON-UTILIZING 2) (Protein COMATOSE) (Protein PEROXISOME DEFECTIVE 3) (Ped3p);Peroxisomal ABC transporter 1
evm.model.RL_2.3354	456	AT4G39840.1	AT4G39840.1	orthologue	GO:0005768;GO:0003674;GO:0005802;GO:0005794;GO:0016020	Cell wall integrity/stress response component-like protein
evm.model.RL_2.3355	582	AT4G39830.1	AT4G39830.1	orthologue	GO:0005507;GO:0005576;GO:0008447;GO:1900367;GO:0048046;GO:0010039;GO:0016491	L-ascorbate oxidase (EC 1.10.3.3)
evm.model.RL_2.3356	412	AT4G39820.2	AT4G39820.2	orthologue	GO:0005737;GO:0005886;GO:0003674;GO:0005515	At4g39820 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
evm.model.RL_2.3357	83	AT4G02790.1	AT4G02790.1	other	GO:0003924;GO:0032543;GO:0043253;GO:0009507;GO:0005739;GO:0005525	DAR GTPase 3, chloroplastic (Protein EMBRYO DEFECTIVE 3129)
evm.model.RL_2.3358	255	AT4G39810.1	AT4G39810.1	orthologue	GO:0008408;GO:0008150;GO:0005737;GO:0003676;GO:0004527;GO:0005634;GO:0046872	Protein NEN4 (NAC45/NAC86-dependent exonuclease-domain protein 4) (EC 3.1.11.-)
evm.model.RL_2.3359	510	AT4G39800.1	AT4G39800.1	orthologue	GO:0009793;GO:0006021;GO:0004512;GO:0005737;GO:0009791;GO:0005515;GO:0010264;GO:0006659;GO:0005634;GO:0005829;GO:0008654	Inositol-3-phosphate synthase isozyme 1 (AtIPS1) (MIP synthase 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase 1) (AtMIPS 1) (MI-1-P synthase 1)
evm.model.RL_2.336	632	AT4G26870.1, AT4G31180.1	AT4G26870.1	other	GO:0004815;GO:0005829;GO:0003723;GO:0006422;GO:0017101;GO:0005737;GO:0009506;GO:0050832;GO:0005886;GO:0005783;GO:0003677;GO:0005524;GO:0046872;GO:0000166;GO:0045145;GO:0004812;GO:0006418	Aspartate--tRNA ligase 1, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS);Aspartate--tRNA ligase 2, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Protein IMPAIRED IN BABA-INDUCED DISEASE IMMUNITY 1)
evm.model.RL_2.3360	130	AT4G39795.1	AT4G39795.1	orthologue	GO:1905582;GO:0005634;GO:0019900;GO:0009744;GO:0005737;GO:0009749;GO:0008270	FCS-Like Zinc finger 7
evm.model.RL_2.3361	660	AT4G39790.1	AT4G39790.1	orthologue	GO:0005634;GO:0003674	BZIP transcription factor, putative (DUF630 and DUF632)
evm.model.RL_2.3362	273	AT4G39780.1	AT4G39780.1	orthologue	GO:0005634;GO:0003700;GO:0005515;GO:0006355;GO:0000976;GO:0003677;GO:0043565;GO:0009873	Ethylene-responsive transcription factor ERF060
evm.model.RL_2.3363	346	AT4G39770.1	AT4G39770.1	orthologue	GO:0005992;GO:0004805;GO:0005634;GO:0005737;GO:0005829	Probable trehalose-phosphate phosphatase H (AtTPPH) (EC 3.1.3.12) (Trehalose 6-phosphate phosphatase);Trehalose 6-phosphate phosphatase (EC 3.1.3.12)
evm.model.RL_2.3364	1366				GO:0000723;GO:0003678;GO:0006281	
evm.model.RL_2.3365	485	AT1G14800.1	AT1G14800.1	other	GO:0003674;GO:0008150;GO:0005575	Nucleic acid-binding, OB-fold-like protein
evm.model.RL_2.3366	315	AT4G39745.1	AT4G39745.1	orthologue	GO:0003674;GO:0005634;GO:0008150;;GO:0005886;GO:0098542	Hydroxyproline-rich glycoprotein family protein
evm.model.RL_2.3367	281	AT4G39740.1	AT4G39740.1	orthologue	GO:0033617;GO:0055070;GO:0005739;GO:0003674;GO:0005743	Protein SCO1 homolog 2, mitochondrial (Homolog of the copper chaperone SCO1 member 2) (HCC2)
evm.model.RL_2.3368	181	AT4G39730.1	AT4G39730.1	orthologue	GO:0009535;GO:0000325;GO:0009651;GO:0005886;GO:0099503;GO:0009409;GO:0009579;GO:0005576;GO:0009414;GO:0005783;GO:0070300;GO:0010287;GO:0005515	PLAT domain-containing protein 1 (AtPLAT1) (PLAT domain protein 1)
evm.model.RL_2.3369	292	AT4G39720.2	AT4G39720.2	orthologue	GO:0005634;GO:0003674	At4g39720 (VQ motif-containing protein);VQ motif-containing protein
evm.model.RL_2.337	140	AT1G57630.1, AT4G04110.1, AT5G38344.1	AT5G38344.1	other	GO:0003674;GO:0071456;GO:0007165;GO:0009507;GO:0005737;GO:0005634;GO:0016020	Disease resistance protein RPP1-WsB, putative (Toll-Interleukin-Resistance (TIR) domain family protein);Putative RPP1-like disease resistance protein (T24H24.18 protein) (Toll-Interleukin-Resistance (TIR) domain family protein);Similarity to disease resistance protein (Toll-Interleukin-Resistance (TIR) domain family protein)
evm.model.RL_2.3370	216	AT4G39710.1	AT4G39710.1	orthologue	GO:0009535;GO:0005886;GO:0009579;GO:0009543;GO:0009507;GO:0005515;GO:0005576;GO:0003755	Photosynthetic NDH subunit of lumenal location 4, chloroplastic (FK506-binding protein 16-2) (AtFKBP16-2) (Immunophilin FKBP16-2) (Peptidyl-prolyl cis-trans isomerase FKBP16-2) (PPIase FKBP16-2) (EC 5.2.1.8) (Rotamase);peptidylprolyl isomerase (EC 5.2.1.8)
evm.model.RL_2.3371	158	AT4G39700.1	AT4G39700.1	orthologue	GO:0003674;GO:0005737;GO:0008150;GO:0046872	Heavy metal-associated isoprenylated plant protein 23 (AtHIP23)
evm.model.RL_2.3372	641	AT4G39690.1	AT4G39690.1	orthologue	GO:0061617;GO:0005743;GO:0032368;GO:1901612;GO:0098800;GO:0016036;GO:0005886;GO:0005739;GO:0042407;GO:0005515;GO:0097035;GO:0006869	MICOS complex subunit MIC60, mitochondrial (AtMic60) (Mitochondrial contact site and cristae organizing system 60 kDa subunit) (Mitofilin)
evm.model.RL_2.3373	628	AT4G39680.1	AT4G39680.1	orthologue	GO:0005737;GO:0003676;GO:0005886;GO:0008150	SAP domain-containing protein
evm.model.RL_2.3374	229	AT4G39670.1	AT4G39670.1	orthologue	GO:0005737;GO:1902388;GO:0120009;GO:0035627;GO:0005829;GO:1902387;GO:0005634;GO:0016020;GO:0120013	ACD11 homolog protein (Probable ceramide-1-phosphate transfer protein)
evm.model.RL_2.3375	481	AT4G39660.1	AT4G39660.1	orthologue	GO:0005886;GO:0005739;GO:0008270;GO:0009436;GO:0005737;GO:0019481;GO:0030170;GO:0008453;GO:0000325;GO:0009853;GO:0008483	Alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial (EC 2.6.1.44) (Beta-alanine-pyruvate aminotransferase 1);alanine--glyoxylate transaminase (EC 2.6.1.44)
evm.model.RL_2.3376	571	AT4G39650.1	AT4G39650.1	orthologue	GO:0006751;GO:0005886;GO:0036374;GO:0034775;GO:0048046;GO:0005576;GO:0016756;GO:0103068	Glutathione hydrolase 2 (EC 3.4.19.13) (Gamma-glutamyltransferase 2) (Gamma-glutamyltranspeptidase 2) (EC 2.3.2.2)
evm.model.RL_2.3377	573	AT4G39640.1	AT4G39640.1	orthologue	GO:0016756;GO:0103068;GO:0006751;GO:0036374;GO:0005576;GO:0009506;GO:0006979;GO:0048046;GO:0005886	Glutathione hydrolase 1 (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (EC 2.3.2.2)
