Odontarrhena_muralis	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Om002G072730	1341	AT3G23670.1	AT3G23670.1	orthologue	GO:0007112;GO:0008574;GO:0005737;GO:0016887;GO:0055046;GO:0080175;GO:0000914;GO:0008017;GO:0007018;GO:0009524;GO:0005871;GO:0005874;GO:0003777;GO:0005515;GO:0005524	Kinesin-like protein;Kinesin-like protein KIN-12B (Phragmoplast-associated kinesin-related protein 1-like protein) (AtPAKRP1L)
Om002G072740	352	AT3G23690.1	AT3G23690.1	orthologue	GO:0000976;GO:0006355;GO:0003700;GO:0005634;GO:0046983;GO:0005515	Transcription factor bHLH77 (Basic helix-loop-helix protein 77) (AtbHLH77) (bHLH 77) (Protein ACTIVATOR FOR CELL ELONGATION 3) (Transcription factor EN 87) (bHLH transcription factor bHLH077)
Om002G072750	405	AT3G23700.1	AT3G23700.1	orthologue	GO:0009737;GO:0009570;GO:0009507;GO:0005634;GO:0000481;GO:0034337;GO:0003729;GO:0032508;GO:0140691;GO:0003676	AT3g23700/MYM9_3 (Nucleic acid-binding proteins superfamily)
Om002G072760	311	AT3G23710.1	AT3G23710.1	orthologue	GO:0003674;GO:0009507;GO:0009536;GO:0015031;GO:0005829;GO:0016020;GO:0031972	Protein TIC 22-like, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 22-III) (AtTIC22-III);Tic22-like family protein
Om002G072780	251	AT2G31670.1	AT2G31670.1	orthologue	GO:0009507;GO:0009570;GO:0003674;GO:0005739;GO:0005777	Stress-response A/B barrel domain-containing protein UP3 (Unknown protein 3)
Om002G072790	435				GO:0003676;GO:0004523	
Om002G072800	292	AT3G23730.1	AT3G23730.1	orthologue	GO:0030247;GO:0010411;GO:0042546;GO:0016762;GO:0005576;GO:0004553;GO:0048046;GO:0071555;GO:0005975;GO:0005618;GO:0044042	Probable xyloglucan endotransglucosylase/hydrolase protein 16 (At-XTH16) (XTH-16) (EC 2.4.1.207)
Om002G072810	613	AT3G23740.1	AT3G23740.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein
Om002G072840	928	AT3G23750.1	AT3G23750.1	orthologue	GO:0010600;GO:0005886;GO:0004674;GO:0005576;GO:0009506;GO:0006468;GO:0005794;GO:0005515;GO:0005524;GO:0106310;GO:0004672	Receptor-like kinase TMK4 (EC 2.7.11.1) (BAK1-associating receptor-like kinase 1) (Leucine-rich repeat receptor-like kinases TMK4) (Transmembrane kinase 4)
Om002G072850	129	AT3G23760.1	AT3G23760.1	orthologue	GO:0000325;GO:0003674;GO:0005576;GO:0016740	Transferring glycosyl group transferase
Om002G072860	479	AT3G23770.1	AT3G23770.1	orthologue	GO:0005975;GO:0005886;GO:0005576;GO:0042973;GO:0009506;GO:0098552;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Om002G072870	724	AT3G23790.1	AT3G23790.1	orthologue	GO:0009941;GO:0006633;GO:0003674;GO:0009507;GO:0016874;GO:0008922;GO:0030497	Probable acyl-activating enzyme 16, chloroplastic (EC 6.2.1.-)
Om002G072880	104	AT3G23805.1	AT3G23805.1	orthologue	GO:0048046;GO:0007267;GO:0019722;GO:0005179;GO:0005576;GO:0040008;GO:0009506	Protein RALF-like 24
Om002G072890	485	AT3G23810.1	AT3G23810.1	orthologue	GO:0005737;GO:0003729;GO:0005829;GO:0033353;GO:0004013;GO:0005773;GO:0006730	Adenosylhomocysteinase 2 (AdoHcyase 2) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase 1) (SAH hydrolase 2)
Om002G072900	212	AT5G47320.1	AT5G47320.1	orthologue	GO:0009507;GO:0005763;GO:0000028;GO:0003735;GO:0003723;GO:0006412;GO:0003729;GO:0005840;GO:0015935;GO:0003676	Small ribosomal subunit protein uS19m (40S ribosomal protein S19, mitochondrial)
Om002G072910	75					
Om002G072920	459	AT3G23820.1	AT3G23820.1	orthologue	GO:0005802;GO:0033481;GO:0005794;GO:0005515;GO:0005768;GO:0050378;GO:0050829;GO:0000138;GO:0050832;GO:0032580	UDP-glucuronate 4-epimerase 6 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 6) (AtUGlcAE2)
Om002G072930	135	AT3G23830.1	AT3G23830.1	orthologue	GO:0050658;GO:0005615;GO:0009409;GO:0003727;GO:0006970;GO:0050688;GO:1900864;GO:0005829;GO:0003723;GO:0009414;GO:0006858;GO:0005739;GO:0009651;GO:0003690;GO:0003697;GO:0035197;GO:1990428;GO:0035198;GO:0003676	Glycine-rich RNA-binding protein 4, mitochondrial (AtGR-RBP4) (AtRBG4) (Glycine-rich protein 4) (AtGRP4) (Mitochondrial RNA-binding protein 1b) (At-mRBP1b) (Small RNA binding protein 4) (AtSRBP4)
Om002G072950	422	AT3G23840.1	AT3G23840.1	orthologue	GO:0016747;GO:0009535;GO:0042761;GO:0009555;GO:0005618;GO:0071555	Protein ECERIFERUM 26-like (CER26-like) (CER2-like protein 2) (CER2-like2)
Om002G072960	420	AT3G23840.1	AT3G23840.1	orthologue	GO:0016747;GO:0009535;GO:0042761;GO:0009555;GO:0005618;GO:0071555	Protein ECERIFERUM 26-like (CER26-like) (CER2-like protein 2) (CER2-like2)
Om002G072980	424	AT3G23840.1	AT3G23840.1	orthologue	GO:0016747;GO:0009535;GO:0042761;GO:0009555;GO:0005618;GO:0071555	Protein ECERIFERUM 26-like (CER26-like) (CER2-like protein 2) (CER2-like2)
Om002G072990	940	AT3G23900.1	AT3G23900.1	orthologue	GO:0003729;GO:0005634;GO:1901652;GO:0008270;GO:0003723;GO:0005515;GO:0003676	RNA recognition motif (RRM)-containing protein
Om002G073010	347	AT3G23870.1	AT3G23870.1	orthologue	GO:0015095;GO:0005576;GO:0016020;GO:0015693;GO:0005769;GO:0005886	Probable magnesium transporter;Probable magnesium transporter NIPA1
Om002G073020	370	AT3G23880.1	AT3G23880.1	orthologue	GO:0003674;GO:0005634;GO:0005515	F-box/kelch-repeat protein At3g23880
Om002G073030	426	AT3G24255.7, AT3G23910.1	AT3G23910.1	orthologue	GO:0003674;GO:0006979;GO:0005634;GO:0008150;GO:0005576;GO:0003964	HAPp48,5 protein (Reverse transcriptase-like protein);RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;Reverse transcriptase-like protein
Om002G073040	281	AT3G28870.1, AT3G24260.1	AT3G24260.1	orthologue	GO:0000118;GO:0000122;GO:0000785;GO:0005634;GO:0003714;GO:0006355	Paired amphipathic helix SIN3-like protein;Paired amphipathic helix Sin3-like protein
Om002G073050	124	AT3G24250.1	AT3G24250.1	orthologue	GO:0005575;GO:0003674;GO:0008150	At3g24250 (Glycine-rich protein)
Om002G073070	200					
Om002G073080	84	AT3G24240.1	AT3G24240.1	other	GO:0010449;GO:0005515;GO:0042277;GO:0010082;GO:0001653;GO:0004674;GO:0005886;GO:2000280;GO:0010078;GO:0005524;GO:0010074;GO:0106310	LRR receptor-like serine/threonine-protein kinase RGI1 (EC 2.7.11.1) (Protein RECEPTOR OF RGF1 4) (Protein RGF1 INSENSITIVE 1) (Protein ROOT CLAVATA-HOMOLOG1 2)
Om002G073100	581	AT3G24220.1	AT3G24220.1	orthologue	GO:0009535;GO:0009570;GO:0016121;GO:0010114;GO:0009507;GO:0009639;GO:0010436;GO:0009688;GO:0045549;GO:0046872;GO:0016702	9-cis-epoxycarotenoid dioxygenase NCED6, chloroplastic (AtNCED6) (EC 1.13.11.51)
Om002G073110	623	AT3G24210.1	AT3G24210.1	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0005737;GO:0012505;GO:0016020;GO:0005515	Ankyrin repeat family protein
Om002G073120	508	AT3G24200.2	AT3G24200.2	orthologue	GO:0005739;GO:0008681;GO:0016491;GO:0016120;GO:0006744;GO:0071949;GO:0016123;GO:0016709;GO:0016712;GO:0031314;GO:0106364;GO:0016705;GO:0050660	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial (EC 1.14.15.45) (2-methoxy-6-polyprenolphenol 4-hydroxylase) (EC 1.14.15.46)
Om002G073130	787	AT3G24190.1	AT3G24190.1	orthologue	GO:0004672;GO:0009507;GO:0005524;GO:0010287;GO:0006468	AT3g24190/MUJ8_17 (Protein kinase superfamily protein)
Om002G073140	950	AT3G24180.1	AT3G24180.1	orthologue	GO:0005886;GO:0004348;GO:0006680;GO:0008422;GO:0005975;GO:0004553;GO:0016020	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)
Om002G073150	496	AT3G24170.1	AT3G24170.1	orthologue	GO:0004791;GO:0009860;GO:0005737;GO:0005777;GO:0050660;GO:0005829;GO:0045454;GO:0006749;GO:0004362;GO:0050661;GO:0016668;GO:0005739;GO:0034599;GO:0016491	Glutathione reductase, cytosolic (GR) (GRase) (EC 1.8.1.7) (OBP29)
Om002G073160	364	AT3G24160.1	AT3G24160.1	orthologue	GO:0005794;GO:0000137;GO:0000325;GO:0005783;GO:0003674;GO:0016020;GO:0012505	AT3g24160/MUJ8_16 (Type 1 membrane protein) (Type 1 membrane protein, putative)
Om002G073170	338	AT3G24150.1	AT3G24150.1	orthologue	GO:0005634;GO:0006355;GO:0003712	Uncharacterized protein At3g24150
Om002G073180	403	AT3G24140.1	AT3G24140.1	orthologue	GO:0003700;GO:0005634;GO:0045893;GO:0005515;GO:0010444;GO:0010377;GO:0010052;GO:0051782;GO:0010374;GO:0046983;GO:0090547;GO:0045597;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor FAMA (Basic helix-loop-helix protein 97) (AtbHLH97) (bHLH 97) (Transcription factor EN 14) (bHLH transcription factor bHLH097)
Om002G073190	336	AT5G18990.1, AT3G24130.1	AT3G24130.1	orthologue	GO:0042545;GO:0030599;GO:0045490;GO:0005576;GO:0052689	Probable pectinesterase 29 (PE 29) (EC 3.1.1.11) (Pectin methylesterase 29) (AtPME29);Probable pectinesterase 55 (PE 55) (EC 3.1.1.11) (Pectin methylesterase 55) (AtPME55)
Om002G073200	293	AT3G24120.2	AT3G24120.2	orthologue	GO:0000976;GO:0016036;GO:0005634;GO:0010468;GO:0006355;GO:0043565;GO:0010628;GO:0005515;GO:0003700;GO:0003677	Protein PHR1-LIKE 2 (Myb family transcription factor PHL2)
Om002G073210	229	AT3G24110.1	AT3G24110.1	orthologue	GO:0008150;GO:0005509;GO:0005634;GO:0016460	Calcium-binding EF-hand family protein;Probable calcium-binding protein CML22 (Calmodulin-like protein 22)
Om002G073220	71	AT3G24100.1	AT3G24100.1	other	GO:0003674;GO:0043068;GO:0005576	Uncharacterized protein AT3g24100 (Uncharacterized protein family SERF)
Om002G073230	399	AT3G31430.1, AT3G42140.1	AT3G31430.1	other	GO:0008150;GO:0003674;GO:0005575	Zinc ion binding / nucleic acid binding protein;Zinc knuckle (CCHC-type) family protein
Om002G073240	279	AT3G24093.1	AT3G24093.1	orthologue	GO:0000785;GO:0006355;GO:0003714;GO:0000118;GO:0000122;GO:0005739	Paired amphipathic helix (PAH2) superfamily protein
Om002G073270	684	AT3G24090.1	AT3G24090.1	orthologue	GO:0006047;GO:0010208;GO:0006042;GO:0006487;GO:0004360;GO:0034976;GO:0072720;GO:0005737;GO:0006048;GO:0097367;GO:0006002;GO:0006541;GO:1901135;GO:1901137	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (AtGFAT) (AtGFAT1) (Glutamine:fructose-6-phosphate amidotransferase 1) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase GFAT1) (Hexosephosphate aminotransferase GFAT1)
Om002G073280	344	AT3G24070.1	AT3G24070.1	orthologue	GO:0008270;GO:0005737;GO:0003676	At3g24060 (Zinc knuckle (CCHC-type) family protein)
Om002G073290	144	AT3G24060.1	AT3G24060.1	orthologue	GO:0005576;GO:0008150;GO:0003674;GO:0003676;GO:0008270;GO:0016020;GO:0060320	At3g24060 (Zinc knuckle (CCHC-type) family protein);Plant self-incompatibility protein S1 family
Om002G073300	68					
Om002G073310	266	AT3G24050.1	AT3G24050.1	orthologue	GO:0006357;GO:0000976;GO:0006355;GO:0005634;GO:0008270;GO:0030154;GO:0007623;GO:0003700;GO:0043565	GATA transcription factor 1 (AtGATA-1)
Om002G073320	422	AT3G24040.1	AT3G24040.1	orthologue	GO:0015020;GO:0005794;GO:0000138;GO:0016757;GO:0016020	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (Glycosyltransferase)
Om002G073330	272	AT3G24030.1	AT3G24030.1	orthologue	GO:0009228;GO:0009229;GO:0004417;GO:0036172;GO:0005575;GO:0000287;GO:0005524	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)
Om002G073340	243	AT3G24020.1	AT3G24020.1	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0009699;GO:0048046	Dirigent protein 16 (AtDIR16)
Om002G073350	234	AT3G24010.1	AT3G24010.1	orthologue	GO:0005634;GO:0035064;GO:0006325;GO:0008270	PHD finger protein ING1 (Protein INHIBITOR OF GROWTH 1) (Protein AtING1)
Om002G073360	713	AT3G23980.1	AT3G23980.1	orthologue	GO:0048826;GO:0005515;GO:0010091;GO:0048316;GO:0006355;GO:0051781;GO:0005634;GO:0009965;GO:0005794;GO:0009908;GO:0040008;GO:0005737	Protein BLISTER (Protein KOLD SENSITIV-1)
Om002G073370	433	AT1G15680.1, AT3G23950.1, AT3G23970.1	AT3G23950.1	other	GO:0005575;GO:0031146;GO:0004842;GO:0005739;GO:0008150;GO:0003674;;GO:0005515	Putative F-box protein At3g23950;Putative F-box protein At3g23970;Putative F-box/kelch-repeat protein At1g15680
Om002G073380	433	AT3G23950.1, AT3G23970.1	AT3G23950.1	orthologue	GO:0005575;GO:0031146;GO:0004842;GO:0005739;GO:0008150;GO:0003674;;GO:0005515	Putative F-box protein At3g23950;Putative F-box protein At3g23970
Om002G073390	606	AT3G23940.1	AT3G23940.1	orthologue	GO:0009570;GO:0009507;GO:0009536;GO:0009099;GO:0009082;GO:0009555;GO:0004160;GO:0048364;GO:0009651;GO:0009553;GO:0016836;GO:0005507;GO:0009097;GO:0051537;GO:0003824	Dihydroxy-acid dehydratase, chloroplastic (AthDHAD) (DAD) (EC 4.2.1.9)
Om002G073400	220	AT3G23930.1	AT3G23930.1	orthologue	GO:0005737;GO:0003674	Troponin T, skeletal protein
Om002G073410	569	AT3G23920.1	AT3G23920.1	orthologue	GO:0005983;GO:0009414;GO:0016161;GO:0005576;GO:0009507;GO:0000272	Beta-amylase 1, chloroplastic (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 7) (Thioredoxin-regulated beta-amylase) (TR-BAMY)
Om002G073430	281	AT4G13680.1	AT4G13680.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Uncharacterized protein AT4g13680 (Uncharacterized protein F18A5.70)
Om002G073450	90	AT5G55310.1	AT5G55310.1	other	GO:0006265;GO:0003917;GO:0007059;GO:0005730;GO:0005634;GO:0005694;GO:0006260;GO:0003677	DNA topoisomerase 1 beta (EC 5.6.2.1) (DNA topoisomerase 1)
Om002G073490	281	AT4G13680.1	AT4G13680.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Uncharacterized protein AT4g13680 (Uncharacterized protein F18A5.70)
Om002G073510	72					
Om002G073520	78					
Om002G073530	68					
Om002G073550	156					
Om002G073570	121					
Om002G073580	84	AT3G03680.1	AT3G03680.1	orthologue	GO:0003674;GO:0031982;GO:0000139;GO:0046872	Multiple C2 domain and transmembrane region protein 14
Om002G073590	265	AT2G29570.1	AT2G29570.1	other	GO:0006275;GO:0019985;GO:0006272;GO:0042276;GO:0006298;GO:0043626;GO:0005515;GO:0030337;GO:0005634;GO:0003677;GO:0006260	Proliferating cell nuclear antigen 2 (PCNA 2)
Om002G073600	477	AT1G77270.1	AT1G77270.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein At1g77270
Om002G073610	66	AT1G21580.1	AT1G21580.1	other	GO:0005634;GO:0060149;GO:0043484;GO:0003674;GO:0016607;GO:0008270	Uncharacterized protein At1g21580;Zinc finger C-x8-C-x5-C-x3-H type family protein
Om002G073620	68	AT1G21580.1	AT1G21580.1	other	GO:0005634;GO:0060149;GO:0043484;GO:0003674;GO:0016607;GO:0008270;GO:0046872	Uncharacterized protein At1g21580;Zinc finger C-x8-C-x5-C-x3-H type family protein
Om002G073630	82	AT1G21580.1	AT1G21580.1	other	GO:0005634;GO:0060149;GO:0043484;GO:0003674;GO:0016607;GO:0008270	Uncharacterized protein At1g21580;Zinc finger C-x8-C-x5-C-x3-H type family protein
Om002G073640	307				GO:0003723	
Om002G073660	498	AT3G24290.1, AT3G24300.1	AT3G24300.1	orthologue	GO:0010311;GO:0005886;GO:0072488;GO:0080181;GO:0097272;GO:0005515;GO:0008519;GO:0110067;GO:0016020	Ammonium transporter 1 member 3 (AtAMT1;3);Putative ammonium transporter 1 member 5 (AtAMT1;5)
Om002G073670	70					
Om002G073680	200	AT5G28780.1, AT3G51700.1, AT3G51690.1	AT3G51700.1	other	GO:0005634;GO:0032508;GO:0005657;GO:0006260;GO:0003677;GO:0004386;GO:0005737	PIF1 helicase
Om002G073690	278	AT3G24310.1	AT3G24310.1	orthologue	GO:0000976;GO:0045893;GO:0005634;GO:0003700;GO:0006355;GO:0001216;GO:0043565	MYB-like DNA-binding domain protein (Myb domain protein 305)
Om002G073740	81				GO:0003677;GO:0003899;GO:0006351	
Om002G073750	221	AT3G12840.1	AT3G12840.1	other	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	Putative FBD-associated F-box protein At3g12840
Om002G073780	123	AT1G52603.1, AT5G33393.1, AT1G67235.1	AT1G67235.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0009507;GO:0008270;GO:0016020	GRF zinc finger protein;Transmembrane protein;Zinc finger GRF-type domain-containing protein
Om002G073790	547	AT1G48520.1	AT1G48520.1	orthologue	GO:0009507;GO:0009570;GO:0005739;GO:0050567;GO:0070681;GO:0005524;GO:0030956;GO:0032543;GO:0043436;GO:0016884;GO:0003824;GO:0016874	Glutamyl-tRNA(Gln) amidotransferase subunit B, chloroplastic/mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-)
Om002G073800	294	AT3G24315.1	AT3G24315.1	orthologue	GO:0031201;GO:0006890;GO:0005737;GO:0005484;GO:0005783;GO:0005789	At3g24315 (Sec20 family protein)
Om002G073810	1118	AT3G24320.1	AT3G24320.1	orthologue	GO:0006298;GO:0005524;GO:0005739;GO:0009408;GO:0043504;GO:0000002;GO:0005634;GO:0009536;GO:0009507;GO:0030983;GO:0003677;GO:0003690;GO:0042651;GO:0032042	DNA mismatch repair protein MSH1, mitochondrial (AtMSH1) (MutS protein homolog 1) (Protein CHLOROPLAST MUTATOR);MUTL protein homolog 1
Om002G073820	491	AT3G24330.1	AT3G24330.1	orthologue	GO:0042973;GO:0016020;GO:0005886;GO:0005975;GO:0006952;GO:0098552;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Om002G073830	1188	AT3G24340.1	AT3G24340.1	orthologue	GO:0080188;GO:0140745;GO:0005634;GO:0140658;GO:0003677;GO:0004386;GO:0005524;GO:0016787;GO:1900370	SNF2 domain-containing protein CLASSY 4 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 40) (AtCHR40)
Om002G073850	345	AT3G24350.2	AT3G24350.2	orthologue	GO:0012505;GO:0006886;GO:0031201;GO:0005515;GO:0000139;GO:0048278;GO:0005484;GO:0006888;GO:0005794;GO:0061025;GO:0000149;GO:0006906;GO:0016192;GO:0016020	Syntaxin of plants 32;Syntaxin-32 (AtSYP32)
Om002G073860	406	AT3G24360.1	AT3G24360.1	orthologue	GO:0005829;GO:0009507;GO:0005739;GO:0003860;GO:0006574;GO:0006508;GO:0008233	3-hydroxyisobutyryl-CoA hydrolase (HIB-CoA hydrolase) (HIBYL-CoA-H) (EC 3.1.2.4) (3-hydroxyisobutyryl-coenzyme A hydrolase);3-hydroxyisobutyryl-CoA hydrolase-like protein 4, mitochondrial (EC 3.1.2.-)
Om002G073870	641	AT3G24540.1	AT3G24540.1	orthologue	GO:0004674;GO:0005575;GO:0016310;GO:0005524;GO:0005886;GO:0106310;GO:0004672;GO:0006468	Proline-rich receptor-like protein kinase PERK3 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 3) (AtPERK3)
Om002G073880	273	AT3G24420.1	AT3G24420.1	orthologue	GO:0005634;GO:0005737;GO:0003674;GO:0016787	Alpha/beta-Hydrolases superfamily protein (At3g24420) (Hydrolase-like protein)
Om002G073900	112					
Om002G073910	522	AT3G24430.1	AT3G24430.1	orthologue	GO:0051536;GO:0016226;GO:0009507;GO:0140663;GO:0009570;GO:0005829;GO:0051539;GO:0005524;GO:0046872	Fe-S cluster assembly factor HCF101, chloroplastic (Protein HIGH CHLOROPHYLL FLUORESCENCE 101)
Om002G073920	124					
Om002G073930	611	AT3G24440.1	AT3G24440.1	orthologue	GO:0010048;GO:0009409;GO:0005677;GO:0009909;GO:0045814;GO:0005515;GO:0048575;GO:0040029;GO:0005634;GO:0016607;GO:0048572;GO:0008270;GO:0009908	Fibronectin type III domain-containing protein;VIN3-like protein 1 (Protein VERNALIZATION 5)
Om002G073940	436					
Om002G073950	143	AT3G24450.1	AT3G24450.1	orthologue	GO:0046872;GO:0005575	Heavy metal transport/detoxification superfamily protein
Om002G073970	600	AT1G65280.1	AT1G65280.1	orthologue	GO:0005634;GO:0003674	DNAJ heat shock N-terminal domain-containing protein
Om002G073980	284	AT4G09580.1	AT4G09580.1	orthologue	GO:0000045;GO:0003674;GO:0008150;GO:0005783;GO:0016020	Uncharacterized membrane protein At4g09580
Om002G074000	85					
Om002G074010	237	ATMG00240.1	ATMG00240.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00240 (ORF111a)
Om002G074030	412	AT3G24460.1	AT3G24460.1	orthologue	GO:0016020;GO:0008150;GO:0003674	AT3g24470/MXP5_4 (Serinc-domain containing serine and sphingolipid biosynthesis protein)
Om002G074040	367				GO:0005777;GO:0010468	
Om002G074050	769	AT2G17550.1	AT2G17550.1	orthologue	GO:0003674;GO:0005634	RB1-inducible coiled-coil protein
Om002G074090	726	AT3G24480.1	AT3G24480.1	orthologue	GO:0009506;GO:0009505;GO:0005199;GO:0005576;GO:0071555;GO:0005515	Leucine-rich repeat extensin-like protein 4 (AtLRX4) (LRR/EXTENSIN4) (Cell wall hydroxyproline-rich glycoprotein)
Om002G074100	341	AT3G24490.1	AT3G24490.1	orthologue	GO:0005634;GO:0006355;GO:0005515;GO:0000976;GO:0003700	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
Om002G074110	1105	AT3G24495.1	AT3G24495.1	orthologue	GO:0032301;GO:0006298;GO:0030983;GO:0005634;GO:0005515;GO:0140664;GO:0005524;GO:0003690	DNA mismatch repair protein MSH7 (AtMSH7) (MutS protein homolog 7);MUTS homolog 7
Om002G074120	148	AT3G24500.1	AT3G24500.1	orthologue	GO:0045893;GO:0009408;GO:0005634;GO:0071456;GO:0009737;GO:0009873;GO:0009414;GO:0005730;GO:0003713;GO:0003700;GO:0005622;GO:0003677;GO:0005737	Multiprotein bridging factor 1C;Multiprotein-bridging factor 1c
Om002G074130	501	AT3G24503.1	AT3G24503.1	orthologue	GO:0009699;GO:0004029;GO:0005829;GO:0050269;GO:0043878;GO:0005737;GO:0016491;GO:0016620	Aldehyde dehydrogenase family 2 member C4 (EC 1.2.1.3) (ALDH1a) (Protein REDUCED EPIDERMAL FLUORESCENCE 1)
Om002G074140	420	AT3G24515.3	AT3G24515.3	orthologue	GO:0061631;GO:0000209;GO:0005634;GO:0006974;GO:0016567;GO:0005524;GO:0016740	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23);Probable ubiquitin-conjugating enzyme E2 37 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 37) (Ubiquitin carrier protein 37);Ubiquitin-conjugating enzyme 37
Om002G074180	603	AT3G13640.1	AT3G13640.1	orthologue	GO:0005524;GO:0006415;GO:0006413;GO:0005506;GO:0016887;GO:0022857;GO:0043024;GO:0005575;GO:0016020;GO:0046872;GO:0051539	ABC transporter E family member 1 (ABC transporter ABCE.1) (AtABCE1) (RNase L inhibitor-like protein 1) (AtRLI1) (AthaRLI1)
Om002G074190	103	AT3G49100.1	AT3G49100.1	orthologue	GO:0045900;GO:0006614;GO:0005737;GO:0005786;GO:0005829;GO:0008312;GO:0048500	Signal recognition particle 9 kDa protein (SRP9)
Om002G074200	306	AT3G24520.1	AT3G24520.1	orthologue	GO:0005634;GO:0034605;GO:0005515;GO:0003700;GO:0006355;GO:0006357;GO:0000978;GO:0043565	Heat stress transcription factor C-1 (AtHsfC1) (AtHsf-08)
Om002G074210	481	AT3G24530.1	AT3G24530.1	orthologue	GO:0016887;GO:0009507;GO:0005524;GO:0005515	AAA-type ATPase family protein / ankyrin repeat family protein;AAA-type ATPase family protein / ankyrin repeat family protein (Putative rubisco expression protein)
Om002G074220	181	AT1G24060.1	AT1G24060.1	orthologue	GO:0003674;GO:0009507;GO:0008150;;GO:0006355;GO:0000118;GO:0000122;GO:0000785;GO:0003714	Uncharacterized protein At1g24060
Om002G074240	651	AT3G24550.1	AT3G24550.1	orthologue	GO:0006468;GO:0005886;GO:0009620;GO:0046777;GO:0004674;GO:0009611;GO:0004672;GO:0005634;GO:0005524;GO:0106310	Proline-rich receptor-like protein kinase PERK1 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 1) (AtPERK1)
Om002G074250	658	AT3G24560.2	AT3G24560.2	orthologue	GO:0009793;GO:0032267;GO:0016879;GO:0009507;GO:0005524;GO:0009658;GO:0010098;GO:0008033;GO:0016787;GO:0000166	Adenine nucleotide alpha hydrolases-like superfamily protein;Adenine nucleotide alpha hydrolases-like superfamily protein (At3g24560);tRNA(Ile)-lysidine synthetase (EC 6.3.4.19)
Om002G074260	224	AT3G24570.1	AT3G24570.1	orthologue	GO:0005739;GO:0005737;GO:0003674;GO:0008150;GO:0016020	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
Om002G074280	135	AT4G12520.1, AT4G12510.1	AT4G12520.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0005783;GO:0009506	At4g12520 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (PEARLI 1-like protein)
Om002G074290	295	AT3G24590.2	AT3G24590.2	orthologue	GO:0005886;GO:0009535;GO:0004252;GO:0008233;GO:0009526;GO:0055035;GO:0051604;GO:0006465;GO:0010027;GO:0005515;GO:0009507;GO:0006508;GO:0016020;GO:0009941;GO:0008236	Chloroplast processing peptidase (EC 3.4.21.89) (Signal peptidase I-3);signal peptidase I (EC 3.4.21.89)
Om002G074300	315	AT3G24600.1	AT3G24600.1	orthologue	GO:0005575;GO:0003674;GO:0008150;GO:0016020	Late embryogenesis abundant protein, group 2
Om002G074310	300	AT3G24605.1	AT3G24605.1	orthologue	GO:0005634;GO:0003674;GO:0016020	Late embryogenesis abundant protein, group 2
Om002G074320	299	AT3G24600.1	AT3G24600.1	orthologue	GO:0005575;GO:0003674;GO:0008150;GO:0016020	Late embryogenesis abundant protein, group 2
Om002G074340	268	AT2G20120.1	AT2G20120.1	other	GO:0010222;GO:0005634;GO:0005794;GO:0003674;GO:0016020	Protein CONTINUOUS VASCULAR RING 1
Om002G074350	525	AT3G24620.1	AT3G24620.1	orthologue	GO:0042802;GO:0005886;GO:0005085;GO:0005515	Rho guanine nucleotide exchange factor 8 (AtRopGEF8) (Rho of plants guanine nucleotide exchange factor 8)
