Cochlearia_excelsa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
g25582	144					
g25583	182					
g25584	187					
g25585	164	AT4G04630.1	AT4G04630.1	orthologue	GO:0005634;GO:0003674;GO:0010150	Senescence regulator
g25586	162					
g25587	78					
g25588	404					
g25589	754				GO:0003676;GO:0008270;GO:0015074	
g2559	381				GO:0003676;GO:0004523	
g25590	206	AT4G04605.1	AT4G04605.1	orthologue	GO:0008150;GO:0003700;GO:0005634;GO:0003677	Myb-like DNA-binding domain protein
g25591	506	AT4G04460.1	AT4G04460.1	orthologue	GO:0005576;GO:0046686;GO:0006508;GO:0006629;GO:0004190	Aspartic proteinase A3 (EC 3.4.23.-);Saposin-like aspartyl protease family protein
g25592	721	AT4G04370.1	AT4G04370.1	other	GO:0003723;GO:0009451;GO:0009507;GO:0005515;GO:0043231	Pentatricopeptide repeat-containing protein At4g04370
g25593	177	AT4G04360.1	AT4G04360.1	orthologue	GO:0008150;GO:0003674;GO:0005575;GO:0016020	Transmembrane protein, putative (DUF1068)
g25594	126					
g25595	81					
g25596	187					
g25597	157	AT5G23680.1	AT5G23680.1	orthologue	GO:0005737;GO:0003674	At5g23680 (Similarity to unknown protein) (Sterile alpha motif (SAM) domain-containing protein)
g25598	528	AT4G04320.1	AT4G04320.1	orthologue	GO:2001294;GO:0006633;GO:0005782;GO:0005759;GO:0005739;GO:0050080;GO:0006085;GO:0005777;GO:0005829	Malonyl-CoA decarboxylase family protein;Malonyl-CoA decarboxylase family protein (Malonyl-CoA decarboxylase like protein) (Putative malonyl-CoA decarboxylase)
g25599	185					
g256	1476	AT5G64070.1	AT5G64070.1	orthologue	GO:0048768;GO:0048015;GO:0046854;GO:0009860;GO:0004430;GO:0006661;GO:0043424;GO:0005737;GO:0030659;GO:0005634;GO:0005886;GO:0016020;GO:0035619;GO:0031267;GO:0005515;GO:0005794;GO:0016301;GO:0003677;GO:0006355;GO:0052742	Phosphatidylinositol 4-OH kinase beta1;Phosphatidylinositol 4-kinase beta 1 (PI4-kinase beta 1) (PtdIns-4-kinase beta 1) (EC 2.7.1.67) (Phosphatidylinositol 4-OH kinase beta1) (AtPI4Kbeta1) (PI-4Kbeta1)
g2560	105					
g25600	588	AT4G04180.1	AT4G04180.1	orthologue	GO:0043161;GO:0008540;GO:0009507;GO:0036402;GO:0005739;GO:0016887;GO:0000502;GO:0005524;GO:0005634	P-loop containing nucleoside triphosphate hydrolases superfamily protein
g25601	553	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964	Non-LTR retroelement reverse transcriptase
g25602	212	AT4G12390.1	AT4G12390.1	orthologue	GO:0009505;GO:0005576;GO:0004857;GO:0009827;GO:0009506;GO:0046910;GO:0048046;GO:0043086	Pectin methylesterase inhibitor 1
g25603	161	AT4G12410.1	AT4G12410.1	orthologue	GO:0009733;GO:0003674;GO:0005739	SAUR-like auxin-responsive protein family
g25604	585	AT4G12420.1	AT4G12420.1	orthologue	GO:0009932;GO:0005886;GO:0009505;GO:0016491;GO:0000325;GO:0005576;GO:0048046;GO:0016020;GO:0005829;GO:0005507;GO:0009506;GO:0098552	Monocopper oxidase-like protein SKU5 (Skewed roots)
g25605	164	AT4G12490.1, AT4G12500.1, AT4G12480.1	AT4G12480.1	orthologue	GO:0003674;GO:0005576;GO:0009506;GO:0009707;GO:0005783;GO:0050832;GO:0009737;GO:0009505;GO:0009682;GO:0009651;GO:0009409;GO:0099503	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1);pEARLI1-like lipid transfer protein 2;pEARLI1-like lipid transfer protein 3
g25606	96	AT4G12490.1, AT4G12500.1, AT4G12480.1	AT4G12480.1	orthologue	GO:0003674;GO:0005576;GO:0009506;GO:0009707;GO:0005783;GO:0050832;GO:0009737;GO:0009505;GO:0009682;GO:0009651;GO:0009409;GO:0099503	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1);pEARLI1-like lipid transfer protein 2;pEARLI1-like lipid transfer protein 3
g25607	111	AT4G12490.1, AT4G12500.1, AT4G12480.1	AT4G12490.1	orthologue	GO:0003674;GO:0005576;GO:0009506;GO:0009707;GO:0005783;GO:0050832;GO:0009737;GO:0009505;GO:0009682;GO:0009651;GO:0009409;GO:0099503	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1);pEARLI1-like lipid transfer protein 2;pEARLI1-like lipid transfer protein 3
g25608	100					
g25609	166					
g2561	213					
g25610	129					
g25611	1679				GO:0015074;GO:0003676	
g25612	416					
g25613	274					
g25614	184	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
g25615	987	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020;GO:0003676	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
g25616	191	AT1G27880.1	AT1G27880.1	other	GO:0006310;GO:0005634;GO:0000724;GO:0006268;GO:0043138;GO:0003676;GO:0042631;GO:0005694;GO:0009378;GO:0005737;GO:0003677;GO:0004386;GO:0005524;GO:0016787;GO:0016887	ATP-dependent DNA helicase Q-like 5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (RecQ-like protein 5) (AtRecQ5) (AtRecQl5);DNA 3'-5' helicase (EC 5.6.2.4)
g25617	105	AT4G22463.1	AT4G22463.1	orthologue	GO:0008150;GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
g25618	105	AT4G22463.1	AT4G22463.1	orthologue	GO:0008150;GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
g25619	164	AT4G12490.1, AT4G12500.1, AT4G12480.1	AT4G12490.1	orthologue	GO:0003674;GO:0005576;GO:0009506;GO:0009707;GO:0005783;GO:0050832;GO:0009737;GO:0009505;GO:0009682;GO:0009651;GO:0009409;GO:0099503	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1);pEARLI1-like lipid transfer protein 2;pEARLI1-like lipid transfer protein 3
g2562	105					
g25620	303					
g25621	158	AT4G12490.1, AT4G12500.1, AT4G12480.1	AT4G12490.1	orthologue	GO:0003674;GO:0005576;GO:0009506;GO:0009707;GO:0005783;GO:0050832;GO:0009737;GO:0009505;GO:0009682;GO:0009651;GO:0009409;GO:0099503	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1);pEARLI1-like lipid transfer protein 2;pEARLI1-like lipid transfer protein 3
g25622	311					
g25623	333				GO:0003676;GO:0008270	
g25624	990				GO:0015074;GO:0003676	
g25625	98	AT4G12490.1, AT4G12500.1, AT4G12480.1	AT4G12480.1	orthologue	GO:0003674;GO:0005576;GO:0009506;GO:0009707;GO:0005783;GO:0050832;GO:0009737;GO:0009505;GO:0009682;GO:0009651;GO:0009409;GO:0099503	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1);pEARLI1-like lipid transfer protein 2;pEARLI1-like lipid transfer protein 3
g25626	311					
g25627	618				GO:0003676;GO:0008270;GO:0015074	
g25628	696				GO:0003676;GO:0015074	
g25629	152	AT4G12490.1, AT4G12500.1, AT4G12480.1	AT4G12500.1	orthologue	GO:0003674;GO:0005576;GO:0009506;GO:0009707;GO:0005783;GO:0050832;GO:0009737;GO:0009505;GO:0009682;GO:0009651;GO:0009409;GO:0099503	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1);pEARLI1-like lipid transfer protein 2;pEARLI1-like lipid transfer protein 3
g2563	607	AT3G50530.2	AT3G50530.2	orthologue	GO:0009931;GO:0005886;GO:0005634;GO:0004674;GO:0004683;GO:0005737;GO:0005516;GO:0035556;GO:0005524;GO:0016020;GO:0046872;GO:0106310;GO:0004672;GO:0006468	CDPK-related kinase 5 (AtCRK5) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase 1)
g25630	237				GO:0003700;GO:0005634;GO:0045893	
g25631	1281	ATMG00810.1	ATMG00810.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739;GO:0003676;GO:0015074	Uncharacterized mitochondrial protein AtMg00810 (ORF240b)
g25632	145	AT4G12490.1, AT4G12500.1, AT4G12480.1	AT4G12490.1	orthologue	GO:0003674;GO:0005576;GO:0009506;GO:0009707;GO:0005783;GO:0050832;GO:0009737;GO:0009505;GO:0009682;GO:0009651;GO:0009409;GO:0099503	Lipid transfer protein EARLI 1 (Protein EARLY ARABIDOPSIS ALUMINUM INDUCED 1) (pEARLI1);pEARLI1-like lipid transfer protein 2;pEARLI1-like lipid transfer protein 3
g25633	239					
g25634	131	AT4G12520.1, AT4G12510.1	AT4G12520.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0005783;GO:0009506	At4g12520 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (PEARLI 1-like protein)
g25635	80	AT5G16110.1	AT5G16110.1	other	GO:0005575;GO:0003674	Uncharacterized protein T21H19_30
g25636	174	AT5G18510.1	AT5G18510.1	other	GO:0003674;GO:0005634;GO:0010073;GO:0008483	Aminotransferase-like, plant mobile domain family protein
g25637	133	AT4G12520.1, AT4G12510.1	AT4G12520.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0005783;GO:0009506	At4g12520 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (PEARLI 1-like protein)
g25638	130	AT4G22460.1	AT4G22460.1	other	GO:0005575;GO:0008150;GO:0003674	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (Extensin like protein)
g25639	353					
g2564	172					
g25640	287					
g25641	759				GO:0003676;GO:0015074;GO:0008270	
g25642	146	AT4G12590.1	AT4G12590.1	other	GO:0072546;GO:0005783;GO:0005739;GO:0003674;GO:0016020;GO:0034975	ER membrane protein complex subunit 3
g25643	148					
g25644	131	AT4G12520.1, AT4G12510.1	AT4G12520.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0005783;GO:0009506	At4g12520 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (PEARLI 1-like protein)
g25645	140	AT5G18510.1	AT5G18510.1	other	GO:0003674;GO:0005634;GO:0010073;GO:0008483	Aminotransferase-like, plant mobile domain family protein
g25646	133	AT4G12520.1, AT4G12510.1	AT4G12520.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0005783;GO:0009506	At4g12520 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (PEARLI 1-like protein)
g25647	133	AT4G12520.1, AT4G12510.1	AT4G12520.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0005783;GO:0009506	At4g12520 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (PEARLI 1-like protein)
g25648	130	AT4G22460.1	AT4G22460.1	other	GO:0005575;GO:0008150;GO:0003674	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (Extensin like protein)
g25649	443					
g2565	230	AT3G50520.1	AT3G50520.1	orthologue	GO:0003824;GO:0005737;GO:0016791;GO:0005829	Phosphoglycerate mutase-like protein 4
g25650	741				GO:0015074;GO:0003676	
g25651	297					
g25652	246	AT4G12590.1	AT4G12590.1	orthologue	GO:0072546;GO:0005783;GO:0005739;GO:0003674;GO:0016020;GO:0034975	ER membrane protein complex subunit 3
g25653	128	AT4G12600.2	AT4G12600.2	orthologue	GO:0003723;GO:0005634;GO:0042254;GO:0030490;GO:0032040;GO:0000398;GO:0046540;GO:0071011;GO:0005730;GO:0031428;GO:0005681;GO:0005840;GO:1990904	AT4g12600/T1P17_190 (Ribosomal protein L7Ae-like) (Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein);Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein
g25654	544	AT4G12610.2	AT4G12610.2	orthologue	GO:0005634;GO:0001096;GO:0006367;GO:0032968;GO:0005674;GO:0005515;GO:0016251;GO:0003677	Transcription initiation factor IIF subunit alpha (TFIIF-alpha) (General transcription factor IIF subunit 1) (Transcription initiation factor RAP74 homolog) (AtRAP74)
g25655	913				GO:0003676;GO:0004523	
g25656	436				GO:0003824	
g25657	90	AT2G01050.1	AT2G01050.1	other	GO:0005634;GO:0008150;GO:0003674	Zinc ion binding / nucleic acid binding protein
g25658	315				GO:0003676	
g25659	1006				GO:0015074;GO:0003676;GO:0008270	
g2566	363	AT3G50500.2	AT3G50500.2	orthologue	GO:0005737;GO:0006468;GO:0009737;GO:0005515;GO:0006970;GO:0010029;GO:0004672;GO:0004674;GO:0005634;GO:0009739;GO:0009789;GO:0009414;GO:0009651;GO:0005829;GO:0016301;GO:0005524;GO:0009738;GO:0106310	Serine/threonine-protein kinase SRK2D (EC 2.7.11.1) (OST1-kinase-like 3) (Protein ATHPROKIN A) (SNF1-related kinase 2.2) (SnRK2.2);non-specific serine/threonine protein kinase (EC 2.7.11.1)
g25660	117	AT4G14695.1	AT4G14695.1	orthologue	GO:0006850;GO:0005739;GO:0009507;GO:0003674;GO:0005743	Mitochondrial pyruvate carrier;Mitochondrial pyruvate carrier 2
g25661	91	AT4G05590.2	AT4G05590.2	orthologue	GO:0006850;GO:0005515;GO:0005739;GO:2000070;GO:0009507;GO:0005743;GO:0010360;GO:1901017	Mitochondrial pyruvate carrier;Mitochondrial pyruvate carrier 3 (Protein NEGATIVE REGULATOR OF GUARD CELL ABA SIGNALING 1)
g25662	857	AT4G05540.1	AT4G05540.1	orthologue	GO:0005634;GO:0080136;GO:0004386;GO:0003723;GO:0005524;GO:0005694;GO:0016787	P-loop containing nucleoside triphosphate hydrolases superfamily protein
g25663	108	AT4G12610.2	AT4G12610.2	other	GO:0005634;GO:0001096;GO:0006367;GO:0032968;GO:0005674;GO:0005515;GO:0016251;GO:0003677	Transcription initiation factor IIF subunit alpha (TFIIF-alpha) (General transcription factor IIF subunit 1) (Transcription initiation factor RAP74 homolog) (AtRAP74)
g25664	385	AT4G12370.1	AT4G12370.1	orthologue	GO:0003674;GO:0005575;GO:0008150;;GO:0005515	F-box/kelch-repeat protein
g25665	198	AT4G12240.1	AT4G12240.1	other	GO:0006355;GO:0003700;GO:0009507;GO:0004540;GO:0005739;GO:0008270	Zinc finger (C2H2 type) family protein
g25666	152	AT4G12240.1	AT4G12240.1	orthologue	GO:0006355;GO:0003700;GO:0009507;GO:0004540;GO:0005739;GO:0008270	Zinc finger (C2H2 type) family protein
g25667	218	AT4G12150.1, AT4G12140.1, AT4G12220.1, AT4G12210.1, AT4G05350.1	AT4G05350.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0005634;GO:0016567;GO:0061630;GO:0005737;GO:0008270	RING-type E3 ubiquitin transferase (EC 2.3.2.27);RING/U-box superfamily protein;Uncharacterized protein AT4g12220 (Uncharacterized protein T4C9.60)
g25668	386	AT4G12130.1	AT4G12130.1	orthologue	GO:0005759;GO:0016226;GO:0005829;GO:0005739;GO:0003674;GO:0016740;GO:0005515	Putative transferase At4g12130, mitochondrial (EC 2.1.-.-) (Iron-sulfur cluster assembly factor homolog COG0354)
g25669	292	AT4G12080.1	AT4G12080.1	other	GO:0005730;GO:0005739;GO:0005634;GO:0003680;GO:0098687;GO:0005737;GO:0005654;GO:0043565;GO:0003677	AT-hook motif nuclear-localized protein 1
g2567	191	AT3G50480.1, AT3G50450.1, AT3G50460.1	AT3G50450.1	orthologue	GO:0009620;GO:0003674;GO:0005739;GO:0009507;GO:0009753;GO:0009610;GO:0009751;GO:0009609;GO:0009723;GO:0043207;GO:0009617;GO:0009626;GO:0016020	Homolog of RPW8 4;RPW8-like protein 1 (AtHR1);RPW8-like protein 2 (AtHR2);RPW8-like protein 4 (AtHR4)
g25670	479	AT4G12070.1	AT4G12070.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein At4g12070/F16J13_140 (Uncharacterized protein F16J13.140)
g25671	169	AT4G12040.1	AT4G12040.1	orthologue	GO:0003677;GO:0008270;GO:0009506;GO:0005634;GO:0043161	Zinc finger A20 and AN1 domain-containing stress-associated protein 7 (AtSAP7)
g25672	131					
g25673	301	AT4G12000.1	AT4G12000.1	orthologue	GO:0006979;GO:0003674;GO:0005886;GO:0016020	SNARE associated Golgi protein family
g25674	484	AT4G11920.1	AT4G11920.1	orthologue	GO:0097027;GO:0005515;GO:1990757;GO:1905786;GO:0005634;GO:0032877;GO:0016567;GO:0010997;GO:0005737;GO:0008361;GO:0031145;GO:0005680;GO:0010492;GO:0051301;GO:1904668	Protein FIZZY-RELATED 1 (Cell cycle switch protein CCS52A2)
g25675	346	AT4G11890.3	AT4G11890.3	orthologue	GO:0005886;GO:0005634;GO:0006955;GO:0009414;GO:0004672;GO:0031349;GO:0005829;GO:0004674;GO:0009787;GO:0002239;GO:0009651;GO:0005524;GO:0007165;GO:0009737;GO:0005515;GO:0009409;GO:0006952;GO:0106310;GO:0006468	Cysteine-rich receptor-like protein kinase 45 (Cysteine-rich RLK45) (EC 2.7.11.1) (ABA- and osmotic stress-inducible receptor-like cytosolic kinase 1);Protein kinase superfamily protein
g25676	855	AT4G11830.2, AT4G11840.1, AT4G11850.1	AT4G11850.1	other	GO:0006979;GO:0009395;GO:0022626;GO:0070290;GO:0004630;GO:0005509;GO:0006643;GO:0005886;GO:0046470;GO:0016020;GO:0009793;GO:0042742;GO:0045087;GO:0005515;GO:0005546;GO:0005829;GO:0010044;GO:0016042;GO:0005737;GO:0046872;GO:0003824	Phospholipase D (EC 3.1.4.4);Phospholipase D gamma 1 (AtPLDgamma1) (PLD gamma 1) (EC 3.1.4.4) (Choline phosphatase) (Lecithinase D) (Lipophosphodiesterase II);Phospholipase D gamma 2 (AtPLDgamma2) (PLD gamma 2) (EC 3.1.4.4);Phospholipase D gamma 3 (AtPLDgamma3) (PLD gamma 3) (EC 3.1.4.4);phospholipase D (EC 3.1.4.4)
g25677	694	AT4G11860.1	AT4G11860.1	orthologue	GO:1990380;GO:0004843;GO:0005737;GO:0016807;GO:0005829;GO:0071944;GO:0071108	FAM63A-like protein (DUF544)
g25678	482	AT2G22440.1	AT2G22440.1	other	GO:0005575;GO:0008150;GO:0003674;GO:0003964	Non-LTR retroelement reverse transcriptase
g25679	857	AT4G11830.2, AT4G11840.1, AT4G11850.1	AT4G11850.1	orthologue	GO:0006979;GO:0009395;GO:0022626;GO:0070290;GO:0004630;GO:0005509;GO:0006643;GO:0005886;GO:0046470;GO:0016020;GO:0009793;GO:0042742;GO:0045087;GO:0005515;GO:0005546;GO:0005829;GO:0010044;GO:0016042;GO:0005737;GO:0046872;GO:0003824	Phospholipase D (EC 3.1.4.4);Phospholipase D gamma 1 (AtPLDgamma1) (PLD gamma 1) (EC 3.1.4.4) (Choline phosphatase) (Lecithinase D) (Lipophosphodiesterase II);Phospholipase D gamma 2 (AtPLDgamma2) (PLD gamma 2) (EC 3.1.4.4);Phospholipase D gamma 3 (AtPLDgamma3) (PLD gamma 3) (EC 3.1.4.4);phospholipase D (EC 3.1.4.4)
g2568	260	AT3G50440.1	AT3G50440.1	orthologue	GO:0031408;GO:0071456;GO:0009694;GO:0009696;GO:0080030;GO:0080032;GO:0016788;GO:0080031;GO:0005829	Methylesterase 10 (AtMES10) (EC 3.1.1.-)
g25680	461	AT4G11820.2	AT4G11820.2	orthologue	GO:0006084;GO:0009506;GO:0010142;GO:0004421;GO:0005739;GO:0019287;GO:0016126;GO:0008299;GO:0016746	Hydroxymethylglutaryl-CoA synthase (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase) (Protein EMBRYO DEFECTIVE 2778) (Protein FLAKY POLLEN 1)
g25681	1021	AT4G11800.1	AT4G11800.1	orthologue	GO:0005739;GO:0016787;GO:0005783;GO:0016020	Calcineurin-like metallo-phosphoesterase superfamily protein
g25682	569	AT4G11740.1	AT4G11740.1	orthologue	GO:0005829;GO:0005737;GO:0043130;GO:0016192;GO:0005515	Plant UBX domain-containing protein 8 (PUX8) (Ara4-interacting protein) (Suppressor of ARA4-induced defect of ypt1) (SAY1);Ubiquitin-like superfamily protein
g25683	398					
g25684	319					
g25685	328					
g25686	398					
g25687	581	AT4G11690.1	AT4G11690.1	orthologue	GO:0009737;GO:0006397;GO:0009507;GO:0005739;GO:0080156;GO:0005737;GO:0003729;GO:0005515	Pentatricopeptide repeat (PPR-like) superfamily protein;Pentatricopeptide repeat-containing protein At4g11690
g25688	1074				GO:0003676;GO:0008270;GO:0015074	
g25689	408	AT4G11680.2	AT4G11680.2	orthologue	GO:0000325;GO:0016567;GO:0061630;GO:0006511;GO:0005634;GO:0008270;GO:0016020;GO:0016740	E3 ubiquitin-protein ligase At4g11680 (EC 2.3.2.27) (RING finger protein At4g11680) (RING-type E3 ubiquitin transferase At4g11680);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
g2569	370	AT3G50430.1	AT3G50430.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Golgin
g25690	348	AT4G11660.1	AT4G11660.1	orthologue	GO:0000978;GO:0003700;GO:0006357;GO:0005634;GO:0071456;GO:0045892;GO:0043565;GO:0006355	Heat stress transcription factor B-2b (AtHsfB2b) (AtHsf-11) (Heat shock factor protein 7) (HSF 7) (Heat shock transcription factor 7) (HSTF 7)
g25691	239	AT4G11650.1	AT4G11650.1	orthologue	GO:0042742;GO:0006952;GO:0099503;GO:0005576;GO:0005515;GO:0050832	Osmotin-like protein OSM34
g25692	153	AT2G01450.1	AT2G01450.1	other	GO:0005634;GO:0005737;GO:1900064;GO:0004707;GO:0004674;GO:0035556;GO:0007165;GO:0046777;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase 17 (AtMPK17) (MAP kinase 17) (EC 2.7.11.24)
g25693	168	AT4G11600.1	AT4G11600.1	orthologue	GO:0006979;GO:0005739;GO:0005886;GO:0098869;GO:0005829;GO:0047066;GO:0009507;GO:0004602;GO:0004601	Probable phospholipid hydroperoxide glutathione peroxidase 6, mitochondrial (AtGPX1) (PHGPx) (EC 1.11.1.12)
g25694	496					
g25695	1006	AT4G11610.1	AT4G11610.1	orthologue	GO:0031982;GO:0005739;GO:0003674;GO:0010008;GO:0016491;GO:0016757;GO:0046872;GO:0016020	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein;Multiple C2 domain and transmembrane region protein 7
g25696	1376	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020;GO:0015074;GO:0003676;GO:0008270	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
g25697	133	AT1G31000.1	AT1G31000.1	other	GO:0005739;GO:0003674;GO:0008150;;GO:0005515	Putative F-box protein At1g31000
g25698	328	AT4G11640.1	AT4G11640.1	orthologue	GO:0070179;GO:0030378;GO:0030170;GO:0005524;GO:0006563;GO:0009507;GO:0070178;GO:0000287;GO:0008721;GO:0003941;GO:0009069;GO:0018114;GO:0046872;GO:0006520	Serine racemase (AtSR) (EC 5.1.1.18) (D-serine ammonia-lyase) (D-serine dehydratase) (EC 4.3.1.18) (L-serine ammonia-lyase) (L-serine dehydratase) (EC 4.3.1.17)
g25699	567	AT4G11560.1	AT4G11560.1	orthologue	GO:2000028;GO:0034244;GO:0006351;GO:0001217;GO:0045814;GO:0005515;GO:0061628;GO:0005634;GO:0003682;GO:0140566	ASI1-immunoprecipitated protein 3 (Bromo-adjacent homology domain-containing protein 1) (BAH domain-containing transcriptional regulator 1) (Protein REPRESSOR OF VERNALIZATION 1) (AtRVR1);Bromo-adjacent homology (BAH) domain-containing protein
g257	567	AT5G64050.1	AT5G64050.1	orthologue	GO:0048481;GO:0043039;GO:0006424;GO:0009507;GO:0000049;GO:0005739;GO:0008270;GO:0005515;GO:0009658;GO:0005737;GO:0009570;GO:0004818;GO:0007005;GO:0009536;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Glutamate--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.17) (AtERS) (Glutamyl-tRNA synthetase) (GluRS) (Protein OVULE ABORTION 3)
g2570	249	AT3G50430.1	AT3G50430.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Golgin
g25700	70					
g25701	87	AT4G11560.1	AT4G11560.1	other	GO:2000028;GO:0034244;GO:0006351;GO:0001217;GO:0045814;GO:0005515;GO:0061628;GO:0005634;GO:0003682;GO:0140566	ASI1-immunoprecipitated protein 3 (Bromo-adjacent homology domain-containing protein 1) (BAH domain-containing transcriptional regulator 1) (Protein REPRESSOR OF VERNALIZATION 1) (AtRVR1);Bromo-adjacent homology (BAH) domain-containing protein
g25702	731					
g25703	109	AT4G11560.1	AT4G11560.1	other	GO:2000028;GO:0034244;GO:0006351;GO:0001217;GO:0045814;GO:0005515;GO:0061628;GO:0005634;GO:0003682;GO:0140566	ASI1-immunoprecipitated protein 3 (Bromo-adjacent homology domain-containing protein 1) (BAH domain-containing transcriptional regulator 1) (Protein REPRESSOR OF VERNALIZATION 1) (AtRVR1);Bromo-adjacent homology (BAH) domain-containing protein
g25704	70					
g25705	95	AT4G11560.1	AT4G11560.1	other	GO:2000028;GO:0034244;GO:0006351;GO:0001217;GO:0045814;GO:0005515;GO:0061628;GO:0005634;GO:0003682;GO:0140566	ASI1-immunoprecipitated protein 3 (Bromo-adjacent homology domain-containing protein 1) (BAH domain-containing transcriptional regulator 1) (Protein REPRESSOR OF VERNALIZATION 1) (AtRVR1);Bromo-adjacent homology (BAH) domain-containing protein
g25706	1132				GO:0003676;GO:0008270;GO:0015074	
g25707	107					
g25708	70					
g25709	76					
g2571	705	AT3G50420.1	AT3G50420.1	orthologue	GO:0009507;GO:0005739;GO:0003723;GO:0009451;GO:0099402;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein;Pentatricopeptide repeat-containing protein At3g50420
g25710	509	AT4G11560.1	AT4G11560.1	orthologue	GO:2000028;GO:0034244;GO:0006351;GO:0001217;GO:0045814;GO:0005515;GO:0061628;GO:0005634;GO:0003682;GO:0140566	ASI1-immunoprecipitated protein 3 (Bromo-adjacent homology domain-containing protein 1) (BAH domain-containing transcriptional regulator 1) (Protein REPRESSOR OF VERNALIZATION 1) (AtRVR1);Bromo-adjacent homology (BAH) domain-containing protein
g25711	891					
g25712	647	AT4G11490.1	AT4G11490.1	orthologue	GO:0004674;GO:0042742;GO:0016301;GO:0009626;GO:0005886;GO:0005576;GO:0007165;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468	Putative cysteine-rich receptor-like protein kinase 33 (Cysteine-rich RLK33) (EC 2.7.11.-)
