Alyssum_gmelinii	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Ag001G098970	1111	AT3G63460.1	AT3G63460.1	orthologue	GO:0005737;GO:0090110;GO:0030127;GO:0070971;GO:0006888;GO:0005198;GO:0007029;GO:0080008;GO:0009506;GO:0005829;GO:0005783;GO:0005794;GO:0015031;GO:0005515	Protein transport protein SEC31 homolog B (SEC31-like protein B);Transducin family protein / WD-40 repeat family protein
Ag001G098980	502	AT3G63470.1	AT3G63470.1	orthologue	GO:0004185;GO:0005576;GO:0006508;GO:0005773	Serine carboxypeptidase-like 40 (EC 3.4.16.-)
Ag001G098990	464	AT3G63480.1	AT3G63480.1	orthologue	GO:0016887;GO:0008017;GO:0005737;GO:0009555;GO:0005515;GO:0007018;GO:0030705;GO:0007129;GO:0009561;GO:0008574;GO:0048316;GO:0042803;GO:0005874;GO:0005871;GO:0003777;GO:0005524	Kinesin-like protein KIN-1 (AtKIN-1) (AtPSS1) (Pollen semi-sterility protein 1)
Ag001G099000	336	AT3G63490.1	AT3G63490.1	orthologue	GO:0009941;GO:0009570;GO:0005829;GO:0003729;GO:0009507;GO:0006412;GO:0015934;GO:0005634;GO:0003735;GO:0009535;GO:0019843;GO:0005840;GO:1990904;GO:0003723	Large ribosomal subunit protein uL1c (50S ribosomal protein L1, chloroplastic) (CL1);Ribosomal protein
Ag001G099010	1179	AT3G63500.2	AT3G63500.2	orthologue	GO:0010492;GO:0005634;GO:0010468;GO:0009880;GO:0010078;GO:0005515;GO:0010071;GO:0001708;GO:0090421;GO:0008270	Fibronectin type III domain protein (DUF1423);Protein OBERON 4 (Protein TITANIA 1)
Ag001G099020	400	AT3G63510.1	AT3G63510.1	orthologue	GO:0050660;GO:0002943;GO:0017150;GO:0009507;GO:0000049	FMN-linked oxidoreductases superfamily protein;tRNA-dihydrouridine synthase (EC 1.3.1.-)
Ag001G099030	541	AT3G63520.1	AT3G63520.1	orthologue	GO:0005737;GO:0005886;GO:0016118;GO:0016124;GO:0005794;GO:0009570;GO:0009414;GO:0016121;GO:0009506;GO:0000325;GO:0005829;GO:0045549;GO:0010436;GO:0046872;GO:0016702	Carotenoid 9,10(9',10')-cleavage dioxygenase 1 (EC 1.14.99.n4) (AtCCD1) (Neoxanthin cleavage enzyme NC1) (AtNCED1)
Ag001G099040	246	AT3G63530.1	AT3G63530.1	orthologue	GO:0004842;GO:0005515;GO:0031624;GO:0048437;GO:1900057;GO:0016567;GO:0051865;GO:0008285;GO:0005634;GO:0046621;GO:0008270	E3 ubiquitin-protein ligase BIG BROTHER (EC 2.3.2.27) (Protein ENHANCER OF DA1-1) (RING-type E3 ubiquitin transferase BIG BROTHER)
Ag001G099050	229	AT3G63540.1	AT3G63540.1	orthologue	GO:0009543;GO:0005829;GO:0005634;GO:0005509;GO:0009654;GO:0015979;GO:0019898;GO:0009523	Thylakoid lumenal 19 kDa protein, chloroplastic (P19)
Ag001G099060	384	AT3G08505.1	AT3G08505.1	other	GO:0061630;GO:0005634;GO:0000209;GO:0016567;GO:0003677;GO:0008270;GO:0046872	E3 ubiquitin-protein ligase makorin (EC 2.3.2.27) (RING-type E3 ubiquitin transferase makorin) (Zinc finger CCCH domain-containing protein 35) (AtC3H35)
Ag001G099070	243	AT5G26880.1	AT5G26880.1	orthologue	GO:0006396;GO:0009507;GO:0002130;GO:0003723;GO:0008173;GO:0001510;GO:0006995;GO:0005737;GO:0042802;GO:0008168	At5g26880 (tRNA (Cytidine(34)-2'-O)-methyltransferase)
Ag001G099080	898	AT3G45140.1	AT3G45140.1	orthologue	GO:0009570;GO:0009617;GO:0005737;GO:0009611;GO:0009535;GO:0009620;GO:0009507;GO:0005829;GO:0031408;GO:0051707;GO:0034440;GO:0009695;GO:0016165;GO:0009941;GO:0009753;GO:0003729;GO:0009414;GO:0080027;GO:0010597;GO:1901149;GO:0016702;GO:0005515;GO:0046872;GO:0006633;GO:0016491	Lipoxygenase (EC 1.13.11.-);Lipoxygenase 2, chloroplastic (AtLOX2) (EC 1.13.11.12)
Ag001G099100	1260	AT5G65930.3	AT5G65930.3	orthologue	GO:0001578;GO:0003777;GO:0019901;GO:0051015;GO:0008017;GO:0005515;GO:0010091;GO:0043622;GO:0048629;GO:0016887;GO:0005874;GO:0008569;GO:0007018;GO:0005737;GO:0009846;GO:0055028;GO:0005856;GO:0009524;GO:0005516;GO:0005871;GO:0072686;GO:0016491;GO:0042803;GO:0005509;GO:0005524;GO:0043531;GO:0003824	Kinesin-like calmodulin-binding protein;Kinesin-like protein KIN-14E (Kinesin-like calmodulin-binding protein) (Protein ZWICHEL)
Ag001G099110	387	AT5G65940.1	AT5G65940.1	orthologue	GO:0006635;GO:0009733;GO:0003860;GO:0006574;GO:0009409;GO:0005739;GO:0009536;GO:0005777	3-hydroxyisobutyryl-CoA hydrolase 1 (EC 3.1.2.-) (EC 3.1.2.4) (CoA-thioester hydrolase CHY1)
Ag001G099120	1183	AT5G65950.1	AT5G65950.1	orthologue	GO:0005634;GO:0009536;GO:0006895;GO:0005829;GO:0003674	Trafficking protein particle complex subunit-like protein
Ag001G099130	384	AT5G65960.1	AT5G65960.1	other	GO:0005525;GO:0005634;GO:0003924	GTP binding protein
Ag001G099140	395	AT5G65980.1	AT5G65980.1	orthologue	GO:0009733;GO:0005789;GO:0080162;GO:0003674;GO:0009734;GO:0016020;GO:0055085	Auxin efflux carrier family protein;Protein PIN-LIKES 7 (Auxin efflux carrier-like protein 7)
Ag001G099150	422	AT5G65990.1	AT5G65990.1	orthologue	GO:0015175;GO:0003333;GO:0005774;GO:0015179;GO:0015801;GO:0015171;GO:0015804;GO:0015173;GO:0016020	Amino acid transporter AVT3A (AtAvt3A) (Aromatic and neutral amino acid transporter-like protein 3)
Ag001G099160	183	AT5G66000.1	AT5G66000.1	orthologue	GO:0008150;GO:0005634;GO:0003674	Uncharacterized protein At5g66000
Ag001G099170	192	AT5G66005.3	AT5G66005.3	orthologue	GO:0017111;GO:0005634;GO:0009507;GO:0008150;GO:0016887;GO:0005524	At5g66005 (Expressed protein);Expressed protein
Ag001G099180	249	AT5G66010.1	AT5G66010.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:1990904;GO:0003723;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Ag001G099190	590	AT5G66020.1	AT5G66020.1	orthologue	GO:0016791;GO:0009651;GO:0046856;GO:0005739;GO:0005783;GO:0043812;GO:0005789	Phosphoinositide phosphatase SAC6 (AtSAC6) (EC 3.1.3.-) (Protein IMPAIRED IN BABA-INDUCED STERILITY 2) (Protein SUPPRESSOR OF ACTIN 1B) (AtSAC1b) (Protein SUPPRESSOR OF ACTIN 6) (SAC domain protein 6) (SAC1-like protein AtSAC1b)
Ag001G099200	761	AT5G66030.1	AT5G66030.1	orthologue	GO:0005802;GO:0048193;GO:0005737;GO:0007131;GO:0005515	Golgi-localized GRIP domain-containing protein;Protein GRIP (AtGRIP)
Ag001G099210	314	AT3G51390.1	AT3G51390.1	other	GO:0009651;GO:0019706;GO:0000325;GO:0006612;GO:0099402;GO:0005794;GO:0005783;GO:0009705;GO:0012505;GO:0016020;GO:0016409;GO:0018230	Protein S-acyltransferase 10 (EC 2.3.1.225) (Probable palmitoyltransferase At3g51390) (Zinc finger DHHC domain-containing protein At3g51390);S-acyltransferase (EC 2.3.1.225) (Palmitoyltransferase)
Ag001G099220	325	AT5G66050.1	AT5G66050.1	orthologue	GO:0016567;GO:0003674;GO:0005634;GO:0030891;GO:0004518	Wound-responsive family protein
Ag001G099230	423	AT5G66055.1	AT5G66055.1	orthologue	GO:0009707;GO:0009793;GO:0009507;GO:0030941;GO:0005634;GO:0005515;GO:0045036;GO:0140693;GO:0010468	Ankyrin repeat domain-containing protein, chloroplastic (AKRP) (Protein EMBRYO DEFECTIVE 2036)
Ag001G099240	292	AT5G66060.1	AT5G66060.1	orthologue	GO:0000137;GO:0016705;GO:0005783;GO:0031418;GO:0005506;GO:0004656;GO:0005789;GO:0051213;GO:0018401	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;Probable prolyl 4-hydroxylase 10 (AtP4H10) (EC 1.14.11.2)
Ag001G099250	221	AT5G66070.2	AT5G66070.2	orthologue	GO:0061630;GO:0009788;GO:0005886;GO:0005634;GO:0006952;GO:0008270;GO:0016020	NEP1-interacting protein-like 1 (RING-H2 finger protein ATL27);RING/U-box superfamily protein
Ag001G099260	378	AT5G66080.1	AT5G66080.1	orthologue	GO:1900036;GO:0005515;GO:0005886;GO:1902531;GO:0004722;GO:0009507;GO:0017018;GO:0046872;GO:0006470;GO:0043169	Probable protein phosphatase 2C 79 (AtPP2C79) (EC 3.1.3.16);Protein phosphatase 2C family protein
Ag001G099270	200	AT5G66090.1	AT5G66090.1	orthologue	GO:0009507;GO:0009570;GO:0003674	Cell wall integrity/stress response component
Ag001G099280	153	AT2G20515.1	AT2G20515.1	orthologue	GO:0005576;GO:0003674	At2g20515 (Expressed protein) (Pollen Ole e I family allergen protein)
Ag001G099290	149	AT5G66110.1	AT5G66110.1	orthologue	GO:0009624;GO:0005737;GO:0005515;GO:0005886;GO:0046872	Heavy metal transport/detoxification superfamily protein;Heavy metal-associated isoprenylated plant protein 27 (AtHIP27) (AtHIPP27)
Ag001G099300	435	AT5G66120.2	AT5G66120.2	orthologue	GO:0009570;GO:0005737;GO:0003856;GO:0005802;GO:0009507;GO:0009073;GO:0009423;GO:0005794;GO:0005768;GO:0008652;GO:0046872	3-dehydroquinate synthase, chloroplastic (EC 4.2.3.4)
Ag001G099310	581	AT5G66130.1	AT5G66130.1	orthologue	GO:0006282;GO:0031347;GO:0006281;GO:0033314;GO:0000077;GO:0003689;GO:0005634;GO:0005515;GO:0003682;GO:0005524;GO:0006952	Cell cycle checkpoint protein RAD17 (AtRAD17) (Radiation-sensitive protein 17);RADIATION SENSITIVE 17
Ag001G099320	250	AT5G66140.1	AT5G66140.1	orthologue	GO:0006511;GO:0043161;GO:0005839;GO:0019773;GO:0009536;GO:0005773;GO:0000502;GO:0003674;GO:0005634;GO:0051603	Proteasome subunit alpha type-7-B (20S proteasome alpha subunit D-2) (Proteasome component 6B) (Proteasome component 6C) (Proteasome subunit alpha type-4)
Ag001G099330	1072	AT5G66150.1	AT5G66150.1	orthologue	GO:0006013;GO:0004559;GO:0030246;GO:0005576;GO:0005773;GO:0046872;GO:0005975;GO:0003824	Alpha-mannosidase (EC 3.2.1.-);Glycosyl hydrolase family 38 protein;Probable alpha-mannosidase At5g66150 (EC 3.2.1.24)
Ag001G099340	298	AT5G66160.1	AT5G66160.1	orthologue	GO:0006511;GO:0000976;GO:0005802;GO:0005783;GO:0006886;GO:0005576;GO:0005515;GO:0061630;GO:0005770;GO:0005737;GO:0000139;GO:0008270;GO:0032586;GO:0012505;GO:0015031	Receptor homology region transmembrane domain ring H2 motif protein 1;Receptor homology region, transmembrane domain- and RING domain-containing protein 1 (AtRMR1) (ReMembR-H2 protein JR700)
Ag001G099350	137	AT5G66170.2	AT5G66170.2	orthologue	GO:0003824;GO:0009507;GO:0005737;GO:0004792;GO:0005634	Sulfurtransferase 18;Thiosulfate sulfurtransferase 18 (EC 2.8.1.1) (Sulfurtransferase 18) (AtStr18)
Ag001G099360	393	AT5G66180.1	AT5G66180.1	orthologue	GO:0005634;GO:0008173;GO:0001510;GO:0003723;GO:0008168	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Ag001G099370	301	AT4G36000.1	AT4G36000.1	other	GO:0005576;GO:0003674;GO:0008150	Pathogenesis-related thaumatin superfamily protein
Ag001G099380	361	AT5G66190.1	AT5G66190.1	orthologue	GO:0009941;GO:0009536;GO:0022900;GO:0009535;GO:0009570;GO:0098807;GO:1901463;GO:0005515;GO:0009579;GO:0009534;GO:0009767;GO:0009507;GO:0045156;GO:0048046;GO:0031977;GO:0004324;GO:0009055;GO:0045157;GO:0003959;GO:0008266;GO:0019904;GO:0015979;GO:0016491	Ferredoxin--NADP reductase, chloroplastic (FNR) (EC 1.18.1.2);Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic (EC 1.18.1.2) (Leaf FNR 1) (AtLFNR1) (FNR-1)
Ag001G099390	651	AT5G66200.1	AT5G66200.1	orthologue	GO:0005886;GO:0007166;GO:0005737;GO:0003674;GO:0005515	Armadillo repeat only 2
Ag001G099400	532	AT5G66210.1	AT5G66210.1	orthologue	GO:0005516;GO:0005886;GO:0009931;GO:0004674;GO:0004683;GO:0004722;GO:2000032;GO:0005634;GO:0005737;GO:0005509;GO:1900425;GO:0006468;GO:0005515;GO:0035556;GO:0005524;GO:0006952;GO:0106310;GO:0004672	Calcium-dependent protein kinase 28 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Ag001G099420	70	AT3G59490.2	AT3G59490.2	other	GO:0005739;GO:0003674	At3g59490;Uncharacterized protein
Ag001G099430	120	AT1G50390.1	AT1G50390.1	orthologue	GO:0006000;GO:0008865;GO:0005737;GO:0005829;GO:0005524;GO:0019252	Putative fructokinase-8 (EC 2.7.1.4)
Ag001G099440	307	AT5G66230.2	AT5G66230.2	orthologue	GO:0009507;GO:0016872;GO:0016853	At5g66230 (Chalcone-flavanone isomerase family protein) (Emb|CAB62645.1);Chalcone-flavonone isomerase family protein
Ag001G099450	99					
Ag001G099460	328	AT5G66240.2	AT5G66240.2	orthologue	GO:0009827;GO:0005634;GO:0048188;GO:0005737;GO:0003682;GO:0080008;GO:0005515;GO:0006353;GO:0016070	AT5G66240 protein (Transducin/WD40 repeat-like superfamily protein) (WD repeat protein-like);Transducin/WD40 repeat-like superfamily protein;Transducin/WD40 repeat-like superfamily protein (WD repeat protein-like)
Ag001G099470	213	AT3G26060.2	AT3G26060.2	orthologue	GO:0009534;GO:0010287;GO:0009533;GO:0045454;GO:0034599;GO:0005829;GO:0009535;GO:0009507;GO:0009941;GO:0008379;GO:0003729;GO:0005515;GO:0005737;GO:0140824;GO:0051920;GO:0009543;GO:0016209;GO:0016491	Peroxiredoxin Q, chloroplastic (EC 1.11.1.24) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin Q)
Ag001G099480	293	AT5G66250.4	AT5G66250.4	orthologue	GO:0005634;GO:0003674;GO:0009959;GO:0009639	AT5g66250/K1L20_3 (Kinectin-like protein);Kinectin-like protein
Ag001G099490	98	AT5G66260.1	AT5G66260.1	orthologue	GO:0009733;GO:0005739;GO:0003674;GO:0009639;GO:0009737;GO:0009741	Auxin-induced protein-like (SAUR-like auxin-responsive protein family)
Ag001G099500	423	AT5G66270.1	AT5G66270.1	orthologue	GO:0005575;GO:0003674;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 68 (AtC3H68)
Ag001G099510	365	AT5G66280.1	AT5G66280.1	orthologue	GO:0005737;GO:0042351;GO:0009536;GO:0019673;GO:0008446;GO:0005794;GO:0005515	GDP-mannose 4,6 dehydratase 1 (EC 4.2.1.47) (GDP-D-mannose dehydratase 1) (GMD 1)
Ag001G099520	201	AT5G66290.2	AT5G66290.2	orthologue	GO:0005739;GO:0003674;GO:0005634;GO:0009536	BLOC-1-related complex subunit 5;Uncharacterized protein
Ag001G099530	293	AT5G66300.1	AT5G66300.1	orthologue	GO:0006355;GO:0048759;GO:0043565;GO:0000976;GO:0005634;GO:0003700;GO:0005515;GO:1901348;GO:0071555;GO:0003677	NAC domain-containing protein 105 (ANAC105) (Protein VASCULAR RELATED NAC-DOMAIN 3)
Ag001G099540	1025	AT5G66310.1	AT5G66310.1	orthologue	GO:0005634;GO:0007018;GO:0009506;GO:0008017;GO:0003777;GO:0005524;GO:0005874	Kinesin-like protein KIN-7H
Ag001G099550	339	AT5G66320.1	AT5G66320.1	orthologue	GO:0006355;GO:0008270;GO:0000976;GO:0030154;GO:0006357;GO:0005634;GO:0003700;GO:0045893;GO:0043565;GO:0003677	GATA transcription factor 5
Ag001G099560	416	AT5G66330.1	AT5G66330.1	other	GO:0005886;GO:0007165;GO:0005515;GO:0016020	Leucine-rich repeat (LRR) family protein (Similarity to elicitor-inducible receptor-like protein)
Ag001G099570	433	AT1G60700.1	AT1G60700.1	orthologue	GO:0005634;GO:0045944;GO:0071339;GO:0044545;GO:0031011;GO:0002151;GO:0005515	SMAD/FHA domain-containing protein
Ag001G099580	140	AT5G17280.1	AT5G17280.1	orthologue	GO:0009507;GO:0003674	AT5g17280/MKP11_13 (Oxidoreductase-like protein, amino-terminal protein)
Ag001G099590	130	AT1G77370.2	AT1G77370.2	orthologue	GO:0000137;GO:0005576;GO:0005794;GO:0034599;GO:0005789;GO:0005737;GO:0016491;GO:0015038	Glutaredoxin family protein;Glutaredoxin-C3 (AtGrxC3)
Ag001G099600	853	AT3G51070.1	AT3G51070.1	other	GO:0005634;GO:0005576;GO:0005737;GO:0005789;GO:0008168;GO:0032259;GO:0012505;GO:0016020;GO:0005768;GO:0005802	Probable methyltransferase PMT27 (EC 2.1.1.-);S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Ag001G099610	343	AT5G66350.1	AT5G66350.1	orthologue	GO:0006355;GO:0000976;GO:0003700;GO:0005515;GO:0005634;GO:0009938;GO:0045893;GO:0048653;GO:0009740;GO:0046982;GO:0009739;GO:0009555;GO:0003677;GO:0009734;GO:0009851;GO:0046872	Lateral root primordium (LRP) protein-like protein;Protein SHORT INTERNODES
Ag001G099630	371	AT3G53210.1	AT3G53210.1	orthologue	GO:0005886;GO:0005576;GO:0009507;GO:0022857;GO:0016020	WAT1-related protein;WAT1-related protein At3g53210
Ag001G099640	359	AT5G66360.2	AT5G66360.2	orthologue	GO:0000154;GO:0046085;GO:0000179;GO:0031167;GO:0005739;GO:0005634;GO:0003723;GO:0006364	Ribosomal RNA small subunit methyltransferase, mitochondrial (EC 2.1.1.-) (18S mitochondrial rRNA (adenine(1914)-N(6)/adenine(1915)-N(6))-dimethyltransferase) (Adenosine dimethyl transferase 1B) (Dimethyladenosine transferase 1B)
Ag001G099650	134	AT5G66370.1	AT5G66370.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Metal ion-binding protein
Ag001G099660	156	AT5G66370.1	AT5G66370.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Metal ion-binding protein
Ag001G099670	308	AT5G66380.1	AT5G66380.1	orthologue	GO:0009941;GO:0009507;GO:0055085;GO:0005739;GO:1904947;GO:0008517;GO:0015230;GO:0015884;GO:0006862;GO:0031969	Folate transporter 1, chloroplastic (AtFOLT1)
Ag001G099680	336	AT5G66390.1	AT5G66390.1	orthologue	GO:0009505;GO:0005576;GO:0140825;GO:0020037;GO:0009809;GO:0006979;GO:0042744;GO:0046872;GO:0004601	Peroxidase 72 (Atperox P72) (EC 1.11.1.7) (ATP6a) (PRXR8)
Ag001G099690	212	AT5G66400.1	AT5G66400.1	orthologue	GO:0009414;GO:0005829;GO:0009631;GO:0003674;GO:0009737;GO:0009961;GO:0005507;GO:0016151;GO:0046872;GO:0009409;GO:0009415	Dehydrin Rab18;Dehydrin family protein
Ag001G099700	310				GO:0005829;GO:0009414;GO:0009415;GO:0009631;GO:0009737	
Ag001G099710	82	AT5G66410.1	AT5G66410.1	other	GO:0051211;GO:0000911;GO:0043622;GO:0000280;GO:0005737;GO:0048487;GO:0005634;GO:0005874	Thioredoxin domain-containing protein PLP3B (Phosducin-like protein 3B)
Ag001G099720	298				GO:0005829;GO:0009414;GO:0009415;GO:0009631;GO:0009737	
Ag001G099730	82	AT5G66410.1	AT5G66410.1	other	GO:0051211;GO:0000911;GO:0043622;GO:0000280;GO:0005737;GO:0048487;GO:0005634;GO:0005874	Thioredoxin domain-containing protein PLP3B (Phosducin-like protein 3B)
Ag001G099770	231	AT3G50960.1, AT5G66410.1	AT5G66410.1	orthologue	GO:0000911;GO:0005737;GO:0048487;GO:0051211;GO:0000280;GO:0043622;GO:0005634;GO:0005874	Thioredoxin domain-containing protein PLP3A (Phosducin-like protein 3A);Thioredoxin domain-containing protein PLP3B (Phosducin-like protein 3B)
Ag001G099780	753	AT5G66420.2	AT5G66420.2	orthologue	GO:0003824;GO:1901135;GO:0009507;GO:0005829;GO:0005737;GO:0097367	AT5G66420 protein (TIM-barrel signal transduction protein);AT5g66420/K1F13_7 (TIM-barrel signal transduction protein);TIM-barrel signal transduction protein
Ag001G099790	388	AT5G66430.1	AT5G66430.1	orthologue	GO:0005634;GO:0032259;GO:0008757;GO:0046872;GO:0008168	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein (S-adenosyl-L-methionine:salicylic acid carboxyl methyltransferase-like protein)
Ag001G099810	257	AT5G66440.1	AT5G66440.1	orthologue	GO:0003674;GO:0005634;GO:0016020	tRNA-methyltransferase non-catalytic subunit trm6MTase subunit
Ag001G099820	248	AT5G66440.1	AT5G66440.1	orthologue	GO:0003674;GO:0005634;GO:0016020	tRNA-methyltransferase non-catalytic subunit trm6MTase subunit
Ag001G099840	273	AT5G66450.3	AT5G66450.3	orthologue	GO:0006651;GO:0008195;GO:0009507;GO:0009706;GO:0016020;GO:0016787;GO:0005789;GO:0006487;GO:0008610;GO:0043231;GO:0047874	Lipid phosphate phosphatase epsilon 2, chloroplastic (AtLPPE2) (EC 3.1.3.-) (Phosphatidic acid phosphatase epsilon 2) (Plastidic phosphatidic acid phosphatase epsilon 2);Phosphatidic acid phosphatase (PAP2) family protein
Ag001G099850	708	AT3G47840.1	AT3G47840.1	orthologue	GO:0003723;GO:0005739;GO:0043231;GO:0009451;GO:0005515	Putative pentatricopeptide repeat-containing protein At3g47840
Ag001G099860	431	AT5G66460.1	AT5G66460.1	orthologue	GO:1990059;GO:0009828;GO:0005576;GO:0016985;GO:0071944;GO:0010047;GO:0009845;GO:0000272;GO:0004553	Mannan endo-1,4-beta-mannosidase 7 (EC 3.2.1.78) (Beta-mannanase 7) (Endo-beta-1,4-mannanase 7) (AtMAN7)
Ag001G099870	427	AT5G66470.1	AT5G66470.1	orthologue	GO:0000028;GO:0006364;GO:0042644;GO:0009507;GO:0043024;GO:0003729;GO:0042254;GO:0019843;GO:0005525;GO:0003723	GTPase ERA-like, chloroplastic (GTP-binding protein Era-like)
Ag001G099880	420	AT5G66480.1	AT5G66480.1	orthologue	GO:0009507;GO:0003674;GO:0016020	Bacteriophage N4 adsorption B protein
Ag001G099890	103	AT5G66490.1	AT5G66490.1	orthologue	GO:0003674;GO:0005575	Uncharacterized protein At5g66490
Ag001G099900	258	AT5G66510.2	AT5G66510.2	orthologue	GO:0045271;GO:0070207;GO:0005739;GO:0009853;GO:0031966;GO:0004089;GO:0005737;GO:0009536;GO:0046872	Gamma carbonic anhydrase 3, mitochondrial (AtCA3) (GAMMA CA3) (EC 4.2.1.-)
Ag001G099910	618	AT5G66520.1	AT5G66520.1	orthologue	GO:1900865;GO:0016554;GO:0009507;GO:0008270;GO:0003729;GO:0005515;GO:0003723;GO:0009451	Pentatricopeptide repeat-containing protein At5g66520
Ag001G099920	304	AT5G66530.1	AT5G66530.1	orthologue	GO:0009507;GO:0009536;GO:0009570;GO:0047938;GO:0005975;GO:0005737;GO:0048046;GO:0030246;GO:0016853;GO:0003824	glucose-6-phosphate 1-epimerase (EC 5.1.3.15)
Ag001G099930	534	AT5G66540.1	AT5G66540.1	orthologue	GO:0005634;GO:0005730;GO:0003729;GO:0005732;GO:0032040;GO:0005515;GO:0034457;GO:0006364	M phase phosphoprotein 10 (AtMPP10) (U3 small nucleolar ribonucleoprotein protein MPP10)
Ag001G099940	240	AT5G66550.2	AT5G66550.2	orthologue	GO:0005737;GO:0047429;GO:0009507	Maf-like protein
Ag001G099950	566	AT5G49555.1	AT5G49555.1	orthologue	GO:0005739;GO:0008150;GO:0016491;GO:0005507;GO:0009536;GO:0005759	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2
Ag001G099960	283	AT5G49560.1	AT5G49560.1	orthologue	GO:0008276;GO:0005737;GO:0032259	Methyltransferase family protein
Ag001G099970	636	AT5G66560.1	AT5G66560.1	orthologue	GO:0005634;GO:0003674;GO:0016567;GO:0009507;GO:0005515	BTB/POZ domain-containing protein At5g66560;Phototropic-responsive NPH3 family protein
Ag001G099990	331	AT5G66570.1	AT5G66570.1	orthologue	GO:0005515;GO:0009535;GO:0010207;GO:0009543;GO:0055035;GO:0009534;GO:0010205;GO:0019888;GO:0009507;GO:0042549;GO:0003729;GO:0009570;GO:0019684;GO:0009579;GO:0048046;GO:0031977;GO:0009654;GO:0008266;GO:0009536;GO:0010287;GO:0010242	Oxygen-evolving enhancer protein 1-1, chloroplastic (OEE1) (33 kDa subunit of oxygen evolving system of photosystem II) (33 kDa thylakoid membrane protein) (Manganese-stabilizing protein 1) (MSP-1) (OEC 33 kDa subunit)
Ag001G100000	151	AT5G66580.1	AT5G66580.1	orthologue	GO:0005575;GO:0003674	Uncharacterized protein At5g66580
Ag001G100010	173	AT5G66590.1	AT5G66590.1	orthologue	GO:0005615;GO:0005576;GO:0003674	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein (Similarity to pathogenesis-related protein)
Ag001G100020	595	AT5G66600.1	AT5G66600.1	orthologue	GO:0005634;GO:0003674	Ternary complex factor MIP1, leucine-zipper;Uncharacterized protein
Ag001G100030	647	AT2G35160.1	AT2G35160.1	other	GO:0003690;GO:0005634;GO:0044027;GO:0042054;GO:0031048;GO:0008270;GO:0000123;GO:0010385;GO:0040029;GO:0000775;GO:0032259;GO:0140947;GO:0005515	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5 (EC 2.1.1.-) (EC 2.1.1.367) (Histone H3-K9 methyltransferase 5) (H3-K9-HMTase 5) (Protein SET DOMAIN GROUP 9) (Suppressor of variegation 3-9 homolog protein 5) (Su(var)3-9 homolog protein 5);SU(VAR)3-9 homolog 5
Ag001G100040	98	AT5G66595.1	AT5G66595.1	orthologue	GO:0005739;GO:0003674	Uncharacterized protein
Ag001G100050	628	AT5G66620.1, AT5G66610.2	AT5G66620.1	orthologue	GO:0005634;GO:0043130;GO:0005737;GO:0008150;GO:0005886;GO:0046872	DA1-related protein 6;DA1-related protein 7;Protein DA1-related 6;Protein DA1-related 7
Ag001G100060	861	AT5G66630.1	AT5G66630.1	orthologue	GO:0043130;GO:0043531;GO:0005575;GO:0046872	Protein DA1-related 5
Ag001G100070	591	AT5G66631.1	AT5G66631.1	orthologue	GO:0009507;GO:0003674;;GO:0005515	Pentatricopeptide repeat-containing protein At5g66631
Ag001G100090	319	AT5G66650.1	AT5G66650.1	orthologue	GO:1990246;GO:0036444;GO:0009941;GO:0051560;GO:0015292;GO:0005262;GO:0071456;GO:0070509;GO:0009507;GO:0005739;GO:0031969;GO:0046872	Chloroplastic calcium uniporter protein (cMCU) (Calcium uniporter protein 6, chloroplastic) (AtMCU6)
Ag001G100100	396	AT5G66660.1, AT5G66670.1	AT5G66670.1	orthologue	GO:0005575;GO:0003674;GO:0008150;GO:0005634;GO:0016020	UPF0496 protein At5g66660;UPF0496 protein At5g66670
Ag001G100120	437	AT5G66680.1	AT5G66680.1	orthologue	GO:0009536;GO:0009664;GO:0008250;GO:0018279;GO:0009826;GO:0009505;GO:0003674;GO:0005794;GO:0000325;GO:0005730;GO:0005783;GO:0005576;GO:0009506;GO:0005789	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (Oligosaccharyl transferase 48 kDa subunit) (Protein DEFECTIVE GLYCOSYLATION 1)
