Arabis_alpina	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Aa_G160820.h1.t1	676	AT2G29760.1	AT2G29760.1	other	GO:0031425;GO:0003729;GO:0009507;GO:0008270;GO:0009451;GO:0005515;GO:0003723	Pentatricopeptide repeat-containing protein At2g29760, chloroplastic (Protein ORGANELLE TRANSCRIPT PROCESSING 81)
Aa_G160830.h1.t1	216				GO:0000105;GO:0003879;GO:0005737;GO:0000287	
Aa_G160840.h1.t1	63	AT1G09794.1	AT1G09794.1	orthologue	GO:0009507;GO:0003674;GO:0008150;GO:0005739	Cox19 family protein (CHCH motif)
Aa_G160850.h1.t1	448	AT1G09790.1	AT1G09790.1	orthologue	GO:0010215;GO:0052324;GO:0005886;GO:0016020;GO:0003674;GO:0098552	COBRA-like protein;COBRA-like protein 6
Aa_G160860.h1.t1	557	AT1G09780.1	AT1G09780.1	orthologue	GO:0009737;GO:0046537;GO:0006007;GO:0009507;GO:0005975;GO:0030145;GO:0006096;GO:0010037;GO:0009555;GO:0009506;GO:0005829;GO:0009409;GO:0005576;GO:0005740;GO:0010118;GO:0010494;GO:0009637;GO:0005737;GO:0005886;GO:0004619;GO:0003824;GO:0046872	2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1 (BPG-independent PGAM 1) (Phosphoglyceromutase 1) (EC 5.4.2.12) (PGAM-I 1)
Aa_G160870.h1.t1	843	AT1G09770.1	AT1G09770.1	orthologue	GO:0005576;GO:0003700;GO:0000974;GO:0000398;GO:0005515;GO:0006355;GO:0005634;GO:0042742;GO:0050832;GO:0005681;GO:0003677;GO:0006281;GO:0045087	Cell division cycle 5-like protein (Cdc5-like protein) (Atypical R2R3-MYB transcription factor CDC5) (MOS4-associated complex protein 1) (MAC protein 1) (Protein MYB DOMAIN CELL DIVISION CYCLE 5) (AtMYBCD5)
Aa_G160880.h1.t1	247	AT1G09760.1	AT1G09760.1	orthologue	GO:0005654;GO:0015030;GO:0005737;GO:0000398;GO:0005634;GO:0005730;GO:0016607;GO:0030620;GO:1990904;GO:0005515	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')
Aa_G160890.h1.t1	465	AT1G09750.1	AT1G09750.1	orthologue	GO:0009505;GO:0009627;GO:0003674;GO:0048046;GO:0099503;GO:0005576;GO:0000166;GO:0004190;GO:0006508;GO:0043067	Aspartyl protease AED3 (EC 3.4.23.-) (Apoplastic EDS1-dependent protein 3)
Aa_G16090.h1.t1	505	AT2G45570.1, AT2G45560.1, AT1G33720.1	AT2G45560.1	orthologue	GO:0005506;GO:0009507;GO:0016705;GO:0004497;GO:0020037;GO:0005739;GO:0005783;GO:0008150;GO:0005575;GO:0016491;GO:0016020	Cytochrome P450 76C1 (EC 1.14.-.-);Cytochrome P450 76C2 (EC 1.14.-.-) (Protein YELLOW-LEAF-SPECIFIC GENE 6);Cytochrome P450, family 76, subfamily C, polypeptide 1;Cytochrome P450, family 76, subfamily C, polypeptide 6;Cytochrome P450, family 76, subfamily C, polypeptide 6 (Putative cytochrome P450)
Aa_G160900.h1.t1	171	AT1G09740.1	AT1G09740.1	orthologue	GO:0008150;GO:0005737;GO:0003674;GO:0005575;GO:0016787	Adenine nucleotide alpha hydrolases-like superfamily protein (At1g09740) (Putative ER6 protein)
Aa_G160910.h1.t1	998	AT1G09730.1	AT1G09730.1	orthologue	GO:0006508;GO:0070139;GO:0005634;GO:0016925;GO:0048576;GO:0016926;GO:0048578;GO:0008234	Cysteine proteinases superfamily protein;Probable ubiquitin-like-specific protease 2B (EC 3.4.22.-)
Aa_G160920.h1.t1	238	AT1G55950.1, AT2G01370.1	AT2G01370.1	orthologue	GO:0005634;GO:0006355;GO:0003674;GO:0005515	Probable transcription factor At1g55950 (Storekeeper-like protein At1g55950);Probable transcription factor At2g01370 (Storekeeper-like protein At2g01370)
Aa_G160930.h1.t1	894	AT1G09720.1	AT1G09720.1	orthologue	GO:0005575;GO:0008150;GO:0003779;GO:0016020	Protein NETWORKED 2B
Aa_G160940.h1.t1	442	AT1G09710.2	AT1G09710.2	orthologue	GO:0005634;GO:0003674;GO:0000976;GO:0003677	Homeodomain-like superfamily protein;Homeodomain-like superfamily protein (MYB transcription factor)
Aa_G160950.h1.t1	351	AT1G09700.1	AT1G09700.1	orthologue	GO:0005515;GO:0009737;GO:0031054;GO:0003725;GO:0010445;GO:0035279;GO:0005634;GO:0010468;GO:0009733;GO:0006396;GO:0042659;GO:0010267;GO:0035196;GO:0004525;GO:0042802;GO:0010589;GO:0010305;GO:0035198;GO:0009735;GO:0016607	Double-stranded RNA-binding protein 1 (Protein HYPONASTIC LEAVES 1) (dsRNA-binding protein 1) (AtDRB1);DsRNA-binding domain-like superfamily protein
Aa_G160960.h1.t1	164	AT1G09590.1, AT1G09690.1	AT1G09690.1	other	GO:0003674;GO:0022625;GO:0005576;GO:0005737;GO:0006412;GO:0022626;GO:0005730;GO:0003735;GO:0005840	Large ribosomal subunit protein eL21z/eL21y (60S ribosomal protein L21-1)
Aa_G160960.h2.t1	164	AT1G09590.1, AT1G09690.1	AT1G09690.1	other	GO:0003674;GO:0022625;GO:0005576;GO:0005737;GO:0006412;GO:0022626;GO:0005730;GO:0003735;GO:0005840	Large ribosomal subunit protein eL21z/eL21y (60S ribosomal protein L21-1)
Aa_G160960.h3.t1	164	AT1G09590.1, AT1G09690.1	AT1G09690.1	other	GO:0003674;GO:0022625;GO:0005576;GO:0005737;GO:0006412;GO:0022626;GO:0005730;GO:0003735;GO:0005840	Large ribosomal subunit protein eL21z/eL21y (60S ribosomal protein L21-1)
Aa_G160970.h1.t1	313	AT1G09680.1	AT1G09680.1	orthologue	GO:0003729;GO:0005739;GO:0005515	Putative pentatricopeptide repeat-containing protein At1g09680
Aa_G160980.h1.t1	115	AT1G57670.1, AT5G44900.1, AT5G45220.1, AT1G60320.1, AT1G57830.1, AT1G09665.1	AT1G09665.1	other	GO:0003674;GO:0005737;GO:0007165;GO:0009507;GO:0005634;GO:0006952;GO:0016020	At5g44900 (Toll-Interleukin-Resistance (TIR) domain family protein);Disease resistance protein (TIR-NBS-LRR class) family;Disease resistance protein (TIR-NBS-LRR class) family (Similarity to disease resistance protein);Disease resistance protein RPS4, putative (Toll-Interleukin-Resistance (TIR) domain family protein);Toll-Interleukin-Resistance (TIR) domain family protein
Aa_G160990.h1.t1	98	AT1G09680.1	AT1G09680.1	orthologue	GO:0003729;GO:0005739;GO:0005515	Putative pentatricopeptide repeat-containing protein At1g09680
Aa_G16100.h1.t1	354	AT1G33730.1	AT1G33730.1	orthologue	GO:0020037;GO:0005506;GO:0016705;GO:0005575;GO:0008150;GO:0004497;GO:0016491	Cytochrome P450, family 76, subfamily C, polypeptide 5
Aa_G161000.h1.t1	34					
Aa_G161010.h1.t1	174	AT1G09665.1	AT1G09665.1	other	GO:0003674;GO:0005737;GO:0007165;GO:0005634;GO:0006952	Toll-Interleukin-Resistance (TIR) domain family protein
Aa_G161020.h1.t1	298	AT1G09660.1	AT1G09660.1	orthologue	GO:0048024;GO:0005634;GO:0003729;GO:0003723;GO:0003676	KH domain-containing protein At1g09660/At1g09670 (Quaking-like protein 5)
Aa_G161030.h1.t1	105	AT1G57765.2, AT1G09645.1	AT1G09645.1	orthologue	GO:0009507;GO:0003674;GO:0008150;GO:0016020;GO:0030234;GO:0050790	At1g09645 (Transmembrane protein);Transmembrane protein
Aa_G161040.h1.t1	416	AT1G09640.1	AT1G09640.1	orthologue	GO:0005773;GO:0009506;GO:0010494;GO:0005737;GO:0004364;GO:0005576;GO:0005829;GO:0003746;GO:0006414	AT1G09640 protein (Translation elongation factor EF1B, gamma chain);Probable elongation factor 1-gamma 1 (EF-1-gamma 1) (eEF-1B gamma 1)
Aa_G16110.h1.t1	505	AT2G45550.1	AT2G45550.1	orthologue	GO:0005506;GO:0102311;GO:0009507;GO:0016705;GO:0008150;GO:0020037;GO:0004497;GO:0016020	Cytochrome P450 76C4 (EC 1.14.-.-)
Aa_G161150.h1.t1	342	AT1G48745.1	AT1G48745.1	orthologue	GO:0003674;GO:0005634;;GO:0008643;GO:0016020;GO:0051119	Uncharacterized protein
Aa_G161160.h1.t1	97	AT1G48750.1	AT1G48750.1	orthologue	GO:0006869;GO:0003674;GO:0005576;GO:0008289	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (Putative lipid transfer protein)
Aa_G161170.h1.t1	97	AT1G48750.1	AT1G48750.1	orthologue	GO:0006869;GO:0003674;GO:0005576;GO:0008289	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein (Putative lipid transfer protein)
Aa_G161180.h1.t1	433	AT1G23160.1	AT1G23160.1	other	GO:0016881;GO:0005737;GO:0005634;GO:0046417	Auxin-responsive GH3 family protein (T26J12.7 protein)
Aa_G161190.h1.t1	863	AT1G48760.1	AT1G48760.1	orthologue	GO:0006896;GO:0005515;GO:0006903;GO:1990019;GO:0030123;GO:0005794;GO:0006623;GO:0006886;GO:0010008;GO:0007032;GO:0005634;GO:0080171;GO:0000139;GO:0016192;GO:0030117;GO:0015031	AP-3 complex subunit delta (Adaptor-related protein complex 3 subunit delta) (Delta-adaptin) (At-d-Ad) (At-delta-Ad) (Protein-affected trafficking 4)
Aa_G16120.h1.t1	2968	AT2G45540.2	AT2G45540.2	orthologue	GO:0005634;GO:0003674;;GO:0005515	BEACH domain-containing protein C2 (BEACH-domain homolog C2)
Aa_G161200.h1.t1	871	AT3G45140.1	AT3G45140.1	orthologue	GO:0009570;GO:0009617;GO:0005737;GO:0009611;GO:0009535;GO:0009620;GO:0009507;GO:0005829;GO:0031408;GO:0051707;GO:0034440;GO:0009695;GO:0016165;GO:0009941;GO:0009753;GO:0003729;GO:0009414;GO:0080027;GO:0010597;GO:1901149;GO:0016702;GO:0005515;GO:0046872;GO:0006633;GO:0016491	Lipoxygenase (EC 1.13.11.-);Lipoxygenase 2, chloroplastic (AtLOX2) (EC 1.13.11.12)
Aa_G161210.h1.t1	154	AT1G48770.1	AT1G48770.1	orthologue	GO:0009507;GO:0003674	Uncharacterized protein;Uncharacterized protein F11I4_6
Aa_G161220.h1.t1	518	AT1G48790.1	AT1G48790.1	orthologue	GO:0032511;GO:0140492;GO:0016020;GO:0071108;GO:0070536;GO:0101005;GO:0005634;GO:0061578;GO:0005768;GO:0005737;GO:0006508;GO:0046872;GO:0005515;GO:0008233;GO:0008237;GO:0016579	AMSH-like ubiquitin thioesterase 1 (EC 3.4.19.-) (Deubiquitinating enzyme AMSH1)
Aa_G161230.h1.t1	191	AT1G48830.1	AT1G48830.1	orthologue	GO:0006364;GO:0009505;GO:0022626;GO:0003729;GO:0032040;GO:0022627;GO:0005634;GO:0042274;GO:0042742;GO:0006412;GO:0003735;GO:0005840;GO:0030686	Small ribosomal subunit protein eS7z (40S ribosomal protein S7-1)
Aa_G161240.h1.t1	690	AT1G48840.1	AT1G48840.1	orthologue	GO:0003674;GO:0005575;GO:0016020	Heat-inducible transcription repressor (DUF639)
Aa_G161250.h1.t1	99	AT3G19520.3, AT1G23950.2, AT1G23970.2, AT1G23960.1, AT1G27860.1, AT1G28500.1	AT1G23950.2	other	GO:0003674;GO:0005575;GO:0005634;GO:0008150;GO:0005737	Putative UPF0725 protein At1g28500;UPF0725 protein At1g23950;UPF0725 protein At1g23960;UPF0725 protein At1g23970;UPF0725 protein At1g27860;UPF0725 protein At3g19520;Uncharacterized protein
Aa_G16130.h1.t1	240	AT2G45520.1	AT2G45520.1	orthologue	GO:0005739;GO:0003674	Coiled-coil protein (Expressed protein)
Aa_G161360.h1.t1	127	AT2G22470.1	AT2G22470.1	orthologue	GO:0005886;GO:0016020;GO:0003674;GO:0005737;GO:0098552	Classical arabinogalactan protein 2
Aa_G161370.h1.t1	67					
Aa_G161380.h1.t1	54	AT4G04720.1	AT4G04720.1	other	GO:0035556;GO:0004683;GO:0019903;GO:0009506;GO:0005516;GO:0005886;GO:0005829;GO:0005515;GO:0009931;GO:0005509;GO:0004674;GO:0004672;GO:0005634;GO:0005737;GO:0005524;GO:0106310	Calcium-dependent protein kinase 21 (EC 2.7.11.1)
Aa_G161380.h2.t1	54	AT4G04720.1	AT4G04720.1	other	GO:0035556;GO:0004683;GO:0019903;GO:0009506;GO:0005516;GO:0005886;GO:0005829;GO:0005515;GO:0009931;GO:0005509;GO:0004674;GO:0004672;GO:0005634;GO:0005737;GO:0005524;GO:0106310	Calcium-dependent protein kinase 21 (EC 2.7.11.1)
Aa_G161390.h1.t1	525	AT2G22480.1	AT2G22480.1	orthologue	GO:0006096;GO:0005737;GO:0003872;GO:0006002;GO:0009507;GO:0005524;GO:0046872	ATP-dependent 6-phosphofructokinase 5, chloroplastic (ATP-PFK 5) (Phosphofructokinase 5) (EC 2.7.1.11) (Phosphohexokinase 5)
Aa_G16140.h1.t1	432	AT2G44890.1, AT2G45510.1	AT2G45510.1	orthologue	GO:0004497;GO:0016705;GO:0008150;GO:0020037;GO:0005506;GO:0005576;GO:0005783;GO:0016020;GO:0006629;GO:0016713	At2g45510 (Cytochrome P450, family 704, subfamily A, polypeptide 2) (Putative cytochrome P450);Cytochrome P450, family 704, subfamily A, polypeptide 1
Aa_G161400.h1.t1	345	AT2G22490.2	AT2G22490.2	orthologue	GO:0005515;GO:0005634;GO:0005737;GO:0016538;GO:0000307;GO:0009744;GO:0000082;GO:0051301	Cyclin D21;Cyclin-D2-1 (Cyclin-delta-2) (Cyclin-d2) (G1/S-specific cyclin-D2-1) (CycD2;1)
Aa_G161420.h1.t1	42					
Aa_G161430.h1.t1	316	AT2G22500.1	AT2G22500.1	orthologue	GO:0017077;GO:1902600;GO:0071456;GO:0071423;GO:0071422;GO:0015141;GO:0035435;GO:0015131;GO:0005310;GO:0015709;GO:0006839;GO:0015116;GO:0015140;GO:0015117;GO:0015729;GO:0005739;GO:0015297;GO:0005743;GO:0055085	Mitochondrial uncoupling protein 5 (AtPUMP5) (Mitochondrial dicarboxylate carrier 1)
Aa_G161440.h1.t1	2567	AT5G49680.2	AT5G49680.2	orthologue	GO:0048768;GO:0005576;GO:0009860;GO:0035619;GO:0090404;GO:0003674;GO:0005794	Protein KINKY POLLEN
Aa_G16150.h1.t1	513	AT2G44890.1, AT2G45510.1	AT2G45510.1	orthologue	GO:0004497;GO:0016705;GO:0008150;GO:0020037;GO:0005506;GO:0005576;GO:0005783;GO:0016020;GO:0006629;GO:0016713	At2g45510 (Cytochrome P450, family 704, subfamily A, polypeptide 2) (Putative cytochrome P450);Cytochrome P450, family 704, subfamily A, polypeptide 1
Aa_G161550.h1.t1	126	AT4G00695.3, AT1G80245.1	AT1G80245.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0005575	At1g80245 (Spc97 / Spc98 family of spindle pole body (SBP) component);Spc97 / Spc98 family of spindle pole body (SBP) component;Spc97/Spc98 family of spindle pole body (SBP) component
Aa_G161560.h1.t1	502	AT2G29990.1	AT2G29990.1	orthologue	GO:0006116;GO:0005743;GO:0003959;GO:0005759;GO:0005739;GO:0005777;GO:0016491;GO:0050136;GO:0003954	Internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial (EC 1.6.5.9) (Internal alternative NADH dehydrogenase NDA2) (NADH:ubiquinone reductase (non-electrogenic) NDA2)
Aa_G161560.h2.t1	502	AT2G29990.1	AT2G29990.1	orthologue	GO:0006116;GO:0005743;GO:0003959;GO:0005759;GO:0005739;GO:0005777;GO:0016491;GO:0050136;GO:0003954	Internal alternative NAD(P)H-ubiquinone oxidoreductase A2, mitochondrial (EC 1.6.5.9) (Internal alternative NADH dehydrogenase NDA2) (NADH:ubiquinone reductase (non-electrogenic) NDA2)
Aa_G16160.h1.t1	420	AT2G44890.1, AT2G45510.1	AT2G45510.1	orthologue	GO:0004497;GO:0016705;GO:0008150;GO:0020037;GO:0005506;GO:0005576;GO:0005783;GO:0016020;GO:0006629;GO:0016713	At2g45510 (Cytochrome P450, family 704, subfamily A, polypeptide 2) (Putative cytochrome P450);Cytochrome P450, family 704, subfamily A, polypeptide 1
Aa_G161670.h1.t1	338	AT5G50130.1	AT5G50130.1	orthologue	GO:0003674;GO:0005634;GO:0005739;GO:0016491	NAD(P)-binding Rossmann-fold superfamily protein;NAD(P)-binding Rossmann-fold superfamily protein (Ribitol dehydrogenase-like)
Aa_G161680.h1.t1	437					
Aa_G161690.h1.t1	290	AT5G50110.1	AT5G50110.1	orthologue	GO:0005737;GO:0005829;GO:0070043;GO:0008649;GO:0008150;GO:0006364	At5g50110 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein);S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Aa_G16170.h1.t1	490	AT2G45500.5	AT2G45500.5	orthologue	GO:0005634;GO:0015630;GO:0016887;GO:0000226;GO:0005524;GO:0005874;GO:0016853;GO:0005737;GO:0005819;GO:0008568;GO:0051013	microtubule-severing ATPase (EC 5.6.1.1)
Aa_G161700.h1.t1	121					
Aa_G161710.h1.t1	46					
Aa_G161720.h1.t1	155	AT5G50090.1	AT5G50090.1	orthologue	GO:0005634;GO:0003674	At5g50090 (D-ribose-binding periplasmic protein);D-ribose-binding periplasmic protein
Aa_G161730.h1.t1	204	AT5G50100.1	AT5G50100.1	orthologue	GO:0005739;GO:0042246;GO:0015035;GO:0005515;GO:0009507	Uncharacterized protein At5g50100, chloroplastic
Aa_G161750.h1.t1	174	AT5G50040.1, AT5G50050.1	AT5G50040.1	other	GO:0004857;GO:0043086;GO:0005575;GO:0009507	At5g50050 (Plant invertase/pectin methylesterase inhibitor superfamily protein);Plant invertase/pectin methylesterase inhibitor superfamily protein (Similarity to pollen-specific protein Bnm1)
Aa_G161770.h1.t1	187	AT5G50030.1	AT5G50030.1	orthologue	GO:0004857;GO:0043086;GO:0009507	At5g50030 (Plant invertase/pectin methylesterase inhibitor superfamily protein) (Similarity to pollen-specific protein Bnm1)
Aa_G161780.h1.t1	413	AT5G50020.2	AT5G50020.2	orthologue	GO:0005783;GO:0005634;GO:0006612;GO:0019706;GO:0005794;GO:0005886;GO:0016409;GO:0018230	Probable protein S-acyltransferase 9 (EC 2.3.1.225) (Probable palmitoyltransferase At5g50020) (Zinc finger DHHC domain-containing protein At5g50020)
Aa_G161790.h1.t1	377	AT5G50000.1	AT5G50000.1	orthologue	GO:0007165;GO:0005515;GO:0004674;GO:0004672;GO:0005737;GO:0004712;GO:0005886;GO:0009536;GO:0009506;GO:0009637;GO:1902456;GO:0001659;GO:0004713;GO:0005524;GO:0005829;GO:0010114;GO:0071244;GO:0006468	Protein kinase superfamily protein;Serine/threonine-protein kinase 52 (EC 2.7.11.1) (Protein CONVERGENCE OF BLUE LIGHT AND CO2 2)
Aa_G16180.h1.t1	289	AT2G45490.1	AT2G45490.1	orthologue	GO:0044022;GO:0035175;GO:0005634;GO:0007052;GO:0043687;GO:0016310;GO:0005876;GO:0006468;GO:0051233;GO:0044024;GO:0032465;GO:0005515;GO:0005819;GO:0000775;GO:0032133;GO:0005524;GO:0048471;GO:0106310;GO:0004674;GO:0004672	Aurora kinase (EC 2.7.11.1);Serine/threonine-protein kinase Aurora-3 (AtAur3) (EC 2.7.11.1) (Aurora-like kinase 3)
Aa_G16190.h1.t1	443	AT2G45480.3	AT2G45480.3	orthologue	GO:0048366;GO:0005739;GO:0006355;GO:0005515;GO:0006351;GO:0005524;GO:0005634;GO:0099402;GO:0032502	Growth-regulating factor;Growth-regulating factor 9 (AtGRF9) (Transcription activator GRF9)
Aa_G161920.h1.t1	546	AT3G21060.1	AT3G21060.1	orthologue	GO:0048188;GO:0005634;GO:0010228;GO:0003674;GO:0005515	Protein RBL (COMPASS-like H3K4 histone methylation complex component RBL) (RBBP5-like protein) (AtRbBp5) (Retinoblastoma-binding protein-like)
Aa_G161930.h1.t1	532	AT3G21070.3	AT3G21070.3	orthologue	GO:0003951;GO:0006741;GO:0005737;GO:0009507;GO:0019674;GO:0042736;GO:0016310;GO:0005524;GO:0016020	NAD kinase 1;NAD(+) kinase (EC 2.7.1.23);NAD(H) kinase 1 (AtNADK-1) (EC 2.7.1.23) (EC 2.7.1.86)
Aa_G161940.h1.t1	399	AT3G21080.1	AT3G21080.1	orthologue	GO:0005634;GO:0003674;GO:0005886;GO:0010025;GO:0015562;GO:0051607;GO:0055085;GO:0140352	ABC transporter-like protein (At3g21080)
Aa_G161960.h1.t1	691	AT3G21090.1	AT3G21090.1	orthologue	GO:0016887;GO:0005886;GO:0042626;GO:0140359;GO:0005524;GO:0016020	ABC transporter G family member 15 (ABC transporter ABCG.15) (AtABCG15) (White-brown complex homolog protein 15) (AtWBC15) (White-brown complex homolog protein 22) (AtWBC22)
Aa_G161970.h1.t1	584	AT3G21100.3	AT3G21100.3	orthologue	GO:0003674;GO:0005634;GO:0003677;GO:0003723;GO:0008270;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
Aa_G161980.h1.t1	410	AT3G21110.1	AT3G21110.1	orthologue	GO:0009570;GO:0009507;GO:0006164;GO:0006189;GO:0004639;GO:0009733;GO:0005524;GO:0005737	Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic (EC 6.3.2.6) (SAICAR synthetase)
Aa_G161990.h1.t1	416	AT1G51540.1	AT1G51540.1	other	GO:0005794;GO:0005802;GO:0005797;GO:0003674;GO:0005768;GO:0005515	At1g51540 (Galactose oxidase/kelch repeat superfamily protein)
Aa_G1620.h1.t1	777					
Aa_G16200.h1.t1	415	AT2G45470.1	AT2G45470.1	orthologue	GO:0099503;GO:0003674;GO:0005886;GO:0016020;GO:0048046;GO:0005829;GO:0009507;GO:0098552	Fasciclin-like arabinogalactan protein 8 (AtAGP8)
Aa_G162000.h1.t1	395	AT3G21140.1	AT3G21140.1	orthologue	GO:0009507;GO:0003674;GO:0005737	Pyridoxamine 5'-phosphate oxidase family protein
Aa_G162010.h1.t1	228	AT3G21150.1	AT3G21150.1	orthologue	GO:0009785;GO:0009909;GO:0008270;GO:0010017;GO:0005634;GO:0005515;GO:0045892;GO:0006355;GO:0003700;GO:0009640;GO:0005737	B-box zinc finger protein 32 (EIP6, EMF1-INTERACTING PROTEIN 6)
Aa_G162020.h1.t1	573	AT3G21160.1	AT3G21160.1	orthologue	GO:0036503;GO:0005783;GO:0004571;GO:0005768;GO:0006486;GO:0005509;GO:0005794;GO:0004559;GO:0048364;GO:0006491;GO:0000139;GO:0005802;GO:0005975;GO:0000137;GO:0012505;GO:0016020;GO:1904382	Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS2 (AtMANIa) (EC 3.2.1.113) (Alpha-mannosidase IA);alpha-1,2-Mannosidase (EC 3.2.1.-)
Aa_G162040.h1.t1	369	AT3G23260.1, AT3G21170.1, AT3G21120.1, AT3G21130.1, AT4G10190.1	AT3G21130.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005575;GO:0005515;	Putative F-box protein At3g21120;Putative F-box protein At3g21130;Putative F-box protein At3g21170;Putative F-box protein At3g23260;Putative F-box protein At4g10190
Aa_G16210.h1.t1	878	AT2G45460.3	AT2G45460.3	orthologue	GO:0005737;GO:0003674;;GO:0005515	SMAD/FHA domain-containing protein
Aa_G162150.h1.t1	353	AT5G16970.1, AT5G16980.2, AT5G16990.1, AT5G17000.1	AT5G17000.1	orthologue	GO:0005737;GO:0006979;GO:0009536;GO:0032440;GO:0016628;GO:0005886;GO:0005829;GO:0005634;GO:0005654;GO:0035798;GO:0016491	2-alkenal reductase [NAD(P)(+)] (EC 1.3.1.74);At5g16980 (Putative quinone oxidoreductase) (Zinc-binding dehydrogenase family protein);NADP-dependent alkenal double bond reductase P2 (EC 1.3.1.74);NADPH-dependent oxidoreductase 2-alkenal reductase (AtAER) (EC 1.3.1.-) (EC 1.3.1.74) (NADP-dependent alkenal double bond reductase P1) (DBR1) (NADPH-azodicarbonyl/quinone reductase) (NADPH:2-alkenal/one alpha,beta-hydrogenase) (ALH) (P1-zeta-crystallin protein) (P1-ZCr);Zinc-binding dehydrogenase family protein
Aa_G162160.h1.t1	359	AT5G16960.1	AT5G16960.1	orthologue	GO:0016628;GO:0006979;GO:0009536;GO:0032440;GO:0005737;GO:0016491	Quinone oxidoreductase-like protein (Zinc-binding dehydrogenase family protein)
Aa_G162170.h1.t1	381	AT5G11250.2	AT5G11250.2	other	GO:0005634;GO:0043531;GO:0007165;GO:0080135;GO:0006952;GO:0016787;GO:0098542;GO:0000184	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)
Aa_G162180.h1.t1	102	AT5G16950.1	AT5G16950.1	other	GO:0003674;GO:0005575;GO:0016020	AT5g16950/F2K13_100 (Krueppel-like factor)
Aa_G162190.h1.t1	135	AT5G16940.1	AT5G16940.1	orthologue	GO:0016846;GO:0008150;GO:0005634;GO:0046872	Carbon-sulfur lyase
Aa_G16220.h1.t1	92	AT2G45450.1	AT2G45450.1	orthologue	GO:0009943;GO:0005739;GO:0010358;GO:0005515	Protein LITTLE ZIPPER 1
Aa_G162200.h1.t1	636	AT5G16930.1	AT5G16930.1	orthologue	GO:0016887;GO:0005739;GO:0007005;GO:0005515;GO:0009507;GO:0005524;GO:0008270	AAA-type ATPase family protein
Aa_G162210.h1.t1	281	AT5G16920.1	AT5G16920.1	orthologue	GO:0003674;GO:0005575	At5g16920 (Fasciclin-like arabinogalactan family protein)
Aa_G162220.h1.t1	1140	AT5G16910.1	AT5G16910.1	orthologue	GO:0005768;GO:0005802;GO:0000139;GO:0016760;GO:0048767;GO:0030244;GO:0009409;GO:0005794;GO:0009833;GO:0051753;GO:0016759;GO:0005886;GO:0016757;GO:0071555;GO:0016020	Cellulose synthase-like protein D2 (AtCslD2) (EC 2.4.1.-)
Aa_G162230.h1.t1	421	AT3G45920.1, AT3G46355.1, AT3G46410.1	AT3G46410.1	other	GO:0004672;GO:0005524;GO:0008150;GO:0005634;GO:0006468;GO:0003674;GO:0005777;GO:0004674;GO:0016020;GO:0045088	LRR receptor-like Serine/Threonine-kinase;Protein kinase superfamily protein;Protein kinase superfamily protein (Protein kinase-like)
Aa_G162240.h1.t1	290	AT1G51840.1	AT1G51840.1	other	GO:0005576;GO:0003674;GO:0016020;GO:0016301	Kinase-like protein
Aa_G162250.h1.t1	508	AT5G16890.1	AT5G16890.1	orthologue	GO:0006486;GO:0003674;GO:0000138;GO:0005794;GO:0000139;GO:0016757;GO:0009101	Exostosin family protein (Glycosyltransferase)
Aa_G162260.h1.t1	406	AT5G16880.1	AT5G16880.1	orthologue	GO:0035091;GO:0009536;GO:0005634;GO:0043328;GO:0043130;GO:0005737;GO:0016020	TOM1-like protein 1;Target of Myb protein 1
Aa_G162270.h1.t1	168	AT5G16870.1	AT5G16870.1	orthologue	GO:0004045;GO:0005829;GO:0005739	peptidyl-tRNA hydrolase (EC 3.1.1.29)
Aa_G162280.h1.t1	771	AT5G16860.1	AT5G16860.1	orthologue	GO:0008270;GO:0009451;GO:0003723;GO:0005739;GO:0043231;GO:0005515	Pentatricopeptide repeat-containing protein At5g16860
Aa_G16230.h1.t1	365	AT2G45440.1	AT2G45440.1	orthologue	GO:0009507;GO:0009089;GO:0008840;GO:0019877;GO:0016829	4-hydroxy-tetrahydrodipicolinate synthase 2, chloroplastic (HTPA synthase 2) (EC 4.3.3.7)
Aa_G162300.h1.t1	270	AT5G16840.2	AT5G16840.2	orthologue	GO:0005515;GO:0009536;GO:0034051;GO:0003676;GO:0010494;GO:0005886;GO:0005634;GO:0050832;GO:0003723	Binding partner of ACD11 1
