Arabidopsis_lyrata_NCBI	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_002883563.1	182	AT3G24810.1	AT3G24810.1	orthologue	GO:0032877;GO:0004861;GO:0005515;GO:0031490;GO:0005634;GO:0005654;GO:0045736;GO:0051726	Cyclin-dependent kinase inhibitor 5 (Inhibitor/interactor of CDK protein 3) (KIP-related protein 5)
XP_002883564.1	206	AT3G24830.1	AT3G24830.1	orthologue	GO:0009506;GO:0022625;GO:0003735;GO:0005840;GO:0017148;GO:0006412;GO:0003729;GO:0005737;GO:0022626;GO:0005829;GO:0015934	Large ribosomal subunit protein uL13y (60S ribosomal protein L13a-2)
XP_002883567.1	306	AT3G24860.1	AT3G24860.1	orthologue	GO:0000976;GO:0006355;GO:0005634;GO:0009651;GO:0010555;GO:0009755;GO:0003700;GO:0006970;GO:0003677	Homeodomain-like superfamily protein
XP_002883570.1	290	AT3G25050.1	AT3G25050.1	orthologue	GO:0030247;GO:0048573;GO:0005576;GO:0016762;GO:0030243;GO:0009832;GO:0010411;GO:0004553;GO:0048046;GO:0071555;GO:0042546;GO:0005618;GO:0044042;GO:0005975	Xyloglucan endotransglucosylase/hydrolase protein 3 (At-XTH3) (XTH-3) (EC 2.4.1.207)
XP_002883572.1	208	AT3G25070.2	AT3G25070.2	orthologue	GO:0005886;GO:0009626;GO:0042742;GO:0019897;GO:0016020;GO:0034051;GO:0002237;GO:0005634;GO:0005515;GO:0006955;GO:0006468;GO:0005829;GO:0012505	RPM1 interacting protein 4;RPM1-interacting protein 4
XP_002883574.1	406	AT3G25130.1	AT3G25130.1	orthologue	GO:0009507;GO:0008150;GO:0003674;GO:0016020	Acidic leucine-rich nuclear phosphoprotein 32 family B protein
XP_002883575.1	88	AT3G25140.1	AT3G25140.1	other	GO:0000138;GO:0010289;GO:0016757;GO:0045489;GO:0005794;GO:0005739;GO:0047262;GO:0005768;GO:0005802;GO:0000139;GO:0007155	Galacturonosyltransferase 8 (EC 2.4.1.-) (Glycosyltransferase QUASIMODO1)
XP_002883576.1	133	AT3G54900.1	AT3G54900.1	orthologue	GO:0009507;GO:0015038;GO:0006812;GO:0009941;GO:0015297;GO:0009570;GO:0046872;GO:0051537	Monothiol glutaredoxin-S14, chloroplastic (AtGRXcp) (AtGrxS14) (CAX-interacting protein 1) (CXIP1)
XP_002883577.1	228	AT3G25180.1	AT3G25180.1	other	GO:0046246;GO:0050832;GO:0009617;GO:0002213;GO:0009507;GO:0016114;GO:0005506;GO:0097008;GO:1901045;GO:0004497;GO:0097007;GO:0020037;GO:0016020;GO:0102171;GO:0016705	Dimethylnonatriene synthase (EC 1.14.14.59) (Cytochrome P450 82G1) (Protein OVIPOSITION RATE 9) (Trimethyltridecatetraene synthase) (EC 1.14.14.58)
XP_002883579.1	345	AT3G24850.1, AT5G24050.1	AT5G24050.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0005515;GO:0003677	B3 domain-containing protein At5g24050;Putative B3 domain-containing protein At3g24850
XP_002883581.1	128					
XP_002883585.1	496	AT3G25180.1	AT3G25180.1	orthologue	GO:0046246;GO:0050832;GO:0009617;GO:0002213;GO:0009507;GO:0016114;GO:0005506;GO:0097008;GO:1901045;GO:0004497;GO:0097007;GO:0020037;GO:0016020;GO:0102171;GO:0016705	Dimethylnonatriene synthase (EC 1.14.14.59) (Cytochrome P450 82G1) (Protein OVIPOSITION RATE 9) (Trimethyltridecatetraene synthase) (EC 1.14.14.58)
XP_002883590.1	379	AT3G25210.1	AT3G25210.1	orthologue	GO:0003729;GO:0008150;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At3g25210, mitochondrial
XP_002883591.1	152	AT3G25220.1	AT3G25220.1	orthologue	GO:0061077;GO:0003755;GO:0099503;GO:0005829;GO:0005783;GO:0009507;GO:0005788;GO:0000413	Peptidyl-prolyl cis-trans isomerase FKBP15-1 (PPIase FKBP15-1) (EC 5.2.1.8) (15 kDa FK506-binding protein) (15 kDa FKBP) (FK506-binding protein 15-1) (AtFKBP15-1) (FK506-binding protein 2-1) (Immunophilin FKBP15-1) (Rotamase)
XP_002883595.1	281	AT3G25240.1	AT3G25240.1	orthologue	GO:0003674;GO:0005634;GO:0005524	Sulfate/thiosulfate import ATP-binding protein, putative (DUF506)
XP_002883596.1	423	AT3G25250.1	AT3G25250.1	orthologue	GO:0006468;GO:0005515;GO:0071456;GO:0004674;GO:0005634;GO:0043065;GO:0016301;GO:0019901;GO:0004672;GO:0005886;GO:0006979;GO:0005737;GO:0009611;GO:0005524;GO:0006952;GO:0106310	Serine/threonine-protein kinase OXI1 (EC 2.7.11.1) (AGC serine/threonine-protein kinase subfamily 2 member 1) (Protein OXIDATIVE SIGNAL-INDUCIBLE 1)
XP_002883597.1	514	AT3G25260.1	AT3G25260.1	orthologue	GO:0055085;GO:0022857;GO:0005739;GO:0016020	Protein NRT1/ PTR FAMILY 4.1 (AtNPF4.1) (Protein ABA-IMPORTING TRANSPORTER 3)
XP_002883600.1	521	AT3G25280.1	AT3G25280.1	orthologue	GO:0055085;GO:0022857;GO:0016020	Protein NRT1/ PTR FAMILY 4.2 (AtNPF4.2) (Protein ABA-IMPORTING TRANSPORTER 4)
XP_002883601.1	521	AT3G25280.1	AT3G25280.1	orthologue	GO:0055085;GO:0022857;GO:0016020	Protein NRT1/ PTR FAMILY 4.2 (AtNPF4.2) (Protein ABA-IMPORTING TRANSPORTER 4)
XP_002883602.2	419	AT3G25290.1	AT3G25290.1	orthologue	GO:0009507;GO:0005886;GO:0080022;GO:0009506;GO:0000293;GO:0046872	Cytochrome b561 and DOMON domain-containing protein At3g25290 (Protein b561A.tha3)
XP_002883607.1	209	AT5G60840.1	AT5G60840.1	orthologue	GO:0003674;GO:0005634;GO:0005737	Uncharacterized protein;Uncharacterized protein At5g60840
XP_002883610.2	128	AT5G20060.1	AT5G20060.1	other	GO:0005737;GO:0009536;GO:0016787	Alpha/beta-Hydrolases superfamily protein (Putative lysophospholipase)
XP_002883612.2	387	AT1G23810.1, AT1G24250.1	AT1G23810.1	orthologue	GO:0003714;GO:0000122;GO:0000118;GO:0000785;GO:0005634;GO:0006355	F3I6.18 protein (Paired amphipathic helix (PAH2) superfamily protein);F5O8.36 (Paired amphipathic helix (PAH2) superfamily protein)
XP_002883616.1	229	AT2G06425.1, AT4G04265.1, AT5G34581.1	AT5G34581.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005634	Hydroxyproline-rich glycoprotein family protein;PttA/En/Spm family plant transposase
XP_002883618.1	302	AT3G25470.1	AT3G25470.1	orthologue	GO:0032259;GO:0009507;GO:0008168;GO:0003723	Hemolysin-like (Hemolysin, putative)
XP_002883620.2	401	AT3G23260.1, AT3G21170.1, AT3G21120.1, AT3G21130.1, AT4G10190.1	AT4G10190.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005575;GO:0005515;	Putative F-box protein At3g21120;Putative F-box protein At3g21130;Putative F-box protein At3g21170;Putative F-box protein At3g23260;Putative F-box protein At4g10190
XP_002883624.2	373	AT3G23260.1, AT3G21170.1, AT3G21120.1, AT3G21130.1, AT4G10190.1	AT4G10190.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005575;GO:0005515;	Putative F-box protein At3g21120;Putative F-box protein At3g21130;Putative F-box protein At3g21170;Putative F-box protein At3g23260;Putative F-box protein At4g10190
XP_002883625.1	196	AT2G04039.3	AT2G04039.3	orthologue	GO:0009507;GO:0009579;GO:0003674;GO:0005739;GO:0008150	At2g04039/At2g04039 (DUF2996 family protein) (Predicted protein);DUF2996 family protein
XP_002883629.1	304	AT2G04220.1	AT2G04220.1	orthologue	GO:0005634;GO:0003674;GO:0008150	DUF868 family protein (DUF868)
XP_002883635.1	173	AT2G04340.1	AT2G04340.1	orthologue	GO:0008150;GO:0003674;GO:0005739	At2g04340 (Cytoplasmic dynein 2 light intermediate chain) (Expressed protein)
XP_002883636.1	720	AT2G04350.1	AT2G04350.1	orthologue	GO:0005783;GO:0004467;GO:0009941;GO:0005739;GO:0005794;GO:0016020;GO:0006631;GO:0005524	Long chain acyl-CoA synthetase 8 (EC 6.2.1.3)
XP_002883641.1	289	AT2G04450.1	AT2G04450.1	orthologue	GO:0080151;GO:0047631;GO:0051287;GO:0051707;GO:0035529;GO:0005634;GO:0005829;GO:0000210;GO:0046872;GO:0016787	Nudix hydrolase 6 (AtNUDT6) (EC 3.6.1.-) (ADP-ribose pyrophosphatase) (EC 3.6.1.13) (NADH pyrophosphatase) (EC 3.6.1.22)
XP_002883646.1	353	AT2G04530.1	AT2G04530.1	orthologue	GO:0042781;GO:0042780;GO:0008033;GO:0005634;GO:0009507;GO:0046872	tRNase Z TRZ2, chloroplastic (EC 3.1.26.11) (Chloroplast ribonuclease Z) (Chloroplast RNase Z) (Short tRNase Z 2) (Zinc phosphodiesterase CPZ) (tRNA 3 endonuclease) (tRNase ZS2) (AthTRZS2)
XP_002883647.1	257	AT2G04550.1	AT2G04550.1	orthologue	GO:0009734;GO:0009737;GO:0046620;GO:0005515;GO:0005634;GO:0004725;GO:0061388;GO:0033549;GO:0009733;GO:0035556;GO:0009738;GO:0043407;GO:0006470;GO:0016311	Protein-tyrosine-phosphatase IBR5 (EC 3.1.3.48) (Protein INDOLE-3-BUTYRIC ACID RESPONSE 5) (Protein IBA RESPONSE 5) (SKP1-interacting partner 33)
XP_002883649.2	377	AT2G04570.1	AT2G04570.1	orthologue	GO:0005576;GO:0016297;GO:0016042;GO:0016788	GDSL esterase/lipase At2g04570 (EC 3.1.1.-) (Extracellular lipase At2g04570)
XP_002883656.1	146	AT2G04700.1	AT2G04700.1	orthologue	GO:0009507;GO:0009941;GO:0103012;GO:0016730;GO:0009055;GO:0009570;GO:0051539;GO:0046872	Ferredoxin-thioredoxin reductase catalytic chain, chloroplastic (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B);Ferredoxin-thioredoxin reductase catalytic chain, chloroplastic (FTR-C) (EC 1.8.7.2) (Ferredoxin-thioredoxin reductase subunit B) (FTR-B)
XP_002883661.1	163	AT2G04790.10	AT2G04790.10	orthologue		
XP_002883662.1	95	AT2G04795.1	AT2G04795.1	orthologue	GO:0003674;GO:0006979;GO:0005575	AT2g04793 (Expressed protein)
XP_002883663.1	393	AT2G04810.1	AT2G04810.1	orthologue	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	Putative F-box protein At2g04810
XP_002883668.2	424	AT2G03800.2	AT2G03800.2	orthologue	GO:0051499;GO:0019478;GO:0009636;GO:0009507;GO:0005634;GO:0005737;GO:0046872;GO:0016788	D-aminoacyl-tRNA deacylase;D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (Ethanol tolerance protein GEKO1)
XP_002883670.1	128	AT2G04900.1	AT2G04900.1	orthologue	GO:0003674;GO:0016020;GO:0005739	Expressed protein;Transmembrane protein
XP_002883685.1	358	AT2G05260.1	AT2G05260.1	orthologue	GO:0006629;GO:0005634;GO:0003674	Alpha/beta-Hydrolases superfamily protein;Alpha/beta-Hydrolases superfamily protein (At2g05260) (Expressed protein)
XP_002883687.2	104	AT2G05335.1	AT2G05335.1	orthologue	GO:0007165;GO:0005576;GO:0003674;GO:0031640;GO:0050832	Putative defensin-like protein 253 (Putative S locus cysteine-rich-like protein 15) (Protein SCRL15) (SCR-like protein 15)
XP_002883688.1	115	AT2G05380.3	AT2G05380.3	orthologue	GO:0005576;GO:0005515;GO:0005739	AT2G05380 protein (Glycine-rich protein 3 short isoform);Glycine-rich protein 3 short isoform
XP_002883689.2	300	AT2G05410.2	AT2G05410.2	orthologue	GO:0005634;GO:0009507;GO:0008150;GO:0003674;;GO:0005515	MATH domain and coiled-coil domain-containing protein At2g05410 (RTM3-like protein At2g05410)
XP_002883690.2	302	AT2G05410.2	AT2G05410.2	orthologue	GO:0005634;GO:0009507;GO:0008150;GO:0003674;;GO:0005515	MATH domain and coiled-coil domain-containing protein At2g05410 (RTM3-like protein At2g05410)
XP_002883691.1	293	AT2G05410.2	AT2G05410.2	orthologue	GO:0005634;GO:0009507;GO:0008150;GO:0003674;;GO:0005515	MATH domain and coiled-coil domain-containing protein At2g05410 (RTM3-like protein At2g05410)
XP_002883694.1	174	AT2G05430.1	AT2G05430.1	other	GO:0003674;GO:0005634;GO:0006508;GO:0008233	Ubiquitin-specific protease family C19-related protein
XP_002883695.1	129	AT2G05440.2	AT2G05440.2	orthologue	GO:0003674;GO:0005575	AT2G05440 protein (GLYCINE RICH PROTEIN 9);GLYCINE RICH PROTEIN 9;GLYCINE RICH PROTEIN 9 (Putative glycine-rich protein)
XP_002883696.1	136	AT2G05440.2	AT2G05440.2	orthologue	GO:0003674;GO:0005575	AT2G05440 protein (GLYCINE RICH PROTEIN 9);GLYCINE RICH PROTEIN 9;GLYCINE RICH PROTEIN 9 (Putative glycine-rich protein)
XP_002883700.1	148	AT2G05540.1	AT2G05540.1	orthologue	GO:0003674;GO:0005576	At2g05540/T20G20.11 (Glycine-rich protein family) (Putative glycine-rich protein)
XP_002883713.1	246	AT2G05840.1	AT2G05840.1	orthologue	GO:0009507;GO:0005737;GO:0000502;GO:0006511;GO:0043161;GO:0005739;GO:0005839;GO:0019773;GO:0022626;GO:0003674;GO:0005634;GO:0005829;GO:0003735;GO:0051603	Proteasome subunit alpha type;Proteasome subunit alpha type-6-B (20S proteasome subunit alpha A-2) (Proteasome subunit alpha type-1)
XP_002883722.2	288	AT5G49250.1	AT5G49250.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0016020	Beta-galactosidase related protein
XP_002883723.1	390	AT2G05990.1	AT2G05990.1	orthologue	GO:0005739;GO:0006633;GO:0009941;GO:0009507;GO:0009570;GO:0005507;GO:0009579;GO:0005835;GO:0004318;GO:0016631	Enoyl-[acyl-carrier-protein] reductase [NADH], chloroplastic (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase 1) (Protein MOSAIC DEATH 1)
XP_002883737.1	109	AT2G06255.1	AT2G06255.1	orthologue	GO:0009649;GO:0048573;GO:0042753;GO:0005634;GO:0042803;GO:0048511	Protein ELF4-LIKE 3
XP_002883738.1	640	AT2G06510.1	AT2G06510.1	orthologue	GO:0000724;GO:0043047;GO:0007131;GO:0007004;GO:0005662;GO:0051026;GO:0007141;GO:0006289;GO:0009555;GO:0006281;GO:0000785;GO:0003684;GO:0048232;GO:0051321;GO:0005634;GO:0003677;GO:0006260;GO:0008270;GO:0006310;GO:0007140;GO:0003676	Replication protein A 70 kDa DNA-binding subunit A (AtRPA70A) (AtRPA1-3) (Replication factor A protein 1A) (Replication protein A 1A) (AtRPA1A);Replication protein A subunit
XP_002883742.1	148	AT2G06925.1	AT2G06925.1	orthologue	GO:0005515;GO:0004623;GO:0050482;GO:0016042;GO:0006644;GO:0005576;GO:0005773;GO:0005509;GO:0005794;GO:0008289;GO:0005634;GO:0031410;GO:0012505	Phospholipase A2-alpha (EC 3.1.1.4) (Secretory phospholipase A2-alpha) (AtsPLA2-alpha);phospholipase A2 (EC 3.1.1.4)
XP_002883744.2	191	AT5G35320.1	AT5G35320.1	other	GO:0008150;GO:0005634;GO:0003674;GO:0004497	DBH-like monooxygenase (T26D22.2 protein)
XP_002883751.1	365	AT1G27540.1, AT1G27550.1, AT1G27580.1, AT2G14290.1, AT2G14500.1, AT2G24080.1, AT4G10820.1, AT5G25290.1, AT5G25300.1	AT2G14290.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005739;GO:0009507;GO:0009737;GO:0005515	F-box family protein;F-box protein (DUF295);F-box protein (DUF295) (T17H3.4);F-box protein At2g14290;F-box protein At2g14500;F-box protein At5g25290;Probable F-box protein At5g25300
XP_002883752.1	382	AT1G27540.1, AT1G27550.1, AT1G27580.1, AT2G14290.1, AT2G14500.1, AT2G24080.1, AT4G10820.1, AT5G25290.1, AT5G25300.1	AT2G14290.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005739;GO:0009507;GO:0009737;GO:0005515	F-box family protein;F-box protein (DUF295);F-box protein (DUF295) (T17H3.4);F-box protein At2g14290;F-box protein At2g14500;F-box protein At5g25290;Probable F-box protein At5g25300
XP_002883754.2	523	AT2G06420.1	AT2G06420.1	other	GO:0008150;GO:0003674;GO:0005739	En/Spm-like transposon, putative (DUF1985)
XP_002883757.2	530	AT4G02050.1	AT4G02050.1	other	GO:0005886;GO:0042900;GO:0090406;GO:0015144;GO:0042882;GO:0012505;GO:0015293;GO:0016020;GO:0022857;GO:0055085;GO:0015145;GO:0015749	Sugar transport protein 7 (Hexose transporter 7)
XP_002883761.1	128	AT2G07340.1	AT2G07340.1	orthologue	GO:0005634;GO:0005737;GO:0009409;GO:0005515;GO:0071370;GO:0043622;GO:0006397;GO:0006457;GO:0051082;GO:0016272;GO:0005829;GO:0005739;GO:0044183	PREFOLDIN 1;Prefoldin subunit 1 (Gene involved in microtubule biogenesis 6)
XP_002883765.1	239					
XP_002883772.1	466	AT2G11810.1	AT2G11810.1	orthologue	GO:0006631;GO:0019375;GO:0009247;GO:0016036;GO:0009707;GO:0009507;GO:0019374;GO:0016758;GO:0046509;GO:0016020;GO:0031969	Monogalactosyldiacylglycerol synthase 3, chloroplastic (AtMGD3) (EC 2.4.1.46) (MGDG synthase type C);Monogalactosyldiacylglycerol synthase type C;monogalactosyldiacylglycerol synthase (EC 2.4.1.46)
XP_002883773.1	210	AT2G11890.1	AT2G11890.1	orthologue	GO:0050355;GO:0005737;GO:0005634;GO:0016887;GO:0048364;GO:0005680;GO:0005524	Triphosphate tunnel metalloenzyme 3 (Adenosinetriphosphatase) (ATPase) (EC 3.6.1.-) (Triphosphatase) (PPPase) (EC 3.6.1.25)
XP_002883782.1	570	AT2G12550.1	AT2G12550.1	orthologue	GO:0003674;GO:2000058;GO:0005634;GO:0031593;GO:0005515	At2g12550 (Ubiquitin-associated (UBA)/TS-N domain-containing protein)
XP_002883785.1	126	AT3G31910.1	AT3G31910.1	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0006508;GO:0008233	Ulp1 protease family protein (DUF1985)
XP_002883790.2	385	AT2G13100.1	AT2G13100.1	orthologue	GO:0022857;GO:0055085;GO:0009507;GO:0061513;GO:0055062;GO:0016020;GO:0005789	Major facilitator superfamily protein;Putative glycerol-3-phosphate transporter 5 (G-3-P transporter 5) (Glycerol-3-phosphate permease 5) (AtG3Pp5) (G-3-P permease 5)
XP_002883791.1	324	AT2G12940.1, AT2G13150.1	AT2G12940.1	orthologue	GO:0005634;GO:0006355;GO:0003700;GO:0009567;GO:0005829	Basic-leucine zipper (BZIP) transcription factor family protein (Putative VSF-1-like b-ZIP transcription factor);Basic-leucine zipper (BZIP) transcription factor family protein (Putative bZIP transcription factor)
XP_002883798.1	848	AT2G13540.1	AT2G13540.1	orthologue	GO:0005515;GO:0051607;GO:0005634;GO:0003729;GO:0048574;GO:0000394;GO:0009737;GO:0005739;GO:0031053;GO:0000184;GO:1905392;GO:0000339;GO:0005846;GO:0000380;GO:0000398;GO:0000956;GO:0006370;GO:0006406;GO:0035195;GO:0042789;GO:1901527;GO:0005845;GO:0003723;GO:0016070	Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (AtCBP80) (NCBP 80 kDa subunit) (Abscisic acid-hypersensitive protein 1) (ABA-hypersensitive protein 1) (Protein ENSALADA)
XP_002883801.1	622	AT2G13560.1	AT2G13560.1	orthologue	GO:0051287;GO:0042803;GO:0006108;GO:0050897;GO:0005739;GO:0005524;GO:0004471;GO:0005515;GO:0006090;GO:0008270;GO:0004470;GO:0016616	NAD-dependent malic enzyme 1, mitochondrial (AtNAD-ME1) (NAD-malic enzyme 1) (EC 1.1.1.39)
XP_002883803.1	697	AT2G13600.1	AT2G13600.1	orthologue	GO:0080156;GO:0010182;GO:0009507;GO:0005739;GO:0003723;GO:0009451;GO:0005515	Pentatricopeptide repeat-containing protein At2g13600
XP_002883804.1	823	AT2G13620.1	AT2G13620.1	orthologue	GO:0098662;GO:1902600;GO:0015385;GO:0006885;GO:0006812;GO:0012505;GO:0009507;GO:0006813;GO:0015297;GO:0016020;GO:0055085	Cation/H(+) antiporter 15 (Protein CATION/H+ EXCHANGER 15) (AtCHX15)
XP_002883808.1	1923	AT2G13680.1	AT2G13680.1	orthologue	GO:0080092;GO:0009860;GO:0009846;GO:0009556;GO:0010208;GO:0005886;GO:0003843;GO:0009507;GO:0046527;GO:0000148;GO:0006075;GO:0009555;GO:0008360;GO:0071555;GO:0016020	Callose synthase 5 (EC 2.4.1.34) (1,3-beta-glucan synthase) (Protein GLUCAN SYNTHASE-LIKE 2) (Protein LESS ADHERENT POLLEN 1)
XP_002883809.1	620	AT2G13790.1	AT2G13790.1	orthologue	GO:0004714;GO:0009507;GO:0071456;GO:0005515;GO:0005102;GO:0009626;GO:0033612;GO:0009742;GO:0005886;GO:0090351;GO:0005739;GO:0010150;GO:0004675;GO:0006468;GO:0005524;GO:0008219;GO:0106310;GO:0004672	Somatic embryogenesis receptor kinase 4 (AtSERK4) (EC 2.7.10.1) (EC 2.7.11.1) (Protein BAK1-like 1) (AtBKK1) (Somatic embryogenesis receptor-like kinase 2)
XP_002883811.1	598	AT2G13800.1	AT2G13800.1	orthologue	GO:0042802;GO:0005515;GO:0004675;GO:0006468;GO:0009507;GO:0005739;GO:0004674;GO:0005524;GO:0016020;GO:0005886;GO:0106310;GO:0004672	Somatic embryogenesis receptor kinase 5 (AtSERK5) (EC 2.7.11.1) (Somatic embryogenesis receptor-like kinase 5);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_002883812.1	456	AT2G13810.1	AT2G13810.1	orthologue	GO:0042742;GO:0009627;GO:0008483;GO:0009862;GO:0010150;GO:0009536;GO:0009507;GO:0062045;GO:0062034;GO:0030170;GO:0009058	Aminotransferase ALD1, chloroplastic (EC 2.6.1.-) (AGD2-like defense response protein 1)
XP_002883819.2	660	AT2G14050.1	AT2G14050.1	orthologue	GO:0005634;GO:0042555;GO:0000724;GO:0003697;GO:0032508;GO:0017116;GO:0003677;GO:0004386;GO:0005524;GO:0006281;GO:0008270;GO:0016787;GO:0051321;GO:0016887	Probable DNA helicase MCM9 (EC 3.6.4.12) (Minichromosome maintenance 9);Probable DNA helicase MCM9 (EC 3.6.4.12) (Minichromosome maintenance 9) (AtMCM9)
XP_002883823.1	337	AT3G10572.1	AT3G10572.1	orthologue	GO:0005515;GO:0005777;GO:0043574;GO:0015919;GO:0005622;GO:0005739;GO:0005634;GO:0005730;GO:0005778;GO:0016301	3-phosphoinositide-dependent protein kinase-1;Protein APEM9 (ABERRANT PEROXISOME MORPHOLOGY 9) (Protein DAYU)
XP_002883829.2	233	AT2G14210.2	AT2G14210.2	orthologue	GO:0005515;GO:0045944;GO:0005634;GO:0000977;GO:0006357;GO:0000976;GO:0048527;GO:0000978;GO:0003700;GO:0010167;GO:0071249;GO:0000981;GO:0007584;GO:0046983;GO:0003677;GO:0006355	AGAMOUS-like 44;MADS-box transcription factor ANR1 (Protein AGAMOUS-LIKE 44) (Protein ARABIDOPSIS NITRATE REGULATED 1)
XP_002883831.2	542	AT2G14255.1	AT2G14255.1	orthologue	GO:0000139;GO:0019706;GO:0006612;GO:0005794;GO:0016409;GO:0018345;GO:0005515	Probable protein S-acyltransferase 23 (EC 2.3.1.225) (Probable palmitoyltransferase At2g14255) (Zinc finger DHHC domain-containing protein At2g14255)
XP_002883832.1	229	AT4G33690.1	AT4G33690.1	other	GO:0005575;GO:0005515	At4g33690 (G patch domain protein)
XP_002883835.2	384	AT2G14500.1	AT2G14500.1	orthologue	GO:0008150;GO:0003674;GO:0005634;;GO:0005515	F-box protein At2g14500
XP_002883837.1	365	AT2G18510.1	AT2G18510.1	other	GO:0005515;GO:0003729;GO:0009793;GO:0071011;GO:0010075;GO:0003723;GO:0005634;GO:0006357;GO:0000398;GO:0005730;GO:0070063;GO:0048026;GO:0003676	Splicing factor 3B subunit 4
XP_002883844.1	155	AT2G14660.1	AT2G14660.1	orthologue	GO:0003674;GO:0005634	At2g14660 (Expressed protein) (Thymocyte nuclear-like protein)
XP_002883848.1	629	AT2G14680.2	AT2G14680.2	orthologue	GO:0005737;GO:0009793;GO:0003674;GO:0005634	Myosin heavy chain-like protein
XP_002883850.1	91	AT4G11653.1	AT4G11653.1	orthologue	GO:0007267;GO:0019722;GO:0005179;GO:0048046;GO:0005576;GO:0040008	Protein RALF-like 29
XP_002883854.2	675	AT2G14740.1	AT2G14740.1	orthologue	GO:0005768;GO:0017119;GO:0006623;GO:0000137;GO:0005802;GO:0005509;GO:0005794;GO:0005739;GO:0000139;GO:0030665	Vacuolar-sorting receptor 3 (AtVSR3) (BP80-like protein a') (AtBP80a') (Epidermal growth factor receptor-like protein 2a) (AtELP2a)
XP_002883860.1	343	AT2G14835.1	AT2G14835.1	orthologue	GO:0005794;GO:0003674;GO:0008270;GO:0016020	Expressed protein (RING/U-box superfamily protein)
XP_002883865.1	125	AT5G12190.1	AT5G12190.1	other	GO:0000398;GO:0071013;GO:0005515;GO:0005684;GO:0005634;GO:0071011;GO:0005686;GO:0003723;GO:0006397;GO:0008380;GO:0003676	Splicing factor 3B subunit 6-like protein (Pre-mRNA branch site p14-like protein)
XP_002883867.1	185	AT2G14890.1	AT2G14890.1	orthologue	GO:0003674;GO:0005886;GO:0016020;GO:0098552	Arabinogalactan protein 9;Classical arabinogalactan protein 9
XP_002883868.1	108	AT2G14900.1	AT2G14900.1	orthologue	GO:0003674;GO:0005576;GO:0009740	Gibberellin-regulated protein 7 (GAST1 protein homolog 7)
XP_002883869.1	165				GO:0008270	
XP_002883872.1	137	AT2G15010.1	AT2G15010.1	orthologue	GO:0006952;GO:0005576;GO:0003674;GO:0090729	Probable thionin-2.3
XP_002883879.2	481	AT2G15090.1	AT2G15090.1	orthologue	GO:0000038;GO:0009507;GO:0009922;GO:0030497;GO:0005783;GO:0006633;GO:0005789;GO:0016020;GO:0016747;GO:0016746	3-ketoacyl-CoA synthase 8 (KCS-8) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 8) (VLCFA condensing enzyme 8)
XP_002883881.1	230	AT2G15220.1	AT2G15220.1	orthologue	GO:0005576;GO:0003674	At2g15220/F15A23.4 (Expressed protein) (Plant basic secretory protein (BSP) family protein)
XP_002883884.1	393	AT2G15230.1	AT2G15230.1	orthologue	GO:0010029;GO:0004806;GO:0005515;GO:0005576;GO:2000033;GO:0046486;GO:0005615;GO:0009739;GO:0009740;GO:0016042;GO:0016788;GO:0006629	Triacylglycerol lipase 1 (EC 3.1.1.3)
XP_002883886.1	194	AT2G15270.1	AT2G15270.1	orthologue	GO:0005634;GO:0003725;GO:0005730;GO:0019901;GO:0004860;GO:0006469	Expressed protein (PRKR-interacting protein)
XP_002883891.1	602	AT4G34200.1	AT4G34200.1	other	GO:0005524;GO:0009536;GO:0004617;GO:0006564;GO:0009570;GO:0009507;GO:0005886;GO:0009793;GO:0009555;GO:0009561;GO:0051287;GO:0005739;GO:0000096;GO:0016616	D-3-phosphoglycerate dehydrogenase 1, chloroplastic (EC 1.1.1.95) (Protein EMBRYO SAC DEVELOPMENT ARREST 9)
XP_002883894.2	331	AT2G15400.1	AT2G15400.1	orthologue	GO:0001055;GO:0006366;GO:0005665;GO:0006351;GO:0005634;GO:0000419;GO:0000418;GO:0003899;GO:0003677;GO:0046983;GO:0005515	DNA-directed RNA polymerase family protein;DNA-directed RNA polymerases IV and V subunit 3B (DNA-directed RNA polymerase II 36 kDa polypeptide B) (DNA-directed RNA polymerase II subunit RPB3-B) (RNA polymerase II subunit 3-B) (RNA polymerase II subunit B3-B)
