Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006285561.1	304	AT4G24650.1	AT4G24650.1	orthologue	GO:0052381;GO:0009691;GO:0005634;GO:0008033;GO:0005739;GO:0005515;GO:0009824;GO:0052622;GO:0006400;GO:0005829;GO:0005524	Adenylate isopentenyltransferase 4 (AtIPT4) (EC 2.5.1.112) (Adenylate dimethylallyltransferase 4) (Cytokinin synthase 4)
XP_006285562.1	485	AT4G20040.1	AT4G20040.1	orthologue	GO:0004650;GO:0005576;GO:0016829	AT4g20040/F18F4_140 (Pectin lyase-like superfamily protein)
XP_006285565.1	1958	AT4G38760.1	AT4G38760.1	orthologue	GO:0006606;GO:0006405;GO:0017056;GO:0044611;GO:0005634	Nucleoporin (DUF3414)
XP_006285566.1	364	AT4G19570.1, AT4G19580.1, AT4G19590.2, AT5G37440.1, AT5G37750.1, AT5G37760.1, AT5G62780.1	AT4G19570.1	other	GO:0003674;GO:0005737;GO:0008150	At5g37440 (Chaperone DnaJ-domain superfamily protein) (Similarity to DnaJ protein);Chaperone DnaJ-domain superfamily protein;DNAJ heat shock N-terminal domain-containing protein
XP_006285567.2	389	AT5G38500.1	AT5G38500.1	other	GO:0008150;GO:0003674;GO:0005634;GO:0003677	B3 domain-containing protein At5g38500
XP_006285568.2	313	AT3G49610.1, AT5G38490.1, AT5G38500.1, AT3G24850.1, AT5G24050.1	AT5G38490.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005575;GO:0005515;GO:0003677	B3 domain-containing protein At5g24050;B3 domain-containing protein At5g38490;B3 domain-containing protein At5g38500;Putative B3 domain-containing protein At3g24850;Putative B3 domain-containing protein At3g49610
XP_006285569.1	163	AT5G35090.1	AT5G35090.1	orthologue	GO:0005739;GO:0003674;GO:0008150	At5g35090
XP_006285570.1	213	AT5G38320.1	AT5G38320.1	orthologue	GO:0008150;GO:0003674;GO:0005634	Uncharacterized protein
XP_006285573.1	791	AT4G33390.1	AT4G33390.1	orthologue	GO:0005576;GO:0003674;GO:0009903;GO:0009904;GO:0005829;	Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like 1 (Protein WEL1)
XP_006285574.2	232	AT4G39630.1	AT4G39630.1	orthologue	GO:0005515;GO:0000775;GO:0005634;GO:0003743	Translation initiation factor
XP_006285576.1	700	AT4G33970.1	AT4G33970.1	orthologue	GO:0009860;GO:0090404;GO:0005634;GO:0005199;GO:0005576;GO:0071555;GO:0005515	Pollen-specific leucine-rich repeat extensin-like protein 4 (AtPEX4) (Pollen-specific LRR/EXTENSIN4) (Cell wall hydroxyproline-rich glycoprotein)
XP_006285577.1	1188	AT4G21710.1	AT4G21710.1	orthologue	GO:0009793;GO:0005665;GO:0006351;GO:0003677;GO:0032549;GO:0001055;GO:0035196;GO:0003899;GO:0005634;GO:0009506;GO:0005739;GO:0008270;GO:0009536	DNA-directed RNA polymerase II subunit 2 (DNA-directed RNA polymerase II 135 kDa polypeptide) (DNA-directed RNA polymerase II subunit RPB2) (RNA polymerase II subunit 2) (RNA polymerase II subunit B2) (EC 2.7.7.6) (Protein EMBRYO DEFECTIVE 1989)
XP_006285578.1	463	AT5G38390.1, AT5G38386.1	AT5G38390.1	orthologue	GO:0005575;GO:0008150;GO:0003674;;GO:0005515	Putative F-box protein At5g38390;Putative F-box/LRR-repeat protein At5g38386
XP_006285580.1	425	AT4G39140.1	AT4G39140.1	orthologue	GO:0003674;GO:0005634;GO:0008270	RING finger family protein (RING/U-box superfamily protein)
XP_006285583.1	391	AT4G29370.1	AT4G29370.1	other	GO:0008150;GO:0005575;GO:0003674;;GO:0005515	F-box/kelch-repeat protein At4g29370
XP_006285590.2	420	AT4G39753.1, AT5G28160.1, AT5G28180.1, AT4G39756.1	AT4G39753.1	other	GO:0005737;GO:0008150;GO:0003674;GO:0005829;GO:0005576;GO:0005515	F-box/kelch-repeat protein At4g39753;Putative F-box/kelch-repeat protein At4g39756;Putative F-box/kelch-repeat protein At5g28160;Putative F-box/kelch-repeat protein At5g28180
XP_006285591.1	248	AT4G23890.1	AT4G23890.1	orthologue	GO:0009534;GO:0003674;GO:0009535;GO:0009767;GO:0009507;GO:0005829;GO:0010598;GO:0048038	NAD(P)H-quinone oxidoreductase subunit S, chloroplastic (EC 7.1.1.-) (NAD(P)H dehydrogenase subunit S) (NDH subunit S) (NADH-plastoquinone oxidoreductase subunit S) (Protein CHLORORESPIRATORY REDUCTION 31)
XP_006285592.1	411	AT4G19865.1	AT4G19865.1	orthologue	GO:0008150;GO:0003674;GO:0005634;;GO:0005515	F-box/kelch-repeat protein At4g19865
XP_006285594.1	74	AT5G40645.1	AT5G40645.1	orthologue	GO:0005634;GO:0003674;GO:0005886;GO:0008150	At5g40645 (NOI protein) (RPM1-interacting protein 4 (RIN4) family protein)
XP_006285597.1	573	AT4G25580.1	AT4G25580.1	orthologue	GO:0003674;GO:0005737;GO:0009737;GO:0009506;GO:0006950	At4g25580/M7J2_50 (CAP160 protein);CAP160 protein
XP_006285598.2	215	AT5G38960.1	AT5G38960.1	orthologue	GO:0008150;GO:0030145;GO:0005576;GO:0048046	Putative germin-like protein subfamily 1 member 12
XP_006285600.1	488	AT4G14605.1	AT4G14605.1	orthologue	GO:0006970;GO:0005739;GO:0009651;GO:0009737;GO:0003674;GO:0009658;GO:0006353;GO:0006355;GO:0009507;GO:0042793;GO:1990837;GO:0003676;GO:0043231	Transcription termination factor MTERF5, chloroplastic (Mitochondrial transcription termination factor 5) (mTERF5) (Protein MTERF DEFECTIVE IN ARABIDOPSIS 1)
XP_006285601.1	163	AT4G27160.1, AT4G27150.1	AT4G27160.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0005515;GO:0043424;GO:0045735	2S seed storage protein 2 (2S albumin storage protein) (NWMU2-2S albumin 2) [Cleaved into: 2S seed storage protein 2 small subunit; 2S seed storage protein 2 large subunit];2S seed storage protein 3 (2S albumin storage protein) (NWMU2-2S albumin 3) [Cleaved into: 2S seed storage protein 3 small subunit; 2S seed storage protein 3 large subunit]
XP_006285602.1	520	AT4G13990.1	AT4G13990.1	orthologue	GO:0006486;GO:0016020;GO:0005794;GO:0003674;GO:0009505;GO:0000139;GO:0016757;GO:0009101	Probable xyloglucan galactosyltransferase GT14 (EC 2.4.1.-) (Glycosyltransferase 14) (AtGT14)
XP_006285603.1	152	AT4G12860.1	AT4G12860.1	other	GO:0005509;GO:0005737;GO:0009567;GO:0005634	Calmodulin-like protein 2 (Protein UNFERTILIZED EMBRYO SAC 14)
XP_006285604.2	556	AT4G19500.1	AT4G19500.1	other	GO:0061809;GO:0043531;GO:0016887;GO:0006952;GO:0005737;GO:0007165;GO:0005524	Disease resistance protein RPP2A (EC 3.2.2.6);Nucleoside-triphosphatase/transmembrane receptor/nucleotide binding/ATP binding protein
XP_006285606.1	970	AT4G21700.1	AT4G21700.1	orthologue	GO:0005794;GO:0009507;GO:0005802;GO:0005768;GO:0003674;GO:0016020;GO:0043231	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_006285607.2	535	AT2G01050.1	AT2G01050.1	other	GO:0005634;GO:0008150;GO:0003674	Zinc ion binding / nucleic acid binding protein
XP_006285608.1	206	AT5G39670.1	AT5G39670.1	orthologue	GO:1900425;GO:0005509;GO:0005515;GO:0005575	Probable calcium-binding protein CML46 (Calmodulin-like protein 46)
XP_006285612.1	191	AT4G31320.1	AT4G31320.1	orthologue	GO:0009733;GO:0003674;GO:0005634	Auxin induced like-protein (SAUR-like auxin-responsive protein family)
XP_006285613.1	520	AT5G40440.1	AT5G40440.1	orthologue	GO:0009738;GO:0004708;GO:0005515;GO:0004672;GO:0009864;GO:0005634;GO:0098542;GO:0009866;GO:0004707;GO:0005576;GO:0009845;GO:0009737;GO:0080027;GO:0005737;GO:0000165;GO:0009507;GO:0009611;GO:0004713;GO:0005524;GO:0106310;GO:0004674;GO:0051707;GO:0006468	Mitogen-activated protein kinase kinase 3 (AtMKK3) (MAP kinase kinase 3) (EC 2.7.12.2);mitogen-activated protein kinase kinase (EC 2.7.12.2)
XP_006285614.1	423	AT4G29890.1	AT4G29890.1	orthologue	GO:0019285;GO:0009507;GO:0005506;GO:0019133;GO:0009570;GO:0051537	Choline monooxygenase, chloroplastic (EC 1.14.15.7)
XP_006285615.2	508	AT5G41830.2, AT4G00320.1	AT5G41830.2	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005634;;GO:0005515	Putative F-box/LRR-repeat protein At4g00320;RNI-like superfamily protein
XP_006285617.1	389	AT4G15050.1, AT1G10190.1, AT5G37520.1, AT2G24950.1	AT2G24950.1	other	GO:0003674;GO:0005576;GO:0008150;GO:0005575	NEP-interacting protein, putative (DUF239);Transmembrane protein, putative (DUF239)
XP_006285618.1	347	AT4G30140.1	AT4G30140.1	orthologue	GO:0005615;GO:0050525;GO:0090406;GO:0005886;GO:0005576;GO:0016042;GO:0016788	GDSL esterase/lipase At4g30140 (EC 3.1.1.-) (Extracellular lipase At4g30140)
XP_006285619.2	485	AT5G35770.1	AT5G35770.1	orthologue	GO:0030163;GO:0009554;GO:0005634;GO:0003700;GO:0046622;GO:0005515;GO:0009908;GO:0030154	Transcriptional regulator STERILE APETALA
XP_006285620.1	147	AT4G12940.1	AT4G12940.1	orthologue	GO:0005575;GO:0003674;GO:0008150	At4g12940
XP_006285621.1	292	AT4G39720.2	AT4G39720.2	orthologue	GO:0005634;GO:0003674	At4g39720 (VQ motif-containing protein);VQ motif-containing protein
XP_006285622.1	763	AT5G42600.1	AT5G42600.1	orthologue	GO:0016104;GO:0005783;GO:0042300;GO:0005811;GO:0034074;GO:0016866	Marneral synthase (AtMRN1) (EC 5.4.99.53) (Pentacyclic triterpene synthase 5) (AtPEN5)
XP_006285624.1	401	AT4G22035.1	AT4G22035.1	orthologue	GO:0003674;GO:0008150;GO:0005575;;GO:0005515	F-box only protein
XP_006285625.2	245	AT1G20740.1, AT1G20730.1, AT1G20680.1	AT1G20680.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0005634	Transport/golgi organization-like protein (DUF833);Transport/golgi organization-like protein, putative (DUF833)
XP_006285626.2	382	AT3G23260.1, AT3G21170.1, AT3G21120.1, AT3G21130.1, AT4G10190.1	AT4G10190.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005575;GO:0005515;	Putative F-box protein At3g21120;Putative F-box protein At3g21130;Putative F-box protein At3g21170;Putative F-box protein At3g23260;Putative F-box protein At4g10190
XP_006285627.1	527	AT4G17210.1	AT4G17210.1	orthologue	GO:0009904;GO:0005829;GO:0003674;GO:0009903;	Putative WEB family protein At4g17210
XP_006285631.1	626	AT4G25530.1	AT4G25530.1	orthologue	GO:0031047;GO:0042803;GO:0009911;GO:0005634;GO:0005515;GO:0008289;GO:0003700;GO:0003677	Homeobox-leucine zipper protein HDG6 (HD-ZIP protein HDG6) (Homeobox protein FWA) (Homeodomain GLABRA 2-like protein 6) (Homeodomain transcription factor HDG6) (Protein HOMEODOMAIN GLABROUS 6)
XP_006285632.1	126	AT4G38080.1	AT4G38080.1	orthologue	GO:0008150;GO:0003674;GO:0005575	At4g38080 (Hydroxyproline-rich glycoprotein family protein)
XP_006285633.1	171	AT4G23110.1	AT4G23110.1	orthologue	GO:0005634;GO:0005080;GO:0048316	Insulin-like growth factor binding protein
XP_006285634.2	742	AT5G38830.1	AT5G38830.1	other	GO:0006423;GO:0005524;GO:0005829;GO:0004817;GO:0005737;GO:0046872;GO:0004672;GO:0006468	Cysteine--tRNA ligase 2, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)
XP_006285637.1	327	AT4G32320.1	AT4G32320.1	orthologue	GO:0034599;GO:0042744;GO:0010431;GO:0020037;GO:0009507;GO:0000302;GO:0016688;GO:0004601;GO:0009845;GO:0005829;GO:0046872;GO:0006979	Putative L-ascorbate peroxidase 6 (AtAPx08) (EC 1.11.1.11)
XP_006285638.1	255	AT4G21020.1	AT4G21020.1	orthologue	GO:0003674;GO:0005886;GO:0005739;GO:0009536;GO:0008150	Late embryogenesis abundant protein (LEA) family protein
XP_006285639.1	669	AT4G38830.1	AT4G38830.1	orthologue	GO:0004674;GO:0005576;GO:0005886;GO:0016301;GO:0007165;GO:0006955;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468	Cysteine-rich receptor-like protein kinase 26 (Cysteine-rich RLK26) (EC 2.7.11.-)
XP_006285641.2	161	AT4G33585.1	AT4G33585.1	orthologue	GO:0005634;GO:0008150;GO:0003674	Transmembrane protein
XP_006285643.1	301	AT4G27890.1	AT4G27890.1	other	GO:0051082;GO:0006457;GO:0005737;GO:0006950	Protein BOBBER 2
XP_006285644.1	362	AT4G39120.2	AT4G39120.2	orthologue	GO:0004401;GO:0010347;GO:0000105;GO:0008934;GO:0009507;GO:0005737;GO:0006021;GO:0046872;GO:0052834;GO:0042578	Bifunctional phosphatase IMPL2, chloroplastic (Histidinol-phosphatase) (Histidinol-phosphate phosphatase) (HPP) (EC 3.1.3.15) (Inositol-phosphate phosphatase) (EC 3.1.3.25) (L-galactose 1-phosphate phosphatase) (EC 3.1.3.93) (Protein HISTIDINE BIOSYNTHESIS 7) (Protein MYO-INOSITOL MONOPHOSPHATASE-LIKE 2)
XP_006285646.1	384	AT4G29150.1	AT4G29150.1	orthologue	GO:0005575;GO:0003674;GO:0005516;GO:0005634;GO:0005886;GO:0005515	Protein IQ-DOMAIN 25 (AtIQD25)
XP_006285650.1	398	AT4G22060.1	AT4G22060.1	orthologue	GO:0008150;GO:0003674;GO:0005634	Probable F-box protein At4g22060
XP_006285651.1	513	AT4G17740.1	AT4G17740.1	orthologue	GO:0009543;GO:0004252;GO:0004175;GO:0009579;GO:0005576;GO:0031977;GO:0008233;GO:0005739;GO:0006508;GO:0005515;GO:0008236	Carboxyl-terminal-processing peptidase 2, chloroplastic (EC 3.4.21.102) (D1 C-terminal processing protease 2) (Photosystem II D1 protein processing peptidase 2)
XP_006285652.1	730	AT4G26140.7	AT4G26140.7	orthologue	GO:0009827;GO:0005975;GO:0005576;GO:0019388;GO:0004565;GO:0005829;GO:0009505;GO:0005773;GO:0048046;GO:0004553	Beta-galactosidase (EC 3.2.1.23);Beta-galactosidase 12 (Lactase 12) (EC 3.2.1.23);beta-galactosidase (EC 3.2.1.23)
XP_006285653.2	105	AT3G26860.2, AT2G24880.1	AT3G26860.2	orthologue	GO:0005576;GO:0008150;GO:0003674;GO:0009507;GO:0060320	Plant self-incompatibility protein S1 family (Self-incompatibility protein-like protein);S-protein homolog;S-protein homolog 23
XP_006285654.2	173	AT5G06630.1, AT2G24980.3, AT4G08400.1, AT4G08410.1, AT4G13390.1	AT4G13390.1	other	GO:0005199;GO:0009664;GO:0005575;GO:0016020	Extensin-like protein (Proline-rich extensin-like family protein);Proline-rich extensin-like family protein
XP_006285655.1	294	AT4G18870.1	AT4G18870.1	orthologue	GO:0043565;GO:0006355;GO:0003700;GO:0000978;GO:0034605;GO:0006357;GO:0005634	E2F/DP family winged-helix DNA-binding domain-containing protein (Heat shock transcription factor-like protein)
XP_006285656.1	446	AT4G30940.1	AT4G30940.1	orthologue	GO:0051260;GO:0016567;GO:0005634;GO:0003674;GO:0005515	BTB/POZ domain-containing protein At4g30940
XP_006285657.1	497	AT4G13310.1, AT4G13290.1	AT4G13310.1	orthologue	GO:0005739;GO:0009506;GO:0005506;GO:0016705;GO:0020037;GO:0004497;GO:0008150;GO:0016020	Cytochrome P450 71A19 (EC 1.14.-.-);Cytochrome P450 71A20 (EC 1.14.-.-);Cytochrome P450, family 71, subfamily A, polypeptide 20
XP_006285658.2	157	AT4G15975.1	AT4G15975.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0006952;GO:0008270;GO:0016020;GO:0016567;GO:0016740	RING-H2 finger protein ATL17 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL17)
XP_006285660.1	88	AT5G32619.1	AT5G32619.1	orthologue	GO:0003674;GO:0005576;GO:0006952;GO:0031640;GO:0050832	Defensin-like protein 82
XP_006285661.1	741	AT4G17250.1	AT4G17250.1	orthologue	GO:0010286;GO:0005739;GO:0003674;GO:0016020	AT4g17250/dl4660w (Transmembrane protein);Transmembrane protein
XP_006285662.1	109	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
XP_006285664.1	381	AT5G39560.1	AT5G39560.1	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0005737;GO:0005515	F-box/kelch-repeat protein At5g39560
XP_006285666.1	350	AT4G37040.1	AT4G37040.1	orthologue	GO:0031365;GO:0005739;GO:0009507;GO:0070006;GO:0004239;GO:0006508;GO:0046872	Methionine aminopeptidase 1D, chloroplastic/mitochondrial (MAP 1D) (MetAP 1D) (EC 3.4.11.18) (Peptidase M 1D)
XP_006285667.1	247	AT4G24805.1	AT4G24805.1	orthologue	GO:0005797;GO:0008757;GO:0005576;GO:0032259	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
XP_006285669.2	492	AT4G14590.1	AT4G14590.1	orthologue	GO:0005737;GO:0009793;GO:0003674;GO:0005634	Embryo defective 2739
XP_006285671.2	192	AT4G29460.1	AT4G29460.1	orthologue	GO:0009860;GO:0005783;GO:0050482;GO:0006644;GO:0009555;GO:0008289;GO:0005794;GO:0005576;GO:0004623;GO:0005509;GO:0009846;GO:0016042;GO:0046872	Phospholipase A2-gamma (EC 3.1.1.4) (Secretory phospholipase A2-gamma) (AtsPLA2-gamma)
XP_006285672.1	201	AT5G38610.1	AT5G38610.1	orthologue	GO:0009505;GO:0005576;GO:0009827;GO:0043086;GO:0004857	At5g38610 (Plant invertase/pectin methylesterase inhibitor superfamily protein)
XP_006285673.1	349	AT4G28210.1	AT4G28210.1	orthologue	GO:0009507;GO:0009409;GO:0009793;GO:0005886;GO:0003674	At4g28210 (Embryo defective 1923)
XP_006285674.1	577	AT4G30310.2	AT4G30310.2	orthologue	GO:0019321;GO:0005975;GO:0005737;GO:0009507;GO:0005886;GO:0019150;GO:0005739;GO:0005829;GO:0016773;GO:0016301;GO:0046835	FGGY carbohydrate kinase domain-containing protein;FGGY family of carbohydrate kinase
XP_006285675.1	330	AT5G39220.1	AT5G39220.1	orthologue	GO:0009507;GO:0010189;GO:0016788;GO:0009941;GO:0016787;GO:0003824	Alpha/beta hydrolase domain-containing protein VTE7 (EC 3.1.1.-) (Protein VITAMIN E DEFICIENT 7) (AtVTE7);Alpha/beta-Hydrolases superfamily protein
XP_006285676.1	382	AT4G32400.1	AT4G32400.1	orthologue	GO:0009941;GO:0009793;GO:0005886;GO:0055085;GO:0015215;GO:0009507;GO:0005739;GO:0009536;GO:0006862;GO:0005743;GO:0009706	Adenine nucleotide transporter BT1, chloroplastic/mitochondrial (Protein BRITTLE 1 homolog) (AtBT1) (Protein EMBRYO DEFECTIVE 104) (Protein EMBRYO DEFECTIVE 42) (Protein SODIUM HYPERSENSITIVE 1)
XP_006285677.1	713	AT4G35440.2	AT4G35440.2	orthologue	GO:1902476;GO:0009535;GO:0042548;GO:0009507;GO:0010027;GO:0005247;GO:0005254;GO:0034707;GO:0006821;GO:0015108;GO:0016020;GO:0055085	Chloride channel protein;Chloride channel protein CLC-e (AtCLC-e) (AtCLCe) (CBS domain-containing protein CBSCLC3)
XP_006285678.1	736	AT4G27730.1	AT4G27730.1	orthologue	GO:0035673;GO:0005886;GO:0005737;GO:0016020;GO:0006857;GO:0015031;GO:0055085	Oligopeptide transporter 6 (AtOPT6)
XP_006285679.1	420	AT4G28706.4	AT4G28706.4	orthologue	GO:0003674;GO:0009507;GO:0005829;GO:0016301	At4g29227 (PfkB-like carbohydrate kinase family protein);PfkB-like carbohydrate kinase family protein
XP_006285681.1	357	AT5G37690.1	AT5G37690.1	orthologue	GO:0009507;GO:0008150;GO:0016788;GO:0005576;GO:0016042	GDSL esterase/lipase At5g37690 (EC 3.1.1.-) (Extracellular lipase At5g37690);SGNH hydrolase-type esterase superfamily protein
XP_006285683.1	207	AT4G28556.1	AT4G28556.1	orthologue	GO:0005634;GO:0003674;GO:0009416;GO:0005886;GO:0005737	CRIB domain-containing protein RIC7 (ROP-interactive CRIB motif-containing protein 7) (Target of ROP protein RIC7);PAK-box/P21-Rho-binding family protein
XP_006285684.1	573	AT4G28220.1	AT4G28220.1	orthologue	GO:0005509;GO:0099617;GO:0005758;GO:0006116;GO:0003959;GO:0070995;GO:0005777;GO:0005739;GO:0003954;GO:0016491;GO:0031314;GO:0050136;GO:0005743	External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial (EC 1.6.5.9) (External alternative NADH dehydrogenase NDB1) (NADH:ubiquinone reductase (non-electrogenic) NDB1);NAD(P)H dehydrogenase B1
XP_006285685.1	609	AT5G37920.1, AT5G37430.1	AT5G37920.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Similarity to unknown protein
XP_006285687.1	251	AT4G35210.1	AT4G35210.1	orthologue	GO:0048364;GO:0048367;GO:0003674;GO:0009507	Carrier protein (DUF241)
XP_006285688.1	538	AT4G29360.2	AT4G29360.2	orthologue	GO:0042973;GO:0005886;GO:0005576;GO:0005975;GO:0016020;GO:0006952;GO:0071555;GO:0098552;GO:0009506;GO:0004553	Glucan endo-1,3-beta-glucosidase 12 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 12) ((1->3)-beta-glucanase 12) (Beta-1,3-endoglucanase 12) (Beta-1,3-glucanase 12);glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
XP_006285689.1	237	AT4G32270.1	AT4G32270.1	orthologue	GO:0000398;GO:0003674;GO:0005634	Ubiquitin-like superfamily protein
XP_006285690.1	513	AT4G26680.1	AT4G26680.1	orthologue	GO:0005739;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At4g26680, mitochondrial
XP_006285691.1	587	AT4G34030.1	AT4G34030.1	orthologue	GO:0008270;GO:0005739;GO:0006552;GO:1905202;GO:0005886;GO:0004485;GO:0050897;GO:0005524;GO:0005759;GO:0016874	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial (MCCase subunit beta) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 2) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit beta)
XP_006285692.2	611	AT4G20230.2	AT4G20230.2	orthologue	GO:0016102;GO:0000287;GO:0009507;GO:0010333;GO:0016114;GO:0005737;GO:0016829	Terpenoid synthase 9 (AtTPS09) (EC 4.2.3.-);Terpenoid synthase superfamily protein
XP_006285693.1	123	AT5G37730.1	AT5G37730.1	orthologue	GO:0005634;GO:0003674;GO:0008150	Gb|AAC00605.1
XP_006285694.2	341	AT5G04950.1	AT5G04950.1	other	GO:0030418;GO:0010233;GO:0009860;GO:0009555;GO:0005575;GO:0030410	Nicotianamine synthase 1 (EC 2.5.1.43) (S-adenosyl-L-methionine:S-adenosyl-L-methionine:S-adenosyl-methionine 3-amino-3-carboxypropyltransferase 1) (AtNAS1)
XP_006285695.1	783	AT4G34280.1	AT4G34280.1	orthologue	GO:0080008;GO:0071493;GO:0005515;GO:0005739;GO:0010224;GO:0005634	Protein DWD HYPERSENSITIVE TO UV-B 1
XP_006285696.1	181	AT5G38410.3, AT5G38430.1, AT5G38420.1	AT5G38430.1	orthologue	GO:0009507;GO:0022626;GO:0048046;GO:0009941;GO:0009570;GO:0110102;GO:0009505;GO:0009579;GO:0015979;GO:0009536;GO:0005515;GO:0003729;GO:0009853;GO:0016984;GO:0019253;GO:0019904	Ribulose bisphosphate carboxylase small subunit 1B, chloroplastic (RuBisCO small subunit 1B);Ribulose bisphosphate carboxylase small subunit 2B, chloroplastic (RuBisCO small subunit 2B);Ribulose bisphosphate carboxylase small subunit 3B, chloroplastic (RuBisCO small subunit 3B);Ribulose bisphosphate carboxylase small subunit, chloroplastic (RuBisCO small subunit)
XP_006285697.1	763	AT4G15430.1	AT4G15430.1	orthologue	GO:0005886;GO:0005227;GO:0016020	Hyperosmolality-gated Ca2+ permeable channel 1.6 (AtOSCA1.6)
XP_006285698.2	180	AT4G28170.1	AT4G28170.1	orthologue	GO:0008150;GO:0005575;GO:0003674;GO:0016020	Transmembrane protein
XP_006285700.1	916	AT4G14510.1	AT4G14510.1	orthologue	GO:0048316;GO:0006364;GO:0009507;GO:0008380;GO:0042794;GO:0003729;GO:0000373;GO:0005515;GO:0009536;GO:0006397;GO:1990904;GO:0003723;GO:0000375	CRM-domain containing factor CFM3B, chloroplastic (Protein CRM FAMILY MEMBER 3B) (AtCFM3b) (Protein SUPPRESSOR OF RFC THREE 2)
XP_006285702.1	423	AT4G23590.1	AT4G23590.1	orthologue	GO:0009058;GO:0006520;GO:0005737;GO:0030170;GO:0005829;GO:0008483	Probable aminotransferase TAT4 (EC 2.6.1.-) (Tyrosine aminotransferase 4)
XP_006285703.1	471	AT4G13930.1	AT4G13930.1	orthologue	GO:0005739;GO:0005515;GO:0005829;GO:0019264;GO:0030170;GO:1901149;GO:0005737;GO:0005886;GO:0004372;GO:0046653;GO:0009506;GO:0007623;GO:0035999	Serine hydroxymethyltransferase 4 (AtSHMT4) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 4) (Serine methylase 4)
XP_006285704.1	879	AT5G39000.1	AT5G39000.1	orthologue	GO:0004672;GO:0004714;GO:0010038;GO:0009536;GO:0016310;GO:0016301;GO:0005886;GO:0004674;GO:0005524;GO:0016020;GO:0006468	Putative receptor-like protein kinase At5g39000 (EC 2.7.11.-)
XP_006285706.1	666	AT5G37620.1	AT5G37620.1	orthologue	GO:0008150;GO:0003674;GO:0009506;GO:0008270	CHP-rich zinc finger protein-like (Cysteine/Histidine-rich C1 domain family protein)
XP_006285708.1	259	AT5G39870.2	AT5G39870.2	orthologue	GO:0008150;GO:0009507;GO:0003674	DUF1216 domain-containing protein
XP_006285709.1	345	AT4G19690.2	AT4G19690.2	orthologue	GO:0005768;GO:0005886;GO:0005381;GO:0071577;GO:0006828;GO:0015675;GO:0009617;GO:0005384;GO:0006829;GO:0005385;GO:0005802;GO:0015086;GO:0009507;GO:0005375;GO:0015691;GO:0030001;GO:0006826;GO:0006879;GO:0005769;GO:0005773;GO:0016020;GO:0046873;GO:0055085	Fe(2+) transport protein 1 (Fe(II) transport protein 1) (Iron-regulated transporter 1)
XP_006285710.1	513	AT4G39490.1	AT4G39490.1	orthologue	GO:0020037;GO:0016705;GO:0005576;GO:0008150;GO:0005506;GO:0004497;GO:0006629;GO:0016020	Cytochrome P450, family 96, subfamily A, polypeptide 10;Cytochrome P450, family 96, subfamily A, polypeptide 9 (Cytochrome P450-like protein)
XP_006285712.1	538	AT3G56300.1	AT3G56300.1	other	GO:0006423;GO:0005737;GO:0005524;GO:0004817;GO:0004812;GO:0006418;GO:0016020;GO:0046872;GO:0005829;GO:0000166	Cysteine--tRNA ligase 1, cytoplasmic (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS);Cysteinyl-tRNA synthetase, class Ia family protein
XP_006285714.1	302	AT4G15417.2	AT4G15417.2	orthologue	GO:0005634;GO:0004525;GO:0006396;GO:0030422;GO:0005737;GO:0003723;GO:0046872	RNAse II-like 1
XP_006285715.1	475	AT4G15550.1	AT4G15550.1	orthologue	GO:0080043;GO:0016757;GO:0080044;GO:0005634;GO:0005737;GO:0009636;GO:0035251;GO:0008194	UDP-glycosyltransferase 75D1 (EC 2.4.1.-)
