Erysimum_linariifolium	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
El001G049450	495	AT5G27460.1	AT5G27460.1	orthologue	GO:0005739;GO:0008150;GO:0003674;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At5g27460
El001G049460	434	AT5G27470.1	AT5G27470.1	other	GO:0006434;GO:0004828;GO:0005829;GO:0002181;GO:0009536;GO:0005737;GO:0000049;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser) synthetase)
El001G049470	451	AT5G27470.1	AT5G27470.1	orthologue	GO:0006434;GO:0004828;GO:0005829;GO:0002181;GO:0009536;GO:0005737;GO:0000049;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser) synthetase)
El001G049510	327	AT3G56560.1, AT5G39540.1, AT3G55210.1	AT3G55210.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0016020	F-box associated ubiquitination effector family protein;NAC domain containing protein 63 (NAM (No apical meristem)-like protein);NAC domain containing protein 65
El001G049520	280	AT5G27490.1	AT5G27490.1	orthologue	GO:0016192;GO:0031267;GO:0005794;GO:0000139;GO:0016020	Protein YIP
El001G049530	183	AT1G42480.1	AT1G42480.1	orthologue	GO:0003674;GO:0005634	TLR4 regulator/MIR-interacting MSAP protein
El001G049540	158					
El001G049550	326	AT5G27510.1	AT5G27510.1	orthologue	GO:0016310;GO:0005524;GO:0004672;GO:0005575;GO:0007165;GO:0006468	Protein kinase superfamily protein
El001G049570	326	AT5G27510.1	AT5G27510.1	orthologue	GO:0016310;GO:0005524;GO:0004672;GO:0005575;GO:0007165;GO:0006468	Protein kinase superfamily protein
El001G049580	327	AT5G27510.1	AT5G27510.1	orthologue	GO:0016310;GO:0005524;GO:0004672;GO:0005575;GO:0007165;GO:0006468	Protein kinase superfamily protein
El001G049590	321	AT5G27520.1	AT5G27520.1	orthologue	GO:0005778;GO:0006635;GO:0005739;GO:0015866;GO:0015867;GO:0090351;GO:0005347;GO:0005777;GO:0080024;GO:0015217;GO:0007031;GO:0015297	Peroxisomal adenine nucleotide carrier 2
El001G049610	649	AT5G27540.1	AT5G27540.1	orthologue	GO:0005525;GO:0003924;GO:0009536;GO:0009860;GO:0009793;GO:0005739;GO:0005509;GO:0007005;GO:0005741	Mitochondrial Rho GTPase 1 (AtMIRO1) (EC 3.6.5.-) (Miro-related GTPase 1)
El001G049620	759	AT5G27550.1	AT5G27550.1	orthologue	GO:0005871;GO:0003777;GO:0051225;GO:0005874;GO:0007018;GO:0016887;GO:0008017;GO:0005737;GO:0005524;GO:0007017;GO:0015630	Kinesin-like protein KIN-14S
El001G049630	334	AT5G27560.1	AT5G27560.1	orthologue	GO:0009507;GO:0005515;GO:0009536	DUF1995 domain protein, putative (DUF1995)
El001G049640	699	AT5G27600.1	AT5G27600.1	orthologue	GO:0005777;GO:0004467;GO:0006631;GO:0005515;GO:0009651;GO:0016020;GO:0005783;GO:0010193;GO:0001676;GO:0009536;GO:0005634;GO:0005524;GO:0102391	Long chain acyl-CoA synthetase 7, peroxisomal (AtLACS7) (EC 6.2.1.3)
El001G049650	978	AT5G27610.1	AT5G27610.1	orthologue	GO:0070176;GO:0051726;GO:0022414;GO:0006357;GO:0006351;GO:0003677;GO:0005654;GO:0005634;GO:0000003;GO:0017053	Protein ALWAYS EARLY 1 (AtALY1)
El001G049660	424	AT3G33520.1	AT3G33520.1	orthologue	GO:0051301;GO:0009910;GO:0006355;GO:0005737;GO:0006970;GO:1902275;GO:0030029;GO:0000812;GO:0031491;GO:0006338;GO:0005200;GO:0009266;GO:0009845;GO:0005515;GO:0005634;GO:1904159;GO:0006952	Actin-related protein 6 (Protein EARLY IN SHORT DAYS 1) (Protein SUPPRESSOR OF FRIGIDA 3)
El001G049670	334	AT5G27620.2	AT5G27620.2	orthologue	GO:0006367;GO:0005515;GO:0006355;GO:0005634;GO:0016538;GO:0009637;GO:0009414;GO:0004672;GO:2000070;GO:0006357;GO:1990069;GO:0070985;GO:0005737;GO:0010119;GO:0072593;GO:0051301	Cyclin-H1-1;Cyclin-H1-1 (CycH1;1)
El001G049680	661	AT5G27630.3	AT5G27630.3	orthologue	GO:0005829;GO:0000062;GO:0006869;GO:0005515;GO:0009416;GO:0001666;GO:0005634	Acyl-CoA binding protein 5;Acyl-CoA-binding domain-containing protein 5 (Acyl-CoA binding protein 5)
El001G049690	714	AT5G27640.2	AT5G27640.2	orthologue	GO:0005737;GO:0005852;GO:0003743;GO:0006413;GO:0031369;GO:0009536;GO:0005515;GO:0001732;GO:0003723;GO:0016282;GO:0033290;GO:0003676	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (eIF-3-eta) (eIF3 p110);Eukaryotic translation initiation factor 3 subunit B (eIF3b) (eIF-3-eta) (eIF3 p110) (p82)
El001G049700	1068	AT5G27650.1	AT5G27650.1	orthologue	GO:0035098;GO:0006355;GO:2000028;GO:0040029;GO:0005634;GO:0005515;GO:0009908	PWWP domain-containing protein 1
El001G049710	430	AT5G27660.2	AT5G27660.2	orthologue	GO:0005634;GO:0034605;GO:0006508;GO:0051603;GO:0008233;GO:0005739;GO:0004252;GO:0005515	Putative protease Do-like 14 (EC 3.4.21.-);Trypsin family protein with PDZ domain-containing protein
El001G049720	147	AT5G27670.1	AT5G27670.1	orthologue	GO:0031507;GO:0030527;GO:0070828;GO:0009536;GO:0000786;GO:0003682;GO:0005634;GO:0046982;GO:0000792;GO:0005730;GO:0003677	Probable histone H2A.5 (HTA7)
El001G049730	108					
El001G049740	848	AT5G27680.1	AT5G27680.1	orthologue	GO:0032508;GO:0005634;GO:0006268;GO:0006281;GO:0006310;GO:0043138;GO:0000724;GO:0005737;GO:0003676;GO:0005694;GO:0009378;GO:0004386;GO:0005524;GO:0016887;GO:0003677;GO:0046872;GO:0005515	ATP-dependent DNA helicase (EC 5.6.2.4);ATP-dependent DNA helicase Q-like SIM (EC 5.6.2.4) (DNA 3'-5' helicase RecQSIM) (RecQ-like protein SIM) (AtRecQsim) (Similar to RecQ protein)
El001G049750	108					
El001G049810	352	AT5G27690.1	AT5G27690.1	orthologue	GO:0005515;GO:0005634;GO:0046872	Heavy metal-associated isoprenylated plant protein 36 (AtHIP36)
El001G049820	262	AT2G29340.1	AT2G29340.1	orthologue	GO:0005777;GO:0003674;GO:0005829;GO:0016491	Tropinone reductase homolog At2g29340 (EC 1.1.1.-)
El001G049830	799	AT4G04220.1	AT4G04220.1	orthologue	GO:0005886;GO:0016301;GO:0007165;GO:0005515	Receptor-like protein 46 (AtRLP46)
El001G049850	106					
El001G049890	117					
El001G049900	800	AT4G04220.1	AT4G04220.1	orthologue	GO:0005886;GO:0016301;GO:0007165;GO:0005515	Receptor-like protein 46 (AtRLP46)
El001G049910	82	AT5G27700.1	AT5G27700.1	other	GO:0005829;GO:0006412;GO:0022627;GO:0000461;GO:0003735;GO:0000447;GO:0005737;GO:0009536;GO:0005634;GO:0005840	Small ribosomal subunit protein eS21y (40S ribosomal protein S21-2)
El001G049930	117	AT3G05490.1	AT3G05490.1	other	GO:0019722;GO:0009506;GO:0005576;GO:0005179;GO:0007267;GO:0048046;GO:0040008	Protein RALF-like 22
El001G049940	481					
El001G049950	336	AT5G27710.1	AT5G27710.1	orthologue	GO:0003674;GO:0008150;GO:0005576	At5g27710 (T-box protein);T-box protein
El001G049960	129	AT5G27720.1	AT5G27720.1	orthologue	GO:0009536;GO:0000932;GO:0000387;GO:0005829;GO:0009793;GO:0005634;GO:0005688;GO:0005515;GO:0033962;GO:0097526;GO:0017070;GO:0000290;GO:0000398;GO:0003723;GO:0005681;GO:0120115;GO:1990726;GO:0006396;GO:0000956	Sm-like protein LSM4 (AtLSM4) (Protein EMBRYO DEFECTIVE 1644) (U6 snRNA-associated Sm-like protein LSM4)
El001G049970	226	AT1G58300.1, AT1G69720.1	AT1G69720.1	other	GO:0004392;GO:0006788;GO:0009507;GO:0003729;GO:0020037;GO:0015979;GO:0046872;GO:0010024	Heme oxygenase 3, chloroplastic (EC 1.14.14.18);Heme oxygenase 4, chloroplastic (EC 1.14.14.18)
El001G049980	470	AT5G27730.1	AT5G27730.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Heparan-alpha-glucosaminide N-acetyltransferase-like protein (DUF1624)
El001G049990	354	AT5G27740.1	AT5G27740.1	orthologue	GO:0006261;GO:0006281;GO:0016887;GO:0009793;GO:0005634;GO:0003689;GO:0005663;GO:0003677;GO:0005524;GO:0006260	Replication factor C subunit 3 (AtRFC3) (Activator 1 subunit 3) (Protein EMBRYO DEFECTIVE 161) (Protein EMBRYO DEFECTIVE 251) (Protein EMBRYO DEFECTIVE 2775)
El001G050000	220	AT3G09160.1, AT5G05430.2	AT5G05430.2	orthologue	GO:0003723;GO:0005634;GO:0016607;GO:0005739;GO:0000381;GO:0003729;GO:0003676;GO:0008143	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein
El001G050020	27	AT2G28450.1	AT2G28450.1	other	GO:0008173;GO:0005634;GO:0000976;GO:0006396;GO:0008270;GO:0032259;GO:0003677	Zinc finger (CCCH-type) family protein;Zinc finger CCCH domain-containing protein 24 (AtC3H24) (EC 2.1.1.-)
El001G050050	90	AT5G06905.1	AT5G06905.1	other	GO:0016020;GO:0020037;GO:0008150;GO:0016709;GO:0005506;GO:0016705;GO:0004497	Cytochrome P450, family 712, subfamily A, polypeptide 2
El001G050070	270	AT2G16490.1, AT3G29375.1	AT3G29375.1	other	GO:0003674;GO:0005575;GO:0080188;GO:0005634	XH domain-containing protein
El001G050080	117					
El001G050090	415				GO:0008270	
El001G050120	435	AT3G25270.1	AT3G25270.1	orthologue	GO:0004523;GO:0005634;GO:0008150;GO:0003676;GO:0003964	Reverse transcriptase-like protein (Ribonuclease H-like superfamily protein)
El001G050140	309	AT2G16490.1, AT3G29375.1	AT3G29375.1	other	GO:0003674;GO:0005575;GO:0080188;GO:0005634	XH domain-containing protein
El001G050160	506	AT5G27750.1	AT5G27750.1	orthologue	GO:0005575;GO:0003674;;GO:0005515	F-box/FBD-like domains containing protein;FBD-associated F-box protein At5g27750
El001G050170	258	AT2G16490.1, AT3G29375.1	AT3G29375.1	other	GO:0003674;GO:0005575;GO:0080188;GO:0005634	XH domain-containing protein
El001G050180	239	AT2G16490.1, AT3G29375.1	AT3G29375.1	other	GO:0003674;GO:0005575;GO:0080188;GO:0005634	XH domain-containing protein
El001G050200	251					
El001G050250	96	AT5G27760.1	AT5G27760.1	orthologue	GO:0005739;GO:0033617;GO:0003674;GO:0098803;GO:0005746	Hypoxia-responsive family protein
El001G050260	124	AT5G27770.1	AT5G27770.1	orthologue	GO:0005737;GO:0003723;GO:0005730;GO:0022625;GO:0006412;GO:0003729;GO:0003735;GO:0009536;GO:0002181;GO:0005840	Large ribosomal subunit protein eL22y (60S ribosomal protein L22-3)
El001G050270	114	AT5G27820.1	AT5G27820.1	orthologue	GO:0009507;GO:0008097;GO:0003735;GO:0006412;GO:0005840;GO:1990904	At5g27820 (Ribosomal L18p/L5e family protein)
El001G050280	302	AT5G27830.4	AT5G27830.4	other	GO:0009751;GO:0008517;GO:0005634;GO:0005576;GO:0015884;GO:0006979;GO:0005542;GO:0016020	Folate receptor family protein;Folate-binding protein 1 (AtFBP1)
El001G050290	319	AT5G27840.4	AT5G27840.4	orthologue	GO:0048768;GO:0017018;GO:0004722;GO:0009860;GO:0006470;GO:0005737;GO:0005634;GO:0005829;GO:0046872;GO:0016787	Serine/threonine-protein phosphatase (EC 3.1.3.16);Serine/threonine-protein phosphatase PP1 isozyme 8 (EC 3.1.3.16) (Type one protein phosphatase 8)
El001G050300	157	AT1G03660.1	AT1G03660.1	other	GO:0005575;GO:0003674;GO:0016020	Ankyrin-repeat containing protein
El001G050310	187	AT3G05590.1, AT5G27850.1	AT3G05590.1	other	GO:0003729;GO:0005773;GO:0022625;GO:0022626;GO:0006412;GO:0003723;GO:0003735;GO:0009536;GO:0005737;GO:0009506;GO:0015934;GO:0005515;GO:0009507;GO:0000325;GO:0005829;GO:0005840;GO:1990904	Large ribosomal subunit protein eL18x (60S ribosomal protein L18-3);Large ribosomal subunit protein eL18y (60S ribosomal protein L18-2);Ribosomal protein L18;Ribosomal protein L18e/L15 superfamily protein
El001G050320	179	AT5G27860.1	AT5G27860.1	orthologue	GO:0005681;GO:0000398;GO:0005634;GO:0003727	Uncharacterized protein
El001G050330	150	AT2G04030.1	AT2G04030.1	other	GO:0009570;GO:0006457;GO:0009651;GO:0005524;GO:0034605;GO:0009793;GO:0009507;GO:0009941;GO:0051082;GO:0009414;GO:0005739;GO:0009408;GO:0000325;GO:0009536;GO:0045037;GO:0032991;GO:0009704;GO:0005886;GO:0005515;GO:0010157;GO:0048471;GO:0140662;GO:0050821;GO:0016887;GO:0042803;GO:0005829	Heat shock protein 90-5, chloroplastic (AtHSP90.5) (AtHsp90-5) (Heat shock protein 88-1) (Hsp88-1) (Hsp90C) (Protein EMBRYO DEFECTIVE 1956) (Protein chlorate-resistance 88)
El001G050340	688	AT5G27870.1	AT5G27870.1	orthologue	GO:0042545;GO:0045490;GO:0030599;GO:0005634;GO:0004857;GO:0046910;GO:0016020	Putative pectinesterase/pectinesterase inhibitor 28 [Includes: Pectinesterase inhibitor 28 (Pectin methylesterase inhibitor 28); Pectinesterase 28 (PE 28) (EC 3.1.1.11) (Pectin methylesterase 28) (AtPME28)]
El001G050350	103					
El001G050360	277	AT5G27880.1	AT5G27880.1	orthologue	GO:0003700;GO:0006355;GO:0009507;GO:0008270	C2H2 and C2HC zinc fingers superfamily protein
El001G050380	277	AT5G03495.1	AT5G03495.1	orthologue	GO:0009507;GO:0008150;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
El001G050390	133					
El001G050400	640	AT5G27920.1	AT5G27920.1	orthologue	GO:0031146;GO:0005515;GO:1990756;GO:0019005;GO:0010044;GO:0005634	At5g27920 (F-box family protein)
El001G050480	402	AT3G12000.1	AT3G12000.1	other	GO:0003674;GO:0005576;GO:0004674;GO:0005524;GO:0005886;GO:0030246;GO:0048544	non-specific serine/threonine protein kinase (EC 2.7.11.1)
El001G050510	96	AT5G25757.1, AT5G25754.1	AT5G25757.1	other	GO:0005634;GO:0009506;GO:0003729;GO:0009536;GO:0005852;GO:0006413;GO:0003674;GO:0001732;GO:0003743;GO:0016282;GO:0033290;GO:0005737	Eukaryotic translation initiation factor 3 subunit L (eIF3l)
El001G050520	90	AT2G24615.1	AT2G24615.1	other	GO:0008150;GO:0005576;GO:0003674;GO:0031640;GO:0050832	Putative defensin-like protein 38
El001G050580	278	AT5G25640.1	AT5G25640.1	orthologue	GO:0004252;GO:0008150;GO:0005575;GO:0006508;GO:0016020	Rhomboid-related intramembrane serine protease family protein
El001G050590	375	AT5G27930.1	AT5G27930.1	orthologue	GO:0004722;GO:0005737;GO:0006470;GO:0009414;GO:1902531;GO:0005886;GO:0005515;GO:0017018;GO:0009819;GO:0045926;GO:0000226;GO:0046872	Probable protein phosphatase 2C 73 (AtPP2C73) (EC 3.1.3.16) (AtPPC6;7);Protein phosphatase 2C family protein
El001G050600	257	AT5G27000.1	AT5G27000.1	other	GO:0008017;GO:0007018;GO:0016887;GO:0015630;GO:0007017;GO:0003777;GO:0005515;GO:0005524;GO:0005737;GO:0005874	Kinesin-like protein KIN-14G (Kinesin-like protein KatD)
El001G050610	335	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27944.1, AT5G27580.1, AT5G26950.1, AT5G27070.1	AT5G26950.1	orthologue	GO:0000981;GO:0006357;GO:0045944;GO:0000978;GO:0005634;GO:0046983;GO:0000987;GO:0005515;GO:0005886;GO:0003700;GO:0005739;GO:0006355;GO:0000976;GO:0003677	AGAMOUS-like 101 (MADS-box family protein);AGAMOUS-like 54;AGAMOUS-like 54 (F15P11.1 protein) (MADS-box protein AGL54);AGAMOUS-like 89 (At5g27580) (MADS-box family protein) (MADS-box protein AGL89);AGAMOUS-like MADS-box protein (F2P16.19 protein);Agamous-like MADS-box protein AGL53;Agamous-like MADS-box protein AGL93;MADS-box transcription factor family protein
El001G050630	110	AT5G27000.1	AT5G27000.1	other	GO:0008017;GO:0007018;GO:0016887;GO:0015630;GO:0007017;GO:0003777;GO:0005515;GO:0005524;GO:0005737;GO:0005874	Kinesin-like protein KIN-14G (Kinesin-like protein KatD)
El001G050640	335	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27944.1, AT5G27580.1, AT5G26950.1, AT5G27070.1	AT5G26950.1	orthologue	GO:0000981;GO:0006357;GO:0045944;GO:0000978;GO:0005634;GO:0046983;GO:0000987;GO:0005515;GO:0005886;GO:0003700;GO:0005739;GO:0006355;GO:0000976;GO:0003677	AGAMOUS-like 101 (MADS-box family protein);AGAMOUS-like 54;AGAMOUS-like 54 (F15P11.1 protein) (MADS-box protein AGL54);AGAMOUS-like 89 (At5g27580) (MADS-box family protein) (MADS-box protein AGL89);AGAMOUS-like MADS-box protein (F2P16.19 protein);Agamous-like MADS-box protein AGL53;Agamous-like MADS-box protein AGL93;MADS-box transcription factor family protein
El001G050660	201	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27944.1, AT5G27580.1, AT5G26950.1, AT5G27070.1	AT5G26950.1	orthologue	GO:0000981;GO:0006357;GO:0045944;GO:0000978;GO:0005634;GO:0046983;GO:0000987;GO:0005515;GO:0005886;GO:0003700;GO:0005739;GO:0006355;GO:0000976	AGAMOUS-like 101 (MADS-box family protein);AGAMOUS-like 54;AGAMOUS-like 54 (F15P11.1 protein) (MADS-box protein AGL54);AGAMOUS-like 89 (At5g27580) (MADS-box family protein) (MADS-box protein AGL89);AGAMOUS-like MADS-box protein (F2P16.19 protein);Agamous-like MADS-box protein AGL53;Agamous-like MADS-box protein AGL93;MADS-box transcription factor family protein
El001G050670	294	AT5G27000.1	AT5G27000.1	other	GO:0008017;GO:0007018;GO:0016887;GO:0015630;GO:0007017;GO:0003777;GO:0005515;GO:0005524;GO:0005737;GO:0005874	Kinesin-like protein KIN-14G (Kinesin-like protein KatD)
El001G050680	206	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27944.1, AT5G27580.1, AT5G26950.1, AT5G27070.1	AT5G26950.1	orthologue	GO:0000981;GO:0006357;GO:0045944;GO:0000978;GO:0005634;GO:0046983;GO:0000987;GO:0005515;GO:0005886;GO:0003700;GO:0005739;GO:0006355;GO:0000976	AGAMOUS-like 101 (MADS-box family protein);AGAMOUS-like 54;AGAMOUS-like 54 (F15P11.1 protein) (MADS-box protein AGL54);AGAMOUS-like 89 (At5g27580) (MADS-box family protein) (MADS-box protein AGL89);AGAMOUS-like MADS-box protein (F2P16.19 protein);Agamous-like MADS-box protein AGL53;Agamous-like MADS-box protein AGL93;MADS-box transcription factor family protein
El001G050690	987	AT5G27000.1	AT5G27000.1	orthologue	GO:0008017;GO:0007018;GO:0016887;GO:0015630;GO:0007017;GO:0003777;GO:0005515;GO:0005524;GO:0005737;GO:0005874	Kinesin-like protein KIN-14G (Kinesin-like protein KatD)
El001G050710	223	AT5G26990.1	AT5G26990.1	orthologue	GO:0005634;GO:0003674	Protein DEHYDRATION-INDUCED 19 homolog 6 (AtDi19-6)
El001G050720	321	AT5G26980.1	AT5G26980.1	orthologue	GO:0048278;GO:0006906;GO:0005515;GO:0005484;GO:0009863;GO:0005802;GO:0006896;GO:0050832;GO:0006886;GO:0031201;GO:0009658;GO:0005794;GO:0000149;GO:0007030;GO:0098629;GO:0012505;GO:0043001;GO:0030140;GO:0061025;GO:0016020;GO:0016192	Tlg2p-like protein a (AtTLG2a) (Syntaxin-41) (AtSYP41)
El001G050730	410	AT5G26960.1	AT5G26960.1	orthologue	GO:0003674;GO:0005575;;GO:0005515	F-box/kelch-repeat protein At5g26960
El001G050740	316	AT5G26940.1	AT5G26940.1	orthologue	GO:0008296;GO:0009507;GO:0006308;GO:0004527;GO:0008408;GO:0003676;GO:0009536;GO:0005737;GO:0005739;GO:0046872	Exonuclease DPD1, chloroplastic/mitochondrial (EC 3.1.11.-) (Mg2+-dependent DNA exonuclease) (Protein DEFECTIVE IN POLLEN DNA DEGRADATION 1)
El001G050750	122	AT5G26930.1	AT5G26930.1	orthologue	GO:0006355;GO:0009416;GO:0005634;GO:0008270;GO:0000976;GO:0048527;GO:0043565	GATA transcription factor 23
El001G050760	568	AT5G26920.1	AT5G26920.1	orthologue	GO:0042742;GO:0002229;GO:0080142;GO:0003700;GO:0043565;GO:0071456;GO:0010112;GO:0002237;GO:1902584;GO:0009617;GO:0009620;GO:0009789;GO:0005516;GO:0009507;GO:0071219;GO:0006355;GO:0005634;GO:0009697;GO:0010224;GO:0009626;GO:0009738;GO:0003677;GO:0016020	Calmodulin-binding protein 60 G;Cam-binding protein 60-like G
El001G050790	860	AT5G26910.1	AT5G26910.1	orthologue	GO:0005634;GO:0000132;GO:0005739;GO:0000913;GO:0003674	At5g26910 (GPI-anchored adhesin-like protein);GPI-anchored adhesin-like protein
El001G050800	989	AT5G26860.1	AT5G26860.1	orthologue	GO:0006515;GO:0005515;GO:0051131;GO:0005759;GO:0005739;GO:0003697;GO:0007005;GO:0004176;GO:0005524;GO:0004252;GO:0016887;GO:0034599;GO:0043565;GO:0070407;GO:0030163;GO:0006508	Lon protease homolog 1, mitochondrial (EC 3.4.21.53);Lon protease homolog, mitochondrial (EC 3.4.21.53)
El001G050810	984	AT5G26850.1	AT5G26850.1	orthologue	GO:0005886;GO:0003674;GO:0009555	Uncharacterized protein
El001G050820	76					
El001G050830	178	AT5G27050.1, AT5G26865.1, AT5G27090.1, AT5G27944.1, AT5G27580.1, AT5G26950.1, AT5G27070.1	AT5G27070.1	orthologue	GO:0000981;GO:0006357;GO:0045944;GO:0000978;GO:0005634;GO:0046983;GO:0000987;GO:0005515;GO:0005886;GO:0003700;GO:0005739;GO:0006355;GO:0000976	AGAMOUS-like 101 (MADS-box family protein);AGAMOUS-like 54;AGAMOUS-like 54 (F15P11.1 protein) (MADS-box protein AGL54);AGAMOUS-like 89 (At5g27580) (MADS-box family protein) (MADS-box protein AGL89);AGAMOUS-like MADS-box protein (F2P16.19 protein);Agamous-like MADS-box protein AGL53;Agamous-like MADS-box protein AGL93;MADS-box transcription factor family protein
El001G050850	712	AT5G26830.1	AT5G26830.1	orthologue	GO:0009507;GO:0006435;GO:0009505;GO:0005829;GO:0005739;GO:0004829;GO:0009536;GO:0005524;GO:0046872;GO:0000166;GO:0004812;GO:0006418;GO:0043039;GO:0005737	Threonine--tRNA ligase, mitochondrial 1 (EC 6.1.1.3) (AtSYT1) (Threonyl-tRNA synthetase) (ThrRS)
El001G050860	367	AT4G36840.1	AT4G36840.1	other	GO:0005634;GO:0003674;;GO:0005515	Galactose oxidase/kelch repeat superfamily protein
El001G050870	597	AT5G26820.1	AT5G26820.1	orthologue	GO:0005381;GO:0009507;GO:0005886;GO:0005739;GO:0006826;GO:0034755;GO:0009941;GO:0022857;GO:0006879;GO:0016020	Solute carrier family 40 member 3, chloroplastic (Ferroportin-3) (Iron-regulated transporter 3) (AtIREG3) (Protein MULTIPLE ANTIBIOTIC RESISTANCE 1)
El001G050880	339	AT5G26810.1	AT5G26810.1	orthologue	GO:0045490;GO:0005576;GO:0030599;GO:0042545;GO:0016829;GO:0052689	Pectinesterase (EC 3.1.1.11);Putative pectinesterase 52 (PE 52) (EC 3.1.1.11) (Pectin methylesterase 52) (AtPME52)
El001G050890	155	AT5G26805.1	AT5G26805.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0003677;GO:0005634	B3 domain-containing protein At5g26805
El001G050920	446	AT5G61160.1	AT5G61160.1	orthologue	GO:0047634;GO:0008150;GO:0005737	Agmatine coumaroyltransferase (EC 2.3.1.64)
El001G050930	111	AT5G26800.1	AT5G26800.1	orthologue	GO:0003674;GO:0009507;GO:0004177	At5g26800 (Xaa-pro aminopeptidase P)
El001G050940	392	AT5G62510.1	AT5G62510.1	orthologue	GO:0003674;GO:0008150;GO:0005739;;GO:0005515	F-box protein At5g62510
El001G051000	517	AT5G26780.2	AT5G26780.2	orthologue	GO:0006563;GO:0004372;GO:0045271;GO:0005739;GO:0035999;GO:0019264;GO:0005737;GO:0009536;GO:0009507;GO:0006544;GO:0050897;GO:0008270;GO:0046653;GO:0030170	Serine hydroxymethyltransferase 2, mitochondrial (AtSHMT2) (EC 2.1.2.1) (Glycine hydroxymethyltransferase 2) (Serine methylase 2)
El001G051010	335	AT5G26770.5	AT5G26770.5	orthologue	GO:0005737;GO:0005654;GO:0005515;GO:0005635;GO:0005637	Myosin heavy chain, cardiac protein;Nuclear envelope-associated protein 2 (AtNEAP2)
El001G051020	97	AT5G26580.1, AT5G26650.1, AT5G27960.1	AT5G26580.1	orthologue	GO:0000987;GO:0045944;GO:0000981;GO:0046983;GO:0006357;GO:0003700;GO:0006355;GO:0005634;GO:0000978;GO:0016020	AGAMOUS-like-34 (MADS-box protein AGL34);Agamous-like MADS-box protein AGL36;Agamous-like MADS-box protein AGL90
El001G051030	848	AT5G26760.2	AT5G26760.2	orthologue	GO:0005515;GO:0005737;GO:0008420;GO:0005634;GO:0017018;GO:0030154;GO:0043175;GO:0005829;GO:0008270;GO:0070940	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 homolog (EC 3.1.3.16) (RNA polymerase II-associated protein 2 homolog)
El001G051040	403	AT5G26751.1	AT5G26751.1	orthologue	GO:0009651;GO:0009933;GO:0042538;GO:0004674;GO:0006468;GO:1901002;GO:0005515;GO:0004672;GO:0005634;GO:0007165;GO:0016310;GO:0030154;GO:0005737;GO:0005524;GO:0106310;GO:0018107	Shaggy-related protein kinase alpha (EC 2.7.11.1) (ASK-alpha) (Shaggy-related protein kinase 11) (AtSK11)
El001G051050	145	AT5G26749.2	AT5G26749.2	orthologue	GO:0005515;GO:0003676;GO:0005634;GO:0005689;GO:0008270;GO:0003677;GO:0046872	C2H2 and C2HC zinc fingers superfamily protein
El001G051070	472	AT5G42230.1	AT5G42230.1	orthologue	GO:0004185;GO:0008150;GO:0005575;GO:0005576;GO:0006508	Serine carboxypeptidase-like 41 (EC 3.4.16.-)
El001G051080	468	AT5G26600.1	AT5G26600.1	orthologue	GO:0009507;GO:0003674;GO:0016829	Probable L-cysteine desulfhydrase, chloroplastic (EC 4.4.1.-) (Chloroplastic cysteine desulfurase-like protein 3) (NIFS-like protein 3) (CpNifS3)
El001G051090	301	AT5G26610.1	AT5G26610.1	orthologue	GO:0003676;GO:0005634;GO:0006952;GO:0008270	At5g26610 (D111/G-patch domain-containing protein)
El001G051100	88	AT5G26620.1	AT5G26620.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein
El001G051110	220	AT5G26630.1	AT5G26630.1	orthologue	GO:0006355;GO:0006357;GO:0000981;GO:0046983;GO:0005634;GO:0003700;GO:0000976;GO:0000978;GO:0003677;GO:0000987;GO:0045944	MADS-box protein AGL35 (MADS-box transcription factor family protein)
El001G051120	305	AT5G26580.1, AT5G26650.1, AT5G27960.1	AT5G26580.1	orthologue	GO:0000987;GO:0045944;GO:0000981;GO:0046983;GO:0006357;GO:0003700;GO:0006355;GO:0005634;GO:0000978;GO:0016020	AGAMOUS-like-34 (MADS-box protein AGL34);Agamous-like MADS-box protein AGL36;Agamous-like MADS-box protein AGL90
