Arabidopsis_lyrata_Rawat	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
AL1G12660	247	AT1G03170.1	AT1G03170.1	orthologue	GO:0005634;GO:0010075;GO:0003674	Protein FANTASTIC FOUR 2
AL1G12670	265	AT1G03180.1	AT1G03180.1	orthologue	GO:0051026;GO:0005634;GO:0007096;GO:0005739;GO:0005515;GO:0005737	Non-structural protein
AL1G12680	758	AT1G03190.1	AT1G03190.1	orthologue	GO:0045951;GO:0005634;GO:0006281;GO:0009408;GO:0009411;GO:0006289;GO:0005515;GO:0003684;GO:0006366;GO:0003678;GO:0003677;GO:0005524;GO:0016887;GO:0046872;GO:0051539;GO:0016818;GO:0003676;GO:0004386;GO:0006139	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 5.6.2.3) (DNA 5'-3' helicase XPD) (ERCC2 homolog) (RAD3 homolog) (UV hypersensitive protein 6) (AtUVH6) (XPD homolog) (AtXPD)
AL1G12690	222	AT1G03210.2	AT1G03210.2	orthologue	GO:0016853;GO:0009058;GO:0003824;GO:0005737	F15K9.19 protein (Phenazine biosynthesis PhzC/PhzF protein);Phenazine biosynthesis PhzC/PhzF protein
AL1G12700	59					
AL1G12710	116	AT4G02840.2	AT4G02840.2	other	GO:0071011;GO:0005730;GO:0000243;GO:0003729;GO:0097526;GO:0005634;GO:0005682;GO:0034719;GO:0005685;GO:0000387;GO:0003723;GO:0016607;GO:0005686;GO:0043484;GO:0035194;GO:0008380;GO:0071013;GO:0000325;GO:0005687;GO:0034715;GO:1990904;GO:0006396	Small nuclear ribonucleoprotein SmD1b (AtSmD1-b)
AL1G12720	52					
AL1G12730	433	AT1G03220.1	AT1G03220.1	orthologue	GO:0009505;GO:0071456;GO:0005886;GO:0004190;GO:0005794;GO:0005576;GO:0099503;GO:0009506;GO:0006508;GO:0005618	Eukaryotic aspartyl protease family protein (F15K9.17 protein)
AL1G12740	245	AT1G03250.2	AT1G03250.2	orthologue	GO:0005634;GO:0003676	At1g03250/F15K9_13 (R3H domain protein);R3H domain protein
AL1G12750	274	AT1G03260.1	AT1G03260.1	orthologue	GO:0016020;GO:0003674;GO:0005886	At1g03260 (SNARE associated Golgi protein family)
AL1G12760	499	AT1G03270.1	AT1G03270.1	orthologue	GO:0003674;GO:0010960;GO:0005774;GO:0005886;GO:0022857;GO:0016020;GO:0005737;GO:0030026	Putative DUF21 domain-containing protein At1g03270 (CBS domain-containing protein CBSDUF4)
AL1G12770	400	AT5G24670.2	AT5G24670.2	orthologue	GO:0006400;GO:0002100;GO:0008251;GO:0005737;GO:0005634;GO:0005515;GO:0052717;GO:0003824;GO:0008033;GO:0046872	Cytidine/deoxycytidylate deaminase family protein;tRNA-specific adenosine deaminase TAD3 (AtTAD3) (EC 3.5.4.33) (Protein EMBRYO DEFECTIVE 2820) (tRNA-specific adenosine-34 deaminase TAD3)
AL1G12780	480	AT1G03280.1	AT1G03280.1	orthologue	GO:0005634;GO:0006367;GO:0005673;GO:0003674	TFIIE-alpha 1 (Transcription factor TFIIE, alpha subunit)
AL1G12790	73	AT5G26860.1	AT5G26860.1	other	GO:0006515;GO:0005515;GO:0051131;GO:0005759;GO:0005739;GO:0003697;GO:0007005;GO:0004176;GO:0005524;GO:0004252;GO:0016887;GO:0034599;GO:0043565;GO:0070407;GO:0006508;GO:0030163	Lon protease homolog 1, mitochondrial (EC 3.4.21.53);Lon protease homolog, mitochondrial (EC 3.4.21.53)
AL1G12800	573	AT1G03290.1	AT1G03290.1	orthologue	GO:0000796;GO:0007076;GO:0005576;GO:0000785;GO:0003682;GO:0000793	ELKS/Rab6-interacting/CAST family protein;ELKS/Rab6-interacting/CAST family protein (F15K9.11 protein)
AL1G12810	668	AT1G03300.1	AT1G03300.1	orthologue	GO:0005634;GO:0003674	DUF724 domain-containing protein 1 (AtDUF1)
AL1G12820	831	AT1G03310.1	AT1G03310.1	orthologue	GO:0019252;GO:0019156;GO:0009507;GO:0005977;GO:0010021;GO:0005983;GO:0043033;GO:0004553;GO:0005975	Isoamylase 2, chloroplastic (AtISA2) (Protein DEBRANCHING ENZYME 1)
AL1G12830	213	AT1G03320.1	AT1G03320.1	orthologue	GO:0008150;GO:0005634;GO:0003674	F15K9.8
AL1G12840	93	AT1G03330.1	AT1G03330.1	orthologue	GO:0071013;GO:0000932;GO:1990726;GO:0071011;GO:0000398;GO:0005515;GO:0005634;GO:0005688;GO:0046540;GO:0003723;GO:0000290;GO:0005681;GO:0120115;GO:0006397	Sm-like protein LSM2 (AtLSM2) (U6 snRNA-associated Sm-like protein LSM2)
AL1G12850	399	AT1G03340.1	AT1G03340.1	orthologue	GO:0003674;GO:0008150;GO:0005739	F15K9.6
AL1G12860	449	AT4G02930.1	AT4G02930.1	other	GO:0046686;GO:0009505;GO:0050897;GO:0005739;GO:0009507;GO:0003746;GO:0003924;GO:0005829;GO:0070125;GO:0008270;GO:0005524;GO:0005525;GO:0006414	Elongation factor Tu, mitochondrial
AL1G12870	452	AT1G03350.1	AT1G03350.1	orthologue	GO:0003674;GO:0008150;GO:0005737	BSD domain-containing protein (F15K9.5 protein)
AL1G12880	322	AT1G03360.1	AT1G03360.1	orthologue	GO:0000956;GO:0000460;GO:0071051;GO:0000177;GO:0034475;GO:0071035;GO:0005654;GO:0060149;GO:0000467;GO:0003723;GO:0071038;GO:0005737;GO:0000176;GO:0071034;GO:0005730;GO:0000178;GO:0003676;GO:0034427;GO:0043928	Exosome complex component RRP4 homolog (Ribosomal RNA-processing protein 4) (AtRRP4) (AtRrp4p)
AL1G12890	833	AT1G03365.1	AT1G03365.1	orthologue	GO:0016567;GO:0005634;GO:0003674;GO:0008270;GO:0016740	Putative E3 ubiquitin-protein ligase RF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RF4)
AL1G12900	1023	AT1G03370.1	AT1G03370.1	orthologue	GO:0005634;GO:0003674;GO:0005886;GO:0016020;GO:0046872	C2 and GRAM domain-containing protein At1g03370;C2 calcium/lipid-binding and GRAM domain containing protein
AL1G12910	958	AT1G03380.1	AT1G03380.1	orthologue	GO:0042594;GO:0005737;GO:0003674;GO:0005774;GO:0006914;GO:0015031;GO:0034045;GO:0005515	Autophagy-related protein 18g (AtATG18g)
AL1G12920	462	AT1G03390.1	AT1G03390.1	orthologue	GO:0005737;GO:0016747	F21B7.2 (Transferase family protein)
AL1G12930	157	AT1G03430.1	AT1G03430.1	orthologue	GO:0009736;GO:0009557;GO:0009927;GO:0043424;GO:0005737;GO:0000160;GO:0005634;GO:0080036;GO:0016310;GO:0009560;GO:0007165;GO:0005829	Histidine-containing phosphotransfer protein;Histidine-containing phosphotransfer protein 5
AL1G12940	396	AT1G03440.1	AT1G03440.1	orthologue	GO:0006952;GO:0007165;GO:0003674;GO:0005739;GO:0016020;GO:0005515	Leucine-rich repeat (LRR) family protein
AL1G12950	818	AT1G03445.1	AT1G03445.1	orthologue	GO:1900459;GO:0017018;GO:0005515;GO:0009742;GO:0004722;GO:0005634;GO:0032880;GO:0005886;GO:0046872;GO:0016787;GO:0004721	Serine/threonine-protein phosphatase (EC 3.1.3.16);Serine/threonine-protein phosphatase BSU1 (EC 3.1.3.16) (Bri1 suppressor protein 1)
AL1G12960	426	AT1G03457.2	AT1G03457.2	orthologue	GO:0048573;GO:0005634;GO:2000028;GO:0006402;GO:0005515;GO:0003729;GO:0005737;GO:1990904;GO:0003723;GO:0009908;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein BRN2 (Protein BRUNO-LIKE 2) (AtBRN2)
AL1G12970	261	AT1G03470.1	AT1G03470.1	orthologue	GO:0003779;GO:0005634;GO:0005774;GO:0005884;GO:0031965;GO:0005856	Protein NETWORKED 3A
AL1G12980	387	AT1G03475.1	AT1G03475.1	orthologue	GO:0015995;GO:0009570;GO:0048046;GO:0006782;GO:0004109;GO:0005576;GO:0033014;GO:0005737;GO:0009507;GO:0009536;GO:0042803;GO:0006779	Coproporphyrinogen-III oxidase 1, chloroplastic (AtCPO-I) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3) (Protein LESION INITIATION 2)
AL1G12990	375	AT1G03490.1	AT1G03490.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0003677	NAC domain-containing protein 6 (ANAC006)
AL1G13000	426	AT1G03940.1	AT1G03940.1	orthologue	GO:0005737;GO:0003674;GO:0016747	Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1 (EC 2.3.1.-)
AL1G13010	392	AT1G03510.1	AT1G03510.1	orthologue	GO:0009451;GO:0003723;GO:0043231;GO:0009507;GO:0005515	Putative pentatricopeptide repeat-containing protein At1g03510
AL1G13030	447	AT1G03520.1	AT1G03520.1	orthologue	GO:0005794;GO:0016757;GO:0005634;GO:0015020;GO:0016020	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (F21B7.14) (Glycosyltransferase) (Putative glycosylation enzyme)
AL1G13040	804	AT1G03530.1	AT1G03530.1	orthologue	GO:0000493;GO:0001522;GO:0005732;GO:0003723;GO:0042254;GO:0005634;GO:0009506;GO:0006364	H/ACA ribonucleoprotein complex non-core subunit NAF1
AL1G13050	608	AT1G03540.1	AT1G03540.1	orthologue	GO:0009451;GO:0009507;GO:0003723;GO:0043231;GO:0005515	Pentatricopeptide repeat-containing protein At1g03540
AL1G13060	283	AT1G03550.1	AT1G03550.1	orthologue	GO:0005886;GO:0032588;GO:0055038;GO:0015031;GO:0003674;GO:0030658;GO:0016020	Secretory carrier-associated membrane protein (Secretory carrier membrane protein);Secretory carrier-associated membrane protein 2 (AtSC2) (Secretory carrier membrane protein 2)
AL1G13070	711	AT1G03560.1	AT1G03560.1	orthologue	GO:0005739;GO:0006396;GO:0007005;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At1g03560, mitochondrial
AL1G13090	460	AT1G03590.1	AT1G03590.1	orthologue	GO:1902531;GO:0004722;GO:0017018;GO:0005575;GO:0046872;GO:0006470	Probable protein phosphatase 2C 1 (AtPP2C01) (EC 3.1.3.16) (AtPPC6;6)
AL1G13100	174	AT1G03600.1	AT1G03600.1	orthologue	GO:0010207;GO:0009543;GO:0009579;GO:0071484;GO:0010206;GO:0009535;GO:0009523;GO:0005576;GO:0009534;GO:0009507;GO:0003674	Photosystem II repair protein PSB27-H1, chloroplastic (Psb27-H1) (Thylakoid lumenal protein PSB27-H1)
AL1G13110	308	AT1G03610.1	AT1G03610.1	orthologue	GO:0005634;GO:0003674;GO:0071456	Plant/protein (DUF789)
AL1G13120	297	AT1G03620.12	AT1G03620.12	orthologue		
AL1G13130	401	AT1G03630.1	AT1G03630.1	orthologue	GO:0005576;GO:0009535;GO:0016630;GO:0009941;GO:0015995;GO:0009507;GO:0009534;GO:0005515;GO:0003959;GO:0015979;GO:0031969	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33);Protochlorophyllide reductase C, chloroplastic (PCR C) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase C) (POR C)
AL1G13150	158	AT1G03650.1	AT1G03650.1	orthologue	GO:0016747;GO:0005737;GO:0008150	Acyl-CoA N-acyltransferases (NAT) superfamily protein
AL1G13160	179	AT4G03495.1	AT4G03495.1	orthologue	GO:0009507;GO:0008150;GO:0003674;;GO:0005515	Uncharacterized protein
AL1G13170	185	AT1G03680.1	AT1G03680.1	orthologue	GO:0009941;GO:0004857;GO:0015035;GO:0006109;GO:0009409;GO:0009570;GO:0043085;GO:0006979;GO:0009507;GO:0048046;GO:0010319;GO:0008047;GO:0043086;GO:0005576;GO:0005515;GO:0009579;GO:0005737;GO:1901149	Thioredoxin M1, chloroplastic (AtTrxm1)
AL1G13180	381	AT1G03687.1	AT1G03687.1	orthologue	GO:0016432;GO:0005575;GO:0008150;GO:0008033	tRNA-uridine aminocarboxypropyltransferase (EC 2.5.1.25)
AL1G13190	164	AT1G03700.1	AT1G03700.1	orthologue	GO:0005886;GO:0003674	CASP-like protein 1C2 (AtCASPL1C2)
AL1G13200	209	AT1G03710.1	AT1G03710.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
AL1G13210	64	AT2G04560.1	AT2G04560.1	other	GO:0008915;GO:0005543;GO:0009507;GO:0005739;GO:2001289;GO:0009245;GO:0016757;GO:0016020	Probable lipid-A-disaccharide synthase, mitochondrial (EC 2.4.1.182) (Protein LIPID X B) (AtLpxB)
AL1G13220	230	AT1G03710.1	AT1G03710.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
AL1G13230	252	AT1G03710.1	AT1G03710.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
AL1G13240	205	AT1G03710.1	AT1G03710.1	orthologue	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
AL1G13250	197	AT1G03710.1	AT1G03710.1	orthologue	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
AL1G13260	265	AT1G03720.1	AT1G03720.1	orthologue	GO:0004197;GO:0005615;GO:0051603;GO:0005764;GO:0006508;GO:0008234	Cysteine proteinases superfamily protein;Cysteine proteinases superfamily protein (F21B7.32)
AL1G13270	170	AT1G03730.1	AT1G03730.1	orthologue	GO:0003674;GO:0009507;GO:0016020	At1g03730 (Pyrroline-5-carboxylate reductase)
AL1G13280	748	AT1G03740.1	AT1G03740.1	orthologue	GO:0005634;GO:0016310;GO:0032968;GO:0008353;GO:0000307;GO:0005576;GO:0005524;GO:0004674;GO:0004672;GO:0006468;GO:0070816	F21B7.34 (Protein kinase superfamily protein);Protein kinase superfamily protein
AL1G13300	876	AT1G03750.1	AT1G03750.1	orthologue	GO:0036297;GO:0005634;GO:0140658;GO:0003677;GO:0004386;GO:0005524;GO:0006281;GO:0016787	Switch 2 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 9) (AtCHR9)
AL1G13310	422	AT1G03760.1	AT1G03760.1	orthologue	GO:0000122;GO:0005634;GO:0005829;GO:2001243;GO:0019212;GO:0005515;GO:0003714;GO:0003682;GO:0006457;GO:0009409;GO:0010923	Prefoldin chaperone subunit family protein
AL1G13320	466	AT1G03770.2	AT1G03770.2	orthologue	GO:0005634;GO:0035102;GO:0045892;GO:0010077;GO:0045814;GO:0010492;GO:0001709;GO:0016567;GO:0010076;GO:0005515;GO:0006325;GO:0008270;GO:0016740	Putative E3 ubiquitin-protein ligase RING1b (EC 2.3.2.27) (Polycomb complex protein RING1b) (Protein RING1b) (AtRING1b) (RING-type E3 ubiquitin transferase RING1b) (Ring finger protein 5);RING 1B
AL1G13330	771	AT1G03780.3	AT1G03780.3	orthologue	GO:0005634;GO:0060236;GO:0005819;GO:0009941;GO:0008017;GO:0032147;GO:0030295;GO:0005880;GO:0051225;GO:0090307;GO:0005874;GO:0005654;GO:0009524;GO:0000278;GO:0005515;GO:0051301	Protein TPX2 (AtTPX2) (Targeting protein for XKLP2)
AL1G13340	201					
AL1G13350	387	AT1G03790.1	AT1G03790.1	orthologue	GO:0010187;GO:0006355;GO:0005634;GO:0005737;GO:0005515;GO:0003700;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 2 (AtC3H2) (Protein SOMNUS) (SOM) (Tandem CCCH Zinc Finger protein 4) (AtTZF4)
AL1G13360	214	AT1G03800.1	AT1G03800.1	orthologue	GO:0005634;GO:0009873;GO:0006355;GO:0005622;GO:0000976;GO:0003677;GO:0003700;GO:0005515	Ethylene-responsive transcription factor 10 (AtERF10) (Ethylene-responsive element-binding factor 10) (EREBP-10)
AL1G13370	144	AT1G03810.1	AT1G03810.1	orthologue	GO:0003674;GO:0005634;GO:0008150	F11M21.26 protein (Nucleic acid-binding, OB-fold-like protein)
AL1G13380	221	AT1G03820.1	AT1G03820.1	orthologue	GO:0003674;GO:0009507;GO:0008150	At1g03820 (E6-like protein) (F11M21.25 protein)
AL1G13390	1012	AT1G03830.2	AT1G03830.2	orthologue	GO:0005525;GO:0003924;GO:0003682;GO:0005634	F11M21.24 protein (Guanylate-binding family protein);Guanylate-binding family protein
AL1G13400	509	AT1G03840.1	AT1G03840.1	orthologue	GO:0000976;GO:0045893;GO:0043565;GO:0003700;GO:0009939;GO:0005634;GO:0008356;GO:0005515;GO:0010075;GO:0006355;GO:0048364;GO:0034504;GO:0008270;GO:0009740	Zinc finger protein MAGPIE (Protein POLLEN SPECIFIC GENE 3) (Protein indeterminate-domain 3) (AtIDD3)
AL1G13410	104	AT1G03670.1, AT4G03495.1	AT1G03670.1	other	GO:0003674;GO:0009507;GO:0016020;GO:0008150	Ankyrin repeat family protein;Uncharacterized protein
AL1G13430	150	AT1G03850.1	AT1G03850.1	orthologue	GO:0000122;GO:0050832;GO:0005515;GO:0005737;GO:0009735;GO:0080183;GO:0005634;GO:0046872;GO:0051537	Glutaredoxin family protein;Monothiol glutaredoxin-S13 (AtGrxS13) (Protein ROXY 18)
AL1G13440	288	AT1G03860.1	AT1G03860.1	orthologue	GO:0007005;GO:0009507;GO:0000325;GO:0045271;GO:0005515;GO:0005739;GO:0009505;GO:0005576;GO:0005743;GO:0016020	Prohibitin-2, mitochondrial (Atphb2)
AL1G13450	247	AT1G03870.1	AT1G03870.1	orthologue	GO:0005886;GO:0099503;GO:0003674;GO:0009834;GO:0016020;GO:0005576;GO:0098552	Fasciclin-like arabinogalactan protein 9
AL1G13460	455	AT1G03880.1	AT1G03880.1	orthologue	GO:0071215;GO:0010431;GO:0045735;GO:0009737;GO:0009845;GO:0005575;GO:0000326	12S seed storage protein CRB (Cruciferin 2) (AtCRU2) (Cruciferin B) (Legumin-type globulin storage protein CRU2) [Cleaved into: 12S seed storage protein CRB alpha chain (12S seed storage protein CRB acidic chain); 12S seed storage protein CRB beta chain (12S seed storage protein CRB basic chain)]
AL1G13470	452	AT1G03890.1	AT1G03890.1	orthologue	GO:0005576;GO:0045735;GO:0010431;GO:0000326	12S seed storage protein CRD (Cruciferin D) (Legumin-type globulin storage protein CRD) [Cleaved into: 12S seed storage protein CRD alpha chain (12S seed storage protein CRD acidic chain); 12S seed storage protein CRD beta chain (12S seed storage protein CRD basic chain)]
AL1G13480	277	AT1G03900.1	AT1G03900.1	orthologue	GO:0016192;GO:0006897;GO:0030125;GO:0016020;GO:0055085;GO:0005515;GO:0042626;GO:0005737	Uncharacterized protein At1g03900
AL1G13490	480	AT1G03905.1	AT1G03905.1	other	GO:0016887;GO:0008150;GO:0005829;GO:0005524;GO:0005737	ABC transporter I family member 19 (ABC transporter ABCI.19) (AtABCI19) (GCN-related protein 2) (Non-intrinsic ABC protein 4);P-loop containing nucleoside triphosphate hydrolases superfamily protein
AL1G13500	137	AT1G76705.1	AT1G76705.1	orthologue	GO:0003674;GO:0005739;GO:0005516	Calmodulin binding protein
AL1G13510	671	AT1G03910.2	AT1G03910.2	orthologue	GO:0005681;GO:0045292;GO:0005515;GO:0000398;GO:0005634;GO:0009793;GO:0005737;GO:0016607	Splicing factor Cactin
AL1G13540	440	AT1G03940.1	AT1G03940.1	orthologue	GO:0005737;GO:0003674;GO:0016747	Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1 (EC 2.3.1.-)
AL1G13550	357	AT1G03490.1	AT1G03490.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0003677	NAC domain-containing protein 6 (ANAC006)
AL1G13560	210	AT1G03950.1	AT1G03950.1	orthologue	GO:0000815;GO:0032509;GO:0016192;GO:0007034;GO:0015031;GO:0003674;GO:0045324;GO:0005771	Vacuolar protein sorting-associated protein 2 homolog 3 (AtVPS2-3) (Charged multivesicular body protein 2 homolog 3) (ESCRT-III complex subunit VPS2 homolog 3)
AL1G13570	558	AT1G03960.1	AT1G03960.1	orthologue	GO:0019888;GO:0005634;GO:0000159;GO:0005509;GO:0006470	Calcium-binding EF hand family protein;Probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon (AtB''epsilon)
AL1G13580	276	AT1G03970.1	AT1G03970.1	orthologue	GO:0003700;GO:0005634;GO:0045893;GO:0005515;GO:0043565;GO:0000976;GO:0003677;GO:0006355	G-box-binding factor 4 (bZIP transcription factor 40) (AtbZIP40)
AL1G13590	580	AT1G03980.2	AT1G03980.2	orthologue	GO:0046938;GO:0098849;GO:0010273;GO:0016756;GO:0005634;GO:0009507;GO:0010038;GO:0046872	Glutathione gamma-glutamylcysteinyltransferase 2 (EC 2.3.2.15) (Phytochelatin synthase 2) (AtPCS2);glutathione gamma-glutamylcysteinyltransferase (EC 2.3.2.15)
AL1G13600	760	AT1G03990.1	AT1G03990.1	orthologue	GO:0005575;GO:0050660;GO:0046577;GO:0016020;GO:0016614	Long-chain-alcohol oxidase FAO1 (EC 1.1.3.20) (Long-chain fatty alcohol oxidase 1)
AL1G13610	162	AT1G04000.1	AT1G04000.1	orthologue	GO:0005634;GO:0003674	F21M11.6 protein
AL1G13620	541	AT1G04010.1	AT1G04010.1	orthologue	GO:0016127;GO:0043231;GO:0010150;GO:0080096;GO:0006629;GO:0008374;GO:0016747;GO:0080095;GO:0004607;GO:0005737;GO:0005783;GO:0016020	Phospholipid--sterol O-acyltransferase (EC 2.3.1.-) (Lecithin-cholesterol acyltransferase-like 2)
AL1G13630	702	AT1G04020.1	AT1G04020.1	orthologue	GO:0048366;GO:0006281;GO:0070531;GO:0045944;GO:0000724;GO:0003677;GO:0009934;GO:0004842;GO:0005634;GO:0031436;GO:0008270;GO:0010078;GO:0010492;GO:0045892;GO:0065004;GO:0006974	BRCA1-associated RING domain protein 1 (AtBARD1) (Protein REPRESSOR OF WUSCHEL 1);Breast cancer associated RING 1
AL1G13640	434	AT1G04030.1	AT1G04030.1	orthologue	GO:0005634;GO:0007142;GO:0003674	Eisosome protein
AL1G13650	271	AT1G04040.1	AT1G04040.1	orthologue	GO:0003993;GO:0005773;GO:0009506;GO:0005576;GO:0009505;GO:0000325;GO:0045735	At1g04040/F21M11_2 (F21M11.2 protein) (HAD superfamily, subfamily IIIB acid phosphatase) (Similar to acid phosphatase)
AL1G13660	737	AT1G04050.1	AT1G04050.1	orthologue	GO:0005634;GO:0005515;GO:0042802;GO:0042054;GO:0008270;GO:0005730;GO:0005694;GO:0032259;GO:0031047	Histone-lysine N-methyltransferase SUVR2-like protein;Probable inactive histone-lysine N-methyltransferase SUVR1 (Protein SET DOMAIN GROUP 13) (Suppressor of variegation 3-9-related protein 1) (Su(var)3-9-related protein 1)
AL1G13670	94	AT1G04070.1	AT1G04070.1	orthologue	GO:0005742;GO:0009507;GO:0006626;GO:0015450;GO:0005741;GO:0006886	Mitochondrial import receptor subunit TOM9-1 (Mitochondrial import receptor subunit TOM22 homolog 1) (Translocase of outer membrane 22 kDa subunit homolog 1) (Translocase of outer membrane 9 kDa subunit TOM9-1)
AL1G13680	807	AT1G04080.3	AT1G04080.3	orthologue	GO:0000395;GO:0006397;GO:0006396;GO:0030627;GO:0005634;GO:0048573;GO:0048510;GO:0000243;GO:0071004;GO:0005515;GO:0005685;GO:0008380	Pre-mRNA-processing factor 39-1 (AtPRP39-1) (PRP39 homolog A) (Pre-mRNA-processing factor 39a);Tetratricopeptide repeat (TPR)-like superfamily protein
AL1G13690	572	AT1G04090.1	AT1G04090.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Hypothetical protein At1g04090
AL1G13700	265	AT1G04100.1	AT1G04100.1	orthologue	GO:0005515;GO:0003700;GO:0000976;GO:0042802;GO:0005634;GO:0006355;GO:0009733;GO:0009734	Auxin-responsive protein IAA10 (Indoleacetic acid-induced protein 10)
AL1G13710	778	AT1G04110.1	AT1G04110.1	orthologue	GO:0009897;GO:0010103;GO:0004252;GO:0042127;GO:0005576;GO:0006508;GO:0048046;GO:0008236	Subtilisin-like protease SBT1.2 (EC 3.4.21.-) (Cucumisin-like serine protease SDD1) (Protein STOMATAL DENSITY AND DISTRIBUTION 1) (Subtilase subfamily 1 member 2) (AtSBT1.2) (Subtilisin-like protease SDD1)
AL1G13720	1520	AT1G04120.1	AT1G04120.1	orthologue	GO:1990069;GO:0030007;GO:0009651;GO:0055085;GO:0000325;GO:0005774;GO:0016020;GO:0140359;GO:0009507;GO:0042626;GO:0016887;GO:0008559;GO:0005773;GO:0008281;GO:0005524;GO:1901527	ABC transporter C family member 5 (ABC transporter ABCC.5) (AtABCC5) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 5) (Glutathione S-conjugate-transporting ATPase 5) (Multidrug resistance-associated protein 5);ABC-type xenobiotic transporter (EC 7.6.2.2)
AL1G13730	360	AT1G04130.1	AT1G04130.1	orthologue	GO:0006457;GO:0030544;GO:0005634;GO:0051879;GO:0005737;GO:0005829;GO:0005515	At1g04130/F20D22_10 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
AL1G13740	773	AT1G04140.2	AT1G04140.2	orthologue	GO:0043231;GO:1990756;GO:0005634;GO:0000045;GO:0000423;GO:0003674;GO:0080008;GO:0005515	Transducin family protein / WD-40 repeat family protein
AL1G13750	679	AT1G04150.1	AT1G04150.1	orthologue	GO:0005783;GO:0003674;GO:0005789;GO:0046872;GO:0005515	Multiple C2 domain and transmembrane region protein 10
AL1G13760	1500	AT1G04160.1	AT1G04160.1	orthologue	GO:0005634;GO:0007015;GO:0016020;GO:0051015;GO:0048767;GO:0030050;GO:0030048;GO:0003774;GO:0031982;GO:0000146;GO:0005737;GO:0015629;GO:0005516;GO:0005524;GO:0016459;GO:0005515	Myosin XI B;Myosin-8 (Myosin XI B) (AtXIB)
AL1G13770	465	AT1G04170.1	AT1G04170.1	orthologue	GO:0000049;GO:0003924;GO:0005576;GO:0001731;GO:0003743;GO:0005737;GO:0005850;GO:0005525;GO:0005829	protein-synthesizing GTPase (EC 3.6.5.3)
AL1G13780	421	AT1G04180.1	AT1G04180.1	orthologue	GO:0050660;GO:0010262;GO:0009851;GO:0004499;GO:0009723;GO:0009635;GO:0103075;GO:0005575;GO:0050661;GO:0004497	Probable indole-3-pyruvate monooxygenase YUCCA9 (EC 1.14.13.168) (Flavin-containing monooxygenase YUCCA9)
AL1G13790	329	AT1G04190.1	AT1G04190.1	orthologue	GO:0051879;GO:0005634;GO:0005515	Tetratricopeptide repeat (TPR)-like superfamily protein
AL1G13800	732	AT1G04200.1	AT1G04200.1	orthologue	GO:0005634;GO:0005794;GO:0007030;GO:0003674	Dymeclin
AL1G13810	1134	AT1G04210.1	AT1G04210.1	orthologue	GO:0004672;GO:0005524;GO:0006468;GO:0005634;GO:0004674;GO:0016020;GO:0005515	At1g04210 (F20D22.2 protein) (Leucine-rich repeat protein kinase family protein)
AL1G13820	524	AT1G04220.1	AT1G04220.1	orthologue	GO:0006970;GO:0005737;GO:0010345;GO:0009611;GO:0006633;GO:0009922;GO:0005783;GO:0016020;GO:0016747;GO:0016746	3-ketoacyl-CoA synthase 2 (KCS-2) (EC 2.3.1.199) (Docosanoic acid synthase) (Very long-chain fatty acid condensing enzyme 2) (VLCFA condensing enzyme 2)
AL1G13830	325	AT1G04230.1	AT1G04230.1	orthologue	GO:0000462;GO:0005730;GO:0005634;GO:0006364;GO:0003674;GO:0030688	rRNA-processing protein EFG1 (rRNA-processing protein efg1)
AL1G13840	190	AT1G04240.2	AT1G04240.2	orthologue	GO:0005515;GO:0009733;GO:0000976;GO:0006355;GO:0005634;GO:0042802;GO:0003700;GO:0009734	Auxin-responsive protein;Auxin-responsive protein IAA3 (Indoleacetic acid-induced protein 3) (Short hypocotyl) (Suppressor of HY2)
