Noccaea_praecox	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Np001G060630	360	AT3G56470.1	AT3G56470.1	other	GO:0005634;GO:0003674;;GO:0005515;GO:0019966;GO:0044003	F-box protein At3g56470
Np001G060640	209	AT1G57790.1, AT3G56470.1, AT4G00893.1, AT4G10660.1, AT4G10695.1, AT4G10700.1, AT4G12370.1, AT4G12382.1	AT3G56470.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005515;GO:0009507	CDC68-like protein;F-box protein At3g56470;F-box protein At4g00893;F-box protein At4g12382;F-box/kelch-repeat protein;F-box/kelch-repeat protein (T12H20.2 protein);F-box/kelch-repeat protein At1g57790
Np001G060650	491	AT3G56480.1	AT3G56480.1	orthologue	GO:0007623;GO:0007015;GO:0003674;GO:0010119;GO:0005634;GO:0003779;GO:0005737;GO:0005856	Stomatal closure-related actin-binding protein 3
Np001G060670	146	AT3G56490.1	AT3G56490.1	orthologue	GO:0005576;GO:0009150;GO:0005777;GO:0005737;GO:0047627;GO:0006790;GO:0005886;GO:0099503;GO:0005829;GO:0000166;GO:0009507;GO:0003824	Adenylylsulfatase HINT1 (EC 3.6.2.1) (HIS triad family protein 3) (Histidine triad nucleotide-binding protein 1)
Np001G060680	118	AT3G56500.1	AT3G56500.1	orthologue	GO:0003674;GO:0005739;GO:0008150	Serine-rich protein-like protein
Np001G060690	253	AT3G56510.1	AT3G56510.1	orthologue	GO:0000472;GO:0034462;GO:0000480;GO:0005634;GO:0003723;GO:0005515;GO:0005730;GO:0003676;GO:0000447	At3g56510 (RNA-binding (RRM/RBD/RNP motifs) family protein)
Np001G060700	366	AT3G56560.1, AT5G39540.1, AT3G55210.1, AT3G56530.1	AT3G56530.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0016020	F-box associated ubiquitination effector family protein;NAC domain containing protein 63 (NAM (No apical meristem)-like protein);NAC domain containing protein 64 (NAM-like protein);NAC domain containing protein 65
Np001G060710	673	AT3G56560.1, AT5G39540.1, AT3G55210.1	AT3G55210.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0016020	F-box associated ubiquitination effector family protein;NAC domain containing protein 63 (NAM (No apical meristem)-like protein);NAC domain containing protein 65
Np001G060720	173	AT3G56560.1, AT5G39540.1, AT3G55210.1, AT3G56530.1	AT3G56530.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0016020	F-box associated ubiquitination effector family protein;NAC domain containing protein 63 (NAM (No apical meristem)-like protein);NAC domain containing protein 64 (NAM-like protein);NAC domain containing protein 65
Np001G060730	268	AT3G56560.1, AT5G39540.1, AT3G55210.1, AT3G56530.1	AT3G56530.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0016020	F-box associated ubiquitination effector family protein;NAC domain containing protein 63 (NAM (No apical meristem)-like protein);NAC domain containing protein 64 (NAM-like protein);NAC domain containing protein 65
Np001G060740	579	AT3G56550.1	AT3G56550.1	orthologue	GO:0008270;GO:0009451;GO:0003723;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At3g56550
Np001G060750	275	AT3G56560.1, AT5G39540.1, AT3G55210.1, AT3G56530.1	AT3G55210.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0016020	F-box associated ubiquitination effector family protein;NAC domain containing protein 63 (NAM (No apical meristem)-like protein);NAC domain containing protein 64 (NAM-like protein);NAC domain containing protein 65
Np001G060760	513	AT3G56570.2	AT3G56570.2	orthologue	GO:0005634;GO:0016279;GO:0032259;GO:0018026	N-lysine methyltransferase (EC 2.1.1.-)
Np001G060770	327	AT3G56580.1	AT3G56580.1	orthologue	GO:0005634;GO:0004842;GO:0005515;GO:0047484;GO:1902006;GO:0061630;GO:0016567;GO:0009414;GO:0006970;GO:0005737;GO:0008270;GO:0009738	E3 ubiquitin-protein ligase RZF1 (EC 2.3.2.27) (RING-H2 zinc finger protein 1) (AtRZF1)
Np001G060800	496	AT3G56590.2	AT3G56590.2	orthologue	GO:0003674;GO:0005634;GO:0016020	Hydroxyproline-rich glycoprotein family protein
Np001G060810	538	AT3G56600.1	AT3G56600.1	orthologue	GO:0004430;GO:0005575;GO:0008150;GO:0005524	1-phosphatidylinositol 4-kinase (EC 2.7.1.67);Phosphatidylinositol 4-kinase gamma 8 (AtPI4Kgamma8) (PI-4Kgamma8) (PI4K gamma 8) (EC 2.7.1.67)
Np001G060820	121	AT3G56610.1	AT3G56610.1	orthologue	GO:0003674;GO:0005576;GO:0008150	At3g56610 (Prolamin-like protein)
Np001G060830	378	AT3G56620.1	AT3G56620.1	orthologue	GO:0005886;GO:0022857;GO:0016020	WAT1-related protein At3g56620
Np001G060840	498	AT3G56630.1	AT3G56630.1	other	GO:0005829;GO:0020037;GO:0005506;GO:0009507;GO:0016705;GO:0004497;GO:0006629	Cytochrome P450, family 94, subfamily D, polypeptide 2 (Cytochrome P450-like protein)
Np001G060850	489	AT1G22400.1	AT1G22400.1	other	GO:0080043;GO:0050502;GO:0015020;GO:0005737;GO:0080044;GO:0016757;GO:0050403;GO:0008194	UDP-glycosyltransferase 85A1 (EC 2.4.1.-) (Cytokinin-O-glucosyltransferase 2) (Zeatin O-glucosyltransferase 2) (AtZOG2)
Np001G060910	261	AT3G56650.1	AT3G56650.1	orthologue	GO:0009543;GO:0009570;GO:0019898;GO:0009654;GO:0015979;GO:0009507;GO:0005829;GO:0009534;GO:0005515;GO:0005509;GO:0031977;GO:0009579;GO:0009523	PsbP domain-containing protein 6, chloroplastic (OEC23-like protein 1)
Np001G060920	665	AT3G56660.1	AT3G56660.1	orthologue	GO:0005789;GO:0006355;GO:0003700;GO:0005634;GO:0003677;GO:0006990	bZIP transcription factor 49 (AtbZIP49)
Np001G060930	527	AT2G31760.1, AT2G31770.1, AT2G31780.1	AT2G31760.1	other	GO:0005737;GO:0016567;GO:0031624;GO:0006511;GO:0061630;GO:0004842;GO:0000151;GO:0008270;GO:0005634;GO:0003676	Probable E3 ubiquitin-protein ligase ARI10 (EC 2.3.2.31) (ARIADNE-like protein ARI10) (Protein ariadne homolog 10) (RING-type E3 ubiquitin transferase ARI10);Probable E3 ubiquitin-protein ligase ARI11 (EC 2.3.2.31) (ARIADNE-like protein ARI11) (Protein ariadne homolog 11) (RING-type E3 ubiquitin transferase ARI11);Probable E3 ubiquitin-protein ligase ARI9 (EC 2.3.2.31) (ARIADNE-like protein ARI9) (Protein ariadne homolog 9) (RING-type E3 ubiquitin transferase ARI9)
Np001G060940	366	AT3G56680.1	AT3G56680.1	orthologue	GO:0005737;GO:0003674;GO:0003676	AT3g56680/T8M16_10 (Single-stranded nucleic acid binding R3H protein)
Np001G060950	1041	AT3G56690.1	AT3G56690.1	orthologue	GO:0005737;GO:0042273;GO:0016887;GO:0009535;GO:0005516;GO:0005634;GO:0009507;GO:0005524	Calmodulin-interacting protein 111 (CaM-interacting protein 111) (ATPase family AAA domain-containing protein CIP111)
Np001G060960	442	AT3G56700.2	AT3G56700.2	other	GO:0009507;GO:0035336;GO:0043231;GO:0010345;GO:0009611;GO:0102965;GO:0080019;GO:0006629	Fatty acyl-CoA reductase 6, chloroplastic (AtFAR6) (EC 1.2.1.84)
Np001G060970	113	AT3G56700.2	AT3G56700.2	other	GO:0009507;GO:0035336;GO:0043231;GO:0010345;GO:0009611;GO:0102965;GO:0080019;GO:0006629	Fatty acyl-CoA reductase 6, chloroplastic (AtFAR6) (EC 1.2.1.84)
Np001G060980	562	AT3G56700.2	AT3G56700.2	other	GO:0009507;GO:0035336;GO:0043231;GO:0010345;GO:0009611;GO:0102965;GO:0080019;GO:0006629	Fatty acyl-CoA reductase 6, chloroplastic (AtFAR6) (EC 1.2.1.84)
Np001G061000	226	AT3G57780.1	AT3G57780.1	other	GO:0005634;GO:0005643;GO:0003674	Nucleolar-like protein
Np001G061010	5					
Np001G061060	450	AT3G55780.1	AT3G55780.1	other	GO:0042973;GO:0005886;GO:0005975;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Np001G061100	118	AT3G57710.1	AT3G57710.1	other	GO:0005886;GO:0042742;GO:0005634;GO:0005515;GO:1900426;GO:0009266;GO:0007166;GO:0006952;GO:0016310;GO:0005524;GO:0016301	Serine/threonine-protein kinase ZRK1 (EC 2.7.11.1) (Protein RESISTANCE RELATED KINASE 1) (Quantitative resistance to Xanthomonas campestris pv. campestris 568) (Quantitative resistance to Xcc568)
Np001G061110	176	AT3G57730.1	AT3G57730.1	other	GO:0007166;GO:0004674;GO:0005515;GO:0016310;GO:0042742;GO:0006952;GO:0005886;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Serine/threonine-protein kinase ZRK3 (EC 2.7.11.1)
Np001G061190	154	AT3G56710.1	AT3G56710.1	orthologue	GO:0071482;GO:0051091;GO:0042742;GO:0005515;GO:0005634;GO:0009507	Sigma factor binding protein 1, chloroplastic (AtsibI) (Sigma factor binding protein I) (SigA binding protein) (VQ motif-containing protein 23) (AtVQ23)
Np001G061200	389	AT3G56720.3	AT3G56720.3	orthologue	GO:0005634;GO:0003674;GO:0016020	AT3G56720 protein (Pre-mRNA-splicing factor);At3g56720 (Pre-mRNA-splicing factor);Pre-mRNA-splicing factor
Np001G061210	74	AT2G34585.1	AT2G34585.1	orthologue	GO:0005783;GO:0000325;GO:0003674	At2g34585 (Expressed protein) (Transmembrane protein)
Np001G061220	296	AT3G56740.1	AT3G56740.1	orthologue	GO:0004252;GO:0050832;GO:0005515;GO:0010286;GO:0005776;GO:0005783;GO:0061908;GO:0016020	Rhomboid-like protein 20 (AtRBL20)
Np001G061230	404	AT3G56750.1	AT3G56750.1	orthologue	GO:0016757;GO:0009507;GO:0005768;GO:0005794;GO:0008150;GO:0005802;GO:0000138	AT3g56750/T8M16_80 (Plant/protein)
Np001G061240	581	AT3G56760.1	AT3G56760.1	orthologue	GO:0009931;GO:0004683;GO:0004674;GO:0035556;GO:0005886;GO:0005634;GO:0005516;GO:0005737;GO:0005524;GO:0016020;GO:0046872;GO:0106310;GO:0004672;GO:0006468	CDPK-related kinase 7 (AtCRK7) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase CRK7)
Np001G061250	231	AT3G56770.1	AT3G56770.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0046983;GO:0009507;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Putative transcription factor bHLH107 (Basic helix-loop-helix protein 107) (AtbHLH107) (bHLH 107) (Transcription factor EN 55) (bHLH transcription factor bHLH107)
Np001G061270	149	AT5G37780.3, AT1G66410.2	AT1G66410.2	orthologue	GO:0005515;GO:0005829;GO:0005509;GO:0005737;GO:0005634;GO:0005886;GO:0005739;GO:0009536;GO:0005513;GO:0009612;GO:0030234;GO:0016460	Calmodulin 1;Calmodulin 4;Calmodulin-1 (CaM-1);Calmodulin-4 (CaM-4)
Np001G061280	335	AT3G56810.1	AT3G56810.1	orthologue	GO:0005739;GO:0003674	Uncharacterized protein T8M16_140
Np001G061290	226	AT3G56820.1	AT3G56820.1	orthologue	GO:0005802;GO:0005634;GO:0005794;GO:0005768;GO:0005797;GO:0005739;GO:0003674	AT3g56820/T8M16_150 (RmlC-type cupin);RmlC-type cupin
Np001G061300	188	AT3G56830.1	AT3G56830.1	orthologue	GO:0009507;GO:0003674;GO:0008150;GO:0010196;GO:0016020	At3g56830 (YCF20-like protein (DUF565))
Np001G061310	435	AT3G56840.1	AT3G56840.1	orthologue	GO:0047545;GO:0071949;GO:0005739;GO:0003973;GO:0016614	L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2)
Np001G061320	302	AT3G56850.1	AT3G56850.1	orthologue	GO:0000976;GO:0003700;GO:0006355;GO:0045893;GO:0005634;GO:0009738	ABSCISIC ACID-INSENSITIVE 5-like protein 2 (ABA-responsive element-binding protein 3) (Dc3 promoter-binding factor 3) (AtDPBF3) (bZIP transcription factor 66) (AtbZIP66)
Np001G061330	470	AT3G56860.1	AT3G56860.1	orthologue	GO:0035925;GO:0048255;GO:0005737;GO:0012501;GO:0010150;GO:0009738;GO:0005634;GO:0003729;GO:0009693;GO:0006952;GO:0005515;GO:0008219;GO:0003723;GO:0003676	UBP1-associated protein 2A (UBP1-interacting protein 2a)
Np001G061340	252	AT3G56880.1	AT3G56880.1	orthologue	GO:0006970;GO:0071456;GO:0005634;GO:0005516	VQ motif-containing protein
Np001G061350	742	AT3G56870.1	AT3G56870.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein
Np001G061360	169	AT3G56891.1	AT3G56891.1	orthologue	GO:0005634;GO:0008150;GO:0046872;GO:0005886	Heavy metal transport/detoxification superfamily protein;Heavy metal-associated isoprenylated plant protein 45 (AtHIP45)
Np001G061370	447	AT3G56900.1	AT3G56900.1	orthologue	GO:0006913;GO:0005643;GO:0005635;GO:0005634;GO:0005515;GO:0005783;GO:0015031;GO:0051028	Aladin
Np001G061380	139	AT3G56910.1	AT3G56910.1	orthologue	GO:0009579;GO:0009535;GO:0032544;GO:0009507;GO:0009941;GO:0110102;GO:0005515;GO:0005829;GO:0005840;GO:1990904	Large ribosomal subunit protein cL37 (50S ribosomal protein 5, chloroplastic) (Plastid-specific 50S ribosomal protein 5) (PSRP-5)
Np001G061390	330	AT3G56920.1	AT3G56920.1	orthologue	GO:0006612;GO:0019706;GO:0005783;GO:0005794;GO:0010008;GO:0016409;GO:0018230	Probable protein S-acyltransferase 1 (EC 2.3.1.225) (Probable palmitoyltransferase At3g56920) (Zinc finger DHHC domain-containing protein At3g56920)
Np001G061400	473	AT3G56930.1	AT3G56930.1	orthologue	GO:0048767;GO:0030140;GO:0005783;GO:0005634;GO:0019706;GO:0035618;GO:0005794;GO:0006612;GO:0005886;GO:0012505;GO:0016020;GO:0016409;GO:0018230	Probable protein S-acyltransferase 4 (EC 2.3.1.225) (Probable palmitoyltransferase At3g56930) (Zinc finger DHHC domain-containing protein At3g56930);S-acyltransferase (EC 2.3.1.225) (Palmitoyltransferase)
Np001G061410	409	AT3G56940.1	AT3G56940.1	orthologue	GO:0048529;GO:0015995;GO:0005515;GO:0009941;GO:0009535;GO:0009507;GO:0009706;GO:0003677;GO:0003729;GO:0009658;GO:0009534;GO:1901401;GO:0015979;GO:0046872;GO:0016491	Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase, chloroplastic (Mg-protoporphyrin IX monomethyl ester oxidative cyclase) (EC 1.14.13.81) (Copper response defect 1 protein) (AtCrd1) (Dicarboxylate diiron protein) (AtZIP) (MPE-cyclase);magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase (EC 1.14.13.81)
Np001G061420	237	AT3G56950.2	AT3G56950.2	orthologue	GO:0009860;GO:0015267;GO:0005783;GO:0055085;GO:0005576;GO:0009846;GO:0005789;GO:0016020	Probable aquaporin SIP2-1 (Small basic intrinsic protein 2-1) (AtSIP2;1);Small and basic intrinsic protein 21
Np001G061430	238	AT3G56950.2	AT3G56950.2	orthologue	GO:0009860;GO:0015267;GO:0005783;GO:0055085;GO:0005576;GO:0009846;GO:0005789;GO:0016020	Probable aquaporin SIP2-1 (Small basic intrinsic protein 2-1) (AtSIP2;1);Small and basic intrinsic protein 21
Np001G061450	500	AT3G25960.1, AT3G55650.1, AT3G55810.1	AT3G25960.1	orthologue	GO:0000287;GO:0006096;GO:0030955;GO:0005737;GO:0004743;GO:0005739;GO:0005829;GO:0005524;GO:0005634;GO:0006950;GO:0009749;GO:0035402;GO:0016301;GO:0003824	Pyruvate kinase (EC 2.7.1.40)
Np001G061460	778	AT3G56960.1	AT3G56960.1	orthologue	GO:0009860;GO:0046854;GO:0010118;GO:0009846;GO:0005829;GO:0009827;GO:0016308;GO:0006897;GO:0016324;GO:0046488;GO:0005886;GO:0090406;GO:0007164;GO:0005524;GO:0052742	Phosphatidylinositol 4-phosphate 5-kinase 4 (AtPIP5K4) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 4) (Diphosphoinositide kinase 4) (PtdIns(4)P-5-kinase 4)
Np001G061470	255	AT3G56970.1	AT3G56970.1	orthologue	GO:0005515;GO:0010106;GO:0006357;GO:0006355;GO:0000977;GO:0005634;GO:0090575;GO:0003700;GO:0046983;GO:0060586;GO:0000981;GO:0003677	Transcription factor ORG2 (Basic helix-loop-helix protein 38) (AtbHLH38) (bHLH 38) (OBP3-responsive gene 2) (Transcription factor EN 8) (bHLH transcription factor bHLH038)
Np001G061480	254	AT3G56980.1	AT3G56980.1	orthologue	GO:0046983;GO:0006355;GO:0003700;GO:0005634;GO:0000981;GO:0000977;GO:0006357;GO:0005515;GO:0010106;GO:0090575;GO:0060586;GO:0003677	Transcription factor ORG3 (Basic helix-loop-helix protein 39) (AtbHLH39) (bHLH 39) (OBP3-responsive gene 3) (Transcription factor EN 9) (bHLH transcription factor bHLH039)
Np001G061490	733	AT3G56990.1	AT3G56990.1	orthologue	GO:0000462;GO:0080008;GO:0005634;GO:0032040;GO:0005730;GO:0003674;GO:0009561;GO:0016020;GO:0005515;GO:0030686	AT3g56990/F24I3_70 (Embryo sac development arrest 7);Embryo sac development arrest 7
Np001G061500	290	AT3G57000.1	AT3G57000.1	orthologue	GO:0005634;GO:0070475;GO:0070037;GO:0032040;GO:0019843;GO:0005730	At3g57000 (Nucleolar essential protein-like protein)
Np001G061520	239	AT3G57020.1	AT3G57020.1	orthologue	GO:0009058;GO:0005783;GO:0009507;GO:0000325;GO:0005829;GO:0016787;GO:0012505	Protein STRICTOSIDINE SYNTHASE-LIKE 9 (AtSSL9) (Strictosidine synthase 6) (AtSS6)
Np001G061530	374	AT3G57030.1	AT3G57030.1	orthologue	GO:0009507;GO:0009505;GO:0009058;GO:0005886;GO:0016787;GO:0009506;GO:0005783;GO:0005829;GO:0005773;GO:0012505	Protein STRICTOSIDINE SYNTHASE-LIKE 10 (AtSSL10) (Strictosidine synthase 8) (AtSS8)
Np001G061550	235	AT3G57040.1	AT3G57040.1	orthologue	GO:0005737;GO:0005515;GO:0009736;GO:0000156;GO:0006355;GO:0009735;GO:0007623;GO:0000160;GO:0005634	Two-component response regulator ARR9 (Response reactor 4)
Np001G061560	465	AT3G57050.1	AT3G57050.1	orthologue	GO:0009507;GO:0071266;GO:0019346;GO:0005737;GO:0019279;GO:0047804;GO:0009570;GO:0016846;GO:0030170;GO:0006555;GO:0042803;GO:0060090;GO:0009086	Cystathionine beta-lyase, chloroplastic (CBL) (EC 4.4.1.13) (Beta-cystathionase) (Cysteine lyase) (Cysteine-S-conjugate beta-lyase);Cystathionine beta-lyase, chloroplastic (EC 4.4.1.13) (Cysteine-S-conjugate beta-lyase);cysteine-S-conjugate beta-lyase (EC 4.4.1.13)
Np001G061570	1346	AT3G57060.2	AT3G57060.2	orthologue	GO:0000796;GO:0007076;GO:0005634;GO:0010032;GO:0006325;GO:0000278;GO:0042393;GO:0000779;GO:0005694;GO:0051301;GO:0030261	Condensin-1 complex subunit CAP-D2;Condensin-1 complex subunit CAP-D2 (Protein CHROMOSOME-ASSOCIATED POLYPEPTIDE D-2) (AtCap-D2)
Np001G061580	48	AT3G57062.1	AT3G57062.1	orthologue	GO:0003674;GO:0005575	Transmembrane protein
Np001G061590	420	AT3G57070.1	AT3G57070.1	orthologue	GO:0009507;GO:0003674	Glutaredoxin family protein
Np001G061600	227	AT3G57080.1	AT3G57080.1	orthologue	GO:0001054;GO:0006351;GO:0042797;GO:0006362;GO:0000419;GO:0006366;GO:0005634;GO:0001056;GO:0001055;GO:0005515;GO:0003677;GO:0003899	DNA-directed RNA polymerase V subunit 5A
Np001G061610	121					
Np001G061620	234	AT2G45530.1	AT2G45530.1	orthologue	GO:0008150;GO:0008270;GO:0005737;GO:0016020	At2g45530 (Expressed protein) (RING/U-box superfamily protein)
Np001G061630	170	AT3G57090.1	AT3G57090.1	orthologue	GO:0005739;GO:0005741;GO:0009507;GO:0000266;GO:0060090;GO:0016559;GO:0005777;GO:0005778;GO:0008289;GO:0007005;GO:0005515;GO:0005829;GO:0000422	Mitochondrial fission 1 protein A (FIS1 homolog A) (AtFIS1a) (Protein BIGYIN 1)
Np001G061640	524	AT4G29910.2	AT4G29910.2	orthologue	GO:0005515;GO:0005634;GO:0005664;GO:0006270;GO:0003688;GO:0000808;GO:0006260;GO:0005524;GO:0009744	Origin of replication complex subunit 5 (AtORC5);Origin recognition complex protein 5
Np001G061660	433	AT3G57120.1	AT3G57120.1	orthologue	GO:0005575;GO:0004672;GO:0016310;GO:0005524;GO:0006468	Protein kinase superfamily protein
Np001G061670	470	AT3G57130.1	AT3G57130.1	orthologue	GO:0009864;GO:0005634;GO:0010227;GO:0006355;GO:0009965;GO:0010434;GO:0045893;GO:0099402;GO:0016567;GO:0009944;GO:0005515;GO:0010582;GO:0005737;GO:0000976;GO:0048439;GO:0009954;GO:0010254;GO:0010022;GO:0008270	Ankyrin repeat family protein / BTB/POZ domain-containing protein;Regulatory protein NPR6 (BTB/POZ domain-containing protein NPR6) (Protein BLADE-ON-PETIOLE 1)
Np001G061680	810	AT3G57140.1	AT3G57140.1	orthologue	GO:0005634;GO:0016042;GO:0004806;GO:0005811;GO:0016020;GO:0006629	Triacylglycerol lipase SDP1L (EC 3.1.1.3) (Protein SDP1-LIKE)
Np001G061690	497	AT3G57150.1	AT3G57150.1	orthologue	GO:0031429;GO:0009506;GO:0000495;GO:0031118;GO:0009982;GO:0001522;GO:1990481;GO:0031120;GO:0005634;GO:0005730;GO:0005829;GO:0003723;GO:0006364;GO:1990904;GO:0006396;GO:0009451	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp-140-associated protein of 57 kDa homolog) (AtNAP57) (Nucleolar protein NAP57 homolog)
Np001G061700	84					
Np001G061710	103	AT2G41420.1	AT2G41420.1	other	GO:0005886;GO:0009554;GO:0003674	Cysteine-rich and transmembrane domain-containing protein WIH2 (Cysteine-rich and transmembrane domain-containing protein A) (Protein WINDHOSE 2)
Np001G061720	696	AT3G57170.1	AT3G57170.1	orthologue	GO:0003674;GO:0006506;GO:0005739;GO:0016020;GO:0016740	N-acetylglucosaminyl transferase component family protein / Gpi1 family protein
Np001G061730	666	AT3G57180.1	AT3G57180.1	orthologue	GO:0009507;GO:1902326;GO:0019843;GO:0042644;GO:1901259;GO:0009570;GO:0009742;GO:0005739;GO:0009646;GO:0009416;GO:0006355;GO:0003729;GO:0009651;GO:1904143;GO:0009741;GO:0009658;GO:0005515;GO:0032502;GO:0005634;GO:0005525;GO:0016787	GTP-binding protein BRASSINAZOLE INSENSITIVE PALE GREEN 2, chloroplastic (Protein BRZ-INSENSITIVE-PALE GREEN 2)
Np001G061740	398	AT3G57190.1	AT3G57190.1	orthologue	GO:0043488;GO:0009658;GO:0006415;GO:0009507;GO:0009570;GO:0043565;GO:0003747;GO:0003730;GO:0005515	Peptide chain release factor PrfB3, chloroplastic (AtPrfB3)
Np001G061750	513	AT3G57200.1	AT3G57200.1	orthologue	GO:0030244;GO:0016757;GO:0009737;GO:0009505;GO:0009507;GO:0005576;GO:0005737;GO:0005886;GO:0030154;GO:0051301;GO:0071555	Glycosyltransferase-like At3g57200;Glycosyltransferase-like protein
Np001G061760	423	AT3G57220.1	AT3G57220.1	orthologue	GO:0016020;GO:0006488;GO:0005783;GO:0000271;GO:0003975;GO:0016780	At3g57220 (Glycosyl transferase family 4 protein) (UDP-GlcNAc:dolichol phosphate N-acetylglucosamine-1-phosphate transferase-like protein)
Np001G061770	152	AT3G55780.1	AT3G55780.1	other	GO:0042973;GO:0005886;GO:0005975;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Np001G061790	67	AT3G57290.1	AT3G57290.1	other	GO:0009640;GO:0005634;GO:0031597;GO:0030371;GO:0006412;GO:0005852;GO:0005515;GO:0005737;GO:0009908;GO:0008180;GO:0006352;GO:0003743;GO:0003729;GO:0005829;GO:0006413;GO:0001732;GO:0016282;GO:0033290;GO:0071540	Eukaryotic translation initiation factor 3 subunit E (AtEIF3E-1) (eIF3e) (p48) (Eukaryotic translation initiation factor 3 subunit 6) (AtINT6) (INT-6)
Np001G061810	71	AT3G52970.2	AT3G52970.2	orthologue	GO:0005506;GO:0016705;GO:0009507;GO:0020037;GO:0004497;GO:0016020;GO:0016491	Cytochrome P450, family 76, subfamily G, polypeptide 1
Np001G061820	265				GO:0008143;GO:0003676;GO:0003723	
Np001G061830	50	AT5G43080.1	AT5G43080.1	orthologue	GO:0005515;GO:0005739;GO:0000082;GO:0005737;GO:0016538;GO:0044772;GO:0000307;GO:0005634;GO:0051301	Cyclin A31;Putative cyclin-A3-1 (G2/mitotic-specific cyclin-A3-1) (CycA3;1)
Np001G061840	342	AT3G57240.1	AT3G57240.1	other	GO:0005576;GO:0048046;GO:0008810;GO:0005975;GO:0099503;GO:0009617;GO:0042973;GO:0009505;GO:0005783;GO:0004553	Probable glucan endo-1,3-beta-glucosidase BG3 (EC 3.2.1.39) (Beta-1,3-glucanase 3) (AtBG3)
Np001G061870	133	AT5G39570.2	AT5G39570.2	other	GO:0005739;GO:0003729;GO:0005829;GO:0009536;GO:0070300;GO:0016020	Transmembrane protein;Uncharacterized protein At5g39570
Np001G061880	225	AT3G57280.1	AT3G57280.1	orthologue	GO:0055088;GO:0009706;GO:0009941;GO:0015908;GO:0010208;GO:1902001;GO:0015245;GO:0009536;GO:0005829;GO:0009507;GO:0071668;GO:0016020	Protein FATTY ACID EXPORT 1, chloroplastic (At-FAX1)
Np001G061890	441	AT3G57290.1	AT3G57290.1	orthologue	GO:0009640;GO:0005634;GO:0031597;GO:0030371;GO:0006412;GO:0005852;GO:0005515;GO:0005737;GO:0009908;GO:0008180;GO:0006352;GO:0003743;GO:0003729;GO:0005829;GO:0006413;GO:0001732;GO:0016282;GO:0033290;GO:0071540	Eukaryotic translation initiation factor 3 subunit E (AtEIF3E-1) (eIF3e) (p48) (Eukaryotic translation initiation factor 3 subunit 6) (AtINT6) (INT-6)
Np001G061900	1514	AT3G57300.2	AT3G57300.2	orthologue	GO:0010228;GO:0045739;GO:0006338;GO:0006355;GO:0016887;GO:0006281;GO:0042393;GO:0031011;GO:1905168;GO:0005634;GO:0140658;GO:0016444;GO:0003677;GO:0004386;GO:0005524;GO:0016787	Chromatin-remodeling ATPase INO80 (AtINO80) (EC 3.6.4.-) (DNA helicase-related INO80 complex homolog 1);Chromatin-remodeling ATPase INO80 (EC 3.6.4.-)
Np001G061910	80	AT4G29360.2	AT4G29360.2	other	GO:0042973;GO:0005886;GO:0005576;GO:0005975;GO:0016020;GO:0006952;GO:0071555;GO:0098552;GO:0009506;GO:0004553	Glucan endo-1,3-beta-glucosidase 12 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 12) ((1->3)-beta-glucanase 12) (Beta-1,3-endoglucanase 12) (Beta-1,3-glucanase 12);glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
Np001G061930	1026	AT3G57330.1	AT3G57330.1	orthologue	GO:0005886;GO:0043231;GO:0070588;GO:0005388;GO:0009705;GO:0016887;GO:0055081;GO:0005773;GO:0043069;GO:0051480;GO:0000325;GO:0005794;GO:0005515;GO:0042742;GO:0009507;GO:0005516;GO:0005524;GO:0046872;GO:0016020;GO:0000166;GO:0005215;GO:0019829	Calcium-transporting ATPase (EC 7.2.2.10);Putative calcium-transporting ATPase 11, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 11)
