Cardamine_hirsuta	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CARHR004650	220	AT1G05190.1	AT1G05190.1	other	GO:0009507;GO:0009941;GO:0009570;GO:0009793;GO:0003735;GO:0005576;GO:0006412;GO:0003729;GO:0005840;GO:0019843;GO:1990904	Large ribosomal subunit protein uL6c (50S ribosomal protein L6, chloroplastic) (Protein EMBRYO DEFECTIVE 2394)
CARHR004660	225	AT1G05190.1	AT1G05190.1	orthologue	GO:0009507;GO:0009941;GO:0009570;GO:0009793;GO:0003735;GO:0005576;GO:0006412;GO:0003729;GO:0005840;GO:0019843;GO:1990904	Large ribosomal subunit protein uL6c (50S ribosomal protein L6, chloroplastic) (Protein EMBRYO DEFECTIVE 2394)
CARHR004670	954	AT1G05200.1	AT1G05200.1	orthologue	GO:0005262;GO:0071260;GO:0005886;GO:0071311;GO:0009416;GO:0006874;GO:0005515;GO:0015276;GO:0071230;GO:0034220;GO:0019722;GO:0070417;GO:0009507;GO:0008066;GO:0006816;GO:0038023;GO:0005217;GO:0005576;GO:0009611;GO:0009536;GO:0031969;GO:0016020	Glutamate receptor;Glutamate receptor 3.4;Glutamate receptor 3.4 (AtGLR3.4) (Glutamate receptor-like protein 3.4) (Ligand-gated ion channel 3.4)
CARHR004680	91	AT1G05205.1	AT1G05205.1	orthologue	GO:0005634;GO:0008150;GO:0003674	At1g05205 (Hexokinase-1 protein)
CARHR004690	162	AT1G05210.1	AT1G05210.1	orthologue	GO:0008150;GO:0003674;GO:0005783;GO:0005576;GO:0005789	At1g05210 (Transmembrane protein 97, Putative) (YUP8H12.18)
CARHR004700	720	AT1G05230.1	AT1G05230.1	orthologue	GO:0005634;GO:0048497;GO:0052541;GO:0000976;GO:0048354;GO:0010214;GO:0010090;GO:0005515;GO:2000144;GO:0000981;GO:0008289;GO:0003700;GO:0003677;GO:0030154;GO:0006355	Homeobox-leucine zipper protein HDG2 (HD-ZIP protein HDG2) (Homeodomain GLABRA 2-like protein 2) (Homeodomain transcription factor HDG2) (Protein HOMEODOMAIN GLABROUS 2);Homeodomain GLABROUS 2
CARHR004710	321	AT1G05250.1, AT1G05240.1	AT1G05250.1	orthologue	GO:0005576;GO:0009505;GO:0006979;GO:0009664;GO:0004601;GO:0009808;GO:0006950;GO:0020037;GO:0098869;GO:0140825;GO:0035618;GO:0009506;GO:0042744;GO:0046872	Peroxidase 1 (EC 1.11.1.7) (ATP11a) (Atperox P1);Peroxidase 2 (EC 1.11.1.7) (ATP12a) (Atperox P2)
CARHR004720	320	AT1G05240.1, AT1G05250.1	AT1G05250.1	other	GO:0005576;GO:0009505;GO:0006979;GO:0009664;GO:0004601;GO:0009808;GO:0006950;GO:0020037;GO:0098869;GO:0140825;GO:0035618;GO:0009506;GO:0042744;GO:0046872	Peroxidase 1 (EC 1.11.1.7) (ATP11a) (Atperox P1);Peroxidase 2 (EC 1.11.1.7) (ATP12a) (Atperox P2)
CARHR004730	326	AT1G05260.1	AT1G05260.1	orthologue	GO:0009269;GO:0004601;GO:0042538;GO:0140825;GO:0005783;GO:0006950;GO:0009409;GO:0006979;GO:0009505;GO:0005576;GO:0020037;GO:0042744;GO:0046872	Peroxidase 3 (Atperox P3) (EC 1.11.1.7) (ATPRC) (RCI3A) (Rare cold-inducible protein)
CARHR004740	372	AT1G05270.1	AT1G05270.1	orthologue	GO:0005741;GO:0005886;GO:0140474;GO:0000423;GO:0005515	At1g05270 (TraB family protein)
CARHR004750	493	AT1G05280.1	AT1G05280.1	orthologue	GO:0008150;GO:0016757;GO:0005575;GO:0008375;GO:0016020	ERV-F (C)1 provirus ancestral Env polyprotein, putative (DUF604)
CARHR004760	509	AT4G34880.2	AT4G34880.2	orthologue	GO:0009507;GO:0004040;GO:0043864	Probable amidase At4g34880 (EC 3.5.1.4)
CARHR004770	343	AT1G05290.1	AT1G05290.1	orthologue	GO:0005634;GO:0006355;GO:1903426;GO:0009611;GO:0003700;GO:0005515	CCT motif family protein
CARHR004780	164	AT1G05291.1	AT1G05291.1	orthologue	GO:0005783;GO:0003674;GO:0008150;GO:0005789	Protein DESIGUAL 4
CARHR004790	358	AT1G05300.1	AT1G05300.1	orthologue	GO:0071577;GO:0098655;GO:0005576;GO:0005385;GO:0046873;GO:0009507;GO:0005886;GO:0016020;GO:0030001;GO:0055085	Zinc transporter 5;Zinc transporter 5 (ZRT/IRT-like protein 5)
CARHR004800	405	AT1G05310.1	AT1G05310.1	orthologue	GO:0045490;GO:0042545;GO:0030599;GO:0005576;GO:0052689	Probable pectinesterase 8 (PE 8) (EC 3.1.1.11) (Pectin methylesterase 2) (AtPME2) (Pectin methylesterase 8) (AtPME8)
CARHR004810	752	AT1G05320.1	AT1G05320.1	orthologue	GO:0005737;GO:0003674;GO:0005576;GO:0016020	Myosin heavy chain, embryonic smooth protein
CARHR004820	121	AT1G05330.1	AT1G05330.1	orthologue	GO:0008150;GO:0003674;GO:0005737	YUP8H12.5
CARHR004830	69	AT2G32210.1, AT2G32190.1, AT1G05340.1	AT2G32190.1	other	GO:0005515;GO:0005886;GO:0005634;GO:0005737;GO:0042803;GO:0071456;GO:0042802	Cysteine-rich/transmembrane domain A-like protein;Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 1 (AthCYSTM1);Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 4 (AthCYSTM4);Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 6 (AthCYSTM6)
CARHR004840	150	AT1G05600.1	AT1G05600.1	orthologue	GO:0003729;GO:0005739;GO:0008150;;GO:0005515	Pentatricopeptide repeat-containing protein At1g05600
CARHR004850	427	AT1G05350.1	AT1G05350.1	orthologue	GO:0005829;GO:0005737;GO:0071569;GO:0071566;GO:0008641;GO:0005524;GO:0046872;GO:0032446	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5)
CARHR004860	474	AT5G05620.1, AT3G61650.1	AT3G61650.1	orthologue	GO:0000070;GO:0000930;GO:0010103;GO:0005737;GO:0048768;GO:0007020;GO:0007052;GO:0000278;GO:0000911;GO:0031122;GO:0009553;GO:0000212;GO:0005525;GO:0048366;GO:0005819;GO:0051641;GO:0000914;GO:0005813;GO:0005739;GO:0009624;GO:0005634;GO:0005874;GO:0005938;GO:0005200;GO:0009505;GO:0005635;GO:0005886;GO:0046785;GO:0007017	Tubulin gamma-1 chain (Gamma-1-tubulin);Tubulin gamma-2 chain (Gamma-2-tubulin)
CARHR004870	416	AT1G05360.1	AT1G05360.1	orthologue	GO:0016192;GO:0005783;GO:0009507;GO:0016020;GO:0005789;GO:0010256;GO:0012505;GO:0003674	AT1G05360 protein (Vacuole membrane-like protein);Vacuole membrane protein KMS2 (Protein KILLING ME SLOWLY 2)
CARHR004880	419	AT1G05370.1	AT1G05370.1	orthologue	GO:0003674;GO:0005634;GO:0016020	Sec14p-like phosphatidylinositol transfer family protein
CARHR004890	1150	AT1G05380.1	AT1G05380.1	orthologue	GO:0000976;GO:0005634;GO:0003714;GO:0008270	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein (T25N20.3)
CARHR004900	195	AT1G05385.1	AT1G05385.1	orthologue	GO:0010207;GO:0005829;GO:0009523;GO:0010206;GO:0009507;GO:0009543;GO:0003674	Photosystem II 11 kDa protein-like protein;Photosystem II D1 precursor processing protein PSB27-H2, chloroplastic (Psb27-H2) (LOW PSII accumulation 19 protein) (LPA19) (Thylakoid lumenal protein PSB27-H2)
CARHR004910	229	AT1G05420.2	AT1G05420.2	orthologue	GO:0045892;GO:0003674;GO:0005634	Transcription repressor (Ovate family protein);Transcription repressor OFP12 (Ovate family protein 12) (AtOFP12)
CARHR004920	467	AT1G05410.1	AT1G05410.1	orthologue	GO:0005515;GO:0005634;GO:0000118;GO:0008270	AT1G05410 protein (CDPK adapter, putative (DUF1423));At1g05410/T25N20_5 (CDPK adapter, putative (DUF1423))
CARHR004930	361	AT1G05440.1	AT1G05440.1	orthologue	GO:0005634;GO:0005783;GO:0003674;GO:0005789;GO:0016853	C-8 sterol isomerase (T25N20.9)
CARHR004940	205	AT1G05450.2	AT1G05450.2	orthologue	GO:0005739;GO:0016020;GO:0005886;GO:0003674;GO:0098552	At1g05450 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein) (Lipid-transfer protein, putative);Non-specific lipid transfer protein GPI-anchored 21 (AtLTPG-21) (Protein LTP-GPI-ANCHORED 21)
CARHR004950	942	AT1G05460.1	AT1G05460.1	orthologue	GO:0035194;GO:0003723;GO:0005829;GO:0003724;GO:0043186;GO:0009616;GO:0005515;GO:0032574;GO:0005737;GO:0000166;GO:0016787;GO:0031047;GO:0005524;GO:0016887;GO:0004386	Probable RNA helicase SDE3 (EC 3.6.4.13) (Silencing defective protein 3);RNA helicase (EC 3.6.4.13)
CARHR004960	615	AT1G05470.1	AT1G05470.1	orthologue	GO:0046030;GO:0009737;GO:0032957;GO:0010588;GO:0010067;GO:0004439;GO:0046856;GO:0010305;GO:0034485;GO:0005737;GO:0010051;GO:0004445;GO:0005515;GO:0009738;GO:0030154;GO:0016791	Type IV inositol polyphosphate 5-phosphatase 6 (At5PTase6) (EC 3.1.3.36) (EC 3.1.3.86) (Protein COTYLEDON VASCULAR PATTERN 2)
CARHR004970	1544	AT1G05490.1	AT1G05490.1	orthologue	GO:0001059;GO:0080188;GO:0005634;GO:0140658;GO:0003677;GO:0004386;GO:0005524;GO:0016787;GO:1900370	SNF2 domain-containing protein CLASSY 3 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 31) (AtCHR31)
CARHR004980	503	AT1G05500.1	AT1G05500.1	orthologue	GO:0005783;GO:0012505;GO:0005886;GO:0009506;GO:0033011;GO:0005515;GO:0006869;GO:0008289;GO:0016020;GO:0046872	Calcium-dependent lipid-binding (CaLB domain) family protein;Synaptotagmin-5 (NTMC2T2.1) (Synaptotagmin E)
CARHR004990	216	AT1G05510.1	AT1G05510.1	orthologue	GO:0019915;GO:0009737;GO:0005515;GO:0010344;GO:0009793;GO:0005811	Oil body-associated protein 1A
CARHR005000	780	AT1G05520.1	AT1G05520.1	orthologue	GO:0006886;GO:0090110;GO:0030127;GO:0008270;GO:0090114;GO:0005096;GO:0005576;GO:0005737;GO:0070971;GO:0005515;GO:0005789;GO:0006888	Protein transport protein SEC23 B (AtSEC23B) (Protein transport protein SEC23 C) (AtSEC23C)
CARHR005010	445	AT1G05530.1	AT1G05530.1	orthologue	GO:0009507;GO:0035251;GO:0047215;GO:0016757;GO:0010294;GO:0080043;GO:0005737;GO:0005794;GO:0080044;GO:0008194	UDP-glycosyltransferase 75B2 (EC 2.4.1.-) ((Uridine 5'-diphosphate-glucose:indol-3-ylacetyl)-beta-D-glucosyl transferase 2) (IAA-Glu synthase 2) (Indole-3-acetate beta-glucosyltransferase 2) (EC 2.4.1.121)
CARHR005020	183	AT1G30160.2, AT1G05540.1	AT1G05540.1	other	GO:0005634;GO:0003674;GO:0008150;GO:0009507;GO:0005739	At1g30160;KIB1-4 beta-propeller domain-containing protein;T25N20.19;Uncharacterized protein T2H7.4
CARHR005030	474	AT1G05560.2	AT1G05560.2	orthologue	GO:0035251;GO:0047215;GO:0009524;GO:0016757;GO:0009507;GO:0080002;GO:0005515;GO:0080043;GO:0008194;GO:0010294;GO:0005794;GO:0009751;GO:0046482;GO:0080044;GO:0005737;GO:0005856;GO:0048471	Glycosyltransferase (EC 2.4.1.-);UDP-glycosyltransferase 75B1 (EC 2.4.1.-) ((Uridine 5'-diphosphate-glucose:indol-3-ylacetyl)-beta-D-glucosyl transferase 1) (IAA-Glu synthase 1) (Indole-3-acetate beta-glucosyltransferase 1) (EC 2.4.1.121)
CARHR005040	1950	AT1G05570.1	AT1G05570.1	orthologue	GO:0006075;GO:0046527;GO:0005886;GO:0009504;GO:0009506;GO:0016757;GO:0000148;GO:0003843;GO:0008360;GO:0071555;GO:0016020	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-glucan synthase);Callose synthase 1 (EC 2.4.1.34) (1,3-beta-glucan synthase) (Protein GLUCAN SYNTHASE-LIKE 6)
CARHR005050	220	AT1G05615.1, AT2G24670.1	AT2G24670.1	other	GO:0005634;GO:0008150;GO:0003674;GO:0003677	B3 domain-containing protein At2g24670;Putative B3 domain-containing protein At1g05615
CARHR005060	89	AT1G05575.1	AT1G05575.1	orthologue	GO:0009061;GO:0005783;GO:0003674	Transmembrane protein
CARHR005070	378	AT1G05577.1	AT1G05577.1	orthologue	GO:0051258;GO:0051302;GO:0090708;GO:0016324;GO:2000067;GO:0042803;GO:1905392;GO:0005515;GO:0051301	Protein SOSEKI 1 (AtSOK1)
CARHR005080	863	AT1G05580.1	AT1G05580.1	orthologue	GO:0010183;GO:0071805;GO:0005634;GO:0006885;GO:0012505;GO:0015385;GO:0005783;GO:0006812;GO:0098662;GO:1902600;GO:0005789;GO:0015297;GO:0031969;GO:0016020;GO:0055085	Cation/H(+) antiporter 23, chloroplastic (Protein CATION/H+ EXCHANGER 23) (AtCHX23)
CARHR005090	579	AT1G05590.1	AT1G05590.1	orthologue	GO:0005576;GO:0030203;GO:0004563;GO:0035251;GO:0016020;GO:0005975;GO:0015929;GO:0005886;GO:0004553	Beta-hexosaminidase 2 (EC 3.2.1.52) (Beta-GlcNAcase 2) (Beta-N-acetylhexosaminidase 2) (Beta-hexosaminidase 3) (AtHEX3) (N-acetyl-beta-glucosaminidase 2)
CARHR005100	327	AT1G05600.1	AT1G05600.1	other	GO:0003729;GO:0005739;GO:0008150;;GO:0005515	Pentatricopeptide repeat-containing protein At1g05600
CARHR005110	483	AT1G05610.2	AT1G05610.2	orthologue	GO:0005978;GO:0008878;GO:0009507;GO:0005524;GO:0009058	ADP-glucose pyrophosphorylase small subunit 2;Inactive glucose-1-phosphate adenylyltransferase small subunit 2, chloroplastic (ADP-Glc pyrophosphorylase small subunit-like) (ADP-glucose pyrophosphorylase small subunit 2) (ApS2)
CARHR005120	320	AT1G05620.1	AT1G05620.1	orthologue	GO:0006152;GO:0006148;GO:0045437;GO:0005515;GO:0008477;GO:0005829;GO:0035251;GO:0010150;GO:0047724;GO:0046982;GO:0072585;GO:0016799	Probable uridine nucleosidase 2 (EC 3.2.2.3) (Inosine nucleosidase) (EC 3.2.2.2) (Nucleoside hydrolase 2) (Uridine ribohydrolase 2) (Xanthosine nucleosidase) (EC 3.2.2.-)
CARHR005130	1170	AT1G05630.1	AT1G05630.1	orthologue	GO:0046856;GO:0004439;GO:0009637;GO:0009737;GO:0009846;GO:0004445;GO:0048364;GO:0009743;GO:0052658;GO:0010087;GO:0009630;GO:0007584;GO:0005737;GO:0010182;GO:0009611;GO:0052659;GO:0140964;GO:0043647;GO:0016791;GO:0005634;GO:0004519;GO:0016020;GO:0046872;GO:0005515	Endonuclease/exonuclease/phosphatase family protein;Type I inositol polyphosphate 5-phosphatase 13 (At5PTase13) (EC 3.1.3.56)
CARHR005140	122	AT1G31020.1	AT1G31020.1	orthologue	GO:0009507;GO:0016671;GO:0005739	Thioredoxin O2, mitochondrial (AtTrxo2)
CARHR005150	59	AT1G31010.1	AT1G31010.1	other	GO:0003697;GO:0042645;GO:0009507;GO:0006264;GO:0006260;GO:0051096	Protein OSB4, chloroplastic (Organellar single-stranded DNA-binding protein 4)
CARHR005160	292				GO:0005777;GO:0010468	
CARHR005170	394	AT1G05650.1	AT1G05650.1	other	GO:0004650;GO:0005576;GO:0005975;GO:0016829;GO:0071555	F3F20.10 protein (Pectin lyase-like superfamily protein)
CARHR005180	119					
CARHR005190	737	AT1G05670.1	AT1G05670.1	orthologue	GO:0016757;GO:0005783;GO:0005794;GO:0003729;GO:0008150;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At1g05670, mitochondrial
CARHR005200	453	AT1G05680.1, AT1G05675.1	AT1G05680.1	orthologue	GO:0042631;GO:0071475;GO:0080043;GO:0070301;GO:0080024;GO:0052638;GO:0071215;GO:0035251;GO:0010016;GO:0080044;GO:0005737;GO:0009507;GO:0016757;GO:0008194	UDP-glycosyltransferase 74E1 (EC 2.4.1.-);UDP-glycosyltransferase 74E2 (EC 2.4.1.-)
CARHR005210	399	AT1G05690.1	AT1G05690.1	orthologue	GO:0006355;GO:0009409;GO:0009555;GO:0009553;GO:0042542;GO:0009723;GO:0009651;GO:0005516;GO:0016567;GO:0009751;GO:0009507;GO:0008270;GO:0005515	BTB/POZ and TAZ domain-containing protein 3 (BTB and TAZ domain protein 3)
CARHR005220	214	AT1G05700.2	AT1G05700.2	orthologue	GO:0006468;GO:0044024;GO:0004674;GO:0005515;GO:0016301;GO:0004672;GO:0005576;GO:0016310;GO:0005524;GO:0016020;GO:0106310	Leucine-rich repeat transmembrane protein kinase protein;Probable LRR receptor-like serine/threonine-protein kinase At1g05700 (EC 2.7.11.1)
CARHR005230	149	AT1G05710.10	AT1G05710.10	orthologue	GO:0046983;GO:0000978;GO:0000981;GO:0003700;GO:0005634;GO:0006355;GO:0006357	
CARHR005240	165	AT1G05720.1	AT1G05720.1	orthologue	GO:0000137;GO:0008150;GO:0016491;GO:0005788;GO:0005576	Selenoprotein F
CARHR005250	150	AT1G05730.1	AT1G05730.1	orthologue	GO:0008150;GO:0003674;GO:0005737;GO:0005739	FAM136A-like protein (DUF842)
CARHR005260	179	AT1G05760.2	AT1G05760.2	orthologue	GO:0005737;GO:0009615;GO:0051607;GO:0005515;GO:0046741;GO:0030246;GO:0006952	Mannose-binding lectin superfamily protein;Protein RESTRICTED TEV MOVEMENT 1 (Jacalin-related lectin 1) (Restricted tobacco etch virus movement protein 1)
CARHR005270	496	AT1G05750.1	AT1G05750.1	orthologue	GO:0009507;GO:0005515;GO:0043231;GO:0009451;GO:0003723	Pentatricopeptide repeat-containing protein At1g05750, chloroplastic (Protein PIGMENT DEFECTIVE 247)
CARHR005280	176	AT1G05770.1	AT1G05770.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0030246	Jacalin-related lectin 2
CARHR005290	106	AT1G05780.1	AT1G05780.1	orthologue	GO:0070072;GO:0005789;GO:0003674;GO:0009507;GO:0012507;GO:0033116	Vacuolar ATPase assembly integral membrane protein VMA21 homolog
CARHR005300	135	AT1G05785.6	AT1G05785.6	orthologue	GO:0005886;GO:0003674;GO:0006888;GO:0042147;GO:0000139;GO:0005829;GO:0016192	Got1/Sft2-like vescicle transport protein family
CARHR005310	718	AT1G05790.3	AT1G05790.3	orthologue	GO:0003674;GO:0005886;GO:0006629;GO:0016020	Lipase class 3 family protein
CARHR005320	474	AT1G05800.1	AT1G05800.1	orthologue	GO:0050832;GO:0005576;GO:0009507;GO:0009695;GO:0047714;GO:0008970;GO:0030308;GO:0052739;GO:0009611;GO:0005811;GO:0016042;GO:0006629;GO:0004620	Galactolipase DONGLE, chloroplastic (EC 3.1.1.26) (EC 3.1.1.32) (Phospholipase A1 DONGLE) (Phospholipase A1-Ialpha1)
CARHR005330	355	AT1G05805.1	AT1G05805.1	orthologue	GO:0000978;GO:0000976;GO:0009416;GO:1903286;GO:1902456;GO:0006355;GO:0010119;GO:0006357;GO:0003700;GO:0000981;GO:0005515;GO:0046983;GO:0005634	Transcription factor bHLH128 (Basic helix-loop-helix protein 128) (AtbHLH128) (bHLH 128) (Transcription factor EN 74) (bHLH transcription factor bHLH128)
CARHR005340	219	AT1G05810.2	AT1G05810.2	orthologue	GO:0003924;GO:0006886;GO:0005525;GO:0005634;GO:0012505;GO:0009507;GO:0005886;GO:0015031;GO:0016020	Rab GTPase-like A5A protein;Ras-related protein RABA5e (AtRABA5e) (Ras-related protein Ara-1)
CARHR005350	536	AT1G05820.1	AT1G05820.1	orthologue	GO:0042500;GO:0005886;GO:0030660;GO:0005765;GO:0098553;GO:0098554;GO:0005794;GO:0033619;GO:0006508;GO:0010008;GO:0012505;GO:0016020	SIGNAL PEPTIDE PEPTIDASE-LIKE 5;Signal peptide peptidase-like 5 (AtSPPL5) (EC 3.4.23.-)
CARHR005360	1077	AT1G05830.1	AT1G05830.1	orthologue	GO:0006357;GO:0005634;GO:0042800;GO:0140946;GO:0006355;GO:0040029;GO:0048188;GO:0010228;GO:0000785;GO:0008270;GO:0032259;GO:0005515;GO:0018024	Histone-lysine N-methyltransferase ATX2 (EC 2.1.1.-) (Protein SET DOMAIN GROUP 30) (Trithorax-homolog protein 2) (TRX-homolog protein 2)
CARHR005370	490	AT1G05840.1	AT1G05840.1	orthologue	GO:0005886;GO:0016020;GO:0004190;GO:0006508	Eukaryotic aspartyl protease family protein
CARHR005380	127	AT1G05835.1	AT1G05835.1	orthologue	GO:0005575;GO:0001709;GO:0003674;	Uncharacterized protein At1g05835
CARHR005390	321	AT1G05850.1	AT1G05850.1	orthologue	GO:0016998;GO:0005794;GO:0009735;GO:0009825;GO:0009414;GO:0010053;GO:0030244;GO:0010167;GO:0043255;GO:0010337;GO:0005576;GO:0001708;GO:0006032;GO:0009809;GO:0009408;GO:0030247;GO:0009651;GO:0048046;GO:0009873;GO:0004568;GO:0005975	Chitinase-like protein 1 (AtCTL1) (Protein ANION ALTERED ROOT MORPHOLOGY) (Protein ECTOPIC DEPOSITION OF LIGNIN IN PITH 1) (Protein ECTOPIC ROOT HAIR 2) (Protein POM-POM1) (Protein SENSITIVE TO HOT TEMPERATURES 2)
CARHR005400	290	AT1G05860.1	AT1G05860.1	orthologue	GO:0009507;GO:0005634;GO:0003674;GO:0000123;GO:0005739;GO:0006325;GO:0044545	KAT8 regulatory NSL complex subunit 2 (NSL complex protein NSL2) (Non-specific lethal 2 homolog)
CARHR005410	200	AT1G05870.1	AT1G05870.1	orthologue	GO:0005634;GO:0003674	At1g05870 (T20M3.14 protein)
CARHR005420	513	AT1G05880.2	AT1G05880.2	orthologue	GO:0005634;GO:0071456;GO:0006511;GO:0031624;GO:0000151;GO:0005737;GO:0010224;GO:0061630;GO:0004842;GO:0016567;GO:0008270	Probable E3 ubiquitin-protein ligase ARI12 (EC 2.3.2.31) (ARIADNE-like protein ARI12) (Protein ariadne homolog 12) (RING-type E3 ubiquitin transferase ARI12);RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
CARHR005430	441	AT1G05894.1	AT1G05894.1	orthologue	GO:0008150;GO:0005634;GO:0003674	T20M3.17 protein
CARHR005440	553	AT1G05890.2	AT1G05890.2	other	GO:0008270;GO:0006511;GO:0061630;GO:0016567;GO:0005737;GO:0031624;GO:0004842;GO:0000151;GO:0005634;GO:0016020	Probable E3 ubiquitin-protein ligase ARI5 (EC 2.3.2.31) (ARIADNE-like protein ARI5) (Protein ariadne homolog 5) (RING-type E3 ubiquitin transferase ARI5);RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
CARHR005450	339	AT3G49610.1, AT5G38490.1, AT5G38500.1, AT3G24850.1, AT5G24050.1	AT5G38490.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005575;GO:0005515;GO:0003677	B3 domain-containing protein At5g24050;B3 domain-containing protein At5g38490;B3 domain-containing protein At5g38500;Putative B3 domain-containing protein At3g24850;Putative B3 domain-containing protein At3g49610
CARHR005460	381	AT1G05900.2	AT1G05900.2	orthologue	GO:0006289;GO:0042644;GO:0003906;GO:0000703;GO:0019104;GO:0006284;GO:0006285;GO:0005739;GO:0140078;GO:0005634;GO:0003677;GO:0046872;GO:0051539;GO:0006281;GO:0003824	Endonuclease III homolog 2, chloroplastic (AtNTH2) (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase 2) (DNA glycosylase/AP lyase 2)
CARHR005470	1218	AT1G05910.1	AT1G05910.1	orthologue	GO:0045815;GO:0006334;GO:0016887;GO:0003682;GO:0042393;GO:0005634;GO:0005515;GO:0006337;GO:0005524	ATPase family AAA domain-containing protein At1g05910
CARHR005480	627	AT1G05950.1	AT1G05950.1	orthologue	GO:0005634;GO:0003674	DRBM domain-containing protein;Uncharacterized protein
CARHR005490	980	AT1G05960.2	AT1G05960.2	orthologue	GO:0009555;GO:0005886;GO:0003674	ARM repeat superfamily protein
CARHR005500	200	AT1G05970.2	AT1G05970.2	orthologue	GO:0006325;GO:0005515;GO:0006396;GO:0060147;GO:1902290;GO:0005634;GO:0032991;GO:0040029;GO:0035064;GO:0003723;GO:0006952;GO:0003676	ASI1-immunoprecipitated protein 1 (Protein ENHANCED DOWNY MILDEW 3)
CARHR005510	159	AT1G05990.1	AT1G05990.1	orthologue	GO:0005737;GO:0005509;GO:0008150	Calmodulin-like protein 7
CARHR005520	435	AT1G06000.1	AT1G06000.1	orthologue	GO:0035251;GO:0016757;GO:0009507;GO:0051555;GO:0008194;GO:0005829;GO:0005576	Flavonol 7-O-rhamnosyltransferase (EC 2.4.1.-) (UDP-glycosyltransferase 89C1) (UDP-rhamnose: flavonol 7-O-rhamnosyltransferase)
CARHR005530	77	AT1G06010.1	AT1G06010.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0016020	Basic leucine zipper/W2 domain protein
CARHR005540	345	AT1G06020.1	AT1G06020.1	orthologue	GO:0019252;GO:0008865;GO:0006000;GO:0005737;GO:0005576;GO:0005829;GO:0005524;GO:0016301	Probable fructokinase-3 (EC 2.7.1.4)
CARHR005550	387	AT1G06030.1	AT1G06030.1	other	GO:0005829;GO:0009506;GO:0019252;GO:0005576;GO:0006000;GO:0008865;GO:0005737;GO:0005524;GO:0016301	Probable fructokinase-2 (EC 2.7.1.4)
CARHR005560	250	AT1G06040.1	AT1G06040.1	orthologue	GO:0008270;GO:0003712;GO:0009640;GO:0005634;GO:0010228;GO:0005515;GO:0006355;GO:0003700;GO:1902448;GO:0003677;GO:0009651;GO:0048573;GO:0009416;GO:0090351	B-box zinc finger family protein;B-box zinc finger protein 24 (Salt tolerance protein)
CARHR005570	317	AT1G06050.1	AT1G06050.1	orthologue	GO:0003674;GO:0005634	ENHANCED DISEASE RESISTANCE-like protein (DUF1336)
CARHR005580	213	AT1G06060.1	AT1G06060.1	orthologue	GO:0003674;GO:0005575;;GO:0005515	At1g06060 (LisH and RanBPM domains containing protein) (T21E18.11 protein);LisH and RanBPM domains containing protein
CARHR005590	413	AT1G06070.1	AT1G06070.1	orthologue	GO:0000976;GO:0006355;GO:0005634;GO:0003700	At1g06070 (AtbZIP transcription factor) (BZip transcription factor AtbZip69) (Basic-leucine zipper (BZIP) transcription factor family protein) (T21E18.12 protein)
CARHR005600	305	AT1G06080.1	AT1G06080.1	orthologue	GO:0005789;GO:0042761;GO:0006636;GO:0005739;GO:0016717;GO:0031969;GO:0046872;GO:0016020;GO:0006629;GO:0009979	Delta 9 desaturase 1;Delta-9 acyl-lipid desaturase 1 (EC 1.14.19.-)
CARHR005610	299	AT1G06120.1, AT1G06090.1	AT1G06090.1	orthologue	GO:0006636;GO:0042761;GO:0005739;GO:0005789;GO:0016717;GO:0009979;GO:0006629	Delta-9 desaturase-like 1 protein (EC 1.14.19.-);Delta-9 desaturase-like 3 protein (EC 1.14.19.-)
CARHR005620	433	AT1G06110.1	AT1G06110.1	orthologue	GO:0019005;GO:0005634;GO:0016567;GO:0005515	F-box protein SKIP16 (SKP1-interacting partner 16);SKP1/ASK-interacting protein 16
CARHR005630	325	AT1G06130.1	AT1G06130.1	orthologue	GO:0009507;GO:0004416;GO:0019243;GO:0046872	Probable hydroxyacylglutathione hydrolase 2, chloroplastic (EC 3.1.2.6) (Glyoxalase 2-4) (Glyoxalase II) (Glx II)
CARHR005640	69	AT1G06135.1	AT1G06135.1	orthologue	GO:0002221;GO:0005179;GO:0005102;GO:0005576;GO:0048018;GO:0048046;GO:0062207	Transmembrane protein
