Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013644617.1	190	AT3G27830.1, AT3G27840.1, AT3G27850.1	AT3G27830.1	other	GO:0009507;GO:0006412;GO:0003735;GO:0000311;GO:0003729;GO:0009535;GO:0009579;GO:0009570;GO:0005829;GO:0009941;GO:0042644;GO:0009506;GO:0005840	Large ribosomal subunit protein bL12cx (50S ribosomal protein L12-3, chloroplastic) (CL12-C);Large ribosomal subunit protein bL12cy (50S ribosomal protein L12-2, chloroplastic) (CL12-B);Large ribosomal subunit protein bL12cz (50S ribosomal protein L12-1, chloroplastic) (CL12-A)
XP_013644619.2	882	AT3G27700.1	AT3G27700.1	orthologue	GO:0005634;GO:0003729;GO:0003723;GO:0003677;GO:0008270;GO:0046872;GO:0003676	Zinc finger CCCH domain-containing protein 41 (AtC3H41)
XP_013644621.2	1844	AT3G27670.1	AT3G27670.1	orthologue	GO:0043447;GO:0010025;GO:0009507;GO:0048316;GO:0009793;GO:0010143;GO:0005515;GO:1900369;GO:0005737;GO:0005829;GO:0005886;GO:0006629;GO:0006723;GO:0006952;GO:0060147	Protein RST1 (Protein RESURRECTION 1)
XP_013644623.2	603	AT3G14720.1	AT3G14720.1	orthologue	GO:0005634;GO:0004707;GO:0005737;GO:0005739;GO:0005515;GO:0035556;GO:0007165;GO:0005524;GO:0106310;GO:0006468;GO:0004672	Mitogen-activated protein kinase 19 (AtMPK19) (MAP kinase 19) (EC 2.7.11.24);mitogen-activated protein kinase (EC 2.7.11.24)
XP_013644625.2	266	AT3G27690.2	AT3G27690.2	other	GO:0009416;GO:0009517;GO:0009535;GO:0009507;GO:0009769;GO:0042631;GO:0016168;GO:0010114;GO:0009409;GO:0009765;GO:0009269;GO:0009941;GO:0071215;GO:0009768;GO:0009645;GO:0005829;GO:0009644;GO:0009579;GO:1903428;GO:0009523;GO:0010218;GO:0090333;GO:0009522;GO:0003729;GO:0046872;GO:0016020	Chlorophyll a-b binding protein 2.4, chloroplastic (Photosystem II light harvesting complex gene 2.4) (Protein LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2.4);Chlorophyll a-b binding protein, chloroplastic
XP_013644628.2	419	AT5G66890.1, AT5G66900.2, AT5G66910.1	AT5G66900.2	other	GO:0005829;GO:0012505;GO:0050832;GO:0043531;GO:0005634;GO:0098542;GO:0005575;GO:0005515;GO:0005524;GO:0006952	Disease resistance protein (CC-NBS-LRR class) family;Probable disease resistance protein At5g66890;Probable disease resistance protein At5g66900;Probable disease resistance protein At5g66910
XP_013644631.2	361	AT3G27570.1	AT3G27570.1	orthologue	GO:0005737;GO:0005829;GO:0003674;GO:0016020	AT3g27570/MMJ24_12 (Sucrase/ferredoxin-like family protein);Sucrase/ferredoxin-like family protein
XP_013644636.2	389	AT3G27540.1	AT3G27540.1	orthologue	GO:0006487;GO:0006044;GO:0005794;GO:0003830;GO:0016757;GO:0016020	Beta-1,4-N-acetylglucosaminyltransferase family protein (Glycosyltransferase)
XP_013644639.2	518	AT4G27710.1	AT4G27710.1	orthologue	GO:0016705;GO:0009651;GO:0004497;GO:0009737;GO:0005506;GO:0005739;GO:0020037;GO:0005576;GO:0016020	Cytochrome P450 709B3 (EC 1.14.-.-);Cytochrome P450, family 709, subfamily B, polypeptide 3
XP_013644640.3	272	AT3G27460.4	AT3G27460.4	orthologue	GO:0005634;GO:0035064;GO:0000124;GO:0009651;GO:0006325	SAGA-associated factor 29 homolog A (AtSGF29a) (29 kDa SAGA-associated factor homolog A);SGF29 tudor-like domain-containing protein
XP_013644643.1	328	AT2G46290.1, AT2G46280.1, AT5G57650.1	AT2G46290.1	orthologue	GO:0002183;GO:0009506;GO:0003723;GO:0080008;GO:0071541;GO:0003743;GO:0005634;GO:0003674;GO:0005575;GO:0005737;GO:0005515;GO:0001732;GO:0016282;GO:0033290;GO:0005852	Eukaryotic translation initiation factor 3 subunit I (eIF3i);Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36);Eukaryotic translation initiation factor-like protein;Serine-threonine kinase receptor-associated protein
XP_013644645.1	167	AT3G14760.1	AT3G14760.1	orthologue	GO:0003674;GO:0005575;GO:0016020	Transmembrane protein
XP_013644646.1	274	AT5G40580.1	AT5G40580.1	orthologue	GO:0004175;GO:0051603;GO:0043161;GO:0005829;GO:0004298;GO:0005634;GO:0005839;GO:0019774;GO:0009536;GO:0006511;GO:0000502;GO:0005737	Proteasome subunit beta type-7-B (EC 3.4.25.1) (20S proteasome beta subunit B-2) (Proteasome component FC) (Proteasome subunit beta type-2);proteasome endopeptidase complex (EC 3.4.25.1) (Proteasome subunit beta type-2)
XP_013644647.3	591	AT3G27390.1	AT3G27390.1	orthologue	GO:0003674;GO:0005575;GO:0016020	Uncharacterized membrane protein At3g27390
XP_013644648.3	279	AT3G27380.1	AT3G27380.1	orthologue	GO:0045273;GO:0005739;GO:0006121;GO:0008270;GO:0006099;GO:0022904;GO:0009055;GO:0009060;GO:0005829;GO:0008177;GO:0000104;GO:0005743;GO:0051537;GO:0051538;GO:0051539;GO:0051536;GO:0016491	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)
XP_013644649.1	1441	AT4G36140.1, AT5G17890.1, AT5G45050.1, AT5G45260.1	AT4G36140.1	other	GO:0003700;GO:0005515;GO:0005634;GO:0042742;GO:0009626;GO:0005737;GO:0006355;GO:0043531;GO:0003677;GO:0007165;GO:0043565;GO:0042802;GO:0009409;GO:0043130;GO:0006952;GO:0016887;GO:0009507;GO:0002758;GO:0000325;GO:0000976;GO:0005524;GO:0016020;GO:0016787;GO:0046872	Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein RRS1 (Disease resistance protein RCH2) (Disease resistance protein SLH1) (Probable WRKY transcription factor 52) (Protein RPS4-homolog) (Protein SENSITIVE TO LOW HUMIDITY 1) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein) (WRKY DNA-binding protein 52);Disease resistance protein RRS1 (Disease resistance protein RCH2) (Probable WRKY transcription factor 52) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein);Disease resistance protein RRS1B (Probable WRKY transcription factor 16) (WRKY DNA-binding protein 16);Protein DA1-related 4 (Protein CHILLING SENSITIVE 3)
XP_013644650.2	249	AT3G27350.2	AT3G27350.2	orthologue	GO:0005634;GO:0003674	Transcriptional regulator ATRX-like protein
XP_013644651.2	564	AT3G27330.1	AT3G27330.1	other	GO:0070085;GO:0005737;GO:0016757;GO:0008270;GO:0016020	Zinc finger (C3HC4-type RING finger) family protein
XP_013644652.2	564	AT3G27330.1	AT3G27330.1	other	GO:0070085;GO:0005737;GO:0016757;GO:0008270;GO:0016020	Zinc finger (C3HC4-type RING finger) family protein
XP_013644653.2	1094	AT3G27325.2	AT3G27325.2	orthologue	GO:0015031;GO:0006505;GO:0005739;GO:0005783;GO:0016788;GO:0050185;GO:0000325;GO:0005789	GPI inositol-deacylase (EC 3.1.-.-)
XP_013644657.3	699				GO:0046983;GO:0003677	
XP_013644660.1	257	AT3G27310.1	AT3G27310.1	orthologue	GO:0032984;GO:0035265;GO:0051117;GO:0005634;GO:0005737;GO:0005515	Plant UBX domain-containing protein 1 (PUX1) (CDC48-interacting UBX-domain protein 1)
XP_013644663.2	720	AT3G27260.3	AT3G27260.3	orthologue	GO:0005634;GO:0003674;GO:0009507;GO:0005515	Global transcription factor group E8;Transcription factor GTE8 (Bromodomain-containing protein GTE8) (Protein GLOBAL TRANSCRIPTION FACTOR GROUP E8)
XP_013644664.1	1023	AT1G29720.1	AT1G29720.1	other	GO:0004672;GO:0005886;GO:0004674;GO:0016310;GO:0045088;GO:0005524;GO:0106310;GO:0006468;GO:0005515	Probable LRR receptor-like serine/threonine-protein kinase At1g29720 (EC 2.7.11.1)
XP_013644667.2	281	AT3G27250.1	AT3G27250.1	orthologue	GO:0005634;GO:2000143;GO:0003674	At3g27250
XP_013644668.2	307	AT3G27240.1	AT3G27240.1	orthologue	GO:0000325;GO:0020037;GO:0005739;GO:0005773;GO:0006122;GO:0045275;GO:0009055;GO:0005829;GO:0005743;GO:0046872;GO:0005750	Cytochrome c1 1, heme protein, mitochondrial (Complex III subunit 4-1) (Complex III subunit IV-1) (Cytochrome b-c1 complex subunit 4-1) (Ubiquinol-cytochrome c reductase complex cytochrome c1 subunit 1) (Cytochrome c-1 1)
XP_013644669.2	424	AT3G27220.1	AT3G27220.1	orthologue	GO:0005794;GO:0005802;GO:0005737;GO:0005797;GO:0071456;GO:0009061;GO:0003674;GO:0005768;GO:0016020;GO:0005515	Kelch repeat-containing protein At3g27220
XP_013644675.1	483	AT3G27190.1	AT3G27190.1	orthologue	GO:0004849;GO:0044206;GO:0006207;GO:2001006;GO:0044211;GO:0009507;GO:0005737;GO:1901141;GO:2000904;GO:0005524;GO:0005525;GO:0016757;GO:0043771;GO:0016301	Uridine/cytidine kinase UKL1, chloroplastic (EC 2.7.1.48) (Uridine kinase-like protein 2) (Uridine/cytidine kinase 2)
XP_013644676.2	663	AT3G14790.2	AT3G14790.2	orthologue	GO:0010253;GO:0009506;GO:0010315;GO:0050377;GO:0009225;GO:0010280;GO:0009507;GO:0005829;GO:0008460;GO:0051555;GO:0016491;GO:0016853	Trifunctional UDP-glucose 4,6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM3 (Probable rhamnose biosynthetic enzyme 3) (AtRHM3) [Includes: UDP-glucose 4,6-dehydratase (EC 4.2.1.76); UDP-4-keto-6-deoxy-D-glucose 3,5-epimerase/UDP-4-keto-L-rhamnose 4-keto-reductase (EC 1.1.1.-) (EC 5.1.3.-)];UDP-glucose 4,6-dehydratase (EC 4.2.1.76)
XP_013644678.2	510	AT3G27180.1	AT3G27180.1	orthologue	GO:0006396;GO:0008173;GO:0009507;GO:0032259	At3g27180 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
XP_013644679.2	433	AT3G27150.1	AT3G27150.1	orthologue	GO:1901698;GO:0005634;GO:0005829;GO:0003674;GO:0005515	F-box/kelch-repeat protein At3g27150
XP_013644680.2	344	AT3G27110.1	AT3G27110.1	orthologue	GO:0071586;GO:0009535;GO:1900055;GO:0005515;GO:0004222;GO:0009507;GO:0010150;GO:0005789;GO:0006508;GO:0010287;GO:0031969;GO:0046872	Peptidase family M48 family protein;Plastoglobule-localized metallopeptidase 48, chloroplastic (EC 3.4.24.-)
XP_013644683.1	331	AT3G27060.1	AT3G27060.1	orthologue	GO:0006281;GO:0006260;GO:0051726;GO:0007275;GO:0005737;GO:0012501;GO:0004748;GO:0005634;GO:0009263;GO:0046872;GO:0016491	Ribonucleoside-diphosphate reductase small chain C (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase TSO2 subunit) (Ribonucleotide reductase small subunit C)
XP_013644686.2	1019	AT3G14840.2	AT3G14840.2	orthologue	GO:0005886;GO:0045088;GO:0006468;GO:0004674;GO:0004672;GO:0005515;GO:0044024;GO:0005576;GO:0009861;GO:0005829;GO:0009506;GO:0005524;GO:0106310	Probable leucine-rich repeat receptor-like serine/threonine-protein kinase At3g14840 (EC 2.7.11.1)
XP_013644690.1	69	AT3G27027.1	AT3G27027.1	other	GO:0008150;GO:0005575;GO:0003674;GO:0016020	GPI-anchored-like protein (DUF 3339)
XP_013644693.1	307	AT3G27010.1	AT3G27010.1	orthologue	GO:0003700;GO:0005515;GO:0009653;GO:0000976;GO:0043565;GO:1900056;GO:0005634;GO:0008361;GO:0003677;GO:0000987	Transcription factor TCP20
XP_013644695.2	171	AT3G26960.1	AT3G26960.1	orthologue	GO:0003674;GO:0005576	Pollen Ole e 1 allergen and extensin family protein
XP_013644696.2	352	AT3G14850.2	AT3G14850.2	orthologue	GO:0005794;GO:0009507;GO:0005576;GO:0016413;GO:0016020;GO:0016740	Protein trichome birefringence-like 41
XP_013644697.2	505	AT3G26990.1	AT3G26990.1	orthologue	GO:0031124;GO:0005634;GO:0000993	At3g26990 (ENTH/VHS family protein)
XP_013644698.2	127	AT3G26980.1	AT3G26980.1	orthologue	GO:0008150;GO:0003674;GO:0005886;GO:0005515	Membrane-anchored ubiquitin-fold protein 4 (AtMUB4) (Membrane-anchored ub-fold protein 4)
XP_013644699.1	550	AT3G26950.1	AT3G26950.1	orthologue	GO:0003674;GO:0005739;GO:0016020	At3g26950 (Transmembrane protein)
XP_013644700.2	439	AT3G26935.1	AT3G26935.1	orthologue	GO:0019706;GO:0005829;GO:0005794;GO:0006612;GO:0005783;GO:0005886;GO:0016409;GO:0018230	Probable protein S-acyltransferase 7 (EC 2.3.1.225) (Probable palmitoyltransferase At3g26935) (Zinc finger DHHC domain-containing protein At3g26935)
XP_013644701.2	397	AT3G26930.2, AT3G26920.1	AT3G26930.2	orthologue	GO:0005575;GO:0003674;GO:0008150;;GO:0005515	F-box/FBD/LRR-repeat protein At3g26920;F-box/LRR-repeat protein 15;FBD / Leucine Rich Repeat domains containing protein
XP_013644702.2	585	AT3G26910.3	AT3G26910.3	orthologue	GO:0003674;GO:0005634	AT3G26910 protein (Hydroxyproline-rich glycoprotein family protein);Hydroxyproline-rich glycoprotein family protein
XP_013644706.2	631	AT3G26890.1	AT3G26890.1	orthologue	GO:0009507;GO:0008150;GO:0003674	AT3G26890 protein (Meiosis chromosome segregation family protein)
XP_013644708.2	597	AT3G14920.1	AT3G14920.1	orthologue	GO:0000325;GO:0009507;GO:0003674	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein
XP_013644710.2	702	AT3G26840.1	AT3G26840.1	other	GO:0010866;GO:0090693;GO:0010287;GO:0009507;GO:0006995;GO:0033306;GO:0019432;GO:1904963;GO:0004144;GO:0005515;GO:0016020;GO:0008374	Phytyl ester synthase 2, chloroplastic (EC 2.3.1.-)
XP_013644713.2	496	AT3G26750.1	AT3G26750.1	orthologue	GO:0006513;GO:0000209;GO:0031624;GO:0005634;GO:0000151;GO:0043161;GO:0051865;GO:0005829;GO:0030332;GO:0061630	HECT-like ubiquitin-conjugating enzyme (E2)-binding protein
XP_013644715.2	1021	AT3G26720.1	AT3G26720.1	orthologue	GO:0099503;GO:0006013;GO:0009507;GO:0030246;GO:0005576;GO:0004559;GO:0005773;GO:0000325;GO:0046872;GO:0003824;GO:0005975	Alpha-mannosidase (EC 3.2.1.-);Alpha-mannosidase At3g26720 (EC 3.2.1.24)
XP_013644716.2	262	AT3G26710.1	AT3G26710.1	orthologue	GO:0009507;GO:0003674;GO:0005829;GO:0010190;GO:0009535	Protein COFACTOR ASSEMBLY OF COMPLEX C SUBUNIT B CCB1, chloroplastic
XP_013644717.2	377	AT3G26700.1	AT3G26700.1	orthologue	GO:0006468;GO:0005576;GO:0003674;GO:0004674;GO:0005524;GO:0005886;GO:0004672	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_013644719.2	758	AT3G14950.1	AT3G14950.1	orthologue	GO:0009555;GO:0005737;GO:0003674;GO:0005634;GO:0006950;GO:0005515	TPR repeat-containing thioredoxin TTL2 (Tetratricopeptide repeat thioredoxin-like 2)
XP_013644721.2	494	AT3G26680.1	AT3G26680.1	orthologue	GO:0006303;GO:0003684;GO:0036297;GO:0035312;GO:0005634;GO:0006281	DNA cross-link repair protein SNM1 (AtSNM1);DNA repair metallo-beta-lactamase family protein
XP_013644727.2	400	AT3G26650.1	AT3G26650.1	orthologue	GO:0048046;GO:0004365;GO:0009507;GO:0009535;GO:0009570;GO:0009416;GO:0047100;GO:0009409;GO:0006006;GO:0019253;GO:1901149;GO:0018119;GO:0005829;GO:0009941;GO:0010319;GO:0005515;GO:0009744;GO:0051287;GO:0003729;GO:0031969;GO:0042802;GO:0042803;GO:0050661;GO:0051289;GO:0097718;GO:0099080;GO:0016620	Glyceraldehyde-3-phosphate dehydrogenase GAPA1, chloroplastic (EC 1.2.1.13) (NADP-dependent glyceraldehydephosphate dehydrogenase A subunit 1)
XP_013644728.1	121	AT3G26620.1, AT3G26660.1	AT3G26620.1	orthologue	GO:0005515;GO:0001216;GO:0005634;GO:0008150	LOB domain-containing protein 23 (ASYMMETRIC LEAVES 2-like protein 14) (AS2-like protein 14);LOB domain-containing protein 24 (ASYMMETRIC LEAVES 2-like protein 13) (AS2-like protein 13)
XP_013644729.2	586	AT3G26570.1	AT3G26570.1	orthologue	GO:0009507;GO:0009941;GO:0035435;GO:0005315;GO:0009673;GO:0006817;GO:0005829;GO:0009706;GO:0015293;GO:0016020	Inorganic phosphate transporter 2-1, chloroplastic (H(+)/Pi cotransporter) (AtPht2;1)
XP_013644730.3	530	AT3G26590.1	AT3G26590.1	orthologue	GO:1990961;GO:0042910;GO:0005774;GO:0005773;GO:0005886;GO:0015297;GO:0000325;GO:0022857;GO:0016020;GO:0055085	MATE efflux family protein;Protein DETOXIFICATION 29 (AtDTX29) (Multidrug and toxic compound extrusion protein 29) (MATE protein 29)
XP_013644731.2	353	AT3G26580.1	AT3G26580.1	orthologue	GO:0009535;GO:0003674;GO:0005515	Orf03 protein (Tetratricopeptide repeat (TPR)-like superfamily protein)
XP_013644732.2	333	AT3G15000.1	AT3G15000.1	other	GO:0080156;GO:0009451;GO:0050897;GO:0005739;GO:0005829;GO:0005515;GO:0009507;GO:0046983;GO:0042803;GO:0003729;GO:0016554;GO:0006397	Multiple organellar RNA editing factor 8, chloroplastic/mitochondrial (RNA editing-interacting protein 1)
XP_013644733.2	1161	AT3G26560.1	AT3G26560.1	other	GO:0000398;GO:0005739;GO:0004386;GO:0003729;GO:0071013;GO:0003723;GO:0003724;GO:0005634;GO:0009506;GO:0005524;GO:0005681;GO:0016887;GO:0003676;GO:0000390;GO:0005622	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP22)
XP_013644734.1	253	AT3G26520.1	AT3G26520.1	orthologue	GO:0015250;GO:0009507;GO:0005829;GO:0005794;GO:0005783;GO:0000325;GO:0080170;GO:0005886;GO:0009705;GO:0043674;GO:1902074;GO:0006833;GO:0005773;GO:0003729;GO:0005774;GO:0016020;GO:0015267;GO:0055085	Aquaporin TIP1-2 (Gamma-tonoplast intrinsic protein 2) (Gamma-TIP2) (Salt stress-induced tonoplast intrinsic protein) (Tonoplast intrinsic protein 1-2) (AtTIP1;2)
XP_013644740.2	543	AT3G26400.1	AT3G26400.1	orthologue	GO:0003743;GO:0008150;GO:0003729;GO:0005634;GO:0042803;GO:0005829	Eukaryotic translation initiation factor 4B1 (AtTif4B1) (eIF4B1)
XP_013644741.2	474	AT3G26410.1	AT3G26410.1	orthologue	GO:0080180;GO:0160102;GO:0006400;GO:0008168;GO:0005737;GO:0000049;GO:0032259;GO:0003676;GO:0004809	tRNA (guanine(10)-N(2))-methyltransferase (EC 2.1.1.214)
XP_013644743.1	239	AT3G26420.1	AT3G26420.1	orthologue	GO:0003729;GO:0005737;GO:0009631;GO:0005634;GO:0009409;GO:0000166;GO:0008270;GO:0005829;GO:0003677;GO:0003676;GO:0003723	Glycine-rich RNA-binding protein RZ1A (AtRZ-1a)
XP_013644744.2	554	AT3G26370.1	AT3G26370.1	orthologue	GO:0005797;GO:0005802;GO:0052325;GO:0005768;GO:0016757;GO:0005794;GO:0000139;GO:0006004;GO:0016020	O-fucosyltransferase family protein;Protein PECTIC ARABINOGALACTAN SYNTHESIS-RELATED (EC 2.4.1.-) (O-fucosyltransferase 26) (O-FucT-26) (O-fucosyltransferase family protein)
XP_013644745.1	100	AT3G26360.1	AT3G26360.1	orthologue	GO:0005739;GO:0003735;GO:0006412;GO:0005840;GO:1990904	Ribosomal protein S21 family protein
XP_013644749.2	500	AT3G26290.2, AT3G26300.1, AT3G26310.1, AT5G57260.1, AT2G02580.1, AT3G26330.1, AT3G26320.1	AT3G26300.1	other	GO:0005506;GO:0016705;GO:0020037;GO:0016709;GO:0016020;GO:0008150;GO:0009507;GO:0004497	Cytochrome P450 71B10 (EC 1.14.-.-);Cytochrome P450 71B26 (EC 1.14.-.-);Cytochrome P450 71B34 (EC 1.14.-.-);Cytochrome P450 71B35 (EC 1.14.-.-);Cytochrome P450 71B36 (EC 1.14.-.-);Cytochrome P450 71B37 (EC 1.14.-.-);Cytochrome P450 71B9 (EC 1.14.-.-);Cytochrome P450, family 71, subfamily B, polypeptide 26
XP_013644750.2	75	AT2G32890.1	AT2G32890.1	orthologue	GO:0005576;GO:0007267;GO:0019722;GO:0005179;GO:0048046	Protein RALF-like 17
XP_013644751.2	497	AT3G26290.2, AT3G26300.1, AT3G26310.1, AT5G57260.1, AT2G02580.1, AT3G26330.1, AT3G26320.1	AT3G26300.1	other	GO:0005506;GO:0016705;GO:0020037;GO:0016709;GO:0016020;GO:0008150;GO:0009507;GO:0004497	Cytochrome P450 71B10 (EC 1.14.-.-);Cytochrome P450 71B26 (EC 1.14.-.-);Cytochrome P450 71B34 (EC 1.14.-.-);Cytochrome P450 71B35 (EC 1.14.-.-);Cytochrome P450 71B36 (EC 1.14.-.-);Cytochrome P450 71B37 (EC 1.14.-.-);Cytochrome P450 71B9 (EC 1.14.-.-);Cytochrome P450, family 71, subfamily B, polypeptide 26
XP_013644752.1	519	AT3G26230.1, AT3G26220.1	AT3G26220.1	orthologue	GO:0009507;GO:0005506;GO:0016705;GO:0020037;GO:0004497;GO:0016020	Cytochrome P450 71B24 (EC 1.14.-.-);Cytochrome P450 71B3 (EC 1.14.-.-)
XP_013644753.1	150	AT3G11510.1, AT2G36160.1, AT3G52580.1	AT3G11510.1	orthologue	GO:0003729;GO:0005737;GO:0009506;GO:0006412;GO:0022627;GO:0005515;GO:0022626;GO:0005783;GO:0003735;GO:0000028;GO:0000325;GO:0005829;GO:0005730;GO:0005840;GO:1990904	Small ribosomal subunit protein uS11x (40S ribosomal protein S14-3);Small ribosomal subunit protein uS11y (40S ribosomal protein S14-2);Small ribosomal subunit protein uS11z (40S ribosomal protein S14-1)
XP_013644754.1	264	AT3G15050.1	AT3G15050.1	orthologue	GO:0003674;GO:0005575;GO:0005516;GO:0005634;GO:0005737;GO:0005856;GO:0005515	Protein IQ-DOMAIN 10 (AtIQD10)
XP_013644755.3	207	AT3G11520.1	AT3G11520.1	other	GO:0005515;GO:0005634;GO:0016538;GO:0044772;GO:0000307;GO:0000082;GO:0005815;GO:0005737;GO:0010332;GO:0016020;GO:0051301	CYCLIN B13;Cyclin-B1-3 (Cyc2-At) (G2/mitotic-specific cyclin-B1-3) (CycB1;3)
XP_013644756.1	138	AT3G11530.1	AT3G11530.1	other	GO:0005768;GO:0003674;GO:0032511;GO:0000325;GO:0016020	Vacuolar protein sorting 55 (VPS55) family protein
XP_013644758.2	900	AT3G11540.1	AT3G11540.1	orthologue	GO:0046922;GO:0005634;GO:0016757;GO:0005515;GO:0036066;GO:0016262;GO:0006486;GO:0005737;GO:0097363;GO:0009938;GO:0009740;GO:0009736;GO:2000377;GO:0009908;GO:0030154;GO:0048511	Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SPINDLY (EC 2.4.1.255) (GDP-fucose protein O-fucosyltransferase SPINDLY) (EC 2.4.1.221);protein O-GlcNAc transferase (EC 2.4.1.255)
XP_013644761.1	236	AT3G11580.3	AT3G11580.3	orthologue	GO:1990837;GO:0019760;GO:0043565;GO:0000976;GO:0005634;GO:0080113;GO:0003700;GO:0048507;GO:0003677;GO:0016020	AP2/B3-like transcriptional factor family protein;B3 domain-containing protein At3g11580 (Protein AUXIN RESPONSE FACTOR 32)
XP_013644762.1	610	AT3G11710.1	AT3G11710.1	orthologue	GO:0006430;GO:0005737;GO:0000049;GO:0005829;GO:0004824;GO:0009506;GO:0003677;GO:0005524;GO:0046872;GO:0000166;GO:0003676;GO:0004812;GO:0006418	Lysine--tRNA ligase, cytoplasmic (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS) (Lysyl-tRNA synthetase 1) (AtKRS-1)
XP_013644763.1	258	AT4G36130.1	AT4G36130.1	orthologue	GO:0022625;GO:0002181;GO:0005737;GO:0022626;GO:0003729;GO:0006412;GO:0005886;GO:0003735;GO:0003723;GO:0005773;GO:0015934;GO:0005840	Large ribosomal subunit protein uL2x (60S ribosomal protein L8-3)
XP_013644764.1	517	AT3G11720.3	AT3G11720.3	orthologue	GO:0005576;GO:0008150;GO:0003674	At3g11720 (F26K24.1 protein) (Polyketide cyclase/dehydrase and lipid transport superfamily protein);Polyketide cyclase/dehydrase and lipid transport superfamily protein
XP_013644767.2	274	AT3G15040.1	AT3G15040.1	orthologue	GO:0009737;GO:0003674;GO:0005634;GO:0005737;GO:0010150;GO:0009751	Protein S40-7 (AtS40-7)
XP_013644769.2	262	AT3G11630.1	AT3G11630.1	orthologue	GO:0008379;GO:0009507;GO:0045454;GO:0140824;GO:0009570;GO:1901149;GO:0010319;GO:0006979;GO:0009579;GO:0042744;GO:0005515;GO:0048046;GO:0009941;GO:0005829;GO:0051920;GO:0009409;GO:0004601;GO:0016209;GO:0016491;GO:0033554	2-Cys peroxiredoxin BAS1, chloroplastic (2-Cys Prx A) (2-Cys peroxiredoxin A) (EC 1.11.1.24) (Thiol-specific antioxidant protein A) (Thioredoxin-dependent peroxiredoxin BAS1)
XP_013644770.1	206	AT3G11730.1	AT3G11730.1	orthologue	GO:0006886;GO:0000139;GO:0012505;GO:0032588;GO:0030742;GO:0005886;GO:0005515;GO:0003924;GO:0006888;GO:0080115;GO:0005525;GO:0015031	Ras-related protein RABD1 (AtRABD1) (Ras-related protein ATFP8)
XP_013644774.2	192	AT3G11780.2	AT3G11780.2	orthologue	GO:0032934;GO:0099503;GO:0032366;GO:0005576;GO:0000325;GO:0015918	F26K24.7 protein (MD-2-related lipid recognition domain-containing protein / ML domain-containing protein);MD-2-related lipid recognition domain-containing protein / ML domain-containing protein
XP_013644775.1	218	AT3G15060.1	AT3G15060.1	other	GO:0016192;GO:0042546;GO:0005525;GO:0005768;GO:0003924;GO:0005886;GO:0015031	Ras-related protein RABA1g (AtRABA1g)
XP_013644776.1	334	AT3G11820.1	AT3G11820.1	orthologue	GO:0006906;GO:0005484;GO:0009620;GO:0031201;GO:0005829;GO:0005886;GO:0006887;GO:0061025;GO:0005515;GO:0009863;GO:0010363;GO:0006952;GO:0006886;GO:0009867;GO:0072659;GO:0010119;GO:0000149;GO:0016192;GO:0043069;GO:0048278;GO:0009737;GO:0032940;GO:0031348;GO:0050832;GO:0043495;GO:0009504;GO:0005802;GO:0051245;GO:0009506;GO:0072660;GO:0006612;GO:0012505;GO:0010148;GO:0016020	Syntaxin-121 (AtSYP121) (Protein SYNTAXIN OF PLANTS 121) (Syntaxin-related protein At-Syr1)
XP_013644778.1	245	AT3G11800.1	AT3G11800.1	orthologue	GO:0005576;GO:0005829;GO:0017183;GO:0046872	Expp1 protein
XP_013644779.1	822	AT1G64530.1	AT1G64530.1	orthologue	GO:0006355;GO:0000987;GO:0000976;GO:0003700;GO:0001216;GO:0005634;GO:0005515	Plant regulator RWP-RK family protein;Protein NLP6 (AtNLP6) (NIN-like protein 6) (Nodule inception protein-like protein 6)
