Cardamine_glauca	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Cg002G059280	927	AT3G47770.2	AT3G47770.2	orthologue	GO:0005524;GO:0005886;GO:0005319;GO:0140359;GO:0042626;GO:0016887;GO:0006869;GO:0043231;GO:0055085;GO:0022857;GO:0016020	ABC transporter A family member 6 (ABC transporter ABCA.6) (AtABCA6) (Putative ABC2 homolog 5);ABC2 homolog 5
Cg002G059290	946	AT3G47750.1	AT3G47750.1	orthologue	GO:0016887;GO:0005886;GO:0140359;GO:0055085;GO:0006869;GO:0005319;GO:0022857;GO:0042626;GO:0043231;GO:0005524;GO:0016020	ABC transporter A family member 4 (ABC transporter ABCA.4) (AtABCA4) (Putative ABC2 homolog 3)
Cg002G059300	938	AT3G47740.1	AT3G47740.1	orthologue	GO:0042626;GO:0005319;GO:0022857;GO:0043231;GO:0006869;GO:0055085;GO:0016887;GO:0140359;GO:0005524;GO:0016020	ABC transporter A family member 3 (ABC transporter ABCA.3) (AtABCA3) (ABC2 homolog 2)
Cg002G059310	989	AT3G47730.1	AT3G47730.1	orthologue	GO:0043231;GO:0006869;GO:0055085;GO:0016887;GO:0022857;GO:0005319;GO:0042626;GO:0140359;GO:0005524;GO:0016020	ABC transporter A family member 2 (ABC transporter ABCA.2) (AtABCA2) (ABC2 homolog 1)
Cg002G059330	93	AT3G47710.1	AT3G47710.1	orthologue	GO:0005515;GO:0048510;GO:0006355;GO:0040008;GO:0009640;GO:0046983;GO:0005634;GO:0003700;GO:0009740	Transcription factor PRE4 (Basic helix-loop-helix protein 161) (AtbHLH161) (bHLH 161) (Protein BANQUO 3) (Protein PACLOBUTRAZOL RESISTANCE 4) (bHLH transcription factor bHLH161)
Cg002G059350	793	AT3G47700.1	AT3G47700.1	orthologue	GO:0070939;GO:0006888;GO:0060628;GO:0006623;GO:0006890;GO:0005783;GO:0009507;GO:0005515;GO:0005829;GO:0042406	RINT1-like protein MAG2 (Protein MAIGO 2)
Cg002G059360	274	AT3G47690.1	AT3G47690.1	orthologue	GO:0009652;GO:0005876;GO:0051225;GO:0005881;GO:0031110;GO:0008017;GO:0035372;GO:0005815;GO:0009524;GO:0005737;GO:0035371;GO:0001578;GO:0010005;GO:0051010;GO:0051233;GO:0009574;GO:0000922;GO:0051301;GO:0005515	Microtubule-associated protein RP/EB family member 1A (APC-binding protein EB1A) (End-binding protein 1A) (AtEB1A) (Protein ATEB1 homolog 2) (AtEB1H2)
Cg002G059370	236	AT3G47670.1	AT3G47670.1	orthologue	GO:0030599;GO:0004857;GO:0005794;GO:0009507;GO:0046910;GO:0016020;GO:0043086	pectinesterase (EC 3.1.1.11)
Cg002G059380	957	AT3G47660.4	AT3G47660.4	orthologue	GO:0003674;GO:0008150;GO:0005794;GO:0005576;GO:0005575;GO:0008270;GO:0016020;GO:0046872	Regulator of chromosome condensation (RCC1) family protein
Cg002G059390	135	AT3G47650.1	AT3G47650.1	orthologue	GO:0061077;GO:0009570;GO:0110102;GO:0044183;GO:0101031;GO:0005829;GO:0009507;GO:0005515;GO:0008270	Protein BUNDLE SHEATH DEFECTIVE 2, chloroplastic (AtBSD2)
Cg002G059400	242	AT3G47640.1	AT3G47640.1	orthologue	GO:0005515;GO:0010106;GO:0005634;GO:0003700;GO:0046983;GO:0006355;GO:0060586;GO:0003677	Transcription factor bHLH47 (Basic helix-loop-helix protein 47) (AtbHLH47) (bHLH 47) (Protein POPEYE) (Transcription factor EN 139) (bHLH transcription factor bHLH047)
Cg002G059410	332	AT3G47630.2	AT3G47630.2	orthologue	GO:0032049;GO:0005739;GO:0004605;GO:0016024;GO:0009507;GO:0005743	Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase)
Cg002G059420	503	AT3G47620.1	AT3G47620.1	orthologue	GO:0005634;GO:0005515;GO:0010029;GO:0000976;GO:0043565;GO:0031347;GO:0006355;GO:0045893;GO:0009739;GO:0009735;GO:0010229;GO:0003700;GO:0009737	Transcription factor TCP14 (AtTCP14)
Cg002G059430	401	AT3G47610.1	AT3G47610.1	orthologue	GO:0008270;GO:0180022;GO:0005634;GO:0045893;GO:0072344	Transcription regulator/ zinc ion binding protein
Cg002G059440	332	AT3G47600.1	AT3G47600.1	orthologue	GO:0005515;GO:0009733;GO:0006355;GO:0005634;GO:0009414;GO:0045893;GO:1904278;GO:0003700;GO:0043565;GO:0000976;GO:0003677	Myb domain protein 94;Transcription factor MYB94 (Myb-related protein 94) (AtMYB94)
Cg002G059450	1012	AT3G47570.1, AT3G47090.1, AT3G47580.1	AT3G47090.1	other	GO:0004672;GO:0005515;GO:0005886;GO:0009755;GO:0016310;GO:0016301;GO:0038023;GO:0009507;GO:0006468;GO:0004674;GO:0044024;GO:0005524;GO:0009617;GO:0106310	Probable LRR receptor-like serine/threonine-protein kinase At3g47570 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg002G059490	262	AT3G47590.1	AT3G47590.1	orthologue	GO:0005829;GO:0003674;GO:0008150	Alpha/beta-Hydrolases superfamily protein;Alpha/beta-Hydrolases superfamily protein (At3g47590)
Cg002G059530	1015	AT3G47570.1, AT3G47090.1, AT3G47580.1	AT3G47090.1	other	GO:0004672;GO:0005515;GO:0005886;GO:0009755;GO:0016310;GO:0016301;GO:0038023;GO:0009507;GO:0006468;GO:0004674;GO:0044024;GO:0005524;GO:0009617;GO:0106310	Probable LRR receptor-like serine/threonine-protein kinase At3g47570 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg002G059550	290	AT3G47550.3	AT3G47550.3	orthologue	GO:0005737;GO:0005634;GO:0016020;GO:0004842;GO:0008270;GO:0016567	At3g47550 (RING/FYVE/PHD zinc finger superfamily protein);RING/FYVE/PHD zinc finger superfamily protein
Cg002G059560	188	AT5G62440.1	AT5G62440.1	other	GO:0009507;GO:0009793;GO:0017126;GO:1901259;GO:0003674;GO:0051302;GO:0009658;GO:0005737;GO:0005634	Protein EMBRYO DEFECTIVE 514 (Protein DOMINO 1)
Cg002G059570	80					
Cg002G059580	589	AT3G47530.1	AT3G47530.1	orthologue	GO:0009451;GO:0005575;GO:0008270;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At3g47530
Cg002G059590	402	AT3G47520.1	AT3G47520.1	orthologue	GO:0005515;GO:0005829;GO:0009706;GO:0009570;GO:0009507;GO:0009793;GO:0042742;GO:0005737;GO:0016464;GO:0048046;GO:0005739;GO:0009941;GO:0006108;GO:0009532;GO:0009536;GO:0030060;GO:0009409;GO:0000325;GO:0045037;GO:0009658;GO:0062091;GO:0010319;GO:0006099;GO:0003824;GO:0016616;GO:0016615;GO:0016491	Malate dehydrogenase, chloroplastic (EC 1.1.1.37) (Chloroplastic malate dehydrogenase) (Chloroplastic MDH) (cpNAD-MDH) (Plastidic NAD-dependent malate dehydrogenase) (pNAD-MDH)
Cg002G059600	89	AT3G47510.1	AT3G47510.1	orthologue	GO:0003674;GO:0005576	Transmembrane protein
Cg002G059620	451	AT3G47500.1	AT3G47500.1	orthologue	GO:0005634;GO:0003677;GO:0006355;GO:0005515;GO:0003700;GO:0008270;GO:0009908	Cyclic dof factor 3 (Dof zinc finger protein DOF3.3) (AtDOF3.3) (H-protein promoter-binding factor 2a)
Cg002G059630	226	AT3G47490.4	AT3G47490.4	orthologue	GO:0003676;GO:0005829;GO:0005634;GO:0008270;GO:0004519	At3g47490 (HNH endonuclease);HNH endonuclease
Cg002G059640	187	AT3G47480.1	AT3G47480.1	orthologue	GO:0009507;GO:0005509;GO:0008150	Probable calcium-binding protein CML47 (Calmodulin-like protein 47)
Cg002G059650	252	AT3G47470.1	AT3G47470.1	orthologue	GO:0009534;GO:0009535;GO:0009416;GO:0009507;GO:0009768;GO:0009409;GO:0009941;GO:0009644;GO:0005829;GO:0003729;GO:0016168;GO:0009645;GO:0009579;GO:0009522;GO:0019904;GO:0046872;GO:0009765;GO:0016020	Chlorophyll a-b binding protein 4, chloroplastic (LHCI type III CAB-4)
Cg002G059660	1174	AT3G47460.2	AT3G47460.2	orthologue	GO:0005524;GO:0005694;GO:0000785;GO:0007076;GO:0000796;GO:0016887;GO:0000793;GO:0003682;GO:0022857;GO:0000280;GO:0030261;GO:0031981;GO:0051301;GO:0051321;GO:0098813;GO:0005634;GO:0005515;GO:0051276	Structural maintenance of chromosomes protein;Structural maintenance of chromosomes protein 2-2 (AtSMC2-2) (Chromosome-associated protein E-2) (AtCAP-E2)
Cg002G059670	558	AT3G47450.1	AT3G47450.1	orthologue	GO:0051246;GO:0010322;GO:0005739;GO:0009507;GO:0010193;GO:0006979;GO:0006809;GO:0003924;GO:0048366;GO:0009657;GO:0009651;GO:0010027;GO:0005525;GO:0016491	NO-associated protein 1, chloroplastic/mitochondrial (AtNOA1) (Dubious mitochondrial nitric oxide synthase 1) (AtNOS1) (EC 1.14.13.39) (GTPase NOA1) (Protein RESISTANT TO INHIBITION BY FOSMIDOMYCIN 1)
Cg002G059680	256	AT3G47440.1	AT3G47440.1	orthologue	GO:0005739;GO:0015204;GO:0048235;GO:0015250;GO:0006833;GO:0015840;GO:0016020;GO:0005576;GO:0090406;GO:0015267;GO:0055085	Probable aquaporin TIP5-1 (Tonoplast intrinsic protein 5-1) (AtTIP5;1)
Cg002G059690	227	AT3G47430.1	AT3G47430.1	orthologue	GO:0016559;GO:0005778;GO:0005777;GO:0042802;GO:0007031;GO:0005829;GO:0005515;GO:0044375	Peroxisomal membrane protein 11B (Peroxin-11B) (AtPEX11b)
Cg002G059720	521	AT3G47420.1	AT3G47420.1	orthologue	GO:0005575;GO:0055062;GO:0055085;GO:0022857;GO:0016020	Putative glycerol-3-phosphate transporter 1 (G-3-P transporter 1) (Glycerol-3-phosphate permease 1) (AtG3Pp1) (G-3-P permease 1) (Protein PHOSPHATE STARVATION-INDUCED GENE 3) (AtPS3)
Cg002G059730	217	AT3G47410.1	AT3G47410.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0016020	Hypthetical protein
Cg002G059740	585	AT3G47400.1	AT3G47400.1	orthologue	GO:0045490;GO:0046910;GO:0042545;GO:0030599;GO:0004857;GO:0005576	Probable pectinesterase/pectinesterase inhibitor 33 [Includes: Pectinesterase inhibitor 33 (Pectin methylesterase inhibitor 33); Pectinesterase 33 (PE 33) (EC 3.1.1.11) (Pectin methylesterase 33) (AtPME33)]
Cg002G059750	597	AT3G47390.1	AT3G47390.1	orthologue	GO:0009507;GO:0008703;GO:0009644;GO:0046443;GO:0008835;GO:0050661;GO:0009231;GO:0016799;GO:1901135;GO:0009658;GO:0003824	Riboflavin biosynthesis protein PYRR, chloroplastic (EC 1.1.1.193);Riboflavin biosynthesis protein PYRR, chloroplastic [Includes: Inactive diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase); Riboflavin biosynthesis intermediates N-glycosidase (EC 3.2.2.-)]
Cg002G059760	200	AT3G47380.1	AT3G47380.1	orthologue	GO:0046910;GO:0009505;GO:0009827;GO:0048046;GO:0071669;GO:0005576;GO:0004857;GO:0043086	Pectinesterase inhibitor 11 (Pectin methylesterase inhibitor 11) (AtPMEI11)
Cg002G059770	122	AT3G47370.1	AT3G47370.1	other	GO:0005730;GO:0003735;GO:0022626;GO:0003729;GO:0009505;GO:0022627;GO:0006412;GO:0005829;GO:0009507;GO:0009506;GO:0005840;GO:0003723;GO:0015935	Small ribosomal subunit protein uS10y (40S ribosomal protein S20-2)
Cg002G059780	245	AT3G47360.1, AT3G47350.2	AT3G47360.1	orthologue	GO:0009507;GO:0008150;GO:0016491;GO:0005829;GO:0006694;GO:0016020	11-beta-hydroxysteroid dehydrogenase-like 2 (EC 1.1.1.-) (17-beta-hydroxysteroid dehydrogenase-like 2) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 2) (AtHSD2);11-beta-hydroxysteroid dehydrogenase-like 3 (EC 1.1.1.-) (17-beta-hydroxysteroid dehydrogenase-like 3) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 3) (AtHSD3);Hydroxysteroid dehydrogenase 2
Cg002G059800	585	AT3G47340.1	AT3G47340.1	orthologue	GO:0005737;GO:0006529;GO:0004066;GO:0070981;GO:0009646;GO:0009744;GO:0009063;GO:0005829;GO:0009750;GO:0043617;GO:0009749;GO:0005524;GO:0006950	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4);Asparagine synthetase [glutamine-hydrolyzing] 1 (EC 6.3.5.4) (Glutamine-dependent asparagine synthetase 1) (Protein DARK INDUCIBLE 6);Glutamine-dependent asparagine synthase 1
Cg002G059810	71	AT3G47295.1	AT3G47295.1	orthologue	GO:0003674;GO:0005739;GO:0005576;GO:0008083	Protein PSY2 [Cleaved into: Tyrosine-sulfated glycopeptide 2]
Cg002G059820	337	AT3G47190.1	AT3G47190.1	orthologue	GO:0045487;GO:0045543;GO:0005737;GO:0046872	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Cg002G059830	214	AT3G47180.1	AT3G47180.1	orthologue	GO:0005634;GO:0016567;GO:0031624;GO:0004842;GO:0046621;GO:0008270	At3g47180 (RING/U-box superfamily protein) (Zinc-finger-like protein)
Cg002G059840	245	AT3G47160.2	AT3G47160.2	orthologue	GO:0005634;GO:0061630;GO:0016567;GO:0005829;GO:0008270	At3g47160 (RING/U-box superfamily protein) (RNA binding-like protein) (RNA-binding protein-like protein);RING/U-box superfamily protein
Cg002G059850	409	AT3G47130.1, AT3G47150.1, AT3G47140.1	AT3G47130.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;;GO:0005515	F-box associated ubiquitination effector family protein;Putative F-box protein At3g47150
Cg002G059880	657	AT4G01350.1, AT5G59920.1, AT4G01340.1, AT5G59940.1, AT5G59930.1	AT5G59920.1	other	GO:0003674;GO:0005576;GO:0005634;GO:0008150;GO:0005575;GO:0010224;GO:0019992;GO:0005737;GO:0009411;GO:0020037;GO:0008270;GO:0046872	CHP-rich zinc finger protein-like protein;Cysteine/Histidine-rich C1 domain family protein;Cysteine/Histidine-rich C1 domain family protein (Ta11-like non-LTR retroelement protein-like);Cysteine/Histidine-rich C1 domain family protein (ULI3)
Cg002G059890	311	AT3G47120.1	AT3G47120.1	orthologue	GO:0005686;GO:0000976;GO:0000398;GO:0016607;GO:0005737;GO:0005634;GO:0005515;GO:0071011;GO:0003723;GO:0008270;GO:0003677;GO:0005654;GO:0003676;GO:0071013;GO:0046872	RNA recognition motif (RRM)-containing protein;Zinc finger CCCH domain-containing protein 42 (AtC3H42)
Cg002G059900	1027	AT3G47090.1, AT3G47580.1	AT3G47090.1	orthologue	GO:0004672;GO:0005515;GO:0005886;GO:0009755;GO:0016310;GO:0016301;GO:0038023;GO:0009507;GO:0004674;GO:0005524;GO:0009617;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg002G059930	1012	AT3G47090.1	AT3G47090.1	other	GO:0004672;GO:0005886;GO:0009507;GO:0016301;GO:0004674;GO:0005524;GO:0009617;GO:0005515;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg002G059940	528	AT3G47080.1	AT3G47080.1	orthologue	GO:0005634;GO:0003674;;GO:0005515	Tetratricopeptide repeat (TPR)-like superfamily protein
Cg002G059950	102	AT3G47070.1	AT3G47070.1	orthologue	GO:0009535;GO:0009534;GO:0009941;GO:0009579;GO:0009507;GO:0005829;GO:0003674	Thylakoid soluble phosphoprotein
Cg002G059960	813	AT3G47060.1	AT3G47060.1	orthologue	GO:0009941;GO:0016887;GO:0009535;GO:0004176;GO:0004222;GO:0008270;GO:0009507;GO:0006508;GO:0005524;GO:0016020	ATP-dependent zinc metalloprotease FTSH 7, chloroplastic (AtFTSH7) (EC 3.4.24.-)
Cg002G059970	614	AT3G47040.2	AT3G47040.2	orthologue	GO:0005634;GO:0009251;GO:0005975;GO:0008422;GO:0005737;GO:0004553	Beta-D-glucan exohydrolase-like protein (Glycosyl hydrolase family protein);Glycosyl hydrolase family protein
Cg002G059980	70	AT1G33710.1, AT1G50080.1, AT1G60720.1, AT2G19146.1, AT3G25720.1, AT4G10613.1	AT3G47090.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0005575;GO:0005634;GO:0003964	RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;Reverse transcriptase-like protein;Ribonuclease
Cg002G059990	390	AT3G47020.1, AT3G47030.1	AT3G47030.1	orthologue	GO:0005739;GO:0003674;GO:0016567;GO:0009408;GO:0061630;GO:0043161;GO:0010286;GO:0010494;GO:0005634;GO:0005515;GO:0070921;GO:2000028	E3 ubiquitin-protein ligase SGIP1 (EC 2.3.2.27) (SGS3-INTERACTING PROTEIN 1);F-box protein At3g47030
Cg002G060000	610	AT3G47010.1	AT3G47010.1	orthologue	GO:0009251;GO:0005737;GO:0005975;GO:0008422;GO:0009507;GO:0004553	Beta-D-glucan exohydrolase-like protein (Glycosyl hydrolase family protein);Glycosyl hydrolase family protein
Cg002G060010	608	AT3G47000.1	AT3G47000.1	orthologue	GO:0005829;GO:0008422;GO:0009251;GO:0009507;GO:0005886;GO:0005975;GO:0004553	At3g47000 (Beta-D-glucan exohydrolase-like protein) (Glycosyl hydrolase family protein);Glycosyl hydrolase family protein
Cg002G060020	551	AT3G46990.1	AT3G46990.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0042659;GO:2000037	DUF740 family protein, putative (DUF740) (Predicted protein)
Cg002G060040	513	AT1G64780.1	AT1G64780.1	orthologue	GO:0072488;GO:0009624;GO:0008519;GO:0005886;GO:0015843;GO:0097272;GO:0016020	Ammonium transporter 1 member 2 (AtAMT1;2)
Cg002G060050	529	AT3G46980.4	AT3G46980.4	orthologue	GO:0022857;GO:0055085;GO:0009507;GO:0005315;GO:0009536;GO:0008514;GO:0031969;GO:0016020	Phosphate transporter 43;Probable anion transporter 4, chloroplastic (Phosphate transporter PHT4;3)
Cg002G060060	842	AT3G46970.1	AT3G46970.1	orthologue	GO:0009507;GO:0016757;GO:0008184;GO:0005980;GO:0005829;GO:0030170;GO:0005737;GO:0004645;GO:0009414;GO:0005975	Alpha-glucan phosphorylase 2, cytosolic (AtPHS2) (EC 2.4.1.1) (Alpha-glucan phosphorylase, H isozyme) (Starch phosphorylase H)
Cg002G060070	1347	AT3G46960.1	AT3G46960.1	orthologue	GO:1904278;GO:0006401;GO:0006813;GO:0070478;GO:0003724;GO:0016441;GO:0055087;GO:0035864;GO:0005634;GO:0000292;GO:0005737;GO:0000325;GO:0003723;GO:0005524;GO:0016887;GO:0016787;GO:0003676	DExH-box ATP-dependent RNA helicase DExH11 (EC 3.6.4.13) (AtHELPS) (Protein SKI2 homolog) (AtSKI2);RNA helicase, ATP-dependent, SK12/DOB1 protein
Cg002G060080	451	AT3G46950.1	AT3G46950.1	orthologue	GO:0006355;GO:0003690;GO:0005739;GO:0003676;GO:0006353;GO:0009507;GO:0009658;GO:0043231	Mitochondrial transcription termination factor family protein
Cg002G060090	206	AT3G46940.2	AT3G46940.2	orthologue	GO:0046081;GO:0006226;GO:0000287;GO:0005739;GO:0006281;GO:0004170;GO:0042802;GO:0046104;GO:0009507	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase);Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase) (dUTP-pyrophosphatase-like 1) (AtDUT1)
Cg002G060100	508	AT3G46930.2	AT3G46930.2	orthologue	GO:0006979;GO:0005634;GO:0004672;GO:0009651;GO:0009414;GO:0006970;GO:0004712;GO:0005737;GO:0006468;GO:0009737;GO:0007165;GO:0005524;GO:0004674	Protein kinase superfamily protein
Cg002G060110	514	AT3G59210.1	AT3G59210.1	other	GO:0005515;GO:0005575;	F-box/LRR-repeat protein At3g59210
Cg002G060120	687	AT5G45990.2, AT3G13210.1	AT5G45990.2	other	GO:0000245;GO:0071007;GO:0000398;GO:0071014;GO:0005634;GO:0003674;GO:0000974;GO:0009536;GO:0005681;GO:0071011;GO:0005515;GO:0006396	CRN (Crooked neck) protein (Crooked neck protein, putative / cell cycle protein);Crooked neck protein, putative / cell cycle protein
Cg002G060140	1143	AT3G46920.2	AT3G46920.2	orthologue	GO:0005634;GO:0004712;GO:0006468;GO:0005737;GO:0004672;GO:0007165;GO:0004674;GO:0005524;GO:0009734;GO:0010928;GO:0005515	Kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein
Cg002G060150	451	AT3G58960.1, AT3G58920.1, AT3G58980.1	AT3G58980.1	other	GO:0003674;GO:0005575;GO:0008150;;GO:0005515	F-box/LRR-repeat protein At3g58980;Putative F-box protein At3g58960;Putative F-box/LRR-repeat protein At3g58920
Cg002G060160	449	AT5G62700.1, AT5G62690.1	AT5G62700.1	other	GO:0009505;GO:0005737;GO:0003729;GO:0005200;GO:0007017;GO:0009506;GO:0003924;GO:0005794;GO:0005515;GO:0045298;GO:0000278;GO:0000226;GO:0005525;GO:0005886;GO:0005874;GO:0005730;GO:0046872	Tubulin beta-2 chain;Tubulin beta-3 chain
Cg002G060170	156	AT3G46900.1, AT2G26975.1	AT2G26975.1	orthologue	GO:0005375;GO:0005886;GO:0098705;GO:0015089;GO:0035434;GO:0000325;GO:0016020	Copper transporter 2 (AtCOPT2);Copper transporter 6 (AtCOPT6)
Cg002G060180	201	AT3G46890.1	AT3G46890.1	orthologue	GO:0003674;GO:0005575;GO:0016020	At3g46890 (Maternal effect embryo arrest protein)
Cg002G060190	117	AT3G46880.1	AT3G46880.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein;Uncharacterized protein T6H20.90
Cg002G060200	257	AT3G46870.2	AT3G46870.2	orthologue	GO:1990825;GO:0008150;GO:0008270;GO:0005739;GO:0003727;GO:0009507;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein;Protein THYLAKOID ASSEMBLY 8-like, chloroplastic (AtTHA8L)
Cg002G060210	738	AT3G46850.1, AT3G46840.1	AT3G46840.1	orthologue	GO:0005576;GO:0004252;GO:0008150;GO:0006508;GO:0008236	Subtilisin-like protease SBT4.5 (EC 3.4.21.-) (Subtilase subfamily 4 member 5) (AtSBT4.5);Subtilisin-like protease SBT4.6 (EC 3.4.21.-) (Subtilase subfamily 4 member 6) (AtSBT4.6)
Cg002G060220	217	AT3G46830.1	AT3G46830.1	orthologue	GO:0009506;GO:0005525;GO:0009504;GO:0005829;GO:0005768;GO:0005794;GO:0003924;GO:0010008;GO:0015031	Ras-related protein RABA2c (AtRABA2c) (Ras-related protein Rab11A) (AtRab11A)
Cg002G060230	304	AT3G46820.1	AT3G46820.1	orthologue	GO:0005737;GO:0005739;GO:0000164;GO:0004722;GO:0071215;GO:0017018;GO:0006470;GO:0005634;GO:0046872;GO:0016787	Serine/threonine-protein phosphatase PP1 isozyme 5 (EC 3.1.3.16) (Type one protein phosphatase 5)
Cg002G060250	657	AT3G46790.1	AT3G46790.1	orthologue	GO:0003723;GO:0031425;GO:0009451;GO:0031426;GO:0043231;GO:0008270;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein CRR2, chloroplastic (Plant combinatorial and modular protein H54) (AtPCMP-H54) (Protein CHLORORESPIRATORY REDUCTION 2)
Cg002G060260	555	AT3G46780.1	AT3G46780.1	orthologue	GO:0009535;GO:0009941;GO:0009534;GO:0098572;GO:0042644;GO:0007623;GO:0009507;GO:0005515;GO:0005829	Protein PLASTID TRANSCRIPTIONALLY ACTIVE 16, chloroplastic (pTAC16)
Cg002G060270	116					
Cg002G060280	625	AT5G59260.1, AT5G59270.2	AT5G59270.2	other	GO:0002229;GO:0042742;GO:0004675;GO:0004674;GO:0005886;GO:0005576;GO:0016310;GO:0016301;GO:0005524;GO:0030246;GO:0106310;GO:0004672;GO:0006468	Probable L-type lectin-domain containing receptor kinase II.1 (LecRK-II.1) (EC 2.7.11.1);Putative L-type lectin-domain containing receptor kinase II.2 (LecRK-II.2) (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg002G060290	712	AT5G59260.1, AT5G59270.2	AT5G59270.2	other	GO:0002229;GO:0042742;GO:0004675;GO:0004674;GO:0005886;GO:0005576;GO:0016310;GO:0016301;GO:0005524;GO:0030246;GO:0106310;GO:0004672;GO:0006468	Probable L-type lectin-domain containing receptor kinase II.1 (LecRK-II.1) (EC 2.7.11.1);Putative L-type lectin-domain containing receptor kinase II.2 (LecRK-II.2) (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg002G060300	274	AT3G46770.1	AT3G46770.1	orthologue	GO:0005634;GO:0003674;GO:0003677	B3 domain-containing protein REM22 (Protein REPRODUCTIVE MERISTEM 22)
Cg002G060320	329	AT3G46760.1	AT3G46760.1	orthologue	GO:0004674;GO:0005739;GO:0042742;GO:0016310;GO:0004675;GO:0002229;GO:0005886;GO:0005524;GO:0051707;GO:0106310;GO:0004672;GO:0006468	Receptor like protein kinase S.3 (LecRK-S.3) (EC 2.7.11.1)
Cg002G060330	389	AT3G46750.1	AT3G46750.1	orthologue	GO:0009737;GO:0003674;GO:0005634	Low-temperature-induced protein
Cg002G060350	820	AT3G46740.1	AT3G46740.1	orthologue	GO:0009707;GO:0009941;GO:0045036;GO:0045037;GO:0009507;GO:0010006;GO:0006886;GO:0009536;GO:0009658;GO:0015450;GO:0005829;GO:0061927;GO:0000325;GO:0048598;GO:0005515;GO:0016020;GO:0019867	Protein TOC75-3, chloroplastic (75 kDa translocon at the outer-envelope-membrane of chloroplasts 3) (AtTOC75-III)
Cg002G060360	443	AT3G46720.1	AT3G46720.1	orthologue	GO:0080044;GO:0080043;GO:0016757;GO:0005737;GO:0008194	UDP-glycosyltransferase 76E5 (EC 2.4.1.-)
Cg002G060370	848	AT3G46730.1	AT3G46730.1	orthologue	GO:0098542;GO:0043531;GO:0005575;GO:0005524;GO:0006952;GO:0051707	Putative disease resistance RPP13-like protein 3
Cg002G060380	454	AT3G46700.1	AT3G46700.1	orthologue	GO:0008194;GO:0080044;GO:0005737;GO:0080043;GO:0016757	UDP-glycosyltransferase 76E3 (EC 2.4.1.-)
Cg002G060390	105					
Cg002G060400	138	AT1G52603.1, AT5G33393.1, AT1G67235.1	AT1G67235.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0009507;GO:0008270;GO:0016020	GRF zinc finger protein;Transmembrane protein;Zinc finger GRF-type domain-containing protein
Cg002G060410	108					
Cg002G060420	980	AT1G31150.1	AT1G31150.1	other	GO:0005634;GO:0003700;GO:0006355;GO:0006508;GO:0008234	F28K20.8 protein (K-box region protein (DUF1985));K-box region protein (DUF1985)
Cg002G060450	456	AT3G46690.1	AT3G46690.1	orthologue	GO:0008194;GO:0016757;GO:0005737;GO:0080043;GO:0080044	UDP-glycosyltransferase 76E4 (EC 2.4.1.-)
Cg002G060460	453	AT3G46690.1	AT3G46690.1	orthologue	GO:0008194;GO:0016757;GO:0005737;GO:0080043;GO:0080044	UDP-glycosyltransferase 76E4 (EC 2.4.1.-)
Cg002G060480	448	AT3G46680.1	AT3G46680.1	orthologue	GO:0008150;GO:0005737;GO:0016757;GO:0080043;GO:0008194;GO:0080044	UDP-glycosyltransferase 76E6 (EC 2.4.1.-)
Cg002G060510	256	AT3G46680.1	AT3G46680.1	other	GO:0008150;GO:0005737;GO:0016757;GO:0080043;GO:0008194;GO:0080044	UDP-glycosyltransferase 76E6 (EC 2.4.1.-)
