Conringia_planisiliqua	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CP10_g43896_DN3_SP7_c.t1	288	AT4G35000.1	AT4G35000.1	other	GO:0009507;GO:0009941;GO:0042744;GO:0098869;GO:0005739;GO:0005515;GO:0005886;GO:0005777;GO:0005778;GO:0000302;GO:0006979;GO:0034599;GO:0009506;GO:0009536;GO:0020037;GO:0004601;GO:0005773;GO:0000325;GO:0016688;GO:0046861;GO:0046872	L-ascorbate peroxidase 3 (AtAPx03) (EC 1.11.1.11)
CP10_g43899_DN1_SP0_c.t1	131	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT5G43401.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964;GO:0003824	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
CP10_g43900_DN2_SP0_c.t1	367	AT3G42140.1	AT3G42140.1	orthologue	GO:0008150;GO:0003674;GO:0005575	Zinc ion binding / nucleic acid binding protein
CP10_g43901_DN3_SP3_c.t1	282	AT2G16720.1	AT2G16720.1	orthologue	GO:1900384;GO:0006355;GO:0000987;GO:0003700;GO:0005515;GO:0000976;GO:0005634	Transcription factor MYB7 (Myb-related protein 7) (AtMYB7) (Myb-related protein Y49) (AtY49)
CP10_g43902_DN1_SP0_c.t1	69	AT1G49150.1	AT1G49150.1	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0016020	Transmembrane protein
CP10_g43903_DN2_SP0_c.t1	124	AT1G49150.1	AT1G49150.1	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0016020	Transmembrane protein
CP10_g43904_DN3_SP8_c.t1	136	AT2G16710.3	AT2G16710.3	orthologue	GO:0016226;GO:0005739;GO:0005737;GO:0051537;GO:0097428;GO:0051536;GO:0046872	Iron-sulfur assembly protein IscA-like 1, mitochondrial;Iron-sulfur cluster biosynthesis family protein
CP10_g43905_DN3_SP0_c.t1	104	AT4G03728.1	AT4G03728.1	orthologue	GO:0003674;GO:0008150;GO:0005575	Uncharacterized protein
CP10_g43906_DN3_SP0_c.t1	401	AT2G26620.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT4G13760.1, AT2G40310.1, AT1G43100.1, AT1G43090.1, AT1G43080.1	AT1G43080.1	orthologue	GO:0004650;GO:0005576;GO:0005975;GO:0016020;GO:0016829;GO:0071555	Glycoside hydrolase family 28 protein (Pectin lyase-like superfamily protein) (Polygalacturonase, putative);Hypothetical polygalacturonase (Pectin lyase-like superfamily protein) (Putative polygalacturonase);Pectin lyase-like superfamily protein;Pectin lyase-like superfamily protein (Polygalacturonase, putative);Pectin lyase-like superfamily protein (Putative polygalacturonase)
CP10_g43908_DN3_SP8_c.t1	143	AT2G16700.1	AT2G16700.1	orthologue	GO:0005737;GO:0009860;GO:0051015;GO:0030042;GO:0005829;GO:0015629;GO:0009846;GO:0051017;GO:0003779;GO:0016020	Actin depolymerizing factor 5;Actin-depolymerizing factor 5 (ADF-5) (AtADF5)
CP10_g43911_DN1_SP0_c.t1	122	AT2G20780.1	AT2G20780.1	other	GO:0009507;GO:0015144;GO:0022857;GO:0005351;GO:0055085;GO:0016020;GO:0015293	Major facilitator superfamily protein;Probable polyol transporter 4
CP10_g43912_DN3_SP8_c.t1	548	AT2G16660.1	AT2G16660.1	orthologue	GO:0009507;GO:0003674;GO:0016020	At2g16660/T24I21.7 (Major facilitator superfamily protein) (Nodulin-like protein) (Putative nodulin protein);Major facilitator superfamily protein
CP10_g43913_DN3_SP1_c.t1	536	AT2G16650.1	AT2G16650.1	orthologue	GO:0004526;GO:0009507;GO:0001682;GO:0043144;GO:0006397;GO:0005634;GO:0046872;GO:0005515	Proteinaceous RNase P 2 (EC 3.1.26.5);ribonuclease P (EC 3.1.26.5)
CP10_g43914_DN2_SP0_c.t1	1160	AT2G16640.1	AT2G16640.1	other	GO:0009507;GO:0045036;GO:0009707;GO:0009536;GO:0005515;GO:0004888;GO:0003924;GO:0005525;GO:0015031;GO:0046872;GO:0051087;GO:0051117	Translocase of chloroplast 132, chloroplastic (AtToc132) (EC 3.6.5.-) (132 kDa chloroplast outer envelope protein)
CP10_g43915_DN3_SP3_c.t1	384	AT2G16630.1	AT2G16630.1	orthologue	GO:0010374;GO:0003674;GO:0005576	At2g16630 (Pollen Ole e 1 allergen and extensin family protein)
CP10_g43916_DN3_SP0_c.t1	172	AT2G16600.1	AT2G16600.1	orthologue	GO:0009737;GO:0007165;GO:0010494;GO:0006457;GO:0005829;GO:0005737;GO:0003755;GO:0005739;GO:0009507;GO:0009414;GO:0005515;GO:0009506;GO:0005886;GO:0005794;GO:0016018;GO:0000413	Peptidyl-prolyl cis-trans isomerase CYP19-1 (PPIase CYP19-1) (EC 5.2.1.8) (Cyclophilin of 19 kDa 1) (Rotamase cyclophilin-3)
CP10_g43917_DN3_SP4_c.t1	253	AT2G16595.1	AT2G16595.1	orthologue	GO:0005783;GO:0003674;GO:0009507;GO:0008150;GO:0005789	Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha)
CP10_g43918_DN2_SP0_c.t1	108	AT4G34790.1	AT4G34790.1	orthologue	GO:0003674;GO:0005739;GO:0009733	At4g34790 (SAUR-like auxin-responsive protein family)
CP10_g43919_DN3_SP0_c.t1	108	AT2G16580.1	AT2G16580.1	orthologue	GO:0009733;GO:0009737;GO:0005739;GO:0003674;GO:0005886	Protein SMALL AUXIN UP-REGULATED RNA 8
CP10_g43921_DN3_SP0_c.t1	565	AT2G16570.1	AT2G16570.1	orthologue	GO:0009113;GO:0004044;GO:0009532;GO:0009536;GO:0006189;GO:0006164;GO:0009570;GO:0009505;GO:0009507;GO:0005737;GO:0046872;GO:0051536	Amidophosphoribosyltransferase 1, chloroplastic (AtATase1) (PRPP1) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase 1) (AtGPRAT1)
CP10_g43922_DN3_SP0_c.t1	335	AT1G72590.1, AT2G16530.3	AT2G16530.3	orthologue	GO:0019408;GO:0102389;GO:0006488;GO:0005783;GO:0016093;GO:0016229;GO:0003865;GO:0018279;GO:0005794;GO:0005739;GO:0005886;GO:0160198;GO:0005789;GO:0006487;GO:0006629;GO:0012505;GO:0016020;GO:0016627;GO:0016095;GO:0043048	3-oxo-5-alpha-steroid 4-dehydrogenase family protein;Polyprenal reductase 1 (EC 1.3.1.94);Polyprenal reductase 2 (EC 1.3.1.94)
CP10_g43923_DN3_SP0_c.t1	240	AT2G16530.3	AT2G16530.3	other	GO:0102389;GO:0005783;GO:0019408;GO:0006488;GO:0018279;GO:0005794;GO:0003865;GO:0005739;GO:0005789;GO:0006487;GO:0160198;GO:0006629;GO:0012505;GO:0016020;GO:0016095;GO:0016627;GO:0043048	3-oxo-5-alpha-steroid 4-dehydrogenase family protein;Polyprenal reductase 2 (EC 1.3.1.94)
CP10_g43928_DN3_SP0_c.t1	416	AT1G72590.1, AT2G16530.3	AT2G16530.3	orthologue	GO:0019408;GO:0102389;GO:0006488;GO:0005783;GO:0016093;GO:0016229;GO:0003865;GO:0018279;GO:0005794;GO:0005739;GO:0005886;GO:0160198;GO:0005789;GO:0006487;GO:0006629;GO:0012505;GO:0016020;GO:0016095;GO:0016627;GO:0043048	3-oxo-5-alpha-steroid 4-dehydrogenase family protein;Polyprenal reductase 1 (EC 1.3.1.94);Polyprenal reductase 2 (EC 1.3.1.94)
CP10_g43929_DN3_SP0_c.t1	506	AT4G02050.1	AT4G02050.1	other	GO:0005886;GO:0042900;GO:0090406;GO:0015144;GO:0042882;GO:0012505;GO:0015293;GO:0016020;GO:0022857;GO:0055085;GO:0015145;GO:0015749	Sugar transport protein 7 (Hexose transporter 7)
CP10_g43930_DN3_SP8_c.t1	164	AT2G16510.1, AT4G34720.1, AT4G38920.1	AT4G38920.1	other	GO:0000325;GO:0016887;GO:0009507;GO:0046961;GO:0005773;GO:0033179;GO:0016020;GO:0005886;GO:0005774;GO:1902600;GO:0015078;GO:0033177	V-type proton ATPase proteolipid subunit;V-type proton ATPase subunit c1 (V-ATPase subunit c1) (V-type proton ATPase 16 kDa proteolipid subunit c1) (V-ATPase 16 kDa proteolipid subunit c1) (Vacuolar H(+)-ATPase subunit c isoform 1) (Vacuolar proton pump 16 kDa proteolipid subunit c1) (Vacuolar proton pump subunit c1);V-type proton ATPase subunit c3 (V-ATPase subunit c3) (V-type proton ATPase 16 kDa proteolipid subunit c3) (V-ATPase 16 kDa proteolipid subunit c3) (Vacuolar H(+)-ATPase subunit c isoform 3) (Vacuolar proton pump 16 kDa proteolipid subunit c3) (Vacuolar proton pump subunit c3);V-type proton ATPase subunit c5 (V-ATPase subunit c5) (V-type proton ATPase 16 kDa proteolipid subunit c5) (V-ATPase 16 kDa proteolipid subunit c5) (Vacuolar H(+)-ATPase subunit c isoform 5) (Vacuolar proton pump 16 kDa proteolipid subunit c5) (Vacuolar proton pump subunit c5)
CP10_g43931_DN3_SP0_c.t1	703	AT2G16500.1	AT2G16500.1	orthologue	GO:0005515;GO:0009409;GO:0009507;GO:0006596;GO:0006527;GO:0009651;GO:0042803;GO:0008792;GO:0006979;GO:0005829;GO:0048316;GO:0008295;GO:0009446;GO:0003824	Arginine decarboxylase 1, chloroplastic (ADC 1) (ADC-O) (ARGDC 1) (AtADC1) (EC 4.1.1.19)
CP10_g43934_DN1_SP0_c.t1	130					
CP10_g43935_DN1_SP0_c.t1	120					
CP10_g43939_DN1_SP0_c.t1	130					
CP10_g43940_DN1_SP0_c.t1	79					
CP10_g43941_DN1_SP0_c.t1	56					
CP10_g43944_DN3_SP0_c.t1	1234	AT2G16485.1	AT2G16485.1	orthologue	GO:0005515;GO:0005737;GO:0005634;GO:1990269;GO:0042393;GO:0003677;GO:0016593;GO:0008270;GO:0080188	GW repeat-and PHD finger-containing protein NERD;Zinc finger CCCH domain-containing protein 19 (AtC3H19) (Protein Needed for RDR2-independent DNA methylation)
CP10_g43945_DN3_SP0_c.t1	672	AT2G16485.1	AT2G16485.1	other	GO:0005515;GO:0005737;GO:0005634;GO:1990269;GO:0042393;GO:0003677;GO:0016593;GO:0008270;GO:0080188;GO:0046872	GW repeat-and PHD finger-containing protein NERD;Zinc finger CCCH domain-containing protein 19 (AtC3H19) (Protein Needed for RDR2-independent DNA methylation)
CP10_g43946_DN2_SP0_c.t1	438	AT5G27570.1, AT5G26900.1, AT5G27080.1	AT5G27570.1	other	GO:0005634;GO:1905786;GO:0010997;GO:0016567;GO:0031145;GO:0097027;GO:0005680;GO:1990757;GO:0005515;GO:0080008;GO:0019900;GO:0051301;GO:0005737;GO:1904668	Cell division cycle 20.3, cofactor of APC complex (AtCDC20.3);Cell division cycle 20.4, cofactor of APC complex (AtCDC20.4);Cell division cycle 20.5, cofactor of APC complex (AtCDC20.5)
CP10_g43947_DN3_SP8_c.t1	230	AT2G16460.1	AT2G16460.1	orthologue	GO:0005739;GO:0000325;GO:0046872;GO:0009507;GO:0003674;GO:0016020	Coiled-coil 90B-like protein (DUF1640);Coiled-coil 90B-like protein (DUF1640) (Expressed protein)
CP10_g43948_DN3_SP0_c.t1	110	AT4G34630.1	AT4G34630.1	other	GO:0003674;GO:0005575	Prostatic spermine-binding-like protein
CP10_g43949_DN3_SP8_c.t1	837	AT2G16440.1	AT2G16440.1	orthologue	GO:0009507;GO:0006268;GO:0005515;GO:0005634;GO:0000785;GO:0042555;GO:0009555;GO:1902975;GO:0000347;GO:0000727;GO:0017116;GO:0003678;GO:0006271;GO:0003697;GO:0006270;GO:0009790;GO:0003677;GO:0005524;GO:0006260;GO:0008270;GO:0016887	DNA replication licensing factor MCM4 (EC 3.6.4.12) (Minichromosome maintenance protein 4) (AtMCM4)
CP10_g43950_DN3_SP6_c.t1	466	AT2G16430.2	AT2G16430.2	orthologue	GO:0009505;GO:0003993;GO:0009506;GO:0005576;GO:0016036;GO:0005737;GO:0046872;GO:0016787	Purple acid phosphatase 10 (EC 3.1.3.2)
CP10_g43951_DN3_SP3_c.t1	472	AT2G16430.2	AT2G16430.2	other	GO:0009505;GO:0003993;GO:0009506;GO:0005576;GO:0016036;GO:0005737;GO:0046872;GO:0016787	Purple acid phosphatase 10 (EC 3.1.3.2)
CP10_g43953_DN3_SP8_c.t1	492	AT2G16405.1	AT2G16405.1	orthologue	GO:0005634;GO:1990841;GO:0005515	At2g16405 (Transducin/WD40 repeat-like superfamily protein)
CP10_g43954_DN3_SP5_c.t1	501	AT2G16400.1	AT2G16400.1	orthologue	GO:0005515;GO:0000978;GO:0005634;GO:0000981;GO:0006357;GO:0006355;GO:0000976;GO:0003700;GO:0003677	BEL1-like homeodomain protein 7 (BEL1-like protein 7)
CP10_g43956_DN2_SP0_c.t1	85	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43957_DN2_SP0_c.t1	63	AT5G01700.2	AT5G01700.2	other	GO:1902531;GO:0017018;GO:0004722;GO:0005634;GO:0046872	Probable protein phosphatase 2C 65 (AtPP2C65) (EC 3.1.3.16)
CP10_g43958_DN3_SP0_c.t1	233	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43959_DN2_SP0_c.t1	97					
CP10_g43964_DN3_SP0_c.t1	85	AT2G16380.1	AT2G16380.1	other	GO:0070300;GO:0005794;GO:0005783;GO:0009507;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH7 (Protein SEC FOURTEEN HOMOLOGS 7) (AtSFH7);Sec14p-like phosphatidylinositol transfer family protein
CP10_g43965_DN2_SP0_c.t1	205					
CP10_g43966_DN1_SP0_c.t1	59					
CP10_g43968_DN2_SP0_c.t1	95	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43969_DN2_SP0_c.t1	95	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43970_DN2_SP0_c.t1	95	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43971_DN2_SP0_c.t1	95	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43972_DN2_SP0_c.t1	95	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43973_DN2_SP0_c.t1	94	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43974_DN3_SP0_c.t1	190	AT2G16380.1	AT2G16380.1	other	GO:0070300;GO:0005794;GO:0005783;GO:0009507;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH7 (Protein SEC FOURTEEN HOMOLOGS 7) (AtSFH7);Sec14p-like phosphatidylinositol transfer family protein
CP10_g43975_DN2_SP0_c.t1	86	AT1G36580.1	AT1G36580.1	orthologue	GO:0009062;GO:0005575;GO:0008670	Uncharacterized protein
CP10_g43976_DN3_SP0_c.t1	147	AT2G16380.1	AT2G16380.1	other	GO:0070300;GO:0005794;GO:0005783;GO:0009507;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH7 (Protein SEC FOURTEEN HOMOLOGS 7) (AtSFH7);Sec14p-like phosphatidylinositol transfer family protein
CP10_g43977_DN3_SP0_c.t1	553	AT2G16380.1	AT2G16380.1	orthologue	GO:0070300;GO:0005794;GO:0005783;GO:0009507;GO:0000139;GO:0005886;GO:0015031	Phosphatidylinositol/phosphatidylcholine transfer protein SFH7 (Protein SEC FOURTEEN HOMOLOGS 7) (AtSFH7);Sec14p-like phosphatidylinositol transfer family protein
CP10_g43978_DN3_SP7_c.t1	122	AT2G16360.1	AT2G16360.1	orthologue	GO:0022627;GO:0005730;GO:0008150;GO:0003735;GO:0005737;GO:0005739;GO:0000325	Small ribosomal subunit protein eS25z (40S ribosomal protein S25-1)
CP10_g43979_DN3_SP0_c.t1	471	AT2G16365.1	AT2G16365.1	orthologue	GO:0045893;GO:0005515;GO:0005634;GO:0010099;GO:0007623;GO:0003674;GO:0009658;GO:0009637;GO:0010017;GO:0010114;GO:0010218;GO:0090227	Protein PHOTOPERIODIC CONTROL OF HYPOCOTYL 1 (F-box protein PCH1)
CP10_g43980_DN3_SP0_c.t1	487	AT4G34520.1	AT4G34520.1	other	GO:0000038;GO:0030497;GO:0006633;GO:0009507;GO:0009922;GO:0005783;GO:0016020;GO:0016746;GO:0016747	3-ketoacyl-CoA synthase 18 (KCS-18) (EC 2.3.1.199) (Protein FATTY ACID ELONGATION 1) (Very long-chain fatty acid condensing enzyme 18) (VLCFA condensing enzyme 18)
CP10_g43986_DN2_SP0_c.t1	62					
CP10_g43988_DN3_SP0_c.t1	510	AT2G16280.1	AT2G16280.1	orthologue	GO:0005737;GO:0005783;GO:0006633;GO:0000038;GO:0009416;GO:0009409;GO:0160062;GO:0009922;GO:0005789;GO:0016746;GO:0016020;GO:0016747	3-ketoacyl-CoA synthase 9 (KCS-9) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 9) (VLCFA condensing enzyme 9)
CP10_g43989_DN3_SP0_c.t1	915	AT2G16250.1	AT2G16250.1	orthologue	GO:0006468;GO:0004674;GO:0005515;GO:0044024;GO:0009506;GO:0005886;GO:0004713;GO:0005524;GO:0009505;GO:0106310;GO:0004672;GO:0033612	Probable LRR receptor-like serine/threonine-protein kinase At2g16250 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
CP10_g43990_DN3_SP0_c.t1	191				GO:0003723;GO:0003676	
CP10_g43991_DN3_SP0_c.t1	863	AT2G16270.1	AT2G16270.1	orthologue	GO:0003674;GO:0005634;GO:0016020	Transmembrane protein
CP10_g43992_DN3_SP1_c.t1	450	AT2G16230.1	AT2G16230.1	orthologue	GO:0005886;GO:0005975;GO:0042973;GO:0005576;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
CP10_g43993_DN1_SP0_c.t1	137	AT5G42146.1	AT5G42146.1	orthologue	GO:0003674;GO:0005739;GO:0016020	At5g42146 (Transmembrane protein)
CP10_g43994_DN3_SP6_c.t1	882	AT4G34450.1	AT4G34450.1	other	GO:0030126;GO:0006888;GO:0005793;GO:0009506;GO:0005198;GO:0009306;GO:0000139;GO:0006886;GO:0009507;GO:0006891;GO:0005886;GO:0005634;GO:0005783;GO:0016192;GO:0030117	Coatomer subunit gamma (Gamma-coat protein) (Gamma-COP)
CP10_g43995_DN3_SP0_c.t1	153					
CP10_g43996_DN3_SP0_c.t1	280	AT2G16190.1	AT2G16190.1	orthologue	GO:0005634;GO:0003674;GO:0008150	DUF7086 domain-containing protein;Uncharacterized protein At2g16190
CP10_g43997_DN3_SP6_c.t1	506	AT2G16120.1	AT2G16120.1	orthologue	GO:0005351;GO:0015144;GO:0015749;GO:0005886;GO:0090406;GO:0016020;GO:0022857;GO:0055085	Putative polyol transporter 1
CP10_g43998_DN2_SP0_c.t1	204					
CP10_g43999_DN3_SP0_c.t1	65					
CP10_g44001_DN3_SP3_c.t1	512	AT2G16120.1	AT2G16120.1	orthologue	GO:0005351;GO:0015144;GO:0015749;GO:0005886;GO:0090406;GO:0016020;GO:0022857;GO:0055085	Putative polyol transporter 1
CP10_g44002_DN3_SP0_c.t1	213					
CP10_g44004_DN1_SP0_c.t1	128					
CP10_g44006_DN3_SP1_c.t1	588	AT2G16090.1	AT2G16090.1	orthologue	GO:0004842;GO:0005737;GO:0031624;GO:0006511;GO:0061630;GO:0000151;GO:0008270;GO:0016567	Probable E3 ubiquitin-protein ligase ARI2 (EC 2.3.2.31) (ARIADNE-like protein ARI2) (Protein ariadne homolog 2) (RING-type E3 ubiquitin transferase ARI2);RBR-type E3 ubiquitin transferase (EC 2.3.2.31)
CP10_g44007_DN3_SP3_c.t1	311	AT2G16070.2	AT2G16070.2	orthologue	GO:0009707;GO:0005739;GO:0009739;GO:0009536;GO:0005515;GO:0043572;GO:0010020;GO:0070273	Plastid division protein PDV2 (Protein PLASTID DIVISION2)
CP10_g44008_DN3_SP6_c.t1	160	AT2G16060.1	AT2G16060.1	orthologue	GO:0020037;GO:0019825;GO:0005737;GO:0005886;GO:0071456;GO:0001666;GO:0009506;GO:0005829;GO:0009505;GO:0005634;GO:0016491;GO:0046872	Anaerobic nitrite reductase AHB1 (EC 1.7.2.-) (ARAth GLB1) (Hb1) (Non-symbiotic hemoglobin 1)
CP10_g44009_DN3_SP0_c.t1	248	AT1G54470.1, AT1G58190.2, AT1G74170.2, AT1G74180.1, AT1G74190.1, AT1G74200.1, AT2G25470.3, AT5G49290.2	AT1G74190.1	other	GO:0003674;GO:0050832;GO:0005575;GO:0005886;GO:0005576;GO:0007165;GO:0005739;GO:0051606;GO:0005515	Putative receptor-like protein 16 (AtRLP16);Putative receptor-like protein 8 (AtRLP8);Receptor like protein 13;Receptor like protein 14;Receptor like protein 21;Receptor like protein 21 (AtRLP21);Receptor like protein 56;Receptor like protein 9;Receptor-like protein 13 (AtRLP13);Receptor-like protein 14 (AtRLP14);Receptor-like protein 15 (AtRLP15);Receptor-like protein 56 (AtRLP56);Receptor-like protein 9a (AtRLP9a) (Receptor like protein 9) (AtRLP9)
CP10_g44011_DN3_SP0_c.t1	78					
CP10_g44012_DN3_SP0_c.t1	120				GO:0005515	
CP10_g44013_DN3_SP7_c.t1	242	AT2G16050.1	AT2G16050.1	orthologue	GO:0008150;GO:0005575;GO:0003674	Cysteine/Histidine-rich C1 domain family protein
CP10_g44015_DN3_SP2_c.t1	198	AT2G15970.1	AT2G15970.1	other	GO:0042631;GO:0009631;GO:0009737;GO:0005886;GO:0000325;GO:0005739;GO:0003674;GO:0016020	Cold regulated 413 plasma membrane 1;Cold-regulated 413 plasma membrane protein 1 (AtCOR413-PM1) (WCOR413-like protein)
CP10_g44016_DN2_SP0_c.t1	76	AT2G15960.1	AT2G15960.1	orthologue	GO:0005575;GO:0003674	Expressed protein (Stress-induced protein)
CP10_g44017_DN1_SP0_c.t1	126					
CP10_g44018_DN3_SP0_c.t1	81	AT2G15910.1	AT2G15910.1	other	GO:0005737;GO:0005634;GO:0017183;GO:0046872;GO:0005829	Diphthamide biosynthesis protein 3
CP10_g44019_DN3_SP6_c.t1	240	AT2G15910.1	AT2G15910.1	orthologue	GO:0005737;GO:0005634;GO:0017183;GO:0046872;GO:0005829	Diphthamide biosynthesis protein 3
CP10_g44020_DN3_SP1_c.t1	1013	AT2G15900.1	AT2G15900.1	orthologue	GO:0005794;GO:0005575;GO:0035091;GO:0005737;GO:0007165;GO:0005768;GO:0016020	Phox domain-containing protein
CP10_g44022_DN3_SP0_c.t1	207	AT2G15890.1	AT2G15890.1	orthologue	GO:0005515;GO:0005634;GO:0071456;GO:0050832;GO:0009507;GO:0010183;GO:0009793;GO:0005829;GO:0036033	CCG-binding protein 1 (AtCBP1) (Protein MATERNAL EFFECT EMBRYO ARREST 14)
CP10_g44023_DN3_SP0_c.t1	792	AT2G15880.1	AT2G15880.1	orthologue	GO:0005634;GO:0005199;GO:0005576;GO:0071555;GO:0005515	Pollen-specific leucine-rich repeat extensin-like protein 3 (AtPEX3) (Pollen-specific LRR/EXTENSIN3) (Cell wall hydroxyproline-rich glycoprotein)
CP10_g44024_DN3_SP7_c.t1	514	AT2G15860.2	AT2G15860.2	orthologue	GO:0005634;GO:0003674;GO:0008150	BAT2 domain protein
CP10_g44025_DN3_SP0_c.t1	212					
CP10_g44026_DN2_SP0_c.t1	65	AT2G15830.1	AT2G15830.1	orthologue	GO:0005739;GO:0003674	At2g15830
CP10_g44027_DN3_SP2_c.t1	793	AT2G15820.1	AT2G15820.1	orthologue	GO:0000373;GO:0006388;GO:0048564;GO:0045292;GO:0009507;GO:0004519;GO:0010239;GO:0005634;GO:0005515	Pentatricopeptide repeat-containing protein At2g15820, chloroplastic (Protein ORGANELLE TRANSCRIPT PROCESSING 51) (AtOTP51)
CP10_g44028_DN3_SP8_c.t1	361	AT2G15790.1	AT2G15790.1	orthologue	GO:0006457;GO:0003755;GO:0010050;GO:0016018;GO:0010582;GO:0005737;GO:0000413;GO:0005515	Peptidyl-prolyl cis-trans isomerase CYP40 (PPIase CYP40) (EC 5.2.1.8) (Cyclophilin of 40 kDa) (AtCYP40) (Cyclophilin-40) (Protein SQUINT) (Rotamase CYP40)
CP10_g44029_DN2_SP0_c.t1	125	AT2G15780.1	AT2G15780.1	orthologue	GO:0009055;GO:0005576;GO:0008150	At2g15780/F19G14.22 (Cupredoxin superfamily protein) (Expressed protein)
CP10_g44030_DN3_SP0_c.t1	279	AT2G15780.1	AT2G15780.1	orthologue	GO:0009055;GO:0005576;GO:0008150	At2g15780/F19G14.22 (Cupredoxin superfamily protein) (Expressed protein)
CP10_g44032_DN3_SP0_c.t1	312	AT2G15770.1	AT2G15770.1	orthologue	GO:0005634;GO:0008150;GO:0009055;GO:0016020	Auxin response factor 30 (Cupredoxin superfamily protein)
CP10_g44036_DN3_SP0_c.t1	314	AT2G15760.1	AT2G15760.1	orthologue	GO:0005634;GO:0005516	At2g15760 (Calmodulin-binding protein (DUF1645)) (Expressed protein)
CP10_g44037_DN2_SP0_c.t1	227	AT5G37200.1	AT5G37200.1	orthologue	GO:0061630;GO:0006511;GO:0005634;GO:0008270	Gb|AAD18119.1 (RING/U-box superfamily protein)
CP10_g44038_DN1_SP0_c.t1	191	AT5G37200.1	AT5G37200.1	orthologue	GO:0061630;GO:0006511;GO:0005634;GO:0008270	Gb|AAD18119.1 (RING/U-box superfamily protein)
CP10_g44039_DN3_SP8_c.t1	344	AT2G15730.1	AT2G15730.1	orthologue	GO:0000138;GO:0005794;GO:0003674;GO:0016020;GO:0016787	At2g15730 (P-loop containing nucleoside triphosphate hydrolases superfamily protein);P-loop containing nucleoside triphosphate hydrolases superfamily protein
CP10_g44040_DN1_SP0_c.t1	66	AT4G08267.1	AT4G08267.1	other	GO:0003674;GO:0005575;GO:0008150	HAT transposon superfamily protein
CP10_g44041_DN3_SP8_c.t1	411	AT2G15695.1	AT2G15695.1	orthologue	GO:0003674;GO:0005634	At2g15695
CP10_g44042_DN3_SP0_c.t1	260	AT2G15690.1	AT2G15690.1	other	GO:0009451;GO:0009793;GO:0005739;GO:0005515;GO:0003723;GO:0003729;GO:0043231;GO:0008270;GO:0009507	Pentatricopeptide repeat-containing protein At2g15690, mitochondrial
CP10_g44043_DN3_SP0_c.t1	215	AT2G15690.1	AT2G15690.1	orthologue	GO:0009451;GO:0009793;GO:0005739;GO:0005515;GO:0003723;GO:0003729;GO:0043231;GO:0008270;GO:0009507	Pentatricopeptide repeat-containing protein At2g15690, mitochondrial
CP10_g44047_DN2_SP0_c.t1	516	AT2G15690.1	AT2G15690.1	orthologue	GO:0009451;GO:0009793;GO:0005739;GO:0005515;GO:0003723;GO:0003729;GO:0043231;GO:0008270;GO:0009507	Pentatricopeptide repeat-containing protein At2g15690, mitochondrial
CP10_g44048_DN3_SP0_c.t1	190	AT2G15680.1	AT2G15680.1	orthologue	GO:0005739;GO:0005509;GO:0008150	Calmodulin-like protein 30
