Aethionema_saxatile	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
As004G092320	71					
As004G092330	124	AT2G34320.1, AT4G29090.1, AT5G38920.1, AT5G42965.1	AT2G34320.1	other	GO:0004523;GO:0003676;GO:0005739;GO:0008150;GO:0009507;GO:0005575;GO:0003964;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein (Putative non-LTR retroelement reverse transcriptase);Putative reverse transcriptase/RNA-dependent DNA polymerase (Ribonuclease H-like superfamily protein)
As004G092340	104					
As004G092350	96					
As004G092360	96					
As004G092370	103					
As004G092380	191					
As004G092390	88					
As004G092400	6					
As004G092410	486	AT2G04880.1	AT2G04880.1	orthologue	GO:0005739;GO:0003700;GO:0009863;GO:0005634;GO:0000976;GO:0045893;GO:0003677;GO:0008270;GO:0009751;GO:0006355;GO:0043565	WRKY transcription factor 1 (Transcription factor ZAP1) (WRKY DNA-binding protein 1) (Zinc-dependent activator protein 1)
As004G092420	138					
As004G092430	124					
As004G092440	128	AT2G04900.1	AT2G04900.1	orthologue	GO:0003674;GO:0016020;GO:0005739	Expressed protein;Transmembrane protein
As004G092450	1195	AT5G35750.1	AT5G35750.1	orthologue	GO:0010271;GO:0004673;GO:0070417;GO:0009736;GO:0071215;GO:0005515;GO:0048509;GO:0010029;GO:0009909;GO:0000155;GO:0009884;GO:0009737;GO:0009414;GO:0009636;GO:0042802;GO:0010087;GO:0043424;GO:0034757;GO:0000160;GO:0048831;GO:0005886;GO:0009651;GO:0006970;GO:0005034;GO:0080117;GO:0019900;GO:0005789;GO:0007165;GO:0016310;GO:0016772;GO:0005634	Histidine kinase 2 (EC 2.7.13.3) (Arabidopsis histidine kinase 2) (AtHK2) (Protein AUTHENTIC HIS-KINASE 2)
As004G092460	696	AT5G35753.1, AT2G05230.1, AT2G05250.1	AT2G05250.1	orthologue	GO:0003674;GO:0005634;GO:0005737;GO:0008150	At2g05250/F5G3.15 (DNAJ heat shock N-terminal domain-containing protein) (Expressed protein);DnaJ heat shock amino-terminal domain protein (DUF3444)
As004G092470	169					
As004G092480	73					
As004G092490	447	AT5G35770.1	AT5G35770.1	orthologue	GO:0030163;GO:0009554;GO:0005634;GO:0003700;GO:0046622;GO:0005515;GO:0009908;GO:0030154	Transcriptional regulator STERILE APETALA
As004G092500	616	AT5G32613.1	AT5G32613.1	other	GO:0005634;GO:0008150;GO:0003676;GO:0008270	Zinc knuckle (CCHC-type) family protein
As004G092510	577	AT5G35790.1	AT5G35790.1	orthologue	GO:0009570;GO:0050661;GO:0009507;GO:0009051;GO:0006006;GO:0004345;GO:0005515;GO:0005777;GO:0016614	Glucose-6-phosphate 1-dehydrogenase 1, chloroplastic (AtG6PD1) (G6PDH1) (EC 1.1.1.49)
As004G092520	125					
As004G092530	101					
As004G092540	1116	AT5G35840.1	AT5G35840.1	orthologue	GO:0006355;GO:0009584;GO:0009585;GO:0009507;GO:0005515;GO:0042803;GO:0004673;GO:0005634;GO:0009637;GO:0009881;GO:0017006	Phytochrome C
As004G092550	145					
As004G092560	187	AT5G35870.1	AT5G35870.1	orthologue	GO:0005575;GO:0008150;GO:0003674;GO:0016020	Gb|AAD25831.1 (Transmembrane protein)
As004G092590	204	AT4G14540.1	AT4G14540.1	orthologue	GO:0000978;GO:0001228;GO:0005515;GO:0009414;GO:0046982;GO:0045893;GO:0009408;GO:0043565;GO:0005829;GO:0005634;GO:0006357;GO:0000981;GO:0016602;GO:0003700;GO:0006355	Nuclear transcription factor Y subunit B-3 (AtNF-YB-3) (AtNF-YB3) (Transcriptional activator HAP3C)
As004G092630	394	AT4G12730.1	AT4G12730.1	orthologue	GO:0005829;GO:0016020;GO:0005576;GO:0005886;GO:0000325;GO:0003674;GO:0098552;GO:0048364;GO:0048367	Fasciclin-like arabinogalactan protein 2
As004G092640	278	AT4G12720.4	AT4G12720.4	orthologue	GO:0071456;GO:0000210;GO:0047631;GO:0051287;GO:0035529;GO:0005515;GO:0080041;GO:0010581;GO:0006979;GO:0042742;GO:0005737;GO:0005634;GO:0010193;GO:0009626;GO:0002758;GO:0009651;GO:0070212;GO:0017110;GO:0005829;GO:0080042;GO:0005886;GO:0046872;GO:0016787	Nudix hydrolase (AtNUDT) (EC 3.6.1.13) (EC 3.6.1.22) (ADP-ribose pyrophosphatase) (NADH pyrophosphatase);Nudix hydrolase 7 (AtNUDT7) (EC 3.6.1.-) (ADP-ribose pyrophosphatase) (EC 3.6.1.13) (NADH pyrophosphatase) (EC 3.6.1.22) (Protein GROWTH FACTOR GENE 1)
As004G092650	97					
As004G092660	83	AT2G04410.1	AT2G04410.1	other	GO:0005886;GO:0003674;GO:0009506;GO:0005634;GO:0008150;GO:0005739	RPM1-interacting protein 4 (RIN4) family protein
As004G092670	391	AT4G12710.1	AT4G12710.1	orthologue	GO:0003674;GO:0005634;GO:0005737;GO:0005515	ARM repeat superfamily protein (At4g12710)
As004G092680	147	AT2G04240.1	AT2G04240.1	other	GO:0009739;GO:0009687;GO:0016567;GO:0009507;GO:0009651;GO:0005515;GO:0006970;GO:0008270;GO:0009688;GO:0016020;GO:0016740	Probable E3 ubiquitin-protein ligase XERICO (EC 2.3.2.27) (RING-type E3 ubiquitin transferase XERICO)
As004G092690	297	AT2G04220.1	AT2G04220.1	orthologue	GO:0005634;GO:0003674;GO:0008150	DUF868 family protein (DUF868)
As004G092720	464					
As004G092740	575	AT4G12680.1	AT4G12680.1	orthologue	GO:0010228;GO:0005575;GO:0003674;GO:0016020	Expressed protein (Transmembrane protein)
As004G092750	506	AT4G12670.2	AT4G12670.2	orthologue	GO:0009506;GO:0005634;GO:0003674;GO:0003677;GO:0008270	At4g12670 (Homeodomain-like superfamily protein) (MYB transcription factor);Homeodomain-like superfamily protein
As004G092760	834	AT4G12640.1	AT4G12640.1	orthologue	GO:0005634;GO:0003723;GO:0003676	RNA recognition motif (RRM)-containing protein
As004G092770	652	AT4G12650.1	AT4G12650.1	orthologue	GO:0005794;GO:0005768;GO:0005802;GO:0072657;GO:0016020;GO:0003674;GO:0000325;GO:0009506;GO:0005773;GO:0000139;GO:0010008	Transmembrane 9 superfamily member 12 (Endomembrane protein 7) (Transmembrane nine protein 12) (AtTMN12)
As004G092800	586	AT5G35170.1	AT5G35170.1	orthologue	GO:0009536;GO:0009507;GO:0009941;GO:0004017;GO:0009535;GO:0005737;GO:0009534;GO:0008150;GO:0005524;GO:0006139;GO:0019205;GO:0016776	adenylate kinase (EC 2.7.4.3) (ATP:AMP phosphotransferase);Adenylate kinase 5, chloroplastic (EC 2.7.4.3) (ATP-AMP transphosphorylase 5) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase 5) (AMK5)
As004G092810	57	AT4G12731.1, AT4G12735.1	AT4G12735.1	orthologue	GO:0003674;GO:0005777;GO:0005739	At4g12735;Uncharacterized protein
As004G092820	72	AT3G28890.1	AT3G28890.1	other	GO:0016301;GO:0007165;GO:0005886	Receptor-like protein 43 (AtRLP43)
As004G092840	104	AT4G03728.1	AT4G03728.1	other	GO:0003674;GO:0008150;GO:0005575	Uncharacterized protein
As004G092850	490	AT4G12740.1	AT4G12740.1	orthologue	GO:0035485;GO:0034039;GO:0005634;GO:0000701;GO:0006298;GO:0006284;GO:0032357;GO:0046872;GO:0051539;GO:0019104;GO:0016798;GO:0003824;GO:0006281	Adenine DNA glycosylase (EC 3.2.2.31);Adenine DNA glycosylase (EC 3.2.2.31) (MutY homolog) (AtMYH)
As004G092860	1099	AT4G12750.1	AT4G12750.1	other	GO:0006357;GO:0005634;GO:0000978;GO:0005667;GO:0000981;GO:0009908;GO:0003677;GO:0006355	Homeobox-DDT domain protein RLT3 (Protein RINGLET 3);Homeodomain-like transcriptional regulator
As004G092870	268	AT4G12760.1	AT4G12760.1	orthologue	GO:0005634;GO:0006606;GO:0003674;GO:0008270	RPA-interacting protein A
As004G092880	917	AT4G12770.1, AT4G12780.1	AT4G12770.1	orthologue	GO:0045806;GO:0045926;GO:0072318;GO:0005886;GO:1900186;GO:0043231;GO:0005634;GO:0072583;GO:0009504;GO:0031982;GO:0005829;GO:0030276;GO:0005737;GO:0005515;GO:0005783;GO:0005794;GO:0031410	Auxilin-related protein 1 (Auxilin-like protein 1);Auxilin-related protein 2;Chaperone DnaJ-domain superfamily protein
As004G092900	88					
As004G092920	302	AT3G25520.1, AT5G39740.1	AT5G39740.1	orthologue	GO:0009955;GO:0022625;GO:0022626;GO:0009965;GO:0003729;GO:0000027;GO:0005737;GO:0006412;GO:0008097;GO:0009536;GO:0000325;GO:0051301;GO:0005730;GO:0003735;GO:0010015;GO:0005773;GO:0006913;GO:0005634;GO:0005829;GO:0005654;GO:0009507;GO:0005840;GO:1990904	Large ribosomal subunit protein uL18y (60S ribosomal protein L5-2) (Ribosomal protein L5 B) (Protein OLIGOCELLULA 7);Large ribosomal subunit protein uL18z (60S ribosomal protein L5-1) (Ribosomal protein L5 A) (Protein ASYMMETRIC LEAVES1/2 ENHANCER 6) (Protein OLIGOCELLULA 5) (Protein PIGGYBACK 3);Ribosomal protein L5
As004G092930	269	AT4G12790.1	AT4G12790.1	orthologue	GO:0005634;GO:0003924;GO:0005525	GPN-loop GTPase 3
As004G092940	282	AT2G39780.1	AT2G39780.1	orthologue	GO:0010507;GO:0005576;GO:0005773;GO:0005622;GO:0033897;GO:0004521;GO:0000325;GO:0006401;GO:0016075;GO:0005783;GO:0003723;GO:0010168	Ribonuclease 2;Ribonuclease 2 (EC 4.6.1.19)
As004G092950	241					
As004G092960	297	AT3G31430.1, AT3G42140.1	AT3G31430.1	other	GO:0008150;GO:0003674;GO:0005575	Zinc ion binding / nucleic acid binding protein;Zinc knuckle (CCHC-type) family protein
As004G092970	1025	AT3G25500.1	AT3G25500.1	orthologue	GO:0005634;GO:0030036;GO:0005886;GO:0005515;GO:0051016;GO:0051015;GO:0003779;GO:0045010;GO:0009505;GO:0009506;GO:0016020	Formin-like protein 1 (AtFH1) (AtFORMIN-8)
As004G092980	219	AT4G12800.2	AT4G12800.2	orthologue	GO:0009535;GO:0009538;GO:0009507;GO:0009941;GO:0005829;GO:0009534;GO:0010287;GO:0009579;GO:0003729;GO:0005515;GO:0015979;GO:0019904;GO:0031969;GO:0009522	Photosystem I reaction center subunit XI, chloroplastic (PSI subunit V);Photosystem I reaction center subunit XI, chloroplastic (PSI-L) (PSI subunit V)
As004G093000	393	AT4G12830.1	AT4G12830.1	orthologue	GO:0016787;GO:0009507;GO:0003824;GO:0004301	AT4g12830/T20K18_180 (Alpha/beta-Hydrolases superfamily protein)
As004G093010	392	AT4G12840.1	AT4G12840.1	orthologue	GO:0005575;GO:0016757;GO:0008150;GO:0016020	At4g12840 (GTPase Der);GTPase Der (DUF707)
As004G093040	136					
As004G093050	202	AT4G12850.1	AT4G12850.1	orthologue	GO:0005634;GO:0005515	At4g12850 (Far-red impaired responsive (FAR1) family protein);Far-red impaired responsive (FAR1) family protein
As004G093070	152	AT4G12860.1	AT4G12860.1	orthologue	GO:0005509;GO:0005737;GO:0009567;GO:0005634	Calmodulin-like protein 2 (Protein UNFERTILIZED EMBRYO SAC 14)
As004G093080	233	AT4G12890.1, AT4G12870.1, AT4G12960.2, AT4G12900.1	AT4G12900.1	orthologue	GO:0005576;GO:0016671;GO:0016491;GO:0008150;GO:0005764	At4g12890 (Gamma interferon responsive lysosomal thiol (GILT) reductase family protein);Gamma interferon responsive lysosomal thiol (GILT) reductase family protein;Gamma-interferon-responsive lysosomal thiol protein (AtGILT)
As004G093090	237	AT4G12890.1, AT4G12870.1, AT4G12960.2, AT4G12900.1	AT4G12900.1	orthologue	GO:0005576;GO:0016671;GO:0016491;GO:0008150;GO:0005764	At4g12890 (Gamma interferon responsive lysosomal thiol (GILT) reductase family protein);Gamma interferon responsive lysosomal thiol (GILT) reductase family protein;Gamma-interferon-responsive lysosomal thiol protein (AtGILT)
As004G093100	242	AT4G12890.1, AT4G12870.1, AT4G12960.2, AT4G12900.1	AT4G12900.1	orthologue	GO:0005576;GO:0016671;GO:0016491;GO:0008150;GO:0005764	At4g12890 (Gamma interferon responsive lysosomal thiol (GILT) reductase family protein);Gamma interferon responsive lysosomal thiol (GILT) reductase family protein;Gamma-interferon-responsive lysosomal thiol protein (AtGILT)
As004G093110	493	AT4G12910.1	AT4G12910.1	orthologue	GO:0004185;GO:0000325;GO:0016747;GO:0005576;GO:0019748;GO:0005777;GO:0006508	Carboxypeptidase (EC 3.4.16.-);Serine carboxypeptidase-like 20 (EC 3.4.16.-)
As004G093120	95					
As004G093160	117					
As004G093170	429	AT3G25410.1	AT3G25410.1	orthologue	GO:0009507;GO:0009941;GO:0003674;GO:0016020	Probable sodium/metabolite cotransporter BASS3, chloroplastic (Bile acid transporter 3) (Bile acid-sodium symporter family protein 3)
As004G093180	225	AT4G27990.1	AT4G27990.1	orthologue	GO:0090143;GO:0010020;GO:0009941;GO:0003674;GO:0005886;GO:0009507;GO:0009535;GO:0016020	YlmG homolog protein 1-2, chloroplastic (AtYLMG1-2) (YGGT family protein YLMG1-2)
As004G093190	105	AT4G12970.1	AT4G12970.1	other	GO:0019901;GO:2000038;GO:0010052;GO:0005576;GO:0010374;GO:0033612;GO:0010375;GO:2000123;GO:0005102;GO:0007267;GO:0048046	EPIDERMAL PATTERNING FACTOR-like protein 9 (EPF-like protein 9) [Cleaved into: Stomagen]
As004G093200	421					
As004G093210	81					
As004G093220	392	AT4G12980.1	AT4G12980.1	other	GO:0003674;GO:0009507;GO:0005829;GO:0016020;GO:0046872	Cytochrome b561 and DOMON domain-containing protein At4g12980 (Protein b561A.tha15)
As004G093230	437	AT5G45290.2	AT5G45290.2	orthologue	GO:0005634;GO:0008270	At5g45290 (RING/U-box superfamily protein);RING/U-box superfamily protein
As004G093240	87					
As004G093250	93					
As004G093270	987	AT1G06220.1, AT5G25230.1	AT1G06220.1	orthologue	GO:0005515;GO:0000398;GO:0045694;GO:0009505;GO:0009793;GO:0005737;GO:0071007;GO:0030623;GO:0003924;GO:0048437;GO:0016607;GO:0046540;GO:0005829;GO:0005576;GO:0009536;GO:0005730;GO:0009506;GO:0005525;GO:0005681;GO:0006397;GO:0008380;GO:1990904	109 kDa U5 small nuclear ribonucleoprotein component GFL (Protein GFA1-LIKE) (SNU114 homolog);110 kDa U5 small nuclear ribonucleoprotein component CLO (Protein CLOTHO) (Protein GAMETOPHYTE FACTOR 1) (Protein MATERNAL EFFECT EMBRYO ARREST 5) (Protein VAJRA-1) (SNU114 homolog)
As004G093290	506	AT5G33290.1	AT5G33290.1	orthologue	GO:0006486;GO:0010398;GO:0102983;GO:0005802;GO:0045489;GO:0005794;GO:0009507;GO:0005768;GO:0035252;GO:0000139;GO:0071555;GO:0009101;GO:0016757	Xylogalacturonan beta-1,3-xylosyltransferase (EC 2.4.2.41) (Protein XYLOGALACTURONAN DEFICIENT 1)
As004G093300	988				GO:0003676;GO:0008270;GO:0015074	
As004G093310	294	AT4G20220.1	AT4G20220.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0003964	Reverse transcriptase (RNA-dependent DNA polymerase)
As004G093320	384	AT4G13000.1	AT4G13000.1	orthologue	GO:0046777;GO:0005634;GO:0004674;GO:0005737;GO:0016301;GO:0005886;GO:0005524;GO:0006468;GO:0004672	non-specific serine/threonine protein kinase (EC 2.7.11.1)
As004G093340	203	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
As004G093350	331	AT4G13010.1	AT4G13010.1	orthologue	GO:0000325;GO:0009941;GO:0009535;GO:0009507;GO:0005515;GO:0005737;GO:0005829;GO:0005886;GO:0009706;GO:0016491	Chloroplast envelope quinone oxidoreductase homolog (ceQORH) (EC 1.3.1.-)
As004G093360	46					
As004G093370	332	AT4G13010.1	AT4G13010.1	orthologue	GO:0000325;GO:0009941;GO:0009535;GO:0009507;GO:0005515;GO:0005737;GO:0005829;GO:0005886;GO:0009706;GO:0016491	Chloroplast envelope quinone oxidoreductase homolog (ceQORH) (EC 1.3.1.-)
As004G093390	332	AT4G13010.1	AT4G13010.1	orthologue	GO:0000325;GO:0009941;GO:0009535;GO:0009507;GO:0005515;GO:0005737;GO:0005829;GO:0005886;GO:0009706;GO:0016491	Chloroplast envelope quinone oxidoreductase homolog (ceQORH) (EC 1.3.1.-)
As004G093400	438	AT4G13020.3	AT4G13020.3	orthologue	GO:0004693;GO:0005634;GO:0005524;GO:0004672;GO:0004674;GO:0005737;GO:0035556;GO:0106310;GO:0006468	cyclin-dependent kinase (EC 2.7.11.22);Serine/threonine-protein kinase MHK (EC 2.7.11.22)
As004G093410	301	AT4G24175.1	AT4G24175.1	orthologue	GO:0005575;GO:0003674;GO:0008150	Kinesin-like protein
As004G093420	515	AT4G13030.3	AT4G13030.3	orthologue	GO:0005634;GO:0005525;GO:0016020;GO:0016787	P-loop containing nucleoside triphosphate hydrolases superfamily protein
As004G093430	566	AT3G25140.1	AT3G25140.1	orthologue	GO:0000138;GO:0010289;GO:0016757;GO:0045489;GO:0005794;GO:0005739;GO:0047262;GO:0005768;GO:0005802;GO:0000139;GO:0007155	Galacturonosyltransferase 8 (EC 2.4.1.-) (Glycosyltransferase QUASIMODO1)
As004G093440	291	AT3G25130.1	AT3G25130.1	orthologue	GO:0009507;GO:0008150;GO:0003674;GO:0016020	Acidic leucine-rich nuclear phosphoprotein 32 family B protein
As004G093450	215	AT4G13040.3	AT4G13040.3	orthologue	GO:0006355;GO:0005739;GO:1900426;GO:0005634;GO:0010337;GO:0003700;GO:0003677;GO:0009873;GO:0016020	Ethylene-responsive transcription factor-like protein At4g13040;Integrase-type DNA-binding superfamily protein
As004G093460	194	AT3G25120.1	AT3G25120.1	orthologue	GO:0045039;GO:0042721;GO:0009507;GO:0030943;GO:0008320	At2g45250 (At3g25120) (Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein)
As004G093470	374	AT4G13050.1	AT4G13050.1	orthologue	GO:0000036;GO:0006633;GO:0016297;GO:0009507;GO:0016790	Oleoyl-acyl carrier protein thioesterase 2, chloroplastic (EC 3.1.2.14) (18:0-acyl-carrier protein thioesterase) (18:0-ACP thioesterase) (Acyl-[acyl-carrier-protein] hydrolase)
As004G093480	601	AT3G25100.1	AT3G25100.1	orthologue	GO:0000727;GO:0031261;GO:0003682;GO:0003688;GO:1902977;GO:0006279;GO:0006270;GO:0048229;GO:0003697;GO:0051301	Cell division cycle 45 (Putative cell division cyle protein 45)
As004G093490	189	AT3G25070.2	AT3G25070.2	other	GO:0005886;GO:0009626;GO:0042742;GO:0019897;GO:0016020;GO:0034051;GO:0002237;GO:0005634;GO:0005515;GO:0006955;GO:0006468;GO:0005829;GO:0012505	RPM1 interacting protein 4;RPM1-interacting protein 4
As004G093500	290	AT4G13080.1, AT4G13090.1	AT4G13080.1	orthologue	GO:0004553;GO:0030247;GO:0016762;GO:0010411;GO:0042546;GO:0005576;GO:0008150;GO:0003674;GO:0048046;GO:0071555;GO:0005975;GO:0005618;GO:0044042	Putative xyloglucan endotransglucosylase/hydrolase protein 1 (At-XTH1) (XTH-1) (EC 2.4.1.207);Xyloglucan endotransglucosylase/hydrolase protein 2 (At-XTH2) (XTH-2) (EC 2.4.1.207)
As004G093510	215	AT3G25040.1	AT3G25040.1	other	GO:0005794;GO:0046923;GO:0005801;GO:0005739;GO:0005783;GO:0006621;GO:0000139;GO:0005789;GO:0015031;GO:0016192;GO:0016020	ER lumen protein-retaining receptor B
As004G093520	292	AT4G13100.2	AT4G13100.2	orthologue	GO:0005634;GO:0005739;GO:0003674;GO:0008150;GO:0008270	RING/U-box superfamily protein
As004G093530	150	AT3G24100.1	AT3G24100.1	orthologue	GO:0003674;GO:0043068;GO:0005576	Uncharacterized protein AT3g24100 (Uncharacterized protein family SERF)
As004G093540	159	AT3G23280.1	AT3G23280.1	orthologue	GO:0004842;GO:0006511;GO:0005737;GO:0043067;GO:0061630;GO:0005634;GO:0005794;GO:0008270;GO:0016567;GO:0007049	Putative E3 ubiquitin-protein ligase XBAT35 (EC 2.3.2.27) (Ankyrin repeat domain and RING finger-containing protein XBAT35) (Protein XB3 homolog 5) (RING-type E3 ubiquitin transferase XBAT35)
As004G093580	350	AT4G37040.1	AT4G37040.1	orthologue	GO:0031365;GO:0005739;GO:0009507;GO:0070006;GO:0004239;GO:0006508;GO:0046872	Methionine aminopeptidase 1D, chloroplastic/mitochondrial (MAP 1D) (MetAP 1D) (EC 3.4.11.18) (Peptidase M 1D)
As004G093590	1896	AT3G24870.1, AT3G24880.1	AT3G24880.1	other	GO:0005634;GO:0005515;GO:0035267;GO:0048046;GO:0010485;GO:2000028;GO:0003677;GO:0004386;GO:0006325;GO:0009909;GO:0048510	Chromatin modification-related protein EAF1 A (ESA1-associated factor 1 A);Chromatin modification-related protein EAF1 B (ESA1-associated factor 1 B);Helicase/SANT-associated, DNA binding protein
As004G093600	76					
As004G093610	391	AT4G13110.1	AT4G13110.1	orthologue	GO:0005737;GO:0003674;GO:0009507	BSD domain-containing protein
As004G093620	346	AT4G13150.1	AT4G13150.1	orthologue	GO:0009507;GO:0003674;GO:0008150;GO:0005829;GO:0005886;GO:0022857;GO:0055085	Transmembrane protein
As004G093630	294	AT4G13160.1	AT4G13160.1	orthologue	GO:0005811;GO:0080115;GO:0004674;GO:0046777;GO:0016020	At4g13160
As004G093660	206	AT4G13170.1	AT4G13170.1	orthologue	GO:0017148;GO:0022625;GO:0005737;GO:0003735;GO:0003729;GO:0006412;GO:0005829;GO:0005840;GO:0015934	Large ribosomal subunit protein uL13x (60S ribosomal protein L13a-3)
As004G093670	193	AT3G24820.1	AT3G24820.1	orthologue	GO:0008150;GO:0003674;GO:0005634	At3g24820 (BSD domain-containing protein)
As004G093680	234	AT3G24810.1	AT3G24810.1	orthologue	GO:0032877;GO:0004861;GO:0005515;GO:0031490;GO:0005634;GO:0005654;GO:0045736;GO:0051726	Cyclin-dependent kinase inhibitor 5 (Inhibitor/interactor of CDK protein 3) (KIP-related protein 5)
As004G093690	110	AT4G13195.1	AT4G13195.1	orthologue	GO:0045595;GO:0048046;GO:0010067;GO:0033612;GO:0045168;GO:0090506;GO:0005739;GO:0010078;GO:0010088;GO:0010089;GO:0010087	CLAVATA3/ESR (CLE)-related protein 44 (Tracheary element differentiation inhibitory factor-like protein) (TDIF-like protein) [Cleaved into: CLE44p]
As004G093700	201	AT4G13200.1	AT4G13200.1	orthologue	GO:0009507;GO:0009535;GO:0031969;GO:0010287;GO:0003674;GO:0005829;GO:0010027;GO:0009579	Uncharacterized protein At4g13200, chloroplastic
As004G093710	295	AT3G24740.1	AT3G24740.1	orthologue	GO:0003674;GO:0005634;GO:0003700	AT3g24740/K7P8_3 (Cellulose synthase, putative (DUF1644))
As004G093720	441	AT4G13210.2	AT4G13210.2	orthologue	GO:0005576;GO:0045490;GO:0030570;GO:0016829;GO:0046872	Pectate lyase (EC 4.2.2.2);Putative pectate lyase 14 (EC 4.2.2.2)
As004G093730	670	AT3G24660.1	AT3G24660.1	orthologue	GO:0004672;GO:0006468;GO:0016301;GO:0005524;GO:0009506;GO:0005886;GO:0005515	Putative kinase-like protein TMKL1
As004G093740	171	AT4G13220.1	AT4G13220.1	orthologue	GO:0009507;GO:0003674;GO:0016020	At4g13220 (Transmembrane protein)
As004G093750	126	AT4G13230.1	AT4G13230.1	orthologue	GO:0003674;GO:0005829;GO:0008150	Uncharacterized protein At4g13230
As004G093760	96	AT4G13235.1	AT4G13235.1	orthologue	GO:0005576;GO:0009553;GO:0003674;GO:0031640;GO:0050832	Defensin-like protein 37 (Protein EMBRYO SAC DEVELOPMENT ARREST 21)
As004G093770	533	AT4G13240.1	AT4G13240.1	orthologue	GO:0080092;GO:0005085;GO:0009507;GO:0005886	Rop guanine nucleotide exchange factor 9 (AtRopGEF9) (Rho of plants guanine nucleotide exchange factor 9)
As004G093780	267	AT2G20120.1	AT2G20120.1	other	GO:0010222;GO:0005634;GO:0005794;GO:0003674;GO:0016020	Protein CONTINUOUS VASCULAR RING 1
As004G093790	113					
As004G093800	503	AT4G13250.1	AT4G13250.1	orthologue	GO:0010304;GO:0034256;GO:0015996;GO:0009507;GO:0005515;GO:0009535	chlorophyll(ide) b reductase (EC 1.1.1.294);Probable chlorophyll(ide) b reductase NYC1, chloroplastic (EC 1.1.1.294) (Protein NON-YELLOW COLORING 1) (AtNYC1)
As004G093820	484	AT3G24530.1	AT3G24530.1	other	GO:0016887;GO:0009507;GO:0005524;GO:0005515	AAA-type ATPase family protein / ankyrin repeat family protein;AAA-type ATPase family protein / ankyrin repeat family protein (Putative rubisco expression protein)
As004G093840	426	AT4G13260.1	AT4G13260.1	orthologue	GO:0005739;GO:0009723;GO:0009851;GO:0103075;GO:0004499;GO:0050660;GO:0005634;GO:0005515;GO:0050661;GO:0004497	Flavin-containing monooxygenase (EC 1.-.-.-);indole-3-pyruvate monooxygenase (EC 1.14.13.168);Indole-3-pyruvate monooxygenase YUCCA2 (EC 1.14.13.168) (Flavin-containing monooxygenase YUCCA2)
As004G093870	127	AT1G24430.1	AT1G24430.1	orthologue	GO:0005737;GO:0003674;GO:0016746	F21J9.9 (HXXXD-type acyl-transferase family protein)
As004G093880	115	AT1G24430.1	AT1G24430.1	orthologue	GO:0005737;GO:0003674;GO:0016746	F21J9.9 (HXXXD-type acyl-transferase family protein)
As004G093890	213	AT4G13270.1	AT4G13270.1	orthologue	GO:0005634;GO:0003674;GO:0016020;GO:0098542	At4g13270 (Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family)
As004G093920	498	AT4G13310.1, AT4G13290.1	AT4G13310.1	orthologue	GO:0005739;GO:0009506;GO:0005506;GO:0016705;GO:0020037;GO:0004497;GO:0008150;GO:0016020	Cytochrome P450 71A19 (EC 1.14.-.-);Cytochrome P450 71A20 (EC 1.14.-.-);Cytochrome P450, family 71, subfamily A, polypeptide 20
As004G093980	99	AT4G13320.1	AT4G13320.1	orthologue	GO:0005634;GO:0003674;GO:0008150	At4g13320
As004G093990	433	AT4G13330.1	AT4G13330.1	orthologue	GO:0005575;GO:0008168;GO:0032259	At4g13330 (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein);S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
As004G094000	361	AT3G24490.1	AT3G24490.1	orthologue	GO:0005634;GO:0006355;GO:0005515;GO:0000976;GO:0003700	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein
As004G094010	768	AT3G24480.1	AT3G24480.1	other	GO:0009506;GO:0009505;GO:0005199;GO:0005576;GO:0071555;GO:0005515	Leucine-rich repeat extensin-like protein 4 (AtLRX4) (LRR/EXTENSIN4) (Cell wall hydroxyproline-rich glycoprotein)
As004G094020	398	AT4G13345.4	AT4G13345.4	orthologue	GO:0009793;GO:0016020;GO:0003674;GO:0005739	Serinc-domain containing serine and sphingolipid biosynthesis protein
As004G094030	599	AT4G13350.1	AT4G13350.1	orthologue	GO:0006913;GO:0005737;GO:0003924;GO:0009615;GO:0005525;GO:0005096;GO:0008270	At4g13350 (NSP (Nuclear shuttle protein)-interacting GTPase)
As004G094040	423	AT4G13360.1	AT4G13360.1	orthologue	GO:0003860;GO:0006574;GO:0005829;GO:0009507;GO:0005739	3-hydroxyisobutyryl-CoA hydrolase-like protein 3, mitochondrial (EC 3.1.2.-)
As004G094050	702	AT4G13370.1	AT4G13370.1	orthologue	GO:0005874;GO:0008017;GO:0005634	At4g13370 (Serine/arginine repetitive matrix protein, putative (DUF936))
