Brassica_rapa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_009117405.2	821	AT2G21410.1	AT2G21410.1	orthologue	GO:0016887;GO:0070072;GO:0016471;GO:0005739;GO:0009705;GO:2000012;GO:0015986;GO:0000325;GO:0000220;GO:0005774;GO:0005773;GO:0009678;GO:0032119;GO:0005794;GO:0005737;GO:0051117;GO:0043181;GO:0046961;GO:0031669;GO:0007035;GO:0033179;GO:1902600	V-type proton ATPase subunit a2 (V-ATPase subunit a2) (V-type proton ATPase 95 kDa subunit a isoform 2) (V-ATPase 95 kDa isoform a2) (Vacuolar H(+)-ATPase subunit a isoform 2) (Vacuolar proton pump subunit a2) (Vacuolar proton translocating ATPase 95 kDa subunit a isoform 2)
XP_009117406.1	1062	AT2G21390.1	AT2G21390.1	orthologue	GO:0030126;GO:0006890;GO:0006888;GO:0080008;GO:0006891;GO:0005198;GO:0006886;GO:0005515;GO:0005739;GO:0000139;GO:0016192;GO:0030117	Coatomer subunit alpha-2 (Alpha-coat protein 2) (Alpha-COP 2)
XP_009117407.1	330	AT2G21385.1	AT2G21385.1	orthologue	GO:0009570;GO:0009941;GO:0008150;GO:0005739;GO:0009507;GO:0043461;GO:0005634;GO:0003674;GO:0005515	Expressed protein;Uncharacterized protein
XP_009117410.1	1072	AT2G21380.1	AT2G21380.1	orthologue	GO:0009507;GO:0005871;GO:0003777;GO:0005874;GO:0008017;GO:0005737;GO:0007018;GO:0016887;GO:0005524;GO:0008270	Kinesin-like protein KIN-7M, chloroplastic
XP_009117412.1	477	AT2G21370.1	AT2G21370.1	orthologue	GO:0009507;GO:0005737;GO:0005975;GO:0005829;GO:0019150;GO:0005997;GO:0005524;GO:0009536;GO:0016301;GO:0004856;GO:0016310	D-ribulose kinase (D-ribulokinase) (EC 2.7.1.47) (Inactive Xylulose kinase 1) (Atxk-1);Xylulose kinase-1
XP_009117414.1	550	AT2G21340.1	AT2G21340.1	orthologue	GO:0009941;GO:0055085;GO:0015297;GO:0009507;GO:0042910;GO:0031969;GO:0016020	Protein DETOXIFICATION (Multidrug and toxic compound extrusion protein);Protein DETOXIFICATION 46, chloroplastic (AtDTX46) (Multidrug and toxic compound extrusion protein 46) (MATE protein 46) (Protein EDS5 HOMOLOGUE)
XP_009117415.1	400	AT2G21330.1	AT2G21330.1	other	GO:0048046;GO:0006094;GO:0009507;GO:0010287;GO:0009579;GO:0004332;GO:0009534;GO:0006096;GO:0022626;GO:0009570;GO:0005829;GO:0009941;GO:0031977;GO:0006098;GO:0005739;GO:0030388	Fructose-bisphosphate aldolase (EC 4.1.2.13);Fructose-bisphosphate aldolase 1, chloroplastic (AtFBA1) (EC 4.1.2.13)
XP_009117418.1	188	AT2G21320.1	AT2G21320.1	orthologue	GO:0070370;GO:0010100;GO:0005515;GO:0006355;GO:0042752;GO:0009640;GO:0007623;GO:0005634;GO:0071483;GO:0000976;GO:0003700;GO:0008270	B-box zinc finger protein 18 (Protein DOUBLE B-BOX 1A) (Protein SALT TOLERANCE HOMOLOG 4)
XP_009117419.2	862	AT2G21300.1	AT2G21300.1	orthologue	GO:0005737;GO:0007018;GO:0008017;GO:0003777;GO:0005524;GO:0005874	Kinesin-like protein KIN-7E
XP_009117421.2	91	AT2G21290.1	AT2G21290.1	orthologue	GO:0032544;GO:0003674;GO:0009536;GO:0005739;GO:0005840;GO:1990904	Small ribosomal subunit protein bTHXm (30S ribosomal protein S31, mitochondrial)
XP_009117422.1	323	AT2G21270.3	AT2G21270.3	orthologue	GO:0006511;GO:0036503;GO:0034098;GO:0031593;GO:0009507;GO:0010498	AT2G21270 protein (Ubiquitin fusion degradation 1);At2g21270 (Putative ubiquitin fusion-degradation protein) (Ubiquitin fusion degradation 1)
XP_009117424.1	309	AT2G21260.1, AT2G21250.1	AT2G21250.1	orthologue	GO:0016491;GO:0005829;GO:0047641;GO:0004032;GO:0005739;GO:0005737;GO:0008150;GO:0016616;GO:0004033	At2g21260 (NAD(P)-linked oxidoreductase superfamily protein) (Putative NADPH dependent mannose 6-phosphate reductase);NAD(P)-linked oxidoreductase superfamily protein;NAD(P)-linked oxidoreductase superfamily protein (Putative NADPH-dependent mannose 6-phosphate reductase)
XP_009117425.3	172	AT2G21237.1, AT4G38905.1	AT2G21237.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0016020	At2g21237 (Transmembrane protein);Transmembrane protein
XP_009117429.1	376	AT2G21230.3	AT2G21230.3	other	GO:0005515;GO:0090567;GO:0005634;GO:0010628;GO:0006355;GO:0003700;GO:0010629;GO:0000976;GO:0003677	Basic-leucine zipper (BZIP) transcription factor family protein;bZIP transcription factor 30 (AtbZIP30) (Protein DRINK ME)
XP_009117431.1	272	AT2G21190.1	AT2G21190.1	orthologue	GO:0005575;GO:0006621;GO:0046923;GO:0005789;GO:0015031;GO:0016192;GO:0016020	ER lumen protein retaining receptor family protein (Putative ER lumen protein retaining receptor)
XP_009117432.1	132	AT2G21180.1	AT2G21180.1	orthologue	GO:0003674;GO:0005575;GO:0016020	At2g21180/F26H11.6 (Expressed protein) (Transmembrane protein)
XP_009117433.1	93	AT2G21185.1	AT2G21185.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Expressed protein (Transmembrane protein)
XP_009117434.2	320	AT2G21170.1	AT2G21170.1	orthologue	GO:0009579;GO:0009570;GO:0006094;GO:0006096;GO:0009658;GO:0004807;GO:0046166;GO:0080022;GO:0019253;GO:0009507;GO:0009941;GO:0005829;GO:0048046;GO:0019563;GO:0048609;GO:0005739;GO:0006642	Triosephosphate isomerase;Triosephosphate isomerase, chloroplastic (TIM) (Triose-phosphate isomerase) (EC 5.3.1.1)
XP_009117435.1	518	AT3G13810.2	AT3G13810.2	orthologue	GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0008270	Indeterminate(ID)-domain 11;Protein indeterminate-domain 11
XP_009117436.1	258	AT2G21160.1	AT2G21160.1	orthologue	GO:0005783;GO:0009535;GO:0008150;GO:0005886;GO:0000325;GO:0005739;GO:0005576;GO:0003674;GO:0005794;GO:0005773;GO:0005789	Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha);Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)
XP_009117437.1	336	AT2G21150.1	AT2G21150.1	orthologue	GO:0010099;GO:0009637;GO:0035196;GO:0042752;GO:0010114;GO:0003674;GO:0006325;GO:0005634;GO:0009873;GO:0048511	Protein XAP5 CIRCADIAN TIMEKEEPER
XP_009117438.2	338	AT2G21120.1	AT2G21120.1	orthologue	GO:0005783;GO:0051607;GO:0016020;GO:0015095;GO:0009507;GO:0015693;GO:0005769;GO:0005886	Probable magnesium transporter NIPA6
XP_009117439.1	194	AT2G21110.1	AT2G21110.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005576;GO:0009699;GO:0048046	Dirigent protein 4 (AtDIR4)
XP_009117440.1	188	AT2G21100.1	AT2G21100.1	orthologue	GO:0003674;GO:0005575;GO:0009699;GO:0048046	Dirigent protein 23 (AtDIR23)
XP_009117442.2	519	AT2G21090.1	AT2G21090.1	orthologue	GO:0005575;GO:0005739;GO:0003723;GO:0009451;GO:0005515	Pentatricopeptide repeat-containing protein At2g21090
XP_009117443.1	483	AT2G21050.1	AT2G21050.1	orthologue	GO:0015171;GO:0010588;GO:0009624;GO:0048829;GO:0010262;GO:0003333;GO:0016020;GO:0005886;GO:0006865;GO:0009734;GO:0015293	Auxin transporter-like protein 2 (AUX1-like protein 2)
XP_009117444.1	199	AT2G21060.1, AT4G38680.1	AT2G21060.1	other	GO:0009409;GO:0009793;GO:0008270;GO:0005829;GO:0005634;GO:0003729;GO:0010154;GO:0010228;GO:0009414;GO:0003697;GO:0009269;GO:0048443;GO:0005737;GO:0005730;GO:0005886;GO:0009631;GO:0032508;GO:0043457;GO:0003676;GO:0048316;GO:0009737;GO:0003690;GO:0031982;GO:0003677	Cold shock domain-containing protein 4 (AtCSP4) (Glycine-rich protein 2b) (AtGRP2b);Cold shock protein 2 (AtCSP2) (Cold shock domain-containing protein 2) (Glycine-rich protein 2) (AtGRP2)
XP_009117445.1	541	AT2G21010.1, AT2G20990.3	AT2G20990.3	orthologue	GO:0005783;GO:0008289;GO:0008150;GO:0009409;GO:0006612;GO:0009615;GO:0032541;GO:0001778;GO:0061817;GO:0009612;GO:0005886;GO:0009898;GO:0005515;GO:0032456;GO:0006897;GO:0046740;GO:1901981;GO:0000325;GO:0019992;GO:0009506;GO:0005768;GO:0007029;GO:0140268;GO:0005737;GO:0006869;GO:0012505;GO:0016020;GO:0010008;GO:0046872	Calcium-dependent lipid-binding (CaLB domain) family protein;Synaptotagmin A;Synaptotagmin-1 (NTMC2T1.1) (Synaptotagmin A)
XP_009117448.1	94	AT3G51820.1	AT3G51820.1	other	GO:0009534;GO:0015995;GO:0009535;GO:0046408;GO:0005829;GO:0009507;GO:0031969	Chlorophyll synthase, chloroplastic (EC 2.5.1.62) (Polyprenyl transferase) (Protein G4) (AtG4)
XP_009117450.2	418	AT2G20970.2	AT2G20970.2	other	GO:0005739;GO:0003674;GO:0008150;GO:0016020	Lipid-binding protein
XP_009117454.1	532	AT2G20950.7	AT2G20950.7	orthologue	GO:0005737;GO:0005634;GO:0003674	Phospholipase-like protein (PEARLI 4) family protein
XP_009117458.1	137	AT2G20930.1	AT2G20930.1	orthologue	GO:0005634;GO:0003674;GO:0006888;GO:0005794;GO:0005737;GO:0030008	Trafficking protein particle complex subunit 2-like protein
XP_009117459.1	582	AT3G13790.1	AT3G13790.1	orthologue	GO:0005975;GO:0050832;GO:0005515;GO:0004564;GO:0010494;GO:0005576;GO:0005886;GO:0009611;GO:0004553;GO:0009505;GO:0048046	Beta-fructofuranosidase, insoluble isoenzyme CWINV1 (EC 3.2.1.26) (Cell wall beta-fructosidase 1) (AtbetaFRUCT1) (Cell wall invertase 1) (AtcwINV1) (Sucrose hydrolase 1);Glycosyl hydrolases family 32 protein
XP_009117460.1	296	AT2G20890.1	AT2G20890.1	orthologue	GO:0009570;GO:0050829;GO:0072597;GO:0009532;GO:0009528;GO:0009941;GO:1903426;GO:0009535;GO:0009507;GO:0005515;GO:0045038;GO:0010207;GO:0009527;GO:0009534;GO:2000070;GO:0010319;GO:0015996;GO:1902458;GO:0010182;GO:0005739;GO:0010027;GO:0007186;GO:0045037;GO:0009707;GO:0015979	Protein THYLAKOID FORMATION 1, chloroplastic
XP_009117462.1	311	AT2G20880.1	AT2G20880.1	orthologue	GO:2000070;GO:0005737;GO:0005634;GO:0043565;GO:0000976;GO:0045893;GO:1900036;GO:0005515;GO:0009651;GO:0003700;GO:0009873;GO:0006355;GO:0003677	Ethylene-responsive transcription factor ERF053 (AtERF53)
XP_009117463.1	102	AT2G20875.1	AT2G20875.1	orthologue	GO:2000122;GO:0003674;GO:0010052;GO:0010374;GO:0010375;GO:0005576	Protein EPIDERMAL PATTERNING FACTOR 1 [Cleaved into: MEPF1]
XP_009117464.1	147	AT2G20870.1	AT2G20870.1	orthologue	GO:0005886;GO:0008150;GO:0003674;GO:0005576	Putative cell wall protein
XP_009117465.1	374	AT2G20860.1	AT2G20860.1	orthologue	GO:0009107;GO:0009507;GO:0016992;GO:0005759;GO:0006546;GO:0005739;GO:0046872;GO:0051539;GO:0003824;GO:0051536	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoate-protein ligase) (AtLPLA) (Lipoic acid synthase)
XP_009117467.1	436	AT2G20830.2	AT2G20830.2	orthologue	GO:0009507;GO:0035999;GO:0005542;GO:0005794;GO:0016740;GO:0046903;GO:0048364	Formiminotransferase cyclodeaminase-like protein (AtFTCD-L) (EC 2.1.2.5);glutamate formimidoyltransferase (EC 2.1.2.5)
XP_009117468.1	91	AT2G20820.2	AT2G20820.2	orthologue	GO:0003674;GO:0009507;GO:0008150	At2g20820;Expressed protein
XP_009117469.1	839	AT3G13750.1	AT3G13750.1	orthologue	GO:0009505;GO:0019388;GO:0030246;GO:0005576;GO:0004565;GO:0005773;GO:0005829;GO:0009827;GO:0009506;GO:0005975;GO:0048046;GO:0004553	Beta-galactosidase 1 (Lactase 1) (EC 3.2.1.23)
XP_009117470.1	316	AT2G20760.1	AT2G20760.1	orthologue	GO:0072583;GO:0030125;GO:0005886;GO:0030130;GO:0005739;GO:0006886;GO:0030132;GO:0032050;GO:0005829;GO:0005634;GO:0005198;GO:0016192	Clathrin light chain 1
XP_009117473.1	520	AT2G20635.1	AT2G20635.1	orthologue	GO:0007094;GO:0044024;GO:0004672;GO:0004674;GO:0005737;GO:0000776;GO:0006468;GO:0051754;GO:0000940;GO:0005524;GO:0005634;GO:0007059;GO:0051301;GO:0106310	Mitotic checkpoint serine/threonine-protein kinase BUB1 (AtBUB1) (EC 2.7.11.1) (Protein BUDDING UNINHIBITED BY BENZYMIDAZOL 1)
XP_009117474.1	294	AT2G20670.1	AT2G20670.1	orthologue	GO:0003674;GO:0005634;GO:0009507;GO:0031667	Expressed protein (Sugar phosphate exchanger, putative (DUF506))
XP_009117475.1	280	AT2G20630.2, AT4G28400.1	AT4G28400.1	other	GO:0004722;GO:0005739;GO:0010494;GO:0017018;GO:0005515;GO:1902531;GO:0005886;GO:0009507;GO:0046872;GO:0006470	Probable protein phosphatase 2C 20 (AtPP2C20) (EC 3.1.3.16) (AtPPC3;1.2);Probable protein phosphatase 2C 58 (AtPP2C58) (EC 3.1.3.16);protein-serine/threonine phosphatase (EC 3.1.3.16)
XP_009117477.1	423	AT5G36160.1	AT5G36160.1	other	GO:0006559;GO:0005737;GO:0030170;GO:0004838;GO:0006572;GO:0009536;GO:0009058;GO:0005829;GO:0006520;GO:0008483	Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase)
XP_009117478.2	513	AT2G20590.1	AT2G20590.1	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0005789	Reticulon-like protein;Reticulon-like protein B17 (AtRTNLB17)
XP_009117480.1	416	AT2G20570.2	AT2G20570.2	orthologue	GO:0005634;GO:0000976;GO:0045893;GO:1900056;GO:0005515;GO:0009658;GO:0003700;GO:0010380;GO:0007165;GO:0009910;GO:0003677	GBF's pro-rich region-interacting factor 1;Transcription activator GLK1 (GBF'S PRO-RICH REGION-INTERACTING factor 1) (Golden2-like protein 1) (AtGLK1)
XP_009117484.1	73	AT2G20562.1	AT2G20562.1	orthologue	GO:0005615;GO:0003674	Signaling peptide TAXIMIN 2
XP_009117485.1	538	AT2G20540.1	AT2G20540.1	orthologue	GO:0003723;GO:0005739;GO:0009451;GO:0080156;GO:0005515	Mitochondrial editing factor 21;Pentatricopeptide repeat-containing protein At2g20540
XP_009117487.1	64	AT2G20490.1	AT2G20490.1	orthologue	GO:0005730;GO:0005634;GO:0031118;GO:0010197;GO:0031120;GO:0070034;GO:0030515;GO:0005739;GO:0031429;GO:0001522;GO:0015030;GO:0006364;GO:1990904;GO:0042254;GO:1904874	H/ACA ribonucleoprotein complex subunit 3-like protein (Nucleolar protein 10);Nucleolar protein 10
XP_009117488.1	460	AT4G34020.1	AT4G34020.1	orthologue	GO:0005739;GO:0009658;GO:0009507;GO:0003674;GO:0005737;GO:1903189;GO:0016020	Class I glutamine amidotransferase-like superfamily protein;Protein DJ-1 homolog C (AtDJ1C)
XP_009117489.1	568	AT2G20470.1	AT2G20470.1	orthologue	GO:0016310;GO:0004674;GO:0005739;GO:0005634;GO:0009846;GO:0035556;GO:0009555;GO:0005515;GO:0016301;GO:0005737;GO:0005524;GO:0106310;GO:0006468;GO:0004672	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_009117492.1	528	AT5G24150.1	AT5G24150.1	other	GO:0016126;GO:0050660;GO:0004506;GO:0005783;GO:0005576;GO:0009725;GO:0016020	Squalene epoxidase 5 (AtSQE5) (EC 1.14.14.17) (Squalene monooxygenase 1,1) (SE 1,1);Squalene monooxygenase (EC 1.14.14.17)
XP_009117493.1	204	AT2G20430.1, AT4G28556.1	AT2G20430.1	other	GO:0003674;GO:0009860;GO:0016324;GO:0005634;GO:0009416;GO:0005886;GO:0005737	CRIB domain-containing protein RIC6 (ROP-interactive CRIB motif-containing protein 6) (Target of ROP protein RIC6);CRIB domain-containing protein RIC7 (ROP-interactive CRIB motif-containing protein 7) (Target of ROP protein RIC7);PAK-box/P21-Rho-binding family protein
XP_009117494.1	127	AT2G20362.1	AT2G20362.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0016020	Transmembrane protein
XP_009117495.2	437	AT2G20360.1	AT2G20360.1	orthologue	GO:0006744;GO:0005739;GO:0045271;GO:0044877;GO:0005759;GO:1901006	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial
XP_009117496.1	492	AT3G13730.1	AT3G13730.1	orthologue	GO:0016132;GO:0020037;GO:0048443;GO:0048868;GO:0102097;GO:0048441;GO:0010268;GO:0048366;GO:0005506;GO:0009507;GO:0016709;GO:0000476;GO:0000967;GO:0004525;GO:0006396;GO:0005789;GO:0004497;GO:0016705;GO:0007275;GO:0016125;GO:0016491	22alpha-hydroxysteroid 23-monooxygenase (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22R,23R)-22,23-dihydroxycampesterol synthase) (6-deoxoteasterone synthase) (Teasterone synthase);3-epi-6-deoxocathasterone 23-monooxygenase CYP90D1 (3-dehydro-6-deoxoteasterone synthase) (EC 1.14.14.147) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) (EC 1.14.14.-) ((22R,23R)-22,23-dihydroxycampesterol synthase) (EC 1.14.14.-) (6-deoxoteasterone synthase) (EC 1.14.14.-) (Cytochrome P450 90D1) (Teasterone synthase) (EC 1.14.14.-);Ribonuclease III family protein
XP_009117497.1	490	AT2G20340.1	AT2G20340.1	other	GO:0016831;GO:0019752;GO:0005737;GO:1990055;GO:0006559;GO:0030170;GO:0106425;GO:0006520;GO:0009611;GO:0016740;GO:0016830	Phenylacetaldehyde synthase (AtPAAS) (EC 4.1.1.109) (3,4-dihydroxyphenylacetaldehyde synthase) (DHPAA synthase) (EC 4.1.1.107) (Aromatic L-amino acid decarboxylase) (Aromatic aldehyde synthase) (AtAAS);Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
XP_009117498.1	738	AT2G20300.1	AT2G20300.1	orthologue	GO:0005576;GO:0010068;GO:0048367;GO:1905393;GO:0004674;GO:0046777;GO:0016301;GO:0090558;GO:0005524;GO:0005886;GO:0030154;GO:0106310;GO:0004672;GO:0006468	Receptor-like serine/threonine-protein kinase ALE2 (EC 2.7.11.1) (Protein ABNORMAL LEAF SHAPE 2)
XP_009117500.1	367	AT2G20280.1	AT2G20280.1	orthologue	GO:0003674;GO:0005829;GO:0002181;GO:0005737;GO:0005739;GO:0003677;GO:0008270;GO:0046872;GO:0003729	Zinc finger CCCH domain-containing protein 21 (AtC3H21)
XP_009117501.1	288	AT1G76810.1	AT1G76810.1	other	GO:0005739;GO:0003729;GO:0003924;GO:0005737;GO:0006413;GO:0005525;GO:0003743;GO:0046872	Eukaryotic translation initiation factor 5B (EC 3.6.5.3) (Translation initiation factor IF-2)
XP_009117506.1	294	AT1G76810.1	AT1G76810.1	other	GO:0005739;GO:0003729;GO:0003924;GO:0005737;GO:0006413;GO:0005525;GO:0003743;GO:0046872	Eukaryotic translation initiation factor 5B (EC 3.6.5.3) (Translation initiation factor IF-2)
XP_009117507.1	366	AT2G20100.3	AT2G20100.3	orthologue	GO:0003700;GO:0006357;GO:0000978;GO:0046983;GO:0006355;GO:0005515;GO:0005634;GO:0000981;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH133 (Basic helix-loop-helix protein 133) (AtbHLH133) (bHLH 133) (bHLH transcription factor bHLH133)
XP_009117508.1	183	AT2G20080.1	AT2G20080.1	orthologue	GO:0045892;GO:0005634;GO:0003700;GO:0009507;GO:0005515	Protein SPEAR1 (SPL-like, EAR-containing protein 1) (TCP interactor containing EAR motif protein 2);TIE2
XP_009117509.1	208	AT3G13720.1	AT3G13720.1	other	GO:0016192;GO:0005794;GO:0005783;GO:0009507;GO:0005515;GO:0005789	PRA1 family protein F3 (AtPRA1.F3) (Prenylated Rab acceptor 8)
XP_009117510.1	289	AT2G20060.1	AT2G20060.1	orthologue	GO:0003729;GO:0005739;GO:0003735;GO:0006412;GO:0005840;GO:1990904	Large ribosomal subunit protein uL4m
XP_009117511.1	389	AT2G20030.1	AT2G20030.1	orthologue	GO:0003674;GO:0005634;GO:0016567;GO:0008270;GO:0016020;GO:0016740	Putative RING-H2 finger protein ATL12 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL12)
XP_009117515.2	520	AT2G19880.2	AT2G19880.2	orthologue	GO:0006679;GO:0016020;GO:0008120;GO:0006665;GO:0016757	ceramide glucosyltransferase (EC 2.4.1.80)
XP_009117516.1	421	AT2G04810.1, AT2G04840.1, AT2G04830.1, AT2G03610.1, AT5G38270.1, AT2G03560.1	AT2G04810.1	other	GO:0003674;GO:0006511;GO:0005634;GO:0008150;GO:0005575;;GO:0005515	At2g04830 (F-box only protein (DUF295));F-box only protein (DUF295);F-box only protein 7;Putative F-box protein At2g03610;Putative F-box protein At2g04810;Putative F-box protein At5g38270
XP_009117519.2	182	AT3G13720.1, AT3G13710.1	AT3G13710.1	orthologue	GO:0005783;GO:0005794;GO:0005886;GO:0016192;GO:0003674;GO:0009507;GO:0005515;GO:0005789;GO:0010008	PRA1 family protein F3 (AtPRA1.F3) (Prenylated Rab acceptor 8);PRA1 family protein F4 (AtPRA1.F4)
XP_009117521.2	134	AT2G19770.1	AT2G19770.1	orthologue	GO:0030036;GO:0003785;GO:0005634;GO:0005938;GO:0009524;GO:0042989;GO:0005737;GO:0005739;GO:0005856;GO:0003779	Profilin-5 (AtPROF4) (AthPRF4)
XP_009117523.1	80	AT5G56670.1, AT4G29390.1, AT2G19750.1	AT5G56670.1	other	GO:0005737;GO:0022627;GO:0005886;GO:0005730;GO:0003729;GO:0008150;GO:0005739;GO:0009536;GO:0006412;GO:0003735;GO:0005840	Small ribosomal subunit protein eS30z/eS30y/eS30x (40S ribosomal protein S30)
XP_009117524.2	122	AT5G08535.1, AT3G52350.1	AT5G08535.1	orthologue	GO:0003676;GO:0005634;GO:0008150	AT5g08540/MAH20_10 (D111/G-patch domain-containing protein);D111/G-patch domain-containing protein
XP_009117525.1	119	AT2G19740.1	AT2G19740.1	orthologue	GO:0005737;GO:0002181;GO:0022626;GO:0003735;GO:0003729;GO:0022625;GO:0009507;GO:0006412;GO:0005840	Large ribosomal subunit protein eL31z (60S ribosomal protein L31-1)
XP_009117526.1	143	AT2G19730.1	AT2G19730.1	orthologue	GO:0022625;GO:0005634;GO:0005737;GO:0003729;GO:0022626;GO:0009505;GO:0009507;GO:0009506;GO:0009955;GO:0006412;GO:0005654;GO:0005730;GO:0005739;GO:0009965;GO:0005886;GO:0003735;GO:0005840	Large ribosomal subunit protein eL28z (60S ribosomal protein L28-1) (Protein ASYMMETRIC LEAVES1/2 ENHANCER 5)
XP_009117527.2	585	AT2G19600.1	AT2G19600.1	orthologue	GO:0015386;GO:1902600;GO:0071805;GO:0015079;GO:0000138;GO:0000139;GO:0006812;GO:0015297;GO:0016020;GO:0055085	K(+) efflux antiporter 4 (AtKEA4)
XP_009117528.1	347	AT2G19620.1	AT2G19620.1	orthologue	GO:0005737;GO:0009737;GO:0005515;GO:0009753;GO:2000012;GO:0009409;GO:0016020	N-MYC downregulated-like 3;Protein NDL3 (Protein N-MYC DOWNREGULATED-LIKE 3)
XP_009117530.1	214	AT3G13720.1	AT3G13720.1	other	GO:0016192;GO:0005794;GO:0005783;GO:0009507;GO:0005515;GO:0005789	PRA1 family protein F3 (AtPRA1.F3) (Prenylated Rab acceptor 8)
XP_009117531.1	310	AT2G19590.1	AT2G19590.1	orthologue	GO:0005737;GO:0009693;GO:0051365;GO:0071398;GO:0071732;GO:0009815;GO:0006952;GO:0031418;GO:0046872;GO:0016491	1-aminocyclopropane-1-carboxylate oxidase 1 (ACC oxidase 1) (AtACO1) (EC 1.14.17.4);aminocyclopropanecarboxylate oxidase (EC 1.14.17.4)
XP_009117532.2	270	AT2G19580.1	AT2G19580.1	orthologue	GO:0009734;GO:0003674;GO:0009507;GO:0005886;GO:0009506;GO:0016020	Tetraspanin-2
XP_009117533.2	473	AT2G19540.1	AT2G19540.1	orthologue	GO:0005515;GO:0016567;GO:0080008;GO:0005634;GO:1900035;GO:0042254;GO:0009408;GO:0005730	Protein HEAT STRESS TOLERANT DWD 1
XP_009117534.1	199	AT2G19530.1	AT2G19530.1	orthologue	GO:0009507;GO:0003674;GO:0008150;GO:0016020	Transmembrane protein
XP_009117535.2	504	AT2G19520.1, AT4G29730.1	AT2G19520.1	other	GO:0006355;GO:0005515;GO:0006281;GO:0080188;GO:0000118;GO:0009965;GO:0046872;GO:0042393;GO:0005730;GO:2000028;GO:1904629;GO:0009627;GO:0035098;GO:0005634;GO:0080008;GO:0005739;GO:0006338;GO:0009908;GO:0048510;GO:0005829;GO:0010090;GO:0010224;GO:0009826;GO:0040029;GO:0005737;GO:0010629;GO:0030154;GO:0006325	Nucleosome/chromatin assembly factor group C5;WD-40 repeat-containing protein MSI4 (Altered cold-responsive gene 1 protein) (Nucleosome remodeling factor complex component 4) (Protein MULTICOPY SUPPRESSOR OF IRA1 4) (AtMSI4);WD-40 repeat-containing protein MSI5 (Protein MULTICOPY SUPPRESSOR OF IRA1 5) (AtMSI5)
XP_009117536.1	430	AT2G19490.1	AT2G19490.1	orthologue	GO:0140664;GO:0016887;GO:0006281;GO:0003697;GO:0009507;GO:0005524;GO:0005739;GO:0006310;GO:0003677;GO:0006259;GO:0008094	DNA repair protein recA homolog 3, mitochondrial (Recombinase A homolog 3)
XP_009117537.1	361	AT2G19480.1	AT2G19480.1	orthologue	GO:0005515;GO:0006281;GO:0006334;GO:0003682;GO:0000724;GO:0005634;GO:0016444;GO:0005737;GO:0042802;GO:0005739;GO:0042393;GO:0009294;GO:0000785;GO:0005829	Nucleosome assembly protein 12;Nucleosome assembly protein 1;2 (AtNAP1;2) (Nucleosome/chromatin assembly factor group A2)
XP_009117538.2	487	AT1G19450.1	AT1G19450.1	orthologue	GO:0015144;GO:0055085;GO:0000325;GO:0015755;GO:0032922;GO:0016020;GO:0009705;GO:0022857;GO:0051119;GO:0008643	Sugar transporter ERD6-like 4
XP_009117539.1	511	AT1G19440.1	AT1G19440.1	orthologue	GO:0005737;GO:0006633;GO:0005783;GO:0000038;GO:0160062;GO:0009922;GO:0016020;GO:0016747;GO:0016746	3-ketoacyl-CoA synthase 4 (KCS-4) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 4) (VLCFA condensing enzyme 4)
XP_009117540.1	303	AT1G19400.1	AT1G19400.1	orthologue	GO:0009527;GO:0005634;GO:0004617;GO:0016020	Erythronate-4-phosphate dehydrogenase family protein
XP_009117541.1	752	AT3G13690.1	AT3G13690.1	orthologue	GO:0004672;GO:0046777;GO:0004674;GO:0005886;GO:0005634;GO:0007165;GO:0005524;GO:0016787;GO:0006468	Kinase with adenine nucleotide alpha hydrolases-like domain-containing protein
