Brassica_oleracea	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013593520.1	121	AT4G15930.1	AT4G15930.1	orthologue	GO:0005829;GO:0007017;GO:0045505;GO:0005737;GO:0005868;GO:0005634;GO:0005874;GO:0015031;GO:0030286;GO:0051028;GO:0005875	Dynein light chain
XP_013593521.1	359	AT2G18620.1	AT2G18620.1	orthologue	GO:0009507;GO:0033384;GO:0033386;GO:0004311;GO:0045337;GO:0004161;GO:0004337;GO:0016117;GO:0046872;GO:0004659;GO:0008299	Geranylgeranyl pyrophosphate synthase 7, chloroplastic (GGPP synthase 7) (GGPS7) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase 7) (Dimethylallyltranstransferase 7) (EC 2.5.1.1) (Farnesyl diphosphate synthase 7) (Farnesyltranstransferase 7) (EC 2.5.1.29) (Geranyltranstransferase 7) (EC 2.5.1.10)
XP_013593522.1	427	AT2G20440.1	AT2G20440.1	orthologue	GO:0005634;GO:0005096;GO:0005737;GO:0016020;GO:0090630	At2g20440 (Ypt/Rab-GAP domain of gyp1p superfamily protein);Ypt/Rab-GAP domain of gyp1p superfamily protein
XP_013593525.1	289	AT4G38150.1	AT4G38150.1	orthologue	GO:0003674;GO:0008150;GO:0005739;;GO:0005515	Pentatricopeptide repeat-containing protein At4g38150
XP_013593526.1	541	AT5G46340.1	AT5G46340.1	orthologue	GO:0045491;GO:0045492;GO:0009834;GO:1990937;GO:0005794;GO:0010411;GO:0016407;GO:0000139;GO:0016491;GO:0016740;GO:0016020;GO:0005975	O-acetyltransferase family protein;Protein REDUCED WALL ACETYLATION 1 (EC 2.3.1.-)
XP_013593527.1	406	AT4G24780.1	AT4G24780.1	orthologue	GO:0009624;GO:0005576;GO:0045490;GO:0016829;GO:0030570;GO:0005829;GO:0046872	Probable pectate lyase 18 (EC 4.2.2.2) (Pectate lyase A10)
XP_013593528.1	108					
XP_013593529.1	281	AT2G16850.1	AT2G16850.1	orthologue	GO:0015250;GO:0005515;GO:0055085;GO:0006833;GO:0005737;GO:0005886;GO:0015267;GO:0016020	Probable aquaporin PIP2-8 (Plasma membrane intrinsic protein 2-8) (AtPIP2;8) (Plasma membrane intrinsic protein 3b) (PIP3b)
XP_013593530.1	291	AT4G21790.1	AT4G21790.1	orthologue	GO:0009705;GO:0046786;GO:0000325;GO:0005515;GO:0005774	Tobamovirus multiplication protein 1 (AtTOM1)
XP_013593531.1	463	AT4G30610.1	AT4G30610.1	orthologue	GO:0009742;GO:0005615;GO:0004185;GO:0005576;GO:0006508	Serine carboxypeptidase 24 (EC 3.4.16.6) (Bri1 suppressor 1) (Carboxypeptidase D) (Serine carboxypeptidase II) [Cleaved into: Serine carboxypeptidase 24 chain A (Serine carboxypeptidase II chain A); Serine carboxypeptidase 24 chain B (Serine carboxypeptidase II chain B)]
XP_013593532.1	355	AT5G61420.2	AT5G61420.2	orthologue	GO:0050832;GO:0009617;GO:0010439;GO:0006355;GO:0009625;GO:0000976;GO:0005634;GO:0009682;GO:0003700;GO:0010438	Transcription factor MYB28 (Myb-related protein 28) (AtMYB28) (Protein HIGH ALIPHATIC GLUCOSINOLATE 1) (Protein PRODUCTION OF METHIONINE-DERIVED GLUCOSINOLATE 1)
XP_013593534.1	467	AT5G43780.1	AT5G43780.1	orthologue	GO:0009507;GO:0000103;GO:0009570;GO:0004020;GO:0004781;GO:0070814;GO:0005739;GO:0009536;GO:0005524	ATP sulfurylase 4, chloroplastic (EC 2.7.7.4)
XP_013593535.1	184	AT5G43770.1	AT5G43770.1	orthologue	GO:0003674;GO:0005575	At5g43770 (Proline-rich family protein)
XP_013593537.1	501	AT4G22860.1	AT4G22860.1	orthologue	GO:0005819;GO:0005634;GO:0090307;GO:0005874;GO:0060236;GO:0005880;GO:0005739;GO:0030295;GO:0005515;GO:0055028;GO:0008017;GO:0032147	At4g22860 (Cell cycle regulated microtubule associated protein);Cell cycle regulated microtubule associated protein
XP_013593540.1	358	AT4G22880.1	AT4G22880.1	orthologue	GO:0007033;GO:0050589;GO:0010023;GO:0009753;GO:0005737;GO:0009718;GO:0009611;GO:0016706;GO:0031418;GO:0046872	Leucoanthocyanidin dioxygenase (LDOX) (Leucocyanidin oxygenase) (EC 1.14.20.4) (Anthocyanidin synthase) (ANS) (Leucoanthocyanidin hydroxylase) (Protein TANNIN DEFICIENT SEED 4) (TDS4) (Protein TRANSPARENT TESTA 11) (TT11) (Protein TRANSPARENT TESTA 17) (TT17) (Protein TRANSPARENT TESTA 18) (TT18)
XP_013593541.1	288	AT4G21010.1, AT4G20330.1	AT4G20330.1	orthologue	GO:0006367;GO:0001097;GO:0005634;GO:0005673;GO:0003677	Transcription initiation factor IIE subunit beta
XP_013593542.1	436	AT4G35600.2	AT4G35600.2	other	GO:0009838;GO:0060862;GO:0005886;GO:0004674;GO:0009507;GO:0005515;GO:0005634;GO:0004672;GO:0005524;GO:0106310;GO:0006468	Probable serine/threonine-protein kinase CST (EC 2.7.11.1) (Protein CAST AWAY);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_013593543.1	242	AT2G01250.1	AT2G01250.1	orthologue	GO:0005773;GO:0005737;GO:0005739;GO:0009505;GO:0022625;GO:0000325;GO:0009507;GO:0003723;GO:0022626;GO:0000463;GO:0003735;GO:0003729;GO:0005840;GO:1990904	AT2G01250 protein (Ribosomal protein L30/L7 family protein);Large ribosomal subunit protein uL30y (60S ribosomal protein L7-2)
XP_013593544.1	346	AT2G01110.1	AT2G01110.1	orthologue	GO:0009507;GO:0043953;GO:0033281;GO:0042651;GO:0065002;GO:0009535;GO:0010027;GO:0043235;GO:0009977;GO:0009567;GO:0016020	Sec-independent protein translocase protein TATC, chloroplastic (Protein ALBINO AND PALE GREEN 2) (Protein TWIN-ARGININE TRANSLOCATION C) (Protein UNFERTILIZED EMBRYO SAC 3)
XP_013593545.1	1157	AT5G48310.1	AT5G48310.1	orthologue	GO:0009628;GO:0005634;GO:0009737;GO:0003674;GO:0005886;GO:0009507;GO:0016020	Portal protein
XP_013593546.1	760	AT2G07050.1	AT2G07050.1	orthologue	GO:0005811;GO:0019745;GO:0016871;GO:0009555;GO:0016104;GO:0005739;GO:0005773;GO:0000325;GO:0010027;GO:0016866	Cycloartenol synthase (AtCYC) (EC 5.4.99.8) (2,3-epoxysqualene--cycloartenol cyclase);Terpene cyclase/mutase family member (EC 5.4.99.-)
XP_013593548.1	412	AT1G27440.1	AT1G27440.1	orthologue	GO:0006486;GO:0010417;GO:0009834;GO:0080116;GO:0009507;GO:0047517;GO:0000139;GO:0071555;GO:0009101;GO:0016757	Probable beta-1,4-xylosyltransferase IRX10 (EC 2.4.2.-) (Glucuronoxylan glucuronosyltransferase 1) (AtGUT1) (Glucuronoxylan glucuronosyltransferase 2) (Protein IRREGULAR XYLEM 10) (Xylan xylosyltransferase IRX10)
XP_013593549.1	307	AT2G26230.1	AT2G26230.1	orthologue	GO:0019628;GO:0004846;GO:0006145;GO:0005739;GO:0005777;GO:0005829;GO:0007031;GO:0006144	Uricase (EC 1.7.3.3) (Nodulin-35 homolog) (Urate oxidase)
XP_013593550.1	679	AT3G24090.1	AT3G24090.1	orthologue	GO:0006047;GO:0010208;GO:0006042;GO:0006487;GO:0004360;GO:0034976;GO:0072720;GO:0005737;GO:0006048;GO:0097367;GO:0006002;GO:0006541;GO:1901135;GO:1901137	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (AtGFAT) (AtGFAT1) (Glutamine:fructose-6-phosphate amidotransferase 1) (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase GFAT1) (Hexosephosphate aminotransferase GFAT1)
XP_013593551.1	278	AT3G27280.1	AT3G27280.1	orthologue	GO:0007005;GO:0005739;GO:0000325;GO:0045271;GO:0005886;GO:0005829;GO:0009536;GO:0003674;GO:0009505;GO:0005743;GO:0016020	Prohibitin-4, mitochondrial (Atphb4)
XP_013593552.1	117	AT4G21902.1	AT4G21902.1	orthologue	GO:0003674;GO:0005739;GO:0008150	Uncharacterized protein
XP_013593553.1	410	AT2G17220.1	AT2G17220.1	orthologue	GO:0004674;GO:0005634;GO:0005886;GO:0005524;GO:0006952;GO:0106310;GO:0004672;GO:0006468	Probable serine/threonine-protein kinase PIX13 (EC 2.7.11.1)
XP_013593554.1	330	AT4G31530.2	AT4G31530.2	orthologue	GO:0016616;GO:0005515;GO:0098572;GO:0009507;GO:0009570;GO:0009941;GO:0010196	At4g31530 (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein
XP_013593555.1	423	AT3G50910.1	AT3G50910.1	orthologue	GO:0005634;GO:0005515;GO:0016020	AT3g50910/F18B3_190 (Netrin receptor DCC)
XP_013593558.1	219	AT3G50920.1	AT3G50920.1	orthologue	GO:0006651;GO:0008195;GO:0009507;GO:0009706;GO:0005789;GO:0006487;GO:0008610;GO:0043231;GO:0047874	Lipid phosphate phosphatase epsilon 1, chloroplastic (AtLPPE1) (EC 3.1.3.-) (Phosphatidic acid phosphatase epsilon 1) (Plastidic phosphatidic acid phosphatase epsilon 1)
XP_013593559.1	476	AT2G04040.1	AT2G04040.1	orthologue	GO:0009507;GO:0022857;GO:1990961;GO:0015691;GO:0005886;GO:0042910;GO:0016020;GO:0015562;GO:0015297;GO:0055085	Protein DETOXIFICATION 1 (AtDTX1) (Multidrug and toxic compound extrusion protein 1) (MATE protein 1)
XP_013593560.1	197	AT2G04039.3	AT2G04039.3	orthologue	GO:0009507;GO:0009579;GO:0003674;GO:0005739;GO:0008150	At2g04039/At2g04039 (DUF2996 family protein) (Predicted protein);DUF2996 family protein
XP_013593561.1	206	AT5G47320.1	AT5G47320.1	other	GO:0009507;GO:0005763;GO:0000028;GO:0003735;GO:0003723;GO:0006412;GO:0003729;GO:0005840;GO:0003676;GO:0015935	Small ribosomal subunit protein uS19m (40S ribosomal protein S19, mitochondrial)
XP_013593562.1	405	AT5G46250.1	AT5G46250.1	orthologue	GO:0005634;GO:0006396;GO:0003729;GO:1990904;GO:0003723;GO:0005844;GO:0003676	La-related protein 6A (AtLARP6a)
XP_013593563.1	454	AT3G48300.2	AT3G48300.2	orthologue	GO:0005576;GO:0008150;GO:0016705;GO:0020037;GO:0005515;GO:0005506;GO:0004497;GO:0016020	Cytochrome P450 71A23 (EC 1.14.-.-);Cytochrome P450, family 71, subfamily A, polypeptide 23
XP_013593564.1	371	AT4G22360.1	AT4G22360.1	orthologue	GO:0003674;GO:0005634	SWIB complex BAF60b domain-containing protein
XP_013593565.1	414	AT2G02450.2	AT2G02450.2	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0003677;GO:0009908	NAC domain-containing protein 35 (ANAC035) (Protein LONG VEGETATIVE PHASE 1) (AtLOV1)
XP_013593566.1	324					
XP_013593567.1	665	AT5G27240.1	AT5G27240.1	other	GO:0005737;GO:0008150;GO:0003674	DNAJ heat shock N-terminal domain-containing protein
XP_013593568.1	361	AT5G67180.1	AT5G67180.1	orthologue	GO:0048460;GO:0003677;GO:0005634;GO:0005515;GO:0006355;GO:0003700;GO:0009873	AP2-like ethylene-responsive transcription factor TOE3 (Protein TARGET OF EAT 3);Target of early activation tagged (EAT) 3
XP_013593569.1	395	AT2G15230.1	AT2G15230.1	orthologue	GO:0010029;GO:0004806;GO:0005515;GO:0005576;GO:2000033;GO:0046486;GO:0005615;GO:0009739;GO:0009740;GO:0016042;GO:0006629;GO:0016788	Triacylglycerol lipase 1 (EC 3.1.1.3)
XP_013593570.1	480	AT4G36480.1	AT4G36480.1	orthologue	GO:0004758;GO:0046513;GO:0046512;GO:0005783;GO:0030148;GO:0009793;GO:0005515;GO:0009507;GO:0043067;GO:0009058;GO:0030170;GO:0009825;GO:0005789	Long chain base biosynthesis protein 1 (AtLCB1) (EC 2.3.1.50) (Protein EMBRYO DEFECTIVE 2779) (Protein FUMONISIN B1 RESISTANT 11);Long-chain base1
XP_013593571.1	285	AT2G03050.2	AT2G03050.2	orthologue	GO:0009793;GO:0071452;GO:0003690;GO:0009507;GO:0005739;GO:0006355;GO:0009658;GO:0006353;GO:0003676;GO:0043231	Transcription termination factor MTEF1, chloroplastic (Mitochondrial transcription termination factor 1) (Protein EMBRYO DEFECTIVE 93) (Protein SINGLET OXYGEN-LINKED DEATH ACTIVATOR 10)
XP_013593572.1	276	AT4G18890.1	AT4G18890.1	orthologue	GO:0006355;GO:0009742;GO:0005634;GO:0005515;GO:0006351;GO:0003700;GO:0003677	BES1/BZR1 homolog protein 3;Protein BZR1 homolog (Protein BRASSINAZOLE-RESISTANT 1 homolog)
XP_013593573.1	314	AT4G18370.1	AT4G18370.1	orthologue	GO:0005576;GO:0009543;GO:0010206;GO:0031977;GO:0009579;GO:0009507;GO:0005829;GO:0004252;GO:0006508	DEGP protease 5;Protease Do-like 5, chloroplastic (EC 3.4.21.-)
XP_013593574.1	220					
XP_013593575.1	182	AT2G01670.1	AT2G01670.1	orthologue	GO:0005737;GO:0016462;GO:0005634;GO:0005739;GO:0046872;GO:0016787	Nudix hydrolase 17, mitochondrial (AtNUDT17) (EC 3.6.1.-)
XP_013593576.1	588	AT5G25880.1	AT5G25880.1	orthologue	GO:0005829;GO:0009507;GO:0051287;GO:0006090;GO:0006108;GO:0009536;GO:0016616;GO:0008948;GO:0004473;GO:0004470;GO:0046872	Malic enzyme;NADP-dependent malic enzyme 3 (AtNADP-ME3) (NADP-malic enzyme 3) (EC 1.1.1.40)
XP_013593577.1	317	AT4G28480.1	AT4G28480.1	orthologue	GO:0051082;GO:0051085;GO:0006457;GO:0005737;GO:0051087;GO:0005829	DNAJ heat shock family protein;DNAJ heat shock family protein (Heat-shock protein)
XP_013593578.1	477	AT2G15090.1	AT2G15090.1	orthologue	GO:0000038;GO:0009507;GO:0009922;GO:0030497;GO:0005783;GO:0006633;GO:0005789;GO:0016746;GO:0016020;GO:0016747	3-ketoacyl-CoA synthase 8 (KCS-8) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 8) (VLCFA condensing enzyme 8)
XP_013593579.1	546	AT4G18260.1	AT4G18260.1	orthologue	GO:0140575;GO:0005575;GO:0020037;GO:0016491;GO:0016020;GO:0046872	Cytochrome b561 domain-containing protein At4g18260 (Protein b561A.tha13)
XP_013593580.1	492	AT4G15820.1	AT4G15820.1	orthologue	GO:0003674;GO:0005634;GO:0016020	ABC subfamily C protein
XP_013593581.1	710	AT3G50420.1	AT3G50420.1	orthologue	GO:0009507;GO:0005739;GO:0003723;GO:0009451;GO:0099402;GO:0043231;GO:0005515	Pentatricopeptide repeat (PPR) superfamily protein;Pentatricopeptide repeat-containing protein At3g50420
XP_013593582.1	242	AT3G50410.1	AT3G50410.1	orthologue	GO:0003677;GO:0000976;GO:0009751;GO:0005634;GO:0045893;GO:0045787;GO:0042545;GO:0003700;GO:0005515;GO:0009733;GO:0008270;GO:0006355	Dof zinc finger protein DOF3.4 (AtDOF3.4) (OBF-binding protein 1)
XP_013593583.1	227	AT2G03690.1	AT2G03690.1	orthologue	GO:0005739;GO:0006744;GO:0003674;GO:0031314;GO:0005743	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial (4-hydroxy-3-methoxy-5-polyprenylbenzoate decarboxylase) (EC 4.1.1.130) (Coenzyme Q biosynthesis protein 4 homolog)
XP_013593584.1	110	AT2G03680.1	AT2G03680.1	orthologue	GO:0055028;GO:0071472;GO:0043622;GO:0005876;GO:0009826;GO:0051211;GO:0009574;GO:0005739;GO:0005829;GO:0003674;GO:0009524;GO:0010005	Protein SPIRAL1 (Protein NAP16kDa)
XP_013593585.1	510	AT5G24120.1	AT5G24120.1	orthologue	GO:0071483;GO:0071472;GO:0045893;GO:0010207;GO:2001141;GO:0009507;GO:0010114;GO:0005515;GO:0006352;GO:0009658;GO:0016987;GO:0005739;GO:0009637;GO:0009553;GO:0010218;GO:0003677;GO:0003700;GO:0006355	RNA polymerase sigma factor sigE, chloroplastic/mitochondrial (Sigma factor E) (Sigma-E) (RNA polymerase sigma factor sig5) (Atsig5) (Sigma factor 5)
XP_013593586.1	276	AT4G26415.1	AT4G26415.1	orthologue	GO:0005739;GO:0008150;GO:0003674	DUF3741 domain-containing protein
XP_013593587.1	261	AT4G26410.1	AT4G26410.1	orthologue	GO:1902659;GO:0071333;GO:0005515;GO:0005739;GO:0005829;GO:0005634	RGS1-HXK1-interacting protein 1
XP_013593588.1	518	AT5G61520.1	AT5G61520.1	orthologue	GO:0015144;GO:0015749;GO:0015145;GO:0005739;GO:0015293;GO:0016020;GO:0022857;GO:0055085	Major facilitator superfamily protein;Sugar transport protein 3 (Hexose transporter 3)
XP_013593589.1	471	AT2G19450.1	AT2G19450.1	orthologue	GO:0009409;GO:0045995;GO:0009941;GO:0005811;GO:0005789;GO:0010029;GO:0004144;GO:0019432;GO:0016020;GO:0005515;GO:0009793;GO:0009737;GO:0009651;GO:0005975;GO:0010030;GO:0009749;GO:0005634;GO:0006071;GO:0031969;GO:0008374	Diacylglycerol O-acyltransferase 1 (AtDGAT1) (EC 2.3.1.20) (Protein TRIACYLGLYCEROL 1)
XP_013593590.1	284	AT2G02360.1	AT2G02360.1	orthologue	GO:0016567;GO:0030246;GO:0005634;GO:0005515	F-box protein PP2-B10 (Protein PHLOEM PROTEIN 2-LIKE B10) (AtPP2-B10)
XP_013593591.1	281	AT4G37790.1	AT4G37790.1	orthologue	GO:0005515;GO:0009738;GO:0009414;GO:0001217;GO:0009735;GO:0000976;GO:0009737;GO:0003700;GO:0005634;GO:0000981;GO:0003677;GO:0006355;GO:0043565	Homeobox-leucine zipper protein HAT22 (Homeodomain-leucine zipper protein HAT22) (HD-ZIP protein 22)
XP_013593592.1	316	AT1G27630.1	AT1G27630.1	orthologue	GO:0006357;GO:0005634;GO:0032786;GO:0005515;GO:0045944;GO:0008024;GO:0016538;GO:0061575;GO:0051301	Cyclin T 13;Cyclin-T1-3 (CycT1;3)
XP_013593594.1	314	AT4G23070.1	AT4G23070.1	orthologue	GO:0004252;GO:0005634;GO:0006508;GO:0016020	RHOMBOID-like protein 7 (AtRBL7) (EC 3.4.21.105)
XP_013593595.1	207				GO:0005854	
XP_013593596.1	319	AT4G22740.1	AT4G22740.1	orthologue	GO:0003674;GO:0005886;GO:0005737	AT4g22740/T12H17_130 (Glycine-rich protein)
XP_013593597.1	252	AT2G15240.1	AT2G15240.1	orthologue	GO:0003674;GO:0005797;GO:0005634;GO:0000139	At2g15240/F15A23.2 (Expressed protein) (UNC-50 family protein)
XP_013593599.1	419	AT2G26430.1	AT2G26430.1	orthologue	GO:0005634;GO:0009651;GO:0006355;GO:0006357;GO:0009506;GO:0016538;GO:0051301;GO:0051321	Cyclin-L1-1;Cyclin-L1-1 (CycL1;1) (Arginine-rich cyclin 1) (AtRCY1) (Protein MODIFIER OF SNC1 12)
XP_013593600.1	1056	AT5G48060.1	AT5G48060.1	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0005886;GO:0016757;GO:0046872	Multiple C2 domain and transmembrane region protein 2
XP_013593601.1	439	AT2G36070.1	AT2G36070.1	orthologue	GO:0005743;GO:0005744;GO:0005739;GO:0030150;GO:0015462;GO:0051087;GO:0006626	Mitochondrial import inner membrane translocase subunit TIM44-2
XP_013593602.1	187	AT3G05590.1, AT5G27850.1	AT3G05590.1	other	GO:0003729;GO:0005773;GO:0022625;GO:0022626;GO:0006412;GO:0003723;GO:0003735;GO:0009536;GO:0005737;GO:0009506;GO:0015934;GO:0005515;GO:0009507;GO:0000325;GO:0005829;GO:0005840;GO:1990904	Large ribosomal subunit protein eL18x (60S ribosomal protein L18-3);Large ribosomal subunit protein eL18y (60S ribosomal protein L18-2);Ribosomal protein L18;Ribosomal protein L18e/L15 superfamily protein
XP_013593603.1	490	AT4G32770.1	AT4G32770.1	orthologue	GO:0010287;GO:0016122;GO:0009941;GO:0009706;GO:0009644;GO:0009507;GO:0015994;GO:0009534;GO:0010189;GO:0006631;GO:0009915;GO:0005886;GO:0031347;GO:0009266;GO:0009976;GO:0006979;GO:0016853	Tocopherol cyclase, chloroplastic (EC 5.5.1.24) (Sucrose export defective 1) (Vitamin E pathway gene 1 protein)
XP_013593604.1	421	AT2G03620.1	AT2G03620.1	orthologue	GO:0015095;GO:0015693;GO:0005739;GO:1903830;GO:0016020	Magnesium transporter MRS2-5 (Magnesium Transporter 3) (AtMGT3)
XP_013593607.1	501	AT2G13100.1	AT2G13100.1	orthologue	GO:0022857;GO:0055085;GO:0009507;GO:0061513;GO:0055062;GO:0016020;GO:0005789	Major facilitator superfamily protein;Putative glycerol-3-phosphate transporter 5 (G-3-P transporter 5) (Glycerol-3-phosphate permease 5) (AtG3Pp5) (G-3-P permease 5)
XP_013593608.1	294	AT1G27650.1	AT1G27650.1	orthologue	GO:0005634;GO:0000398;GO:0005681;GO:0005515;GO:0005654;GO:0030628;GO:0048573;GO:0005730;GO:0089701;GO:0003677;GO:0003723;GO:0008270;GO:0016607;GO:0046872;GO:0003676	Splicing factor U2af small subunit A (U2 auxiliary factor 35 kDa subunit A) (U2 small nuclear ribonucleoprotein auxiliary factor small subunit A) (U2 snRNP auxiliary factor small subunit A) (Zinc finger CCCH domain-containing protein 8) (AtC3H8);U2 snRNP auxiliary factor small subunit
XP_013593609.1	116	AT5G26770.5	AT5G26770.5	other	GO:0005737;GO:0005654;GO:0005515;GO:0005635;GO:0005637	Myosin heavy chain, cardiac protein;Nuclear envelope-associated protein 2 (AtNEAP2)
XP_013593610.1	490	AT1G26560.1	AT1G26560.1	orthologue	GO:0005739;GO:0005975;GO:0048046;GO:0008422;GO:0004553	Beta-glucosidase 40 (AtBGLU40) (EC 3.2.1.21)
XP_013593612.1	273	AT4G38790.1	AT4G38790.1	orthologue	GO:0046923;GO:0005575;GO:0006621;GO:0005789;GO:0015031;GO:0016192;GO:0016020	ER lumen protein retaining receptor family protein (Putative ER lumen protein retaining receptor)
XP_013593613.1	113	AT4G38800.1	AT4G38800.1	orthologue	GO:0008930;GO:0005886;GO:0005829;GO:0009116;GO:0010087;GO:0005737;GO:0019509;GO:0022414;GO:0003824	5'-methylthioadenosine nucleosidase (MTA nucleosidase) (EC 3.2.2.16) (5'-methylthioadenosine nucleosidase 1) (AtMTAN1) (MTA nucleosidase 1)
XP_013593614.1	168	AT1G28370.2	AT1G28370.2	orthologue	GO:0009873;GO:0005634;GO:0000976;GO:0006355;GO:0005622;GO:0005515;GO:0010087;GO:0003700;GO:0003677;GO:0051301	ERF domain protein 11;Ethylene-responsive transcription factor 11 (AtERF11) (Ethylene-responsive element-binding factor 11) (EREBP-11)
XP_013593615.1	433	AT2G20310.1	AT2G20310.1	orthologue	GO:0042742;GO:0009626;GO:1900426;GO:0034051;GO:0005515;GO:0005634;GO:0008219;GO:0010150	RPM1 interacting protein 13
XP_013593617.1	299	AT4G29610.1	AT4G29610.1	other	GO:0009972;GO:0005634;GO:0004126;GO:0008270;GO:0005829;GO:0003824;GO:0016787	Cytidine deaminase 6 (EC 3.5.4.5)
XP_013593618.1	774	AT5G66750.1	AT5G66750.1	orthologue	GO:0031507;GO:0045944;GO:0005515;GO:0005634;GO:0140750;GO:0003682;GO:0006346;GO:0140658;GO:0000785;GO:0000786;GO:0003678;GO:0006338;GO:0009294;GO:0003677;GO:0016887;GO:0032197;GO:0005524;GO:0040029	ATP-dependent DNA helicase DDM1 (EC 3.6.4.12) (Protein CHROMATIN REMODELING 1) (AtCHR1) (CHR01) (Protein DECREASED DNA METHYLATION 1) (AtDDM1) (Protein SOMNIFEROUS 1) (SWI/SNF2-related matrix-associated actin-dependent regulator of chromatin DDM1)
XP_013593619.1	329	AT5G47435.1	AT5G47435.1	orthologue	GO:0009507;GO:0006189;GO:0008864;GO:0046653;GO:0005739;GO:0009853;GO:0006730;GO:0009058	Formyltetrahydrofolate deformylase 1, mitochondrial (EC 3.5.1.10)
XP_013593621.1	405	AT5G47440.1	AT5G47440.1	orthologue	GO:0005634;GO:0009734;GO:0010087;GO:0035091;GO:0005794;GO:0010305;GO:0007165	At5g47440 (Auxin canalization protein (DUF828))
XP_013593622.1	303	AT4G30470.1	AT4G30470.1	orthologue	GO:0005634;GO:0016616	Cinnamoyl-CoA reductase-like protein (NAD(P)-binding Rossmann-fold superfamily protein)
XP_013593623.1	541	AT4G39950.2	AT4G39950.2	orthologue	GO:0009617;GO:0042742;GO:0006952;GO:0009507;GO:0016020;GO:0010120;GO:0009414;GO:0052544;GO:0009684;GO:0009682;GO:0009625;GO:0020037;GO:0002229;GO:0016705;GO:0006569;GO:0016709;GO:0005506;GO:0004497;GO:0090489	Cytochrome P450, family 79, subfamily B, polypeptide 2;Tryptophan N-monooxygenase 1 (EC 1.14.14.156) (Cytochrome P450 79B2) (Tryptophan N-hydroxylase 1)
XP_013593624.1	572	AT3G05050.1	AT3G05050.1	orthologue	GO:0032968;GO:0008353;GO:0000307;GO:0005634;GO:0005524;GO:0004674;GO:0006468;GO:0070816;GO:0004672	AT3g05050/T12H1_1 (Protein kinase superfamily protein) (Putative cyclin-dependent protein kinase)
XP_013593626.1	497	AT5G48150.1	AT5G48150.1	orthologue	GO:0006355;GO:0005634;GO:0043565;GO:0000976;GO:0009585;GO:0005737;GO:0005515;GO:0003700;GO:0009640;GO:1990110	Scarecrow-like transcription factor PAT1 (GRAS family protein 29) (AtGRAS-29) (Protein PHYTOCHROME A SIGNAL TRANSDUCTION 1)
XP_013593628.1	114	AT4G22517.1, AT4G22513.1, AT4G22610.1, AT4G22520.1	AT4G22520.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0005575;GO:0099503	AT4g22610/F7K2_190 (Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein);Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
XP_013593639.1	449	AT5G49215.1	AT5G49215.1	orthologue	GO:0004650;GO:0005975;GO:0005576;GO:0016829	Pectin lyase-like superfamily protein
XP_013593642.1	214	AT4G17900.1	AT4G17900.1	orthologue	GO:0003674;GO:0005634;GO:0005739	At4g17900 (PLATZ transcription factor family protein);PLATZ transcription factor family protein
XP_013593643.1	195				GO:0004857;GO:0043086	
XP_013593644.1	475	AT5G28080.2	AT5G28080.2	orthologue	GO:0006468;GO:0004674;GO:0005634;GO:0004672;GO:0005737;GO:0035556;GO:0005524;GO:0106310	Probable serine/threonine-protein kinase WNK9 (AtWNK9) (EC 2.7.11.1) (Protein kinase with no lysine 9);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_013593645.1	389	AT3G27000.1	AT3G27000.1	orthologue	GO:0005885;GO:0000902;GO:0030036;GO:0034314;GO:0009825;GO:0010090;GO:0051015;GO:0007015;GO:0030029;GO:0005737;GO:0005938;GO:0003779;GO:0005524	Actin-related protein 2 (Protein WURM)
XP_013593646.1	172	AT3G26960.1	AT3G26960.1	orthologue	GO:0003674;GO:0005576	Pollen Ole e 1 allergen and extensin family protein
XP_013593647.1	361	AT4G30580.1	AT4G30580.1	orthologue	GO:0009941;GO:0009793;GO:0006655;GO:0009507;GO:0016024;GO:0031969;GO:0006654;GO:0005886;GO:0009536;GO:0003841;GO:0016746;GO:0008654;GO:0016020	1-acyl-sn-glycerol-3-phosphate acyltransferase LPAT1, chloroplastic (EC 2.3.1.51) (EC 2.3.1.n4) (Lysophosphatidyl acyltransferase 1) (Protein EMBRYO DEFECTIVE 1995)
