Orthogroup	Conringia_planisiliqua	Camelina_sativa
OG0004733	CP8_g54479_DN2_SP0_c.t1	XP_010492876.1, XP_010420636.1, XP_010454112.1
OG0004734	CP8_g54483_DN3_SP0_c.t1	XP_010456579.1, XP_010420628.1, XP_010456578.1, XP_010492870.1
OG0004735	CP8_g54498_DN3_SP4_c.t1	XP_010454080.1, XP_010420594.1, XP_019097183.1
OG0004736	CP3_g14174_DN3_SP8_c.t1	XP_010503905.1, XP_010426777.1, XP_010515635.1
OG0004737	CP3_g14179_DN3_SP1_c.t1	XP_010515630.1, XP_010503900.1, XP_010426772.1
OG0004738	CP8_g53128_DN3_SP8_c.t1	XP_010442699.1, XP_010444055.1, XP_010482534.1
OG0004739	CP1_g36407_DN3_SP7_c.t1, CP8_g54686_DN3_SP4_c.t1	XP_010479382.1, XP_010474840.1
OG0004740	CP8_g54585_DN3_SP8_c.t1	XP_010422770.1, XP_010427766.1, XP_019090237.1
OG0004742	CP13_g19740_DN3_SP8_c.t1	XP_010481311.1, XP_010441443.1, XP_010494988.1
OG0004743	CP1_g36869_DN3_SP6_c.t1	XP_010475294.1, XP_010485289.1, XP_010457669.1
OG0004744	CP1_g36894_DN3_SP7_c.t1	XP_010457718.1, XP_010475325.1, XP_010485788.1
OG0004745	CP1_g36957_DN3_SP2_c.t1, CP6_g7068_DN3_SP1_c.t1	XP_019098866.1, XP_010475413.1, XP_010457818.1
OG0004746	CP1_g36995_DN3_SP8_c.t1	XP_010457873.1, XP_010475464.1, XP_010487146.1
OG0004747	CP1_g37078_DN3_SP8_c.t1	XP_010488242.1, XP_010475582.1, XP_010458019.1
OG0004748	CP1_g37079_DN3_SP0_c.t1	XP_010475585.1, XP_010458021.1, XP_019098895.1
OG0004750	CP1_g37133_DN3_SP8_c.t1	NP_001289910.1, NP_001289923.1, NP_001289912.1
OG0004752	CP1_g37185_DN3_SP0_c.t1	XP_010489684.1, XP_010458174.1, XP_010475730.1
OG0004753	CP1_g37279_DN3_SP0_c.t1	XP_010490472.1, XP_010475852.1, XP_019091602.1
OG0004754	CP1_g37217_DN3_SP3_c.t1	XP_010489953.1, XP_010458220.1, XP_010475772.1
OG0004755	CP1_g37251_DN3_SP2_c.t1	XP_010458267.1, XP_010490259.1, XP_010475813.1, XP_010490254.1, XP_010458266.1, XP_010475812.1
OG0004757	CP12_g30914_DN3_SP2_c.t1	XP_019100866.1, XP_010414715.1
OG0004758	CP1_g37292_DN3_SP7_c.t1	XP_010475866.1, XP_010458335.1, XP_010458339.1, XP_010490644.1
OG0004759	CP1_g37294_DN3_SP7_c.t1	XP_010490672.1, XP_010475868.1, XP_010458344.1
OG0004760	CP1_g37308_DN2_SP0_c.t1	XP_010458358.1, XP_019094652.1, XP_010490812.1
OG0004761	CP1_g37359_DN3_SP1_c.t1	XP_010491577.1, XP_019090978.1, XP_019094385.1
OG0004763	CP1_g37521_DN3_SP2_c.t1	XP_010493787.1, XP_010458639.1, XP_010458637.1, XP_010458636.1, XP_010476174.1
OG0004764	CP1_g37557_DN3_SP8_c.t1	XP_010458682.1, XP_010494333.1, XP_010476227.1
OG0004766	CP1_g37586_DN3_SP8_c.t1	XP_010476263.1, XP_010494723.1, XP_010458722.1
OG0004767	CP1_g37639_DN3_SP0_c.t1	XP_010495285.1, XP_010476337.1, XP_010458791.1
OG0004768	CP1_g37679_DN3_SP8_c.t1, CP1_g37678_DN3_SP0_c.t1	XP_010476404.1, XP_010495563.1, XP_010458836.1
OG0004769	CP7_g46196_DN2_SP3_c.t1	XP_010497054.1, XP_010497079.1, XP_010497045.1
OG0004770	CP1_g39162_DN3_SP0_c.t1	XP_019099013.1, XP_010459082.1, XP_010476633.1
OG0004771	CP7_g46116_DN3_SP6_c.t1	XP_010476730.1, XP_010459162.1, XP_010497732.1
OG0004772	CP7_g46077_DN3_SP1_c.t1	XP_010497994.1, XP_010476789.1, XP_010462743.1, XP_019098666.1
OG0004773	CP7_g45991_DN3_SP6_c.t1	XP_010480517.1
OG0004774	CP7_g45977_DN3_SP8_c.t1	XP_010498144.1, XP_010476933.1
OG0004775	CP19_g18363_DN3_SP0_c.t1	XP_010435330.1, XP_010440634.1, XP_010448775.1, XP_010433942.1, XP_010439229.1, XP_010448773.1, XP_010439231.1, XP_010448777.1
OG0004776	CP7_g45903_DN3_SP6_c.t1	XP_010459473.1, XP_010498248.1, XP_010477033.1
OG0004777	CP7_g45890_DN3_SP7_c.t1	XP_010459495.1, XP_010477051.1, XP_010498268.1
OG0004778	CP7_g45773_DN3_SP0_c.t1	XP_010498415.1, XP_010459669.1, XP_010477216.1
OG0004779	CP9_g29413_DN3_SP8_c.t1	XP_010428855.1, XP_010471967.1, XP_010416728.1
OG0004780	CP9_g28810_DN3_SP0_c.t1	XP_010428041.1, XP_010471207.1, XP_010497531.2, XP_010415907.1
OG0004781	CP9_g28777_DN3_SP7_c.t1	XP_010427989.1, XP_010415865.1
OG0004782	CP9_g28700_DN3_SP6_c.t1	XP_010415767.1, XP_010427868.1, XP_010471079.1
OG0004783	CP9_g28695_DN3_SP7_c.t1	XP_010416201.1
OG0004785	CP2_g49708_DN3_SP3_c.t1	XP_010480298.1, XP_010415036.1
OG0004786	CP1_g38261_DN3_SP0_c.t1	XP_010500399.1, XP_010461687.1, XP_010479285.1
OG0004787	CP1_g38260_DN3_SP0_c.t1	XP_010479286.1, XP_010500400.1, XP_019091301.1
OG0004788	CP5_g186_DN3_SP8_c.t1	XP_010446581.1, XP_010431983.1, XP_010437126.1
OG0004789	CP5_g349_DN3_SP8_c.t1	XP_010432153.1, XP_010446762.2, XP_019087278.1
OG0004790	CP5_g371_DN3_SP8_c.t1	XP_010444947.1, XP_019086899.1
OG0004791	CP5_g430_DN3_SP7_c.t1	XP_010437424.1, XP_010432230.1, XP_010446878.1
OG0004792	CP5_g455_DN3_SP7_c.t1	XP_010437457.1, XP_010446911.1, XP_010432267.1
OG0004793	CP5_g569_DN3_SP0_c.t1	XP_010437623.1, XP_010432422.1, XP_010447093.1
OG0004794	CP5_g722_DN2_SP0_c.t1	XP_010432645.1, XP_010447327.1, XP_010437841.1
OG0004797	CP5_g643_DN3_SP8_c.t1	XP_010432528.1, XP_010437733.1, XP_010447209.1
OG0004798	CP5_g822_DN3_SP4_c.t1	XP_010447543.1, XP_010437991.1, XP_010432815.1
OG0004799	CP12_g30793_DN3_SP2_c.t1	XP_010488491.1, XP_010421934.1, XP_010466777.1
OG0004800	CP12_g30783_DN3_SP8_c.t1	XP_010466785.1, XP_010488499.1, XP_010513230.1
OG0004801	CP9_g28879_DN3_SP0_c.t1	XP_010471272.1, XP_010415990.1, XP_010428127.1
OG0004802	CP9_g28871_DN3_SP0_c.t1	XP_010419165.1, XP_010431491.1, XP_010471262.1
OG0004803	CP9_g28854_DN3_SP2_c.t1	XP_010428088.1, XP_010414846.1, XP_010415951.1, XP_010471241.1
OG0004804	CP9_g28824_DN3_SP8_c.t1	XP_010415928.1, XP_010415930.1, XP_010418543.1, XP_010415926.1, XP_010415927.1, XP_010471226.1, XP_010428058.1
OG0004805	CP7_g45427_DN3_SP0_c.t1	XP_010498865.1, XP_010460139.1, XP_010477646.1
OG0004806	CP3_g16399_DN2_SP0_c.t1	XP_010460283.2
OG0004807	CP7_g45296_DN2_SP0_c.t1	XP_010499021.1, XP_010477841.1, XP_010462889.1
OG0004808	CP19_g18233_DN3_SP8_c.t1	XP_010433803.1, XP_010448597.1, XP_010439073.1
OG0004809	CP5_g1204_DN3_SP1_c.t1	XP_010448054.1, XP_010433282.1, XP_010438525.1
OG0004810	CP5_g1175_DN3_SP0_c.t1	XP_010433243.1, XP_010448005.1, XP_010438485.1
OG0004812	CP1_g36936_DN1_SP0_c.t1	XP_010457776.1, XP_010475381.1
OG0004815	CP3_g13112_DN3_SP0_c.t1	XP_010468908.1, XP_010413221.1, XP_010512687.1
OG0004818	CP10_g42784_DN3_SP0_c.t1	XP_010486343.1, XP_010464412.1
OG0004820	CP13_g19155_DN3_SP8_c.t1	XP_010425680.1, XP_010502890.1, XP_010514606.1
OG0004821	CP3_g14792_DN3_SP0_c.t1	XP_010503245.1, XP_010426069.1
OG0004826	CP19_g18033_DN3_SP3_c.t1	XP_010448328.1, XP_019086876.1, XP_010438801.1
OG0004827	CP19_g18199_DN3_SP2_c.t1, CP19_g18197_DN3_SP6_c.t1	XP_010439016.1, XP_010448554.1, XP_010433757.1
OG0004829	CP6_g7348_DN2_SP0_c.t1, CP6_g7349_DN3_SP0_c.t1, CP6_g7350_DN2_SP0_c.t1	XP_010416989.1, XP_010474414.1, XP_010429148.1, XP_010429410.1
OG0004830	CP8_g53236_DN3_SP2_c.t1	XP_010442832.1, XP_010445307.1, XP_010482663.1
OG0004832	CP2_g50320_DN1_SP0_c.t1, CP22_g17609_DN1_SP0_c.t1	XP_010495504.1, XP_010417615.1, XP_010424398.1
OG0004835	CP12_g31540_DN2_SP0_c.t1	XP_010418916.1
OG0004836	CP5_g2089_DN3_SP0_c.t1	XP_019092330.1, XP_010445845.1
OG0004847	CP3_g14710_DN2_SP0_c.t1	XP_010503307.1, XP_010515014.1, XP_010426148.1, XP_010426147.1
OG0004848	CP3_g14672_DN3_SP8_c.t1	XP_010503333.1, XP_010515041.1, XP_010426174.1
OG0004849	CP8_g53417_DN3_SP0_c.t1	XP_019086799.1, XP_010439273.1, XP_010448823.1, XP_010448201.1, XP_010443021.1
OG0004850	CP13_g19660_DN3_SP8_c.t1	XP_010424926.1, XP_010502133.1, XP_010513880.1
OG0004851	CP13_g19586_DN3_SP0_c.t1	XP_010502234.1, XP_010513998.1, XP_010425000.1
OG0004852	CP11_g32193_DN3_SP1_c.t1	XP_010420508.1, XP_010492746.1, XP_010453981.1
OG0004853	CP11_g32196_DN3_SP7_c.t1	XP_010453979.1, XP_010492743.1
OG0004854	CP11_g32219_DN3_SP3_c.t1	XP_010424140.2, XP_010453950.1, XP_010492708.1
OG0004855	CP11_g32245_DN2_SP2_c.t1	XP_010492675.1, XP_010453914.1, XP_010420441.1
OG0004856	CP11_g32252_DN3_SP8_c.t1	XP_010492665.1, XP_010420428.1, XP_010453906.1
OG0004857	CP11_g32316_DN3_SP0_c.t1	XP_010420353.1, XP_010492567.1, XP_010453819.1
OG0004858	CP10_g43600_DN3_SP0_c.t1	XP_010468210.1, XP_019092232.1, XP_010487522.1
OG0004859	CP11_g32341_DN3_SP8_c.t1	XP_010492514.1, XP_010453788.1, XP_010420318.1
OG0004860	CP11_g32593_DN3_SP7_c.t1	XP_010453474.1, XP_010492154.1, XP_010419982.1
OG0004861	CP11_g32414_DN3_SP2_c.t1	XP_010492399.1, XP_010420221.1, XP_010453693.1
OG0004862	CP11_g32454_DN3_SP8_c.t1	XP_010492339.1, XP_010453644.1, XP_010420169.1
OG0004863	CP11_g32461_DN3_SP1_c.t1	XP_010453637.1, XP_010492333.1, XP_010420161.1
OG0004864	CP1_g37062_DN3_SP0_c.t1	XP_010457969.2, XP_010480381.1, XP_019095069.1
OG0004867	CP10_g42130_DN3_SP6_c.t1, CP11_g32525_DN3_SP8_c.t1	XP_010420077.1, XP_010492244.1, XP_010453560.1
OG0004868	CP11_g32554_DN3_SP2_c.t1	XP_010492211.1, XP_010420034.2, XP_010453527.1
OG0004869	CP11_g32569_DN3_SP0_c.t1	XP_010492187.1, XP_010453505.1
OG0004870	CP11_g32578_DN2_SP0_c.t1	XP_010453495.1, XP_010420002.1, XP_010492174.1
OG0004871	CP2_g48728_DN3_SP8_c.t1	XP_019090527.1, XP_010442361.1, XP_010442356.1
OG0004872	CP11_g32627_DN3_SP8_c.t1	XP_010453414.1, XP_010492092.1, XP_010419919.1
OG0004873	CP11_g32633_DN3_SP3_c.t1	XP_010492081.1, XP_010419908.1, XP_010453397.1
OG0004874	CP11_g32645_DN3_SP1_c.t1	XP_010495178.1, XP_010419889.1, XP_010453379.1
OG0004875	CP11_g32648_DN3_SP8_c.t1	XP_010492064.1, XP_010453374.1, XP_010419883.1
OG0004876	CP10_g43260_DN3_SP2_c.t1	XP_010465093.1, XP_010499814.1, XP_010487043.1
OG0004877	CP11_g32678_DN3_SP6_c.t1	XP_010419845.1, XP_010453337.1, XP_010492023.1
OG0004879	CP11_g32741_DN3_SP0_c.t1	XP_010419770.1, XP_010491939.1, XP_010453250.1
OG0004880	CP2_g48499_DN3_SP0_c.t1, CP11_g32754_DN2_SP8_c.t1	XP_010491925.1, XP_019083779.1, XP_010453228.1, XP_019083778.1
OG0004881	CP11_g32757_DN3_SP1_c.t1	XP_019098060.1, XP_010419758.1, XP_010453225.1
OG0004882	CP11_g32764_DN3_SP8_c.t1	XP_010491913.1
OG0004883	CP11_g32848_DN3_SP8_c.t1	XP_010491760.1, XP_010453113.1, XP_010422808.1
OG0004884	CP11_g32920_DN3_SP3_c.t1	XP_010453029.1, XP_010422896.1, XP_010491662.1
OG0004885	CP11_g32939_DN3_SP8_c.t1	XP_010422922.1, XP_010491637.1, XP_010453003.1
OG0004886	CP11_g32984_DN3_SP8_c.t1	XP_010491571.1, XP_010452932.1, XP_010422984.1
OG0004887	CP11_g32999_DN3_SP7_c.t1	XP_010456455.1, XP_019084374.1, XP_019097768.1, XP_010423016.1
OG0004888	CP11_g33002_DN3_SP7_c.t1	XP_019084444.1, XP_010491542.1, XP_010452902.1
OG0004889	CP11_g33035_DN3_SP7_c.t1	XP_010423067.1, XP_010452859.1, XP_010495118.2
OG0004890	CP11_g33042_DN3_SP5_c.t1	XP_010452838.1, XP_010423082.1, XP_010491481.1
OG0004891	CP11_g33126_DN3_SP6_c.t1	XP_010423177.1, XP_019090477.1, XP_010491388.1
OG0004892	CP13_g19358_DN3_SP8_c.t1	XP_019102190.1
OG0004893	CP11_g31956_DN3_SP7_c.t1	XP_010422467.1, XP_010431041.1, XP_010455893.1
OG0004894	CP19_g18145_DN3_SP3_c.t1	XP_010433696.1, XP_010448482.1, XP_010438927.1
OG0004895	CP19_g18147_DN3_SP6_c.t1	XP_010448490.1, XP_010433698.1, XP_010438942.1
OG0004896	CP19_g18151_DN3_SP1_c.t1	XP_010438948.1, XP_010433704.1, XP_010448496.1
OG0004897	CP19_g18174_DN3_SP8_c.t1	XP_010438970.1, XP_010448520.1, XP_010433726.1, XP_010438971.2
OG0004898	CP4_g26318_DN2_SP0_c.t1	XP_010473110.1, XP_010417870.1
OG0004899	CP4_g25892_DN3_SP8_c.t1	XP_010470069.1, XP_010414511.1, XP_010510601.1
OG0004900	CP4_g25890_DN3_SP0_c.t1	XP_010414509.1, XP_010470068.1, XP_010510602.1
OG0004902	CP4_g25736_DN3_SP8_c.t1	XP_010414292.1, XP_010469886.1, XP_010510394.1
OG0004903	CP4_g25731_DN3_SP4_c.t1	XP_010469879.1, XP_010510388.1, XP_010414287.1
OG0004904	CP4_g25703_DN3_SP0_c.t1	XP_010469842.1, XP_010414255.1, XP_010510342.1
OG0004905	CP4_g25697_DN3_SP2_c.t1	XP_010510329.1, XP_010469830.1, XP_010414241.1
OG0004906	CP4_g25623_DN3_SP0_c.t1	XP_010469741.1, XP_010510219.1, XP_010414153.1, XP_010414152.1
OG0004907	CP4_g25566_DN3_SP0_c.t1	XP_019101382.1, XP_010414068.1, XP_010469657.1
OG0004908	CP4_g25536_DN3_SP6_c.t1	XP_019101363.1, XP_010418704.1, XP_019082991.1, XP_019094034.1, XP_010510095.1
OG0004909	CP4_g25402_DN3_SP1_c.t1	XP_010413861.1, XP_010509884.1, XP_010469470.1
OG0004910	CP13_g20209_DN3_SP6_c.t1	XP_010481786.1, XP_010441940.1, XP_019097938.1
OG0004911	CP13_g20174_DN3_SP8_c.t1	XP_010481754.1, XP_010494435.1, XP_019087728.1
OG0004912	CP19_g18104_DN3_SP1_c.t1	XP_010438887.1, XP_010433644.1, XP_010448437.1
OG0004913	CP1_g38408_DN3_SP8_c.t1	XP_010500289.1, XP_010461564.1, XP_010479165.1
OG0004914	CP7_g45077_DN3_SP0_c.t1	XP_010460592.1, XP_010499315.1, XP_010480691.1
OG0004915	CP7_g45074_DN3_SP0_c.t1	XP_010499318.1, XP_010478183.1, XP_010460593.1
OG0004916	CP7_g45044_DN3_SP8_c.t1	XP_010460642.1, XP_010499374.1, XP_019095223.1
OG0004917	CP7_g44971_DN2_SP0_c.t1	XP_010440865.1, XP_010450510.1, XP_010435586.1
OG0004918	CP19_g17986_DN3_SP8_c.t1	XP_010438739.1, XP_010433486.1, XP_010448258.1, XP_010448259.1, XP_010438740.1, XP_019086757.1
OG0004919	CP7_g44958_DN3_SP7_c.t1	XP_010478320.1, XP_010460730.1, XP_010499463.1
OG0004920	CP7_g44873_DN3_SP5_c.t1	XP_010460821.1, XP_010499555.1, XP_010478411.1
OG0004921	CP2_g48683_DN3_SP6_c.t1	XP_010442422.1, XP_010482231.1, XP_010440762.1
OG0004922	CP7_g44782_DN3_SP1_c.t1	XP_010478563.1, XP_010499671.1, XP_010460943.1
OG0004923	CP7_g44767_DN3_SP8_c.t1	XP_010478883.1, XP_010460962.1, XP_010499685.1
OG0004924	CP7_g44636_DN3_SP8_c.t1	XP_010499802.1, XP_010461077.1, XP_010478675.1
OG0004925	CP2_g47635_DN2_SP0_c.t1	XP_010484560.1, XP_010484557.1, XP_010444699.1, XP_010464563.1
OG0004926	CP2_g47671_DN3_SP7_c.t1	XP_010464120.1, XP_010484505.1, XP_010444654.1
OG0004927	CP2_g47692_DN3_SP8_c.t1	XP_010463862.1, XP_010444622.1, XP_010484478.1
OG0004928	CP2_g47714_DN3_SP8_c.t1	XP_010484423.1, XP_010463572.1, XP_010444598.1
OG0004929	CP2_g47754_DN2_SP0_c.t1	XP_010444532.1, XP_019094316.1, XP_010484369.1
OG0004930	CP2_g47776_DN3_SP8_c.t1	XP_010462108.1, XP_010444501.1, XP_010484330.1
OG0004931	CP8_g53111_DN3_SP0_c.t1	XP_010442680.1, XP_019091055.1, XP_010482515.1
OG0004933	CP2_g47932_DN3_SP8_c.t1	XP_010484133.1, XP_010444296.1, XP_010460987.1
OG0004934	CP2_g48067_DN3_SP8_c.t1	XP_010444086.1, XP_010483951.1, XP_019086972.1
OG0004935	CP2_g48219_DN3_SP8_c.t1	XP_010483747.1, XP_010456827.1, XP_010443902.1
OG0004936	CP2_g48226_DN3_SP0_c.t1	XP_010456781.1, XP_010483740.1, XP_010443892.1
OG0004937	CP2_g48259_DN3_SP0_c.t1	XP_010421128.1, XP_010493447.1, XP_010454608.1
OG0004938	CP2_g48289_DN3_SP1_c.t1	XP_010454651.1, XP_010493483.1, XP_010421169.1
OG0004939	CP16_g55541_DN3_SP0_c.t1	XP_010429570.2, XP_010472579.1
OG0004940	CP8_g54379_DN3_SP8_c.t1	XP_010493025.1, XP_010420759.1, XP_010454235.1
OG0004941	CP8_g54390_DN3_SP5_c.t1	XP_010454217.1, XP_010493009.1, XP_010420748.1, XP_010493006.1, XP_010493008.1, XP_010454218.1, XP_010493011.1
OG0004942	CP8_g54338_DN3_SP0_c.t1	XP_019089891.1, XP_010493069.1, XP_010420807.1
OG0004943	CP8_g54298_DN3_SP8_c.t1	XP_010420863.1, XP_010454328.1
OG0004944	CP8_g54287_DN3_SP8_c.t1	XP_010454339.1, XP_010493140.1, XP_010420875.1
OG0004945	CP8_g54271_DN3_SP8_c.t1	XP_010493158.1, XP_010420892.1, XP_010454358.1
OG0004946	CP8_g54263_DN2_SP0_c.t1	XP_010454369.1, XP_010420905.1, XP_010495333.1, XP_010493167.1
OG0004947	CP8_g54259_DN3_SP0_c.t1	XP_010493175.1, XP_010420912.1, XP_010454373.1
OG0004948	CP8_g54250_DN3_SP8_c.t1	XP_010454378.1, XP_010420918.1, XP_010493182.1
OG0004949	CP8_g54246_DN2_SP0_c.t1	XP_010493193.1, XP_010454389.1, XP_010420927.1
OG0004950	CP8_g54183_DN3_SP1_c.t1	XP_010421001.1, XP_010493270.1, XP_010454473.1
OG0004951	CP8_g54162_DN3_SP8_c.t1	XP_010493317.1, XP_010454499.1, XP_010421024.1
OG0004952	CP8_g54161_DN3_SP3_c.t1	XP_010454500.1, XP_010421027.1, XP_010493320.1
OG0004953	CP8_g54011_DN3_SP1_c.t1	XP_010455682.1, XP_010483634.1
OG0004953	CP3_g14834_DN3_SP2_c.t1	XP_019102255.1, XP_010426030.1, XP_010503216.1
OG0004954	CP8_g53963_DN1_SP0_c.t1	XP_010455113.1, XP_010443711.1, XP_019095514.1
OG0004955	CP8_g53900_DN3_SP7_c.t1	XP_010454399.1, XP_010443640.1, XP_010483504.1
OG0004956	CP8_g53873_DN3_SP4_c.t1	XP_010483471.1, XP_010443620.1, XP_010454117.1
OG0004957	CP8_g53870_DN3_SP2_c.t1	XP_010454072.1, XP_010483467.1, XP_010443612.1
OG0004958	CP8_g53853_DN1_SP0_c.t1	XP_010443590.1, XP_010483451.1, XP_010453821.1
OG0004959	CP8_g53847_DN3_SP3_c.t1	XP_010443584.1, XP_010453747.1, XP_019095909.1
OG0004960	CP8_g53833_DN3_SP1_c.t1	XP_010453547.1, XP_010483412.1
OG0004961	CP8_g53815_DN3_SP8_c.t1	XP_010483373.1, XP_010453258.1, XP_010443529.1
OG0004962	CP8_g53788_DN3_SP0_c.t1	XP_010452935.1, XP_010483347.1, XP_010443501.1
OG0004964	CP8_g53692_DN3_SP0_c.t1	XP_010443359.1, XP_019095465.1, XP_010451683.1
OG0004965	CP8_g53574_DN3_SP8_c.t1	XP_010483058.1, XP_010443228.1, XP_010450415.1
OG0004966	CP8_g53570_DN3_SP6_c.t1	XP_019092194.1, XP_010443225.1
OG0004967	CP8_g53436_DN3_SP8_c.t1	XP_010448513.1, XP_010482878.1, XP_010443048.1
OG0004969	CP3_g14426_DN3_SP0_c.t1	XP_010426466.1, XP_010515302.1, XP_010503606.1
OG0004970	CP11_g32046_DN3_SP4_c.t1	XP_010429895.1, XP_010456010.1, XP_010422570.1
OG0004971	CP11_g33151_DN3_SP8_c.t1	XP_010423206.1, XP_010491363.1
OG0004973	CP11_g33211_DN3_SP5_c.t1	XP_010491167.1, XP_010423375.1, XP_010452538.1
OG0004974	CP7_g46292_DN2_SP7_c.t1	XP_019089711.1, XP_010441263.1, XP_010436041.1
OG0004975	CP11_g33305_DN3_SP7_c.t1	XP_010491145.1, XP_010452508.1, XP_019084497.1
OG0004976	CP11_g33345_DN3_SP7_c.t1	XP_010491087.1, XP_010423455.1, XP_010456407.1
OG0004977	CP11_g33355_DN2_SP0_c.t1	XP_010423472.1, XP_010452445.1, XP_010491075.1
OG0004978	CP11_g33382_DN3_SP5_c.t1	XP_010452416.1, XP_010423498.1, XP_010491043.1
OG0004979	CP11_g33445_DN2_SP0_c.t1	XP_010423574.1, XP_010452344.1, XP_010497845.1, XP_010490959.1
OG0004980	CP11_g33499_DN3_SP5_c.t1	XP_010423649.1, XP_010452289.1, XP_010490886.1, XP_010467076.1
OG0004982	CP11_g33520_DN3_SP8_c.t1	XP_019090512.1, XP_010490858.1, XP_010423678.1
OG0004983	CP11_g33550_DN3_SP8_c.t1	XP_010490819.1, XP_010423717.1
OG0004985	CP5_g1341_DN3_SP1_c.t1	XP_010436008.1, XP_010450628.1, XP_010441228.1
OG0004987	CP19_g17878_DN3_SP3_c.t1, CP13_g19883_DN3_SP3_c.t1	XP_010436099.1, XP_010447554.1, XP_010441310.1
OG0004988	CP7_g46241_DN3_SP0_c.t1	XP_010500956.1, XP_010462196.1, XP_010479873.1, XP_010432539.1
OG0004990	CP9_g29680_DN3_SP6_c.t1	XP_010472945.1, XP_010417720.1, XP_010429976.1
OG0004991	CP9_g29671_DN3_SP8_c.t1	XP_010429953.1, XP_010417705.1, XP_010472924.1
OG0004992	CP9_g29663_DN3_SP0_c.t1	XP_010417696.1, XP_010429944.1, XP_010472912.1, XP_010417697.1
OG0004993	CP9_g29648_DN3_SP1_c.t1	XP_010429932.1, XP_010419387.1, XP_010472901.1
OG0004994	CP9_g29642_DN3_SP8_c.t1	XP_019085183.1, XP_010472892.1, XP_010417677.1
OG0004995	CP9_g29633_DN3_SP8_c.t1	XP_010472881.1, XP_010417667.1, XP_010429912.1
OG0004996	CP9_g29615_DN3_SP7_c.t1	XP_010472852.1, XP_010417649.1, XP_010429884.1
OG0004997	CP9_g29458_DN3_SP0_c.t1	XP_010428935.1, XP_010472024.1, XP_010416790.1
OG0004998	CP12_g29879_DN3_SP0_c.t1	XP_010465509.1, XP_010487368.1, XP_019102015.1
OG0005000	CP9_g29332_DN3_SP2_c.t1	XP_010416611.1, XP_010428752.1, XP_019093961.1
OG0005002	CP9_g29261_DN3_SP1_c.t1	XP_010474361.2, XP_010416529.1, XP_010428669.1
OG0005003	CP9_g29244_DN3_SP0_c.t1	XP_010428649.1, XP_010474360.1, XP_010416509.1
OG0005005	CP9_g29201_DN3_SP0_c.t1	XP_010471676.1, XP_010416450.1, XP_010428587.1
OG0005006	CP9_g29191_DN3_SP8_c.t1	XP_010428578.1, XP_010416441.1, XP_010471663.1
OG0005007	CP9_g29176_DN3_SP0_c.t1	XP_010471646.1, XP_010428558.1, XP_010416418.1
OG0005008	CP10_g43787_DN2_SP0_c.t1	XP_010514797.1, XP_010489390.1, XP_010467536.1
OG0005009	CP10_g43287_DN3_SP0_c.t1	XP_010465152.1, XP_010500263.1, XP_010487077.1
OG0005010	CP7_g46411_DN3_SP8_c.t1	XP_010501179.1, XP_010480103.1, XP_010462415.1
OG0005011	CP10_g43351_DN3_SP8_c.t1, CP7_g46352_DN3_SP1_c.t1	XP_010487163.1, XP_010465259.1, XP_010501378.1
OG0005013	CP7_g46323_DN1_SP0_c.t1	XP_019098710.1, XP_010462312.1, XP_010479987.1, XP_010501069.1
OG0005014	CP7_g46306_DN3_SP1_c.t1	XP_010479967.1, XP_010462293.1, XP_010501051.1, XP_010497378.1, XP_010462295.1, XP_010479969.1
OG0005015	CP11_g32821_DN3_SP6_c.t1	XP_010479921.1, XP_010479923.1, XP_010479924.1, XP_010501006.1, XP_019091341.1
OG0005016	CP4_g25139_DN3_SP7_c.t1	XP_010505129.1, XP_010516813.1, XP_010509519.1
OG0005017	CP4_g25127_DN3_SP3_c.t1	XP_010516826.1, XP_010505149.1, XP_010509503.1
OG0005018	CP4_g25097_DN3_SP1_c.t1	XP_010509471.1, XP_010505189.1, XP_010516864.1, XP_010513024.1
OG0005019	CP1_g38951_DN3_SP2_c.t1	XP_010505218.1, XP_010509442.1, XP_010516895.1
OG0005020	CP13_g19137_DN3_SP1_c.t1	XP_019099923.1, XP_010425709.1, XP_010495863.1
OG0005021	CP5_g2100_DN3_SP1_c.t1	XP_010436680.1, XP_010450416.1, XP_010440767.1
OG0005022	CP8_g53248_DN3_SP7_c.t1	XP_010445441.1, XP_010442853.1, XP_010482681.1
OG0005023	CP13_g19711_DN3_SP0_c.t1, CP7_g45124_DN3_SP2_c.t1	XP_010478101.1, XP_010460516.1, XP_010499243.1
OG0005025	CP6_g7646_DN3_SP2_c.t1	XP_010461167.1, XP_010478764.1, XP_010499887.1
OG0005026	CP6_g7581_DN3_SP3_c.t1	XP_010450110.1, XP_019089545.1
OG0005028	CP6_g7173_DN3_SP8_c.t1	XP_010440121.1, XP_010449737.1, XP_010434789.1
OG0005029	CP6_g7287_DN3_SP2_c.t1	XP_010440238.1, XP_010449881.1, XP_010434911.1
OG0005030	CP9_g28919_DN1_SP0_c.t1	XP_010428186.1, XP_010471322.1, XP_019083319.1
OG0005031	CP19_g18291_DN3_SP5_c.t1	XP_010433880.1, XP_010509302.1, XP_019088593.1
OG0005032	CP9_g28954_DN3_SP6_c.t1	XP_010416114.1, XP_010471381.1, XP_010428233.1
OG0005033	CP9_g29041_DN3_SP2_c.t1	XP_010416233.1, XP_019085895.1, XP_019093509.1
