Orthogroup	Conringia_planisiliqua	Capsella_rubella
OG0002751	CP6_g7376_DN3_SP0_c.t1, CP6_g7375_DN3_SP0_c.t1	XP_006283673.1, XP_006286210.1
OG0002752	CP12_g30526_DN3_SP8_c.t1	XP_006297394.1
OG0002753	CP9_g28200_DN3_SP0_c.t1, CP9_g28507_DN3_SP0_c.t1	XP_006302479.2
OG0002754	CP12_g30012_DN3_SP8_c.t1	XP_023641535.1
OG0002755	CP7_g45936_DN3_SP6_c.t1	XP_006303729.1
OG0002757	CP5_g1116_DN3_SP5_c.t1	XP_006284299.1
OG0002757	CP10_g43513_DN3_SP2_c.t1	XP_006298317.1
OG0002759	CP2_g48893_DN3_SP8_c.t1	XP_023643965.1
OG0002761	CP9_g28593_DN3_SP7_c.t1	XP_006302053.1
OG0002762	CP5_g293_DN3_SP8_c.t1	XP_006285868.1
OG0002763	CP1_g37973_DN3_SP6_c.t1	XP_006307656.1
OG0002763	CP12_g30462_DN3_SP7_c.t1	XP_006297799.2
OG0002764	CP1_g37959_DN3_SP8_c.t1	XP_006307155.1
OG0002764	CP12_g30477_DN3_SP4_c.t1	XP_006297366.1
OG0002765	CP9_g28304_DN1_SP0_c.t1	XP_006304863.1
OG0002766	CP6_g8573_DN3_SP0_c.t1	XP_023634540.1
OG0002767	CP4_g25174_DN3_SP0_c.t1	XP_006295987.2
OG0002767	CP6_g7149_DN1_SP0_c.t1	XP_023634049.1
OG0002769	CP6_g7093_DN3_SP8_c.t1	XP_023634753.1
OG0002770	CP13_g19749_DN3_SP8_c.t1	XP_006282082.1
OG0002770	CP6_g7100_DN3_SP6_c.t1	XP_006284410.1
OG0002771	CP2_g47631_DN3_SP0_c.t1	XP_006281664.1
OG0002772	CP4_g24930_DN3_SP0_c.t1	XP_006294111.1
OG0002772	CP3_g13953_DN3_SP0_c.t1	XP_023638316.1
OG0002773	CP19_g18420_DN2_SP0_c.t1	XP_006285025.2
OG0002774	CP13_g20089_DN3_SP1_c.t1	XP_023637614.1, XP_006281540.2
OG0002774	CP6_g6830_DN3_SP0_c.t1	XP_023633870.1
OG0002775	CP11_g32498_DN3_SP0_c.t1	XP_006286790.1
OG0002775	CP10_g42143_DN2_SP0_c.t1	XP_006298938.1
OG0002776	CP3_g13144_DN3_SP1_c.t1	XP_006290836.1
OG0002777	CP4_g24242_DN3_SP7_c.t1	XP_006293711.1
OG0002777	CP3_g13358_DN3_SP6_c.t1	XP_006290620.1
OG0002778	CP3_g13434_DN3_SP0_c.t1	XP_006290629.2
OG0002778	CP4_g24387_DN3_SP1_c.t1	XP_006293654.1
OG0002779	CP4_g24651_DN3_SP8_c.t1	XP_023640055.1
OG0002779	CP3_g13708_DN3_SP7_c.t1	XP_023638957.1
OG0002780	CP3_g13849_DN3_SP6_c.t1	XP_006291701.1
OG0002780	CP3_g13848_DN3_SP5_c.t1	XP_006291724.1
OG0002781	CP10_g43400_DN3_SP0_c.t1	XP_023642378.1
OG0002782	CP4_g25025_DN3_SP7_c.t1	XP_006293952.1
OG0002782	CP3_g14021_DN3_SP8_c.t1	XP_006292269.1
OG0002783	CP3_g14050_DN3_SP0_c.t1	XP_006292674.1
OG0002783	CP3_g14051_DN2_SP0_c.t1, CP3_g14052_DN3_SP0_c.t1	XP_006293049.1
OG0002784	CP12_g31486_DN3_SP0_c.t1	XP_006297077.1
OG0002784	CP5_g2098_DN3_SP0_c.t1	XP_006283233.1
OG0002785	CP12_g30819_DN3_SP0_c.t1	XP_006296773.1
OG0002786	CP10_g43645_DN3_SP0_c.t1	XP_006298125.1
OG0002788	CP13_g19622_DN3_SP3_c.t1	XP_006291462.1
OG0002789	CP10_g43570_DN3_SP0_c.t1	XP_006298210.1
OG0002790	CP4_g24782_DN3_SP6_c.t1	XP_006294630.1
OG0002791	CP5_g91_DN3_SP8_c.t1	XP_006283963.1
OG0002792	CP7_g44371_DN3_SP0_c.t1	XP_006305761.1
OG0002793	CP7_g44477_DN3_SP7_c.t1	XP_006306204.1
OG0002793	CP9_g28798_DN3_SP8_c.t1	XP_006300879.1
OG0002794	CP27_g41944_DN3_SP0_c.t1, CP27_g41914_DN2_SP0_c.t1	XP_006293312.2
OG0002795	CP2_g48555_DN3_SP1_c.t1	XP_006286399.2
OG0002796	CP10_g42519_DN3_SP2_c.t1	XP_006298552.2
OG0002797	CP3_g13411_DN3_SP0_c.t1	XP_006292783.1
OG0002802	CP2_g48625_DN3_SP5_c.t1	XP_006288342.1
OG0002802	CP10_g42489_DN3_SP8_c.t1	XP_006298191.1
OG0002803	CP8_g54432_DN2_SP0_c.t1	XP_023636633.1
OG0002804	CP10_g42622_DN2_SP0_c.t1	XP_023641421.1
OG0002805	CP10_g43929_DN3_SP0_c.t1	XP_023641297.1
OG0002806	CP10_g43504_DN3_SP0_c.t1	XP_006281160.1, XP_006298690.1
OG0002807	CP12_g30038_DN3_SP8_c.t1	XP_023641063.1
OG0002807	CP6_g7234_DN3_SP8_c.t1	XP_006283433.1
OG0002808	CP12_g30196_DN3_SP1_c.t1	XP_006298635.1
OG0002809	CP1_g38031_DN3_SP5_c.t1	XP_023632874.1
OG0002809	CP12_g30411_DN3_SP6_c.t1	XP_006298590.2
OG0002810	CP6_g7500_DN2_SP0_c.t1	XP_006286084.2
OG0002811	CP1_g37617_DN3_SP0_c.t1	XP_023632957.1
OG0002812	CP1_g37368_DN3_SP0_c.t1	XP_006304314.1
OG0002812	CP2_g49227_DN3_SP0_c.t1	XP_006301941.2
OG0002814	CP1_g37457_DN3_SP7_c.t1	XP_006307580.2
OG0002814	CP2_g49092_DN3_SP8_c.t1	XP_006302377.1
OG0002815	CP2_g49006_DN3_SP8_c.t1	XP_006302066.1
OG0002816	CP2_g48989_DN2_SP0_c.t1, CP2_g48990_DN3_SP0_c.t1	XP_006303055.2
OG0002817	CP9_g28864_DN3_SP0_c.t1, CP9_g28868_DN3_SP0_c.t1	XP_006304920.2
OG0002819	CP9_g28724_DN2_SP0_c.t1	XP_006300987.1
OG0002819	CP7_g45479_DN3_SP0_c.t1	XP_006303371.1
OG0002821	CP13_g19103_DN3_SP8_c.t1	XP_006303011.1
OG0002822	CP1_g38177_DN3_SP3_c.t1	XP_006304348.1, XP_006306289.1
OG0002823	CP5_g307_DN3_SP1_c.t1, CP5_g306_DN3_SP0_c.t1	XP_006285520.1
OG0002825	CP5_g440_DN3_SP0_c.t1	XP_006285996.1
OG0002825	CP5_g442_DN3_SP0_c.t1	XP_023635368.1
OG0002826	CP16_g55389_DN3_SP5_c.t1	XP_023639380.1
OG0002826	CP5_g766_DN3_SP8_c.t1	XP_006285557.1
OG0002827	CP5_g641_DN3_SP8_c.t1	XP_006283797.1
OG0002827	CP15_g34852_DN3_SP8_c.t1	XP_006297740.1
OG0002828	CP5_g828_DN3_SP1_c.t1	XP_006284609.1
OG0002829	CP8_g54526_DN3_SP0_c.t1, CP1_g39646_DN3_SP0_c.t1	XP_023637094.1, XP_023637654.1
OG0002833	CP5_g1001_DN1_SP0_c.t1	XP_006285176.1, XP_006295622.1, XP_006285399.1
OG0002835	CP13_g19162_DN3_SP0_c.t1	XP_006292616.1
OG0002835	CP13_g19165_DN3_SP0_c.t1	XP_023638816.1
OG0002836	CP2_g49095_DN3_SP0_c.t1	XP_023637624.1
OG0002836	CP5_g443_DN2_SP0_c.t1, CP13_g20092_DN2_SP0_c.t1	XP_006286100.1
OG0002837	CP8_g53279_DN3_SP8_c.t1	XP_006279661.2
OG0002845	CP10_g42339_DN3_SP0_c.t1	XP_006299060.1
OG0002845	CP11_g32220_DN3_SP7_c.t1	XP_006287847.2
OG0002846	CP10_g42099_DN3_SP7_c.t1	XP_006300265.2
OG0002846	CP11_g32562_DN3_SP8_c.t1	XP_006286781.1
OG0002848	CP6_g7881_DN3_SP0_c.t1	XP_023634879.1
OG0002850	CP11_g32802_DN3_SP1_c.t1	XP_006287786.1
OG0002851	CP9_g29220_DN3_SP0_c.t1	XP_023642859.1
OG0002852	CP2_g48558_DN3_SP5_c.t1	XP_006289423.1
OG0002853	CP2_g48264_DN3_SP0_c.t1	XP_023637718.1
OG0002853	CP11_g33057_DN2_SP0_c.t1	XP_006286568.1
OG0002854	CP4_g26252_DN3_SP5_c.t1, CP4_g26249_DN3_SP4_c.t1	XP_006293453.1, XP_006293454.1
OG0002855	CP4_g25984_DN3_SP0_c.t1	XP_006295904.1
OG0002856	CP1_g36975_DN3_SP8_c.t1	XP_006305208.1
OG0002857	CP4_g25614_DN3_SP8_c.t1	XP_006294598.1
OG0002858	CP4_g25530_DN3_SP4_c.t1	XP_006295065.1
OG0002858	CP1_g36566_DN3_SP2_c.t1	XP_023645770.1
OG0002859	CP1_g36560_DN3_SP0_c.t1	XP_006304766.1
OG0002859	CP4_g25520_DN3_SP0_c.t1	XP_006293699.1
OG0002860	CP4_g25480_DN3_SP0_c.t1	XP_006293436.1
OG0002860	CP1_g36591_DN3_SP1_c.t1	XP_006306689.1
OG0002861	CP1_g36615_DN3_SP8_c.t1	XP_006303679.1
OG0002863	CP19_g18075_DN3_SP0_c.t1	XP_006284588.1
OG0002864	CP7_g45087_DN3_SP2_c.t1	XP_023644886.1
OG0002864	CP3_g13766_DN1_SP0_c.t1	XP_006292918.1
OG0002865	CP7_g44736_DN3_SP2_c.t1	XP_006303413.2
OG0002866	CP10_g43803_DN2_SP0_c.t1	XP_006303503.1
OG0002868	CP2_g47705_DN3_SP0_c.t1, CP2_g47699_DN3_SP0_c.t1	XP_006279535.1
OG0002870	CP2_g47940_DN3_SP8_c.t1	XP_006281338.1
OG0002870	CP11_g33027_DN3_SP6_c.t1	XP_023637134.1
OG0002871	CP3_g14525_DN3_SP0_c.t1	XP_006290729.1
OG0002872	CP2_g48133_DN3_SP5_c.t1	XP_023633439.1
OG0002872	CP2_g48131_DN3_SP1_c.t1	XP_006279962.1
OG0002873	CP8_g54212_DN3_SP2_c.t1	XP_023637370.1
OG0002874	CP19_g17962_DN3_SP8_c.t1	XP_006284183.1
OG0002875	CP8_g53503_DN3_SP7_c.t1	XP_006279572.1
OG0002876	CP8_g52970_DN3_SP0_c.t1, CP8_g52971_DN3_SP0_c.t1, CP11_g31816_DN1_SP0_c.t1, CP3_g14342_DN3_SP0_c.t1	XP_006290402.2
OG0002879	CP11_g33484_DN3_SP0_c.t1	XP_006288158.2
OG0002879	CP10_g42986_DN3_SP4_c.t1	XP_006298018.1
OG0002880	CP19_g17890_DN3_SP8_c.t1	XP_006286283.1
OG0002881	CP9_g29695_DN1_SP0_c.t1	XP_006295401.1
OG0002882	CP2_g50678_DN3_SP0_c.t1, CP9_g29652_DN3_SP0_c.t1	XP_006301442.1, XP_006301477.1, XP_023644077.1
OG0002883	CP9_g29491_DN3_SP0_c.t1	XP_006300814.1
OG0002883	CP7_g46043_DN3_SP2_c.t1	XP_023632732.1
OG0002884	CP2_g47710_DN3_SP0_c.t1	XP_006280935.1
OG0002884	CP3_g14400_DN3_SP0_c.t1	XP_006291633.1
OG0002886	CP4_g25075_DN3_SP3_c.t1	XP_006293519.1
OG0002887	CP19_g18212_DN3_SP4_c.t1	XP_006285271.1
OG0002888	CP6_g9596_DN3_SP1_c.t1, CP6_g9566_DN3_SP2_c.t1	XP_023634143.1, XP_006286120.1
OG0002889	CP12_g30858_DN3_SP7_c.t1	XP_006297684.1
OG0002889	CP6_g8652_DN3_SP6_c.t1	XP_006285259.2
OG0002890	CP6_g8034_DN3_SP8_c.t1	XP_006285842.1
OG0002890	CP12_g30827_DN3_SP3_c.t1	XP_006297780.1
OG0002891	CP7_g45676_DN3_SP0_c.t1	XP_006306614.1
OG0002893	CP13_g19964_DN3_SP8_c.t1	XP_006281088.1
OG0002894	CP13_g20003_DN3_SP0_c.t1, CP13_g20008_DN3_SP0_c.t1	XP_023642957.1
OG0002895	CP1_g37855_DN3_SP8_c.t1	XP_006305259.1
OG0002896	CP19_g18078_DN3_SP0_c.t1, CP19_g18080_DN3_SP0_c.t1	XP_006283104.1, XP_023634859.1
OG0002897	CP10_g44088_DN3_SP3_c.t1	XP_006296609.1, XP_006297553.1
OG0002898	CP13_g19778_DN2_SP0_c.t1, CP13_g19777_DN3_SP0_c.t1	XP_023634834.1
OG0002899	CP5_g534_DN3_SP0_c.t1	XP_006283435.1
OG0002899	CP10_g43921_DN3_SP0_c.t1	XP_006299348.1
OG0002900	CP19_g18371_DN3_SP8_c.t1	XP_023635228.1
OG0002900	CP20_g4386_DN3_SP8_c.t1	XP_006287184.1
OG0002902	CP11_g31868_DN3_SP0_c.t1	XP_006289634.2
OG0002902	CP19_g18491_DN3_SP0_c.t1	XP_006285930.1
OG0002903	CP3_g14247_DN3_SP0_c.t1	XP_006290918.1
OG0002903	CP2_g47562_DN3_SP0_c.t1	XP_006279622.1
OG0002904	CP3_g14240_DN3_SP7_c.t1	XP_006291736.1
OG0002905	CP2_g47521_DN3_SP6_c.t1	XP_023641461.1
OG0002905	CP3_g14222_DN3_SP8_c.t1	XP_023637755.1
OG0002906	CP3_g13157_DN3_SP8_c.t1	XP_023639220.1
OG0002908	CP4_g24081_DN2_SP7_c.t1	XP_006295319.1
OG0002909	CP4_g24088_DN1_SP8_c.t1	XP_006295364.1
OG0002909	CP3_g13233_DN3_SP4_c.t1	XP_006292139.1
OG0002910	CP4_g24203_DN3_SP7_c.t1	XP_006293747.1
OG0002910	CP3_g13318_DN3_SP8_c.t1	XP_006290638.1
OG0002911	CP4_g24347_DN3_SP2_c.t1	XP_023639620.1
OG0002913	CP3_g13907_DN1_SP0_c.t1	XP_006292675.1
OG0002914	CP8_g53306_DN3_SP8_c.t1	XP_023643327.1
OG0002914	CP5_g1209_DN3_SP4_c.t1	XP_006283056.1
OG0002915	CP5_g2247_DN2_SP0_c.t1, CP17_g5405_DN2_SP0_c.t1	XP_006299662.1
OG0002916	CP10_g43699_DN3_SP7_c.t1	XP_006297953.1
OG0002917	CP10_g43627_DN3_SP8_c.t1	XP_006280197.1
OG0002919	CP8_g54411_DN3_SP0_c.t1	XP_006286569.1, XP_006288709.1
OG0002920	CP4_g24179_DN3_SP2_c.t1	XP_023639331.1
OG0002921	CP10_g42319_DN3_SP8_c.t1	XP_006297603.1
OG0002921	CP11_g32244_DN3_SP8_c.t1	XP_006287673.1
OG0002922	CP10_g42498_DN3_SP7_c.t1	XP_006298054.1
OG0002923	CP10_g42563_DN3_SP8_c.t1	XP_006298123.1
OG0002923	CP2_g48566_DN3_SP6_c.t1	XP_006288233.1
OG0002924	CP10_g42808_DN3_SP6_c.t1	XP_023642002.1
OG0002924	CP10_g43317_DN3_SP8_c.t1	XP_023641065.1
OG0002925	CP10_g42860_DN3_SP6_c.t1, CP10_g42851_DN3_SP1_c.t1, CP10_g42859_DN3_SP0_c.t1, CP10_g42850_DN3_SP0_c.t1	XP_006299756.1, XP_006296779.2
OG0002926	CP10_g42962_DN3_SP0_c.t1	XP_006298180.1
OG0002926	CP10_g42963_DN3_SP7_c.t1	XP_006298176.1
OG0002927	CP10_g43290_DN3_SP0_c.t1, CP10_g43291_DN3_SP1_c.t1	XP_023642515.1
OG0002928	CP10_g43466_DN3_SP7_c.t1	XP_006297678.2
OG0002930	CP12_g29927_DN3_SP6_c.t1	XP_006299318.1, XP_006298254.1
OG0002931	CP12_g30144_DN3_SP5_c.t1	XP_023641373.1
OG0002931	CP12_g30145_DN3_SP7_c.t1	XP_006297463.1
OG0002932	CP12_g30152_DN3_SP0_c.t1	XP_023642170.1
OG0002933	CP12_g30280_DN3_SP2_c.t1	XP_006297986.1
OG0002933	CP12_g30279_DN3_SP1_c.t1	XP_006297656.1
OG0002936	CP12_g30531_DN3_SP2_c.t1	XP_006297470.1
OG0002938	CP8_g54644_DN3_SP8_c.t1	XP_006287404.1
OG0002938	CP1_g36456_DN3_SP7_c.t1	XP_006303436.2
OG0002939	CP1_g36539_DN3_SP2_c.t1	XP_006303267.1
OG0002939	CP11_g32151_DN3_SP2_c.t1	XP_006286739.1
OG0002940	CP1_g36909_DN3_SP8_c.t1	XP_006303605.1
OG0002941	CP1_g37817_DN2_SP6_c.t1	XP_006303490.1
OG0002942	CP7_g45783_DN3_SP2_c.t1	XP_006305010.1
OG0002943	CP2_g48928_DN3_SP0_c.t1	XP_023642996.1
OG0002944	CP2_g49174_DN3_SP0_c.t1	XP_023643238.1
OG0002947	CP11_g31883_DN3_SP8_c.t1	XP_023637560.1
OG0002948	CP5_g81_DN3_SP0_c.t1	XP_006285298.1
OG0002949	CP5_g108_DN3_SP0_c.t1	XP_006283947.1
OG0002950	CP5_g223_DN1_SP0_c.t1	XP_006283909.1
OG0002951	CP5_g445_DN2_SP0_c.t1	XP_023635434.1
OG0002951	CP10_g43779_DN3_SP0_c.t1	XP_006299275.1
OG0002952	CP5_g767_DN3_SP8_c.t1	XP_006285676.1
OG0002952	CP16_g55381_DN3_SP7_c.t1	XP_006293477.1
OG0002953	CP18_g11990_DN3_SP3_c.t1	XP_006295415.1
OG0002954	CP16_g55290_DN3_SP6_c.t1	XP_006294869.2
OG0002954	CP5_g790_DN3_SP6_c.t1	XP_023634497.1
OG0002955	CP5_g803_DN3_SP8_c.t1	XP_023633738.1
OG0002955	CP16_g55273_DN3_SP3_c.t1	XP_006294253.1
OG0002956	CP12_g30788_DN3_SP0_c.t1	XP_006300136.2, XP_006289638.1
OG0002957	CP1_g38548_DN3_SP0_c.t1	XP_023633351.1, XP_023634299.1, XP_023634301.1, XP_023636145.1
OG0002958	CP12_g29829_DN2_SP8_c.t1	XP_006296707.1
OG0002958	CP5_g1170_DN3_SP4_c.t1	XP_006283768.1
OG0002959	CP13_g19881_DN3_SP0_c.t1, CP22_g17184_DN3_SP0_c.t1, CP22_g17197_DN3_SP0_c.t1, CP22_g17155_DN2_SP0_c.t1, CP22_g17264_DN3_SP0_c.t1, CP22_g17253_DN3_SP0_c.t1, CP35_g52028_DN3_SP0_c.t1, CP35_g52051_DN3_SP0_c.t1	XP_006281578.1, XP_006306046.2, XP_006304866.1, XP_006295835.1, XP_006304007.1, XP_006304928.1, XP_023644516.1, XP_023644518.1
OG0002961	CP3_g15715_DN3_SP0_c.t1, CP45_g22357_DN3_SP0_c.t1, CP44_g20941_DN3_SP0_c.t1, CP44_g20904_DN2_SP0_p.t1, CP5_g3292_DN3_SP0_c.t1, CP37_g11346_DN3_SP0_c.t1, CP37_g11361_DN3_SP0_c.t1, CP5_g3250_DN3_SP0_c.t1, CP5_g3310_DN3_SP0_c.t1	XP_023641967.1, XP_023644572.1
OG0002962	CP5_g209_DN3_SP1_c.t1	XP_006283272.1, XP_006301664.2
OG0002964	CP5_g1669_DN1_SP0_c.t1, CP5_g1670_DN2_SP0_c.t1, CP5_g1671_DN2_SP0_c.t1	XP_006295660.1
OG0002964	CP9_g29668_DN3_SP0_c.t1	XP_006296457.1
OG0002971	CP11_g33353_DN3_SP3_c.t1	XP_006290198.1
OG0002971	CP10_g43768_DN3_SP0_c.t1	XP_006290801.2
OG0002972	CP16_g55037_DN3_SP5_c.t1	XP_006294670.1
OG0002972	CP5_g951_DN3_SP8_c.t1	XP_006282680.1
OG0002975	CP16_g55174_DN3_SP8_c.t1	XP_006287159.1
OG0002976	CP11_g32274_DN3_SP8_c.t1	XP_006287873.1
OG0002976	CP10_g42297_DN3_SP5_c.t1	XP_006297827.1
OG0002977	CP11_g32370_DN3_SP2_c.t1	XP_006287289.2
OG0002978	CP11_g32555_DN3_SP6_c.t1	XP_006287365.1
OG0002981	CP2_g47771_DN3_SP8_c.t1	XP_006288516.2
OG0002982	CP11_g32949_DN3_SP8_c.t1	XP_006288969.1
OG0002982	CP2_g47830_DN3_SP6_c.t1	XP_006281386.1
OG0002983	CP19_g18303_DN3_SP3_c.t1	XP_006286136.1, XP_006285075.1
OG0002984	CP11_g33051_DN3_SP0_c.t1	XP_006289011.1
OG0002984	CP13_g19305_DN3_SP0_c.t1	XP_023637925.1
OG0002985	CP4_g25764_DN2_SP0_c.t1	XP_006295366.1
OG0002987	CP13_g20201_DN3_SP8_c.t1	XP_006281535.1
OG0002988	CP7_g45120_DN3_SP0_c.t1	XP_006305464.1
OG0002989	CP4_g25266_DN3_SP0_c.t1	XP_023640165.1
OG0002990	CP7_g44823_DN2_SP0_c.t1, CP7_g44822_DN3_SP0_c.t1	XP_006305939.1
OG0002990	CP7_g44824_DN3_SP0_c.t1	XP_006304015.1
OG0002991	CP4_g25211_DN3_SP3_c.t1	XP_023639503.1
OG0002993	CP3_g14380_DN3_SP2_c.t1	XP_006290363.1
OG0002994	CP2_g47683_DN3_SP8_c.t1	XP_006280940.1
OG0002994	CP3_g14384_DN3_SP3_c.t1	XP_023638763.1
OG0002996	CP8_g54132_DN3_SP8_c.t1	XP_006289156.2, XP_023636449.1
OG0002998	CP8_g53881_DN3_SP2_c.t1	XP_006279869.2
OG0003000	CP8_g53602_DN3_SP0_c.t1	XP_006281213.1
OG0003002	CP8_g53469_DN3_SP0_c.t1	XP_023643881.1
OG0003002	CP5_g1315_DN3_SP0_c.t1	XP_006284754.1
OG0003004	CP1_g37243_DN1_SP0_c.t1	XP_006306631.1, XP_006306628.2
OG0003005	CP11_g33262_DN3_SP5_c.t1	XP_023637273.1
OG0003005	CP11_g33261_DN3_SP8_c.t1	XP_023637180.1
OG0003006	CP11_g32019_DN3_SP0_c.t1	XP_006288687.1
OG0003007	CP10_g42409_DN3_SP0_c.t1	XP_006300167.2
OG0003008	CP3_g13612_DN3_SP0_c.t1	XP_023637766.1, XP_023645396.1
OG0003009	CP11_g33609_DN3_SP0_c.t1	XP_006288714.1
OG0003009	CP10_g42920_DN3_SP0_c.t1	XP_006299797.1
OG0003010	CP6_g8765_DN3_SP0_c.t1	XP_023635619.1, XP_006283240.1
OG0003011	CP7_g45581_DN3_SP4_c.t1	XP_006304309.1
OG0003011	CP9_g29429_DN3_SP1_c.t1	XP_006302951.2
OG0003013	CP9_g29398_DN3_SP3_c.t1	XP_006303042.2
OG0003013	CP7_g45599_DN2_SP0_c.t1	XP_006305794.1
OG0003014	CP5_g447_DN2_SP0_c.t1	XP_006285246.1
OG0003014	CP10_g43782_DN2_SP0_c.t1	XP_006299001.1
OG0003015	CP10_g43781_DN3_SP8_c.t1	XP_006298143.1
OG0003017	CP6_g8567_DN3_SP5_c.t1	XP_006284514.1
OG0003018	CP6_g8631_DN3_SP0_c.t1	XP_006285207.1
OG0003019	CP6_g7664_DN2_SP1_c.t1, CP6_g7663_DN3_SP2_c.t1	XP_006282589.1
OG0003020	CP6_g7604_DN3_SP8_c.t1	XP_006285986.1, XP_006285703.1
OG0003021	CP9_g29027_DN3_SP1_c.t1	XP_006301497.1
OG0003022	CP7_g45255_DN3_SP7_c.t1	XP_023645072.1
OG0003022	CP9_g28463_DN3_SP8_c.t1	XP_006301645.1
OG0003023	CP5_g1081_DN3_SP0_c.t1	XP_023634032.1
OG0003024	CP7_g45655_DN3_SP5_c.t1	XP_006303143.1
OG0003025	CP13_g19208_DN3_SP0_c.t1	XP_006291239.1
OG0003025	CP5_g1409_DN2_SP0_c.t1	XP_023635583.1
OG0003027	CP13_g19971_DN3_SP0_c.t1	XP_006280657.1, XP_006281787.2
OG0003028	CP12_g30302_DN3_SP8_c.t1	XP_006298078.1
OG0003028	CP1_g38112_DN3_SP8_c.t1	XP_023645732.1
OG0003030	CP1_g38174_DN3_SP8_c.t1	XP_006306575.1
OG0003031	CP12_g30470_DN3_SP0_c.t1	XP_006303488.1
OG0003032	CP12_g29970_DN3_SP0_c.t1	XP_006298721.1
OG0003032	CP1_g37903_DN3_SP0_c.t1	XP_006304274.1
OG0003033	CP4_g24905_DN3_SP0_c.t1	XP_006294282.1, XP_023640190.1
OG0003034	CP6_g7293_DN2_SP0_c.t1	XP_006279829.1
OG0003034	CP3_g14290_DN1_SP0_c.t1	XP_006292971.2
OG0003037	CP11_g31911_DN3_SP7_c.t1	XP_006287092.1
OG0003037	CP6_g6731_DN3_SP4_c.t1	XP_006282798.1
OG0003038	CP3_g15021_DN2_SP0_c.t1, CP3_g15028_DN2_SP0_c.t1, CP3_g15060_DN3_SP0_c.t1, CP3_g15044_DN2_SP0_c.t1, CP3_g15065_DN2_SP0_c.t1	XP_023639285.1
OG0003040	CP3_g13346_DN3_SP0_c.t1, CP3_g13347_DN3_SP0_c.t1	XP_006291651.2
OG0003041	CP3_g13378_DN3_SP4_c.t1, CP3_g13379_DN3_SP3_c.t1	XP_023639016.1
OG0003043	CP4_g24489_DN3_SP1_c.t1	XP_023640488.1
OG0003043	CP3_g13532_DN3_SP0_c.t1	XP_006292898.2
OG0003044	CP3_g14001_DN3_SP0_c.t1	XP_023638105.1
OG0003045	CP10_g42320_DN3_SP0_c.t1	XP_023642294.1
OG0003047	CP9_g28295_DN3_SP0_c.t1	XP_023644290.1
OG0003047	CP9_g28293_DN3_SP7_c.t1	XP_006301937.2
OG0003048	CP7_g45165_DN3_SP5_c.t1	XP_023645189.1
OG0003049	CP9_g28359_DN3_SP0_c.t1	XP_006302929.1, XP_006302623.1
OG0003050	CP9_g27638_DN3_SP8_c.t1	XP_006300494.1
OG0003050	CP5_g2002_DN3_SP6_c.t1	XP_006283832.1
OG0003051	CP19_g18168_DN3_SP0_c.t1	XP_006285667.1
OG0003052	CP16_g54745_DN3_SP6_c.t1	XP_006295776.2
OG0003052	CP5_g58_DN3_SP7_c.t1	XP_006284310.1
OG0003053	CP21_g11185_DN3_SP0_c.t1, CP21_g11181_DN3_SP0_c.t1, CP7_g44479_DN3_SP0_c.t1	XP_006306012.2
OG0003054	CP13_g20734_DN3_SP0_c.t1	XP_006284252.1, XP_006286238.2
OG0003055	CP8_g54423_DN3_SP0_c.t1	XP_006286742.2
OG0003056	CP8_g54406_DN3_SP1_c.t1	XP_006286966.1
OG0003057	CP2_g48535_DN2_SP0_c.t1	XP_006286759.2
OG0003058	CP10_g42470_DN3_SP8_c.t1	XP_006298205.1, XP_006288228.2
OG0003059	CP4_g23970_DN3_SP7_c.t1	XP_006296086.1
OG0003061	CP4_g24338_DN3_SP0_c.t1	XP_006295779.1
OG0003061	CP4_g24339_DN3_SP8_c.t1	XP_006295606.1
OG0003062	CP4_g24341_DN3_SP0_c.t1	XP_006296003.1
OG0003063	CP11_g32092_DN3_SP0_c.t1, CP4_g24549_DN3_SP0_c.t1, CP2_g49094_DN3_SP0_c.t1	XP_006288910.1, XP_006288884.2, XP_006295417.2
OG0003064	CP10_g42508_DN3_SP8_c.t1	XP_006300214.1
OG0003066	CP10_g42566_DN3_SP1_c.t1	XP_006298894.1
OG0003067	CP2_g48693_DN3_SP8_c.t1	XP_006279872.1
OG0003069	CP10_g43056_DN3_SP1_c.t1	XP_006296763.1, XP_023642271.1
OG0003070	CP10_g43304_DN3_SP3_c.t1	XP_006303178.1
OG0003071	CP12_g29953_DN3_SP2_c.t1	XP_023643556.1, XP_023641083.1
OG0003072	CP12_g30137_DN3_SP8_c.t1	XP_006298550.1
OG0003073	CP12_g30166_DN3_SP0_c.t1	XP_023642007.1
OG0003073	CP1_g38236_DN3_SP0_c.t1	XP_006305898.1
OG0003074	CP5_g1724_DN3_SP1_c.t1	XP_023635590.1
OG0003074	CP9_g28192_DN3_SP3_c.t1	XP_006300942.1
OG0003075	CP8_g54454_DN3_SP4_c.t1	XP_006287032.1
OG0003076	CP8_g54620_DN3_SP4_c.t1	XP_023636204.1
OG0003077	CP1_g36452_DN3_SP0_c.t1	XP_006303837.1
OG0003078	CP1_g36793_DN3_SP5_c.t1	XP_006303792.1
OG0003079	CP1_g36734_DN3_SP6_c.t1	XP_006305361.1
OG0003080	CP1_g36925_DN3_SP5_c.t1	XP_006307671.1
OG0003080	CP4_g25661_DN3_SP8_c.t1	XP_023639419.1
