Orthogroup	Conringia_planisiliqua	Arabidopsis_lyrata_NCBI
OG0002142	CP6_g6797_DN3_SP0_c.t1	XP_002869935.1
OG0002143	CP6_g6750_DN3_SP8_c.t1	XP_020872174.1
OG0002144	CP20_g4047_DN3_SP7_c.t1	XP_002872452.1
OG0002144	CP7_g44158_DN3_SP8_c.t1	XP_002891197.1
OG0002145	CP4_g23953_DN3_SP2_c.t1	XP_002880319.1
OG0002146	CP4_g24080_DN3_SP7_c.t1	XP_020884624.1
OG0002146	CP3_g13223_DN3_SP7_c.t1	XP_020880822.1
OG0002147	CP3_g13241_DN3_SP8_c.t1	XP_020882533.1
OG0002147	CP4_g24105_DN3_SP8_c.t1	XP_002880222.1
OG0002148	CP3_g13303_DN2_SP0_c.t1	XP_020880420.1
OG0002148	CP4_g24183_DN3_SP0_c.t1	XP_020885589.1
OG0002149	CP3_g13362_DN3_SP0_c.t1	XP_020880884.1
OG0002150	CP3_g13544_DN3_SP1_c.t1	XP_020880173.1
OG0002150	CP4_g24522_DN3_SP0_c.t1	XP_020885170.1
OG0002151	CP4_g24615_DN2_SP0_c.t1, CP4_g24612_DN2_SP0_c.t1	XP_002879905.1
OG0002152	CP3_g13678_DN3_SP8_c.t1	XP_020880238.1
OG0002152	CP4_g24605_DN3_SP2_c.t1	XP_002879912.1
OG0002153	CP3_g13704_DN3_SP5_c.t1	XP_002878085.1
OG0002153	CP4_g24639_DN3_SP7_c.t1	XP_002881741.1
OG0002154	CP3_g13940_DN3_SP8_c.t1	XP_002881605.1, XP_002877961.1
OG0002155	CP4_g25028_DN3_SP5_c.t1	XP_002881490.1
OG0002155	CP3_g14023_DN3_SP0_c.t1	XP_002877914.1
OG0002156	CP8_g53323_DN3_SP3_c.t1	XP_002865978.1
OG0002156	CP5_g1233_DN3_SP8_c.t1	XP_002869548.1
OG0002157	CP12_g30031_DN3_SP1_c.t1	XP_002885173.1
OG0002157	CP6_g7260_DN3_SP3_c.t1	XP_020872617.1
OG0002158	CP6_g8036_DN3_SP6_c.t1	XP_020876339.1
OG0002158	CP12_g30834_DN3_SP7_c.t1	XP_020886497.1
OG0002160	CP9_g28320_DN3_SP6_c.t1	XP_002888611.1
OG0002160	CP7_g45167_DN3_SP8_c.t1	XP_002890712.1
OG0002161	CP7_g45200_DN3_SP8_c.t1	XP_002890697.1
OG0002162	CP10_g43642_DN3_SP8_c.t1	XP_002884154.1
OG0002162	CP5_g969_DN3_SP7_c.t1	XP_020874569.1
OG0002164	CP4_g24721_DN3_SP0_c.t1	XP_020885734.1
OG0002165	CP4_g24989_DN3_SP8_c.t1	XP_020885556.1
OG0002166	CP13_g19775_DN1_SP0_c.t1, CP13_g19776_DN3_SP0_c.t1	XP_020877952.1
OG0002167	CP16_g54752_DN1_SP0_c.t1	XP_020885000.1
OG0002167	CP5_g75_DN3_SP3_c.t1	XP_020875421.1
OG0002168	CP16_g54770_DN3_SP8_c.t1	XP_020883982.1
OG0002168	CP5_g90_DN3_SP8_c.t1	XP_002866830.1
OG0002170	CP16_g54843_DN3_SP2_c.t1	XP_020884291.1
OG0002170	CP16_g54810_DN3_SP0_c.t1	XP_020885608.1
OG0002171	CP20_g4206_DN2_SP0_c.t1, CP20_g4208_DN3_SP0_c.t1	XP_020876773.1
OG0002172	CP2_g48640_DN3_SP0_c.t1	XP_020876929.1
OG0002172	CP10_g42478_DN3_SP0_c.t1	XP_002882384.1
OG0002174	CP4_g24150_DN3_SP8_c.t1	XP_002862253.2, XP_020883902.1
OG0002175	CP19_g18017_DN3_SP3_c.t1, CP19_g17864_DN3_SP1_c.t1	XP_002869619.2, XP_020878905.1
OG0002176	CP10_g42562_DN3_SP2_c.t1	XP_020887210.1, XP_020873809.1
OG0002176	CP2_g48567_DN3_SP4_c.t1	XP_020878698.1
OG0002177	CP10_g42699_DN3_SP8_c.t1	XP_020888782.1
OG0002177	CP2_g48729_DN3_SP8_c.t1	XP_020890474.1
OG0002178	CP2_g48757_DN3_SP0_c.t1	XP_020871929.1
OG0002178	CP10_g42724_DN3_SP5_c.t1	XP_002882515.1
OG0002179	CP10_g42827_DN3_SP0_c.t1	XP_020887356.1
OG0002179	CP10_g42826_DN3_SP0_c.t1	XP_002882576.1
OG0002180	CP10_g43178_DN3_SP8_c.t1	XP_002884884.1
OG0002180	CP11_g33268_DN3_SP0_c.t1, CP11_g33267_DN3_SP0_c.t1	XP_002873278.1
OG0002181	CP1_g38312_DN3_SP5_c.t1	XP_020868386.1
OG0002181	CP12_g30083_DN3_SP8_c.t1	XP_020889207.1
OG0002182	CP12_g30150_DN3_SP2_c.t1	XP_020888849.1
OG0002182	CP1_g38257_DN3_SP1_c.t1	XP_020867041.1
OG0002184	CP12_g30272_DN3_SP0_c.t1	XP_002885307.1
OG0002184	CP1_g38130_DN3_SP0_c.t1	XP_020866711.1
OG0002185	CP13_g19153_DN3_SP0_c.t1	XP_020882234.1
OG0002185	CP5_g1497_DN1_SP0_c.t1	XP_020872961.1
OG0002186	CP12_g30618_DN3_SP0_c.t1	XP_020886727.1, XP_002862235.1, XP_002885301.1
OG0002186	CP6_g7437_DN3_SP0_c.t1	XP_002870278.1
OG0002187	CP5_g2063_DN3_SP0_c.t1	XP_020872210.1
OG0002187	CP9_g27571_DN3_SP0_c.t1	XP_020890942.1
OG0002188	CP2_g50317_DN3_SP0_c.t1	XP_020869486.1
OG0002189	CP4_g25153_DN3_SP8_c.t1	XP_002879581.1
OG0002190	CP4_g24702_DN3_SP2_c.t1	XP_002881700.1
OG0002191	CP1_g36850_DN3_SP6_c.t1	XP_002892302.1
OG0002191	CP4_g25563_DN3_SP0_c.t1	XP_002879349.1
OG0002192	CP3_g16254_DN2_SP0_c.t1	XP_020885199.1
OG0002193	CP2_g49374_DN3_SP0_c.t1	XP_020890279.1
OG0002193	CP1_g37328_DN3_SP5_c.t1	XP_020866468.1
OG0002194	CP2_g49335_DN3_SP6_c.t1	XP_002886648.1
OG0002194	CP1_g37337_DN3_SP7_c.t1	XP_002892573.1
OG0002195	CP2_g49206_DN3_SP0_c.t1	XP_020890035.1
OG0002195	CP1_g37391_DN3_SP2_c.t1	XP_020866950.1
OG0002196	CP2_g48997_DN3_SP0_c.t1, CP1_g37535_DN1_SP0_c.t1	XP_002892683.1
OG0002197	CP1_g37810_DN3_SP0_c.t1	XP_002890085.1
OG0002197	CP13_g19689_DN3_SP0_c.t1	XP_020882522.1, XP_020880633.1
OG0002198	CP9_g28732_DN3_SP5_c.t1	XP_002888817.1
OG0002199	CP9_g28729_DN3_SP2_c.t1	XP_020891382.1
OG0002199	CP7_g45481_DN3_SP8_c.t1	XP_002890550.1
OG0002200	CP9_g28741_DN3_SP3_c.t1	XP_002887348.2, XP_020891143.1
OG0002201	CP2_g49025_DN3_SP0_c.t1	XP_020890536.1, XP_002888019.1
OG0002203	CP5_g1049_DN3_SP8_c.t1	XP_020873130.1
OG0002203	CP10_g43564_DN3_SP8_c.t1	XP_002883976.1
OG0002205	CP9_g28096_DN3_SP0_c.t1	XP_020889725.1
OG0002206	CP9_g29133_DN3_SP8_c.t1	XP_020890805.1
OG0002207	CP16_g54808_DN3_SP6_c.t1	XP_020884877.1
OG0002207	CP5_g118_DN3_SP7_c.t1	XP_002866844.1
OG0002208	CP16_g54951_DN3_SP0_c.t1	XP_002878661.1
OG0002210	CP5_g581_DN2_SP2_c.t1	XP_020872187.1
OG0002211	CP6_g7651_DN3_SP8_c.t1	XP_020874396.1
OG0002211	CP12_g30768_DN3_SP7_c.t1	XP_002883467.1
OG0002212	CP7_g45147_DN3_SP0_c.t1	XP_002890724.1
OG0002213	CP19_g17949_DN3_SP8_c.t1	XP_020873480.1
OG0002213	CP8_g53487_DN3_SP7_c.t1	XP_002862180.1, XP_002864375.1
OG0002214	CP5_g1656_DN3_SP0_c.t1	XP_020874197.1
OG0002216	CP5_g769_DN3_SP0_c.t1	XP_002869277.2
OG0002216	CP5_g770_DN3_SP0_c.t1	XP_020875445.1
OG0002216	CP5_g771_DN3_SP0_c.t1	XP_020872450.1
OG0002218	CP28_g33821_DN3_SP0_c.t1, CP5_g2000_DN3_SP0_c.t1	XP_020886880.1, XP_020867780.1, XP_020887743.1, XP_020883482.1
OG0002221	CP4_g25219_DN3_SP5_c.t1, CP17_g5088_DN3_SP4_c.t1	XP_002862198.1, XP_002881383.1
OG0002222	CP8_g54688_DN2_SP3_c.t1	XP_020869630.1, XP_020866010.1
OG0002223	CP11_g32224_DN3_SP0_c.t1	XP_002873830.1
OG0002223	CP10_g42331_DN2_SP0_c.t1	XP_020871476.1, XP_020888672.1
OG0002224	CP8_g52378_DN3_SP5_c.t1	XP_020871229.1
OG0002224	CP19_g18187_DN3_SP3_c.t1	XP_002869709.1
OG0002225	CP11_g32505_DN3_SP4_c.t1	XP_020878482.1
OG0002226	CP11_g32588_DN3_SP0_c.t1	XP_002873629.1
OG0002227	CP4_g26339_DN3_SP7_c.t1	XP_020884183.1
OG0002227	CP1_g37123_DN3_SP8_c.t1	XP_002889692.1
OG0002228	CP4_g25868_DN3_SP0_c.t1	XP_002879183.2
OG0002228	CP1_g37051_DN2_SP0_c.t1	XP_020869393.1
OG0002229	CP4_g25556_DN3_SP7_c.t1	XP_020882956.1
OG0002229	CP1_g36847_DN3_SP8_c.t1	XP_020869875.1
OG0002230	CP1_g36645_DN3_SP6_c.t1	XP_002892210.1
OG0002231	CP1_g36656_DN3_SP8_c.t1	XP_002892201.1
OG0002231	CP13_g20243_DN3_SP7_c.t1	XP_020871032.1
OG0002232	CP13_g20176_DN3_SP1_c.t1	XP_002863599.1
OG0002232	CP1_g36700_DN3_SP0_c.t1	XP_020869259.1
OG0002233	CP11_g31939_DN3_SP0_c.t1	XP_020866638.1
OG0002234	CP19_g18133_DN3_SP2_c.t1	XP_002867623.1
OG0002234	CP8_g53023_DN3_SP4_c.t1	XP_020882877.1
OG0002235	CP19_g18125_DN3_SP8_c.t1	XP_020873436.1
OG0002235	CP7_g44842_DN3_SP0_c.t1	XP_002890878.1
OG0002236	CP8_g53172_DN3_SP4_c.t1	XP_002865901.1
OG0002237	CP7_g44998_DN3_SP0_c.t1	XP_002893549.1, XP_002881324.1
OG0002239	CP4_g25254_DN3_SP0_c.t1	XP_002881362.1
OG0002239	CP7_g44814_DN3_SP5_c.t1	XP_002893647.1
OG0002240	CP7_g44761_DN3_SP7_c.t1	XP_002893845.1
OG0002240	CP4_g25180_DN3_SP8_c.t1	XP_002881406.1
OG0002241	CP7_g44652_DN3_SP8_c.t1	XP_020869919.1
OG0002241	CP4_g25204_DN3_SP8_c.t1	XP_002881394.1
OG0002242	CP2_g47636_DN2_SP0_c.t1	XP_002866718.1
OG0002242	CP3_g14348_DN2_SP0_c.t1	XP_002877738.1
OG0002243	CP11_g33166_DN3_SP8_c.t1	XP_020878612.1
OG0002243	CP2_g48121_DN3_SP3_c.t1	XP_002866456.1
OG0002244	CP2_g48227_DN3_SP0_c.t1	XP_020888623.1, XP_020871754.1, XP_002883607.1, XP_020886045.1, XP_002862645.1, XP_020871780.1, XP_020889025.1, XP_020872197.1, XP_002866397.1, XP_002862648.1, XP_002862646.1, XP_020871746.1
OG0002247	CP3_g15990_DN2_SP0_c.t1	XP_002877267.1
OG0002248	CP6_g8554_DN3_SP0_c.t1	XP_002863177.1
OG0002248	CP6_g8546_DN3_SP0_c.t1	XP_020875961.1
OG0002249	CP8_g53996_DN3_SP8_c.t1	XP_002866345.1
OG0002250	CP8_g53871_DN3_SP0_c.t1	XP_002866284.1
OG0002250	CP10_g42159_DN2_SP0_c.t1	XP_020886966.1
OG0002251	CP8_g53754_DN3_SP5_c.t1	XP_020868444.1
OG0002251	CP19_g18062_DN3_SP0_c.t1	XP_020873385.1
OG0002253	CP8_g53447_DN3_SP8_c.t1	XP_002866062.1
OG0002253	CP5_g1302_DN3_SP6_c.t1	XP_002869581.1
OG0002254	CP1_g36761_DN3_SP8_c.t1	XP_020869078.1
OG0002254	CP11_g32037_DN3_SP1_c.t1	XP_020877396.1
OG0002255	CP10_g43913_DN3_SP1_c.t1	XP_020888008.1
OG0002255	CP19_g18492_DN3_SP2_c.t1	XP_020873404.1
OG0002257	CP10_g43065_DN3_SP0_c.t1	XP_020887854.1
OG0002257	CP11_g33360_DN3_SP0_c.t1	XP_020875962.1
OG0002258	CP1_g39232_DN3_SP1_c.t1, CP4_g24877_DN3_SP1_c.t1	XP_002879747.1
OG0002258	CP11_g33534_DN3_SP7_c.t1	XP_020876507.1
OG0002259	CP11_g33591_DN3_SP1_c.t1	XP_002870999.1
OG0002259	CP13_g19301_DN3_SP0_c.t1, CP2_g49571_DN1_SP0_c.t1	XP_020877579.1, XP_002871001.1
OG0002260	CP4_g24904_DN3_SP0_c.t1	XP_002879732.1
OG0002262	CP9_g29703_DN3_SP7_c.t1	XP_002889306.1
OG0002262	CP7_g46192_DN3_SP8_c.t1	XP_002890101.1
OG0002263	CP9_g29686_DN3_SP8_c.t1	XP_020891379.1
OG0002263	CP7_g46177_DN3_SP6_c.t1	XP_020867926.1
OG0002264	CP9_g29636_DN3_SP2_c.t1	XP_002889277.1
OG0002264	CP7_g46146_DN3_SP0_c.t1	XP_002890132.1
OG0002265	CP7_g45569_DN3_SP8_c.t1	XP_020869441.1
OG0002266	CP9_g29416_DN3_SP8_c.t1	XP_020891016.1
OG0002266	CP7_g45585_DN3_SP8_c.t1	XP_020867046.1
OG0002267	CP9_g29337_DN3_SP4_c.t1	XP_002889109.1
OG0002267	CP7_g45648_DN3_SP3_c.t1	XP_020869336.1
OG0002269	CP9_g29184_DN3_SP0_c.t1	XP_020891357.1
OG0002269	CP7_g45784_DN3_SP0_c.t1	XP_002890352.1
OG0002270	CP7_g45792_DN3_SP5_c.t1	XP_020867332.1
OG0002270	CP9_g29175_DN3_SP8_c.t1	XP_020891185.1
OG0002271	CP3_g13386_DN2_SP0_c.t1	XP_002878314.1
OG0002271	CP7_g46412_DN3_SP0_c.t1	XP_002894516.1
OG0002272	CP10_g43305_DN3_SP0_c.t1	XP_002882822.2
OG0002273	CP10_g43315_DN3_SP8_c.t1	XP_002882828.1
OG0002273	CP7_g46387_DN3_SP8_c.t1	XP_020868902.1
OG0002274	CP12_g30694_DN3_SP8_c.t1	XP_002883421.1
OG0002274	CP6_g7512_DN3_SP8_c.t1	XP_002868289.1
OG0002275	CP6_g7501_DN2_SP0_c.t1	XP_002868281.1
OG0002275	CP6_g7502_DN3_SP0_c.t1	XP_002868282.1
OG0002276	CP9_g28975_DN3_SP8_c.t1	XP_002888928.1
OG0002276	CP7_g45956_DN3_SP8_c.t1	XP_002892974.1
OG0002277	CP9_g28497_DN3_SP8_c.t1	XP_020865978.1
OG0002277	CP7_g45274_DN3_SP3_c.t1	XP_002890666.1
OG0002278	CP12_g29834_DN3_SP7_c.t1	XP_002886294.1
OG0002279	CP5_g1119_DN3_SP2_c.t1, CP5_g1118_DN3_SP4_c.t1	XP_020872483.1
OG0002279	CP10_g43510_DN1_SP0_c.t1	XP_002885991.1
OG0002280	CP5_g1370_DN2_SP0_c.t1	XP_020874720.1
OG0002281	CP13_g19271_DN2_SP2_c.t1	XP_020881211.1
OG0002281	CP5_g1338_DN3_SP0_c.t1	XP_020874926.1
OG0002282	CP13_g19406_DN3_SP8_c.t1	XP_002875297.1
OG0002283	CP12_g30300_DN3_SP0_c.t1	XP_020887132.1
OG0002283	CP1_g38114_DN3_SP8_c.t1	XP_002891540.1
OG0002284	CP1_g37896_DN3_SP8_c.t1	XP_020868003.1
OG0002284	CP12_g29961_DN3_SP7_c.t1	XP_020888096.1
OG0002285	CP4_g25310_DN3_SP2_c.t1	XP_020883126.1
OG0002285	CP4_g25309_DN3_SP6_c.t1	XP_020885763.1
OG0002287	CP6_g7178_DN3_SP4_c.t1	XP_020872208.1
OG0002287	CP4_g25167_DN3_SP8_c.t1	XP_002881409.1
OG0002288	CP13_g19835_DN3_SP0_c.t1	XP_020871588.1
OG0002288	CP6_g7032_DN2_SP0_c.t1	XP_002868030.1
OG0002289	CP6_g7099_DN3_SP8_c.t1	XP_002870109.1
OG0002289	CP13_g19750_DN3_SP0_c.t1	XP_020889763.1
OG0002291	CP3_g14318_DN2_SP0_c.t1	XP_020879769.1
OG0002291	CP1_g38891_DN3_SP0_c.t1	XP_020866548.1
OG0002292	CP3_g14363_DN2_SP1_c.t1	XP_020879999.1
OG0002292	CP3_g14364_DN3_SP0_c.t1	XP_002877730.1
OG0002293	CP19_g18328_DN3_SP0_c.t1	XP_002867714.1
OG0002293	CP8_g53035_DN3_SP0_c.t1	XP_002865853.1
OG0002294	CP13_g20123_DN3_SP5_c.t1	XP_020891554.1
OG0002294	CP6_g6810_DN3_SP2_c.t1	XP_020874727.1
OG0002295	CP20_g3979_DN3_SP0_c.t1	XP_002872359.1
OG0002295	CP1_g37775_DN3_SP0_c.t1	XP_002890069.1
OG0002296	CP4_g25170_DN3_SP5_c.t1	XP_002879567.1
OG0002296	CP6_g7160_DN3_SP8_c.t1	XP_020873153.1
OG0002297	CP4_g23914_DN3_SP0_c.t1	XP_020883654.1
OG0002297	CP3_g13094_DN3_SP1_c.t1	XP_002876705.1
OG0002298	CP4_g24141_DN3_SP8_c.t1	XP_020883116.1, XP_020881562.1
OG0002299	CP3_g13626_DN3_SP2_c.t1	XP_002876402.2
OG0002299	CP4_g24575_DN3_SP0_c.t1	XP_020883888.1
OG0002301	CP3_g13540_DN2_SP0_c.t1	XP_020883942.1
OG0002301	CP3_g13539_DN2_SP0_c.t1	XP_020880437.1
OG0002302	CP4_g24774_DN3_SP8_c.t1	XP_020883744.1
OG0002302	CP3_g13820_DN3_SP8_c.t1	XP_020880106.1
OG0002303	CP3_g13846_DN3_SP8_c.t1	XP_020880443.1
OG0002305	CP5_g41_DN2_SP8_c.t1	XP_020875572.1
OG0002305	CP9_g28370_DN3_SP8_c.t1	XP_020890543.1
OG0002306	CP1_g36574_DN3_SP4_c.t1	XP_020870963.1
OG0002306	CP16_g55511_DN3_SP7_c.t1, CP11_g31812_DN3_SP1_c.t1, CP11_g31810_DN1_SP0_c.t1	XP_002872675.1
OG0002307	CP16_g54788_DN3_SP8_c.t1	XP_002878559.1
OG0002307	CP5_g104_DN3_SP8_c.t1	XP_020872544.1
OG0002308	CP5_g183_DN3_SP8_c.t1	XP_002866900.1
OG0002308	CP16_g54864_DN3_SP8_c.t1	XP_020883256.1
OG0002309	CP21_g10997_DN3_SP1_c.t1	XP_020868907.1
OG0002309	CP21_g11022_DN3_SP8_c.t1	XP_020868909.1
OG0002312	CP6_g7076_DN3_SP4_c.t1	XP_002870097.1
OG0002312	CP13_g19772_DN3_SP7_c.t1	XP_020868257.1
OG0002313	CP2_g48703_DN3_SP3_c.t1	XP_002865725.2
OG0002316	CP1_g38287_DN3_SP7_c.t1	XP_002894113.1
OG0002316	CP12_g30111_DN3_SP8_c.t1	XP_002885229.1
OG0002317	CP12_g30120_DN3_SP8_c.t1	XP_020889084.1
OG0002318	CP12_g30169_DN3_SP0_c.t1	XP_020888673.1
OG0002318	CP1_g38234_DN3_SP0_c.t1	XP_002891453.1
OG0002319	CP3_g14795_DN3_SP0_c.t1	XP_002877476.2, XP_002877474.1, XP_002877475.1
OG0002320	CP1_g36436_DN3_SP6_c.t1, CP1_g36435_DN3_SP6_c.t1	XP_002892042.1
OG0002321	CP1_g36439_DN3_SP0_c.t1	XP_020870063.1
OG0002321	CP8_g54618_DN3_SP8_c.t1	XP_020878512.1
OG0002322	CP8_g54638_DN3_SP8_c.t1	XP_020878882.1
OG0002324	CP1_g37027_DN3_SP2_c.t1, CP1_g37029_DN3_SP7_c.t1	XP_020870896.1, XP_020870898.1
OG0002325	CP1_g37169_DN3_SP6_c.t1	XP_002892475.1
OG0002326	CP3_g16256_DN3_SP0_c.t1, CP1_g37323_DN3_SP5_c.t1	XP_020867484.1
OG0002326	CP2_g49367_DN3_SP7_c.t1	XP_002888188.1
OG0002327	CP13_g19588_DN3_SP8_c.t1	XP_020881092.1
OG0002327	CP1_g37761_DN3_SP8_c.t1	XP_002892815.1
OG0002328	CP9_g29601_DN3_SP8_c.t1	XP_020891604.1
OG0002329	CP7_g46111_DN3_SP8_c.t1	XP_020869558.1
OG0002329	CP9_g29588_DN3_SP8_c.t1	XP_020891331.1
OG0002330	CP7_g45999_DN3_SP8_c.t1	XP_020867522.1
OG0002332	CP9_g29095_DN3_SP4_c.t1	XP_020891472.1
OG0002332	CP7_g45875_DN3_SP8_c.t1, CP7_g45877_DN3_SP0_c.t1	XP_020870494.1
OG0002333	CP9_g28849_DN2_SP1_c.t1	XP_002887419.1
OG0002333	CP7_g45532_DN3_SP5_c.t1	XP_020869833.1
OG0002334	CP7_g45398_DN3_SP8_c.t1	XP_002890598.1
OG0002334	CP9_g28640_DN3_SP4_c.t1	XP_002888764.1
OG0002335	CP7_g45367_DN2_SP0_c.t1	XP_020885979.1, XP_002890616.1
OG0002335	CP9_g28608_DN3_SP0_c.t1	XP_002888749.1
OG0002336	CP2_g49056_DN3_SP1_c.t1	XP_002886482.1
OG0002337	CP2_g49333_DN3_SP0_c.t1, CP2_g49330_DN3_SP7_c.t1	XP_020890650.1, XP_020891659.1
OG0002338	CP4_g25477_DN3_SP0_c.t1	XP_020884987.1
OG0002340	CP10_g43931_DN3_SP0_c.t1	XP_002886234.1
OG0002340	CP5_g537_DN3_SP0_c.t1	XP_002867107.1
OG0002341	CP5_g655_DN3_SP0_c.t1	XP_002867169.1
OG0002341	CP5_g654_DN3_SP0_c.t1	XP_020872808.1
OG0002342	CP10_g44078_DN3_SP0_c.t1	XP_020887344.1
OG0002342	CP5_g613_DN3_SP1_c.t1	XP_020874463.1
OG0002343	CP5_g841_DN3_SP8_c.t1	XP_002867293.1
OG0002343	CP16_g55140_DN3_SP8_c.t1	XP_002880602.1
OG0002344	CP5_g842_DN3_SP8_c.t1	XP_020874498.1
OG0002344	CP16_g55137_DN3_SP8_c.t1	XP_020885203.1
OG0002345	CP16_g55096_DN3_SP2_c.t1	XP_002878743.1
OG0002346	CP8_g53537_DN3_SP2_c.t1	XP_020871603.1
OG0002346	CP19_g17972_DN3_SP8_c.t1	XP_020873466.1
OG0002352	CP5_g956_DN3_SP3_c.t1	XP_002869378.2
OG0002353	CP11_g32233_DN3_SP6_c.t1	XP_002871764.1
OG0002353	CP10_g42326_DN3_SP4_c.t1	XP_002882283.1
OG0002354	CP11_g32262_DN3_SP8_c.t1	XP_020878395.1
OG0002354	CP10_g42306_DN3_SP8_c.t1	XP_002882275.2
OG0002355	CP11_g32263_DN3_SP0_c.t1	XP_020877818.1, XP_002873805.1, XP_002873808.1
OG0002356	CP11_g32303_DN3_SP8_c.t1	XP_020878205.1, XP_020886852.1
OG0002357	CP11_g33486_DN3_SP2_c.t1	XP_020878429.1, XP_020884771.1
OG0002358	CP10_g42210_DN3_SP0_c.t1	XP_020886903.1
OG0002358	CP11_g32412_DN3_SP0_c.t1	XP_002871671.1
OG0002359	CP11_g32437_DN3_SP4_c.t1	XP_002871661.1
OG0002359	CP10_g42187_DN3_SP6_c.t1	XP_002882198.1
OG0002360	CP7_g45159_DN2_SP0_c.t1	XP_020870383.1
OG0002361	CP2_g48420_DN2_SP0_c.t1	XP_020878484.1
OG0002361	CP11_g32837_DN3_SP0_c.t1	XP_020876737.1
OG0002362	CP2_g47812_DN3_SP8_c.t1	XP_020871117.1
OG0002362	CP11_g32938_DN3_SP6_c.t1	XP_002873431.1
OG0002363	CP11_g33024_DN3_SP7_c.t1	XP_002871349.1
OG0002363	CP2_g47942_DN3_SP7_c.t1	XP_002866567.1
OG0002364	CP2_g48286_DN3_SP8_c.t1	XP_020876252.1
OG0002364	CP11_g33037_DN3_SP8_c.t1	XP_020878155.1, XP_002871342.1
OG0002365	CP11_g33099_DN3_SP0_c.t1, CP11_g33095_DN3_SP0_c.t1	XP_020877019.1, XP_020877014.1
OG0002366	CP11_g32012_DN3_SP0_c.t1	XP_020878326.1
OG0002367	CP4_g25827_DN3_SP0_c.t1	XP_002862602.1, XP_020885298.1, XP_020884931.1
OG0002368	CP1_g36559_DN3_SP8_c.t1	XP_020868215.1
OG0002368	CP4_g25519_DN3_SP8_c.t1	XP_020883156.1
OG0002369	CP13_g20249_DN3_SP8_c.t1	XP_020871044.1
OG0002369	CP1_g36655_DN3_SP4_c.t1	XP_002892202.1
OG0002370	CP13_g20226_DN3_SP8_c.t1	XP_020871730.1
OG0002370	CP1_g36662_DN3_SP8_c.t1	XP_002889493.1
OG0002371	CP1_g36697_DN3_SP0_c.t1	XP_002892180.1
OG0002371	CP13_g20187_DN3_SP0_c.t1	XP_020867815.1
OG0002374	CP6_g7272_DN2_SP0_c.t1	XP_020875243.1
OG0002375	CP13_g19495_DN3_SP8_c.t1	XP_002875219.1
OG0002375	CP13_g19493_DN3_SP0_c.t1	XP_020882378.1
OG0002378	CP8_g54171_DN3_SP6_c.t1	XP_020876661.1
OG0002379	CP3_g14720_DN3_SP8_c.t1	XP_020881660.1
OG0002379	CP8_g53925_DN3_SP8_c.t1	XP_002866318.1
OG0002380	CP5_g850_DN3_SP8_c.t1, CP5_g849_DN3_SP1_c.t1	XP_020874806.1
OG0002381	CP8_g53518_DN3_SP8_c.t1	XP_002866095.1
OG0002381	CP19_g17966_DN3_SP7_c.t1, CP5_g1969_DN3_SP0_c.t1	XP_002869596.1
OG0002382	CP8_g53431_DN3_SP8_c.t1	XP_002866053.1
OG0002382	CP5_g1289_DN3_SP2_c.t1	XP_002869573.1
OG0002383	CP5_g1267_DN3_SP7_c.t1	XP_002869563.1
OG0002383	CP8_g53395_DN3_SP7_c.t1	XP_002866028.1
OG0002385	CP11_g33302_DN3_SP0_c.t1	XP_020876016.1
OG0002386	CP10_g43021_DN3_SP0_c.t1	XP_020888984.1
OG0002386	CP11_g33427_DN3_SP0_c.t1	XP_020877225.1
OG0002387	CP11_g33487_DN3_SP8_c.t1	XP_020878424.1
OG0002387	CP10_g42982_DN3_SP0_c.t1	XP_020886100.1
OG0002388	CP13_g19102_DN3_SP0_c.t1	XP_002886358.1
OG0002389	CP7_g46078_DN3_SP7_c.t1	XP_002890182.1
OG0002390	CP7_g45593_DN3_SP4_c.t1	XP_002890469.1
OG0002391	CP9_g29374_DN3_SP0_c.t1	XP_020890502.1
OG0002391	CP7_g45619_DN3_SP0_c.t1	XP_020867724.1
OG0002392	CP9_g29270_DN3_SP8_c.t1	XP_020890989.1
OG0002392	CP7_g45710_DN3_SP8_c.t1, CP23_g21375_DN2_SP0_c.t1	XP_020868923.1
OG0002393	CP5_g453_DN3_SP1_c.t1	XP_002867066.1
OG0002393	CP10_g43788_DN3_SP5_c.t1	XP_020887286.1
OG0002394	CP5_g401_DN3_SP8_c.t1	XP_020874030.1
OG0002394	CP10_g43727_DN3_SP8_c.t1	XP_020887365.1
OG0002395	CP10_g43263_DN3_SP1_c.t1	XP_020889350.1
OG0002396	CP10_g43339_DN3_SP8_c.t1	XP_020887389.1
OG0002396	CP7_g46358_DN3_SP7_c.t1	XP_020870241.1
OG0002397	CP10_g43364_DN3_SP7_c.t1	XP_002885000.2
OG0002398	CP7_g46244_DN3_SP8_c.t1	XP_020888949.1
OG0002399	CP10_g43980_DN3_SP0_c.t1	XP_002884163.2
OG0002399	CP5_g555_DN3_SP0_c.t1	XP_002869142.1
OG0002400	CP10_g43814_DN3_SP0_c.t1	XP_020866217.1
OG0002400	CP7_g46220_DN3_SP0_c.t1	XP_002894420.2
OG0002401	CP4_g25121_DN3_SP8_c.t1	XP_002881433.1
OG0002401	CP3_g14086_DN3_SP8_c.t1	XP_020881338.1
OG0002402	CP6_g9462_DN3_SP2_c.t1	XP_002863203.2
