Orthogroup	Conringia_planisiliqua	Rorippa_islandica
OG0001802	CP8_g53575_DN3_SP0_c.t1	Roisl.0080s0743.1.p
OG0001802	CP19_g17977_DN3_SP1_c.t1	Roisl.0022s0321.1.p
OG0001803	CP10_g43141_DN2_SP0_c.t1	Roisl.0074s0827.1.p
OG0001803	CP11_g33237_DN2_SP0_c.t1	Roisl.0042s0015.1.p
OG0001804	CP11_g33337_DN3_SP8_c.t1	Roisl.0042s0102.1.p
OG0001804	CP10_g43640_DN3_SP5_c.t1	Roisl.0066s0023.1.p
OG0001805	CP10_g43017_DN3_SP8_c.t1	Roisl.0074s0961.1.p
OG0001805	CP11_g33439_DN3_SP8_c.t1	Roisl.0030s0179.1.p
OG0001806	CP10_g42989_DN3_SP7_c.t1	Roisl.0074s0998.1.p
OG0001806	CP11_g33475_DN3_SP7_c.t1	Roisl.0030s0145.1.p
OG0001807	CP11_g33479_DN3_SP7_c.t1	Roisl.0030s0141.1.p
OG0001807	CP10_g42987_DN3_SP8_c.t1	Roisl.0074s0999.1.p
OG0001808	CP11_g33572_DN3_SP0_c.t1	Roisl.0030s0038.1.p
OG0001809	CP13_g19278_DN3_SP8_c.t1	Roisl.0011s0524.1.p
OG0001809	CP5_g1335_DN3_SP8_c.t1	Roisl.0009s0154.1.p
OG0001811	CP1_g39180_DN3_SP0_c.t1	Roisl.0007s0416.1.p
OG0001811	CP9_g29481_DN3_SP0_c.t1	Roisl.0004s0049.1.p
OG0001813	CP7_g45654_DN3_SP7_c.t1	Roisl.0007s0006.1.p
OG0001814	CP9_g29318_DN3_SP4_c.t1	Roisl.0004s0220.1.p
OG0001814	CP7_g45662_DN3_SP8_c.t1	Roisl.0007s0020.1.p
OG0001815	CP9_g29252_DN3_SP0_c.t1	Roisl.0004s0284.1.p
OG0001815	CP7_g45731_DN3_SP0_c.t1	Roisl.0007s0101.1.p
OG0001817	CP5_g1683_DN3_SP0_c.t1	Roisl.0032s0001.1.p
OG0001818	CP7_g45819_DN3_SP3_c.t1	Roisl.0007s0192.1.p
OG0001818	CP9_g29146_DN3_SP1_c.t1	Roisl.0004s0387.1.p
OG0001819	CP10_g43790_DN2_SP0_c.t1	Roisl.0066s0188.1.p
OG0001819	CP5_g460_DN3_SP0_c.t1	Roisl.0001s0169.1.p
OG0001820	CP5_g408_DN2_SP5_c.t1	Roisl.0001s0226.1.p
OG0001820	CP10_g43736_DN3_SP0_c.t1	Roisl.0066s0137.1.p
OG0001821	CP4_g25098_DN3_SP8_c.t1	Roisl.0054s0019.1.p
OG0001821	CP3_g14070_DN3_SP8_c.t1	Roisl.0046s1267.1.p
OG0001822	CP13_g19360_DN3_SP8_c.t1	Roisl.0011s0426.1.p
OG0001822	CP4_g25061_DN3_SP8_c.t1	Roisl.0017s0016.1.p
OG0001824	CP9_g28934_DN3_SP8_c.t1	Roisl.0019s0187.1.p
OG0001825	CP8_g53429_DN1_SP0_c.t1	Roisl.0050s0061.1.p, Roisl.0009s0159.1.p
OG0001826	CP9_g29077_DN3_SP0_c.t1	Roisl.0004s0467.1.p
OG0001826	CP7_g45885_DN1_SP0_c.t1	Roisl.0007s0263.1.p
OG0001827	CP5_g1083_DN3_SP8_c.t1	Roisl.0044s0066.1.p
OG0001827	CP10_g43541_DN3_SP1_c.t1	Roisl.0214s0385.1.p
OG0001828	CP7_g45313_DN3_SP8_c.t1	Roisl.0191s0336.1.p
OG0001828	CP9_g28555_DN3_SP8_c.t1	Roisl.0019s0584.1.p
OG0001829	CP6_g6975_DN3_SP3_c.t1	Roisl.0091s0480.1.p
OG0001829	CP13_g19899_DN3_SP0_c.t1	Roisl.0005s0201.1.p
OG0001830	CP13_g19979_DN3_SP5_c.t1	Roisl.0005s0305.1.p
OG0001830	CP6_g6899_DN3_SP8_c.t1	Roisl.0091s0394.1.p
OG0001831	CP7_g44409_DN3_SP0_c.t1, CP7_g44261_DN3_SP0_c.t1	Roisl.0198s0048.1.p, Roisl.0091s0987.1.p, Roisl.0091s1012.1.p, Roisl.0091s1010.1.p
OG0001832	CP12_g30480_DN3_SP4_c.t1	Roisl.0115s0470.1.p
OG0001832	CP1_g37958_DN3_SP8_c.t1	Roisl.0006s0225.1.p
OG0001833	CP12_g29966_DN3_SP8_c.t1	Roisl.0074s0332.1.p
OG0001834	CP4_g25307_DN3_SP3_c.t1	Roisl.0028s0841.1.p
OG0001834	CP8_g53199_DN3_SP7_c.t1	Roisl.0031s0005.1.p, Roisl.0031s0004.1.p
OG0001836	CP4_g25790_DN3_SP5_c.t1	Roisl.0082s0751.1.p
OG0001837	CP10_g44086_DN3_SP6_c.t1	Roisl.0045s0061.1.p
OG0001837	CP5_g605_DN3_SP8_c.t1	Roisl.0008s0362.1.p
OG0001838	CP10_g43839_DN3_SP8_c.t1	Roisl.0066s0232.1.p
OG0001838	CP5_g483_DN3_SP8_c.t1	Roisl.0001s0139.1.p
OG0001839	CP19_g18276_DN3_SP7_c.t1	Roisl.0008s0189.1.p
OG0001839	CP20_g4309_DN3_SP3_c.t1	Roisl.0213s0628.1.p
OG0001840	CP19_g18386_DN3_SP7_c.t1	Roisl.0091s0031.1.p
OG0001840	CP20_g4401_DN3_SP8_c.t1	Roisl.0213s0526.1.p
OG0001842	CP28_g33819_DN3_SP0_c.t1, CP6_g6885_DN3_SP0_c.t1	Roisl.0091s0255.1.p
OG0001843	CP11_g31923_DN3_SP8_c.t1	Roisl.0082s0302.1.p
OG0001843	CP6_g6749_DN3_SP3_c.t1	Roisl.0091s0222.1.p
OG0001844	CP11_g31895_DN3_SP0_c.t1	Roisl.0082s0260.1.p
OG0001844	CP6_g6696_DN3_SP0_c.t1	Roisl.0091s0174.1.p
OG0001845	CP1_g37093_DN3_SP8_c.t1	Roisl.0091s1094.1.p
OG0001846	CP3_g13636_DN3_SP3_c.t1	Roisl.0026s0185.1.p
OG0001846	CP16_g55633_DN3_SP7_c.t1	Roisl.0028s0485.1.p
OG0001847	CP3_g13118_DN3_SP8_c.t1	Roisl.0067s0053.1.p
OG0001847	CP4_g23957_DN3_SP2_c.t1	Roisl.0018s0420.1.p
OG0001848	CP3_g13178_DN3_SP8_c.t1	Roisl.0018s0340.1.p
OG0001848	CP4_g24022_DN2_SP8_c.t1	Roisl.0035s0039.1.p
OG0001849	CP3_g13327_DN3_SP0_c.t1	Roisl.0018s0186.1.p
OG0001849	CP4_g24214_DN3_SP0_c.t1	Roisl.0028s0068.1.p
OG0001850	CP3_g13361_DN3_SP0_c.t1	Roisl.0018s0143.1.p
OG0001850	CP4_g24246_DN3_SP5_c.t1	Roisl.0028s0105.1.p
OG0001851	CP3_g13372_DN3_SP8_c.t1	Roisl.0018s0130.1.p
OG0001852	CP3_g13382_DN3_SP8_c.t1	Roisl.0018s0120.1.p
OG0001852	CP4_g24295_DN3_SP8_c.t1	Roisl.0028s0155.1.p
OG0001853	CP4_g24310_DN3_SP7_c.t1	Roisl.0028s0171.1.p
OG0001853	CP3_g13389_DN3_SP8_c.t1	Roisl.0018s0110.1.p
OG0001854	CP3_g13418_DN3_SP0_c.t1	Roisl.0018s0081.1.p
OG0001855	CP4_g24625_DN3_SP1_c.t1	Roisl.0028s0528.1.p
OG0001855	CP3_g13684_DN3_SP0_c.t1	Roisl.0046s1670.1.p
OG0001856	CP3_g13787_DN3_SP1_c.t1	Roisl.0046s1551.1.p
OG0001857	CP3_g13879_DN3_SP0_c.t1, CP3_g13876_DN2_SP0_c.t1, CP3_g13877_DN2_SP0_c.t1, CP3_g13875_DN3_SP0_c.t1, CP3_g13878_DN3_SP0_c.t1	Roisl.0046s1461.1.p, Roisl.0046s1462.1.p
OG0001858	CP3_g14028_DN3_SP0_c.t1	Roisl.0046s1308.1.p
OG0001858	CP4_g25033_DN3_SP0_c.t1	Roisl.0017s0046.1.p
OG0001859	CP5_g360_DN3_SP6_c.t1	Roisl.0001s0275.1.p
OG0001859	CP10_g43681_DN3_SP8_c.t1	Roisl.0066s0074.1.p
OG0001860	CP5_g336_DN3_SP8_c.t1	Roisl.0001s0300.1.p
OG0001860	CP10_g43652_DN3_SP1_c.t1	Roisl.0066s0040.1.p
OG0001861	CP9_g28075_DN3_SP0_c.t1	Roisl.0209s0032.1.p
OG0001862	CP11_g31775_DN3_SP0_c.t1	Roisl.0209s0250.1.p, Roisl.0082s0149.1.p
OG0001863	CP11_g31856_DN3_SP0_c.t1	Roisl.0082s0213.1.p
OG0001863	CP11_g31854_DN3_SP0_c.t1	Roisl.0082s0212.1.p
OG0001864	CP16_g54912_DN3_SP0_c.t1	Roisl.0046s0552.1.p
OG0001864	CP5_g230_DN2_SP0_c.t1	Roisl.0001s0411.1.p
OG0001865	CP1_g41211_DN3_SP1_c.t1	Roisl.0072s0003.1.p
OG0001865	CP14_g23242_DN3_SP0_c.t1	Roisl.0184s0023.1.p
OG0001866	CP1_g37259_DN3_SP8_c.t1	Roisl.0021s0018.1.p
OG0001866	CP10_g42822_DN3_SP8_c.t1	Roisl.0079s0215.1.p
OG0001868	CP2_g49424_DN2_SP0_c.t1, CP2_g49480_DN2_SP0_c.t1	Roisl.0014s0111.1.p
OG0001868	CP2_g49384_DN2_SP0_c.t1, CP2_g49357_DN1_SP0_c.t1	Roisl.0214s0760.1.p, Roisl.0214s0728.1.p
OG0001868	CP2_g49476_DN1_SP0_c.t1, CP2_g49479_DN2_SP0_c.t1	Roisl.0214s0721.1.p, Roisl.0214s0725.1.p
OG0001869	CP7_g45672_DN3_SP8_c.t1	Roisl.0007s0036.1.p
OG0001871	CP10_g42253_DN3_SP7_c.t1	Roisl.0016s0191.1.p
OG0001872	CP10_g42613_DN3_SP3_c.t1	Roisl.0039s0158.1.p
OG0001872	CP12_g30731_DN3_SP3_c.t1	Roisl.0053s0326.1.p
OG0001873	CP1_g37703_DN3_SP5_c.t1	Roisl.0007s0756.1.p
OG0001873	CP13_g19517_DN3_SP0_c.t1	Roisl.0011s0215.1.p
OG0001874	CP5_g746_DN3_SP1_c.t1	Roisl.0003s0281.1.p
OG0001875	CP5_g1522_DN3_SP2_c.t1	Roisl.0009s0317.1.p
OG0001875	CP13_g19140_DN3_SP1_c.t1	Roisl.0188s0076.1.p
OG0001876	CP5_g1526_DN3_SP7_c.t1	Roisl.0070s0007.1.p
OG0001876	CP5_g1527_DN3_SP1_c.t1	Roisl.0070s0008.1.p
OG0001877	CP5_g1645_DN3_SP0_c.t1	Roisl.0046s0023.1.p
OG0001877	CP39_g21140_DN3_SP0_c.t1	Roisl.0024s0088.1.p
OG0001878	CP8_g54642_DN3_SP7_c.t1	Roisl.0191s0471.1.p
OG0001878	CP1_g36455_DN3_SP8_c.t1	Roisl.0210s0076.1.p
OG0001879	CP1_g37367_DN3_SP6_c.t1	Roisl.0021s0137.1.p
OG0001879	CP19_g18046_DN3_SP8_c.t1	Roisl.0022s0251.1.p
OG0001880	CP1_g37372_DN3_SP8_c.t1	Roisl.0021s0144.1.p
OG0001880	CP2_g49229_DN3_SP8_c.t1	Roisl.0214s0563.1.p
OG0001881	CP1_g37509_DN3_SP8_c.t1	Roisl.0021s0290.1.p
OG0001881	CP2_g49041_DN3_SP8_c.t1	Roisl.0209s0564.1.p
OG0001882	CP1_g37512_DN3_SP0_c.t1	Roisl.0021s0295.1.p
OG0001882	CP2_g49035_DN2_SP0_c.t1	Roisl.0209s0556.1.p
OG0001883	CP2_g48964_DN3_SP3_c.t1	Roisl.0010s0125.1.p
OG0001883	CP1_g37571_DN3_SP3_c.t1	Roisl.0021s0362.1.p
OG0001884	CP13_g19447_DN3_SP8_c.t1	Roisl.0011s0323.1.p
OG0001884	CP1_g37624_DN3_SP8_c.t1	Roisl.0021s0420.1.p
OG0001885	CP13_g19571_DN3_SP8_c.t1	Roisl.0011s0146.1.p
OG0001885	CP1_g37758_DN3_SP8_c.t1	Roisl.0007s0694.1.p
OG0001886	CP7_g46200_DN3_SP1_c.t1	Roisl.0007s0603.1.p
OG0001886	CP1_g38223_DN3_SP8_c.t1	Roisl.0013s0062.1.p
OG0001887	CP7_g46156_DN3_SP0_c.t1	Roisl.0007s0555.1.p
OG0001888	CP9_g28869_DN3_SP7_c.t1	Roisl.0019s0266.1.p
OG0001888	CP7_g46016_DN3_SP8_c.t1	Roisl.0007s0399.1.p
OG0001889	CP7_g46001_DN1_SP0_c.t1	Roisl.0007s0383.1.p
OG0001890	CP13_g19575_DN3_SP7_c.t1	Roisl.0011s0140.1.p
OG0001891	CP9_g28616_DN1_SP0_c.t1	Roisl.0019s0524.1.p
OG0001891	CP7_g45372_DN3_SP0_c.t1	Roisl.0191s0268.1.p
OG0001892	CP5_g213_DN3_SP5_c.t1	Roisl.0001s0431.1.p
OG0001892	CP5_g214_DN3_SP5_c.t1	Roisl.0001s0430.1.p
OG0001893	CP16_g55452_DN3_SP0_c.t1	Roisl.0023s0106.1.p
OG0001893	CP5_g763_DN3_SP1_c.t1	Roisl.0003s0262.1.p
OG0001894	CP17_g5100_DN2_SP0_c.t1	Roisl.0047s0035.1.p
OG0001894	CP5_g628_DN3_SP0_c.t1	Roisl.0008s0335.1.p
OG0001895	CP5_g862_DN3_SP0_c.t1	Roisl.0018s0227.1.p
OG0001895	CP16_g55119_DN3_SP0_c.t1	Roisl.0051s0017.1.p
OG0001896	CP16_g55117_DN3_SP1_c.t1	Roisl.0051s0015.1.p
OG0001896	CP5_g865_DN3_SP3_c.t1	Roisl.0003s0147.1.p
OG0001897	CP5_g906_DN3_SP8_c.t1	Roisl.0003s0104.1.p
OG0001897	CP16_g55077_DN3_SP8_c.t1, CP16_g54963_DN3_SP0_c.t1	Roisl.0021s0619.1.p
OG0001898	CP6_g9007_DN1_SP0_c.t1, CP12_g30926_DN1_SP0_c.t1	Roisl.0019s0057.1.p
OG0001899	CP29_g22112_DN2_SP0_c.t1, CP3_g15020_DN1_SP0_c.t1, CP17_g5060_DN2_SP0_c.t1, CP5_g2152_DN3_SP0_c.t1, CP1_g41161_DN1_SP0_c.t1, CP15_g35249_DN1_SP0_c.t1	Roisl.0063s0012.1.p
OG0001899	CP9_g27701_DN1_SP0_c.t1	Roisl.0020s0187.1.p, Roisl.0179s0092.1.p, Roisl.0214s0892.1.p, Roisl.0214s0893.1.p, Roisl.0014s0057.1.p
OG0001900	CP5_g1479_DN2_SP8_c.t1	Roisl.0009s0287.1.p
OG0001900	CP13_g19160_DN2_SP8_c.t1	Roisl.0188s0105.1.p
OG0001902	CP8_g54645_DN2_SP0_c.t1	Roisl.0080s0217.1.p, Roisl.0214s0123.1.p, Roisl.0210s1986.1.p, Roisl.0015s0052.1.p
OG0001910	CP5_g942_DN3_SP8_c.t1	Roisl.0003s0067.1.p
OG0001910	CP16_g55045_DN3_SP8_c.t1	Roisl.0021s0583.1.p
OG0001911	CP16_g55058_DN3_SP8_c.t1, CP16_g55059_DN3_SP0_c.t1	Roisl.0021s0594.1.p
OG0001911	CP5_g927_DN3_SP7_c.t1	Roisl.0003s0081.1.p
OG0001912	CP11_g32332_DN3_SP0_c.t1	Roisl.0210s1338.1.p
OG0001912	CP10_g42264_DN3_SP8_c.t1	Roisl.0016s0204.1.p
OG0001913	CP6_g9451_DN2_SP0_c.t1	Roisl.0016s0381.1.p
OG0001913	CP10_g42751_DN2_SP0_c.t1	Roisl.0079s0136.1.p
OG0001914	CP10_g42231_DN3_SP0_c.t1	Roisl.0016s0162.1.p
OG0001914	CP11_g32389_DN3_SP0_c.t1	Roisl.0210s1279.1.p
OG0001915	CP11_g32620_DN3_SP8_c.t1	Roisl.0210s1044.1.p
OG0001915	CP10_g42821_DN3_SP7_c.t1	Roisl.0079s0214.1.p
OG0001916	CP8_g54391_DN3_SP1_c.t1	Roisl.0210s1660.1.p
OG0001917	CP11_g32722_DN3_SP3_c.t1	Roisl.0210s0935.1.p
OG0001917	CP8_g54382_DN3_SP6_c.t1	Roisl.0210s1670.1.p
OG0001918	CP2_g48411_DN3_SP7_c.t1	Roisl.0046s0174.1.p
OG0001918	CP11_g32853_DN3_SP6_c.t1	Roisl.0210s0789.1.p
OG0001919	CP2_g48403_DN3_SP0_c.t1	Roisl.0046s0165.1.p
OG0001919	CP11_g32864_DN3_SP0_c.t1	Roisl.0210s0779.1.p
OG0001920	CP2_g47777_DN3_SP0_c.t1	Roisl.0024s0411.1.p
OG0001920	CP11_g32925_DN3_SP0_c.t1	Roisl.0210s0719.1.p, Roisl.0210s0718.1.p
OG0001921	CP11_g32928_DN3_SP1_c.t1	Roisl.0091s0533.1.p, Roisl.0080s0814.1.p, Roisl.0052s0020.1.p
OG0001922	CP16_g54907_DN3_SP8_c.t1	Roisl.0046s0556.1.p
OG0001922	CP11_g32963_DN3_SP8_c.t1	Roisl.0210s0678.1.p
OG0001923	CP11_g32983_DN2_SP0_c.t1	Roisl.0210s0650.1.p
OG0001923	CP2_g47877_DN3_SP0_c.t1	Roisl.0024s0306.1.p
OG0001924	CP11_g33105_DN3_SP0_c.t1	Roisl.0210s0528.1.p
OG0001924	CP2_g48182_DN3_SP6_c.t1	Roisl.0080s0136.1.p
OG0001925	CP1_g36962_DN3_SP0_c.t1	Roisl.0091s0943.1.p
OG0001925	CP4_g25698_DN3_SP4_c.t1	Roisl.0082s0773.1.p
OG0001926	CP4_g25694_DN3_SP8_c.t1	Roisl.0033s0085.1.p
OG0001926	CP1_g36960_DN3_SP7_c.t1	Roisl.0091s0941.1.p
OG0001927	CP4_g25638_DN3_SP7_c.t1	Roisl.0033s0125.1.p
OG0001928	CP17_g5028_DN3_SP0_c.t1, CP15_g36145_DN3_SP0_c.t1	Roisl.0047s0009.1.p, Roisl.0047s0007.1.p
OG0001929	CP1_g36603_DN3_SP6_c.t1	Roisl.0091s0714.1.p
OG0001929	CP4_g25439_DN3_SP8_c.t1	Roisl.0028s0705.1.p
OG0001930	CP13_g20194_DN2_SP0_c.t1	Roisl.0012s0232.1.p
OG0001930	CP1_g36691_DN3_SP8_c.t1	Roisl.0210s0320.1.p
OG0001931	CP19_g18096_DN3_SP5_c.t1	Roisl.0022s0197.1.p
OG0001931	CP8_g53150_DN3_SP8_c.t1	Roisl.0189s0162.1.p, Roisl.0189s0161.1.p
OG0001932	CP4_g24072_DN2_SP0_c.t1	Roisl.0035s0092.1.p
OG0001933	CP7_g45086_DN3_SP0_c.t1	Roisl.0213s0065.1.p
OG0001934	CP7_g44793_DN3_SP8_c.t1	Roisl.0213s0381.1.p
OG0001934	CP4_g25240_DN3_SP8_c.t1	Roisl.0028s0917.1.p
OG0001935	CP4_g25207_DN3_SP7_c.t1	Roisl.0028s0955.1.p
OG0001935	CP7_g44644_DN3_SP8_c.t1	Roisl.0209s0175.1.p
OG0001936	CP4_g25212_DN3_SP4_c.t1	Roisl.0028s0951.1.p
OG0001936	CP7_g44638_DN3_SP0_c.t1	Roisl.0209s0169.1.p
OG0001937	CP3_g14369_DN2_SP0_c.t1, CP6_g7530_DN2_SP0_c.t1	Roisl.0046s0949.1.p
OG0001937	CP2_g47654_DN2_SP0_c.t1	Roisl.0024s0541.1.p
OG0001938	CP10_g43472_DN3_SP8_c.t1	Roisl.0074s0460.1.p
OG0001938	CP2_g48225_DN3_SP5_c.t1	Roisl.0080s0183.1.p
OG0001939	CP2_g48296_DN3_SP0_c.t1	Roisl.0210s2035.1.p
OG0001939	CP3_g14491_DN3_SP8_c.t1	Roisl.0046s0809.1.p
OG0001940	CP16_g55458_DN3_SP2_c.t1	Roisl.0023s0107.1.p
OG0001940	CP2_g48453_DN3_SP4_c.t1	Roisl.0046s0227.1.p
OG0001941	CP8_g54293_DN3_SP6_c.t1	Roisl.0080s0380.1.p
OG0001942	CP3_g14959_DN3_SP1_c.t1	Roisl.0027s0090.1.p
OG0001942	CP8_g54112_DN3_SP1_c.t1	Roisl.0210s1952.1.p
OG0001943	CP8_g54076_DN3_SP7_c.t1	Roisl.0080s0218.1.p
OG0001943	CP3_g14893_DN3_SP2_c.t1	Roisl.0019s0078.1.p
OG0001944	CP3_g14780_DN3_SP7_c.t1, CP8_g53981_DN2_SP1_c.t1	Roisl.0209s0342.1.p
OG0001945	CP2_g49242_DN3_SP1_c.t1	Roisl.0214s0580.1.p
OG0001945	CP2_g49222_DN3_SP1_c.t1	Roisl.0214s0550.1.p
OG0001946	CP8_g53844_DN3_SP6_c.t1	Roisl.0080s0451.1.p
OG0001946	CP11_g33188_DN3_SP3_c.t1, CP1_g39560_DN3_SP0_c.t1	Roisl.0210s0447.1.p
OG0001947	CP19_g18061_DN3_SP6_c.t1	Roisl.0022s0233.1.p
OG0001948	CP8_g53743_DN3_SP0_c.t1	Roisl.0080s0553.1.p
OG0001948	CP19_g18058_DN3_SP0_c.t1	Roisl.0022s0236.1.p
OG0001949	CP10_g43861_DN3_SP8_c.t1	Roisl.0066s0250.1.p
OG0001950	CP5_g1588_DN3_SP8_c.t1	Roisl.0213s0840.1.p
OG0001951	CP19_g17992_DN3_SP8_c.t1	Roisl.0022s0307.1.p
OG0001951	CP8_g53598_DN3_SP8_c.t1	Roisl.0080s0714.1.p
OG0001952	CP8_g53462_DN3_SP2_c.t1	Roisl.0080s0847.1.p
OG0001952	CP5_g1311_DN3_SP8_c.t1	Roisl.0022s0367.1.p
OG0001953	CP8_g53435_DN3_SP8_c.t1	Roisl.0080s0873.1.p
OG0001953	CP5_g1291_DN3_SP8_c.t1	Roisl.0022s0383.1.p
OG0001955	CP11_g33247_DN3_SP1_c.t1	Roisl.0042s0006.1.p
OG0001955	CP10_g43148_DN3_SP0_c.t1	Roisl.0074s0818.1.p
OG0001956	CP11_g33411_DN3_SP8_c.t1	Roisl.0030s0209.1.p
OG0001957	CP10_g42956_DN3_SP8_c.t1	Roisl.0074s1035.1.p
OG0001957	CP11_g33540_DN3_SP5_c.t1	Roisl.0030s0073.1.p
OG0001958	CP11_g33563_DN3_SP8_c.t1	Roisl.0030s0048.1.p
OG0001958	CP10_g42944_DN3_SP8_c.t1	Roisl.0079s0342.1.p
OG0001959	CP11_g33705_DN3_SP8_c.t1	Roisl.0034s0071.1.p
OG0001959	CP10_g42864_DN3_SP2_c.t1	Roisl.0003s0343.1.p
OG0001960	CP13_g19267_DN3_SP8_c.t1	Roisl.0028s0378.1.p, Roisl.0011s0533.1.p
OG0001960	CP5_g1348_DN3_SP8_c.t1	Roisl.0009s0166.1.p
OG0001961	CP7_g46159_DN3_SP0_c.t1	Roisl.0007s0559.1.p
OG0001961	CP9_g29662_DN3_SP0_c.t1	Roisl.0115s0091.1.p
OG0001962	CP9_g29626_DN3_SP8_c.t1	Roisl.0115s0132.1.p
OG0001962	CP7_g46138_DN3_SP8_c.t1	Roisl.0007s0536.1.p
OG0001963	CP7_g46134_DN3_SP6_c.t1	Roisl.0007s0531.1.p
OG0001963	CP9_g29617_DN3_SP7_c.t1	Roisl.0115s0141.1.p
OG0001964	CP7_g46112_DN3_SP6_c.t1	Roisl.0007s0504.1.p
OG0001965	CP7_g45673_DN3_SP8_c.t1	Roisl.0007s0037.1.p
OG0001965	CP9_g29298_DN3_SP8_c.t1	Roisl.0004s0235.1.p
OG0001966	CP5_g449_DN2_SP0_c.t1, CP5_g441_DN3_SP0_c.t1	Roisl.0001s0179.1.p
OG0001967	CP7_g45707_DN3_SP8_c.t1	Roisl.0007s0077.1.p
OG0001967	CP9_g29273_DN3_SP5_c.t1	Roisl.0004s0262.1.p
OG0001968	CP9_g29233_DN3_SP1_c.t1	Roisl.0004s0304.1.p
OG0001969	CP10_g43824_DN3_SP5_c.t1	Roisl.0066s0216.1.p
OG0001969	CP5_g479_DN3_SP6_c.t1	Roisl.0001s0142.1.p
OG0001970	CP10_g43791_DN3_SP8_c.t1	Roisl.0066s0189.1.p
OG0001970	CP5_g461_DN3_SP6_c.t1	Roisl.0001s0168.1.p
OG0001971	CP10_g43765_DN3_SP8_c.t1	Roisl.0066s0162.1.p
OG0001971	CP5_g428_DN3_SP0_c.t1	Roisl.0001s0204.1.p
OG0001972	CP10_g43744_DN3_SP3_c.t1	Roisl.0066s0146.1.p
OG0001972	CP5_g418_DN3_SP8_c.t1	Roisl.0001s0217.1.p
OG0001973	CP10_g43367_DN3_SP6_c.t1	Roisl.0074s0576.1.p
OG0001973	CP7_g46337_DN3_SP1_c.t1	Roisl.0006s0496.1.p
OG0001974	CP10_g43463_DN3_SP8_c.t1	Roisl.0074s0471.1.p
OG0001974	CP7_g46250_DN3_SP8_c.t1	Roisl.0006s0401.1.p
OG0001975	CP3_g14062_DN3_SP8_c.t1	Roisl.0046s1275.1.p
OG0001975	CP4_g25083_DN3_SP7_c.t1	Roisl.0054s0033.1.p
OG0001977	CP71_g11196_DN2_SP6_c.t1	Roisl.0075s0070.1.p
OG0001977	CP12_g30785_DN2_SP4_c.t1	Roisl.0053s0272.1.p
OG0001978	CP6_g7495_DN1_SP0_c.t1, CP6_g7496_DN2_SP0_c.t1	Roisl.0075s0200.1.p
OG0001978	CP10_g42235_DN3_SP0_c.t1	Roisl.0016s0166.1.p
OG0001979	CP6_g7488_DN3_SP3_c.t1	Roisl.0075s0207.1.p
OG0001979	CP12_g30662_DN3_SP8_c.t1	Roisl.0053s0399.1.p
OG0001980	CP6_g7464_DN3_SP8_c.t1	Roisl.0002s0268.1.p
OG0001980	CP12_g30649_DN3_SP8_c.t1	Roisl.0115s0642.1.p
OG0001981	CP1_g39203_DN3_SP0_c.t1	Roisl.0074s0282.1.p
OG0001981	CP6_g7281_DN3_SP8_c.t1	Roisl.0002s0090.1.p
OG0001982	CP3_g13741_DN3_SP8_c.t1	Roisl.0046s1611.1.p
OG0001982	CP4_g24690_DN3_SP6_c.t1	Roisl.0028s0607.1.p
OG0001983	CP3_g14786_DN3_SP0_c.t1	Roisl.0209s0339.1.p
OG0001984	CP13_g19344_DN3_SP5_c.t1	Roisl.0011s0444.1.p
OG0001984	CP1_g37590_DN3_SP7_c.t1	Roisl.0021s0381.1.p
OG0001985	CP13_g19963_DN3_SP8_c.t1	Roisl.0005s0292.1.p
OG0001985	CP6_g6902_DN3_SP8_c.t1	Roisl.0091s0404.1.p
OG0001986	CP1_g38134_DN3_SP7_c.t1	Roisl.0006s0035.1.p
OG0001986	CP12_g30268_DN3_SP1_c.t1	Roisl.0074s0006.1.p
OG0001987	CP1_g38026_DN3_SP1_c.t1	Roisl.0006s0154.1.p
OG0001987	CP12_g30414_DN3_SP8_c.t1	Roisl.0115s0385.1.p
OG0001988	CP1_g37968_DN3_SP5_c.t1	Roisl.0006s0215.1.p
OG0001988	CP12_g30466_DN3_SP4_c.t1	Roisl.0115s0455.1.p
OG0001989	CP12_g29964_DN3_SP7_c.t1	Roisl.0074s0334.1.p
OG0001991	CP1_g38599_DN1_SP0_c.t1	Roisl.0214s0178.1.p
OG0001992	CP6_g7038_DN3_SP0_c.t1	Roisl.0091s0541.1.p
OG0001992	CP13_g19827_DN3_SP0_c.t1	Roisl.0005s0115.1.p
OG0001993	CP8_g54529_DN3_SP2_c.t1	Roisl.0191s0638.1.p
OG0001994	CP20_g4398_DN3_SP0_c.t1	Roisl.0213s0529.1.p
OG0001994	CP19_g18383_DN3_SP6_c.t1	Roisl.0091s0028.1.p
OG0001995	CP19_g18447_DN3_SP0_c.t1	Roisl.0091s0091.1.p
OG0001996	CP19_g18489_DN3_SP3_c.t1	Roisl.0091s0131.1.p
OG0001997	CP11_g31910_DN3_SP8_c.t1	Roisl.0082s0276.1.p
OG0001997	CP6_g6730_DN3_SP3_c.t1	Roisl.0091s0203.1.p
OG0001998	CP3_g13103_DN2_SP0_c.t1	Roisl.0018s0437.1.p
OG0001998	CP4_g23928_DN3_SP0_c.t1	Roisl.0067s0022.1.p
OG0001999	CP4_g24186_DN3_SP8_c.t1	Roisl.0028s0036.1.p
