Orthogroup	Conringia_planisiliqua	Brassica_rapa
OG0003273	CP8_g54106_DN3_SP8_c.t1	XP_009131901.1
OG0003274	CP5_g359_DN3_SP0_c.t1	XP_033133025.1
OG0003274	CP10_g43679_DN3_SP0_c.t1	XP_033132047.1
OG0003275	CP10_g43266_DN3_SP8_c.t1	XP_009135282.2, XP_009135285.2, XP_009124708.2
OG0003276	CP8_g53846_DN3_SP8_c.t1	XP_033141386.1, XP_009132279.1, XP_009120355.2
OG0003277	CP19_g17984_DN3_SP6_c.t1	XP_009142455.1, XP_009137600.1
OG0003278	CP3_g14409_DN3_SP4_c.t1	XP_009149712.1, XP_009152207.1
OG0003279	CP3_g14410_DN2_SP4_c.t1	XP_009150125.1
OG0003281	CP11_g33665_DN3_SP5_c.t1	XP_009122810.1, XP_009125438.1
OG0003282	CP12_g30655_DN3_SP6_c.t1	XP_033144221.1, XP_009127815.1, XP_009104947.1
OG0003283	CP1_g41367_DN3_SP4_c.t1	XP_009127607.1
OG0003286	CP6_g6844_DN3_SP7_c.t1	XP_009133184.1
OG0003286	CP6_g6845_DN3_SP2_c.t1	XP_009133175.1, XP_009133165.2, XP_009137017.2
OG0003287	CP9_g29460_DN3_SP2_c.t1	XP_009104585.1, XP_009106521.2
OG0003289	CP12_g30614_DN3_SP5_c.t1	XP_009148046.1
OG0003289	CP6_g7432_DN3_SP8_c.t1	XP_009107806.1
OG0003291	CP2_g48922_DN2_SP0_c.t1	XP_033144230.1
OG0003292	CP7_g45325_DN3_SP1_c.t1	XP_009110048.1, XP_033135140.1
OG0003292	CP9_g28565_DN3_SP0_c.t1	XP_009105638.3
OG0003293	CP19_g17883_DN1_SP0_c.t1	XP_033132426.1
OG0003294	CP1_g37841_DN2_SP0_c.t1	XP_009147655.1
OG0003294	CP12_g29891_DN1_SP0_c.t1	XP_009146231.1
OG0003295	CP6_g6976_DN2_SP0_c.t1	XP_009136926.1, XP_009131621.1
OG0003297	CP2_g47984_DN2_SP0_c.t1	XP_009150384.1
OG0003298	CP6_g6853_DN3_SP1_c.t1	XP_009132976.1
OG0003299	CP8_g53030_DN3_SP0_c.t1	XP_009132612.1
OG0003300	CP9_g28334_DN3_SP6_c.t1	XP_009105314.1
OG0003301	CP3_g14229_DN3_SP8_c.t1	XP_009115817.1
OG0003302	CP3_g13240_DN3_SP0_c.t1	XP_009104317.1
OG0003303	CP3_g13941_DN3_SP8_c.t1	XP_009139259.1
OG0003305	CP6_g9346_DN3_SP5_c.t1	XP_009107670.2
OG0003305	CP12_g30927_DN3_SP2_c.t1	XP_009112683.1
OG0003306	CP12_g31003_DN3_SP5_c.t1	XP_009102403.1
OG0003306	CP2_g48799_DN3_SP6_c.t1	XP_009151631.1
OG0003307	CP9_g28351_DN3_SP8_c.t1	XP_018508212.1
OG0003310	CP1_g39029_DN3_SP0_c.t1	XP_009123064.1
OG0003311	CP4_g23996_DN3_SP8_c.t1	XP_009118824.1, XP_009142549.1
OG0003312	CP4_g24301_DN3_SP8_c.t1	XP_009106272.1, XP_009143011.1
OG0003313	CP5_g544_DN3_SP0_c.t1	XP_009110778.1
OG0003314	CP2_g48634_DN3_SP3_c.t1	XP_009151231.1
OG0003315	CP2_g48526_DN3_SP1_c.t1	XP_009124948.1
OG0003316	CP10_g42619_DN3_SP4_c.t1	XP_009129650.1
OG0003316	CP8_g54441_DN3_SP8_c.t1	XP_009120929.1
OG0003317	CP2_g48759_DN2_SP3_c.t1	XP_009151666.1
OG0003318	CP10_g43502_DN3_SP0_c.t1	XP_009146263.1, XP_009115623.1
OG0003319	CP12_g30027_DN3_SP8_c.t1	XP_009146056.1, XP_009114175.2
OG0003321	CP5_g1165_DN2_SP0_c.t1	XP_009109097.1, XP_009144418.1
OG0003322	CP5_g1605_DN1_SP0_c.t1	XP_033145838.1
OG0003322	CP2_g48846_DN2_SP0_c.t1	XP_033129751.1
OG0003324	CP5_g986_DN3_SP7_c.t1	XP_009128021.2
OG0003325	CP24_g47450_DN3_SP0_c.t1, CP17_g5841_DN3_SP0_c.t1, CP17_g5838_DN2_SP0_c.t1, CP2_g48690_DN3_SP8_c.t1	XP_009111881.2
OG0003326	CP4_g24896_DN3_SP2_c.t1	XP_018514248.2, XP_009133242.1
OG0003326	CP3_g14193_DN3_SP8_c.t1	XP_009115879.2, XP_009136634.2
OG0003327	CP8_g54600_DN3_SP0_c.t1	XP_009111444.1
OG0003327	CP1_g36466_DN3_SP2_c.t1	XP_033137937.1
OG0003328	CP8_g54571_DN3_SP8_c.t1	XP_033143211.1
OG0003329	CP5_g933_DN3_SP0_c.t1	XP_009108977.1
OG0003329	CP5_g934_DN3_SP0_c.t1	XP_009127692.1
OG0003330	CP1_g37015_DN3_SP0_c.t1	XP_009118447.2, XP_009118969.1
OG0003331	CP35_g52129_DN3_SP6_c.t1	XP_009113429.3
OG0003331	CP1_g37156_DN3_SP8_c.t1	XP_009148126.2, XP_033132317.1
OG0003333	CP9_g29640_DN3_SP2_c.t1	XP_033132712.1
OG0003333	CP7_g46147_DN3_SP8_c.t1	XP_009117798.2, XP_009149017.1
OG0003334	CP7_g45824_DN3_SP1_c.t1	XP_009149412.1, XP_009149407.1
OG0003334	CP7_g45823_DN2_SP0_c.t1	XP_009110282.2, XP_009110283.1
OG0003335	CP7_g45723_DN3_SP0_c.t1	XP_009149525.1
OG0003336	CP7_g45497_DN3_SP7_c.t1	XP_009103215.1
OG0003336	CP9_g28764_DN3_SP6_c.t1	XP_009105806.2
OG0003337	CP9_g28694_DN3_SP7_c.t1	XP_009115557.1
OG0003337	CP7_g45464_DN3_SP8_c.t1	XP_009110113.1
OG0003338	CP9_g28613_DN3_SP3_c.t1	XP_033130289.1, XP_009104968.1
OG0003339	CP13_g19962_DN3_SP0_c.t1	XP_033141164.1, XP_033141223.1
OG0003339	CP2_g47588_DN3_SP0_c.t1	XP_033134119.1
OG0003340	CP13_g19748_DN2_SP7_c.t1	XP_009128970.1
OG0003342	CP9_g28087_DN3_SP5_c.t1	XP_009127454.1
OG0003342	CP5_g1832_DN3_SP5_c.t1	XP_009139711.1
OG0003343	CP5_g1052_DN3_SP0_c.t1	XP_009128695.1, XP_009109038.1
OG0003345	CP19_g17888_DN3_SP8_c.t1	XP_009140088.1, XP_033131094.1
OG0003347	CP5_g450_DN3_SP0_c.t1	XP_018509315.1, XP_018513560.1
OG0003349	CP5_g593_DN3_SP7_c.t1	XP_009138268.1
OG0003353	CP5_g1258_DN3_SP2_c.t1, CP8_g53349_DN3_SP0_c.t1	XP_009109131.1, XP_009137666.1, XP_009143539.1
OG0003356	CP7_g44607_DN3_SP0_c.t1, CP7_g44592_DN2_SP0_c.t1, CP7_g44606_DN2_SP0_c.t1, CP7_g44597_DN3_SP0_c.t1	XP_033147460.1, XP_033147459.1
OG0003360	CP17_g5000_DN3_SP0_c.t1	XP_009136268.1
OG0003362	CP3_g14790_DN3_SP0_c.t1	XP_033138801.1
OG0003364	CP13_g19307_DN1_SP0_c.t1	XP_009129455.1, XP_033129177.1, XP_009140054.1, XP_033130938.1
OG0003369	CP12_g30881_DN3_SP0_c.t1	XP_018508678.1
OG0003369	CP12_g30880_DN3_SP0_c.t1	XP_009102435.1
OG0003370	CP24_g47072_DN1_SP0_c.t1	XP_033143782.1, XP_033145497.1, XP_033138026.1, XP_033132896.1, XP_033144295.1, XP_033141037.1, XP_033147135.1, XP_033138906.1, XP_033140975.1, XP_033133764.1, XP_033129970.1, XP_033140756.1, XP_033132447.1, XP_033147930.1, XP_033138053.1, XP_033139435.1, XP_033136005.1
OG0003372	CP3_g14588_DN3_SP8_c.t1	XP_009150779.1, NP_001288820.1
OG0003373	CP7_g45095_DN3_SP8_c.t1	XP_033137133.1
OG0003373	CP7_g45089_DN3_SP4_c.t1	XP_009113714.1
OG0003374	CP7_g44616_DN3_SP7_c.t1	XP_009151453.1, XP_009114857.1
OG0003375	CP12_g30330_DN3_SP5_c.t1	XP_009145736.1, XP_009111476.1
OG0003376	CP17_g6020_DN3_SP8_c.t1	XP_009136197.1, XP_009102355.1
OG0003377	CP11_g32337_DN3_SP0_c.t1	XP_033139556.1, XP_033139557.1, XP_033143170.1
OG0003378	CP11_g32349_DN3_SP8_c.t1	XP_009121503.1
OG0003378	CP10_g42255_DN3_SP6_c.t1	XP_009147347.1
OG0003379	CP19_g17897_DN3_SP0_c.t1	XP_033145432.1
OG0003381	CP11_g32712_DN2_SP8_c.t1	XP_009121869.1
OG0003383	CP11_g32852_DN2_SP6_c.t1	XP_009131179.1, XP_009151022.1
OG0003385	CP11_g33073_DN3_SP8_c.t1	XP_009125720.1, XP_009131042.1, XP_009122429.1
OG0003386	CP11_g33119_DN3_SP0_c.t1	XP_033138438.1, XP_033138440.1
OG0003386	CP11_g33121_DN3_SP4_c.t1	XP_009131008.2, XP_009125700.2
OG0003387	CP19_g18155_DN3_SP3_c.t1	XP_009138660.2
OG0003388	CP19_g18160_DN3_SP2_c.t1	XP_009138611.1
OG0003389	CP1_g37493_DN3_SP2_c.t1	XP_009118163.1, XP_009148635.1
OG0003390	CP4_g25735_DN3_SP8_c.t1	XP_009144319.1, XP_009141050.1
OG0003392	CP13_g20196_DN3_SP1_c.t1	XP_009123931.2, XP_009101736.1
OG0003393	CP4_g25257_DN3_SP5_c.t1	XP_033147214.1
OG0003393	CP7_g44834_DN3_SP8_c.t1	XP_009115120.1
OG0003394	CP7_g44833_DN3_SP8_c.t1	XP_009115118.1
OG0003394	CP4_g25258_DN3_SP5_c.t1	XP_009133006.1, XP_009141406.1
OG0003395	CP3_g14398_DN3_SP0_c.t1	XP_009115659.1
OG0003396	CP2_g47835_DN3_SP5_c.t1	XP_009112146.1
OG0003396	CP11_g32954_DN3_SP2_c.t1	XP_009131122.1
OG0003397	CP2_g47866_DN3_SP3_c.t1	XP_018515249.1
OG0003398	CP2_g47991_DN3_SP4_c.t1	XP_009130244.1
OG0003399	CP2_g48013_DN3_SP1_c.t1	XP_009130242.1, XP_033135739.1
OG0003400	CP2_g48020_DN3_SP8_c.t1	XP_009130238.1
OG0003404	CP8_g53866_DN3_SP7_c.t1	XP_009120382.1, XP_009132034.1
OG0003405	CP8_g53661_DN3_SP2_c.t1	XP_009132187.1, XP_009120180.1
OG0003406	CP2_g48831_DN2_SP0_c.t1	XP_009151586.2
OG0003408	CP11_g33400_DN3_SP0_c.t1	XP_018513165.2, XP_009125582.1, XP_033138162.1
OG0003408	CP11_g33399_DN3_SP0_c.t1	XP_009122548.1
OG0003410	CP10_g42897_DN3_SP2_c.t1	XP_009146936.1
OG0003410	CP11_g33662_DN3_SP5_c.t1	XP_009130684.1
OG0003411	CP10_g42848_DN3_SP2_c.t1	XP_009123801.1
OG0003412	CP10_g42845_DN3_SP8_c.t1	XP_009135087.1, XP_009146976.2
OG0003413	CP5_g1808_DN3_SP0_c.t1	XP_009140150.1
OG0003414	CP9_g29529_DN3_SP8_c.t1	XP_009128320.1, XP_009106607.2
OG0003415	CP5_g98_DN3_SP0_c.t1	XP_009101896.1, XP_033132994.1
OG0003416	CP9_g29296_DN3_SP3_c.t1	XP_009104670.1, XP_009128182.1, XP_009106321.1
OG0003417	CP7_g46415_DN3_SP0_c.t1	XP_009144738.1, XP_009106839.1, XP_009147491.1
OG0003418	CP10_g43417_DN3_SP8_c.t1	XP_009146371.1, XP_009116933.1
OG0003421	CP12_g30745_DN3_SP4_c.t1	XP_009106438.1, XP_009102595.1
OG0003422	CP16_g54978_DN3_SP5_c.t1	XP_018509956.2
OG0003422	CP5_g283_DN3_SP8_c.t1	XP_009137459.2
OG0003424	CP13_g19190_DN3_SP3_c.t1	XP_009151868.2
OG0003425	CP7_g45309_DN3_SP2_c.t1	XP_009103106.1, XP_009115400.1
OG0003426	CP13_g19897_DN3_SP3_c.t1	XP_018508030.1, XP_009131645.1
OG0003427	CP1_g37951_DN3_SP5_c.t1	NP_001288913.1, XP_009147731.1
OG0003429	CP12_g29820_DN3_SP2_c.t1	XP_033131220.1
OG0003430	CP5_g1504_DN3_SP2_c.t1	XP_009139914.1
OG0003431	CP6_g6940_DN3_SP0_c.t1	XP_033133282.1, XP_033144868.1
OG0003432	CP6_g6951_DN3_SP3_c.t1	XP_009131990.1
OG0003434	CP8_g53040_DN3_SP0_c.t1	XP_009119432.1, XP_009132607.1
OG0003435	CP8_g53019_DN3_SP8_c.t1	XP_009119423.1, XP_033140987.1
OG0003438	CP6_g6785_DN3_SP0_c.t1	XP_033132463.1, XP_018515291.2
OG0003440	CP19_g18493_DN2_SP0_c.t1	XP_009137218.1, XP_009108535.1, XP_009135379.1, XP_009135393.2
OG0003441	CP7_g44448_DN3_SP0_c.t1	XP_009107922.1, XP_018510041.1
OG0003442	CP4_g24274_DN3_SP8_c.t1	XP_009143043.1
OG0003443	CP3_g13490_DN3_SP0_c.t1	XP_009116543.1, XP_009138946.1, XP_009104166.1
OG0003445	CP3_g13645_DN3_SP2_c.t1	XP_009139050.2, XP_009139053.2
OG0003447	CP12_g31465_DN3_SP1_c.t1	XP_033145019.1, XP_009102362.1
OG0003448	CP12_g30826_DN3_SP2_c.t1	XP_009105912.1, XP_009135890.1, XP_009102511.1
OG0003449	CP10_g43660_DN3_SP4_c.t1	XP_009124616.1
OG0003450	CP16_g54871_DN3_SP8_c.t1	XP_009112530.1, XP_009140352.1
OG0003452	CP20_g4120_DN3_SP8_c.t1	XP_009113552.1
OG0003452	CP7_g44491_DN3_SP3_c.t1	XP_033136102.1
OG0003453	CP4_g23978_DN3_SP0_c.t1	XP_009142537.1
OG0003454	CP4_g23984_DN3_SP3_c.t1	XP_009142542.1
OG0003455	CP4_g24145_DN2_SP0_c.t1	XP_033142437.1, XP_009142364.1, XP_009143170.1
OG0003456	CP4_g24247_DN3_SP0_c.t1	XP_009143067.1
OG0003456	CP4_g24249_DN3_SP0_c.t1	XP_009142282.1
OG0003457	CP4_g24332_DN3_SP8_c.t1	XP_009133649.2
OG0003458	CP4_g24335_DN3_SP2_c.t1	XP_009142236.1
OG0003459	CP8_g54440_DN2_SP0_c.t1	XP_009129651.1
OG0003460	CP10_g42629_DN3_SP0_c.t1	XP_033147242.1
OG0003461	CP10_g42672_DN3_SP0_c.t1, CP8_g52985_DN2_SP0_c.t1	XP_009134914.1
OG0003462	CP10_g42872_DN3_SP0_c.t1	XP_009135075.1, XP_009146954.1
OG0003463	CP10_g43506_DN2_SP0_c.t1	XP_009146262.2
OG0003463	CP10_g43106_DN2_SP0_c.t1	XP_009146722.1
OG0003464	CP10_g43154_DN3_SP2_c.t1	XP_009121027.1, XP_009146670.2, XP_009135195.1
OG0003466	CP10_g43332_DN1_SP0_c.t1	XP_009117519.2, XP_009146459.2
OG0003467	CP12_g29933_DN3_SP0_c.t1, CP12_g29930_DN3_SP0_c.t1	XP_009135460.1, XP_009135462.2, XP_009135463.1
OG0003467	CP12_g29932_DN3_SP2_c.t1	XP_009146500.2
OG0003468	CP19_g18215_DN3_SP6_c.t1	XP_009137991.1, XP_009137982.1
OG0003469	CP11_g31794_DN3_SP2_c.t1	XP_009114608.1
OG0003470	CP2_g50469_DN3_SP3_c.t1	XP_009113414.1
OG0003470	CP1_g37173_DN3_SP7_c.t1	XP_009110866.2, XP_009118334.1, XP_009148151.1
OG0003471	CP1_g37084_DN3_SP0_c.t1, CP1_g37083_DN3_SP0_c.t1	XP_009110909.1
OG0003472	CP1_g37231_DN3_SP0_c.t1	XP_033133455.1, XP_009110824.1, XP_009118317.1, XP_009148248.1
OG0003473	CP1_g37282_DN3_SP0_c.t1	XP_009118288.1, XP_009148314.1
OG0003474	CP1_g37307_DN3_SP5_c.t1	XP_009148340.1
OG0003474	CP2_g49388_DN3_SP8_c.t1	XP_009102924.1
OG0003475	CP1_g37547_DN3_SP1_c.t1	XP_009148589.1
OG0003476	CP1_g37593_DN1_SP0_c.t1, CP13_g19348_DN2_SP0_c.t1	XP_009118046.1
OG0003477	CP1_g37772_DN3_SP7_c.t1	XP_009148845.1, XP_033133745.1
OG0003480	CP13_g19202_DN3_SP3_c.t1	XP_009111594.1
OG0003481	CP6_g7119_DN3_SP5_c.t1, CP13_g19716_DN3_SP8_c.t1	XP_009101386.2, XP_009128999.1
OG0003482	CP12_g30046_DN3_SP8_c.t1	NP_001288833.1
OG0003484	CP5_g26_DN3_SP4_c.t1	XP_009101945.1
OG0003485	CP5_g254_DN3_SP5_c.t1	XP_009134675.1
OG0003485	CP5_g253_DN3_SP8_c.t1	XP_009134560.1
OG0003486	CP5_g431_DN3_SP3_c.t1	XP_009150254.2, XP_033133994.1, XP_009109272.1
OG0003487	CP5_g547_DN3_SP2_c.t1	XP_009110966.1, XP_009108718.1, XP_009138310.1
OG0003488	CP16_g55088_DN3_SP0_c.t1	XP_009117233.1
OG0003490	CP10_g42462_DN3_SP0_c.t1	XP_009110118.1
OG0003491	CP9_g28566_DN3_SP8_c.t1	XP_009127751.1, XP_033130267.1
OG0003493	CP3_g16336_DN2_SP0_c.t1	XP_018515406.1, XP_009135906.1, XP_009105637.2, XP_009101652.1, XP_009107712.1, XP_033143246.1
OG0003494	CP7_g46409_DN3_SP0_c.t1	XP_009144739.1, XP_018509197.1, XP_009147496.1
OG0003502	CP8_g53219_DN3_SP0_c.t1, CP8_g53218_DN3_SP0_c.t1	XP_009124695.1
OG0003504	CP12_g30716_DN3_SP1_c.t1	XP_009107970.1
OG0003505	CP49_g12857_DN3_SP0_c.t1	XP_009102843.1, XP_033130142.1
OG0003505	CP7_g44952_DN3_SP0_c.t1	XP_033137277.1, XP_033137280.1, XP_033137281.1
OG0003512	CP18_g11542_DN3_SP8_c.t1	XP_009133998.1
OG0003514	CP11_g32273_DN3_SP4_c.t1	XP_009126145.2
OG0003514	CP10_g42298_DN3_SP3_c.t1	XP_009121427.1, XP_009131571.1
OG0003515	CP11_g32384_DN3_SP2_c.t1	XP_009121538.1
OG0003515	CP7_g45926_DN1_SP0_c.t1	XP_033128117.1
OG0003516	CP11_g32787_DN3_SP0_c.t1	XP_009131204.2, XP_033137721.1
OG0003516	CP2_g48470_DN3_SP0_c.t1	XP_009111668.1
OG0003517	CP11_g32995_DN3_SP1_c.t1	XP_018511099.1
OG0003517	CP12_g30321_DN3_SP1_c.t1	XP_009145754.1
OG0003518	CP11_g33033_DN3_SP1_c.t1	XP_009117524.2, XP_033137492.1
OG0003519	CP11_g33125_DN3_SP4_c.t1	XP_009122317.1
OG0003519	CP2_g48163_DN3_SP8_c.t1	XP_009136468.1
OG0003520	CP11_g33130_DN3_SP5_c.t1	XP_033137910.1, XP_009125696.2
OG0003521	CP4_g26124_DN3_SP2_c.t1	XP_009140787.1
OG0003523	CP4_g25917_DN3_SP0_c.t1	XP_033145166.1, XP_009103676.1
OG0003525	CP4_g25715_DN3_SP6_c.t1	XP_009144303.1
OG0003526	CP4_g25620_DN3_SP0_c.t1	XP_009141147.1, XP_009144228.1
OG0003527	CP4_g25608_DN3_SP2_c.t1	XP_009141167.1
OG0003527	CP4_g25609_DN3_SP0_c.t1	XP_009144209.2
OG0003528	CP4_g25590_DN3_SP6_c.t1	XP_009132804.1, XP_033147610.1
OG0003529	CP4_g25503_DN3_SP7_c.t1	XP_009143961.1, XP_009132840.1
OG0003529	CP1_g36822_DN3_SP4_c.t1	XP_009118595.1
OG0003530	CP13_g20247_DN3_SP7_c.t1	XP_009101768.1, XP_009123900.1
OG0003531	CP7_g44921_DN3_SP0_c.t1	XP_009102807.1, XP_033130718.1, XP_033131852.1
OG0003532	CP7_g44815_DN3_SP0_c.t1	XP_009107764.2
OG0003532	CP3_g14446_DN3_SP0_c.t1	XP_009149748.1
OG0003533	CP1_g37661_DN3_SP1_c.t1	XP_033139889.1
OG0003533	CP2_g47637_DN3_SP5_c.t1	XP_009103454.1
OG0003535	CP11_g32883_DN3_SP0_c.t1	XP_009122050.1
OG0003535	CP2_g47751_DN3_SP7_c.t1	XP_009150633.2
OG0003536	CP11_g33179_DN3_SP1_c.t1	XP_009130982.1
OG0003536	CP2_g48084_DN3_SP2_c.t1	XP_009112012.2
OG0003537	CP2_g48120_DN3_SP2_c.t1	XP_033140414.1, XP_009150119.1
OG0003538	CP2_g48476_DN3_SP6_c.t1, CP2_g48475_DN3_SP5_c.t1	XP_009151095.1
OG0003539	CP9_g28474_DN3_SP0_c.t1	XP_033130228.1
OG0003540	CP8_g54105_DN3_SP2_c.t1	XP_033142415.1, XP_033142411.1, XP_033142413.1, XP_033142409.1, XP_009126578.2
OG0003541	CP8_g54072_DN1_SP0_c.t1	XP_009120581.1, XP_009120583.1
OG0003542	CP9_g29015_DN3_SP0_c.t1	XP_033131145.1
OG0003543	CP8_g53960_DN3_SP3_c.t1	XP_009120460.1, XP_009126695.1
OG0003544	CP8_g53949_DN3_SP1_c.t1	XP_009126698.1
OG0003545	CP8_g53830_DN3_SP8_c.t1	XP_009120337.1, XP_009132068.2, XP_009126768.1
OG0003546	CP8_g53775_DN3_SP8_c.t1	XP_009126813.1, XP_033137694.1
OG0003547	CP1_g37086_DN3_SP0_c.t1	XP_009148063.1
OG0003548	CP8_g53548_DN3_SP2_c.t1	XP_033144577.1
OG0003549	CP11_g33176_DN3_SP0_c.t1	XP_009130983.1, XP_033141756.1, XP_009122362.1
OG0003550	CP11_g33306_DN3_SP3_c.t1	XP_009122204.1
OG0003551	CP11_g33377_DN3_SP8_c.t1	XP_009130870.1, XP_009125590.1
OG0003552	CP10_g43580_DN3_SP8_c.t1	XP_033136747.1
OG0003554	CP13_g19257_DN3_SP8_c.t1	XP_009151960.1
OG0003555	CP9_g29539_DN3_SP7_c.t1	XP_009106615.1, XP_009104555.1
OG0003556	CP7_g45547_DN3_SP8_c.t1	XP_009145343.2, XP_009110141.1
OG0003557	CP10_g43822_DN3_SP0_c.t1	XP_009121131.1, XP_009112420.2, XP_009150849.1
OG0003558	CP1_g38126_DN3_SP0_c.t1	XP_009147892.1
OG0003559	CP6_g7507_DN3_SP0_c.t1	XP_009139515.1
OG0003560	CP6_g7487_DN3_SP2_c.t1	XP_009107785.1, XP_009144692.1, XP_009148621.1
OG0003562	CP6_g7296_DN3_SP5_c.t1	XP_009107864.1, XP_009146689.1, XP_009136718.1
OG0003563	CP9_g28960_DN3_SP0_c.t1	XP_009105978.1, XP_009104823.1
OG0003564	CP9_g29116_DN3_SP0_c.t1	XP_009149378.1
OG0003564	CP7_g45860_DN3_SP8_c.t1	XP_009117574.1
OG0003565	CP13_g19436_DN3_SP0_c.t1	XP_009152113.2, XP_033136452.1
OG0003566	CP9_g28553_DN3_SP0_c.t1	XP_009105500.1
OG0003566	CP9_g28552_DN3_SP1_c.t1	XP_009105498.2, XP_009105499.1
OG0003567	CP13_g19952_DN3_SP4_c.t1	XP_009114399.1
OG0003568	CP13_g20457_DN3_SP0_c.t1	XP_009114023.1, XP_009101823.1
OG0003569	CP9_g28995_DN3_SP0_c.t1	XP_009106018.1
OG0003569	CP7_g45434_DN3_SP0_c.t1	XP_033134621.1, XP_009103170.1
OG0003571	CP6_g6771_DN1_SP0_c.t1	XP_009134043.2, XP_033138954.1
OG0003573	CP6_g7191_DN3_SP0_c.t1	XP_009145770.1, XP_009136777.1
OG0003574	CP3_g13054_DN3_SP0_c.t1	XP_009116999.1
OG0003575	CP17_g6273_DN3_SP0_c.t1	XP_033148639.1
OG0003579	CP3_g13319_DN3_SP3_c.t1	XP_009138818.1
OG0003580	CP3_g13733_DN3_SP6_c.t1	XP_009127351.3, XP_009116313.2
OG0003582	CP3_g13582_DN3_SP0_c.t1	XP_033130984.1
OG0003582	CP4_g24528_DN3_SP0_c.t1	XP_033145667.1, XP_033143843.1, XP_009142788.1
OG0003583	CP3_g13836_DN3_SP4_c.t1	XP_009103952.1, XP_009116213.1
OG0003584	CP3_g14032_DN3_SP1_c.t1, CP5_g1426_DN3_SP0_c.t1	XP_009103854.1
OG0003585	CP8_g53334_DN3_SP0_c.t1, CP8_g53333_DN3_SP0_c.t1	XP_009132464.1
OG0003586	CP9_g28213_DN3_SP8_c.t1	XP_009105225.1
OG0003587	CP3_g13747_DN2_SP0_c.t1	XP_009116299.2
OG0003588	CP4_g24438_DN2_SP0_c.t1	XP_009133554.1, XP_033130314.1, XP_009142169.1
OG0003589	CP3_g14206_DN3_SP0_c.t1, CP3_g14203_DN3_SP0_c.t1, CP3_g14205_DN3_SP0_c.t1	XP_009115852.1, XP_009115850.1
OG0003590	CP4_g24951_DN3_SP7_c.t1	XP_009133204.1, XP_009143450.1
OG0003591	CP4_g25346_DN2_SP0_c.t1	XP_009141353.1
OG0003592	CP18_g12165_DN3_SP0_c.t1	XP_009140738.1
OG0003594	CP20_g4337_DN2_SP0_c.t1	XP_009134236.1, XP_009141047.1, XP_009108174.1
OG0003595	CP2_g48537_DN3_SP4_c.t1	XP_033139351.1, XP_009129934.1, XP_009111711.2
OG0003596	CP2_g48624_DN3_SP0_c.t1	XP_009151222.1
OG0003597	CP12_g29863_DN3_SP4_c.t1	XP_009112666.1
OG0003597	CP1_g36666_DN3_SP8_c.t1	XP_009119329.1
OG0003598	CP5_g1952_DN3_SP0_c.t1, CP5_g1954_DN3_SP0_c.t1	XP_033128458.1, XP_033128456.1, XP_033134852.1
OG0003599	CP8_g54509_DN3_SP8_c.t1	XP_009120993.1
OG0003599	CP10_g42403_DN2_SP0_c.t1	XP_009131647.1
OG0003601	CP10_g43220_DN3_SP0_c.t1	XP_009146604.1, XP_009135242.1, XP_009120462.1
OG0003602	CP12_g29886_DN3_SP0_c.t1	XP_009146240.1
OG0003603	CP1_g37897_DN3_SP3_c.t1	XP_009107141.1, XP_009147698.1
OG0003604	CP16_g55095_DN3_SP8_c.t1	XP_009140531.2
OG0003605	CP12_g30417_DN3_SP0_c.t1	XP_009135700.1, XP_033129947.1
OG0003606	CP12_g30423_DN3_SP8_c.t1	XP_009110293.1, XP_009145603.1
OG0003607	CP12_g30710_DN3_SP0_c.t1	XP_009107989.1
OG0003607	CP6_g7526_DN3_SP0_c.t1	XP_009109572.1
OG0003609	CP13_g19608_DN3_SP8_c.t1	XP_009114216.2, XP_009129180.2
OG0003610	CP35_g52004_DN3_SP6_c.t1	XP_009143775.1
OG0003611	CP2_g50308_DN3_SP0_c.t1	XP_018513646.2
OG0003612	CP3_g14127_DN3_SP0_c.t1	XP_009136676.1, XP_009139454.1, XP_009115942.1
OG0003613	CP1_g36457_DN3_SP0_c.t1, CP1_g36458_DN3_SP0_c.t1	XP_009118817.1
OG0003614	CP1_g36775_DN3_SP1_c.t1	XP_009119597.1, XP_009111176.1
OG0003615	CP1_g36857_DN3_SP3_c.t1, CP1_g36858_DN3_SP1_c.t1	XP_009111042.1
OG0003616	CP1_g36899_DN3_SP2_c.t1	XP_033135621.1, XP_009118555.2, XP_009119089.2
OG0003617	CP1_g36919_DN3_SP8_c.t1	XP_009119069.1
OG0003617	CP1_g36920_DN3_SP0_c.t1	XP_009119067.1, XP_033137610.1
OG0003618	CP1_g37112_DN3_SP2_c.t1	XP_009148087.2
OG0003618	CP1_g37111_DN3_SP0_c.t1	XP_033134017.1
OG0003619	CP13_g20161_DN3_SP0_c.t1	XP_033128269.1, XP_009113921.1
OG0003620	CP2_g49349_DN3_SP8_c.t1	XP_033133365.1, XP_009138566.2
OG0003621	CP1_g37353_DN3_SP1_c.t1	XP_009144433.1, XP_009118243.1, XP_033129880.1
OG0003623	CP1_g37523_DN3_SP8_c.t1	XP_009118105.1, XP_009148609.2
OG0003624	CP1_g37791_DN3_SP1_c.t1	XP_009148870.1, XP_009117873.1
OG0003625	CP7_g46084_DN3_SP4_c.t1	XP_009117754.1
OG0003627	CP7_g45695_DN3_SP4_c.t1	XP_009149551.1
