Orthogroup	Conringia_planisiliqua	Brassica_oleracea
OG0001422	CP11_g33730_DN3_SP6_c.t1	XP_013610611.1
OG0001422	CP10_g42852_DN2_SP8_c.t1	XP_013627415.1, XP_013587322.1
OG0001423	CP13_g19261_DN3_SP8_c.t1	XP_013618103.1
OG0001424	CP6_g7804_DN3_SP0_c.t1	XP_013639641.1
OG0001424	CP5_g3152_DN1_SP0_c.t1	XP_013617076.1
OG0001425	CP5_g477_DN3_SP8_c.t1	XP_013599613.1
OG0001425	CP10_g43819_DN3_SP8_c.t1	XP_013593027.1, XP_013613262.1, XP_013622340.1
OG0001427	CP7_g46405_DN3_SP8_c.t1	XP_013627932.1
OG0001427	CP10_g43302_DN3_SP8_c.t1	XP_013616773.1, XP_013584880.1, XP_013629396.1
OG0001429	CP5_g1217_DN3_SP0_c.t1	XP_013596057.1
OG0001429	CP8_g53247_DN3_SP0_c.t1	XP_013612731.1, XP_013618616.1
OG0001430	CP19_g18225_DN3_SP1_c.t1	XP_013598545.1, XP_013600601.1, XP_013619068.1
OG0001430	CP27_g41700_DN3_SP8_c.t1	XP_013628997.1, XP_013611912.1
OG0001432	CP7_g45329_DN3_SP0_c.t1	XP_013584421.1, XP_013602372.1
OG0001432	CP9_g28583_DN3_SP0_c.t1	XP_013590423.1, XP_013590024.1
OG0001433	CP6_g6930_DN3_SP8_c.t1	XP_013596366.1
OG0001433	CP13_g19943_DN3_SP8_c.t1	XP_013614234.1, XP_013593381.1
OG0001434	CP6_g6852_DN3_SP8_c.t1	XP_013597567.1
OG0001434	CP13_g20044_DN3_SP8_c.t1	XP_013595299.1, XP_013606679.1
OG0001435	CP12_g30350_DN3_SP6_c.t1	XP_013608289.1, XP_013583677.1
OG0001435	CP1_g38067_DN3_SP8_c.t1	XP_013591576.1, XP_013637913.1
OG0001436	CP1_g37873_DN3_SP2_c.t1	XP_013590252.1, XP_013587985.1
OG0001436	CP12_g29935_DN3_SP2_c.t1	XP_013623058.1, XP_013609917.1
OG0001437	CP13_g19798_DN3_SP0_c.t1	XP_013610089.1, XP_013619310.1, XP_013615400.1, XP_013596565.1
OG0001438	CP6_g7084_DN3_SP7_c.t1	XP_013597710.1
OG0001438	CP13_g19765_DN3_SP8_c.t1	XP_013593657.1
OG0001439	CP20_g4321_DN1_SP0_c.t1	XP_013610742.1
OG0001440	CP5_g482_DN3_SP3_c.t1	XP_013599251.1, XP_013604758.1
OG0001440	CP10_g43837_DN3_SP2_c.t1	XP_013629275.1, XP_013597834.1
OG0001441	CP16_g55502_DN3_SP0_c.t1	XP_013622424.1, XP_013606154.1
OG0001441	CP19_g18454_DN3_SP6_c.t1	XP_013583574.1
OG0001442	CP11_g31857_DN3_SP8_c.t1	XP_013613299.1
OG0001442	CP19_g18473_DN3_SP8_c.t1	XP_013603133.1, XP_013598605.1
OG0001443	CP6_g6760_DN3_SP0_c.t1	XP_013597292.1
OG0001444	CP19_g18284_DN3_SP7_c.t1	XP_013595560.1, XP_013584432.1
OG0001444	CP10_g42160_DN3_SP8_c.t1	XP_013625405.1, XP_013638508.1
OG0001445	CP3_g13134_DN3_SP1_c.t1	XP_013590650.1
OG0001447	CP3_g13429_DN3_SP0_c.t1	XP_013588692.1
OG0001447	CP4_g24379_DN3_SP0_c.t1	XP_013630436.1
OG0001448	CP16_g54894_DN3_SP6_c.t1	XP_013635074.1, XP_013602404.1
OG0001448	CP20_g4113_DN3_SP0_c.t1	XP_013589377.1
OG0001450	CP4_g24535_DN3_SP5_c.t1	XP_013634255.1
OG0001450	CP3_g13594_DN3_SP8_c.t1	XP_013592263.1
OG0001451	CP4_g24571_DN3_SP8_c.t1	XP_013631141.1
OG0001451	CP3_g13625_DN3_SP8_c.t1	XP_013600600.1, XP_013633740.1
OG0001452	CP3_g13782_DN3_SP1_c.t1	XP_013634389.1, XP_013603287.1
OG0001452	CP4_g24740_DN2_SP2_c.t1	XP_013635238.1
OG0001454	CP4_g24932_DN3_SP8_c.t1	XP_013631533.1, XP_013623552.1, XP_013615311.1, XP_013632232.1
OG0001454	CP3_g13958_DN3_SP8_c.t1	XP_013631244.1
OG0001455	CP4_g24979_DN3_SP7_c.t1	XP_013636739.1, XP_013630144.1
OG0001456	CP12_g30032_DN3_SP4_c.t1	XP_013626140.1, XP_013639228.1, XP_013586645.1
OG0001456	CP6_g7257_DN3_SP4_c.t1	XP_013601550.1, XP_013595623.1
OG0001458	CP5_g1008_DN3_SP3_c.t1	XP_013608087.1
OG0001458	CP10_g43608_DN3_SP0_c.t1	XP_013596681.1
OG0001459	CP10_g43589_DN3_SP8_c.t1	XP_013595917.1, XP_013606374.1
OG0001459	CP5_g1023_DN1_SP8_c.t1	XP_013593314.1
OG0001461	CP4_g24792_DN3_SP0_c.t1	XP_013636412.1, XP_013632473.1, XP_013636413.1
OG0001461	CP4_g24791_DN3_SP0_c.t1	XP_013592839.1
OG0001462	CP4_g24881_DN3_SP0_c.t1	XP_013625072.1, XP_013631617.1
OG0001462	CP4_g24880_DN3_SP0_c.t1	XP_013623960.1, XP_013625073.1, XP_013635553.1
OG0001463	CP11_g32105_DN1_SP0_c.t1	XP_013633420.1
OG0001465	CP16_g54759_DN3_SP6_c.t1	XP_013605173.1, XP_013637138.1
OG0001465	CP5_g80_DN3_SP8_c.t1	XP_013598533.1, XP_013605252.1, XP_013629732.1
OG0001466	CP16_g54860_DN3_SP7_c.t1	XP_013632245.1
OG0001467	CP16_g55014_DN3_SP1_c.t1	XP_013634667.1
OG0001467	CP16_g55013_DN3_SP0_c.t1	XP_013599515.1
OG0001468	CP5_g331_DN3_SP0_c.t1	XP_013617495.1, XP_013596176.1
OG0001468	CP16_g55029_DN3_SP4_c.t1	XP_013630898.1, XP_013605249.1
OG0001469	CP16_g55099_DN3_SP5_c.t1	XP_013634723.1, XP_013603327.1
OG0001469	CP5_g892_DN3_SP8_c.t1	XP_013621974.1, XP_013593701.1, XP_013602499.1
OG0001470	CP7_g44481_DN3_SP0_c.t1	XP_013592194.1, XP_013604293.1, XP_013638988.1
OG0001470	CP7_g44482_DN3_SP0_c.t1	XP_013638215.1
OG0001471	CP2_g48560_DN3_SP8_c.t1	XP_013593190.1
OG0001471	CP10_g42575_DN3_SP0_c.t1	XP_013618582.1
OG0001472	CP2_g48576_DN2_SP0_c.t1	XP_013612253.1, XP_013596197.1
OG0001473	CP2_g48579_DN3_SP7_c.t1	XP_013598186.1
OG0001473	CP10_g42548_DN3_SP8_c.t1	XP_013584002.1, XP_013589146.1, XP_013630439.1
OG0001474	CP12_g29864_DN3_SP1_c.t1	XP_013609308.1, XP_013603315.1
OG0001474	CP12_g29865_DN3_SP8_c.t1	XP_013599090.1, XP_013599089.1
OG0001475	CP3_g13401_DN1_SP0_c.t1	XP_013603648.1, XP_013590318.1
OG0001475	CP4_g24320_DN1_SP0_c.t1	XP_013623314.1, XP_013634129.1
OG0001476	CP13_g19764_DN3_SP0_c.t1, CP13_g19762_DN3_SP0_c.t1	XP_013610174.1, XP_013596167.1
OG0001477	CP2_g48675_DN3_SP0_c.t1	XP_013618837.1, XP_013596410.1
OG0001477	CP10_g42654_DN3_SP7_c.t1	XP_013584557.1, XP_013584371.1
OG0001478	CP12_g30494_DN3_SP0_c.t1	XP_013628051.1
OG0001479	CP1_g37313_DN3_SP8_c.t1	XP_013605314.1, XP_013586017.1
OG0001479	CP2_g49385_DN3_SP8_c.t1	XP_013605170.1
OG0001480	CP2_g48991_DN3_SP6_c.t1	XP_013609331.1
OG0001480	CP1_g37541_DN3_SP8_c.t1	XP_013603000.1, XP_013584392.1, XP_013599934.1
OG0001481	CP7_g46123_DN3_SP0_c.t1	XP_013601813.1
OG0001481	CP7_g46125_DN3_SP0_c.t1	XP_013600151.1
OG0001482	CP8_g52222_DN3_SP1_c.t1	XP_013614299.1
OG0001482	CP19_g18216_DN3_SP6_c.t1	XP_013606904.1, XP_013599158.1
OG0001483	CP7_g45703_DN3_SP8_c.t1	XP_013597488.1
OG0001483	CP5_g503_DN3_SP8_c.t1	XP_013598529.1, XP_013629867.1
OG0001484	CP7_g45485_DN1_SP0_c.t1	XP_013596384.1
OG0001484	CP9_g28740_DN3_SP0_c.t1	XP_013618155.1, XP_013590335.1
OG0001487	CP7_g45364_DN3_SP0_c.t1	XP_013633402.1, XP_013584286.1
OG0001488	CP11_g33672_DN3_SP0_c.t1	XP_013620140.1
OG0001488	CP6_g7568_DN3_SP0_c.t1	XP_013630431.1
OG0001491	CP17_g5066_DN3_SP0_c.t1	XP_013596945.1
OG0001493	CP12_g31534_DN1_SP0_c.t1	XP_013594556.1
OG0001499	CP9_g28220_DN3_SP2_c.t1, CP9_g28221_DN3_SP1_c.t1	XP_013611959.1
OG0001499	CP9_g28217_DN3_SP0_c.t1	XP_013590767.1, XP_013591312.1
OG0001500	CP7_g44909_DN3_SP8_c.t1	XP_013598441.1
OG0001501	CP10_g42355_DN3_SP7_c.t1	XP_013638765.1, XP_013594589.1
OG0001501	CP11_g32201_DN3_SP5_c.t1	XP_013618709.1, XP_013607022.1
OG0001502	CP4_g25872_DN2_SP0_c.t1, CP21_g11035_DN2_SP0_c.t1, CP10_g42347_DN3_SP0_c.t1	XP_013639434.1, XP_013625571.1
OG0001502	CP11_g32211_DN3_SP0_c.t1	XP_013629907.1
OG0001503	CP11_g32462_DN3_SP8_c.t1	XP_013628691.1
OG0001503	CP10_g42169_DN3_SP8_c.t1	XP_013587718.1, XP_013637662.1
OG0001504	CP2_g49328_DN3_SP0_c.t1	XP_013607734.1
OG0001504	CP1_g38106_DN2_SP0_c.t1	XP_013588149.1
OG0001505	CP10_g42133_DN3_SP2_c.t1	XP_013584881.1
OG0001505	CP11_g32519_DN3_SP8_c.t1	XP_013618941.1, XP_013606897.1, XP_013623327.1
OG0001506	CP11_g32585_DN3_SP7_c.t1	XP_013609050.1
OG0001506	CP10_g43200_DN3_SP6_c.t1	XP_013586724.1, XP_013629414.1, XP_013635859.1
OG0001507	CP11_g32792_DN3_SP8_c.t1	XP_013621393.1, XP_013610131.1
OG0001507	CP2_g48454_DN3_SP8_c.t1	XP_013621347.1, XP_013597927.1
OG0001508	CP11_g33093_DN3_SP5_c.t1	XP_013608886.1
OG0001510	CP7_g45210_DN3_SP0_c.t1	XP_013585052.1
OG0001510	CP9_g28390_DN3_SP1_c.t1	XP_013619359.1
OG0001511	CP4_g25978_DN3_SP7_c.t1	XP_013631129.1
OG0001511	CP1_g37101_DN3_SP7_c.t1	XP_013605833.1, XP_013637700.1, XP_013605890.1
OG0001513	CP4_g25875_DN3_SP0_c.t1	XP_013634754.1
OG0001513	CP1_g37057_DN3_SP0_c.t1	XP_013605880.1
OG0001514	CP1_g36999_DN3_SP7_c.t1	XP_013603985.1
OG0001514	CP4_g25758_DN3_SP5_c.t1	XP_013622081.1
OG0001515	CP1_g36950_DN3_SP8_c.t1	XP_013583533.1, XP_013604705.1, XP_013604955.1
OG0001515	CP4_g25682_DN3_SP7_c.t1	XP_013634293.1
OG0001516	CP1_g36908_DN3_SP0_c.t1	XP_013583909.1
OG0001517	CP1_g36557_DN3_SP7_c.t1	XP_013601999.1, XP_013638632.1
OG0001517	CP4_g25517_DN3_SP2_c.t1	XP_013630890.1
OG0001518	CP1_g36630_DN3_SP8_c.t1	XP_013604064.1, XP_013584325.1
OG0001518	CP4_g25406_DN3_SP8_c.t1	XP_013626665.1, XP_013634660.1
OG0001519	CP1_g36637_DN3_SP8_c.t1	XP_013584322.1
OG0001519	CP13_g20314_DN3_SP3_c.t1	XP_013613225.1
OG0001520	CP1_g36641_DN3_SP0_c.t1	XP_013604007.1
OG0001520	CP13_g20290_DN3_SP0_c.t1	XP_013610731.1
OG0001521	CP9_g29604_DN2_SP0_c.t1	XP_013592654.1
OG0001521	CP7_g46122_DN2_SP0_c.t1	XP_013638457.1
OG0001522	CP4_g25318_DN3_SP0_c.t1, CP4_g25322_DN2_SP0_c.t1	XP_013636377.1
OG0001523	CP4_g25314_DN3_SP8_c.t1	XP_013636502.1
OG0001523	CP7_g44964_DN3_SP8_c.t1	XP_013597522.1, XP_013586114.1, XP_013629551.1
OG0001524	CP3_g13439_DN3_SP8_c.t1	XP_013591994.1
OG0001524	CP7_g44804_DN3_SP8_c.t1	XP_013613850.1
OG0001525	CP7_g44737_DN3_SP2_c.t1	XP_013585792.1
OG0001526	CP3_g14385_DN3_SP0_c.t1	XP_013617776.1, XP_013600571.1, XP_013593947.1
OG0001527	CP2_g47717_DN3_SP8_c.t1	XP_013628686.1
OG0001527	CP3_g13808_DN3_SP8_c.t1	XP_013591646.1, XP_013611588.1
OG0001529	CP2_g48369_DN3_SP8_c.t1	XP_013595736.1, XP_013606003.1
OG0001529	CP3_g14435_DN3_SP8_c.t1	XP_013629640.1, XP_013602692.1
OG0001530	CP1_g38677_DN3_SP0_c.t1	XP_013623857.1, XP_013614935.1
OG0001531	CP13_g20721_DN3_SP0_c.t1	XP_013616561.1, XP_013616562.1
OG0001534	CP13_g19894_DN3_SP0_c.t1, CP13_g19895_DN3_SP0_c.t1, CP13_g19896_DN1_SP0_c.t1	XP_013617673.1
OG0001535	CP19_g18012_DN3_SP8_c.t1	XP_013598833.1
OG0001535	CP8_g53657_DN3_SP8_c.t1	XP_013618807.1, XP_013606354.1
OG0001536	CP19_g17900_DN3_SP0_c.t1	XP_013631562.1
OG0001536	CP2_g48932_DN3_SP5_c.t1	XP_013607168.1, XP_013609044.1
OG0001537	CP11_g32062_DN3_SP3_c.t1	XP_013623153.1, XP_013618096.1, XP_013610988.1
OG0001537	CP1_g36781_DN3_SP4_c.t1	XP_013583588.1
OG0001538	CP1_g36764_DN3_SP8_c.t1	XP_013587292.1
OG0001538	CP11_g32047_DN3_SP8_c.t1	XP_013612197.1, XP_013614535.1
OG0001539	CP11_g33242_DN3_SP0_c.t1, CP36_g51038_DN3_SP0_c.t1, CP36_g51008_DN1_SP0_c.t1, CP31_g46834_DN1_SP0_c.t1, CP31_g46795_DN3_SP0_c.t1, CP219_g10343_DN3_SP0_c.t1	XP_013619814.1
OG0001540	CP10_g43075_DN3_SP3_c.t1	XP_013638695.1, XP_013621768.1
OG0001540	CP11_g33347_DN3_SP0_c.t1	XP_013611631.1
OG0001541	CP10_g43026_DN3_SP0_c.t1	XP_013618392.1, XP_013607026.1, XP_013626906.1, XP_013584035.1
OG0001543	CP9_g29343_DN1_SP0_c.t1	XP_013590149.1, XP_013588691.1
OG0001543	CP7_g45640_DN3_SP0_c.t1	XP_013584186.1
OG0001544	CP9_g29341_DN3_SP3_c.t1	XP_013592639.1
OG0001544	CP7_g45641_DN3_SP4_c.t1	XP_013586492.1, XP_013599697.1, XP_013599272.1
OG0001545	CP9_g29303_DN3_SP8_c.t1	XP_013589885.1, XP_013590526.1
OG0001545	CP7_g45668_DN3_SP8_c.t1	XP_013593783.1, XP_013638192.1
OG0001546	CP9_g29141_DN3_SP2_c.t1	XP_013591837.1, XP_013588748.1
OG0001548	CP5_g426_DN3_SP7_c.t1	XP_013636200.1, XP_013595695.1
OG0001548	CP10_g43756_DN3_SP8_c.t1	XP_013595677.1
OG0001549	CP6_g7713_DN3_SP0_c.t1	XP_013635352.1, XP_013605909.1
OG0001549	CP12_g30776_DN2_SP0_c.t1	XP_013590752.1, XP_013593901.1
OG0001550	CP9_g29032_DN3_SP7_c.t1	XP_013588566.1
OG0001550	CP7_g45910_DN3_SP8_c.t1	XP_013604298.1, XP_013587212.1, XP_013605446.1
OG0001551	CP20_g4256_DN3_SP0_c.t1, CP20_g4255_DN3_SP0_c.t1	XP_013617526.1
OG0001552	CP13_g19950_DN3_SP8_c.t1	XP_013599112.1, XP_013608879.1
OG0001552	CP6_g6911_DN3_SP8_c.t1	XP_013595335.1
OG0001553	CP12_g30383_DN2_SP0_c.t1	XP_013622993.1, XP_013608282.1, XP_013638281.1
OG0001553	CP1_g38053_DN3_SP0_c.t1	XP_013589873.1, XP_013592122.1
OG0001554	CP1_g37858_DN3_SP7_c.t1	XP_013625354.1, XP_013589992.1
OG0001554	CP12_g29906_DN3_SP8_c.t1	XP_013618897.1, XP_013638912.1
OG0001555	CP13_g19784_DN3_SP8_c.t1	XP_013618285.1, XP_013594241.1
OG0001555	CP6_g7066_DN3_SP8_c.t1	XP_013635867.1, XP_013597721.1
OG0001556	CP6_g7107_DN3_SP7_c.t1	XP_013595447.1
OG0001557	CP2_g47580_DN3_SP8_c.t1	XP_013598702.1, XP_013612516.1, XP_013621118.1
OG0001557	CP3_g14294_DN3_SP8_c.t1	XP_013605487.1
OG0001558	CP4_g24006_DN3_SP8_c.t1	XP_013613926.1, XP_013637420.1, XP_013629973.1
OG0001558	CP3_g13161_DN3_SP8_c.t1	XP_013631699.1
OG0001559	CP5_g795_DN3_SP6_c.t1	XP_013593954.1, XP_013603330.1
OG0001559	CP16_g55281_DN3_SP8_c.t1	XP_013602885.1
OG0001560	CP4_g24313_DN3_SP5_c.t1	XP_013627865.1, XP_013633594.1
OG0001560	CP3_g13392_DN3_SP1_c.t1	XP_013601713.1
OG0001561	CP3_g13553_DN3_SP0_c.t1	XP_013589359.1, XP_013614179.1
OG0001563	CP4_g24606_DN3_SP8_c.t1	XP_013622126.1, XP_013637155.1
OG0001563	CP3_g13677_DN3_SP8_c.t1	XP_013632242.1, XP_013637036.1
OG0001564	CP3_g13771_DN3_SP8_c.t1	XP_013637444.1, XP_013602020.1
OG0001564	CP4_g24735_DN3_SP8_c.t1	XP_013631671.1
OG0001565	CP3_g13779_DN3_SP0_c.t1	XP_013600846.1
OG0001566	CP4_g24928_DN3_SP0_c.t1	XP_013623308.1
OG0001567	CP3_g14973_DN3_SP0_c.t1, CP3_g14974_DN3_SP0_c.t1	XP_013602819.1
OG0001567	CP9_g28210_DN3_SP3_c.t1	XP_013616478.1, XP_013595935.1
OG0001568	CP5_g1005_DN3_SP8_c.t1	XP_013602121.1, XP_013598555.1
OG0001569	CP16_g54779_DN3_SP8_c.t1	XP_013602322.1, XP_013615665.1, XP_013632456.1, XP_013623596.1
OG0001569	CP5_g97_DN3_SP5_c.t1	XP_013597712.1
OG0001570	CP9_g28809_DN3_SP7_c.t1	XP_013588542.1, XP_013613630.1
OG0001571	CP1_g36742_DN3_SP8_c.t1	XP_013602337.1
OG0001571	CP8_g54431_DN3_SP8_c.t1	XP_013609345.1
OG0001572	CP10_g42520_DN3_SP0_c.t1	XP_013624128.1
OG0001572	CP2_g48600_DN3_SP8_c.t1	XP_013599212.1, XP_013621460.1
OG0001573	CP2_g48644_DN3_SP0_c.t1	XP_013606757.1, XP_013595329.1
OG0001573	CP10_g42473_DN3_SP0_c.t1	XP_013584778.1, XP_013588737.1
OG0001574	CP5_g1151_DN3_SP7_c.t1	XP_013600867.1, XP_013623996.1
OG0001574	CP12_g29839_DN3_SP8_c.t1	XP_013598627.1
OG0001575	CP2_g47509_DN1_SP0_c.t1	XP_013610190.1
OG0001576	CP2_g48630_DN3_SP6_c.t1	XP_013611174.1, XP_013616261.1, XP_013599427.1
OG0001577	CP2_g48801_DN3_SP0_c.t1	XP_013597999.1
OG0001581	CP5_g1531_DN3_SP0_c.t1	XP_013613520.1
OG0001582	CP4_g25513_DN3_SP0_c.t1	XP_013634882.1, XP_013634261.1
OG0001582	CP1_g36552_DN3_SP8_c.t1	XP_013605632.1
OG0001583	CP1_g37394_DN3_SP0_c.t1	XP_013605431.1
OG0001583	CP1_g37395_DN2_SP0_c.t1	XP_013585545.1
OG0001583	CP2_g49201_DN3_SP0_c.t1	XP_013606320.1, XP_013631681.1, XP_013596817.1
OG0001584	CP1_g37795_DN3_SP6_c.t1	XP_013602709.1, XP_013585258.1, XP_013585257.1
OG0001584	CP13_g19646_DN3_SP5_c.t1	XP_013593575.1
OG0001585	CP17_g5096_DN3_SP0_c.t1	XP_013586103.1, XP_013593686.1, XP_013599519.1
OG0001586	CP28_g33902_DN3_SP0_c.t1, CP13_g19476_DN3_SP0_c.t1	XP_013621328.1
OG0001587	CP7_g45456_DN3_SP6_c.t1	XP_013600286.1
OG0001587	CP9_g28688_DN3_SP6_c.t1	XP_013619267.1
OG0001588	CP13_g19088_DN3_SP0_c.t1	XP_013612681.1
OG0001588	CP19_g17845_DN2_SP1_c.t1	XP_013591251.1
OG0001589	CP13_g19210_DN3_SP2_c.t1	XP_013621507.1, XP_013598108.1
OG0001591	CP5_g193_DN3_SP0_c.t1	XP_013617108.1
OG0001593	CP1_g37653_DN3_SP8_c.t1	XP_013585950.1, XP_013601995.1
OG0001593	CP13_g19451_DN3_SP8_c.t1	XP_013593340.1
OG0001595	CP9_g27794_DN2_SP0_c.t1	XP_013588416.1
OG0001598	CP11_g33092_DN3_SP0_c.t1	XP_013611020.1
OG0001599	CP5_g1113_DN3_SP0_c.t1	XP_013588924.1, XP_013587618.1
OG0001600	CP21_g11133_DN1_SP0_c.t1	XP_013601520.1, XP_013632676.1, XP_013605857.1, XP_013614068.1, XP_013601500.1
OG0001603	CP2_g47980_DN3_SP3_c.t1	XP_013628437.1
OG0001604	CP7_g45851_DN2_SP0_c.t1	XP_013585061.1, XP_013605134.1
OG0001605	CP5_g1372_DN3_SP0_c.t1, CP2_g49407_DN3_SP0_c.t1, CP5_g3190_DN3_SP0_c.t1, CP5_g3176_DN2_SP0_c.t1, CP5_g2188_DN3_SP0_c.t1, CP5_g2201_DN1_SP0_c.t1, CP5_g2168_DN3_SP0_c.t1, CP5_g2157_DN2_SP0_c.t1, CP5_g2189_DN1_SP0_c.t1, CP5_g2202_DN1_SP0_c.t1, CP5_g2169_DN1_SP0_c.t1, CP5_g2178_DN3_SP0_c.t1, CP27_g41662_DN1_SP0_c.t1	XP_013633163.1, XP_013633164.1
OG0001606	CP11_g32256_DN3_SP0_c.t1	XP_013616393.1
OG0001606	CP10_g42310_DN3_SP0_c.t1	XP_013622198.1, XP_013585487.1
OG0001607	CP10_g42300_DN3_SP8_c.t1	XP_013631960.1, XP_013586541.1
OG0001607	CP11_g32272_DN3_SP8_c.t1	XP_013621488.1, XP_013611089.1
OG0001610	CP7_g45148_DN2_SP7_c.t1, CP7_g45150_DN2_SP1_c.t1	XP_013594650.1
OG0001611	CP11_g32682_DN3_SP8_c.t1	XP_013611221.1
OG0001611	CP8_g54389_DN3_SP8_c.t1	XP_013611368.1, XP_013621190.1
OG0001612	CP8_g54386_DN3_SP2_c.t1	XP_013606966.1
OG0001612	CP11_g32710_DN3_SP6_c.t1	XP_013629155.1, XP_013612653.1
OG0001614	CP2_g47801_DN3_SP7_c.t1	XP_013620182.1
OG0001614	CP11_g32902_DN3_SP8_c.t1	XP_013612601.1
OG0001615	CP16_g54856_DN3_SP7_c.t1	XP_013604018.1
OG0001615	CP11_g32903_DN3_SP7_c.t1	XP_013612603.1, XP_013626076.1
OG0001617	CP11_g33005_DN3_SP8_c.t1	XP_013606204.1, XP_013630715.1
OG0001617	CP2_g47924_DN3_SP8_c.t1	XP_013616525.1, XP_013623624.1
OG0001618	CP2_g48241_DN3_SP8_c.t1	XP_013606047.1
OG0001618	CP11_g33072_DN3_SP8_c.t1	XP_013619027.1
OG0001619	CP11_g31993_DN3_SP0_c.t1	XP_013606624.1
OG0001619	CP1_g36727_DN3_SP0_c.t1	XP_013594812.1, XP_013586956.1
OG0001621	CP4_g25765_DN3_SP7_c.t1	XP_013622663.1
OG0001621	CP1_g37002_DN3_SP8_c.t1	XP_013586505.1, XP_013603982.1
OG0001622	CP1_g36994_DN3_SP0_c.t1	XP_013583819.1, XP_013602287.1
OG0001622	CP4_g25750_DN3_SP0_c.t1	XP_013632669.1
OG0001623	CP4_g25713_DN3_SP2_c.t1	XP_013637300.1
OG0001623	CP1_g36974_DN3_SP1_c.t1	XP_013583691.1, XP_013600707.1
OG0001624	CP4_g25667_DN3_SP0_c.t1, CP4_g25668_DN3_SP0_c.t1	XP_013632640.1, XP_013634701.1, XP_013633627.1
OG0001624	CP1_g36940_DN3_SP2_c.t1	XP_013585790.1
OG0001625	CP4_g25579_DN3_SP4_c.t1	XP_013631820.1
OG0001626	CP1_g36613_DN3_SP8_c.t1	XP_013602136.1, XP_013586138.1
OG0001627	CP1_g36626_DN3_SP8_c.t1	XP_013638105.1
OG0001627	CP4_g25415_DN3_SP8_c.t1	XP_013630998.1, XP_013631116.1
OG0001628	CP13_g20215_DN3_SP0_c.t1	XP_013619822.1, XP_013595668.1, XP_013595666.1, XP_013609200.1
OG0001629	CP11_g31931_DN3_SP3_c.t1	XP_013622503.1, XP_013606271.1
OG0001629	CP1_g36708_DN3_SP2_c.t1	XP_013600401.1
OG0001630	CP19_g18072_DN3_SP8_c.t1	XP_013617332.1, XP_013594000.1
OG0001630	CP8_g53210_DN3_SP0_c.t1	XP_013618437.1, XP_013609622.1
OG0001631	CP13_g20362_DN3_SP5_c.t1	XP_013598908.1, XP_013621033.1
OG0001631	CP7_g45111_DN3_SP0_c.t1	XP_013593949.1
OG0001632	CP4_g25348_DN3_SP8_c.t1	XP_013627055.1
OG0001633	CP2_g48134_DN3_SP6_c.t1	XP_013596657.1
OG0001633	CP2_g48130_DN3_SP0_c.t1	XP_013596343.1
OG0001634	CP2_g48179_DN3_SP8_c.t1	XP_013612917.1
OG0001634	CP1_g37693_DN3_SP2_c.t1	XP_013598290.1
OG0001635	CP3_g14498_DN3_SP8_c.t1	XP_013606791.1
OG0001636	CP3_g14421_DN1_SP0_c.t1	XP_013627012.1
OG0001637	CP8_g54381_DN3_SP1_c.t1	XP_013626592.1
OG0001637	CP8_g54380_DN3_SP0_c.t1	XP_013626616.1, XP_013610293.1, XP_013616878.1, XP_013621340.1
OG0001638	CP8_g54324_DN3_SP5_c.t1, CP8_g54325_DN3_SP8_c.t1	XP_013606063.1, XP_013630481.1
OG0001640	CP19_g17970_DN3_SP7_c.t1	XP_013619189.1
OG0001640	CP8_g53532_DN3_SP2_c.t1	XP_013625958.1, XP_013608956.1, XP_013596751.1
OG0001641	CP8_g53494_DN2_SP8_c.t1	XP_013621496.1
OG0001642	CP8_g53479_DN2_SP0_c.t1	XP_013627494.1
OG0001642	CP8_g53477_DN3_SP0_c.t1	XP_013622480.1, XP_013609793.1
OG0001642	CP8_g53478_DN3_SP0_c.t1	XP_013626835.1, XP_013597027.1
OG0001643	CP5_g1278_DN3_SP3_c.t1	XP_013639769.1
OG0001643	CP8_g53400_DN3_SP8_c.t1	XP_013610499.1
OG0001644	CP10_g43133_DN3_SP8_c.t1	XP_013630802.1, XP_013633554.1
OG0001645	CP10_g43104_DN3_SP0_c.t1	XP_013585869.1, XP_013627193.1
OG0001646	CP11_g33340_DN3_SP7_c.t1	XP_013611098.1
OG0001646	CP10_g43085_DN3_SP8_c.t1	XP_013629005.1, XP_013637968.1, XP_013592337.1
OG0001647	CP3_g13632_DN3_SP5_c.t1	XP_013590711.1
OG0001647	CP11_g33489_DN3_SP8_c.t1	XP_013620670.1, XP_013614446.1, XP_013611285.1
OG0001648	CP5_g1334_DN3_SP8_c.t1	XP_013631148.1, XP_013588136.1
OG0001648	CP13_g19280_DN3_SP8_c.t1	XP_013607001.1, XP_013593551.1
OG0001649	CP19_g17945_DN3_SP8_c.t1	XP_013592026.1, XP_013637161.1
OG0001649	CP13_g19294_DN3_SP8_c.t1	XP_013598232.1
OG0001650	CP2_g48899_DN3_SP8_c.t1	XP_013608612.1
OG0001651	CP7_g46117_DN3_SP3_c.t1	XP_013604407.1, XP_013587620.1
OG0001651	CP9_g29596_DN3_SP8_c.t1	XP_013620449.1, XP_013588226.1
OG0001652	CP9_g29572_DN3_SP8_c.t1	XP_013591502.1, XP_013618281.1, XP_013590450.1
OG0001653	CP9_g29561_DN3_SP4_c.t1	XP_013591489.1
