Orthogroup	Brassica_rapa	Cochlearia_excelsa
OG0002337	XP_009113267.1	g44102
OG0002338	XP_009114269.1, XP_033139715.1, XP_009101410.1, XP_009114123.1, XP_009114124.2	g10859
OG0002340	XP_033137665.1, XP_033132206.1, XP_009138322.1	g23061
OG0002341	XP_033144167.1, XP_033134033.1	g23166
OG0002342	XP_009119409.1, XP_009123238.1	g6158
OG0002343	XP_009126841.2	g23316
OG0002344	XP_009138024.1	g23318
OG0002344	XP_009117115.1	g38364
OG0002345	XP_009127303.1, XP_009108956.1	g23358
OG0002346	XP_009132374.1	g39368
OG0002346	XP_009137608.1, XP_033133285.1	g17125, g23682
OG0002352	XP_009108984.1	g47745
OG0002353	XP_033138427.1	g29137
OG0002353	XP_009130592.2	g12649
OG0002354	XP_009121418.1	g45746
OG0002354	XP_009119081.1	g7835
OG0002354	XP_009130335.1	g12658
OG0002355	XP_009126157.1	g29152
OG0002356	XP_009121466.1, XP_018513145.1, XP_033141165.1	g5029, g29180
OG0002357	XP_018512499.1	g29212
OG0002357	XP_009122637.1	g5704
OG0002358	XP_009147373.1, XP_009134651.1, XP_009126058.1, XP_009121560.2	g29241
OG0002360	XP_009121800.2, XP_009131316.1, XP_009113789.1, XP_009109829.1	g29376
OG0002361	XP_009151037.1	g10040
OG0002361	XP_009122012.2	g29472
OG0002362	XP_009130478.1	g9741
OG0002362	XP_009122110.1	g202
OG0002363	XP_009131093.1, XP_009122476.1	g29573
OG0002363	XP_009150418.1	g280
OG0002364	XP_009141602.1, XP_009150890.1	g496
OG0002364	XP_009122457.1	g5495
OG0002365	XP_009125712.2, XP_033146260.1	g5527
OG0002366	XP_009141666.1	g38072
OG0002367	XP_009144393.1	g40019
OG0002368	XP_009119194.1	g30911
OG0002368	XP_009143993.1	g51300
OG0002369	XP_009113982.2	g39717
OG0002370	XP_009113971.3, XP_009101754.2	g11089
OG0002370	XP_009118665.1	g30859
OG0002371	XP_009131504.2, XP_033140981.1	g39675, g11063
OG0002372	XP_009139416.1, XP_009109194.1, XP_009139388.1	g23740
OG0002374	XP_009102673.1	g32514
OG0002376	XP_009111972.1, XP_009136431.1	g9924
OG0002377	XP_009124332.1	g41374
OG0002377	XP_009131837.2, XP_009120732.1	g750
OG0002378	XP_009123304.1	g28878
OG0002379	XP_009149960.1	g11418, g2820
OG0002379	XP_009126715.1, XP_009120428.1	g39246
OG0002380	XP_033144957.1, XP_018508955.2, XP_033133895.1	g23322, g47784, g28603
OG0002381	XP_009132389.2	g1013
OG0002381	XP_009142687.1	g17123
OG0002382	XP_009127078.2	g964
OG0002382	XP_009143234.1	g23651
OG0002383	XP_009143453.2, XP_009137660.1	g17087
OG0002384	XP_033129388.1, XP_033130766.1	g4109, g30684, g9073, g25249, g30199, g1565, g9225, g48664, g4445, g5037, g8204, g52640, g42248, g14996, g33478, g17945, g15032, g43379, g9320, g33442, g33438, g4060, g42644, g42541, g3366, g3596, g42570, g38792, g20919, g38765, g3438, g52448, g14222, g52508, g48209, g43219, g35365, g48338
OG0002385	XP_009122208.1, XP_009146732.1, XP_009135163.1, XP_018511700.2	g12324, g39747
OG0002386	XP_009146826.1	g13101
OG0002386	XP_009130829.1	g29780
OG0002387	XP_009146861.1	g12375
OG0002388	XP_009112895.1	g40823
OG0002389	XP_009104553.1	g46496, g44344
OG0002390	XP_009106414.2	g46375
OG0002392	XP_009106283.1	g46265
OG0002392	XP_009149531.1	g31939
OG0002393	XP_009138378.1, XP_009151805.1	g22987
OG0002394	XP_009147693.1	g47952
OG0002394	XP_009150757.2, XP_033134487.1	g13990
OG0002395	XP_009124707.1, XP_009135281.1	g12252
OG0002396	XP_009135323.1, XP_009146455.1	g13195, g12217
OG0002397	XP_009146429.1	g12209
OG0002397	XP_009147532.1	g54340
OG0002399	XP_009108726.1	g23080
OG0002400	XP_033146878.1, XP_009124900.1	g36598
OG0002401	XP_009141570.2	g37161
OG0002401	XP_009115972.1	g19219
OG0002402	XP_009102414.1	g13523
OG0002403	XP_009102451.2, XP_018513179.2	g11678, g11684
OG0002404	XP_009107734.1, NP_001288880.1	g47004
OG0002404	XP_009102532.1	g13487
OG0002405	XP_033132269.1, XP_009139568.1, XP_009108086.1	g47035
OG0002406	XP_009148394.1	g24507, g17719
OG0002407	XP_009108864.1, XP_009145329.3	g13423
OG0002408	XP_009149242.2	g31738
OG0002408	XP_009105977.2	g50020
OG0002409	XP_009117629.1, XP_009110368.1	g31746
OG0002410	XP_009106088.1	g46134
OG0002411	XP_009117590.1	g31801
OG0002411	XP_009110323.1	g27417
OG0002412	XP_033131375.1	g44504
OG0002413	XP_009105400.2, XP_009103360.2, XP_009105036.1	g19573, g18017, g41516
OG0002414	XP_009109888.1, XP_009103073.1, XP_009115331.1	g32193
OG0002415	XP_009115350.1	g32184
OG0002416	XP_009105022.2, XP_009105419.1	g44816
OG0002416	XP_009103078.2	g32187
OG0002417	XP_009109917.1	g32164
OG0002417	XP_033140924.1	g45780
OG0002418	XP_009127695.1	g50680
OG0002418	XP_009127717.1	g46930
OG0002419	XP_009109083.2	g17032
OG0002420	XP_033145430.1	g16790, g44966
OG0002420	XP_009112751.2, XP_009112933.2	g40782
OG0002421	XP_009122975.1, XP_009113387.1	g41111
OG0002422	XP_009151902.1, XP_033137197.1, XP_009129387.1	g10444
OG0002423	XP_009110620.1, XP_009118055.1	g31408
OG0002424	XP_009148484.2	g31322
OG0002424	XP_009140722.1	g25025
OG0002425	XP_009128828.1	g43975
OG0002425	XP_009136933.1, XP_009131778.1	g24183
OG0002426	XP_009114408.1, XP_009128790.1	g10983
OG0002426	XP_009136996.1	g47299
OG0002428	XP_009101404.1	g10853
OG0002429	XP_009144551.1	g47204
OG0002429	XP_009114280.1	g10869
OG0002430	XP_009108173.1	g40368
OG0002430	XP_009137353.1	g23892
OG0002431	XP_009101890.1, XP_009147223.1	g22696
OG0002432	XP_033144312.1, XP_033143989.1	g40392
OG0002434	XP_009137266.1, XP_009136013.1	g47428
OG0002435	XP_009114611.1	g25652
OG0002435	XP_009135900.2, XP_009108560.1	g47424
OG0002436	XP_009114598.1	g40417
OG0002436	XP_009137247.1, XP_009135776.1	g17304, g47415
OG0002437	XP_009137032.1	g24077
OG0002438	XP_009134117.2, XP_033130185.1	g24039
OG0002438	XP_009134095.1	g24040
OG0002439	XP_009137440.2, XP_009109254.1	g23841
OG0002439	XP_009137922.1	g17220
OG0002440	XP_009114483.1, XP_009134406.2	g47365
OG0002441	XP_009137195.2	g24004, g47380
OG0002442	XP_009135013.1	g23996
OG0002443	XP_009105077.2, XP_009105072.2, XP_033131672.1, XP_033131671.1, XP_009127328.2, XP_009104416.3	g18712
OG0002444	XP_009111833.1, XP_009151630.1	g12664, g10279
OG0002445	XP_033135828.1	g40996
OG0002446	XP_009116780.1	g18688
OG0002446	XP_009142362.1, XP_009143169.1	g52276
OG0002447	XP_009142217.1	g38217
OG0002448	XP_009107387.2, XP_018509308.1	g36284, g42124
OG0002449	XP_009104078.2, XP_009139005.1	g18973, g36510, g54215
OG0002450	XP_009142776.1, XP_009133511.2	g37407
OG0002453	XP_009139253.1	g2302
OG0002454	XP_033137092.1	g2363
OG0002454	XP_009141626.1, XP_009133115.1	g38055
OG0002455	XP_009116025.1, XP_009103858.2, XP_009138339.1	g19203
OG0002456	XP_009144723.1, XP_009139445.1	g19239, g2411
OG0002457	XP_009147136.1	g22952
OG0002457	XP_009150753.1, XP_009102292.1	g6031
OG0002458	XP_009143412.1	g22917
OG0002459	XP_009141710.1	g47976
OG0002460	XP_033148657.1, XP_009108994.2	g47738
OG0002461	XP_009128959.1, XP_009137834.2, XP_033133068.1	g23494
OG0002461	XP_009102134.1	g13893
OG0002462	XP_009141923.2	g51922
OG0002463	XP_009141738.1, XP_009133251.1, XP_009141737.1	g51717
OG0002464	XP_009128650.2, XP_009102715.1	g40383
OG0002465	XP_009139866.1	g22880
OG0002466	XP_009114765.1	g32733
OG0002467	XP_009128630.2	g40397
OG0002467	XP_009136152.2	g47436
OG0002468	XP_009151134.1	g10099
OG0002468	XP_009134865.2, XP_009124947.2, XP_009129619.1	g7678
OG0002469	XP_033134772.1, XP_009117493.1, XP_009102112.3	g5906, g13852
OG0002470	XP_009143033.1	g37551
OG0002470	XP_033148313.1	g37550
OG0002471	XP_009143017.1	g37544, g13749
OG0002471	XP_009142258.1	g38231
OG0002472	XP_009142195.1	g52120
OG0002473	XP_009134772.1	g7751
OG0002474	XP_009134767.1, XP_033147561.1, XP_033147222.1	g12594
OG0002474	XP_009111897.1, XP_009151257.1	g12813
OG0002476	XP_009146986.1	g12985
OG0002477	XP_009146973.1, XP_009123794.2, XP_009135080.1	g7527
OG0002478	XP_009122379.2, XP_033147886.1, XP_009122158.2	g12336
OG0002479	XP_033130699.1, XP_009115052.1	g50558
OG0002479	XP_009120840.1	g7315
OG0002481	XP_009147552.1, XP_033133847.1	g36682
OG0002482	XP_009147434.1	g17662
OG0002483	XP_009124512.1	g47148
OG0002484	XP_033131256.1	g24365, g24374
OG0002484	XP_033148113.1, XP_033132303.1	g12059
OG0002485	XP_033145995.1	g53265
OG0002486	XP_009140162.1	g46778
OG0002486	XP_009105203.1	g44986
OG0002487	XP_009127449.1	g26194, g18056
OG0002488	XP_033143349.1	g41746
OG0002489	XP_009120942.1, XP_009126285.1, XP_009131702.1	g41455
OG0002490	XP_009115813.1	g2484
OG0002491	XP_033134978.1	g49366
OG0002491	XP_009105765.1	g44667
OG0002492	XP_009113330.1, XP_009102727.2	g44032
OG0002492	XP_009148272.1	g41055
OG0002493	XP_033133421.1, XP_009148291.1	g31222
OG0002494	XP_009118258.1	g27111
OG0002494	XP_009148363.1	g27116
OG0002496	XP_009152035.2	g10556
OG0002496	XP_009148556.2, XP_009118048.2	g31414
OG0002497	XP_009117987.1	g49876
OG0002497	XP_009129053.1	g10630
OG0002498	XP_009110564.1	g31490
OG0002499	XP_009148821.1, XP_009129139.1	g49906
OG0002500	XP_009117879.1	g31548
OG0002500	XP_018512313.1, XP_009101303.1	g10747
OG0002501	XP_009148959.2, NP_001288904.1, XP_009117814.1	g31615, g49947
OG0002502	XP_009110418.1, XP_009127356.2	g31691
OG0002503	XP_009103248.1	g32025
OG0002504	XP_009110101.1, XP_009115534.1	g32109
OG0002505	XP_009103165.1, XP_009115512.1	g50300
OG0002506	XP_009105690.1	g45829
OG0002506	XP_033134495.1	g50321
OG0002507	XP_009105208.1, XP_009105227.1	g40940
OG0002508	XP_009109808.1	g18338
OG0002510	XP_018509295.2, XP_009138514.2	g22822
OG0002511	XP_009123833.1	g47985
OG0002511	XP_009117296.1	g38445
OG0002512	XP_009140458.1	g50951
OG0002513	XP_009108679.1, XP_009138347.1, XP_009138346.1	g23023
OG0002514	XP_009115555.2, XP_009138270.2, XP_009108743.1	g23119
OG0002515	XP_009125401.1	g16915
OG0002516	XP_009117066.1	g38334
OG0002516	XP_009126353.1	g16934
OG0002517	XP_033135798.1, XP_009138029.2	g23313
OG0002518	XP_009127781.1	g44707
OG0002518	XP_009103138.2, XP_009115478.1	g32082, g50311
OG0002519	XP_033132965.1, XP_009109136.2	g23623
OG0002520	XP_009148655.1	g41876
OG0002522	XP_033140470.1	g28340, g28373
OG0002523	XP_009134135.1	g25869
OG0002526	XP_033138930.1, XP_033129922.1, XP_033138929.1	g19769, g19694, g19721, g19741, g20007, g48784, g8039, g20210, g19768, g19695, g20008, g19984, g19742, g19720
OG0002530	XP_009117257.1	g36887
OG0002531	XP_009109530.2	g53656, g22666
OG0002532	XP_009126692.1, XP_009131988.1, XP_009120465.1	g28745
OG0002532	XP_009137255.2	g2870
OG0002533	XP_009149806.1	g19424
OG0002533	XP_009150400.1	g296
OG0002534	XP_033128593.1, XP_009149862.2	g2753, g19492
OG0002535	XP_009110529.2, XP_009110524.1	g1509, g1511
OG0002536	XP_009126186.1, XP_009107516.1	g4991
OG0002537	XP_009128191.1, XP_009121440.2	g17970
OG0002538	XP_033143161.1	g29196, g29197
OG0002539	XP_009121535.1	g45711
OG0002539	XP_009121537.2, XP_033138657.1	g5077
OG0002540	XP_009134654.1, XP_009147370.1	g7894
OG0002541	XP_018512337.1	g5155
OG0002542	XP_009131411.1	g5184
OG0002542	XP_009134602.1	g7934
OG0002543	XP_018508793.1	g2348
OG0002544	XP_009125838.1, XP_009121897.1	g5336
OG0002545	XP_009112134.1	g234
OG0002545	XP_009122524.1	g5452
OG0002546	XP_009150453.1	g267
OG0002546	XP_009122502.1	g5471
OG0002547	XP_009111250.1, XP_009134385.1	g25489
OG0002548	XP_009134360.1	g39645
OG0002549	XP_009118947.1	g49575
OG0002549	XP_009122944.2	g51113
OG0002550	XP_009133846.1	g51180
OG0002550	XP_018510939.1	g31053
OG0002551	XP_009141099.2	g51225
OG0002551	XP_009144273.2	g31016
OG0002552	XP_009143988.1	g39798
OG0002552	XP_009119197.1	g30912
OG0002553	XP_033143063.1, XP_033147605.1	g51336
OG0002553	XP_009111095.2	g49459
OG0002554	XP_009111125.2, XP_009118668.1	g30857
OG0002556	XP_009143848.1, XP_009113703.1, XP_009109757.1	g32316
OG0002557	XP_009102921.1, XP_009113681.1	g32325, g50461
OG0002558	XP_009114906.1, XP_009145197.1	g32594
OG0002559	XP_009136548.1	g2566
OG0002560	XP_009150628.1	g9718
OG0002561	XP_033135236.1, XP_033138405.1, XP_033140966.1, XP_033142812.1	g29545
OG0002562	XP_033148873.1, XP_009150183.1, XP_009151486.1, XP_009149804.1	g19427
OG0002563	XP_009151362.1	g360
OG0002564	XP_009122361.1	g5564
OG0002565	XP_009122336.1	g29627
OG0002565	XP_033143271.1	g407
OG0002566	XP_009150952.1	g534
OG0002566	XP_009149749.1	g19410
OG0002567	XP_009126614.1, XP_009120570.1	g28816
OG0002568	XP_009131934.2	g28806
OG0002569	XP_009126629.2	g1300
OG0002569	XP_009150059.1	g2913
OG0002570	XP_009149935.1	g2806
OG0002570	XP_009120395.1	g1227
OG0002571	XP_009120342.1	g1161, g44298
OG0002572	XP_018514037.2, XP_033128919.1	g54325, g46597
OG0002574	XP_009120262.1	g28642
OG0002574	XP_009137559.1	g17149
OG0002575	XP_009129705.2	g39328
OG0002577	XP_009127001.2, XP_033144611.1	g39375
OG0002578	XP_009108074.1, XP_033132272.1	g17911, g17918, g17900, g17896
OG0002579	XP_009111301.1	g1474, g25462
OG0002579	XP_018510523.1	g45229
OG0002581	XP_009122173.1	g29712
OG0002581	XP_009116438.1	g18990
OG0002582	XP_009122720.2	g13104
OG0002582	XP_009130837.2	g5667
OG0002583	XP_009122632.2	g5700
OG0002583	XP_033147870.1, XP_009123021.2	g13075
OG0002584	XP_009146971.1, XP_033144012.1	g13008, g7526
OG0002585	XP_009111552.1	g10526
OG0002586	XP_009148942.1	g27306
OG0002586	XP_009104453.1	g46592
OG0002587	XP_009104566.1, XP_009106596.1	g46480
OG0002588	XP_009106320.1	g44395
OG0002588	XP_009103316.1	g31956, g27479
OG0002589	XP_009106301.1	g46270, g44400
OG0002590	XP_009106282.1	g46264
OG0002590	XP_009149532.1	g31924
OG0002591	XP_009110234.1, XP_009149518.3	g31917
OG0002591	XP_009106261.1	g44413
OG0002592	XP_009106250.1	g27452
OG0002593	XP_009129885.1	g10125
OG0002594	XP_009139301.2	g11152
OG0002595	XP_009124120.1	g27991
OG0002596	XP_009147541.1	g36685
OG0002596	XP_009146420.1	g7192
OG0002597	XP_009106937.1	g36684
OG0002597	XP_009146418.1	g12202
OG0002598	XP_009107058.1, XP_009106949.1, XP_009106947.1	g54354, g27997, g36680
OG0002600	XP_009143601.1	g37163
OG0002601	XP_009102589.1	g6510
OG0002602	XP_009148323.1, XP_009107798.1	g17714
OG0002603	XP_033131963.1, XP_033133695.1, XP_009107846.1	g24438
OG0002604	XP_009106098.1	g46140
OG0002604	XP_009128033.1, XP_009128034.1, XP_009127347.1	g46129
OG0002605	XP_009115318.1	g27606
OG0002605	XP_009105040.1	g44836
OG0002606	XP_033130124.1	g32191
OG0002607	XP_009134086.1	g25942
OG0002608	XP_009101630.1	g11021, g40519
OG0002609	XP_009112103.1, XP_009135620.1	g11972
OG0002609	XP_009147876.1	g6824
OG0002610	XP_009147854.2	g54161
OG0002610	XP_009107242.2	g28061
OG0002611	XP_009145617.1	g11906
OG0002611	XP_009144938.1	g36468
OG0002612	XP_009146241.1	g13237
OG0002612	XP_009147646.1	g54278
OG0002613	XP_033137390.1, XP_009135443.1, XP_009146243.1	g12140, g7079
OG0002614	XP_009115530.2, XP_009146244.2	g7080
OG0002616	XP_033144644.1, XP_009115772.1	g2514, g2515
OG0002617	XP_009123210.2, XP_009136249.1	g13683
OG0002618	XP_009121221.2	g14206
OG0002618	XP_009108847.1	g23081
OG0002619	XP_033147760.1, XP_033147762.1	g14102
OG0002621	XP_009108681.2, XP_009105909.1	g23026, g47904
OG0002622	XP_009114615.1, XP_009134276.1	g25648, g25638
OG0002623	XP_009115337.1, XP_009128675.1, XP_033140231.1	g40360, g43177
OG0002624	XP_009104412.1, XP_009138691.1, XP_009118088.1	g18758
OG0002625	XP_009116803.1	g1861
OG0002626	XP_009116651.1, XP_009104226.1	g1959
OG0002627	XP_009142804.1	g37438
OG0002628	XP_009142820.2	g37440
OG0002629	XP_009142001.1	g37398
OG0002630	XP_009103981.1	g2167
OG0002630	XP_009141889.1	g51882
OG0002632	XP_009123200.1	g11754
OG0002633	XP_009133209.1	g51674
OG0002633	XP_009139279.1	g2324
OG0002634	XP_009143920.1	g23612
OG0002635	XP_009124259.1	g46863
OG0002636	XP_009127538.1, XP_009105132.2, XP_009105261.2	g44918
OG0002637	XP_009128742.1	g23470
OG0002637	XP_009102145.1	g13899
OG0002638	XP_009141818.1, XP_009141819.1	g41209
OG0002638	XP_009143305.1, XP_009141816.1	g37321
OG0002639	XP_009113830.1, XP_009109863.1	g32224
OG0002641	XP_009117425.3	g38544
OG0002642	XP_009109490.2	g22693
OG0002642	XP_009140284.1	g50872
OG0002643	XP_009113616.1, XP_009103315.2, XP_009134193.1	g40315
OG0002644	XP_033136498.1, XP_009112679.1	g13833
OG0002644	XP_009137763.1	g23576
OG0002645	XP_009138841.1	g11185, g18831
OG0002647	XP_009131635.1, XP_009126242.1, XP_009102087.1	g7802
OG0002649	XP_009146938.1, XP_009123387.1, XP_009135060.1	g13037, g12404
OG0002650	XP_009123335.1, XP_009146930.1, XP_009135052.1	g13044
OG0002651	XP_009146696.1, XP_018511823.1	g12317, g7368
OG0002652	XP_009124680.2	g7260
OG0002652	XP_009146550.1	g7259
OG0002653	XP_009107346.1	g28101
OG0002653	XP_009135561.2	g12025
OG0002654	XP_009140398.1, XP_009133477.1	g22810
OG0002655	XP_009111783.1	g10370
OG0002656	XP_009135842.1	g6554
OG0002656	NP_001288823.1	g11770
OG0002657	XP_009148494.1	g47052
OG0002658	XP_009108947.1	g6593
OG0002658	XP_009145390.2	g11822, g13418
OG0002660	XP_009139744.1	g18119
OG0002660	XP_033130822.1	g45005
OG0002661	XP_009151268.1	g10179
OG0002662	XP_009134479.1, XP_033134028.1	g39513, g25421
OG0002663	XP_009118711.1	g26904
OG0002666	XP_018514483.1	g31236
OG0002666	XP_033133497.1, XP_033143862.1	g44057
OG0002667	XP_009113180.2	g41007
OG0002668	XP_018510480.2, XP_033134451.1, XP_033136607.1, XP_018510484.1, XP_009148462.2, XP_033128955.1, XP_009118189.2, XP_018515323.2	g31310
OG0002669	XP_009118173.2, XP_009148512.2	g27169
OG0002670	XP_009114154.1, XP_033128882.1	g10662
OG0002671	XP_009110560.1, XP_009118142.1, XP_009148692.1, XP_009148690.2	g31497
OG0002672	XP_009114228.2, XP_009101333.1	g10791, g31563
OG0002673	XP_009117843.1, XP_009110504.1, XP_009148900.1	g27296, g27295
OG0002674	XP_009149144.1	g31681
OG0002674	XP_009106560.1	g46457
OG0002675	XP_018508624.1	g44606
OG0002675	XP_009149182.1	g31698
OG0002677	XP_009101955.2, XP_009125879.1	g18380
OG0002679	XP_009109429.1, XP_009128894.2	g22750, g18302
OG0002680	XP_033142581.1, XP_009134121.1	g22819
OG0002681	XP_033144274.1, XP_033142460.1	g23076
OG0002682	XP_009108729.1, XP_009112399.1	g23085
OG0002683	XP_009115347.1	g23117
OG0002683	XP_009123232.1	g14285
OG0002685	XP_009117035.2	g53184
OG0002685	XP_009125229.1	g23220
OG0002686	XP_009138211.2, XP_033143154.1, XP_009138206.2, XP_033144171.1	g18177, g18178, g18175, g18176, g18169, g18172, g18180, g18171, g18174
OG0002687	XP_009102314.1, XP_009138242.1	g23153
OG0002688	XP_009117085.1	g38343
OG0002688	XP_009138047.1	g23298
OG0002690	XP_009109817.2, XP_009109821.2	g27623
OG0002692	XP_033139434.1	g9342, g52366, g30686
OG0002695	XP_033148219.1, XP_009134998.2	g7564
OG0002696	XP_018509104.2	g22785
OG0002699	XP_009132583.1, XP_009107059.1, XP_009132581.1, XP_009107033.1	g1314
OG0002700	XP_033138469.1	g41181, g41197, g11665
OG0002705	XP_009143267.2	g23646
OG0002707	XP_009136307.1, XP_009112386.1	g13706
OG0002707	XP_009136308.2	g14198
OG0002708	XP_033141637.1	g45676
OG0002708	XP_009147417.1	g7925
OG0002710	NP_001288818.1, XP_009125845.1	g29412, g45584
OG0002710	XP_009121890.1	g5332
OG0002711	XP_009112143.1	g216
OG0002713	XP_009122482.1	g5485
OG0002714	XP_009136476.1, XP_009125697.1	g18597
OG0002715	XP_009133887.2	g37802
OG0002715	XP_009148083.1	g40095
OG0002716	XP_009103616.2, XP_009140817.1	g13631
OG0002717	XP_009118574.1	g30954
OG0002718	XP_009119289.1	g30875
OG0002719	XP_009117333.1	g39714
OG0002720	XP_009137530.1, XP_009109203.1	g23761
OG0002721	XP_009114049.1	g36243
OG0002722	XP_033147283.1, XP_033135271.1, XP_033148556.1, XP_033143923.1	g28133, g28132, g28131, g29183
OG0002724	XP_009143705.1	g51497
OG0002725	XP_009104370.1, XP_009116893.1	g1775, g1320
OG0002726	XP_033140484.1, XP_009151062.1	g593, g18563
OG0002728	XP_009120602.1	g28840
OG0002729	XP_009131933.1, XP_009120541.1	g854
OG0002730	XP_009148406.1	g24508
OG0002731	XP_009120114.1	g1042
OG0002731	XP_009142444.1	g23690
OG0002732	XP_009151884.1, XP_009149757.2	g2635
OG0002733	XP_009122365.1	g45475
OG0002733	XP_009151343.1	g370
OG0002735	XP_009141881.2, XP_009133428.1, XP_009143227.1	g51466
OG0002736	XP_009130851.1	g5653
OG0002736	XP_009122673.1, XP_009135128.1	g12360
OG0002737	XP_009125512.1	g13485
OG0002737	XP_009125513.1	g5721
OG0002738	XP_009144326.1, XP_009137777.1	g23564
OG0002739	XP_009132200.3, XP_033142360.1, XP_009125434.2	g5802
OG0002740	XP_009146970.1, XP_009125404.1	g7525, g13009
OG0002741	XP_009117744.1	g27351
OG0002742	XP_009121125.1	g13734
OG0002743	XP_009137648.1, XP_009143243.1	g23650
OG0002743	XP_009127083.1, XP_009132438.1	g28479
OG0002744	XP_009106913.1, XP_009107079.2	g27988
OG0002745	XP_009146322.1	g13225
OG0002746	XP_009146277.1	g7108
OG0002746	XP_009144791.1	g36608
OG0002747	XP_009123310.1	g23250, g11464
OG0002748	XP_009138265.1, XP_009109243.1, XP_009137462.1	g47515, g23827
OG0002749	XP_033132442.1, XP_009139597.1	g24608
OG0002750	NP_001288830.1, XP_009105177.1	g18055
OG0002751	XP_009136685.1, XP_009147461.1	g47094
OG0002752	XP_009145466.1	g6636
OG0002753	XP_009105216.1	g44975
OG0002754	XP_018513588.2	g24408
OG0002754	XP_009114660.1, XP_009146068.1	g7001
OG0002755	XP_009106023.1	g46080
OG0002756	XP_009118025.1, XP_009148545.1	g49865, g31434
OG0002757	XP_009129299.1	g23528
OG0002758	XP_009129033.1	g47690
OG0002759	XP_009138687.1	g28238
OG0002759	XP_009112913.1	g40802
OG0002760	XP_009139992.2	g16812
OG0002761	XP_009105655.2	g44723
OG0002761	XP_009103119.1	g27574
OG0002762	XP_009138478.1	g22866
OG0002762	XP_009117282.1	g38429
OG0002763	XP_009135728.1	g11880
OG0002764	XP_009144890.1, XP_009145502.1	g36516
OG0002766	XP_009102442.1	g24796
OG0002767	XP_009133032.1	g38008
OG0002768	XP_009131523.1, XP_009123729.1, XP_033133277.1, XP_009108355.2	g17487, g24206
OG0002769	XP_009144520.1, XP_009144529.1	g17553
OG0002770	XP_009101423.2	g10867
OG0002771	XP_009101772.2	g2584
OG0002772	XP_009141702.1, XP_018514348.1	g51685
OG0002772	XP_009103901.1	g2314
OG0002773	XP_009136044.2	g17288
OG0002774	XP_009113889.2	g24081
OG0002774	XP_009133320.1	g24080
OG0002775	XP_033137828.1	g29293
OG0002776	XP_009142535.1	g37730
OG0002776	XP_009116918.2	g1757
OG0002777	XP_009133690.1, XP_009116713.1, XP_009138843.1	g37570
OG0002778	XP_009142931.1	g38212, g37500
OG0002779	XP_009133448.1	g51945
OG0002779	XP_018510027.1	g2148
OG0002780	XP_009103947.1	g11285
OG0002781	XP_009146388.1	g7169
OG0002782	XP_009116031.3, XP_033145904.1	g19199
OG0002784	XP_009136167.1	g13572
OG0002784	XP_009124254.1	g6356
OG0002786	XP_009102227.1, XP_033146356.1, XP_009150722.1, XP_009112557.1	g5994
OG0002787	XP_009119350.2, XP_009118684.1	g50865
OG0002788	XP_009101297.1	g1508
OG0002789	XP_009137853.1	g17005
OG0002790	XP_009141804.2	g38126
OG0002790	XP_009141805.1, XP_009133363.1	g51771
OG0002791	XP_009150026.2, XP_009109502.1, XP_009140277.1	g22683
OG0002792	XP_009134131.1	g40245
OG0002793	XP_009105842.2, XP_009104891.1	g44634
OG0002795	XP_009151162.1, XP_009111720.1	g10117, g4826
OG0002796	XP_018512998.1	g7710
OG0002797	XP_009133635.2, XP_009142961.1, XP_009104224.1	g37522, g52132
OG0002798	XP_033142841.1, XP_033142840.1, XP_009133612.1, XP_009133607.1	g37505
OG0002799	XP_009114296.1, XP_009128942.1	g40686
OG0002801	XP_009147296.1	g7724
OG0002802	XP_009111932.1	g7722
OG0002802	XP_009134806.1	g12836
OG0002803	XP_009129647.1, XP_009134876.1, XP_009120923.1	g12923
OG0002804	XP_009124936.1	g12500
OG0002805	XP_009134452.1, XP_009111324.1	g39535
OG0002807	XP_009135507.1	g6985
OG0002807	XP_009146394.1	g47138
OG0002808	XP_009112621.1, XP_009145879.1, XP_009135585.1	g11999, g6865
OG0002810	XP_033146653.1	g47048
OG0002811	XP_009148786.1	g49868
OG0002812	XP_009113184.1	g44139
OG0002813	XP_009148482.1, XP_009110723.1	g31317, g27156
OG0002814	XP_033136604.1	g31325
OG0002815	XP_009112702.1, XP_009113054.1	g40886, g31374
OG0002817	XP_009149176.1	g31693
OG0002818	XP_018512273.2, XP_009105932.1	g44599, g46011
OG0002818	XP_033134650.1	g50004
OG0002819	XP_009105761.2	g45889
OG0002820	XP_018509447.1, XP_018513022.1	g13604
OG0002821	XP_009112811.1, XP_009112894.1	g40822
OG0002822	XP_009107309.1	g36385
OG0002823	XP_009139351.1, XP_009138466.1, XP_009139287.1	g22874
OG0002824	XP_009101263.2	g16705
OG0002826	XP_009126053.1, XP_009138081.2	g16922, g23274
OG0002827	XP_009120274.1	g23160
OG0002828	XP_009126691.1	g51026
OG0002833	XP_009112644.1	g5926
OG0002833	XP_018509452.1	g23441, g47729
OG0002835	XP_009151844.2, XP_033140732.1	g16489
OG0002836	XP_033144047.1	g47929
OG0002837	XP_009119857.1, XP_009132498.1, XP_033141806.1, XP_009144044.1	g28408
OG0002839	XP_033128457.1, XP_033143695.1, XP_033134850.1	g2993
OG0002844	XP_009118673.1	g25042, g25065
OG0002845	XP_033138426.1	g28985
OG0002846	XP_033143146.1	g29325
