Orthogroup	Brassica_rapa	Rorippa_islandica
OG0001763	XP_009107527.1	Roisl.0210s1454.1.p
OG0001764	XP_009147304.1	Roisl.0016s0227.1.p
OG0001765	XP_009131539.1	Roisl.0210s1341.1.p
OG0001765	XP_009134709.1, XP_009118581.1, XP_009147323.1	Roisl.0016s0209.1.p
OG0001766	XP_009121491.1, XP_009126107.1	Roisl.0210s1333.1.p
OG0001766	XP_033139553.1, XP_033139552.1, XP_033143169.1	Roisl.0210s1332.1.p
OG0001767	XP_009148463.1	Roisl.0021s0212.1.p
OG0001767	XP_033128948.1	Roisl.0021s0221.1.p
OG0001768	XP_009105698.2, XP_009127786.1	Roisl.0019s0504.1.p
OG0001768	XP_009126013.1	Roisl.0210s1189.1.p
OG0001769	XP_009124046.1	Roisl.0016s0042.1.p
OG0001769	XP_009131402.1, XP_009121671.1	Roisl.0210s1139.1.p
OG0001770	XP_009128410.1, XP_009106734.1	Roisl.0115s0099.1.p
OG0001770	XP_009125966.1	Roisl.0210s1121.1.p
OG0001771	XP_009102910.1, XP_033130398.1	Roisl.0082s0429.1.p
OG0001771	XP_009102661.3, XP_009114970.1	Roisl.0213s0440.1.p
OG0001772	XP_009125292.1, XP_009131169.1	Roisl.0210s0772.1.p
OG0001772	XP_009150651.1	Roisl.0024s0458.1.p
OG0001773	XP_009125301.1	Roisl.0210s0760.1.p
OG0001774	XP_009131026.1	Roisl.0210s0544.1.p
OG0001774	XP_009111971.1, XP_009136427.1	Roisl.0080s0159.1.p
OG0001775	XP_009122323.1	Roisl.0210s0504.1.p
OG0001775	XP_009136493.1	Roisl.0080s0094.1.p
OG0001776	XP_009119568.1	Roisl.0210s0263.1.p
OG0001776	XP_009144538.1	Roisl.0082s0381.1.p
OG0001777	XP_033135888.1	Roisl.0091s1028.1.p
OG0001777	XP_009125053.2	Roisl.0082s0696.1.p
OG0001778	XP_033145174.1	Roisl.0082s0727.1.p
OG0001778	XP_009110946.1, XP_009118962.1	Roisl.0091s1015.1.p
OG0001779	XP_009144362.1	Roisl.0082s0750.1.p
OG0001779	XP_009118445.1	Roisl.0091s1008.1.p
OG0001780	XP_009119003.1	Roisl.0091s0970.1.p
OG0001780	XP_009141046.1, XP_009144322.1	Roisl.0033s0033.1.p
OG0001781	XP_009119085.1	Roisl.0091s0886.1.p
OG0001781	XP_009141141.1, XP_009144238.1	Roisl.0033s0117.1.p
OG0001782	XP_009132917.2, XP_009143882.1, XP_009135882.1	Roisl.0028s0714.1.p, Roisl.0028s0715.1.p
OG0001783	XP_009113941.1	Roisl.0012s0228.1.p
OG0001783	XP_009111135.1	Roisl.0210s0325.1.p
OG0001784	XP_009139031.1	Roisl.0022s0168.1.p
OG0001784	XP_009132603.1, XP_009127298.1	Roisl.0189s0227.1.p
OG0001785	XP_009132571.1, XP_033137677.1	Roisl.0189s0167.1.p
OG0001785	XP_009139264.1	Roisl.0022s0193.1.p
OG0001786	XP_033144398.1, XP_033143021.1	Roisl.0022s0195.1.p
OG0001787	NP_001288844.1	Roisl.0214s0273.1.p
OG0001787	XP_009107463.1, XP_009129553.1	Roisl.0179s0010.1.p
OG0001788	XP_033130163.1, XP_033130162.1, XP_033135959.1	Roisl.0214s0258.1.p
OG0001789	XP_009109591.2, XP_018510350.2	Roisl.0213s0299.1.p
OG0001789	XP_009143751.1	Roisl.0028s0875.1.p
OG0001790	XP_033134689.1, XP_009130252.1, XP_033128340.1	Roisl.0024s0222.1.p
OG0001790	XP_009150186.1	Roisl.0046s0777.1.p
OG0001791	XP_009121192.1, XP_009146686.1, XP_009146687.1	Roisl.0074s0829.1.p
OG0001792	XP_033136608.1, XP_009112037.2	Roisl.0024s0159.1.p, Roisl.0024s0158.1.p
OG0001793	XP_018509656.1, XP_009109828.1	Roisl.0015s0090.1.p
OG0001793	XP_009113784.1	Roisl.0015s0091.1.p
OG0001795	XP_009151120.1	Roisl.0046s0286.1.p
OG0001795	XP_033142136.1	Roisl.0115s0418.1.p
OG0001796	XP_009123296.1	Roisl.0037s0042.1.p
OG0001796	XP_009131861.1, XP_009126528.1	Roisl.0210s1874.1.p
OG0001797	XP_009126529.1, XP_009123303.1	Roisl.0037s0028.1.p
OG0001797	XP_009120675.1, XP_009131865.2	Roisl.0210s1882.1.p
OG0001798	XP_009150080.1	Roisl.0020s0157.1.p
OG0001798	XP_009126605.1, XP_009120574.1	Roisl.0080s0228.1.p
OG0001800	XP_009149962.1	Roisl.0209s0388.1.p
OG0001800	XP_009126716.1	Roisl.0080s0371.1.p
OG0001801	XP_033142006.1, XP_033144536.1, XP_033138062.1, XP_033141751.1	Roisl.0080s0580.1.p
OG0001802	XP_009126977.1, XP_009121283.2	Roisl.0080s0743.1.p
OG0001802	XP_009142532.2	Roisl.0022s0321.1.p
OG0001803	XP_009146683.2, XP_009121170.1	Roisl.0074s0827.1.p
OG0001803	XP_009130944.1	Roisl.0042s0015.1.p
OG0001804	XP_009130892.1, XP_009122164.1	Roisl.0042s0102.1.p
OG0001804	XP_009102222.1	Roisl.0066s0023.1.p
OG0001805	XP_009122791.2, XP_009146828.1	Roisl.0074s0961.1.p
OG0001805	XP_009122588.1	Roisl.0030s0179.1.p
OG0001806	XP_009123014.1	Roisl.0074s0998.1.p
OG0001806	XP_033145073.1	Roisl.0030s0145.1.p
OG0001807	XP_033145109.1, XP_009125545.1	Roisl.0030s0141.1.p
OG0001807	XP_009146852.1	Roisl.0074s0999.1.p
OG0001808	XP_009125485.1, XP_009122728.1	Roisl.0030s0038.1.p
OG0001809	XP_009151975.1, XP_009111567.1	Roisl.0011s0524.1.p
OG0001809	XP_009125158.1	Roisl.0009s0154.1.p
OG0001811	XP_018508065.1	Roisl.0007s0416.1.p
OG0001811	XP_009104569.1	Roisl.0004s0049.1.p
OG0001812	XP_009104647.2, XP_033130156.1	Roisl.0004s0202.1.p
OG0001812	XP_009106066.1, XP_033130982.1, XP_009149607.2	Roisl.0049s0038.1.p
OG0001813	XP_009149596.1	Roisl.0007s0006.1.p
OG0001814	XP_009106341.1	Roisl.0004s0220.1.p
OG0001814	XP_009110197.1, XP_009149588.1	Roisl.0007s0020.1.p
OG0001815	XP_009106260.1	Roisl.0004s0284.1.p
OG0001815	XP_033128788.1, XP_018511350.2	Roisl.0007s0101.1.p
OG0001818	XP_009110277.1, XP_009149419.1	Roisl.0007s0192.1.p
OG0001819	XP_009150786.1, XP_009121103.1	Roisl.0066s0188.1.p
OG0001819	XP_009101231.1, XP_009138366.1	Roisl.0001s0169.1.p
OG0001820	XP_009109259.1, XP_009148123.2	Roisl.0001s0226.1.p
OG0001820	XP_018511037.1, XP_009121069.1	Roisl.0066s0137.1.p
OG0001821	XP_009141590.1, XP_009133082.1	Roisl.0054s0019.1.p
OG0001821	XP_009115990.1, XP_009125240.1	Roisl.0046s1267.1.p
OG0001822	XP_009152050.2, XP_009129499.1	Roisl.0011s0426.1.p
OG0001822	XP_009141610.1	Roisl.0017s0016.1.p
OG0001824	XP_009105959.1, XP_033139311.1, XP_009104833.2	Roisl.0019s0187.1.p
OG0001825	XP_009119990.1	Roisl.0009s0159.1.p
OG0001826	XP_009106103.2	Roisl.0004s0467.1.p
OG0001826	XP_033128122.1	Roisl.0007s0263.1.p
OG0001827	XP_009137831.1, XP_009128967.1	Roisl.0044s0066.1.p
OG0001827	XP_009112635.1	Roisl.0214s0385.1.p
OG0001828	XP_009115410.1	Roisl.0191s0336.1.p
OG0001828	NP_001288866.1, XP_018512388.1	Roisl.0019s0584.1.p
OG0001829	XP_009131656.1	Roisl.0091s0480.1.p
OG0001829	XP_033140789.1, XP_009101540.1	Roisl.0005s0201.1.p
OG0001830	XP_018510416.1, XP_009101598.1	Roisl.0005s0305.1.p
OG0001830	XP_009136988.1, XP_033133291.1	Roisl.0091s0394.1.p
OG0001831	XP_009118443.1	Roisl.0091s1010.1.p
OG0001832	XP_018514902.1, XP_033132398.1, XP_009147743.1	Roisl.0006s0225.1.p
OG0001833	XP_009114947.1, XP_009146167.1	Roisl.0074s0332.1.p
OG0001833	XP_009107145.1	Roisl.0006s0290.1.p
OG0001834	XP_009132984.1, XP_033147652.1	Roisl.0028s0841.1.p
OG0001834	XP_018511212.1, XP_009127238.1	Roisl.0031s0005.1.p, Roisl.0031s0004.1.p
OG0001835	XP_018511900.2, XP_009125981.2	Roisl.0091s0531.1.p
OG0001836	XP_009141010.1	Roisl.0082s0751.1.p
OG0001836	XP_009110952.1	Roisl.0091s1007.1.p
OG0001837	XP_009117148.1, XP_009108756.1, XP_009136272.1, XP_033130559.1	Roisl.0045s0061.1.p
OG0001838	XP_009121160.1	Roisl.0066s0232.1.p
OG0001838	XP_009108618.1, XP_009103898.1	Roisl.0001s0139.1.p
OG0001839	XP_009137390.1	Roisl.0008s0189.1.p
OG0001839	XP_009108200.1	Roisl.0213s0628.1.p
OG0001840	XP_009137291.1, XP_009136287.1	Roisl.0091s0031.1.p
OG0001840	XP_009134250.1	Roisl.0213s0526.1.p
OG0001841	XP_009108446.1	Roisl.0091s0359.1.p
OG0001842	XP_009119564.1	Roisl.0210s0264.1.p
OG0001842	XP_033129253.1	Roisl.0091s0255.1.p
OG0001843	XP_009114481.1	Roisl.0082s0302.1.p
OG0001843	XP_009108514.1	Roisl.0091s0222.1.p
OG0001844	XP_009114518.1	Roisl.0082s0260.1.p
OG0001844	XP_009134899.1, XP_009108494.1	Roisl.0091s0174.1.p
OG0001845	XP_009118391.1, XP_009148073.1	Roisl.0091s1094.1.p
OG0001846	XP_009116419.1	Roisl.0026s0185.1.p
OG0001846	XP_009140695.1	Roisl.0028s0485.1.p
OG0001847	XP_009138712.1	Roisl.0067s0053.1.p
OG0001847	XP_018508246.2, XP_009116945.1	Roisl.0018s0420.1.p
OG0001848	XP_009116888.1, XP_009104363.1	Roisl.0018s0340.1.p
OG0001848	XP_009142462.1	Roisl.0035s0039.1.p
OG0001849	XP_009138823.1	Roisl.0018s0186.1.p
OG0001849	XP_009104096.2, XP_009133708.2	Roisl.0028s0068.1.p
OG0001850	XP_009138848.1	Roisl.0018s0143.1.p
OG0001850	XP_009142283.1, XP_009143068.3	Roisl.0028s0105.1.p
OG0001851	XP_009116696.1, XP_009138865.1	Roisl.0018s0130.1.p
OG0001852	XP_009138874.1	Roisl.0018s0120.1.p
OG0001852	XP_033144394.1, XP_009142257.1	Roisl.0028s0155.1.p
OG0001853	XP_009133662.1	Roisl.0028s0171.1.p
OG0001853	XP_009116678.2, XP_009138888.1, XP_009104239.1	Roisl.0018s0110.1.p
OG0001854	XP_009127573.2	Roisl.0018s0083.1.p
OG0001854	XP_009138901.1	Roisl.0018s0081.1.p
OG0001855	XP_009141952.1	Roisl.0028s0528.1.p
OG0001855	XP_009139087.1	Roisl.0046s1670.1.p
OG0001856	XP_009143285.1	Roisl.0017s0355.1.p
OG0001856	XP_009139150.1	Roisl.0046s1551.1.p
OG0001857	XP_009139214.2, XP_009139211.2	Roisl.0046s1461.1.p, Roisl.0046s1462.1.p
OG0001858	XP_009116026.1	Roisl.0046s1308.1.p
OG0001858	XP_009141627.1	Roisl.0017s0046.1.p
OG0001859	XP_009143525.1	Roisl.0001s0275.1.p
OG0001859	XP_009112486.1	Roisl.0066s0074.1.p
OG0001860	XP_009109342.1, XP_033146460.1, XP_033144470.1	Roisl.0001s0300.1.p
OG0001860	XP_009112549.2	Roisl.0066s0040.1.p
OG0001861	XP_009105164.2	Roisl.0209s0032.1.p
OG0001861	XP_033139428.1	Roisl.0209s0037.1.p
OG0001862	XP_009134274.1, XP_009134275.1	Roisl.0209s0250.1.p, Roisl.0082s0149.1.p
OG0001863	XP_009144511.1	Roisl.0082s0213.1.p
OG0001863	XP_009114560.1	Roisl.0082s0212.1.p
OG0001864	XP_033145363.1, XP_009117324.1	Roisl.0046s0552.1.p
OG0001864	XP_009109394.1	Roisl.0001s0411.1.p
OG0001865	XP_033144721.1, XP_033144725.1, XP_033144726.1	Roisl.0184s0023.1.p
OG0001866	XP_009110801.1	Roisl.0021s0018.1.p
OG0001866	XP_009146999.1	Roisl.0079s0215.1.p
OG0001867	XP_009133542.1, XP_009133541.1	Roisl.0028s0361.1.p, Roisl.0028s0362.1.p
OG0001869	XP_009103314.2, XP_009127091.2, XP_033132908.1	Roisl.0007s0036.1.p
OG0001870	XP_033146066.1	Roisl.0028s0456.1.p
OG0001871	XP_009147340.2, XP_018510486.2, XP_009134686.1	Roisl.0016s0191.1.p
OG0001872	XP_009129642.1	Roisl.0039s0158.1.p
OG0001872	XP_009106619.1, XP_009102598.1	Roisl.0053s0326.1.p
OG0001873	XP_009110567.2, XP_009117947.1	Roisl.0007s0756.1.p
OG0001873	XP_009129097.2	Roisl.0011s0215.1.p
OG0001874	XP_009125785.1	Roisl.0012s0374.1.p
OG0001874	XP_009117043.1	Roisl.0189s0082.1.p
OG0001874	XP_009108865.2	Roisl.0003s0281.1.p
OG0001875	XP_009125108.1, XP_009139909.1	Roisl.0009s0317.1.p
OG0001875	XP_009111778.1, XP_009151811.1	Roisl.0188s0076.1.p
OG0001876	XP_009139902.1	Roisl.0070s0007.1.p
OG0001876	XP_009124504.1	Roisl.0070s0008.1.p
OG0001877	XP_033146671.1	Roisl.0046s0023.1.p
OG0001877	XP_009127514.1, XP_009105249.1	Roisl.0024s0088.1.p
OG0001878	XP_009111488.1	Roisl.0191s0471.1.p
OG0001878	XP_033134756.1, XP_009119711.1	Roisl.0210s0076.1.p
OG0001879	XP_033128851.1	Roisl.0021s0137.1.p
OG0001879	XP_009139729.2, XP_009137566.2	Roisl.0022s0251.1.p
OG0001880	XP_009148415.2, XP_018510513.2	Roisl.0021s0144.1.p
OG0001880	XP_009103973.1	Roisl.0214s0563.1.p
OG0001881	XP_009118157.1, XP_009148622.1	Roisl.0021s0290.1.p
OG0001881	XP_009123393.1, XP_009113083.1	Roisl.0209s0564.1.p
OG0001882	XP_009110677.2, XP_009118117.2	Roisl.0021s0295.1.p
OG0001882	XP_009113077.2	Roisl.0209s0556.1.p
OG0001883	XP_009113024.1, XP_009112979.1	Roisl.0010s0125.1.p
OG0001883	XP_009148572.1	Roisl.0021s0362.1.p
OG0001884	XP_009152127.1, XP_009129042.1	Roisl.0011s0323.1.p
OG0001884	XP_009118015.1, XP_033129156.1	Roisl.0021s0420.1.p
OG0001885	XP_009101256.1, XP_009114196.1	Roisl.0011s0146.1.p
OG0001885	XP_033133805.1, XP_009117896.1	Roisl.0007s0694.1.p
OG0001886	XP_009148918.1	Roisl.0007s0603.1.p
OG0001886	XP_009147933.1, XP_009107330.1	Roisl.0013s0062.1.p
OG0001887	XP_033129228.1, XP_009148998.1	Roisl.0007s0555.1.p
OG0001887	XP_009149003.1	Roisl.0007s0554.1.p
OG0001888	XP_009149177.2, XP_009110415.1, XP_009117710.2	Roisl.0007s0399.1.p
OG0001889	XP_009117659.1	Roisl.0007s0383.1.p
OG0001889	XP_009105922.1, XP_009127943.1	Roisl.0019s0232.1.p
OG0001890	XP_009101261.1	Roisl.0011s0140.1.p
OG0001890	XP_009114199.1	Roisl.0011s0143.1.p
OG0001891	XP_009105687.2	Roisl.0019s0524.1.p
OG0001891	XP_009103133.1, XP_033134496.1	Roisl.0191s0268.1.p
OG0001892	XP_009109413.1	Roisl.0001s0431.1.p
OG0001892	XP_009131731.1, XP_033133063.1, XP_033133065.1	Roisl.0001s0430.1.p
OG0001893	XP_033146661.1, XP_033146668.1	Roisl.0023s0106.1.p
OG0001893	XP_009108874.1, XP_018509214.1	Roisl.0003s0262.1.p
OG0001894	XP_009136258.1, XP_009123222.1	Roisl.0047s0035.1.p
OG0001894	XP_009138219.1	Roisl.0008s0335.1.p
OG0001895	XP_009127051.2	Roisl.0003s0149.1.p
OG0001895	XP_018509094.1	Roisl.0018s0227.1.p
OG0001895	XP_009117126.2, XP_009140555.1	Roisl.0051s0017.1.p
OG0001896	XP_009140551.1, XP_009117132.1	Roisl.0051s0015.1.p
OG0001896	XP_009127076.1	Roisl.0003s0147.1.p
OG0001897	XP_009127424.1	Roisl.0003s0104.1.p
OG0001897	XP_018509992.2, XP_009140523.1	Roisl.0021s0619.1.p
OG0001898	XP_033134295.1	Roisl.0083s0024.1.p, Roisl.0087s0002.1.p, Roisl.0194s0075.1.p, Roisl.0188s0134.1.p, Roisl.0208s0001.1.p, Roisl.0194s0074.1.p
OG0001899	XP_018508425.1, XP_033140020.1	Roisl.0063s0012.1.p
OG0001900	XP_009125118.1	Roisl.0009s0287.1.p
OG0001900	XP_009129354.1	Roisl.0188s0105.1.p
OG0001901	XP_018512138.1	Roisl.0210s1648.1.p
OG0001901	XP_018510746.1, XP_018512105.1, XP_018512122.1	Roisl.0210s0576.1.p
OG0001902	XP_033131507.1, XP_018508615.1	Roisl.0214s0123.1.p
OG0001902	XP_018513086.1, XP_018512582.1	Roisl.0210s1986.1.p
OG0001910	XP_033144457.1	Roisl.0003s0067.1.p
OG0001910	XP_033136659.1, XP_009140510.2	Roisl.0021s0583.1.p
OG0001911	XP_009140519.1	Roisl.0021s0594.1.p
OG0001911	XP_009137960.1	Roisl.0003s0081.1.p
OG0001912	XP_009126111.1	Roisl.0210s1338.1.p
OG0001912	XP_009118514.1, XP_009147326.1	Roisl.0016s0204.1.p
OG0001913	XP_009145744.1	Roisl.0016s0381.1.p
OG0001913	XP_033147423.1	Roisl.0079s0136.1.p
OG0001914	XP_009117930.1	Roisl.0016s0162.1.p
OG0001914	XP_009126069.2, XP_009122871.1	Roisl.0210s1279.1.p
OG0001915	XP_018512209.2, XP_009121762.2, XP_009131345.2	Roisl.0210s1044.1.p
OG0001916	XP_009131737.1	Roisl.0210s1660.1.p
OG0001916	XP_009121860.1, XP_009131278.1	Roisl.0210s0955.1.p
OG0001917	XP_009121880.1	Roisl.0210s0935.1.p
OG0001917	XP_009131738.1, XP_009126366.2, XP_009120880.2	Roisl.0210s1670.1.p
OG0001918	XP_033140419.1, XP_009151021.1	Roisl.0046s0174.1.p
OG0001918	XP_009125281.1, XP_033137628.1	Roisl.0210s0789.1.p
OG0001919	XP_009111644.1, XP_033128868.1	Roisl.0046s0165.1.p
OG0001919	XP_033137631.1	Roisl.0210s0779.1.p
OG0001920	XP_009130498.1, XP_009150600.1, XP_009112172.1	Roisl.0024s0411.1.p
OG0001921	XP_033142799.1, XP_009125334.1, XP_009122099.1	Roisl.0091s0533.1.p, Roisl.0080s0814.1.p, Roisl.0052s0020.1.p
OG0001922	XP_009140390.1	Roisl.0046s0556.1.p
OG0001922	XP_009122532.1, XP_009125355.1	Roisl.0210s0678.1.p
OG0001923	XP_009122517.1	Roisl.0210s0650.1.p
OG0001923	XP_009150498.1, XP_009130446.1	Roisl.0024s0306.1.p
OG0001924	XP_009122403.1, XP_009131020.2	Roisl.0210s0528.1.p
OG0001924	XP_009136443.1	Roisl.0080s0136.1.p
OG0001925	XP_009141081.1	Roisl.0082s0773.1.p
OG0001925	XP_009144288.2	Roisl.0033s0080.1.p
OG0001926	XP_033145612.1	Roisl.0033s0085.1.p
OG0001926	XP_009118483.1	Roisl.0091s0941.1.p
OG0001927	XP_009111004.1, XP_009119082.1	Roisl.0091s0889.1.p
OG0001927	XP_009132772.1	Roisl.0033s0125.1.p
OG0001929	XP_009111084.1	Roisl.0091s0714.1.p
OG0001929	XP_009143894.1, XP_009141289.1, XP_009132912.1	Roisl.0028s0705.1.p
OG0001930	XP_009119355.2, XP_009118686.2, XP_009111138.1	Roisl.0210s0320.1.p
OG0001931	XP_009139275.1, XP_009109205.1	Roisl.0022s0197.1.p
OG0001931	XP_009132562.1	Roisl.0189s0162.1.p, Roisl.0189s0161.1.p
OG0001932	XP_009142419.1	Roisl.0035s0092.1.p
OG0001932	XP_033146350.1	Roisl.0035s0093.1.p
OG0001933	XP_009102938.1, XP_009109759.1	Roisl.0213s0065.1.p
OG0001934	XP_009108141.1, XP_009115017.1	Roisl.0213s0381.1.p
OG0001934	XP_009143714.1	Roisl.0028s0917.1.p
OG0001935	XP_009151432.1, XP_009107967.1, XP_009114880.1	Roisl.0209s0175.1.p
OG0001936	XP_009143682.1	Roisl.0028s0951.1.p
OG0001936	XP_033148550.1, XP_009114874.1	Roisl.0209s0169.1.p
OG0001937	XP_009101674.1	Roisl.0046s0949.1.p
OG0001937	XP_009103439.2, XP_009112366.1	Roisl.0024s0541.1.p
OG0001938	XP_009116501.1, XP_009135424.1	Roisl.0080s0183.1.p
OG0001939	XP_009150900.1	Roisl.0210s2035.1.p
OG0001939	XP_009149792.1	Roisl.0046s0809.1.p
OG0001940	XP_009129963.1	Roisl.0046s0227.1.p
OG0001941	XP_009120819.1, XP_009131790.1	Roisl.0210s1757.1.p
OG0001941	XP_009126438.1	Roisl.0080s0380.1.p
OG0001942	XP_009149771.1	Roisl.0027s0090.1.p
OG0001942	XP_009126575.1	Roisl.0210s1952.1.p
OG0001943	XP_009120587.1	Roisl.0080s0218.1.p
OG0001943	XP_033141470.1	Roisl.0019s0078.1.p
OG0001944	XP_009131984.1, XP_009120475.1, XP_009126685.1	Roisl.0209s0342.1.p
OG0001945	XP_009103857.1	Roisl.0214s0580.1.p
OG0001945	XP_009113181.1	Roisl.0214s0550.1.p
OG0001946	XP_009120351.2	Roisl.0080s0451.1.p
OG0001946	XP_009122369.1, XP_009130978.1	Roisl.0210s0447.1.p
OG0001947	XP_009139558.1, XP_009121735.1	Roisl.0022s0233.1.p
OG0001948	XP_009120266.1	Roisl.0080s0553.1.p
OG0001948	XP_009137558.2, XP_033148011.1	Roisl.0022s0236.1.p
OG0001949	XP_018512561.2, XP_018511053.1	Roisl.0066s0250.1.p
OG0001950	XP_009140176.1	Roisl.0213s0840.1.p
OG0001951	XP_009142357.1, XP_009137598.1	Roisl.0022s0307.1.p
OG0001951	XP_009120126.1, XP_009132341.1	Roisl.0080s0714.1.p
OG0001952	XP_009120017.1	Roisl.0080s0847.1.p
OG0001952	XP_009137630.2, XP_009109155.1, XP_033128009.1	Roisl.0022s0367.1.p
OG0001953	XP_009119997.1, XP_009127074.1	Roisl.0080s0873.1.p
OG0001953	XP_009143182.1	Roisl.0022s0383.1.p
OG0001954	XP_009120759.1, XP_009135220.1, XP_009146627.1	Roisl.0074s0779.1.p
OG0001954	XP_009122312.1	Roisl.0210s0431.1.p
OG0001955	XP_009122266.1	Roisl.0042s0006.1.p
OG0001955	XP_009146676.1	Roisl.0074s0818.1.p
OG0001956	XP_009122561.1, XP_009130841.1	Roisl.0030s0209.1.p
OG0001957	XP_033147904.1	Roisl.0074s1035.1.p
OG0001957	XP_009130762.1	Roisl.0030s0073.1.p
OG0001958	XP_009130719.1, XP_009122716.1	Roisl.0030s0048.1.p
OG0001958	XP_009123173.1	Roisl.0079s0342.1.p
OG0001959	XP_033139781.1	Roisl.0034s0071.1.p
OG0001959	XP_009123548.1	Roisl.0003s0343.1.p
OG0001960	XP_009111569.1, XP_009129421.1, XP_009151968.1	Roisl.0028s0378.1.p, Roisl.0011s0533.1.p
OG0001960	XP_009125153.1	Roisl.0009s0166.1.p
OG0001961	XP_009148966.1	Roisl.0007s0559.1.p
OG0001961	XP_009104468.2, XP_009106738.2	Roisl.0115s0091.1.p
OG0001962	XP_033140937.1, XP_009104491.1	Roisl.0115s0132.1.p
OG0001962	XP_033129244.1	Roisl.0007s0536.1.p
OG0001962	XP_033130300.1	Roisl.0013s0233.1.p
OG0001963	XP_009149042.1	Roisl.0007s0531.1.p
OG0001963	XP_009106708.2, XP_033140663.1	Roisl.0115s0141.1.p
OG0001964	XP_009149063.1	Roisl.0007s0504.1.p
OG0001964	XP_009104524.1	Roisl.0115s0176.1.p
OG0001965	XP_009149574.1	Roisl.0007s0037.1.p
OG0001965	XP_009106323.1	Roisl.0004s0235.1.p
OG0001966	XP_033144792.1, XP_009151053.1	Roisl.0001s0179.1.p
OG0001967	XP_009149535.1	Roisl.0007s0077.1.p
OG0001967	XP_009106286.1	Roisl.0004s0262.1.p
OG0001968	XP_018508790.2, XP_033132107.1	Roisl.0004s0304.1.p
OG0001968	XP_009106246.1	Roisl.0004s0303.1.p
OG0001969	XP_009121142.1	Roisl.0066s0216.1.p
OG0001969	XP_033132910.1, XP_033133280.1	Roisl.0001s0142.1.p
OG0001970	XP_009121107.1	Roisl.0066s0189.1.p
OG0001970	XP_033132554.1, XP_009139882.1, XP_009138365.3	Roisl.0001s0168.1.p
OG0001971	XP_009150770.1, XP_009121088.1	Roisl.0066s0162.1.p
OG0001971	XP_033133087.1, XP_009149485.2	Roisl.0001s0204.1.p
OG0001972	XP_033135030.1	Roisl.0066s0146.1.p
OG0001972	XP_009148721.2	Roisl.0001s0217.1.p
OG0001973	XP_009117268.1, XP_009146422.1	Roisl.0074s0576.1.p
OG0001973	XP_009147534.1	Roisl.0006s0496.1.p
OG0001974	XP_009135415.1, XP_009146301.1	Roisl.0074s0471.1.p
OG0001974	XP_009144780.1	Roisl.0006s0401.1.p
OG0001975	XP_009115997.1, XP_009125246.1, XP_009148757.1	Roisl.0046s1275.1.p, Roisl.0054s0033.1.p
OG0001977	XP_018513670.1	Roisl.0075s0070.1.p
OG0001977	XP_033137785.1, XP_033133915.1	Roisl.0053s0272.1.p
OG0001978	XP_009134668.1, XP_009117990.1, XP_009147355.1	Roisl.0016s0166.1.p
OG0001979	XP_009107784.1	Roisl.0075s0207.1.p
OG0001979	XP_033144236.1, XP_009108345.1, XP_033147298.1	Roisl.0053s0399.1.p
OG0001980	XP_009148417.1	Roisl.0002s0268.1.p
OG0001980	XP_009135833.2, XP_033147281.1	Roisl.0115s0642.1.p
OG0001981	XP_009136729.1, XP_033131286.1, XP_033143199.1, XP_009114642.1	Roisl.0074s0282.1.p
OG0001982	XP_009103978.1, XP_009116307.1	Roisl.0046s1611.1.p
OG0001983	XP_033129346.1	Roisl.0209s0339.1.p
OG0001984	XP_009152031.1	Roisl.0011s0444.1.p
OG0001984	XP_018515006.1, XP_009148558.1	Roisl.0021s0381.1.p
OG0001985	XP_009114402.1	Roisl.0005s0292.1.p
OG0001985	XP_018513203.1, XP_009132490.1	Roisl.0091s0404.1.p
OG0001986	XP_009107281.1, XP_009147885.2	Roisl.0006s0035.1.p
OG0001986	XP_009145809.1	Roisl.0074s0006.1.p
OG0001987	XP_009147793.1, XP_009144932.1	Roisl.0006s0154.1.p
OG0001987	XP_009135698.1, XP_009145612.1	Roisl.0115s0385.1.p
OG0001988	XP_009107175.1	Roisl.0006s0215.1.p
OG0001988	XP_009145512.1, XP_018509736.2	Roisl.0115s0455.1.p
OG0001989	XP_009146168.1	Roisl.0074s0334.1.p
OG0001989	XP_009107143.1, XP_033129271.1	Roisl.0006s0288.1.p
OG0001991	XP_033145683.1, XP_009140193.1	Roisl.0009s0188.1.p
OG0001992	XP_009131125.3	Roisl.0091s0541.1.p
OG0001992	XP_009114329.1, XP_009101493.1	Roisl.0005s0115.1.p
OG0001993	XP_018510102.1	Roisl.0191s0638.1.p
OG0001993	XP_009119660.1	Roisl.0210s0139.1.p
OG0001994	XP_009136321.1	Roisl.0091s0028.1.p
OG0001995	XP_009137250.1	Roisl.0091s0091.1.p
OG0001995	XP_018513469.1	Roisl.0091s0090.1.p
OG0001996	XP_033142745.1, XP_009135444.1, XP_009108539.1	Roisl.0091s0131.1.p
OG0001997	XP_009114497.1	Roisl.0082s0276.1.p
OG0001997	NP_001288977.1	Roisl.0091s0203.1.p
OG0001998	XP_009116968.1	Roisl.0018s0437.1.p
OG0001998	XP_033146188.1, XP_033144136.1	Roisl.0067s0022.1.p
OG0001999	XP_009142338.1, XP_009143142.1	Roisl.0028s0036.1.p
OG0001999	XP_009138806.1	Roisl.0018s0211.1.p
OG0002000	XP_009133697.1, XP_009143100.1	Roisl.0028s0077.1.p
OG0002000	XP_009116735.1	Roisl.0018s0175.1.p
