Orthogroup	Brassica_rapa	Cardamine_hirsuta
OG0002827	XP_009120274.1	CARHR241790
OG0002827	XP_009136242.1	CARHR105250
OG0002828	XP_009126691.1	CARHR239620
OG0002829	XP_033141057.1, XP_009111357.1	CARHR250120, CARHR250150, CARHR250130
OG0002833	XP_009112644.1, XP_018509452.1	CARHR101110, CARHR101100, CARHR101090, CARHR164790
OG0002835	XP_009151841.1	CARHR151830
OG0002835	XP_009151844.2, XP_033140732.1	CARHR151780
OG0002836	XP_033144047.1	CARHR244020, CARHR244030
OG0002837	XP_009119857.1, XP_009132498.1, XP_033141806.1	CARHR266230
OG0002838	XP_033137956.1, XP_033137729.1	CARHR221560
OG0002839	XP_033128457.1, XP_033143695.1, XP_033134850.1	CARHR179970, CARHR150620
OG0002845	XP_033138426.1	CARHR195680
OG0002846	XP_009127042.1	CARHR074940
OG0002846	XP_033143146.1	CARHR199300
OG0002847	XP_009131369.2, XP_009121714.2, XP_009125955.2, XP_033135300.1, XP_009129739.1	CARHR199500
OG0002848	XP_009107906.1	CARHR219150
OG0002850	XP_009121968.1	CARHR201970
OG0002850	XP_033134491.1	CARHR188120
OG0002851	XP_018508572.2, XP_009125793.1	CARHR288960
OG0002852	XP_009111770.1, XP_009151164.1	CARHR186700
OG0002853	XP_009131056.2	CARHR204740
OG0002854	XP_009103578.2, XP_009140760.1	CARHR119470
OG0002855	XP_009118384.1	CARHR038390, CARHR008090, CARHR008080
OG0002855	XP_009140827.1	CARHR120520
OG0002856	XP_009119017.2, XP_009110971.1, XP_009118472.1	CARHR006560
OG0002857	XP_009118554.1	CARHR005630
OG0002857	XP_009132779.1, XP_009144217.2	CARHR124980
OG0002858	XP_009144004.1	CARHR126430
OG0002858	XP_009119208.1	CARHR004540
OG0002859	XP_009119200.1	CARHR004600
OG0002860	XP_009143930.1	CARHR126680
OG0002860	XP_009118620.1, XP_009111075.1	CARHR004250
OG0002861	XP_009143881.1	CARHR127240
OG0002861	XP_009118628.1, XP_033138316.1	CARHR003960
OG0002863	XP_009139407.1, XP_009139426.2	CARHR233150
OG0002864	XP_009113712.2	CARHR027510
OG0002865	XP_009145233.1, XP_009114968.1	CARHR031060
OG0002867	XP_009143658.1	CARHR129730
OG0002868	XP_009112205.1	CARHR279930
OG0002868	XP_009101448.1	CARHR158880
OG0002869	XP_009150662.1	CARHR279690
OG0002869	XP_009136515.1	CARHR158740
OG0002870	XP_009130268.1	CARHR278210
OG0002870	XP_009131085.1	CARHR204400
OG0002871	XP_033141651.1	CARHR277200
OG0002871	XP_018508152.1	CARHR157260
OG0002872	XP_009136512.1	CARHR275490
OG0002873	XP_033138587.1	CARHR118920
OG0002873	XP_009126507.2, XP_033138519.1, XP_033138515.1	CARHR191720
OG0002874	XP_009137611.1, XP_009142725.1	CARHR234340
OG0002875	XP_009127011.1	CARHR268650
OG0002875	XP_033133172.1	CARHR234320, CARHR204420
OG0002876	XP_009115709.2, XP_009128663.1, XP_009102397.1	CARHR285970, CARHR288020, CARHR159860, CARHR159870, CARHR036770
OG0002877	XP_009106822.1	CARHR048300
OG0002878	XP_009122928.1	CARHR208650
OG0002879	XP_009123043.1, XP_018514864.1	CARHR084730
OG0002880	XP_009140085.1	CARHR212980
OG0002880	XP_009125181.1	CARHR047400
OG0002881	XP_033140156.1, XP_033141196.1, XP_033141198.1, XP_009104450.1, XP_033132060.1	CARHR118380, CARHR177910, CARHR177890
OG0002882	XP_033141456.1, XP_033141455.1, NP_001288940.1	CARHR058570
OG0002883	XP_009149141.1, XP_033129692.1	CARHR017570
OG0002884	XP_009112204.1	CARHR279830
OG0002884	XP_009101260.1	CARHR158830
OG0002885	XP_033145114.1, XP_033147288.1, XP_033129422.1	CARHR156370
OG0002886	XP_009143564.1	CARHR130970
OG0002886	XP_009139432.1	CARHR162970
OG0002887	XP_009138011.1	CARHR231800
OG0002888	XP_009108483.1	CARHR218090
OG0002889	XP_009102476.1	CARHR101010
OG0002890	XP_009139632.1	CARHR218930
OG0002890	XP_009135891.1	CARHR100460
OG0002891	XP_009149571.1	CARHR021350
OG0002891	XP_009146915.2	CARHR084020
OG0002892	XP_009128044.2, XP_009104762.1, XP_009106106.2, XP_009106105.2	CARHR067700
OG0002893	XP_009114403.1	CARHR176470
OG0002893	XP_018512234.2, XP_009120803.1	CARHR034140
OG0002895	XP_009144818.1	CARHR090700
OG0002895	XP_009147669.1	CARHR042870
OG0002896	XP_009109196.2	CARHR233080, CARHR233070
OG0002898	XP_009128944.1, XP_009128945.1, XP_009101444.1	CARHR174230
OG0002899	XP_009109269.1	CARHR243040
OG0002899	XP_009121212.1	CARHR106760
OG0002900	XP_009136588.1	CARHR230050
OG0002900	XP_009102714.1	CARHR254500
OG0002902	XP_009134317.1	CARHR252810
OG0002902	XP_033148183.1	CARHR228690
OG0002903	XP_033131234.1	CARHR281440
OG0002904	XP_009115803.1, XP_009136605.1	CARHR160840
OG0002905	NP_001288967.1	CARHR281740
OG0002905	XP_009149006.1, XP_033136984.1	CARHR161040
OG0002906	XP_009133805.1	CARHR142650
OG0002906	XP_009116902.1	CARHR172650
OG0002907	XP_009104372.1	CARHR172490
OG0002907	XP_009142574.1, XP_009142463.1	CARHR142370
OG0002908	XP_009142649.2, XP_009133779.1, XP_009142417.1	CARHR054060
OG0002909	XP_009142659.1, XP_009133771.1	CARHR141610
OG0002910	XP_009138817.1, XP_009116754.2	CARHR171140
OG0002911	XP_009142960.1	CARHR138980
OG0002912	XP_033135571.1	CARHR165650, CARHR058330
OG0002914	XP_009119888.1	CARHR266550
OG0002914	XP_018508983.1	CARHR235610
OG0002915	XP_009108020.2, XP_009108022.1	CARHR217560
OG0002915	XP_009102341.1	CARHR103840
OG0002916	XP_033136737.1, XP_009102261.1	CARHR108690
OG0002917	XP_009102208.1	CARHR271160
OG0002919	XP_009126312.1, XP_009126313.2	CARHR193720, CARHR193710, CARHR193730
OG0002920	XP_009143150.1, XP_009133729.1, XP_009133730.2	CARHR140700
OG0002921	XP_033148194.1	CARHR077270
OG0002922	XP_009147275.1	CARHR185920
OG0002923	XP_009147210.1, XP_009124863.1	CARHR080160
OG0002924	XP_009135012.1	CARHR082720
OG0002924	XP_009135310.1	CARHR088200
OG0002925	XP_009146969.1	CARHR083280
OG0002926	XP_009146881.1	CARHR084480
OG0002927	XP_033148259.1, XP_009146536.1	CARHR087910
OG0002928	XP_009146297.2, XP_033142451.1, XP_009116545.1	CARHR089960
OG0002929	XP_033148707.1	CARHR090170
OG0002930	XP_009146195.2, XP_009135457.1, XP_009115229.1	CARHR090920, CARHR090910
OG0002931	XP_009113531.1	CARHR093390
OG0002931	XP_009113523.1	CARHR093400
OG0002932	XP_009113475.2, XP_018514325.1, XP_018514326.2	CARHR093500
OG0002933	XP_009111878.1, XP_009145796.1	CARHR094790
OG0002935	XP_033142801.1	CARHR097710
OG0002936	XP_009135765.1, XP_009145464.1, XP_009109403.2	CARHR097630
OG0002937	XP_009124229.1, XP_009105145.1	CARHR056950
OG0002938	XP_009118821.2, XP_009119710.1	CARHR000750
OG0002939	XP_009119641.3	CARHR001680
OG0002939	XP_009111344.1	CARHR249970
OG0002940	XP_009132771.1	CARHR124750
OG0002940	XP_009119083.1	CARHR005720
OG0002941	XP_009107099.1	CARHR143640
OG0002941	XP_009117845.1	CARHR015640
OG0002942	XP_009110260.1, XP_009149461.1	CARHR020280
OG0002943	XP_009112937.1	CARHR047830, CARHR047840
OG0002944	XP_018511595.2	CARHR051600
OG0002946	XP_033145462.1	CARHR114260
OG0002946	XP_009117290.1	CARHR114300
OG0002947	XP_009146404.1	CARHR228460
OG0002947	XP_009114533.1, XP_009134324.1	CARHR252620
OG0002948	XP_009144504.2, XP_009101910.1	CARHR247770
OG0002949	XP_009101888.1	CARHR247450
OG0002950	XP_009109400.1, XP_009132311.1	CARHR246270
OG0002951	XP_009121096.1, XP_009112442.1, XP_009150777.1	CARHR244000, CARHR107890
OG0002952	XP_009126062.1	CARHR240320
OG0002952	XP_009117054.1	CARHR115880
OG0002953	XP_009138175.1	CARHR241270
OG0002954	XP_009147957.1	CARHR116210
OG0002954	XP_009126351.2	CARHR240040
OG0002955	XP_009126471.1	CARHR239900
OG0002955	XP_009140631.1	CARHR116390
OG0002956	XP_009135874.1, XP_009126439.2, XP_009106181.1	CARHR100070
OG0002958	XP_033136500.1	CARHR111320
OG0002958	XP_009144375.1	CARHR236020
OG0002962	XP_009131413.1, XP_033132989.1, XP_033132988.1, XP_033132987.1	CARHR246440, CARHR056820
OG0002963	XP_033134779.1, XP_009114314.1, XP_033132816.1	CARHR092330
OG0002971	XP_009122152.1, XP_009125601.1	CARHR207810
OG0002972	XP_009140504.1	CARHR184880
OG0002972	XP_009137924.1	CARHR238360
OG0002973	XP_009147050.2	CARHR082310
OG0002975	XP_009140598.1, XP_009117099.1	CARHR294550
OG0002976	XP_009131569.1, XP_009121426.1	CARHR196280, CARHR077040
OG0002977	XP_009122869.1	CARHR197300
OG0002978	XP_009121693.1, XP_009131387.1	CARHR199220
OG0002979	XP_009110116.1	CARHR023600
OG0002979	XP_009121771.1, XP_009125902.1, XP_009131331.1	CARHR200120
OG0002980	XP_018513090.2	CARHR147800
OG0002981	XP_009130503.2	CARHR202950
OG0002982	XP_009122117.1	CARHR203570
OG0002982	XP_009112150.1	CARHR278670
OG0002983	XP_009137168.1, XP_009137360.1	CARHR050230, CARHR230940
OG0002984	XP_033140845.1, XP_009131063.2, XP_033129178.1, XP_009129453.1	CARHR204660
OG0002985	XP_009118984.1, XP_018509205.1	CARHR006890
OG0002985	XP_009144339.1, XP_009141028.1	CARHR123240
OG0002986	XP_033142147.1, XP_033142153.1	CARHR168010
OG0002987	XP_009113951.1	CARHR179190
OG0002988	XP_009114033.1	CARHR181430
OG0002988	XP_009102962.1	CARHR134160
OG0002989	XP_033146280.1, XP_009133000.1, XP_033148771.1	CARHR128910
OG0002990	XP_009115054.1	CARHR030190
OG0002990	XP_009102689.1	CARHR030180
OG0002992	XP_009103426.1, XP_033140772.1, XP_009141044.1, XP_033140770.1, XP_009112373.2, XP_009112378.2, XP_009112374.2	CARHR280250
OG0002993	XP_009130545.1, XP_009112219.1	CARHR280200
OG0002994	XP_009150694.1, XP_009112213.1	CARHR280090
OG0002995	XP_009136411.3	CARHR113110
OG0002995	XP_033135017.1	CARHR274580
OG0002996	XP_009120644.2	CARHR190820
OG0002996	XP_009149701.1	CARHR151250
OG0002997	XP_009126618.2, XP_033138136.1, XP_009120547.2, XP_009120549.2, XP_009131930.1	CARHR273950, CARHR273940, CARHR273930
OG0002998	XP_009126737.1	CARHR272710
OG0002999	XP_018512220.1, XP_009120321.1, XP_009132086.2, XP_009126795.2	CARHR271860, CARHR271980
OG0003000	XP_009132330.1, XP_009120133.1	CARHR269570
OG0003000	XP_009120131.1	CARHR269550, CARHR269540
OG0003001	XP_009110994.2	CARHR005980
OG0003002	XP_009132416.1	CARHR268310
OG0003002	XP_009109159.1	CARHR234560
OG0003003	XP_009142954.1, XP_033144050.1	CARHR234600
OG0003004	XP_009118303.1	CARHR040170, CARHR189180
OG0003005	XP_009122284.1	CARHR206470
OG0003005	XP_009122283.1	CARHR206480
OG0003006	XP_009111256.1	CARHR251140
OG0003007	XP_009125010.1, XP_009112221.1	CARHR078230, CARHR121590
OG0003008	XP_009139037.1, XP_009116440.1	CARHR167560
OG0003009	XP_009122760.1	CARHR210650
OG0003009	XP_009135048.1	CARHR084000
OG0003010	XP_009125176.1, XP_033145809.1, XP_009107662.1	CARHR110430, CARHR213240, CARHR213250
OG0003011	XP_009145379.1	CARHR022400
OG0003011	XP_009106432.2	CARHR071360
OG0003012	XP_009132617.1	CARHR014590, CARHR056620
OG0003013	XP_009104617.1	CARHR071070
OG0003014	XP_009109285.2	CARHR243980
OG0003015	XP_009150778.1	CARHR107840
OG0003016	XP_018515018.2	CARHR253350, CARHR254210
OG0003017	XP_009136097.1, XP_009102441.1	CARHR101320
OG0003018	XP_018510169.1	CARHR101140
OG0003018	XP_009139686.1	CARHR218660
OG0003020	XP_009139576.2, XP_009107497.2	CARHR179980, CARHR219820
OG0003021	XP_009149284.1	CARHR019030
OG0003021	XP_009106045.1	CARHR067010
OG0003022	XP_009115343.1	CARHR025810
OG0003022	XP_009105021.1	CARHR061570
OG0003023	XP_018512740.1	CARHR236910
OG0003023	XP_009128708.1	CARHR237270
OG0003024	XP_033141094.1, XP_009104657.1	CARHR021630, CARHR070360
OG0003025	XP_009129381.1, XP_009151894.1	CARHR149790
OG0003026	XP_009129380.1, XP_009111591.1	CARHR149810
OG0003028	XP_009111676.1	CARHR095040
OG0003029	XP_009147805.1	CARHR040840
OG0003029	XP_009145620.1, XP_009135690.1	CARHR096270
OG0003030	XP_033128466.1, XP_009144984.2	CARHR039330
OG0003031	XP_033137015.1, XP_009135737.1	CARHR097100
OG0003032	XP_009114896.1	CARHR091340
OG0003033	XP_009133238.1	CARHR132800, CARHR132790, CARHR132810
OG0003034	XP_009146667.1	CARHR281190
OG0003034	XP_009115763.2	CARHR160400
OG0003037	XP_009114495.1	CARHR252360
OG0003039	XP_009116762.1, XP_009138811.1	CARHR171190
OG0003040	XP_009138836.1, XP_009104260.1, XP_009138835.1	CARHR170740
OG0003041	XP_009116691.1, XP_009138869.1, XP_009104245.1, XP_009116689.1	CARHR170440
OG0003043	XP_009104106.1	CARHR168450
OG0003044	XP_009116048.1, XP_009103867.1, XP_009139395.2	CARHR163450
OG0003045	XP_033142257.1, XP_033141346.1, XP_009130351.1	CARHR077280
OG0003047	XP_009105284.1	CARHR059980
OG0003048	XP_009127558.1	CARHR060100
OG0003049	XP_009105339.1, XP_009127585.1, XP_009105086.1	CARHR060520
OG0003050	XP_009127390.1	CARHR056830
OG0003050	XP_009144656.1	CARHR216500
OG0003051	XP_009103033.1	CARHR026650
OG0003051	XP_009138572.1	CARHR232210
OG0003052	XP_009117431.1	CARHR112050
OG0003052	XP_009109529.1	CARHR247940
OG0003053	XP_009114749.1	CARHR117560, CARHR120210
OG0003054	XP_033140708.1	CARHR255490
OG0003054	XP_018515003.1	CARHR227160
OG0003055	XP_009120917.1, XP_009126298.1, XP_009126299.1	CARHR193840
OG0003056	XP_009124943.1	CARHR080510, CARHR193660
OG0003057	XP_009111709.1	CARHR186960
OG0003058	XP_009134789.2, XP_009124200.1	CARHR079090
OG0003059	XP_033148022.1	CARHR142910
OG0003061	XP_009142975.1, XP_033148359.1	CARHR139070
OG0003061	XP_009142232.1	CARHR139060
OG0003062	XP_009133643.1, XP_033145459.1, XP_009142299.2, XP_033145457.1	CARHR199330, CARHR139040, CARHR199340, CARHR058880
OG0003063	XP_009142771.2, XP_009142772.1	CARHR025870
OG0003064	XP_009124069.1	CARHR079530
OG0003064	XP_009151208.1	CARHR186010
OG0003065	XP_009147227.1, XP_009134829.1, XP_009124018.1	CARHR079920
OG0003066	XP_033147705.1	CARHR080190
OG0003066	XP_009124859.1, XP_009147214.1	CARHR080200
OG0003067	XP_009111879.1, XP_009129785.1	CARHR081180, CARHR182040
OG0003068	XP_009135090.1, XP_009146980.1	CARHR083060, CARHR083070, CARHR083080, CARHR083090
OG0003069	XP_009135138.2, XP_009122559.1	CARHR085460
OG0003070	XP_009135304.1, XP_009146498.1, XP_009124744.1	CARHR045240
OG0003071	XP_018510802.1	CARHR179300
OG0003071	XP_009135845.1	CARHR091190
OG0003072	XP_009113573.2, XP_009135565.1	CARHR093340
OG0003072	XP_009145944.1	CARHR038210
OG0003073	XP_018514773.1	CARHR093630
OG0003073	XP_009144999.2	CARHR038730
OG0003074	XP_009105207.1, XP_009148657.1	CARHR058510
OG0003075	XP_009120935.1	CARHR194130, CARHR194140
OG0003076	XP_009111466.1	CARHR248810
OG0003076	XP_009119731.1, XP_009118831.2	CARHR000570
OG0003077	XP_009119713.1	CARHR000710
OG0003077	XP_009111487.2	CARHR248530
OG0003078	XP_009118746.1, XP_009109724.1, XP_009109723.2, XP_009111183.1, XP_009119612.1	CARHR035210, CARHR002080
OG0003079	XP_009119549.1	CARHR002730
OG0003080	XP_009141120.1	CARHR124500
OG0003081	XP_009103874.1	CARHR052310
OG0003081	XP_009148418.1	CARHR011070
OG0003082	XP_009129220.2, XP_018510015.1	CARHR144160
OG0003083	XP_009110512.1, XP_009148884.1, XP_009117859.1	CARHR015510
OG0003084	XP_009148940.1	CARHR016010
OG0003085	XP_009149293.1	CARHR019120
OG0003085	XP_009117611.1	CARHR067180
OG0003086	XP_009106276.1	CARHR069770
OG0003086	XP_009110223.1	CARHR020990
OG0003087	XP_009103331.1, XP_009149548.1, XP_009110216.1	CARHR021130
OG0003088	XP_009149550.1	CARHR021150
OG0003090	XP_009105876.1	CARHR065030
OG0003090	XP_009103234.1	CARHR022860
OG0003092	XP_009110594.1	CARHR178350, CARHR178360
OG0003093	XP_009144195.1, XP_009144127.1, XP_009138429.1, XP_009109314.1	CARHR244820
OG0003094	XP_009108695.1	CARHR243190
OG0003094	XP_033134063.1	CARHR243200
OG0003095	XP_033136780.1	CARHR250380
OG0003095	XP_009108028.2	CARHR243170
OG0003096	XP_009138067.1, XP_009130110.2, XP_009126385.2	CARHR239990
OG0003097	XP_009115415.1, XP_009110042.1	CARHR025050
OG0003098	XP_009134484.1, XP_009128513.1, XP_009151456.1, XP_009134481.1, XP_009134482.1	CARHR250220
OG0003101	XP_009150747.1	CARHR108650, CARHR219930, CARHR105920, CARHR108720, CARHR108710
OG0003102	XP_009127643.2, XP_018509273.2	CARHR238560
OG0003102	XP_009137959.1	CARHR118300
OG0003103	XP_009140956.1	CARHR122150, CARHR122160
OG0003106	XP_033131413.1, XP_033137118.1	CARHR163060
OG0003110	XP_033134286.1, XP_009115868.1	CARHR119450, CARHR216320
OG0003117	XP_009121042.1, XP_033143049.1	CARHR195220
OG0003118	XP_009121530.1	CARHR197330
OG0003118	XP_009134674.1	CARHR076470
OG0003119	XP_009131430.1, XP_009121622.1	CARHR198400, CARHR198410
OG0003120	XP_009112174.1	CARHR279220
OG0003121	XP_009143928.1, XP_009132904.2	CARHR126810
OG0003122	XP_009137503.1, XP_009138982.1	CARHR232610
OG0003123	XP_009108954.1, XP_009127279.1	CARHR238960
OG0003124	XP_009132972.2	CARHR028240
OG0003125	XP_009115010.1	CARHR030680
OG0003125	XP_009148337.1	CARHR010260
OG0003126	XP_009108111.1	CARHR286920
OG0003127	XP_009103487.1	CARHR280930
OG0003128	XP_009131882.1, XP_009120652.1	CARHR191050
OG0003128	XP_033132268.1	CARHR215770
OG0003129	XP_009112088.2, XP_009150411.1	CARHR277440
OG0003130	XP_009112052.1	CARHR276830
OG0003131	XP_009122338.1	CARHR205700
OG0003132	XP_009149761.1	CARHR157980
OG0003133	XP_009113133.2	CARHR051140
OG0003133	XP_033133490.1, XP_009113135.1	CARHR051210, CARHR051160
OG0003134	XP_009145389.1, XP_009135802.1	CARHR098220
OG0003136	XP_033140100.1	CARHR191010
OG0003138	XP_009127244.1	CARHR119580
OG0003138	XP_009127250.1, XP_009132533.1	CARHR259130, CARHR265280
OG0003139	XP_009120252.1	CARHR271090, CARHR233360
OG0003140	XP_009145385.1, XP_009103273.2	CARHR038350, CARHR022320
OG0003141	XP_009146048.1, XP_009135509.1, XP_033143957.1	CARHR092260
OG0003142	XP_033139976.1, XP_033134572.1	CARHR250700, CARHR002180
OG0003143	XP_009111279.2	CARHR250810
OG0003143	XP_009144557.2	CARHR250780
OG0003145	XP_009130833.2	CARHR208610
OG0003146	XP_033144427.1, XP_033147839.1	CARHR085020
OG0003146	XP_009122594.1	CARHR208810
OG0003147	XP_009125162.2, XP_009111561.1	CARHR148540
OG0003148	XP_009112941.1, XP_009112750.1	CARHR047870
OG0003150	XP_033141834.1	CARHR074210
OG0003151	XP_009128363.1, XP_009104526.1	CARHR073160
OG0003152	XP_009117767.1	CARHR016830
OG0003153	XP_009106600.1, XP_009104565.1	CARHR072440, CARHR072430
OG0003154	XP_009104656.1	CARHR070380
OG0003154	XP_009149597.1, XP_009110193.1	CARHR021650
OG0003156	XP_009103362.1, XP_009149497.1	CARHR146930, CARHR020540
OG0003157	XP_009104713.1, XP_009149434.1	CARHR068560
OG0003158	XP_009144782.1	CARHR043480
OG0003159	XP_033147443.1, XP_009133064.1, XP_009141561.1	CARHR130330
OG0003160	XP_009133078.1, XP_009141587.1	CARHR130680
OG0003161	XP_009150068.1	CARHR150230
OG0003162	XP_009102560.1	CARHR099910
OG0003163	XP_009148357.1	CARHR221200
OG0003165	XP_009104808.1, XP_009127995.1	CARHR066520
OG0003166	XP_009149269.1	CARHR018810
OG0003167	XP_009151914.1, XP_033140676.1	CARHR149390
OG0003167	XP_009139991.1	CARHR261760
OG0003168	XP_018513970.1	CARHR262920
OG0003168	XP_009151808.1	CARHR152340
OG0003169	XP_009140020.1	CARHR261440
OG0003169	XP_018515514.1	CARHR148940
OG0003172	XP_009140719.1	CARHR057460
OG0003175	XP_009101819.1, XP_009123703.1	CARHR181060, CARHR036260
OG0003176	XP_009136851.1	CARHR213500
OG0003177	XP_033138769.1, XP_033137903.1, XP_009119427.2, XP_009127317.1	CARHR256760
OG0003178	XP_009134025.1	CARHR259140
OG0003178	XP_033128037.1	CARHR014940
OG0003179	XP_009136775.1, XP_009145854.1	CARHR222880
OG0003179	XP_009141515.1	CARHR129990
OG0003180	XP_009108293.1, XP_009145206.1	CARHR223660, CARHR129330
OG0003181	XP_009136578.1, XP_009115775.1	CARHR160540, CARHR034760
OG0003182	XP_009116731.1	CARHR170880
OG0003182	XP_009104266.1	CARHR154600
OG0003183	XP_009138892.1, XP_009116647.1, XP_009104225.1	CARHR170150
OG0003184	XP_009104141.1	CARHR168830
OG0003186	XP_033134380.1	CARHR150380
OG0003187	XP_009116302.2	CARHR166130
OG0003189	XP_009116195.2	CARHR164980
OG0003190	XP_009141670.1	CARHR132090
OG0003191	XP_009109867.1	CARHR026290
OG0003192	XP_009150755.2	CARHR108470
OG0003193	XP_009139085.1	CARHR166800
OG0003194	XP_009141793.2, XP_009133348.1, XP_009143336.1	CARHR222400, CARHR222410, CARHR133970, CARHR133960
OG0003195	XP_009138463.1, XP_009140331.1	CARHR245350
OG0003196	XP_009117079.1	CARHR116490
OG0003198	XP_018508090.1	CARHR186090
OG0003198	XP_009134820.1	CARHR079630
OG0003199	XP_009112631.1, XP_009102004.2	CARHR111240
OG0003199	XP_009129641.1	CARHR236190
OG0003200	XP_009151260.1, XP_009129817.2	CARHR185290
OG0003201	XP_009124072.1, XP_009147256.1, XP_009134819.1	CARHR079620
OG0003202	XP_009131712.1	CARHR194040
OG0003203	XP_009147095.1	CARHR081870
OG0003206	XP_033142348.1, XP_033148869.1, XP_009146579.1	CARHR087360
OG0003207	XP_009128556.1, XP_009144993.1	CARHR089470
OG0003208	XP_009146116.1, XP_009112576.1	CARHR157630, CARHR283740, CARHR112470, CARHR094030
OG0003210	XP_009103206.1	CARHR214690
OG0003210	XP_009125055.1	CARHR214750
OG0003211	XP_009119263.2, XP_009111086.2	CARHR004090
OG0003211	XP_033128735.1	CARHR010410
OG0003212	XP_033132517.1	CARHR006840
OG0003212	XP_033132521.1	CARHR006830
OG0003213	XP_009110895.1	CARHR008310
OG0003214	XP_009103320.1	CARHR052940
OG0003215	XP_009118059.1, XP_009148571.1	CARHR013030
OG0003216	XP_009118018.1	CARHR013530
OG0003217	XP_009101277.1	CARHR144710
OG0003218	XP_009110416.1, XP_009149175.1	CARHR017870
OG0003219	XP_033137104.1, XP_009103230.1	CARHR022960, CARHR258050, CARHR022900, CARHR182150, CARHR182360
OG0003220	XP_009115616.1	CARHR023020
OG0003221	XP_009115585.1	CARHR023270
OG0003222	XP_009103210.1, XP_009115580.1	CARHR023300
OG0003224	XP_009113287.1	CARHR053520
OG0003224	XP_009113286.1	CARHR053490
OG0003225	XP_033144816.1	CARHR290630
OG0003226	XP_009145033.1, XP_009148008.1	CARHR037600, CARHR037610
OG0003227	XP_009138278.2, XP_009113948.1	CARHR242480
OG0003228	XP_033144404.1, XP_033144515.1	CARHR241810, CARHR241800
OG0003229	XP_009110032.2	CARHR025230
OG0003230	XP_009143697.1	CARHR235330
OG0003230	XP_009127377.1	CARHR057320, CARHR056390
OG0003231	XP_009152149.1	CARHR146250
OG0003231	XP_033139876.1	CARHR146130
OG0003233	XP_009138418.2, XP_009109316.1	CARHR244690
OG0003236	XP_009140363.1, XP_009112519.1	CARHR113710
OG0003237	XP_033129734.1, XP_009129683.1	CARHR153500
OG0003239	XP_009150075.1	CARHR150420, CARHR150390, CARHR150410, CARHR150350, CARHR150340
OG0003240	XP_033128071.1, XP_033128985.1, XP_033128072.1	CARHR181630, CARHR264030
OG0003247	XP_009149965.2	CARHR154930
OG0003247	XP_009150445.2	CARHR285600
OG0003248	XP_009150821.1, XP_009150805.1, XP_018515530.2	CARHR156820, CARHR156810
OG0003249	XP_009128879.1	CARHR175040, CARHR149580
OG0003250	XP_009121605.1, XP_009131443.1	CARHR198170
OG0003250	XP_009134623.1	CARHR075780
OG0003251	XP_009131381.1	CARHR199320
OG0003252	XP_009130043.1	CARHR187430
OG0003253	XP_009131732.1	CARHR224760
OG0003254	XP_009150576.1	CARHR293760
OG0003254	XP_009131148.1	CARHR203060
OG0003255	XP_009122077.1	CARHR203070
OG0003256	XP_009122081.1, NP_001288991.1, XP_009125323.1, XP_018512519.1	CARHR203150
OG0003257	XP_009131119.1, XP_009122531.1	CARHR203740
OG0003258	XP_009130448.1, XP_009150507.1	CARHR278240
OG0003258	XP_009125762.1	CARHR203950
OG0003259	XP_009144351.1	CARHR123040
OG0003259	XP_009133841.1	CARHR207560
OG0003260	XP_009141068.2, XP_009132739.2	CARHR123940
OG0003261	XP_009141078.1, XP_009144290.1	CARHR124030
OG0003262	XP_033138573.1	CARHR005060
OG0003263	XP_009145067.1, XP_009144673.1, XP_033130304.1, XP_009147908.1	CARHR039270, CARHR039280
OG0003266	XP_009115433.1, XP_009110057.1	CARHR024910
OG0003267	XP_033137227.1	CARHR029800
OG0003267	XP_033130684.1	CARHR029790
OG0003268	XP_009136511.1	CARHR032520
OG0003269	XP_009150477.1, XP_009130436.2	CARHR277980
OG0003270	XP_009130153.1, XP_033138938.1, XP_009136444.1	CARHR099960, CARHR274970
OG0003272	XP_033139844.1	CARHR146470
OG0003273	XP_009131901.1	CARHR190580
OG0003274	XP_033133025.1	CARHR244900
OG0003274	XP_033132047.1	CARHR108930
OG0003275	XP_009135282.2, XP_009135285.2, XP_009124708.2	CARHR087670
OG0003276	XP_033141386.1, XP_009132279.1, XP_009120355.2	CARHR272290
OG0003277	XP_009142455.1, XP_009137600.1	CARHR234130
OG0003278	XP_009149712.1, XP_009152207.1	CARHR158750
OG0003279	XP_009150125.1	CARHR158730, CARHR279680
OG0003280	XP_009125487.1	CARHR040500, CARHR210130
OG0003281	XP_009122810.1, XP_009125438.1	CARHR012640
OG0003282	XP_033144221.1, XP_009127815.1, XP_009104947.1	CARHR023720
OG0003283	XP_009127607.1	CARHR115540
OG0003285	XP_009136970.1, XP_009132304.1	CARHR225790
OG0003286	XP_009133175.1, XP_009133165.2, XP_009137017.2	CARHR226510
OG0003287	XP_009104585.1, XP_009106521.2	CARHR022660, CARHR022600, CARHR022630
OG0003288	XP_033146009.1	CARHR172830
OG0003289	XP_009148046.1	CARHR098370
OG0003289	XP_009107806.1	CARHR221460
OG0003290	XP_009145416.2	CARHR098110
OG0003290	XP_033140821.1	CARHR221720
OG0003291	XP_033144230.1	CARHR047760
OG0003292	XP_009110048.1, XP_033135140.1	CARHR025090
OG0003293	XP_009144960.1	CARHR042080
OG0003294	XP_009146231.1	CARHR090600
OG0003295	XP_009136926.1, XP_009131621.1	CARHR225150
OG0003297	XP_009150384.1	CARHR277080
