Orthogroup	Brassica_rapa	Euclidium_syriacum
OG0000985	XP_033133370.1, XP_009133914.1, XP_009145591.2, XP_033131295.1, XP_033143641.1	ESY2_g37323_DN3_SP0_c0.t1
OG0000986	XP_018514214.1, XP_009132793.1	ESY8_g58447_DN3_SP7_c0.t1
OG0000986	XP_009111019.1, XP_033138240.1	ESY5_g4746_DN3_SP0_c10.t1
OG0000987	XP_009127248.1, XP_009132530.1, XP_009106793.1, XP_009137539.1, XP_009139339.1, XP_009109200.1	ESY13_g56616_DN2_SP4_c0.t1
OG0000989	XP_018514895.1, XP_009133502.1	ESY12_g51185_DN3_SP8_c0.t1
OG0000989	XP_009135103.1	ESY3_g31072_DN3_SP8_c0.t1, ESY7_g19145_DN3_SP0_c0.t1
OG0000990	XP_033132210.1	ESY6_g49545_DN1_SP0_c0.t1
OG0000990	XP_033131930.1	ESY6_g49542_DN3_SP0_c0.t1
OG0000992	XP_009122299.1	ESY7_g18448_DN3_SP0_c0.t1
OG0000992	XP_009125663.1	ESY7_g18449_DN2_SP0_c0.t1, ESY7_g18452_DN3_SP0_c0.t1
OG0000993	XP_009125444.1	ESY7_g19496_DN3_SP6_c0.t1
OG0000993	XP_018511645.1, XP_009146932.1	ESY3_g30928_DN3_SP6_c0.t1
OG0000994	XP_009106732.1, XP_009128404.2, XP_009104472.1	ESY2_g36607_DN3_SP1_c0.t1
OG0000995	XP_009105372.1	ESY2_g34481_DN3_SP3_c0.t1
OG0000997	XP_033131362.1	ESY2_g34440_DN3_SP0_c0.t1
OG0000997	XP_009115330.1	ESY5_g1189_DN3_SP8_c0.t1
OG0000998	XP_033131373.1	ESY11_g54116_DN1_SP0_c0.t1, ESY11_g54129_DN3_SP0_c0.t1
OG0000998	XP_009138393.1, XP_009109260.1	ESY4_g26111_DN2_SP0_c0.t1
OG0001000	XP_033143083.1, XP_009133066.1, XP_009143611.2, XP_033143084.1, XP_009143610.2, XP_009115957.1	ESY1_g10411_DN3_SP7_c0.t1
OG0001001	XP_009133081.1, XP_009143588.1, XP_033146123.1	ESY9_g44367_DN3_SP1_c0.t1
OG0001001	XP_009115989.2, XP_009125239.2, XP_009148749.1	ESY1_g10494_DN3_SP4_c0.t1
OG0001002	XP_009145244.1, XP_009108423.1	ESY3_g28661_DN3_SP0_c0.t1
OG0001002	XP_033128319.1, XP_018513016.2	ESY22_g40700_DN3_SP0_c0.t1
OG0001003	XP_009139751.1	ESY8_g61301_DN3_SP0_c0.t1
OG0001003	XP_009140165.3, XP_009140164.3	ESY2_g34326_DN3_SP6_c0.t1
OG0001004	XP_009130021.2, XP_033140557.1, XP_009129723.1, XP_009129726.2, XP_009151642.3, XP_033134892.1, XP_009111837.2	ESY2_g35005_DN3_SP0_c0.t1
OG0001005	XP_009114333.1, XP_009101497.1	ESY10_g14989_DN3_SP0_c0.t1
OG0001005	XP_009131146.1, XP_009136883.1, XP_009108346.1	ESY9_g42521_DN3_SP8_c0.t1
OG0001006	XP_033134797.1	ESY13_g56591_DN2_SP0_c77.t1, ESY6_g46367_DN3_SP0_c0.t1, ESY14_g20178_DN2_SP0_c0.t1, ESY13_g57770_DN2_SP0_c0.t1, ESY13_g57776_DN2_SP0_c0.t1, ESY13_g57782_DN2_SP0_c0.t1, ESY10_g14177_DN1_SP0_c76.t1, ESY9_g42716_DN2_SP0_c0.t1, ESY8_g60624_DN2_SP0_c0.t1, ESY16_g62056_DN3_SP0_c0.t1, ESY8_g61319_DN1_SP0_c0.t1, ESY5_g2231_DN3_SP0_c71.t1, ESY5_g3176_DN3_SP0_c0.t1, ESY3_g29528_DN2_SP0_c44.t1, ESY22_g41117_DN2_SP0_c0.t1, ESY4_g22151_DN1_SP0_c0.t1
OG0001007	XP_009137170.1, XP_009108507.1, XP_033138209.1, XP_009134478.1	ESY9_g43425_DN3_SP8_c0.t1
OG0001007	XP_033142081.1, XP_009114487.1	ESY7_g16512_DN3_SP8_c0.t1
OG0001008	XP_033130038.1, NP_001288883.1, NP_001288810.1, XP_009132305.2	ESY1_g12380_DN3_SP0_c0.t1
OG0001009	XP_009103956.2, XP_009139167.2, XP_009116237.2, XP_009143300.1	ESY9_g45561_DN3_SP0_c16.t1
OG0001010	XP_009109044.1, XP_009137845.1, XP_009128846.1	ESY4_g24341_DN3_SP7_c0.t1
OG0001010	XP_009117521.2, XP_009102137.1, XP_009112628.1	ESY11_g54687_DN3_SP7_c0.t1
OG0001011	XP_033129761.1, XP_018512095.1, XP_033136548.1	ESY10_g15362_DN3_SP0_c0.t1
OG0001011	XP_033134240.1, XP_033147700.1, XP_033142910.1, XP_033148217.1	ESY3_g31628_DN3_SP0_c0.t1, ESY4_g24827_DN3_SP0_c0.t1
OG0001012	XP_009143803.1, XP_009137684.1	ESY16_g62115_DN3_SP0_c0.t1
OG0001012	XP_009119949.2, XP_009132452.1	ESY6_g47563_DN3_SP0_c0.t1
OG0001013	XP_009131718.1, XP_009120927.2	ESY7_g16919_DN3_SP0_c0.t1
OG0001013	XP_009129652.1, XP_009134877.1	ESY3_g31574_DN3_SP8_c0.t1
OG0001014	XP_009136688.1, XP_009147404.1, XP_009134370.1	ESY2_g33865_DN3_SP0_c8.t1
OG0001015	XP_018511278.2, XP_033134716.1	ESY11_g54727_DN3_SP0_c16.t1, ESY11_g54728_DN3_SP0_c15.t1, ESY11_g54726_DN3_SP7_c9.t1
OG0001015	XP_033130568.1, XP_033130573.1, XP_009102127.1	ESY11_g54730_DN3_SP0_c15.t1
OG0001016	XP_009148172.1, XP_009110842.1	ESY5_g3265_DN3_SP6_c0.t1, ESY5_g3266_DN3_SP6_c0.t1
OG0001016	XP_009113389.1, XP_009122982.2, XP_033130455.1	ESY2_g34211_DN3_SP1_c0.t1
OG0001017	XP_009115558.1, XP_009103190.1, XP_009105745.1, XP_009127825.1	ESY2_g35604_DN3_SP2_c0.t1
OG0001018	XP_009108624.1	ESY4_g25465_DN3_SP0_c0.t1
OG0001018	XP_033132947.1	ESY4_g25447_DN2_SP0_c0.t1, ESY4_g25451_DN2_SP0_c0.t1, ESY4_g25468_DN3_SP0_c0.t1, ESY4_g25466_DN3_SP0_c0.t1
OG0001019	XP_009144072.1	ESY11_g54639_DN3_SP0_c0.t1, ESY3_g31770_DN1_SP0_c0.t1
OG0001021	XP_033146059.1, XP_009137615.2, XP_009109960.1, XP_009103814.2	ESY7_g16472_DN3_SP0_c100.t1
OG0001022	XP_009126342.1, XP_033141644.1, XP_018515506.1	ESY3_g30389_DN2_SP0_c0.t1
OG0001023	XP_033143634.1	ESY16_g62514_DN1_SP0_c0.t1, ESY3_g29644_DN1_SP0_c0.t1
OG0001030	XP_009124753.3, XP_009113705.2, XP_033141076.1, XP_033131942.1	ESY19_g41933_DN3_SP0_c0.t1
OG0001031	XP_009121653.1, XP_033140944.1	ESY7_g18232_DN3_SP0_c0.t1
OG0001031	XP_033130223.1	ESY8_g58759_DN3_SP0_c0.t1
OG0001031	XP_009125989.1	ESY7_g17576_DN3_SP0_c0.t1, ESY9_g43119_DN3_SP0_c0.t1
OG0001032	XP_009131193.1, XP_009121994.1, XP_033140349.1, XP_018510605.1, XP_033128074.1	ESY6_g49977_DN2_SP0_c0.t1
OG0001033	XP_009144324.2	ESY8_g58690_DN3_SP0_c19.t1, ESY8_g58688_DN3_SP0_c19.t1
OG0001033	XP_009132715.2, XP_009144325.3	ESY8_g58692_DN3_SP0_c19.t1, ESY8_g58691_DN3_SP0_c20.t1
OG0001034	XP_033147675.1, XP_009133158.1	ESY20_g13341_DN3_SP0_c0.t1
OG0001034	XP_009111056.1, XP_009118602.2, XP_009118601.1	ESY5_g4847_DN3_SP5_c0.t1
OG0001037	XP_009140380.1	ESY8_g59656_DN2_SP0_c0.t1
OG0001037	XP_009143694.1	ESY11_g54982_DN3_SP0_c0.t1
OG0001038	XP_033140773.1, XP_018511998.2, XP_009111607.2	ESY1_g11026_DN3_SP0_c0.t1, ESY1_g11018_DN3_SP0_c0.t1
OG0001038	XP_009151843.1	ESY21_g55249_DN3_SP0_c0.t1
OG0001039	XP_009130084.1, XP_009150944.1, XP_009141944.1, XP_009139532.2, XP_009130083.1	ESY6_g50101_DN3_SP0_c0.t1
OG0001040	XP_009127564.1	ESY8_g59772_DN3_SP0_c0.t1
OG0001041	XP_033139824.1	ESY6_g48218_DN3_SP0_c0.t1
OG0001041	XP_033144583.1	ESY6_g48219_DN3_SP0_c0.t1, ESY2_g33715_DN1_SP0_c37.t1
OG0001042	XP_009151567.1, XP_009149790.3	ESY7_g19325_DN3_SP0_c0.t1
OG0001042	XP_009132682.1	ESY24_g33221_DN3_SP8_c0.t1
OG0001044	XP_018514567.1	ESY3_g31098_DN2_SP0_c0.t1
OG0001044	XP_009130819.1, XP_033138098.1, XP_033140883.1	ESY7_g19094_DN3_SP0_c0.t1
OG0001045	XP_009106410.1, XP_009128231.1, XP_009103284.1, XP_009149696.1, XP_009110169.1	ESY5_g2397_DN3_SP6_c4.t1
OG0001046	XP_009103312.1	ESY5_g2558_DN3_SP0_c0.t1
OG0001046	XP_009104665.2, XP_009128186.1	ESY2_g34717_DN3_SP0_c0.t1
OG0001047	XP_009149494.2, XP_009103369.1, XP_033133412.1	ESY5_g3998_DN3_SP8_c0.t1
OG0001047	XP_009106230.1, XP_009104697.1	ESY2_g36086_DN3_SP8_c0.t1
OG0001048	XP_033131038.1, XP_033131039.1, XP_033131650.1	ESY9_g43288_DN3_SP0_c36.t1, ESY8_g59038_DN3_SP0_c0.t1, ESY8_g59024_DN3_SP0_c0.t1, ESY16_g62520_DN3_SP0_c0.t1, ESY16_g62522_DN3_SP0_c0.t1
OG0001049	XP_009123647.1, XP_009147579.1	ESY2_g36189_DN3_SP0_c16.t1
OG0001049	XP_009135375.1	ESY2_g33518_DN2_SP0_c38.t1
OG0001050	XP_018508296.1, XP_033143097.1, XP_009144664.1	ESY15_g65465_DN3_SP0_c0.t1
OG0001051	XP_009132432.1	ESY2_g35974_DN3_SP0_c0.t1, ESY8_g60048_DN3_SP0_c0.t1, ESY8_g60046_DN3_SP0_c0.t1
OG0001052	XP_009128814.1	ESY7_g16860_DN3_SP8_c0.t1
OG0001052	XP_009136942.1, XP_009108374.1, XP_009132011.1	ESY9_g42700_DN3_SP6_c0.t1
OG0001053	XP_033143753.1, XP_009146214.1, XP_033148722.1, XP_009146218.1, XP_009115358.1	ESY2_g37023_DN3_SP7_c0.t1, ESY2_g37026_DN3_SP0_c0.t1
OG0001054	XP_009112402.1, XP_009136335.1	ESY11_g53891_DN3_SP0_c0.t1
OG0001054	XP_033134065.1, XP_009106517.1	ESY4_g25490_DN3_SP0_c0.t1
OG0001056	NP_001288942.1, XP_009139160.1	ESY1_g10740_DN3_SP8_c0.t1, ESY1_g10741_DN3_SP0_c0.t1, ESY11_g54195_DN3_SP0_c0.t1, ESY4_g25716_DN3_SP0_c0.t1
OG0001056	NP_001288961.1, XP_009141827.1	ESY9_g45574_DN3_SP8_c0.t1
OG0001057	XP_009151634.1	ESY6_g50397_DN3_SP1_c0.t1, ESY15_g64740_DN3_SP0_c0.t1
OG0001058	XP_009137637.1, XP_009143066.1	ESY16_g62325_DN3_SP7_c0.t1
OG0001058	XP_009102230.1	ESY11_g54556_DN3_SP5_c0.t1, ESY11_g54914_DN3_SP3_c0.t1
OG0001059	XP_009141642.2, XP_009133144.1, XP_033148461.1	ESY9_g44787_DN3_SP7_c0.t1
OG0001059	XP_009146669.1, XP_009121046.1, XP_009135197.1	ESY3_g31296_DN3_SP8_c0.t1
OG0001060	XP_009140544.1, XP_009117134.1	ESY3_g31939_DN3_SP2_c0.t1
OG0001060	XP_009105896.2, XP_009104860.2, XP_009127928.1	ESY2_g35805_DN3_SP7_c0.t1
OG0001061	XP_033132500.1, XP_033131800.1, XP_033131807.1, XP_033134074.1, XP_009147196.1	ESY3_g31627_DN3_SP0_c0.t1, ESY11_g54692_DN3_SP0_c0.t1
OG0001062	XP_009135523.1	ESY3_g29816_DN2_SP0_c0.t1
OG0001062	XP_033148597.1	ESY3_g29821_DN1_SP0_c0.t1
OG0001063	XP_009135772.1	ESY7_g18107_DN3_SP0_c0.t1
OG0001064	XP_009135860.2, XP_009105202.1, NP_001289193.1	ESY2_g35242_DN3_SP2_c0.t1, ESY7_g17803_DN3_SP1_c0.t1
OG0001065	XP_009111519.1	ESY20_g13358_DN1_SP0_c0.t1
OG0001065	XP_009133725.1	ESY12_g51918_DN3_SP0_c0.t1
OG0001066	XP_009148696.1, XP_009110557.1	ESY5_g2757_DN3_SP0_c0.t1
OG0001066	XP_009148695.2, XP_009148694.2	ESY5_g2752_DN3_SP0_c0.t1, ESY5_g2756_DN3_SP0_c0.t1
OG0001067	XP_009104949.1	ESY2_g35584_DN3_SP0_c0.t1
OG0001069	XP_009105270.1	ESY2_g33799_DN3_SP0_c0.t1
OG0001069	XP_009105752.1	ESY2_g33798_DN3_SP1_c0.t1
OG0001071	XP_009107314.1, XP_009107315.1, XP_033128869.1, XP_009147916.1	ESY2_g37738_DN3_SP0_c0.t1, ESY2_g37737_DN3_SP0_c0.t1
OG0001076	XP_018512837.1	ESY7_g17094_DN2_SP0_c0.t1
OG0001078	XP_009134376.3, XP_009144527.1, XP_033135804.1	ESY8_g58324_DN3_SP0_c0.t1
OG0001078	XP_009134375.1, XP_009122199.1, XP_009122188.2	ESY8_g58321_DN3_SP0_c0.t1
OG0001079	XP_009116134.1	ESY1_g10935_DN3_SP0_c0.t1, ESY1_g10930_DN3_SP0_c0.t1
OG0001079	XP_009139232.1	ESY9_g42767_DN2_SP0_c0.t1, ESY1_g10934_DN1_SP0_c0.t1
OG0001080	XP_033145920.1	ESY2_g38809_DN3_SP0_c0.t1
OG0001081	XP_033141536.1, XP_009106211.1	ESY2_g36067_DN3_SP0_c0.t1
OG0001081	XP_033148883.1	ESY5_g4018_DN3_SP0_c0.t1
OG0001082	XP_009149898.1	ESY3_g31978_DN3_SP0_c0.t1
OG0001082	XP_009149895.1, XP_009150231.2	ESY3_g30786_DN3_SP1_c0.t1
OG0001083	XP_009141243.1	ESY6_g49505_DN2_SP0_c0.t1
OG0001085	XP_033129042.1	ESY9_g42722_DN2_SP0_c16.t1
OG0001085	XP_033144188.1	ESY1_g11646_DN3_SP0_c5.t1
OG0001086	XP_009107496.2, XP_009139575.1	ESY27_g13467_DN3_SP8_c0.t1
OG0001086	XP_009102577.2, XP_009135865.1, XP_009106322.2	ESY3_g28258_DN3_SP8_c0.t1
OG0001087	XP_033132747.1	ESY2_g38497_DN1_SP0_c0.t1
OG0001087	XP_033142689.1, XP_009146065.1	ESY3_g29902_DN2_SP0_c0.t1
OG0001088	XP_033145368.1, XP_009117289.2, XP_009117288.1	ESY8_g59598_DN3_SP0_c17.t1, ESY12_g51562_DN3_SP0_c17.t1
OG0001089	XP_033145627.1	ESY8_g60446_DN2_SP0_c0.t1
OG0001089	XP_009122028.1, XP_033137632.1	ESY7_g18079_DN3_SP0_c0.t1
OG0001090	XP_009152018.1, XP_009129464.2, XP_009129473.1, XP_009129471.2, XP_009129465.2, XP_009152015.1	ESY10_g13820_DN3_SP0_c25.t1, ESY10_g13889_DN3_SP0_c0.t1
OG0001091	XP_033130868.1, XP_009103770.2, XP_009115443.1, XP_009105666.1, XP_033141565.1, XP_009105667.1	ESY16_g61752_DN3_SP0_c39.t1
OG0001092	XP_009128770.1	ESY7_g16751_DN3_SP0_c32.t1
OG0001094	XP_009115289.1	ESY3_g30618_DN3_SP0_c0.t1, ESY3_g30617_DN3_SP5_c0.t1
OG0001094	XP_009147676.1, XP_009144827.1	ESY2_g37041_DN3_SP8_c0.t1
OG0001095	XP_009123731.1, XP_009131482.1	ESY9_g42612_DN2_SP0_c35.t1
OG0001095	XP_009136910.1	ESY9_g42613_DN2_SP0_c32.t1
OG0001097	XP_033130959.1, XP_009138921.1	ESY4_g24926_DN3_SP0_c0.t1, ESY1_g11099_DN3_SP2_c12.t1, ESY1_g11237_DN3_SP0_c15.t1
OG0001098	XP_009133135.1, XP_009143521.1, XP_009141639.1	ESY9_g44769_DN3_SP2_c0.t1
OG0001098	XP_009116038.1	ESY1_g11107_DN3_SP5_c0.t1
OG0001099	XP_009105891.1	ESY6_g50686_DN3_SP0_c0.t1, ESY6_g48090_DN3_SP0_c0.t1
OG0001099	XP_009102500.1	ESY3_g27917_DN3_SP6_c0.t1
OG0001100	XP_033132030.1	ESY8_g61158_DN2_SP0_c0.t1
OG0001101	XP_009133467.1	ESY3_g30767_DN1_SP0_c0.t1, ESY12_g50880_DN1_SP0_c0.t1, ESY12_g50985_DN2_SP0_c0.t1
OG0001102	XP_009134318.1, XP_009144516.1, XP_033136405.1	ESY5_g4707_DN3_SP0_c0.t1
OG0001103	XP_009151155.1, XP_009111716.1	ESY10_g15371_DN3_SP8_c0.t1
OG0001103	XP_033147744.1, XP_009147201.1, XP_009134851.1	ESY3_g31631_DN3_SP8_c0.t1
OG0001104	XP_009147276.1	ESY6_g50265_DN2_SP0_c0.t1, ESY6_g50169_DN3_SP0_c0.t1, ESY6_g49695_DN2_SP0_c0.t1, ESY3_g31812_DN2_SP0_c0.t1, ESY5_g4751_DN3_SP0_c0.t1, ESY3_g31839_DN2_SP0_c0.t1
OG0001104	XP_033147786.1, XP_033147778.1	ESY3_g31896_DN2_SP0_c0.t1, ESY3_g31893_DN2_SP0_c0.t1, ESY3_g31897_DN2_SP0_c0.t1
OG0001105	XP_009147141.1, XP_009124782.1	ESY3_g31508_DN3_SP1_c6.t1
OG0001106	XP_009135111.1, XP_009122872.1, XP_009122861.1, XP_009135113.1, XP_009146834.1	ESY3_g31102_DN3_SP0_c0.t1, ESY3_g31099_DN3_SP4_c0.t1
OG0001107	XP_033128558.1, XP_009144995.1	ESY2_g37865_DN3_SP0_c0.t1
OG0001107	XP_033148795.1, XP_033148805.1	ESY8_g58606_DN3_SP0_c0.t1
OG0001109	XP_009117864.1, XP_009117865.1, XP_033129912.1, XP_009117862.1, XP_009117863.1	ESY5_g2864_DN3_SP0_c44.t1
OG0001111	XP_009107365.1, XP_009147972.1, XP_033146794.1	ESY2_g38038_DN3_SP0_c0.t1
OG0001111	XP_033148078.1, XP_009113935.1, XP_009135535.1	ESY3_g29790_DN3_SP0_c0.t1
OG0001112	XP_009144713.1, XP_009108296.1	ESY9_g42418_DN3_SP8_c0.t1
OG0001112	XP_009149208.1	ESY4_g26045_DN3_SP8_c0.t1
OG0001113	XP_009102070.3	ESY3_g32233_DN3_SP0_c0.t1, ESY3_g32218_DN3_SP0_c0.t1, ESY3_g32215_DN1_SP0_c0.t1, ESY3_g32235_DN2_SP0_c0.t1
OG0001114	XP_009107612.2, XP_009124889.1	ESY4_g22047_DN1_SP0_c0.t1
OG0001115	XP_009101614.1, XP_033141162.1	ESY7_g16771_DN2_SP0_c0.t1
OG0001116	XP_009132462.1	ESY4_g25704_DN3_SP0_c98.t1, ESY4_g25705_DN3_SP0_c98.t1
OG0001120	XP_033147611.1	ESY20_g13331_DN3_SP0_c4.t1
OG0001120	XP_009143956.2	ESY20_g13330_DN3_SP0_c34.t1, ESY8_g58530_DN3_SP0_c38.t1
OG0001121	XP_009125912.2, XP_009131335.2, XP_009125911.2, XP_009121765.1, XP_009131337.1	ESY7_g17755_DN3_SP1_c0.t1, ESY7_g17754_DN1_SP7_c0.t1
OG0001123	XP_009131159.1, XP_009125300.1	ESY7_g18037_DN3_SP8_c0.t1
OG0001123	XP_009150631.1, XP_009112184.1	ESY6_g50500_DN3_SP8_c0.t1
OG0001124	XP_009140975.2	ESY8_g58818_DN3_SP0_c0.t1, ESY8_g58816_DN3_SP1_c0.t1, ESY8_g58814_DN3_SP6_c0.t1
OG0001125	XP_033147639.1, XP_033147666.1, XP_009144164.1, XP_033147641.1	ESY20_g12761_DN2_SP0_c0.t1, ESY7_g17873_DN2_SP0_c0.t1, ESY7_g17874_DN3_SP0_c0.t1, ESY1_g10855_DN3_SP0_c0.t1, ESY20_g12765_DN3_SP0_c0.t1, ESY20_g12762_DN3_SP0_c0.t1
OG0001126	XP_033132778.1	ESY16_g61711_DN2_SP0_c0.t1, ESY16_g61709_DN2_SP0_c0.t1, ESY16_g61707_DN2_SP0_c0.t1, ESY16_g61706_DN2_SP0_c0.t1, ESY16_g61710_DN2_SP0_c0.t1, ESY16_g61708_DN2_SP0_c0.t1, ESY4_g25013_DN1_SP0_c0.t1
OG0001127	XP_033133548.1, XP_009102890.1, XP_009109699.1	ESY3_g31023_DN3_SP0_c0.t1, ESY5_g4729_DN3_SP0_c0.t1, ESY5_g4478_DN3_SP1_c0.t1
OG0001128	XP_009105376.1, XP_009127619.1	ESY2_g34478_DN3_SP0_c0.t1
OG0001128	XP_033147671.1	ESY3_g30927_DN3_SP0_c0.t1
OG0001129	XP_009114987.1	ESY16_g61910_DN3_SP0_c0.t1
OG0001129	XP_009142095.2, XP_009133173.2, XP_009143645.1	ESY16_g61933_DN3_SP0_c0.t1, ESY16_g61932_DN1_SP0_c0.t1
OG0001130	XP_009126373.2, XP_009120876.1, XP_009113043.1, XP_009112705.1, XP_009123404.1	ESY6_g49863_DN3_SP8_c0.t1
OG0001131	XP_009142838.1, XP_009109166.1, XP_009137622.1, XP_009120039.1	ESY6_g47990_DN3_SP3_c0.t1, ESY97_g19682_DN3_SP1_c0.t1, ESY16_g62392_DN3_SP8_c0.t1
OG0001132	XP_033130029.1	ESY3_g31111_DN3_SP8_c0.t1
OG0001132	XP_009125564.1, XP_009122585.1	ESY7_g19074_DN3_SP1_c0.t1
OG0001133	XP_009125517.1, XP_033138487.1	ESY7_g19221_DN3_SP0_c0.t1
OG0001134	XP_033147862.1	ESY3_g30993_DN3_SP7_c0.t1
OG0001134	XP_009130720.1, XP_009125490.1, XP_009122718.1	ESY7_g19354_DN3_SP8_c0.t1
OG0001135	XP_033145538.1	ESY7_g19564_DN3_SP0_c0.t1, ESY7_g19565_DN3_SP0_c0.t1
OG0001136	XP_009125195.2, XP_009140122.2	ESY8_g60034_DN3_SP8_c0.t1
OG0001137	XP_033143225.1	ESY3_g30926_DN1_SP0_c0.t1, ESY3_g30922_DN1_SP0_c0.t1
OG0001137	XP_009106705.2	ESY2_g36651_DN3_SP6_c0.t1
OG0001138	XP_009106648.1	ESY2_g36757_DN3_SP0_c25.t1
OG0001138	XP_009149798.1	ESY2_g36679_DN3_SP0_c0.t1, ESY2_g36678_DN2_SP0_c0.t1
OG0001139	XP_009106601.1, XP_009117738.1, XP_009128314.1	ESY2_g36826_DN3_SP4_c0.t1
OG0001139	XP_009149125.1	ESY5_g4394_DN3_SP8_c0.t1
OG0001140	XP_033131608.1, XP_009106331.1	ESY2_g34705_DN3_SP0_c0.t1
OG0001140	XP_033141466.1, XP_033141467.1, XP_009106330.1	ESY2_g34706_DN3_SP0_c0.t1
OG0001141	XP_033136407.1, XP_009129169.2, XP_009101274.2	ESY10_g14456_DN3_SP0_c14.t1
OG0001141	XP_018510654.1, XP_033128029.1, XP_009148837.2, XP_009110535.1	ESY5_g2823_DN3_SP1_c0.t1
OG0001142	XP_009115560.1	ESY5_g2131_DN3_SP0_c0.t1
OG0001142	XP_009105748.1	ESY2_g35607_DN1_SP0_c0.t1
OG0001144	XP_009106874.1, XP_009103723.2	ESY2_g36297_DN3_SP8_c0.t1
OG0001144	XP_009146491.1	ESY3_g30216_DN3_SP8_c0.t1
OG0001145	XP_009127985.1, XP_009105973.1, XP_009117639.1, XP_009149241.1	ESY2_g35902_DN3_SP8_c0.t1
OG0001148	XP_009129680.1, XP_009151751.1, XP_009111808.1	ESY2_g35157_DN3_SP8_c0.t1
OG0001149	XP_009108351.1, XP_009136905.1, XP_009131393.1, XP_009114357.2, XP_009101512.2	ESY10_g15082_DN3_SP7_c0.t1
OG0001150	XP_009104332.1, XP_009116830.1	ESY1_g12333_DN3_SP0_c0.t1
OG0001150	XP_009142662.1	ESY12_g51718_DN3_SP0_c0.t1
OG0001151	XP_009133702.2	ESY12_g51938_DN3_SP0_c0.t1
OG0001151	XP_009104273.2, XP_009139311.1, XP_009116736.1	ESY1_g12117_DN3_SP0_c0.t1
OG0001152	XP_009133601.1, XP_009142194.1, XP_009142937.1, XP_009116617.1, XP_033130966.1	ESY1_g11196_DN2_SP7_c0.t1
OG0001153	XP_033146521.1, XP_009116333.1	ESY1_g10540_DN3_SP0_c0.t1
OG0001153	XP_009142696.1	ESY12_g50941_DN3_SP0_c12.t1
OG0001154	XP_009140296.1, XP_009117385.1	ESY8_g59820_DN3_SP6_c0.t1
OG0001154	XP_009109482.1	ESY4_g26797_DN3_SP8_c0.t1
OG0001156	XP_009129842.1, XP_009151240.1, XP_009124973.1, XP_009111923.1, XP_009124208.2	ESY3_g31909_DN3_SP6_c13.t1
OG0001157	XP_009142608.1	ESY12_g51625_DN3_SP0_c0.t1
OG0001157	XP_009142609.1	ESY12_g51632_DN3_SP0_c0.t1
OG0001158	XP_009112364.1	ESY1_g12466_DN2_SP0_c0.t1
OG0001160	XP_009121003.2, XP_033142654.1, XP_033138875.1	ESY7_g17070_DN3_SP8_c0.t1
OG0001160	XP_009102089.2	ESY3_g32155_DN3_SP8_c0.t1
OG0001161	XP_033128937.1, XP_009110581.2, XP_009117998.2, XP_009125005.2, XP_009124017.2	ESY3_g32098_DN3_SP3_c0.t1
OG0001162	XP_009118103.1, XP_009148607.2	ESY5_g3784_DN3_SP3_c0.t1
OG0001163	XP_009148706.1	ESY5_g2771_DN3_SP0_c0.t1
OG0001163	XP_009148708.1	ESY5_g2774_DN3_SP0_c0.t1
OG0001164	XP_009128241.1	ESY2_g34591_DN3_SP1_c0.t1
OG0001164	XP_009110163.2, XP_009103275.1, XP_009145387.1	ESY5_g2378_DN3_SP6_c0.t1
OG0001166	XP_033138076.1, XP_009113462.2, XP_009145909.1	ESY3_g29693_DN2_SP0_c0.t1
OG0001166	XP_009107339.1, XP_009145000.1	ESY2_g37932_DN3_SP0_c0.t1, ESY2_g37930_DN2_SP0_c0.t1
OG0001167	XP_009139655.2, XP_009107667.1, XP_009114146.1	ESY8_g59725_DN3_SP0_c0.t1, ESY8_g59726_DN3_SP0_c0.t1
OG0001168	XP_009138312.1	ESY4_g25570_DN3_SP8_c0.t1
OG0001170	XP_009122734.1	ESY7_g19402_DN3_SP0_c0.t1, ESY7_g19403_DN3_SP0_c0.t1
OG0001170	XP_009128688.1	ESY18_g63697_DN3_SP0_c0.t1
OG0001174	XP_009134249.1, XP_009114652.1	ESY18_g63088_DN3_SP5_c0.t1
OG0001174	XP_009137298.1, XP_009136311.1	ESY26_g42345_DN3_SP8_c0.t1
OG0001175	XP_009131500.1, XP_009121545.1	ESY7_g17404_DN3_SP8_c0.t1
OG0001175	XP_009117898.1, XP_009147359.1	ESY3_g32501_DN3_SP8_c0.t1
OG0001176	XP_009147366.1, XP_033139813.1, XP_009134657.1	ESY3_g32516_DN3_SP8_c0.t1
OG0001176	XP_009121550.2, XP_009131492.1	ESY7_g17411_DN3_SP8_c0.t1
OG0001177	XP_009121874.2, XP_009125853.1, XP_009131258.2	ESY7_g18316_DN3_SP7_c0.t1
OG0001177	XP_009120894.1, XP_009126355.1	ESY6_g49869_DN3_SP7_c10.t1
OG0001178	XP_009122107.1, XP_009125337.1	ESY7_g17939_DN3_SP0_c0.t1
OG0001178	XP_009130479.1, XP_009112162.1, XP_033128212.1	ESY6_g50604_DN3_SP6_c0.t1
OG0001179	XP_009150538.1, XP_009112140.1, XP_009130460.1	ESY6_g50661_DN3_SP7_c0.t1
OG0001179	XP_009125351.1	ESY7_g17897_DN3_SP2_c0.t1
OG0001180	XP_009141178.1	ESY3_g32625_DN3_SP0_c0.t1
OG0001182	XP_009129551.1, XP_009145046.1	ESY4_g22239_DN2_SP6_c0.t1
