Orthogroup	Brassica_rapa	Arabis_alpina
OG0003867	XP_009109420.1	Aa_G294370.h1.t1
OG0003868	XP_009107480.2, XP_009145048.1	Aa_G272420.h1.t1, Aa_G382640.h1.t1
OG0003869	XP_033136133.1, XP_033147551.1	Aa_G645960.h1.t1
OG0003870	XP_009114789.1	Aa_G260300.h1.t1
OG0003871	XP_009108222.1	Aa_G107450.h1.t1
OG0003872	XP_009108164.1, XP_018513282.2, XP_009128674.2	Aa_G39310.h1.t1
OG0003873	XP_009112672.1, XP_009102019.1	Aa_G194780.h1.t1
OG0003874	XP_009142460.2, XP_009133791.2, XP_009142591.1	Aa_G177870.h1.t1
OG0003875	XP_009107417.1, XP_009142218.1	Aa_G284500.h1.t1
OG0003876	XP_009142848.1	Aa_G574100.h1.t1
OG0003878	XP_009141994.2, XP_009142746.1	Aa_G188420.h1.t1
OG0003879	XP_009130320.1	Aa_G162360.h1.t1
OG0003880	XP_033147230.1, XP_009124437.1, XP_009129738.1	Aa_G174780.h1.t1
OG0003881	XP_009117210.2, XP_009134994.1	Aa_G174110.h1.t1
OG0003882	XP_009121140.1, XP_033148204.1, XP_009135164.1	Aa_G285130.h1.t1
OG0003883	XP_033132104.1, XP_009112391.1	Aa_G529360.h1.t1, Aa_G323540.h1.t1
OG0003884	XP_018513054.2, XP_033148683.1, XP_009146201.1	Aa_G32150.h1.t1
OG0003885	XP_009119658.1	Aa_G211760.h1.t1
OG0003886	XP_009106982.1	Aa_G457160.h1.t1
OG0003886	XP_009127262.1	Aa_G375230.h1.t1
OG0003887	XP_009139469.1, XP_009136673.1	Aa_G24540.h1.t1
OG0003888	XP_009119310.1	Aa_G28160.h1.t1, Aa_G341320.h1.t1, Aa_G341290.h1.t1
OG0003888	XP_009119312.2	Aa_G341280.h1.t1
OG0003890	XP_009108927.1	Aa_G63590.h1.t1
OG0003891	XP_009148150.2, XP_009110867.2, XP_009118335.1	Aa_G19360.h1.t1
OG0003892	XP_033128728.1, XP_009110856.1	Aa_G19260.h1.t1
OG0003893	XP_009117631.2	Aa_G583610.h1.t1
OG0003893	XP_009110833.1	Aa_G193900.h1.t1
OG0003894	XP_009110818.1, XP_009148253.2, XP_009118312.1	Aa_G516470.h1.t1
OG0003895	XP_009118080.1	Aa_G10860.h1.t1, Aa_G487460.h1.t1
OG0003896	XP_009110357.1, XP_009149272.1, XP_033136948.1, XP_009117619.2	Aa_G55200.h1.t1
OG0003897	XP_009117599.1, XP_009149358.1, XP_009110326.1	Aa_G214280.h1.t1, Aa_G676960.h1.t1
OG0003899	XP_009149401.1, XP_009110291.1, XP_033135165.1, XP_009117555.1, XP_009117554.1	Aa_G407830.h1.t1
OG0003900	XP_009128521.1	Aa_G563070.h1.t1, Aa_G347340.h1.t1, Aa_G563080.h1.t1, Aa_G347360.h1.t1
OG0003901	XP_009113067.1	Aa_G473810.h1.t1
OG0003902	XP_009104389.1	Aa_G482470.h1.t1
OG0003903	XP_009113337.1	Aa_G167250.h1.t1
OG0003904	XP_033130042.1, XP_033134450.1	Aa_G410410.h1.t1, Aa_G406350.h1.t1, Aa_G391050.h1.t1
OG0003904	XP_033137110.1	Aa_G124670.h1.t1
OG0003905	XP_033136857.1, XP_009128986.1, XP_009101398.1	Aa_G63390.h1.t1
OG0003906	XP_009117458.1	Aa_G36460.h1.t1
OG0003906	XP_009101940.1	Aa_G676570.h1.t1
OG0003907	XP_009150240.1, XP_009149934.1	Aa_G88980.h1.t1
OG0003907	XP_009120394.1	Aa_G246280.h1.t1
OG0003908	XP_033143702.1, XP_009143836.1, XP_009109312.1	Aa_G270490.h1.t1, Aa_G467480.h1.t1
OG0003909	XP_009107945.1	Aa_G84830.h1.t1
OG0003909	XP_009128963.1	Aa_G84810.h1.t1
OG0003910	XP_033132475.1, XP_009138288.2	Aa_G258860.h1.t1
OG0003911	XP_009108946.1, XP_009127223.1	Aa_G556820.h1.t1
OG0003912	XP_009115551.1, XP_009103188.1	Aa_G68630.h1.t1
OG0003913	XP_009144028.1	Aa_G159960.h1.t1, Aa_G134130.h1.t1
OG0003917	XP_009134138.2	Aa_G322450.h1.t1
OG0003922	XP_009111795.1, XP_018511869.1, XP_009151770.1	Aa_G514470.h1.t1
OG0003923	XP_009150234.1, XP_009150624.1, XP_009136723.1	Aa_G493360.h1.t1
OG0003924	XP_009106516.2, XP_033135514.1, XP_033136515.1, XP_033141189.1	Aa_G375720.h1.t1, Aa_G270650.h1.t1
OG0003927	XP_033137416.1, XP_009121460.2, XP_033133010.1, XP_033139990.1, XP_033141881.1, XP_033141885.1	Aa_G79140.h1.t1
OG0003928	XP_009126220.2, XP_009126225.1	Aa_G70340.h1.t1
OG0003928	XP_033143040.1	Aa_G70320.h1.t1
OG0003929	XP_009113501.1	Aa_G97510.h1.t1
OG0003930	XP_009101631.2, XP_033128307.1	Aa_G617060.h1.t1, Aa_G617060.h2.t1, Aa_G583890.h1.t1
OG0003931	XP_009132604.1	Aa_G675260.h1.t1
OG0003941	XP_009131455.1, XP_009121597.1, XP_009126039.1	Aa_G321000.h1.t1
OG0003942	XP_009121681.2, XP_009125967.1, XP_009131395.2	Aa_G72750.h1.t1
OG0003943	XP_009131357.1	Aa_G556030.h1.t1
OG0003944	XP_009125872.1, XP_033137459.1, XP_009121823.1	Aa_G155150.h1.t1
OG0003946	XP_009105522.1, XP_009104988.1	Aa_G133830.h1.t1
OG0003948	XP_033141611.1, XP_009121971.1	Aa_G517870.h1.t1, Aa_G158550.h1.t1
OG0003949	XP_009129865.1	Aa_G146290.h1.t1
OG0003950	XP_009131050.1, XP_009122437.1	Aa_G319230.h1.t1
OG0003950	XP_009122435.1	Aa_G319240.h1.t1
OG0003951	XP_009136387.1	Aa_G97900.h1.t1
OG0003951	XP_009122433.1	Aa_G319280.h1.t1
OG0003952	XP_018511115.1, XP_009131040.1, XP_009125719.1	Aa_G665910.h1.t1
OG0003953	XP_009125695.1	Aa_G471530.h1.t1
OG0003953	XP_018512957.1	Aa_G125550.h1.t1, Aa_G590880.h1.t1
OG0003954	XP_009137478.2, XP_009138596.2	Aa_G130110.h1.t1
OG0003955	XP_009109238.1, XP_009137468.1, XP_009138422.1	Aa_G130190.h1.t1, Aa_G95670.h1.t1
OG0003956	XP_009133892.1	Aa_G80140.h1.t1
OG0003957	XP_009103610.1, XP_033145831.1, XP_033138864.1, XP_009140811.2, XP_033143930.1	Aa_G63210.h1.t1
OG0003958	XP_009144330.1, XP_009141040.2, XP_009133152.2	Aa_G597520.h1.t1
OG0003961	XP_009138898.1, XP_009137499.1, XP_009109224.1	Aa_G353750.h1.t1
OG0003962	XP_009115230.1	Aa_G784100.h1.t1, Aa_G108520.h1.t1
OG0003964	XP_033146503.1	Aa_G224240.h1.t1
OG0003965	XP_033134578.1, XP_033139731.1	Aa_G229990.h1.t1, Aa_G193020.h1.t1
OG0003966	XP_009150646.1	Aa_G81450.h1.t1
OG0003967	XP_009150482.1, XP_009130440.1	Aa_G268360.h1.t1
OG0003970	XP_009137072.2, XP_033135278.1, XP_009130169.2	Aa_G401190.h1.t1
OG0003972	XP_033142368.1, XP_033138973.1, XP_033138971.1, XP_033142370.1, XP_018510408.1	Aa_G95000.h1.t1, Aa_G95010.h1.t1, Aa_G747780.h1.t1, Aa_G796240.h1.t1
OG0003974	XP_009141573.1, XP_033129555.1	Aa_G143260.h1.t1
OG0003975	XP_009151585.1	Aa_G106880.h1.t1
OG0003976	XP_009129949.1	Aa_G539270.h1.t1
OG0003977	XP_018512368.2, XP_009151112.2, XP_009151111.2	Aa_G113060.h1.t1
OG0003978	XP_009117655.1, XP_009148497.2, XP_009110706.1	Aa_G339060.h1.t1
OG0003979	XP_009126617.1, XP_009120564.1	Aa_G231410.h1.t1, Aa_G456950.h1.t1
OG0003980	XP_009120545.2, XP_033138138.1, XP_009131931.1	Aa_G457010.h1.t1
OG0003982	XP_009120403.1, XP_009132020.2, XP_009126724.1	Aa_G345660.h1.t1
OG0003984	XP_018512814.1, XP_009132038.2, XP_009120370.1	Aa_G93880.h1.t1
OG0003985	XP_009120268.1, XP_009126834.2	Aa_G307680.h1.t1
OG0003986	XP_009126956.1, XP_009132326.1, XP_009120140.1	Aa_G216600.h1.t1
OG0003987	XP_033132515.1, XP_009150165.2	Aa_G106760.h1.t1
OG0003988	XP_009132442.1, XP_009127097.2, XP_009119965.1	Aa_G54530.h1.t1
OG0003989	XP_009122389.1, XP_009125671.2, XP_009130975.2	Aa_G672340.h1.t1
OG0003990	XP_009132660.1, XP_009127182.1	Aa_G206830.h1.t1
OG0003991	XP_009125594.1, XP_009122135.1	Aa_G570240.h1.t1, Aa_G170600.h1.t1
OG0003992	XP_009130857.1, XP_033137509.1, XP_009125585.1	Aa_G303930.h1.t1
OG0003993	XP_009122581.2	Aa_G73280.h1.t1
OG0003993	XP_009122764.2, XP_009135116.1	Aa_G137200.h1.t1
OG0003994	XP_018510777.1, XP_009130754.1, XP_009125500.1	Aa_G170200.h1.t1
OG0003995	XP_009122787.2, XP_009130693.1, XP_009125443.1	Aa_G85230.h1.t1
OG0003996	XP_009130691.1, XP_009122790.1, XP_009125442.2	Aa_G85220.h1.t1
OG0003997	XP_009140067.1, XP_009125174.1	Aa_G298340.h1.t1
OG0003998	XP_009122946.1, XP_009146847.2	Aa_G338710.h1.t1
OG0004000	XP_009106308.2, XP_009106307.2, XP_009106305.1, XP_009128178.2, XP_009104675.2	Aa_G111150.h1.t1
OG0004001	XP_033131972.1	Aa_G315320.h1.t1
OG0004002	XP_009138902.2, XP_009128143.2	Aa_G281670.h1.t1
OG0004003	XP_009101710.1	Aa_G103040.h1.t1
OG0004004	XP_009106807.1	Aa_G205630.h1.t1
OG0004006	XP_009144733.1, XP_009144734.2, XP_018509449.1	Aa_G378640.h1.t1, Aa_G378650.h1.t1
OG0004007	XP_033147030.1, XP_009106878.1	Aa_G193300.h1.t1
OG0004009	XP_009123048.1	Aa_G523620.h1.t1
OG0004010	XP_009147585.2	Aa_G127740.h1.t1
OG0004011	XP_033147343.1, XP_033147339.1, XP_033147328.1, XP_033147324.1, XP_033147332.1, XP_033147334.1, XP_033147330.1, XP_033147336.1	Aa_G12250.h1.t1
OG0004012	XP_009132508.1, XP_033143603.1	Aa_G636590.h1.t1
OG0004013	XP_009107770.1, XP_009124104.1	Aa_G55050.h1.t1
OG0004014	XP_009107797.2, XP_009148376.1	Aa_G597130.h1.t1, Aa_G597110.h1.t1
OG0004015	XP_033144775.1, XP_009107853.1	Aa_G727560.h1.t1
OG0004016	XP_009106008.1, XP_009104810.2	Aa_G303530.h1.t1
OG0004017	XP_009106089.1	Aa_G449800.h1.t1, Aa_G619950.h2.t1, Aa_G619950.h1.t1, Aa_G449810.h1.t1, Aa_G619960.h2.t1, Aa_G619960.h1.t1
OG0004020	XP_009111558.1	Aa_G424660.h1.t1
OG0004021	XP_033133202.1, XP_009108527.2	Aa_G698390.h1.t1, Aa_G698390.h2.t1
OG0004022	XP_033128232.1, XP_009128807.1	Aa_G118090.h1.t1, Aa_G566340.h1.t1, Aa_G386650.h1.t1
OG0004023	XP_009145740.1, XP_009111528.2	Aa_G164670.h1.t1
OG0004025	XP_009143719.1	Aa_G264040.h1.t1
OG0004026	XP_009143702.1	Aa_G344520.h1.t1
OG0004027	XP_033128264.1	Aa_G208100.h1.t1
OG0004028	XP_033132699.1, XP_009117789.2, XP_009149034.1	Aa_G497260.h1.t1
OG0004029	XP_009137261.1	Aa_G316470.h1.t1, Aa_G522420.h1.t1
OG0004030	XP_033147374.1, XP_009147871.1	Aa_G226600.h1.t1
OG0004031	XP_033136289.1	Aa_G560450.h1.t1
OG0004032	XP_033133959.1, XP_009133415.1, XP_009137033.2	Aa_G204020.h1.t1
OG0004033	XP_009108465.1, XP_009133614.1	Aa_G221300.h1.t1
OG0004034	XP_009108488.1, XP_009135024.1	Aa_G472140.h1.t1
OG0004035	XP_009137214.1, XP_009137215.1, XP_009135219.1	Aa_G298530.h1.t1, Aa_G298540.h1.t1, Aa_G298520.h1.t1
OG0004036	XP_009140191.1, XP_009145933.2	Aa_G62980.h1.t1
OG0004037	XP_009136766.1, XP_009145991.2, XP_009124526.1	Aa_G49450.h1.t1
OG0004038	XP_009123030.1, XP_009145604.1	Aa_G406670.h1.t1
OG0004039	XP_009147430.1	Aa_G326960.h1.t1
OG0004040	XP_009112309.1	Aa_G43750.h1.t1
OG0004041	XP_009138717.1, XP_009116938.2, XP_009104394.2	Aa_G236600.h1.t1
OG0004042	XP_009142624.1	Aa_G332650.h1.t1
OG0004043	XP_009117031.1	Aa_G144130.h1.t1, Aa_G496000.h1.t1
OG0004045	XP_033146710.1	Aa_G81090.h1.t1
OG0004046	XP_009116623.1	Aa_G41950.h1.t1
OG0004047	XP_018513743.1, XP_009116442.1, XP_009104054.1	Aa_G461180.h1.t1
OG0004048	XP_009107132.2, XP_033128762.1	Aa_G251440.h1.t1
OG0004049	XP_009141981.1	Aa_G124040.h1.t1
OG0004049	XP_009116413.1	Aa_G238670.h1.t1
OG0004050	XP_009116365.1, XP_018508337.2, XP_009104013.2	Aa_G608280.h1.t1
OG0004051	XP_009116107.2, XP_033130944.1	Aa_G277100.h1.t1
OG0004052	XP_009143500.1	Aa_G402320.h1.t1
OG0004053	XP_009116044.1, XP_009139397.1	Aa_G69250.h1.t1, Aa_G402240.h1.t1
OG0004054	XP_009102459.1, XP_009136091.1	Aa_G178800.h1.t1, Aa_G78500.h1.t1
OG0004055	XP_009127714.1	Aa_G278660.h1.t1
OG0004056	XP_009104878.1	Aa_G721790.h3.t1, Aa_G721790.h1.t1, Aa_G721790.h2.t1, Aa_G861930.h1.t1
OG0004058	XP_009142694.1, XP_033144145.1, XP_009141908.1	Aa_G518430.h1.t1
OG0004060	XP_033136708.1, XP_009140554.1	Aa_G309990.h1.t1
OG0004061	XP_033143794.1, XP_009109245.1, XP_009138238.2	Aa_G92190.h1.t1
OG0004062	XP_033148233.1, XP_009107316.2	Aa_G133500.h1.t1
OG0004063	XP_009145164.1, XP_009107940.2, XP_009114778.1	Aa_G57210.h1.t1
OG0004064	XP_009128725.1, XP_009113595.1	Aa_G660750.h1.t1, Aa_G294790.h1.t1
OG0004065	XP_009137500.1	Aa_G275320.h1.t1
OG0004066	XP_009131729.1, XP_033138635.1	Aa_G95660.h1.t1, Aa_G205900.h1.t1, Aa_G60530.h1.t1
OG0004068	XP_009151223.2	Aa_G4820.h1.t1
OG0004069	XP_018513632.1, XP_009142539.1, XP_009118779.2	Aa_G226160.h1.t1
OG0004070	XP_009142638.1, XP_009133783.1	Aa_G196940.h1.t1
OG0004071	XP_009119413.1, XP_009123235.1	Aa_G405230.h1.t1
OG0004072	XP_009142271.1	Aa_G265140.h1.t1
OG0004073	XP_009142214.1, XP_009142955.1, XP_009133623.1, XP_009142216.1	Aa_G284470.h1.t1
OG0004074	XP_009117727.1	Aa_G274960.h1.t1, Aa_G210140.h1.t1
OG0004076	XP_009134719.1, XP_009119042.1, XP_009130331.1	Aa_G111730.h1.t1
OG0004078	XP_009130405.1, XP_009102094.1, XP_033144329.1	Aa_G185650.h1.t1
OG0004079	XP_009151269.1	Aa_G90320.h1.t1
OG0004080	XP_009134784.1	Aa_G4400.h1.t1
OG0004080	XP_009134783.1	Aa_G4390.h1.t1
OG0004082	XP_009124065.1, XP_009134807.1, NP_001288921.1	Aa_G4760.h1.t1
OG0004083	XP_009147263.1	Aa_G5030.h1.t1
OG0004084	XP_009124952.1, XP_009129616.2, XP_009134859.1	Aa_G205790.h1.t1
OG0004085	XP_009129637.1	Aa_G163160.h1.t1
OG0004086	XP_033147232.1, XP_033142940.1, XP_033146913.1	Aa_G174770.h1.t1
OG0004087	XP_009135260.1, XP_009146572.1, XP_009124685.2	Aa_G39960.h1.t1
OG0004088	XP_009124755.1, XP_009135306.1, XP_009146490.1	Aa_G176120.h1.t1
OG0004089	XP_009146393.1, XP_009146395.1	Aa_G519430.h1.t1, Aa_G76590.h1.t1
OG0004090	XP_033142710.1, XP_033148682.1	Aa_G443910.h1.t1
OG0004091	XP_009146180.1, XP_009135467.1, XP_033143303.1	Aa_G242030.h1.t1
OG0004092	XP_009135522.1, XP_009114389.1, XP_009146034.1	Aa_G71180.h1.t1
OG0004093	XP_009145949.1, XP_009135562.1	Aa_G501320.h1.t1
OG0004094	XP_009111544.1, XP_009135650.2, XP_009145756.1	Aa_G164610.h1.t1
OG0004095	XP_009151703.1	Aa_G311470.h1.t1
OG0004097	XP_009131120.1	Aa_G516740.h1.t1
OG0004097	XP_033145993.1	Aa_G169360.h1.t1
OG0004098	XP_009102600.1	Aa_G293400.h1.t1
OG0004099	XP_009110472.1, XP_033130950.1, XP_009135855.1	Aa_G71980.h1.t1
OG0004100	XP_009135831.1, XP_009108603.1, XP_009145255.1	Aa_G413620.h1.t1
OG0004101	XP_009145258.1, XP_009108614.1, XP_009135830.1	Aa_G413630.h1.t1
OG0004102	XP_033147477.1, XP_033132809.1	Aa_G388630.h1.t1
OG0004103	XP_033134457.1	Aa_G506650.h1.t1
OG0004104	XP_009151293.1	Aa_G500500.h1.t1
OG0004105	XP_009111907.1, XP_009151272.1	Aa_G90330.h1.t1
OG0004106	XP_018512212.1	Aa_G242240.h1.t1
OG0004107	XP_033134097.1	Aa_G105920.h1.t1
OG0004108	XP_009119334.1	Aa_G400370.h1.t1
OG0004108	XP_009111127.1	Aa_G303920.h1.t1
OG0004109	XP_033134258.1, XP_018509183.1	Aa_G22940.h1.t1
OG0004110	XP_009147075.2, XP_009118418.2, XP_033135881.1	Aa_G638130.h1.t1
OG0004111	XP_009148156.1	Aa_G19290.h1.t1
OG0004112	XP_009134328.1	Aa_G137370.h1.t1
OG0004112	XP_009101379.1, XP_033146847.1	Aa_G63560.h1.t1
OG0004113	XP_009123830.1, XP_009148441.1	Aa_G457680.h1.t1
OG0004114	XP_009113033.2	Aa_G487440.h1.t1
OG0004116	XP_033133194.1, XP_009149240.1	Aa_G139710.h1.t1, Aa_G535570.h1.t1, Aa_G535590.h1.t1, Aa_G535600.h1.t1
OG0004117	XP_018509553.1	Aa_G559160.h1.t1
OG0004118	XP_009104873.1	Aa_G642360.h4.t1, Aa_G642360.h3.t1, Aa_G642360.h2.t1, Aa_G642360.h1.t1
OG0004119	XP_009118912.1	Aa_G898440.h1.t1, Aa_G693630.h1.t1, Aa_G1051480.h1.t1
OG0004120	XP_009104913.1, XP_033141764.1, XP_009105814.1	Aa_G319520.h1.t1
OG0004121	XP_009127783.2, XP_033130556.1, XP_018509115.2	Aa_G189600.h1.t1
OG0004122	XP_009113020.1	Aa_G433390.h1.t1
OG0004123	XP_009101360.1	Aa_G251370.h1.t1
OG0004124	XP_009112889.1	Aa_G135650.h1.t1
OG0004125	XP_009121646.1	Aa_G42010.h1.t1
OG0004128	XP_009114515.1	Aa_G137360.h1.t1
OG0004129	XP_033128649.1, XP_009101781.1	Aa_G57620.h1.t1
OG0004130	XP_009109374.1, XP_009138495.1, XP_009142941.1	Aa_G153310.h1.t1
OG0004131	XP_009109317.2, XP_009138415.1, XP_009145598.1	Aa_G179390.h1.t1
OG0004132	XP_009148977.1, XP_009138389.1, XP_009109261.1	Aa_G514720.h1.t1
OG0004133	XP_009108774.1, XP_009124138.2	Aa_G214590.h1.t1
OG0004134	XP_009102573.1	Aa_G179080.h1.t1, Aa_G179110.h1.t1
OG0004135	XP_009135875.1, XP_009106193.1, XP_009102547.1, XP_033132052.1	Aa_G358550.h1.t1
OG0004136	XP_009111473.2, XP_009134542.1, XP_009138535.1	Aa_G237390.h1.t1
OG0004137	XP_009127211.2, XP_009119817.1, XP_009132514.1	Aa_G116570.h1.t1
OG0004141	XP_009113424.1	Aa_G256320.h1.t1, Aa_G256320.h2.t1
OG0004146	XP_033145177.1	Aa_G485650.h1.t1
OG0004147	XP_033148748.1	Aa_G98200.h1.t1
OG0004148	XP_018515046.1, XP_009107131.1	Aa_G251430.h1.t1
OG0004149	XP_009114838.1, XP_009151912.1	Aa_G34190.h1.t1
OG0004152	XP_009139257.2, XP_009123768.1, XP_009134104.2	Aa_G97440.h1.t1
OG0004153	XP_009143299.1, XP_009109144.1, XP_009137651.1	Aa_G107310.h1.t1
OG0004156	XP_033146905.1	Aa_G163130.h1.t1
OG0004157	XP_009133002.1, XP_018514312.2, XP_009141398.1, XP_009140305.1	Aa_G496490.h1.t1
OG0004165	XP_009127778.1, XP_009137927.1	Aa_G489440.h1.t1
OG0004166	XP_009137930.1, XP_009108982.1, XP_009127746.1	Aa_G603250.h1.t1
OG0004167	XP_009137942.1, XP_009108980.1	Aa_G607110.h1.t1
OG0004168	XP_009150380.1	Aa_G325770.h1.t1
OG0004169	XP_009107504.1, XP_009131593.1, XP_009131592.1, XP_033141730.1	Aa_G264810.h1.t1
OG0004170	XP_009126144.2, XP_009131565.1, XP_009121434.1	Aa_G162300.h1.t1
OG0004171	XP_033144650.1	Aa_G79160.h1.t1, Aa_G447940.h1.t1
OG0004172	XP_009130264.1, XP_009130263.1	Aa_G376320.h1.t1, Aa_G238330.h1.t1
OG0004173	XP_009131514.1, XP_009121527.1	Aa_G379120.h1.t1
OG0004174	XP_009126035.1, XP_009121603.1, XP_009131445.1	Aa_G240270.h1.t1
OG0004175	XP_009126031.1, XP_009121613.1, XP_009131435.1	Aa_G304380.h1.t1
OG0004177	XP_018508362.1, XP_009109809.2, XP_033132538.1	Aa_G62250.h1.t1
OG0004178	XP_009131380.1, XP_009125961.1, XP_009121706.1	Aa_G354710.h1.t1
OG0004180	XP_033140351.1	Aa_G704500.h1.t1
OG0004181	XP_009151796.1, XP_033140766.1, XP_033137189.1	Aa_G247580.h1.t1
OG0004182	XP_033134699.1	Aa_G398150.h1.t1
OG0004183	XP_009125757.1	Aa_G130550.h1.t1
OG0004185	XP_009131062.1, XP_009125728.1	Aa_G210620.h1.t1
OG0004187	XP_009140747.1	Aa_G535750.h1.t1, Aa_G703860.h1.t1
OG0004188	XP_009140754.1, XP_009103569.2	Aa_G90680.h1.t1, Aa_G512720.h1.t1
OG0004189	XP_033143928.1, XP_009140785.1, XP_033130941.1	Aa_G272250.h1.t1, Aa_G180170.h1.t1
OG0004190	XP_009133896.1, XP_009103608.1	Aa_G455030.h1.t1
OG0004191	XP_009103840.2	Aa_G1029590.h2.t1, Aa_G1029590.h1.t1
OG0004191	XP_009133876.1	Aa_G988780.h1.t1, Aa_G988780.h2.t1
OG0004192	XP_033146579.1, XP_009132727.2	Aa_G648850.h1.t1
OG0004193	XP_033147568.1, XP_009141063.2, XP_033144263.1	Aa_G120490.h1.t1
OG0004194	XP_018513661.1	Aa_G159310.h1.t1
OG0004195	XP_033145506.1, XP_033144446.1, XP_009132775.1, XP_009144241.1	Aa_G343130.h1.t1
OG0004197	XP_009141196.1	Aa_G637630.h1.t1, Aa_G154760.h1.t1
OG0004198	XP_009141212.1	Aa_G700840.h1.t1
OG0004199	XP_009114057.1	Aa_G39620.h1.t1
OG0004199	XP_009118943.1	Aa_G29470.h1.t1
OG0004200	XP_009107439.1	Aa_G171160.h1.t1
OG0004201	XP_009145034.1, XP_009124592.1, XP_009123450.1	Aa_G171120.h1.t1
OG0004202	XP_009102925.2, XP_009113689.1, XP_009109744.2	Aa_G329810.h1.t1
OG0004203	XP_009115274.2, XP_009109686.1, XP_009102877.1	Aa_G366290.h1.t1
OG0004204	XP_009102834.1	Aa_G108460.h1.t1
OG0004205	XP_009132989.1, XP_009141381.1	Aa_G248950.h1.t1
OG0004206	XP_009102707.1, XP_033133356.1, XP_018509607.1	Aa_G416990.h1.t1
OG0004207	XP_033137247.1, XP_009109582.1, XP_009102694.2	Aa_G138700.h1.t1
OG0004208	XP_009107765.1, XP_009144765.2, XP_009115125.1	Aa_G138830.h1.t1
OG0004210	XP_009145215.1, XP_009114920.1, XP_018509534.2	Aa_G302490.h1.t1
OG0004211	XP_009129107.1, XP_033136424.1, XP_009152228.1	Aa_G146370.h1.t1, Aa_G146380.h1.t1
OG0004214	XP_009115828.1, XP_033131880.1, XP_033131767.1	Aa_G482360.h1.t1
OG0004215	XP_009150681.1	Aa_G23490.h1.t1
OG0004217	XP_009130261.1, XP_009112085.2, XP_009150406.1	Aa_G75090.h1.t1
OG0004218	XP_009112036.1	Aa_G406180.h1.t1
OG0004220	XP_009136461.1, XP_009111985.1	Aa_G448790.h1.t1
OG0004221	XP_009111962.2, XP_009130292.2, XP_009130137.1, XP_009136410.1	Aa_G693340.h1.t1
OG0004222	XP_033133301.1, XP_033144780.1	Aa_G49230.h1.t1
OG0004225	XP_009151018.1	Aa_G168990.h1.t1
OG0004226	XP_033143031.1, XP_009120856.2, XP_018512316.2	Aa_G478040.h1.t1
OG0004227	XP_009126465.1, XP_009120783.2, XP_009131809.2	Aa_G15380.h1.t1
OG0004228	XP_009120670.1, XP_009131868.1, XP_009126530.1	Aa_G8660.h1.t1
OG0004229	XP_009132008.1, XP_009126710.1, XP_009120433.1	Aa_G297090.h1.t1
OG0004230	XP_009132017.1, XP_009126721.1	Aa_G814940.h1.t1, Aa_G814940.h2.t1, Aa_G814940.h3.t1, Aa_G345600.h1.t1
OG0004232	XP_009120188.1	Aa_G21990.h1.t1
OG0004233	XP_033143960.1, XP_009136528.2	Aa_G20050.h1.t1
OG0004234	XP_009132353.1, XP_009120099.1	Aa_G470070.h1.t1, Aa_G571580.h1.t1
OG0004235	XP_009149717.1, XP_009103920.2, XP_033128089.1	Aa_G62550.h1.t1
OG0004236	XP_009132425.2, XP_009120006.1, XP_009127069.2	Aa_G439450.h1.t1
OG0004237	XP_009134437.1, XP_009144576.1, XP_009111293.1	Aa_G99690.h1.t1
OG0004238	XP_009141234.1, XP_009111261.2	Aa_G188780.h1.t1
OG0004239	XP_009122242.1	Aa_G414790.h1.t1
OG0004240	XP_009146849.1	Aa_G338680.h1.t1
OG0004240	XP_033145944.1	Aa_G665030.h1.t1
OG0004241	XP_033145036.1, XP_033137418.1	Aa_G140790.h1.t1
OG0004242	XP_009130735.1, XP_009122745.1, XP_009125467.2, XP_033139792.1	Aa_G260830.h1.t1
OG0004243	XP_033143439.1	Aa_G626130.h1.t1
OG0004246	XP_033141000.1, XP_009106720.1, XP_033131641.1	Aa_G21670.h1.t1
OG0004247	XP_009106662.1, XP_033131105.1	Aa_G145330.h1.t1, Aa_G145310.h1.t1
OG0004248	XP_009106595.1, XP_033140053.1	Aa_G457910.h1.t1
OG0004249	XP_009104608.2, XP_033140044.1, XP_033130896.1	Aa_G121510.h1.t1
OG0004251	XP_009147460.1, XP_033147032.1, XP_009106813.1	Aa_G108980.h1.t1
OG0004252	XP_033136917.1	Aa_G636970.h1.t1
OG0004253	XP_009147618.1, XP_009106991.1	Aa_G675000.h1.t1
OG0004255	XP_009143051.1	Aa_G265090.h1.t1
OG0004256	XP_009127958.2, XP_033131153.1, XP_033130930.1	Aa_G10220.h1.t1
OG0004257	XP_009115477.1	Aa_G314040.h1.t1, Aa_G274030.h1.t1
OG0004259	XP_009129370.2, XP_009111596.1	Aa_G185320.h1.t1
OG0004260	XP_009127336.1, XP_009132691.2, XP_009140889.1	Aa_G124280.h1.t1
OG0004261	XP_009111583.1, XP_009129396.1	Aa_G264240.h1.t1
OG0004262	XP_009152088.1	Aa_G83340.h1.t1
OG0004263	XP_009115416.1, XP_009110046.1	Aa_G632480.h1.t1
OG0004264	XP_009105487.1, XP_009127731.1	Aa_G468530.h1.t1, Aa_G553990.h1.t1
OG0004265	XP_009128852.1, XP_009114368.2	Aa_G58310.h1.t1
OG0004266	XP_009128836.1, XP_009101553.1	Aa_G590350.h1.t1
OG0004267	XP_009128802.1	Aa_G247550.h1.t1
OG0004269	XP_009117003.1	Aa_G768420.h1.t1, Aa_G428290.h1.t1, Aa_G234340.h1.t1
