Orthogroup	Brassica_rapa	Arabidopsis_arenosa
OG0004246	XP_033141000.1, XP_009106720.1, XP_033131641.1	jg3688
OG0004248	XP_009106595.1, XP_033140053.1	jg3563
OG0004249	XP_009104608.2, XP_033140044.1, XP_033130896.1	jg3440
OG0004250	XP_009135096.1, XP_009146991.1	jg24780
OG0004251	XP_009147460.1, XP_033147032.1, XP_009106813.1	jg33774
OG0004252	XP_033136917.1	jg5834, jg2393, jg31181
OG0004253	XP_009147618.1, XP_009106991.1, XP_009144785.1	jg33525
OG0004254	XP_009139623.1, XP_009107732.1	jg11510
OG0004255	XP_009143051.1	jg19819
OG0004256	XP_009127958.2, XP_033131153.1, XP_033130930.1	jg2929
OG0004257	XP_009115477.1	jg21766
OG0004259	XP_009129370.2, XP_009111596.1	jg13615
OG0004260	XP_009127336.1, XP_009132691.2, XP_009140889.1	jg21742
OG0004261	XP_009111583.1, XP_009129396.1	jg13528, jg13529
OG0004262	XP_009152088.1	jg13288, jg13289
OG0004263	XP_009115416.1, XP_009110046.1	jg31055
OG0004264	XP_009105487.1, XP_009127731.1	jg2525
OG0004265	XP_009114368.2	jg20446
OG0004266	XP_009128836.1, XP_009101553.1	jg20474
OG0004267	XP_009128802.1	jg20539
OG0004268	XP_009128775.1	jg20582
OG0004269	XP_009117003.1	jg17376
OG0004271	XP_009144906.1, XP_033128705.1, XP_009107203.1	jg33278
OG0004272	XP_009144875.1	jg33344
OG0004272	XP_033144874.1, XP_033144904.1	jg33345
OG0004273	XP_033146889.1, XP_033129269.1	jg33415
OG0004274	XP_009108370.2, XP_009131983.1, XP_009136941.2	jg10735
OG0004275	XP_009131909.1, XP_033133278.1, XP_033144286.1	jg10739, jg10736
OG0004277	XP_009136841.1, XP_033131193.1	jg10876
OG0004278	XP_009115788.2, XP_009136586.2	jg14997, jg14996
OG0004279	XP_009109298.1, XP_009137314.1, XP_009137381.1	jg10126
OG0004280	XP_009137005.1, XP_009137337.1	jg10157
OG0004281	XP_009107323.2, XP_009132593.1, XP_009127284.1	jg21830
OG0004282	XP_009137681.1	jg10076
OG0004283	XP_009133008.1, XP_009143720.1	jg18611
OG0004285	XP_009133404.1, XP_009137031.1	jg10565
OG0004286	XP_009134073.1, XP_009108482.1, XP_009137155.2	jg10486
OG0004287	XP_009134394.1, XP_009108510.1, XP_009137165.1	jg10458
OG0004288	XP_009145315.1	jg10925
OG0004289	XP_009134589.1	jg23920
OG0004290	XP_009151122.1	jg6509
OG0004291	XP_009116970.2, XP_009104407.1, XP_009138680.2	jg16370
OG0004292	XP_009116818.1, XP_009104312.1	jg16208
OG0004293	XP_009116776.1, XP_009104291.1	jg16165
OG0004295	XP_009116537.2, XP_009138947.2, XP_009104153.1	jg15887
OG0004296	XP_009138968.1, XP_009104128.1	jg15843
OG0004297	XP_009116508.1	jg15838
OG0004298	XP_009139023.2, XP_009104072.1	jg15785
OG0004299	XP_009104024.1, XP_009116391.1, XP_018513915.1	jg15162, jg15692
OG0004300	XP_009104012.1, XP_009116364.1, XP_009139089.1	jg15630
OG0004301	XP_033146546.1, XP_009139343.1	jg15598
OG0004302	XP_009116199.1, XP_009103948.1	jg15439
OG0004303	XP_009119884.2, XP_009132480.1, XP_009127171.1	jg22061
OG0004304	XP_009102521.1, XP_009106000.1, XP_009135886.1	jg26735
OG0004305	XP_033131402.1, XP_009112462.1, XP_009150756.2	jg27931
OG0004306	XP_009150749.1, XP_009102266.2, XP_009112471.1	jg27963
OG0004307	XP_009150725.1, XP_009114698.1	jg28021, jg28026
OG0004308	XP_009112606.1, XP_009117537.1, XP_009124309.1	jg28133
OG0004310	XP_009141972.1, XP_009133472.1, XP_009142730.1	jg19395
OG0004311	XP_009133464.2, XP_009141948.2, XP_009142712.1	jg19357, jg19362
OG0004312	XP_009141931.1, XP_009142707.1, XP_009133453.1	jg19340
OG0004313	XP_018513978.2, XP_018514047.1, XP_009143251.2, XP_009133410.1	jg19251
OG0004314	XP_009141792.1, XP_009133342.1, XP_009133345.2, XP_009133347.2	jg19134
OG0004315	XP_009133276.2, XP_009133277.1, XP_009143370.2, XP_009141749.1	jg19050
OG0004316	XP_009141675.2, XP_009143473.1, XP_009133193.1	jg18917
OG0004317	XP_009114641.1, XP_033138159.1, XP_009128643.2	jg7605
OG0004318	XP_009140487.1	jg16833
OG0004319	XP_009103052.1, XP_009109865.1	jg31196
OG0004320	XP_033135701.1	jg28763
OG0004321	XP_033128515.1	jg14410, jg14406
OG0004322	XP_009111710.1, XP_009129933.2, XP_033129729.1	jg6553
OG0004323	XP_009129881.1, XP_009151183.1	jg6613
OG0004324	XP_009151187.1, XP_009111743.1	jg6623
OG0004325	XP_009111748.1, XP_009151192.2, XP_009129873.2	jg6637
OG0004326	XP_009133795.2, XP_009142570.1, XP_009142469.1	jg20112
OG0004327	XP_009142571.2, XP_009133794.1	jg20110
OG0004327	XP_009142468.2	jg20111
OG0004328	XP_009142635.1	jg20059
OG0004330	XP_009142676.1, XP_009142413.1	jg20024, jg31102
OG0004331	XP_033130653.1, XP_018512659.1, XP_009145486.1	jg26321
OG0004332	XP_009133745.1	jg19964
OG0004333	XP_009135920.1	jg19294
OG0004334	XP_009133575.1	jg19639
OG0004335	XP_009142909.1, XP_009133572.1	jg19633
OG0004336	XP_009133551.1, XP_009142092.1, XP_009142861.1	jg19609
OG0004337	XP_009114290.2, XP_009101443.2, XP_033140112.1	jg20330
OG0004338	XP_033140111.1, XP_009114293.1, XP_009101446.1	jg20337
OG0004339	XP_009101451.1, XP_009114307.1, XP_009128930.2	jg20352
OG0004340	XP_009147204.1, XP_009124964.1, XP_033142908.1	jg24504
OG0004341	XP_009124946.1, XP_033147461.1	jg24527
OG0004342	XP_033146577.1, XP_009134919.2, XP_009147134.1	jg24619
OG0004343	XP_009134925.1, XP_009124665.1, XP_009147131.1	jg24625
OG0004344	XP_009147018.1	jg24746
OG0004345	XP_009123138.1, XP_009135029.1, XP_018514757.2	jg24936
OG0004346	XP_009135158.1, XP_009122309.1, XP_009146743.1	jg25070
OG0004347	XP_009135188.1, XP_009121126.1, XP_009146677.1	jg25138
OG0004348	XP_009120992.1	jg25156
OG0004349	XP_009120504.1, XP_009146607.1, XP_009135239.1	jg25215
OG0004350	XP_033137414.1, XP_009146549.1, NP_001288855.1	jg25282
OG0004352	XP_009117435.1, XP_009135328.2, XP_033147816.1	jg25380
OG0004353	XP_009135355.1, XP_009117176.1, XP_009146415.1	jg25416
OG0004354	XP_009146399.1, XP_009117104.1, XP_009135369.1	jg25429
OG0004355	XP_009146318.2, XP_009146313.2, XP_009135400.1, XP_009116583.1	jg25501
OG0004356	XP_009146258.1, XP_009135438.1, XP_009115573.1	jg25570
OG0004357	XP_009146250.1, XP_009115547.1	jg25581
OG0004358	XP_009126115.1	jg25584
OG0004359	XP_009137368.2, XP_009135468.2, XP_009115084.1, XP_033148137.1	jg25640, jg25642
OG0004360	XP_009101999.1	jg28295
OG0004361	XP_009114381.1	jg25799
OG0004362	XP_009135590.1, XP_009112548.1, XP_033148807.1	jg26001
OG0004363	XP_009135607.2, XP_009135608.2	jg26037
OG0004364	XP_033146939.1, XP_009135641.1, XP_009111687.1	jg26103
OG0004365	XP_018514711.1, XP_033138994.1, XP_033138997.1, XP_009111229.1	jg26173
OG0004366	XP_033148743.1	jg26203
OG0004367	XP_009135712.1, XP_009145536.1, XP_009109996.1	jg26260
OG0004368	XP_009135724.1, XP_018510009.1	jg26285
OG0004369	XP_009109696.1, XP_009145499.2	jg26311, jg26308
OG0004370	XP_033145915.1, XP_009144399.1, XP_009139749.1, XP_009140159.1	jg12240
OG0004371	XP_009139708.1	jg12116
OG0004372	XP_009129701.1, XP_009151606.1	jg21297
OG0004373	XP_009102583.1, XP_009135862.2, XP_009106344.1	jg26640
OG0004374	XP_009108088.1, XP_009135852.2, XP_009102644.1	jg26574
OG0004375	XP_033148564.1, XP_009135804.2, XP_009108905.2	jg26466
OG0004376	XP_009135773.1, XP_009145445.1, XP_009109307.1	jg26391
OG0004377	XP_009135767.1, XP_009145460.2, XP_009109370.1	jg26370
OG0004378	XP_009135766.1, XP_009109381.2, XP_009145462.2	jg26369
OG0004379	XP_033134122.1, XP_033144254.1, XP_033144253.1	jg26339
OG0004380	XP_009127393.2	jg1860
OG0004381	XP_009120952.1	jg5712
OG0004382	XP_009136628.1, XP_009115856.1	jg15052
OG0004384	XP_009111203.1	jg28537, jg28536
OG0004385	XP_009118702.1, XP_009119536.2	jg28663
OG0004387	XP_009118564.1, XP_009119100.1, XP_033132324.1	jg28945
OG0004388	XP_009110916.1, XP_009148034.1, XP_009118402.1	jg29146
OG0004391	XP_009110803.1, XP_009148278.1	jg29346
OG0004392	XP_009110687.1, XP_033128939.1, XP_009118166.1	jg29628
OG0004393	XP_009118074.2, XP_009148581.1	jg29698
OG0004394	XP_009110634.1, XP_009118070.1, XP_009148577.2	jg29703
OG0004395	XP_009110628.1, XP_009118057.1, XP_009148567.1	jg29732
OG0004396	XP_033136569.1, XP_033131423.1, XP_009149093.1	jg8011
OG0004397	XP_009110184.1, XP_009149662.2	jg30693
OG0004398	XP_009110150.1	jg1117, jg30771
OG0004399	XP_009115618.1, XP_009103226.1	jg30824
OG0004400	XP_009104898.1, XP_009127861.2, XP_009105828.1	jg2793
OG0004401	XP_033130548.1, XP_009104959.1, XP_009127782.1, XP_009105695.1	jg2637
OG0004402	XP_009106255.2, XP_033130902.1, XP_018508475.2	jg16006
OG0004403	XP_009112738.1, XP_009112965.1	jg554
OG0004405	XP_009124661.1	jg12858, jg381
OG0004406	XP_033135222.1, XP_009113914.2, XP_009113919.2	jg20731
OG0004407	XP_009117009.1	jg15304
OG0004408	XP_009128745.1, XP_009109430.1	jg8492
OG0004409	XP_009141055.1, XP_033133131.1	jg8648
OG0004410	XP_009138349.1, XP_009105143.1	jg8833
OG0004411	XP_009138173.1, XP_009124165.2	jg9063
OG0004412	XP_009111500.1	jg8222
OG0004413	XP_009108778.2, XP_009138202.1, XP_009120554.1	jg9008, jg27457
OG0004414	XP_009138221.1, XP_033132572.1, XP_009118929.2	jg8981
OG0004415	XP_009138255.1, XP_009117836.1, XP_009108763.2	jg8968
OG0004416	XP_009108894.1, XP_033144919.1, XP_009126447.1	jg9196
OG0004417	XP_009108915.1, XP_009126824.1, XP_033135429.1	jg9241
OG0004418	XP_033144483.1, XP_033133902.1, XP_033135913.1, XP_009127059.1	jg9264
OG0004419	XP_009106477.1	jg26615
OG0004421	XP_033142065.1, XP_033140681.1, XP_033135171.1	jg8142
OG0004422	XP_033143210.1, XP_009111408.1	jg8136
OG0004423	XP_009109101.1, XP_018513266.1, XP_009144363.1	jg9605
OG0004425	XP_009113792.1	jg31237
OG0004428	XP_009147856.2, XP_033128455.1	jg33143, jg33050, jg33141
OG0004431	XP_018514755.1, XP_033135120.1	jg25983
OG0004432	XP_033144912.1	jg18261
OG0004433	XP_033141056.1, XP_033140222.1, XP_009123907.1	jg18398
OG0004434	XP_009151953.1, XP_009151954.1	jg9672, jg20103
OG0004435	XP_009148231.2	jg15906
OG0004436	XP_009129859.1, XP_009129856.1, XP_009151215.1	jg6670, jg6669
OG0004439	XP_033137143.1	jg20948, jg20946
OG0004451	XP_009136658.1, XP_009137309.1	jg10219
OG0004452	XP_009149927.1	jg14508, jg22796
OG0004453	XP_009133319.1, XP_018514859.1	jg19078
OG0004454	XP_009102576.1, XP_009106304.1	jg20313
OG0004455	XP_009101268.1, XP_009129165.1	jg13033
OG0004456	XP_009126239.1	jg5651
OG0004457	XP_009119267.1	jg28785
OG0004458	XP_009131563.1, XP_009121445.1	jg5513
OG0004459	XP_009104414.1	jg16436
OG0004460	XP_009131532.2, XP_033139555.1, XP_009126102.1, XP_009121499.2	jg5450
OG0004461	XP_033142897.1, XP_033140092.1, XP_009121541.1	jg5408
OG0004462	XP_009131436.1, XP_009121608.1	jg5337
OG0004463	XP_009126006.1	jg5302
OG0004464	XP_009136322.2, XP_009112397.1, XP_033134162.1	jg27761
OG0004465	XP_009131358.1, XP_009121731.1, XP_009121733.1	jg5185
OG0004466	NP_001288935.1, XP_009131338.1, XP_009125913.1	jg5158
OG0004467	XP_009135474.1	jg27643, jg27645, jg27765, jg25646
OG0004468	XP_009110531.3, XP_033138558.1	jg5127
OG0004469	XP_009125873.1, XP_009131303.1	jg5067, jg5107
OG0004470	XP_009125862.2, XP_033142453.1, XP_033137895.1	jg5081
OG0004471	XP_009125846.2, XP_033137887.1, XP_009131254.1	jg5045
OG0004472	XP_009121911.2, XP_009131232.1	jg5016
OG0004473	XP_009151050.1, XP_009131196.2	jg4941
OG0004476	XP_009131167.1, XP_009125296.1, XP_009122044.2	jg4880
OG0004477	XP_009125382.1, XP_009131133.1	jg4814
OG0004478	XP_009122498.1, XP_009131103.1, XP_033140958.1	jg4734
OG0004479	XP_009122417.1, XP_033144931.1, XP_033140837.1	jg4654
OG0004480	XP_033140649.1, XP_009134372.1, XP_009122132.1	jg7910
OG0004481	XP_009134367.1, XP_009122006.3	jg7920
OG0004483	XP_009109237.1, XP_009138507.2, XP_033144731.1	jg9995
OG0004484	XP_009103598.1, XP_033143922.1	jg17650
OG0004485	XP_009140840.1, XP_009103638.2	jg17739
OG0004486	XP_033130881.1, XP_009140847.1, XP_009133880.1	jg17769
OG0004487	XP_009144361.1	jg17977
OG0004488	XP_009144352.1, XP_009133840.1	jg17995
OG0004489	XP_009141027.1, XP_009144340.1, XP_009132701.2	jg18032
OG0004490	XP_033147392.1, XP_033146259.1, XP_033142563.1	jg18071
OG0004492	XP_009141065.1, XP_009144302.2, XP_009132737.2	jg18088
OG0004493	XP_009141160.1, XP_009132794.1, XP_009144198.1	jg18214
OG0004494	XP_009144007.1, XP_009143950.1, XP_009141254.1	jg18337
OG0004495	XP_009143934.1, XP_009141275.1, XP_009143933.1	jg18353
OG0004496	XP_009141286.1, XP_009143903.2, XP_009132884.2	jg18388
OG0004497	XP_009132922.1, XP_009143868.1, XP_009141309.2	jg18436
OG0004498	XP_009132931.1	jg12218, jg18442
OG0004499	XP_033135629.1	jg20861, jg20862, jg20865
OG0004500	XP_009111118.1	jg28743
OG0004502	XP_033132980.1	jg7802
OG0004503	XP_009129557.1	jg32700
OG0004504	XP_009113721.1, XP_009109768.1	jg31312
OG0004505	XP_009102930.2, XP_009113698.1	jg31333
OG0004506	XP_009109753.1	jg31338
OG0004507	XP_009109741.1, XP_009113684.1	jg31348
OG0004508	XP_009109711.1, XP_009102901.1, XP_009113652.1	jg31376, jg31378
OG0004509	XP_009123177.1, XP_009103024.1, XP_009109688.1	jg31417
OG0004510	XP_009115242.1	jg31465, jg31464
OG0004511	XP_033133859.1, XP_009102835.1, XP_033137290.1	jg31497
OG0004512	XP_009115216.1, XP_009109642.1, XP_033130708.1	jg31518
OG0004514	XP_009125143.1, XP_009140009.1	jg19849
OG0004515	XP_009109619.1, XP_009102791.1, XP_009115187.1	jg31553
OG0004516	XP_009115056.1	jg31628
OG0004517	XP_033135668.1	jg31741
OG0004518	XP_009101245.1, XP_009114192.2, XP_009129128.1	jg13070
OG0004519	XP_009114179.2, XP_009129103.1, XP_009152212.1	jg13107
OG0004521	XP_009115829.1, XP_009103469.1, XP_009112343.1	jg23696
OG0004522	XP_009130516.1, XP_033135180.1, XP_018515507.1	jg23560
OG0004523	XP_009112145.1, XP_009150543.1	jg23466
OG0004524	XP_009150480.1, XP_009130439.2	jg23401
OG0004525	XP_009150473.1	jg23395
OG0004526	XP_009112220.2, XP_009150441.1	jg23349
OG0004527	XP_009150375.2, XP_009150373.2, XP_009112068.1	jg23285
OG0004529	XP_009130306.2, XP_009130199.1, XP_009112010.1	jg23168
OG0004530	XP_009136470.1, XP_009130172.1, XP_009111992.1	jg23087
OG0004531	XP_009136371.1, XP_009141444.1, XP_009130118.1	jg6175
OG0004532	XP_009114158.1, XP_009152198.1	jg13137
OG0004533	XP_009111765.2, XP_033129928.1	jg1935, jg6425
OG0004534	XP_009151093.1, XP_009111670.2, XP_009129951.1	jg6447
OG0004535	XP_009151094.2, XP_009111671.1, XP_009129950.1	jg6448
OG0004536	XP_009111691.1, XP_009151129.1, XP_009129917.1	jg6531
OG0004537	XP_009108008.1, XP_033146916.1, XP_009124234.2	jg12045
OG0004538	XP_009120835.1, XP_009131784.1	jg5884
OG0004540	XP_009126487.1, XP_009120760.1, XP_033143944.1	jg5953
OG0004541	XP_009131824.2, XP_009120758.1, XP_009126488.1	jg5954
OG0004542	XP_009126497.1, XP_009131830.2, XP_009120740.1	jg5964
OG0004543	XP_009131838.1, XP_033141946.1, XP_009126503.2	jg5978
OG0004544	XP_009120699.1, XP_009131846.2, XP_009126517.1	jg5998
OG0004545	XP_009131871.1, XP_009120668.1	jg6039
OG0004546	XP_018513435.2, XP_009126562.1, XP_009120642.2	jg6095
OG0004547	XP_009120529.1, XP_009126622.1	jg22953
OG0004549	XP_009126699.1, XP_009132001.1, XP_033137994.1	jg22868
OG0004550	XP_009120436.2, XP_009126708.2, XP_009132006.1	jg11957, jg22856
OG0004551	XP_009126745.1, XP_009121303.1	jg22781
OG0004552	XP_009126763.1, XP_009120338.2, XP_009132066.1	jg22738
OG0004553	XP_009110802.1, XP_009148277.1	jg29347
OG0004555	XP_009132092.1, XP_009120313.1	jg22702
OG0004556	XP_009137018.1, XP_009133197.1	jg10607
OG0004557	XP_009120195.1, XP_009132168.1, XP_009126922.1	jg22571
OG0004558	XP_009132189.2, NP_001288981.1	jg22547
OG0004559	XP_009118616.1, XP_009119188.1	jg28853
OG0004560	XP_009127048.3, XP_009132329.1, XP_009120137.1	jg22469
OG0004561	XP_009137632.1, XP_009143015.2	jg9746
OG0004562	XP_009132428.2, XP_009120004.1	jg22295
OG0004563	XP_009150149.1, XP_009149738.1, XP_009152009.1	jg14779
OG0004564	XP_009150155.1, XP_009149755.1	jg14766
OG0004565	XP_009122358.1, XP_009130984.1	jg4557
OG0004566	XP_009130835.1, XP_009125576.2, XP_009122571.1	jg4224
OG0004567	XP_009122598.1	jg4195
OG0004568	XP_009122646.1, XP_009117304.1, XP_033136710.1	jg4146
OG0004569	XP_009125507.1, XP_033145087.1, XP_009122694.1	jg4093
OG0004570	XP_009125460.1, XP_009130744.2, XP_009122756.2	jg4008
OG0004571	XP_009146984.1, XP_009122859.1	jg24788
OG0004572	XP_009128440.1	jg3745
OG0004573	XP_009106754.1, XP_009128426.1, XP_009104459.1	jg3731
OG0004574	XP_009106724.1	jg3690
OG0004575	XP_009106681.2, XP_033141821.1, XP_009104516.1	jg3649
OG0004576	XP_009106574.1, XP_009104568.1, XP_009128303.1	jg3539
OG0004578	NP_001288873.1, XP_009106531.1, XP_009104583.2	jg3501
OG0004579	XP_009151781.1, XP_009106426.1, XP_009104601.1	jg3454
OG0004580	XP_009106419.2, XP_009128251.2, XP_009104604.1	jg3447
OG0004583	XP_009104702.1, XP_033131086.1, XP_009128110.1	jg3209
OG0004584	XP_009104703.1, XP_009128108.1	jg3208
OG0004585	XP_009103077.1, XP_009109901.1	jg31149
OG0004586	XP_009106930.2, XP_009147542.1	jg33647
OG0004587	XP_009144650.1, XP_009117477.1	jg12031
OG0004588	XP_009147613.1, XP_033132410.1	jg33529
OG0004589	XP_009143621.1, XP_009133061.1, XP_009141554.1	jg18734
OG0004590	XP_009143908.1, XP_009143074.1	jg19843
OG0004593	XP_009132509.1, XP_009119831.2, XP_018511789.2	jg21999
OG0004595	XP_009103934.1	jg11515, jg11512, jg11513
OG0004597	XP_009124105.1	jg11330
OG0004598	XP_033133697.1	jg11241
OG0004599	XP_009104842.1, XP_009105949.1, XP_009127954.1	jg2918
OG0004600	XP_009137258.1, XP_018509162.2, XP_009135888.1	jg10295
OG0004601	XP_009104758.1	jg3102
OG0004602	XP_009105472.1, XP_009105005.1, XP_009127719.1	jg2509
OG0004603	XP_009137779.1, XP_009144407.1	jg9145
OG0004604	XP_009137822.1, XP_009109065.2, XP_009129060.2	jg9531
OG0004606	XP_009127333.2, XP_009132687.2, XP_009140888.2	jg21744
OG0004607	XP_009152097.1, XP_009129577.1	jg10943, jg13266
OG0004608	XP_009105663.1	jg2587
OG0004609	XP_009101545.1, XP_009101549.1	jg20462
OG0004610	XP_009101607.1	jg20556
OG0004611	XP_009135701.2, XP_009145607.1	jg26223
OG0004612	XP_009144912.1	jg33271, jg33269
OG0004613	XP_009144897.1, XP_009147763.1, XP_009107179.1	jg33309
OG0004616	XP_009147686.1, XP_009144844.1	jg33431, jg33432
OG0004618	XP_009147644.2	jg33496, jg32348
OG0004619	XP_009133036.1, XP_009143637.2, XP_009141507.1	jg18701
OG0004620	XP_009108386.1, XP_033129340.1, XP_009136953.2	jg10716
OG0004621	XP_009136931.2, XP_009131722.1, XP_009108362.2	jg10750
OG0004622	XP_009124614.1	jg11486, jg11497
OG0004623	XP_009136922.1, XP_009108359.1	jg10762
OG0004624	NP_001288936.1, XP_009137157.1, XP_009137359.1	jg10142
OG0004625	XP_009137333.1, XP_009136940.1	jg10173
OG0004626	XP_009112389.2	jg27705
OG0004627	XP_033134128.1, XP_009136369.1	jg27826
OG0004628	XP_009137657.1, XP_033133056.1, XP_009137416.1	jg10077
OG0004629	XP_009137634.1, XP_009137412.2	jg10079
OG0004630	XP_009137467.1, XP_009137396.1	jg10102
OG0004631	XP_033143306.1	jg10113
OG0004633	XP_033131060.1, XP_009137256.1	jg10298
OG0004635	XP_009108475.1, XP_033130602.1, XP_009137149.1	jg10513, jg10510
OG0004636	XP_009112960.2	jg23905, jg541
OG0004637	XP_009138679.1	jg16369, jg20212
OG0004638	XP_009104403.1, XP_009138705.1, XP_009116959.1	jg16362
OG0004639	XP_009116880.1	jg16276
OG0004640	XP_009117213.1	jg16234
OG0004641	XP_009116829.1, XP_009104328.1	jg16218
OG0004642	XP_009116720.1, XP_009138840.1	jg16093
OG0004643	XP_009116632.1	jg16013
OG0004644	XP_009138588.1, XP_009137477.1	jg9988
OG0004645	XP_033131119.1, XP_033146232.1, XP_009116502.1	jg15826
OG0004646	XP_009139007.1, XP_009104077.1, XP_009116485.1	jg15807
OG0004647	XP_009116446.2	jg15755
OG0004648	XP_033131394.1, XP_009116443.1, XP_009139035.1	jg15751
OG0004650	XP_009116414.1, XP_009139046.1	jg15676
OG0004651	XP_009116377.1, XP_009139072.1, XP_033131719.1	jg15705
OG0004652	XP_009116370.1, XP_009104017.1, XP_009139080.1, XP_009139077.1	jg15640
OG0004653	XP_033146547.1, NP_001288847.1, NP_001288821.1	jg15611
OG0004654	XP_009103984.1, XP_009139116.1, XP_009116316.1	jg15587
OG0004656	XP_009116258.1, XP_009139154.1, XP_009103959.1	jg15496
OG0004657	XP_009103902.1, XP_009116095.1	jg15343
OG0004658	XP_009139276.1, NP_001288953.1, XP_009116089.1	jg15335
OG0004659	XP_033142005.1, XP_009127094.2	jg22232
OG0004660	XP_009127137.1, XP_009132460.1, XP_009119928.1	jg22149, jg930
OG0004661	XP_009105097.1, XP_009127577.2, XP_009105327.2	jg2318
OG0004662	XP_009105390.1, XP_009127636.1, XP_009105043.1	jg2413
OG0004663	XP_009112555.2	jg28039
OG0004664	XP_009112592.1, XP_009103407.1	jg28100
OG0004665	XP_018508232.1, XP_009102157.1	jg28126
OG0004666	XP_009141915.1, XP_033144146.1, XP_033148448.1	jg19317
OG0004667	XP_009140341.1, XP_009112541.1	jg16654
OG0004668	XP_033145561.1, XP_009133424.1, XP_009143235.2	jg19273, jg5900
OG0004669	XP_009141860.2, XP_009133403.1, XP_009143256.1	jg19244
OG0004670	XP_009133392.1, XP_009143268.1, XP_009141849.1, XP_009141850.1	jg19226
OG0004671	XP_009133377.1, XP_009143292.1	jg19193
OG0004672	XP_009143313.1, XP_009141812.1	jg19165
OG0004673	XP_009143315.1	jg19163
OG0004674	XP_009133340.2, XP_009143341.1	jg19092, jg19091
OG0004676	XP_009141708.2, XP_009133222.1, XP_009143435.1	jg18963
OG0004677	XP_009114550.1	jg7731, jg20755
OG0004678	XP_033139284.1, XP_009114627.1, XP_009144489.1	jg7637
OG0004679	XP_009123186.1	jg32646
OG0004680	XP_033144484.1	jg7282
OG0004681	XP_009128686.1, XP_033135131.1, XP_009134225.1	jg7480
OG0004682	XP_009124386.1	jg7561, jg7476, jg7567, jg27439, jg2204
OG0004683	XP_033140442.1, XP_009111713.1, XP_033129691.1	jg6558
OG0004684	XP_009107879.2, XP_009111927.1, XP_033129726.1	jg6717
OG0004685	XP_009102039.2, XP_009117495.2, XP_009112664.1	jg28251
OG0004686	XP_033142604.1, XP_009140580.2, XP_009109350.2	jg8643
OG0004687	XP_009142352.1, XP_009143158.1, XP_009133734.1	jg19960
OG0004688	XP_009143103.1, NP_001288992.1	jg19882, jg19879
OG0004689	XP_009143050.2, XP_009133677.2	jg19818
OG0004690	XP_009133600.2, XP_009142934.1, XP_009142193.1	jg19677
OG0004691	XP_009101452.2, XP_009114308.1, XP_033141439.1	jg20356
OG0004692	XP_009125035.2, XP_033142423.1, XP_009147408.1, XP_009134621.1	jg23975
OG0004694	XP_009119295.1	jg24198
OG0004695	XP_009134747.1, XP_009130392.1, XP_009102086.1	jg24242
OG0004696	XP_033141211.1	jg20792, jg24513
OG0004697	XP_033147420.1, XP_009130008.2	jg24523
OG0004699	XP_009134872.1, XP_009124939.1, XP_009129643.1	jg24543
OG0004700	XP_009129658.1, XP_009134888.1, XP_018510723.1	jg24568
OG0004701	XP_009147153.1, XP_033142911.1	jg24597
OG0004702	XP_009134947.2, XP_009124541.1, XP_009147115.1	jg24655
OG0004703	XP_009124304.1, XP_009134982.1, XP_009147058.1	jg24712
OG0004704	XP_009134990.2, XP_009147043.1, XP_009124202.1	jg24726
OG0004705	XP_009146987.1, XP_009123862.1, XP_009135091.1	jg24785
OG0004706	XP_009146933.1, XP_018511643.1, XP_033142207.1	jg24860
OG0004707	XP_009121137.2, XP_009146679.2, XP_009135187.2	jg25137
OG0004708	XP_009120741.2, XP_009146621.1, XP_009135221.2	jg25185
OG0004709	XP_009135245.1, XP_009120424.2, XP_009146602.1	jg25221
OG0004710	XP_018512515.2, XP_009120364.1, XP_018514506.1, XP_009146596.1	jg25226
OG0004711	XP_033142334.1, XP_009124688.1, XP_009146570.1	jg25250
OG0004712	XP_009124754.1, XP_009146485.1	jg25330
OG0004713	XP_009146430.2, XP_009135347.1	jg25400
OG0004714	XP_009117284.1, XP_009146423.2	jg25404, jg33652
OG0004715	XP_009151588.1, XP_009129696.1	jg21276
OG0004716	XP_009146248.1, XP_009135440.1	jg25576, jg25580
OG0004717	XP_009116224.3, XP_009146245.1	jg25585
OG0004718	XP_009135482.1, XP_033148273.1	jg25684
OG0004721	XP_009135580.1, XP_033147066.1, XP_009112699.1	jg25980
OG0004723	XP_009135713.2, XP_009145534.2, XP_033142077.1	jg26262
OG0004724	XP_009109957.1, XP_009135723.2, XP_009145525.1	jg26282
OG0004725	XP_009135731.1, XP_009109818.1, XP_009145516.1	jg26291
OG0004726	XP_033137003.1, XP_018512632.1, XP_033142627.1	jg26305
OG0004727	XP_018512621.1, XP_009145504.2, XP_009135740.2	jg26306
OG0004728	XP_009125068.1	jg12355
OG0004729	XP_009135851.1, XP_009102654.1, XP_033148617.1	jg26566
OG0004730	XP_009108737.1	jg26495
OG0004731	XP_009145312.1	jg26488
OG0004732	XP_033140912.1, XP_009108997.1, XP_033142590.1	jg9390
OG0004733	XP_009126270.1, XP_009131678.1, XP_009120959.1	jg5706
OG0004734	XP_033137443.1, XP_033142663.1, XP_033141896.1	jg5702
OG0004735	XP_009120977.1, XP_009131665.1	jg5686
OG0004736	XP_033136993.1, XP_018513604.1, XP_009139492.1	jg15099
OG0004737	XP_033144800.1, XP_009136642.2, XP_009137089.2	jg15095
