Orthogroup	Brassica_rapa	Arabidopsis_lyrata_Rawat
OG0001216	XP_009112339.1	AL1G56250, AL1G56170
OG0001218	XP_009149883.1	AL6G44110
OG0001219	XP_018515122.2, XP_009150044.2, XP_009122492.1, XP_033140952.1	AL6G19480
OG0001220	XP_009129024.2	AL7G11530
OG0001221	XP_009101418.1	AL8G10490
OG0001221	XP_009114277.2, XP_009114279.2	AL8G10500, AL8G10540
OG0001222	XP_033134404.1, XP_033129554.1, XP_009112461.1	AL3G50920
OG0001222	XP_009109258.1, XP_009147799.1, XP_009138405.2	AL7G15010
OG0001223	XP_033135135.1, XP_033134370.1, XP_009115639.2, XP_033135146.1	AL1G39030
OG0001224	XP_009109873.1, XP_009113303.2, XP_009113300.2, XP_009113399.2, XP_009129206.1	AL2G17730
OG0001224	XP_033135254.1	AL2G17630
OG0001225	XP_009135955.1	nbis-gene-1794, AL7G31100, AL7G31090
OG0001226	XP_033143705.1	AL7G44270
OG0001226	XP_018513130.2	AL5G17770
OG0001231	XP_009119071.2	AL3G12720
OG0001231	XP_009126159.1, XP_009121421.2, XP_009131574.2	AL6G28020
OG0001232	XP_009111590.1	AL6G25700
OG0001232	XP_009106229.1, XP_009128130.1, XP_009112561.1, XP_009130251.1, XP_009104698.1	AL2G35740
OG0001233	XP_009109956.1, XP_009143027.1	AL7G25800
OG0001234	XP_018512985.2, XP_009131183.2, XP_009125272.1, XP_033137625.1	AL6G21420
OG0001235	XP_009122472.1, XP_009131090.1	AL6G19300
OG0001235	XP_009112104.1, XP_009150421.1	AL8G40830
OG0001236	XP_009147051.2, XP_009134985.1, XP_009124276.2	AL3G18950
OG0001236	XP_009134396.1	AL6G50090
OG0001237	XP_009140979.1	AL84U10010
OG0001237	XP_009125632.1	AL6G16010
OG0001240	XP_009119251.1	AL1G14520
OG0001240	XP_009141266.1	AL4G28130
OG0001241	XP_009132871.1, XP_009141271.2, XP_009143936.2	AL2G18490, AL4G28170
OG0001242	XP_033134710.1	AL1G42710
OG0001242	XP_033146295.1	AL1G42720, AL4G29910
OG0001243	XP_033136596.1	AL8G22540, AL6G40340
OG0001243	XP_009129844.2, XP_009111926.2	AL6G40300
OG0001244	XP_009136520.1	AL5G29880
OG0001245	XP_009130270.1, XP_009150427.1	AL8G40970, AL8G40980
OG0001246	XP_009105285.2, XP_009127555.1	AL2G26000
OG0001246	XP_009113763.1	AL1G40810
OG0001247	XP_033140357.1, XP_009150123.2	AL8G38540
OG0001247	XP_009125686.1, XP_009130988.1	AL6G17650
OG0001248	XP_009126521.2, XP_009120689.2, XP_009120690.1	AL6G33030
OG0001248	XP_009131855.1	AL5G22120
OG0001249	XP_009120348.1	AL8G34540
OG0001249	XP_009126755.1, XP_009122380.1, XP_009125674.1	AL6G17240
OG0001250	XP_009122972.1	AL1G66240
OG0001251	XP_009127118.1, XP_009132653.1, XP_009119939.1	AL8G29220
OG0001252	XP_009134429.1, XP_009144559.1, XP_009111283.1	AL6G50580
OG0001252	XP_033134955.1, XP_033138281.1	AL1G12330
OG0001253	XP_033143200.1, XP_009134405.1, XP_009111258.1	nbis-gene-1660
OG0001253	XP_009114768.1	AL1084U10010
OG0001254	XP_009135043.1, XP_009123236.2	AL3G20930
OG0001254	XP_033137659.1, XP_009125473.2	AL6G12330
OG0001255	XP_009122748.1, XP_033144926.1, XP_009130739.1	AL6G12110
OG0001255	XP_009123299.1, XP_009146914.1	AL3G20820
OG0001256	XP_009128315.1, XP_009106602.1	AL2G39290
OG0001256	XP_009149121.1, XP_009110439.1	AL1G29030
OG0001257	XP_009128198.2	AL2G36950
OG0001257	XP_033132889.1	AL1G34220
OG0001258	XP_018508803.2	AL2G35220, AL2G35210
OG0001259	XP_009106179.1, XP_009128085.2, XP_009104714.1	AL2G35130
OG0001259	XP_009117538.2, XP_009149433.1	AL1G32200
OG0001260	XP_009121121.1	AL3G50270
OG0001260	XP_009101799.1, XP_009109291.1, XP_009138358.2	AL7G15720
OG0001261	XP_009109275.3	AL7G15320
OG0001261	XP_033131361.1, XP_009112445.1, XP_009150775.1	AL3G50690
OG0001262	XP_033132305.1, XP_009147500.2	AL1G63620
OG0001262	XP_009135302.1, XP_033147390.1, XP_009124743.1	AL3G25240
OG0001263	XP_033143080.1, XP_009143596.1	AL4G32450
OG0001264	XP_033144876.1	AL3G18810
OG0001265	XP_009145308.1	AL3G36920
OG0001265	XP_009144350.1, XP_009144702.1, XP_009148136.1, XP_009107804.1	AL7G41070
OG0001266	XP_033135628.1, XP_033128159.1, XP_033133173.1	AL1G31360
OG0001266	XP_033130652.1	AL2G34550
OG0001267	XP_009109027.1, XP_009128542.1	AL7G22600, AL7G22610
OG0001267	XP_009128553.1	AL7G22620
OG0001268	XP_009127683.1, XP_018511650.1	AL2G27930
OG0001270	XP_033134059.1	AL3G33630
OG0001271	XP_009145696.1, XP_009111306.1, XP_009135660.2	AL1G24210, AL1G24300, AL1G58040, AL3G33650
OG0001272	XP_009147841.2, XP_033128436.1	AL1G58050
OG0001272	XP_009135662.1, XP_009145694.1	AL3G33660
OG0001273	XP_009134231.1	AL6G45440
OG0001273	XP_009137373.1, XP_009109295.1, XP_009137263.1	AL7G29740
OG0001274	XP_009111122.1, XP_009119328.2, XP_009118663.1	AL1G13770
OG0001275	XP_033145642.1	nbis-gene-1917
OG0001275	XP_009113004.1	AL2G10680
OG0001276	XP_009135461.1	AL7G31890
OG0001276	XP_009144515.1	AL6G48190, AL6G48220
OG0001277	XP_009114536.1	AL6G48400
OG0001277	XP_033148024.1, XP_009108529.2, XP_009137213.2	AL7G32180
OG0001278	XP_033146093.1, XP_018514870.1	AL371U10010, AL4G45110
OG0001278	XP_009116801.1, XP_033146701.1	AL1G53600, AL5G43660
OG0001279	XP_009116668.1, XP_009138891.1, XP_009104231.1	AL5G42080
OG0001279	NP_001288917.1	AL4G42980
OG0001280	XP_009142072.1	AL4G41060
OG0001280	XP_009104148.1, XP_009116530.2	AL5G40280
OG0001282	XP_009104081.2, XP_009139004.2	AL5G39550
OG0001282	XP_009142814.1	AL4G40590
OG0001283	XP_009123935.1, XP_009147001.1	AL3G19490
OG0001283	XP_009116286.1, XP_009139611.1	AL5G37220
OG0001284	XP_009139148.2, XP_009116262.1	AL5G36820
OG0001284	XP_009143283.2, XP_009141837.2, XP_009133384.1	AL4G37340
OG0001285	XP_009127196.3	AL8G27720
OG0001285	XP_009132502.1	AL8G27730
OG0001285	XP_009143962.1	AL7G24890
OG0001286	XP_009143533.1, XP_009141625.1	AL4G33370
OG0001286	XP_033145799.1, XP_009103852.1, XP_009116020.2	AL5G34170
OG0001287	XP_033134324.1	AL3G51250
OG0001287	XP_009138413.1, XP_009146141.1	AL7G14860
OG0001288	XP_009117123.1, XP_033145767.1	AL4G15070
OG0001288	XP_009126964.1, XP_033133901.1	AL7G20620
OG0001289	XP_009133676.1	AL4G43590
OG0001289	XP_009143042.2, XP_009143044.2, XP_009143046.2	AL4G43580, AL4G43570
OG0001290	XP_009134969.1, XP_009147071.1	AL3G18790
OG0001292	XP_009114631.2	AL3G29580
OG0001292	XP_009114342.1, XP_009114352.1, XP_009135520.1	AL3G29590
OG0001293	XP_009119373.1, XP_009119374.1	AL1G13250, AL1G13240
OG0001294	XP_033135601.1	AL1G26480
OG0001294	XP_009110520.1	AL1G26440
OG0001295	XP_009110403.1, XP_009149205.1, XP_009117657.1	AL1G29820
OG0001295	XP_009105940.1	AL2G32420
OG0001296	XP_009139763.1	nbis-gene-1960
OG0001297	XP_009151827.1, XP_009129350.1, XP_009151826.1, XP_009129349.1, XP_009151825.1	AL5G18730, AL5G18770
OG0001298	XP_009109852.1, XP_033136295.1, XP_033131247.1	AL1G40310
OG0001298	XP_009105340.1, XP_009127586.1, XP_033131676.1	AL2G26720
OG0001300	XP_033137592.1, XP_009130707.1	AL3G20640, AL6G11750
OG0001300	XP_033144421.1, XP_009120515.2	AL3G24240
OG0001301	XP_033136889.1, XP_009114315.1	AL8G11390
OG0001303	XP_009140203.1, XP_033128514.1	AL5G24900
OG0001305	XP_033129907.1	AL1G26960
OG0001305	XP_018512428.2, XP_009101331.1, XP_033135785.1	AL5G10690
OG0001306	XP_009147388.1, XP_009134640.1	AL3G11230
OG0001306	XP_009131467.2, XP_009126048.1, XP_009121571.1	AL6G26320
OG0001307	XP_009125032.2	AL3G10930
OG0001307	XP_018512962.2, XP_033137799.1	AL6G25890
OG0001308	XP_033138529.1, XP_009125790.2, XP_009131197.2, XP_033138526.1, XP_009125794.2	AL6G21810
OG0001309	XP_009131049.1, XP_033140836.1, XP_009122431.1	AL6G18610
OG0001309	XP_009136386.1	AL6G34320
OG0001310	XP_009148039.2, XP_009118406.1	AL1G18180
OG0001310	XP_009133875.1, XP_009103694.1, XP_009140905.1	AL4G22880
OG0001311	XP_009118570.1, XP_009119110.1	AL1G15810
OG0001311	XP_009132802.1, XP_009141154.1	AL762U10020, AL4G26820
OG0001312	XP_033147729.1	AL4G30060
OG0001312	XP_009102872.1, XP_009115263.2, XP_009109679.1	AL1G42950
OG0001314	XP_009148729.2	AL1G26270
OG0001314	XP_009129125.1, XP_009101236.1, XP_009114188.2	AL5G12000, AL4G15150
OG0001315	XP_009110575.1, XP_009117962.1, XP_018514957.1	AL1G25650
OG0001315	XP_009152169.1	AL5G13270
OG0001316	XP_009150118.1	AL8G38610
OG0001316	XP_009102971.2, XP_009109804.1	AL1G40860
OG0001317	XP_033129543.1	AL6G34950
OG0001317	XP_018510153.1	AL5G28310
OG0001318	XP_009131928.2, XP_033138135.1, XP_018511229.2	AL8G36890
OG0001318	XP_009120563.1, XP_018512121.1	AL8G36920
OG0001319	XP_009126663.1	AL8G36320
OG0001319	XP_009149988.1	AL5G24870
OG0001320	XP_018513131.2, XP_009132560.2, XP_033144092.1, XP_009132181.2	AL8G32670
OG0001320	XP_033144087.1, XP_033144588.1	AL8G32680
OG0001321	XP_009126988.2, XP_018511087.2	AL8G31240
OG0001321	XP_009109174.2, XP_018514414.1	AL7G26260
OG0001322	XP_009119740.1	AL1G10540
OG0001322	XP_009116784.1, XP_009138783.1	AL4G14380
OG0001323	XP_009125645.1, XP_009122254.1	AL6G16570
OG0001323	XP_009121147.1, XP_009146682.1, XP_009135183.2	AL3G23360
OG0001324	XP_009125636.1	AL6G16230
OG0001324	XP_009135173.1, XP_033148392.1	AL3G23120
OG0001325	XP_009135174.2, XP_009124886.2, XP_009146708.1	AL3G23100
OG0001326	XP_009130843.1, XP_009122558.1	AL6G14540
OG0001326	XP_009146816.1, XP_009135122.1	AL3G41450
OG0001327	XP_018511874.1	AL7G47670
OG0001327	XP_018509720.1, XP_009112892.1	AL2G10780
OG0001328	XP_033132162.1, XP_009106614.1	AL2G26090
OG0001329	XP_009128227.1	AL2G37640
OG0001329	XP_009112575.1, XP_009110172.1, XP_009149692.1	AL1G34890
OG0001330	XP_009149670.1	AL1G34690
OG0001330	XP_009106386.1, XP_009128212.1	AL2G37420
OG0001331	XP_009147490.1, XP_009106837.1	AL1G63750
OG0001331	XP_009135299.1, XP_009146532.2	AL3G25170
OG0001332	XP_009106929.2, XP_009147533.1	AL1G62910
OG0001332	XP_033132803.1, XP_033146906.1	AL3G26180
OG0001334	XP_009139541.1	AL7G42100
OG0001334	XP_009109569.1	AL7G42110
OG0001335	XP_009108537.1	AL3G37280
OG0001336	XP_009108574.1	AL3G37250
OG0001337	XP_009148117.1	AL7G41050
OG0001338	XP_033139280.1	AL2G32900
OG0001338	XP_018509966.2, XP_033128127.1, XP_009110385.1, XP_009149233.2	AL1G30150
OG0001339	XP_009148531.1, XP_009118012.1	AL1G24970
OG0001339	XP_009152116.2, XP_033139865.1	AL5G14290
OG0001340	XP_033136870.1, XP_033128314.1	AL8G12750
OG0001341	XP_009101594.1	AL8G13220
OG0001341	XP_009128806.1	AL8G13350, AL7G35010
OG0001342	XP_033139919.1, XP_009101608.1, XP_009113867.1	AL8G13460
OG0001342	XP_009132702.2, XP_009137004.1	AL7G34850
OG0001343	XP_009108431.1, XP_009132958.1	AL7G34460
OG0001343	XP_009128764.1, XP_009101616.1	AL8G14010
OG0001344	XP_009107208.1, XP_009144900.1	AL1G59310
OG0001344	XP_009141524.1, XP_009133047.1	AL4G31950
OG0001345	XP_009123823.1, XP_033146858.1	AL1G60850
OG0001345	XP_009146200.1, XP_009115281.1	AL3G28400
OG0001346	XP_009147650.1	AL1G61190
OG0001346	XP_009135446.2, XP_009115491.2, XP_009146237.1	AL3G28080
OG0001347	XP_033133269.1, XP_009132293.1	AL7G35270
OG0001347	XP_033133270.1	AL7G35280
OG0001348	XP_009136574.2, XP_033144646.1	AL5G31280
OG0001348	XP_009112303.1, XP_009103529.1, XP_033141409.1	AL8G45090
OG0001349	XP_033142088.1	AL6G45320
OG0001349	XP_009137370.1, XP_033142594.1	AL7G29600
OG0001350	XP_009137277.1	AL7G30760
OG0001350	XP_033141521.1	AL6G46920
OG0001351	XP_009137153.1	AL7G33310
OG0001351	XP_009134021.2, XP_009108480.1, XP_009137152.2	AL7G33320
OG0001352	XP_009102421.1	AL3G40860
OG0001353	XP_033135047.1, XP_009104388.1	AL5G45400
OG0001353	XP_033147759.1	AL4G47050
OG0001356	XP_009116687.1, XP_009138870.1	AL5G42340
OG0001356	XP_009143026.1	AL4G43450
OG0001357	XP_009133549.1	AL4G41230
OG0001357	XP_009138941.1	AL5G40440
OG0001358	XP_009139057.1, XP_009116399.1	AL5G38390
OG0001358	XP_009142731.1, XP_009133474.1	AL4G39180
OG0001359	XP_033134649.1, XP_033131716.1, XP_009104015.1	AL5G38070
OG0001360	XP_009132383.2	AL5G37630
OG0001360	XP_009139806.1, XP_009125095.2	AL7G51610
OG0001362	XP_009151664.1	AL8G21690
OG0001362	XP_033147481.1	AL3G18470
OG0001364	XP_033131260.1	AL2G38570
OG0001365	XP_033147223.1, XP_033136180.1	AL1G47120
OG0001365	XP_009134196.1	AL6G44620
OG0001366	XP_009134825.2, XP_009147241.2, XP_018511494.2	AL3G15980
OG0001366	XP_009129871.1	AL6G39400
OG0001367	XP_033128585.1	nbis-gene-1292
OG0001368	XP_009142450.1, XP_009142600.1, XP_009133789.2	AL4G46270
OG0001369	XP_033142213.1	AL462U10010, nbis-gene-1152
OG0001369	XP_009142959.3	nbis-gene-1151
OG0001369	XP_009142223.1	AL4G42530
OG0001370	XP_009132654.1	AL2G39980
OG0001370	XP_033141194.1, XP_033141582.1	AL2G18270
OG0001371	XP_009130420.1, XP_009125008.1	AL3G13990
OG0001371	XP_009120988.1	AL6G29510
OG0001372	XP_009151249.2	AL6G40540
OG0001372	XP_033144330.1, XP_009123983.1, XP_033147471.1	AL3G14520
OG0001373	XP_033130435.1, XP_033138059.1, XP_033138400.1, XP_033135332.1	AL6G38110
OG0001373	XP_033142266.1, XP_009122650.1	AL3G22210
OG0001374	XP_009115877.1, XP_009125099.1, XP_009139815.1	AL7G51430
OG0001375	XP_009146321.2, XP_033148645.1, XP_009146320.2, XP_009116594.2, XP_009135398.1, XP_009135396.1	AL3G27150
OG0001376	XP_009135432.1, XP_009104652.1, XP_033137861.1	AL3G27600
OG0001376	XP_009107000.1, XP_033128388.1	AL1G61550
OG0001377	XP_009145977.1, XP_033144429.1, XP_009113753.1	AL3G30940
OG0001378	XP_009131304.1, XP_033147045.1, XP_033137460.1	AL6G23570
OG0001378	XP_009145585.1	AL3G34720
OG0001379	XP_009107204.1, XP_009144905.1	nbis-gene-284
OG0001379	XP_033134899.1	AL4G26910
OG0001380	XP_009120984.1	AL6G29570, AL6G29580, AL6G29550
OG0001381	XP_009104154.1	AL2G15550
OG0001381	XP_009118223.2, XP_009148434.2	AL1G21920
OG0001384	XP_033130229.1	AL2G29990
OG0001384	XP_009110107.2, XP_009103182.2, XP_009115544.1	AL1G37100
OG0001385	XP_009138464.1	AL7G13930
OG0001385	XP_009140147.2	AL7G13920
OG0001386	XP_009114803.2, XP_009114802.1, XP_033136135.1, XP_009114804.2, XP_009114806.1, XP_009114805.1	AL1G47760, AL8G14930
OG0001387	XP_009138218.1	AL7G17530
OG0001387	XP_009123221.1	AL3G46640
OG0001389	XP_033148159.1, XP_033148016.1, XP_033147764.1, XP_009114794.1	AL3G29210, AL3G29170, AL3G29180, AL4G28620, AL348U10010
OG0001391	XP_009141165.3	AL4G27540, AL4G28060, nbis-gene-1067
OG0001392	XP_033141693.1	AL6G30520
OG0001392	XP_033141696.1, XP_009133965.1	AL6G30510
OG0001396	XP_009132440.1	AL8G29860
OG0001397	XP_033143480.1, XP_009109143.1, XP_009143310.3	AL7G25490
OG0001397	XP_009127088.1	AL8G29800
OG0001398	XP_009111328.1	AL6G51320
OG0001398	XP_009140001.1	AL7G49480
OG0001399	XP_009134741.1	AL3G13610
OG0001399	XP_009126216.2, XP_009121037.2, XP_009131623.2	AL6G29020
OG0001400	XP_009124855.1	AL7G50390
OG0001400	XP_009121599.1, XP_009126038.2, XP_009131450.1	AL6G26050
OG0001401	XP_009121854.2, XP_009125861.1	AL6G23150
OG0001401	XP_009131736.2	AL6G30910
OG0001402	XP_033142800.1, XP_009125259.2	AL6G21680
OG0001402	XP_009151045.2	AL6G36870
OG0001403	XP_009131129.1	AL6G20280
OG0001403	XP_009112155.2, XP_009130469.2, XP_009150553.2	AL8G42200
OG0001404	XP_009122444.2, XP_009131054.1, XP_009125723.1	AL6G18700
OG0001404	XP_009136375.1	AL6G34470
OG0001405	XP_009140932.1, XP_009103705.1	AL4G23220
OG0001405	XP_009118419.2, XP_009110930.1, XP_009148017.1	AL1G18030
OG0001407	XP_009147418.1	AL3G10870
OG0001408	XP_009141108.1	AL4G25790
OG0001409	XP_009144265.1	AL4G25980
OG0001409	XP_009110989.1, XP_009119063.1	AL1G16440
OG0001410	XP_009119181.1	AL1G14980
OG0001411	XP_018508909.2, XP_033147653.1, XP_009123448.2	AL1G53290
OG0001411	XP_009101816.1	AL8G17690
OG0001412	XP_009143786.1, XP_009141371.1	AL4G30240
OG0001412	XP_009109658.1, XP_033137275.1, XP_033130144.1	AL1G43370
OG0001413	XP_009114918.1, XP_009145209.1	AL1G46170
OG0001414	XP_009101486.1, XP_033142678.1	AL5G29860
OG0001414	XP_009112207.1, XP_009150691.1	AL8G43720
OG0001415	XP_009112201.1, XP_009150672.1	AL8G43530
OG0001415	XP_009101232.1, XP_009149708.1	AL5G29670
OG0001416	XP_009112084.1, XP_009150405.1	AL8G40570
OG0001416	XP_009149802.1	AL5G28110
OG0001417	XP_033137978.1	AL2G25850
OG0001418	XP_009136247.1	AL3G46140, AL3G46130
OG0001419	XP_033139643.1	AL8G31570
OG0001419	XP_009137602.1	AL7G26320
OG0001420	XP_009144554.1	AL6G50520, AL5G12530
OG0001421	XP_009125586.1, XP_009125588.1, XP_009125587.1	AL6G14830, AL5G33880
OG0001422	XP_009122854.1	AL6G10440
OG0001422	XP_009135082.1, XP_009146974.1	AL3G19880
OG0001423	XP_009129413.1	AL5G16840, AL2G24720, AL2G24690, AL398U10010
OG0001425	XP_018508722.2	AL7G15840
OG0001425	XP_009112421.2, XP_033129514.1	AL3G50160
OG0001426	XP_009124739.1, XP_009146534.1, XP_009135296.1	AL3G25140
OG0001427	XP_009106861.1	AL1G63610
OG0001427	XP_018511607.2, XP_009146525.2, XP_009135303.2	AL3G25250
OG0001428	XP_009143573.1, XP_009125247.1, XP_009116003.2, XP_009148759.1	AL5G33850
OG0001429	XP_009137691.1	AL7G24810
OG0001429	XP_009119836.1, XP_009127205.1	AL8G27530, AL4G21080, AL8G27590
OG0001430	XP_009137436.1, XP_009137865.1	AL7G29010
OG0001430	XP_009134026.2, XP_009123553.1	AL8G23650
OG0001431	XP_009117060.3	AL4G16800
OG0001432	XP_009115420.1, XP_009110051.1	AL1G38630
OG0001432	XP_009127759.1, XP_009104983.1, XP_009105643.1	AL2G28940
OG0001433	XP_009136958.2, XP_009132207.1	AL7G35450
OG0001433	XP_009128812.1, XP_009101574.1	AL8G12860
OG0001434	XP_009133051.2	AL7G34420
OG0001434	XP_009113877.1	AL8G14070
OG0001435	XP_009111254.1	AL3G33740
OG0001436	XP_009147680.1, XP_009144835.1	AL1G60790
OG0001436	XP_009135465.1, XP_009115182.1	AL3G28540
OG0001437	XP_009114310.1, XP_009128921.2, XP_009101460.1	AL8G11280
OG0001437	XP_033144147.1	AL7G36900
OG0001438	XP_009136847.1	AL7G37160
OG0001438	XP_009101434.1	AL8G10740
OG0001439	XP_009108189.1, XP_009128680.1, XP_033142102.1	AL6G45380, AL6G45390
OG0001440	XP_009138352.1, XP_009103570.2	AL7G15900
OG0001440	XP_033129493.1, XP_009121154.1	AL3G50000
OG0001441	XP_009135738.1	AL7G31390
OG0001442	XP_033136404.1	AL6G48070
OG0001442	XP_018508154.1, XP_009137235.1	AL7G31710
OG0001444	XP_009137332.1	AL7G29650
OG0001444	XP_033143137.1, XP_009125027.1	AL3G10810
OG0001447	XP_009104212.1	AL5G41510
OG0001447	XP_009142946.1, XP_018513349.2, XP_033142839.1	AL4G42260
OG0001448	XP_009112504.1	AL4G12160
OG0001448	XP_033131908.1	AL7G12690
OG0001450	XP_018514114.1, XP_009142786.1	AL4G40190
OG0001450	XP_009104064.1	AL5G39110
OG0001451	XP_009142749.1	AL4G39580
OG0001451	XP_009116428.1, XP_009139045.1	AL5G38710
OG0001452	XP_009139144.1, XP_009116267.1	AL5G36870
OG0001452	XP_033147797.1	AL4G37420
OG0001453	XP_009112547.1, XP_009140326.2	AL4G11640
OG0001453	XP_009109451.1	AL7G11930
OG0001454	XP_009141699.1, XP_009133217.2	AL4G34890
OG0001454	XP_033145817.1	AL5G35020
OG0001455	XP_009116065.1, XP_009139382.1	AL5G34680
OG0001456	XP_009135504.3, XP_009114215.1, XP_009146054.1	AL3G29840
OG0001456	XP_009146462.1, XP_009136743.2	AL7G39020
OG0001458	XP_033131054.1	AL3G52730
OG0001459	XP_009112601.1	AL3G48970
OG0001459	XP_009137870.1	AL7G22400
OG0001460	XP_009112615.2, XP_009124317.1, XP_009117535.2	AL3G48730
OG0001460	XP_009128524.2	AL7G22580
OG0001461	XP_009133356.2, XP_033145598.1, XP_033145592.1, XP_009143327.1	AL4G36670, AL5G25980, nbis-gene-1119, AL5G26060
OG0001462	XP_009133256.1, XP_009141740.1	AL4G35700
OG0001462	XP_033143191.1, XP_033146814.1	AL4G35670
OG0001463	XP_009135203.2	AL3G23610
OG0001464	XP_009144488.1, XP_009134258.2, XP_009134259.2, XP_009114628.1	AL6G47160
OG0001465	XP_009117415.1, XP_009140273.1	AL4G10470
OG0001466	XP_009140345.2	AL4G11820
OG0001466	XP_009129057.2, XP_018508942.1, XP_009138546.1	AL7G12200
OG0001467	XP_009117275.1	AL4G13570, AL4G13580
OG0001468	XP_009141598.1, XP_009138451.2	AL7G14170
OG0001469	XP_009140535.1, XP_009117139.1	AL4G14670
OG0001469	XP_009108955.1, XP_009137988.1, XP_009127331.1	AL7G21040
OG0001470	XP_009114751.2, XP_009107934.1, XP_009145145.2	AL1G48690
OG0001470	XP_033148075.1	AL1G48680
OG0001472	XP_009134835.1, XP_009147301.1, XP_009124869.1	AL3G16240
OG0001472	XP_009111740.2, XP_009151177.2	AL6G39060
OG0001473	XP_009151182.1	AL6G39100
OG0001473	XP_009147219.2, XP_033147177.1, XP_009134832.2	AL3G16210
OG0001474	XP_033130191.1, XP_009102040.1	AL3G53290
OG0001475	XP_009104230.1	AL5G42060
OG0001475	XP_009133657.1, XP_009142245.1, XP_033147575.1	AL4G42960
OG0001476	XP_033136860.1, XP_018508173.1	AL5G19360, AL8G10720, AL8G11060, AL8G10710
OG0001477	XP_009134903.1, XP_009129805.1, XP_009151286.1	AL8G23450
OG0001477	XP_033147483.1, XP_009124852.1	AL3G17520
OG0001478	XP_018513007.1, XP_009145482.1	AL3G35420
OG0001479	XP_009118259.1, XP_009144460.1, XP_033129169.1	AL1G21020
OG0001479	XP_009103060.2, XP_009138573.1	AL2G17450
OG0001480	XP_009113036.1	AL2G12850
OG0001480	XP_009110650.2, XP_009148598.1, XP_009118085.2	AL1G23720
OG0001481	XP_033134672.1	AL1G28290
OG0001482	XP_009134035.1	AL3G33580, AL8G23900
OG0001482	XP_009137974.1, XP_009137442.2	AL7G28890
OG0001483	XP_009103333.1	AL1G33590
OG0001483	XP_033139768.1, XP_009138342.1, XP_018509467.2	AL7G16130
OG0001484	XP_009103209.2, XP_009110125.2	AL1G36550
OG0001484	XP_009127848.1, XP_009104928.1	AL2G30710
OG0001485	XP_009115996.2	AL8G15490, AL8G15500
OG0001485	XP_009113917.2	AL8G15470
OG0001486	XP_009127195.1, XP_009137995.1, XP_033132369.1	AL7G20900
OG0001486	XP_009117138.1, XP_009140541.2	AL4G14750
OG0001487	XP_009110747.2, XP_009115450.2, XP_009110064.1	AL1G38300, AL1G38270, AL1G38290, AL1G38310
OG0001488	XP_009113231.1, XP_009103635.1, XP_009108412.1, XP_009125435.1	AL6G35100, AL6G35080
OG0001489	XP_009117135.1	AL2G41010
OG0001490	XP_009147787.1, XP_018512780.1, XP_009147207.1	AL3G16510, AL2G25290, AL6G46290, AL6G46420
OG0001491	XP_009127191.1	nbis-gene-1160
OG0001491	XP_009103403.1, XP_018508373.1	AL3G32070
OG0001492	XP_009145714.1	AL3G34600, AL3G34610, AL3G34630, AL3G34620
OG0001493	XP_009106277.2, XP_009107599.1, XP_033130385.1	AL3G38920, AL3G38910
OG0001499	XP_009108186.1	AL2G24950, AL247U10010
OG0001499	XP_009105230.1, XP_033131746.1	AL2G19200
OG0001500	XP_009102802.2	AL1G43730
OG0001500	XP_009115209.2	AL7G10960, AL1G43710, AL149U10010, AL5G22970
OG0001501	XP_009130375.2, XP_009102061.1	AL3G13400
OG0001501	XP_009126202.1, XP_009107545.1	AL6G28790
OG0001502	XP_009119307.1, XP_009134730.1	AL3G13310
OG0001502	XP_009131602.1	AL6G28690
OG0001503	XP_009121617.1, XP_009131434.1	AL6G25900
OG0001503	XP_009147414.1, XP_009125034.1	AL3G10940
OG0001504	XP_009147865.1	nbis-gene-1332
OG0001504	XP_009113455.2, XP_009147860.1	AL1G57560
OG0001505	XP_009147447.1	AL3G10530
OG0001505	XP_033141368.1, XP_009121658.2, XP_009131410.2	AL6G25210
OG0001506	XP_018510774.1	AL6G24490
OG0001506	XP_009146612.1, XP_009135229.1, XP_009120694.1	AL3G24050
OG0001507	XP_033141608.1, XP_009121952.1	AL6G22080
OG0001507	XP_009129962.1, XP_009151074.1	AL6G37250
OG0001508	XP_033138980.1, XP_009136439.2, XP_033142395.1, XP_009111977.1, XP_009130149.2	AL8G37780
OG0001509	XP_009125703.1, XP_009131022.1	AL6G18200
OG0001510	XP_033135890.1	AL1G40090
OG0001510	XP_033131090.1, XP_009127609.1	AL2G26990
OG0001511	XP_009140830.1	AL4G22370, AL152U10010
OG0001511	XP_009110904.2, XP_009148080.2, XP_009118389.2	AL1G18610
OG0001512	XP_009148033.1	AL1G18150
OG0001512	XP_009133868.1	AL4G23080
OG0001513	XP_033145157.1, XP_033130795.1	AL4G23200
OG0001513	XP_033128636.1, XP_009110925.1	AL1G17950
OG0001514	XP_009132709.1	AL4G24830
OG0001515	XP_009119039.2, XP_009110976.2, XP_009118485.1	AL1G16690
OG0001515	XP_009144275.1	AL4G25720
OG0001516	XP_009119084.1	AL1G16140
OG0001516	XP_009141138.1, XP_009144594.1	AL4G26380
OG0001517	XP_009111060.2, NP_001288878.1	AL1G14940
OG0001517	XP_009143987.1	AL4G27800
OG0001518	XP_009118643.1, XP_009119297.1	AL1G14120
OG0001518	XP_009132929.1, XP_009141313.1	AL4G29090
OG0001519	XP_009111105.2, XP_009119303.2	AL1G14020
OG0001519	XP_009114001.1	AL8G17050
OG0001520	XP_033138359.1	AL1G13970
