Orthogroup	Brassica_rapa	Eutrema_salsugineum
OG0001416	XP_009112084.1, XP_009150405.1	XP_006394269.1
OG0001416	XP_009149802.1	XP_006404227.1
OG0001417	XP_033137978.1, XP_009117047.1, XP_009126719.1	XP_006401010.1, XP_006401007.1
OG0001418	XP_033144843.1	XP_006409652.1
OG0001419	XP_033139643.1	XP_006401393.1
OG0001419	XP_009142467.1	XP_006413165.1
OG0001420	XP_009134426.1, XP_009134427.2, XP_009111277.2, XP_009111278.1	XP_006396463.1
OG0001421	XP_009103079.1	XP_024012012.1, XP_024015248.1
OG0001422	XP_009122854.1	XP_006398601.1
OG0001422	XP_009135082.1, XP_009146974.1	XP_006407736.1
OG0001423	XP_009151955.2	XP_006395442.1
OG0001424	XP_033138740.1, XP_033134276.1, XP_033143360.1	XP_024006146.1
OG0001425	XP_018508722.2	XP_024004417.1
OG0001425	XP_009112421.2, XP_033129514.1	XP_024016164.1
OG0001426	XP_009124739.1, XP_009146534.1, XP_009135296.1	XP_006407236.1
OG0001427	XP_009106861.1	XP_006392622.1
OG0001427	XP_018511607.2, XP_009146525.2, XP_009135303.2	XP_006407227.1
OG0001428	XP_009143573.1, XP_009125247.1, XP_009116003.2, XP_009148759.1	XP_006403736.1
OG0001429	XP_009137691.1	XP_006413023.1
OG0001429	XP_009119836.1, XP_009127205.1	XP_006401758.1
OG0001430	XP_009137436.1, XP_009137865.1	XP_024005275.1
OG0001430	XP_009134026.2, XP_009123553.1	XP_006402246.1
OG0001431	XP_009117060.3	XP_006405210.1
OG0001432	XP_009115420.1, XP_009110051.1	XP_006415979.1
OG0001432	XP_009127759.1, XP_009104983.1, XP_009105643.1	XP_006390975.1
OG0001433	XP_009136958.2, XP_009132207.1	XP_006414055.1
OG0001433	XP_009128812.1, XP_009101574.1	XP_006398258.1
OG0001434	XP_009133051.2	XP_006413950.1
OG0001434	XP_009101623.1, XP_009113877.1	XP_006398162.1
OG0001435	XP_009111254.1	XP_006406423.1
OG0001435	XP_009147835.1, XP_009144954.1	XP_024006357.1
OG0001436	XP_009147680.1, XP_009144835.1	XP_006392910.1
OG0001436	XP_009135465.1, XP_009115182.1	XP_006406905.1
OG0001437	XP_009114310.1, XP_009128921.2, XP_009101460.1	XP_006398394.1
OG0001437	XP_033144147.1	XP_006414199.1
OG0001438	XP_009136847.1	XP_024004766.1
OG0001438	XP_009101434.1	XP_006398424.1
OG0001439	XP_009128680.1	XP_006396936.1
OG0001439	XP_033142102.1	XP_006396935.1
OG0001440	XP_009138352.1, XP_009103570.2	XP_006412126.1
OG0001440	XP_033129493.1, XP_009121154.1	XP_006409346.1
OG0001441	XP_009114588.2	XP_006396722.1
OG0001441	XP_009135738.1	XP_006413678.1
OG0001442	XP_033136404.1	XP_006396681.1
OG0001442	XP_018508154.1, XP_009137235.1	XP_006413699.1
OG0001443	XP_033142757.1, XP_009134167.1	XP_006413835.1, XP_006391784.1
OG0001444	XP_009137332.1	XP_006413525.1
OG0001444	XP_033143137.1, XP_009125027.1	XP_006408498.2
OG0001445	XP_033146720.1, XP_009104392.2	XP_006402354.2
OG0001447	XP_009104212.1	XP_006402676.1
OG0001447	XP_018513349.2, XP_033142839.1	XP_006397520.1
OG0001448	XP_009112504.1	XP_006404724.2
OG0001448	XP_033131908.1	XP_006411832.1
OG0001450	XP_018514114.1, XP_009142786.1	XP_006411456.1
OG0001450	XP_009104064.1	XP_006402868.1
OG0001451	XP_009142749.1	XP_006411415.1
OG0001451	XP_009116428.1, XP_009139045.1	XP_006396061.1, XP_006402897.1
OG0001452	XP_009139144.1, XP_009116267.1	XP_006403432.1
OG0001452	XP_009141841.1, XP_033147797.1	XP_006411225.2
OG0001453	XP_009112547.1, XP_009140326.2	XP_006404670.1, XP_006404666.1, XP_006404669.1, XP_006404667.1, XP_006404672.1
OG0001453	XP_009109451.1	XP_024005879.1
OG0001454	XP_009141699.1, XP_009133217.2	XP_006410993.1
OG0001454	XP_033145817.1	XP_006403627.1
OG0001456	XP_009135504.3, XP_009114215.1, XP_009146054.1	XP_006406796.1
OG0001456	XP_009146462.1, XP_009136743.2	XP_006414388.1
OG0001458	XP_009128190.1	XP_024005499.1
OG0001458	XP_033131054.1	XP_006409079.1
OG0001458	XP_009103402.1	XP_006409078.1
OG0001459	XP_009112601.1	XP_006409063.1
OG0001459	XP_009137870.1	XP_006412800.1
OG0001460	XP_009128524.2	XP_006412815.1
OG0001462	XP_009133256.1	XP_024004162.1
OG0001463	XP_009135203.2	XP_006407382.2, XP_024009272.1
OG0001464	XP_009144488.1, XP_009134258.2, XP_009134259.2, XP_009114628.1	XP_006396780.1, XP_006396779.1, XP_006396778.1
OG0001465	XP_009117415.1, XP_009140273.1	XP_006404572.1
OG0001465	XP_009109511.2	XP_006411692.1
OG0001466	XP_009140345.2	XP_006404690.1
OG0001466	XP_009129057.2, XP_018508942.1, XP_009138546.1	XP_006411796.1
OG0001467	XP_009117275.1	XP_006404849.2
OG0001468	XP_009141598.1, XP_009138451.2	XP_006411958.2
OG0001468	XP_009140496.1, XP_009117269.2	XP_006404862.1
OG0001469	XP_009140535.1, XP_009117139.1	XP_006404955.1
OG0001469	XP_009108955.1, XP_009137988.1, XP_009127331.1	XP_006412638.1
OG0001470	XP_009114751.2, XP_009107934.1, XP_009145145.2	XP_006396080.1
OG0001470	XP_033148075.1	XP_006415017.1
OG0001471	XP_009151165.1	XP_006394916.2
OG0001471	XP_009124965.1	XP_024015292.1
OG0001472	XP_009147301.1, XP_009124869.1	XP_006408050.1
OG0001472	XP_009111740.2, XP_009151177.2	XP_006394934.1
OG0001473	XP_009151182.1	XP_006394936.1
OG0001473	XP_009147219.2, XP_033147177.1, XP_009134832.2	XP_006408054.1
OG0001474	XP_033130191.1, XP_009102040.1	XP_006404072.2, XP_006408952.1
OG0001475	XP_009104230.1	XP_006402641.1
OG0001475	XP_009133657.1, XP_009142245.1, XP_033147575.1	XP_006397584.1
OG0001477	XP_009134903.1, XP_009129805.1, XP_009151286.1	XP_024007346.1
OG0001477	XP_033147483.1, XP_009124852.1	XP_006407939.1
OG0001478	XP_018513007.1, XP_009145482.1	XP_006406278.1
OG0001479	XP_009118259.1, XP_009144460.1, XP_033129169.1	XP_006417482.1
OG0001479	XP_009103060.2, XP_009138573.1	XP_006392273.1
OG0001480	XP_009113036.1	XP_006391810.1
OG0001480	XP_009110650.2, XP_009148598.1, XP_009118085.2	XP_006417240.2
OG0001481	XP_009117779.1	XP_024007867.1
OG0001482	XP_009134035.1	XP_006402205.1
OG0001482	XP_009137974.1, XP_009137442.2	XP_024004391.1
OG0001483	XP_009103333.1	XP_006416378.1
OG0001483	XP_033139768.1, XP_009138342.1, XP_018509467.2	XP_006412154.1
OG0001484	XP_009103209.2	XP_006416134.1
OG0001484	XP_009127848.1, XP_009104928.1	XP_006390800.1
OG0001485	XP_009115996.2	XP_006398052.2
OG0001485	XP_009113917.2	XP_006398053.1
OG0001486	XP_009127195.1, XP_009137995.1, XP_033132369.1	XP_006412620.2
OG0001486	XP_009117138.1, XP_009140541.2	XP_024009758.1, XP_006404963.1
OG0001488	XP_009125435.1	XP_006398665.1
OG0001490	XP_018512780.1, XP_009147207.1	XP_006403382.2, XP_006408986.2
OG0001492	XP_009145714.1	XP_006406358.1, XP_024015001.1
OG0001499	XP_009108186.1	XP_006391434.1
OG0001499	XP_009105230.1, XP_033131746.1	XP_006391431.2
OG0001500	XP_009102802.2	XP_006415539.1
OG0001501	XP_009130375.2, XP_009102061.1	XP_006408285.1
OG0001501	XP_009126202.1, XP_009107545.1	XP_006400312.1
OG0001502	XP_009119307.1, XP_009134730.1	XP_006408292.1
OG0001502	XP_009131602.1	XP_024011427.1
OG0001503	XP_009121617.1, XP_009131434.1	XP_006400026.1
OG0001503	XP_009147414.1, XP_009125034.1	XP_024015666.1
OG0001504	XP_009147860.1	XP_006393194.1
OG0001505	XP_009147447.1	XP_006408529.1
OG0001505	XP_033141368.1, XP_009121658.2, XP_009131410.2	XP_006399960.1
OG0001506	XP_018510774.1	XP_006399887.1
OG0001506	XP_009146612.1, XP_009135229.1, XP_009120694.1	XP_006407336.1
OG0001507	XP_033141608.1, XP_009121952.1	XP_006399646.1
OG0001507	XP_009129962.1, XP_009151074.1	XP_006394799.1
OG0001508	XP_009122410.1	XP_006399286.1
OG0001508	XP_033138980.1, XP_009136439.2, XP_033142395.1, XP_009111977.1, XP_009130149.2	XP_006394538.1
OG0001509	XP_009125703.1, XP_009131022.1	XP_024012461.1, XP_006399268.1
OG0001510	XP_033135890.1	XP_024008745.1
OG0001510	XP_009127609.1	XP_006391177.2
OG0001511	XP_009140830.1	XP_006409801.1, XP_006412464.2
OG0001511	XP_009110904.2, XP_009148080.2, XP_009118389.2	XP_006417716.1
OG0001512	XP_009148033.1	XP_006417758.1
OG0001512	XP_009133868.1	XP_006409888.1
OG0001513	XP_033145157.1, XP_033130795.1	XP_006409900.1
OG0001513	XP_033128636.1, XP_009110925.1	XP_006417771.1
OG0001514	XP_009118992.3, XP_018510674.2, XP_009110956.2	XP_006417838.1
OG0001514	XP_009132709.1	XP_024004229.1
OG0001515	XP_009119039.2, XP_009110976.2, XP_009118485.1	XP_006417894.1
OG0001515	XP_009144275.1	XP_006410179.1
OG0001516	XP_009119084.1	XP_006417949.1
OG0001516	XP_009141138.1, XP_009144594.1, XP_009132770.1	XP_006410249.1
OG0001517	XP_009111060.2, NP_001288878.1	XP_006418055.1
OG0001517	XP_009143987.1	XP_006410373.2
OG0001518	XP_009118643.1, XP_009119297.1	XP_006418125.1
OG0001518	XP_009132929.1, XP_009141313.1	XP_006410484.2
OG0001519	XP_009114001.1	XP_006403261.1, XP_006403260.1
OG0001520	XP_033138359.1	XP_006418136.1
OG0001520	XP_033136507.1	XP_006403243.1
OG0001521	XP_009106690.1	XP_006389861.1
OG0001521	XP_009117774.1	XP_024007868.1
OG0001522	XP_009115249.1, XP_009109670.2, XP_009141366.1	XP_006415583.2
OG0001523	XP_009143789.1	XP_006410572.1
OG0001523	XP_009102852.1, XP_009115236.2, XP_009109666.1	XP_006415572.1
OG0001524	XP_009104209.1, XP_009138909.1	XP_006402683.1
OG0001524	XP_009107753.1	XP_006415396.1
OG0001525	XP_033131855.1, XP_033128724.1, XP_033132309.1, XP_033131914.1, XP_033131907.1, XP_033131906.1, XP_033131905.1, XP_033130963.1, XP_033131896.1, XP_033148553.1, XP_033147986.1, XP_033147988.1, XP_033131785.1	XP_024007948.1
OG0001526	XP_009115679.1, XP_009101536.1, XP_009136523.1	XP_024013654.1
OG0001527	XP_033129216.1	XP_006393990.1
OG0001527	XP_009103954.2, XP_009113882.2	XP_024013413.1
OG0001528	XP_018515502.1, XP_033141666.1	XP_006395293.1
OG0001529	XP_009150973.1, XP_009111629.1	XP_006394699.1, XP_024016575.1, XP_024006179.1
OG0001529	XP_009150150.1, XP_009149741.1	XP_006404152.1
OG0001530	XP_009132287.2, XP_009132160.1	XP_006401267.1, XP_006401268.2
OG0001531	XP_009126572.1	XP_006408695.1, XP_006408697.2
OG0001532	XP_033142238.1, XP_009120469.1, XP_033139181.1	XP_006400944.1, XP_006417027.2
OG0001533	XP_033142767.1	XP_006400950.1
OG0001533	XP_009131991.2, XP_009131989.1, XP_009131992.1	XP_024011556.1, XP_024011555.1
OG0001534	XP_009129005.1	XP_024011124.1, XP_024011126.1
OG0001535	XP_033145113.1	XP_006413209.1
OG0001535	XP_009126929.2, XP_009120176.1	XP_006401301.1
OG0001536	XP_009140079.1	XP_006405380.1
OG0001536	XP_009112749.1, XP_009112944.1	XP_006391740.2
OG0001537	XP_009134430.1, XP_009144563.2	XP_006396454.1
OG0001537	XP_009119603.1	XP_006418294.1
OG0001538	XP_009119583.1	XP_006418274.1
OG0001538	XP_009111272.2, XP_009134422.1	XP_006396471.1
OG0001539	XP_009122909.1, XP_009122908.1, XP_033139260.1, XP_033139346.1, XP_009107904.2, XP_033139117.1, XP_009122225.2, XP_009125647.1	XP_006399123.1
OG0001540	XP_009146755.1, XP_009135148.1	XP_006407474.1
OG0001540	XP_009122157.1	XP_006399013.1
OG0001541	XP_009146820.1	XP_006407528.1, XP_006406458.1
OG0001542	XP_033134432.1, XP_009125506.2	XP_024011507.1
OG0001542	XP_009146889.1, XP_009135039.1	XP_006407628.1
OG0001543	XP_009104641.2, XP_009106362.1	XP_006390134.1
OG0001543	XP_018515008.1	XP_006416308.1
OG0001544	XP_009106360.1	XP_006390135.1
OG0001544	XP_009149655.1, XP_009103295.1	XP_006416309.1
OG0001545	XP_009106326.1, XP_009104667.1	XP_006390173.1
OG0001545	XP_009149581.1, XP_009110201.1	XP_006416340.1
OG0001546	XP_009128072.1	XP_006390358.1
OG0001546	XP_009106162.2	XP_006390357.1
OG0001547	XP_009150843.1	XP_006409325.1
OG0001548	XP_009149384.1, XP_009138392.1	XP_006412053.1
OG0001548	XP_009121085.1	XP_006409253.1
OG0001549	XP_033146642.1, XP_009107703.2	XP_006414882.1
OG0001549	XP_009106061.1, XP_009102540.1	XP_006418792.2
OG0001550	XP_009106049.1	XP_006390489.1
OG0001550	XP_009117612.1, XP_009149287.1, XP_009110343.1	XP_006416601.1
OG0001552	XP_009101579.1, XP_009114398.1	XP_006398248.1
OG0001552	XP_009136981.1	XP_006414032.1
OG0001553	XP_033144450.1, XP_033135081.1, XP_009145644.1	XP_024015685.1
OG0001553	XP_009147819.1	XP_024006312.1
OG0001554	XP_009107020.1, XP_009144824.1	XP_006392878.1
OG0001554	XP_009115335.1, XP_018512783.1, XP_033148712.1	XP_006406938.1
OG0001555	XP_009128933.1, XP_033129476.1	XP_006398403.1
OG0001555	XP_009136859.1	XP_006414205.1
OG0001556	XP_009136836.1	XP_006414247.1
OG0001557	XP_009103510.1, XP_009112310.1, XP_009130561.1	XP_006393852.1
OG0001557	XP_009149414.1	XP_006403995.1
OG0001558	XP_009118889.2, XP_009133802.2	XP_006397908.1
OG0001558	XP_009138732.1	XP_006402392.1
OG0001559	XP_009138066.2, XP_018508994.2	XP_006412518.1
OG0001559	XP_009117067.1, XP_033143419.1	XP_006405148.1
OG0001560	XP_009133660.1, XP_009142998.1	XP_006397594.1
OG0001560	XP_009116674.1	XP_024012774.1
OG0001561	XP_033132100.1, XP_009138995.1	XP_024012931.1
OG0001561	XP_033136022.1	XP_024012927.1
OG0001562	XP_009116458.1, XP_009104065.1	XP_006402865.1
OG0001562	XP_033146473.1	XP_006411459.1
OG0001563	XP_009133469.1, XP_009142724.1	XP_006411380.1
OG0001563	XP_009139075.1	XP_006402951.1
OG0001564	XP_009139138.1, XP_009116276.1	XP_006403418.1
OG0001565	XP_009116272.1	XP_006403427.1
OG0001565	XP_009103970.1	XP_006403426.1
OG0001566	XP_009112438.2, XP_009141703.2	XP_006410996.2
OG0001566	XP_009116094.1	XP_006403619.2
OG0001567	XP_009112517.1	XP_006419094.1
OG0001567	XP_009127488.1, XP_009121205.1	XP_006391422.1
OG0001568	XP_009128155.2, XP_009137881.1	XP_006412776.1
OG0001568	XP_009112595.1, XP_009102196.1	XP_024016398.1
OG0001569	XP_009117394.1, XP_009134006.3	XP_024014328.1
OG0001569	XP_009106281.1	XP_006411716.1
OG0001570	XP_009127881.1	XP_006390729.1
OG0001571	XP_009118710.1	XP_006418251.2
OG0001571	XP_009131721.2, XP_009120922.1	XP_006400462.1
OG0001572	XP_033144882.1	XP_006408091.1
OG0001572	XP_018508073.2, XP_009129866.1	XP_006394958.1
OG0001573	XP_009111920.1, XP_009151242.1	XP_006395009.1
OG0001573	XP_009124203.1, XP_009124977.1	XP_006408140.1
OG0001574	XP_009137786.2	XP_006412951.1
OG0001574	XP_018508805.2	XP_006408987.1
OG0001575	XP_033147973.1, XP_009147156.1, XP_009113003.3	XP_006403431.1
OG0001575	XP_009111889.1, XP_009111890.1	XP_006405253.1
OG0001576	XP_009111930.2, XP_033140384.1, XP_009151230.1	XP_006394992.1
OG0001577	XP_009151629.1	XP_024007162.1
OG0001577	XP_033147492.1, XP_009147052.1, XP_009134984.1	XP_006407818.1
OG0001578	XP_009114060.1, XP_009146015.1	XP_006406734.1
OG0001578	XP_009107384.2	XP_006393466.1
OG0001579	XP_009123414.1, XP_009139325.1, XP_009110923.1, XP_009124392.1, XP_009140373.3, XP_009114663.1	XP_024009178.1, XP_024010436.1, XP_024011230.1, XP_024014140.1, XP_024015972.1, XP_024014406.1, XP_024004028.1
OG0001581	XP_009139858.1	XP_024014613.1
OG0001582	XP_009141217.1, XP_009143974.1	XP_024003849.1
OG0001582	XP_033136632.1	XP_006418050.1
OG0001583	XP_009144404.1	XP_006417400.1
OG0001583	XP_009104198.1, XP_009113156.1	XP_006392090.1
OG0001584	XP_009117867.1, XP_009148873.1	XP_006416963.1
OG0001584	XP_009101324.1, XP_009129215.1	XP_006395863.1
OG0001585	XP_009115624.1, XP_009103231.1	XP_006416185.1
OG0001585	XP_009110133.1	XP_006416184.1
OG0001586	XP_033136433.1, XP_033136432.1, XP_033139859.1	XP_006395675.1
OG0001586	XP_033136441.1, XP_009114417.2, XP_033136436.1, XP_033136439.1, XP_033136437.1, XP_009114137.1	XP_006418637.1
OG0001587	XP_009115548.1, XP_009103184.2, XP_009110109.1	XP_006416107.1
OG0001587	XP_009127816.1	XP_024012577.1
OG0001588	XP_009112826.1	XP_024015728.1
OG0001588	XP_009125197.2	XP_006405307.1
OG0001589	XP_009129382.1, XP_009151895.1	XP_006395378.1
OG0001591	XP_009112529.1	XP_024014202.1
OG0001591	XP_009130164.1, XP_033140754.1	XP_024005595.1
OG0001592	XP_018508799.1, XP_009108751.2	XP_006412271.1
OG0001593	XP_009148643.1, XP_009117989.1	XP_006417116.1
OG0001593	XP_009152131.1	XP_006395645.1
OG0001597	XP_009107775.1	XP_024005856.1, XP_024004871.1, XP_024005775.1
OG0001598	XP_009122409.1	XP_024012326.1
OG0001598	XP_033143269.1	XP_024007597.1
OG0001599	XP_033142323.1, XP_009129259.2, XP_033141476.1	XP_006412909.2
OG0001600	XP_033137693.1, XP_033136182.1, XP_033140735.1, XP_033134974.1, XP_033140736.1	XP_024006640.1
OG0001603	XP_009115250.2, XP_033128469.1, XP_009150195.1	XP_006404257.1
OG0001603	XP_033141663.1, XP_009150387.1	XP_006394294.1
OG0001604	XP_009149382.1, XP_033136766.1	XP_006416541.1
OG0001604	XP_009150208.1, XP_033142603.1	XP_006404290.1
OG0001605	XP_018513993.2, XP_018513841.2, XP_009140019.2	XP_006405493.2
OG0001606	XP_009126167.1	XP_006400249.1
OG0001607	XP_009119010.1, XP_009130327.2	XP_006408348.1
OG0001607	XP_009126147.1, XP_009121428.2	XP_006400233.1
OG0001608	XP_033136265.1, XP_033148007.1, XP_033147452.1, XP_033147103.1, XP_033142367.1	XP_006407630.2
OG0001610	XP_009113776.1	XP_006415776.1
OG0001610	XP_009102988.1	XP_006415774.1
OG0001611	XP_009121835.1	XP_024012406.1
OG0001611	XP_009120885.1, XP_009126362.1	XP_006400505.1
OG0001612	XP_009120882.1	XP_024012221.1
OG0001612	XP_009131265.1, XP_009121868.1	XP_024011882.1
OG0001613	XP_009131226.1, XP_018510950.1	XP_006399687.1
OG0001613	XP_009151114.2	XP_006394845.1
OG0001614	XP_033134880.1	XP_024016068.1
OG0001614	XP_009130483.1	XP_006394091.1
OG0001614	XP_009122072.1	XP_006399520.1
OG0001615	XP_009112539.1	XP_006404685.1
OG0001615	XP_009122071.1, XP_009131149.1	XP_006399521.1
OG0001616	XP_033131649.1, XP_009122535.2	XP_006399455.1
OG0001616	XP_033128184.1, XP_009130462.1, XP_009112141.1	XP_006394136.1
OG0001617	XP_009122500.1, XP_009131105.2	XP_006399392.1
OG0001617	XP_009130275.1, XP_009150448.2	XP_006394236.1
OG0001618	XP_009111957.1	XP_006394577.1
OG0001618	XP_009131044.1	XP_006399306.1
OG0001619	XP_009111240.1	XP_006396528.1
OG0001619	XP_009111154.1, XP_009119542.1	XP_006418235.1
OG0001620	XP_009118950.2, XP_009118427.1	XP_006417790.1
OG0001620	XP_009124366.1	XP_024016663.1
OG0001621	XP_009132703.1	XP_006410049.1
OG0001621	XP_009118982.1, XP_009110954.1	XP_024008415.1
OG0001622	XP_009118997.2, XP_009118463.1	XP_006417846.1
OG0001622	XP_033146935.1	XP_006410079.1
OG0001623	XP_033146581.1	XP_006410093.1
OG0001623	XP_009119024.1, XP_009118473.1	XP_006417872.1
OG0001624	XP_009144269.1, XP_009141113.1	XP_006410192.1
OG0001624	XP_009119051.1	XP_006417904.1
OG0001625	XP_009111031.1, XP_033137381.1	XP_006417995.1
OG0001626	XP_009118627.1, XP_009111094.1, XP_009119270.1	XP_006410462.1
OG0001627	XP_009119290.1	XP_006418122.1
OG0001627	XP_009143870.1, XP_009141306.1	XP_006410473.1
OG0001628	XP_033138361.1	XP_006418171.1
OG0001628	XP_009101750.1, XP_009113959.1	XP_006403156.1
OG0001629	XP_009134342.1, XP_009121784.1	XP_006396580.1
OG0001629	XP_009118698.1	XP_024008760.1
OG0001630	XP_009139437.1, NP_001288890.1	XP_006413280.1
OG0001630	XP_009119803.1	XP_024011971.1
OG0001631	XP_009101809.1, XP_009123868.1	XP_006403295.1
OG0001631	XP_009102956.1	XP_024008666.1
OG0001632	XP_009132963.1	XP_006410540.1
OG0001633	XP_009137074.2	XP_024003915.1
OG0001633	XP_033144965.1	XP_024007096.1
OG0001634	XP_009136457.1, XP_009111984.1	XP_006394525.1
OG0001635	XP_009151545.1	XP_006404217.1
OG0001636	XP_009150138.1	XP_006404130.1
OG0001637	XP_009131740.1, XP_009120879.1, XP_009131741.2, XP_009120878.1, XP_033141634.1	XP_006400512.1
OG0001637	XP_009133980.1	XP_006404982.1
OG0001638	XP_009120838.1, XP_009131763.2	XP_006400566.1
OG0001638	XP_009126408.2	XP_006400565.1
OG0001639	XP_009126924.3, XP_009106764.1	XP_024011690.1
OG0001640	XP_009142628.1	XP_006413154.1
OG0001641	XP_009127020.1	XP_006401482.1
OG0001641	XP_033144616.1, XP_009137621.1	XP_006413135.1
OG0001642	XP_033143600.1, XP_009132410.1, XP_009120027.1, XP_009132408.1, XP_009127039.1	XP_024012617.1
OG0001643	XP_009143344.1	XP_006413087.1
OG0001643	XP_009119959.1, XP_009127108.1	XP_006401599.1
OG0001644	XP_009135178.2, XP_009121213.1	XP_006407420.2
OG0001645	XP_009146726.1, XP_033144401.1	XP_006407446.1
OG0001646	XP_009122159.1	XP_006399021.1
OG0001646	XP_018513508.2, XP_009146747.1, XP_009122333.1	XP_006407466.1
OG0001647	XP_009104045.1	XP_006402902.1
OG0001647	XP_009125533.1, XP_009130793.1, XP_009122642.1	XP_006398863.1
OG0001648	XP_009140038.1, XP_009125160.2	XP_006405430.1
OG0001648	XP_009111563.1, XP_009151977.1	XP_006395460.1
OG0001649	XP_009125164.1, XP_009140242.1	XP_006405416.1
OG0001649	XP_009151988.1, XP_009129444.2	XP_006395477.1
OG0001650	XP_009140090.2	XP_006405356.1
OG0001650	XP_009112917.1	XP_006391707.1
OG0001651	XP_009117773.1, XP_009149057.1	XP_006416838.1
OG0001651	XP_009128371.1, XP_033131213.1	XP_006389871.1
OG0001652	XP_009106655.1	XP_006389898.1
OG0001652	XP_009128349.1	XP_006389899.1
OG0001653	XP_009149076.1	XP_006416816.1
OG0001653	XP_009106646.1	XP_006389908.1
OG0001654	XP_033137211.1	XP_006415265.1
OG0001655	XP_009127403.1, XP_009105152.1	XP_006391553.1
OG0001656	XP_033132176.1	XP_006390192.1
OG0001656	XP_009110205.1, XP_009103322.1, XP_009149567.1	XP_006416353.1
OG0001657	XP_009109290.1	XP_006412100.1
OG0001657	XP_009112427.3, XP_033129525.1	XP_006409309.2
OG0001658	XP_009121068.1	XP_006409225.1
OG0001658	XP_009147904.1, XP_009138402.1	XP_006412031.1
OG0001659	XP_009106795.2	XP_006392556.1
OG0001659	XP_009146591.1, XP_009135246.1	XP_006407299.1
OG0001660	XP_033147001.1	XP_006392745.1
OG0001660	XP_009135376.1, XP_009146386.2, XP_033142845.1, XP_009116991.2	XP_006407094.1
OG0001661	XP_033146900.1, XP_009147638.1	XP_006392839.1
OG0001661	XP_009146260.1	XP_006406983.1
OG0001662	XP_009141538.1	XP_024004143.1
OG0001662	XP_009139451.2, XP_009115947.1, XP_009136681.1	XP_006403801.1
OG0001663	XP_009143598.1, XP_009133072.1, XP_009141574.1	XP_024003961.1
OG0001663	XP_009148739.1	XP_024013476.1
OG0001664	XP_009143578.1, XP_009142106.1	XP_006410827.1
OG0001664	XP_033131658.1	XP_006403747.1
OG0001665	XP_009133088.1, XP_009143574.1, XP_033146121.1	XP_024013436.1, XP_006403746.1
OG0001666	XP_009148189.1	XP_024005685.1
OG0001666	XP_033132436.1, XP_009145264.1	XP_006406128.1
OG0001667	XP_009136714.1	XP_006414444.1
OG0001667	XP_009135493.1, XP_009146075.2	XP_024015426.1
OG0001668	XP_009114620.1, XP_009135494.1	XP_006406815.1
OG0001668	XP_009136730.1	XP_006414582.2, XP_024005411.1
OG0001669	XP_009136732.1	XP_006414415.1, XP_006414584.2
OG0001669	XP_009136735.1	XP_006414412.1, XP_006414587.1
OG0001670	XP_009106059.1, XP_009128019.1	XP_024008974.1
OG0001670	XP_009128020.1	XP_006390477.1
OG0001671	XP_009129369.1, XP_009111598.1, XP_009151867.2	XP_006395359.1
OG0001671	XP_033146497.1	XP_006405561.1
OG0001672	XP_009121464.1	XP_006395540.1
OG0001672	XP_009110612.1	XP_006417174.1
OG0001673	XP_033139850.1, XP_009129574.2, XP_033139851.1	XP_024006721.1
OG0001673	NP_001288865.1, XP_009117994.1	XP_024009039.1
OG0001674	XP_009111789.1, XP_009145776.1	XP_006406492.1
OG0001674	XP_009107271.1	XP_006393210.1
OG0001675	XP_009111361.2, XP_033147945.1, XP_009111369.2, XP_009111387.2, XP_009111375.2	XP_006406437.1
OG0001676	XP_009135721.1	XP_006406329.1
OG0001676	XP_009147771.2	XP_006393058.1
OG0001677	XP_009146083.1	XP_006406832.1
OG0001677	XP_009107159.1, XP_009147720.2, XP_009144867.2	XP_006392973.1
OG0001679	XP_009147667.1, XP_009144817.1	XP_006392875.1
OG0001679	XP_009115398.1	XP_006406947.1
OG0001680	XP_009139904.2, XP_033134436.1	XP_006393379.2
OG0001681	XP_009130811.1, XP_009136855.1	XP_006414209.1
OG0001681	XP_009128938.1	XP_006398405.1
OG0001682	XP_009123181.1, XP_009114297.1, XP_009101449.1	XP_006398406.1
OG0001683	XP_009136319.1, XP_009112395.2, XP_033134126.1	XP_006409413.1
OG0001683	XP_009108692.1, XP_009107674.1	XP_006412169.1
OG0001684	XP_009136326.1, XP_009121204.1	XP_006409401.1
OG0001684	XP_009138336.1, XP_009107264.1	XP_006412163.1
OG0001685	XP_009135638.1, XP_009108552.1, XP_009137242.2	XP_024005440.1
OG0001686	XP_009108550.1, XP_009135587.1	XP_006413690.1
OG0001686	XP_009134294.2	XP_006396701.1
OG0001687	XP_009135267.2, XP_009108530.1	XP_006413729.1
OG0001687	XP_009114542.1	XP_006396661.1
OG0001688	XP_009136111.2, XP_009136112.2	XP_006418636.2
OG0001689	XP_009145124.1, XP_009107914.2	XP_006397461.1
OG0001689	XP_009134146.3	XP_006397189.1
OG0001690	XP_009138685.1, XP_009116971.3	XP_006402316.1
OG0001691	XP_009138711.1, XP_009116949.2	XP_006402334.1
OG0001691	XP_009133821.1	XP_006397959.1
OG0001692	XP_009116930.1	XP_006402352.1
OG0001692	XP_033147574.1, XP_009147975.1	XP_006393442.1
OG0001693	XP_033135036.1, XP_009104360.1	XP_006402414.2
OG0001694	XP_009140206.1	XP_024013543.1
OG0001695	XP_009116710.1, XP_033131435.1	XP_006402600.1
