Orthogroup	Brassica_oleracea	Erysimum_linariifolium
OG0001654	XP_013586027.1, XP_013627988.1	El005G245100
OG0001655	XP_013611631.1	El001G076760
OG0001655	XP_013621768.1, XP_013638695.1	El005G246540
OG0001656	XP_013586724.1, XP_013635859.1, XP_013629414.1	El005G248200
OG0001656	XP_013609050.1	El001G067780
OG0001657	XP_013608490.1, XP_013604454.1, XP_013598848.1	El003G157340
OG0001657	XP_013613295.1	El007G337420
OG0001658	XP_013607067.1, XP_013622624.1, XP_013621496.1	El007G337070
OG0001658	XP_013597509.1	El003G157490
OG0001659	XP_013627733.1, XP_013619028.1	El001G074340
OG0001659	XP_013609903.1	El001G074350
OG0001660	XP_013628647.1, XP_013598147.1, XP_013599133.1	El003G165470
OG0001660	XP_013598765.1	El007G361310
OG0001661	XP_013595451.1	El003G162720
OG0001662	XP_013598612.1, XP_013595175.1	El003G162590
OG0001662	XP_013629538.1	El001G006950
OG0001663	XP_013625828.1, XP_013611007.1	El001G009340
OG0001663	XP_013593329.1	El002G108000
OG0001664	XP_013636038.1	El006G296600
OG0001664	XP_013628503.1, XP_013585924.1	El002G116690
OG0001665	XP_013628491.1, XP_013631151.1	El006G296430
OG0001666	XP_013636200.1, XP_013595695.1	El003G146370
OG0001666	XP_013595677.1	El005G275280
OG0001667	XP_013635695.1, XP_013603818.1	El006G318730
OG0001667	XP_013597297.1	El003G144850
OG0001668	XP_013593873.1, XP_013625835.1, XP_013587508.1	El003G144550
OG0001668	XP_013635237.1	El006G318990
OG0001669	XP_013633994.1, XP_013604019.1	El006G320160
OG0001669	XP_013625439.1	El003G143280
OG0001670	XP_013624761.1, XP_013589721.1, XP_013598019.1	El003G142370
OG0001670	XP_013633652.1	El006G321410
OG0001671	XP_013628792.1	El001G010610
OG0001672	XP_013637900.1, XP_013596068.1, XP_013623412.1	El002G113360
OG0001672	XP_013607245.1	El001G078210
OG0001674	XP_013630767.1	El003G175400, El003G175480
OG0001674	XP_013636273.1	El003G175390
OG0001675	XP_013635255.1	El006G280900
OG0001675	XP_013635192.1, XP_013603575.1, XP_013590731.1	El001G034380
OG0001676	XP_013623270.1	El006G284130
OG0001676	XP_013632249.1, XP_013632248.1	El006G284140
OG0001677	XP_013604715.1	El001G030920
OG0001677	XP_013632104.1, XP_013622261.1	El006G285630
OG0001678	XP_013634034.1, XP_013592413.1, XP_013605337.1	El001G030430
OG0001678	XP_013632198.1	El006G286170
OG0001679	XP_013592405.1, XP_013605465.1	El001G030140
OG0001679	XP_013636738.1	El006G286530
OG0001681	XP_013598702.1, XP_013621118.1, XP_013612516.1	El007G322640
OG0001681	XP_013605487.1	El001G021000
OG0001682	XP_013606624.1	El001G003690
OG0001682	XP_013586956.1	El002G085270
OG0001683	XP_013637820.1	El002G085930
OG0001683	XP_013619822.1, XP_013609200.1, XP_013595668.1, XP_013595666.1	El007G359900
OG0001684	XP_013613225.1	El007G358850
OG0001684	XP_013584322.1, XP_013599495.1	El002G086400
OG0001685	XP_013604693.1, XP_013584323.1	El002G086440
OG0001685	XP_013621426.1, XP_013612811.1	El007G358840
OG0001686	XP_013631116.1, XP_013630998.1	El006G298620
OG0001686	XP_013638105.1	El002G086520
OG0001687	XP_013599943.1	El002G086780
OG0001687	XP_013630774.1, XP_013631672.1, XP_013637065.1	El006G298910
OG0001688	XP_013583909.1	El002G088580
OG0001688	XP_013634894.1, XP_013634924.1	El006G301300
OG0001689	XP_013583533.1, XP_013604705.1, XP_013604955.1	El002G089050
OG0001689	XP_013634293.1	El006G301830
OG0001690	XP_013637300.1	El006G302210
OG0001690	XP_013600707.1, XP_013583691.1	El002G089250
OG0001691	XP_013583819.1, XP_013602287.1	El002G089550
OG0001691	XP_013632669.1	El006G302730
OG0001693	XP_013636068.1, XP_013636497.1	El006G304340
OG0001693	XP_013637916.1, XP_013605924.1	El002G090180
OG0001694	XP_013621488.1, XP_013611089.1	El001G064040
OG0001694	XP_013586541.1, XP_013631960.1	El005G237330
OG0001695	XP_013604965.1, XP_013585611.1, XP_013614164.1	El002G091360
OG0001695	XP_013638622.1	El005G239120
OG0001696	XP_013611174.1, XP_013616261.1, XP_013599427.1	El001G048900, El001G048880, El001G048930, El005G239930
OG0001697	XP_013630005.1	El005G241980
OG0001698	XP_013628735.1, XP_013631671.1	El006G289880
OG0001698	XP_013637444.1, XP_013602020.1	El001G027000
OG0001699	XP_013589312.1	El001G024180
OG0001699	XP_013636802.1	El006G293060
OG0001700	XP_013588218.1, XP_013591489.1	El004G232690
OG0001700	XP_013586811.1	El002G100440
OG0001701	XP_013587623.1	El002G104700
OG0001701	XP_013618182.1, XP_013591826.1	El003G173760, El004G228940
OG0001702	XP_013588691.1, XP_013590149.1	El004G229990
OG0001702	XP_013584186.1	El002G105830
OG0001703	XP_013597070.1, XP_013603645.1, XP_013584119.1	El002G106380
OG0001703	XP_013590338.1	El004G230710
OG0001704	XP_013585636.1	El002G108030
OG0001704	XP_013591900.1, XP_013620872.1	El004G223270
OG0001705	XP_013595744.1, XP_013584199.1	El002G108510
OG0001705	XP_013590967.1, XP_013620017.1	El004G222390
OG0001707	XP_013598441.1	El002G115910
OG0001708	XP_013593402.1, XP_013619848.1	El001G051270
OG0001709	XP_013629432.1	El007G327720
OG0001709	XP_013599584.1	El001G017610
OG0001710	XP_013587003.1, XP_013598783.1	El002G105730
OG0001710	XP_013588099.1, XP_013592724.1	El004G229910
OG0001711	XP_013629111.1, XP_013584350.1	El005G253350
OG0001711	XP_013598868.1	El003G172250
OG0001712	XP_013590459.1	El002G133790
OG0001712	XP_013614826.1, XP_013584634.1	El005G256560
OG0001713	XP_013600488.1	El002G134030
OG0001713	XP_013608402.1, XP_013587548.1	El005G257030
OG0001714	XP_013622068.1, XP_013637835.1	El005G258420
OG0001714	XP_013590394.1	El002G135210
OG0001715	XP_013598260.1	El005G267860
OG0001715	XP_013631347.1	El005G267600
OG0001717	XP_013615851.1, XP_013614987.1, XP_013583989.1, XP_013638665.1, XP_013583253.1, XP_013613746.1, XP_013585456.1, XP_013607870.1	El004G214140, El004G214220, El004G214070, El004G214160, El004G214100, El004G214200
OG0001718	XP_013585501.1	El001G016030
OG0001719	XP_013607601.1	El005G273500, El005G273510, El005G273520, El005G273550
OG0001721	XP_013600701.1	El002G096670
OG0001721	XP_013605599.1	El003G184570, El007G365880, El002G096660
OG0001723	XP_013637062.1	El001G004600
OG0001724	XP_013636504.1	El006G301780
OG0001724	XP_013636989.1, XP_013636993.1, XP_013636992.1	El006G314560, El006G314530
OG0001725	XP_013609559.1	El001G062350
OG0001729	XP_013603278.1	El001G039480
OG0001730	XP_013602968.1, XP_013603582.1	El003G155650
OG0001731	XP_013593959.1, XP_013591300.1	El003G153010
OG0001731	XP_013609881.1, XP_013597590.1	El003G153030
OG0001732	XP_013627586.1, XP_013591656.1	El003G152950
OG0001732	XP_013609421.1	El005G277410
OG0001733	XP_013598027.1	El003G152490
OG0001733	XP_013636917.1, XP_013605457.1	El006G317790
OG0001734	XP_013601098.1	El003G152110
OG0001734	XP_013636911.1, XP_013605509.1	El006G317370
OG0001735	XP_013606402.1, XP_013625241.1	El005G272490
OG0001735	XP_013598757.1	El003G148740, El003G148760
OG0001736	XP_013596524.1	El003G146930
OG0001736	XP_013623334.1	El005G274740
OG0001737	XP_013631034.1	El006G296070
OG0001737	XP_013638003.1, XP_013618754.1	El002G118060
OG0001738	XP_013631274.1	El006G295730
OG0001739	XP_013587186.1, XP_013605515.1, XP_013604449.1	El002G092450
OG0001740	XP_013613121.1	El004G203330
OG0001740	XP_013605914.1	El002G092970
OG0001741	XP_013585681.1, XP_013604555.1	El002G093360
OG0001741	XP_013612453.1	El004G202310
OG0001742	XP_013632698.1	El005G268840
OG0001742	XP_013627028.1	El005G268820
OG0001743	XP_013583513.1	El002G094250
OG0001743	XP_013606604.1, XP_013631721.1, XP_013619211.1	El004G199730
OG0001744	XP_013632037.1, XP_013587990.1	El003G192150
OG0001744	XP_013593646.1, XP_013611942.1	El001G041620
OG0001745	XP_013618103.1	El001G042400
OG0001745	XP_013597829.1	El003G191560
OG0001746	XP_013610392.1, XP_013593983.1, XP_013619084.1	El001G043710
OG0001747	XP_013595799.1, XP_013616459.1, XP_013617840.1, XP_013616460.1	El001G045970
OG0001748	XP_013634436.1	El003G187020
OG0001748	XP_013588538.1, XP_013613599.1	El004G217060
OG0001749	XP_013612681.1	El004G194370
OG0001749	XP_013635918.1, XP_013591251.1	El003G193300
OG0001750	XP_013607168.1, XP_013609044.1	El004G195950
OG0001751	XP_013638380.1, XP_013636996.1	El005G247460
OG0001751	XP_013625263.1	El003G156450, El001G075450
OG0001752	XP_013601520.1, XP_013632676.1, XP_013605857.1	El004G211750
OG0001753	XP_013628367.1, XP_013611544.1, XP_013586407.1	El005G248070
OG0001753	XP_013606547.1	El001G074890
OG0001754	XP_013630640.1	El007G343080
OG0001754	XP_013597702.1	El003G159540
OG0001755	XP_013594000.1, XP_013617332.1	El003G158780
OG0001755	XP_013609622.1, XP_013618437.1	El006G315970
OG0001756	XP_013612731.1, XP_013618616.1	El007G340320
OG0001756	XP_013596057.1	El003G156210
OG0001757	XP_013600471.1	El003G157800
OG0001758	XP_013611368.1, XP_013621190.1	El001G060870
OG0001758	XP_013611221.1	El001G068930
OG0001759	XP_013611020.1	El001G073810
OG0001760	XP_013595059.1	El003G169340
OG0001760	XP_013593133.1, XP_013610858.1	El007G366270
OG0001761	XP_013620304.1	El007G364130
OG0001761	XP_013596335.1, XP_013615143.1	El003G167880
OG0001762	XP_013599112.1, XP_013608879.1	El007G363880
OG0001763	XP_013614143.1, XP_013596166.1, XP_013596826.1, XP_013597662.1, XP_013597761.1	El003G165920
OG0001763	XP_013613758.1	El003G175420, El003G175500
OG0001764	XP_013594026.1, XP_013625179.1, XP_013601208.1	El003G163540
OG0001765	XP_013610742.1	El001G007810, El001G007780, El001G007820, El001G007770, El001G007760, El001G007800
OG0001766	XP_013614181.1	El001G008940
OG0001767	XP_013588542.1, XP_013613630.1	El004G223720
OG0001768	XP_013633918.1, XP_013634250.1	El006G298420
OG0001768	XP_013596893.1, XP_013626829.1	El002G113690
OG0001769	XP_013593384.1	El005G275440
OG0001769	XP_013626341.1, XP_013614869.1, XP_013598422.1	El003G146140
OG0001770	XP_013593947.1, XP_013600571.1, XP_013617776.1	El001G019980
OG0001771	XP_013636673.1, XP_013604408.1	El006G319370
OG0001771	XP_013629650.1	El003G144250
OG0001772	XP_013622582.1	El003G142020
OG0001772	XP_013618436.1, XP_013590309.1	El004G218570
OG0001773	XP_013621175.1	El007G341130
OG0001773	XP_013622148.1, XP_013632251.1	El006G296940
OG0001774	XP_013596944.1, XP_013639446.1	El007G358320, El007G358310
OG0001775	XP_013603133.1, XP_013598605.1	El003G163690
OG0001775	XP_013613299.1	El001G005410
OG0001776	XP_013620076.1	El007G363230, El007G356230
OG0001776	XP_013596127.1	El007G362870
OG0001777	XP_013607457.1	El001G002220
OG0001777	XP_013636994.1	El003G191080
OG0001778	XP_013588017.1, XP_013637328.1, XP_013604326.1	El001G035120
OG0001779	XP_013590145.1, XP_013602078.1	El001G034890
OG0001779	XP_013631621.1, XP_013633973.1	El006G280240
OG0001780	XP_013626709.1, XP_013634373.1	El006G283390
OG0001780	XP_013603111.1, XP_013591082.1	El001G032300
OG0001781	XP_013637178.1	El001G031750
OG0001781	XP_013622057.1, XP_013637352.1	El006G284390
OG0001782	XP_013588398.1	El001G030630
OG0001782	XP_013630886.1, XP_013631118.1	El006G285860
OG0001783	XP_013622637.1, XP_013606393.1	El001G059850
OG0001784	XP_013593247.1, XP_013607417.1, XP_013587456.1	El007G323780
OG0001784	XP_013603164.1	El001G020010
OG0001785	XP_013606490.1	El001G000510
OG0001785	XP_013586542.1, XP_013604169.1	El002G083170
OG0001786	XP_013584478.1	El002G083400
OG0001786	XP_013611973.1, XP_013630509.1	El001G001170
OG0001787	XP_013608733.1	El001G002210
OG0001787	XP_013585761.1, XP_013603241.1	El002G084070
OG0001788	XP_013627155.1	El001G002680
OG0001788	XP_013602595.1, XP_013583947.1	El002G084350
OG0001789	XP_013614763.1	El001G003060
OG0001790	XP_013633503.1, XP_013636347.1	El006G301050
OG0001790	XP_013599470.1	El002G088450
OG0001791	XP_013635895.1	El006G301610
OG0001792	XP_013636422.1, XP_013631883.1	El006G302590
OG0001792	XP_013638712.1	El002G089480
OG0001793	XP_013586505.1, XP_013603982.1	El002G089670
OG0001793	XP_013622663.1	El006G302910
OG0001794	XP_013600463.1, XP_013638844.1, XP_013603165.1	El002G089960
OG0001794	XP_013630931.1	El006G303680, El006G303660
OG0001795	XP_013629561.1, XP_013613088.1	El001G065270
OG0001796	XP_013622198.1, XP_013585487.1	El005G237440
OG0001796	XP_013616393.1	El001G063800
OG0001797	XP_013629907.1	El001G063270
OG0001797	XP_013639434.1, XP_013625571.1	El005G237880
OG0001798	XP_013596753.1	El001G051500
OG0001798	XP_013628728.1, XP_013624134.1, XP_013587609.1, XP_013584526.1	El005G241040
OG0001799	XP_013593869.1	El001G049640
OG0001799	XP_013621910.1, XP_013637786.1	El005G241060
OG0001800	XP_013623184.1, XP_013586508.1	El005G241570
OG0001800	XP_013611301.1	El001G062020
OG0001801	XP_013612213.1, XP_013614131.1	El007G346960
OG0001801	XP_013587525.1	El005G242280
OG0001802	XP_013615060.1, XP_013615721.1	El004G216120, El004G216130, El004G216110, El004G216100, El004G216150, El004G216160
OG0001803	XP_013633610.1, XP_013625236.1	El006G294330
OG0001803	XP_013588265.1	El001G023460
OG0001804	XP_013592654.1	El004G233300
OG0001804	XP_013638457.1, XP_013602250.1	El002G100180
OG0001805	XP_013590043.1	El004G232290
OG0001805	XP_013586866.1, XP_013600265.1	El002G100830
OG0001806	XP_013605839.1, XP_013587030.1, XP_013605915.1	El002G101400
OG0001807	XP_013634355.1, XP_013627880.1	El006G295230
OG0001807	XP_013599662.1	El002G103790
OG0001808	XP_013592872.1	El004G228880
OG0001808	XP_013586147.1, XP_013586148.1, XP_013615337.1	El002G104630
OG0001809	XP_013592476.1	El004G221530
OG0001809	XP_013598060.1, XP_013585804.1	El002G109610
OG0001810	XP_013596530.1, XP_013585813.1, XP_013627619.1	El002G111250
OG0001810	XP_013590876.1	El004G220370
OG0001811	XP_013619359.1	El004G218800
OG0001811	XP_013585052.1, XP_013597247.1	El002G112320
OG0001812	XP_013592445.1, XP_013592310.1	El004G218670
OG0001812	XP_013628095.1, XP_013593854.1, XP_013587312.1	El002G112420
OG0001814	XP_013603662.1, XP_013624034.1, XP_013634756.1	El006G320670
OG0001814	XP_013607272.1	El003G142730
OG0001815	XP_013613684.1, XP_013612771.1	El001G062010
OG0001816	XP_013586466.1	El005G240000
OG0001816	XP_013593318.1	El001G049220, El002G126610
OG0001817	XP_013618149.1, XP_013623255.1	El001G076650
OG0001817	XP_013586567.1, XP_013584855.1	El005G246660
OG0001818	XP_013629640.1, XP_013602692.1	El001G019310
OG0001818	XP_013606003.1, XP_013595736.1	El001G055350
OG0001819	XP_013610536.1	El007G322530
OG0001819	XP_013593555.1, XP_013605897.1	El001G021130
OG0001820	XP_013630355.1, XP_013606791.1	El001G018460
OG0001821	XP_013589045.1, XP_013588238.1, XP_013592781.1	El002G137170
OG0001821	XP_013622355.1	El005G252660
OG0001823	XP_013599090.1, XP_013599089.1	El005G278770
OG0001824	XP_013630144.1	El006G292810
OG0001824	XP_013605563.1, XP_013636049.1	El001G024360
OG0001825	XP_013634389.1, XP_013603287.1	El001G026860
OG0001826	XP_013632242.1, XP_013637036.1	El001G028130
OG0001826	XP_013637155.1, XP_013622126.1	El006G288290
OG0001827	XP_013615108.1, XP_013596868.1	El001G028340
OG0001827	XP_013634961.1	El001G028330
OG0001828	XP_013634661.1	El006G284100
OG0001828	XP_013605559.1, XP_013631449.1	El001G031880
OG0001831	XP_013596434.1, XP_013596342.1, XP_013596712.1	El007G366750, El007G366760
OG0001832	XP_013635351.1	El006G311880
OG0001833	XP_013597030.1, XP_013591088.1	El003G151290, El007G355170, El007G349780
OG0001834	XP_013584424.1	El002G099860
OG0001835	XP_013584339.1, XP_013597147.1	El002G104460
OG0001835	XP_013615075.1	El002G104470
OG0001836	XP_013634555.1, XP_013610302.1	El004G198360
OG0001836	XP_013635017.1, XP_013610636.1	El004G198350
OG0001838	XP_013639280.1, XP_013636832.1	El003G169520
OG0001839	XP_013627899.1, XP_013620140.1	El006G308060
OG0001844	XP_013598922.1	El003G154430
OG0001844	XP_013608947.1, XP_013599949.1	El005G278230
OG0001845	XP_013626287.1	El003G152640
OG0001846	XP_013599422.1	El005G274690
OG0001846	XP_013611345.1, XP_013630727.1	El003G147050
OG0001847	XP_013600386.1	El003G170500
OG0001847	XP_013593966.1	El003G170510
OG0001848	XP_013609959.1	El004G201670
OG0001848	XP_013600664.1, XP_013600259.1, XP_013585674.1	El002G093440
OG0001849	XP_013611551.1, XP_013606241.1	El004G199570
OG0001849	XP_013611546.1	El004G199580
OG0001850	XP_013621075.1	El001G041770
OG0001851	XP_013593203.1, XP_013611676.1, XP_013618157.1	El001G042290
OG0001852	XP_013590191.1, XP_013613533.1	El003G189520
OG0001853	XP_013616478.1, XP_013595935.1	El004G216170
OG0001854	XP_013618880.1	El004G215170
OG0001855	XP_013619513.1, XP_013590834.1	El004G213220
OG0001856	XP_013605979.1	El004G198060
OG0001856	XP_013601962.1, XP_013585011.1, XP_013602396.1	El002G095480
OG0001857	XP_013599459.1	El003G158380
OG0001857	XP_013615663.1, XP_013621869.1, XP_013606590.1	El007G334850
OG0001858	XP_013613022.1, XP_013622313.1	El001G078440
OG0001858	XP_013596595.1	El005G245620
OG0001859	XP_013616660.1, XP_013584902.1	El005G245930
OG0001859	XP_013606355.1	El001G078010
OG0001860	XP_013611098.1	El001G076640
OG0001860	XP_013592337.1, XP_013637968.1	El005G246670
OG0001861	XP_013628411.1, XP_013638292.1	El005G246770
OG0001861	XP_013622627.1	El001G076420
OG0001862	XP_013606130.1	El001G075350
OG0001862	XP_013618751.1, XP_013638267.1	El005G247630
OG0001863	XP_013617970.1	El003G159360
OG0001863	XP_013626734.1, XP_013619137.1, XP_013610579.1	El007G342570
OG0001864	XP_013625297.1	El007G337920
OG0001864	XP_013605945.1	El003G157030
OG0001865	XP_013612990.1, XP_013606290.1	El007G337710
OG0001865	XP_013610404.1	El003G157130, El007G323630
OG0001866	XP_013609438.1, XP_013620835.1	El007G337450
OG0001866	XP_013600649.1	El003G157320
OG0001867	XP_013626541.1, XP_013594197.1, XP_013622194.1	El003G158640
OG0001868	XP_013606734.1	El001G060780
OG0001868	XP_013611491.1	El001G069410
OG0001869	XP_013628521.1	El007G324500
OG0001869	XP_013621525.1, XP_013628577.1	El001G071390
OG0001870	XP_013618733.1	El001G071560
OG0001871	XP_013623690.1, XP_013613612.1, XP_013610480.1	El007G325040
OG0001872	XP_013616026.1, XP_013630287.1	El007G325640
OG0001873	XP_013618577.1, XP_013625025.1, XP_013611505.1	El001G072510
OG0001874	XP_013607412.1, XP_013619017.1, XP_013627510.1, XP_013627504.1	El001G072930
OG0001875	XP_013619027.1, XP_013600317.1, XP_013612245.1, XP_013612243.1	El001G073590
OG0001875	XP_013606047.1	El001G057050
OG0001876	XP_013607058.1, XP_013596245.1	El007G329880
OG0001876	XP_013625590.1	El001G073780
OG0001877	XP_013619263.1, XP_013609790.1	El001G074360, El007G361230
OG0001877	XP_013596626.1	El007G329080
OG0001878	XP_013597710.1	El003G169500
OG0001878	XP_013593657.1	El007G366430
OG0001879	XP_013593733.1	El003G168880
OG0001879	XP_013619106.1	El007G365590
OG0001880	XP_013615050.1, XP_013604228.1, XP_013604230.1	El003G168490, El003G168500
OG0001881	XP_013627161.1, XP_013597292.1	El003G165050
OG0001882	XP_013609380.1	El001G004950
OG0001882	XP_013601775.1, XP_013621704.1	El003G164470
OG0001883	XP_013612720.1	El001G005140
OG0001883	XP_013623372.1, XP_013598335.1	El003G164080
OG0001884	XP_013605910.1, XP_013585515.1, XP_013585514.1	El002G099270
OG0001884	XP_013590430.1	El004G201750
OG0001885	XP_013605775.1, XP_013592632.1	El002G120850
OG0001885	XP_013609743.1, XP_013619524.1	El001G008930
OG0001886	XP_013587392.1, XP_013600714.1	El002G123760
OG0001886	XP_013630137.1	El001G010120
OG0001887	XP_013630220.1	El001G010980
OG0001887	XP_013591449.1	El002G125420
OG0001888	XP_013635531.1	El006G297620, El006G297650
OG0001889	XP_013622150.1, XP_013606254.1	El005G276660
OG0001889	XP_013592039.1	El003G145650
OG0001890	XP_013623699.1	El003G144020
OG0001890	XP_013639314.1	El003G144080
OG0001891	XP_013593681.1, XP_013600083.1	El003G158510
OG0001891	XP_013639162.1	El002G093730
OG0001892	XP_013598908.1, XP_013621033.1	El007G358360
OG0001892	XP_013593949.1	El002G113350
OG0001893	XP_013623417.1	El001G008750
OG0001894	XP_013633927.1, XP_013625475.1, XP_013633716.1	El006G289800
OG0001895	XP_013596167.1, XP_013610174.1	El007G366460, El001G061110, El007G366450
OG0001896	XP_013597334.1, XP_013586942.1, XP_013603212.1, XP_013602620.1	El003G156000
OG0001897	XP_013619608.1	El005G265910
OG0001897	XP_013615696.1, XP_013594304.1, XP_013602419.1	El003G176310
OG0001898	XP_013607430.1, XP_013585794.1	El005G261820
OG0001898	XP_013601946.1	El003G174350
OG0001899	XP_013588222.1	El003G173640
OG0001899	XP_013624275.1	El005G260920
OG0001900	XP_013637118.1, XP_013592312.1	El003G193280
OG0001901	XP_013587013.1, XP_013591425.1	El006G280020, El006G314870
OG0001901	XP_013604107.1	El001G034900
OG0001902	XP_013590173.1, XP_013615363.1, XP_013605863.1	El001G034370
OG0001902	XP_013634195.1	El006G280920
OG0001903	XP_013631110.1	El001G032390
OG0001903	XP_013630167.1, XP_013587926.1	El006G283290
OG0001904	XP_013634088.1	El001G032280
OG0001904	XP_013635688.1	El006G283400, El005G276440
OG0001905	XP_013591734.1, XP_013604199.1	El001G031640
OG0001906	XP_013604709.1, XP_013636355.1	El001G030910
OG0001906	XP_013634216.1, XP_013634366.1	El006G285650
OG0001907	XP_013599556.1, XP_013594440.1	El001G018080
OG0001908	XP_013597180.1, XP_013617973.1	El007G327060
OG0001909	XP_013594382.1, XP_013589400.1	El001G002050
OG0001909	XP_013637891.1	El002G084210
OG0001910	XP_013606271.1, XP_013622503.1	El001G004290
OG0001910	XP_013600401.1	El002G085510
OG0001911	XP_013610731.1	El007G359030
OG0001911	XP_013584952.1, XP_013604007.1	El002G086320
OG0001912	XP_013637139.1	El006G300250
OG0001912	XP_013599680.1, XP_013637957.1	El002G087680
OG0001913	XP_013605590.1	El002G087980
OG0001913	XP_013631820.1	El006G300630
OG0001914	XP_013607993.1	El006G300060, El006G299460, El006G299140
OG0001915	XP_013634648.1, XP_013633827.1	El006G301250
OG0001915	XP_013584762.1	El002G088570
OG0001916	XP_013602265.1	El002G089870
OG0001917	XP_013634754.1, XP_013634931.1	El006G304830
OG0001917	XP_013605880.1	El002G090370
OG0001918	XP_013626608.1	El006G311260
OG0001919	XP_013627353.1	El001G067110
OG0001919	XP_013583563.1, XP_013623707.1	El005G235310
OG0001920	XP_013618168.1	El001G064620
OG0001920	XP_013633231.1, XP_013583760.1	El005G236980
OG0001921	XP_013629349.1	El001G064590
OG0001921	XP_013630420.1, XP_013587168.1	El005G237030
OG0001922	XP_013625191.1	El005G240610
OG0001922	XP_013615098.1, XP_013606557.1	El001G050590
OG0001923	XP_013630397.1, XP_013631106.1	El006G290680
OG0001923	XP_013592790.1	El001G025950
OG0001924	XP_013591880.1	El001G024110
OG0001924	XP_013631193.1, XP_013631169.1	El006G293190
OG0001925	XP_013632096.1, XP_013631570.1, XP_013623308.1	El006G292300
OG0001926	XP_013636470.1, XP_013637279.1	El006G292050
OG0001926	XP_013598579.1	El001G022190
OG0001927	XP_013591451.1	El004G234000
OG0001927	XP_013585659.1, XP_013604161.1, XP_013602007.1	El002G099720
OG0001928	XP_013590188.1	El004G231810
OG0001928	XP_013605410.1, XP_013587632.1	El002G101220
OG0001929	XP_013588126.1, XP_013621411.1, XP_013588594.1	El004G225140
OG0001930	XP_013585291.1	El002G102880
OG0001930	XP_013591385.1, XP_013591558.1	El004G226920
OG0001931	XP_013589734.1	El004G227290
OG0001931	XP_013605256.1, XP_013638157.1	El002G103090
OG0001932	XP_013604809.1, XP_013586195.1	El002G103650
OG0001932	XP_013591834.1	El004G227640
OG0001933	XP_013585309.1	El002G105540
OG0001933	XP_013590277.1, XP_013591854.1, XP_013620759.1	El004G229820
OG0001934	XP_013584988.1	El002G107070
OG0001934	XP_013618421.1	El004G231250
OG0001935	XP_013638942.1	El002G108450
OG0001935	XP_013588327.1, XP_013589834.1	El004G222450
OG0001936	XP_013591581.1	El004G221560
OG0001936	XP_013604859.1	El003G154700
OG0001937	XP_013614494.1	El002G110660
OG0001937	XP_013612633.1, XP_013592810.1	El004G220720
OG0001938	XP_013622699.1, XP_013583740.1	El002G112870
OG0001938	XP_013584277.1	El002G112880
OG0001939	XP_013636816.1	El006G321200
OG0001939	XP_013596272.1	El003G142550
OG0001940	XP_013625825.1	El001G079380, El002G083730, El007G349410
OG0001940	XP_013609213.1, XP_013597998.1	El001G078890
OG0001941	XP_013585070.1	El007G341920, El001G061320
OG0001941	XP_013616873.1	El001G061310
OG0001942	XP_013585067.1, XP_013596856.1	El002G120860
OG0001943	XP_013630802.1, XP_013633554.1	El005G247400
OG0001944	XP_013626101.1, XP_013586615.1	El005G247240
OG0001944	XP_013616680.1	El001G075960
OG0001945	XP_013627012.1, XP_013604158.1	El001G019460
OG0001946	XP_013618537.1, XP_013602362.1	El001G018470
OG0001946	XP_013595512.1	El001G056380
OG0001947	XP_013627970.1	El001G013770
OG0001948	XP_013622136.1	El001G012570
OG0001948	XP_013616204.1, XP_013607339.1, XP_013622098.1	El001G058280
OG0001949	XP_013609829.1	El001G059600
OG0001949	XP_013604977.1	El002G123090
OG0001950	XP_013637862.1, XP_013621951.1	El005G250020
OG0001950	XP_013587976.1	El002G139900
OG0001951	XP_013628454.1, XP_013638630.1	El005G251320
OG0001951	XP_013588649.1	El002G138350
OG0001952	XP_013638356.1, XP_013626003.1	El005G253480
OG0001953	XP_013638372.1	El005G256760
OG0001953	XP_013584099.1, XP_013604256.1	El002G133940
OG0001954	XP_013622906.1	El001G068760
OG0001954	XP_013608130.1, XP_013587572.1	El005G258760
OG0001955	XP_013588384.1, XP_013622606.1, XP_013587834.1	El002G136180
OG0001956	XP_013596133.1, XP_013629044.1, XP_013629045.1, XP_013598408.1	El005G272900
OG0001957	XP_013637263.1, XP_013637594.1	El006G296470
OG0001957	XP_013587486.1	El002G117120
OG0001958	XP_013625456.1	El005G272340, El005G272320, El005G272330, El002G122830, El002G122740
OG0001959	XP_013590724.1, XP_013632086.1	El001G031320
OG0001960	XP_013588375.1	El002G138030
OG0001961	XP_013586605.1, XP_013591615.1	El002G134580
OG0001962	XP_013599803.1	El002G089900
OG0001963	XP_013628040.1, XP_013628047.1, XP_013628046.1, XP_013628032.1, XP_013628034.1	El001G003370, El001G003360
OG0001971	XP_013595334.1, XP_013636314.1	El003G154550
OG0001971	XP_013607252.1	El005G278310
OG0001972	XP_013616428.1	El003G152730
OG0001972	XP_013608878.1, XP_013592988.1	El005G277150
OG0001973	XP_013636451.1	El003G152000
OG0001973	XP_013634445.1, XP_013600769.1	El006G317160
OG0001974	XP_013631925.1, XP_013602791.1	El006G316920
OG0001974	XP_013637734.1	El003G151600
OG0001975	XP_013602645.1, XP_013598317.1, XP_013628637.1	El003G149010
OG0001976	XP_013626401.1, XP_013595990.1, XP_013585716.1	El003G147660
OG0001976	XP_013596976.1, XP_013626758.1	El005G273780
