Orthogroup	Brassica_oleracea	Aethionema_saxatile
OG0000719	XP_013616421.1, XP_013608779.1, XP_013609658.1, XP_013623049.1	As005G114760
OG0000720	XP_013587865.1, XP_013605658.1	As012G288480
OG0000720	XP_013621785.1, XP_013620529.1	As006G122970
OG0000720	XP_013603730.1	As008G197790
OG0000721	XP_013583315.1	As008G197760, As012G274520, As011G248980
OG0000722	XP_013615951.1, XP_013587943.1, XP_013592142.1	As010G232800
OG0000722	XP_013602563.1, XP_013602104.1, XP_013583625.1	As008G183090
OG0000723	XP_013609957.1, XP_013610780.1	As009G205260
OG0000723	XP_013616089.1, XP_013605965.1, XP_013593251.1, XP_013594194.1, XP_013615540.1	As009G205270, As009G205280, As009G205290, As009G205310
OG0000730	XP_013609762.1, XP_013606332.1, XP_013621174.1, XP_013597726.1	As001G023940
OG0000730	XP_013587495.1, XP_013599676.1	As008G183370
OG0000731	XP_013594255.1, XP_013621668.1, XP_013609926.1, XP_013593450.1	As001G025190, As001G025200, As001G025210
OG0000732	XP_013595557.1, XP_013605290.1	As002G032800
OG0000732	XP_013636564.1	As012G276370
OG0000733	XP_013608030.1	As002G035910, As010G230930, As007G178640
OG0000733	XP_013614504.1, XP_013617925.1	As005G110340
OG0000733	XP_013589454.1	As008G188440
OG0000734	XP_013626181.1, XP_013609919.1	As009G218770, As010G223710
OG0000734	XP_013608929.1, XP_013629993.1	As002G043480
OG0000735	XP_013591241.1, XP_013610500.1, XP_013614459.1	As002G047800
OG0000736	XP_013612603.1, XP_013626076.1	As002G053050
OG0000736	XP_013595845.1	As003G074810
OG0000737	XP_013592924.1, XP_013596325.1, XP_013603018.1	As003G075290, As003G075300, As003G075310, As003G075240, As003G075260
OG0000738	XP_013631101.1, XP_013627508.1	As006G125610
OG0000738	XP_013632588.1	As006G125420
OG0000739	XP_013605762.1, XP_013585667.1	As009G216850, As008G197070
OG0000739	XP_013596627.1	As011G255260
OG0000740	XP_013617107.1	As011G260560
OG0000740	XP_013616962.1, XP_013594976.1, XP_013589493.1, XP_013617377.1, XP_013617042.1, XP_013601695.1, XP_013639099.1	As010G237290
OG0000741	XP_013591741.1, XP_013629407.1	As012G268430
OG0000742	YP_004927476.1	As209G297130
OG0000750	XP_013633183.1, XP_013607659.1	As001G030660
OG0000751	XP_013626071.1, XP_013611038.1, XP_013621109.1	As005G108820, As002G035280
OG0000752	XP_013619186.1, XP_013595509.1	As009G215650, As009G215640, As011G255520, As009G215610, As009G215620, As009G215600
OG0000752	XP_013622243.1	As002G052450
OG0000753	XP_013588276.1	As003G064670
OG0000754	XP_013602877.1	As003G064750
OG0000755	XP_013590979.1, XP_013607083.1, XP_013607314.1	As004G086160
OG0000756	XP_013596818.1, XP_013596859.1, XP_013597256.1, XP_013603899.1	As004G087220
OG0000757	XP_013636178.1	As005G107510
OG0000757	XP_013590653.1	As006G146500
OG0000758	XP_013588377.1, XP_013615500.1	As010G243380
OG0000758	XP_013631289.1	As006G126420
OG0000759	XP_013622081.1	As006G128470
OG0000759	XP_013603985.1, XP_013604492.1	As008G193030
OG0000760	XP_013634401.1, XP_013626163.1, XP_013588318.1, XP_013634308.1	As012G282830
OG0000762	XP_013596635.1, XP_013596640.1	As011G266570
OG0000763	XP_013590746.1, XP_013623343.1, XP_013626578.1, XP_013590475.1, XP_013592673.1, XP_013591085.1	As012G269290
OG0000764	XP_013624963.1, XP_013585333.1, XP_013592316.1, XP_013591163.1, XP_013591225.1	As012G271730
OG0000772	XP_013593107.1, XP_013619036.1, XP_013606622.1, XP_013596605.1	As002G037440, As001G027110, As001G015580
OG0000774	XP_013597955.1, XP_013600296.1	As002G033010
OG0000775	XP_013623093.1, XP_013608476.1	As002G035830, As009G214640
OG0000776	XP_013615221.1, XP_013621859.1, XP_013587701.1	As009G213010, As002G037060
OG0000778	XP_013628487.1, XP_013610157.1, XP_013620205.1	As002G050230
OG0000779	XP_013632393.1, XP_013593376.1	As003G060370
OG0000779	XP_013609871.1	As004G085410
OG0000779	XP_013610247.1	As004G085400
OG0000780	XP_013606521.1	As003G074900
OG0000780	XP_013636933.1, XP_013604011.1, XP_013616116.1	As007G180430
OG0000781	XP_013623541.1, XP_013630369.1, XP_013632185.1	As004G079650
OG0000781	XP_013632296.1	As005G103380, As005G103370
OG0000782	XP_013607616.1, XP_013619968.1, XP_013627288.1, XP_013618702.1, XP_013627987.1, XP_013639760.1, XP_013589570.1, XP_013583427.1, XP_013592351.1, XP_013590879.1	As005G107060, As005G106550
OG0000783	XP_013612977.1, XP_013613044.1, XP_013621229.1	As005G113140
OG0000784	XP_013583952.1	As010G225950
OG0000784	XP_013625593.1	As005G113590
OG0000785	XP_013629202.1, XP_013598284.1	As007G161520
OG0000785	XP_013611470.1	As009G214360
OG0000786	XP_013589593.1	As009G217820, As009G217830
OG0000787	XP_013634358.1	As010G222930, As010G222920
OG0000788	XP_013626598.1, XP_013603304.1	As010G225660, As010G225670, As010G225650
OG0000789	XP_013629856.1, XP_013587020.1, XP_013611283.1	As012G267770
OG0000798	XP_013605253.1	As001G017630, As003G055740, As004G083120
OG0000799	XP_013603959.1, XP_013594671.1, XP_013593290.1, XP_013597599.1	As001G021710
OG0000800	XP_013593693.1	As001G024200, As001G024190, As001G024170
OG0000800	XP_013614458.1, XP_013615545.1	As004G080730, As010G231950, As010G231900, As010G231970, As010G231990, As010G231910
OG0000801	XP_013610720.1	As002G035990
OG0000801	XP_013625933.1	As009G214440
OG0000801	XP_013638721.1	As002G036000
OG0000802	XP_013593304.1	As004G088660
OG0000802	XP_013586013.1	As003G070730
OG0000802	XP_013607618.1	As003G056750
OG0000803	XP_013597661.1, XP_013618516.1	As003G058030
OG0000804	XP_013637339.1, XP_013594452.1, XP_013632571.1	As004G081460
OG0000804	XP_013633161.1	As004G097150
OG0000805	XP_013619063.1, XP_013602346.1, XP_013636035.1, XP_013623274.1, XP_013583710.1	As004G096100, As011G254230
OG0000806	XP_013635236.1, XP_013626961.1, XP_013601312.1	As005G102850
OG0000807	XP_013627663.1, XP_013633722.1	As005G102950
OG0000807	XP_013610535.1, XP_013594948.1, XP_013629398.1, XP_013584625.1	As006G139170, As006G133330
OG0000808	XP_013633577.1	As006G129450
OG0000808	XP_013603007.1	As010G224570
OG0000808	XP_013629824.1, XP_013614204.1	As005G114980
OG0000809	XP_013597861.1, XP_013625216.1, XP_013637687.1	As007G160640
OG0000818	XP_013622778.1	As010G221920
OG0000818	XP_013601027.1, XP_013601020.1	As001G030280
OG0000819	XP_013637894.1	As002G036020
OG0000819	XP_013619169.1, XP_013627129.1	As009G214420
OG0000819	XP_013590141.1, XP_013633622.1, XP_013602371.1	As012G282730
OG0000820	XP_013624616.1	As002G041080
OG0000821	XP_013608109.1, XP_013615654.1, XP_013626614.1, XP_013618935.1, XP_013619709.1	As002G043850
OG0000823	XP_013593146.1, XP_013620973.1, XP_013612330.1	As004G090360
OG0000823	XP_013604959.1, XP_013597709.1, XP_013601619.1	As003G055870
OG0000824	XP_013587936.1	As003G062540
OG0000824	XP_013606961.1, XP_013616109.1	As004G083720
OG0000825	XP_013591912.1	As012G287570
OG0000825	XP_013630510.1, XP_013637367.1	As005G100830
OG0000826	XP_013635999.1, XP_013631280.1	As005G102780
OG0000827	XP_013612367.1	As012G278780
OG0000827	XP_013618619.1, XP_013606887.1	As005G106720
OG0000828	XP_013627955.1, XP_013630533.1	As012G285140, As006G125590
OG0000829	XP_013584448.1, XP_013638123.1	As006G136530
OG0000829	XP_013621820.1	As009G203460, As009G203470
OG0000830	XP_013602094.1, XP_013586471.1, XP_013598621.1, XP_013592771.1	As007G156440
OG0000831	XP_013584245.1, XP_013599105.1, XP_013599106.1, XP_013602608.1	As007G156620, As007G156630
OG0000832	XP_013614667.1, XP_013584280.1, XP_013615310.1, XP_013608146.1	As008G195870
OG0000833	XP_013587280.1, XP_013584121.1, XP_013610261.1, XP_013629853.1, XP_013623508.1, XP_013589070.1	As011G246960
OG0000834	XP_013638659.1, XP_013583244.1, XP_013584992.1	As011G250710
OG0000834	XP_013637896.1, XP_013592628.1	As012G273380
OG0000835	XP_013608484.1, XP_013630534.1, XP_013587228.1	As011G251220
OG0000835	XP_013600845.1, XP_013592364.1, XP_013587696.1	As012G272760
OG0000836	XP_013602493.1, XP_013602496.1, XP_013600836.1, XP_013602465.1, XP_013603389.1, XP_013603391.1, XP_013603387.1	As012G283770, As012G283780, As012G283790
OG0000841	XP_013596149.1	As001G017330
OG0000842	XP_013621097.1, XP_013609524.1, XP_013617784.1, XP_013609629.1	As001G025250
OG0000843	XP_013621056.1, XP_013639762.1	As001G029790, As001G029800
OG0000844	XP_013586897.1, XP_013612104.1	As002G034430
OG0000844	XP_013611602.1, XP_013630313.1	As005G107840
OG0000845	XP_013596320.1	As002G042280
OG0000845	XP_013602930.1	As010G222560
OG0000847	XP_013590345.1, XP_013610028.1, XP_013612593.1	As002G053580
OG0000847	XP_013613324.1, XP_013621372.1, XP_013629133.1	As005G117570
OG0000849	XP_013608891.1	As006G122200
OG0000849	XP_013601737.1	As005G100320
OG0000851	XP_013614879.1, XP_013591873.1, XP_013630887.1, XP_013605417.1	As005G105540
OG0000852	XP_013610268.1	As010G227460, As010G227470, As005G111370
OG0000853	XP_013626710.1, XP_013626612.1, XP_013610213.1, XP_013609514.1, XP_013609810.1, XP_013615668.1	As006G123840
OG0000854	XP_013636763.1, XP_013630850.1, XP_013604894.1, XP_013604892.1, XP_013586198.1	As008G191240
OG0000855	XP_013629352.1, XP_013603457.1, XP_013621918.1	As010G223210
OG0000855	XP_013620384.1, XP_013612985.1, XP_013629060.1	As009G219120
OG0000856	XP_013622540.1, XP_013624796.1, XP_013608134.1, XP_013633125.1, XP_013613890.1, XP_013631055.1, XP_013615021.1, XP_013639470.1, XP_013623937.1, XP_013617624.1, XP_013607923.1	As010G224290
OG0000857	XP_013606002.1	As010G227430, As010G227420
OG0000858	XP_013618667.1, XP_013631541.1, XP_013594556.1	As011G255880, As011G255860
OG0000868	XP_013611649.1, XP_013629183.1, XP_013620700.1	As009G211830
OG0000868	XP_013611723.1, XP_013629344.1, XP_013586795.1	As006G130700, As002G037910
OG0000869	XP_013597716.1, XP_013620974.1, XP_013593770.1, XP_013612331.1	As004G090370
OG0000869	XP_013604961.1, XP_013601636.1	As003G055880
OG0000870	XP_013625850.1	As003G068700
OG0000870	XP_013592040.1, XP_013637240.1	As004G081540
OG0000871	XP_013614755.1, XP_013630335.1	As006G135520
OG0000871	XP_013637375.1, XP_013614383.1	As004G077790
OG0000875	XP_013586398.1, XP_013586034.1	As008G193510
OG0000876	XP_013593685.1, XP_013618041.1, XP_013619023.1	As009G217470, As009G217500, As009G217530
OG0000883	XP_013625235.1, XP_013595276.1, XP_013601191.1, XP_013627273.1, XP_013583622.1, XP_013625177.1	As001G014390
OG0000884	XP_013625765.1, XP_013583837.1, XP_013595297.1	As007G162220, As002G033790, As007G161390, As007G162230, As007G161400
OG0000885	XP_013638969.1, XP_013602928.1, XP_013593813.1	As007G158480
OG0000885	XP_013593300.1, XP_013601160.1	As002G049480
OG0000886	XP_013631023.1, XP_013614864.1	As004G082110
OG0000887	XP_013602313.1	As005G099860
OG0000888	XP_013631189.1, XP_013591938.1, XP_013599511.1	As012G284780
OG0000888	XP_013630985.1, XP_013636604.1, XP_013629085.1	As005G104850
OG0000889	XP_013602272.1, XP_013590260.1, XP_013633621.1	As005G114990
OG0000889	XP_013607160.1	As010G224550
OG0000890	XP_013588508.1, XP_013600413.1	As012G277560
OG0000890	XP_013622346.1, XP_013637246.1, XP_013636869.1, XP_013588888.1	As006G146240
OG0000891	XP_013638149.1, XP_013638775.1, XP_013595882.1, XP_013602091.1	As007G158460, As007G158450, As007G158470, As007G158440
OG0000892	XP_013597929.1, XP_013621349.1, XP_013635562.1, XP_013583600.1, XP_013627909.1	As009G215030, As009G215020
OG0000894	XP_013606349.1	As010G223940, As010G223960
OG0000895	XP_013626605.1, XP_013603233.1, XP_013593559.1	As011G258420
OG0000897	XP_013625607.1, XP_013634361.1	As012G277910, As012G277930
OG0000900	XP_013600552.1, XP_013603713.1, XP_013603223.1, XP_013601464.1, XP_013603137.1	As001G016830, As001G016840
OG0000901	XP_013591334.1, XP_013600587.1	As001G017960, As001G018000, As001G017970, As001G017990, As001G017980
OG0000902	XP_013586710.1, XP_013585731.1	As002G036680, As002G036460
OG0000903	XP_013607590.1, XP_013597121.1, XP_013608478.1	As002G052040
OG0000904	XP_013615362.1, XP_013622336.1, XP_013612476.1, XP_013622021.1, XP_013616337.1	As005G118380, As002G052940
OG0000905	XP_013612601.1	As002G053040
OG0000905	XP_013620182.1, XP_013629094.1, XP_013602309.1	As005G118090
OG0000906	XP_013606125.1, XP_013625796.1	As002G053300
OG0000907	XP_013597031.1	As003G057070
OG0000907	XP_013596846.1, XP_013620305.1, XP_013610185.1	As004G088350
OG0000908	XP_013598085.1	As003G075600, As010G234720
OG0000909	XP_013593431.1	As007G159890
OG0000909	XP_013631773.1	As004G083080
OG0000910	XP_013612533.1, XP_013612535.1	As005G114500
OG0000911	XP_013606086.1, XP_013598888.1	As005G119970
OG0000912	XP_013614540.1, XP_013612334.1, XP_013590963.1	As006G123380
OG0000913	XP_013588062.1	As007G159440, As010G233540, As006G125620
OG0000914	XP_013630271.1	As006G137220
OG0000915	XP_013603680.1, XP_013600896.1, XP_013590378.1, XP_013634855.1	As012G276470
OG0000915	XP_013636924.1, XP_013636224.1, XP_013626025.1	As006G145010
OG0000916	XP_013639052.1	As008G182940
OG0000917	XP_013603114.1, XP_013600724.1	As008G184260, As008G184270
OG0000919	XP_013586830.1, XP_013624223.1	As011G249370
OG0000920	XP_013592778.1	As012G269310
OG0000921	XP_013590136.1, XP_013591100.1, XP_013639603.1, XP_013588704.1	As012G272730
OG0000930	XP_013596766.1, XP_013610150.1, XP_013603388.1	As011G266460
OG0000930	XP_013627199.1, XP_013598048.1, XP_013596686.1	As001G001170
OG0000931	XP_013585559.1, XP_013625408.1, XP_013628267.1	As002G036870
OG0000932	XP_013633770.1	As004G079170, As002G037970
OG0000933	XP_013619373.1	As002G044170, As007G165200
OG0000934	XP_013597384.1	As003G057830
OG0000935	XP_013628832.1, XP_013611104.1	As004G086290
OG0000935	XP_013593349.1, XP_013629880.1, XP_013598366.1	As003G059060
OG0000936	XP_013624849.1, XP_013624850.1, XP_013627034.1	As003G059620
OG0000936	XP_013638898.1	As003G059640
OG0000937	XP_013639438.1	As003G062060
OG0000938	XP_013596957.1, XP_013591011.1, XP_013596974.1, XP_013627804.1, XP_013608538.1, XP_013613042.1, XP_013608551.1	As003G075080
OG0000939	XP_013605782.1	As007G181030, As007G181020, As003G075790
OG0000940	XP_013628812.1, XP_013597907.1	As004G092040
OG0000940	XP_013601275.1, XP_013629179.1	As004G090050
OG0000941	XP_013629485.1, XP_013636640.1	As004G095180
OG0000941	XP_013599510.1	As008G194780
OG0000942	XP_013599206.1, XP_013626597.1, XP_013626217.1, XP_013633941.1, XP_013637281.1	As011G255350, As004G095350, As005G103580
OG0000943	XP_013619567.1, XP_013625529.1	As006G138940
OG0000943	XP_013612252.1, XP_013617155.1, XP_013616209.1, XP_013593602.1	As005G099310
OG0000945	XP_013585335.1	As005G105590
OG0000946	XP_013623736.1	As005G106490, As005G106480
OG0000947	XP_013628175.1, XP_013615084.1	As009G200880
OG0000947	XP_013638607.1, XP_013636524.1, XP_013621934.1	As006G135230
OG0000948	XP_013590897.1	As012G281630, As010G224740, As010G224730, As006G143570
OG0000950	XP_013621282.1, XP_013593190.1, XP_013635150.1, XP_013618582.1	As009G205820
OG0000951	XP_013594850.1, XP_013596019.1, XP_013597137.1	As010G227570, As010G227580, As010G227540, As009G214750
OG0000952	XP_013635743.1, XP_013633461.1, XP_013635340.1	As009G216080
OG0000953	XP_013593988.1, XP_013600342.1, XP_013597389.1	As010G221250
OG0000954	XP_013587589.1, XP_013584479.1, XP_013610393.1	As011G251450
OG0000962	XP_013631028.1, XP_013607481.1	As001G027150
OG0000963	XP_013620072.1, XP_013622515.1, XP_013613178.1	As005G107430
OG0000964	XP_013606494.1, XP_013628289.1, XP_013628285.1, XP_013607310.1, XP_013615670.1, XP_013609536.1	As002G040430
OG0000965	XP_013627974.1, XP_013584391.1	As011G245590, As011G255900
OG0000965	XP_013598714.1, XP_013605877.1	As003G057680
OG0000966	XP_013632429.1, XP_013597407.1, XP_013614151.1, XP_013614837.1, XP_013597559.1, XP_013614153.1	As003G057820
OG0000967	XP_013600410.1	As003G064080
OG0000967	XP_013589898.1	As010G235350
OG0000967	XP_013595455.1, XP_013638410.1	As007G158200
OG0000968	XP_013635065.1	As004G077430
OG0000970	XP_013597541.1, XP_013614138.1, XP_013600618.1	As005G119400
OG0000971	XP_013627622.1, XP_013590932.1, XP_013584922.1	As006G137320
OG0000972	XP_013610792.1, XP_013597067.1	As009G205570
OG0000972	XP_013585268.1, XP_013622832.1, XP_013593235.1	As006G139250
OG0000973	XP_013629138.1, XP_013606143.1	As009G204830
OG0000973	XP_013624201.1, XP_013614321.1, XP_013630505.1	As006G139760
OG0000974	XP_013633749.1	As006G144950
OG0000975	XP_013604265.1, XP_013638526.1	As007G155990
OG0000975	XP_013638381.1	As010G238030
OG0000977	XP_013583286.1	As010G224030
OG0000977	XP_013626179.1	As010G224040
OG0000977	XP_013630109.1	As010G224050
OG0000978	XP_013623968.1	As010G225030, As010G225040, As010G225050
OG0000979	XP_013627938.1, XP_013596239.1	As012G274790
OG0000986	XP_013637458.1	As012G268180
OG0000987	XP_013585792.1	As001G016180
OG0000988	XP_013606950.1	As009G212980
OG0000988	XP_013619727.1	As002G037150
OG0000989	XP_013626792.1, XP_013623374.1, XP_013609027.1	As002G043930
OG0000990	XP_013602171.1, XP_013595827.1, XP_013613039.1, XP_013636736.1, XP_013595592.1	As004G088950, As003G056480, As006G141100
OG0000992	XP_013594784.1, XP_013599164.1	As003G075530
OG0000993	XP_013629389.1, XP_013629388.1, XP_013593069.1	As004G092920
OG0000994	XP_013636716.1	As005G113560
OG0000994	XP_013588648.1, XP_013623509.1, XP_013636717.1	As006G128340, As006G128350, As006G128360
OG0000995	XP_013625124.1, XP_013633497.1	As006G127150
OG0000995	XP_013627385.1, XP_013599942.1, XP_013585679.1	As008G194310
OG0000996	XP_013583529.1, XP_013604954.1	As008G193450
OG0000997	XP_013586961.1, XP_013604916.1, XP_013600147.1, XP_013628704.1, XP_013637814.1, XP_013622433.1	As006G137380
OG0000998	XP_013631553.1, XP_013623256.1, XP_013631039.1, XP_013602361.1, XP_013633995.1	As006G143360
OG0000999	XP_013624690.1	As007G160930
OG0001000	XP_013626523.1, XP_013609069.1	As009G200600
OG0001002	XP_013583707.1	As012G268250, As011G245250
OG0001003	XP_013585899.1, XP_013639613.1	As011G247910
OG0001003	XP_013590017.1	As012G270560
OG0001004	XP_013627917.1, XP_013635666.1, XP_013632450.1	As011G266800, As011G266810, As011G266820, As011G266860, As011G266830, As011G266870
OG0001005	XP_013639485.1	As012G278820, As012G274490
OG0001008	XP_013609800.1, XP_013622299.1	As001G001100
OG0001008	XP_013615079.1	As001G001090
OG0001009	XP_013622798.1, XP_013626918.1	As001G001490
OG0001009	XP_013586923.1	As001G001470
OG0001010	XP_013600890.1, XP_013584501.1, XP_013639041.1	As003G068260, As001G016390
OG0001010	XP_013634526.1, XP_013634750.1	As004G079320
OG0001011	XP_013585307.1, XP_013583924.1	As001G016600, As001G016620, As001G016630, As001G016640, As001G016610, As001G016590, As001G016580, As001G016560
OG0001012	XP_013608963.1, XP_013619749.1	As001G019280
OG0001012	XP_013584924.1, XP_013603734.1	As008G188200
OG0001013	XP_013629247.1, XP_013619801.1	As001G029630, As001G029620
OG0001015	XP_013600301.1, XP_013596896.1, XP_013587991.1	As007G165030
OG0001016	XP_013622121.1, XP_013606071.1, XP_013620109.1	As002G052140
OG0001016	XP_013612974.1, XP_013598304.1	As009G215410
OG0001017	XP_013628109.1, XP_013635246.1, XP_013606731.1, XP_013627889.1, XP_013619240.1	As002G052670, As002G052700
OG0001018	XP_013629566.1, XP_013612385.1, XP_013620090.1, XP_013597275.1, XP_013619815.1	As002G054290
OG0001019	XP_013635867.1, XP_013597721.1	As003G056000
OG0001020	XP_013636046.1, XP_013593642.1, XP_013602039.1	As003G056290
OG0001020	XP_013609942.1, XP_013595409.1	As004G089150
OG0001021	XP_013604622.1, XP_013590895.1, XP_013634472.1	As012G288810
OG0001021	XP_013634525.1, XP_013635169.1, XP_013627262.1	As005G098840
OG0001022	XP_013629086.1	As005G099680
OG0001022	XP_013604902.1	As012G288250
OG0001023	XP_013597141.1, XP_013594354.1, XP_013610242.1	As005G113850, As005G114020
OG0001024	XP_013608077.1	As006G127250, As006G127210, As006G127200
OG0001025	XP_013631826.1, XP_013629101.1	As006G127940
OG0001026	XP_013586250.1, XP_013626409.1	As006G134780
OG0001026	XP_013619282.1, XP_013609635.1, XP_013626680.1	As009G200810
OG0001028	XP_013633423.1, XP_013634475.1, XP_013635119.1, XP_013635220.1, XP_013634734.1	As006G143850
OG0001028	XP_013630979.1, XP_013603269.1	As012G281510
OG0001029	XP_013603641.1, XP_013593680.1, XP_013638825.1	As006G146260, As007G157960
OG0001029	XP_013590347.1, XP_013618013.1	As010G235770
OG0001030	XP_013603175.1, XP_013637720.1, XP_013596537.1	As007G156040
OG0001030	XP_013590568.1, XP_013619113.1	As010G237920
OG0001031	XP_013584813.1, XP_013603139.1, XP_013596887.1	As007G156170
OG0001031	XP_013590134.1, XP_013589815.1	As010G237740
OG0001032	XP_013590392.1, XP_013618548.1	As010G236850
OG0001032	XP_013603008.1, XP_013615585.1, XP_013584028.1, XP_013596663.1	As007G157060
OG0001034	XP_013597953.1, XP_013618717.1, XP_013590535.1, XP_013590143.1	As010G233610
OG0001035	XP_013607646.1, XP_013589646.1, XP_013607650.1	As010G235450
OG0001036	XP_013592611.1	As010G242060
OG0001037	XP_013583430.1	As010G243190
OG0001038	XP_013623438.1, XP_013619079.1	As011G244860
OG0001039	XP_013627390.1, XP_013589322.1	As011G249640
OG0001040	XP_013630470.1, XP_013588586.1	As012G271380
OG0001040	XP_013629295.1, XP_013615232.1, XP_013635088.1	As011G253350
OG0001041	XP_013625367.1	As011G266160
OG0001043	XP_013588811.1	As012G271170
OG0001043	XP_013590274.1, XP_013588820.1	As012G271100, As012G271110
OG0001044	XP_013592564.1, XP_013605761.1, XP_013604632.1, XP_013631574.1	As012G281870
OG0001051	XP_013612100.1, XP_013622657.1	As011G263630, As005G110590
OG0001051	XP_013629327.1, XP_013618870.1	As001G014830
OG0001052	XP_013627945.1	As001G015110, As001G015130, As001G015150
OG0001053	XP_013605130.1, XP_013611947.1	As001G019720
OG0001054	XP_013606455.1, XP_013617017.1	As001G021960, As001G021950
OG0001055	XP_013621328.1	As003G068590, As001G024380
OG0001056	XP_013584958.1, XP_013592850.1	As002G035820
OG0001056	XP_013609991.1, XP_013627375.1, XP_013620812.1	As009G214650
OG0001057	XP_013590485.1, XP_013596815.1, XP_013610126.1, XP_013612514.1, XP_013625753.1	As002G045470
OG0001058	XP_013595437.1, XP_013605504.1, XP_013637961.1	As003G055590
OG0001058	XP_013595434.1, XP_013606688.1	As003G072150
OG0001059	XP_013592222.1, XP_013609702.1, XP_013618514.1	As004G087590
OG0001060	XP_013604553.1, XP_013636487.1	As004G094900
OG0001060	XP_013598597.1, XP_013606699.1, XP_013629739.1	As011G255760
OG0001061	XP_013586557.1, XP_013624894.1	As011G254950
OG0001061	XP_013594156.1, XP_013619965.1	As004G095690
OG0001062	XP_013618143.1	As005G119250
OG0001063	XP_013624445.1, XP_013630382.1	As006G139260
OG0001064	XP_013636479.1, XP_013636462.1, XP_013592283.1, XP_013604706.1, XP_013613784.1	As006G145650
OG0001065	XP_013634853.1, XP_013626778.1, XP_013634761.1	As006G145860
OG0001065	XP_013613511.1, XP_013590571.1, XP_013599469.1	As012G277190
OG0001066	XP_013626566.1, XP_013631475.1, XP_013637236.1	As006G145870
OG0001066	XP_013605812.1, XP_013587846.1	As012G277200
OG0001067	XP_013591301.1, XP_013620369.1	As010G242380
OG0001067	XP_013604433.1, XP_013604363.1	As007G153140
OG0001068	XP_013630884.1, XP_013588047.1, XP_013588153.1, XP_013615977.1	As010G241390
OG0001069	XP_013587816.1, XP_013591836.1	As010G238510
OG0001069	XP_013586196.1, XP_013604810.1, XP_013600035.1	As007G155720
OG0001070	XP_013587469.1, XP_013621698.1	As007G161250
OG0001070	XP_013594391.1	As010G231200
OG0001071	XP_013615845.1, XP_013583869.1, XP_013638608.1	As008G183320
OG0001072	XP_013611777.1	As009G216760
OG0001072	XP_013603953.1, XP_013600518.1, XP_013630250.1	As010G222230
OG0001073	XP_013602934.1, XP_013587843.1	As011G250190
OG0001074	XP_013589587.1	As011G252670
OG0001075	XP_013621977.1, XP_013621980.1, XP_013616413.1, XP_013587532.1, XP_013587533.1, XP_013616395.1	As012G270490
OG0001084	XP_013605450.1	As011G267200
OG0001084	XP_013592779.1, XP_013593577.1, XP_013603758.1	As001G000360
OG0001085	XP_013595418.1, XP_013609142.1, XP_013602296.1	As011G266420
OG0001085	XP_013637146.1, XP_013625542.1	As001G001230
OG0001086	XP_013630503.1, XP_013598563.1, XP_013603399.1	As001G010350
OG0001086	XP_013630424.1, XP_013598949.1	As006G139850, As011G262030
OG0001087	XP_013593942.1, XP_013617811.1, XP_013622800.1	As001G014350
OG0001087	XP_013601197.1	As001G014360
OG0001088	XP_013593700.1, XP_013614932.1, XP_013599029.1, XP_013599028.1	As001G026740
OG0001089	XP_013619565.1, XP_013609169.1, XP_013620206.1	As001G027320
OG0001090	XP_013603591.1, XP_013588233.1	As001G027490, As001G027520, As001G027510
OG0001091	XP_013603535.1, XP_013603838.1	As010G222350
OG0001091	XP_013628301.1	As002G042730
OG0001092	XP_013616759.1, XP_013608208.1	As002G047560
OG0001092	XP_013612668.1	As009G210680
OG0001093	XP_013621622.1, XP_013608928.1	As005G109890
OG0001093	XP_013611235.1, XP_013616714.1, XP_013629066.1	As002G051090
OG0001094	XP_013606928.1, XP_013613665.1	As002G053280
OG0001094	XP_013613617.1, XP_013607232.1, XP_013621864.1	As005G118310
OG0001095	XP_013635512.1, XP_013602431.1	As004G093100, As004G093080, As004G093090
OG0001096	XP_013588142.1, XP_013614174.1, XP_013600381.1	As012G284440
OG0001096	XP_013632010.1, XP_013622027.1	As005G105060
OG0001098	XP_013603583.1, XP_013593400.1	As010G221570
OG0001098	XP_013610113.1, XP_013627134.1, XP_013619419.1	As005G118860
OG0001099	XP_013638593.1, XP_013619549.1, XP_013613035.1, XP_013622316.1, XP_013621576.1	As006G122020
OG0001100	XP_013635490.1, XP_013635293.1	As006G125750
OG0001101	XP_013611694.1, XP_013616623.1	As009G200370
OG0001101	XP_013588677.1, XP_013588674.1	As006G133080
OG0001102	XP_013635323.1, XP_013583477.1, XP_013630522.1	As006G135240
OG0001102	XP_013625165.1, XP_013622311.1, XP_013606158.1	As009G201520
OG0001103	XP_013607139.1, XP_013598302.1, XP_013616690.1	As009G207010
OG0001103	XP_013626962.1, XP_013584098.1, XP_013588296.1	As006G137690
OG0001105	XP_013591250.1, XP_013616696.1, XP_013588819.1	As010G243540
OG0001105	XP_013602800.1, XP_013639044.1	As007G152280
OG0001106	XP_013605136.1, XP_013585551.1	As007G153300
OG0001106	XP_013621240.1, XP_013605277.1, XP_013587831.1	As010G242200
OG0001107	XP_013588077.1, XP_013615926.1, XP_013589947.1, XP_013599674.1, XP_013602116.1, XP_013613985.1	As007G154350
OG0001108	XP_013605676.1, XP_013584307.1	As007G155300
OG0001109	XP_013592529.1, XP_013619039.1	As010G235960
OG0001110	XP_013590089.1, XP_013590704.1	As010G232990
