Orthogroup	Brassica_oleracea	Alyssum_gmelinii
OG0001395	XP_013620906.1, XP_013625623.1	Ag008G696990
OG0001396	XP_013615736.1	Ag002G139930, Ag001G089620
OG0001397	XP_013605314.1, XP_013586017.1	Ag004G311550
OG0001397	XP_013605170.1	Ag004G369260
OG0001398	XP_013621681.1, XP_013593018.1	Ag008G659170, Ag008G658030
OG0001398	XP_013602445.1, XP_013639026.1	Ag004G322320
OG0001399	XP_013621615.1, XP_013598090.1, XP_013606090.1	Ag008G660940
OG0001399	XP_013586386.1	Ag004G320580
OG0001400	XP_013619184.1, XP_013599419.1	Ag008G664230
OG0001400	XP_013599509.1, XP_013637759.1	Ag004G317820
OG0001401	XP_013636848.1	Ag007G649510
OG0001401	XP_013622902.1, XP_013615865.1, XP_013614397.1	Ag007G617620
OG0001402	XP_013632320.1, XP_013588517.1, XP_013613546.1	Ag007G648970
OG0001403	XP_013609331.1	Ag004G381430
OG0001403	XP_013599934.1, XP_013603000.1, XP_013584392.1	Ag004G315750
OG0001404	XP_013609437.1, XP_013615459.1	Ag004G380030
OG0001404	XP_013600003.1, XP_013638140.1	Ag004G315290
OG0001405	XP_013626901.1, XP_013611152.1	Ag006G499140
OG0001406	XP_013607410.1, XP_013629759.1	Ag003G292440
OG0001406	XP_013592155.1, XP_013592395.1	Ag004G343080
OG0001407	XP_013630240.1, XP_013619543.1	Ag008G684220
OG0001407	XP_013596582.1, XP_013601113.1	Ag003G253170
OG0001408	XP_013616191.1, XP_013612398.1	Ag007G604790, Ag007G604830
OG0001408	XP_013609976.1, XP_013616192.1, XP_013623773.1, XP_013625950.1	Ag007G604890
OG0001409	XP_013612112.1, XP_013619026.1, XP_013630413.1	Ag008G729870
OG0001409	XP_013628579.1, XP_013612058.1	Ag007G601630
OG0001410	XP_013593092.1	Ag003G262850, Ag002G120020
OG0001410	XP_013607299.1, XP_013597537.1	Ag006G576730
OG0001411	XP_013593050.1	Ag006G575480
OG0001412	XP_013597567.1	Ag006G569940
OG0001412	XP_013606679.1	Ag002G103010
OG0001413	XP_013596469.1, XP_013625949.1	Ag006G556050
OG0001413	XP_013593165.1, XP_013619756.1, XP_013622721.1	Ag006G567740, Ag006G567750
OG0001414	XP_013591141.1, XP_013591033.1, XP_013611427.1, XP_013590675.1, XP_013591208.1	Ag006G540270
OG0001415	XP_013634377.1	Ag002G159660
OG0001415	XP_013587394.1, XP_013625197.1	Ag007G583150
OG0001416	XP_013638071.1, XP_013622141.1, XP_013594622.1	Ag007G581940
OG0001417	XP_013617495.1, XP_013596176.1	Ag003G289380
OG0001417	XP_013630898.1	Ag006G524320
OG0001418	XP_013595344.1	Ag003G295250
OG0001418	XP_013600666.1, XP_013633893.1	Ag006G521500
OG0001419	XP_013637336.1, XP_013613724.1	Ag007G647650
OG0001419	XP_013623872.1	Ag001G081170, Ag002G171060
OG0001420	XP_013621392.1	Ag002G138920
OG0001420	XP_013601213.1	Ag006G555900, Ag006G555880
OG0001421	XP_013637436.1, XP_013625994.1, XP_013584577.1	Ag005G436870
OG0001422	XP_013587125.1	Ag005G484500
OG0001422	XP_013621287.1, XP_013594973.1, XP_013611175.1	Ag007G637440
OG0001423	XP_013637145.1	Ag002G200290
OG0001423	XP_013605196.1, XP_013590052.1	Ag001G092640
OG0001424	XP_013608549.1	Ag006G496620
OG0001424	XP_013619786.1, XP_013610664.1	Ag006G496610
OG0001425	XP_013614533.1, XP_013627471.1	Ag008G678130
OG0001425	XP_013611133.1	Ag008G717570
OG0001426	XP_013589613.1	Ag004G350570
OG0001427	XP_013627900.1, XP_013603708.1	Ag004G298430
OG0001428	XP_013583588.1	Ag004G299960
OG0001428	XP_013623153.1, XP_013618096.1, XP_013610988.1	Ag006G510260
OG0001429	XP_013612996.1	Ag006G510160
OG0001429	XP_013635955.1	Ag001G098000
OG0001430	XP_013604640.1, XP_013604808.1, XP_013586099.1	Ag004G302280
OG0001431	XP_013636210.1, XP_013629293.1, XP_013636707.1	Ag007G589010
OG0001432	XP_013586035.1, XP_013602079.1	Ag004G304890
OG0001432	XP_013628154.1	Ag007G590910
OG0001433	XP_013585790.1	Ag004G305660
OG0001433	XP_013632640.1, XP_013634701.1, XP_013633627.1, XP_013633330.1	Ag007G591900
OG0001434	XP_013634423.1	Ag006G502530, Ag006G502540, Ag007G594530, Ag007G594550
OG0001434	XP_013621419.1, XP_013611744.1, XP_013608521.1	Ag006G502770, Ag006G502790
OG0001435	XP_013638348.1	Ag004G307510
OG0001435	XP_013635037.1, XP_013635046.1	Ag006G521960, Ag007G595260
OG0001436	XP_013618709.1, XP_013607022.1	Ag007G626910
OG0001436	XP_013594589.1, XP_013638765.1	Ag005G487020
OG0001437	XP_013625930.1, XP_013619511.1	Ag007G628100
OG0001437	XP_013629610.1	Ag005G486760
OG0001438	XP_013595329.1, XP_013606757.1	Ag007G637910
OG0001438	XP_013584778.1, XP_013588737.1	Ag005G484840
OG0001439	XP_013588566.1	Ag003G233670
OG0001439	XP_013587212.1, XP_013604298.1, XP_013605446.1	Ag004G329980
OG0001440	XP_013602638.1, XP_013583850.1, XP_013595587.1	Ag004G337770
OG0001440	XP_013621140.1, XP_013601539.1	Ag003G218090
OG0001441	XP_013588639.1, XP_013592092.1, XP_013621009.1	Ag003G240490
OG0001441	XP_013586968.1	Ag004G339720
OG0001442	XP_013589891.1	Ag004G344190
OG0001442	XP_013638941.1	Ag003G226090
OG0001443	XP_013619278.1, XP_013590423.1, XP_013590024.1	Ag004G348030
OG0001444	XP_013625813.1, XP_013595243.1	Ag007G585760, Ag007G585910, Ag007G585900, Ag007G585820, Ag007G585800
OG0001446	XP_013608886.1	Ag007G600600
OG0001446	XP_013593913.1, XP_013608965.1, XP_013618206.1	Ag008G725290
OG0001447	XP_013588511.1	Ag003G225820
OG0001447	XP_013591057.1, XP_013620856.1	Ag004G377480
OG0001447	XP_013588510.1	Ag003G240560
OG0001448	XP_013630324.1	Ag001G002970
OG0001448	XP_013587477.1, XP_013629390.1, XP_013610759.1	Ag005G468240
OG0001449	XP_013627908.1	Ag005G466030
OG0001449	XP_013591798.1, XP_013588840.1	Ag001G004450
OG0001450	XP_013588274.1	Ag001G004470
OG0001451	XP_013590273.1	Ag001G007040
OG0001452	XP_013588625.1	Ag001G007440
OG0001452	XP_013626443.1, XP_013616372.1, XP_013583708.1	Ag005G463470
OG0001453	XP_013625354.1, XP_013589992.1	Ag001G007950
OG0001453	XP_013618897.1, XP_013626495.1, XP_013638912.1	Ag005G462940
OG0001454	XP_013623058.1, XP_013609917.1	Ag005G462450
OG0001454	XP_013590252.1, XP_013587985.1	Ag001G008380
OG0001455	XP_013609597.1	Ag005G460110
OG0001455	XP_013596398.1	Ag001G030470, Ag001G031670
OG0001456	XP_013614426.1, XP_013629172.1, XP_013637991.1	Ag005G447360, Ag001G015190
OG0001457	XP_013638281.1, XP_013622993.1, XP_013608282.1	Ag005G446320
OG0001457	XP_013589873.1, XP_013592122.1	Ag001G014090
OG0001458	XP_013617526.1	Ag008G670300
OG0001459	XP_013639320.1	Ag004G336470
OG0001464	XP_013596499.1, XP_013593314.1	Ag003G259130
OG0001464	XP_013606374.1, XP_013595917.1	Ag005G407160
OG0001465	XP_013611593.1	Ag005G408040
OG0001465	XP_013598555.1, XP_013602121.1	Ag003G260200
OG0001466	XP_013622823.1, XP_013601652.1, XP_013593365.1	Ag003G269760
OG0001468	XP_013627701.1, XP_013617858.1	Ag003G273420, Ag003G273430
OG0001469	XP_013594640.1, XP_013594555.1	Ag007G611450
OG0001469	XP_013593276.1	Ag007G579050
OG0001470	XP_013634757.1, XP_013634832.1	Ag002G164510
OG0001471	XP_013605940.1	Ag004G373750
OG0001471	XP_013599818.1, XP_013585541.1	Ag004G312930
OG0001472	XP_013602709.1, XP_013585257.1, XP_013585258.1	Ag004G321830
OG0001473	XP_013621439.1, XP_013598091.1	Ag008G660970
OG0001473	XP_013586392.1, XP_013604846.1	Ag004G320570
OG0001474	XP_013595812.1, XP_013596662.1	Ag004G314730, Ag004G314710
OG0001475	XP_013602185.1, XP_013583941.1	Ag004G315140
OG0001475	XP_013633584.1, XP_013612898.1	Ag004G379590
OG0001477	XP_013590304.1, XP_013635229.1, XP_013610557.1, XP_013619054.1, XP_013607192.1, XP_013626589.1	Ag006G506990
OG0001478	XP_013586663.1	Ag005G476680
OG0001478	XP_013619807.1, XP_013611296.1, XP_013625989.1	Ag006G494520
OG0001479	XP_013590009.1, XP_013602795.1, XP_013637304.1	Ag001G092540
OG0001480	XP_013596738.1, XP_013587468.1, XP_013603416.1	Ag007G598680
OG0001481	XP_013607163.1	Ag002G125790, Ag002G130280, Ag003G227030, Ag007G611190, Ag007G611220, Ag003G263070, Ag007G611060
OG0001482	XP_013622359.1	Ag007G606260
OG0001482	XP_013621558.1	Ag008G721150
OG0001483	XP_013596440.1	Ag008G721680
OG0001483	XP_013611864.1, XP_013630796.1	Ag007G605530
OG0001484	XP_013610257.1, XP_013630278.1	Ag007G605450
OG0001484	XP_013596839.1, XP_013610568.1	Ag008G721760
OG0001485	XP_013630715.1, XP_013606204.1	Ag007G602040
OG0001485	XP_013616525.1, XP_013623624.1	Ag008G730290
OG0001486	XP_013629670.1, XP_013612442.1	Ag007G601610
OG0001487	XP_013595208.1	Ag008G724400
OG0001487	XP_013621600.1, XP_013622383.1, XP_013610968.1	Ag007G600860
OG0001488	XP_013597722.1, XP_013621159.1	Ag006G577270
OG0001488	XP_013618395.1, XP_013610862.1	Ag002G115010, Ag002G121280
OG0001489	XP_013606154.1, XP_013622424.1	Ag002G140760
OG0001489	XP_013583574.1	Ag006G553560
OG0001490	XP_013596274.1, XP_013584543.1, XP_013630217.1	Ag007G582360
OG0001490	XP_013634257.1	Ag002G160180
OG0001491	XP_013639481.1	Ag007G581350, Ag007G581360
OG0001492	XP_013598084.1, XP_013629018.1	Ag003G295180
OG0001492	XP_013614560.1, XP_013599588.1	Ag006G521570
OG0001493	XP_013591724.1, XP_013604993.1	Ag007G584240
OG0001493	XP_013636445.1, XP_013621501.1	Ag002G158160
OG0001494	XP_013630584.1, XP_013611948.1, XP_013621414.1	Ag002G143040
OG0001495	XP_013598078.1	Ag002G123350
OG0001495	XP_013608750.1, XP_013608755.1	Ag002G123340
OG0001496	XP_013593901.1, XP_013590752.1	Ag005G431170
OG0001496	XP_013605909.1	Ag001G038640
OG0001497	XP_013590183.1	Ag001G034190
OG0001498	XP_013599521.1, XP_013585463.1, XP_013605234.1	Ag004G302140
OG0001500	XP_013629973.1	Ag002G204820
OG0001500	XP_013631699.1	Ag001G096910
OG0001501	XP_013619580.1	Ag005G455960, Ag005G455950
OG0001501	XP_013636161.1, XP_013637363.1	Ag002G204270
OG0001502	XP_013635470.1, XP_013622639.1	Ag002G199890
OG0001502	XP_013588531.1, XP_013605197.1	Ag001G092630
OG0001503	XP_013637656.1, XP_013587852.1	Ag001G091690
OG0001503	XP_013637456.1	Ag002G198680
OG0001504	XP_013588692.1	Ag001G090880
OG0001504	XP_013630999.1, XP_013630436.1	Ag002G197180
OG0001505	XP_013588571.1, XP_013603279.1	Ag004G387710
OG0001505	XP_013631723.1, XP_013625660.1	Ag002G196780
OG0001506	XP_013627415.1	Ag005G478370
OG0001506	XP_013610611.1, XP_013627403.1	Ag006G491390
OG0001507	XP_013616234.1, XP_013609352.1, XP_013626730.1	Ag008G708090
OG0001508	XP_013610094.1, XP_013618899.1, XP_013627678.1	Ag008G729500
OG0001509	XP_013635898.1, XP_013604995.1	Ag001G058080
OG0001509	XP_013606623.1, XP_013630132.1	Ag008G733610
OG0001510	XP_013633515.1, XP_013628157.1	Ag007G590940
OG0001510	XP_013586036.1, XP_013602687.1	Ag004G304900
OG0001511	XP_013605166.1, XP_013605728.1, XP_013585862.1	Ag004G307620
OG0001511	XP_013626782.1	Ag007G595470
OG0001512	XP_013605890.1, XP_013605833.1, XP_013637700.1	Ag004G308200
OG0001512	XP_013631129.1	Ag007G596480
OG0001513	XP_013585134.1, XP_013592913.1	Ag005G490410
OG0001513	XP_013592752.1	Ag005G490400
OG0001514	XP_013638294.1, XP_013587443.1	Ag005G486110
OG0001514	XP_013606586.1	Ag007G631230
OG0001515	XP_013627557.1, XP_013585014.1, XP_013591172.1	Ag005G482910
OG0001516	XP_013586780.1, XP_013621790.1	Ag005G481240
OG0001517	XP_013604703.1	Ag001G080350
OG0001517	XP_013621926.1, XP_013637248.1	Ag002G185210
OG0001518	XP_013634093.1, XP_013625814.1	Ag002G184990
OG0001518	XP_013615803.1, XP_013600522.1	Ag001G080020
OG0001519	XP_013587866.1, XP_013591909.1	Ag003G233700
OG0001519	XP_013604294.1, XP_013605445.1	Ag004G329970
OG0001520	XP_013590940.1	Ag001G054920
OG0001520	XP_013585061.1, XP_013605134.1	Ag004G331580
OG0001521	XP_013590805.1, XP_013592639.1	Ag003G219030
OG0001521	XP_013586492.1, XP_013599697.1, XP_013599272.1	Ag004G336770
OG0001522	XP_013599383.1, XP_013603596.1	Ag004G341390
OG0001522	XP_013591753.1, XP_013591894.1	Ag004G343960
OG0001523	XP_013598941.1	Ag003G242600
OG0001523	XP_013602024.1	Ag004G345430
OG0001524	XP_013626679.1, XP_013593548.1	Ag002G106090
OG0001524	XP_013629634.1	Ag008G726610
OG0001526	XP_013599607.1	Ag008G691010, Ag001G094220
OG0001527	XP_013618232.1	Ag007G613490
OG0001527	XP_013620406.1, XP_013591248.1	Ag003G209110
OG0001528	XP_013590050.1, XP_013590859.1, XP_013617306.1, XP_013619914.1	Ag003G224390, Ag003G224420
OG0001529	XP_013610591.1, XP_013608368.1, XP_013610730.1, XP_013615231.1	Ag007G632450
OG0001532	XP_013619070.1	Ag008G710300
OG0001532	XP_013610710.1, XP_013619476.1	Ag008G706710, Ag008G706700, Ag004G349410
OG0001534	XP_013592496.1, XP_013587954.1	Ag003G212360, Ag003G213740
OG0001535	XP_013627932.1	Ag001G001430
OG0001535	XP_013629396.1, XP_013584880.1, XP_013616773.1	Ag005G469480
OG0001536	XP_013586372.1, XP_013610807.1	Ag005G468450
OG0001536	XP_013628069.1	Ag001G002680
OG0001537	XP_013592089.1, XP_013591775.1, XP_013622736.1	Ag001G007720
OG0001537	XP_013636704.1	Ag005G463020
OG0001538	XP_013638491.1	Ag005G461050
OG0001538	XP_013592757.1, XP_013592900.1, XP_013630668.1	Ag001G009860
OG0001539	XP_013597191.1	Ag005G455640, Ag005G455610, Ag006G566250
OG0001541	XP_013631492.1, XP_013603932.1, XP_013590650.1	Ag003G262350, Ag003G262030, Ag003G277510, Ag001G097940
OG0001544	XP_013616867.1	Ag001G033680
OG0001544	XP_013591398.1, XP_013627165.1	Ag001G033670, Ag001G033250, Ag008G700110, Ag001G033660
OG0001545	XP_013610932.1	Ag002G103770
OG0001545	XP_013610142.1	Ag002G103280
OG0001547	XP_013584646.1, XP_013584703.1, XP_013615569.1	Ag007G623660, Ag005G444930, Ag005G444910, Ag005G472470
OG0001549	XP_013598627.1	Ag003G274680, Ag005G403820, Ag005G403890
OG0001550	XP_013637918.1	Ag005G473200
OG0001550	XP_013609412.1	Ag006G502250
OG0001551	XP_013595696.1, XP_013586896.1	Ag003G268670
OG0001552	XP_013603330.1, XP_013593954.1	Ag003G272480
OG0001552	XP_013602885.1	Ag001G094800
OG0001553	XP_013606551.1	Ag004G372180
OG0001553	XP_013600771.1, XP_013600706.1, XP_013637725.1	Ag004G312310
OG0001554	XP_013600541.1	Ag004G314460
OG0001554	XP_013612607.1, XP_013606509.1	Ag004G377870
OG0001555	XP_013605071.1, XP_013584394.1	Ag004G317720
OG0001555	XP_013598506.1, XP_013621064.1	Ag008G663730
OG0001556	XP_013621827.1, XP_013637482.1	Ag002G168490
OG0001556	XP_013599150.1, XP_013613430.1	Ag008G666790
OG0001557	XP_013634608.1	Ag005G480370
OG0001558	XP_013613101.1, XP_013620810.1, XP_013628917.1	Ag006G498110
OG0001558	XP_013630845.1	Ag005G475420
OG0001559	XP_013628997.1, XP_013611912.1	Ag001G041420
OG0001560	XP_013614299.1	Ag004G329740, Ag004G328200
OG0001561	XP_013604182.1	Ag008G682160, Ag008G683370
OG0001562	XP_013609337.1, XP_013619108.1	Ag008G697450
OG0001562	XP_013608528.1, XP_013623408.1	Ag006G499320
OG0001563	XP_013628962.1, XP_013612529.1	Ag008G719550
OG0001563	XP_013611561.1, XP_013620556.1	Ag007G609430
OG0001564	XP_013631424.1, XP_013622614.1	Ag002G171990
OG0001564	XP_013603599.1, XP_013603874.1	Ag004G334100
OG0001565	XP_013612446.1	Ag007G600480
OG0001565	XP_013616290.1, XP_013599159.1	Ag007G592440, Ag008G725460
OG0001566	XP_013612109.1, XP_013598050.1	Ag002G104090
OG0001566	XP_013598200.1, XP_013628959.1	Ag006G572130
OG0001567	XP_013592194.1, XP_013604293.1, XP_013638988.1	Ag006G536350, Ag006G538870
OG0001567	XP_013638215.1	Ag006G536400, Ag006G538910
OG0001568	XP_013615192.1, XP_013623436.1, XP_013594151.1, XP_013625250.1	Ag007G582810, Ag007G582800
OG0001569	XP_013636502.1	Ag002G160420
OG0001569	XP_013597522.1, XP_013586114.1, XP_013629551.1	Ag007G582030
OG0001570	XP_013591994.1	Ag001G090780
OG0001570	XP_013613850.1	Ag007G579780
OG0001571	XP_013613301.1, XP_013630268.1	Ag005G415960
OG0001571	XP_013598452.1	Ag003G285500
OG0001572	XP_013623152.1, XP_013609150.1	Ag003G292900
OG0001573	XP_013596237.1, XP_013638561.1, XP_013626251.1	Ag003G293680
OG0001574	XP_013597712.1	Ag003G295450
OG0001574	XP_013602322.1, XP_013615665.1, XP_013623596.1, XP_013632456.1	Ag006G521410
OG0001575	XP_013637138.1	Ag006G520930
OG0001575	XP_013598533.1, XP_013605252.1, XP_013629732.1	Ag003G295850
OG0001576	XP_013636478.1, XP_013603049.1, XP_013613722.1	Ag003G278840, Ag005G466390
OG0001577	XP_013613520.1	Ag007G648590
OG0001579	XP_013595447.1	Ag006G577750
OG0001579	XP_013598861.1	Ag002G123450
OG0001581	XP_013634118.1	Ag001G098160
OG0001581	XP_013629638.1, XP_013632226.1	Ag002G206130
OG0001582	XP_013634129.1, XP_013623314.1	Ag002G198660
OG0001583	XP_013636341.1	Ag002G193430
OG0001583	XP_013588353.1, XP_013605919.1, XP_013633542.1	Ag001G085640
OG0001584	XP_013631613.1	Ag002G191780
OG0001585	XP_013633740.1, XP_013600600.1	Ag001G083940
OG0001585	XP_013631141.1	Ag002G191010
OG0001587	XP_013615056.1	Ag008G713740
OG0001587	XP_013616562.1, XP_013616561.1	Ag008G713730
OG0001588	XP_013622221.1, XP_013606628.1, XP_013622253.1, XP_013615450.1	Ag008G707740
OG0001589	XP_013606954.1, XP_013630697.1, XP_013616246.1	Ag008G729560
OG0001589	XP_013600473.1	Ag008G690360
OG0001590	XP_013591646.1, XP_013611588.1	Ag001G078570
OG0001590	XP_013628686.1	Ag008G733560
OG0001591	XP_013586566.1	Ag004G299980
OG0001591	XP_013628700.1, XP_013621085.1, XP_013611408.1	Ag006G510200
OG0001592	XP_013587720.1	Ag004G300590
OG0001592	XP_013615873.1	Ag007G599500, Ag007G599510
OG0001593	XP_013626665.1, XP_013634660.1	Ag007G588130
OG0001593	XP_013604064.1, XP_013584325.1	Ag004G302500
OG0001594	XP_013586640.1	Ag004G303670, Ag004G303660
OG0001594	XP_013602448.1	Ag007G589450
OG0001595	XP_013585290.1, XP_013585337.1	Ag005G487920
OG0001595	XP_013592671.1, XP_013592824.1	Ag005G487950
OG0001596	XP_013622953.1, XP_013619451.1, XP_013615093.1	Ag007G628560
OG0001596	XP_013637984.1, XP_013607577.1	Ag005G486450
OG0001597	XP_013629226.1, XP_013585816.1	Ag005G482670
OG0001598	XP_013625659.1, XP_013586092.1	Ag005G481900
OG0001598	XP_013613675.1	Ag007G629300
OG0001599	XP_013597999.1	Ag003G285160
OG0001599	XP_013638125.1, XP_013584993.1	Ag005G479430
OG0001600	XP_013630922.1, XP_013630506.1, XP_013637213.1	Ag002G167520
OG0001601	XP_013600334.1, XP_013613972.1	Ag004G328380, Ag004G328340
OG0001601	XP_013614539.1	Ag003G237290, Ag003G237250
OG0001602	XP_013638359.1	Ag004G337300, Ag004G337290
OG0001602	XP_013592891.1, XP_013616722.1	Ag003G218670
OG0001603	XP_013619267.1	Ag004G344540
OG0001603	XP_013583830.1, XP_013600286.1	Ag003G241650
OG0001604	XP_013605461.1, XP_013587256.1	Ag003G241790
OG0001604	XP_013587756.1	Ag004G344830
OG0001605	XP_013600952.1, XP_013584266.1	Ag003G241940
OG0001605	XP_013614122.1	Ag004G344860
OG0001606	XP_013634667.1	Ag006G524130
OG0001607	XP_013615000.1, XP_013602812.1, XP_013584138.1	Ag004G316190
OG0001609	XP_013628187.1, XP_013625668.1, XP_013609345.1	Ag007G632100
OG0001609	XP_013602337.1	Ag004G300610
OG0001610	XP_013618392.1, XP_013607026.1, XP_013626906.1	Ag005G474840, Ag006G499040
OG0001611	XP_013589823.1	Ag003G226840, Ag003G226810
OG0001611	XP_013587962.1	Ag003G226930
OG0001612	XP_013617408.1, XP_013638254.1, XP_013628214.1	Ag005G469640
OG0001613	XP_013590964.1	Ag001G006970
OG0001613	XP_013585698.1, XP_013610196.1	Ag005G463970
OG0001614	XP_013592328.1	Ag001G011210, Ag001G011220
OG0001614	XP_013638406.1	Ag005G444000, Ag005G442780
OG0001615	XP_013627006.1	Ag005G433970, Ag005G432590
OG0001615	XP_013626249.1	Ag004G301920
OG0001616	XP_013614521.1, XP_013593372.1	Ag005G415560
OG0001616	XP_013637661.1, XP_013594061.1	Ag003G285780
OG0001617	XP_013603524.1	Ag003G258680
OG0001618	XP_013625033.1, XP_013614620.1	Ag001G000260
OG0001618	XP_013625295.1	Ag005G470440
OG0001619	XP_013592090.1, XP_013603156.1	Ag001G070790
OG0001619	XP_013634833.1, XP_013635555.1	Ag002G167510
OG0001620	XP_013617989.1, XP_013616371.1	Ag006G576210, Ag006G576200, Ag001G027350, Ag006G576290, Ag006G576360, Ag006G576330, Ag006G571350, Ag006G576220, Ag001G001290, Ag006G576270, Ag006G576380, Ag006G576240, Ag006G576230, Ag004G370430, Ag006G520190, Ag001G074560, Ag006G520210, Ag006G517790
OG0001621	XP_013589015.1, XP_013589016.1, XP_013607514.1	Ag001G075340
OG0001621	XP_013624964.1	Ag001G012130
OG0001622	XP_013601521.1	Ag004G336820, Ag001G056850
OG0001623	XP_013599507.1	Ag001G082110
OG0001626	XP_013589586.1, XP_013589583.1, XP_013589585.1	Ag003G227320, Ag003G227290, Ag003G227530
OG0001627	XP_013586419.1, XP_013598135.1	Ag003G246360
OG0001628	XP_013627749.1	Ag004G308870, Ag004G308850, Ag004G308840, Ag004G319830, Ag004G319820
OG0001629	XP_013601995.1, XP_013585950.1	Ag004G318330
OG0001629	XP_013593340.1	Ag008G663580
OG0001642	XP_013598758.1	Ag003G274030
OG0001643	XP_013630754.1, XP_013611605.1	Ag005G417750
OG0001643	XP_013626907.1, XP_013604631.1	Ag003G283020
OG0001644	XP_013605908.1	Ag004G372810
OG0001644	XP_013600500.1, XP_013638288.1, XP_013594301.1	Ag004G312500
OG0001645	XP_013619689.1	Ag001G031810, Ag001G031800
OG0001646	XP_013613392.1, XP_013614988.1, XP_013597544.1	Ag008G666370
OG0001646	XP_013599617.1, XP_013601053.1	Ag004G317180
OG0001647	XP_013592026.1, XP_013637161.1	Ag007G655270
OG0001647	XP_013598232.1	Ag008G668770
OG0001648	XP_013631148.1, XP_013588136.1	Ag007G654460
OG0001648	XP_013607001.1, XP_013593551.1	Ag008G669020
OG0001650	XP_013609916.1, XP_013593782.1	Ag008G699180
OG0001650	XP_013634039.1	Ag007G647790
OG0001651	XP_013625348.1, XP_013618807.1, XP_013606354.1	Ag008G699860
OG0001652	XP_013627407.1, XP_013584796.1, XP_013588032.1	Ag005G477870
OG0001652	XP_013610285.1	Ag006G492330
OG0001653	XP_013583767.1, XP_013627991.1, XP_013638320.1	Ag005G476540
OG0001654	XP_013620601.1	Ag006G495630
OG0001654	XP_013586027.1, XP_013627988.1	Ag005G476310
OG0001655	XP_013611631.1	Ag006G500650
OG0001655	XP_013621768.1, XP_013638695.1	Ag005G474070
OG0001656	XP_013586724.1, XP_013635859.1, XP_013629414.1	Ag005G471300
OG0001656	XP_013609050.1	Ag007G612900
OG0001657	XP_013613295.1	Ag008G694120
OG0001658	XP_013607067.1, XP_013622624.1, XP_013621496.1	Ag008G694910
OG0001659	XP_013627733.1, XP_013619028.1	Ag006G508420
OG0001659	XP_013609903.1	Ag006G508280, Ag006G508350, Ag006G508390, Ag006G508370
OG0001660	XP_013628647.1, XP_013598147.1, XP_013599133.1	Ag006G561170
OG0001661	XP_013620347.1	Ag002G144120, Ag002G144650
OG0001661	XP_013595451.1	Ag006G551290
OG0001662	XP_013598612.1, XP_013595175.1	Ag006G550790
OG0001662	XP_013629538.1	Ag002G143570
OG0001663	XP_013625828.1, XP_013611007.1	Ag002G148810
OG0001663	XP_013586396.1, XP_013593329.1	Ag004G340710
OG0001664	XP_013636038.1	Ag002G161170
OG0001664	XP_013628503.1, XP_013585924.1	Ag007G580680
OG0001666	XP_013636200.1, XP_013595695.1	Ag003G286820
OG0001666	XP_013595677.1	Ag005G414340
OG0001667	XP_013597297.1	Ag003G290900
OG0001668	XP_013593873.1, XP_013625835.1, XP_013587508.1	Ag003G291670
OG0001669	XP_013633994.1, XP_013604019.1	Ag006G522520
OG0001669	XP_013625439.1	Ag003G293970, Ag001G077970
OG0001670	XP_013624761.1, XP_013589721.1, XP_013598019.1	Ag003G296200
OG0001670	XP_013633652.1	Ag006G520770
OG0001671	XP_013628792.1	Ag002G155570, Ag002G149380
OG0001672	XP_013637900.1, XP_013596068.1, XP_013623412.1	Ag007G584070
OG0001672	XP_013607245.1	Ag006G497930
OG0001673	XP_013593788.1, XP_013625153.1	Ag004G309470
OG0001674	XP_013630767.1	Ag001G037360
OG0001674	XP_013636273.1	Ag001G037300, Ag001G037260
OG0001675	XP_013635192.1, XP_013603575.1, XP_013590731.1	Ag001G096570
OG0001676	XP_013623270.1	Ag002G199630
OG0001676	XP_013632249.1, XP_013632248.1	Ag002G199590
OG0001677	XP_013604715.1	Ag001G090420
OG0001677	XP_013632104.1, XP_013622261.1	Ag002G196690
OG0001678	XP_013634034.1, XP_013592413.1, XP_013605337.1	Ag001G088790
OG0001678	XP_013632198.1	Ag002G195570
OG0001679	XP_013592405.1, XP_013605465.1	Ag001G088020
OG0001679	XP_013636738.1	Ag002G194650
OG0001681	XP_013598702.1, XP_013621118.1, XP_013612516.1	Ag001G099990
OG0001682	XP_013606624.1	Ag007G599390
OG0001682	XP_013586956.1	Ag004G300850
OG0001683	XP_013619822.1, XP_013609200.1, XP_013595668.1, XP_013595666.1	Ag007G587060
OG0001684	XP_013613225.1	Ag007G588040
OG0001684	XP_013584322.1, XP_013599495.1	Ag004G302440
OG0001685	XP_013604693.1, XP_013584323.1	Ag004G302470
OG0001685	XP_013621426.1, XP_013612811.1	Ag007G588050
OG0001686	XP_013631116.1, XP_013630998.1	Ag007G588230
OG0001686	XP_013638105.1	Ag004G302550
OG0001687	XP_013599943.1	Ag004G302910
OG0001687	XP_013630774.1, XP_013631672.1, XP_013637065.1	Ag007G588540
OG0001688	XP_013583909.1	Ag004G305280
OG0001688	XP_013634894.1, XP_013634924.1, XP_013625134.1	Ag007G591490
OG0001689	XP_013583533.1, XP_013604705.1, XP_013604955.1	Ag004G305770
OG0001689	XP_013634293.1	Ag007G592050
OG0001690	XP_013637300.1	Ag007G592430
OG0001690	XP_013600707.1, XP_013583691.1	Ag004G306000
OG0001691	XP_013583819.1, XP_013602287.1	Ag004G306280
