Orthogroup	Brassica_oleracea	Cardamine_amara
OG0000490	XP_013639075.1, XP_013638579.1, XP_013638572.1, XP_013619545.1, XP_013639076.1, XP_013639072.1, XP_013585394.1, XP_013601909.1, XP_013603918.1	evm.model.RL_5.76
OG0000491	XP_013616903.1	evm.model.RL_4.413
OG0000491	XP_013613479.1	evm.model.RL_7.2269
OG0000495	XP_013598902.1, XP_013596759.1, XP_013596483.1, XP_013594319.1	evm.model.RL_8.1494
OG0000495	XP_013624945.1	evm.model.RL_2.2495
OG0000495	XP_013602892.1, XP_013614493.1	evm.model.RL_6.241
OG0000496	XP_013617288.1, XP_013613564.1	evm.model.RL_1.2426
OG0000498	XP_013606978.1, XP_013625280.1	evm.model.RL_8.1435
OG0000498	XP_013595884.1, XP_013589409.1	evm.model.RL_5.3097
OG0000499	XP_013593878.1	evm.model.RL_2.1390.1.687c86e2
OG0000499	XP_013628237.1, XP_013610420.1	evm.model.RL_3.2236, evm.model.RL_5.1890
OG0000500	XP_013596568.1	evm.model.RL_4.348
OG0000501	XP_013637737.1	evm.model.RL_5.2509
OG0000501	XP_013628249.1	evm.model.RL_7.1729
OG0000504	XP_013609104.1	evm.model.RL_4.3277
OG0000504	XP_013583730.1, XP_013625492.1, XP_013583960.1	evm.model.RL_1.857
OG0000505	XP_013596779.1	evm.model.RL_4.1219
OG0000506	XP_013609440.1, XP_013623414.1	evm.model.RL_4.2927
OG0000506	XP_013592286.1, XP_013612789.1, XP_013595174.1, XP_013588232.1	evm.model.RL_3.1583
OG0000507	XP_013635435.1	evm.model.RL_3.536
OG0000507	XP_013626611.1	evm.model.RL_6.1857
OG0000509	XP_013591814.1	evm.model.RL_2.1208
OG0000510	XP_013592321.1, XP_013607723.1, XP_013610099.1	evm.model.RL_3.457
OG0000510	XP_013610498.1	evm.model.RL_3.458
OG0000511	XP_013630486.1	evm.model.RL_1.2121
OG0000511	XP_013602485.1, XP_013616157.1	evm.model.RL_2.1043
OG0000511	XP_013611135.1	evm.model.RL_3.238
OG0000512	XP_013598896.1, XP_013595107.1, XP_013598837.1	evm.model.RL_2.1854
OG0000512	XP_013597042.1	evm.model.RL_7.2237
OG0000513	XP_013588472.1, XP_013600675.1, XP_013613501.1	evm.model.RL_1.901.1.687c87eb, evm.model.RL_7.1023.3.687c84b7
OG0000513	XP_013636165.1	evm.model.RL_7.1762
OG0000513	XP_013608957.1, XP_013625396.1, XP_013621371.1	evm.model.RL_8.2062
OG0000515	XP_013613553.1, XP_013606464.1, XP_013599086.1, XP_013615971.1, XP_013625029.1	evm.model.RL_5.3833
OG0000515	XP_013625027.1	evm.model.RL_5.3999
OG0000520	XP_013628912.1, XP_013590153.1, XP_013604812.1, XP_013618531.1, XP_013609483.1, XP_013595875.1	evm.model.RL_7.262
OG0000521	XP_013587239.1	evm.model.RL_5.2511
OG0000522	XP_013587636.1	evm.model.RL_5.2665
OG0000522	XP_013606909.1	evm.model.RL_8.724.1.687c8558
OG0000523	XP_013637086.1	evm.model.RL_5.3093
OG0000523	XP_013601735.1, XP_013601734.1	evm.model.RL_7.199
OG0000524	XP_013583265.1, XP_013614628.1, XP_013615750.1, XP_013626396.1	evm.model.RL_1.735
OG0000524	XP_013628956.1, XP_013614631.1	evm.model.RL_1.734
OG0000524	XP_013596317.1	evm.model.RL_4.768
OG0000525	XP_013591486.1	evm.model.RL_3.2252
OG0000525	XP_013585326.1	evm.model.RL_5.1541
OG0000525	XP_013586552.1, XP_013616418.1	evm.model.RL_1.1399
OG0000525	XP_013592137.1, XP_013613494.1	evm.model.RL_5.3805
OG0000526	XP_013618410.1, XP_013630402.1	evm.model.RL_7.1608
OG0000526	XP_013596092.1	evm.model.RL_7.1613
OG0000526	XP_013624681.1	evm.model.RL_7.1612, evm.model.RL_7.1611
OG0000529	XP_013609646.1	evm.model.RL_4.1462
OG0000532	XP_013608181.1, XP_013634011.1	evm.model.RL_8.602
OG0000533	XP_013614562.1, XP_013595941.1, XP_013626196.1, XP_013599590.1	evm.model.RL_2.3413, evm.model.RL_6.67
OG0000537	XP_013627306.1, XP_013601880.1, XP_013608638.1	evm.model.RL_8.362
OG0000537	XP_013602856.1	evm.model.RL_2.772
OG0000538	XP_013626300.1	evm.model.RL_6.2482, evm.model.RL_6.2483
OG0000538	XP_013634891.1	evm.model.RL_6.2479
OG0000539	XP_013618020.1	evm.model.RL_3.492
OG0000539	XP_013635386.1, XP_013635346.1	evm.model.RL_6.1158
OG0000540	XP_013634707.1	evm.model.RL_6.1049
OG0000540	XP_013634184.1	evm.model.RL_6.1046
OG0000540	XP_013634839.1	evm.model.RL_6.1045
OG0000540	XP_013632129.1	evm.model.RL_6.1042, evm.model.RL_6.1043, evm.model.RL_6.1044
OG0000542	XP_013625486.1, XP_013621332.1, XP_013611217.1	evm.model.RL_4.2027.1.687c86d7
OG0000542	XP_013633735.1, XP_013587531.1, XP_013625416.1	evm.model.RL_1.173
OG0000543	XP_013601761.1, XP_013633250.1	evm.model.RL_6.338, evm.model.RL_6.344, evm.model.RL_6.339
OG0000544	XP_013624228.1, XP_013583878.1, XP_013603804.1, XP_013584939.1	evm.model.RL_5.382, evm.model.RL_5.384
OG0000545	XP_013588748.1, XP_013591837.1	evm.model.RL_3.1918
OG0000546	XP_013596911.1	evm.model.RL_1.2882
OG0000546	XP_013627748.1	evm.model.RL_1.2885
OG0000547	XP_013608019.1, XP_013591095.1	evm.model.RL_8.603
OG0000550	XP_013634862.1, XP_013625956.1, XP_013634027.1, XP_013633058.1, XP_013602260.1	evm.model.RL_6.1710
OG0000551	XP_013628520.1, XP_013620488.1, XP_013611243.1	evm.model.RL_8.2558
OG0000551	XP_013600406.1	evm.model.RL_2.3398
OG0000551	XP_013628583.1	evm.model.RL_4.2595.1.687c86da
OG0000552	XP_013594087.1, XP_013587100.1	evm.model.RL_5.3425
OG0000552	XP_013600243.1, XP_013631869.1, XP_013588469.1, XP_013623008.1	evm.model.RL_7.139, evm.model.RL_6.1199
OG0000554	XP_013606313.1, XP_013631624.1	evm.model.RL_3.335
OG0000556	XP_013622562.1, XP_013593420.1, XP_013609170.1	evm.model.RL_1.2383
OG0000557	XP_013634696.1, XP_013605198.1	evm.model.RL_7.336, evm.model.RL_7.337
OG0000557	XP_013625667.1	evm.model.RL_6.2607
OG0000558	XP_013632627.1	evm.model.RL_3.443
OG0000559	XP_013611299.1	evm.model.RL_4.3249
OG0000559	XP_013608558.1	evm.model.RL_4.3262
OG0000560	XP_013625869.1, XP_013622911.1, XP_013629631.1	evm.model.RL_8.2034, evm.model.RL_8.2035
OG0000561	XP_013620184.1, XP_013615676.1, XP_013620187.1	evm.model.RL_8.2590.1.687c8562
OG0000561	XP_013628773.1, XP_013614580.1	evm.model.RL_8.2591
OG0000562	XP_013630670.1, XP_013637810.1, XP_013586226.1	evm.model.RL_1.516.4.687c87ea
OG0000562	XP_013622276.1	evm.model.RL_4.2164
OG0000562	XP_013599368.1, XP_013612998.1	evm.model.RL_4.1100
OG0000563	XP_013592121.1, XP_013591390.1, XP_013614927.1, XP_013589001.1	evm.model.RL_2.457
OG0000564	XP_013633253.1	evm.model.RL_6.368
OG0000567	XP_013623783.1	evm.model.RL_4.2379
OG0000569	XP_013635700.1, XP_013631932.1	evm.model.RL_6.1611
OG0000570	XP_013583862.1, XP_013638257.1	evm.model.RL_1.121
OG0000570	XP_013619382.1, XP_013595982.1	evm.model.RL_8.2186
OG0000571	XP_013610235.1	evm.model.RL_8.2145
OG0000571	XP_013637782.1, XP_013637781.1, XP_013603607.1, XP_013603124.1	evm.model.RL_5.659, evm.model.RL_5.658
OG0000572	XP_013624651.1	evm.model.RL_7.1752
OG0000572	XP_013591096.1, XP_013590362.1, XP_013587763.1	evm.model.RL_3.1767
OG0000573	XP_013607707.1	evm.model.RL_3.359.1.687c84ba
OG0000575	XP_013626340.1, XP_013626942.1, XP_013598759.1, XP_013585665.1	evm.model.RL_7.1987
OG0000578	XP_013585672.1, XP_013604481.1	evm.model.RL_5.908
OG0000578	XP_013606668.1	evm.model.RL_3.507
OG0000578	XP_013615541.1, XP_013591796.1	evm.model.RL_3.1392
OG0000579	XP_013608949.1, XP_013625277.1, XP_013602475.1, XP_013635769.1	evm.model.RL_8.1361, evm.model.RL_8.1365
OG0000579	XP_013590042.1, XP_013633563.1	evm.model.RL_2.2089
OG0000580	XP_013635111.1, XP_013634467.1	evm.model.RL_6.2547
OG0000580	XP_013635179.1, XP_013584785.1, XP_013632413.1, XP_013634873.1, XP_013635298.1, XP_013634865.1	evm.model.RL_6.2550
OG0000581	XP_013625818.1, XP_013616513.1	evm.model.RL_1.834, evm.model.RL_1.833
OG0000582	XP_013625204.1	evm.model.RL_7.1671, evm.model.RL_4.1470
OG0000582	XP_013631025.1	evm.model.RL_5.694.2.687c88ae
OG0000584	XP_013600220.1, XP_013638328.1, XP_013601992.1	evm.model.RL_5.241
OG0000584	XP_013609960.1	evm.model.RL_2.2368
OG0000585	XP_013625991.1, XP_013625249.1, XP_013622620.1, XP_013586087.1, XP_013635660.1, XP_013632022.1	evm.model.RL_1.1384, evm.model.RL_6.1536
OG0000586	XP_013621535.1	evm.model.RL_4.663
OG0000587	XP_013618648.1	evm.model.RL_8.220
OG0000587	XP_013634673.1, XP_013631736.1	evm.model.RL_6.2828
OG0000588	XP_013638287.1	evm.model.RL_1.1413
OG0000588	XP_013635914.1, XP_013615699.1, XP_013589059.1, XP_013615473.1, XP_013636050.1, XP_013624204.1	evm.model.RL_6.2386
OG0000588	XP_013628861.1	evm.model.RL_5.3792
OG0000589	XP_013619843.1, XP_013623570.1, XP_013609906.1	evm.model.RL_8.2060
OG0000589	XP_013591437.1, XP_013627620.1	evm.model.RL_7.1759, evm.model.RL_7.1761
OG0000590	XP_013596675.1	evm.model.RL_4.1063.1.687c86d1
OG0000590	XP_013584582.1, XP_013603904.1	evm.model.RL_5.138
OG0000592	XP_013590768.1, XP_013584437.1	evm.model.RL_5.2146
OG0000592	XP_013610846.1, XP_013613965.1	evm.model.RL_1.1725
OG0000592	XP_013599552.1, XP_013603334.1, XP_013587459.1	evm.model.RL_5.1635
OG0000593	XP_013602939.1	evm.model.RL_3.2245
OG0000595	XP_013626037.1	evm.model.RL_7.1900
OG0000595	XP_013623571.1	evm.model.RL_4.1472
OG0000597	XP_013633336.1, XP_013616724.1, XP_013635802.1	evm.model.RL_6.1206
OG0000599	XP_013608139.1	evm.model.RL_5.2658
OG0000599	XP_013594645.1, XP_013589652.1	evm.model.RL_6.1099
OG0000600	XP_013626154.1, XP_013612142.1	evm.model.RL_8.1733
OG0000601	XP_013636776.1, XP_013613723.1	evm.model.RL_2.297
OG0000602	XP_013588422.1	evm.model.RL_7.1068
OG0000602	XP_013585358.1, XP_013627986.1, XP_013606982.1	evm.model.RL_1.894, evm.model.RL_1.895
OG0000604	XP_013622417.1	evm.model.RL_7.79
OG0000604	XP_013595518.1, XP_013637135.1	evm.model.RL_2.2009
OG0000604	XP_013636544.1, XP_013631341.1, XP_013600167.1, XP_013588341.1	evm.model.RL_6.2913
OG0000605	XP_013591111.1, XP_013616425.1	evm.model.RL_3.1817
OG0000605	XP_013619280.1	evm.model.RL_3.1815
OG0000605	XP_013590925.1, XP_013619519.1	evm.model.RL_3.1816
OG0000606	XP_013609882.1, XP_013629453.1	evm.model.RL_1.1521
OG0000606	XP_013589773.1	evm.model.RL_3.2481
OG0000606	XP_013591895.1, XP_013591807.1, XP_013629378.1	evm.model.RL_5.3705.2.687c88c4
OG0000607	XP_013608503.1, XP_013626493.1	evm.model.RL_1.1811
OG0000607	XP_013629245.1	evm.model.RL_1.2784
OG0000607	XP_013619907.1, XP_013628168.1	evm.model.RL_2.2912
OG0000608	XP_013606728.1	evm.model.RL_7.586
OG0000608	XP_013629520.1	evm.model.RL_7.588
OG0000612	XP_013630038.1	evm.model.RL_8.742
OG0000613	XP_013627683.1	evm.model.RL_1.163
OG0000613	XP_013610419.1	evm.model.RL_8.1471, evm.model.RL_2.347, evm.model.RL_2.354
OG0000614	XP_013628999.1	evm.model.RL_8.733
OG0000614	XP_013612560.1, XP_013611573.1, XP_013630063.1, XP_013620648.1, XP_013621335.1	evm.model.RL_8.730, evm.model.RL_8.731
OG0000615	XP_013593332.1, XP_013622342.1	evm.model.RL_1.2984
OG0000615	XP_013599425.1, XP_013584042.1, XP_013625070.1	evm.model.RL_2.3143
OG0000615	XP_013596533.1	evm.model.RL_7.1268
OG0000616	XP_013607296.1	evm.model.RL_8.2134
OG0000617	XP_013603247.1, XP_013609900.1, XP_013610077.1, XP_013627721.1, XP_013591272.1	evm.model.RL_8.191, evm.model.RL_8.199
OG0000617	XP_013628964.1	evm.model.RL_8.110
OG0000618	XP_013616329.1	evm.model.RL_3.2253
OG0000618	XP_013584837.1, XP_013639259.1	evm.model.RL_5.1540
OG0000618	XP_013597202.1	evm.model.RL_2.2268
OG0000619	XP_013591857.1, XP_013605172.1	evm.model.RL_7.1046
OG0000620	XP_013599959.1, XP_013583607.1, XP_013602047.1	evm.model.RL_5.1688
OG0000620	XP_013588558.1, XP_013590307.1, XP_013616205.1	evm.model.RL_3.1824
OG0000621	XP_013610827.1	evm.model.RL_8.514
OG0000622	XP_013603722.1	evm.model.RL_6.110
OG0000627	XP_013622594.1, XP_013612028.1	evm.model.RL_8.1631
OG0000628	XP_013587874.1, XP_013590582.1	evm.model.RL_3.2192.1.687c84bd
OG0000628	XP_013584093.1, XP_013608583.1, XP_013625630.1	evm.model.RL_1.1784
OG0000630	XP_013635091.1	evm.model.RL_2.412, evm.model.RL_3.980, evm.model.RL_2.406
OG0000632	XP_013633968.1, XP_013633833.1	evm.model.RL_8.20, evm.model.RL_7.287
OG0000633	XP_013592467.1, XP_013636569.1	evm.model.RL_7.2010
OG0000633	XP_013636101.1	evm.model.RL_3.2473
OG0000634	XP_013623213.1, XP_013618401.1, XP_013618637.1, XP_013607161.1	evm.model.RL_8.2014
OG0000635	XP_013635665.1	evm.model.RL_6.1124
OG0000635	XP_013633504.1, XP_013635566.1	evm.model.RL_3.556, evm.model.RL_6.1250, evm.model.RL_6.900
OG0000636	XP_013612465.1	evm.model.RL_4.2957
OG0000636	XP_013627276.1, XP_013610243.1	evm.model.RL_4.1763, evm.model.RL_4.2956, evm.model.RL_4.2955
OG0000638	XP_013596389.1, XP_013596399.1, XP_013585116.1	evm.model.RL_2.2513, evm.model.RL_2.2512, evm.model.RL_2.2437, evm.model.RL_2.2496
OG0000639	XP_013618084.1, XP_013615227.1	evm.model.RL_2.2723
OG0000641	XP_013583827.1	evm.model.RL_1.2106
OG0000642	XP_013635269.1	evm.model.RL_2.298
OG0000645	XP_013631400.1	evm.model.RL_2.938
OG0000646	XP_013593053.1, XP_013616465.1, XP_013617826.1	evm.model.RL_7.2116
OG0000646	XP_013635998.1, XP_013586001.1	evm.model.RL_1.113
OG0000647	XP_013616738.1, XP_013590998.1, XP_013590874.1	evm.model.RL_1.876
OG0000649	XP_013605619.1	evm.model.RL_5.2409
OG0000649	XP_013584413.1	evm.model.RL_5.3692
OG0000650	XP_013618425.1	evm.model.RL_4.223
OG0000650	XP_013607084.1, XP_013632345.1	evm.model.RL_4.222
OG0000652	XP_013609633.1, XP_013596268.1, XP_013595918.1, XP_013619255.1, XP_013618044.1, XP_013618053.1	evm.model.RL_4.1390, evm.model.RL_4.1389, evm.model.RL_4.1391
OG0000654	XP_013616944.1, XP_013616936.1, XP_013616942.1, XP_013616940.1, XP_013608285.1, XP_013608281.1, XP_013608283.1	evm.model.RL_8.2042, evm.model.RL_8.2010
OG0000658	XP_013636260.1, XP_013590352.1, XP_013600258.1	evm.model.RL_4.1057, evm.model.RL_7.2265, evm.model.RL_7.992
OG0000659	XP_013596201.1	evm.model.RL_8.1740, evm.model.RL_2.2460
OG0000660	XP_013599983.1	evm.model.RL_5.593
OG0000660	XP_013630663.1	evm.model.RL_7.1691
OG0000661	XP_013628155.1, XP_013628156.1, XP_013633509.1, XP_013633510.1, XP_013631591.1, XP_013633560.1	evm.model.RL_6.1256, evm.model.RL_6.1074, evm.model.RL_6.2013, evm.model.RL_6.1251
OG0000662	XP_013610154.1	evm.model.RL_4.2054
OG0000662	XP_013635043.1, XP_013625856.1	evm.model.RL_1.149
OG0000662	XP_013616700.1, XP_013607053.1	evm.model.RL_4.2053
OG0000663	XP_013593857.1, XP_013625643.1	evm.model.RL_5.3202
OG0000663	XP_013590931.1, XP_013613079.1	evm.model.RL_3.1173
OG0000665	XP_013594926.1, XP_013597286.1	evm.model.RL_7.2342
OG0000669	XP_013631739.1, XP_013633597.1	evm.model.RL_6.2536
OG0000669	XP_013616063.1, XP_013593543.1, XP_013612896.1	evm.model.RL_7.2672
OG0000670	XP_013596357.1, XP_013597650.1, XP_013628641.1, XP_013628642.1, XP_013606861.1	evm.model.RL_2.1876
OG0000672	XP_013637288.1, XP_013630545.1, XP_013636940.1	evm.model.RL_6.1514
OG0000673	XP_013598105.1, XP_013598106.1, XP_013597824.1	evm.model.RL_7.2439
OG0000674	XP_013600959.1, XP_013583538.1	evm.model.RL_5.134
OG0000674	XP_013631620.1, XP_013634018.1	evm.model.RL_6.2908
OG0000674	XP_013612021.1	evm.model.RL_8.252
OG0000675	XP_013585751.1, XP_013602190.1, XP_013603177.1, XP_013625470.1, XP_013634237.1, XP_013634402.1	evm.model.RL_5.1447
OG0000676	XP_013600439.1, XP_013637445.1	evm.model.RL_7.783
OG0000676	XP_013590065.1, XP_013590112.1, XP_013620748.1	evm.model.RL_3.1843
OG0000677	XP_013594676.1	evm.model.RL_5.3344
OG0000677	XP_013598210.1	evm.model.RL_5.3342
OG0000685	XP_013598345.1, XP_013620281.1, XP_013630726.1	evm.model.RL_2.2469
OG0000685	XP_013602280.1, XP_013594259.1	evm.model.RL_2.2139
OG0000686	XP_013595172.1, XP_013627487.1, XP_013624903.1	evm.model.RL_2.2897, evm.model.RL_4.849
OG0000686	XP_013627070.1	evm.model.RL_2.2898
OG0000687	XP_013598642.1, XP_013636654.1	evm.model.RL_2.1206
OG0000687	XP_013588712.1, XP_013629428.1	evm.model.RL_6.2651
OG0000688	XP_013596247.1, XP_013618583.1, XP_013621295.1	evm.model.RL_7.2596
OG0000689	XP_013630239.1, XP_013592464.1, XP_013606957.1, XP_013586073.1	evm.model.RL_5.3488, evm.model.RL_8.807, evm.model.RL_5.2568
OG0000690	XP_013585907.1, XP_013617031.1, XP_013617574.1, XP_013633142.1, XP_013624757.1	evm.model.RL_5.2417
OG0000691	XP_013609657.1	evm.model.RL_2.1775
OG0000692	XP_013634145.1, XP_013604794.1	evm.model.RL_7.488, evm.model.RL_7.487
OG0000692	XP_013604793.1, XP_013592766.1	evm.model.RL_7.486
OG0000692	XP_013636874.1	evm.model.RL_6.2405
OG0000693	XP_013603613.1, XP_013631455.1	evm.model.RL_7.784
OG0000693	XP_013625522.1, XP_013632236.1	evm.model.RL_3.868
OG0000693	XP_013636491.1, XP_013631684.1	evm.model.RL_6.2102
OG0000694	XP_013615644.1, XP_013632077.1	evm.model.RL_6.362
OG0000697	XP_013590343.1	evm.model.RL_5.1919
OG0000702	XP_013593194.1	evm.model.RL_7.2260, evm.model.RL_8.1025
OG0000703	XP_013609951.1	evm.model.RL_4.3162
OG0000703	XP_013631124.1, XP_013634397.1	evm.model.RL_6.1743
OG0000703	XP_013592119.1	evm.model.RL_7.1093
OG0000704	XP_013616180.1	evm.model.RL_4.342
OG0000706	XP_013620018.1	evm.model.RL_4.1213, evm.model.RL_4.1214
OG0000707	XP_013602867.1	evm.model.RL_7.1299
OG0000707	XP_013622104.1	evm.model.RL_1.868
OG0000707	XP_013591123.1	evm.model.RL_3.80
OG0000708	XP_013599747.1	evm.model.RL_5.1022
OG0000708	XP_013624982.1	evm.model.RL_5.1024
OG0000709	XP_013605065.1	evm.model.RL_7.1230
OG0000709	XP_013619506.1	evm.model.RL_4.1854
OG0000710	XP_013585020.1, XP_013638977.1, XP_013638976.1, XP_013601829.1, XP_013605604.1, XP_013600364.1, XP_013605605.1, XP_013602397.1	evm.model.RL_5.1220
OG0000711	XP_013632076.1	evm.model.RL_5.119
OG0000711	XP_013627279.1, XP_013627320.1	evm.model.RL_6.248
OG0000712	XP_013593080.1	evm.model.RL_2.2781
OG0000714	XP_013636837.1	evm.model.RL_2.390, evm.model.RL_2.404
OG0000714	XP_013590476.1, XP_013591438.1, XP_013591440.1, XP_013607997.1	evm.model.RL_3.1056
OG0000715	XP_013609782.1, XP_013635893.1, XP_013615836.1, XP_013625485.1	evm.model.RL_8.536
OG0000717	XP_013587658.1, XP_013615004.1, XP_013602501.1	evm.model.RL_5.3632
OG0000718	XP_013622716.1	evm.model.RL_4.3412
OG0000720	XP_013587865.1, XP_013605658.1	evm.model.RL_7.102
OG0000720	XP_013621785.1, XP_013620529.1	evm.model.RL_8.234
OG0000720	XP_013603730.1	evm.model.RL_5.127
OG0000721	XP_013583315.1	evm.model.RL_1.1604
OG0000722	XP_013592142.1	evm.model.RL_3.1366
OG0000722	XP_013602563.1, XP_013602104.1, XP_013583625.1	evm.model.RL_5.1274
OG0000723	XP_013609957.1, XP_013610780.1	evm.model.RL_4.1130
OG0000723	XP_013593251.1, XP_013594194.1, XP_013615540.1	evm.model.RL_4.1122, evm.model.RL_4.1074, evm.model.RL_4.361, evm.model.RL_4.1129
OG0000725	XP_013596211.1	evm.model.RL_2.1973
OG0000728	XP_013623824.1	evm.model.RL_4.1779
OG0000729	XP_013608472.1, XP_013629244.1	evm.model.RL_4.712, evm.model.RL_3.939, evm.model.RL_4.711
OG0000730	XP_013609762.1, XP_013606332.1, XP_013621174.1, XP_013597726.1	evm.model.RL_7.2541
OG0000730	XP_013587495.1, XP_013599676.1	evm.model.RL_5.1248, evm.model.RL_5.1247
OG0000732	XP_013595557.1, XP_013605290.1	evm.model.RL_2.2132
OG0000732	XP_013636564.1	evm.model.RL_7.1103.2.687c84b8
OG0000733	XP_013608030.1	evm.model.RL_5.2452
OG0000734	XP_013618399.1, XP_013608929.1, XP_013629993.1	evm.model.RL_8.2302
OG0000735	XP_013591241.1	evm.model.RL_8.1683
OG0000735	XP_013610500.1	evm.model.RL_8.1684
OG0000735	XP_013614459.1	evm.model.RL_4.70
OG0000736	XP_013612603.1, XP_013626076.1	evm.model.RL_4.2552
OG0000736	XP_013604018.1	evm.model.RL_6.130
OG0000736	XP_013595845.1	evm.model.RL_2.3349
OG0000737	XP_013592924.1	evm.model.RL_2.3388
OG0000738	XP_013635857.1, XP_013630851.1, XP_013632588.1, XP_013626771.1, XP_013636509.1	evm.model.RL_6.1369
OG0000739	XP_013605762.1, XP_013585667.1	evm.model.RL_2.503, evm.model.RL_3.955
OG0000741	XP_013628698.1	evm.model.RL_1.1256
OG0000741	XP_013630543.1, XP_013612105.1	evm.model.RL_8.1724
OG0000744	XP_013629472.1	evm.model.RL_4.1776
OG0000750	XP_013607659.1	evm.model.RL_2.1099, evm.model.RL_2.1098
OG0000751	XP_013614453.1, XP_013626071.1, XP_013611038.1, XP_013621109.1	evm.model.RL_8.2493, evm.model.RL_1.918
OG0000752	XP_013619186.1, XP_013595509.1	evm.model.RL_4.1230
OG0000752	XP_013622243.1	evm.model.RL_4.2510
OG0000753	XP_013588276.1	evm.model.RL_5.2359
OG0000754	XP_013602877.1	evm.model.RL_5.2373, evm.model.RL_5.2372
OG0000755	XP_013607083.1	evm.model.RL_8.421.1.687c8556
OG0000755	XP_013607314.1	evm.model.RL_8.420
OG0000756	XP_013596818.1	evm.model.RL_2.3091, evm.model.RL_2.3092
OG0000756	XP_013596859.1, XP_013597256.1, XP_013603899.1	evm.model.RL_4.370
OG0000757	XP_013636178.1	evm.model.RL_4.3296, evm.model.RL_4.3292
OG0000757	XP_013590653.1	evm.model.RL_7.1013
OG0000758	XP_013588377.1, XP_013615500.1	evm.model.RL_3.2393
OG0000758	XP_013631289.1	evm.model.RL_6.1303
OG0000758	XP_013585750.1	evm.model.RL_5.1446
OG0000759	XP_013622081.1	evm.model.RL_6.1095
OG0000759	XP_013603985.1, XP_013604492.1	evm.model.RL_5.565
OG0000760	XP_013634308.1	evm.model.RL_7.751
OG0000762	XP_013596635.1, XP_013596640.1	evm.model.RL_1.3166, evm.model.RL_1.3168, evm.model.RL_7.2018
OG0000762	XP_013608311.1	evm.model.RL_1.3165, evm.model.RL_5.2162
OG0000762	XP_013605042.1	evm.model.RL_1.3167, evm.model.RL_7.2016, evm.model.RL_7.2015, evm.model.RL_1.3163
OG0000763	XP_013590746.1, XP_013623343.1, XP_013626578.1, XP_013590475.1	evm.model.RL_5.3861
OG0000763	XP_013592673.1, XP_013591085.1	evm.model.RL_1.1345
OG0000764	XP_013624963.1, XP_013585333.1, XP_013592316.1	evm.model.RL_5.1955
OG0000766	XP_013611618.1	evm.model.RL_5.3809
OG0000766	XP_013589089.1	evm.model.RL_5.3892
OG0000767	XP_013616796.1	evm.model.RL_5.1741, evm.model.RL_5.1740
OG0000768	XP_013607637.1, XP_013624115.1, XP_013635372.1	evm.model.RL_1.223
OG0000772	XP_013593107.1, XP_013619036.1, XP_013606622.1	evm.model.RL_7.2185
OG0000773	XP_013602792.1	evm.model.RL_7.2149
OG0000774	XP_013597955.1, XP_013600296.1	evm.model.RL_2.2148
OG0000774	XP_013597075.1	evm.model.RL_5.2062
OG0000775	XP_013623093.1, XP_013608476.1	evm.model.RL_1.954
OG0000775	XP_013590798.1, XP_013591746.1, XP_013586773.1, XP_013622519.1	evm.model.RL_1.956, evm.model.RL_1.955
OG0000776	XP_013621879.1	evm.model.RL_6.2113
OG0000776	XP_013615221.1, XP_013621859.1, XP_013587701.1	evm.model.RL_1.1031, evm.model.RL_1.827, evm.model.RL_4.2968
OG0000777	XP_013595576.1, XP_013638838.1, XP_013602115.1	evm.model.RL_2.2228.3.687c86e5
OG0000777	XP_013588380.1, XP_013625497.1	evm.model.RL_5.3891
OG0000778	XP_013620205.1	evm.model.RL_4.2286
OG0000779	XP_013632393.1, XP_013593376.1	evm.model.RL_2.1735
OG0000779	XP_013609871.1	evm.model.RL_8.516
OG0000779	XP_013610247.1	evm.model.RL_8.518
OG0000780	XP_013606521.1	evm.model.RL_2.3359
OG0000780	XP_013636933.1, XP_013604011.1	evm.model.RL_6.126
OG0000780	XP_013616116.1	evm.model.RL_4.2560
OG0000781	XP_013623541.1, XP_013630369.1, XP_013632185.1	evm.model.RL_6.2507, evm.model.RL_6.2506
OG0000781	XP_013632296.1	evm.model.RL_6.2508
OG0000783	XP_013612977.1, XP_013613044.1, XP_013621229.1	evm.model.RL_4.1517
OG0000784	XP_013583952.1	evm.model.RL_7.1879
OG0000784	XP_013625593.1	evm.model.RL_4.1455
OG0000785	XP_013629202.1, XP_013598284.1	evm.model.RL_2.2843
OG0000785	XP_013611470.1	evm.model.RL_4.3067
OG0000786	XP_013589593.1	evm.model.RL_7.143
OG0000787	XP_013585861.1	evm.model.RL_1.1145
OG0000788	XP_013626598.1, XP_013603304.1	evm.model.RL_7.1842
OG0000788	XP_013619904.1, XP_013610718.1	evm.model.RL_8.2146
OG0000790	XP_013597346.1	evm.model.RL_5.3858
OG0000794	XP_013633241.1, XP_013633296.1, XP_013633291.1	evm.model.RL_6.924, evm.model.RL_6.923
OG0000795	XP_013616805.1	evm.model.RL_1.2723
OG0000796	XP_013603651.1	evm.model.RL_3.1296, evm.model.RL_2.1713
OG0000798	XP_013605253.1	evm.model.RL_2.1291
OG0000800	XP_013593693.1	evm.model.RL_7.2511
OG0000802	XP_013593304.1	evm.model.RL_4.207
OG0000802	XP_013586013.1	evm.model.RL_5.2945
OG0000802	XP_013607618.1	evm.model.RL_2.1394
OG0000803	XP_013597661.1, XP_013618516.1	evm.model.RL_2.1531.1.687c86e3
