Orthogroup	Brassica_oleracea	Odontarrhena_muralis
OG0004029	XP_013617033.1, XP_013630569.1	Om003G115240
OG0004030	XP_013631924.1, XP_013602790.1, XP_013630289.1	Om004G153400, Om018G374060
OG0004031	XP_013631767.1	Om008G338060
OG0004032	XP_013603030.1	Om004G156620
OG0004032	XP_013597984.1	Om001G041530
OG0004033	XP_013638591.1, XP_013600472.1	Om005G191550
OG0004034	XP_013607808.1	Om008G346800, Om003G095140, Om003G095160, Om003G095150, Om001G033170
OG0004035	XP_013585383.1, XP_013604455.1	Om005G185650, Om005G185490
OG0004036	XP_013619778.1, XP_013597665.1	Om003G116930
OG0004037	XP_013584553.1	Om005G179730
OG0004038	XP_013625651.1, XP_013606635.1, XP_013621202.1	Om007G298990
OG0004039	XP_013608673.1, XP_013620999.1, XP_013597243.1, XP_013626052.1	Om007G294420
OG0004040	XP_013616277.1, XP_013614412.1, XP_013593136.1	Om007G293540
OG0004041	XP_013606128.1, XP_013597157.1	Om006G236970
OG0004042	XP_013617873.1	Om001G009180, Om008G337020
OG0004043	XP_013618587.1, XP_013593847.1	Om003G091190, Om007G304020
OG0004044	XP_013620142.1, XP_013628598.1	Om004G171950
OG0004045	XP_013593824.1	Om006G239570
OG0004046	XP_013595358.1	Om006G238230
OG0004047	XP_013612594.1, XP_013606353.1, XP_013599098.1	Om006G238150
OG0004049	XP_013596282.1, XP_013610025.1, XP_013610760.1, XP_013619378.1	Om006G236550
OG0004050	XP_013616296.1, XP_013611642.1	Om006G244300
OG0004052	XP_013591533.1, XP_013590036.1	Om005G206550, Om005G206530
OG0004053	XP_013591792.1, XP_013620921.1, XP_013592086.1	Om004G133490
OG0004054	XP_013593370.1, XP_013585068.1, XP_013627538.1	Om002G056740, Om001G010740
OG0004055	XP_013638762.1, XP_013637068.1	Om002G058070
OG0004056	XP_013601609.1, XP_013595639.1	Om003G100870
OG0004057	XP_013637649.1	Om002G063660
OG0004058	XP_013627389.1, XP_013589550.1, XP_013584626.1	Om002G063670
OG0004059	XP_013629922.1, XP_013637789.1, XP_013592131.1	Om002G064730
OG0004060	XP_013613955.1	Om002G064900
OG0004061	XP_013591655.1	Om003G099240
OG0004062	XP_013608623.1, XP_013586655.1, XP_013630218.1	Om006G252810, Om002G065520
OG0004063	XP_013620114.1, XP_013624243.1	Om002G065750, Om005G219130
OG0004063	XP_013587425.1	Om005G219140
OG0004064	XP_013629487.1	Om002G068130, Om003G096650
OG0004065	XP_013608020.1, XP_013638727.1, XP_013622858.1	Om002G069040
OG0004066	XP_013585164.1, XP_013625286.1	Om002G070600, Om006G241460
OG0004067	XP_013599087.1	Om002G073830, Om002G059230
OG0004068	XP_013592961.1, XP_013609360.1	Om002G081650
OG0004069	XP_013597459.1, XP_013603197.1, XP_013590120.1	Om003G098410
OG0004070	XP_013631458.1, XP_013637845.1, XP_013623498.1	Om002G060140
OG0004071	XP_013599731.1, XP_013633658.1, XP_013589342.1	Om003G119870
OG0004072	XP_013635388.1, XP_013627257.1	Om003G120890
OG0004073	XP_013599763.1, XP_013632240.1, XP_013590602.1	Om003G123500
OG0004076	XP_013596459.1, XP_013618833.1	Om008G356520
OG0004079	YP_004927471.1	Om001G039010, Om001G038990
OG0004080	XP_013620119.1	Om004G167870, Om004G140490, Om002G074900, Om002G074830, Om002G074800, Om001G000820
OG0004081	XP_013592953.1	Om002G053500
OG0004082	XP_013607456.1	Om004G158950
OG0004084	XP_013610180.1, XP_013596872.1, XP_013596353.1	Om006G273030
OG0004091	XP_013586498.1, XP_013595159.1, XP_013631209.1	Om001G026230
OG0004092	XP_013598031.1, XP_013623298.1, XP_013598712.1	Om001G026340, Om001G026350
OG0004093	XP_013607016.1	Om001G026970
OG0004094	XP_013627221.1	Om001G031500
OG0004095	XP_013597063.1, XP_013627511.1, XP_013593795.1	Om003G117830, Om001G031690
OG0004096	XP_013625058.1, XP_013595908.1	Om001G032550
OG0004097	XP_013612439.1	Om011G365160, Om020G374450
OG0004098	XP_013602848.1, XP_013587345.1, XP_013601940.1	Om005G188590
OG0004099	XP_013618988.1, XP_013596323.1	Om006G275390
OG0004101	XP_013626225.1, XP_013612029.1	Om003G117490
OG0004102	XP_013592163.1	Om007G318500
OG0004103	XP_013587093.1, XP_013586402.1, XP_013628025.1	Om002G055450
OG0004105	XP_013622963.1, XP_013613033.1	Om003G115990
OG0004106	XP_013620737.1, XP_013612424.1, XP_013629162.1	Om003G116440
OG0004108	XP_013611730.1, XP_013620739.1, XP_013629814.1	Om003G118500
OG0004109	XP_013609113.1, XP_013620110.1	Om004G164070
OG0004110	XP_013609610.1, XP_013629548.1, XP_013613170.1, XP_013612860.1	Om004G166390
OG0004111	XP_013609899.1	Om004G167790
OG0004112	XP_013618468.1	Om004G168520
OG0004112	XP_013593124.1	Om006G236580
OG0004113	XP_013596822.1, XP_013616574.1, XP_013627457.1	Om001G002520
OG0004114	XP_013598894.1, XP_013629669.1, XP_013607810.1	Om001G002570
OG0004115	XP_013594940.1, XP_013628064.1, XP_013597006.1	Om001G002840
OG0004116	XP_013619811.1, XP_013586964.1	Om001G006380
OG0004117	XP_013588515.1, XP_013627029.1, XP_013596705.1, XP_013624854.1	Om001G006940
OG0004118	XP_013598194.1, XP_013632372.1	Om001G007820
OG0004120	XP_013639795.1, XP_013622556.1, XP_013598898.1	Om001G006790
OG0004121	XP_013590491.1	Om001G015500
OG0004122	XP_013586119.1, XP_013605015.1, XP_013606726.1	Om001G015840
OG0004123	XP_013627101.1, XP_013596756.1	Om007G289380
OG0004124	XP_013603555.1, XP_013600250.1	Om007G291540
OG0004125	XP_013626635.1, XP_013597637.1, XP_013639186.1	Om001G036610
OG0004126	XP_013633746.1, XP_013615046.1	Om008G336460
OG0004127	XP_013592943.1, XP_013629811.1	Om001G038370
OG0004129	XP_013586883.1	Om005G185450
OG0004130	XP_013613545.1	Om007G315740
OG0004131	XP_013602723.1	Om002G088620
OG0004132	XP_013634866.1	Om008G340920
OG0004133	XP_013609974.1, XP_013634652.1	Om008G341790
OG0004134	XP_013588229.1	Om007G286920
OG0004135	XP_013604591.1	Om008G350640
OG0004136	XP_013625689.1, XP_013618099.1, XP_013619201.1	Om008G352240
OG0004137	XP_013612520.1, XP_013593756.1, XP_013610850.1	Om008G362030
OG0004138	XP_013624955.1, XP_013592537.1, XP_013605143.1	Om003G102630
OG0004140	XP_013622297.1, XP_013632008.1, XP_013637154.1	Om008G319490
OG0004141	XP_013635752.1, XP_013628031.1, XP_013635701.1	Om008G320060
OG0004142	XP_013630933.1	Om008G323870
OG0004143	XP_013633831.1, XP_013628502.1, XP_013632051.1	Om008G324820
OG0004144	XP_013636617.1, XP_013623486.1	Om008G325970
OG0004145	XP_013634902.1, XP_013626465.1, XP_013634566.1	Om008G326060
OG0004146	XP_013604799.1	Om003G122320
OG0004147	XP_013616121.1, XP_013622649.1	Om006G242830
OG0004148	XP_013615684.1, XP_013615282.1, XP_013621776.1, XP_013606265.1	Om006G243400
OG0004149	XP_013618910.1	Om006G244560
OG0004151	XP_013620709.1, XP_013612009.1, XP_013630363.1	Om006G247070
OG0004152	XP_013618930.1, XP_013626138.1	Om004G145680, Om006G233310
OG0004153	XP_013620694.1	Om004G157370
OG0004154	XP_013606024.1, XP_013629067.1	Om004G158400, Om004G158390
OG0004155	XP_013610976.1, XP_013619716.1, XP_013627610.1	Om004G158450, Om004G158460
OG0004156	XP_013625872.1, XP_013619176.1, XP_013610309.1	Om004G159770
OG0004158	XP_013614300.1	Om007G277740
OG0004159	XP_013600201.1, XP_013583662.1, XP_013602172.1	Om005G181290
OG0004160	XP_013634919.1, XP_013627364.1, XP_013635004.1	Om007G279870
OG0004161	XP_013636300.1, XP_013636299.1, XP_013628308.1	Om005G222790, Om007G279980, Om007G279990
OG0004162	XP_013630098.1	Om007G281490
OG0004163	XP_013627280.1, XP_013634615.1, XP_013635260.1	Om007G281630
OG0004164	XP_013631143.1	Om007G281760
OG0004166	XP_013636842.1	Om004G149480
OG0004167	XP_013618284.1, XP_013600668.1, XP_013598498.1	Om001G020040
OG0004169	XP_013627340.1, XP_013583686.1, XP_013618934.1	Om002G044540
OG0004170	XP_013621806.1, XP_013585842.1, XP_013629573.1	Om002G045640
OG0004171	XP_013598296.1	Om007G303360
OG0004172	XP_013584173.1, XP_013629911.1, XP_013586447.1	Om002G046990
OG0004174	XP_013594485.1, XP_013628394.1, XP_013586889.1	Om002G050310
OG0004175	XP_013625780.1, XP_013634442.1, XP_013632162.1	Om008G329630
OG0004176	XP_013635930.1, XP_013626547.1, XP_013635925.1	Om008G335010
OG0004177	XP_013633912.1, XP_013621882.1	Om008G334290
OG0004178	XP_013604405.1, XP_013604601.1	Om005G197120
OG0004179	XP_013603569.1, XP_013638886.1	Om005G200850
OG0004180	XP_013597351.1, XP_013584395.1	Om005G202170
OG0004181	XP_013587712.1	Om005G202830
OG0004182	XP_013620326.1, XP_013592871.1	Om004G143170
OG0004183	XP_013602943.1, XP_013597815.1, XP_013606171.1	Om004G148420
OG0004184	XP_013604671.1, XP_013597152.1, XP_013599503.1	Om007G285600
OG0004185	XP_013593838.1, XP_013600407.1, XP_013605916.1	Om007G285740
OG0004186	XP_013626735.1, XP_013608972.1	Om007G290980
OG0004187	XP_013596737.1, XP_013590543.1, XP_013605447.1	Om007G286020
OG0004188	XP_013618841.1	Om005G186330
OG0004189	XP_013601063.1	Om005G192480
OG0004190	XP_013602816.1, XP_013602269.1, XP_013583723.1	Om005G192010, Om005G192000, Om005G192020
OG0004191	XP_013601017.1, XP_013586805.1	Om005G186280
OG0004192	XP_013604417.1, XP_013605002.1	Om005G180040
OG0004193	XP_013619485.1, XP_013610478.1	Om007G298870
OG0004194	XP_013610844.1, XP_013628190.1	Om007G298560
OG0004195	XP_013612089.1, XP_013621793.1	Om007G297270
OG0004196	XP_013598189.1, XP_013618676.1	Om001G019690, Om007G294000
OG0004197	XP_013609484.1, XP_013618813.1, XP_013626872.1	Om004G169580
OG0004198	XP_013597925.1, XP_013597922.1, XP_013614298.1	Om006G240630
OG0004199	XP_013600187.1	Om004G162820
OG0004200	XP_013598155.1	Om006G238880
OG0004201	XP_013610924.1	Om004G167660, Om006G237890
OG0004202	XP_013612395.1, XP_013595284.1	Om006G237190
OG0004203	XP_013622001.1, XP_013618121.1	Om006G235460, Om004G151720
OG0004204	XP_013630135.1	Om006G235200
OG0004205	XP_013628803.1, XP_013628807.1, XP_013606418.1	Om006G247600
OG0004206	XP_013603263.1	Om006G260230
OG0004207	XP_013627823.1	Om006G268050
OG0004208	XP_013590588.1	Om004G140530, Om004G140510, Om006G239730
OG0004209	XP_013592444.1, XP_013619969.1, XP_013591283.1	Om005G206310
OG0004210	XP_013595963.1, XP_013614794.1, XP_013592022.1, XP_013587921.1	Om005G206060
OG0004211	XP_013589949.1	Om004G143160
OG0004212	XP_013591579.1, XP_013620924.1, XP_013591752.1	Om004G134270
OG0004213	XP_013620549.1, XP_013591195.1, XP_013588111.1	Om004G139780
OG0004214	XP_013619481.1, XP_013615925.1, XP_013588076.1	Om004G141700
OG0004215	XP_013590840.1, XP_013590351.1	Om004G133330, Om001G023500
OG0004216	XP_013590930.1, XP_013590742.1, XP_013619321.1	Om004G130940
OG0004217	XP_013584804.1, XP_013584194.1, XP_013628743.1, XP_013605540.1	Om002G056500
OG0004218	XP_013627392.1, XP_013638698.1	Om002G060560
OG0004219	XP_013584331.1, XP_013623458.1, XP_013584129.1	Om002G061030
OG0004220	XP_013636756.1, XP_013628987.1, XP_013586167.1	Om002G061720
OG0004221	XP_013624451.1	Om001G004630
OG0004222	XP_013622895.1	Om002G065110, Om006G253210
OG0004223	XP_013615388.1, XP_013622795.1, XP_013622983.1	Om002G066190
OG0004224	XP_013623011.1, XP_013608466.1, XP_013586368.1	Om002G066640
OG0004225	XP_013638501.1, XP_013622734.1, XP_013618462.1	Om002G066950
OG0004226	XP_013607928.1, XP_013638597.1, XP_013621944.1	Om002G069180
OG0004227	XP_013625718.1, XP_013638842.1	Om002G069820
OG0004228	XP_013626692.1, XP_013585029.1, XP_013589017.1	Om002G069830
OG0004229	XP_013615501.1	Om002G070510
OG0004230	XP_013607554.1, XP_013628371.1, XP_013585470.1	Om002G070640
OG0004231	XP_013625836.1, XP_013635805.1, XP_013583681.1	Om002G071230
OG0004232	XP_013631692.1, XP_013636890.1	Om002G072570, Om002G072560
OG0004233	XP_013596387.1, XP_013626743.1, XP_013587170.1	Om002G072860
OG0004234	XP_013597192.1, XP_013610365.1, XP_013627198.1	Om002G084810
OG0004235	XP_013629796.1, XP_013615462.1	Om002G086680
OG0004236	XP_013599064.1	Om001G023600
OG0004237	XP_013588228.1, XP_013600047.1	Om008G349870
OG0004238	XP_013588686.1, XP_013632114.1, XP_013590081.1, XP_013622294.1	Om003G089760
OG0004239	XP_013629241.1	Om003G089930
OG0004240	XP_013588058.1, XP_013591757.1, XP_013623149.1	Om003G091580
OG0004241	XP_013636281.1, XP_013621909.1, XP_013592735.1, XP_013591740.1	Om003G092180
OG0004242	XP_013592409.1, XP_013592129.1, XP_013613489.1	Om003G092880
OG0004243	XP_013629699.1, XP_013592097.1	Om003G093340
OG0004244	XP_013591056.1, XP_013584840.1, XP_013627057.1	Om003G095970
OG0004245	XP_013615701.1, XP_013588311.1	Om003G099280
OG0004246	XP_013590562.1, XP_013598914.1	Om003G099770
OG0004248	XP_013623370.1	Om002G049320
OG0004249	XP_013610900.1, XP_013597499.1	Om004G163150
OG0004251	XP_013634041.1, XP_013602949.1, XP_013590585.1	Om003G120500
OG0004252	XP_013633448.1	Om008G326980
OG0004253	XP_013636937.1	Om003G125790
OG0004254	XP_013605040.1	Om003G126840
OG0004255	XP_013636366.1, XP_013604904.1	Om003G127930
OG0004257	XP_013623991.1	Om008G326190
OG0004258	XP_013615407.1, XP_013627140.1, XP_013630803.1, XP_013609127.1	Om006G252860, Om006G255020, Om001G026720
OG0004259	XP_013585374.1	Om008G324320
OG0004260	XP_013628089.1	Om004G157630
OG0004262	XP_013610417.1	Om005G226550, Om005G226610
OG0004265	XP_013614712.1	Om003G115540, Om007G288150
OG0004275	XP_013602636.1, XP_013583332.1, XP_013595540.1	Om001G023720
OG0004276	XP_013637220.1	Om002G086110
OG0004277	XP_013606073.1, XP_013598520.1	Om001G025740
OG0004278	XP_013623127.1, XP_013637601.1	Om001G027430
OG0004279	XP_013627406.1, XP_013596764.1, XP_013591387.1	Om001G027750
OG0004280	XP_013601429.1, XP_013598439.1, XP_013628882.1	Om001G030530
OG0004281	XP_013584346.1, XP_013596513.1, XP_013626599.1	Om001G031850
OG0004282	XP_013599663.1, XP_013622408.1, XP_013593652.1	Om001G032950
OG0004283	XP_013627252.1, XP_013624884.1, XP_013596449.1, XP_013620327.1	Om001G033990
OG0004284	XP_013586699.1	Om007G292020
OG0004285	XP_013600050.1, XP_013585474.1, XP_013637970.1	Om007G277060
OG0004286	XP_013613581.1	Om003G090610, Om005G217140
OG0004287	XP_013596551.1, XP_013621400.1, XP_013607853.1	Om002G066020, Om001G007780
OG0004288	XP_013596000.1, XP_013607104.1	Om006G274500
OG0004289	XP_013616617.1, XP_013593948.1, XP_013610410.1	Om006G273420
OG0004290	XP_013612900.1	Om006G271460
OG0004291	XP_013593561.1, XP_013607952.1, XP_013626379.1	Om007G293290, Om002G072900
OG0004293	XP_013621300.1, XP_013590407.1	Om003G107010
OG0004294	XP_013636603.1, XP_013637533.1	Om008G326470
OG0004295	XP_013626285.1, XP_013634819.1, XP_013637035.1	Om008G328500
OG0004296	XP_013583545.1, XP_013603799.1, XP_013629974.1	Om002G052880
OG0004297	XP_013628413.1, XP_013624032.1, XP_013586958.1	Om002G054570
OG0004298	XP_013587092.1, XP_013622662.1, XP_013586295.1	Om002G055440
OG0004299	XP_013616171.1, XP_013622192.1, XP_013606608.1	Om003G111630
OG0004300	XP_013615015.1, XP_013613914.1	Om003G112270
OG0004301	XP_013628653.1	Om001G004310
OG0004302	XP_013618507.1, XP_013622693.1, XP_013611555.1	Om003G112790
OG0004303	XP_013606340.1	Om003G118220
OG0004304	XP_013620059.1, XP_013629231.1, XP_013611386.1	Om006G248240
OG0004305	XP_013598679.1, XP_013606491.1	Om006G240840
OG0004306	XP_013606814.1, XP_013630111.1, XP_013621111.1	Om004G161380
OG0004307	XP_013613141.1, XP_013630678.1	Om004G163090
OG0004308	XP_013621427.1, XP_013612663.1	Om004G164800
OG0004309	XP_013606878.1, XP_013620089.1	Om004G167500
OG0004310	XP_013625394.1, XP_013615533.1, XP_013612993.1	Om004G167890
OG0004311	XP_013597773.1	Om008G360040, Om003G110710
OG0004312	XP_013595885.1, XP_013637613.1, XP_013627483.1	Om001G001990
OG0004313	XP_013597347.1, XP_013627642.1, XP_013615236.1, XP_013596742.1	Om009G363820
OG0004314	XP_013597839.1, XP_013595793.1, XP_013627759.1	Om001G005420
OG0004315	XP_013600903.1, XP_013596196.1, XP_013622373.1	Om001G006050
OG0004316	XP_013596661.1	Om001G006550
OG0004317	XP_013586643.1, XP_013598899.1, XP_013622558.1	Om005G210010, Om001G006780
OG0004318	XP_013629300.1, XP_013593454.1	Om001G009390, Om001G009380
OG0004319	XP_013595645.1, XP_013584414.1, XP_013624844.1	Om001G009610, Om001G009580, Om001G009620, Om001G009590
OG0004321	XP_013617469.1, XP_013625331.1, XP_013595236.1	Om001G011480
OG0004322	XP_013614822.1, XP_013628246.1	Om008G349910
OG0004323	XP_013590356.1, XP_013629522.1	Om001G013840
OG0004324	XP_013586211.1, XP_013632173.1, XP_013623268.1	Om002G071000
OG0004326	XP_013626887.1, XP_013584916.1, XP_013596564.1, XP_013615852.1, XP_013596548.1	Om007G290080
OG0004327	XP_013587022.1, XP_013628627.1, XP_013598270.1	Om007G291020
OG0004328	XP_013586165.1, XP_013592991.1, XP_013599893.1	Om007G291240
OG0004329	XP_013603619.1	Om004G156580
OG0004330	XP_013602796.1	Om001G035240
OG0004331	XP_013639236.1, XP_013626004.1, XP_013596139.1	Om001G036900
OG0004332	XP_013617177.1, XP_013595741.1, XP_013634524.1, XP_013625680.1	Om001G037040
OG0004333	XP_013612051.1, XP_013620654.1	Om008G348280, Om008G346930
OG0004336	XP_013625387.1	Om002G078840
OG0004337	XP_013597610.1	Om002G075930
OG0004338	XP_013631833.1, XP_013627005.1	Om003G105140
OG0004339	XP_013602301.1, XP_013637417.1	Om003G102720
OG0004340	XP_013602484.1, XP_013618474.1	Om003G102510
OG0004341	XP_013587870.1, XP_013600708.1	Om003G102320
OG0004342	XP_013625030.1	Om003G089540
OG0004343	XP_013634903.1, XP_013590714.1, XP_013602303.1	Om003G128680
OG0004344	XP_013627247.1, XP_013634708.1, XP_013634764.1	Om008G320050
OG0004345	XP_013621759.1, XP_013632135.1, XP_013636858.1	Om008G320990
OG0004346	XP_013631737.1	Om008G321220
OG0004346	XP_013627519.1	Om008G321210
OG0004347	XP_013633862.1, XP_013591778.1	Om008G323710
OG0004348	XP_013635790.1, XP_013632282.1, XP_013626713.1	Om008G325620
OG0004349	XP_013591821.1	Om003G121540
OG0004350	XP_013628815.1, XP_013611556.1, XP_013620589.1	Om006G241430
OG0004351	XP_013634399.1	Om008G330710
OG0004352	XP_013631292.1, XP_013631293.1, XP_013634741.1, XP_013626623.1	Om008G330730
OG0004353	XP_013618994.1, XP_013627314.1, XP_013610715.1	Om006G243770
OG0004354	XP_013623379.1, XP_013615985.1, XP_013607018.1	Om006G246550
OG0004355	XP_013619656.1, XP_013625997.1	Om006G233870
OG0004356	XP_013618319.1, XP_013611316.1, XP_013629957.1	Om006G233510
OG0004357	XP_013630182.1	Om006G231750
OG0004358	XP_013596559.1, XP_013610045.1, XP_013619019.1	Om006G230320
OG0004359	XP_013599239.1, XP_013612894.1, XP_013616311.1	Om006G230200
OG0004361	XP_013621813.1, XP_013612642.1, XP_013595804.1	Om004G157740
OG0004362	XP_013600487.1, XP_013637762.1	Om005G180390
OG0004363	XP_013630855.1, XP_013630601.1, XP_013631269.1	Om007G278270
OG0004364	XP_013629862.1, XP_013637064.1, XP_013631191.1	Om007G278320
OG0004365	XP_013605057.1, XP_013638922.1, XP_013600756.1	Om005G183400
OG0004366	XP_013633966.1, XP_013625135.1, XP_013634535.1	Om007G280720
OG0004367	XP_013635762.1	Om007G280910
OG0004368	XP_013633557.1, XP_013630357.1, XP_013636698.1	Om007G281560
OG0004369	XP_013622731.1	Om007G281680
OG0004370	XP_013626729.1, XP_013633319.1, XP_013632665.1	Om007G281730
OG0004371	XP_013630856.1, XP_013631045.1, XP_013622809.1	Om007G282100
OG0004372	XP_013638948.1, XP_013586677.1	Om002G042760
OG0004373	XP_013622494.1	Om002G044100
OG0004374	XP_013622414.1, XP_013614825.1, XP_013626732.1	Om002G047280
OG0004375	XP_013606725.1, XP_013616688.1	Om007G293680, Om002G047430
OG0004376	XP_013625478.1, XP_013638598.1, XP_013630781.1	Om002G047690
OG0004377	XP_013635140.1, XP_013585406.1	Om002G048350, Om002G048340
OG0004378	XP_013627088.1, XP_013588252.1, XP_013585010.1	Om002G048590
OG0004379	XP_013623284.1, XP_013638316.1	Om002G049000
OG0004380	XP_013630562.1, XP_013638183.1, XP_013620541.1	Om002G050000
OG0004381	XP_013631649.1, XP_013631837.1, XP_013625114.1	Om008G337750
OG0004382	XP_013632300.1, XP_013625543.1	Om008G337570
OG0004383	XP_013630969.1, XP_013615539.1, XP_013632512.1	Om008G336400, Om008G336380
OG0004384	XP_013633596.1	Om008G335710
OG0004385	XP_013603184.1, XP_013586551.1, XP_013605598.1	Om005G196970
OG0004386	XP_013605567.1, XP_013599580.1, XP_013587549.1	Om005G199140
OG0004387	XP_013591691.1, XP_013605286.1	Om004G141120
OG0004389	XP_013602606.1, XP_013601795.1, XP_013602776.1, XP_013584516.1	Om005G200530
OG0004390	XP_013614615.1, XP_013587395.1	Om005G203750
OG0004391	XP_013590555.1, XP_013592229.1, XP_013620329.1	Om004G143200
OG0004393	XP_013596407.1, XP_013627343.1, XP_013584457.1	Om004G146090
OG0004394	XP_013596517.1, XP_013625664.1	Om004G147490
OG0004395	XP_013599336.1, XP_013610553.1	Om007G285750
OG0004396	XP_013631150.1	Om002G063050
OG0004397	XP_013615329.1, XP_013638703.1, XP_013603038.1	Om005G193110
OG0004398	XP_013587308.1, XP_013605526.1, XP_013605478.1	Om005G192370
OG0004399	XP_013604070.1, XP_013601061.1, XP_013586082.1	Om005G192230
OG0004400	XP_013604774.1, XP_013602441.1	Om005G191110
OG0004401	XP_013602467.1, XP_013583829.1	Om005G189870
OG0004402	XP_013603270.1, XP_013584792.1	Om005G189270
OG0004403	XP_013601939.1, XP_013604837.1, XP_013587343.1	Om005G188560
OG0004404	XP_013639140.1	Om005G187050
OG0004405	XP_013600001.1	Om005G185940, Om005G185950
OG0004406	XP_013601016.1, XP_013585864.1, XP_013599573.1	Om005G185780
OG0004407	XP_013628550.1, XP_013614398.1, XP_013618924.1	Om007G300160
OG0004408	XP_013629504.1, XP_013621079.1, XP_013612039.1	Om007G298630, Om006G264630, Om006G264640
OG0004409	XP_013622729.1, XP_013611199.1, XP_013620314.1	Om007G297670
OG0004410	XP_013616849.1, XP_013627839.1, XP_013610637.1	Om007G295680
OG0004411	XP_013622933.1, XP_013613685.1, XP_013611639.1	Om007G295430
OG0004412	XP_013609802.1, XP_013619430.1, XP_013596421.1	Om007G294380
OG0004413	XP_013618231.1, XP_013611184.1, XP_013593714.1	Om007G293780
OG0004414	XP_013619729.1, XP_013596653.1, XP_013610698.1	Om007G307890
OG0004415	XP_013614275.1, XP_013623760.1	Om004G170620
OG0004416	XP_013598944.1, XP_013607137.1, XP_013621016.1	Om006G240410
OG0004418	XP_013609680.1, XP_013596040.1	Om004G164600
OG0004419	XP_013595210.1	Om006G237610
OG0004419	XP_013610969.1	Om004G167820
OG0004420	XP_013616705.1, XP_013595539.1, XP_013613339.1	Om006G236770
OG0004421	XP_013629286.1, XP_013600131.1	Om006G260130
OG0004422	XP_013618127.1	Om005G211000
OG0004423	XP_013590366.1, XP_013590933.1	Om008G362530, Om005G209050
OG0004424	XP_013588826.1, XP_013616380.1, XP_013589763.1	Om005G208040
OG0004425	XP_013621428.1, XP_013588173.1	Om005G207270
OG0004426	XP_013619652.1, XP_013591068.1, XP_013590754.1	Om005G205790
OG0004427	XP_013589975.1	Om004G143090, Om004G143110
OG0004428	XP_013590576.1, XP_013590479.1, XP_013618677.1	Om004G138250
OG0004429	XP_013618982.1, XP_013591989.1	Om004G139290
OG0004430	XP_013590607.1	Om004G139330
OG0004431	XP_013589837.1, XP_013589928.1, XP_013620965.1	Om004G142070
OG0004432	XP_013618647.1, XP_013591601.1, XP_013589962.1	Om004G132980
OG0004433	XP_013590359.1	Om004G132370
OG0004434	XP_013591157.1, XP_013618390.1, XP_013591307.1, XP_013639079.1	Om004G131970
OG0004435	XP_013592210.1, XP_013617381.1, XP_013590910.1	Om004G131500
OG0004436	XP_013583717.1, XP_013611170.1, XP_013622272.1	Om002G056790
OG0004437	XP_013610656.1, XP_013586289.1, XP_013625642.1	Om002G058780
OG0004438	XP_013610596.1, XP_013584108.1, XP_013625312.1	Om002G058940
OG0004440	XP_013589248.1, XP_013626711.1, XP_013585238.1	Om002G060360
OG0004441	XP_013586919.1, XP_013610133.1	Om002G060660
OG0004442	XP_013583338.1	Om002G060870
OG0004443	XP_013584938.1, XP_013592652.1, XP_013630805.1, XP_013626194.1	Om002G062080
OG0004445	XP_013586989.1	Om002G067250
OG0004446	XP_013622678.1, XP_013608295.1, XP_013586857.1	Om002G067670
OG0004447	XP_013626210.1, XP_013584365.1, XP_013585460.1	Om002G068890
OG0004448	XP_013629435.1, XP_013587297.1	Om002G068910
OG0004449	XP_013586136.1, XP_013626301.1, XP_013584782.1	Om008G321370
OG0004450	XP_013622423.1, XP_013583631.1, XP_013607626.1	Om002G070020
OG0004453	XP_013611338.1, XP_013595348.1	Om002G085860
OG0004454	XP_013623036.1, XP_013593333.1, XP_013612816.1	Om002G085110
OG0004455	XP_013627309.1	Om002G086590
OG0004456	XP_013608864.1, XP_013593601.1	Om007G314570, Om005G215320, Om002G088290
OG0004457	XP_013592374.1, XP_013588314.1	Om003G094570
OG0004458	XP_013589859.1, XP_013623419.1, XP_013589855.1	Om003G095810
OG0004459	XP_013588724.1	Om003G103930, Om003G096910, Om003G096900, Om003G096940
OG0004460	XP_013638843.1, XP_013588376.1, XP_013613773.1	Om003G099330
OG0004461	XP_013628555.1, XP_013635844.1	Om007G290340
OG0004462	XP_013596160.1, XP_013615677.1, XP_013593957.1, XP_013631217.1	Om006G256660
OG0004463	XP_013634147.1, XP_013588490.1, XP_013602594.1	Om006G253720
OG0004464	XP_013589883.1, XP_013602014.1	Om006G252330, Om006G252340
OG0004465	XP_013600081.1, XP_013633561.1	Om006G250730
OG0004466	XP_013590444.1, XP_013599506.1, XP_013634272.1	Om003G119660
OG0004467	XP_013623888.1, XP_013617047.1	Om004G133600
OG0004468	XP_013614177.1, XP_013602655.1, XP_013590912.1	Om003G121460
OG0004469	XP_013605680.1, XP_013591871.1	Om003G121560
OG0004470	XP_013605245.1, XP_013637059.1, XP_013598736.1, XP_013592164.1	Om003G122350
OG0004472	XP_013604593.1, XP_013632915.1, XP_013631344.1	Om003G126550
OG0004473	XP_013601742.1	Om003G127960
OG0004473	XP_013591174.1	Om003G127950
OG0004474	XP_013600491.1, XP_013590375.1, XP_013633975.1	Om003G128790
OG0004475	XP_013614206.1, XP_013613707.1	Om003G098530, Om003G098560
OG0004477	XP_013614713.1	Om003G124210, Om003G124200
OG0004477	XP_013613355.1	Om001G005280
OG0004478	XP_013630867.1, XP_013630866.1, XP_013589971.1	Om003G125100
OG0004480	XP_013632025.1	Om008G329270
