"Cardamine_amara"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"evm.model.RL_1.440"	"AT3G05180.1"	"AT3G05180.1"	"AT3G05180.1"	"N0.HOG0015196"	"AT3G05180.1"	"OG0009037"	"AT3G05180.1"	"AT3G05180.1"	380	379	96	96	365	84.932	647	"AT3G05180.1"	84.932	365	55	0	15	379	15	379	0	647	96	380	379
"evm.model.RL_1.441"	"AT3G05190.1"	"AT3G05190.1"	"AT3G05190.1"	"N0.HOG0008523"	"AT3G05190.1"	"OG0003417"	"AT3G05190.1"	"AT3G05190.1"	559	555	99	100	555	95.495	1101	"AT3G05190.1"	95.495	555	25	0	4	558	1	555	0	1101	99	559	555
"evm.model.RL_1.442"	"AT3G05200.1"	"AT3G05200.1"	"AT3G05200.1"	"N0.HOG0014044"	"AT3G05200.1"	"OG0007934"	"AT3G05200.1"	"AT3G05200.1"	399	398	99	98	396	88.636	689	"AT3G05200.1"	88.636	396	39	3	1	394	1	392	0	709	99	399	398
"evm.model.RL_1.443"	"AT3G05210.1"	"AT3G05210.1"	"AT3G05210.1"	"N0.HOG0020275"	"AT3G05210.1"	"OG0013758"	"AT3G05210.1"	"AT3G05210.1"	410	410	99	100	412	89.32	688	"AT3G05210.1"	89.32	412	39	4	1	409	1	410	0	688	99	410	410
"evm.model.RL_1.444"	"AT3G05220.1"	"AT3G05220.1"	"AT3G05220.1"	"N0.HOG0009938"	"AT3G05220.1"	"OG0004374"	"AT3G05220.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05220.1"	82.353	85	15	0	3	87	102	186	1.53e-10	62.8	20	429	577
"evm.model.RL_1.445"	"AT3G05230.1"	"AT3G05230.1"	"AT3G05230.1"	"N0.HOG0004372"	"AT3G05230.1"	"OG0001191"	"AT3G05230.1, AT5G27430.1"	"AT3G05230.1"	168	167	99	100	167	94.012	334	"AT3G05230.1"	94.012	167	10	0	1	167	1	167	1.19e-119	334	99	168	167
"evm.model.RL_1.446"	"AT3G05240.1"	"AT3G05240.1"	"AT3G05240.1"	"N0.HOG0023733"	"AT3G05240.1"	"OG0017118"	"AT3G05240.1"	"AT3G05240.1"	565	565	99	99	564	88.83	1056	"AT3G05240.1"	88.83	564	63	0	1	564	2	565	0	1056	99	565	565
"evm.model.RL_1.447"	"AT3G05250.1"	"AT3G05250.1"	"AT3G05250.1"	"N0.HOG0020277"	"AT3G05250.1"	"OG0013760"	"AT3G05250.1"	"AT3G05250.1"	274	278	99	100	281	78.648	439	"AT3G05250.1"	79.359	281	47	3	1	273	1	278	1.26e-157	439	99	274	278
"evm.model.RL_1.448"	"AT3G05260.1"	"AT3G05260.1"	"AT3G05260.1"	"N0.HOG0006650"	"AT3G05260.1"	"OG0002355"	"AT1G54870.2, AT3G05260.1"	"AT3G05260.1"	290	289	99	100	289	94.118	570	"AT3G05260.1"	94.118	289	17	0	1	289	1	289	0	570	99	290	289
"evm.model.RL_1.449.1.687c87ea"	"AT3G05270.1"	"AT3G05270.1"	"AT3G05270.1"	"N0.HOG0022154"	"AT3G05270.1"	"OG0015584"	"AT3G05270.1"	"AT3G05270.1"	629	615	99	100	628	87.102	1028	"AT3G05270.1"	87.102	628	68	4	1	628	1	615	0	1028	99	629	615
"evm.model.RL_1.45"	"AT3G01710.3"	"AT3G01710.3"	"AT3G01710.3"	"N0.HOG0017443"	"AT3G01710.3"	"OG0011108"	"AT3G01710.3"	"AT3G01710.3"	394	410	99	94	397	83.375	577	"AT3G01710.3"	83.375	397	51	8	1	392	1	387	0	577	99	394	410
"evm.model.RL_1.450"	"AT3G05280.1"	"AT3G05280.1"	"AT3G05280.1"	"N0.HOG0008525"	"AT3G05280.1, AT5G27490.1"	"OG0003418"	"AT3G05280.1, AT5G27490.1"	"AT3G05280.1"	327	281	86	100	281	97.509	566	"AT3G05280.1"	97.509	281	7	0	46	326	1	281	0	566	86	327	281
"evm.model.RL_1.451"	"AT3G05290.1"	"AT3G05290.1"	"AT3G05290.1"	"N0.HOG0007825"	"AT3G05290.1"	"OG0002980"	"AT3G05290.1, AT5G27520.1"	"AT3G05290.1"	321	322	99	100	322	94.41	625	"AT3G05290.1"	94.41	322	16	1	1	320	1	322	0	625	99	321	322
"evm.model.RL_1.452"	"AT3G05300.1"	"AT3G05300.1"	"AT3G05300.1"	"N0.HOG0008199"	"AT5G28050.3, AT3G05300.1"	"OG0003203"	"AT3G05300.1, AT5G28050.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G28050.3"	79.888	179	33	1	34	209	111	289	6.87e-102	296	84	210	290
"evm.model.RL_1.453"	"AT3G05310.1"	"AT3G05310.1"	"AT3G05310.1"	"N0.HOG0004325"	"AT3G05310.1"	"OG0001170"	"AT3G05310.1, AT5G27540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05310.1"	64.915	647	215	6	4	639	3	648	0	852	99	640	648
"evm.model.RL_1.454"	"AT3G05320.1"	"AT3G05320.1"	"AT3G05320.1"	"N0.HOG0012068"	"AT3G05320.1"	"OG0006167"	"AT3G05320.1"	"AT3G05320.1"	436	445	99	99	441	90.703	820	"AT3G05320.1"	90.703	441	32	2	3	435	6	445	0	820	99	436	445
"evm.model.RL_1.455"	"AT3G05327.1"	"AT3G05327.1"	"AT3G05327.1"	"N0.HOG0014045"	"AT3G05327.1"	"OG0007935"	"AT3G05327.1"	"AT3G05327.1"	213	212	99	100	212	88.208	393	"AT3G05327.1"	88.208	212	25	0	1	212	1	212	1.21e-141	393	99	213	212
"evm.model.RL_1.456"	"AT3G05330.1"	"AT3G05330.1"	"AT3G05330.1"	"N0.HOG0012994"	"AT3G05330.1"	"OG0006974"	"AT3G05330.1"	"AT3G05330.1"	484	444	93	99	454	83.921	738	"AT3G05330.1"	83.921	454	58	5	1	450	1	443	0	738	93	484	444
"evm.model.RL_1.457"	"AT3G05345.1"	"AT3G05345.1"	"AT3G05345.1"	"N0.HOG0024626"	"AT3G05345.1"	"OG0017977"	"AT3G05345.1"	"AT3G05345.1"	245	244	99	100	244	92.213	468	"AT3G05345.1"	92.213	244	19	0	1	244	1	244	3.57e-170	468	99	245	244
"evm.model.RL_1.458"	"AT3G05340.1"	"AT3G05340.1"	"AT3G05340.1"	"N0.HOG0024625"	"AT3G05340.1"	"OG0017976"	"AT3G05340.1"	"AT3G05340.1"	616	658	99	93	610	90.492	1156	"AT3G05340.1"	90.492	610	58	0	1	610	47	656	0	1156	99	616	658
"evm.model.RL_1.459"	"AT3G05350.1"	"AT3G05350.1"	"AT3G05350.1"	"N0.HOG0020276"	"AT3G05350.1"	"OG0013759"	"AT3G05350.1"	"AT3G05350.1"	709	710	99	100	710	92.394	1354	"AT3G05350.1"	92.394	710	52	1	1	708	1	710	0	1354	99	709	710
"evm.model.RL_1.46"	"AT3G01700.1"	"AT3G01700.1"	NA	"N0.HOG0005815"	"AT3G01700.1"	"OG0001919"	"AT3G01700.1, AT5G14380.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G14380.1"	56.954	151	43	5	1	130	1	150	2.14e-33	114	99	131	150
"evm.model.RL_1.460"	"AT3G05380.2"	"AT3G05380.2"	"AT3G05380.2"	"N0.HOG0012207"	"AT3G05380.2"	"OG0006291"	"AT3G05380.2"	"AT3G05380.2"	1040	1052	99	100	1056	85.038	1793	"AT3G05380.2"	85.038	1056	137	7	1	1039	1	1052	0	1793	99	1040	1052
"evm.model.RL_1.461"	"AT3G05390.1"	"AT3G05390.1"	"AT3G05390.1"	"N0.HOG0018623"	"AT3G05390.1"	"OG0012189"	"AT3G05390.1"	"AT3G05390.1"	464	463	99	100	463	93.521	912	"AT3G05390.1"	93.521	463	30	0	1	463	1	463	0	912	99	464	463
"evm.model.RL_1.462"	"AT3G05400.1"	"AT3G05400.1"	"AT3G05400.1"	"N0.HOG0021103"	"AT3G05400.1"	"OG0014556"	"AT3G05400.1"	"AT3G05400.1"	463	462	99	99	461	86.985	805	"AT3G05400.1"	86.985	461	58	1	1	461	1	459	0	816	99	463	462
"evm.model.RL_1.463"	"AT3G05410.2"	"AT3G05410.2"	"AT3G05410.2"	"N0.HOG0022156"	"AT3G05410.2"	"OG0015586"	"AT3G05410.2"	"AT3G05410.2"	281	280	99	100	280	90	513	"AT3G05410.2"	90	280	28	0	1	280	1	280	0	513	99	281	280
"evm.model.RL_1.464"	"AT3G05420.2"	"AT3G05420.2"	"AT3G05420.2"	"N0.HOG0004610"	"AT3G05420.2"	"OG0001305"	"AT3G05420.2, AT5G27630.3"	"AT3G05420.2"	668	669	99	99	666	92.793	1284	"AT3G05420.2"	92.793	666	47	1	1	665	1	666	0	1284	99	668	669
"evm.model.RL_1.465"	"AT3G05430.1"	"AT3G05430.1"	"AT3G05430.1"	"N0.HOG0026302"	"AT3G05430.1"	"OG0019526"	"AT3G05430.1"	"AT3G05430.1"	890	965	98	90	901	74.584	1261	"AT3G05430.1"	74.584	901	171	9	14	889	98	965	0	1261	98	890	965
"evm.model.RL_1.466"	"AT3G05440.1"	"AT3G05440.1"	NA	"N0.HOG0017465"	"AT3G05440.1"	"OG0011126"	"AT3G05440.1"	"AT3G05440.1"	185	122	53	80	98	84.694	175	"AT3G05440.1"	84.694	98	15	0	1	98	1	98	2.84e-57	175	53	185	122
"evm.model.RL_1.467"	"AT3G05450.1"	"AT3G05450.1"	"AT3G05450.1"	"N0.HOG0004269"	"AT3G05450.1"	"OG0001145"	"AT3G05450.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05450.1"	53.586	237	75	5	2	233	226	432	4.62e-62	200	99	235	440
"evm.model.RL_1.468"	"AT3G05450.1"	"AT3G05450.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05450.1"	42.541	181	40	4	1	117	1	181	1.53e-28	107	98	119	440
"evm.model.RL_1.469"	"AT3G05470.1"	"AT3G05470.1"	"AT3G05470.1"	"N0.HOG0014047"	"AT3G05470.1"	"OG0007937"	"AT3G05470.1"	"AT3G05470.1"	897	884	99	100	898	90.089	1469	"AT3G05470.1"	90.869	898	66	6	1	896	1	884	0	1469	99	897	884
"evm.model.RL_1.47"	"AT3G01690.1"	"AT3G01690.1"	"AT3G01690.1"	"N0.HOG0007530"	"AT3G01690.1"	"OG0002813"	"AT3G01690.1, AT5G14390.1"	"AT3G01690.1"	362	361	99	100	363	92.287	661	"AT3G01690.1"	92.837	363	22	3	1	361	1	361	0	667	99	362	361
"evm.model.RL_1.470"	"AT3G05480.3"	"AT3G05480.3"	"AT3G05480.3"	"N0.HOG0023734"	"AT3G05480.3"	"OG0017119"	"AT3G05480.3"	"AT3G05480.3"	440	456	99	100	458	87.555	795	"AT3G05480.3"	88.21	458	33	5	1	439	1	456	0	808	99	440	456
"evm.model.RL_1.471"	"AT3G05490.1"	"AT3G05490.1"	"AT3G05490.1"	"N0.HOG0011152"	"AT3G05490.1"	"OG0005381"	"AT3G05490.1"	"AT3G05490.1"	120	119	98	98	117	91.453	189	"AT3G05490.1"	91.453	117	10	0	2	118	3	119	6.45e-64	189	98	120	119
"evm.model.RL_1.472"	"AT3G05500.1"	"AT3G05500.1"	"AT3G05500.1"	"N0.HOG0012995"	"AT3G05500.1"	"OG0006975"	"AT3G05500.1"	"AT3G05500.1"	246	246	99	99	243	95.885	471	"AT3G05500.1"	95.885	243	10	0	3	245	4	246	3.24e-171	471	99	246	246
"evm.model.RL_1.473.1.687c87ea"	"AT3G05510.1"	"AT3G05510.1"	"AT3G05510.1"	"N0.HOG0022155"	"AT3G05510.1"	"OG0015585"	"AT3G05510.1"	"AT3G05510.1"	453	448	98	99	445	86.067	775	"AT3G05510.1"	86.067	445	60	1	1	445	1	443	0	775	98	453	448
"evm.model.RL_1.474"	"AT3G05520.2"	"AT3G05520.2"	"AT3G05520.2"	"N0.HOG0014046"	"AT3G05520.2"	"OG0007936"	"AT3G05520.2"	"AT3G05520.2"	335	382	92	81	308	95.455	616	"AT3G05520.2"	95.455	308	14	0	27	334	1	308	0	616	92	335	382
"evm.model.RL_1.475"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25930.1, AT1G01670.1"	25.532	94	51	6	1	88	650	730	0.038	32.3	75	118	1005
"evm.model.RL_1.476"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G68060.1"	78.571	70	14	1	75	144	548	616	5.74e-25	99	48	145	622
"evm.model.RL_1.477"	"AT3G05530.1"	"AT3G05530.1"	NA	"N0.HOG0008164"	"AT1G09100.1"	"OG0003181"	"AT1G09100.1, AT3G05530.1"	"AT3G05530.1"	425	424	99	100	424	99.528	864	"AT3G05530.1"	99.528	424	2	0	1	424	1	424	0	864	99	425	424
"evm.model.RL_1.478.1.687c87ea"	"AT3G05545.1"	"AT3G05545.1"	"AT3G05545.1"	"N0.HOG0009940"	"AT3G05545.1"	"OG0004376"	"AT3G05545.1"	"AT3G05545.1"	429	425	99	98	421	93.224	708	"AT3G05545.1"	93.224	428	25	2	1	427	1	425	0	708	99	429	425
"evm.model.RL_1.479"	"AT3G05550.1"	"AT3G05550.1"	"AT3G05550.1"	"N0.HOG0008880"	"AT3G05550.1"	"OG0003642"	"AT3G05550.1, AT5G27760.1"	"AT3G05550.1"	98	97	99	100	97	98.969	202	"AT3G05550.1"	98.969	97	1	0	1	97	1	97	1.4e-69	202	99	98	97
"evm.model.RL_1.48"	"AT3G01680.1"	"AT3G01680.1"	"AT3G01680.1"	"N0.HOG0015169"	"AT3G01680.1"	"OG0009010"	"AT3G01680.1"	"AT3G01680.1"	745	740	99	100	744	92.608	1440	"AT3G01680.1"	92.608	744	51	2	1	744	1	740	0	1440	99	745	740
"evm.model.RL_1.480"	"AT1G02830.1"	"AT1G02830.1"	NA	"N0.HOG0002918"	"AT1G02830.1"	"OG0000590"	"AT1G02830.1, AT3G05560.1, AT5G27770.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05560.1, AT5G27770.1"	94.355	124	4	1	1	121	1	124	1.4e-81	234	99	122	124
"evm.model.RL_1.481"	"AT3G05570.1"	"AT3G05570.1"	"AT3G05570.1"	"N0.HOG0003744"	"AT3G05570.1, AT2G21640.1"	"OG0000908"	"AT2G21640.1, AT3G05570.1, AT4G39235.1"	"AT3G05570.1"	90	90	99	100	90	91.111	167	"AT3G05570.1"	91.111	90	7	1	1	89	1	90	3.18e-56	167	99	90	90
"evm.model.RL_1.482"	"AT5G27830.4"	"AT5G27830.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G27830.4"	57.43	249	94	3	17	253	39	287	5.47e-84	253	92	257	322
"evm.model.RL_1.483"	"AT5G27830.4"	"AT5G27830.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G27830.4"	54.15	253	80	3	37	255	55	305	5.06e-76	233	83	265	322
"evm.model.RL_1.484"	"AT3G05580.1"	"AT3G05580.1"	"AT3G05580.1"	"N0.HOG0004613"	"AT3G05580.1"	"OG0001306"	"AT3G05580.1, AT5G27840.4"	"AT3G05580.1"	335	318	93	98	312	97.115	632	"AT3G05580.1"	97.115	312	9	0	1	312	1	312	0	632	93	335	318
"evm.model.RL_1.485"	"AT5G27850.1"	"AT5G27850.1"	"AT5G27850.1"	"N0.HOG0003831"	"AT3G05590.1, AT5G27850.1"	"OG0000943"	"AT3G05590.1, AT5G27850.1"	"AT3G05590.1"	188	187	99	100	187	92.513	352	"AT3G05590.1"	92.513	187	14	0	1	187	1	187	6.4e-126	352	99	188	187
"evm.model.RL_1.486"	"AT3G05600.1"	"AT3G05600.1"	"AT3G05600.1"	"N0.HOG0018624"	"AT3G05600.1"	"OG0012190"	"AT3G05600.1"	"AT3G05600.1"	332	331	99	100	331	91.541	632	"AT3G05600.1"	91.541	331	28	0	1	331	1	331	0	632	99	332	331
"evm.model.RL_1.487"	"AT3G05610.1"	"AT3G05610.1"	"AT3G05610.1"	"N0.HOG0004510"	"AT3G05610.1"	"OG0001253"	"AT3G05610.1, AT5G27870.1"	"AT3G05610.1"	638	669	98	94	634	86.909	1132	"AT3G05610.1"	87.066	634	71	5	1	626	1	631	0	1150	98	638	669
"evm.model.RL_1.488"	"AT3G05620.1"	"AT3G05620.1"	"AT3G05620.1"	"N0.HOG0024627"	"AT3G05620.1"	"OG0017978"	"AT3G05620.1"	"AT3G05620.1"	545	543	99	97	529	91.758	1030	"AT3G05620.1"	91.758	546	40	2	1	544	1	543	0	1031	99	545	543
"evm.model.RL_1.489"	"AT3G05625.1"	"AT3G05625.1"	"AT3G05625.1"	"N0.HOG0022157"	"AT3G05625.1"	"OG0015587"	"AT3G05625.1"	"AT3G05625.1"	258	257	99	100	257	93.385	509	"AT3G05625.1"	93.385	257	17	0	1	257	1	257	0	509	99	258	257
"evm.model.RL_1.49"	"AT3G01670.2"	"AT3G01670.2"	"AT3G01670.2"	"N0.HOG0015170"	"AT3G01670.2"	"OG0009011"	"AT3G01670.2"	"AT3G01670.2"	831	846	99	97	831	89.651	1508	"AT3G01670.2"	89.651	831	76	4	1	830	25	846	0	1516	99	831	846
"evm.model.RL_1.490"	"AT3G05630.1"	"AT3G05630.1"	"AT3G05630.1"	"N0.HOG0022158"	"AT3G05630.1"	"OG0015588"	"AT3G05630.1"	"AT3G05630.1"	1057	1046	99	100	1056	90.72	1976	"AT3G05630.1"	90.72	1056	88	1	1	1056	1	1046	0	1976	99	1057	1046
"evm.model.RL_1.491"	"AT3G05640.1"	"AT3G05640.1"	"AT3G05640.1"	"N0.HOG0005820"	"AT3G05640.1"	"OG0001922"	"AT3G05640.1, AT5G27930.1"	"AT3G05640.1"	366	358	99	98	357	88.767	639	"AT3G05640.1"	88.767	365	34	1	1	365	1	358	0	665	99	366	358
"evm.model.RL_1.492"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G11060.1"	73.333	45	9	1	66	107	31	75	8.19e-18	76.6	24	178	201
"evm.model.RL_1.493"	"AT3G05650.1, AT3G05660.1, AT3G11080.1, AT5G27060.2, AT3G11010.2, AT2G15080.1, AT5G25910.1, AT2G15042.1, AT3G28890.1"	"AT3G11010.2"	NA	"N0.HOG0001645"	"AT3G05650.1, AT3G05660.1, AT3G11080.1, AT5G27060.2, AT3G11010.2, AT2G15080.1, AT5G25910.1, AT2G15042.1, AT3G28890.1"	"OG0000232"	"AT2G15042.1, AT2G15080.1, AT3G05650.1, AT3G05660.1, AT3G11010.2, AT3G11080.1, AT3G28890.1, AT5G25910.1, AT5G27060.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11010.2"	58.561	917	293	13	254	1157	110	952	0	929	78	1158	957
"evm.model.RL_1.494"	"AT3G05670.1"	"AT3G05670.1"	"AT3G05670.1"	"N0.HOG0015197"	"AT3G05670.1"	"OG0009038"	"AT3G05670.1"	"AT3G05670.1"	876	883	99	100	896	85.045	1324	"AT3G05670.1"	85.268	896	98	9	1	875	1	883	0	1339	99	876	883
"evm.model.RL_1.495"	"AT2G45270.1"	"AT2G45270.1"	NA	NA	NA	"OG0010005"	"AT2G45270.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G45270.1"	66.949	118	24	2	1	103	195	312	1.32e-45	152	94	110	480
"evm.model.RL_1.496"	"AT2G45280.2"	"AT2G45280.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G45280.2"	87.379	103	8	2	1	103	95	192	4.46e-56	177	99	104	387
"evm.model.RL_1.497"	"AT2G45280.2"	"AT2G45280.2"	"AT2G45280.2"	"N0.HOG0017313"	"AT2G45280.2"	"OG0010992"	"AT2G45280.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G45280.2"	67.222	180	28	3	1	150	209	387	6.12e-69	213	99	151	387
"evm.model.RL_1.498"	"AT3G05680.1"	"AT3G05680.1"	"AT3G05680.1"	"N0.HOG0015198"	"AT3G05680.1"	"OG0009039"	"AT3G05680.1"	"AT3G05680.1"	2137	2138	99	100	2140	92.664	3887	"AT3G05680.1"	92.664	2140	151	2	1	2136	1	2138	0	3939	99	2137	2138
"evm.model.RL_1.499"	"AT3G05685.1"	"AT3G05685.1"	"AT3G05685.1"	"N0.HOG0002615"	"AT3G05685.1"	"OG0000489"	"AT3G05685.1, AT4G03570.1, AT4G03590.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05685.1"	55.28	161	52	3	41	181	20	180	2.75e-52	164	77	182	180
"evm.model.RL_1.5"	"AT5G02000.1"	"AT5G02000.1"	"AT5G02000.1"	"N0.HOG0026303"	"AT5G02000.1"	"OG0019527"	"AT5G02000.1"	"AT5G02000.1"	142	146	99	100	146	83.562	206	"AT5G02000.1"	83.562	146	19	4	1	141	1	146	8.93e-81	234	99	142	146
"evm.model.RL_1.50"	"AT3G01660.1"	"AT3G01660.1"	"AT3G01660.1"	"N0.HOG0023709"	"AT3G01660.1"	"OG0017094"	"AT3G01660.1"	"AT3G01660.1"	274	273	99	100	273	91.941	518	"AT3G01660.1"	91.941	273	22	0	1	273	1	273	0	518	99	274	273
"evm.model.RL_1.500"	"AT3G05690.2"	"AT3G05690.2"	"AT3G05690.2"	"N0.HOG0014048"	"AT3G05690.2"	"OG0007938"	"AT3G05690.2"	"AT3G05690.2"	293	332	99	89	295	87.458	535	"AT3G05690.2"	87.458	295	34	1	1	292	38	332	0	535	99	293	332
"evm.model.RL_1.501"	"AT3G05700.1"	"AT3G05700.1"	"AT3G05700.1"	"N0.HOG0006550"	"AT3G05700.1"	"OG0002299"	"AT3G05700.1, AT5G26990.1"	"AT3G05700.1"	227	223	99	100	226	90.708	392	"AT3G05700.1"	90.708	226	18	1	1	226	1	223	5.32e-141	393	99	227	223
"evm.model.RL_1.502"	"AT3G05710.2"	"AT3G05710.2"	"AT3G05710.2"	"N0.HOG0008016"	"AT3G05710.2"	"OG0003089"	"AT3G05710.2, AT5G26980.1"	"AT3G05710.2"	331	331	99	100	331	95.468	645	"AT3G05710.2"	95.468	331	14	1	1	330	1	331	0	645	99	331	331
"evm.model.RL_1.503"	"AT3G05720.1"	"AT3G05720.1"	"AT3G05720.1"	"N0.HOG0022159"	"AT3G05720.1"	"OG0015589"	"AT3G05720.1"	"AT3G05720.1"	439	528	99	83	439	90.661	795	"AT3G05720.1"	90.661	439	39	2	1	438	91	528	0	795	99	439	528
"evm.model.RL_1.504"	"AT3G05725.1"	"AT3G05725.1"	"AT3G05725.1"	"N0.HOG0016399"	"AT3G05725.1"	"OG0010151"	"AT3G05725.1"	"AT3G05725.1"	125	124	99	100	124	81.452	211	"AT3G05725.1"	81.452	124	23	0	1	124	1	124	1.61e-72	211	99	125	124
"evm.model.RL_1.505"	"AT3G05740.1"	"AT3G05740.1"	"AT3G05740.1"	"N0.HOG0020279"	"AT3G05740.1"	"OG0013762"	"AT3G05740.1"	"AT3G05740.1"	605	606	99	100	611	92.962	1140	"AT3G05740.1"	92.962	611	31	4	1	604	1	606	0	1145	99	605	606
"evm.model.RL_1.506"	"AT3G05750.1"	"AT3G05750.1"	"AT3G05750.1"	"N0.HOG0024628"	"AT3G05750.1"	"OG0017979"	"AT3G05750.1"	"AT3G05750.1"	805	801	99	98	792	77.363	1102	"AT3G05750.1"	77.363	804	174	6	1	801	1	799	0	1102	99	805	801
"evm.model.RL_1.507"	"AT3G05760.1"	"AT3G05760.1"	"AT3G05760.1"	"N0.HOG0022160"	"AT3G05760.1"	"OG0015590"	"AT3G05760.1"	"AT3G05760.1"	203	202	99	100	202	95.05	312	"AT3G05760.1"	95.05	202	10	0	1	202	1	202	1.23e-118	334	99	203	202
"evm.model.RL_1.508"	"AT1G54300.1, AT3G05770.1"	"AT3G05770.1"	"AT1G54300.1, AT3G05770.1"	"N0.HOG0005024"	"AT1G54300.1, AT3G05770.1"	"OG0001515"	"AT1G54300.1, AT3G05770.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05770.1"	54.412	408	144	13	1	376	3	400	1.06e-119	355	85	442	410
"evm.model.RL_1.509"	"AT1G07190.1"	"AT1G07190.1"	NA	NA	NA	"OG0002488"	"AT1G07190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05780.1"	74.359	195	45	2	151	341	730	923	1.24e-89	288	52	365	924
"evm.model.RL_1.51.5.687c87e9"	"AT3G01650.1"	"AT3G01650.1"	"AT3G01650.1"	"N0.HOG0004367"	"AT3G01650.1"	"OG0001189"	"AT3G01650.1, AT5G14420.1"	"AT3G01650.1"	499	489	99	100	525	77.401	703	"AT3G01650.1"	77.401	531	45	9	1	498	1	489	0	703	99	499	489
"evm.model.RL_1.510"	"AT3G05780.1"	"AT3G05780.1"	"AT3G05780.1"	"N0.HOG0003847"	"AT3G05780.1, AT3G05790.1"	"OG0000950"	"AT3G05780.1, AT3G05790.1, AT5G26860.1"	"AT3G05780.1"	939	924	96	96	926	75.594	1328	"AT3G05780.1"	76.35	926	156	16	28	933	41	923	0	1347	96	939	924
"evm.model.RL_1.511"	"AT3G05790.1"	"AT3G05790.1"	"AT3G05790.1"	"N0.HOG0003847"	"AT3G05780.1, AT3G05790.1"	"OG0000950"	"AT3G05780.1, AT3G05790.1, AT5G26860.1"	"AT3G05790.1"	919	942	98	99	942	83.546	1538	"AT3G05790.1"	83.546	942	116	6	1	904	1	941	0	1538	98	919	942
"evm.model.RL_1.512"	"AT3G05800.1"	"AT3G05800.1"	"AT3G05800.1"	"N0.HOG0010254"	"AT3G05800.1"	"OG0004624"	"AT3G05800.1"	"AT3G05800.1"	210	211	99	100	211	86.256	344	"AT3G05800.1"	86.256	211	27	2	1	209	1	211	2.67e-122	344	99	210	211
"evm.model.RL_1.513"	"AT3G05810.1"	"AT3G05810.1"	"AT3G05810.1"	"N0.HOG0007988"	"AT3G05810.1"	"OG0003073"	"AT3G05810.1, AT5G26800.1"	"AT3G05810.1"	112	112	99	100	112	91.964	204	"AT3G05810.1"	91.964	112	8	1	1	111	1	112	3.52e-70	204	99	112	112
"evm.model.RL_1.514"	"AT3G05820.2"	"AT3G05820.2"	"AT3G05820.2"	"N0.HOG0023735"	"AT3G05820.2"	"OG0017120"	"AT3G05820.2"	"AT3G05820.2"	634	633	99	100	633	91.153	1213	"AT3G05820.2"	91.153	633	56	0	1	633	1	633	0	1213	99	634	633
"evm.model.RL_1.515"	"AT3G05830.2"	"AT3G05830.2"	NA	NA	NA	NA	NA	"AT3G05830.2"	265	349	94	71	248	83.468	387	"AT3G05830.2"	83.468	248	41	0	1	248	1	248	2.93e-136	387	94	265	349
"evm.model.RL_1.516.4.687c87ea"	"AT3G05840.1"	"AT3G05840.1"	"AT3G05840.1"	"N0.HOG0002832"	"AT3G05840.1"	"OG0000562"	"AT3G05840.1, AT5G14640.1, AT5G26751.1"	"AT3G05840.1"	438	409	99	100	441	90.249	813	"AT3G05840.1"	90.249	441	7	2	1	437	1	409	0	813	99	438	409
