"Euclidium_syriacum"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"ESY21_g55510_DN1_SP0_c0.t1"	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G36225.1"	"29.688"	"64"	"44"	"1"	"1"	"63"	"33"	"96"	"0.000176"	"37"	"98"	"64"	"235"
"ESY21_g55511_DN2_SP0_c0.t1"	58	"AT2G17905.1"	"AT2G17905.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G17905.1"	"40.741"	"54"	"32"	"0"	"1"	"54"	"1"	"54"	"1.85e-08"	"47.4"	"92"	"59"	"172"
"ESY21_g55517_DN3_SP8_c0.t1"	668	"AT3G28180.1"	"AT3G28180.1"	"orthologue"	"AT3G28180.1"	"N0.HOG0011434"	"AT3G28180.1"	"OG0005625"	"AT3G28180.1"	"AT3G28180.1"	669	673	99	100	674	93.175	1258	"AT3G28180.1"	"93.175"	"674"	"39"	"3"	"1"	"668"	"1"	"673"	"0"	"1258"	"99"	"669"	"673"
"ESY21_g55518_DN2_SP0_c0.t1"	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55519_DN3_SP0_c0.t1"	124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G61160.1"	"29.577"	"71"	"47"	"1"	"30"	"97"	"70"	"140"	"0.007"	"34.3"	"54"	"125"	"187"
"ESY21_g55526_DN1_SP0_c0.t1"	99	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55536_DN1_SP0_c0.t1"	153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G06688.1"	"26.437"	"87"	"61"	"1"	"69"	"152"	"452"	"538"	"0.057"	"32.7"	"55"	"154"	"610"
"ESY21_g55538_DN2_SP0_c0.t1"	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55543_DN2_SP0_c0.t1"	223	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55547_DN2_SP0_c0.t1"	355	"AT3G28150.1"	"AT3G28150.1"	"orthologue"	"AT3G28150.1"	"N0.HOG0008283"	"AT3G28150.1"	"OG0003257"	"AT3G28150.1, AT5G40180.1"	"AT3G28150.1"	356	414	98	84	349	83.954	637	"AT3G28150.1"	"83.954"	"349"	"56"	"0"	"6"	"354"	"66"	"414"	"0"	"637"	"98"	"356"	"414"
"ESY21_g55548_DN3_SP0_c0.t1"	183	"AT3G28140.1"	"AT3G28140.1"	"orthologue"	"AT3G28140.1"	"N0.HOG0010124"	"AT3G28140.1"	"OG0004522"	"AT3G28140.1, AT5G40190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G40190.1"	"86.339"	"183"	"25"	"0"	"1"	"183"	"1"	"183"	"1.17e-108"	"308"	"99"	"184"	"183"
"ESY21_g55553_DN3_SP6_c0.t1"	362	"AT5G40210.1"	"AT5G40210.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G40210.1"	"57.303"	"356"	"132"	"2"	"3"	"358"	"4"	"339"	"4.15e-143"	"408"	"98"	"362"	"339"
"ESY21_g55569_DN2_SP0_c0.t1"	244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G24255.7"	"30.796"	"289"	"146"	"8"	"1"	"243"	"152"	"432"	"1.21e-30"	"119"	"99"	"245"	"828"
"ESY21_g55583_DN3_SP0_c0.t1"	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G67623.1"	"35.938"	"64"	"41"	"0"	"21"	"84"	"80"	"143"	"5.08e-08"	"48.9"	"60"	"106"	"296"
"ESY21_g55613_DN3_SP8_c0.t1"	367	"AT3G28050.1"	"AT3G28050.1"	"orthologue"	"AT3G28050.1"	"N0.HOG0011953"	"AT3G28050.1"	"OG0006062"	"AT3G28050.1"	"AT3G28050.1"	367	367	100	100	367	92.371	677	"AT3G28050.1"	"92.371"	"367"	"28"	"0"	"1"	"367"	"1"	"367"	"0"	"678"	"100"	"367"	"367"
"ESY21_g55628_DN3_SP0_c0.t1"	77	"AT3G28030.3"	"AT3G28030.3"	"orthologue"	"AT3G28030.3"	"N0.HOG0017031"	"AT3G28030.3"	"OG0010740"	"AT3G28030.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G28030.3"	"64.286"	"84"	"20"	"5"	"2"	"76"	"1407"	"1489"	"1.46e-21"	"86.3"	"96"	"78"	"1508"
"ESY21_g55629_DN3_SP0_c0.t1"	1447	"AT3G28030.3"	"AT3G28030.3"	"orthologue"	"AT3G28030.3"	"N0.HOG0017031"	"AT3G28030.3"	"OG0010740"	"AT3G28030.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G28030.3"	"69.909"	"1542"	"333"	"26"	"1"	"1446"	"1"	"1507"	"0"	"1978"	"99"	"1448"	"1508"
"ESY21_g55638_DN3_SP3_c0.t1"	250	"AT3G28007.1"	"AT3G28007.1"	"orthologue"	"AT3G28007.1"	"N0.HOG0011952"	"AT3G28007.1"	"OG0006061"	"AT3G28007.1"	"AT3G28007.1"	251	251	99	100	251	88.446	419	"AT3G28007.1"	"88.446"	"251"	"28"	"1"	"1"	"250"	"1"	"251"	"1.6e-150"	"419"	"99"	"251"	"251"
"ESY21_g55640_DN2_SP0_c0.t1"	140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55641_DN2_SP0_c0.t1"	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55668_DN3_SP8_c0.t1"	357	"AT3G27970.1"	"AT3G27970.1"	"orthologue"	"AT3G27970.1"	"N0.HOG0006666"	"AT3G27970.1"	"OG0002363"	"AT3G27970.1, AT5G40310.2"	"AT3G27970.1"	357	357	100	100	357	92.717	702	"AT3G27970.1"	"92.717"	"357"	"26"	"0"	"1"	"357"	"1"	"357"	"0"	"702"	"100"	"357"	"357"
"ESY21_g55671_DN3_SP0_c0.t1"	144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G21280.1"	"36.047"	"86"	"54"	"1"	"3"	"87"	"144"	"229"	"3.25e-13"	"63.9"	"59"	"145"	"237"
"ESY21_g55672_DN3_SP0_c0.t1"	126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G21280.1"	"30.588"	"85"	"59"	"0"	"36"	"120"	"32"	"116"	"7.44e-14"	"65.1"	"67"	"127"	"237"
"ESY21_g55673_DN3_SP8_c0.t1"	668	"AT3G27960.1"	"AT3G27960.1"	"orthologue"	"AT3G27960.1"	"N0.HOG0021351"	"AT3G27960.1"	"OG0014792"	"AT3G27960.1"	"AT3G27960.1"	669	663	99	100	678	87.611	1167	"AT3G27960.1"	"87.611"	"678"	"59"	"9"	"1"	"668"	"1"	"663"	"0"	"1167"	"99"	"669"	"663"
"ESY21_g55674_DN3_SP0_c0.t1"	378	"AT3G27950.1"	"AT3G27950.1"	"orthologue"	"AT3G27950.1"	"N0.HOG0021350"	"AT3G27950.1"	"OG0014791"	"AT3G27950.1"	"AT3G27950.1"	378	375	99	99	376	82.447	642	"AT3G27950.1"	"82.447"	"376"	"64"	"1"	"1"	"376"	"1"	"374"	"0"	"642"	"99"	"378"	"375"
"ESY21_g55675_DN3_SP0_c0.t1"	564	"AT3G45660.2"	"AT3G45660.2"	"orthologue"	"AT3G45660.2"	"N0.HOG0009725"	"AT3G45660.2"	"OG0004207"	"AT3G45650.2, AT3G45660.2"	"AT3G45660.2"	565	578	98	95	556	81.475	930	"AT3G45660.2"	"81.475"	"556"	"98"	"4"	"6"	"561"	"27"	"577"	"0"	"930"	"98"	"565"	"578"
"ESY21_g55677_DN3_SP0_c0.t1"	152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55678_DN3_SP0_c0.t1"	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55682_DN1_SP0_c0.t1"	128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55683_DN3_SP8_c0.t1"	443	"AT3G27925.1"	"AT3G27925.1"	"orthologue"	"AT3G27925.1"	"N0.HOG0019461"	"AT3G27925.1"	"OG0012970"	"AT3G27925.1"	"AT3G27925.1"	444	439	97	99	431	88.399	729	"AT3G27925.1"	"88.399"	"431"	"42"	"3"	"14"	"443"	"16"	"439"	"0"	"729"	"97"	"444"	"439"
"ESY21_g55684_DN3_SP0_c0.t1"	115	"AT5G36210.1"	"AT5G36210.1"	"other"	NA	NA	NA	"OG0010906"	"AT5G36210.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G27180.1"	"71.93"	"57"	"14"	"1"	"4"	"58"	"115"	"171"	"1.86e-16"	"73.6"	"47"	"116"	"745"
"ESY21_g55690_DN2_SP0_c0.t1"	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55691_DN3_SP4_c0.t1"	227	"AT3G27920.1"	"AT3G27920.1"	"orthologue"	"AT3G27920.1"	"N0.HOG0023232"	"AT3G27920.1"	"OG0016629"	"AT3G27920.1"	"AT3G27920.1"	228	228	99	99	232	72.845	322	"AT3G27920.1"	"72.845"	"232"	"52"	"5"	"1"	"227"	"1"	"226"	"3.2e-116"	"330"	"99"	"228"	"228"
"ESY21_g55696_DN1_SP0_c0.t1"	255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55697_DN2_SP0_c0.t1"	296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G36228.1"	"26.471"	"204"	"112"	"3"	"38"	"203"	"16"	"219"	"2.96e-16"	"77.8"	"56"	"297"	"361"
"ESY21_g55698_DN3_SP3_c0.t1"	196	"AT3G27890.1"	"AT3G27890.1"	"orthologue"	"AT3G27890.1"	"N0.HOG0010982"	"AT3G27890.1"	"OG0005234"	"AT3G27890.1"	"AT3G27890.1"	196	196	100	100	196	88.265	350	"AT3G27890.1"	"88.265"	"196"	"23"	"0"	"1"	"196"	"1"	"196"	"4.34e-126"	"353"	"100"	"196"	"196"
"ESY21_g55701_DN2_SP0_c2.t1"	531	"AT3G31430.1"	"AT3G31430.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G31430.1"	"41.72"	"314"	"168"	"5"	"6"	"311"	"5"	"311"	"1.06e-69"	"226"	"58"	"532"	"336"
"ESY21_g55702_DN1_SP0_c0.t1"	93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G43760.1"	"26.984"	"63"	"46"	"0"	"3"	"65"	"292"	"354"	"0.001"	"35.8"	"67"	"94"	"626"
"ESY21_g55705_DN3_SP0_c0.t1"	232	"AT3G27880.1"	"AT3G27880.1"	"orthologue"	"AT3G27880.1"	"N0.HOG0007933"	"AT3G27880.1"	"OG0003042"	"AT3G27880.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27880.1"	"62.698"	"252"	"64"	"8"	"1"	"232"	"1"	"242"	"2.76e-83"	"248"	"99"	"233"	"242"
"ESY21_g55709_DN1_SP0_c0.t1"	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55710_DN3_SP0_c0.t1"	191	"AT3G27830.1"	"AT3G27830.1"	"other"	NA	NA	NA	"OG0001088"	"AT3G27830.1, AT3G27840.1, AT3G27850.1"	"AT3G27830.1"	192	191	99	100	192	88.542	290	"AT3G27830.1"	"88.542"	"192"	"20"	"2"	"1"	"191"	"1"	"191"	"1.47e-102"	"293"	"99"	"192"	"191"
"ESY21_g55711_DN1_SP0_c0.t1"	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55712_DN1_SP0_c0.t1"	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55717_DN3_SP8_c0.t1"	481	"AT3G27820.1"	"AT3G27820.1"	"orthologue"	"AT3G27820.1"	"N0.HOG0014745"	"AT3G27820.1"	"OG0008598"	"AT3G27820.1"	"AT3G27820.1"	482	488	99	100	488	92.008	849	"AT3G27820.1"	"92.008"	"488"	"32"	"2"	"1"	"481"	"1"	"488"	"0"	"863"	"99"	"482"	"488"
"ESY21_g55718_DN2_SP0_c0.t1"	191	"AT3G27850.1, AT3G27830.1"	"AT3G27830.1"	"orthologue"	"AT3G27850.1, AT3G27830.1"	"N0.HOG0004154"	"AT3G27850.1, AT3G27830.1"	"OG0001088"	"AT3G27830.1, AT3G27840.1, AT3G27850.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27830.1"	"87.5"	"192"	"22"	"2"	"1"	"191"	"1"	"191"	"2.75e-102"	"292"	"99"	"192"	"191"
"ESY21_g55719_DN2_SP0_c0.t1"	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55722_DN3_SP8_c0.t1"	227	"AT3G27810.1"	"AT3G27810.1"	"orthologue"	"AT3G27810.1"	"N0.HOG0014744"	"AT3G27810.1"	"OG0008597"	"AT3G27810.1"	"AT3G27810.1"	228	226	99	100	227	93.392	425	"AT3G27810.1"	"93.392"	"227"	"14"	"1"	"1"	"227"	"1"	"226"	"1.39e-153"	"425"	"99"	"228"	"226"
"ESY21_g55753_DN3_SP0_c0.t1"	495	"AT3G27785.1"	"AT3G27785.1"	"orthologue"	"AT3G27785.1"	"N0.HOG0019460"	"AT3G27785.1"	"OG0012969"	"AT3G27785.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27785.1"	"62.97"	"505"	"109"	"12"	"1"	"495"	"1"	"437"	"0"	"559"	"99"	"496"	"437"
"ESY21_g55754_DN3_SP0_c0.t1"	287	"AT3G27770.1"	"AT3G27770.1"	"orthologue"	"AT3G27770.1"	"N0.HOG0019459"	"AT3G27770.1"	"OG0012968"	"AT3G27770.1"	"AT3G27770.1"	288	315	83	77	245	74.286	371	"AT3G27770.1"	"74.286"	"245"	"54"	"3"	"1"	"240"	"1"	"241"	"7.04e-130"	"371"	"83"	"288"	"315"
"ESY21_g55755_DN3_SP8_c0.t1"	1090	"AT3G27730.2"	"AT3G27730.2"	"orthologue"	"AT3G27730.2"	"N0.HOG0021349"	"AT3G27730.2"	"OG0014790"	"AT3G27730.2"	"AT3G27730.2"	1091	1143	99	98	1123	86.999	1968	"AT3G27730.2"	"86.999"	"1123"	"100"	"9"	"1"	"1078"	"1"	"1122"	"0"	"1992"	"99"	"1091"	"1143"
"ESY21_g55756_DN2_SP0_c0.t1"	533	"AT3G27720.1, AT3G27710.1"	"AT3G27710.1"	"orthologue"	"AT3G27720.1, AT3G27710.1"	"N0.HOG0010905"	"AT3G27720.1, AT3G27710.1"	"OG0005179"	"AT3G27710.1, AT3G27720.1"	"AT3G27710.1"	534	537	95	97	513	71.107	761	"AT3G27710.1"	"72.125"	"513"	"131"	"6"	"18"	"524"	"20"	"526"	"0"	"761"	"95"	"534"	"537"
"ESY21_g55763_DN3_SP0_c0.t1"	874	"AT3G27700.1"	"AT3G27700.1"	"orthologue"	"AT3G27700.1"	"N0.HOG0013568"	"AT3G27700.1"	"OG0007504"	"AT3G27700.1"	"AT3G27700.1"	875	908	99	99	911	78.924	1374	"AT3G27700.1"	"78.924"	"911"	"150"	"14"	"1"	"873"	"1"	"907"	"0"	"1378"	"99"	"875"	"908"
"ESY21_g55764_DN3_SP0_c0.t1"	1871	"AT3G27670.1"	"AT3G27670.1"	"orthologue"	"AT3G27670.1"	"N0.HOG0023326"	"AT3G27670.1"	"OG0016717"	"AT3G27670.1"	"AT3G27670.1"	1872	1841	99	99	1873	83.022	3029	"AT3G27670.1"	"83.022"	"1873"	"278"	"8"	"1"	"1868"	"1"	"1838"	"0"	"3029"	"99"	"1872"	"1841"
"ESY21_g55765_DN3_SP8_c0.t1"	374	"AT5G40850.1"	"AT5G40850.1"	"orthologue"	"AT5G40850.1"	"N0.HOG0017682"	"AT5G40850.1"	"OG0011325"	"AT5G40850.1"	"AT5G40850.1"	375	369	96	98	365	88.767	634	"AT5G40850.1"	"88.767"	"365"	"33"	"4"	"1"	"361"	"1"	"361"	"0"	"634"	"96"	"375"	"369"
"ESY21_g55766_DN2_SP0_c0.t1"	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55767_DN2_SP0_c0.t1"	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55774_DN2_SP0_c0.t1"	184	"AT3G27660.1"	"AT3G27660.1"	"orthologue"	"AT3G27660.1"	"N0.HOG0015935"	"AT3G27660.1"	"OG0009715"	"AT3G27660.1"	"AT3G27660.1"	185	191	97	99	190	81.579	265	"AT3G27660.1"	"81.579"	"190"	"24"	"3"	"1"	"180"	"1"	"189"	"1.3e-91"	"265"	"97"	"185"	"191"
"ESY21_g55780_DN2_SP0_c0.t1"	62	"AT1G14800.1"	"AT1G14800.1"	"other"	NA	NA	NA	"OG0000132"	"AT1G14800.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G10240.1"	"34.615"	"52"	"23"	"1"	"13"	"53"	"347"	"398"	"0.071"	"29.6"	"65"	"63"	"578"
"ESY21_g55783_DN3_SP0_c0.t1"	120	"AT1G14800.1"	"AT1G14800.1"	"other"	NA	NA	NA	"OG0000132"	"AT1G14800.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G30739.1"	"33.684"	"95"	"52"	"3"	"1"	"86"	"65"	"157"	"1.49e-08"	"50.4"	"71"	"121"	"248"
"ESY21_g55784_DN3_SP0_c0.t1"	139	"AT3G30430.1, AT2G35280.1, AT1G36030.1"	"AT2G35280.1"	"orthologue"	"AT3G30430.1, AT2G35280.1, AT1G36030.1"	"N0.HOG0002244"	"AT3G30430.1, AT2G35280.1, AT1G36030.1"	"OG0000388"	"AT1G36030.1, AT2G35280.1, AT3G30430.1, AT5G17167.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G35280.1"	"52.518"	"139"	"66"	"0"	"1"	"139"	"1"	"139"	"2.11e-49"	"155"	"99"	"140"	"163"
"ESY21_g55786_DN2_SP0_c0.t1"	79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G31660.1"	"32.692"	"52"	"35"	"0"	"11"	"62"	"57"	"108"	"4.73e-06"	"42"	"65"	"80"	"251"
"ESY21_g55792_DN2_SP0_c0.t1"	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55794_DN1_SP0_c0.t1"	123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55805_DN3_SP0_c0.t1"	132	"AT3G27650.1"	"AT3G27650.1"	"orthologue"	"AT3G27650.1"	"N0.HOG0010495"	"AT3G27650.1"	"OG0004832"	"AT3G27650.1"	"AT3G27650.1"	133	159	95	80	127	95.276	253	"AT3G27650.1"	"95.276"	"127"	"6"	"0"	"6"	"132"	"33"	"159"	"1.82e-88"	"253"	"95"	"133"	"159"
"ESY21_g55806_DN2_SP0_c0.t1"	59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55807_DN3_SP0_c0.t1"	514	"AT3G27640.1"	"AT3G27640.1"	"orthologue"	"AT3G27640.1"	"N0.HOG0017030"	"AT3G27640.1"	"OG0010739"	"AT3G27640.1"	"AT3G27640.1"	515	535	99	96	526	83.46	867	"AT3G27640.1"	"83.46"	"526"	"65"	"5"	"1"	"514"	"20"	"535"	"0"	"867"	"99"	"515"	"535"
"ESY21_g55814_DN3_SP0_c0.t1"	327	"AT5G40360.1, AT5G40430.1, AT2G25230.1"	"AT5G40360.1"	"orthologue"	"AT5G40360.1, AT5G40430.1, AT2G25230.1"	"N0.HOG0007276"	"AT5G40360.1, AT5G40430.1, AT2G25230.1"	"OG0002671"	"AT2G25230.1, AT5G40360.1, AT5G40430.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G40360.1"	"47.41"	"251"	"102"	"6"	"76"	"311"	"72"	"307"	"1.24e-64"	"207"	"72"	"327"	"359"
"ESY21_g55827_DN1_SP0_c0.t1"	54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY21_g55828_DN2_SP0_c36.t1"	110	"AT3G27630.1"	"AT3G27630.1"	"orthologue"	"AT3G27630.1"	"N0.HOG0006664"	"AT3G27630.1"	"OG0002362"	"AT3G27630.1, AT5G40460.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G40460.1"	"65.766"	"111"	"36"	"2"	"1"	"109"	"1"	"111"	"1.07e-41"	"132"	"98"	"111"	"112"
"ESY21_g55829_DN3_SP0_c0.t1"	254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G17450.2"	"55.814"	"86"	"25"	"2"	"155"	"235"	"1764"	"1841"	"8.09e-21"	"91.3"	"32"	"254"	"1844"
"ESY21_g55830_DN3_SP0_c0.t1"	200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G61180.1"	"45.588"	"68"	"37"	"0"	"10"	"77"	"82"	"149"	"5.15e-12"	"63.5"	"34"	"201"	"374"
"ESY21_g55833_DN2_SP0_c0.t1"	116	"AT1G33710.1, AT1G50080.1, AT1G60720.1, AT2G19146.1, AT3G25720.1, AT4G10613.1"	"AT3G25720.1"	"other"	NA	NA	NA	"OG0000042"	"AT1G33710.1, AT1G50080.1, AT1G60720.1, AT2G19146.1, AT3G25720.1, AT4G10613.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G43730.1"	"43.59"	"78"	"44"	"0"	"1"	"78"	"31"	"108"	"1.3e-18"	"78.6"	"67"	"117"	"320"
"ESY21_g55834_DN3_SP5_c0.t1"	554	"AT3G27580.1"	"AT3G27580.1"	"orthologue"	"AT3G27580.1"	"N0.HOG0021348"	"AT3G27580.1"	"OG0014789"	"AT3G27580.1"	"AT3G27580.1"	555	578	97	99	565	81.062	871	"AT3G27580.1"	"81.062"	"565"	"79"	"10"	"15"	"554"	"17"	"578"	"0"	"871"	"97"	"555"	"578"
"ESY21_g55835_DN3_SP0_c6.t1"	327	"AT3G27570.1"	"AT3G27570.1"	"orthologue"	"AT3G27570.1"	"N0.HOG0017029"	"AT3G27570.1"	"OG0010738"	"AT3G27570.1"	"AT3G27570.1"	328	379	99	90	340	82.353	529	"AT3G27570.1"	"82.353"	"340"	"47"	"4"	"1"	"327"	"40"	"379"	"0"	"529"	"99"	"328"	"379"
"ESY21_g55836_DN2_SP0_c0.t1"	213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G31150.1"	"29.954"	"217"	"133"	"6"	"8"	"207"	"43"	"257"	"1.57e-19"	"85.9"	"93"	"214"	"673"
"ESY21_g55837_DN1_SP0_c0.t1"	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G32960.1"	"58.065"	"31"	"12"	"1"	"4"	"33"	"184"	"214"	"0.088"	"29.6"	"42"	"72"	"214"
"ESY21_g55838_DN3_SP0_c0.t1"	285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G03300.1"	"24.167"	"120"	"70"	"3"	"162"	"281"	"213"	"311"	"0.07"	"34.3"	"42"	"286"	"670"
"ESY21_g55839_DN3_SP0_c0.t1"	606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G29760.2"	"49.038"	"208"	"76"	"3"	"190"	"368"	"336"	"542"	"1.38e-58"	"205"	"29"	"607"	"559"
"ESY21_g55841_DN2_SP0_c0.t1"	295	"AT3G32960.1"	"AT3G32960.1"	"other"	NA	NA	NA	"OG0000091"	"AT3G32960.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G32960.1"	"33.333"	"153"	"99"	"2"	"127"	"277"	"27"	"178"	"1.97e-25"	"100"	"51"	"296"	"214"
"ESY21_g55843_DN2_SP0_c0.t1"	391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G06740.1"	"27.146"	"431"	"266"	"7"	"1"	"387"	"296"	"722"	"8.23e-45"	"164"	"99"	"391"	"726"
