"Noccaea_praecox"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Np002G123330"	389	"AT3G27900.2"	"AT3G27900.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27900.2"	"43.458"	"214"	"104"	"8"	"174"	"380"	"38"	"241"	"1.87e-35"	"130"	"53"	"390"	"256"
"Np002G123340"	195	"AT3G27900.2"	"AT3G27900.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G27900.2"	"40.909"	"198"	"101"	"6"	"2"	"192"	"54"	"242"	"1.76e-32"	"117"	"97"	"196"	"256"
"Np002G123350"	344	"AT1G63900.1"	"AT1G63900.1"	"orthologue"	"AT1G63900.1"	"N0.HOG0007976"	"AT1G63900.1, AT1G59560.1"	"OG0003066"	"AT1G59560.1, AT1G63900.1"	"AT1G63900.1"	345	343	99	100	344	93.605	645	"AT1G63900.1"	"93.605"	"344"	"21"	"1"	"1"	"344"	"1"	"343"	"0"	"648"	"99"	"345"	"343"
"Np002G123360"	996	"AT1G63880.1, AT1G63870.1, AT1G66090.1, AT1G63860.1, AT1G63750.3, AT5G58120.1, AT1G63740.2, AT1G63730.1, AT4G14370.2, AT5G38850.1, AT1G56510.1, AT1G56520.2, AT1G56540.1, AT1G64070.1, AT2G16870.1, AT5G35510.2"	"AT1G63880.1"	"other"	NA	"N0.HOG0000879"	"AT1G63880.1, AT1G63870.1, AT1G66090.1, AT1G63860.1, AT1G63750.3, AT5G58120.1, AT1G63740.2, AT1G63730.1, AT4G14370.2, AT5G38850.1, AT1G56510.1, AT1G56520.2, AT1G56540.1, AT1G64070.1, AT2G16870.1, AT5G35510.2"	"OG0000101"	"AT1G56510.1, AT1G56520.2, AT1G56540.1, AT1G63730.1, AT1G63740.2, AT1G63750.3, AT1G63860.1, AT1G63870.1, AT1G63880.1, AT1G64070.1, AT1G66090.1, AT2G16870.1, AT4G14370.2, AT5G35510.2, AT5G38850.1, AT5G58120.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G63880.1"	"63.716"	"1028"	"310"	"19"	"1"	"981"	"1"	"1012"	"0"	"1219"	"98"	"997"	"1017"
"Np002G123370"	153	"AT1G63870.1"	"AT1G63870.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G63870.1"	"43.885"	"139"	"35"	"4"	"13"	"149"	"933"	"1030"	"1.08e-26"	"104"	"89"	"154"	"1031"
"Np002G123380"	368	"AT1G63910.1"	"AT1G63910.1"	"orthologue"	"AT1G63910.1"	"N0.HOG0015963"	"AT1G63910.1"	"OG0009739"	"AT1G63910.1"	"AT1G63910.1"	369	370	96	97	358	84.078	603	"AT1G63910.1"	"84.078"	"358"	"55"	"1"	"1"	"356"	"1"	"358"	"0"	"603"	"96"	"369"	"370"
"Np002G123390"	416	"AT1G63930.1"	"AT1G63930.1"	"orthologue"	"AT1G63930.1"	"N0.HOG0021394"	"AT1G63930.1"	"OG0014833"	"AT1G63930.1"	"AT1G63930.1"	417	415	99	100	416	96.154	823	"AT1G63930.1"	"96.154"	"416"	"15"	"1"	"1"	"416"	"1"	"415"	"0"	"823"	"99"	"417"	"415"
"Np002G123400"	88	"AT2G46260.1"	"AT2G46260.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G46260.1"	"41.463"	"82"	"35"	"3"	"12"	"82"	"368"	"447"	"2.91e-11"	"57.4"	"80"	"89"	"561"
"Np002G123410"	525	"AT1G63940.2"	"AT1G63940.2"	"orthologue"	"AT1G63940.2"	"N0.HOG0017052"	"AT1G63940.2"	"OG0010755"	"AT1G63940.2"	"AT1G63940.2"	526	493	94	100	493	95.943	976	"AT1G63940.2"	"95.943"	"493"	"20"	"0"	"33"	"525"	"1"	"493"	"0"	"976"	"94"	"526"	"493"
"Np002G123420"	822	"AT4G15570.1"	"AT4G15570.1"	"orthologue"	"AT4G15570.1"	"N0.HOG0012829"	"AT4G15570.1"	"OG0006825"	"AT4G15570.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G15570.1"	"90.727"	"798"	"72"	"2"	"1"	"798"	"1"	"796"	"0"	"1512"	"97"	"823"	"818"
"Np002G123460"	137	"AT1G63960.2"	"AT1G63960.2"	"orthologue"	"AT1G63960.2"	"N0.HOG0019248"	"AT1G63960.2"	"OG0012772"	"AT1G63960.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G63960.2"	"60.584"	"137"	"48"	"3"	"1"	"137"	"14"	"144"	"1.32e-30"	"107"	"99"	"138"	"144"
"Np002G123470"	237	"AT1G63970.1"	"AT1G63970.1"	"orthologue"	"AT1G63970.1"	"N0.HOG0012626"	"AT1G63970.1"	"OG0006644"	"AT1G63970.1"	"AT1G63970.1"	238	231	99	100	237	82.278	361	"AT1G63970.1"	"84.388"	"237"	"31"	"2"	"1"	"237"	"1"	"231"	"3.2e-131"	"369"	"99"	"238"	"231"
"Np002G123480"	377	"AT1G63980.1"	"AT1G63980.1"	"orthologue"	"AT1G63980.1"	"N0.HOG0013585"	"AT1G63980.1"	"OG0007521"	"AT1G63980.1"	"AT1G63980.1"	378	391	99	100	392	82.143	580	"AT1G63980.1"	"82.653"	"392"	"52"	"4"	"1"	"377"	"1"	"391"	"0"	"580"	"99"	"378"	"391"
"Np002G123490"	383	"AT1G63990.1"	"AT1G63990.1"	"orthologue"	"AT1G63990.1"	"N0.HOG0019500"	"AT1G63990.1"	"OG0013009"	"AT1G63990.1"	"AT1G63990.1"	384	383	99	100	383	93.734	749	"AT1G63990.1"	"93.734"	"383"	"24"	"0"	"1"	"383"	"1"	"383"	"0"	"749"	"99"	"384"	"383"
"Np002G123500"	191	"AT1G64000.1"	"AT1G64000.1"	"orthologue"	"AT1G64000.1"	"N0.HOG0014762"	"AT1G64000.1"	"OG0008615"	"AT1G64000.1"	"AT1G64000.1"	192	195	99	100	196	79.592	299	"AT1G64000.1"	"79.592"	"196"	"34"	"3"	"1"	"191"	"1"	"195"	"4.59e-105"	"299"	"99"	"192"	"195"
"Np002G123510"	507	"AT3G02660.1"	"AT3G02660.1"	"orthologue"	"AT3G02660.1"	"N0.HOG0012975"	"AT3G02660.1"	"OG0006961"	"AT3G02660.1"	"AT3G02660.1"	508	511	99	100	513	89.474	918	"AT3G02660.1"	"89.474"	"513"	"46"	"2"	"1"	"507"	"1"	"511"	"0"	"918"	"99"	"508"	"511"
"Np002G123520"	229	"AT4G25000.1"	"AT4G25000.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G25000.1"	"56.477"	"193"	"47"	"5"	"8"	"163"	"6"	"198"	"1.76e-63"	"202"	"68"	"230"	"423"
"Np002G123530"	137	"AT1G62160.1"	"AT1G62160.1"	"orthologue"	"AT1G62160.1"	"N0.HOG0000872"	"AT1G62160.1"	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64030.1"	"69.63"	"135"	"39"	"2"	"1"	"134"	"239"	"372"	"4.09e-51"	"166"	"97"	"138"	"385"
"Np002G123540"	218	"AT1G64030.1"	"AT1G64030.1"	"other"	NA	"N0.HOG0000869"	"AT1G64030.1"	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64030.1"	"63.761"	"218"	"79"	"0"	"1"	"218"	"1"	"218"	"4.85e-96"	"285"	"99"	"219"	"385"
"Np002G123550"	371	"AT1G64030.1"	"AT1G64030.1"	"other"	NA	"N0.HOG0000869"	"AT1G64030.1"	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64030.1"	"59.517"	"373"	"144"	"4"	"1"	"367"	"1"	"372"	"1.4e-147"	"422"	"99"	"372"	"385"
"Np002G123560"	104	"AT1G64020.1"	"AT1G64020.1"	"orthologue"	"AT1G64020.1"	"N0.HOG0000862"	"AT1G64020.1"	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64030.1, AT1G62170.2"	"47.826, 48.98"	"92, 98"	"41, 38"	"2, 3"	"1"	"87, 89"	"1, 62"	"90, 156"	"3.45e-16, 3.86e-16"	"72"	"83, 85"	"105"	"385, 466"
"Np002G123570"	373	"AT1G64030.1"	"AT1G64030.1"	"other"	NA	"N0.HOG0000869"	"AT1G64030.1"	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G62170.2"	"54.412"	"408"	"145"	"8"	"1"	"370"	"62"	"466"	"6.53e-146"	"421"	"99"	"374"	"466"
"Np002G123580"	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Np002G123590"	405	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	"AT1G62170.2"	"other"	NA	NA	NA	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G62170.2"	"53.7"	"473"	"144"	"9"	"1"	"405"	"1"	"466"	"3.94e-156"	"448"	"99"	"406"	"466"
"Np002G123600"	440	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	"AT2G14540.1"	"other"	NA	NA	NA	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G14540.1"	"53.846"	"455"	"143"	"7"	"1"	"440"	"1"	"403"	"6.1e-156"	"447"	"99"	"441"	"407"
"Np002G123610"	411	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	"AT2G14540.1"	"other"	NA	NA	NA	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G14540.1"	"58.929"	"392"	"138"	"5"	"41"	"411"	"10"	"399"	"1.6e-149"	"429"	"90"	"412"	"407"
"Np002G123620"	404	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	"AT2G14540.1"	"other"	NA	NA	NA	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G14540.1"	"58.473"	"419"	"137"	"7"	"1"	"403"	"1"	"398"	"2.63e-158"	"451"	"99"	"405"	"407"
"Np002G123650"	428	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	"AT2G14540.1"	"other"	NA	NA	NA	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G14540.1"	"59.767"	"430"	"144"	"6"	"1"	"428"	"1"	"403"	"7.25e-165"	"469"	"99"	"429"	"407"
"Np002G123660"	69	"AT2G14540.1"	"AT2G14540.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G14540.1"	"46.667"	"45"	"14"	"2"	"18"	"62"	"6"	"40"	"0.027"	"31.2"	"64"	"70"	"407"
"Np002G123670"	321	"AT1G64040.1"	"AT1G64040.1"	"orthologue"	"AT1G64040.1"	"N0.HOG0019499"	"AT1G64040.1"	"OG0013008"	"AT1G64040.1"	"AT1G64040.1"	322	322	99	99	319	97.806	652	"AT1G64040.1"	"97.806"	"319"	"7"	"0"	"1"	"319"	"1"	"319"	"0"	"652"	"99"	"322"	"322"
"Np002G123680"	664	"AT1G64050.1"	"AT1G64050.1"	"orthologue"	"AT1G64050.1"	"N0.HOG0019498"	"AT1G64050.1"	"OG0013007"	"AT1G64050.1"	"AT1G64050.1"	665	668	99	100	685	75.036	825	"AT1G64050.1"	"75.036"	"685"	"133"	"17"	"1"	"664"	"1"	"668"	"0"	"866"	"99"	"665"	"668"
"Np002G123690"	950	"AT1G64060.1"	"AT1G64060.1"	"orthologue"	"AT1G64060.1"	"N0.HOG0019497"	"AT1G64060.1"	"OG0013006"	"AT1G64060.1"	"AT1G64060.1"	951	944	99	100	959	91.971	1805	"AT1G64060.1"	"92.075"	"959"	"52"	"7"	"1"	"950"	"1"	"944"	"0"	"1805"	"99"	"951"	"944"
"Np002G123700"	214	"AT1G64065.1"	"AT1G64065.1"	"orthologue"	"AT1G64065.1"	"N0.HOG0015962"	"AT1G64065.1"	"OG0009738"	"AT1G64065.1"	"AT1G64065.1"	215	214	99	99	213	76.526	335	"AT1G64065.1"	"76.526"	"213"	"50"	"0"	"1"	"213"	"1"	"213"	"1.24e-118"	"335"	"99"	"215"	"214"
"Np002G123720"	418	"AT1G63880.1, AT1G63870.1, AT1G66090.1, AT1G63860.1, AT1G63750.3, AT5G58120.1, AT1G63740.2, AT1G63730.1, AT4G14370.2, AT5G38850.1, AT1G56510.1, AT1G56520.2, AT1G56540.1, AT1G64070.1, AT2G16870.1, AT5G35510.2"	"AT2G16870.1"	"other"	NA	"N0.HOG0000879"	"AT1G63880.1, AT1G63870.1, AT1G66090.1, AT1G63860.1, AT1G63750.3, AT5G58120.1, AT1G63740.2, AT1G63730.1, AT4G14370.2, AT5G38850.1, AT1G56510.1, AT1G56520.2, AT1G56540.1, AT1G64070.1, AT2G16870.1, AT5G35510.2"	"OG0000101"	"AT1G56510.1, AT1G56520.2, AT1G56540.1, AT1G63730.1, AT1G63740.2, AT1G63750.3, AT1G63860.1, AT1G63870.1, AT1G63880.1, AT1G64070.1, AT1G66090.1, AT2G16870.1, AT4G14370.2, AT5G35510.2, AT5G38850.1, AT5G58120.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G16870.1"	"59.481"	"385"	"144"	"6"	"1"	"381"	"607"	"983"	"1.07e-139"	"426"	"91"	"419"	"1109"
"Np002G123730"	419	"AT1G64080.1"	"AT1G64080.1"	"orthologue"	"AT1G64080.1"	"N0.HOG0019496"	"AT1G64080.1"	"OG0013005"	"AT1G64080.1"	"AT1G64080.1"	420	411	99	99	430	73.256	488	"AT1G64080.1"	"73.256"	"430"	"80"	"14"	"1"	"418"	"1"	"407"	"3.03e-172"	"488"	"99"	"420"	"411"
"Np002G123750"	257	"AT1G64090.2"	"AT1G64090.2"	"orthologue"	"AT1G64090.2"	"N0.HOG0014761"	"AT1G64090.2"	"OG0008614"	"AT1G64090.2"	"AT1G64090.2"	258	271	99	100	275	77.818	401	"AT1G64090.2"	"78.545"	"275"	"37"	"3"	"1"	"257"	"1"	"271"	"4e-143"	"401"	"99"	"258"	"271"
"Np002G123760"	174	"AT1G63320.1, AT1G63330.1"	"AT1G63330.1"	"other"	NA	NA	NA	"OG0000380"	"AT1G63320.1, AT1G63330.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64100.2"	"64.74"	"173"	"58"	"1"	"1"	"170"	"493"	"665"	"1.42e-70"	"227"	"97"	"175"	"806"
"Np002G123810"	824	"AT1G64110.2"	"AT1G64110.2"	"orthologue"	"AT1G64110.2"	"N0.HOG0019495"	"AT1G64110.2"	"OG0013004"	"AT1G64110.2"	"AT1G64110.2"	825	829	99	100	829	93.366	1520	"AT1G64110.2"	"93.366"	"829"	"50"	"3"	"1"	"824"	"1"	"829"	"0"	"1520"	"99"	"825"	"829"
"Np002G123820"	638	"AT1G64140.1"	"AT1G64140.1"	"orthologue"	"AT1G64140.1"	"N0.HOG0013584"	"AT1G64140.1"	"OG0007520"	"AT1G64140.1"	"AT1G64140.1"	639	646	99	99	662	80.967	929	"AT1G64140.1"	"82.175"	"662"	"63"	"17"	"7"	"638"	"10"	"646"	"0"	"983"	"99"	"639"	"646"
"Np002G123830"	337	"AT1G64150.1"	"AT1G64150.1"	"orthologue"	"AT1G64150.1"	"N0.HOG0018103"	"AT1G64150.1"	"OG0011705"	"AT1G64150.1"	"AT1G64150.1"	338	370	99	100	376	74.734	442	"AT1G64150.1"	"75.532"	"376"	"47"	"10"	"1"	"337"	"1"	"370"	"5.5e-169"	"474"	"99"	"338"	"370"
"Np002G123840"	182	"AT1G64160.1"	"AT1G64160.1"	"orthologue"	"AT1G64160.1"	"N0.HOG0024273"	"AT1G64160.1"	"OG0017641"	"AT1G64160.1"	"AT1G64160.1"	183	182	99	100	182	89.56	329	"AT1G64160.1"	"89.56"	"182"	"19"	"0"	"1"	"182"	"1"	"182"	"2.76e-117"	"329"	"99"	"183"	"182"
"Np002G123850"	542	"AT1G64180.1"	"AT1G64180.1"	"orthologue"	"AT1G64180.1"	"N0.HOG0017051"	"AT1G64180.1"	"OG0010754"	"AT1G64180.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64180.1"	"64.793"	"605"	"93"	"24"	"25"	"541"	"20"	"592"	"0"	"652"	"95"	"543"	"593"
"Np002G123860"	117	"AT1G64185.1"	"AT1G64185.1"	"orthologue"	"AT1G64185.1"	"N0.HOG0008116"	"AT1G64185.1"	"OG0003153"	"AT1G64185.1, AT5G41650.1"	"AT1G64185.1"	118	118	98	97	116	91.379	221	"AT1G64185.1"	"91.379"	"116"	"9"	"1"	"2"	"117"	"4"	"118"	"2.32e-76"	"221"	"98"	"118"	"118"
"Np002G123870"	489	"AT1G64190.1"	"AT1G64190.1"	"orthologue"	"AT1G64190.1"	"N0.HOG0008114"	"AT1G64190.1"	"OG0003152"	"AT1G64190.1, AT5G41670.1"	"AT1G64190.1"	490	487	99	99	483	98.758	981	"AT1G64190.1"	"98.758"	"483"	"6"	"0"	"1"	"483"	"1"	"483"	"0"	"981"	"99"	"490"	"487"
"Np002G123880"	237	"AT1G64200.1"	"AT1G64200.1"	"orthologue"	"AT1G64200.1"	"N0.HOG0019494"	"AT1G64200.1"	"OG0013003"	"AT1G64200.1"	"AT1G64200.1"	238	237	99	100	237	91.561	444	"AT1G64200.1"	"91.561"	"237"	"20"	"0"	"1"	"237"	"1"	"237"	"5.52e-161"	"444"	"99"	"238"	"237"
"Np002G123890"	590	"AT1G64210.1"	"AT1G64210.1"	"orthologue"	"AT1G64210.1"	"N0.HOG0019493"	"AT1G64210.1"	"OG0013002"	"AT1G64210.1"	"AT1G64210.1"	591	587	99	99	591	83.587	935	"AT1G64210.1"	"83.642"	"593"	"80"	"8"	"4"	"590"	"6"	"587"	"0"	"981"	"99"	"591"	"587"
"Np002G123900"	80	"AT1G64220.1"	"AT1G64220.1"	"orthologue"	"AT1G64220.1"	"N0.HOG0004559"	"AT1G64220.1"	"OG0001281"	"AT1G64220.1, AT5G41685.1"	"AT1G64220.1"	81	77	99	100	80	75	94.7	"AT1G64220.1"	"75"	"80"	"17"	"1"	"1"	"80"	"1"	"77"	"3.32e-29"	"99"	"99"	"81"	"77"
"Np002G123910"	148	"AT1G64230.4"	"AT1G64230.4"	"orthologue"	"AT1G64230.4"	"N0.HOG0001238"	"AT5G41700.4, AT1G64230.4"	"OG0000151"	"AT1G64230.4, AT2G16740.1, AT3G08690.1, AT3G08700.1, AT4G27960.2, AT5G41700.4, AT5G53300.1, AT5G56150.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G53300.1"	"97.297"	"148"	"4"	"0"	"1"	"148"	"1"	"148"	"3.69e-108"	"303"	"99"	"149"	"148"
"Np002G123920"	103	"AT1G64235.1"	"AT1G64235.1"	"orthologue"	"AT1G64235.1"	NA	NA	"OG0018232"	"AT1G64235.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64235.1"	"53.398"	"103"	"45"	"2"	"1"	"103"	"1"	"100"	"9.85e-28"	"97.4"	"99"	"104"	"123"
"Np002G123940"	709	"AT1G64260.1, AT1G49920.1"	"AT1G64260.1"	"other"	NA	"N0.HOG0001539"	"AT1G64260.1, AT1G49920.1"	"OG0000209"	"AT1G49920.1, AT1G64253.1, AT1G64255.1, AT1G64260.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64260.1"	"60.169"	"708"	"250"	"11"	"5"	"685"	"9"	"711"	"0"	"844"	"96"	"710"	"719"
"Np002G123950"	738	"AT1G64255.1, AT1G64253.1"	"AT1G64255.1"	"other"	NA	"N0.HOG0001538"	"AT1G64255.1, AT1G64253.1"	"OG0000209"	"AT1G49920.1, AT1G64253.1, AT1G64255.1, AT1G64260.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64255.1"	"63.32"	"747"	"226"	"12"	"1"	"728"	"1"	"718"	"0"	"917"	"99"	"739"	"750"
"Np002G123960"	895	"AT1G64253.1"	"AT1G64253.1"	"orthologue"	"AT1G64253.1"	"N0.HOG0001538"	"AT1G64255.1, AT1G64253.1"	"OG0000209"	"AT1G49920.1, AT1G64253.1, AT1G64255.1, AT1G64260.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64260.1"	"54.818"	"768"	"277"	"8"	"5"	"767"	"9"	"711"	"0"	"857"	"85"	"896"	"719"
"Np002G123970"	805	"AT1G64253.1"	"AT1G64253.1"	"orthologue"	"AT1G64253.1"	"N0.HOG0001538"	"AT1G64255.1, AT1G64253.1"	"OG0000209"	"AT1G49920.1, AT1G64253.1, AT1G64255.1, AT1G64260.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64260.1"	"56.516"	"775"	"261"	"9"	"3"	"768"	"4"	"711"	"0"	"867"	"95"	"806"	"719"
"Np002G123980"	370	"AT1G64290.1, AT1G64295.1, AT2G05360.1"	"AT1G64290.1"	"other"	NA	"N0.HOG0003336"	"AT1G64290.1, AT1G64295.1, AT2G05360.1"	"OG0000750"	"AT1G64290.1, AT1G64295.1, AT2G05360.1, AT5G41720.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64290.1"	"46.561"	"378"	"176"	"14"	"1"	"369"	"1"	"361"	"2.19e-92"	"280"	"99"	"371"	"364"
"Np002G123990"	371	"AT1G64290.1, AT1G64295.1, AT2G05360.1"	"AT1G64295.1"	"other"	NA	"N0.HOG0003336"	"AT1G64290.1, AT1G64295.1, AT2G05360.1"	"OG0000750"	"AT1G64290.1, AT1G64295.1, AT2G05360.1, AT5G41720.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64295.1"	"48.541"	"377"	"161"	"14"	"1"	"370"	"1"	"351"	"1.87e-100"	"301"	"99"	"372"	"356"
"Np002G124000"	363	"AT1G64290.1, AT1G64295.1, AT2G05360.1"	"AT1G64295.1"	"orthologue"	"AT1G64290.1, AT1G64295.1, AT2G05360.1"	"N0.HOG0003336"	"AT1G64290.1, AT1G64295.1, AT2G05360.1"	"OG0000750"	"AT1G64290.1, AT1G64295.1, AT2G05360.1, AT5G41720.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64295.1"	"62.079"	"356"	"127"	"4"	"1"	"354"	"1"	"350"	"5.51e-160"	"452"	"97"	"364"	"356"
"Np002G124010"	94	"AT4G22400.1, AT4G18310.1, AT4G18320.2"	"AT4G18320.2"	"orthologue"	"AT4G22400.1, AT4G18310.1, AT4G18320.2"	"N0.HOG0027251"	"AT4G22400.1, AT4G18310.1, AT4G18320.2"	"OG0020377"	"AT4G18310.1, AT4G18320.2, AT4G22400.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G18320.2"	"45.122"	"82"	"40"	"3"	"14"	"93"	"241"	"319"	"5.2e-13"	"62.4"	"84"	"95"	"320"
"Np002G124020"	751	"AT1G49920.1"	"AT1G49920.1"	"orthologue"	"AT1G49920.1"	"N0.HOG0001539"	"AT1G64260.1, AT1G49920.1"	"OG0000209"	"AT1G49920.1, AT1G64253.1, AT1G64255.1, AT1G64260.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G49920.1"	"64.729"	"757"	"216"	"18"	"1"	"721"	"1"	"742"	"0"	"933"	"96"	"752"	"785"
"Np002G124030"	719	"AT1G64300.1"	"AT1G64300.1"	"orthologue"	"AT1G64300.1"	"N0.HOG0006441"	"AT1G64300.1"	"OG0002238"	"AT1G64300.1, AT5G41730.1"	"AT1G64300.1"	720	717	99	100	721	91.678	1333	"AT1G64300.1"	"91.678"	"721"	"54"	"5"	"1"	"719"	"1"	"717"	"0"	"1333"	"99"	"720"	"717"
"Np002G124040"	552	"AT1G64310.1"	"AT1G64310.1"	"orthologue"	"AT1G64310.1"	"N0.HOG0019492"	"AT1G64310.1"	"OG0013001"	"AT1G64310.1"	"AT1G64310.1"	553	552	99	99	553	80.651	928	"AT1G64310.1"	"80.651"	"553"	"100"	"4"	"3"	"551"	"2"	"551"	"0"	"928"	"99"	"553"	"552"
"Np002G124060"	145	"AT2G04520.1"	"AT2G04520.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G04520.1"	"82.069"	"145"	"26"	"0"	"1"	"145"	"1"	"145"	"3.32e-81"	"235"	"99"	"146"	"145"
"Np002G124070"	112	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Np002G124080"	620	"AT1G64320.1"	"AT1G64320.1"	"orthologue"	"AT1G64320.1"	"N0.HOG0019491"	"AT1G64320.1"	"OG0013000"	"AT1G64320.1"	"AT1G64320.1"	621	623	99	100	627	74.322	863	"AT1G64320.1"	"74.322"	"627"	"150"	"5"	"1"	"620"	"1"	"623"	"0"	"863"	"99"	"621"	"623"
"Np002G124090"	481	"AT1G64330.1"	"AT1G64330.1"	"orthologue"	"AT1G64330.1"	"N0.HOG0005491"	"AT1G64330.1"	"OG0001749"	"AT1G64330.1, AT5G41790.1"	"AT1G64330.1"	482	555	99	100	555	72.432	650	"AT1G64330.1"	"72.432"	"555"	"79"	"6"	"1"	"481"	"1"	"555"	"0"	"673"	"99"	"482"	"555"
"Np002G124100"	257	"AT1G64340.1"	"AT1G64340.1"	"orthologue"	"AT1G64340.1"	"N0.HOG0025545"	"AT1G64340.1"	"OG0018843"	"AT1G64340.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G64340.1"	"67.159"	"271"	"59"	"11"	"1"	"252"	"1"	"260"	"4.09e-91"	"269"	"98"	"258"	"263"
