"Erysimum_linariifolium"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"El002G086080"	"AT1G04180.1"	"AT1G04180.1"	"AT1G04180.1"	"N0.HOG0006779"	"AT5G43890.1, AT1G04180.1"	"OG0002415"	"AT1G04180.1, AT5G43890.1"	"AT1G04180.1"	422	421	99	100	421	96.437	843	"AT1G04180.1"	96.437	421	15	0	1	421	1	421	0	843	99	422	421
"El002G086090"	"AT1G04190.1"	"AT1G04190.1"	"AT1G04190.1"	"N0.HOG0018808"	"AT1G04190.1"	"OG0012362"	"AT1G04190.1"	"AT1G04190.1"	317	328	99	96	315	93.333	618	"AT1G04190.1"	93.333	315	21	0	2	316	14	328	0	618	99	317	328
"El002G086100"	"AT1G04200.1"	"AT1G04200.1"	"AT1G04200.1"	"N0.HOG0020510"	"AT1G04200.1"	"OG0013977"	"AT1G04200.1"	"AT1G04200.1"	731	732	99	100	732	93.716	1387	"AT1G04200.1"	93.716	732	44	2	1	730	1	732	0	1413	99	731	732
"El002G086110"	"AT1G04210.1"	"AT1G04210.1"	"AT1G04210.1"	"N0.HOG0014222"	"AT1G04210.1"	"OG0008108"	"AT1G04210.1"	"AT1G04210.1"	1127	1112	99	100	1114	90.305	2045	"AT1G04210.1"	90.305	1114	105	3	1	1113	1	1112	0	2045	99	1127	1112
"El002G086120"	"AT1G04220.1"	"AT1G04220.1"	"AT1G04220.1"	"N0.HOG0006295"	"AT1G04220.1"	"OG0002155"	"AT1G04220.1, AT5G43760.1"	"AT1G04220.1"	522	528	99	99	526	92.966	960	"AT1G04220.1"	93.536	526	28	3	1	521	1	525	0	1016	99	522	528
"El002G086130"	"AT1G04230.1"	"AT1G04230.1"	"AT1G04230.1"	"N0.HOG0009027"	"AT5G43720.1, AT1G04230.1"	"OG0003733"	"AT1G04230.1, AT5G43720.1"	"AT1G04230.1"	326	325	95	95	310	91.29	527	"AT1G04230.1"	91.29	310	27	0	1	310	1	310	0	527	95	326	325
"El002G086140"	"AT1G04240.2"	"AT1G04240.2"	"AT1G04240.2"	"N0.HOG0020509"	"AT1G04240.2"	"OG0013976"	"AT1G04240.2"	"AT1G04240.2"	184	289	99	65	189	86.243	338	"AT1G04240.2"	86.243	189	20	1	1	183	101	289	2.57e-119	338	99	184	289
"El002G086150"	"AT1G04250.1"	"AT1G04250.1"	"AT1G04250.1"	"N0.HOG0009661"	"AT1G04250.1"	"OG0004159"	"AT1G04250.1"	"AT1G04250.1"	226	229	99	100	229	92.14	436	"AT1G04250.1"	92.14	229	14	1	1	225	1	229	6.07e-158	436	99	226	229
"El002G086160"	"AT1G04260.1"	"AT1G04260.1"	"AT1G04260.1"	"N0.HOG0010655"	"AT1G04260.1"	"OG0004967"	"AT1G04260.1"	"AT1G04260.1"	180	182	99	100	184	92.935	327	"AT1G04260.1"	92.935	184	6	2	1	179	1	182	1.69e-116	327	99	180	182
"El002G086180"	"AT3G53970.1"	"AT3G53970.1"	"AT3G53970.1"	"N0.HOG0016804"	"AT3G53970.1"	"OG0010537"	"AT3G53970.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G53970.1"	65.677	303	49	8	1	255	1	296	6.49e-109	316	98	259	302
"El002G086190"	"AT1G03670.1, AT4G03495.1"	"AT1G03670.1"	"AT1G03670.1, AT4G03495.1"	"N0.HOG0006524"	"AT1G03670.1, AT4G03495.1"	"OG0002285"	"AT1G03670.1, AT4G03460.1, AT4G03495.1, AT4G03500.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G03670.1"	86.634	202	27	0	37	238	415	616	1.59e-119	353	85	239	616
"El002G086200"	"AT1G04270.1"	"AT1G04270.1"	"AT1G04270.1"	"N0.HOG0002134"	"AT1G04270.1, AT5G09510.1"	"OG0000358"	"AT1G04270.1, AT1G33850.1, AT5G09490.1, AT5G09500.1, AT5G09510.1, AT5G43640.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04270.1"	97.368	152	4	0	1	152	1	152	7.28e-106	298	99	153	152
"El002G086210"	"AT1G04280.1"	"AT1G04280.1"	"AT1G04280.1"	"N0.HOG0013123"	"AT1G04280.1"	"OG0007099"	"AT1G04280.1"	"AT1G04280.1"	675	534	80	99	537	86.778	891	"AT1G04280.1"	86.778	537	66	2	138	674	3	534	0	891	80	675	534
"El002G086220"	"AT3G58660.1"	"AT3G58660.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G58660.1"	81.395	86	16	0	1	86	112	197	8.83e-46	151	92	93	446
"El002G086230"	"AT3G58660.1"	"AT3G58660.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G58660.1"	41.935	62	35	1	5	65	316	377	0.046	30.4	88	69	446
"El002G086240"	"AT1G04300.3"	"AT1G04300.3"	"AT1G04300.3"	"N0.HOG0004855"	"AT1G04300.3"	"OG0001430"	"AT1G04300.3, AT5G43560.1"	"AT1G04300.3"	1080	1082	99	100	1097	85.779	1802	"AT1G04300.3"	85.779	1097	123	11	1	1079	1	1082	0	1805	99	1080	1082
"El002G086260"	"AT1G04310.1"	"AT1G04310.1"	"AT1G04310.1"	"N0.HOG0015379"	"AT1G04310.1"	"OG0009214"	"AT1G04310.1"	"AT1G04310.1"	654	645	98	99	644	86.801	1080	"AT1G04310.1"	86.801	644	80	4	2	640	1	644	0	1080	98	654	645
"El002G086270"	"AT1G04330.1"	"AT1G04330.1"	"AT1G04330.1"	"N0.HOG0020508"	"AT1G04330.1"	"OG0013975"	"AT1G04330.1"	"AT1G04330.1"	101	100	99	100	100	96	190	"AT1G04330.1"	96	100	4	0	1	100	1	100	9.78e-65	190	99	101	100
"El002G086280"	"AT1G04340.1"	"AT1G04340.1"	"AT1G04340.1"	"N0.HOG0006781"	"AT1G04340.1"	"OG0002416"	"AT1G04340.1, AT5G43460.1"	"AT1G04340.1"	160	159	99	100	159	94.969	300	"AT1G04340.1"	94.969	159	8	0	1	159	1	159	1.65e-106	300	99	160	159
"El002G086290"	"AT1G04350.1"	"AT1G04350.1"	"AT1G04350.1"	"N0.HOG0002821"	"AT1G04350.1"	"OG0000560"	"AT1G04350.1, AT5G59530.1, AT5G59540.1"	"AT1G04350.1"	362	360	99	99	358	88.827	665	"AT1G04350.1"	88.827	358	40	0	4	361	3	360	0	665	99	362	360
"El002G086300"	"AT1G04360.1"	"AT1G04360.1"	"AT1G04360.1"	"N0.HOG0016529"	"AT1G04360.1"	"OG0010275"	"AT1G04360.1"	"AT1G04360.1"	384	381	99	100	385	83.117	580	"AT1G04360.1"	83.117	385	59	3	1	383	1	381	0	580	99	384	381
"El002G086320"	"AT1G04370.1"	"AT1G04370.1"	"AT1G04370.1"	"N0.HOG0005799"	"AT1G04370.1"	"OG0001911"	"AT1G04370.1, AT5G43410.1"	"AT1G04370.1"	135	133	87	89	118	93.22	182	"AT1G04370.1"	93.22	118	8	0	17	134	16	133	1.69e-61	184	87	135	133
"El002G086330"	"AT1G04380.1"	"AT1G04380.1"	"AT1G04380.1"	"N0.HOG0019241"	"AT1G04380.1"	"OG0012765"	"AT1G04380.1"	"AT1G04380.1"	352	345	99	100	351	85.755	622	"AT1G04380.1"	85.755	351	44	2	1	351	1	345	0	622	99	352	345
"El002G086340"	"AT1G04390.1"	"AT1G04390.1"	"AT1G04390.1"	"N0.HOG0023864"	"AT1G04390.1"	"OG0017249"	"AT1G04390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04390.1"	91.589	321	27	0	1	321	682	1002	0	610	99	322	1002
"El002G086350"	"AT1G04380.1"	"AT1G04380.1"	"AT1G04380.1"	"N0.HOG0019241"	"AT1G04380.1"	"OG0012765"	"AT1G04380.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04350.1"	78.67	361	75	2	1	360	1	360	0	602	99	361	360
"El002G086360"	"AT1G04380.1"	"AT1G04380.1"	"AT1G04380.1"	"N0.HOG0019241"	"AT1G04380.1"	"OG0012765"	"AT1G04380.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04380.1"	83.476	351	52	2	1	351	1	345	0	606	99	352	345
"El002G086370"	"AT1G04380.1"	"AT1G04380.1"	"AT1G04380.1"	"N0.HOG0019241"	"AT1G04380.1"	"OG0012765"	"AT1G04380.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04380.1"	86.895	351	40	2	1	351	1	345	0	628	99	352	345
"El002G086380"	"AT1G04390.1"	"AT1G04390.1"	"AT1G04390.1"	"N0.HOG0023864"	"AT1G04390.1"	"OG0017249"	"AT1G04390.1"	"AT1G04390.1"	1003	1002	99	100	1002	91.317	1850	"AT1G04390.1"	91.317	1002	87	0	1	1002	1	1002	0	1850	99	1003	1002
"El002G086390"	"AT1G04400.1"	"AT1G04400.1"	"AT1G04400.1"	"N0.HOG0011131"	"AT1G04400.1"	"OG0005367"	"AT1G04400.1"	"AT1G04400.1"	614	612	99	100	612	96.569	1236	"AT1G04400.1"	96.569	612	21	0	1	612	1	612	0	1236	99	614	612
"El002G086400"	"AT1G04410.1"	"AT1G04410.1"	"AT1G04410.1"	"N0.HOG0005351"	"AT1G04410.1"	"OG0001684"	"AT1G04410.1, AT5G43330.1"	"AT1G04410.1"	333	332	99	100	332	97.892	670	"AT1G04410.1"	97.892	332	7	0	1	332	1	332	0	670	99	333	332
"El002G086410"	"AT1G04420.1"	"AT1G04420.1"	"AT1G04420.1"	"N0.HOG0018807"	"AT1G04420.1"	"OG0012361"	"AT1G04420.1"	"AT1G04420.1"	420	412	99	100	419	89.499	761	"AT1G04420.1"	89.499	419	37	3	1	419	1	412	0	761	99	420	412
"El002G086430"	"AT1G04430.1"	"AT1G04430.1"	"AT1G04430.1"	"N0.HOG0014221"	"AT1G04430.1"	"OG0008107"	"AT1G04430.1"	"AT1G04430.1"	624	623	99	100	623	95.987	1260	"AT1G04430.1"	95.987	623	25	0	1	623	1	623	0	1260	99	624	623
"El002G086440"	"AT1G04440.1"	"AT1G04440.1"	"AT1G04440.1"	"N0.HOG0005352"	"AT1G04440.1"	"OG0001685"	"AT1G04440.1, AT5G43320.1"	"AT1G04440.1"	467	468	99	100	468	95.513	926	"AT1G04440.1"	95.513	468	19	1	1	466	1	468	0	926	99	467	468
"El002G086450"	"AT1G04445.2"	"AT1G04445.2"	"AT1G04445.2"	"N0.HOG0013418"	"AT1G04445.2"	"OG0007372"	"AT1G04445.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04445.2"	67.816	174	36	6	1	156	3	174	1.56e-65	197	99	157	174
"El002G086470"	"AT1G04450.1"	"AT1G04450.1"	"AT1G04450.1"	"N0.HOG0014220"	"AT1G04450.1"	"OG0008106"	"AT1G04450.1"	"AT1G04450.1"	220	220	99	100	221	91.855	360	"AT1G04450.1"	91.855	221	15	3	1	219	1	220	2.97e-136	380	99	220	220
"El002G086480"	"AT1G04470.1"	"AT1G04470.1"	"AT1G04470.1"	"N0.HOG0005165"	"AT1G04470.1"	"OG0001593"	"AT1G04470.1, AT2G33420.1"	"AT1G04470.1"	1031	1035	99	100	1035	92.85	1940	"AT1G04470.1"	92.85	1035	69	2	1	1030	1	1035	0	1940	99	1031	1035
"El002G086490"	"AT3G04400.1"	"AT3G04400.1"	"AT3G04400.1"	"N0.HOG0002609"	"AT3G04400.1"	"OG0000487"	"AT1G04480.1, AT2G33370.1, AT3G04400.1"	"AT1G04480.1, AT2G33370.1, AT3G04400.1"	141	140	99	100	140	100	281	"AT3G04400.1, AT2G33370.1, AT1G04480.1"	100	140	0	0	1	140	1	140	9.99e-100	281	99	141	140
"El002G086500"	"AT1G04490.1"	"AT1G04490.1"	"AT1G04490.1"	"N0.HOG0025532"	"AT1G04490.1"	"OG0018832"	"AT1G04490.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04490.1"	69.438	409	91	9	1	386	1	398	0	535	99	387	401
"El002G086510"	"AT1G04500.1"	"AT1G04500.1"	"AT1G04500.1"	"N0.HOG0016528"	"AT1G04500.1"	"OG0010274"	"AT1G04500.1"	"AT1G04500.1"	397	386	99	100	397	93.199	739	"AT1G04500.1"	93.199	397	15	2	1	396	1	386	0	739	99	397	386
"El002G086520"	"AT1G04510.1"	"AT1G04510.1"	"AT1G04510.1"	"N0.HOG0005355"	"AT1G04510.1"	"OG0001686"	"AT1G04510.1, AT2G33340.1"	"AT1G04510.1"	523	523	99	100	523	93.881	1018	"AT1G04510.1"	93.881	523	31	1	1	522	1	523	0	1018	99	523	523
"El002G086530"	"AT1G04520.1"	"AT1G04520.1"	"AT1G04520.1"	"N0.HOG0007803"	"AT1G04520.1"	"OG0002969"	"AT1G04520.1, AT2G33330.1"	"AT1G04520.1"	307	307	99	100	307	96.743	603	"AT1G04520.1"	96.743	307	9	1	1	306	1	307	0	603	99	307	307
"El002G086540"	"AT1G04530.1"	"AT1G04530.1"	"AT1G04530.1"	"N0.HOG0020507"	"AT1G04530.1"	"OG0013974"	"AT1G04530.1"	"AT1G04530.1"	318	310	99	100	318	84.277	509	"AT1G04530.1"	84.639	319	38	4	1	317	1	310	0	509	99	318	310
"El002G086550"	"AT1G04540.1"	"AT1G04540.1"	"AT1G04540.1"	"N0.HOG0015378"	"AT1G04540.1"	"OG0009213"	"AT1G04540.1"	"AT1G04540.1"	602	601	99	100	601	89.85	1103	"AT1G04540.1"	89.85	601	61	0	1	601	1	601	0	1125	99	602	601
"El002G086560"	"AT1G04550.2"	"AT1G04550.2"	"AT1G04550.2"	"N0.HOG0023138"	"AT1G04550.2"	"OG0016547"	"AT1G04550.2"	"AT1G04550.2"	241	239	99	100	240	92.5	412	"AT1G04550.2"	92.5	240	17	1	1	240	1	239	2.62e-148	412	99	241	239
"El002G086570"	"AT1G04555.1"	"AT1G04555.1"	"AT1G04555.1"	"N0.HOG0013122"	"AT1G04555.1"	"OG0007098"	"AT1G04555.1"	"AT1G04555.1"	158	152	96	99	152	92.763	258	"AT1G04555.1"	92.763	152	9	2	7	157	2	152	3.39e-90	259	96	158	152
"El002G086580"	"AT1G04560.1"	"AT1G04560.1"	"AT1G04560.1"	"N0.HOG0014219"	"AT1G04560.1"	"OG0008105"	"AT1G04560.1"	"AT1G04560.1"	185	186	99	100	186	93.011	355	"AT1G04560.1"	93.011	186	11	1	1	184	1	186	2.51e-127	355	99	185	186
"El002G086590"	"AT1G04570.1"	"AT1G04570.1"	"AT1G04570.1"	"N0.HOG0022437"	"AT1G04570.1"	"OG0015862"	"AT1G04570.1"	"AT1G04570.1"	540	542	99	99	539	91.837	893	"AT1G04570.1"	91.837	539	43	1	1	539	5	542	0	893	99	540	542
"El002G086600"	"AT1G04580.1"	"AT1G04580.1"	"AT1G04580.1"	"N0.HOG0017583"	"AT1G04580.1"	"OG0011232"	"AT1G04580.1"	"AT1G04580.1"	1341	1337	99	100	1340	91.343	2544	"AT1G04580.1"	91.343	1340	113	1	1	1340	1	1337	0	2544	99	1341	1337
"El002G086610"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G53420.1"	37.037	27	17	0	10	36	92	118	0.057	30.4	35	77	264
"El002G086620"	"AT1G04590.2"	"AT1G04590.2"	"AT1G04590.2"	"N0.HOG0013121"	"AT1G04590.2"	"OG0007097"	"AT1G04590.2"	"AT1G04590.2"	379	384	99	100	384	85.938	654	"AT1G04590.2"	85.938	384	48	2	1	378	1	384	0	672	99	379	384
"El002G086630"	"AT1G04600.1"	"AT1G04600.1"	"AT1G04600.1"	"N0.HOG0007807"	"AT1G04600.1"	"OG0002971"	"AT1G04600.1, AT2G33240.1"	"AT1G04600.1"	1743	1730	99	100	1768	88.914	3195	"AT1G04600.1"	89.31	1768	125	7	1	1742	1	1730	0	3215	99	1743	1730
"El002G086640"	"AT1G04610.1"	"AT1G04610.1"	"AT1G04610.1"	"N0.HOG0007806"	"AT1G04610.1"	"OG0002970"	"AT1G04610.1, AT2G33230.1"	"AT1G04610.1"	437	437	99	100	437	97.941	884	"AT1G04610.1"	97.941	437	8	1	1	436	1	437	0	884	99	437	437
"El002G086650"	"AT1G04620.1"	"AT1G04620.1"	"AT1G04620.1"	"N0.HOG0023863"	"AT1G04620.1"	"OG0017248"	"AT1G04620.1"	"AT1G04620.1"	462	462	99	100	462	96.104	923	"AT1G04620.1"	96.104	462	17	1	1	461	1	462	0	923	99	462	462
"El002G086660"	"AT1G04630.1"	"AT1G04630.1"	"AT1G04630.1"	"N0.HOG0006047"	"AT2G33220.2, AT1G04630.1"	"OG0002031"	"AT1G04630.1, AT2G33220.2"	"AT1G04630.1"	144	143	99	100	143	98.601	289	"AT1G04630.1"	98.601	143	2	0	1	143	1	143	1.58e-102	289	99	144	143
"El002G086680"	"AT1G04635.1"	"AT1G04635.1"	"AT1G04635.1"	"N0.HOG0024809"	"AT1G04635.1"	"OG0018157"	"AT1G04635.1"	"AT1G04635.1"	152	151	99	100	151	94.702	290	"AT1G04635.1"	94.702	151	8	0	1	151	1	151	9.43e-103	290	99	152	151
"El002G086690"	"AT1G04640.1"	"AT1G04640.1"	"AT1G04640.1"	"N0.HOG0011711"	"AT1G04640.1"	"OG0005864"	"AT1G04640.1"	"AT1G04640.1"	231	235	99	97	229	96.943	462	"AT1G04640.1"	96.943	229	7	0	1	229	1	229	2.03e-168	462	99	231	235
"El002G086700"	"AT1G04650.1"	"AT1G04650.1"	"AT1G04650.1"	"N0.HOG0018806"	"AT1G04650.1"	"OG0012360"	"AT1G04650.1"	"AT1G04650.1"	998	997	99	99	996	86.847	1732	"AT1G04650.1"	86.847	996	129	1	1	996	1	994	0	1732	99	998	997
"El002G086710"	"AT1G04660.1"	"AT1G04660.1"	"AT1G04660.1"	"N0.HOG0013120"	"AT1G04660.1"	"OG0007096"	"AT1G04660.1"	"AT1G04660.1"	195	212	58	61	113	82.171	91.3	"AT1G04660.1"	86.726	113	15	0	1	113	1	113	2.48e-27	102	58	195	212
"El002G086720"	"AT1G04670.1"	"AT1G04670.1"	"AT1G04670.1"	"N0.HOG0018805"	"AT1G04670.1"	"OG0012359"	"AT1G04670.1"	"AT1G04670.1"	126	126	98	98	124	95.968	236	"AT1G04670.1"	95.968	124	5	0	1	124	1	124	5.1e-82	236	98	126	126
"El002G086730"	"AT1G04680.1"	"AT1G04680.1"	"AT1G04680.1"	"N0.HOG0011707"	"AT1G04680.1"	"OG0005863"	"AT1G04680.1"	"AT1G04680.1"	432	431	99	100	431	98.376	890	"AT1G04680.1"	98.376	431	7	0	1	431	1	431	0	890	99	432	431
"El002G086750"	"AT1G04690.1"	"AT1G04690.1"	"AT1G04690.1"	"N0.HOG0011706"	"AT1G04690.1"	"OG0005862"	"AT1G04690.1"	"AT1G04690.1"	329	328	99	100	328	98.171	672	"AT1G04690.1"	98.171	328	6	0	1	328	1	328	0	672	99	329	328
"El002G086760"	"AT1G04700.1"	"AT1G04700.1"	"AT1G04700.1"	"N0.HOG0017582"	"AT1G04700.1"	"OG0011231"	"AT1G04700.1"	"AT1G04700.1"	1041	1042	99	100	1049	89.133	1870	"AT1G04700.1"	89.133	1049	98	4	1	1040	1	1042	0	1880	99	1041	1042
"El002G086770"	"AT1G50920.1"	"AT1G50920.1"	"AT1G50920.1"	"N0.HOG0008196"	"AT1G50920.1"	"OG0003201"	"AT1G10300.1, AT1G50920.1"	"AT1G50920.1"	672	671	99	100	671	93.294	1269	"AT1G50920.1"	93.294	671	45	0	1	671	1	671	0	1287	99	672	671
"El002G086780"	"AT1G04710.1"	"AT1G04710.1"	"AT1G04710.1"	"N0.HOG0005356"	"AT1G04710.1"	"OG0001687"	"AT1G04710.1, AT2G33150.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G33150.1"	87.638	453	55	1	1	453	1	452	0	807	99	455	462
"El002G086790"	"AT1G04730.1"	"AT1G04730.1"	"AT1G04730.1"	"N0.HOG0020506"	"AT1G04730.1"	"OG0013973"	"AT1G04730.1"	"AT1G04730.1"	942	943	99	100	944	92.479	1759	"AT1G04730.1"	92.479	944	67	2	1	941	1	943	0	1759	99	942	943
"El002G086800"	"AT1G04750.1"	"AT1G04750.1"	"AT1G04750.1"	"N0.HOG0001971"	"AT1G04750.1"	"OG0000314"	"AT1G04750.1, AT1G04760.1, AT2G32670.1, AT2G33110.1, AT2G33120.2"	"AT1G04750.1"	220	219	99	100	219	99.543	456	"AT1G04750.1"	99.543	219	1	0	1	219	1	219	4.02e-166	456	99	220	219
"El002G086810"	"AT1G04760.1"	"AT1G04760.1"	"AT1G04760.1"	"N0.HOG0001972"	"AT1G04760.1, AT2G32670.1"	"OG0000314"	"AT1G04750.1, AT1G04760.1, AT2G32670.1, AT2G33110.1, AT2G33120.2"	"AT1G04760.1"	221	220	99	100	220	95.455	443	"AT1G04760.1"	95.455	220	10	0	1	220	1	220	4.2e-161	443	99	221	220
"El002G086820"	"AT1G04770.1"	"AT1G04770.1"	"AT1G04770.1"	"N0.HOG0013119"	"AT5G22794.2, AT1G04770.1"	"OG0007095"	"AT1G04770.1, AT5G22794.2"	"AT1G04770.1"	307	303	99	100	307	91.857	571	"AT1G04770.1"	91.857	307	20	3	1	306	1	303	0	571	99	307	303
"El002G086850"	"AT1G04780.1"	"AT1G04780.1"	"AT1G04780.1"	"N0.HOG0015377"	"AT1G04780.1"	"OG0009212"	"AT1G04780.1"	"AT1G04780.1"	664	664	99	99	662	97.13	1334	"AT1G04780.1"	97.13	662	19	0	2	663	3	664	0	1334	99	664	664
"El002G086860"	"AT1G04790.1"	"AT1G04790.1"	"AT1G04790.1"	"N0.HOG0016527"	"AT1G04790.1"	"OG0010273"	"AT1G04790.1"	"AT1G04790.1"	611	634	99	100	636	78.145	929	"AT1G04790.1"	78.459	636	109	7	1	610	1	634	0	935	99	611	634
"El002G086870"	"AT1G04800.1"	"AT1G04800.1"	"AT1G04800.1"	"N0.HOG0004723"	"AT1G04800.1"	"OG0001361"	"AT1G04800.1, AT2G32690.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32690.1"	56.14	57	22	2	1	54	1	57	8.91e-12	61.2	27	198	201
"El002G086880"	"AT1G04800.1"	"AT1G04800.1"	"AT1G04800.1"	"N0.HOG0004723"	"AT1G04800.1"	"OG0001361"	"AT1G04800.1, AT2G32690.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"El002G086890"	"AT1G04810.1"	"AT1G04810.1"	"AT1G04810.1"	"N0.HOG0004857"	"AT1G04810.1"	"OG0001431"	"AT1G04810.1, AT2G32730.1"	"AT1G04810.1"	1005	1001	99	100	1004	95.916	1977	"AT1G04810.1"	95.916	1004	38	2	1	1004	1	1001	0	1977	99	1005	1001
"El002G086900"	"AT1G04830.2"	"AT1G04830.2"	"AT1G04830.2"	"N0.HOG0015376"	"AT1G04830.2"	"OG0009211"	"AT1G04830.2"	"AT1G04830.2"	451	459	97	95	436	90.909	796	"AT1G04830.2"	94.037	436	24	2	1	436	1	434	0	845	97	451	459
"El002G086930"	"AT1G04850.1"	"AT1G04850.1"	"AT1G04850.1"	"N0.HOG0016526"	"AT1G04850.1"	"OG0010272"	"AT1G04850.1"	"AT1G04850.1"	414	413	99	100	413	94.915	721	"AT1G04850.1"	94.915	413	21	0	1	413	1	413	0	722	99	414	413
"El002G086940"	"AT1G04860.1"	"AT1G04860.1"	"AT1G04860.1"	"N0.HOG0008154"	"AT1G04860.1"	"OG0003175"	"AT1G04860.1, AT2G32780.1"	"AT1G04860.1"	957	961	99	100	966	85.093	1600	"AT1G04860.1"	85.093	966	129	4	1	956	1	961	0	1600	99	957	961
"El002G086950"	"AT1G04870.2"	"AT1G04870.2"	"AT1G04870.2"	"N0.HOG0016373"	"AT1G04870.2"	"OG0010129"	"AT1G04870.2"	"AT1G04870.2"	384	383	99	100	383	96.606	786	"AT1G04870.2"	96.606	383	13	0	1	383	1	383	0	786	99	384	383
"El002G086960"	"AT1G04880.1"	"AT1G04880.1"	"AT1G04880.1"	"N0.HOG0010311"	"AT1G04880.1"	"OG0004671"	"AT1G04880.1"	"AT1G04880.1"	453	448	99	100	450	86.222	738	"AT1G04880.1"	86.222	450	57	2	6	452	1	448	0	738	99	453	448
"El002G086970"	"AT1G04890.1"	"AT1G04890.1"	"AT1G04890.1"	"N0.HOG0022436"	"AT1G04890.1"	"OG0015861"	"AT1G04890.1"	"AT1G04890.1"	574	411	74	100	428	81.075	605	"AT1G04890.1"	81.075	428	62	7	148	573	1	411	0	605	74	574	411
"El002G086990"	"AT1G04900.1"	"AT1G04900.1"	"AT1G04900.1"	"N0.HOG0020505"	"AT1G04900.1"	"OG0013972"	"AT1G04900.1"	"AT1G04900.1"	448	442	99	100	447	94.631	869	"AT1G04900.1"	94.631	447	19	1	1	447	1	442	0	869	99	448	442
"El002G087000"	"AT1G04910.1"	"AT1G04910.1"	"AT1G04910.1"	"N0.HOG0018804"	"AT1G04910.1"	"OG0012358"	"AT1G04910.1"	"AT1G04910.1"	520	519	99	100	519	97.495	1056	"AT1G04910.1"	97.495	519	13	0	1	519	1	519	0	1056	99	520	519
"El002G087010"	"AT1G04920.1"	"AT1G04920.1"	"AT1G04920.1"	"N0.HOG0024693"	"AT1G04920.1"	"OG0018041"	"AT1G04920.1"	"AT1G04920.1"	1065	1062	99	100	1064	96.053	2124	"AT1G04920.1"	96.053	1064	40	1	1	1064	1	1062	0	2124	99	1065	1062
"El002G087020"	"AT1G04930.2"	"AT1G04930.2"	"AT1G04930.2"	"N0.HOG0006783"	"AT1G04930.2"	"OG0002417"	"AT1G04930.2, AT2G32840.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04930.2"	66.022	362	72	7	1	311	1	362	1.31e-124	360	99	312	362
"El002G087030"	"AT1G04940.1"	"AT1G04940.1"	"AT1G04940.1"	"N0.HOG0020504"	"AT1G04940.1"	"OG0013971"	"AT1G04940.1"	"AT1G04940.1"	275	274	99	100	275	94.545	502	"AT1G04940.1"	94.545	275	13	2	1	274	1	274	0	502	99	275	274
"El002G087040"	"AT1G04945.3"	"AT1G04945.3"	"AT1G04945.3"	"N0.HOG0013118"	"AT1G04945.3"	"OG0007094"	"AT1G04945.3"	"AT1G04945.3"	396	644	99	61	398	84.925	674	"AT1G04945.3"	84.925	398	51	4	1	395	253	644	0	674	99	396	644
"El002G087050"	"AT1G04950.1"	"AT1G04950.1"	"AT1G04950.1"	"N0.HOG0015375"	"AT1G04950.1"	"OG0009210"	"AT1G04950.1"	"AT1G04950.1"	548	549	99	100	550	93.818	1018	"AT1G04950.1"	93.818	550	30	3	1	547	1	549	0	1018	99	548	549
"El002G087060"	"AT1G04960.2"	"AT1G04960.2"	"AT1G04960.2"	"N0.HOG0022435"	"AT1G04960.2"	"OG0015860"	"AT1G04960.2"	"AT1G04960.2"	322	334	94	90	303	89.769	559	"AT1G04960.2"	89.769	303	27	1	19	321	36	334	0	559	94	322	334
