"Arabis_alpina"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Aa_G251210.h1.t1"	"AT5G27980.1"	"AT5G27980.1"	"AT5G27980.1"	"N0.HOG0010774"	"AT5G27980.1"	"OG0005064"	"AT5G27980.1"	"AT5G27980.1"	181	192	100	100	192	82.292	282	"AT5G27980.1"	82.292	192	23	2	1	181	1	192	1.67e-98	282	100	181	192
"Aa_G251220.h1.t1"	"AT5G27990.1"	"AT5G27990.1"	NA	"N0.HOG0010320"	"AT5G27990.1"	"OG0004680"	"AT5G27990.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G27990.1"	65.217	184	57	3	6	188	7	184	1.17e-73	219	97	188	184
"Aa_G251230.h1.t1"	"AT5G28020.1"	"AT5G28020.1"	"AT5G28020.1"	"N0.HOG0004622"	"AT5G28030.1, AT5G28020.1"	"OG0001311"	"AT5G28020.1, AT5G28030.1"	"AT5G28020.1"	323	323	100	100	323	91.641	561	"AT5G28020.1"	91.641	323	27	0	1	323	1	323	0	561	100	323	323
"Aa_G251340.h1.t1"	"AT2G01190.1"	"AT2G01190.1"	"AT2G01190.1"	"N0.HOG0019424"	"AT2G01190.1"	"OG0012933"	"AT2G01190.1"	"AT2G01190.1"	713	720	100	95	700	80.027	932	"AT2G01190.1"	80.027	736	108	15	1	713	1	720	0	991	100	713	720
"Aa_G251350.h1.t1"	"AT2G01200.1"	"AT2G01200.1"	"AT2G01200.1"	"N0.HOG0024419"	"AT2G01200.1"	"OG0017772"	"AT2G01200.1"	"AT2G01200.1"	191	191	100	100	191	82.723	333	"AT2G01200.1"	82.723	191	33	0	1	191	1	191	1.39e-118	333	100	191	191
"Aa_G251360.h1.t1"	"AT2G01210.1"	"AT2G01210.1"	"AT2G01210.1"	"N0.HOG0019425"	"AT2G01210.1"	"OG0012934"	"AT2G01210.1"	"AT2G01210.1"	708	716	100	100	716	90.782	1331	"AT2G01210.1"	90.782	716	58	3	1	708	1	716	0	1331	100	708	716
"Aa_G251370.h1.t1"	"AT3G27610.1"	"AT3G27610.1"	"AT3G27610.1"	"N0.HOG0010486"	"AT2G01220.2, AT3G27610.1"	"OG0004824"	"AT2G01220.2, AT3G27610.1"	"AT2G01220.2"	401	388	96	99	383	88.512	711	"AT2G01220.2"	88.512	383	44	0	1	383	1	383	0	711	96	401	388
"Aa_G251380.h1.t1"	"AT2G01240.1"	"AT2G01240.1"	"AT2G01240.1"	"N0.HOG0012594"	"AT2G01240.1"	"OG0006614"	"AT2G01240.1"	"AT2G01240.1"	192	134	70	96	129	77.778	204	"AT2G01240.1"	77.778	135	29	1	58	192	1	134	2.39e-71	212	70	192	134
"Aa_G251390.h1.t1"	"AT2G01250.1"	"AT2G01250.1"	"AT2G01250.1"	"N0.HOG0003134"	"AT2G01250.1"	"OG0000669"	"AT2G01250.1, AT2G44120.2, AT3G13580.1"	"AT2G01250.1"	242	242	100	100	242	96.281	471	"AT2G01250.1"	96.281	242	9	0	1	242	1	242	1.47e-171	471	100	242	242
"Aa_G251400.h1.t1"	"AT2G01260.1"	"AT2G01260.1"	"AT2G01260.1"	"N0.HOG0006424"	"AT2G01260.1"	"OG0002229"	"AT1G15030.1, AT2G01260.1"	"AT2G01260.1"	376	369	100	100	381	83.727	590	"AT2G01260.1"	83.727	381	45	3	1	376	1	369	0	597	100	376	369
"Aa_G251410.h1.t1"	"AT2G01270.1"	"AT2G01270.1"	"AT2G01270.1"	"N0.HOG0024420"	"AT2G01270.1"	"OG0017773"	"AT2G01270.1"	"AT2G01270.1"	503	495	99	96	481	88.6	910	"AT2G01270.1"	88.6	500	51	2	1	500	1	494	0	910	99	503	495
"Aa_G251420.h1.t1"	"AT2G01275.3"	"AT2G01275.3"	"AT2G01275.3"	"N0.HOG0013546"	"AT2G01275.3"	"OG0007483"	"AT2G01275.3"	"AT2G01275.3"	262	285	99	91	261	88.506	453	"AT2G01275.3"	89.272	261	25	3	1	261	27	284	2.05e-166	461	99	262	285
"Aa_G251430.h1.t1"	"AT2G01290.1"	"AT2G01290.1"	"AT2G01290.1"	"N0.HOG0010487"	"AT2G01290.1"	"OG0004825"	"AT2G01290.1"	"AT2G01290.1"	265	265	99	100	265	91.321	486	"AT2G01290.1"	91.321	265	22	1	1	264	1	265	1.62e-176	486	99	265	265
"Aa_G251440.h1.t1"	"AT2G01300.1"	"AT2G01300.1"	"AT2G01300.1"	"N0.HOG0009580"	"AT2G01300.1"	"OG0004099"	"AT2G01300.1"	"AT2G01300.1"	151	156	100	88	138	79.618	209	"AT2G01300.1"	79.618	157	25	4	1	151	1	156	1.45e-84	244	100	151	156
"Aa_G251450.h1.t1"	"AT2G01320.3"	"AT2G01320.3"	"AT2G01320.3"	"N0.HOG0019426"	"AT2G01320.3"	"OG0012935"	"AT2G01320.3"	"AT2G01320.3"	731	728	100	99	733	90.45	1303	"AT2G01320.3"	90.45	733	62	5	1	731	1	727	0	1303	100	731	728
"Aa_G251460.h1.t1"	"AT2G01330.1"	"AT2G01330.1"	"AT2G01330.1"	"N0.HOG0024421"	"AT2G01330.1"	"OG0017774"	"AT2G01330.1"	"AT2G01330.1"	612	611	100	100	612	90.196	1157	"AT2G01330.1"	90.196	612	59	1	1	612	1	611	0	1157	100	612	611
"Aa_G251470.h1.t1"	"AT2G01340.1"	"AT2G01340.1"	"AT2G01340.1"	"N0.HOG0009826"	"AT2G01340.1"	"OG0004287"	"AT2G01340.1"	"AT2G01340.1"	173	215	96	77	167	91.018	299	"AT2G01340.1"	91.018	167	12	2	5	170	3	167	5.87e-105	299	96	173	215
"Aa_G251480.h1.t1"	"AT4G38070.1"	"AT4G38070.1"	"AT4G38070.1"	"N0.HOG0021682"	"AT4G38070.1"	"OG0015119"	"AT4G38070.1"	"AT4G38070.1"	226	256	99	86	225	82.222	353	"AT4G38070.1"	82.222	225	35	3	1	224	32	252	5.47e-125	353	99	226	256
"Aa_G251490.h1.t1"	"AT2G01350.1"	"AT2G01350.1"	"AT2G01350.1"	"N0.HOG0021313"	"AT2G01350.1"	"OG0014754"	"AT2G01350.1"	"AT2G01350.1"	353	348	100	100	353	91.501	655	"AT2G01350.1"	91.501	353	25	2	1	353	1	348	0	655	100	353	348
"Aa_G251500.h1.t1"	"AT2G01390.1, AT2G01360.1"	"AT2G01390.1"	"AT2G01390.1, AT2G01360.1"	"N0.HOG0015914"	"AT2G01390.1"	"OG0009695"	"AT2G01360.1, AT2G01390.1"	"AT2G01390.1"	567	577	100	99	578	80.796	957	"AT2G01390.1"	80.796	578	98	4	1	567	1	576	0	957	100	567	577
"Aa_G251510.h1.t1"	"AT2G01400.1"	"AT2G01400.1"	"AT2G01400.1"	"N0.HOG0021314"	"AT2G01400.1"	"OG0014755"	"AT2G01400.1"	"AT2G01400.1"	152	146	100	100	155	70.323	192	"AT2G01400.1"	70.323	155	34	5	1	152	1	146	2.61e-64	192	100	152	146
"Aa_G251520.h1.t1"	"AT2G01410.1"	"AT2G01410.1"	"AT2G01410.1"	"N0.HOG0015915"	"AT2G01410.1"	"OG0009696"	"AT2G01410.1"	"AT2G01410.1"	375	387	99	96	373	82.038	641	"AT2G01410.1"	82.038	373	66	1	4	375	15	387	0	641	99	375	387
"Aa_G251650.h1.t1"	"AT2G22750.3"	"AT2G22750.3"	"AT2G22750.3"	"N0.HOG0023229"	"AT2G22750.3"	"OG0016626"	"AT2G22750.3"	"AT2G22750.3"	317	333	100	99	330	81.212	454	"AT2G22750.3"	81.212	330	49	4	1	317	1	330	6.59e-162	454	100	317	333
"Aa_G251660.h1.t1"	"AT3G45540.1"	"AT3G45540.1"	"AT3G45540.1"	"N0.HOG0001225"	"AT3G43750.1, AT2G16520.1, AT3G45525.1, AT3G45560.1, AT3G45570.1, AT3G45580.1, AT2G26135.1, AT2G26130.1, AT3G45540.1, AT3G45480.1, AT3G45460.1, AT3G45510.1, AT2G22940.1"	"OG0000150"	"AT2G16520.1, AT2G22940.1, AT2G26130.1, AT2G26135.1, AT3G43750.1, AT3G45460.1, AT3G45480.1, AT3G45510.1, AT3G45525.1, AT3G45540.1, AT3G45555.1, AT3G45560.1, AT3G45570.1, AT3G45580.1"	"AT3G45540.1"	428	348	75	87	324	72.531	472	"AT3G45540.1"	72.531	324	68	2	63	385	1	304	4.5e-168	475	75	428	348
"Aa_G251770.h1.t1"	"AT4G28890.1"	"AT4G28890.1"	"AT4G28890.1"	"N0.HOG0010099"	"AT4G28890.1"	"OG0004500"	"AT4G28890.1"	"AT4G28890.1"	408	432	100	95	418	84.928	646	"AT4G28890.1"	84.928	418	47	7	1	408	1	412	0	646	100	408	432
"Aa_G251780.h1.t1"	"AT4G28910.1"	"AT4G28910.1"	"AT4G28910.1"	"N0.HOG0011894"	"AT4G28910.1"	"OG0006016"	"AT4G28910.1"	"AT4G28910.1"	426	425	100	100	427	90.867	760	"AT4G28910.1"	90.867	427	36	3	1	426	1	425	0	760	100	426	425
"Aa_G251810.h1.t1"	"AT1G12080.2"	"AT1G12080.2"	"AT1G12080.2"	"N0.HOG0010506"	"AT1G12080.2"	"OG0004843"	"AT1G12080.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G12080.2"	86.364	22	3	0	1	22	1	22	0.000465	36.2	25	89	138
"Aa_G251810.h2.t1"	"AT1G12080.2"	"AT1G12080.2"	"AT1G12080.2"	"N0.HOG0010506"	"AT1G12080.2"	"OG0004843"	"AT1G12080.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G12080.2"	86.364	22	3	0	1	22	1	22	0.000465	36.2	25	89	138
"Aa_G251820.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G39775.1"	35.417	192	100	3	252	441	3	172	2.42e-32	124	14	1389	178
"Aa_G251930.h1.t1"	"AT2G09388.1"	"AT2G09388.1"	NA	"N0.HOG0000224"	"AT2G09388.1"	"OG0000024"	"AT2G09388.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G39775.1"	38.158	76	46	1	1	76	98	172	3.4e-09	55.8	16	468	178
"Aa_G251940.h1.t1"	"AT1G33280.1"	"AT1G33280.1"	"AT1G33280.1"	"N0.HOG0025874"	"AT1G33280.1"	"OG0019140"	"AT1G33280.1"	"AT1G33280.1"	312	305	100	100	318	82.075	505	"AT1G33280.1"	82.075	318	38	6	1	312	1	305	0	524	100	312	305
"Aa_G2520.h1.t1"	"AT3G62170.1"	"AT3G62170.1"	"AT3G62170.1"	"N0.HOG0013405"	"AT3G62170.1"	"OG0007360"	"AT3G62170.1"	"AT3G62170.1"	590	588	100	100	592	84.966	991	"AT3G62170.1"	85.642	592	79	3	1	590	1	588	0	1011	100	590	588
"Aa_G252080.h1.t1"	"AT1G72150.1"	"AT1G72150.1"	"AT1G72150.1"	"N0.HOG0004876"	"AT1G72150.1"	"OG0001441"	"AT1G22530.1, AT1G72150.1"	"AT1G72150.1"	564	573	99	100	578	79.585	768	"AT1G72150.1"	79.585	578	94	7	1	559	1	573	0	768	99	564	573
"Aa_G252090.h1.t1"	"AT1G72160.1"	"AT1G72160.1"	"AT1G72160.1"	"N0.HOG0015524"	"AT1G72160.1"	"OG0009352"	"AT1G72160.1"	"AT1G72160.1"	485	490	100	100	499	81.764	800	"AT1G72160.1"	82.365	499	65	6	1	485	1	490	0	809	100	485	490
"Aa_G25210.h1.t1"	"AT2G36720.1"	"AT2G36720.1"	"AT2G36720.1"	"N0.HOG0018650"	"AT2G36720.1"	"OG0012216"	"AT2G36720.1"	"AT2G36720.1"	957	1007	98	100	998	76.036	1502	"AT2G36720.1"	77.054	998	171	12	17	957	11	1007	0	1502	98	957	1007
"Aa_G252100.h1.t1"	"AT1G72170.1"	"AT1G72170.1"	"AT1G72170.1"	"N0.HOG0006824"	"AT1G72170.1"	"OG0002439"	"AT1G72170.1"	"AT1G72170.1"	96	102	100	100	102	78.431	155	"AT1G72170.1"	78.431	102	16	3	1	96	1	102	5.51e-51	155	100	96	102
"Aa_G252110.h1.t1"	"AT5G59720.1, AT1G53540.1"	"AT5G59720.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G59720.1, AT1G53540.1"	79.032	62	10	1	52	110	98	159	1.95e-27	98.2	54	110	161
"Aa_G252120.h1.t1"	"AT1G72175.1"	"AT1G72175.1"	"AT1G72175.1"	"N0.HOG0008569"	"AT1G72175.1"	"OG0003447"	"AT1G72175.1"	"AT1G72175.1"	185	185	100	100	185	91.351	294	"AT1G72175.1"	91.351	185	16	0	1	185	1	185	5.18e-112	316	100	185	185
"Aa_G252130.h1.t1"	"AT1G72180.1"	"AT1G72180.1"	"AT1G72180.1"	"N0.HOG0014365"	"AT1G72180.1"	"OG0008250"	"AT1G72180.1"	"AT1G72180.1"	976	977	100	100	977	84.442	1629	"AT1G72180.1"	84.442	977	151	1	1	976	1	977	0	1629	100	976	977
"Aa_G252140.h1.t1"	"AT1G72190.1"	"AT1G72190.1"	"AT1G72190.1"	"N0.HOG0016646"	"AT1G72190.1"	"OG0010386"	"AT1G72190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G72190.1"	93.333	30	2	0	1	30	278	307	7.64e-13	60.5	49	61	373
"Aa_G252150.h1.t1"	"AT2G42120.1"	"AT2G42120.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42120.1"	74.118	85	22	0	6	90	339	423	2.31e-42	142	94	90	441
"Aa_G252160.h1.t1"	"AT1G72190.1"	"AT1G72190.1"	"AT1G72190.1"	"N0.HOG0016646"	"AT1G72190.1"	"OG0010386"	"AT1G72190.1"	"AT1G72190.1"	367	373	100	99	370	86.216	665	"AT1G72190.1"	86.216	370	48	1	1	367	4	373	0	665	100	367	373
"Aa_G252170.h1.t1"	"AT1G72200.1"	"AT1G72200.1"	"AT1G72200.1"	"N0.HOG0012365"	"AT1G72200.1"	"OG0006427"	"AT1G72200.1"	"AT1G72200.1"	391	404	99	99	403	80.645	624	"AT1G72200.1"	80.645	403	62	8	1	390	1	400	0	624	99	391	404
"Aa_G252190.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G08650.1"	43.243	37	21	0	1	37	427	463	0.03	32.3	35	107	681
"Aa_G25220.h1.t1"	"AT2G36730.1"	"AT2G36730.1"	"AT2G36730.1"	"N0.HOG0023762"	"AT2G36730.1"	"OG0017147"	"AT2G36730.1"	"AT2G36730.1"	429	501	96	77	388	85.06	716	"AT2G36730.1"	85.06	415	59	1	1	412	65	479	0	728	96	429	501
"Aa_G252200.h1.t1"	"AT1G72210.1"	"AT1G72210.1"	"AT1G72210.1"	"N0.HOG0010357"	"AT1G72210.1"	"OG0004711"	"AT1G72210.1"	"AT1G72210.1"	320	320	100	100	323	82.972	479	"AT1G72210.1"	82.972	323	49	5	1	320	1	320	0	525	100	320	320
"Aa_G25230.h1.t1"	"AT2G36740.1"	"AT2G36740.1"	"AT2G36740.1"	"N0.HOG0020321"	"AT2G36740.1"	"OG0013801"	"AT2G36740.1"	"AT2G36740.1"	367	365	94	96	351	84.33	543	"AT2G36740.1"	84.33	351	50	3	1	346	1	351	0	554	94	367	365
"Aa_G252310.h1.t1"	"AT2G44790.1"	"AT2G44790.1"	NA	"N0.HOG0002817"	"AT2G44790.1"	"OG0000557"	"AT2G44790.1, AT3G60270.1, AT3G60280.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G44790.1"	59.893	187	63	6	16	197	23	202	2.37e-51	164	92	197	202
"Aa_G252320.h1.t1"	"AT2G44770.1"	"AT2G44770.1"	"AT2G44770.1"	"N0.HOG0004843"	"AT2G44770.1"	"OG0001423"	"AT2G44770.1, AT3G60260.1"	"AT2G44770.1"	266	266	99	99	265	96.981	536	"AT2G44770.1"	96.981	265	8	0	1	265	1	265	0	536	99	266	266
"Aa_G252330.h1.t1"	"AT2G44760.1"	"AT2G44760.1"	NA	"N0.HOG0018440"	"AT2G44760.1"	"OG0012019"	"AT2G44760.1"	"AT2G44760.1"	483	500	100	99	499	77.956	749	"AT2G44760.1"	78.357	499	87	8	1	483	7	500	0	751	100	483	500
"Aa_G252340.h1.t1"	"AT2G44745.1"	"AT2G44745.1"	"AT2G44745.1"	"N0.HOG0012123"	"AT2G44745.1"	"OG0006215"	"AT2G44745.1"	"AT2G44745.1"	222	218	100	100	222	90.09	338	"AT2G44745.1"	90.991	222	16	3	1	222	1	218	1.06e-134	376	100	222	218
"Aa_G252350.h1.t1"	"AT2G44740.1"	"AT2G44740.1"	"AT2G44740.1"	"N0.HOG0010608"	"AT2G44740.1"	"OG0004929"	"AT2G44740.1"	"AT2G44740.1"	201	202	100	100	204	87.745	345	"AT2G44740.1"	87.745	204	20	3	1	201	1	202	9.33e-124	347	100	201	202
"Aa_G252360.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G51160.1"	37.895	190	108	2	331	520	42	221	4.19e-34	133	36	521	442
"Aa_G252370.h1.t1"	"AT2G44730.1"	"AT2G44730.1"	"AT2G44730.1"	"N0.HOG0019996"	"AT2G44730.1"	"OG0013486"	"AT2G44730.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G44730.1"	68.548	372	77	6	1	332	1	372	5.37e-159	449	96	345	372
"Aa_G252380.h1.t1"	"AT2G44710.1"	"AT2G44710.1"	"AT2G44710.1"	"N0.HOG0021891"	"AT2G44710.1"	"OG0015326"	"AT2G44710.1"	"AT2G44710.1"	795	809	96	96	791	81.922	1071	"AT2G44710.1"	81.922	791	107	10	1	766	1	780	0	1071	96	795	809
"Aa_G252390.h1.t1"	"AT2G44690.1"	"AT2G44690.1"	"AT2G44690.1"	"N0.HOG0025088"	"AT2G44690.1"	"OG0018417"	"AT2G44690.1"	"AT2G44690.1"	212	209	91	92	192	89.062	360	"AT2G44690.1"	89.062	192	21	0	21	212	18	209	6.41e-129	361	91	212	209
"Aa_G25240.h1.t1"	"AT2G36750.1, AT2G36790.1, AT2G36800.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT3G53160.1"	"AT2G36760.1"	NA	"N0.HOG0001718"	"AT2G36750.1, AT2G36790.1, AT2G36800.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT3G53160.1"	"OG0000249"	"AT2G36750.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT2G36790.1, AT2G36800.1, AT3G53160.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G36760.1"	72.892	166	44	1	56	220	152	317	2.22e-78	246	54	305	496
"Aa_G25250.h1.t1"	"AT1G15760.1"	"AT1G15760.1"	"AT1G15760.1"	"N0.HOG0006071"	"AT1G15760.1"	"OG0002045"	"AT1G15760.1, AT1G80520.1"	"AT1G15760.1"	200	202	99	98	203	77.833	309	"AT1G15760.1"	78.818	203	33	5	3	200	5	202	1.37e-111	317	99	200	202
"Aa_G252510.h1.t1"	"AT4G04910.1"	"AT4G04910.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G04910.1"	80.374	107	21	0	1	107	174	280	1.41e-56	185	99	108	742
"Aa_G252530.h1.t1"	"AT1G55000.1"	"AT1G55000.1"	"AT1G55000.1"	"N0.HOG0019395"	"AT1G55000.1"	"OG0012904"	"AT1G55000.1"	"AT1G55000.1"	258	221	84	100	221	86.425	392	"AT1G55000.1"	86.425	221	27	1	41	258	1	221	4.04e-140	392	84	258	221
"Aa_G252540.h1.t1"	"AT1G54990.1"	"AT1G54990.1"	"AT1G54990.1"	"N0.HOG0018044"	"AT1G54990.1"	"OG0011652"	"AT1G54990.1"	"AT1G54990.1"	458	473	100	97	459	80.169	751	"AT1G54990.1"	80.169	474	76	4	1	458	1	472	0	751	100	458	473
"Aa_G25260.h1.t1"	"AT2G36750.1"	"AT2G36750.1"	"AT2G36750.1"	"N0.HOG0001718"	"AT2G36750.1, AT2G36790.1, AT2G36800.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT3G53160.1"	"OG0000249"	"AT2G36750.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT2G36790.1, AT2G36800.1, AT3G53160.1"	"AT2G36750.1"	495	491	98	99	487	85.01	876	"AT2G36750.1"	85.01	487	73	0	6	492	2	488	0	876	98	495	491
"Aa_G252650.h1.t1"	"AT1G23070.1"	"AT1G23070.1"	"AT1G23070.1"	"N0.HOG0024738"	"AT1G23070.1"	"OG0018086"	"AT1G23070.1"	"AT1G23070.1"	400	403	96	98	385	87.879	696	"AT1G23070.1"	88.571	385	41	2	1	385	3	384	0	696	96	400	403
"Aa_G252660.h1.t1"	"AT3G42880.1"	"AT3G42880.1"	"AT3G42880.1"	"N0.HOG0004847"	"AT3G42880.1"	"OG0001425"	"AT3G42880.1, AT5G20690.1"	"AT3G42880.1"	632	633	100	100	634	87.224	1096	"AT3G42880.1"	87.224	634	78	2	1	632	1	633	0	1122	100	632	633
"Aa_G252670.h1.t1"	"AT3G42950.1"	"AT3G42950.1"	"AT3G42950.1"	"N0.HOG0022667"	"AT3G42950.1"	"OG0016090"	"AT3G42950.1"	"AT3G42950.1"	487	484	99	99	485	90.928	910	"AT3G42950.1"	90.928	485	37	2	7	487	3	484	0	910	99	487	484
"Aa_G252680.h1.t1"	"AT3G42960.1"	"AT3G42960.1"	"AT3G42960.1"	"N0.HOG0015500"	"AT3G42960.1"	"OG0009329"	"AT3G42960.1"	"AT3G42960.1"	272	272	100	100	272	88.971	461	"AT3G42960.1"	88.971	272	30	0	1	272	1	272	3.19e-166	461	100	272	272
"Aa_G25270.h1.t1"	"AT2G36750.1, AT2G36790.1, AT2G36800.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT3G53160.1"	"AT2G36800.1"	NA	"N0.HOG0001718"	"AT2G36750.1, AT2G36790.1, AT2G36800.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT3G53160.1"	"OG0000249"	"AT2G36750.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT2G36790.1, AT2G36800.1, AT3G53160.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G36800.1"	76.626	492	113	1	1	492	1	490	0	786	99	493	495
"Aa_G252700.h1.t1"	"AT3G43110.1"	"AT3G43110.1"	"AT3G43110.1"	"N0.HOG0006766"	"AT5G20790.1, AT3G43110.1"	"OG0002407"	"AT3G43110.1, AT5G20790.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G43110.1"	67.708	192	38	7	1	170	1	190	2.89e-75	223	99	172	191
"Aa_G252710.h1.t1"	"AT3G26060.2"	"AT3G26060.2"	"AT3G26060.2"	"N0.HOG0022666"	"AT3G26060.2"	"OG0016089"	"AT3G26060.2"	"AT3G26060.2"	212	217	99	99	215	87.907	347	"AT3G26060.2"	88.837	215	20	2	2	212	3	217	4.12e-131	367	99	212	217
"Aa_G252720.h1.t1"	"AT3G43120.1"	"AT3G43120.1"	"AT3G43120.1"	"N0.HOG0025466"	"AT3G43120.1"	"OG0018771"	"AT3G43120.1"	"AT3G43120.1"	159	160	100	100	160	95	308	"AT3G43120.1"	95	160	7	1	1	159	1	160	1.31e-109	308	100	159	160
"Aa_G252730.h1.t1"	"AT2G03140.12"	"AT2G03140.12"	"AT2G03140.12"	"N0.HOG0022665"	"AT2G03140.12"	"OG0016088"	"AT2G03140.12"	"AT2G03140.12"	1893	1888	99	94	1916	70.616	2585	"AT2G03140.12"	70.616	1916	381	19	9	1882	11	1786	0	2591	99	1893	1888
"Aa_G252740.h1.t1"	"AT3G43190.1"	"AT3G43190.1"	"AT3G43190.1"	"N0.HOG0007507"	"AT3G43190.1, AT5G20830.1"	"OG0002801"	"AT3G43190.1, AT5G20830.1"	"AT3G43190.1"	808	808	100	100	808	93.936	1591	"AT3G43190.1"	93.936	808	49	0	1	808	1	808	0	1591	100	808	808
"Aa_G25280.h1.t1"	"AT2G36770.1, AT2G36780.1"	"AT2G36770.1"	"AT2G36770.1, AT2G36780.1"	"N0.HOG0001718"	"AT2G36750.1, AT2G36790.1, AT2G36800.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT3G53160.1"	"OG0000249"	"AT2G36750.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT2G36790.1, AT2G36800.1, AT3G53160.1"	"AT2G36770.1"	496	496	99	99	494	84.818	884	"AT2G36770.1"	84.818	494	75	0	1	494	1	494	0	884	99	496	496
"Aa_G252860.h1.t1"	"AT3G23250.1"	"AT3G23250.1"	"AT3G23250.1"	"N0.HOG0010028"	"AT3G23250.1"	"OG0004451"	"AT3G23250.1"	"AT3G23250.1"	284	285	100	100	285	85.965	513	"AT3G23250.1"	85.965	285	39	1	1	284	1	285	0	513	100	284	285
"Aa_G25290.h1.t1"	"AT2G36790.1, AT2G36800.1"	"AT2G36800.1"	"AT2G36790.1, AT2G36800.1"	"N0.HOG0001718"	"AT2G36750.1, AT2G36790.1, AT2G36800.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT3G53160.1"	"OG0000249"	"AT2G36750.1, AT2G36760.1, AT2G36770.1, AT2G36780.1, AT2G36790.1, AT2G36800.1, AT3G53160.1"	"AT2G36800.1"	495	495	99	99	491	85.743	876	"AT2G36800.1"	85.743	491	69	1	6	495	5	495	0	876	99	495	495
"Aa_G252900.h1.t1"	"ATMG00860.1"	"ATMG00860.1"	NA	NA	NA	"OG0000015"	"ATMG00860.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G31810.1"	84.746	59	9	0	28	86	141	199	4.22e-28	117	8	696	409
"Aa_G2530.h1.t1"	"AT3G62180.2"	"AT3G62180.2"	"AT3G62180.2"	"N0.HOG0014562"	"AT3G62180.2"	"OG0008434"	"AT3G62180.2"	"AT3G62180.2"	216	247	100	87	217	86.636	378	"AT3G62180.2"	86.636	217	26	2	1	216	33	247	7.85e-135	378	100	216	247
"Aa_G25300.h1.t1"	"AT2G36810.1"	"AT2G36810.1"	"AT2G36810.1"	"N0.HOG0022201"	"AT2G36810.1"	"OG0015631"	"AT2G36810.1"	"AT2G36810.1"	1702	1716	100	100	1716	93.881	3280	"AT2G36810.1"	93.881	1716	91	2	1	1702	1	1716	0	3309	100	1702	1716
"Aa_G253020.h1.t1"	"AT4G16630.1"	"AT4G16630.1"	"AT4G16630.1"	"N0.HOG0013527"	"AT4G16630.1"	"OG0007465"	"AT4G16630.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G16630.1"	87.425	167	15	1	1	161	257	423	2.35e-94	294	60	268	789
"Aa_G253030.h1.t1"	"AT2G23340.1"	"AT2G23340.1"	"AT2G23340.1"	"N0.HOG0006724"	"AT4G36900.1, AT2G23340.1"	"OG0002387"	"AT2G23340.1, AT4G36900.1"	"AT2G23340.1"	161	176	88	90	158	81.013	231	"AT2G23340.1"	81.013	158	13	5	14	154	16	173	4.03e-79	231	88	161	176
