"Aethionema_saxatile"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"As004G085950"	743	"AT4G04910.1"	"AT4G04910.1"	"orthologue"	"AT4G04910.1"	"N0.HOG0007967"	"AT4G04910.1"	"OG0003060"	"AT4G04910.1"	"AT4G04910.1"	744	742	99	99	743	92.194	1419	"AT4G04910.1"	"92.194"	"743"	"55"	"1"	"1"	"743"	"1"	"740"	"0"	"1419"	"99"	"744"	"742"
"As004G085960"	1264	"AT4G04920.1"	"AT4G04920.1"	"orthologue"	"AT4G04920.1"	"N0.HOG0017261"	"AT4G04920.1"	"OG0010941"	"AT4G04920.1"	"AT4G04920.1"	1265	1278	99	100	1293	87.935	2264	"AT4G04920.1"	"88.253"	"1294"	"106"	"10"	"1"	"1264"	"1"	"1278"	"0"	"2264"	"99"	"1265"	"1278"
"As004G085970"	341	"AT4G04930.1"	"AT4G04930.1"	"orthologue"	"AT4G04930.1"	"N0.HOG0025066"	"AT4G04930.1"	"OG0018395"	"AT4G04930.1"	"AT4G04930.1"	342	332	99	95	318	85.337	585	"AT4G04930.1"	"85.337"	"341"	"41"	"2"	"1"	"341"	"1"	"332"	"0"	"599"	"99"	"342"	"332"
"As004G085980"	909	"AT4G04940.1"	"AT4G04940.1"	"orthologue"	"AT4G04940.1"	"N0.HOG0019914"	"AT4G04940.1"	"OG0013404"	"AT4G04940.1"	"AT4G04940.1"	910	910	99	100	912	89.364	1651	"AT4G04940.1"	"89.364"	"912"	"92"	"3"	"1"	"909"	"1"	"910"	"0"	"1665"	"99"	"910"	"910"
"As004G085990"	480	"AT4G04950.1"	"AT4G04950.1"	"orthologue"	"AT4G04950.1"	"N0.HOG0013826"	"AT4G04950.1"	"OG0007738"	"AT4G04950.1, AT4G32580.1"	"AT4G04950.1"	481	488	99	100	488	84.016	832	"AT4G04950.1"	"84.016"	"488"	"70"	"2"	"1"	"480"	"1"	"488"	"0"	"832"	"99"	"481"	"488"
"As004G086000"	506	"AT4G04955.1"	"AT4G04955.1"	"orthologue"	"AT4G04955.1"	"N0.HOG0017262"	"AT4G04955.1"	"OG0010942"	"AT4G04955.1"	"AT4G04955.1"	507	506	99	99	507	88.56	906	"AT4G04955.1"	"88.56"	"507"	"55"	"2"	"1"	"506"	"1"	"505"	"0"	"906"	"99"	"507"	"506"
"As004G086010"	240	"AT5G19940.1"	"AT5G19940.1"	"other"	NA	NA	NA	"OG0007739"	"AT5G19940.1"	"AT5G19940.1"	241	239	99	100	240	81.25	377	"AT5G19940.1"	"81.25"	"240"	"44"	"1"	"1"	"240"	"1"	"239"	"6.72e-143"	"399"	"99"	"241"	"239"
"As004G086020"	689	"AT4G04960.1"	"AT4G04960.1"	"orthologue"	"AT4G04960.1"	"N0.HOG0019915"	"AT4G04960.1"	"OG0013405"	"AT4G04960.1"	"AT4G04960.1"	690	686	97	99	677	81.388	1050	"AT4G04960.1"	"81.388"	"677"	"113"	"9"	"20"	"689"	"16"	"686"	"0"	"1070"	"97"	"690"	"686"
"As004G086030"	582	"AT4G21660.3"	"AT4G21660.3"	"other"	NA	"N0.HOG0008668"	"AT4G21660.3, AT1G11520.1"	"OG0003502"	"AT1G11520.1, AT4G21660.3"	"AT4G21660.3"	583	678	62	53	361	87.535	611	"AT4G21660.3"	"87.535"	"361"	"42"	"2"	"212"	"570"	"307"	"666"	"0"	"616"	"62"	"583"	"678"
"As004G086040"	86	"AT4G04972.1"	"AT4G04972.1"	"orthologue"	"AT4G04972.1"	"N0.HOG0023537"	"AT4G04972.1"	"OG0016925"	"AT4G04972.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G04972.1"	"44.048"	"84"	"39"	"2"	"10"	"86"	"37"	"119"	"5.68e-06"	"41.2"	"89"	"87"	"119"
"As004G086050"	842	"AT4G04980.1"	"AT4G04980.1"	"orthologue"	"AT4G04980.1"	"N0.HOG0017263"	"AT4G04980.1"	"OG0010943"	"AT4G04980.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G04980.1"	"64.018"	"906"	"236"	"25"	"1"	"842"	"1"	"880"	"0"	"985"	"99"	"843"	"880"
"As004G086060"	243	"AT4G04990.1"	"AT4G04990.1"	"orthologue"	"AT4G04990.1"	"N0.HOG0021798"	"AT4G04990.1"	"OG0015235"	"AT4G04990.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G04990.1"	"48.366"	"306"	"92"	"10"	"1"	"243"	"1"	"303"	"9.16e-75"	"228"	"99"	"244"	"303"
"As004G086070"	209	"AT4G05000.1"	"AT4G05000.1"	"orthologue"	"AT4G05000.1"	"N0.HOG0005743"	"AT4G05000.1"	"OG0001882"	"AT4G05000.1, AT4G21560.1"	"AT4G05000.1"	210	210	99	99	208	94.231	416	"AT4G05000.1"	"94.231"	"208"	"12"	"0"	"1"	"208"	"2"	"209"	"8.34e-151"	"416"	"99"	"210"	"210"
"As004G086080"	188	"AT4G05010.1"	"AT4G05010.1"	"orthologue"	"AT4G05010.1"	"N0.HOG0013830"	"AT4G05010.1"	"OG0007740"	"AT4G05010.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05010.1"	"50.521"	"192"	"63"	"4"	"1"	"188"	"1"	"164"	"2.35e-52"	"164"	"99"	"189"	"164"
"As004G086090"	580	"AT4G05020.2, AT4G21490.1"	"AT4G05020.2"	"orthologue"	"AT4G05020.2, AT4G21490.1"	NA	NA	"OG0004578"	"AT4G05020.2, AT4G21490.1"	"AT4G05020.2"	581	619	99	100	620	87.097	1074	"AT4G05020.2"	"87.097"	"620"	"39"	"3"	"1"	"580"	"1"	"619"	"0"	"1075"	"99"	"581"	"619"
"As004G086100"	79	"AT4G05030.1"	"AT4G05030.1"	"orthologue"	"AT4G05030.1"	NA	NA	"OG0004906"	"AT4G05030.1"	"AT4G05030.1"	80	110	93	67	74	75.676	114	"AT4G05030.1"	"75.676"	"74"	"18"	"0"	"4"	"77"	"37"	"110"	"9.07e-35"	"114"	"93"	"80"	"110"
"As004G086110"	89	"AT4G05070.1"	"AT4G05070.1"	"orthologue"	"AT4G05070.1"	"N0.HOG0016197"	"AT4G05070.1"	"OG0009957"	"AT4G05070.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05070.1"	"69.663"	"89"	"21"	"2"	"1"	"87"	"1"	"85"	"9.96e-30"	"100"	"97"	"90"	"87"
"As004G086120"	399	"AT4G05090.1"	"AT4G05090.1"	"orthologue"	"AT4G05090.1"	"N0.HOG0012091"	"AT4G05090.1"	"OG0006186"	"AT4G05090.1"	"AT4G05090.1"	400	397	99	96	382	77.157	612	"AT4G05090.1"	"77.157"	"394"	"89"	"1"	"1"	"394"	"1"	"393"	"0"	"612"	"99"	"400"	"397"
"As004G086130"	326	"AT4G05100.1"	"AT4G05100.1"	"orthologue"	"AT4G05100.1"	"N0.HOG0019916"	"AT4G05100.1"	"OG0013406"	"AT4G05100.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05100.1"	"66.571"	"347"	"65"	"9"	"1"	"319"	"1"	"324"	"1.48e-130"	"374"	"98"	"327"	"324"
"As004G086160"	419	"AT4G05110.2, AT4G05120.1, AT4G05140.1, AT4G05130.1"	"AT4G05120.1"	"orthologue"	"AT4G05110.2, AT4G05120.1, AT4G05140.1, AT4G05130.1"	"N0.HOG0003346"	"AT4G05110.2, AT4G05120.1, AT4G05140.1, AT4G05130.1"	"OG0000755"	"AT4G05110.2, AT4G05120.1, AT4G05130.1, AT4G05140.1"	"AT4G05120.1"	420	418	99	100	419	87.351	758	"AT4G05120.1"	"87.351"	"419"	"52"	"1"	"1"	"419"	"1"	"418"	"0"	"758"	"99"	"420"	"418"
"As004G086170"	449	"AT4G05150.1"	"AT4G05150.1"	"orthologue"	"AT4G05150.1"	"N0.HOG0014966"	"AT4G05150.1"	"OG0008810"	"AT4G05150.1"	"AT4G05150.1"	450	477	99	94	466	81.76	680	"AT4G05150.1"	"81.76"	"466"	"48"	"13"	"1"	"449"	"32"	"477"	"0"	"699"	"99"	"450"	"477"
"As004G086180"	545	"AT4G05160.1"	"AT4G05160.1"	"orthologue"	"AT4G05160.1"	"N0.HOG0013731"	"AT4G05160.1"	"OG0007647"	"AT4G05160.1"	"AT4G05160.1"	546	544	99	100	545	86.972	976	"AT4G05160.1"	"86.972"	"545"	"70"	"1"	"1"	"545"	"1"	"544"	"0"	"976"	"99"	"546"	"544"
"As004G086190"	315	"AT4G05170.1"	"AT4G05170.1"	"orthologue"	"AT4G05170.1"	"N0.HOG0023538"	"AT4G05170.1"	"OG0016926"	"AT4G05170.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05170.1"	"64.907"	"322"	"60"	"12"	"1"	"303"	"19"	"306"	"2.36e-114"	"333"	"96"	"316"	"316"
"As004G086200"	192	"AT4G21330.1"	"AT4G21330.1"	"orthologue"	"AT4G21330.1"	"N0.HOG0012023"	"AT4G21330.1"	"OG0006129"	"AT4G21330.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G21330.1"	"54.945"	"182"	"73"	"3"	"17"	"192"	"29"	"207"	"6.8e-59"	"183"	"91"	"193"	"207"
"As004G086210"	230	"AT4G05180.1"	"AT4G05180.1"	"orthologue"	"AT4G05180.1"	"N0.HOG0006237"	"AT4G05180.1"	"OG0002126"	"AT4G05180.1, AT4G21280.2"	"AT4G05180.1"	231	230	99	100	233	84.12	384	"AT4G05180.1"	"84.12"	"233"	"31"	"3"	"1"	"230"	"1"	"230"	"2.51e-137"	"384"	"99"	"231"	"230"
"As004G086220"	795	"AT4G05190.1, AT4G21270.1"	"AT4G05190.1"	"orthologue"	"AT4G05190.1, AT4G21270.1"	NA	NA	"OG0003513"	"AT4G05190.1, AT4G21270.1"	"AT4G05190.1"	796	790	99	100	796	87.312	1370	"AT4G05190.1"	"87.312"	"796"	"94"	"5"	"1"	"795"	"1"	"790"	"0"	"1391"	"99"	"796"	"790"
"As004G086230"	677	"AT4G05200.2"	"AT4G05200.2"	"orthologue"	"AT4G05200.2"	"N0.HOG0000312"	"AT4G23270.3, AT4G23280.1, AT4G23310.1, AT4G23130.2, AT3G45860.1, AT4G05200.2"	"OG0000033"	"AT3G45860.1, AT4G00960.1, AT4G00970.1, AT4G05200.2, AT4G21400.1, AT4G21410.3, AT4G23130.2, AT4G23140.2, AT4G23150.1, AT4G23180.1, AT4G23230.1, AT4G23270.3, AT4G23280.1, AT4G23310.1"	"AT4G05200.2"	678	693	99	97	678	80.088	1092	"AT4G05200.2"	"80.088"	"678"	"128"	"4"	"2"	"677"	"21"	"693"	"0"	"1108"	"99"	"678"	"693"
"As004G086240"	292	"AT4G05210.1, AT4G21220.1"	"AT4G21220.1"	"orthologue"	"AT4G05210.1, AT4G21220.1"	"N0.HOG0014967"	"AT4G05210.1, AT4G21220.1"	"OG0008811"	"AT4G05210.1, AT4G21220.1"	"AT4G21220.1"	293	304	99	99	303	70.957	423	"AT4G21220.1"	"70.957"	"303"	"76"	"2"	"1"	"291"	"1"	"303"	"1.08e-150"	"423"	"99"	"293"	"304"
"As004G086250"	227	"AT4G05220.1"	"AT4G05220.1"	"orthologue"	"AT4G05220.1"	"N0.HOG0021799"	"AT4G05220.1"	"OG0015236"	"AT4G05220.1"	"AT4G05220.1"	228	226	98	99	226	79.646	380	"AT4G05220.1"	"79.646"	"226"	"43"	"2"	"4"	"227"	"2"	"226"	"6.1e-136"	"380"	"98"	"228"	"226"
"As004G086260"	1774	"AT4G04970.1"	"AT4G04970.1"	"orthologue"	"AT4G04970.1"	"N0.HOG0019917"	"AT4G04970.1"	"OG0013407"	"AT4G04970.1"	"AT4G04970.1"	1775	1768	99	99	1771	90.457	3270	"AT4G04970.1"	"90.457"	"1771"	"164"	"3"	"4"	"1774"	"3"	"1768"	"0"	"3270"	"99"	"1775"	"1768"
"As004G086270"	179	"AT4G05230.1"	"AT4G05230.1"	"orthologue"	"AT4G05230.1"	"N0.HOG0001781"	"AT4G05240.1, AT4G05250.1, AT4G05230.1, AT4G05260.1, AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1"	"OG0000264"	"AT4G02950.1, AT4G02970.1, AT4G03350.1, AT4G03360.1, AT4G03370.1, AT4G05230.1, AT4G05240.1, AT4G05250.1, AT4G05260.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05230.1"	"57.282"	"206"	"61"	"2"	"1"	"179"	"1"	"206"	"4.01e-73"	"218"	"99"	"180"	"206"
"As004G086280"	457	"AT4G05320.2"	"AT4G05320.2"	"orthologue"	"AT4G05320.2"	"N0.HOG0001824"	"AT4G05320.2"	"OG0000271"	"AT1G65350.1, AT4G02890.3, AT4G05320.2, AT5G03240.1, AT5G20620.1, AT5G37640.1"	"AT4G05320.2"	458	457	99	100	457	100	903	"AT4G05320.2"	"100"	"457"	"0"	"0"	"1"	"457"	"1"	"457"	"0"	"903"	"99"	"458"	"457"
"As004G086290"	336	"AT4G05330.1"	"AT4G05330.1"	"orthologue"	"AT4G05330.1"	"N0.HOG0003810"	"AT4G05330.1"	"OG0000935"	"AT4G05330.1, AT4G21160.1"	"AT4G05330.1"	337	336	99	100	336	88.69	623	"AT4G05330.1"	"88.69"	"336"	"38"	"0"	"1"	"336"	"1"	"336"	"0"	"623"	"99"	"337"	"336"
"As004G086310"	382	"AT5G54990.1"	"AT5G54990.1"	"orthologue"	"AT5G54990.1"	"N0.HOG0019603"	"AT5G54990.1"	"OG0013112"	"AT5G54990.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G54990.1"	"25.728"	"206"	"134"	"6"	"172"	"372"	"24"	"215"	"1.29e-15"	"75.1"	"52"	"383"	"226"
"As004G086340"	377	"AT4G05390.1"	"AT4G05390.1"	"orthologue"	"AT4G05390.1"	"N0.HOG0023539"	"AT4G05390.1"	"OG0016927"	"AT4G05390.1"	"AT4G05390.1"	378	378	99	100	378	89.683	712	"AT4G05390.1"	"89.683"	"378"	"38"	"1"	"1"	"377"	"1"	"378"	"0"	"712"	"99"	"378"	"378"
"As004G086350"	247	"AT4G21140.1, AT4G05400.1"	"AT4G05400.1"	"orthologue"	"AT4G21140.1, AT4G05400.1"	NA	NA	"OG0002675"	"AT4G05400.1, AT4G21140.1"	"AT4G05400.1"	248	250	99	100	250	86.4	409	"AT4G05400.1"	"86.4"	"250"	"31"	"1"	"1"	"247"	"1"	"250"	"1.21e-152"	"424"	"99"	"248"	"250"
"As004G086360"	100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As004G086370"	509	"AT4G21130.1, AT4G05410.1"	"AT4G05410.1"	"orthologue"	"AT4G21130.1, AT4G05410.1"	"N0.HOG0010581"	"AT4G21130.1, AT4G05410.1"	"OG0004907"	"AT4G05410.1, AT4G21130.1"	"AT4G05410.1"	510	504	99	100	510	77.647	759	"AT4G05410.1"	"77.647"	"510"	"107"	"4"	"1"	"509"	"1"	"504"	"0"	"772"	"99"	"510"	"504"
"As004G086380"	1088	"AT4G21100.1, AT4G05420.1"	"AT4G05420.1"	"orthologue"	"AT4G21100.1, AT4G05420.1"	NA	NA	"OG0002392"	"AT4G05420.1, AT4G21100.1"	"AT4G05420.1"	1089	1088	99	100	1088	96.875	2194	"AT4G05420.1"	"96.875"	"1088"	"34"	"0"	"1"	"1088"	"1"	"1088"	"0"	"2194"	"99"	"1089"	"1088"
"As004G086390"	169	"AT4G05430.3"	"AT4G05430.3"	"orthologue"	"AT4G05430.3"	"N0.HOG0018374"	"AT4G05430.3"	"OG0011955"	"AT4G05430.3"	"AT4G05430.3"	170	168	99	99	168	78.571	261	"AT4G05430.3"	"78.571"	"168"	"35"	"1"	"1"	"168"	"1"	"167"	"1.2e-90"	"261"	"99"	"170"	"168"
"As004G086400"	334	"AT4G05440.1"	"AT4G05440.1"	"orthologue"	"AT4G05440.1"	"N0.HOG0011052"	"AT4G05440.1"	"OG0005299"	"AT4G05440.1"	"AT4G05440.1"	335	333	99	100	336	76.786	534	"AT4G05440.1"	"76.786"	"336"	"73"	"3"	"1"	"334"	"1"	"333"	"0"	"534"	"99"	"335"	"333"
"As004G086410"	197	"AT4G05450.1"	"AT4G05450.1"	"orthologue"	"AT4G05450.1"	"N0.HOG0006722"	"AT4G05450.1, AT4G21090.1"	"OG0002385"	"AT4G05450.1, AT4G21090.1"	"AT4G05450.1"	198	197	99	100	197	84.772	346	"AT4G05450.1"	"84.772"	"197"	"30"	"0"	"1"	"197"	"1"	"197"	"1.49e-123"	"346"	"99"	"198"	"197"
"As004G086420"	329	"AT4G05460.1"	"AT4G05460.1"	"orthologue"	"AT4G05460.1"	"N0.HOG0000834"	"AT4G05460.1"	"OG0000097"	"AT4G03635.1, AT4G05460.1, AT4G05470.1, AT4G05475.1, AT4G05497.1, AT5G52480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05460.1"	"65.886"	"299"	"87"	"4"	"9"	"304"	"2"	"288"	"4.68e-132"	"377"	"90"	"330"	"302"
"As004G086430"	338	"AT4G05460.1"	"AT4G05460.1"	"orthologue"	"AT4G05460.1"	"N0.HOG0000834"	"AT4G05460.1"	"OG0000097"	"AT4G03635.1, AT4G05460.1, AT4G05470.1, AT4G05475.1, AT4G05497.1, AT5G52480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05460.1"	"58.442"	"308"	"104"	"4"	"34"	"333"	"2"	"293"	"3.63e-117"	"340"	"88"	"339"	"302"
"As004G086440"	264	"AT4G05460.1"	"AT4G05460.1"	"orthologue"	"AT4G05460.1"	"N0.HOG0000834"	"AT4G05460.1"	"OG0000097"	"AT4G03635.1, AT4G05460.1, AT4G05470.1, AT4G05475.1, AT4G05497.1, AT5G52480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05460.1"	"60.4"	"250"	"94"	"2"	"1"	"250"	"11"	"255"	"3.04e-99"	"291"	"94"	"265"	"302"
"As004G086450"	268	"AT4G05460.1"	"AT4G05460.1"	"orthologue"	"AT4G05460.1"	"N0.HOG0000834"	"AT4G05460.1"	"OG0000097"	"AT4G03635.1, AT4G05460.1, AT4G05470.1, AT4G05475.1, AT4G05497.1, AT5G52480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05460.1"	"60.558"	"251"	"94"	"2"	"1"	"251"	"11"	"256"	"1.04e-99"	"293"	"93"	"269"	"302"
"As004G086470"	311	"AT4G03620.1"	"AT4G03620.1"	"orthologue"	"AT4G03620.1"	"N0.HOG0018375"	"AT4G03620.1"	"OG0011956"	"AT4G03620.1"	"AT4G03620.1"	312	342	99	91	315	74.921	456	"AT4G03620.1"	"74.921"	"315"	"70"	"4"	"1"	"311"	"33"	"342"	"6.65e-163"	"456"	"99"	"312"	"342"
"As004G086480"	319	"AT4G03610.4"	"AT4G03610.4"	"orthologue"	"AT4G03610.4"	"N0.HOG0012800"	"AT4G03610.4"	"OG0006799"	"AT4G03610.4"	"AT4G03610.4"	320	318	99	100	320	85.938	570	"AT4G03610.4"	"85.938"	"320"	"42"	"2"	"1"	"319"	"1"	"318"	"0"	"570"	"99"	"320"	"318"
"As004G086490"	111	"AT5G44300.1"	"AT5G44300.1"	"orthologue"	"AT5G44300.1"	"N0.HOG0019918"	"AT5G44300.1"	"OG0013408"	"AT5G44300.1"	"AT5G44300.1"	112	114	99	100	114	82.456	195	"AT5G44300.1"	"82.456"	"114"	"17"	"1"	"1"	"111"	"1"	"114"	"2.29e-66"	"195"	"99"	"112"	"114"
"As004G086500"	214	"AT5G44310.2"	"AT5G44310.2"	"orthologue"	"AT5G44310.2"	"N0.HOG0011054"	"AT5G44310.2"	"OG0005300"	"AT5G44310.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G44310.2"	"60"	"220"	"47"	"4"	"1"	"191"	"1"	"208"	"5.01e-75"	"229"	"89"	"215"	"331"
"As004G086520"	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As004G086530"	443	"AT5G44340.1"	"AT5G44340.1"	"orthologue"	"AT5G44340.1"	"N0.HOG0000784"	"AT5G44340.1"	"OG0000087"	"AT1G20010.1, AT1G75780.1, AT2G29550.1, AT4G20890.1, AT5G12250.1, AT5G23860.1, AT5G44340.1, AT5G62690.1, AT5G62700.1"	"AT5G44340.1"	444	444	99	99	443	99.097	922	"AT5G44340.1"	"99.097"	"443"	"4"	"0"	"1"	"443"	"1"	"443"	"0"	"922"	"99"	"444"	"444"
"As004G086540"	588	"AT1G08350.2"	"AT1G08350.2"	"orthologue"	"AT1G08350.2"	"N0.HOG0023540"	"AT1G08350.2"	"OG0016928"	"AT1G08350.2"	"AT1G08350.2"	589	589	99	100	590	79.153	947	"AT1G08350.2"	"79.153"	"590"	"120"	"3"	"1"	"588"	"1"	"589"	"0"	"960"	"99"	"589"	"589"
"As004G086550"	348	"AT5G44350.1"	"AT5G44350.1"	"orthologue"	"AT5G44350.1"	"N0.HOG0012801"	"AT5G44350.1"	"OG0006800"	"AT5G44350.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G44350.1"	"49.03"	"361"	"135"	"14"	"2"	"347"	"3"	"329"	"5.35e-73"	"229"	"99"	"349"	"334"
"As004G086560"	538	"AT5G44360.2"	"AT5G44360.2"	"orthologue"	"AT5G44360.2"	"N0.HOG0025885"	"AT5G44360.2"	"OG0019149"	"AT5G44360.2"	"AT5G44360.2"	539	548	99	94	521	77.737	801	"AT5G44360.2"	"77.737"	"539"	"112"	"5"	"1"	"538"	"17"	"548"	"0"	"819"	"99"	"539"	"548"
"As004G086570"	437	"AT5G44370.1"	"AT5G44370.1"	"orthologue"	"AT5G44370.1"	"N0.HOG0019919"	"AT5G44370.1"	"OG0013409"	"AT5G44370.1"	"AT5G44370.1"	438	432	99	100	437	93.593	809	"AT5G44370.1"	"93.593"	"437"	"23"	"1"	"1"	"437"	"1"	"432"	"0"	"810"	"99"	"438"	"432"
"As004G086580"	540	"AT5G44400.1"	"AT5G44400.1"	"orthologue"	"AT5G44400.1"	"N0.HOG0010200"	"AT5G44400.1"	"OG0004579"	"AT5G44400.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G44400.1"	"72.593"	"540"	"143"	"3"	"1"	"539"	"1"	"536"	"0"	"796"	"99"	"541"	"537"
"As004G086590"	213	"AT5G44400.1"	"AT5G44400.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G44400.1"	"64.115"	"209"	"75"	"0"	"1"	"209"	"328"	"536"	"9.4e-100"	"298"	"98"	"214"	"537"
"As004G086600"	104	"AT1G26420.1"	"AT1G26420.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G26420.1"	"53.03"	"66"	"27"	"1"	"22"	"87"	"209"	"270"	"4.27e-14"	"66.2"	"63"	"105"	"529"
"As004G086610"	260	"ATMG00860.1"	"ATMG00860.1"	"other"	NA	NA	NA	"OG0000015"	"ATMG00860.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G67020.1"	"28.205"	"78"	"52"	"1"	"81"	"158"	"107"	"180"	"0.003"	"38.5"	"30"	"261"	"659"
"As004G086620"	146	"AT5G44400.1"	"AT5G44400.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G44400.1"	"79.545"	"132"	"27"	"0"	"1"	"132"	"62"	"193"	"7.55e-75"	"231"	"90"	"147"	"537"
"As004G086630"	540	"AT5G44400.1"	"AT5G44400.1"	"orthologue"	"AT5G44400.1"	"N0.HOG0010200"	"AT5G44400.1"	"OG0004579"	"AT5G44400.1"	"AT5G44400.1"	541	537	99	99	540	75.741	838	"AT5G44400.1"	"75.741"	"540"	"126"	"3"	"1"	"539"	"1"	"536"	"0"	"838"	"99"	"541"	"537"
"As004G086640"	537	"AT5G44410.1"	"AT5G44410.1"	"orthologue"	"AT5G44410.1"	"N0.HOG0021800"	"AT5G44410.1"	"OG0015237"	"AT5G44410.1"	"AT5G44410.1"	538	535	99	95	509	75.843	815	"AT5G44410.1"	"75.843"	"534"	"123"	"5"	"8"	"537"	"4"	"535"	"0"	"819"	"99"	"538"	"535"
"As004G086650"	534	"AT5G44440.2"	"AT5G44440.2"	"orthologue"	"AT5G44440.2"	"N0.HOG0025690"	"AT5G44440.2"	"OG0018972"	"AT5G44440.2"	"AT5G44440.2"	535	603	99	86	518	75.94	809	"AT5G44440.2"	"75.94"	"532"	"127"	"1"	"1"	"531"	"71"	"602"	"0"	"841"	"99"	"535"	"603"
"As004G086670"	328	"AT5G44450.2"	"AT5G44450.2"	"orthologue"	"AT5G44450.2"	"N0.HOG0010201"	"AT5G44450.2"	"OG0004580"	"AT5G44450.2"	"AT5G44450.2"	329	281	78	93	262	80.153	408	"AT5G44450.2"	"80.916"	"262"	"42"	"4"	"1"	"255"	"1"	"261"	"3.06e-151"	"425"	"78"	"329"	"281"
"As004G086680"	192	"AT5G44460.1"	"AT5G44460.1"	"orthologue"	"AT5G44460.1"	"N0.HOG0016198"	"AT5G44460.1"	"OG0009958"	"AT5G44460.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G20780.1"	"70.256"	"195"	"42"	"2"	"4"	"192"	"6"	"190"	"2.48e-91"	"265"	"98"	"193"	"191"
"As004G086690"	704	"AT4G20740.1"	"AT4G20740.1"	"orthologue"	"AT4G20740.1"	NA	NA	"OG0008733"	"AT4G20740.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G20740.1"	"71.612"	"701"	"197"	"2"	"1"	"700"	"1"	"700"	"0"	"1046"	"99"	"705"	"727"
"As004G086700"	413	"AT5G44480.1"	"AT5G44480.1"	"orthologue"	"AT5G44480.1"	"N0.HOG0014968"	"AT5G44480.1"	"OG0008812"	"AT5G44480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G20460.1"	"83.293"	"413"	"67"	"1"	"1"	"413"	"1"	"411"	"0"	"723"	"99"	"414"	"411"
"As004G086710"	270	"AT4G20440.1"	"AT4G20440.1"	"orthologue"	"AT4G20440.1"	"N0.HOG0008476"	"AT4G20440.1"	"OG0003385"	"AT4G20440.1, AT5G44500.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G44500.1"	"92.857"	"154"	"10"	"1"	"1"	"153"	"1"	"154"	"1.07e-96"	"284"	"56"	"271"	"254"
"As004G086720"	289	"AT5G44520.2"	"AT5G44520.2"	"orthologue"	"AT5G44520.2"	"N0.HOG0017264"	"AT5G44520.2"	"OG0010944"	"AT5G44520.2"	"AT5G44520.2"	290	326	98	87	286	77.273	427	"AT5G44520.2"	"77.273"	"286"	"60"	"3"	"5"	"289"	"36"	"317"	"1.23e-155"	"437"	"98"	"290"	"326"
