"Cochlearia_excelsa"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"g12993"	"AT3G08020.1"	"AT3G08020.1"	"AT3G08020.1"	"N0.HOG0023750"	"AT3G08020.1"	"OG0017135"	"AT3G08020.1"	"AT3G08020.1"	794	779	99	100	794	83.249	1322	"AT3G08020.1"	83.879	794	112	6	1	793	1	779	0	1322	99	794	779
"g12994"	"AT3G08010.1"	"AT3G08010.1"	"AT3G08010.1"	"N0.HOG0022181"	"AT3G08010.1"	"OG0015611"	"AT3G08010.1"	"AT3G08010.1"	376	374	99	100	375	92.533	701	"AT3G08010.1"	92.533	375	27	1	1	375	1	374	0	701	99	376	374
"g12995"	"AT3G07970.1"	"AT3G07970.1"	"AT3G07970.1"	"N0.HOG0017472"	"AT3G07970.1"	"OG0011133"	"AT3G07970.1"	"AT3G07970.1"	398	439	99	90	395	84.557	710	"AT3G07970.1"	84.557	395	61	0	3	397	45	439	0	710	99	398	439
"g12996"	"AT3G07950.1"	"AT3G07950.1"	"AT3G07950.1"	"N0.HOG0014065"	"AT3G07950.1"	"OG0007955"	"AT3G07950.1"	"AT3G07950.1"	307	304	99	99	304	91.447	550	"AT3G07950.1"	91.447	304	25	1	3	306	2	304	0	550	99	307	304
"g12997"	"AT3G07940.1"	"AT3G07940.1"	"AT3G07940.1"	"N0.HOG0010690"	"AT3G07940.1"	"OG0004992"	"AT3G07940.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G07940.1"	87.692	390	38	5	1	385	1	385	0	689	99	386	385
"g12998"	"AT2G11035.1"	"AT2G11035.1"	NA	NA	NA	"OG0000069"	"AT2G11035.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"g12999"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G08730.1"	87.983	466	52	2	1	463	1	465	0	824	37	1248	465
"g13"	"AT5G66110.1"	"AT5G66110.1"	"AT5G66110.1"	"N0.HOG0023654"	"AT5G66110.1"	"OG0017042"	"AT5G66110.1"	"AT5G66110.1"	122	147	99	82	121	95.041	243	"AT5G66110.1"	95.041	121	6	0	1	121	27	147	1.45e-84	243	99	122	147
"g130"	"AT5G65760.1"	"AT5G65760.1"	"AT5G65760.1"	"N0.HOG0020100"	"AT5G65760.1"	"OG0013585"	"AT5G65760.1"	"AT5G65760.1"	494	515	94	98	467	86.785	904	"AT5G65760.1"	91.435	467	38	1	27	491	48	514	0	904	94	494	515
"g1300"	"AT5G60010.1"	"AT5G60010.1"	"AT5G60010.1"	"N0.HOG0007306"	"AT5G60010.1"	"OG0002688"	"AT3G45810.1, AT5G60010.1"	"AT5G60010.1"	861	886	99	98	865	92.832	1678	"AT5G60010.1"	92.832	865	56	3	1	860	23	886	0	1678	99	861	886
"g13000"	"AT3G08760.1"	"AT3G08760.1"	"AT3G08760.1"	"N0.HOG0016408"	"AT3G08760.1"	"OG0010160"	"AT3G08760.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G08760.1"	78.625	538	88	8	1	515	1	534	0	798	67	770	557
"g13001"	"AT3G08780.1"	"AT3G08780.1"	"AT3G08780.1"	"N0.HOG0018636"	"AT3G08780.1"	"OG0012202"	"AT3G08780.1"	"AT3G08780.1"	314	313	99	99	312	79.167	484	"AT3G08780.1"	79.487	312	63	1	1	312	1	311	8.53e-177	491	99	314	313
"g13002"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G06420.1"	40.698	172	87	5	88	247	72	240	1.3e-34	128	40	403	249
"g13004"	"AT3G08800.1"	"AT3G08800.1"	"AT3G08800.1"	"N0.HOG0024635"	"AT3G08800.1"	"OG0017984"	"AT3G08800.1"	"AT3G08800.1"	934	936	99	99	937	74.92	1411	"AT3G08800.1"	74.92	937	226	5	1	933	5	936	0	1411	99	934	936
"g13005"	"AT3G08850.1"	"AT3G08850.1"	"AT3G08850.1"	"N0.HOG0008505"	"AT3G08850.1"	"OG0003407"	"AT3G08850.1, AT5G01770.1"	"AT3G08850.1"	1365	1344	99	100	1366	93.119	2475	"AT3G08850.1"	93.119	1366	70	7	1	1364	1	1344	0	2516	99	1365	1344
"g13006"	"AT3G08890.1"	"AT3G08890.1"	NA	"N0.HOG0005008"	"AT3G08890.1"	"OG0001506"	"AT3G08890.1, AT5G01610.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G08890.1"	90	170	17	0	1	170	1	170	1.22e-111	314	99	171	170
"g13007"	"AT3G08920.1"	"AT3G08920.1"	"AT3G08920.1"	"N0.HOG0020299"	"AT3G08920.1"	"OG0013779"	"AT3G08920.1"	"AT3G08920.1"	216	214	99	100	215	80.465	338	"AT3G08920.1"	80.465	215	41	1	1	215	1	214	9.64e-120	338	99	216	214
"g13008"	"AT3G08930.1"	"AT3G08930.1"	"AT3G08930.1"	"N0.HOG0007782"	"AT3G08930.1"	"OG0002955"	"AT3G08930.1, AT5G01460.1"	"AT3G08930.1"	510	509	99	100	509	96.267	1015	"AT3G08930.1"	96.267	509	19	0	1	509	1	509	0	1015	99	510	509
"g13009"	"AT3G08940.2, AT5G01530.1"	"AT3G08940.2"	"AT3G08940.2, AT5G01530.1"	"N0.HOG0008167"	"AT3G08940.2, AT5G01530.1"	"OG0003182"	"AT3G08940.2, AT5G01530.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G08940.2"	91.727	278	20	1	14	291	13	287	0	523	95	292	287
"g1301"	"AT5G52060.1"	"AT5G52060.1"	"AT5G52060.1"	"N0.HOG0016009"	"AT5G52060.1"	"OG0009778"	"AT5G52060.1"	"AT5G52060.1"	339	342	99	100	343	79.009	478	"AT5G52060.1"	79.009	343	66	2	1	338	1	342	5.51e-171	478	99	339	342
"g13010"	"AT3G08943.1, AT3G08947.1"	"AT3G08943.1"	"AT3G08943.1, AT3G08947.1"	"N0.HOG0008142"	"AT3G08943.1, AT3G08947.1"	"OG0003168"	"AT3G08943.1, AT3G08947.1"	"AT3G08943.1"	898	871	92	96	824	89.927	1509	"AT3G08943.1"	89.927	824	83	0	72	895	48	871	0	1509	92	898	871
"g13011"	"AT3G08950.1"	"AT3G08950.1"	"AT3G08950.1"	"N0.HOG0017474"	"AT3G08950.1"	"OG0011135"	"AT3G08950.1"	"AT3G08950.1"	323	334	99	100	334	83.832	547	"AT3G08950.1"	83.832	334	42	3	1	322	1	334	0	547	99	323	334
"g13012"	"AT3G08960.1"	"AT3G08960.1"	"AT3G08960.1"	"N0.HOG0017475"	"AT3G08960.1"	"OG0011136"	"AT3G08960.1"	"AT3G08960.1"	1012	1010	99	99	1002	92.216	1877	"AT3G08960.1"	92.216	1002	78	0	1	1002	1	1002	0	1877	99	1012	1010
"g13013"	"AT3G09010.1"	"AT3G09010.1"	"AT3G09010.1"	"N0.HOG0017062"	"AT3G09010.1"	"OG0010764"	"AT3G09010.1"	"AT3G09010.1"	398	393	99	100	397	84.887	667	"AT3G09010.1"	85.894	397	52	3	1	397	1	393	0	667	99	398	393
"g13014"	"AT3G09020.1"	"AT3G09020.1"	"AT3G09020.1"	"N0.HOG0016880"	"AT3G09020.1"	"OG0010604"	"AT3G09020.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09020.1"	71.883	409	98	6	1	396	1	405	0	608	99	402	411
"g13015"	"AT3G09180.1"	"AT3G09180.1"	"AT3G09180.1"	NA	NA	"OG0007542"	"AT3G09180.1"	"AT3G09180.1"	405	402	99	100	408	86.52	721	"AT3G09180.1"	86.52	408	44	3	1	403	1	402	0	721	99	405	402
"g13016"	"AT5G35520.1"	"AT5G35520.1"	"AT5G35520.1"	"N0.HOG0021676"	"AT5G35520.1"	"OG0015113"	"AT5G35520.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G35520.1"	54.251	247	102	8	1	245	1	238	7.33e-72	219	99	246	238
"g13017"	"AT3G09040.2"	"AT3G09040.2"	"AT3G09040.2"	"N0.HOG0019741"	"AT3G09040.2"	"OG0013240"	"AT3G09040.2"	"AT3G09040.2"	1026	1053	99	97	1022	84.834	1822	"AT3G09040.2"	84.834	1022	155	0	1	1022	26	1047	0	1822	99	1026	1053
"g13018"	"AT3G09070.1"	"AT3G09070.1"	"AT3G09070.1"	"N0.HOG0018121"	"AT3G09070.1"	"OG0011718"	"AT3G09070.1"	"AT3G09070.1"	637	685	99	100	694	73.563	811	"AT3G09070.1"	73.563	696	113	20	1	636	1	685	0	811	99	637	685
"g13019"	"AT5G42905.1"	"AT5G42905.1"	NA	"N0.HOG0001403"	"AT5G42905.1"	"OG0000178"	"AT5G42905.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G42905.1"	62.275	167	63	0	1	167	83	249	7.65e-70	211	99	168	258
"g1302"	"AT5G52050.1"	"AT5G52050.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G52050.1"	63.147	502	181	3	1	501	1	499	0	611	99	503	505
"g13020"	"AT3G09085.1"	"AT3G09085.1"	"AT3G09085.1"	"N0.HOG0017063"	"AT3G09085.1"	"OG0010765"	"AT3G09085.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09085.1"	63.303	109	14	1	1	83	1	109	6.22e-44	137	92	90	112
"g13021"	"AT3G09150.2"	"AT3G09150.2"	"AT3G09150.2"	"N0.HOG0013612"	"AT3G09150.2"	"OG0007541"	"AT3G09150.2"	"AT3G09150.2"	320	329	99	99	325	83.077	545	"AT3G09150.2"	83.077	325	49	2	1	319	5	329	0	545	99	320	329
"g13022"	"AT3G11250.1, AT3G09200.1"	"AT3G11250.1"	"AT3G11250.1, AT3G09200.1"	"N0.HOG0003393"	"AT3G11250.1, AT3G09200.1"	"OG0000776"	"AT2G40010.1, AT3G09200.1, AT3G11250.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G11250.1"	89.164	323	35	0	1	323	1	323	0	543	99	324	323
"g13023"	"AT3G09220.1"	"AT3G09220.1"	"AT3G09220.1"	"N0.HOG0019529"	"AT3G09220.1"	"OG0013038"	"AT3G09220.1"	"AT3G09220.1"	474	567	96	80	456	85.965	818	"AT3G09220.1"	85.965	456	61	3	1	456	98	550	0	818	96	474	567
"g13024"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G06740.1"	25.058	431	311	5	169	597	302	722	2.91e-42	163	62	692	726
"g13025"	"AT3G09260.1"	"AT3G09260.1"	"AT3G09260.1"	"N0.HOG0002883"	"AT3G09260.1"	"OG0000581"	"AT1G66270.1, AT1G66280.1, AT3G09260.1, AT5G28510.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09260.1"	86.26	524	72	0	1	524	1	524	0	969	99	525	524
"g13028"	"AT3G09270.1"	"AT3G09270.1"	"AT3G09270.1"	"N0.HOG0019530"	"AT3G09270.1"	"OG0013039"	"AT3G09270.1"	"AT3G09270.1"	225	224	99	99	224	82.589	380	"AT3G09270.1"	82.589	224	38	1	1	224	1	223	4.23e-136	380	99	225	224
"g13029"	"AT3G09280.1"	"AT3G09280.1"	"AT3G09280.1"	"N0.HOG0015980"	"AT3G09280.1"	"OG0009756"	"AT3G09280.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09280.1"	68.571	105	27	1	4	102	8	112	5.57e-45	140	96	103	112
"g1303"	"AT5G52030.2"	"AT5G52030.2"	"AT5G52030.2"	"N0.HOG0019579"	"AT5G52030.2"	"OG0013088"	"AT5G52030.2"	"AT5G52030.2"	406	402	97	99	406	80.542	602	"AT5G52030.2"	80.59	407	62	7	11	405	1	402	0	624	97	406	402
"g13030"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G42060.1"	51.111	90	44	0	74	163	177	266	6.88e-23	103	11	786	712
"g13031"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00860.1"	30.159	126	85	2	273	396	1	125	6.15e-13	67.4	12	1040	158
"g13034"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00750.1"	42.424	33	19	0	71	103	35	67	0.000872	35.8	30	109	119
"g13036"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G39775.1"	34.483	58	37	1	8	65	116	172	0.027	35	15	377	178
"g13037"	"AT3G09300.1"	"AT3G09300.1"	"AT3G09300.1"	"N0.HOG0006686"	"AT5G02100.1, AT3G09300.1"	"OG0002370"	"AT3G09300.1, AT5G02100.1"	"AT3G09300.1"	463	458	99	100	462	92.641	892	"AT3G09300.1"	92.641	462	30	1	1	462	1	458	0	892	99	463	458
"g13038"	"AT5G02120.1"	"AT5G02120.1"	"AT5G02120.1"	"N0.HOG0009192"	"AT5G02120.1"	"OG0003836"	"AT5G02120.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G02120.1"	65.909	88	29	1	22	109	17	103	7.1e-33	112	51	174	110
"g13039"	"AT3G09350.1"	"AT3G09350.1"	"AT3G09350.1"	"N0.HOG0011970"	"AT3G09350.1"	"OG0006078"	"AT3G09350.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09350.1"	81.44	361	66	1	1	360	1	361	0	607	99	361	363
"g1304"	"AT5G52020.1"	"AT5G52020.1"	"AT5G52020.1"	"N0.HOG0013452"	"AT5G52020.1"	"OG0007400"	"AT5G52020.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G52020.1"	67.078	243	62	5	2	240	3	231	3.81e-89	263	99	242	232
"g13040"	"AT3G09360.1, AT2G01280.1"	"AT3G09360.1"	"AT3G09360.1, AT2G01280.1"	"N0.HOG0005102"	"AT3G09360.1, AT2G01280.1"	"OG0001557"	"AT2G01280.1, AT3G09360.1"	"AT3G09360.1"	607	604	99	100	610	75.738	850	"AT3G09360.1"	75.738	610	138	4	1	606	1	604	0	850	99	607	604
"g13041"	"AT3G09370.3"	"AT3G09370.3"	"AT3G09370.3"	"N0.HOG0010508"	"AT3G09370.3"	"OG0004845"	"AT3G09370.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09370.3"	67.767	515	121	10	13	501	22	517	0	668	97	504	518
"g13042"	"AT1G80930.1"	"AT1G80930.1"	NA	NA	NA	"OG0001037"	"AT1G80930.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G80930.1"	53.465	505	207	5	1	484	342	839	4.16e-180	528	95	509	900
"g13043"	"AT3G09390.1"	"AT3G09390.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09390.1"	76.364	55	12	1	29	82	27	81	7.01e-25	88.2	65	83	81
"g13044"	"AT3G09410.1"	"AT3G09410.1"	"AT3G09410.1"	"N0.HOG0007455"	"AT3G09410.1"	"OG0002769"	"AT3G09405.1, AT3G09410.1"	"AT3G09410.1"	423	427	99	100	427	86.183	743	"AT3G09410.1"	86.183	427	54	1	1	422	1	427	0	765	99	423	427
"g13045"	"AT3G09500.1"	"AT3G09500.1"	"AT3G09500.1"	"N0.HOG0002654"	"AT3G55170.1, AT3G09500.1"	"OG0000504"	"AT2G39390.1, AT3G09500.1, AT3G55170.1, AT5G02610.2"	"AT3G09500.1"	124	123	99	100	123	97.561	234	"AT3G09500.1"	97.561	123	3	0	1	123	1	123	9.79e-82	234	99	124	123
"g13046"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00860.1"	24.176	91	67	1	68	156	1	91	1.08e-06	45.8	56	160	158
"g13048"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G30230.1"	30.172	116	80	1	1	116	376	490	4.17e-07	49.3	53	217	527
"g1305"	"AT5G52010.1"	"AT5G52010.1"	"AT5G52010.1"	"N0.HOG0020193"	"AT5G52010.1"	"OG0013678"	"AT5G52010.1"	"AT5G52010.1"	398	396	95	97	387	81.137	611	"AT5G52010.1"	82.171	387	58	4	1	380	1	383	0	643	95	398	396
"g13050"	"AT3G09520.1"	"AT3G09520.1"	"AT3G09520.1"	"N0.HOG0013618"	"AT3G09520.1"	"OG0007544"	"AT3G09520.1"	"AT3G09520.1"	635	628	96	99	616	76.387	928	"AT3G09520.1"	77.11	616	128	6	1	612	2	608	0	928	96	635	628
"g13051"	"AT3G09530.1"	"AT3G09530.1"	"AT3G09530.1"	"N0.HOG0025250"	"AT3G09530.1"	"OG0018574"	"AT3G09530.1"	"AT3G09530.1"	638	637	99	100	639	74.335	957	"AT3G09530.1"	74.335	639	160	3	1	637	1	637	0	960	99	638	637
"g13052"	"AT1G01670.1"	"AT1G01670.1"	NA	NA	NA	"OG0005048"	"AT1G01670.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G01670.1"	60.484	372	124	6	49	405	1	364	9.11e-141	405	88	407	365
"g13053"	"AT3G09540.1"	"AT3G09540.1"	"AT3G09540.1"	"N0.HOG0018124"	"AT3G09540.1"	"OG0011721"	"AT3G09540.1"	"AT3G09540.1"	363	378	99	99	375	81.167	618	"AT3G09540.1"	81.167	377	51	4	1	361	1	373	0	618	99	363	378
"g13054"	"AT3G09560.1"	"AT3G09560.1"	"AT3G09560.1"	"N0.HOG0013619"	"AT3G09560.1"	"OG0007545"	"AT3G09560.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09560.1"	68.398	905	122	13	1	742	1	904	0	1154	99	743	904
"g13055"	"AT3G53500.2"	"AT3G53500.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G53500.2"	55.882	238	91	4	60	290	36	266	3.77e-72	224	73	317	284
"g13057"	"AT3G09590.1"	"AT3G09590.1"	"AT3G09590.1"	"N0.HOG0008143"	"AT3G09590.1, AT5G02730.1"	"OG0003169"	"AT3G09590.1, AT5G02730.1"	"AT3G09590.1"	193	186	97	100	187	74.866	286	"AT3G09590.1"	74.866	187	46	1	1	187	1	186	4.58e-100	286	97	193	186
"g13058"	"AT3G09670.1"	"AT3G09670.1"	"AT3G09670.1"	"N0.HOG0015981"	"AT3G09670.1"	"OG0009757"	"AT3G09670.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09670.1"	62.366	744	206	14	432	1120	1	725	0	837	61	1122	726
"g13059"	"AT3G09690.1"	"AT3G09690.1"	"AT3G09690.1"	"N0.HOG0021430"	"AT3G09690.1"	"OG0014869"	"AT3G09690.1"	"AT3G09690.1"	506	527	93	88	471	86.837	808	"AT3G09690.1"	86.837	471	54	4	1	471	1	463	0	808	93	506	527
"g1306"	"AT5G51970.1"	"AT5G51970.1"	"AT5G51970.1"	"N0.HOG0021472"	"AT5G51970.1"	"OG0014911"	"AT5G51970.1"	"AT5G51970.1"	388	364	92	99	359	93.036	691	"AT5G51970.1"	93.036	359	23	1	1	357	1	359	0	691	92	388	364
"g13060"	"AT3G09735.1"	"AT3G09735.1"	"AT3G09735.1"	"N0.HOG0024444"	"AT3G09735.1"	"OG0017797"	"AT3G09735.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G37120.1"	78.462	65	14	0	9	73	12	76	8.39e-20	74.7	88	74	76
"g13061"	"AT3G09740.1"	"AT3G09740.1"	"AT3G09740.1"	"N0.HOG0013620"	"AT3G09740.1"	"OG0007546"	"AT3G09740.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09740.1"	96.241	266	9	1	1	265	1	266	0	521	99	266	266
"g13062"	"AT3G09840.1"	"AT3G09840.1"	"AT3G09840.1"	"N0.HOG0002945"	"AT3G09840.1"	"OG0000602"	"AT3G09840.1, AT3G53230.1, AT5G03340.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09840.1"	98.03	812	12	3	1	811	1	809	0	1621	99	812	809
"g13063"	"AT3G09880.1"	"AT3G09880.1"	"AT3G09880.1"	"N0.HOG0005292"	"AT5G03470.1, AT3G09880.1"	"OG0001654"	"AT3G09880.1, AT5G03470.1"	"AT3G09880.1"	482	499	99	98	493	86.207	832	"AT3G09880.1"	86.207	493	49	4	4	481	11	499	0	832	99	482	499
"g13064"	"AT3G09890.1"	"AT3G09890.1"	"AT3G09890.1"	"N0.HOG0018126"	"AT3G09890.1"	"OG0011723"	"AT3G09890.1"	"AT3G09890.1"	207	206	99	99	205	86.829	344	"AT3G09890.1"	86.829	205	27	0	1	205	1	205	2.31e-122	344	99	207	206
"g13065"	"AT3G09930.1"	"AT3G09930.1"	"AT3G09930.1"	"N0.HOG0024284"	"AT3G09930.1"	"OG0017652"	"AT3G09930.1"	"AT3G09930.1"	339	354	96	94	336	72.917	503	"AT3G09930.1"	72.917	336	80	5	12	338	21	354	1.44e-180	503	96	339	354
"g13066"	"AT3G09980.1"	"AT3G09980.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G09980.1"	86.517	178	24	0	1	178	1	178	2.35e-96	276	98	181	178
"g13067"	"AT3G10010.1"	"AT3G10010.1"	"AT3G10010.1"	"N0.HOG0019534"	"AT3G10010.1"	"OG0013043"	"AT3G10010.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G10010.1"	76.766	538	100	5	797	1314	787	1319	0	860	39	1326	1332
"g13068"	"AT3G10040.1"	"AT3G10040.1"	"AT3G10040.1"	"N0.HOG0012638"	"AT3G10040.1"	"OG0006653"	"AT3G10040.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G10040.1"	70.227	440	94	16	1	417	6	431	9.85e-174	492	99	418	431
"g13069"	"AT3G10080.2"	"AT3G10080.2"	"AT3G10080.2"	"N0.HOG0019536"	"AT3G10080.2"	"OG0013045"	"AT3G10080.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G10080.2"	73.77	122	19	2	37	146	178	298	3.21e-54	172	75	147	298
"g1307"	"AT5G51960.1"	"AT5G51960.1"	"AT5G51960.1"	"N0.HOG0009698"	"AT5G51960.1"	"OG0004188"	"AT5G51960.1"	"AT5G51960.1"	111	103	99	100	110	84.545	180	"AT5G51960.1"	84.545	110	10	3	1	110	1	103	1.64e-60	180	99	111	103
"g13070"	"AT3G10120.1"	"AT3G10120.1"	"AT3G10120.1"	"N0.HOG0013624"	"AT3G10120.1"	"OG0007550"	"AT3G10120.1"	"AT3G10120.1"	173	173	99	97	177	72.881	213	"AT3G10120.1"	72.881	177	33	5	1	172	7	173	5.82e-81	237	99	173	173
"g13071"	"AT3G10160.1"	"AT3G10160.1"	NA	"N0.HOG0017065"	"AT3G10160.1"	"OG0010767"	"AT3G10160.1"	"AT3G10160.1"	1147	625	54	100	625	86.24	1098	"AT3G10160.1"	86.24	625	81	2	527	1146	1	625	0	1098	54	1147	625
"g13072"	"AT5G04090.6"	"AT5G04090.6"	"AT5G04090.6"	"N0.HOG0007231"	"AT5G04090.6"	"OG0002646"	"AT3G10250.1, AT5G04090.6"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G10250.1"	69.355	310	74	4	1	291	1	308	4.57e-153	430	99	292	324
"g13073"	"AT3G10260.3"	"AT3G10260.3"	"AT3G10260.3"	"N0.HOG0014775"	"AT3G10260.3"	"OG0008628"	"AT3G10260.3"	"AT3G10260.3"	247	267	99	93	247	89.474	464	"AT3G10260.3"	89.474	247	25	1	1	246	21	267	4.34e-168	464	99	247	267
"g13074"	"AT3G10270.2"	"AT3G10270.2"	"AT3G10270.2"	"N0.HOG0005954"	"AT3G10270.2"	"OG0001987"	"AT3G10270.2, AT5G04130.1"	"AT3G10270.2"	733	740	99	99	734	93.733	1322	"AT3G10270.2"	93.733	734	40	3	1	732	11	740	0	1346	99	733	740
"g13075"	"AT5G04160.1, AT3G10290.1"	"AT3G10290.1"	NA	"N0.HOG0006210"	"AT5G04160.1, AT3G10290.1"	"OG0002111"	"AT3G10290.1, AT5G04160.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G10290.1"	95.666	323	13	1	3	325	34	355	0	625	99	326	355
"g13076"	"AT3G10300.6"	"AT3G10300.6"	"AT3G10300.6"	NA	NA	"OG0001858"	"AT3G10300.6, AT5G04170.1"	"AT3G10300.6"	320	377	89	80	315	72.188	408	"AT3G10300.6"	72.188	320	35	9	1	285	1	301	3.31e-143	408	89	320	377
"g13077"	"AT1G27880.1"	"AT1G27880.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G27880.1"	44.689	273	86	9	1	215	1	266	2.03e-45	163	75	288	911
"g13078"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G53500.2"	33.333	51	31	2	114	163	66	114	0.052	33.5	24	212	284
"g13080"	"AT3G10300.6"	"AT3G10300.6"	"AT3G10300.6"	NA	NA	"OG0001858"	"AT3G10300.6, AT5G04170.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G10300.6"	72.277	303	34	9	1	255	1	301	2.47e-136	390	88	290	377
"g13081"	"AT3G10310.2"	"AT3G10310.2"	"AT3G10310.2"	"N0.HOG0018129"	"AT3G10310.2"	"OG0011726"	"AT3G10310.2"	"AT3G10310.2"	970	969	99	99	974	80.39	1539	"AT3G10310.2"	80.39	974	170	11	8	969	5	969	0	1539	99	970	969
"g13082"	"AT3G10320.1"	"AT3G10320.1"	"AT3G10320.1"	"N0.HOG0021440"	"AT3G10320.1"	"OG0014879"	"AT3G10320.1"	"AT3G10320.1"	494	494	99	99	489	82.209	832	"AT3G10320.1"	82.209	489	86	1	4	491	3	491	0	832	99	494	494
"g13083"	"AT3G10370.1"	"AT3G10370.1"	"AT3G10370.1"	"N0.HOG0009430"	"AT3G10370.1"	"OG0003999"	"AT3G10370.1"	"AT3G10370.1"	629	629	99	100	629	93.482	1188	"AT3G10370.1"	93.482	629	40	1	1	628	1	629	0	1188	99	629	629
"g13084"	"AT3G10380.1"	"AT3G10380.1"	"AT3G10380.1"	"N0.HOG0011971"	"AT3G10380.1"	"OG0006079"	"AT3G10380.1"	"AT3G10380.1"	1058	1053	99	100	1057	92.526	1902	"AT3G10380.1"	92.81	1057	72	3	1	1057	1	1053	0	1917	99	1058	1053
"g13085"	"AT3G10390.3"	"AT3G10390.3"	"AT3G10390.3"	"N0.HOG0023369"	"AT3G10390.3"	"OG0016760"	"AT3G10390.3"	"AT3G10390.3"	919	936	99	99	934	85.332	1556	"AT3G10390.3"	85.332	934	108	11	1	914	1	925	0	1556	99	919	936
"g13086"	"AT3G10400.1"	"AT3G10400.1"	"AT3G10400.1"	"N0.HOG0021442"	"AT3G10400.1"	"OG0014881"	"AT3G10400.1"	"AT3G10400.1"	272	261	96	97	258	73.783	300	"AT3G10400.1"	73.783	267	58	5	7	268	2	261	3.15e-103	300	96	272	261
"g13087"	"AT3G10405.1"	"AT3G10405.1"	"AT3G10405.1"	"N0.HOG0019540"	"AT3G10405.1"	"OG0013049"	"AT3G10405.1"	"AT3G10405.1"	224	212	92	99	211	80.095	299	"AT3G10405.1"	80.095	211	37	3	1	207	1	210	5.18e-104	299	92	224	212
