"Odontarrhena_muralis"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Om001G008570"	"AT4G22080.1, AT4G22090.1"	"AT4G22080.1"	"AT4G22080.1, AT4G22090.1"	"N0.HOG0013734"	"AT4G22080.1, AT4G22090.1"	"OG0007650"	"AT4G22080.1, AT4G22090.1"	"AT4G22080.1"	395	394	99	100	394	88.325	729	"AT4G22080.1"	88.325	394	46	0	1	394	1	394	0	729	99	395	394
"Om001G008580"	"AT4G22100.1"	"AT4G22100.1"	"AT4G22100.1"	"N0.HOG0002525"	"AT1G60090.1, AT1G60270.1, AT1G60260.1, AT5G16580.1, AT4G22100.1"	"OG0000460"	"AT1G45191.1, AT1G60090.1, AT1G60260.1, AT1G60270.1, AT4G22100.1, AT5G16580.1"	"AT4G22100.1"	507	507	98	100	501	83.17	878	"AT4G22100.1"	83.433	501	75	3	1	496	1	498	0	878	98	507	507
"Om001G008590"	"AT3G46500.5"	"AT3G46500.5"	"AT3G46500.5"	"N0.HOG0002646"	"AT3G46500.5, AT3G46480.1"	"OG0000501"	"AT1G35190.1, AT3G46480.1, AT3G46490.1, AT3G46500.5"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G46500.5"	73.78	328	77	3	1	325	1	322	0	513	99	326	325
"Om001G008600"	"AT2G23830.1"	"AT2G23830.1"	"AT2G23830.1"	"N0.HOG0030047"	"AT2G23830.1"	"OG0022957"	"AT2G23830.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23830.1"	69.531	128	35	2	1	126	24	149	3.49e-57	174	96	131	149
"Om001G008610"	"AT4G22120.1"	"AT4G22120.1"	"AT4G22120.1"	"N0.HOG0005984"	"AT4G22120.1"	"OG0002003"	"AT4G04340.1, AT4G22120.1"	"AT4G22120.1"	772	771	99	100	771	93.385	1464	"AT4G22120.1"	93.385	771	51	0	1	771	1	771	0	1464	99	772	771
"Om001G008620"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G24100.4"	30.702	114	68	3	2	104	183	296	5.7e-08	48.9	91	113	725
"Om001G008630"	"AT4G22130.1"	"AT4G22130.1"	"AT4G22130.1"	"N0.HOG0013735"	"AT4G22130.1"	"OG0007651"	"AT4G22130.1"	"AT4G22130.1"	701	703	99	99	700	90.286	1268	"AT4G22130.1"	90.286	700	64	3	2	700	7	703	0	1268	99	701	703
"Om001G008640"	"AT4G22140.1"	"AT4G22140.1"	"AT4G22140.1"	"N0.HOG0005523"	"AT4G22140.1"	"OG0001764"	"AT4G04260.2, AT4G22140.1"	"AT4G22140.1"	224	234	96	93	217	97.696	442	"AT4G22140.1"	97.696	217	4	1	1	216	1	217	1.42e-160	442	96	224	234
"Om001G008650"	"AT4G22150.1"	"AT4G22150.1"	"AT4G22150.1"	"N0.HOG0018236"	"AT4G22150.1"	"OG0011831"	"AT4G22150.1"	"AT4G22150.1"	298	302	99	99	302	87.086	491	"AT4G22150.1"	87.086	302	32	3	1	296	1	301	3.35e-177	491	99	298	302
"Om001G008660"	"AT4G22160.2"	"AT4G22160.2"	"AT4G22160.2"	"N0.HOG0024302"	"AT4G22160.2"	"OG0017669"	"AT4G22160.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22160.2"	67.262	168	41	4	1	159	1	163	1.18e-56	174	99	160	163
"Om001G008700"	"AT4G14165.1"	"AT4G14165.1"	"AT4G14165.1"	"N0.HOG0001560"	"AT4G14165.1, AT4G22180.1"	"OG0000216"	"AT4G14165.1, AT4G22035.1, AT4G22060.1, AT4G22165.1, AT4G22170.1, AT4G22180.1, AT4G22660.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22180.1"	53.333	405	169	11	6	402	5	397	4.16e-130	380	97	409	402
"Om001G008720"	"AT4G22180.1"	"AT4G22180.1"	"AT4G22180.1"	"N0.HOG0001560"	"AT4G14165.1, AT4G22180.1"	"OG0000216"	"AT4G14165.1, AT4G22035.1, AT4G22060.1, AT4G22165.1, AT4G22170.1, AT4G22180.1, AT4G22660.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22660.1"	57.037	405	150	11	1	391	1	395	5.92e-147	422	99	394	396
"Om001G008740"	"AT4G22190.1"	"AT4G22190.1"	"AT4G22190.1"	"N0.HOG0018237"	"AT4G22190.1"	"OG0011832"	"AT4G22190.1"	"AT4G22190.1"	336	387	99	88	347	76.081	434	"AT4G22190.1"	78.963	347	53	7	1	335	49	387	1.19e-157	446	99	336	387
"Om001G008760"	"AT4G22200.1"	"AT4G22200.1"	"AT4G22200.1"	"N0.HOG0019709"	"AT4G22200.1"	"OG0013211"	"AT4G22200.1"	"AT4G22200.1"	792	802	99	99	801	86.267	1423	"AT4G22200.1"	86.267	801	99	4	1	791	1	800	0	1423	99	792	802
"Om001G008770"	"AT4G22220.1"	"AT4G22220.1"	"AT4G22220.1"	"N0.HOG0004252"	"AT4G22220.1"	"OG0001138"	"AT3G01020.1, AT4G04080.1, AT4G22220.1"	"AT4G22220.1"	169	167	99	94	157	92.216	311	"AT4G22220.1"	92.216	167	13	0	2	168	1	167	1.33e-115	324	99	169	167
"Om001G008780"	"AT4G22240.1"	"AT4G22240.1"	"AT4G22240.1"	"N0.HOG0004973"	"AT4G22240.1"	"OG0001489"	"AT4G04020.1, AT4G22240.1"	"AT4G22240.1"	318	310	99	100	318	82.39	509	"AT4G22240.1"	82.39	318	47	2	1	317	1	310	0	509	99	318	310
"Om001G008790"	"AT4G22250.1"	"AT4G22250.1"	"AT4G22250.1"	"N0.HOG0013736"	"AT4G22250.1"	"OG0007652"	"AT4G22250.1"	"AT4G22250.1"	211	214	93	90	200	80	305	"AT4G22250.1"	80	200	28	5	15	210	23	214	7.75e-107	305	93	211	214
"Om001G008800"	"AT4G22260.1"	"AT4G22260.1"	"AT4G22260.1"	"N0.HOG0018238"	"AT4G22260.1"	"OG0011833"	"AT4G22260.1"	"AT4G22260.1"	342	351	99	97	343	80.758	541	"AT4G22260.1"	80.758	343	59	4	1	339	1	340	0	551	99	342	351
"Om001G008810"	"AT4G22270.1"	"AT4G22270.1"	"AT4G22270.1"	"N0.HOG0011491"	"AT4G22270.1"	"OG0005674"	"AT4G22270.1"	"AT4G22270.1"	446	437	99	99	441	87.075	733	"AT4G22270.1"	87.075	441	50	2	5	445	4	437	0	734	99	446	437
"Om001G008820"	"AT4G05530.1"	"AT4G05530.1"	"AT4G05530.1"	NA	NA	"OG0006183"	"AT4G05530.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G05530.1"	87.402	254	32	0	1	254	1	254	2.58e-164	454	99	255	254
"Om001G008860"	"AT4G22290.1"	"AT4G22290.1"	"AT4G22290.1"	"N0.HOG0007253"	"AT4G22290.1"	"OG0002659"	"AT4G22290.1"	"AT4G22290.1"	447	445	99	100	446	91.704	785	"AT4G22290.1"	91.704	446	36	1	1	446	1	445	0	791	99	447	445
"Om001G008870"	"AT4G22300.1"	"AT4G22300.1"	"AT4G22300.1"	"N0.HOG0006475"	"AT4G22300.1"	"OG0002257"	"AT4G22300.1, AT4G22305.1"	"AT4G22300.1"	267	262	97	98	258	83.721	439	"AT4G22300.1"	83.721	258	40	2	1	258	1	256	8.15e-158	439	97	267	262
"Om001G008880"	"AT4G22305.1"	"AT4G22305.1"	"AT4G22305.1"	"N0.HOG0006474"	"AT4G22305.1"	"OG0002257"	"AT4G22300.1, AT4G22305.1"	"AT4G22305.1"	231	228	99	100	228	84.211	406	"AT4G22305.1"	84.211	228	36	0	1	228	1	228	3.43e-146	406	99	231	228
"Om001G008890"	"AT4G22305.1"	"AT4G22305.1"	NA	"N0.HOG0006474"	"AT4G22305.1"	"OG0002257"	"AT4G22300.1, AT4G22305.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22305.1"	86.667	210	28	0	1	210	1	210	7.36e-135	377	99	211	228
"Om001G008900"	"AT4G22310.1"	"AT4G22310.1"	"AT4G22310.1"	"N0.HOG0003398"	"AT4G22310.1"	"OG0000779"	"AT4G05590.2, AT4G14695.1, AT4G22310.1"	"AT4G22310.1"	109	108	99	100	108	93.519	213	"AT4G22310.1"	93.519	108	7	0	1	108	1	108	1.21e-73	213	99	109	108
"Om001G008910"	"AT4G22320.1"	"AT4G22320.1"	"AT4G22320.1"	"N0.HOG0013737"	"AT4G22320.1"	"OG0007653"	"AT4G22320.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22320.1"	66.142	254	53	5	1	237	1	238	8.07e-89	262	99	238	238
"Om001G008930"	"AT4G22330.1"	"AT4G22330.1"	"AT4G22330.1"	"N0.HOG0011022"	"AT4G22330.1"	"OG0005270"	"AT4G22330.1"	"AT4G22330.1"	256	255	99	100	255	98.824	529	"AT4G22330.1"	98.824	255	3	0	1	255	1	255	0	529	99	256	255
"Om001G008940"	"AT4G22340.3"	"AT4G22340.3"	"AT4G22340.3"	"N0.HOG0023443"	"AT4G22340.3"	"OG0016834"	"AT4G22340.3"	"AT4G22340.3"	425	447	99	95	424	94.104	827	"AT4G22340.3"	94.104	424	24	1	1	424	25	447	0	827	99	425	447
"Om001G008950"	"AT1G27480.1"	"AT1G27480.1"	"AT1G27480.1"	"N0.HOG0023810"	"AT1G27480.1"	"OG0017195"	"AT1G27480.1"	"AT1G27480.1"	428	432	99	99	432	80.324	722	"AT1G27480.1"	80.324	432	78	2	1	427	1	430	0	722	99	428	432
"Om001G008960"	"AT4G16960.1, AT4G16940.2, AT4G16900.1, AT4G16857.2, AT4G16957.1, AT4G16950.1, AT4G16860.1, AT4G16920.2, AT4G16890.1, AT5G51630.1, AT5G17970.1"	"AT5G51630.1"	NA	"N0.HOG0000659"	"AT4G16960.1, AT4G16940.2, AT4G16900.1, AT4G16857.2, AT4G16957.1, AT4G16950.1, AT4G16860.1, AT4G16920.2, AT4G16890.1, AT5G51630.1, AT5G17970.1"	"OG0000073"	"AT1G31540.2, AT4G08450.1, AT4G16857.2, AT4G16860.1, AT4G16890.1, AT4G16900.1, AT4G16920.2, AT4G16940.2, AT4G16950.1, AT4G16957.1, AT4G16960.1, AT5G17970.1, AT5G22690.2, AT5G40060.1, AT5G46260.1, AT5G46270.4, AT5G46450.1, AT5G46470.1, AT5G46490.2, AT5G46510.1, AT5G46520.2, AT5G51630.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G51630.1"	58.333	744	265	7	5	706	9	749	0	805	68	1025	1229
"Om001G008970"	"AT3G28510.1, AT3G28520.1, AT3G28540.1"	"AT3G28540.1"	NA	NA	NA	"OG0000772"	"AT3G28510.1, AT3G28520.1, AT3G28540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G28540.1"	74.242	462	103	4	1	453	1	455	0	671	94	481	510
"Om001G008990"	"AT3G28510.1, AT3G28520.1, AT3G28540.1"	"AT3G28510.1"	NA	NA	NA	"OG0000772"	"AT3G28510.1, AT3G28520.1, AT3G28540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G28510.1"	69.379	467	138	2	1	464	1	465	0	659	94	495	530
"Om001G009000"	"AT4G22285.1, AT4G22350.2"	"AT4G22285.1"	"AT4G22285.1, AT4G22350.2"	"N0.HOG0008994"	"AT4G22285.1, AT4G22350.2"	"OG0003714"	"AT4G22285.1, AT4G22350.2, AT4G22410.1"	"AT4G22285.1"	541	541	99	99	542	90.59	950	"AT4G22285.1"	90.59	542	47	3	1	540	1	540	0	956	99	541	541
"Om001G009010"	"AT4G22360.1"	"AT4G22360.1"	"AT4G22360.1"	"N0.HOG0010555"	"AT4G22360.1"	"OG0004888"	"AT4G22360.1"	"AT4G22360.1"	372	385	99	100	390	77.436	545	"AT4G22360.1"	77.436	390	64	6	1	371	1	385	0	545	99	372	385
"Om001G009020"	"AT4G22370.2"	"AT4G22370.2"	"AT4G22370.2"	NA	NA	"OG0013213"	"AT4G22370.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22370.2"	59.875	319	103	5	1	314	1	299	4.47e-106	311	99	315	299
"Om001G009030"	"AT4G12600.2"	"AT4G12600.2"	NA	"N0.HOG0003612"	"AT4G12600.2"	"OG0000852"	"AT4G12600.2, AT4G22380.1, AT5G20160.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G20160.2"	75.625	160	7	1	1	128	1	160	9.08e-79	229	99	129	160
"Om001G009040"	"AT4G12590.1"	"AT4G12590.1"	NA	NA	NA	"OG0002536"	"AT4G12590.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G12590.1"	93.902	246	15	0	1	246	1	246	3.68e-173	476	99	247	246
"Om001G009060"	"AT4G12560.1"	"AT4G12560.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G12560.1"	71.913	413	109	2	1	406	1	413	0	610	99	407	413
"Om001G009080"	"AT4G22460.1"	"AT4G22460.1"	"AT4G22460.1"	"N0.HOG0006723"	"AT4G22460.1"	"OG0002386"	"AT4G22460.1"	"AT4G22460.1"	143	133	99	100	142	70.423	144	"AT4G22460.1"	75.352	142	26	2	1	142	1	133	6.58e-55	168	99	143	133
"Om001G009110"	"AT4G22490.1"	"AT4G22490.1"	"AT4G22490.1"	"N0.HOG0018239"	"AT4G22490.1"	"OG0011834"	"AT4G22490.1"	"AT4G22490.1"	134	120	77	99	103	75.61	162	"AT4G22490.1"	76.699	103	21	1	21	123	20	119	8.96e-53	162	77	134	120
"Om001G009130"	"AT4G22517.1, AT4G22513.1, AT4G22610.1, AT4G22520.1"	"AT4G22520.1"	"AT4G22517.1, AT4G22513.1, AT4G22610.1, AT4G22520.1"	"N0.HOG0005254"	"AT4G22517.1, AT4G22513.1, AT4G22610.1, AT4G22520.1"	"OG0001633"	"AT4G22513.1, AT4G22517.1, AT4G22520.1, AT4G22610.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22520.1"	45.968	124	58	4	1	121	1	118	5.87e-26	93.6	99	122	118
"Om001G009140"	"AT4G22517.1, AT4G22513.1, AT4G22610.1, AT4G22520.1"	"AT4G22520.1"	"AT4G22517.1, AT4G22513.1, AT4G22610.1, AT4G22520.1"	"N0.HOG0005254"	"AT4G22517.1, AT4G22513.1, AT4G22610.1, AT4G22520.1"	"OG0001633"	"AT4G22513.1, AT4G22517.1, AT4G22520.1, AT4G22610.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22520.1"	46.341	123	58	3	1	120	1	118	6.79e-28	98.6	99	121	118
"Om001G009150"	"AT4G22530.1"	"AT4G22530.1"	"AT4G22530.1"	"N0.HOG0021591"	"AT4G22530.1"	"OG0015028"	"AT4G22530.1"	"AT4G22530.1"	264	261	99	99	261	85.441	470	"AT4G22530.1"	85.441	261	37	1	1	261	1	260	1.92e-170	470	99	264	261
"Om001G009160"	"AT4G22540.1"	"AT4G22540.1"	"AT4G22540.1"	"N0.HOG0013738"	"AT4G22540.1"	"OG0007654"	"AT4G22540.1"	"AT4G22540.1"	734	721	99	100	737	88.195	1333	"AT4G22540.1"	88.195	737	67	4	1	733	1	721	0	1333	99	734	721
"Om001G009170"	"AT4G22550.1"	"AT4G22550.1"	"AT4G22550.1"	"N0.HOG0021790"	"AT4G22550.1"	"OG0015227"	"AT4G22550.1"	"AT4G22550.1"	213	213	99	100	213	83.099	271	"AT4G22550.1"	83.099	213	35	1	1	212	1	213	1.03e-107	308	99	213	213
"Om001G009180"	"AT5G28630.1"	"AT5G28630.1"	"AT5G28630.1"	"N0.HOG0009497"	"AT5G28610.1, AT5G28630.1"	"OG0004042"	"AT5G28610.1, AT5G28630.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G28610.1"	61.765	136	42	4	1	131	1	131	1.35e-21	83.2	99	132	131
"Om001G009190"	"AT4G22560.1"	"AT4G22560.1"	"AT4G22560.1"	"N0.HOG0024301"	"AT4G22560.1"	"OG0017668"	"AT4G22560.1"	"AT4G22560.1"	258	264	99	100	270	82.222	405	"AT4G22560.1"	82.222	270	29	6	1	257	1	264	1.73e-152	425	99	258	264
"Om001G009200"	"AT4G22570.1, AT4G12440.2"	"AT4G22570.1"	"AT4G22570.1, AT4G12440.2"	"N0.HOG0010163"	"AT4G22570.1, AT4G12440.2"	"OG0004551"	"AT4G12440.2, AT4G22570.1"	"AT4G22570.1"	189	183	99	100	188	94.681	349	"AT4G22570.1"	94.681	188	5	2	1	188	1	183	6.26e-125	349	99	189	183
"Om001G009210"	"AT1G10000.1"	"AT1G10000.1"	"AT1G10000.1"	"N0.HOG0000044"	"AT1G10000.1"	"OG0000005"	"AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G10000.1"	41.7	247	137	3	3	245	44	287	2.43e-55	179	96	252	303
"Om001G009220"	"AT4G22580.1"	"AT4G22580.1"	"AT4G22580.1"	"N0.HOG0024478"	"AT4G22580.1"	"OG0017829"	"AT4G22580.1"	"AT4G22580.1"	447	435	99	94	421	86.83	757	"AT4G22580.1"	86.83	448	40	4	1	442	1	435	0	777	99	447	435
"Om001G009230"	"AT4G22600.1"	"AT4G22600.1"	"AT4G22600.1"	"N0.HOG0014891"	"AT4G22600.1"	"OG0008738"	"AT4G22600.1"	"AT4G22600.1"	270	273	99	99	271	78.967	374	"AT4G22600.1"	79.336	271	52	3	1	267	1	271	6.46e-144	404	99	270	273
"Om001G009240"	"AT4G22590.1"	"AT4G22590.1"	"AT4G22590.1"	"N0.HOG0007255"	"AT4G12430.1, AT4G22590.1"	"OG0002660"	"AT4G12430.1, AT4G22590.1"	"AT4G22590.1"	376	377	99	99	375	90.933	712	"AT4G22590.1"	90.933	375	33	1	1	374	1	375	0	712	99	376	377
"Om001G009250"	"AT4G22620.1"	"AT4G22620.1"	"AT4G22620.1"	"N0.HOG0013739"	"AT4G22620.1"	"OG0007655"	"AT4G22620.1"	"AT4G22620.1"	157	160	99	100	160	88.75	278	"AT4G22620.1"	88.75	160	14	2	1	156	1	160	1.25e-97	278	99	157	160
"Om001G009260"	"AT4G22650.1"	"AT4G22650.1"	"AT4G22650.1"	"N0.HOG0008426"	"AT4G22640.2, AT4G22650.1"	"OG0003351"	"AT4G22640.2, AT4G22650.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22640.2"	46.795	156	66	3	1	155	1	140	3.06e-42	137	97	159	140
"Om001G009290"	"AT4G11460.1, AT4G23260.1, AT4G23250.2"	"AT4G23250.2"	"AT4G11460.1, AT4G23260.1, AT4G23250.2"	"N0.HOG0000220"	"AT4G23320.3, AT4G23290.2, AT4G23240.1, AT4G11460.1, AT4G23260.1, AT4G23250.2, AT4G11470.2, AT4G11480.1"	"OG0000023"	"AT4G11460.1, AT4G11470.2, AT4G11480.1, AT4G11521.1, AT4G11530.1, AT4G23190.1, AT4G23200.1, AT4G23210.3, AT4G23220.1, AT4G23240.1, AT4G23250.2, AT4G23260.1, AT4G23290.2, AT4G23300.1, AT4G23320.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23250.2"	69.897	681	184	4	1	665	1	676	0	914	99	671	1001
"Om001G009300"	"AT4G22650.1"	"AT4G22650.1"	"AT4G22650.1"	"N0.HOG0008426"	"AT4G22640.2, AT4G22650.1"	"OG0003351"	"AT4G22640.2, AT4G22650.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22640.2"	48.951	143	64	5	1	138	1	139	4.04e-39	128	99	140	140
"Om001G009310"	"AT4G23120.1, AT2G25120.1, AT3G43990.1"	"AT4G23120.1"	NA	"N0.HOG0007471"	"AT4G23120.1, AT2G25120.1, AT3G43990.1"	"OG0002778"	"AT2G25120.1, AT3G43990.1, AT4G23120.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23120.1"	52.995	217	99	2	42	256	3	218	1.61e-65	207	83	258	360
"Om001G009320"	"AT4G22666.1"	"AT4G22666.1"	"AT4G22666.1"	"N0.HOG0019715"	"AT4G22666.1"	"OG0013214"	"AT4G22666.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22666.1"	60.736	163	61	1	1	163	1	160	2.02e-66	199	99	164	160
"Om001G009330"	"AT4G22666.1"	"AT4G22666.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22666.1"	42.105	114	62	4	1	111	1	113	8.65e-19	76.3	98	113	160
"Om001G009340"	"AT4G23120.1, AT2G25120.1, AT3G43990.1"	"AT4G23120.1"	NA	"N0.HOG0007471"	"AT4G23120.1, AT2G25120.1, AT3G43990.1"	"OG0002778"	"AT2G25120.1, AT3G43990.1, AT4G23120.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23120.1"	54.497	189	85	1	26	214	11	198	1.11e-63	201	88	215	360
"Om001G009350"	"AT4G22670.1"	"AT4G22670.1"	"AT4G22670.1"	"N0.HOG0012718"	"AT4G22670.1"	"OG0006727"	"AT4G22670.1"	"AT4G22670.1"	445	441	67	67	297	87.919	451	"AT4G22670.1"	87.919	298	33	2	1	296	1	297	5.83e-167	476	67	445	441
"Om001G009360"	"AT4G22680.1"	"AT4G22680.1"	"AT4G22680.1"	"N0.HOG0012516"	"AT4G22680.1"	"OG0006549"	"AT4G22680.1"	"AT4G22680.1"	268	266	99	100	267	82.397	431	"AT4G22680.1"	82.397	267	46	1	1	267	1	266	1.13e-154	431	99	268	266
"Om001G009370"	"AT4G22700.1, AT5G35900.1"	"AT5G35900.1"	"AT4G22700.1, AT5G35900.1"	"N0.HOG0006479"	"AT4G22700.1, AT5G35900.1"	"OG0002260"	"AT4G22700.1, AT5G35900.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G35900.1"	48.969	194	89	3	1	185	1	193	8.84e-57	177	99	186	206
"Om001G009380"	"AT4G22710.1, AT4G22690.1"	"AT4G22690.1"	"AT4G22710.1, AT4G22690.1"	"N0.HOG0009870"	"AT4G22710.1, AT4G22690.1"	"OG0004318"	"AT4G22690.1, AT4G22710.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22690.1"	94.656	524	28	0	1	524	34	557	0	1002	99	525	557
"Om001G009390"	"AT4G22710.1, AT4G22690.1"	"AT4G22690.1"	"AT4G22710.1, AT4G22690.1"	"N0.HOG0009870"	"AT4G22710.1, AT4G22690.1"	"OG0004318"	"AT4G22690.1, AT4G22710.1"	"AT4G22690.1"	525	557	99	94	524	92.557	982	"AT4G22690.1"	92.557	524	39	0	1	524	34	557	0	982	99	525	557
"Om001G009400"	"AT4G22700.1, AT5G35900.1"	"AT5G35900.1"	"AT4G22700.1, AT5G35900.1"	"N0.HOG0006479"	"AT4G22700.1, AT5G35900.1"	"OG0002260"	"AT4G22700.1, AT5G35900.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G35900.1"	46.632	193	95	1	1	185	1	193	8.86e-55	172	99	186	206
"Om001G009410"	"AT4G22720.1"	"AT4G22720.1"	NA	"N0.HOG0011492"	"AT4G22720.1"	"OG0005675"	"AT4G22720.1"	"AT4G22720.1"	356	353	97	98	347	97.118	706	"AT4G22720.1"	97.118	347	10	0	2	348	3	349	0	706	97	356	353
"Om001G009420"	"AT4G22730.1"	"AT4G22730.1"	"AT4G22730.1"	"N0.HOG0021592"	"AT4G22730.1"	"OG0015029"	"AT4G22730.1"	"AT4G22730.1"	685	688	99	99	687	89.229	1251	"AT4G22730.1"	89.229	687	70	2	1	683	1	687	0	1251	99	685	688
"Om001G009430"	"AT1G55600.1"	"AT1G55600.1"	NA	NA	NA	"OG0002483"	"AT1G55600.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G55600.1"	40.781	461	245	11	1	437	1	457	3.47e-79	256	79	555	485
"Om001G009440"	"AT4G22740.1"	"AT4G22740.1"	"AT4G22740.1"	"N0.HOG0013740"	"AT4G22740.1"	"OG0007656"	"AT4G22740.1"	"AT4G22740.1"	319	356	87	87	310	75.161	422	"AT4G22740.1"	75.161	310	43	6	36	313	46	353	1.3e-153	434	87	319	356
"Om001G009450"	"AT4G22750.1"	"AT4G22750.1"	"AT4G22750.1"	"N0.HOG0014894"	"AT4G22750.1"	"OG0008740"	"AT4G22750.1"	"AT4G22750.1"	304	302	99	100	304	84.211	484	"AT4G22750.1"	86.513	304	38	3	1	303	1	302	6.55e-180	498	99	304	302
"Om001G009470"	"AT4G22755.1"	"AT4G22755.1"	NA	"N0.HOG0012026"	"AT4G22755.1"	"OG0006132"	"AT4G22755.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22755.1"	75.258	291	72	0	1	291	1	291	7.16e-170	471	99	292	291
"Om001G009500"	"AT4G22758.1"	"AT4G22758.1"	"AT4G22758.1"	"N0.HOG0007951"	"AT4G22758.1"	"OG0003050"	"AT4G22758.1"	"AT4G22758.1"	239	255	99	100	255	70.196	318	"AT4G22758.1"	70.98	255	57	6	1	238	1	255	1.22e-117	335	99	239	255
"Om001G009530"	"AT4G22758.1"	"AT4G22758.1"	"AT4G22758.1"	"N0.HOG0007951"	"AT4G22758.1"	"OG0003050"	"AT4G22758.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22758.1"	58.984	256	91	6	1	243	1	255	2.3e-95	279	99	244	255
"Om001G009540"	"AT4G22760.1"	"AT4G22760.1"	"AT4G22760.1"	"N0.HOG0025261"	"AT4G22760.1"	"OG0018581"	"AT4G22760.1"	"AT4G22760.1"	584	578	99	99	583	82.504	1013	"AT4G22760.1"	82.504	583	92	2	1	583	1	573	0	1013	99	584	578
"Om001G009550"	"AT4G22770.1"	"AT4G22770.1"	"AT4G22770.1"	"N0.HOG0005308"	"AT4G22770.1"	"OG0001661"	"AT4G12080.1, AT4G22770.1"	"AT4G22770.1"	333	334	99	100	337	71.217	421	"AT4G22770.1"	71.217	337	89	4	1	332	1	334	1.65e-148	421	99	333	334
"Om001G009560"	"AT4G22780.1"	"AT4G22780.1"	"AT4G22780.1"	"N0.HOG0011493"	"AT4G22780.1"	"OG0005676"	"AT4G22780.1"	"AT4G22780.1"	447	449	99	100	449	92.205	856	"AT4G22780.1"	92.205	449	32	1	1	446	1	449	0	856	99	447	449
"Om001G009580"	"AT4G22790.1"	"AT4G22790.1"	"AT4G22790.1"	"N0.HOG0009871"	"AT4G22790.1"	"OG0004319"	"AT4G22790.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G22790.1"	84.154	467	73	1	1	467	23	488	0	778	99	472	491
"Om001G009590"	"AT4G22790.1"	"AT4G22790.1"	"AT4G22790.1"	"N0.HOG0009871"	"AT4G22790.1"	"OG0004319"	"AT4G22790.1"	"AT4G22790.1"	495	491	99	100	495	85.051	823	"AT4G22790.1"	85.051	495	66	3	1	491	1	491	0	823	99	495	491
"Om001G009600"	"AT5G42905.1"	"AT5G42905.1"	NA	"N0.HOG0001403"	"AT5G42905.1"	"OG0000178"	"AT5G42905.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G42905.1"	69.167	120	37	0	2	121	133	252	3.25e-55	174	67	178	258
