"Arabidopsis_lyrata_Rawat"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"AL2G24740"	209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL2G24750"	256	"AT1G78480.1"	"AT1G78480.1"	"orthologue"	"AT1G78480.1"	"N0.HOG0016840"	"AT1G78480.1"	"OG0010573"	"AT1G78480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G78960.1"	"85.253"	"217"	"32"	"0"	"30"	"246"	"38"	"254"	"2.78e-136"	"401"	"84"	"257"	"763"
"AL2G24760"	309	"AT5G25610.1"	"AT5G25610.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G25610.1"	"53"	"200"	"60"	"3"	"1"	"166"	"1"	"200"	"2.25e-53"	"179"	"54"	"310"	"392"
"AL2G24770"	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL2G24780"	925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G06900.1"	"30.621"	"885"	"522"	"28"	"47"	"884"	"105"	"944"	"3.67e-106"	"352"	"90"	"926"	"1024"
"AL2G24790"	202	"AT5G24740.3"	"AT5G24740.3"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24740.3"	"62.36"	"178"	"55"	"4"	"16"	"182"	"793"	"969"	"2.53e-62"	"208"	"82"	"203"	"3521"
"AL2G24800"	219	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G24740.3"	"54.762"	"126"	"33"	"2"	"107"	"209"	"81"	"205"	"6.53e-32"	"122"	"47"	"220"	"3521"
"AL2G24810"	268	"AT5G15980.1"	"AT5G15980.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G15980.1"	"94.366"	"142"	"8"	"0"	"1"	"142"	"155"	"296"	"1.13e-90"	"281"	"53"	"269"	"668"
"AL2G24820"	147	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL2G24830"	147	"AT1G66700.1"	"AT1G66700.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66700.1"	"68.421"	"171"	"30"	"2"	"1"	"147"	"36"	"206"	"3.71e-77"	"232"	"99"	"148"	"353"
"AL2G24840"	352	"AT1G66720.1"	"AT1G66720.1"	"orthologue"	"AT1G66720.1"	"N0.HOG0005598"	"AT1G66720.1, AT1G66690.1, AT1G66700.1"	"OG0001802"	"AT1G66690.1, AT1G66700.1, AT1G66720.1"	"AT1G66720.1"	353	352	99	100	352	91.477	649	"AT1G66720.1"	"91.477"	"352"	"30"	"0"	"1"	"352"	"1"	"352"	"0"	"674"	"99"	"353"	"352"
"AL2G24850"	54	"AT1G66690.1, AT1G66720.1"	"AT1G66690.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66690.1, AT1G66720.1"	"65.306"	"49"	"17"	"0"	"1"	"49"	"48"	"96"	"5.69e-15, 6.86e-15"	"65.9"	"89"	"55"	"353, 352"
"AL2G24870"	591	"AT3G17710.1, AT2G07120.1, AT3G18340.1, AT3G44130.1"	"AT3G17710.1"	"other"	NA	"N0.HOG0001440"	"AT3G17710.1, AT2G07120.1, AT3G18340.1, AT3G44130.1"	"OG0000191"	"AT1G12170.1, AT1G12190.1, AT2G07120.1, AT2G17310.1, AT3G16555.1, AT3G16590.1, AT3G17710.1, AT3G18340.1, AT3G44130.1, AT3G51171.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G17710.1"	"71.223"	"278"	"76"	"3"	"318"	"591"	"86"	"363"	"8.78e-140"	"410"	"46"	"592"	"368"
"AL2G24890"	1401	"AT1G66730.1"	"AT1G66730.1"	"orthologue"	"AT1G66730.1"	"N0.HOG0025018"	"AT1G66730.1"	"OG0018347"	"AT1G66730.1"	"AT1G66730.1"	1402	1396	99	100	1407	89.126	2491	"AT1G66730.1"	"89.126"	"1407"	"136"	"5"	"1"	"1401"	"1"	"1396"	"0"	"2491"	"99"	"1402"	"1396"
"AL2G24900"	194	"AT1G66740.1"	"AT1G66740.1"	"orthologue"	"AT1G66740.1"	"N0.HOG0008974"	"AT1G66740.1, AT5G38110.1"	"OG0003703"	"AT1G66740.1, AT5G38110.1"	"AT1G66740.1"	195	196	99	100	196	88.265	348	"AT1G66740.1"	"88.265"	"196"	"21"	"1"	"1"	"194"	"1"	"196"	"3.35e-124"	"348"	"99"	"195"	"196"
"AL2G24910"	348	"AT1G66750.1"	"AT1G66750.1"	"orthologue"	"AT1G66750.1"	"N0.HOG0019477"	"AT1G66750.1"	"OG0012986"	"AT1G66750.1"	"AT1G66750.1"	349	348	99	100	348	97.989	712	"AT1G66750.1"	"97.989"	"348"	"7"	"0"	"1"	"348"	"1"	"348"	"0"	"712"	"99"	"349"	"348"
"AL2G24930"	482	"AT1G66760.2"	"AT1G66760.2"	"orthologue"	"AT1G66760.2"	"N0.HOG0011960"	"AT1G66760.2"	"OG0006068"	"AT1G66760.2"	"AT1G66760.2"	483	482	99	100	482	96.68	958	"AT1G66760.2"	"96.68"	"482"	"16"	"0"	"1"	"482"	"1"	"482"	"0"	"958"	"99"	"483"	"482"
"AL2G24950"	465	"AT1G66780.1"	"AT1G66780.1"	"orthologue"	"AT1G66780.1"	"N0.HOG0006436"	"AT1G66780.1"	"OG0002235"	"AT1G64820.1, AT1G66780.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66780.1"	"84.232"	"482"	"35"	"3"	"1"	"441"	"1"	"482"	"0"	"779"	"95"	"466"	"485"
"AL2G24960"	91	"AT2G43510.1"	"AT2G43510.1"	"orthologue"	"AT2G43510.1"	"N0.HOG0002070"	"AT2G43510.1"	"OG0000340"	"AT1G47540.2, AT2G43510.1, AT2G43520.1, AT2G43535.1"	"AT2G43510.1"	92	89	76	100	70	90.11	137	"AT2G43510.1"	"91.429"	"70"	"6"	"0"	"22"	"91"	"20"	"89"	"2.71e-44"	"137"	"76"	"92"	"89"
"AL2G24970"	99	"AT2G43500.2"	"AT2G43500.2"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43500.2"	"71.91"	"89"	"21"	"1"	"1"	"85"	"748"	"836"	"9.54e-28"	"104"	"85"	"100"	"947"
"AL2G25000"	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL2G25010"	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G69770.1"	"38.889"	"72"	"40"	"1"	"1"	"68"	"1"	"72"	"3.06e-10"	"54.3"	"83"	"82"	"839"
"AL2G25020"	327	"AT1G66810.1"	"AT1G66810.1"	"orthologue"	"AT1G66810.1"	"N0.HOG0023336"	"AT1G66810.1"	"OG0016727"	"AT1G66810.1"	"AT1G66810.1"	328	310	99	100	333	81.982	453	"AT1G66810.1"	"82.883"	"333"	"28"	"7"	"1"	"327"	"1"	"310"	"6.88e-162"	"453"	"99"	"328"	"310"
"AL2G25030"	109	"AT1G66820.1"	"AT1G66820.1"	"orthologue"	"AT1G66820.1"	"N0.HOG0013576"	"AT1G66820.1"	"OG0007512"	"AT1G66820.1"	"AT1G66820.1"	110	109	99	100	109	91.743	102	"AT1G66820.1"	"91.743"	"109"	"9"	"0"	"1"	"109"	"1"	"109"	"1.13e-29"	"102"	"99"	"110"	"109"
"AL2G25040"	664	"AT1G66830.1"	"AT1G66830.1"	"orthologue"	"AT1G66830.1"	"N0.HOG0021365"	"AT1G66830.1"	"OG0014804"	"AT1G66830.1"	"AT1G66830.1"	665	685	99	98	669	91.928	1243	"AT1G66830.1"	"91.928"	"669"	"48"	"4"	"1"	"664"	"18"	"685"	"0"	"1243"	"99"	"665"	"685"
"AL2G25050"	617	"AT1G66840.1"	"AT1G66840.1"	"orthologue"	"AT1G66840.1"	"N0.HOG0018087"	"AT1G66840.1"	"OG0011691"	"AT1G66840.1"	"AT1G66840.1"	618	607	99	100	617	89.951	1021	"AT1G66840.1"	"89.951"	"617"	"52"	"3"	"1"	"617"	"1"	"607"	"0"	"1021"	"99"	"618"	"607"
"AL2G25060"	109	"AT1G66850.1"	"AT1G66850.1"	"orthologue"	"AT1G66850.1"	"N0.HOG0014606"	"AT1G66850.1"	"OG0008466"	"AT1G66850.1"	"AT1G66850.1"	110	102	99	100	109	87.156	170	"AT1G66850.1"	"87.156"	"109"	"7"	"1"	"1"	"109"	"1"	"102"	"9.45e-63"	"185"	"99"	"110"	"102"
"AL2G25070"	200	"AT1G66870.2"	"AT1G66870.2"	"orthologue"	"AT1G66870.2"	"N0.HOG0001572"	"AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1"	"OG0000219"	"AT1G66852.1, AT1G66855.1, AT1G66870.2, AT2G29735.1, AT4G09090.1, AT4G09462.1, AT4G09464.1, AT4G09465.1, AT4G09466.1, AT4G09467.1, AT4G16165.1, AT5G53600.1, AT5G53610.1, AT5G63225.1, AT5G63230.1"	"AT1G66870.2"	201	138	66	76	105	75	207	"AT1G66870.2"	"75"	"132"	"27"	"2"	"69"	"200"	"13"	"138"	"9.66e-70"	"208"	"66"	"201"	"138"
"AL2G25080"	543	"AT1G52950.1"	"AT1G52950.1"	"other"	NA	"N0.HOG0000132"	"AT1G52950.1"	"OG0000018"	"AT1G52950.1, AT3G31925.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G52950.1"	"44.219"	"493"	"254"	"5"	"8"	"481"	"10"	"500"	"1.49e-148"	"438"	"87"	"544"	"566"
"AL2G25090"	428	"AT1G66860.1"	"AT1G66860.1"	"orthologue"	"AT1G66860.1"	"N0.HOG0026326"	"AT1G66860.1"	"OG0019548"	"AT1G66860.1"	"AT1G66860.1"	429	433	99	100	433	94.919	845	"AT1G66860.1"	"94.919"	"433"	"17"	"1"	"1"	"428"	"1"	"433"	"0"	"845"	"99"	"429"	"433"
"AL2G25100"	111	"AT1G66870.2"	"AT1G66870.2"	"orthologue"	"AT1G66870.2"	"N0.HOG0001572"	"AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1"	"OG0000219"	"AT1G66852.1, AT1G66855.1, AT1G66870.2, AT2G29735.1, AT4G09090.1, AT4G09462.1, AT4G09464.1, AT4G09465.1, AT4G09466.1, AT4G09467.1, AT4G16165.1, AT5G53600.1, AT5G53610.1, AT5G63225.1, AT5G63230.1"	"AT1G66852.1"	112	110	99	100	111	87.387	201	"AT1G66852.1"	"87.387"	"111"	"13"	"1"	"1"	"111"	"1"	"110"	"1.03e-68"	"201"	"99"	"112"	"110"
"AL2G25110"	170	"AT1G66940.4"	"AT1G66940.4"	"other"	NA	"N0.HOG0007425"	"AT1G66940.4"	"OG0002750"	"AT1G66940.4"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66880.1"	"79.851"	"134"	"26"	"1"	"37"	"170"	"25"	"157"	"7.93e-67"	"219"	"78"	"171"	"1296"
"AL2G25120"	241	"AT1G66940.4"	"AT1G66940.4"	"other"	NA	"N0.HOG0007425"	"AT1G66940.4"	"OG0002750"	"AT1G66940.4"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66940.4"	"59.677"	"248"	"91"	"5"	"1"	"240"	"1"	"247"	"1.31e-88"	"266"	"99"	"242"	"361"
"AL2G25130"	916	"AT1G66880.1"	"AT1G66880.1"	"orthologue"	"AT1G66880.1"	"N0.HOG0003260"	"AT1G66880.1"	"OG0000714"	"AT1G66880.1, AT5G38210.2"	"AT1G66880.1"	917	1296	96	68	885	81.808	1416	"AT1G66880.1"	"81.808"	"885"	"156"	"4"	"35"	"916"	"414"	"1296"	"0"	"1416"	"96"	"917"	"1296"
"AL2G25140"	159	"AT1G66890.1"	"AT1G66890.1"	"orthologue"	"AT1G66890.1"	"N0.HOG0019476"	"AT1G66890.1"	"OG0012985"	"AT1G66890.1"	"AT1G66890.1"	160	158	99	100	160	90	231	"AT1G66890.1"	"90"	"160"	"13"	"2"	"1"	"159"	"1"	"158"	"7.29e-84"	"243"	"99"	"160"	"158"
"AL2G25150"	271	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G52950.1"	"29.661"	"236"	"159"	"4"	"17"	"250"	"7"	"237"	"2e-26"	"107"	"86"	"272"	"566"
"AL2G25170"	276	"AT1G66900.1"	"AT1G66900.1"	"orthologue"	"AT1G66900.1"	"N0.HOG0018086"	"AT1G66900.1"	"OG0011690"	"AT1G66900.1"	"AT1G66900.1"	277	272	98	100	272	98.529	557	"AT1G66900.1"	"98.529"	"272"	"4"	"0"	"1"	"272"	"1"	"272"	"0"	"557"	"98"	"277"	"272"
"AL2G25180"	677	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"AT1G66920.2"	"other"	NA	"N0.HOG0000449"	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"OG0000046"	"AT1G66910.1, AT1G66920.2, AT1G66930.2, AT1G67000.1, AT4G18250.1, AT5G38240.1, AT5G38250.1, AT5G38260.1, AT5G38280.2, AT5G39020.1, AT5G39030.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66920.2"	"63.22"	"677"	"183"	"9"	"1"	"671"	"1"	"617"	"0"	"769"	"99"	"678"	"617"
"AL2G25190"	743	"AT1G66910.1"	"AT1G66910.1"	"other"	NA	"N0.HOG0000449"	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"OG0000046"	"AT1G66910.1, AT1G66920.2, AT1G66930.2, AT1G67000.1, AT4G18250.1, AT5G38240.1, AT5G38250.1, AT5G38260.1, AT5G38280.2, AT5G39020.1, AT5G39030.1"	"AT1G66910.1"	744	666	65	72	492	75.61	716	"AT1G66910.1"	"75.61"	"492"	"100"	"5"	"259"	"743"	"188"	"666"	"0"	"716"	"65"	"744"	"666"
"AL2G25200"	622	"AT1G66920.2"	"AT1G66920.2"	"orthologue"	"AT1G66920.2"	"N0.HOG0000449"	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"OG0000046"	"AT1G66910.1, AT1G66920.2, AT1G66930.2, AT1G67000.1, AT4G18250.1, AT5G38240.1, AT5G38250.1, AT5G38260.1, AT5G38280.2, AT5G39020.1, AT5G39030.1"	"AT1G66920.2"	623	617	99	100	622	90.997	1132	"AT1G66920.2"	"90.997"	"622"	"51"	"2"	"1"	"622"	"1"	"617"	"0"	"1134"	"99"	"623"	"617"
"AL2G25210"	698	"AT1G66930.2"	"AT1G66930.2"	"orthologue"	"AT1G66930.2"	"N0.HOG0000449"	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"OG0000046"	"AT1G66910.1, AT1G66920.2, AT1G66930.2, AT1G67000.1, AT4G18250.1, AT5G38240.1, AT5G38250.1, AT5G38260.1, AT5G38280.2, AT5G39020.1, AT5G39030.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66930.2"	"86.99"	"392"	"48"	"2"	"1"	"389"	"1"	"392"	"0"	"697"	"56"	"699"	"883"
"AL2G25220"	319	"AT1G66940.4"	"AT1G66940.4"	"orthologue"	"AT1G66940.4"	"N0.HOG0007425"	"AT1G66940.4"	"OG0002750"	"AT1G66940.4"	"AT1G66940.4"	320	361	99	98	352	82.102	564	"AT1G66940.4"	"82.102"	"352"	"30"	"3"	"1"	"319"	"1"	"352"	"0"	"564"	"99"	"320"	"361"
"AL2G25230"	1450	"AT1G66950.1"	"AT1G66950.1"	"orthologue"	"AT1G66950.1"	"N0.HOG0008529"	"AT1G66950.1"	"OG0003421"	"AT1G66950.1, AT2G36380.1"	"AT1G66950.1"	1451	1454	99	100	1454	95.048	2875	"AT1G66950.1"	"95.048"	"1454"	"68"	"1"	"1"	"1450"	"1"	"1454"	"0"	"2875"	"99"	"1451"	"1454"
"AL2G25240"	643	"AT1G66960.2"	"AT1G66960.2"	"orthologue"	"AT1G66960.2"	"N0.HOG0005061"	"AT1G66960.2, AT1G78970.1"	"OG0001534"	"AT1G66960.2, AT1G78960.1, AT1G78970.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66960.2"	"83.333"	"360"	"47"	"1"	"265"	"611"	"411"	"770"	"0"	"627"	"54"	"644"	"772"
"AL2G25250"	562	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"AT1G66920.2"	"other"	NA	"N0.HOG0000449"	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"OG0000046"	"AT1G66910.1, AT1G66920.2, AT1G66930.2, AT1G67000.1, AT4G18250.1, AT5G38240.1, AT5G38250.1, AT5G38260.1, AT5G38280.2, AT5G39020.1, AT5G39030.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66920.2"	"51.167"	"600"	"217"	"12"	"1"	"562"	"1"	"562"	"5.74e-178"	"515"	"99"	"563"	"617"
"AL2G25260"	643	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"AT1G66920.2"	"other"	NA	"N0.HOG0000449"	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"OG0000046"	"AT1G66910.1, AT1G66920.2, AT1G66930.2, AT1G67000.1, AT4G18250.1, AT5G38240.1, AT5G38250.1, AT5G38260.1, AT5G38280.2, AT5G39020.1, AT5G39030.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G66920.2"	"61.29"	"651"	"204"	"11"	"1"	"637"	"1"	"617"	"0"	"746"	"99"	"644"	"617"
"AL2G25270"	764	"AT1G66970.2"	"AT1G66970.2"	"orthologue"	"AT1G66970.2"	"N0.HOG0003020"	"AT1G66970.2, AT4G26690.1, AT5G55480.1"	"OG0000627"	"AT1G66970.2, AT4G26690.1, AT5G55480.1"	"AT1G66970.2"	765	785	98	98	771	83.009	1285	"AT1G66970.2"	"83.009"	"771"	"108"	"2"	"1"	"749"	"1"	"770"	"0"	"1300"	"98"	"765"	"785"
"AL2G25280"	1112	"AT1G66980.2"	"AT1G66980.2"	"orthologue"	"AT1G66980.2"	"N0.HOG0027213"	"AT1G66980.2"	"OG0020343"	"AT1G66980.2"	"AT1G66980.2"	1113	1147	99	100	1147	83.871	1928	"AT1G66980.2"	"83.871"	"1147"	"150"	"5"	"1"	"1112"	"1"	"1147"	"0"	"1928"	"99"	"1113"	"1147"
"AL2G25290"	354	"AT1G54300.1, AT3G05770.1"	"AT3G05770.1"	"orthologue"	"AT1G54300.1, AT3G05770.1"	"N0.HOG0005024"	"AT1G54300.1, AT3G05770.1"	"OG0001515"	"AT1G54300.1, AT3G05770.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05770.1"	"67.674"	"331"	"82"	"8"	"1"	"310"	"74"	"400"	"6.58e-141"	"405"	"87"	"355"	"410"
"AL2G25300"	618	"AT4G11690.1"	"AT4G11690.1"	"orthologue"	"AT4G11690.1"	"N0.HOG0012794"	"AT4G11690.1"	"OG0006793"	"AT4G11690.1"	"AT4G11690.1"	619	566	91	99	562	90.391	1029	"AT4G11690.1"	"90.391"	"562"	"54"	"0"	"1"	"562"	"1"	"562"	"0"	"1029"	"91"	"619"	"566"
"AL2G25310"	569	"AT5G38260.1"	"AT5G38260.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G38260.1"	"46.18"	"589"	"234"	"10"	"9"	"521"	"44"	"625"	"1.86e-158"	"467"	"90"	"570"	"638"
"AL2G25320"	682	"AT1G67000.1"	"AT1G67000.1"	"orthologue"	"AT1G67000.1"	"N0.HOG0000449"	"AT4G18250.1, AT5G38280.2, AT1G66930.2, AT1G67000.1, AT1G66910.1, AT1G66920.2, AT5G38250.1, AT5G38240.1"	"OG0000046"	"AT1G66910.1, AT1G66920.2, AT1G66930.2, AT1G67000.1, AT4G18250.1, AT5G38240.1, AT5G38250.1, AT5G38260.1, AT5G38280.2, AT5G39020.1, AT5G39030.1"	"AT1G67000.1"	683	892	88	67	603	81.26	1005	"AT1G67000.1"	"81.26"	"603"	"108"	"4"	"2"	"602"	"3"	"602"	"0"	"1006"	"88"	"683"	"892"
"AL2G25340"	253	"AT1G67025.1"	"AT1G67025.1"	"orthologue"	"AT1G67025.1"	"N0.HOG0026835"	"AT1G67025.1"	"OG0019999"	"AT1G67025.1"	"AT1G67025.1"	254	221	79	91	201	84.577	358	"AT1G67025.1"	"84.577"	"201"	"31"	"0"	"42"	"242"	"10"	"210"	"8.16e-127"	"358"	"79"	"254"	"221"
"AL2G25350"	197	"AT1G67030.1"	"AT1G67030.1"	"orthologue"	"AT1G67030.1"	"N0.HOG0023335"	"AT1G67030.1"	"OG0016726"	"AT1G67030.1"	"AT1G67030.1"	198	197	99	100	197	93.401	340	"AT1G67030.1"	"93.401"	"197"	"13"	"0"	"1"	"197"	"1"	"197"	"2.98e-121"	"340"	"99"	"198"	"197"
"AL2G25360"	116	"AT5G01130.1"	"AT5G01130.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G01130.1"	"64.894"	"94"	"24"	"1"	"16"	"109"	"362"	"446"	"4.42e-33"	"119"	"80"	"117"	"452"
"AL2G25370"	228	"AT1G67035.2"	"AT1G67035.2"	"orthologue"	"AT1G67035.2"	"N0.HOG0005490"	"AT1G67035.2"	"OG0001748"	"AT1G67035.2, AT5G38300.1"	"AT1G67035.2"	229	229	99	100	230	86.087	347	"AT1G67035.2"	"87.826"	"230"	"25"	"2"	"1"	"228"	"1"	"229"	"8.98e-124"	"350"	"99"	"229"	"229"
"AL2G25380"	776	"AT1G67040.2"	"AT1G67040.2"	"orthologue"	"AT1G67040.2"	"N0.HOG0013575"	"AT1G67040.2"	"OG0007511"	"AT1G67040.2"	"AT1G67040.2"	777	828	98	99	848	74.175	1151	"AT1G67040.2"	"74.175"	"848"	"114"	"19"	"1"	"765"	"1"	"826"	"0"	"1152"	"98"	"777"	"828"
"AL2G25390"	266	"AT1G67050.1"	"AT1G67050.1"	"orthologue"	"AT1G67050.1"	"N0.HOG0019475"	"AT1G67050.1"	"OG0012984"	"AT1G67050.1"	"AT1G67050.1"	267	264	99	100	267	97.753	511	"AT1G67050.1"	"97.753"	"267"	"2"	"2"	"1"	"266"	"1"	"264"	"0"	"511"	"99"	"267"	"264"
"AL2G25410"	235	"AT1G67060.1"	"AT1G67060.1"	"orthologue"	"AT1G67060.1"	"N0.HOG0019474"	"AT1G67060.1"	"OG0012983"	"AT1G67060.1"	"AT1G67060.1"	236	234	99	100	234	98.718	465	"AT1G67060.1"	"98.718"	"234"	"3"	"0"	"2"	"235"	"1"	"234"	"2.45e-169"	"465"	"99"	"236"	"234"
"AL2G25420"	442	"AT1G67070.1"	"AT1G67070.1"	"orthologue"	"AT1G67070.1"	"N0.HOG0018085"	"AT1G67070.1"	"OG0011689"	"AT1G67070.1"	"AT1G67070.1"	443	441	99	100	442	94.344	865	"AT1G67070.1"	"94.344"	"442"	"24"	"1"	"1"	"442"	"1"	"441"	"0"	"865"	"99"	"443"	"441"
"AL2G25430"	91	"AT1G53480.1, AT5G03090.1"	"AT1G53480.1"	"orthologue"	"AT1G53480.1, AT5G03090.1"	"N0.HOG0031020"	"AT1G53480.1, AT5G03090.1"	"OG0023889"	"AT1G53480.1, AT5G03090.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G53480.1"	"86.047"	"86"	"12"	"0"	"3"	"88"	"35"	"120"	"3.72e-47"	"148"	"93"	"92"	"193"
"AL2G25440"	208	"AT1G67080.1"	"AT1G67080.1"	"orthologue"	"AT1G67080.1"	"N0.HOG0021364"	"AT1G67080.1"	"OG0014803"	"AT1G67080.1"	"AT1G67080.1"	209	220	99	93	208	90.385	389	"AT1G67080.1"	"90.385"	"208"	"16"	"1"	"1"	"208"	"17"	"220"	"8.35e-140"	"389"	"99"	"209"	"220"
"AL2G25450"	102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL2G25460"	193	"AT1G67090.1"	"AT1G67090.1"	"orthologue"	"AT1G67090.1"	"N0.HOG0002589"	"AT1G67090.1"	"OG0000482"	"AT1G67090.1, AT5G38410.3, AT5G38420.1, AT5G38430.1"	"AT1G67090.1"	194	180	99	100	193	90.674	365	"AT1G67090.1"	"90.674"	"193"	"5"	"1"	"1"	"193"	"1"	"180"	"3.24e-131"	"365"	"99"	"194"	"180"
"AL2G25470"	89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G53440.1"	"87.5"	"24"	"2"	"1"	"29"	"51"	"231"	"254"	"1.28e-06"	"44.3"	"26"	"90"	"1181"
"AL2G25480"	233	"AT1G67100.1"	"AT1G67100.1"	"orthologue"	"AT1G67100.1"	"N0.HOG0023334"	"AT1G67100.1"	"OG0016725"	"AT1G67100.1"	"AT1G67100.1"	234	233	99	100	233	96.996	469	"AT1G67100.1"	"96.996"	"233"	"7"	"0"	"1"	"233"	"1"	"233"	"5.16e-171"	"469"	"99"	"234"	"233"
"AL2G25490"	512	"AT1G67110.1"	"AT1G67110.1"	"orthologue"	"AT1G67110.1"	"N0.HOG0021363"	"AT1G67110.1"	"OG0014802"	"AT1G67110.1"	"AT1G67110.1"	513	512	99	99	511	98.434	1048	"AT1G67110.1"	"98.434"	"511"	"8"	"0"	"1"	"511"	"1"	"511"	"0"	"1048"	"99"	"513"	"512"
