"Arabidopsis_lyrata_NCBI"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"XP_002879449.1"	403	"AT2G33410.1"	"AT2G33410.1"	"orthologue"	"AT2G33410.1"	"N0.HOG0009922"	"AT2G33410.1"	"OG0004363"	"AT2G33410.1"	"AT2G33410.1"	403	404	100	100	404	97.277	763	"AT2G33410.1"	"97.277"	"404"	"10"	"1"	"1"	"403"	"1"	"404"	"0"	"763"	"100"	"403"	"404"
"XP_002879450.1"	1040	"AT2G33420.1"	"AT2G33420.1"	"orthologue"	"AT2G33420.1"	"N0.HOG0005164"	"AT2G33420.1"	"OG0001593"	"AT1G04470.1, AT2G33420.1"	"AT2G33420.1"	1040	1039	100	100	1040	98.173	2123	"AT2G33420.1"	"98.173"	"1040"	"18"	"1"	"1"	"1040"	"1"	"1039"	"0"	"2123"	"100"	"1040"	"1039"
"XP_002879453.1"	143	"AT2G33450.1"	"AT2G33450.1"	"orthologue"	"AT2G33450.1"	"N0.HOG0010657"	"AT2G33450.1"	"OG0004968"	"AT2G33450.1"	"AT2G33450.1"	143	143	100	100	143	95.105	279	"AT2G33450.1"	"95.105"	"143"	"7"	"0"	"1"	"143"	"1"	"143"	"1.13e-98"	"279"	"100"	"143"	"143"
"XP_002879456.1"	183	"AT2G33510.2"	"AT2G33510.2"	"orthologue"	"AT2G33510.2"	"N0.HOG0005528"	"AT2G33510.2, AT1G28070.1"	"OG0001768"	"AT1G28070.1, AT2G33510.2"	"AT2G33510.2"	183	204	100	100	204	88.725	356	"AT2G33510.2"	"88.725"	"204"	"2"	"3"	"1"	"183"	"1"	"204"	"1.25e-127"	"356"	"100"	"183"	"204"
"XP_002879457.2"	96	"AT2G33520.1"	"AT2G33520.1"	"orthologue"	"AT2G33520.1"	"N0.HOG0025687"	"AT2G33520.1"	"OG0018969"	"AT2G33520.1"	"AT2G33520.1"	96	97	100	100	97	91.753	150	"AT2G33520.1"	"91.753"	"97"	"7"	"1"	"1"	"96"	"1"	"97"	"6.58e-50"	"152"	"100"	"96"	"97"
"XP_002879458.1"	495	"AT2G33570.1"	"AT2G33570.1"	"orthologue"	"AT2G33570.1"	"N0.HOG0016180"	"AT2G33570.1"	"OG0009940"	"AT2G33570.1"	"AT2G33570.1"	495	496	100	100	496	97.379	1018	"AT2G33570.1"	"97.379"	"496"	"12"	"1"	"1"	"495"	"1"	"496"	"0"	"1018"	"100"	"495"	"496"
"XP_002879460.1"	468	"AT2G33610.1"	"AT2G33610.1"	"orthologue"	"AT2G33610.1"	"N0.HOG0019861"	"AT2G33610.1"	"OG0013357"	"AT2G33610.1"	"AT2G33610.1"	468	469	100	100	469	90.618	832	"AT2G33610.1"	"90.618"	"469"	"43"	"1"	"1"	"468"	"1"	"469"	"0"	"832"	"100"	"468"	"469"
"XP_002879462.1"	571	"AT2G33640.1"	"AT2G33640.1"	"orthologue"	"AT2G33640.1"	"N0.HOG0025516"	"AT2G33640.1"	"OG0018816"	"AT2G33640.1"	"AT2G33640.1"	571	565	100	100	571	95.096	1115	"AT2G33640.1"	"95.096"	"571"	"22"	"2"	"1"	"571"	"1"	"565"	"0"	"1115"	"100"	"571"	"565"
"XP_002879466.1"	380	"AT2G33700.1"	"AT2G33700.1"	"orthologue"	"AT2G33700.1"	"N0.HOG0016178"	"AT2G33700.1"	"OG0009938"	"AT2G33700.1"	"AT2G33700.1"	380	380	100	100	380	97.368	768	"AT2G33700.1"	"97.368"	"380"	"10"	"0"	"1"	"380"	"1"	"380"	"0"	"768"	"100"	"380"	"380"
"XP_002879467.2"	342	"AT2G33720.1"	"AT2G33720.1"	"orthologue"	"AT2G33720.1"	"N0.HOG0002400"	"AT2G33720.1"	"OG0000427"	"AT1G78635.1, AT1G78640.1, AT2G33720.1"	"AT2G33720.1"	342	326	95	99	329	76.596	506	"AT2G33720.1"	"76.596"	"329"	"69"	"4"	"17"	"341"	"1"	"325"	"0"	"506"	"95"	"342"	"326"
"XP_002879468.1"	182	"AT2G33740.2"	"AT2G33740.2"	"orthologue"	"AT2G33740.2"	"N0.HOG0021749"	"AT2G33740.2"	"OG0015186"	"AT2G33740.2"	"AT2G33740.2"	182	182	99	99	181	96.133	348	"AT2G33740.2"	"96.133"	"181"	"7"	"0"	"1"	"181"	"1"	"181"	"1.32e-124"	"348"	"99"	"182"	"182"
"XP_002879469.2"	590	"AT2G33760.1"	"AT2G33760.1"	"orthologue"	"AT2G33760.1"	"N0.HOG0023523"	"AT2G33760.1"	"OG0016911"	"AT2G33760.1"	"AT2G33760.1"	590	583	99	100	583	95.54	1179	"AT2G33760.1"	"95.54"	"583"	"26"	"0"	"8"	"590"	"1"	"583"	"0"	"1179"	"99"	"590"	"583"
"XP_002879471.2"	352	"AT4G36840.1"	"AT4G36840.1"	"other"	NA	NA	NA	"OG0000158"	"AT4G36840.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G36840.1"	"44.495"	"218"	"93"	"8"	"156"	"352"	"1"	"211"	"5.42e-42"	"146"	"56"	"352"	"238"
"XP_002879472.1"	212	"AT2G33793.1"	"AT2G33793.1"	"orthologue"	"AT2G33793.1"	"N0.HOG0012786"	"AT2G33793.1"	"OG0006785"	"AT2G33793.1"	"AT2G33793.1"	212	212	100	100	212	97.17	406	"AT2G33793.1"	"97.17"	"212"	"6"	"0"	"1"	"212"	"1"	"212"	"9.78e-147"	"406"	"100"	"212"	"212"
"XP_002879476.1"	142	"AT2G34000.1"	"AT2G34000.1"	"orthologue"	"AT2G34000.1"	"N0.HOG0012074"	"AT2G34000.1"	"OG0006173"	"AT2G34000.1"	"AT2G34000.1"	142	151	100	94	142	94.366	278	"AT2G34000.1"	"94.366"	"142"	"8"	"0"	"1"	"142"	"1"	"142"	"2.18e-98"	"278"	"100"	"142"	"151"
"XP_002879477.1"	294	"AT2G34010.1"	"AT2G34010.1"	"orthologue"	"AT2G34010.1"	"N0.HOG0025059"	"AT2G34010.1"	"OG0018388"	"AT2G34010.1"	"AT2G34010.1"	294	300	100	100	301	85.714	498	"AT2G34010.1"	"85.714"	"301"	"35"	"6"	"1"	"294"	"1"	"300"	"3.51e-180"	"498"	"100"	"294"	"300"
"XP_002879480.1"	130	"AT2G34160.1"	"AT2G34160.1"	"orthologue"	"AT2G34160.1"	"N0.HOG0004975"	"AT2G34160.1"	"OG0001490"	"AT1G29250.1, AT2G34160.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G29250.1"	"96.923"	"130"	"4"	"0"	"1"	"130"	"1"	"130"	"5.37e-89"	"253"	"100"	"130"	"130"
"XP_002879481.1"	523	"AT2G34170.1"	"AT2G34170.1"	"orthologue"	"AT2G34170.1"	"N0.HOG0021745"	"AT2G34170.1"	"OG0015182"	"AT2G34170.1"	"AT2G34170.1"	523	523	100	100	531	87.382	840	"AT2G34170.1"	"87.382"	"531"	"51"	"4"	"1"	"523"	"1"	"523"	"0"	"840"	"100"	"523"	"523"
"XP_002879483.1"	218	"AT2G34200.1"	"AT2G34200.1"	"orthologue"	"AT2G34200.1"	"N0.HOG0012783"	"AT2G34200.1"	"OG0006784"	"AT2G34200.1"	"AT2G34200.1"	218	222	97	96	213	93.427	387	"AT2G34200.1"	"93.427"	"213"	"12"	"1"	"8"	"218"	"10"	"222"	"2.52e-139"	"388"	"97"	"218"	"222"
"XP_002879489.1"	701	"AT1G29340.1"	"AT1G29340.1"	"other"	NA	"N0.HOG0006001"	"AT1G29340.1"	"OG0002011"	"AT1G29340.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G29340.1"	"64.802"	"733"	"218"	"10"	"1"	"700"	"1"	"726"	"0"	"854"	"99"	"701"	"729"
"XP_002879493.2"	489	"AT2G34360.1"	"AT2G34360.1"	"orthologue"	"AT2G34360.1"	"N0.HOG0005538"	"AT2G34360.1"	"OG0001773"	"AT2G34360.1, AT5G52450.1"	"AT2G34360.1"	489	480	99	100	487	89.938	882	"AT2G34360.1"	"89.938"	"487"	"41"	"2"	"2"	"487"	"1"	"480"	"0"	"882"	"99"	"489"	"480"
"XP_002879496.1"	617	"AT2G34400.1"	"AT2G34400.1"	"orthologue"	"AT2G34400.1"	"N0.HOG0015692"	"AT2G34400.1"	"OG0009509"	"AT2G34400.1"	"AT2G34400.1"	617	621	99	99	614	92.834	1189	"AT2G34400.1"	"92.834"	"614"	"42"	"1"	"1"	"614"	"6"	"617"	"0"	"1189"	"99"	"617"	"621"
"XP_002879498.1"	266	"AT2G34430.1"	"AT2G34430.1"	"orthologue"	"AT2G34430.1"	"N0.HOG0002140"	"AT1G29920.1, AT1G29910.1, AT1G29930.1, AT2G34420.1, AT2G34430.1"	"OG0000359"	"AT1G29910.1, AT1G29920.1, AT1G29930.1, AT2G34420.1, AT2G34430.1"	"AT2G34430.1"	266	266	100	100	266	97.744	529	"AT2G34430.1"	"97.744"	"266"	"6"	"0"	"1"	"266"	"1"	"266"	"0"	"529"	"100"	"266"	"266"
"XP_002879500.2"	307	"AT2G34460.1"	"AT2G34460.1"	"orthologue"	"AT2G34460.1"	"N0.HOG0023002"	"AT2G34460.1"	"OG0016421"	"AT2G34460.1"	"AT2G34460.1"	307	280	93	100	285	94.035	536	"AT2G34460.1"	"94.035"	"285"	"12"	"3"	"23"	"307"	"1"	"280"	"0"	"536"	"93"	"307"	"280"
"XP_002879501.1"	290	"AT2G34540.2"	"AT2G34540.2"	"orthologue"	"AT2G34540.2"	"N0.HOG0019158"	"AT2G34540.2"	"OG0012687"	"AT2G34540.2"	"AT2G34540.2"	290	288	100	100	290	90.345	518	"AT2G34540.2"	"90.345"	"290"	"26"	"1"	"1"	"290"	"1"	"288"	"0"	"525"	"100"	"290"	"288"
"XP_002879502.1"	335	"AT2G34555.1"	"AT2G34555.1"	"orthologue"	"AT2G34555.1"	"N0.HOG0012465"	"AT2G34555.1"	"OG0006512"	"AT2G34555.1"	"AT2G34555.1"	335	335	100	100	335	93.433	651	"AT2G34555.1"	"93.433"	"335"	"22"	"0"	"1"	"335"	"1"	"335"	"0"	"651"	"100"	"335"	"335"
"XP_002879507.2"	361	"AT2G34620.1"	"AT2G34620.1"	"orthologue"	"AT2G34620.1"	"N0.HOG0017829"	"AT2G34620.1"	"OG0011460"	"AT2G34620.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G34620.1"	"95.033"	"302"	"15"	"0"	"59"	"360"	"1"	"302"	"0"	"578"	"84"	"361"	"303"
"XP_002879508.1"	422	"AT2G34630.2"	"AT2G34630.2"	"orthologue"	"AT2G34630.2"	"N0.HOG0012462"	"AT2G34630.2"	"OG0006509"	"AT2G34630.2"	"AT2G34630.2"	422	422	100	100	422	96.919	842	"AT2G34630.2"	"96.919"	"422"	"13"	"0"	"1"	"422"	"1"	"422"	"0"	"842"	"100"	"422"	"422"
"XP_002879512.1"	834	"AT2G34730.1"	"AT2G34730.1"	"orthologue"	"AT2G34730.1"	"N0.HOG0017827"	"AT2G34730.1"	"OG0011458"	"AT2G34730.1"	"AT2G34730.1"	834	825	99	99	833	91.597	1501	"AT2G34730.1"	"91.597"	"833"	"61"	"1"	"1"	"833"	"1"	"824"	"0"	"1508"	"99"	"834"	"825"
"XP_002879514.1"	237	"AT2G34770.1"	"AT2G34770.1"	"orthologue"	"AT2G34770.1"	"N0.HOG0009768"	"AT2G34770.1"	"OG0004247"	"AT2G34770.1"	"AT2G34770.1"	237	237	100	100	237	98.734	484	"AT2G34770.1"	"98.734"	"237"	"3"	"0"	"1"	"237"	"1"	"237"	"1.21e-176"	"484"	"100"	"237"	"237"
"XP_002879515.1"	1287	"AT2G34780.1"	"AT2G34780.1"	"orthologue"	"AT2G34780.1"	"N0.HOG0013372"	"AT2G34780.1"	"OG0007330"	"AT2G34780.1"	"AT2G34780.1"	1287	1297	100	100	1301	88.701	2248	"AT2G34780.1"	"88.701"	"1301"	"129"	"5"	"1"	"1287"	"1"	"1297"	"0"	"2251"	"100"	"1287"	"1297"
"XP_002879516.2"	542	"AT2G34810.1"	"AT2G34810.1"	"orthologue"	"AT2G34810.1"	"N0.HOG0013371"	"AT2G34810.1"	"OG0007329"	"AT2G34810.1"	"AT2G34810.1"	542	540	99	100	541	96.303	1079	"AT2G34810.1"	"96.303"	"541"	"18"	"2"	"3"	"542"	"1"	"540"	"0"	"1079"	"99"	"542"	"540"
"XP_002879517.1"	292	"AT2G34820.1"	"AT2G34820.1"	"orthologue"	"AT2G34820.1"	"N0.HOG0008070"	"AT2G34820.1"	"OG0003122"	"AT1G30670.1, AT2G34820.1"	"AT2G34820.1"	292	291	100	100	292	91.781	521	"AT2G34820.1"	"91.781"	"292"	"23"	"1"	"1"	"292"	"1"	"291"	"0"	"524"	"100"	"292"	"291"
"XP_002879518.1"	72	"AT2G34825.1"	"AT2G34825.1"	"other"	NA	"N0.HOG0025539"	"AT2G34825.1, AT2G32885.1"	"OG0018839"	"AT2G32885.1, AT2G34825.1"	"AT2G34825.1"	72	72	99	99	71	91.549	137	"AT2G34825.1"	"91.549"	"71"	"6"	"0"	"1"	"71"	"1"	"71"	"1.46e-44"	"137"	"99"	"72"	"72"
"XP_002879524.1"	288	"AT2G34910.1"	"AT2G34910.1"	"orthologue"	"AT2G34910.1"	"N0.HOG0014508"	"AT2G34910.1"	"OG0008382"	"AT2G34910.1"	"AT2G34910.1"	288	288	100	100	288	94.444	544	"AT2G34910.1"	"94.444"	"288"	"16"	"0"	"1"	"288"	"1"	"288"	"0"	"544"	"100"	"288"	"288"
"XP_002879525.1"	88	"AT2G34925.1"	"AT2G34925.1"	"orthologue"	"AT2G34925.1"	"N0.HOG0023514"	"AT2G34925.1"	"OG0016902"	"AT2G34925.1"	"AT2G34925.1"	88	88	100	100	88	89.773	130	"AT2G34925.1"	"89.773"	"88"	"9"	"0"	"1"	"88"	"1"	"88"	"1.36e-41"	"130"	"100"	"88"	"88"
"XP_002879526.1"	619	"AT2G34940.1"	"AT2G34940.1"	"orthologue"	"AT2G34940.1"	"N0.HOG0006997"	"AT2G34940.1"	"OG0002527"	"AT1G30900.1, AT2G34940.1"	"AT2G34940.1"	619	618	100	99	619	91.922	1188	"AT2G34940.1"	"91.922"	"619"	"47"	"1"	"1"	"619"	"1"	"616"	"0"	"1188"	"100"	"619"	"618"
"XP_002879528.2"	303	"AT2G34980.1"	"AT2G34980.1"	"orthologue"	"AT2G34980.1"	"N0.HOG0013799"	"AT2G34980.1"	"OG0007711"	"AT2G34980.1"	"AT2G34980.1"	303	303	100	100	303	98.02	597	"AT2G34980.1"	"98.02"	"303"	"6"	"0"	"1"	"303"	"1"	"303"	"0"	"597"	"100"	"303"	"303"
"XP_002879530.1"	498	"AT2G35020.1"	"AT2G35020.1"	"orthologue"	"AT2G35020.1"	"N0.HOG0005466"	"AT2G35020.1, AT1G31070.2"	"OG0001737"	"AT1G31070.2, AT2G35020.1"	"AT2G35020.1"	498	502	100	100	502	95.817	999	"AT2G35020.1"	"95.817"	"502"	"17"	"1"	"1"	"498"	"1"	"502"	"0"	"999"	"100"	"498"	"502"
"XP_002879534.1"	802	"AT2G35160.1"	"AT2G35160.1"	"orthologue"	"AT2G35160.1"	"N0.HOG0004590"	"AT2G35160.1"	"OG0001296"	"AT2G22740.1, AT2G35160.1"	"AT2G35160.1"	802	794	100	100	812	83.621	1311	"AT2G35160.1"	"84.01"	"813"	"100"	"7"	"1"	"802"	"1"	"794"	"0"	"1360"	"100"	"802"	"794"
"XP_002879538.1"	399	"AT2G35210.1"	"AT2G35210.1"	"orthologue"	"AT2G35210.1"	"N0.HOG0019844"	"AT2G35210.1"	"OG0013340"	"AT2G35210.1"	"AT2G35210.1"	399	395	100	100	399	93.734	717	"AT2G35210.1"	"93.734"	"399"	"21"	"4"	"1"	"399"	"1"	"395"	"0"	"724"	"100"	"399"	"395"
"XP_002879539.1"	106	"AT2G35215.1"	"AT2G35215.1"	"orthologue"	"AT2G35215.1"	"N0.HOG0013806"	"AT2G35215.1"	"OG0007718"	"AT2G35215.1"	"AT2G35215.1"	106	106	100	100	106	91.509	202	"AT2G35215.1"	"91.509"	"106"	"9"	"0"	"1"	"106"	"1"	"106"	"1.93e-69"	"202"	"100"	"106"	"106"
"XP_002879543.1"	371	"AT2G35260.1"	"AT2G35260.1"	"orthologue"	"AT2G35260.1"	"N0.HOG0013805"	"AT2G35260.1"	"OG0007717"	"AT2G35260.1"	"AT2G35260.1"	371	382	100	100	382	94.241	710	"AT2G35260.1"	"94.241"	"382"	"11"	"3"	"1"	"371"	"1"	"382"	"0"	"710"	"100"	"371"	"382"
"XP_002879544.1"	287	"AT2G35270.1"	"AT2G35270.1"	"orthologue"	"AT2G35270.1"	"N0.HOG0010577"	"AT2G35270.1"	"OG0004905"	"AT2G35270.1"	"AT2G35270.1"	287	285	100	100	287	98.258	560	"AT2G35270.1"	"98.258"	"287"	"3"	"1"	"1"	"287"	"1"	"285"	"0"	"560"	"100"	"287"	"285"
"XP_002879550.2"	426	"AT4G38220.2"	"AT4G38220.2"	"other"	NA	NA	NA	"OG0002389"	"AT4G38220.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G38220.2"	"73.067"	"401"	"107"	"1"	"25"	"425"	"24"	"423"	"0"	"615"	"94"	"426"	"433"
"XP_002879552.1"	239	"AT2G35460.1"	"AT2G35460.1"	"orthologue"	"AT2G35460.1"	"N0.HOG0024846"	"AT2G35460.1"	"OG0018194"	"AT2G35460.1"	"AT2G35460.1"	239	238	100	100	239	79.916	399	"AT2G35460.1"	"79.916"	"239"	"47"	"1"	"1"	"239"	"1"	"238"	"3.99e-143"	"399"	"100"	"239"	"238"
"XP_002879553.1"	195	"AT2G35480.1"	"AT2G35480.1"	"orthologue"	"AT2G35480.1"	"N0.HOG0021732"	"AT2G35480.1"	"OG0015169"	"AT2G35480.1"	"AT2G35480.1"	195	195	100	100	195	88.718	360	"AT2G35480.1"	"88.718"	"195"	"22"	"0"	"1"	"195"	"1"	"195"	"5.05e-129"	"360"	"100"	"195"	"195"
"XP_002879555.1"	116	"AT2G35520.2"	"AT2G35520.2"	"orthologue"	"AT2G35520.2"	"N0.HOG0007688"	"AT1G32210.1, AT2G35520.2"	"OG0002899"	"AT1G32210.1, AT2G35520.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G35520.2"	"95.575"	"113"	"4"	"1"	"5"	"116"	"4"	"116"	"3.89e-74"	"215"	"97"	"116"	"116"
"XP_002879558.1"	155	"AT2G35585.1"	"AT2G35585.1"	"orthologue"	"AT2G35585.1"	"N0.HOG0021090"	"AT2G35585.1"	"OG0014543"	"AT2G35585.1"	"AT2G35585.1"	155	156	100	100	156	92.308	281	"AT2G35585.1"	"92.308"	"156"	"11"	"1"	"1"	"155"	"1"	"156"	"3.03e-99"	"281"	"100"	"155"	"156"
"XP_002879561.1"	447	"AT2G35615.1"	"AT2G35615.1"	"orthologue"	"AT2G35615.1"	"N0.HOG0004230"	"AT2G35615.1"	"OG0001125"	"AT1G31450.1, AT2G35615.1"	"AT2G35615.1"	447	447	100	100	447	93.96	816	"AT2G35615.1"	"93.96"	"447"	"27"	"0"	"1"	"447"	"1"	"447"	"0"	"842"	"100"	"447"	"447"
"XP_002879565.1"	556	"AT2G35650.1"	"AT2G35650.1"	"orthologue"	"AT2G35650.1"	"N0.HOG0018326"	"AT2G35650.1"	"OG0011910"	"AT2G35650.1"	"AT2G35650.1"	556	556	100	100	556	97.482	1122	"AT2G35650.1"	"97.482"	"556"	"14"	"0"	"1"	"556"	"1"	"556"	"0"	"1122"	"100"	"556"	"556"
"XP_002879567.1"	664	"AT2G35690.1"	"AT2G35690.1"	"orthologue"	"AT2G35690.1"	"N0.HOG0007209"	"AT2G35690.1, AT4G16760.1"	"OG0002631"	"AT2G35690.1, AT4G16760.1"	"AT2G35690.1"	664	664	100	100	664	96.687	1353	"AT2G35690.1"	"96.687"	"664"	"22"	"0"	"1"	"664"	"1"	"664"	"0"	"1353"	"100"	"664"	"664"
"XP_002879568.1"	189	"AT2G35700.1"	"AT2G35700.1"	"orthologue"	"AT2G35700.1"	"N0.HOG0004941"	"AT2G35700.1, AT4G16750.1"	"OG0001470"	"AT2G35700.1, AT4G16750.1"	"AT2G35700.1"	189	194	100	100	194	94.33	365	"AT2G35700.1"	"94.33"	"194"	"6"	"2"	"1"	"189"	"1"	"194"	"2.43e-131"	"365"	"100"	"189"	"194"
"XP_002879569.1"	204	"AT4G17390.1"	"AT4G17390.1"	"other"	NA	"N0.HOG0003453"	"AT4G17390.1"	"OG0000798"	"AT4G16720.1, AT4G17390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G16720.1"	"95.588"	"204"	"9"	"0"	"1"	"204"	"1"	"204"	"5.1e-144"	"399"	"100"	"204"	"204"
"XP_002879573.1"	73	"AT2G35765.1"	"AT2G35765.1"	"orthologue"	"AT2G35765.1"	"N0.HOG0005607"	"AT2G35765.1, AT1G19500.1"	"OG0001807"	"AT1G19500.1, AT2G35765.1"	"AT2G35765.1"	73	73	100	100	73	91.781	141	"AT2G35765.1"	"91.781"	"73"	"6"	"0"	"1"	"73"	"1"	"73"	"3.95e-46"	"141"	"100"	"73"	"73"
"XP_002879574.1"	239	"AT2G35790.1"	"AT2G35790.1"	"orthologue"	"AT2G35790.1"	"N0.HOG0014092"	"AT2G35790.1"	"OG0007982"	"AT2G35790.1"	"AT2G35790.1"	239	238	100	100	239	95.397	429	"AT2G35790.1"	"95.397"	"239"	"10"	"1"	"1"	"239"	"1"	"238"	"4.63e-161"	"444"	"100"	"239"	"238"
"XP_002879577.1"	189	"AT2G35810.1, AT2G35830.2, AT2G35820.2"	"AT2G35820.2"	"other"	NA	"N0.HOG0009476"	"AT2G35810.1, AT2G35830.2, AT2G35820.2"	"OG0004031"	"AT2G35810.1, AT2G35820.2, AT2G35830.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G35820.2"	"72.826"	"184"	"49"	"1"	"1"	"183"	"91"	"274"	"2.95e-98"	"285"	"97"	"189"	"282"
"XP_002879578.1"	186	"AT2G35810.1, AT2G35830.2, AT2G35820.2"	"AT2G35810.1"	"orthologue"	"AT2G35810.1, AT2G35830.2, AT2G35820.2"	"N0.HOG0009476"	"AT2G35810.1, AT2G35830.2, AT2G35820.2"	"OG0004031"	"AT2G35810.1, AT2G35820.2, AT2G35830.2"	"AT2G35810.1"	186	199	99	92	185	81.622	315	"AT2G35810.1"	"81.622"	"185"	"33"	"1"	"1"	"185"	"15"	"198"	"3.57e-111"	"315"	"99"	"186"	"199"
"XP_002879579.1"	422	"AT2G35840.1"	"AT2G35840.1"	"orthologue"	"AT2G35840.1"	"N0.HOG0004513"	"AT2G35840.1"	"OG0001254"	"AT1G51420.2, AT2G35840.1"	"AT2G35840.1"	422	422	100	100	422	95.735	841	"AT2G35840.1"	"95.735"	"422"	"18"	"0"	"1"	"422"	"1"	"422"	"0"	"841"	"100"	"422"	"422"
"XP_002879580.2"	97	"AT2G35850.1"	"AT2G35850.1"	"orthologue"	"AT2G35850.1"	"N0.HOG0024353"	"AT2G35850.1"	"OG0017716"	"AT2G35850.1"	"AT2G35850.1"	97	80	85	100	83	86.747	125	"AT2G35850.1"	"90.361"	"83"	"4"	"3"	"1"	"82"	"1"	"80"	"2.15e-40"	"127"	"85"	"97"	"80"
"XP_002879581.1"	445	"AT2G35860.1"	"AT2G35860.1"	"orthologue"	"AT2G35860.1"	"N0.HOG0006317"	"AT2G35860.1, AT3G52370.2"	"OG0002168"	"AT2G35860.1, AT3G52370.2"	"AT2G35860.1"	445	445	100	100	445	98.202	897	"AT2G35860.1"	"98.202"	"445"	"8"	"0"	"1"	"445"	"1"	"445"	"0"	"897"	"100"	"445"	"445"
"XP_002879583.2"	222	"AT2G35950.2"	"AT2G35950.2"	"orthologue"	"AT2G35950.2"	"N0.HOG0026238"	"AT2G35950.2"	"OG0019470"	"AT2G35950.2"	"AT2G35950.2"	222	251	100	87	222	87.387	340	"AT2G35950.2"	"87.387"	"222"	"25"	"2"	"1"	"222"	"33"	"251"	"2.74e-137"	"384"	"100"	"222"	"251"
"XP_002879584.1"	209	"AT2G35960.1, AT2G35970.1, AT4G09590.1"	"AT2G35960.1"	"orthologue"	"AT2G35960.1, AT2G35970.1, AT4G09590.1"	"N0.HOG0006619"	"AT3G52470.1, AT2G35960.1, AT2G35970.1, AT4G09590.1"	"OG0002337"	"AT2G35960.1, AT2G35970.1, AT3G52470.1, AT4G09590.1"	"AT2G35960.1"	209	210	99	99	208	97.115	420	"AT2G35960.1"	"97.115"	"208"	"6"	"0"	"2"	"209"	"3"	"210"	"2.47e-152"	"420"	"99"	"209"	"210"
"XP_002879585.1"	227	"AT2G35980.1"	"AT2G35980.1"	"orthologue"	"AT2G35980.1"	"N0.HOG0018646"	"AT2G35980.1"	"OG0012212"	"AT2G35980.1"	"AT2G35980.1"	227	227	100	100	227	98.238	461	"AT2G35980.1"	"98.238"	"227"	"4"	"0"	"1"	"227"	"1"	"227"	"4.5e-168"	"461"	"100"	"227"	"227"
"XP_002879589.1"	486	"AT2G36010.2"	"AT2G36010.2"	"orthologue"	"AT2G36010.2"	"N0.HOG0009945"	"AT2G36010.2"	"OG0004381"	"AT2G36010.2"	"AT2G36010.2"	486	514	100	95	510	80.196	780	"AT2G36010.2"	"80.855"	"538"	"27"	"6"	"1"	"486"	"1"	"514"	"0"	"780"	"100"	"486"	"514"
"XP_002879590.1"	192	"AT2G36026.1"	"AT2G36026.1"	"orthologue"	"AT2G36026.1"	"N0.HOG0013024"	"AT2G36026.1"	"OG0007003"	"AT2G36026.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G36026.1"	"97.633"	"169"	"3"	"1"	"1"	"169"	"1"	"168"	"2.83e-121"	"340"	"88"	"192"	"183"
"XP_002879591.1"	313	"AT2G36090.1"	"AT2G36090.1"	"orthologue"	"AT2G36090.1"	"N0.HOG0014076"	"AT2G36090.1"	"OG0007966"	"AT2G36090.1"	"AT2G36090.1"	313	317	100	100	317	93.375	565	"AT2G36090.1"	"93.375"	"317"	"17"	"1"	"1"	"313"	"1"	"317"	"0"	"565"	"100"	"313"	"317"
"XP_002879594.1"	157	"AT2G36130.1"	"AT2G36130.1"	"orthologue"	"AT2G36130.1"	"N0.HOG0015230"	"AT2G36130.1"	"OG0009071"	"AT2G36130.1"	"AT2G36130.1"	157	164	100	100	164	94.512	313	"AT2G36130.1"	"94.512"	"164"	"2"	"1"	"1"	"157"	"1"	"164"	"7.83e-112"	"313"	"100"	"157"	"164"
"XP_002879596.1"	151	"AT3G11510.1, AT2G36160.1"	"AT2G36160.1"	"orthologue"	"AT3G11510.1, AT2G36160.1"	"N0.HOG0002303"	"AT3G11510.1, AT2G36160.1, AT3G52580.1"	"OG0000404"	"AT2G36160.1, AT3G11510.1, AT3G52580.1"	"AT2G36160.1"	151	150	99	99	149	99.329	298	"AT2G36160.1"	"99.329"	"149"	"1"	"0"	"3"	"151"	"2"	"150"	"5.25e-106"	"298"	"99"	"151"	"150"
