Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_glauca
OG0002620	AL7G16170	Cg001G0050600
OG0002621	AL3G49560	Cg004G1403400
OG0002621	AL7G16120	Cg001G0050100
OG0002623	AL6G45710	Cg003G0760200, Cg003G0760300
OG0002624	AL5G45900	Cg002G0400200
OG0002624	AL4G47740	Cg005G1448000
OG0002625	AL5G43710	Cg002G0416100
OG0002625	AL4G45170	Cg005G1469800
OG0002626	AL5G41930	Cg002G0429400
OG0002626	AL4G42720	Cg005G1491000
OG0002627	AL5G39600	Cg002G0445100
OG0002628	AL5G39450	Cg002G0446500
OG0002628	AL4G40670	Cg005G1507700
OG0002629	AL5G38890	Cg002G0450800
OG0002629	AL4G39710	Cg005G1514300
OG0002630	AL5G37460	Cg002G0463300
OG0002630	AL4G38220	Cg005G1526900
OG0002631	AL5G36310	Cg002G0474400
OG0002631	AL4G36750	Cg005G1538300
OG0002632	AL3G38210	Cg004G1304400
OG0002632	AL3G38220	Cg004G1304600
OG0002633	AL4G34790	Cg005G1554700
OG0002633	AL5G34910	Cg002G0487600
OG0002634	AL7G24930	Cg001G0125400
OG0002634	AL8G28230	Cg007G2449300, Cg003G0918700
OG0002635	AL3G42390	Cg004G1334800
OG0002635	AL7G44580	Cg001G0315800
OG0002636	AL2G25760	Cg007G2439100
OG0002637	AL7G22960	Cg001G0107800
OG0002637	AL3G48520	Cg004G1434400
OG0002638	AL4G36940	Cg005G1536700
OG0002639	AL4G18740, AL5G11470, AL1G40150	Cg006G2007000
OG0002640	AL1G11330	Cg006G2245900
OG0002640	AL6G52600	Cg003G0710800, Cg014G3045000
OG0002641	AL2G17580, AL7G10790	Cg001G0007300
OG0002641	AL4G10370	Cg005G1776600
OG0002642	AL7G11120	Cg001G0010000
OG0002643	AL6G44520	Cg003G0772700
OG0002643	AL1G47350	Cg006G1942600
OG0002644	AL3G54170	Cg004G1446800
OG0002645	AL5G42590	Cg002G0424700
OG0002645	AL4G43990	Cg005G1480600
OG0002647	AL6G29380	Cg008G2745900
OG0002648	AL3G17950	Cg004G1132300
OG0002648	AL8G22720	Cg008G2860700, Cg008G2845900
OG0002649	AL3G20430	Cg004G1152700
OG0002649	AL6G11320	Cg008G2593400
OG0002650	AL3G20600	Cg004G1153900
OG0002651	AL3G23180	Cg004G1176200
OG0002651	AL6G16330	Cg008G2635300
OG0002652	AL3G24830	Cg004G1190600
OG0002652	AL3G24840	Cg004G1190800
OG0002653	AL1G55230	Cg006G1847200
OG0002653	AL3G31140	Cg004G1245200
OG0002654	AL4G12410	Cg005G1760400
OG0002654	AL7G12920	Cg001G0024100
OG0002655	AL7G50800	Cg001G0364300
OG0002656	AL7G41590	Cg001G0265300
OG0002657	AL3G37380	Cg004G1296800
OG0002657	AL7G41480	Cg001G0264300
OG0002658	AL3G36610	Cg004G1290500
OG0002658	AL3G36580	Cg004G1290300
OG0002660	AL7G46560	Cg001G0339200
OG0002660	AL2G24000	Cg007G2425400
OG0002661	AL6G40930, AL6G40920	Cg008G2836400
OG0002662	AL6G51710	Cg003G0716100, Cg014G3039500
OG0002663	AL5G19010, AL1G12730	Cg006G2236200
OG0002664	AL1G17730	Cg006G2188600
OG0002665	AL1G20190	Cg006G2167700
OG0002665	AL1G67510	Cg007G2324200
OG0002666	AL1G20780	Cg006G2162400
OG0002666	AL2G17680	Cg007G2314200
OG0002667	AL2G15720	Cg007G2296800
OG0002667	AL1G21630, AL1G21530	Cg006G2156500
OG0002668	AL1G22410	Cg006G2149900
OG0002670	AL1G25690	Cg006G2125700
OG0002670	AL5G13240	Cg002G0677000
OG0002672	AL5G10630	Cg002G0692300
OG0002672	AL1G26970	Cg006G2114100
OG0002673	AL1G27220	Cg006G2111900
OG0002674	AL7G51010	Cg006G2094200
OG0002674	AL2G38910	Cg007G2556000
OG0002675	AL1G29610	Cg006G2091100
OG0002677	AL4G31480	Cg005G1578800
OG0002677	nbis-gene-1687	Cg001G0001200
OG0002678	AL4G10220	Cg005G1777700
OG0002678	AL7G10620	Cg001G0006100
OG0002680	nbis-gene-950, AL2G12800, AL4G12540	Cg005G1759700
OG0002680	AL7G13100	Cg001G0025100
OG0002681	AL7G16640	Cg001G0055100
OG0002681	AL3G52520	Cg004G1398300, Cg004G1398400
OG0002682	AL7G16780	Cg001G0056400
OG0002682	AL3G52260	Cg004G1396800
OG0002683	AL7G17090	Cg001G0059000
OG0002683	AL3G47050	Cg004G1379800, Cg004G1387800
OG0002684	AL7G19280	Cg001G0077500
OG0002685	AL4G18020	Cg005G1716300
OG0002685	AL7G18750	Cg001G0072100
OG0002687	AL3G46390	Cg004G1371300
OG0002688	AL4G16210	Cg005G1734700
OG0002688	AL7G20100	Cg001G0084400
OG0002689	nbis-gene-540	Cg007G2562100
OG0002690	AL1G40840, AL1G40620	Cg006G2003100, Cg006G2000900
OG0002694	AL2G17180, AL2G16970, AL2G16990	Cg007G2309900
OG0002695	AL3G26240, AL286U10020, AL3G19220	Cg004G1142900
OG0002696	AL6G46670, AL6G46710, AL6G46690, AL6G46680	Cg005G1709600, Cg005G1749100, Cg005G1749200, Cg005G1749300, Cg005G1749700, Cg005G1757300, Cg001G0223200
OG0002696	AL7G12560	Cg001G0366600
OG0002699	AL604U10010, AL8G26170	Cg003G0900700
OG0002700	AL4G39720	Cg003G0904300
OG0002705	AL8G29840	Cg003G0932900
OG0002707	AL3G52600	Cg004G1399400
OG0002708	AL6G25760	Cg008G2713700
OG0002708	AL3G10880	Cg004G1078500
OG0002710	AL6G22820	Cg008G2687300
OG0002711	AL6G20140	Cg008G2664000
OG0002711	AL8G42020	Cg003G1037500
OG0002712	AL7G52750	Cg001G0348300, Cg001G0348900
OG0002712	nbis-gene-1341	Cg002G0525500
OG0002713	AL6G19370	Cg008G2658600
OG0002714	AL8G38150	Cg003G1005400
OG0002714	AL6G18000	Cg008G2648600
OG0002715	AL4G22800	Cg005G1663000
OG0002715	AL1G18670	Cg006G2181200
OG0002716	AL4G22590, AL4G22580	Cg005G1660100
OG0002717	AL4G26920	Cg005G1616000
OG0002717	AL1G15740	Cg006G2207700
OG0002718	AL1G14170	Cg006G2221600
OG0002718	AL4G28980	Cg005G1599600
OG0002719	AL6G12230	Cg008G2601000
OG0002719	AL8G16520, AL37U10030	Cg008G2934400
OG0002720	AL7G27570, AL7G27580	Cg001G0148600, Cg001G0148500
OG0002721	AL1G53740	Cg006G1858700
OG0002721	AL8G18490	Cg008G2897800
OG0002723	AL4G30570	Cg005G1587200
OG0002723	AL1G44020	Cg006G1973000
OG0002724	AL1G45650	Cg006G1962600
OG0002724	AL4G31090	Cg005G1582600
OG0002725	AL5G44840	Cg002G0408500
OG0002726	AL6G37090	Cg008G2810000
OG0002727	AL5G21270	Cg002G0600000
OG0002727	AL6G32340	Cg008G2772600
OG0002728	AL5G23750	Cg002G0577000
OG0002728	AL8G37270	Cg003G0997200
OG0002729	AL5G24200	Cg002G0574200
OG0002729	AL8G36840	Cg003G0993600
OG0002730	AL7G41310	Cg001G0263000
OG0002731	AL8G31620	Cg003G0948700
OG0002731	AL7G26370	Cg001G0137600
OG0002732	AL5G28930	Cg002G0535700
OG0002733	AL6G17400	Cg008G2643800
OG0002733	AL8G39050	Cg003G1013000
OG0002734	AL6G16380	Cg008G2635700
OG0002734	AL3G23210	Cg004G1176500
OG0002735	AL4G38080	Cg005G1528300, Cg004G1350500
OG0002736	AL6G14670	Cg008G2622000
OG0002736	AL3G22180	Cg004G1166700
OG0002737	AL6G13120	Cg008G2607400
OG0002738	AL7G24320	Cg001G0119200
OG0002738	AL3G53790	Cg004G1444000
OG0002740	AL3G19940	Cg004G1149000
OG0002740	AL6G10520	Cg008G2587600
OG0002741	AL1G28990	Cg006G2096400
OG0002741	AL2G39310	Cg007G2559900
OG0002742	nbis-gene-890	Cg004G1409300
OG0002743	AL7G25560	Cg001G0130600
OG0002743	AL8G29870	Cg003G0933300
OG0002744	AL3G26080	Cg004G1199700
OG0002744	AL1G63040	Cg006G1791400
OG0002745	AL1G61960	Cg006G1801100
OG0002745	AL3G27140	Cg004G1210000
OG0002746	AL3G27620	Cg004G1215400
OG0002746	AL1G61540	Cg006G1803600
OG0002747	AL5G22490	Cg002G0590400
OG0002747	AL7G19120	Cg001G0075600
OG0002748	AL8G23640	Cg003G0841500
OG0002748	AL7G28600	Cg001G0157800
OG0002749	AL1G21770	Cg001G0276100
OG0002749	AL7G42740	Cg001G0276200
OG0002750	AL2G23570	Cg007G2420900
OG0002751	AL7G40350, AL7G40310	Cg001G0255700, Cg001G0255600
OG0002752	AL3G35770	Cg004G1284300
OG0002752	AL7G40160	Cg001G0253100
OG0002753	AL2G24620	Cg007G2430200, Cg007G2428000, Cg007G2430300
OG0002754	AL7G39390	Cg001G0247100
OG0002754	AL3G29550	Cg004G1231300
OG0002755	AL2G33420	Cg007G2506100
OG0002756	AL1G24780, AL165U10010	Cg006G2132200
OG0002756	AL4G20530	Cg004G1421200
OG0002757	AL7G23730	Cg001G0113800
OG0002757	AL3G47860	Cg004G1439400
OG0002758	AL3G47950	Cg004G1438600
OG0002758	AL7G23400	Cg001G0111500
OG0002760	AL7G48690	Cg001G0381400
OG0002761	AL2G29140	Cg007G2468700
OG0002761	AL1G38460	Cg006G2022000
OG0002762	AL7G13700	Cg001G0029500
OG0002762	AL4G13330	Cg005G1755000
OG0002763	AL1G59430	Cg006G1819600
OG0002763	AL3G35060	Cg004G1278300
OG0002764	AL1G59590	Cg006G1818300
OG0002764	AL3G35270	Cg004G1279900
OG0002765	AL1G60030, AL1G60020	Cg006G1815300
OG0002766	AL9U11040	Cg001G0289300
OG0002766	AL2G22880, AL2G24350, AL3G40740	Cg004G1320200
OG0002767	AL4G31750	Cg005G1576600
OG0002768	AL7G36190, AL7G36200	Cg001G0219800
OG0002769	AL8G10630	Cg008G2983100
OG0002769	AL7G37300	Cg001G0229000
OG0002770	AL7G37370	Cg001G0229700
OG0002771	AL5G30460	Cg002G0525200
OG0002771	AL8G44340	Cg003G1058800
OG0002772	AL4G34930	Cg005G1553600
OG0002773	AL7G30950	Cg001G0178100, Cg001G0178000
OG0002775	AL6G25460	Cg008G2710900
OG0002775	AL3G10640	Cg004G1076400
OG0002776	AL4G47000	Cg005G1455000
OG0002776	AL5G45320	Cg002G0405100
OG0002777	AL4G43920	Cg005G1481100
OG0002777	AL5G42540	Cg002G0425000
OG0002778	AL5G41460	Cg002G0431500
OG0002778	AL4G42150	Cg005G1495700
OG0002779	AL4G38540	Cg005G1523800
OG0002780	AL5G36110	Cg002G0476600
OG0002780	AL5G36120	Cg002G0476500
OG0002781	AL3G26550	Cg004G1204700
OG0002782	AL4G33520	Cg005G1562200
OG0002782	AL5G34300	Cg002G0492900
OG0002784	AL3G42800	Cg004G1339400
OG0002785	AL3G39710	Cg004G1312900
OG0002786	AL3G52080	Cg004G1423000, Cg004G1423100
OG0002787	AL1G13510	Cg006G2228000
OG0002787	AL4G33010	Cg005G1566100
OG0002788	AL5G11000	Cg002G0688900
OG0002790	AL4G36760	Cg005G1538200
OG0002790	AL4G36780	Cg005G1538100
OG0002791	AL7G11020	Cg001G0009000
OG0002791	AL4G10610	Cg005G1774500
OG0002792	AL6G41460	Cg003G0790900
OG0002792	AL1G49950	Cg006G1916500
OG0002793	AL1G48710	Cg006G1925000
OG0002793	AL2G31410	Cg007G2487300
OG0002794	AL5G11230	Cg002G0659100
OG0002795	AL3G16550	Cg004G1120400
OG0002795	AL6G38670	Cg008G2822600
OG0002796	AL6G40360	Cg008G2833100
OG0002796	AL3G15740	Cg004G1114800
OG0002798	AL1G53780	Cg005G1494600
OG0002798	AL4G42310	Cg005G1494500
OG0002799	AL8G10960	Cg008G2980800
OG0002802	nbis-gene-1593	Cg008G2831200
OG0002802	AL3G15380	Cg004G1111000
OG0002803	AL3G17010	Cg004G1124700
OG0002803	AL6G30440	Cg008G2755200
OG0002804	AL3G17040	Cg004G1125200
OG0002804	AL6G30380	Cg008G2754800
OG0002805	AL6G51200	Cg003G0712100, Cg014G3043900
OG0002805	AL3G44080	Cg004G1353100
OG0002806	AL3G27790	Cg004G1216700
OG0002807	AL3G29930	Cg004G1234400
OG0002807	AL7G38960	Cg001G0243600
OG0002808	AL1G55770	Cg006G1843000
OG0002808	AL3G31900	Cg004G1251700
OG0002809	AL8G37450, AL1G58630	Cg006G1825500
OG0002810	AL3G37790	Cg004G1299700
OG0002810	AL7G41690	Cg001G0266300
OG0002811	AL1G24830	Cg006G2131900
OG0002812	AL1G21560	Cg006G2156200
OG0002812	AL2G15780	Cg007G2296400
OG0002813	AL1G22580	Cg006G2148500
OG0002814	AL1G22720	Cg006G2147300
OG0002814	AL2G14290	Cg007G2286500
OG0002815	AL2G13050	Cg007G2277100
OG0002815	AL1G23580	Cg006G2140500
OG0002816	AL1G23730	Cg006G2139500
OG0002816	AL2G12840	Cg007G2275300
OG0002817	AL1G29560	Cg007G2493000
OG0002818	AL2G32380	Cg007G2497300
OG0002818	AL1G29790	Cg006G2089600
OG0002819	AL2G30530	Cg007G2479900
OG0002819	AL1G36620	Cg006G2035800
OG0002821	AL7G47740	Cg001G0389300
OG0002821	AL2G10830	Cg007G2262800
OG0002822	AL1G56260, AL1G56180	Cg006G1838900
OG0002823	AL7G13850, AL7G13840	Cg001G0030800
OG0002824	AL8G13800	Cg008G2957200
OG0002825	AL7G15430	Cg001G0044300
OG0002826	AL4G16980	Cg005G1728600
OG0002826	AL7G19430	Cg001G0078800
OG0002827	AL7G17780	Cg001G0064500
OG0002827	AL3G46040	Cg004G1368300
OG0002828	AL7G20280	Cg001G0086000
OG0002829	AL6G51790	Cg014G3038800, Cg003G0716800
OG0002830	AL1G54200	Cg006G1808700
OG0002835	AL5G18590	Cg002G0640300
OG0002835	AL5G18520	Cg002G0639600
OG0002837	AL8G27810	Cg003G0915400, Cg005G1652800
OG0002844	AL5G12570	Cg002G0681700
OG0002844	AL6G52060	Cg001G0320200
OG0002845	AL3G13140	Cg004G1095900
OG0002845	AL6G28600	Cg008G2738900
OG0002846	AL3G10080	Cg004G1071400
OG0002846	AL6G24720	Cg008G2704400
OG0002847	AL6G24580	Cg008G2703000
OG0002848	AL5G12040, AL5G12300, AL7G43090	Cg001G0281800
OG0002849	nbis-gene-1120, AL5G26040	Cg005G1539000
OG0002850	AL6G21940	Cg008G2680100
OG0002850	AL6G37140	Cg008G2810400
OG0002851	AL6G21830, AL6G21820	Cg008G2679300
OG0002852	AL1G30320	Cg005G1762800
OG0002852	AL6G38710	Cg008G2823000
OG0002853	AL6G34580	Cg008G2790300
OG0002853	AL6G18770	Cg008G2655200
OG0002854	AL4G20790	Cg005G1679400, Cg005G1679600
OG0002855	AL4G22440	Cg005G1659100
OG0002856	AL4G25340	Cg005G1628000
OG0002856	AL1G16910	Cg006G2196800
OG0002857	AL1G16070	Cg006G2203800
OG0002857	AL4G26590	Cg005G1618700
OG0002858	AL4G27980	Cg005G1607400
OG0002858	AL1G14830	Cg006G2215300
OG0002859	AL1G14910	Cg006G2214600
OG0002859	AL4G27840	Cg005G1608400
OG0002860	AL1G14580	Cg006G2217900
OG0002861	AL4G28850	Cg005G1601000
OG0002861	AL1G14290	Cg006G2220600
OG0002862	AL1G18200, AL7G46970, AL7G46960, AL6G53580	Cg006G2185000
OG0002863	AL7G27410	Cg001G0146600
OG0002863	AL7G27390	Cg001G0146300
OG0002864	AL1G41570	Cg006G1995700
OG0002864	AL5G37210	Cg007G2487500
OG0002865	AL4G31640	Cg005G1577400
OG0002865	AL1G45830	Cg006G1956000
OG0002866	nbis-gene-191	Cg006G1954000
OG0002867	AL212U10010, AL4G31610	Cg006G1953000
OG0002868	AL8G43630	Cg003G1051800
OG0002868	AL5G29800, AL8G14300	Cg002G0529800
OG0002869	AL8G43410	Cg003G1049400
OG0002869	AL5G29520	Cg002G0531200
OG0002870	AL8G40820	Cg003G1034100
OG0002870	AL6G19290	Cg008G2658000
OG0002871	AL8G40430	Cg003G1024300
OG0002872	AL8G38410	Cg003G1007600
OG0002872	AL8G38490	Cg003G1007900
OG0002873	AL6G32580	Cg008G2774600
OG0002873	AL6G32770	Cg008G2775900
OG0002874	AL7G26110	Cg001G0135400
OG0002874	AL8G30810	Cg003G0941200
OG0002875	AL8G30840	Cg003G0941600
OG0002877	AL2G12310	Cg006G2135700
OG0002878	nbis-gene-1458	Cg008G2618800
OG0002879	AL6G13720	Cg008G2612400
OG0002879	AL3G21580	Cg004G1161400
OG0002880	AL7G48090	Cg001G0386400
OG0002880	AL2G11340	Cg007G2266300
OG0002883	AL2G38940	Cg007G2556300
OG0002883	AL1G29220, AL7G51000	Cg006G2094300
OG0002884	AL5G29710	Cg002G0530400
OG0002885	AL3G37360	Cg004G1296700
OG0002886	AL4G32860	Cg005G1567000
OG0002886	AL5G34000	Cg002G0496100
OG0002887	AL7G28830	Cg001G0160100
OG0002888	AL9U11880, AL9U11820	Cg001G0299100, Cg001G0299400
OG0002889	AL3G40290	Cg004G1318100
OG0002890	AL9U10300	Cg001G0283500
OG0002891	AL1G33940	Cg006G2057300
OG0002893	AL8G13120	Cg008G2962300
OG0002895	AL3G28250	Cg004G1220900
OG0002895	AL1G61050	Cg006G1808000
OG0002896	AL7G27440	Cg001G0146900, Cg001G0147000
OG0002897	AL3G47200, AL3G47210	Cg004G1382300, Cg004G1390000, Cg004G1390100
OG0002898	AL4G42560, AL8G10940	Cg008G2981000
OG0002899	AL7G16460	Cg001G0053600
OG0002899	AL3G49160	Cg004G1400600
OG0002900	AL7G30530	Cg001G0174300
OG0002900	AL6G46520	Cg003G0755100
OG0002902	AL6G48230	Cg003G0741100, Cg003G0856700
OG0002903	AL8G45250	Cg003G1066700
OG0002904	AL8G45450	Cg002G0516000, Cg003G1068300
OG0002905	AL8G45600	Cg003G1069700
OG0002905	AL5G31900	Cg002G0514200
OG0002906	AL4G46820	Cg005G1457000
OG0002906	AL5G45070, AL2G23490	Cg002G0406600
OG0002907	AL4G46490	Cg005G1459000
OG0002909	AL4G45630	Cg005G1466000
OG0002910	AL5G43060	Cg002G0421400
OG0002911	AL4G42670	Cg005G1491400
OG0002913	nbis-gene-1362	Cg002G0481900
OG0002914	AL8G28130	Cg003G0917800
OG0002914	AL7G24720	Cg001G0123800
OG0002915	AL3G43810	Cg004G1351800
OG0002916	AL7G14630	Cg001G0036500
OG0002916	AL3G51370	Cg004G1417800
OG0002917	AL8G33340	Cg003G0963800
OG0002918	AL68U10030, AL4G34730	Cg005G1555400
OG0002919	AL6G30680	Cg008G2757200
OG0002919	AL6G30700, AL6G30710	Cg008G2757100
OG0002920	AL4G44680	Cg005G1474400
OG0002921	AL3G12860	Cg004G1094200
OG0002922	AL6G39750	Cg008G2830200
OG0002922	AL3G15500	Cg004G1112700
OG0002923	AL88U10040, AL3G16400	Cg004G1119300
OG0002923	AL6G38910	Cg008G2824100
OG0002924	AL3G19360	Cg004G1144100
OG0002924	AL3G25440	Cg004G1195600
OG0002925	AL3G19960, AL3G19950	Cg004G1149100
OG0002926	AL3G21240	Cg004G1158900
OG0002926	AL3G21250	Cg004G1159000
OG0002927	AL3G25120, AL3G25110	Cg004G1193100
OG0002928	AL3G27330, AL975U10010, AL1G61680	Cg004G1211700
OG0002930	AL3G28480	Cg004G1222700
OG0002931	AL3G31230	Cg004G1246100
OG0002931	AL3G31240	Cg004G1246200
OG0002932	AL3G31370	Cg004G1247300
OG0002932	AL3G31360	Cg004G1247200
OG0002933	AL3G32810	Cg004G1259500
OG0002933	AL3G32800	Cg004G1259400
OG0002936	AL3G35810	Cg004G1284800
OG0002937	AL2G20410	Cg007G2408900, Cg007G2400600
OG0002938	AL6G53070	Cg003G0701800, Cg014G3054100
OG0002938	AL1G10780	Cg006G2250300
OG0002939	AL6G51630	Cg003G0715400, Cg014G3040200
OG0002940	AL4G26340, AL163U10030	Cg005G1620900
OG0002940	AL1G16170	Cg006G2203100
OG0002941	nbis-gene-88	Cg006G2112200
OG0002942	AL1G32480	Cg006G2068300
OG0002943	AL2G11670, AL2G11680	Cg007G2269300
OG0002944	AL2G15250	Cg007G2294200
OG0002944	AL2G15260	Cg007G2294400
OG0002945	AL2G18530, AL2G18540	Cg007G2322700
OG0002946	AL4G13080	Cg005G1757100
OG0002947	AL6G48420	Cg003G0739400
OG0002948	AL7G10910	Cg001G0008200
OG0002949	AL5G17400	Cg001G0011300
OG0002949	AL7G11220	Cg001G0011000
OG0002950	AL7G12800	Cg001G0022500
OG0002950	AL4G12230	Cg005G1761600
OG0002952	AL7G19440	Cg001G0079000
OG0002952	AL4G16970	Cg005G1728700
OG0002953	AL4G19200	Cg005G1706700
OG0002953	AL7G18330	Cg001G0069500
OG0002954	AL4G16690	Cg005G1730100
OG0002954	AL7G19730	Cg001G0081400
OG0002955	AL4G16490	Cg005G1733300
OG0002957	AL6G51270	Cg003G0712800
OG0002958	AL3G53770	Cg004G1443800
OG0002958	AL7G24280	Cg001G0118800
OG0002962	AL7G12610	Cg001G0020700
OG0002962	AL2G20220	Cg007G2397500, Cg007G2411600, Cg002G0638100
OG0002971	AL6G15340	Cg008G2626500
OG0002972	AL7G21670	Cg001G0097700
OG0002973	AL8G19000, AL3G18970	Cg004G1140400
OG0002975	AL6G38780, AL6G37640, AL6G39390	Cg005G1736800
OG0002976	AL6G27890	Cg008G2732800
OG0002976	AL3G12530	Cg004G1092000
OG0002977	AL6G26890	Cg008G2724600
OG0002978	AL3G10200	Cg004G1072200
OG0002978	AL6G24790	Cg008G2705200
OG0002979	AL6G23940	Cg008G2697200
OG0002980	AL7G10750	Cg007G2422300, Cg007G2422400, Cg002G0659700, Cg001G0265000
OG0002981	AL6G20840	Cg008G2670200
OG0002981	AL8G42820	Cg003G1044600
OG0002982	AL6G20240	Cg008G2664900
OG0002982	AL8G42110	Cg003G1038500
OG0002983	AL6G43360, AL7G29850	Cg007G2284600, Cg001G0168200
OG0002985	AL1G17300	Cg006G2193100
OG0002985	AL4G24750	Cg005G1633700
OG0002986	AL5G39380	Cg002G0447100
OG0002987	AL8G15960	Cg008G2940500
OG0002988	AL8G18200	Cg008G2891600
OG0002988	AL1G41170	Cg006G1999300
OG0002989	AL4G30740	Cg005G1585400
OG0002990	AL1G44780	Cg006G1967400
OG0002991	AL7G28140, AL4G31370	Cg005G1579900
OG0002991	AL1G46740	Cg006G1947400
OG0002992	AL8G43970	Cg003G1055200
OG0002993	AL5G29990	Cg002G0528400
OG0002994	AL8G43800	Cg003G1053500
OG0002996	AL6G47720, AL6G33770, AL6G33800	Cg008G2784700, Cg008G2784800
OG0002997	AL8G36860	Cg003G0993900, Cg003G0993800
OG0002999	AL8G34150, AL8G34270	Cg003G0970600, Cg003G0971700
OG0003000	AL8G31800	Cg003G0950100
OG0003001	AL1G16370	Cg006G2201700, Cg006G2201500
OG0003002	AL8G30440	Cg003G0938300
OG0003002	AL7G25880	Cg001G0133300
OG0003003	AL8G30390	Cg003G0937900
OG0003004	AL1G20150, AL1G57770	Cg006G1831600, Cg008G2799600
OG0003005	AL6G16820	Cg008G2639200
OG0003006	AL1G12600	Cg006G2234800
OG0003006	AL6G50160	Cg014G3028300, Cg003G0726400
OG0003008	AL5G38900, AL3G11670	Cg002G0450700
OG0003009	AL6G11980	Cg008G2598800
OG0003009	AL3G20770	Cg004G1155400
OG0003010	AL7G48380	Cg003G0836900, Cg001G0383800
OG0003010	AL7G48430	Cg001G0383700
OG0003011	AL2G38150	Cg007G2549700
OG0003013	AL2G37750	Cg007G2546400
OG0003013	AL1G34970	Cg006G2048700
OG0003014	AL7G15520	Cg001G0044800
OG0003015	nbis-gene-1713	Cg001G0044700
OG0003015	AL3G50600	Cg004G1412100
OG0003016	AL6G42310	Cg003G0801700
OG0003017	AL9U11070	Cg004G1320300
OG0003018	AL3G40560	Cg004G1319100
OG0003019	AL7G42750	Cg001G0276300, Cg001G0276400
OG0003020	AL7G42580	Cg001G0274600
OG0003021	AL1G30840	Cg006G2081500
OG0003021	AL2G33730	Cg007G2509600
OG0003022	AL1G39660	Cg006G2012200
OG0003022	AL2G27680	Cg007G2457000
OG0003023	AL7G22940	Cg001G0107600
OG0003024	AL1G34230	Cg006G2055000
OG0003026	AL5G17690	Cg002G0632400
OG0003027	AL8G13230	Cg008G2961700
OG0003027	AL8G13280	Cg008G2961300
OG0003028	AL3G33020	Cg004G1261800, Cg004G1262000
OG0003029	AL1G58480	Cg006G1826500
OG0003029	AL3G34290	Cg004G1272300
OG0003030	AL1G56300	Cg006G1838600
OG0003031	AL1G59560	Cg006G1818500
OG0003032	AL3G28860	Cg004G1226100
OG0003033	AL4G35210, AL4G35220	Cg005G1550600, Cg005G1550500
OG0003034	AL8G23360	Cg003G1064100
OG0003035	AL7G33510	Cg001G0197900
OG0003037	AL6G48790	Cg003G0736700, Cg003G0861500
OG0003037	AL7G32840	Cg001G0191800
OG0003038	AL1G52730	Cg008G2946600
OG0003039	AL5G43110	Cg002G0420900
OG0003039	AL4G44520	Cg005G1475700
OG0003040	AL5G42670	Cg002G0424000
OG0003041	AL5G42350	Cg002G0426800
OG0003043	AL5G39790	Cg002G0443400
OG0003044	AL5G34460	Cg002G0491100
OG0003046	AL2G23220	Cg007G2418400
OG0003046	AL5G33510	Cg002G0500900
OG0003047	AL2G26030	Cg007G2441600
OG0003047	AL2G26010	Cg007G2441500
OG0003048	AL2G26200	Cg007G2442300
OG0003049	AL2G26670, AL2G26650	Cg007G2445900
OG0003050	AL7G45160	Cg001G0321100
OG0003051	AL7G28380	Cg001G0155700
OG0003052	AL7G10660	Cg001G0006400
OG0003054	AL7G33560, AL7G33140	Cg001G0198400
OG0003055	AL6G30530	Cg008G2756000
OG0003056	AL3G16830	Cg004G1123100
OG0003056	AL6G30790	Cg008G2757800
OG0003057	nbis-gene-1581	Cg008G2820500
OG0003058	AL3G14990	Cg004G1109000
OG0003059	AL4G47080	Cg005G1454200
OG0003059	AL8G25140	Cg003G0890800
OG0003060	AL4G44430	Cg005G1495400, Cg005G1476300
OG0003061	AL4G42750	Cg005G1490700
OG0003062	AL4G42730	Cg005G1490900
OG0003063	AL4G40040	Cg006G2011600
OG0003064	AL6G40880, AL3G15610	Cg004G1113500
OG0003064	AL6G39600	Cg008G2829200
OG0003065	AL1G19550	Cg004G1117000
OG0003067	AL8G23200	Cg008G2841300
OG0003068	AL6G10160	Cg008G2584400
OG0003069	AL3G22420, AL3G22410	Cg004G1169300
OG0003071	AL2G26120	Cg008G2937900
OG0003071	AL3G28680	Cg004G1224700
OG0003072	AL3G31180	Cg004G1245600
OG0003072	AL1G55260	Cg006G1847000
OG0003073	AL3G31520	Cg004G1248700
OG0003073	AL1G55480	Cg006G1845200
OG0003074	AL7G46700	Cg001G0340300
OG0003074	AL2G24290	Cg007G2427100
OG0003075	AL6G30220	Cg008G2753300, Cg008G2753100, Cg008G2752900
OG0003077	AL1G10740	Cg006G2250700
OG0003077	AL6G53030	Cg003G0702300, Cg014G3053700
OG0003078	AL1G12160	Cg006G2238600
OG0003079	AL1G12880	Cg006G2232900
OG0003079	AL1G67150	Cg007G2326400
OG0003079	AL1G51780	Cg007G2321200, Cg007G2320900
OG0003080	AL1G16400	Cg006G2201300
OG0003080	AL4G26010	Cg005G1623000
OG0003081	AL2G15960	Cg007G2301500
OG0003081	AL1G21790	Cg006G2154600
OG0003082	AL5G10700	Cg002G0691700
OG0003083	AL1G27040	Cg006G2113500
OG0003084	AL1G27580	Cg006G2108800
OG0003085	AL1G30940	Cg006G2080600
OG0003085	AL2G33890	Cg007G2511300
OG0003086	AL2G36280	Cg007G2533500
OG0003087	AL1G33670, AL1G33680	Cg006G2059900
OG0003088	AL1G33700	Cg006G2059700
OG0003088	AL1G33690	Cg006G2059800
