Orthogroup	Arabidopsis_lyrata_Rawat	Raphanus_sativus
OG0002682	AL3G52260	XP_018440666.1
OG0002683	AL7G17090	XP_018470647.1
OG0002683	AL3G47050	XP_018457092.1
OG0002684	AL7G19280, AL4G17080	XP_018480664.1, XP_018480665.1
OG0002685	AL4G18020	XP_018437085.1
OG0002685	AL7G18750	XP_018471356.1
OG0002686	AL7G17740	XP_018459416.1, XP_018459415.1, XP_018481756.1, XP_018459411.1, XP_018459409.1, XP_018481351.1
OG0002687	AL7G17650, AL7G17640	XP_018481488.1
OG0002688	AL4G16210	XP_018434710.1
OG0002688	AL7G20100	XP_018477333.1
OG0002689	AL9U10800, nbis-gene-251, AL6G36070, nbis-gene-2215	XP_018480336.1
OG0002690	AL1G40840, AL1G40620	XP_018450268.1, XP_018450267.1
OG0002691	AL6G43380, AL1G48120, AL6G45110	XP_018466840.1, XP_018466927.1
OG0002693	AL1G63730, AL7G40650	XP_018448564.1, XP_018469390.1
OG0002695	AL3G26240, AL286U10020, AL3G19220	XP_018486749.1, XP_018489853.1
OG0002697	AL5G29040	XP_018488198.1
OG0002697	AL5G28960, AL5G29030	XP_018464540.1
OG0002699	AL8G26160	XP_018454348.1
OG0002699	AL604U10010, AL8G26170	XP_018475523.1, XP_018454345.1
OG0002705	AL7G25540	XP_018448645.1
OG0002705	AL8G29840	XP_018468047.1, XP_018452273.1, XP_018452272.1
OG0002707	AL3G52600	XP_018491690.1, XP_018488981.1, XP_018453944.1, XP_018491689.1, XP_018486169.1
OG0002708	AL6G25760	XP_018468078.1
OG0002708	AL3G10880	XP_018488873.1
OG0002710	AL6G22810	XP_018475880.1, XP_018475879.1, XP_018475081.1, XP_018468333.1
OG0002710	AL6G22820	XP_018444163.1
OG0002711	AL6G20140	XP_018442985.1
OG0002711	AL8G42020	XP_018452775.1
OG0002712	AL7G52750	XP_018481352.1
OG0002712	AL7G52760	XP_018480312.1, XP_018480319.1
OG0002713	AL6G19370	XP_018442327.1
OG0002714	AL8G38150	XP_018485062.1
OG0002714	AL6G18000	XP_018472208.1
OG0002715	AL4G22800	XP_018473418.1, XP_018436562.1, XP_018463833.1
OG0002715	AL1G18670	XP_018492497.1
OG0002716	AL4G22590, AL4G22580	XP_018488895.1, XP_018464634.1
OG0002717	AL4G26920	XP_018474669.1
OG0002717	AL1G15740	XP_018489547.1
OG0002718	AL1G14170	XP_018479838.1
OG0002718	AL4G28980	XP_018442041.1
OG0002719	AL6G12230, AL8G16520, AL37U10030	XP_018433403.1, XP_018434234.1
OG0002720	AL7G27570, AL7G27580	XP_018451403.1
OG0002721	AL1G53740	XP_018457663.1
OG0002722	AL1G53270	XP_018475021.1
OG0002723	AL1G44020	XP_018458088.1, XP_018447050.1, XP_018442388.1, XP_018474560.1
OG0002724	AL1G45650	XP_018451800.1
OG0002724	AL4G31090	XP_018440013.1
OG0002725	AL5G44840	XP_018445441.1, XP_018432530.1
OG0002726	AL6G37090	XP_018434670.1, XP_018477932.1
OG0002728	AL8G37270	XP_018442939.1
OG0002729	AL8G36840	XP_018472501.1, XP_018456136.1, XP_018456130.1
OG0002730	AL7G41310	XP_018471260.1
OG0002731	AL7G26370	XP_018466069.1, XP_018465139.1, XP_018467762.1
OG0002732	AL5G28930	XP_018453868.1, XP_018437449.1
OG0002733	AL6G17400	XP_018442805.1
OG0002733	AL8G39050	XP_018486862.1
OG0002734	AL3G23210	XP_018434069.1, XP_018467570.1
OG0002735	AL4G38080	XP_018477281.1, XP_018472917.1, XP_018458712.1
OG0002736	AL6G14670	XP_018475556.1
OG0002736	AL3G22180	XP_018438665.1, XP_018490341.1
OG0002737	AL6G13120	XP_018466960.1, XP_018476381.1, XP_018476541.1
OG0002738	AL7G24320	XP_018455140.1, XP_018482209.1
OG0002739	AL6G11180, AL6G11190, AL1G33340	XP_018474356.1, XP_018474357.1, XP_018467075.1
OG0002740	AL3G19940	XP_018485780.1, XP_018485731.1
OG0002740	AL6G10520	XP_018470023.1, XP_018470022.1
OG0002741	AL1G28990	XP_018459777.1, XP_018459791.1
OG0002742	nbis-gene-890	XP_018435078.1
OG0002743	AL7G25560	XP_018478761.1, XP_018456182.1
OG0002743	AL8G29870	XP_018447556.1, XP_018475996.1, XP_018475997.1
OG0002744	AL3G26080	XP_018492902.1
OG0002744	AL1G63040	XP_018486730.1
OG0002745	AL1G61960	XP_018457230.1
OG0002745	AL3G27140	XP_018466516.1, XP_018486541.1
OG0002746	AL3G27620	XP_018485872.1
OG0002746	AL1G61540	XP_018432830.1
OG0002747	AL5G22490	XP_018440319.1
OG0002747	AL7G19120	XP_018471095.1
OG0002748	AL7G28600	XP_018462498.1, XP_018468072.1, XP_018449851.1, XP_018477904.1
OG0002749	AL1G21770	XP_018479264.1
OG0002749	AL7G42740	XP_018463542.1, XP_018448578.1, XP_018484569.1
OG0002750	AL2G23570	XP_018450829.1, XP_018444596.1
OG0002751	AL7G40320, AL9U11050, AL7G40350, AL7G40310	XP_018481590.1, XP_018477068.1, XP_018472396.1
OG0002752	AL3G35770	XP_018493316.1, XP_018432878.1
OG0002753	AL2G24620	XP_018465124.1, XP_018461126.1
OG0002754	AL7G39390	XP_018477625.1, XP_018477365.1
OG0002754	AL3G29550	XP_018440905.1, XP_018493533.1
OG0002755	AL1G30570	XP_018448152.1
OG0002755	AL2G33420	XP_018456036.1, XP_018453493.1
OG0002756	AL1G24780, AL165U10010	XP_018460874.1
OG0002756	AL4G20530	XP_018441814.1, XP_018464281.1, XP_018492086.1, XP_018491772.1
OG0002757	AL7G23730	XP_018455758.1
OG0002757	AL3G47860	XP_018440369.1
OG0002759	AL2G11230	XP_018454279.1
OG0002760	AL7G48690	XP_018479748.1, XP_018448936.1, XP_018461136.1, XP_018485361.1
OG0002761	AL2G29140	XP_018457099.1
OG0002761	AL1G38460	XP_018434113.1, XP_018437864.1
OG0002762	AL7G13700	XP_018484210.1
OG0002762	AL4G13330	XP_018433494.1
OG0002763	AL3G35060	XP_018493028.1, XP_018490550.1
OG0002764	AL1G59590	XP_018491989.1
OG0002765	AL1G21240, AL1G60030, AL1G60020	XP_018436291.1
OG0002766	AL9U11040	XP_018485971.1
OG0002767	AL4G31750	XP_018464746.1, XP_018476796.1
OG0002768	AL7G36190, AL7G36200	XP_018454146.1, XP_018444707.1, XP_018451565.1
OG0002769	AL8G10630	XP_018484135.1
OG0002769	AL7G37300	XP_018470588.1, XP_018470587.1
OG0002770	AL8G10580	XP_018485074.1
OG0002770	AL7G37370	XP_018469905.1
OG0002771	AL8G44340	XP_018437791.1
OG0002772	AL4G34930	XP_018479928.1, XP_018481199.1, XP_018437769.1, XP_018465552.1
OG0002773	AL7G30950	XP_018468672.1
OG0002775	AL6G25460	XP_018446340.1
OG0002775	AL3G10640	XP_018486919.1
OG0002776	AL4G47000	XP_018462814.1, XP_018478333.1, XP_018435154.1
OG0002776	AL5G45320	XP_018485984.1
OG0002777	AL4G43920	XP_018476152.1
OG0002777	AL5G42540	XP_018488067.1, XP_018483888.1
OG0002778	AL5G41460	XP_018488037.1
OG0002778	AL4G42150	XP_018439437.1
OG0002779	AL4G38540	XP_018474695.1
OG0002779	AL5G37710	XP_018459230.1, XP_018489959.1
OG0002780	AL5G36110	XP_018443919.1
OG0002780	AL5G36120	XP_018491038.1
OG0002781	AL3G26550	XP_018490464.1
OG0002782	AL5G34300	XP_018485608.1, XP_018477376.1
OG0002783	AL5G33960	XP_018460291.1, XP_018460437.1, XP_018460438.1, XP_018480091.1, XP_018481760.1, XP_018482170.1
OG0002784	AL3G42800	XP_018492685.1
OG0002785	AL3G39710	XP_018489182.1
OG0002786	AL3G52080	XP_018438254.1, XP_018467539.1, XP_018491780.1
OG0002787	AL1G13510	XP_018464172.1
OG0002788	AL5G11000	XP_018460334.1, XP_018459531.1
OG0002788	AL1G26710	XP_018447755.1
OG0002789	AL3G48670	XP_018460543.1, XP_018433799.1
OG0002790	AL4G36760	XP_018484318.1
OG0002790	AL4G36780	XP_018484316.1, XP_018474537.1
OG0002791	AL7G11020	XP_018472249.1, XP_018451579.1
OG0002791	AL4G10610	XP_018481304.1
OG0002793	AL2G31410	XP_018453092.1, XP_018455471.1, XP_018446947.1
OG0002794	AL5G11320	XP_018491736.1, XP_018486035.1, XP_018491737.1, XP_018487617.1
OG0002795	AL6G38670	XP_018456686.1, XP_018465783.1, XP_018478127.1
OG0002796	AL3G15740	XP_018487074.1
OG0002797	AL5G41840	XP_018476497.1, XP_018440607.1, XP_018443611.1
OG0002798	AL1G53780	XP_018439911.1, XP_018465709.1
OG0002798	AL4G42310	XP_018475277.1, XP_018475476.1
OG0002799	AL8G10960	XP_018457558.1, XP_018433998.1
OG0002801	AL8G13590	XP_018478377.1
OG0002802	nbis-gene-1593	XP_018457188.1
OG0002802	AL3G15380	XP_018486518.1, XP_018463430.1
OG0002803	AL6G30440	XP_018442801.1
OG0002804	AL3G17040	XP_018440345.1, XP_018466489.1
OG0002804	AL6G30380	XP_018443282.1
OG0002805	AL6G51200	XP_018475954.1, XP_018454516.1, XP_018454501.1
OG0002806	AL5G21320, AL3G27790	XP_018439754.1, XP_018478016.1
OG0002807	AL3G29930	XP_018432743.1
OG0002807	AL7G38960	XP_018444380.1
OG0002808	AL3G31900	XP_018438347.1, XP_018489998.1
OG0002809	AL8G37450, AL1G58630	XP_018436352.1
OG0002810	AL7G41690	XP_018484174.1, XP_018481649.1
OG0002811	AL1G24830	XP_018449430.1
OG0002811	AL1G24810	XP_018484001.1
OG0002812	AL1G21560	XP_018481375.1
OG0002812	AL2G15780	XP_018466631.1, XP_018455622.1
OG0002813	AL2G14420	XP_018437442.1
OG0002813	AL1G22580	XP_018454174.1, XP_018449298.1
OG0002814	AL1G22720	XP_018458293.1
OG0002814	AL2G14290	XP_018441817.1
OG0002815	AL2G13050, AL1G23580	XP_018456252.1
OG0002816	AL1G23730	XP_018490405.1
OG0002816	AL2G12840	XP_018466879.1
OG0002817	AL1G29560	XP_018444864.1, XP_018445530.1
OG0002818	AL2G32380	XP_018471083.1, XP_018456893.1
OG0002818	AL1G29790	XP_018439461.1
OG0002819	AL2G30530	XP_018454302.1, XP_018468764.1
OG0002819	AL1G36620	XP_018485863.1
OG0002820	nbis-gene-1761	XP_018464767.1
OG0002821	AL2G10830	XP_018454904.1, XP_018454900.1, XP_018456464.1, XP_018456676.1
OG0002822	AL1G56260, AL1G56180	XP_018448796.1, XP_018450043.1, XP_018466104.1, XP_018490189.1, XP_018490191.1, XP_018487274.1
OG0002823	AL7G13850, AL7G13840	XP_018466761.1, XP_018481242.1, XP_018468677.1
OG0002824	AL5G11590, AL5G11570, AL8G13800, AL5G11580	XP_018478231.1, XP_018478612.1
OG0002825	AL7G15430	XP_018469302.1, XP_018464272.1, XP_018479026.1
OG0002826	AL7G19430	XP_018468052.1, XP_018483576.1
OG0002827	AL7G17780	XP_018470794.1
OG0002827	AL3G46040	XP_018493391.1
OG0002828	AL7G20280	XP_018471844.1
OG0002829	AL6G51790	XP_018444884.1, XP_018457690.1, XP_018457689.1, XP_018452999.1, XP_018453371.1
OG0002830	AL1G54200	XP_018474131.1
OG0002831	AL4G33860, AL4G33850	XP_018443390.1
OG0002831	AL2G12200	XP_018454420.1
OG0002832	AL8G24290, AL8G23220, AL3G30620	XP_018488251.1
OG0002833	AL3G47880	XP_018466404.1
OG0002835	AL5G18590	XP_018481599.1
OG0002835	AL5G18520	XP_018481389.1, XP_018438268.1
OG0002836	AL7G15460, nbis-gene-1587	XP_018479027.1
OG0002837	AL8G27810	XP_018457554.1, XP_018473334.1, XP_018470058.1
OG0002837	nbis-gene-1768	XP_018467774.1, XP_018470230.1
OG0002839	nbis-gene-1959	XP_018479825.1, XP_018479826.1, XP_018453780.1
OG0002839	nbis-gene-1298, nbis-gene-1297	XP_018436140.1
OG0002845	AL6G28600	XP_018459141.1, XP_018442509.1
OG0002846	AL3G10080	XP_018448886.1
OG0002846	AL6G24720	XP_018472532.1
OG0002847	AL6G24580	XP_018446842.1, XP_018442390.1, XP_018471920.1, XP_018462286.1
OG0002848	AL5G12040, AL5G12300, AL7G43090, AL3G39700	XP_018438569.1
OG0002850	AL6G21940	XP_018445807.1
OG0002850	AL6G37140	XP_018457277.1
OG0002851	AL6G21830	XP_018444679.1
OG0002851	AL6G21820	XP_018470121.1, XP_018470125.1
OG0002852	AL1G30320	XP_018438207.1
OG0002852	AL6G38710	XP_018485253.1, XP_018484596.1
OG0002853	AL6G18770	XP_018472269.1, XP_018476158.1
OG0002854	AL4G20820, AL4G20790	XP_018440986.1, XP_018461565.1, XP_018484894.1
OG0002855	AL4G22440	XP_018484463.1
OG0002856	AL1G16910	XP_018440027.1, XP_018447229.1, XP_018486193.1
OG0002857	AL1G16070	XP_018487939.1, XP_018487267.1
OG0002857	AL4G26590	XP_018436902.1
OG0002858	AL4G27980	XP_018440717.1
OG0002859	AL1G14910	XP_018490949.1
OG0002859	AL4G27840	XP_018447835.1
OG0002860	AL4G28230	XP_018436329.1
OG0002860	AL1G14580	XP_018485737.1, XP_018451719.1
OG0002861	AL4G28850	XP_018438316.1
OG0002861	AL1G14290	XP_018489607.1, XP_018487611.1
OG0002862	AL7G46970, AL7G46960	XP_018436330.1
OG0002863	AL7G27390	XP_018471185.1, XP_018471186.1
OG0002864	AL1G41570	XP_018435998.1, XP_018474186.1
OG0002864	AL5G37210	XP_018447333.1
OG0002865	AL1G45830	XP_018487126.1, XP_018485371.1
OG0002867	AL212U10010, AL4G31610	XP_018439775.1
OG0002867	AL1G46120	XP_018492625.1, XP_018447557.1, XP_018447560.1
OG0002868	AL8G43630	XP_018452845.1
OG0002868	AL5G29800, AL8G14300	XP_018472328.1
OG0002869	AL8G43410	XP_018491466.1, XP_018491449.1
OG0002869	AL5G29520	XP_018463253.1, XP_018484889.1
OG0002870	AL8G40820	XP_018433902.1
OG0002870	AL6G19290	XP_018462546.1, XP_018476392.1
OG0002871	AL8G40430	XP_018440284.1, XP_018463666.1
OG0002872	AL8G38410	XP_018482012.1, XP_018478993.1
OG0002872	AL8G38490	XP_018482136.1
OG0002873	AL6G32580	XP_018443266.1, XP_018461660.1
OG0002873	AL6G32770	XP_018470148.1, XP_018444518.1
OG0002874	AL7G26110	XP_018484703.1, XP_018482657.1, XP_018447281.1
OG0002875	AL8G30840	XP_018471122.1
OG0002875	AL7G26130	XP_018469332.1
OG0002877	AL2G12310	XP_018479411.1, XP_018490413.1, XP_018436013.1
OG0002878	nbis-gene-1458	XP_018443272.1
OG0002879	AL3G21580	XP_018464929.1, XP_018485418.1
OG0002880	AL7G48090	XP_018483583.1
OG0002880	AL2G11340	XP_018446963.1
OG0002881	AL2G41290, AL4G18200	XP_018459593.1, XP_018463864.1, XP_018445138.1, XP_018475728.1
OG0002882	AL2G24560, AL2G24400, AL2G24390, AL2G24570	XP_018470240.1
OG0002883	AL1G29220, AL7G51000	XP_018468933.1
OG0002884	AL5G29710	XP_018435133.1
OG0002885	AL3G37360	XP_018435491.1, XP_018435489.1, XP_018459942.1
OG0002886	AL4G32860	XP_018434669.1
OG0002886	AL5G34000	XP_018480434.1
OG0002887	AL7G28830	XP_018471241.1
OG0002888	AL9U11880, AL9U11820	XP_018484687.1, XP_018484368.1
OG0002889	AL3G40290	XP_018488523.1
OG0002889	AL9U10770	XP_018481953.1
OG0002890	AL9U10300	XP_018484312.1
OG0002891	AL1G33940	XP_018491433.1
OG0002892	AL2G34280	XP_018468444.1
OG0002893	AL8G13120	XP_018457028.1
OG0002893	AL7G35060, AL6G32000	XP_018465448.1
OG0002894	AL8G13850	XP_018436359.1
OG0002895	AL3G28250	XP_018492847.1
OG0002896	AL7G27440	XP_018450755.1, XP_018448405.1, XP_018451674.1
OG0002897	AL3G47200, AL3G47210	XP_018455177.1, XP_018461152.1, XP_018441848.1, XP_018489255.1
OG0002898	AL4G42560, AL8G10940	XP_018437730.1, XP_018435756.1, XP_018481309.1, XP_018481328.1
OG0002899	AL7G16460	XP_018470600.1
OG0002899	AL3G49160	XP_018433269.1
OG0002900	AL7G30530	XP_018465112.1
OG0002900	AL6G46520	XP_018452044.1, XP_018455376.1
OG0002901	AL66U10020, AL8G15260	XP_018454480.1
OG0002902	AL6G48230	XP_018473656.1
OG0002902	nbis-gene-1804, AL3G50460	XP_018469446.1
OG0002903	AL5G31600	XP_018434499.1
OG0002903	AL8G45250	XP_018440742.1
OG0002904	AL5G31670	XP_018477783.1, XP_018433229.1, XP_018480276.1
OG0002905	AL8G45600	XP_018452125.1
OG0002905	AL5G31900	XP_018447424.1, XP_018440249.1, XP_018440248.1
OG0002906	AL4G46820	XP_018476276.1
OG0002906	AL5G45070, AL2G23490	XP_018492060.1
OG0002907	nbis-gene-1410	XP_018445446.1
OG0002907	AL4G46490	XP_018441942.1, XP_018484614.1
OG0002908	AL5G44160	XP_018475252.1, XP_018437372.1, XP_018437309.1
OG0002909	AL4G45630	XP_018441890.1, XP_018441929.1, XP_018474633.1
OG0002910	AL5G43060	XP_018483786.1, XP_018492328.1, XP_018492371.1
OG0002911	AL4G42670	XP_018440608.1
OG0002912	AL1G62820, AL6G40520, AL1G48760, AL5G36800	XP_018493160.1
OG0002913	AL5G35570	XP_018487993.1, XP_018487992.1
OG0002914	AL8G28130	XP_018457567.1
OG0002915	AL3G43810	XP_018460154.1, XP_018459924.1
OG0002916	AL3G51370	XP_018456395.1, XP_018461919.1, XP_018433607.1
OG0002917	AL8G33340	XP_018433379.1
OG0002918	AL68U10040, AL4G34760, AL4G34780, AL68U10030, AL4G34730	XP_018473351.1
OG0002919	AL6G30680, AL6G30700, AL6G30710	XP_018469274.1, XP_018464797.1, XP_018470363.1
OG0002920	AL4G44680, AL4G44690	XP_018433953.1, XP_018476178.1
OG0002921	AL3G12860	XP_018436643.1, XP_018432817.1
OG0002921	AL6G28390	XP_018473021.1
OG0002922	AL6G39750	XP_018484854.1
OG0002923	AL88U10040, AL3G16400	XP_018486474.1, XP_018434649.1
OG0002924	AL3G19360	XP_018493187.1
OG0002924	AL3G25440	XP_018492072.1
OG0002925	AL3G19960, AL3G19950	XP_018491873.1
OG0002926	AL3G21240	XP_018485474.1, XP_018475922.1
OG0002927	AL3G25120, AL3G25110	XP_018488435.1, XP_018488436.1
OG0002928	AL3G27330, AL975U10010	XP_018491514.1, XP_018491536.1
OG0002928	AL1G61680	XP_018435399.1, XP_018489342.1
OG0002929	AL3G28670	XP_018492773.1
OG0002930	AL3G28490, AL3G28480	XP_018492473.1, XP_018492472.1, XP_018493296.1, XP_018439535.1, XP_018464670.1
OG0002931	AL3G31230	XP_018433674.1
OG0002931	AL3G31240	XP_018439685.1
OG0002932	AL3G31360	XP_018463569.1, XP_018439068.1, XP_018487568.1, XP_018489019.1
OG0002933	AL3G32800	XP_018433013.1, XP_018432604.1
OG0002936	AL3G35810	XP_018486023.1, XP_018488430.1
OG0002937	AL7G45250	XP_018478429.1, XP_018478440.1
OG0002938	AL6G53070	XP_018456698.1
OG0002938	AL1G10780	XP_018435050.1
OG0002939	AL6G51630	XP_018452870.1
OG0002940	AL4G26340, AL163U10030	XP_018475964.1
OG0002940	AL1G16170	XP_018437021.1
OG0002941	nbis-gene-88	XP_018436768.1, XP_018436778.1
OG0002942	AL1G32480	XP_018450527.1
OG0002943	AL2G11670, AL2G11680	XP_018454418.1, XP_018457389.1, XP_018460474.1
OG0002944	AL2G15260	XP_018458083.1
OG0002946	AL4G13080	XP_018441641.1, XP_018460423.1
OG0002947	AL7G32210, AL7G31640	XP_018470031.1
OG0002947	AL6G48420	XP_018457644.1
OG0002948	AL7G10910	XP_018454220.1, XP_018483848.1
OG0002949	AL5G17400	XP_018479380.1
OG0002949	AL7G11220	XP_018482549.1, XP_018484228.1
OG0002950	AL7G12800	XP_018449474.1, XP_018449471.1, XP_018469677.1
OG0002951	AL7G15480, AL3G50630	XP_018438015.1, XP_018432875.1, XP_018455251.1
OG0002952	AL7G19440	XP_018468053.1
OG0002952	AL4G16970	XP_018439965.1
OG0002953	AL4G19200	XP_018475214.1
OG0002953	AL7G18330	XP_018484958.1
OG0002954	AL4G16690	XP_018434715.1
OG0002954	AL7G19730	XP_018451699.1
OG0002955	AL7G19890	XP_018461717.1, XP_018468745.1
OG0002955	AL4G16490	XP_018478574.1
OG0002956	AL3G39140, AL6G30340	XP_018488209.1, XP_018465419.1, XP_018438530.1
OG0002957	AL6G51270	XP_018441100.1
OG0002958	AL3G53770	XP_018441651.1
OG0002958	AL7G24280	XP_018471961.1
OG0002959	AL8G12110, AL1G54190, AL1G54150, AL1G54120	XP_018473767.1
OG0002961	AL1G64080, AL1G63810, AL1G64360	XP_018443754.1
OG0002962	AL7G12610, AL2G20220	XP_018467846.1, XP_018450099.1, XP_018450068.1, XP_018448369.1
OG0002963	nbis-gene-715, AL3G29940	XP_018464913.1, XP_018435436.1, XP_018464097.1
OG0002963	AL3G30060	XP_018465320.1
OG0002971	AL6G15340	XP_018446756.1
OG0002971	AL2G31390	XP_018469310.1
OG0002972	AL7G21670	XP_018477715.1
OG0002973	AL8G19000, AL3G18970	XP_018487441.1, XP_018493088.1
OG0002974	AL433U10020	XP_018458672.1, XP_018458669.1, XP_018446272.1
OG0002975	AL6G38780, AL6G37640, AL6G39390	XP_018439922.1
OG0002976	AL6G27890, AL3G12530	XP_018472553.1, XP_018446028.1
OG0002977	AL6G26890	XP_018443295.1
OG0002978	AL6G24790	XP_018445213.1, XP_018473687.1
OG0002979	AL6G23940	XP_018445569.1, XP_018468165.1, XP_018464053.1, XP_018473032.1
OG0002980	AL7G10750	XP_018475623.1, XP_018475630.1, XP_018465134.1
OG0002981	AL6G20840	XP_018441305.1
OG0002982	AL6G20240	XP_018445203.1
OG0002982	AL8G42110	XP_018452243.1
OG0002983	AL6G43360, AL7G29850	XP_018467738.1, XP_018470054.1, XP_018482004.1
OG0002984	AL6G18840	XP_018469547.1, XP_018474527.1
OG0002985	AL1G17300	XP_018471547.1, XP_018450080.1
OG0002985	AL4G24750	XP_018484447.1
OG0002986	AL5G39380	XP_018460383.1
OG0002986	AL4G40690	XP_018480138.1
OG0002987	AL1G13570	XP_018447761.1, XP_018447307.1
OG0002987	AL8G15960	XP_018463529.1, XP_018455820.1
OG0002988	AL8G18200	XP_018447245.1
OG0002989	AL4G30740	XP_018460982.1, XP_018480410.1, XP_018472695.1, XP_018462899.1, XP_018438275.1
OG0002990	AL1G44790	XP_018474872.1
OG0002992	AL8G43970	XP_018440106.1, XP_018441684.1, XP_018441696.1, XP_018452932.1, XP_018452811.1
OG0002994	AL8G43800	XP_018488949.1, XP_018464319.1, XP_018452517.1
OG0002994	AL5G29930	XP_018481068.1
OG0002995	AL8G37520	XP_018459736.1, XP_018459735.1, XP_018452786.1
OG0002996	AL6G47720, AL6G33770, AL6G33800	XP_018446105.1
OG0002997	AL8G36860	XP_018469018.1, XP_018465755.1, XP_018454434.1, XP_018457079.1, XP_018455479.1, XP_018472915.1
OG0002999	AL8G34150, AL8G34270	XP_018466015.1, XP_018455656.1, XP_018469759.1
OG0003000	AL8G31800	XP_018472296.1, XP_018475868.1, XP_018455853.1
OG0003002	AL8G30440	XP_018474584.1
OG0003002	AL7G25880	XP_018449597.1, XP_018449767.1
OG0003003	AL7G25840	XP_018467763.1, XP_018445974.1, XP_018479098.1, XP_018479084.1
OG0003004	AL1G20150, AL1G57770	XP_018491413.1, XP_018483207.1
OG0003005	AL6G16820	XP_018442296.1
OG0003006	AL6G50160	XP_018473456.1, XP_018462309.1, XP_018463601.1, XP_018456964.1
OG0003008	AL3G11670	XP_018463795.1, XP_018488701.1
OG0003009	AL6G11980	XP_018444902.1
OG0003009	AL3G20770	XP_018488307.1
OG0003010	AL7G48380, AL7G48430	XP_018481092.1, XP_018448703.1
OG0003012	AL1G26060	XP_018450147.1
OG0003013	AL2G37750	XP_018446827.1
OG0003013	AL1G34970	XP_018437445.1
OG0003014	AL7G15520	XP_018447836.1, XP_018450114.1
OG0003014	AL3G50590	XP_018458010.1
OG0003015	AL3G50600	XP_018432874.1
OG0003017	AL9U11070	XP_018486142.1, XP_018486877.1
OG0003018	AL3G40560	XP_018455230.1
OG0003018	AL9U10840	XP_018480033.1
OG0003019	AL7G42750	XP_018484667.1
OG0003020	AL7G42610, AL7G42580	XP_018484081.1, XP_018451284.1
OG0003021	AL1G30840	XP_018473141.1, XP_018466106.1
OG0003021	AL2G33730	XP_018460425.1, XP_018455566.1
OG0003022	AL2G27680	XP_018461266.1, XP_018444425.1
OG0003023	AL7G22940	XP_018467796.1
OG0003024	AL1G34230, AL2G36970	XP_018445823.1
OG0003026	AL5G17690	XP_018434048.1, XP_018434065.1, XP_018451977.1
OG0003026	AL7G49880	XP_018478736.1, XP_018478593.1
OG0003027	AL8G13280	XP_018441031.1
OG0003028	AL1G57460	XP_018447295.1
OG0003029	AL1G58480	XP_018472822.1, XP_018479221.1
OG0003029	AL3G34290	XP_018492669.1, XP_018490921.1
OG0003030	AL1G56300	XP_018433019.1, XP_018491512.1, XP_018491498.1
OG0003032	AL3G28860	XP_018434606.1, XP_018434631.1
OG0003033	AL4G35210, AL4G35220	XP_018473677.1
OG0003034	AL8G23360	XP_018472201.1
OG0003037	AL6G48790	XP_018455077.1, XP_018457907.1
OG0003038	AL5G22800, AL1G52730, AL7G52330, AL6G42550	XP_018449047.1, XP_018467330.1
OG0003039	AL5G43110	XP_018486404.1, XP_018480567.1, XP_018480556.1
OG0003039	AL4G44520	XP_018434482.1
OG0003040	AL5G42670	XP_018460389.1, XP_018478803.1, XP_018460390.1, XP_018478804.1, XP_018481019.1, XP_018460387.1, XP_018460391.1, XP_018471914.1
OG0003041	AL5G42350	XP_018460731.1, XP_018459091.1, XP_018432896.1
OG0003042	AL4G41820	XP_018479986.1
OG0003043	AL5G39790	XP_018446314.1, XP_018444208.1, XP_018445174.1
OG0003044	AL5G34460	XP_018491489.1, XP_018446579.1, XP_018484558.1
OG0003045	AL125U10010	XP_018461918.1
OG0003047	AL2G26010	XP_018446782.1, XP_018461682.1
OG0003048	AL2G26200	XP_018472393.1
OG0003048	AL1G40590	XP_018451199.1, XP_018490228.1
OG0003049	AL2G26670, AL2G26650	XP_018442160.1, XP_018442975.1, XP_018454184.1, XP_018442093.1
OG0003050	AL7G45160	XP_018463677.1
OG0003051	AL7G28380	XP_018470787.1
OG0003052	AL4G10290	XP_018433588.1
OG0003052	AL7G10660	XP_018480222.1
OG0003054	AL7G33560, AL7G33140	XP_018469530.1
OG0003055	AL6G30530	XP_018444524.1, XP_018469928.1, XP_018485516.1, XP_018468830.1
OG0003056	AL3G16830, AL6G30790	XP_018434334.1, XP_018440707.1
OG0003057	nbis-gene-1581	XP_018456924.1
OG0003058	AL3G14990	XP_018490631.1, XP_018488664.1, XP_018465232.1
OG0003059	AL4G47080	XP_018439087.1
OG0003061	AL4G42750	XP_018438755.1, XP_018482345.1
OG0003062	AL4G42730	XP_018475510.1, XP_018483236.1, XP_018483237.1
OG0003063	AL4G40040	XP_018437874.1, XP_018485709.1
OG0003064	AL6G39600	XP_018484304.1
OG0003065	AL3G16140	XP_018485833.1, XP_018440501.1, XP_018438846.1, XP_018492953.1, XP_018490574.1
OG0003066	AL3G16430	XP_018438161.1
OG0003067	AL3G17710, AL8G23200	XP_018457350.1
OG0003069	AL3G22420, AL3G22410	XP_018488298.1, XP_018435345.1
OG0003071	AL2G26120	XP_018440396.1
OG0003071	AL3G28680	XP_018491195.1
OG0003072	AL3G31180	XP_018464614.1, XP_018467365.1, XP_018492437.1, XP_018492443.1
OG0003073	AL3G31520	XP_018490132.1
OG0003074	AL2G24290	XP_018463469.1, XP_018469707.1
OG0003075	AL6G30240	XP_018465266.1
OG0003075	AL6G30220	XP_018459086.1
