Orthogroup	Arabidopsis_lyrata_Rawat	Rorippa_islandica
OG0002406	AL7G41250	Roisl.0002s0261.1.p
OG0002406	AL7G41280	Roisl.0002s0263.1.p
OG0002407	AL7G40920	Roisl.0002s0233.1.p
OG0002407	nbis-gene-758	Roisl.0115s0595.1.p
OG0002408	AL1G30250	Roisl.0007s0341.1.p
OG0002408	AL2G33020	Roisl.0019s0158.1.p
OG0002409	AL2G33490	Roisl.0019s0109.1.p
OG0002409	AL1G30390	Roisl.0007s0331.1.p
OG0002410	AL2G34170	Roisl.0004s0473.1.p
OG0002411	AL1G31190	Roisl.0007s0258.1.p
OG0002412	AL1G31490	Roisl.0007s0240.1.p
OG0002412	AL2G34650	Roisl.0004s0423.1.p
OG0002413	AL2G27460	Roisl.0019s0699.1.p
OG0002413	AL5G20720	Roisl.0209s0297.1.p
OG0002414	AL2G27570	Roisl.0019s0688.1.p
OG0002415	AL1G39600	Roisl.0191s0400.1.p
OG0002415	AL2G27610	Roisl.0019s0684.1.p
OG0002416	AL2G27620	Roisl.0019s0682.1.p
OG0002416	AL1G39620	Roisl.0191s0401.1.p
OG0002417	AL1G39400	Roisl.0191s0379.1.p
OG0002417	AL2G28330	Roisl.0019s0604.1.p
OG0002418	AL2G28030	Roisl.0019s0647.1.p
OG0002418	AL2G28380	Roisl.0019s0610.1.p
OG0002419	AL3G53420	Roisl.0214s0450.1.p
OG0002420	AL7G48150	Roisl.0009s0096.1.p
OG0002420	AL2G11600	Roisl.0010s0188.1.p
OG0002421	AL1G19740	Roisl.0091s1208.1.p
OG0002421	AL1G66150	Roisl.0008s0031.1.p
OG0002422	AL5G17510	Roisl.0025s0031.1.p
OG0002422	AL7G49660	Roisl.0009s0220.1.p
OG0002423	AL1G24460	Roisl.0021s0374.1.p
OG0002423	AL5G15690	Roisl.0011s0464.1.p
OG0002425	AL8G12600	Roisl.0005s0237.1.p
OG0002425	AL7G35800	Roisl.0091s0466.1.p
OG0002426	AL1G45720	Roisl.0005s0310.1.p
OG0002427	AL1G41950	Roisl.0213s0096.1.p
OG0002427	AL4G29620	Roisl.0028s0791.1.p
OG0002428	AL8G10370	Roisl.0005s0021.1.p
OG0002429	AL7G37310	Roisl.0091s0599.1.p
OG0002429	AL8G10610	Roisl.0005s0039.1.p
OG0002430	AL6G45790	Roisl.0213s0571.1.p
OG0002430	AL7G30000	Roisl.0008s0144.1.p
OG0002431	AL7G11210	Roisl.0115s0672.1.p
OG0002431	AL3G16190	Roisl.0039s0085.1.p
OG0002432	AL7G30710	Roisl.0091s0039.1.p
OG0002432	AL6G46880	Roisl.0213s0516.1.p
OG0002433	AL5G22020	Roisl.0214s0424.1.p
OG0002434	AL6G47320	Roisl.0209s0241.1.p
OG0002434	AL7G30990	Roisl.0091s0064.1.p
OG0002435	AL6G47550	Roisl.0082s0159.1.p
OG0002435	AL7G31210	Roisl.0091s0079.1.p
OG0002436	AL6G47650	Roisl.0082s0168.1.p
OG0002436	AL7G31330	Roisl.0091s0092.1.p
OG0002437	AL8G14740	Roisl.0012s0340.1.p
OG0002437	AL7G33850	Roisl.0091s0304.1.p
OG0002438	AL7G33230	Roisl.0091s0242.1.p
OG0002438	AL7G33240	Roisl.0091s0244.1.p
OG0002439	AL8G23860	Roisl.0008s0088.1.p, Roisl.0214s0067.1.p
OG0002440	AL6G48990	Roisl.0082s0300.1.p
OG0002440	AL7G32980	Roisl.0091s0218.1.p
OG0002441	AL7G32490	Roisl.0091s0178.1.p
OG0002441	AL7G32480	Roisl.0091s0177.1.p
OG0002442	AL7G32370, AL7G32360	Roisl.0091s0165.1.p, Roisl.0091s0166.1.p
OG0002442	AL7G32350	Roisl.0091s0164.1.p
OG0002443	AL5G23660	Roisl.0027s0112.1.p
OG0002444	AL6G13330	Roisl.0030s0103.1.p
OG0002445	nbis-gene-408, AL2G15570	Roisl.0214s0555.1.p, Roisl.0214s0540.1.p, Roisl.0214s0544.1.p
OG0002446	AL5G43430	Roisl.0018s0233.1.p
OG0002446	AL4G44950	Roisl.0035s0171.1.p
OG0002447	AL4G42450	Roisl.0028s0237.1.p, Roisl.0028s0232.1.p
OG0002447	AL5G41660	Roisl.0018s0073.1.p
OG0002448	AL1G54750	Roisl.0204s0135.1.p
OG0002449	AL5G39540	Roisl.0026s0101.1.p
OG0002449	AL1G59460	Roisl.0006s0212.1.p
OG0002450	AL4G40080	Roisl.0028s0441.1.p
OG0002450	AL5G38950	Roisl.0026s0154.1.p
OG0002451	AL4G39330	Roisl.0028s0488.1.p
OG0002451	AL5G38570	Roisl.0026s0187.1.p
OG0002452	AL5G38480	Roisl.0026s0196.1.p
OG0002453	AL5G35290	Roisl.0046s1405.1.p
OG0002453	AL4G36000	Roisl.0017s0236.1.p
OG0002454	AL5G34250	Roisl.0046s1309.1.p
OG0002454	AL4G33410	Roisl.0017s0045.1.p
OG0002455	AL5G34220	Roisl.0046s1307.1.p
OG0002456	AL4G32150	Roisl.0028s1034.1.p
OG0002456	AL5G33320	Roisl.0046s1227.1.p
OG0002457	AL6G43540, AL3G51060	Roisl.0066s0119.1.p
OG0002458	AL3G51630	Roisl.0066s0070.1.p
OG0002458	AL7G14460	Roisl.0001s0279.1.p
OG0002459	AL3G51970	Roisl.0066s0039.1.p
OG0002459	AL7G14190	Roisl.0001s0301.1.p
OG0002460	AL3G53110	Roisl.0066s0018.1.p
OG0002461	AL7G23260	Roisl.0044s0069.1.p
OG0002461	AL3G48380	Roisl.0214s0384.1.p
OG0002462	AL4G38460	Roisl.0028s0570.1.p
OG0002462	AL4G38470	Roisl.0028s0568.1.p
OG0002463	AL4G35610, AL4G35600	Roisl.0017s0243.1.p
OG0002464	AL7G30520	Roisl.0091s0015.1.p
OG0002464	AL6G46510	Roisl.0213s0541.1.p
OG0002465	AL7G13880	Roisl.0001s0321.1.p
OG0002465	AL4G13510	Roisl.0006s0574.1.p
OG0002466	AL1G48560	Roisl.0193s0020.1.p
OG0002466	AL1G48480	Roisl.0193s0018.1.p, Roisl.0193s0019.1.p
OG0002467	AL6G47010	Roisl.0209s0212.1.p
OG0002467	AL7G30800	Roisl.0091s0047.1.p
OG0002468	AL6G38260	Roisl.0046s0301.1.p
OG0002468	AL3G16760	Roisl.0039s0135.1.p
OG0002469	AL3G53410	Roisl.0214s0448.1.p
OG0002470	AL4G43490	Roisl.0209s0267.1.p
OG0002470	AL4G43470	Roisl.0028s0142.1.p
OG0002471	AL4G43350	Roisl.0028s0152.1.p
OG0002472	AL4G42230	Roisl.0028s0260.1.p
OG0002472	AL6G35420	Roisl.0046s0076.1.p
OG0002474	AL3G14660	Roisl.0046s0476.1.p
OG0002475	AL3G16640	Roisl.0011s0045.1.p, Roisl.0039s0123.1.p
OG0002475	AL3G16650	Roisl.0039s0124.1.p
OG0002476	AL3G19730	Roisl.0079s0229.1.p
OG0002476	AL3G19720	Roisl.0079s0228.1.p
OG0002477	AL6G10730	Roisl.0034s0065.1.p
OG0002477	AL3G19910	Roisl.0079s0248.1.p
OG0002478	AL3G22640	Roisl.0074s0897.1.p
OG0002478	AL6G15440	Roisl.0042s0111.1.p
OG0002479	AL3G23900	Roisl.0074s0780.1.p
OG0002481	AL3G26330	Roisl.0074s0562.1.p
OG0002481	AL1G62780	Roisl.0006s0485.1.p
OG0002483	AL3G29960	Roisl.0074s0246.1.p
OG0002483	AL7G38770	Roisl.0002s0038.1.p
OG0002484	AL7G38820	Roisl.0002s0043.1.p
OG0002484	AL3G30030	Roisl.0074s0236.1.p
OG0002485	AL7G50570	Roisl.0009s0301.1.p
OG0002485	AL7G50580	Roisl.0009s0302.1.p
OG0002486	AL2G24180	Roisl.0024s0012.1.p
OG0002486	AL7G46640	Roisl.0064s0037.1.p
OG0002487	AL2G22800	Roisl.0209s0021.1.p
OG0002487	AL7G45600	Roisl.0008s0113.1.p
OG0002489	AL3G17240	Roisl.0079s0009.1.p
OG0002489	AL6G30150	Roisl.0210s1592.1.p
OG0002491	AL1G11760	Roisl.0210s0171.1.p
OG0002491	AL2G30540	Roisl.0019s0427.1.p
OG0002492	AL2G18190	Roisl.0214s0753.1.p
OG0002492	AL1G20260	Roisl.0021s0008.1.p
OG0002493	AL2G18560	Roisl.0214s0802.1.p
OG0002493	AL1G20440	Roisl.0021s0029.1.p
OG0002494	AL1G21100	Roisl.0021s0090.1.p
OG0002494	AL1G21110	Roisl.0021s0091.1.p
OG0002495	AL2G12330	Roisl.0010s0137.1.p
OG0002496	AL5G15490	Roisl.0011s0441.1.p
OG0002496	AL1G24540	Roisl.0021s0383.1.p
OG0002497	AL1G25320	Roisl.0021s0450.1.p
OG0002498	AL5G12920	Roisl.0011s0214.1.p
OG0002498	AL1G25860	Roisl.0007s0755.1.p
OG0002499	AL5G11780	Roisl.0011s0151.1.p
OG0002500	AL1G26730	Roisl.0007s0665.1.p
OG0002500	AL5G10960	Roisl.0011s0087.1.p
OG0002501	AL1G27800	Roisl.0007s0566.1.p
OG0002502	AL1G29520	Roisl.0007s0402.1.p
OG0002502	nbis-gene-1448, AL8G24650	Roisl.0214s0219.1.p
OG0002503	AL2G38520	Roisl.0004s0078.1.p
OG0002504	AL1G37170	Roisl.0191s0178.1.p
OG0002504	AL2G29900	Roisl.0019s0482.1.p
OG0002505	AL1G37310	Roisl.0191s0194.1.p
OG0002505	AL2G29810	Roisl.0019s0493.1.p
OG0002506	AL2G29410	Roisl.0019s0519.1.p
OG0002506	AL1G37980	Roisl.0191s0266.1.p
OG0002507	AL1G22670	Roisl.0021s0234.1.p
OG0002507	AL2G14320	Roisl.0209s0649.1.p
OG0002508	AL4G10150	Roisl.0063s0020.1.p
OG0002508	AL7G10570	Roisl.0115s0729.1.p
OG0002509	AL4G11690	Roisl.0046s0617.1.p
OG0002509	AL7G11990	Roisl.0001s0490.1.p
OG0002510	AL7G13130	Roisl.0001s0393.1.p
OG0002510	AL4G12600	Roisl.0046s0532.1.p
OG0002511	AL7G13440, AL2G17600	Roisl.0001s0368.1.p
OG0002511	AL4G13030	Roisl.0046s0503.1.p
OG0002512	AL7G13660	Roisl.0001s0349.1.p
OG0002512	AL4G13230	Roisl.0006s0593.1.p
OG0002513	AL7G16050	Roisl.0001s0126.1.p
OG0002514	AL3G47060	Roisl.0045s0088.1.p
OG0002514	AL7G17110	Roisl.0001s0016.1.p
OG0002515	AL7G18900	Roisl.0003s0316.1.p
OG0002515	AL4G17710, AL4G17830	Roisl.0036s0121.1.p
OG0002516	AL4G16660	Roisl.0023s0061.1.p
OG0002516	AL7G19740	Roisl.0003s0228.1.p
OG0002517	AL7G20370	Roisl.0003s0182.1.p, Roisl.0003s0178.1.p
OG0002518	AL2G29520	Roisl.0019s0510.1.p
OG0002518	AL1G37810	Roisl.0191s0233.1.p
OG0002519	AL7G25140, AL2G19630	Roisl.0195s0002.1.p
OG0002521	nbis-gene-2130, nbis-gene-2129, AL4G16670	Roisl.0052s0053.1.p, Roisl.0052s0055.1.p
OG0002522	AL5G21870, AL5G21590	Roisl.0082s0761.1.p
OG0002523	AL6G42850, AL6G42830, AL6G42820, AL6G42860	Roisl.0032s0069.1.p
OG0002524	AL8G22930, AL8G22920	Roisl.0198s0040.1.p, Roisl.0198s0039.1.p, Roisl.0198s0035.1.p, Roisl.0198s0038.1.p, Roisl.0198s0034.1.p, Roisl.0198s0033.1.p, Roisl.0198s0037.1.p, Roisl.0198s0036.1.p
OG0002525	AL8G13700, AL8G14330	Roisl.0005s0336.1.p, Roisl.0012s0163.1.p
OG0002525	AL8G13720	Roisl.0005s0337.1.p, Roisl.0005s0346.1.p
OG0002526	AL2G21840, AL2G21800, AL1G51280, AL9U12050, AL7G44060, nbis-gene-1033, nbis-gene-455, nbis-gene-181	Roisl.0059s0070.1.p
OG0002530	AL7G21520	Roisl.0003s0073.1.p
OG0002530	AL4G14070	Roisl.0021s0588.1.p
OG0002531	AL7G10640	Roisl.0115s0722.1.p
OG0002532	AL8G36040	Roisl.0080s0325.1.p
OG0002532	AL5G25510	Roisl.0209s0364.1.p
OG0002533	AL5G28040	Roisl.0046s0784.1.p
OG0002533	AL8G40530	Roisl.0024s0224.1.p
OG0002534	AL5G27220, AL5G27230	Roisl.0046s0706.1.p, Roisl.0046s0702.1.p
OG0002535	AL5G11150	Roisl.0011s0104.1.p
OG0002536	AL3G12970	Roisl.0016s0271.1.p
OG0002537	AL2G36830, AL2G36840	Roisl.0004s0221.1.p
OG0002538	AL6G27290	Roisl.0210s1335.1.p
OG0002539	AL6G26780	Roisl.0210s1288.1.p
OG0002540	AL6G26470	Roisl.0210s1259.1.p
OG0002540	AL3G11450	Roisl.0016s0145.1.p
OG0002541	AL6G25670	Roisl.0210s1191.1.p
OG0002541	AL3G10750	Roisl.0016s0076.1.p
OG0002542	AL6G25250	Roisl.0210s1151.1.p
OG0002542	AL3G10560	Roisl.0016s0053.1.p
OG0002543	AL5G34400	Roisl.0046s1325.1.p
OG0002543	AL4G33660	Roisl.0017s0069.1.p
OG0002544	AL6G22720	Roisl.0210s0922.1.p
OG0002544	AL6G38120	Roisl.0046s0291.1.p
OG0002545	AL8G41760	Roisl.0024s0321.1.p
OG0002545	nbis-gene-1496	Roisl.0210s0666.1.p
OG0002546	AL8G41110	Roisl.0024s0266.1.p
OG0002546	AL6G19650	Roisl.0210s0628.1.p
OG0002547	AL6G50000	Roisl.0082s0377.1.p
OG0002547	AL1G12860	Roisl.0210s0271.1.p
OG0002548	AL1G13030	Roisl.0210s0288.1.p
OG0002548	AL6G49580	Roisl.0082s0334.1.p
OG0002549	AL4G23420	Roisl.0082s0662.1.p
OG0002550	AL4G24450	Roisl.0082s0760.1.p
OG0002550	AL1G17420	Roisl.0091s0998.1.p
OG0002551	AL4G25730	Roisl.0033s0098.1.p
OG0002551	AL1G16680	Roisl.0091s0932.1.p
OG0002552	AL4G27820	Roisl.0028s0630.1.p
OG0002552	AL1G14930	Roisl.0091s0768.1.p
OG0002553	AL4G28870	Roisl.0028s0718.1.p
OG0002553	AL1G14280	Roisl.0091s0700.1.p
OG0002554	AL1G13740	Roisl.0210s0349.1.p
OG0002554	AL8G16200	Roisl.0012s0200.1.p
OG0002555	AL8G15950	Roisl.0012s0225.1.p
OG0002556	AL4G29200	Roisl.0028s0752.1.p
OG0002556	AL1G41630	Roisl.0213s0069.1.p
OG0002557	AL4G29510	Roisl.0028s0783.1.p
OG0002557	AL1G41840	Roisl.0213s0089.1.p
OG0002558	AL4G31570	Roisl.0028s0969.1.p
OG0002558	AL1G46340	Roisl.0213s0514.1.p
OG0002559	AL5G30640	Roisl.0046s0989.1.p
OG0002559	AL8G44520	Roisl.0024s0580.1.p
OG0002560	AL8G42950	Roisl.0024s0431.1.p
OG0002561	AL8G42080	Roisl.0024s0351.1.p
OG0002561	AL6G20210	Roisl.0210s0690.1.p
OG0002562	AL8G40560	Roisl.0024s0227.1.p
OG0002562	AL5G28070	Roisl.0046s0786.1.p
OG0002563	AL8G39240	Roisl.0080s0005.1.p
OG0002563	AL5G26680	Roisl.0209s0453.1.p
OG0002564	AL8G38880	Roisl.0080s0039.1.p, Roisl.0066s0364.1.p
OG0002564	AL6G17440	Roisl.0210s0459.1.p
OG0002565	AL6G17770	Roisl.0210s0487.1.p
OG0002565	AL8G38380	Roisl.0080s0086.1.p
OG0002566	AL6G35760	Roisl.0046s0101.1.p
OG0002566	AL5G29020	Roisl.0046s0857.1.p
OG0002567	AL5G23920	Roisl.0020s0156.1.p
OG0002567	AL8G36970	Roisl.0080s0234.1.p
OG0002568	AL8G36830	Roisl.0080s0245.1.p
OG0002568	AL5G24210	Roisl.0209s0266.1.p
OG0002569	AL8G36600	Roisl.0080s0269.1.p
OG0002569	AL5G24510	Roisl.0209s0287.1.p
OG0002570	AL5G26300	Roisl.0209s0414.1.p
OG0002570	AL3G40320, AL8G35200	Roisl.0080s0402.1.p
OG0002571	AL1G27830	Roisl.0007s0563.1.p
OG0002571	AL8G34440	Roisl.0080s0461.1.p
OG0002572	AL7G40190	Roisl.0002s0169.1.p
OG0002573	AL7G41900, AL3G37970	Roisl.0053s0356.1.p
OG0002574	AL8G33410	Roisl.0080s0558.1.p
OG0002574	AL7G27190	Roisl.0022s0237.1.p
OG0002575	AL8G32920	Roisl.0080s0605.1.p
OG0002576	AL8G32170	Roisl.0080s0676.1.p
OG0002578	AL7G43740	Roisl.0008s0001.1.p, Roisl.0066s0099.1.p, Roisl.0214s0063.1.p
OG0002579	AL6G50830	Roisl.0191s0680.1.p
OG0002579	AL6G50820	Roisl.0191s0681.1.p
OG0002580	AL6G17060	Roisl.0210s0427.1.p
OG0002580	AL3G23850	Roisl.0074s0784.1.p
OG0002581	AL5G38880	Roisl.0026s0162.1.p
OG0002582	AL3G22070	Roisl.0074s0953.1.p
OG0002582	AL6G14430	Roisl.0030s0202.1.p
OG0002583	AL6G13780	Roisl.0030s0144.1.p
OG0002584	AL3G19930	Roisl.0079s0250.1.p
OG0002584	AL6G10610	Roisl.0034s0059.1.p
OG0002585	AL5G16050	Roisl.0011s0492.1.p
OG0002585	AL7G48540	Roisl.0009s0127.1.p
OG0002586	AL1G27600	Roisl.0007s0581.1.p
OG0002586	AL2G41230	Roisl.0115s0064.1.p
OG0002587	AL2G39250	Roisl.0115s0249.1.p, Roisl.0115s0247.1.p
OG0002588	AL2G36670	Roisl.0004s0236.1.p
OG0002588	AL1G33960	Roisl.0007s0039.1.p
OG0002589	AL1G33820	Roisl.0007s0052.1.p
OG0002589	AL2G36510	Roisl.0004s0250.1.p
OG0002590	AL2G36340	Roisl.0004s0265.1.p
OG0002590	AL1G33470	Roisl.0007s0081.1.p
OG0002591	AL1G33170	Roisl.0007s0100.1.p
OG0002591	AL2G36140	Roisl.0004s0283.1.p
OG0002592	AL1G33040	Roisl.0007s0110.1.p
OG0002592	AL2G36010	Roisl.0004s0295.1.p
OG0002593	AL6G39050	Roisl.0036s0002.1.p, Roisl.0046s0368.1.p, Roisl.0046s0369.1.p, Roisl.0046s0370.1.p
OG0002594	AL5G44970	Roisl.0018s0352.1.p
OG0002595	AL6G52570, AL1G64370	Roisl.0007s0781.1.p, Roisl.0009s0072.1.p, Roisl.0009s0052.1.p
OG0002596	AL1G62850	Roisl.0006s0491.1.p
OG0002596	AL3G26250	Roisl.0074s0571.1.p
OG0002597	AL1G62830	Roisl.0006s0489.1.p
OG0002597	AL3G26290	Roisl.0074s0567.1.p
OG0002598	AL1G62710	Roisl.0006s0476.1.p, Roisl.0006s0473.1.p
OG0002599	AL3G26610, AL1G62560	Roisl.0074s0535.1.p
OG0002600	AL5G33530	Roisl.0046s1248.1.p
OG0002600	AL4G32410	Roisl.0028s1059.1.p
OG0002601	AL3G38630	Roisl.0053s0307.1.p
OG0002601	AL7G42280	Roisl.0075s0137.1.p
OG0002602	AL7G41200	Roisl.0002s0254.1.p
OG0002602	AL3G37130, AL166U10010	Roisl.0115s0631.1.p
OG0002603	AL7G39960	Roisl.0002s0145.1.p, Roisl.0002s0143.1.p
OG0002604	AL2G34210	Roisl.0004s0469.1.p
OG0002605	AL1G39850	Roisl.0191s0424.1.p
OG0002605	AL2G27430	Roisl.0019s0703.1.p
OG0002606	AL2G27590	Roisl.0019s0686.1.p
OG0002606	AL1G39750	Roisl.0191s0412.1.p
OG0002607	AL4G30140	Roisl.0028s0825.1.p
OG0002607	AL6G42110	Roisl.0053s0041.1.p
OG0002608	AL8G14610, AL8G14640	Roisl.0012s0353.1.p
OG0002609	AL3G32540	Roisl.0074s0017.1.p
OG0002609	AL1G57020	Roisl.0006s0028.1.p
OG0002610	AL1G57740	Roisl.0006s0073.1.p
OG0002610	AL1G57670	Roisl.0006s0070.1.p
OG0002611	AL3G34360	Roisl.0115s0381.1.p
OG0002611	AL1G58530	Roisl.0006s0145.1.p
OG0002613	AL1G61260	Roisl.0006s0359.1.p
OG0002613	AL3G28010	Roisl.0074s0410.1.p
OG0002614	AL3G28000	Roisl.0074s0411.1.p
OG0002614	AL1G61280	Roisl.0006s0360.1.p
OG0002616	AL5G31330, AL113U10020	Roisl.0014s0013.1.p, Roisl.0208s0030.1.p
OG0002617	AL3G46460	Roisl.0047s0048.1.p
OG0002618	AL3G52360	Roisl.0179s0004.1.p
OG0002618	AL7G16720	Roisl.0001s0054.1.p
OG0002619	AL3G49320	Roisl.0066s0317.1.p
OG0002619	AL3G29540	Roisl.0074s0285.1.p
OG0002620	AL3G49520	Roisl.0066s0278.1.p
OG0002620	AL7G16170	Roisl.0001s0114.1.p
OG0002621	AL3G49560	Roisl.0066s0267.1.p
OG0002621	AL7G16120	Roisl.0001s0119.1.p
OG0002622	AL7G31160	Roisl.0082s0153.1.p, Roisl.0082s0154.1.p
OG0002623	AL6G45710	Roisl.0213s0561.1.p, Roisl.0213s0564.1.p, Roisl.0213s0566.1.p, Roisl.0213s0563.1.p
OG0002624	AL5G45900	Roisl.0018s0448.1.p
OG0002624	AL4G47740	Roisl.0067s0002.1.p
OG0002625	AL5G43710	Roisl.0018s0263.1.p
OG0002625	AL4G45170	Roisl.0035s0153.1.p
OG0002626	AL5G41930	Roisl.0018s0092.1.p
OG0002626	AL4G42720	Roisl.0028s0206.1.p
OG0002627	AL5G39600	Roisl.0026s0093.1.p
OG0002628	AL5G39450	Roisl.0026s0111.1.p
OG0002628	AL4G40670	Roisl.0028s0390.1.p
OG0002629	AL5G38890	Roisl.0026s0161.1.p
OG0002629	AL4G39710	Roisl.0028s0459.1.p
OG0002630	AL5G37460	Roisl.0046s1617.1.p
OG0002630	AL4G38220	Roisl.0028s0594.1.p
OG0002631	AL5G36310	Roisl.0046s1513.1.p
OG0002631	AL4G36750	Roisl.0017s0313.1.p
OG0002632	AL3G38210	Roisl.0053s0336.1.p
OG0002633	AL4G34790	Roisl.0017s0142.1.p
OG0002633	AL5G34910	Roisl.0046s1369.1.p
OG0002634	AL7G24930	Roisl.0022s0443.1.p
OG0002635	AL3G42390	Roisl.0213s0744.1.p
OG0002635	AL7G44580	Roisl.0053s0070.1.p
OG0002636	AL2G25760	Roisl.0024s0110.1.p
OG0002637	AL7G22960	Roisl.0044s0098.1.p
OG0002637	AL3G48520	Roisl.0214s0373.1.p
OG0002638	AL4G36940	Roisl.0017s0330.1.p
OG0002639	AL4G18740, AL5G11470, AL1G40150	Roisl.0191s0462.1.p
OG0002640	AL1G11330	Roisl.0210s0123.1.p
OG0002640	AL6G52600	Roisl.0191s0577.1.p
OG0002641	AL2G17580, AL7G10790	Roisl.0115s0711.1.p
OG0002642	AL7G11120	Roisl.0115s0680.1.p
OG0002642	AL4G10730	Roisl.0082s0127.1.p
OG0002643	AL6G44520	Roisl.0020s0137.1.p
OG0002643	AL1G47350	Roisl.0209s0125.1.p
OG0002644	AL3G54170	Roisl.0209s0782.1.p
OG0002644	AL7G24470	Roisl.0022s0485.1.p
OG0002645	AL5G42590	Roisl.0018s0149.1.p
OG0002645	AL4G43990	Roisl.0028s0094.1.p
OG0002646	AL4G42370	Roisl.0028s0248.1.p
OG0002647	AL6G29380	Roisl.0210s1526.1.p
OG0002647	AL3G13810	Roisl.0016s0332.1.p
OG0002648	AL3G17950	Roisl.0079s0071.1.p
OG0002648	AL8G22720	Roisl.0198s0019.1.p
OG0002649	AL3G20430	Roisl.0079s0287.1.p
OG0002649	AL6G11320	Roisl.0034s0116.1.p
OG0002650	AL3G20600	Roisl.0079s0299.1.p
OG0002650	AL3G20590	Roisl.0079s0298.1.p
OG0002651	AL3G23180	Roisl.0074s0845.1.p
OG0002651	AL6G16330	Roisl.0042s0031.1.p
OG0002652	AL3G24830	Roisl.0074s0688.1.p
OG0002652	AL3G24840	Roisl.0074s0687.1.p
OG0002653	AL1G55230	Roisl.0013s0091.1.p
OG0002653	AL3G31140	Roisl.0074s0140.1.p
OG0002654	AL4G12410	Roisl.0046s0548.1.p
OG0002654	AL7G12920	Roisl.0001s0405.1.p
OG0002655	AL5G19000	Roisl.0188s0067.1.p
OG0002655	AL7G50800	Roisl.0070s0009.1.p
OG0002656	AL7G41590	Roisl.0075s0205.1.p
OG0002656	AL3G37490	Roisl.0053s0397.1.p
OG0002657	AL3G37380	Roisl.0053s0405.1.p
OG0002657	AL7G41480	Roisl.0075s0219.1.p
OG0002658	AL3G36610	Roisl.0115s0584.1.p
OG0002658	AL3G36580	Roisl.0115s0582.1.p
OG0002660	AL7G46560	Roisl.0064s0031.1.p
OG0002660	AL2G24000	Roisl.0055s0009.1.p
OG0002661	AL6G40930, AL6G40920	Roisl.0046s0491.1.p
OG0002662	AL6G51710	Roisl.0191s0628.1.p
OG0002663	AL5G19010, AL1G12730	Roisl.0210s0236.1.p, Roisl.0214s0001.1.p
OG0002664	AL1G17730	Roisl.0091s1033.1.p
OG0002665	AL1G20190	Roisl.0021s0002.1.p
OG0002665	AL1G67510	Roisl.0214s0829.1.p
OG0002666	AL1G20780	Roisl.0191s0239.1.p, Roisl.0021s0057.1.p
OG0002666	AL2G17680	Roisl.0214s0703.1.p
OG0002667	AL2G15720	Roisl.0214s0557.1.p
OG0002667	AL1G21630	Roisl.0021s0136.1.p
OG0002668	AL1G22410	Roisl.0021s0211.1.p
OG0002669	AL1G22960	Roisl.0021s0264.1.p
OG0002670	AL1G25690	Roisl.0021s0488.1.p
OG0002670	AL5G13240	Roisl.0011s0252.1.p
OG0002672	AL1G26970	Roisl.0007s0639.1.p
OG0002673	AL1G27260	Roisl.0007s0617.1.p
OG0002673	AL1G27220	Roisl.0007s0616.1.p
OG0002674	AL7G51010	Roisl.0007s0425.1.p
OG0002674	AL2G38910	Roisl.0004s0045.1.p
OG0002675	AL1G29610	Roisl.0007s0393.1.p
OG0002677	AL4G31480	Roisl.0028s0961.1.p
OG0002677	nbis-gene-1687	Roisl.0115s0769.1.p
OG0002678	AL4G10220	Roisl.0063s0028.1.p
OG0002678	AL7G10620	Roisl.0115s0724.1.p
OG0002679	AL7G12160	Roisl.0046s0605.1.p
OG0002680	nbis-gene-950, AL2G12800, AL4G12540	Roisl.0046s0535.1.p
OG0002680	AL7G13100	Roisl.0001s0396.1.p
OG0002681	AL7G16640	Roisl.0001s0061.1.p
OG0002681	AL3G52520	Roisl.0065s0006.1.p
OG0002682	AL7G16780	Roisl.0001s0048.1.p
OG0002682	AL3G52260	Roisl.0053s0148.1.p
OG0002683	AL7G17090	Roisl.0001s0019.1.p
OG0002683	AL3G47050	Roisl.0045s0090.1.p
OG0002684	AL7G19280	Roisl.0003s0271.1.p
OG0002684	AL4G17080	Roisl.0023s0111.1.p
OG0002685	AL4G18020	Roisl.0082s0516.1.p
OG0002685	AL7G18750	Roisl.0003s0329.1.p
OG0002686	AL7G17740	Roisl.0008s0318.1.p, Roisl.0046s0695.1.p
OG0002687	AL3G46390	Roisl.0047s0058.1.p
OG0002687	AL7G17640	Roisl.0008s0328.1.p
OG0002688	AL4G16210	Roisl.0023s0008.1.p
OG0002688	AL7G20100	Roisl.0003s0203.1.p
OG0002689	nbis-gene-2215	Roisl.0038s0058.1.p
OG0002689	nbis-gene-540	Roisl.0006s0049.1.p
OG0002690	AL1G40840, AL1G40620	Roisl.0015s0086.1.p, Roisl.0015s0108.1.p
OG0002694	AL2G17180, AL2G16970, AL2G16990	Roisl.0214s0660.1.p
OG0002695	AL3G26240, AL286U10020, AL3G19220	Roisl.0179s0064.1.p, Roisl.0179s0063.1.p, Roisl.0079s0185.1.p
OG0002696	AL6G46670, AL6G46710, AL6G46690, AL6G46680	Roisl.0091s0536.1.p
OG0002696	AL7G12560	Roisl.0082s0033.1.p
OG0002697	AL5G29040	Roisl.0046s0859.1.p
OG0002697	AL5G28960, AL5G29030	Roisl.0046s0860.1.p
OG0002698	AL7G47400	Roisl.0009s0025.1.p
