Orthogroup	Arabidopsis_lyrata_Rawat	Capsella_rubella
OG0003814	AL6G34700, AL6G30600	XP_006288568.1
OG0003815	AL6G22200	XP_006286946.1
OG0003816	AL6G33060	XP_006287687.1
OG0003817	AL8G37280	XP_006280004.1
OG0003818	AL8G34090	XP_023639744.1
OG0003819	AL7G26410	XP_023633667.1
OG0003820	AL8G31020	XP_006280213.1
OG0003821	AL8G30570	XP_006280432.1
OG0003822	AL8G29630	XP_006281642.1
OG0003823	AL6G17350	XP_006286756.1
OG0003824	AL6G16130	XP_006287546.1
OG0003825	AL5G21520	XP_006290832.1
OG0003825	AL5G21420	XP_006291257.1
OG0003826	AL8G22790	XP_006281146.1
OG0003827	AL6G13980	XP_023637657.1
OG0003828	AL7G14890	XP_023633916.1
OG0003829	AL7G48240	XP_023633986.1
OG0003830	AL2G39320	XP_006300883.1
OG0003831	AL2G38690, AL2G38720	XP_006301003.1
OG0003834	AL1G43430	XP_006306108.2
OG0003834	AL1G63070	XP_006305564.2
OG0003835	AL5G24390	XP_006290622.1
OG0003835	AL5G24430	XP_023638719.1
OG0003836	AL5G24270	XP_006290833.1
OG0003837	AL9U11810	XP_023634445.1
OG0003838	AL7G40150	XP_006285994.1, XP_006285714.1
OG0003839	AL7G39660	XP_006284855.1
OG0003840	AL1G30950	XP_006303552.2
OG0003840	nbis-gene-598	XP_023643973.1
OG0003841	AL2G28340	XP_023643702.1
OG0003842	nbis-gene-568	XP_023643442.1
OG0003843	AL1G58200	XP_006303233.1
OG0003844	AL3G34130	XP_006297378.1
OG0003844	AL1G58390	XP_006303970.1
OG0003845	AL4G15890	XP_006295790.1
OG0003846	AL5G18880	XP_006292843.1
OG0003848	AL5G30830	XP_006290398.1
OG0003849	AL7G29660	XP_006283122.1
OG0003850	AL7G30030	XP_006284119.1
OG0003851	AL3G32650	XP_006299705.1
OG0003851	AL3G32730	XP_023641228.1
OG0003852	AL3G10540	XP_006296995.1
OG0003852	AL1G28720	XP_023645066.1
OG0003853	AL5G44250	XP_006299271.1
OG0003854	AL1G55650, AL4G44400	XP_006294019.1
OG0003855	AL5G41160	XP_006292066.1
OG0003856	AL5G39820	XP_006279040.1
OG0003857	AL5G39640	XP_006290358.1
OG0003858	AL5G39630	XP_023637841.1
OG0003859	AL5G35050	XP_006291916.1
OG0003860	AL5G10450	XP_023639297.1
OG0003861	AL9U12210	XP_006286161.1
OG0003861	AL3G41980	XP_006299309.1
OG0003862	AL3G39800	XP_006296863.1
OG0003865	AL4G33680	XP_006295042.1
OG0003866	AL4G33130	XP_006294951.1
OG0003866	AL8G24670	XP_006279697.1
OG0003867	AL4G12000	XP_006293956.1
OG0003868	AL2G26170, AL2G26160, AL1G52210	XP_006304446.1
OG0003869	AL1G48170	XP_006306164.1, XP_006303802.1
OG0003870	AL1G48090	XP_006289112.1
OG0003871	AL2G11840	XP_006302890.2
OG0003872	AL6G45870	XP_006286857.1
OG0003873	AL3G53520	XP_006299774.1
OG0003873	AL4G32160	XP_006295848.1
OG0003874	AL181U10040, AL4G46330	XP_006294618.1
OG0003875	AL5G17750	XP_006296094.1
OG0003875	AL4G42490	XP_023640213.1, XP_023640212.1
OG0003876	AL4G41050	XP_023639359.1
OG0003877	nbis-gene-1143	XP_006296268.1
OG0003878	AL4G39590	XP_006293943.1
OG0003879	AL3G12410	XP_023641725.1
OG0003880	AL3G18570	XP_023641741.1
OG0003881	AL3G19180	XP_023641602.1
OG0003882	AL3G22950	XP_006297467.1
OG0003883	AL6G49210, AL3G49110	XP_006300067.1
OG0003884	nbis-gene-708	XP_006296610.2
OG0003885	AL1G11530	XP_006307425.1
OG0003886	AL792U10010, AL8G32330, AL8G26290	XP_023635284.1
OG0003887	AL5G32930	XP_006291950.1
OG0003889	AL1G15060	XP_023633290.1
OG0003891	AL1G19350	XP_006304417.1
OG0003892	AL1G19490, AL1G19480	XP_006279050.2, XP_006304854.2
OG0003893	AL1G19910	XP_023645992.1
OG0003894	AL1G20080	XP_006305580.1
OG0003894	AL1G55810	XP_006306226.1
OG0003895	AL1G23780	XP_006304261.1
OG0003896	AL1G30660	XP_006303831.1
OG0003897	AL1G31160	XP_006304114.1, XP_006303555.1
OG0003898	AL1G31540	XP_006304694.1
OG0003898	AL1G31530	XP_006304683.1
OG0003899	AL1G31830	XP_006307229.1
OG0003900	AL6G51750	XP_023637184.1, XP_006299712.1
OG0003901	AL2G13270	XP_023642972.1
OG0003902	AL2G15240	XP_006301480.1
OG0003903	AL2G17920	XP_023643296.1
OG0003903	AL2G17950	XP_006300903.1
OG0003905	AL8G10300	XP_023643063.1
OG0003906	AL4G10060	XP_006295202.1
OG0003907	AL5G26310	XP_006292995.1
OG0003908	AL7G14520	XP_023634411.1
OG0003909	AL7G16330	XP_006286163.2
OG0003910	AL7G16950	XP_006285511.1
OG0003911	AL7G20940	XP_006284565.1
OG0003912	AL1G37010	XP_006303428.1
OG0003913	AL7G24750	XP_006284110.1
OG0003914	AL4G15340	XP_006295764.1
OG0003916	AL1G42260	XP_023644895.1
OG0003916	AL2G38230	XP_023644334.1
OG0003917	AL1G50270	XP_006303433.1
OG0003918	AL4G39700	XP_023639421.1
OG0003919	AL3G43540	XP_023634309.1
OG0003922	AL5G19620	XP_023638206.1
OG0003923	AL5G26530	XP_006291536.1
OG0003925	AL3G41410, AL8G37430	XP_006281849.2
OG0003927	AL6G27700	XP_023637733.1
OG0003929	AL6G42570, AL6G42600, AL6G42580	XP_006288095.1
OG0003930	AL8G14650	XP_023637620.1
OG0003931	AL8G25790	XP_006281620.1
OG0003941	AL6G26070	XP_006288834.1
OG0003942	AL6G24930	XP_006287815.1
OG0003943	AL6G24350	XP_023636402.1
OG0003944	AL6G23510	XP_006289832.1
OG0003945	AL6G38040	XP_006289724.1
OG0003946	AL2G28850	XP_023643547.1
OG0003948	AL6G21890	XP_006289904.2
OG0003949	AL6G39530	XP_006287727.1
OG0003949	AL1G50890	XP_006306305.1
OG0003950	AL6G18660	XP_006287630.1
OG0003951	nbis-gene-1553	XP_006286554.1
OG0003952	AL6G18550	XP_006288089.1
OG0003953	AL8G38190	XP_006282346.1
OG0003954	AL7G28340	XP_006283181.1
OG0003954	AL3G15410	XP_006296685.1
OG0003955	AL7G28510	XP_023633785.1
OG0003956	AL4G21520	XP_006295165.1
OG0003957	AL5G38330	XP_006293432.1
OG0003958	AL4G24890	XP_006293588.2
OG0003959	AL4G29080	XP_006294340.1
OG0003960	AL1G13850	XP_006304183.1
OG0003961	AL7G28010	XP_006285813.1
OG0003962	AL1G43400, AL1G43440	XP_006303300.1, XP_006303315.1
OG0003964	AL5G36640	XP_006291906.1
OG0003965	AL1G65760	XP_023643785.1
OG0003966	AL2G37540	XP_023644329.1
OG0003966	AL8G43390, AL8G43160	XP_006279977.1
OG0003967	AL8G41390	XP_006280805.1
OG0003968	AL8G40840	XP_023635364.1
OG0003970	AL8G38250, AL365U10010	XP_006281721.1
OG0003972	AL8G37850	XP_006279565.1
OG0003973	AL8G37640	XP_006280455.1
OG0003974	AL4G15050	XP_006288824.1
OG0003975	AL5G28390	XP_006291500.2
OG0003976	AL6G37520	XP_023637547.1
OG0003977	AL6G37870	XP_006286985.1
OG0003978	AL1G22820	XP_006307355.1
OG0003979	AL8G36940	XP_006282302.1
OG0003979	AL5G23940	XP_006292826.1
OG0003980	AL8G10160, AL8G10150, AL8G36850	XP_006280164.1
OG0003981	nbis-gene-1213	XP_006292728.1
OG0003982	AL139U10040, AL8G35330, AL3G40420	XP_006280285.1
OG0003983	nbis-gene-2174	XP_006279862.1
OG0003984	AL8G34800	XP_023639249.1, XP_006280848.1
OG0003985	AL8G33520	XP_006281522.1, XP_006281808.1
OG0003986	AL191U10030, AL8G31870	XP_023635695.1
OG0003987	AL6G42740, AL5G28510	XP_006290808.1
OG0003988	AL8G29640	XP_006279536.1
OG0003989	AL6G17160	XP_006289894.1
OG0003990	AL8G27920	XP_023633394.1
OG0003990	AL8G27910	XP_006281995.1
OG0003991	AL22U10060, AL6G15100	XP_006289651.1
OG0003992	AL6G14720	XP_006282178.2, XP_006289495.1
OG0003993	AL6G14220	XP_006287211.2
OG0003994	AL6G12710	XP_006287947.1
OG0003995	AL6G11560	XP_006286879.1
OG0003996	AL6G11550	XP_006287879.2
OG0003997	AL7G48460	XP_006284403.1
OG0003998	AL3G21700, AL491U10020	XP_006299836.1
OG0003999	AL2G40680	XP_023643751.1
OG0004000	AL2G36560	XP_006301898.1
OG0004001	AL2G36440	XP_006302419.1
OG0004002	AL2G35920	XP_006301120.1
OG0004003	AL8G15400	XP_006280794.2
OG0004004	AL1G62420	XP_006304634.1
OG0004005	nbis-gene-316	XP_023644571.1
OG0004005	nbis-gene-315, AL1G64270	XP_023644570.1
OG0004006	AL1G63970	XP_006303808.1
OG0004007	AL185U10020, AL1G63460	XP_006307680.1
OG0004009	AL1G52150	XP_006307383.1
OG0004010	AL1G62440	XP_006306231.1
OG0004011	AL4G32520	XP_023639682.1
OG0004013	AL7G41740, AL7G41770	XP_006284667.1
OG0004014	AL7G41240	XP_023633993.1
OG0004015	AL7G39630	XP_023635657.1
OG0004016	AL2G33230, AL2G33220	XP_006300298.1, XP_023642845.1
OG0004017	AL2G34160	XP_023643295.1
OG0004020	AL5G16400	XP_006291222.1
OG0004020	AL7G48790, AL7G48890	XP_006282947.1
OG0004021	AL7G32230	XP_006285577.1
OG0004022	AL8G13190	XP_006282397.2
OG0004023	AL3G33330	XP_006297345.1
OG0004024	AL3G33340	XP_023641616.1
OG0004024	AL1G57850	XP_023645030.1
OG0004025	AL7G36090	XP_006282452.1
OG0004025	AL4G30980	XP_006293737.2
OG0004026	AL4G31130	XP_006295389.1
OG0004027	AL8G12000	XP_006282264.2
OG0004028	AL1G28100	XP_023645091.1
OG0004029	AL7G31020	XP_006284605.1
OG0004030	AL2G22150, AL1G51320	XP_006306801.1
OG0004031	AL8G23620	XP_006282295.1
OG0004032	AL7G33810	XP_006285562.1
OG0004033	AL7G33610	XP_006284024.1
OG0004034	AL7G32340	XP_023634818.1
OG0004035	AL7G32170	XP_023635418.1
OG0004036	AL7G34390	XP_023635186.1
OG0004036	AL3G31260	XP_006296998.1
OG0004037	AL7G38560	XP_006284611.1
OG0004038	AL7G52620, AL7G38050	XP_006284340.1
OG0004039	AL3G10760	XP_006282134.1, XP_006297180.2
OG0004040	AL8G44970	XP_006281109.2, XP_006301614.2
OG0004040	AL4G16940	XP_006294863.1
OG0004041	AL5G45550	XP_006291167.1
OG0004042	AL5G44440, AL4G46040	XP_023638624.1
OG0004043	AL4G18210	XP_006294498.1
OG0004043	AL7G18690	XP_023634999.1
OG0004044	AL5G43740	XP_023639058.1
OG0004045	AL5G43670	XP_023638488.1
OG0004046	AL5G41480	XP_006290264.1
OG0004047	AL5G38920	XP_006291720.1
OG0004048	AL5G10260	XP_006293133.1
OG0004049	AL4G39310	XP_023640744.1
OG0004049	AL5G38550	XP_006292158.1
OG0004050	AL5G38000, AL1G49030	XP_006290956.1
OG0004051	AL5G35240	XP_006291779.1
OG0004052	AL5G34510	XP_023638669.1
OG0004053	AL5G34440	XP_023638424.1
OG0004054	AL3G40570	XP_006297663.2
OG0004055	AL1G63840	XP_023632604.1
OG0004056	AL2G31680	XP_006301795.1
OG0004058	AL4G38320	XP_006296245.1
OG0004060	AL4G14880	XP_006296192.1
OG0004061	AL7G28620	XP_023633803.1
OG0004062	AL1G56060	XP_006304445.1
OG0004063	AL1G48420	XP_023646067.1
OG0004064	AL6G43860	XP_006288339.1
OG0004065	AL6G45080	XP_006288481.2
OG0004065	AL7G29430	XP_006284448.1
OG0004066	AL6G30820	XP_023636569.1
OG0004068	AL3G15430	XP_006299942.1
OG0004069	AL4G46960	XP_006295238.1
OG0004070	AL4G45890, AL4G45850, AL4G45830, AL4G45870	XP_006295227.1
OG0004071	AL3G47140, AL3G47150	XP_006298158.1
OG0004072	AL4G43610, AL4G43600	XP_006296160.1
OG0004073	AL4G42460	XP_006295114.1
OG0004074	AL1G29240	XP_006306528.1
OG0004077	AL3G13080	XP_006299511.1
OG0004078	AL6G29410, AL3G13870	XP_006299962.1
OG0004079	AL3G14420	XP_023642799.1
OG0004080	AL3G14820	XP_006298770.1
OG0004081	AL3G15310	XP_006297808.2
OG0004082	AL3G15390	XP_006299536.2
OG0004083	AL3G15650	XP_006297335.1
OG0004084	AL3G16690	XP_006298515.1
OG0004085	AL3G16900	XP_006298131.1
OG0004085	AL6G30650	XP_006288201.1
OG0004086	AL3G18580	XP_023641667.1
OG0004087	AL3G24570	XP_006300271.2
OG0004088	AL3G25370	XP_006297132.1
OG0004089	AL1G30490, AL3G26490	XP_006297871.1
OG0004090	AL7G45340, AL3G27740	XP_023642596.1, XP_023632713.1
OG0004091	AL3G28650	XP_006297067.1
OG0004092	AL3G30110	XP_006299434.1
OG0004093	AL3G31130	XP_006297201.2
OG0004094	AL3G33210	XP_006297804.1
OG0004095	AL8G22360, AL8G22680	XP_006281014.2, XP_006279693.1
OG0004096	AL5G19480, AL5G19560	XP_006292993.2
OG0004097	AL1G19610, AL7G50660	XP_006285870.1
OG0004098	AL3G38270	XP_023641771.1, XP_023641772.1
OG0004099	AL3G38040	XP_006299893.1
OG0004100	AL3G37180	XP_006299601.1
OG0004101	AL3G37160	XP_006298609.1
OG0004102	AL3G35630	XP_006298556.1
OG0004103	AL7G22240	XP_023634237.1
OG0004104	AL8G23320	XP_023639054.1
OG0004105	AL6G40940	XP_023633890.1, XP_006289338.1
OG0004107	AL1G11080, AL1G59290	XP_006304244.1
OG0004108	AL1G13680	XP_006304405.1
OG0004109	AL1G16330	XP_006303558.1
OG0004110	AL1G17870	XP_006306624.2
OG0004111	AL1G65470	XP_006300832.1
OG0004111	AL1G19430	XP_023644824.1
OG0004112	AL6G48640	XP_023637571.1
OG0004113	AL1G22060	XP_006303174.1
OG0004114	AL2G12690	XP_006302086.1
OG0004114	AL1G23820	XP_023645062.1
OG0004115	AL1G26770	XP_006304397.1
OG0004116	AL1G30220	XP_006304577.1
OG0004117	AL1G30430	XP_006307218.1, XP_023645410.1
OG0004118	AL2G31800	XP_006302093.1, XP_023643468.1
OG0004119	AL8G23670, AL8G23660	XP_006282058.1
OG0004120	AL2G31110	XP_006301876.1
OG0004121	AL2G29560, AL1G37750	XP_006303066.2
OG0004122	AL1G24320	XP_023645659.1
OG0004122	AL2G12410	XP_023643184.1
OG0004123	AL5G10170	XP_023638286.1
OG0004123	AL5G17030	XP_006291691.2, XP_006291221.2
OG0004124	AL2G10690	XP_006302049.1
OG0004125	AL6G49030, AL6G49110	XP_006287934.2
OG0004126	AL3G47580	XP_023633532.1, XP_006281391.1
OG0004127	AL5G22360, AL5G22330, AL5G22350	XP_006293099.1, XP_006292448.1
OG0004128	AL6G48630	XP_023637044.1
OG0004128	AL7G32580	XP_006285107.1
OG0004129	AL1G54790	XP_006284902.2, XP_023644724.1
OG0004130	AL7G13320	XP_006284314.1
OG0004131	AL7G14780	XP_006283636.1
OG0004132	AL7G15160	XP_006283537.1
OG0004133	AL7G17700	XP_006283878.1
OG0004134	AL520U10010, AL3G38830	XP_006297739.1, XP_023641880.1
OG0004135	AL3G39120, AL3G40120	XP_006297786.1
OG0004136	AL6G52850	XP_006289505.1
OG0004137	AL8G27280	XP_006281211.1
OG0004138	AL1G37970	XP_006303411.1
OG0004138	AL1G37960	XP_006307741.2, XP_006304400.1
OG0004141	AL1G65060	XP_006302863.2, XP_006302984.1
OG0004142	AL6G43120, AL3G39240, AL8G20510	XP_006283692.2, XP_006284049.2
OG0004143	nbis-gene-783	XP_023641379.1
OG0004144	AL3G43640, AL3G43660	XP_006300151.2
OG0004146	AL4G23450	XP_006295741.1
OG0004147	AL5G21350	XP_006293098.1, XP_006292882.2
OG0004148	AL5G10250	XP_006292359.1
OG0004149	AL5G17390	XP_006292233.1
OG0004150	AL5G43100	XP_006293220.1
OG0004152	AL6G42440	XP_006289448.1
OG0004153	AL7G25510	XP_006284438.1
OG0004154	AL6G34100	XP_006289711.2
OG0004154	AL8G36590	XP_006281708.1
OG0004155	AL835U10020, AL835U10010, AL8G40330	XP_006281313.1
OG0004156	nbis-gene-1638, nbis-gene-384	XP_023637625.1
OG0004157	AL4G30760	XP_006294911.1
OG0004165	AL4G13970	XP_006295101.1
OG0004166	AL7G21610	XP_006284418.1
OG0004167	AL7G21550	XP_006285431.1
OG0004168	AL8G40280	XP_006281666.1
OG0004168	AL5G27790	XP_006290693.1
OG0004169	AL6G28420	XP_006286576.1
OG0004170	AL6G27860	XP_023636415.1
OG0004173	AL6G26880	XP_023636418.1
OG0004174	AL6G25980	XP_006288963.1
OG0004175	AL6G25930	XP_006286712.1
OG0004176	nbis-gene-1519, AL6G25820, AL2G22570	XP_006289121.1
OG0004177	AL1G37320	XP_006305312.1
OG0004178	AL6G24690	XP_023636395.1
OG0004179	AL8G26460	XP_023641392.1
OG0004180	AL6G21690	XP_006289960.1
OG0004181	AL5G18970	XP_023638413.1
OG0004182	AL6G21380	XP_023637585.1
OG0004182	AL6G36690	XP_006286729.1
OG0004183	AL5G33140, AL1G67220, AL6G19760	XP_006288777.1
OG0004184	AL6G18890	XP_006287914.1
OG0004186	AL7G28330	XP_023634191.1
OG0004187	AL4G19900, AL4G19910	XP_006296031.2
OG0004188	AL4G20540	XP_006294674.2
OG0004189	AL4G21170	XP_006304143.1
OG0004190	AL4G21480, AL8G17300	XP_006294987.1
OG0004191	AL4G21530	XP_006294449.1
OG0004192	AL4G25220	XP_006294259.1
OG0004193	AL136U10010, AL4G25270	XP_006294613.1
OG0004194	AL4G25380	XP_006294038.1
OG0004195	AL4G26450	XP_006296079.1
OG0004197	AL4G27150	XP_006296279.1
OG0004198	AL4G27550, AL4G27570	XP_006295357.1, XP_006293411.2, XP_006295278.2
OG0004199	AL1G54250	XP_006305760.1
OG0004200	AL1G53260	XP_006305842.1
OG0004201	AL1G53330	XP_006305132.1
OG0004202	AL1G41790	XP_023645807.1
OG0004203	AL1G42850	XP_006304746.1
OG0004204	AL1G43480	XP_006305152.1
OG0004205	AL4G30380	XP_023640553.1
OG0004206	AL1G44220	XP_006306367.1
OG0004207	AL1G44480	XP_023645883.1
OG0004208	AL1G44620	XP_006305006.1
OG0004209	AL1G45110	XP_006307602.2
OG0004210	AL1G46130	XP_006304993.1
OG0004211	AL5G12550	XP_006292978.1
OG0004212	AL8G44380, AL1031U10020, AL2G23160	XP_006281487.1
OG0004213	AL8G44410, AL1105U10010	XP_023643970.1
OG0004214	AL8G44310	XP_006281742.1
OG0004215	AL8G43670	XP_006282280.1
OG0004216	AL7G42430	XP_023634250.1
OG0004217	AL386U10010, AL8G40610	XP_006280683.2
OG0004218	AL8G39850	XP_006281467.1
OG0004219	AL1G60730	XP_023644548.1
OG0004220	AL4G38750, AL1G10100, AL8G37990	XP_006282146.1
OG0004221	AL8G37510	XP_006281446.1
OG0004222	nbis-gene-1840	XP_006285170.1
OG0004223	AL8G16960	XP_006279531.1
OG0004224	AL6G35360	XP_023637412.1
OG0004226	AL6G31340	XP_006286940.1
OG0004227	AL6G32240	XP_006287414.1
OG0004228	AL6G33270	XP_006289299.1
OG0004229	AL8G35660	XP_006280885.1
OG0004230	AL8G35370	XP_006281272.1
OG0004231	AL5G12880	XP_006293277.2
OG0004232	AL8G32620	XP_006280390.1
OG0004233	AL7G30550	XP_023633980.1
OG0004234	AL8G31370	XP_006292756.1, XP_023638693.1, XP_023642465.1
OG0004235	AL7G47510	XP_023639250.1
OG0004236	AL8G30200	XP_006280726.1
OG0004237	AL6G50740	XP_006288964.1
OG0004238	AL6G50290	XP_006287802.1
OG0004239	AL6G16430	XP_006287041.1
OG0004240	AL3G21670	XP_006297083.1
OG0004241	AL6G13730	XP_006287481.1
OG0004242	AL6G12170	XP_006288039.1
OG0004243	AL6G10420	XP_006286782.1
OG0004244	AL7G49000	XP_006283192.1
OG0004246	AL2G40690	XP_006302787.1
OG0004247	AL2G40020	XP_006301621.1
OG0004248	AL2G39230	XP_006302860.1
OG0004249	AL2G37920	XP_006302655.1
OG0004250	AL3G19670	XP_006297329.1
OG0004251	AL1G64070	XP_006306482.1, XP_006304662.1
OG0004252	AL6G31240	XP_006299435.2
OG0004252	AL1G39980	XP_006303908.2
OG0004253	AL1G61610	XP_006307086.1
OG0004254	AL9U10130	XP_006286000.1
OG0004255	AL4G43660	XP_006295245.1
OG0004256	AL2G32610	XP_006302370.1
OG0004257	AL1G37890, AL8G25330	XP_006280705.1
OG0004258	AL1G24790	XP_006307035.1
OG0004259	AL5G18080	XP_006292717.1
OG0004260	AL8G25000	XP_006281532.2
OG0004261	AL5G17150	XP_006292294.1
OG0004261	AL5G17160	XP_006292686.1
OG0004262	AL5G14760	XP_023637849.1
OG0004263	AL1G38720	XP_006305507.1
OG0004264	AL2G28530	XP_006302036.1
OG0004265	AL8G12230	XP_023644210.1
OG0004266	AL8G12520	XP_023642657.1
OG0004267	AL8G13270	XP_006280549.2, XP_006280006.1
OG0004268	AL8G13830	XP_006285941.1
OG0004269	AL4G19400	XP_023642600.1, XP_006294650.1
OG0004270	AL2G31070, AL158U10010	XP_006300351.1
OG0004272	AL1G59820	XP_006306732.1
OG0004273	AL1G60480	XP_006305177.2
OG0004274	AL7G35710	XP_006284914.1
OG0004275	AL7G35750, AL7G35720	XP_006283920.1
OG0004277	AL7G37220	XP_023634945.1
OG0004278	AL5G31540	XP_006290505.1
OG0004279	AL7G29670	XP_006284582.1
OG0004280	AL7G30010	XP_006282835.1
OG0004281	AL8G25870, AL130U10010	XP_006280530.1
OG0004282	AL7G29210	XP_023635008.1
OG0004283	AL4G30950	XP_006296463.1
OG0004284	AL7G30900	XP_006286193.1, XP_006285811.1
OG0004285	AL7G33840	XP_006283913.1
OG0004286	AL7G33270	XP_006283784.1
OG0004287	AL7G33010	XP_006284681.1
OG0004288	AL7G37780	XP_006284141.1
OG0004289	AL3G10400	XP_006299087.1
OG0004290	AL2G11990, AL2G11930	XP_006291800.2, XP_023636957.1
OG0004291	AL5G45800	XP_006291375.1
OG0004292	AL5G43890	XP_023638578.1
OG0004292	AL4G45340	XP_006294514.1
OG0004293	AL5G43380	XP_006291146.1
OG0004294	AL5G41530	XP_006292007.1
OG0004294	AL1G62980	XP_006305757.1
OG0004295	AL5G40370	XP_006290799.1
OG0004296	nbis-gene-1389	XP_006293023.1
OG0004297	AL5G39880	XP_023639304.1
OG0004299	AL5G38310	XP_006291996.1
OG0004300	AL5G37990	XP_023638985.1
OG0004301	AL5G37610	XP_023637962.1
OG0004302	AL5G36130, AL8G13370	XP_006292931.1
OG0004303	AL8G28110	XP_006280881.1
OG0004304	AL397U10010, AL3G39730	XP_006298303.1
OG0004305	AL3G50980	XP_006299979.1
OG0004306	AL3G51360	XP_006299149.1
OG0004307	AL3G51900	XP_006296755.2
OG0004307	AL3G51920	XP_006297598.1
OG0004308	AL3G48770	XP_006297805.2
OG0004309	AL5G10990	XP_006292199.1
OG0004310	AL4G39160	XP_006293964.1
OG0004311	AL4G38830	XP_006294048.1
OG0004312	AL4G34380, AL4G38610	XP_023640590.1
OG0004313	AL4G37780	XP_006295484.1
OG0004314	AL4G36500	XP_006293900.1
OG0004315	AL4G35910	XP_006295029.1
OG0004316	AL4G34090, AL4G34160	XP_006294619.1
OG0004317	AL6G46840	XP_006288770.1
OG0004318	AL4G13690	XP_006293798.1
OG0004318	AL7G14100	XP_023633712.1
OG0004319	AL1G40100	XP_006304175.1
OG0004320	AL1G14090	XP_006304014.1
OG0004321	AL5G25080, AL5G25130	XP_023638576.1
OG0004322	AL6G38490	XP_006289325.1
OG0004323	AL6G39120	XP_006286599.2
OG0004324	AL6G39230	XP_006288890.1
OG0004325	AL6G39360	XP_006288848.1
OG0004326	AL4G46550	XP_006295958.1
OG0004327	AL4G46540	XP_006295414.1
OG0004328	AL4G45940	XP_023632866.1, XP_023639735.1
OG0004329	AL4G45660	XP_006293860.2
OG0004330	AL4G45500	XP_006295033.1
OG0004331	AL3G35380	XP_006297383.1
OG0004332	AL5G43350	XP_023639000.1
OG0004332	AL4G44870	XP_006295297.1
OG0004334	AL4G41800	XP_006294646.1
OG0004335	AL4G41740	XP_006294858.1
OG0004336	AL4G41480, AL713U10010	XP_006295260.1
OG0004337	AL8G10850	XP_006281073.1
OG0004338	AL8G10950	XP_023634821.1
OG0004339	AL8G11170	XP_006281192.1
OG0004340	AL3G16540	XP_006296737.1
OG0004341	AL3G16780	XP_006300138.1
OG0004342	AL3G17810	XP_023641501.1
OG0004343	AL3G17880	XP_023641764.1
OG0004344	AL3G19260	XP_023641541.1
OG0004345	AL3G21380	XP_006297203.2
OG0004346	AL3G22750	XP_006298725.2
OG0004347	AL3G23400	XP_006299828.2
OG0004348	AL3G23640	XP_006299808.1
OG0004348	AL6G16750	XP_006289079.1
OG0004349	AL3G24270	XP_006298658.1
OG0004350	AL3G24860	XP_023642608.1
OG0004351	AL1G63530, AL3G25360	XP_006305217.1
OG0004352	AL3G25950	XP_006296703.2
OG0004353	AL3G26310	XP_006298814.1
OG0004354	AL3G26460	XP_006296734.1
OG0004355	AL3G27160	XP_006298019.1
OG0004356	AL3G27830	XP_006297233.1
OG0004357	AL230U10030, AL3G27930	XP_023642046.1
OG0004358	AL2G40660	XP_023643752.1
OG0004358	AL3G27970	XP_006298858.1
OG0004359	AL3G28640	XP_006297165.1
OG0004360	AL3G53810	XP_006297575.1
OG0004361	AL3G30100	XP_006298533.1
OG0004362	AL3G32030, AL3G32010	XP_006299156.1
OG0004363	AL3G32380	XP_006297888.2
OG0004364	AL3G33010	XP_006298327.1
OG0004365	AL3G33910	XP_006296792.1
OG0004366	AL219U10010, AL3G34180	XP_006297579.1
OG0004367	AL3G34860	XP_006299654.1
OG0004368	AL3G35050	XP_023642655.1, XP_006300274.2, XP_006279243.2, XP_023645179.1, XP_006300263.2, XP_006279259.2, XP_006279032.1
OG0004369	AL3G35280	XP_006299594.2, XP_006296829.1
OG0004370	AL7G46620	XP_006282746.1
OG0004371	AL7G45850	XP_006282446.1
OG0004372	AL8G20290	XP_006280444.1
OG0004373	AL3G38670	XP_006299757.1
OG0004374	AL3G37900	XP_006299575.1
OG0004375	AL3G36660	XP_006296824.1
OG0004376	AL3G36020	XP_006298275.1
OG0004377	AL3G35830	XP_023642123.1
OG0004378	AL3G35820	XP_006298243.1
OG0004379	AL3G35530	XP_006299130.1
OG0004380	AL2G20300	XP_023643822.1
OG0004381	AL6G29920	XP_006288468.1
OG0004382	AL5G32110	XP_023639129.1
OG0004383	AL5G31990	XP_006290584.1
OG0004384	AL1G11640	XP_006305170.1
OG0004385	AL1G12980	XP_006305017.1
OG0004385	AL6G49730	XP_023636791.1
OG0004386	AL7G49800	XP_006283143.1
OG0004387	AL1G15910	XP_006303899.1
OG0004388	AL1G18170	XP_023645626.1
OG0004389	nbis-gene-53	XP_023645203.1
OG0004390	nbis-gene-56	XP_006305369.1
OG0004391	AL1G20310	XP_006306229.2
OG0004392	AL1G23060	XP_006305596.1
OG0004393	AL1G23900	XP_006305294.2
OG0004394	AL1G23960	XP_006303182.1
OG0004395	AL1G24350	XP_023645620.1
OG0004396	AL1G28730, AL6G51090	XP_006305176.2
OG0004397	AL1G34570	XP_006305555.1
OG0004398	AL2G17640	XP_023644025.1
OG0004398	AL1G35540	XP_006306470.1
OG0004399	AL1G36170	XP_023645186.1
OG0004400	AL2G31280	XP_023643453.1
OG0004401	AL2G29550	XP_006302413.1
OG0004402	AL5G41520	XP_006292930.2, XP_006291077.2
OG0004403	AL2G12190, AL2G12160	XP_006300562.1
OG0004404	AL1G65870	XP_023643325.1, XP_006302650.1
OG0004405	AL7G47100	XP_006284968.1
OG0004405	AL2G10310	XP_006301560.1
