Orthogroup	Arabidopsis_lyrata_Rawat	Conringia_planisiliqua
OG0004648	AL5G38930	CP3_g13608_DN3_SP0_c.t1
OG0004649	AL5G38630	CP20_g4455_DN3_SP0_c.t1, CP20_g4454_DN3_SP0_c.t1
OG0004650	AL5G38560	CP3_g13640_DN3_SP0_c.t1
OG0004651	AL5G38190	CP3_g13674_DN3_SP0_c.t1, CP3_g13673_DN1_SP0_c.t1
OG0004652	AL5G38080	CP3_g13680_DN3_SP0_c.t1
OG0004653	AL5G37730	CP3_g13707_DN3_SP0_c.t1
OG0004654	AL5G37500	CP3_g13730_DN3_SP8_c.t1
OG0004655	AL3G39190	CP3_g13785_DN3_SP0_c.t1, CP4_g25734_DN3_SP8_c.t1
OG0004656	AL5G36730	CP3_g13794_DN3_SP0_c.t1
OG0004657	AL5G35080	CP3_g13952_DN3_SP0_c.t1
OG0004658	AL5G34990	CP3_g13962_DN3_SP3_c.t1
OG0004659	AL8G29690	CP8_g53409_DN3_SP8_c.t1
OG0004661	AL2G26470	CP9_g28341_DN3_SP7_c.t1
OG0004662	AL2G27350	CP9_g28429_DN3_SP3_c.t1
OG0004663	AL3G52000, AL3G52010	CP10_g43649_DN2_SP0_c.t1
OG0004664	AL3G52760	CP10_g43612_DN3_SP8_c.t1
OG0004665	AL3G48910, AL3G48890	CP10_g43584_DN3_SP7_c.t1
OG0004666	AL4G38380	CP4_g24662_DN3_SP0_c.t1
OG0004667	AL4G11730	CP16_g54853_DN3_SP8_c.t1
OG0004668	AL4G37950	CP4_g24697_DN3_SP0_c.t1
OG0004669	AL301U10020, AL4G37700	CP4_g24717_DN3_SP0_c.t1
OG0004670	AL4G37520	CP4_g24731_DN3_SP8_c.t1
OG0004671	AL4G37180	CP4_g24754_DN3_SP0_c.t1
OG0004672	AL4G36840, AL463U10030	CP4_g24777_DN3_SP8_c.t1
OG0004673	AL4G36820	CP4_g24778_DN3_SP5_c.t1
OG0004674	AL4G36380	CP4_g24813_DN3_SP7_c.t1
OG0004676	AL4G34940	CP4_g24929_DN1_SP0_c.t1
OG0004677	AL6G48260, AL8G15630	CP11_g31871_DN3_SP7_c.t1
OG0004678	AL6G47200	CP20_g4440_DN2_SP0_c.t1
OG0004679	AL1G52470, AL1G52220	CP1_g39056_DN3_SP2_c.t1
OG0004680	AL6G43300	CP20_g4095_DN3_SP8_c.t1
OG0004681	AL6G45340	CP20_g4317_DN3_SP8_c.t1
OG0004682	AL6G46300, AL6G46430, AL2G25300	CP20_g4379_DN3_SP0_c.t1
OG0004683	AL6G38530	CP2_g48542_DN3_SP4_c.t1
OG0004684	AL6G40160	CP2_g48637_DN3_SP0_c.t1
OG0004685	AL3G53320	CP12_g29862_DN3_SP8_c.t1
OG0004686	AL7G13980	CP5_g317_DN3_SP4_c.t1
OG0004687	AL4G44830	CP4_g24159_DN3_SP8_c.t1
OG0004688	AL4G44200	CP4_g24221_DN3_SP0_c.t1
OG0004689	AL4G43650	CP4_g24266_DN3_SP8_c.t1
OG0004690	AL4G42170	CP4_g24385_DN3_SP8_c.t1
OG0004691	AL8G11180, AL8G11200	CP13_g19788_DN3_SP3_c.t1
OG0004692	AL3G10960	CP10_g42171_DN3_SP3_c.t1
OG0004693	AL3G12160	CP10_g42266_DN3_SP7_c.t1
OG0004694	AL3G13280	CP10_g42346_DN3_SP8_c.t1
OG0004695	AL3G13750	CP10_g42382_DN3_SP0_c.t1
OG0004696	nbis-gene-2010, AL3G16630	CP2_g48545_DN3_SP2_c.t1
OG0004698	AL3G16870	CP10_g42606_DN2_SP2_c.t1
OG0004699	AL3G16970	CP10_g42614_DN3_SP6_c.t1
OG0004700	AL3G17260	CP10_g42634_DN3_SP2_c.t1
OG0004701	AL3G17560	CP10_g42657_DN3_SP2_c.t1
OG0004702	AL3G18270	CP10_g42712_DN3_SP8_c.t1
OG0004703	AL3G18910	CP10_g42767_DN3_SP8_c.t1
OG0004704	nbis-gene-675	CP10_g42780_DN3_SP8_c.t1
OG0004705	AL3G19710	CP10_g42833_DN3_SP8_c.t1
OG0004706	AL3G20520	CP8_g52619_DN2_SP0_c.t1, CP10_g42902_DN3_SP0_c.t1
OG0004707	AL3G23390	CP10_g43146_DN3_SP8_c.t1
OG0004708	AL3G23940	CP10_g43192_DN3_SP6_c.t1
OG0004709	AL3G24330	CP10_g43223_DN2_SP0_c.t1, CP10_g43224_DN3_SP0_c.t1
OG0004710	AL3G24380	CP10_g43228_DN3_SP0_c.t1
OG0004711	AL3G24600	CP10_g43248_DN3_SP1_c.t1
OG0004712	AL3G25390	CP10_g43312_DN2_SP0_c.t1
OG0004713	AL3G26150	CP10_g43362_DN3_SP6_c.t1
OG0004714	AL3G26190	CP10_g43366_DN3_SP0_c.t1
OG0004715	AL8G19880	CP2_g48830_DN3_SP3_c.t1
OG0004716	AL3G27880	CP12_g29875_DN3_SP8_c.t1
OG0004717	AL3G27980	CP12_g29881_DN3_SP8_c.t1, CP7_g46210_DN3_SP1_c.t1
OG0004718	AL4G34540, AL4G34500, AL3G29080	CP12_g29986_DN3_SP0_c.t1
OG0004719	AL3G29350	CP9_g28130_DN1_SP0_c.t1
OG0004720	AL3G33080	CP5_g157_DN3_SP0_c.t1
OG0004721	AL3G31790	CP12_g30185_DN3_SP0_c.t1
OG0004723	AL3G34880	CP12_g30448_DN3_SP8_c.t1
OG0004724	AL3G35020	CP12_g30457_DN3_SP5_c.t1
OG0004725	AL3G35080	CP12_g30463_DN3_SP8_c.t1
OG0004726	AL3G35250	CP12_g30472_DN3_SP0_c.t1
OG0004727	AL3G35260	CP12_g30473_DN3_SP5_c.t1
OG0004728	AL686U10010, AL7G52300, AL7G52280, AL7G52430, AL7G52400	CP5_g1642_DN3_SP5_c.t1
OG0004729	AL3G37810	CP12_g30676_DN3_SP0_c.t1
OG0004730	AL3G36950	CP12_g30627_DN3_SP0_c.t1
OG0004731	AL3G36880	CP12_g30622_DN2_SP0_c.t1
OG0004732	AL7G21940	CP5_g981_DN3_SP8_c.t1
OG0004733	AL6G29870	CP8_g54479_DN2_SP0_c.t1
OG0004734	AL6G29830	CP8_g54483_DN3_SP0_c.t1
OG0004735	AL6G29670	CP8_g54498_DN3_SP4_c.t1
OG0004736	AL5G32460	CP3_g14174_DN3_SP8_c.t1
OG0004737	AL5G32400	CP3_g14179_DN3_SP1_c.t1
OG0004738	AL8G26190	CP8_g53128_DN3_SP8_c.t1
OG0004739	AL1G10140	CP1_g36407_DN3_SP7_c.t1, CP8_g54686_DN3_SP4_c.t1
OG0004740	AL6G52260	CP8_g54585_DN3_SP8_c.t1
OG0004742	AL8G10450	CP13_g19740_DN3_SP8_c.t1
OG0004743	AL1G15670	CP1_g36869_DN3_SP6_c.t1
OG0004744	AL1G15990	CP1_g36894_DN3_SP7_c.t1
OG0004745	AL1G16730	CP1_g36957_DN3_SP2_c.t1, CP6_g7068_DN3_SP1_c.t1
OG0004746	AL1G17230	CP1_g36995_DN3_SP8_c.t1
OG0004747	AL1G18330	CP1_g37078_DN3_SP8_c.t1
OG0004748	AL1G18350, AL1G18340	CP1_g37079_DN3_SP0_c.t1
OG0004750	AL1G18940	CP1_g37133_DN3_SP8_c.t1
OG0004752	AL1G19510	CP1_g37185_DN3_SP0_c.t1
OG0004753	nbis-gene-60	CP1_g37279_DN3_SP0_c.t1
OG0004754	AL1G19890	CP1_g37217_DN3_SP3_c.t1
OG0004757	AL2G17610	CP12_g30914_DN3_SP2_c.t1
OG0004758	AL1G20760	CP1_g37292_DN3_SP7_c.t1
OG0004759	AL1G20770	CP1_g37294_DN3_SP7_c.t1
OG0004760	AL1G20920	CP1_g37308_DN2_SP0_c.t1
OG0004761	AL1G21470, nbis-gene-583	CP1_g37359_DN3_SP1_c.t1
OG0004763	AL1G23410	CP1_g37521_DN3_SP2_c.t1
OG0004764	AL1G23910	CP1_g37557_DN3_SP8_c.t1
OG0004766	AL1G24480	CP1_g37586_DN3_SP8_c.t1
OG0004767	AL1G25130	CP1_g37639_DN3_SP0_c.t1
OG0004768	AL1G25540	CP1_g37679_DN3_SP8_c.t1, CP1_g37678_DN3_SP0_c.t1
OG0004769	AL1G27440	CP7_g46196_DN2_SP3_c.t1
OG0004770	AL1G27550	CP1_g39162_DN3_SP0_c.t1
OG0004772	AL1G28880	CP7_g46077_DN3_SP1_c.t1
OG0004773	AL1G29850	CP7_g45991_DN3_SP6_c.t1
OG0004774	AL1G30070	CP7_g45977_DN3_SP8_c.t1
OG0004775	AL5G13020, AL7G30390	CP19_g18363_DN3_SP0_c.t1
OG0004776	AL1G30960	CP7_g45903_DN3_SP6_c.t1
OG0004777	AL1G31080	CP7_g45890_DN3_SP7_c.t1
OG0004778	AL1G32630	CP7_g45773_DN3_SP0_c.t1
OG0004780	AL2G31520, AL106U10030	CP9_g28810_DN3_SP0_c.t1
OG0004781	AL2G31190	CP9_g28777_DN3_SP7_c.t1
OG0004781	AL7G50590	CP5_g1500_DN3_SP0_c.t1
OG0004782	AL2G30230	CP9_g28700_DN3_SP6_c.t1
OG0004785	AL1G67200	CP2_g49708_DN3_SP3_c.t1
OG0004786	AL1G55270	CP1_g38261_DN3_SP0_c.t1
OG0004787	AL1G55280	CP1_g38260_DN3_SP0_c.t1
OG0004788	AL7G12300	CP5_g186_DN3_SP8_c.t1
OG0004789	AL7G14340	CP5_g349_DN3_SP8_c.t1
OG0004790	AL7G14610	CP5_g371_DN3_SP8_c.t1
OG0004791	AL7G15280	CP5_g430_DN3_SP7_c.t1
OG0004792	AL7G15610	CP5_g455_DN3_SP7_c.t1
OG0004793	AL7G16890	CP5_g569_DN3_SP0_c.t1
OG0004794	AL7G18850	CP5_g722_DN2_SP0_c.t1
OG0004797	AL7G17800	CP5_g643_DN3_SP8_c.t1
OG0004798	AL7G20210	CP5_g822_DN3_SP4_c.t1
OG0004799	AL3G39100	CP12_g30793_DN3_SP2_c.t1
OG0004800	AL8G20490, AL3G39260	CP12_g30783_DN3_SP8_c.t1
OG0004801	AL2G32100	CP9_g28879_DN3_SP0_c.t1
OG0004802	AL2G32030	CP9_g28871_DN3_SP0_c.t1
OG0004804	AL2G31670	CP9_g28824_DN3_SP8_c.t1
OG0004805	AL1G37290	CP7_g45427_DN3_SP0_c.t1
OG0004806	AL7G47300	CP7_g45302_DN3_SP3_c.t1, CP3_g16399_DN2_SP0_c.t1
OG0004807	AL1G39120	CP7_g45296_DN2_SP0_c.t1
OG0004808	AL7G29090	CP19_g18233_DN3_SP8_c.t1
OG0004809	AL7G24670	CP5_g1204_DN3_SP1_c.t1
OG0004810	AL7G24330	CP5_g1175_DN3_SP0_c.t1
OG0004812	AL1G16530	CP1_g36936_DN1_SP0_c.t1
OG0004815	AL5G45680	CP3_g13112_DN3_SP0_c.t1
OG0004818	AL3G19090	CP10_g42784_DN3_SP0_c.t1
OG0004820	AL5G18690	CP13_g19155_DN3_SP8_c.t1
OG0004821	AL5G25200	CP3_g14792_DN3_SP0_c.t1
OG0004826	AL7G26900	CP19_g18033_DN3_SP3_c.t1
OG0004827	AL7G28700	CP19_g18199_DN3_SP2_c.t1, CP19_g18197_DN3_SP6_c.t1
OG0004830	AL8G27330, AL453U10010	CP8_g53236_DN3_SP2_c.t1
OG0004834	AL4G11090, AL1G18480, AL4G42270	CP3_g15520_DN1_SP0_c.t1, CP12_g31501_DN2_SP0_c.t1
OG0004835	AL5G41590	CP12_g31540_DN2_SP0_c.t1
OG0004847	AL5G26160	CP3_g14710_DN2_SP0_c.t1
OG0004848	AL5G26490	CP3_g14672_DN3_SP8_c.t1
OG0004849	AL8G29830	CP8_g53417_DN3_SP0_c.t1
OG0004850	AL5G10560	CP13_g19660_DN3_SP8_c.t1
OG0004851	AL5G11500	CP13_g19586_DN3_SP0_c.t1
OG0004852	AL6G28890	CP11_g32193_DN3_SP1_c.t1
OG0004853	AL6G28860	CP11_g32196_DN3_SP7_c.t1
OG0004854	AL6G28610	CP11_g32219_DN3_SP3_c.t1
OG0004855	AL6G28380	CP11_g32245_DN2_SP2_c.t1
OG0004856	AL6G28280	CP11_g32252_DN3_SP8_c.t1
OG0004857	AL6G27510	CP11_g32316_DN3_SP0_c.t1
OG0004858	AL3G29520	CP10_g43600_DN3_SP0_c.t1
OG0004859	AL6G27200	CP11_g32341_DN3_SP8_c.t1
OG0004860	AL6G24400	CP11_g32593_DN3_SP7_c.t1
OG0004861	AL6G26410	CP11_g32414_DN3_SP2_c.t1
OG0004862	AL6G25970	CP11_g32454_DN3_SP8_c.t1
OG0004863	AL6G25910	CP11_g32461_DN3_SP1_c.t1
OG0004864	AL1G17890	CP1_g37062_DN3_SP0_c.t1
OG0004867	AL6G25140	CP10_g42130_DN3_SP6_c.t1, CP11_g32525_DN3_SP8_c.t1
OG0004868	AL6G24800	CP11_g32554_DN3_SP2_c.t1
OG0004869	AL6G24650	CP11_g32569_DN3_SP0_c.t1
OG0004870	AL6G24560	CP11_g32578_DN2_SP0_c.t1
OG0004871	AL8G22430, AL8G22410	CP2_g48728_DN3_SP8_c.t1
OG0004872	AL6G24040	CP11_g32627_DN3_SP8_c.t1
OG0004873	AL6G23950	CP11_g32633_DN3_SP3_c.t1
OG0004874	AL6G23830	CP11_g32645_DN3_SP1_c.t1
OG0004875	AL6G23790	CP11_g32648_DN3_SP8_c.t1
OG0004876	AL3G24750	CP10_g43260_DN3_SP2_c.t1
OG0004877	AL6G23430	CP11_g32678_DN3_SP6_c.t1
OG0004878	AL6G22920	CP11_g32719_DN3_SP6_c.t1
OG0004879	AL6G22650	CP11_g32741_DN3_SP0_c.t1
OG0004880	AL6G22520	CP2_g48499_DN3_SP0_c.t1, CP11_g32754_DN2_SP8_c.t1
OG0004881	AL6G22500, AL3G29130	CP11_g32757_DN3_SP1_c.t1
OG0004882	AL6G22420	CP11_g32764_DN3_SP8_c.t1
OG0004883	AL6G21360	CP11_g32848_DN3_SP8_c.t1
OG0004884	AL6G20540	CP11_g32920_DN3_SP3_c.t1
OG0004885	AL6G20340	CP11_g32939_DN3_SP8_c.t1
OG0004886	AL6G19820	CP11_g32984_DN3_SP8_c.t1
OG0004887	AL6G19670	CP11_g32999_DN3_SP7_c.t1
OG0004888	AL6G19630, AL6G19640	CP11_g33002_DN3_SP7_c.t1
OG0004889	AL6G19220	CP11_g33035_DN3_SP7_c.t1
OG0004890	AL6G18920, AL6G19100	CP11_g33042_DN3_SP5_c.t1
OG0004891	AL6G18060	CP11_g33126_DN3_SP6_c.t1
OG0004893	AL6G49530	CP11_g31956_DN3_SP7_c.t1
OG0004894	AL7G28120	CP19_g18145_DN3_SP3_c.t1
OG0004895	AL7G28160	CP19_g18147_DN3_SP6_c.t1
OG0004896	AL7G28220	CP19_g18151_DN3_SP1_c.t1
OG0004897	AL7G28420	CP19_g18174_DN3_SP8_c.t1
OG0004899	AL4G23020	CP4_g25892_DN3_SP8_c.t1
OG0004900	AL4G23040	CP4_g25890_DN3_SP0_c.t1
OG0004902	AL4G25030	CP4_g25736_DN3_SP8_c.t1
OG0004903	AL4G25100	CP4_g25731_DN3_SP4_c.t1
OG0004904	AL4G25420	CP4_g25703_DN3_SP0_c.t1
OG0004905	AL4G25480	CP4_g25697_DN3_SP2_c.t1
OG0004906	AL2G30630, AL4G26490	CP4_g25623_DN3_SP0_c.t1
OG0004907	AL4G27170	CP4_g25566_DN3_SP0_c.t1
OG0004908	AL4G27510, AL4G27520	CP4_g25536_DN3_SP6_c.t1
OG0004909	AL4G29130	CP4_g25402_DN3_SP1_c.t1
OG0004910	AL8G16060	CP13_g20209_DN3_SP6_c.t1
OG0004911	AL8G15700	CP13_g20174_DN3_SP8_c.t1
OG0004912	AL7G27720	CP19_g18104_DN3_SP1_c.t1
OG0004913	AL1G54040	CP1_g38408_DN3_SP8_c.t1
OG0004914	AL1G41690	CP7_g45077_DN3_SP0_c.t1
OG0004915	AL1G41730	CP7_g45074_DN3_SP0_c.t1
OG0004916	AL1G42070	CP7_g45044_DN3_SP8_c.t1
OG0004917	AL1G43210, AL7G46270	CP7_g44971_DN2_SP0_c.t1
OG0004918	AL7G26380, AL7G26400	CP19_g17986_DN3_SP8_c.t1
OG0004919	AL1G43360	CP7_g44958_DN3_SP7_c.t1
OG0004920	AL1G44230	CP7_g44873_DN3_SP5_c.t1
OG0004921	AL954U10010, AL8G23340	CP2_g48683_DN3_SP6_c.t1
OG0004922	AL1G49260, AL2G29970	CP7_g44782_DN3_SP1_c.t1
OG0004923	AL1G49710	CP7_g44767_DN3_SP8_c.t1
OG0004924	AL1G46790	CP7_g44636_DN3_SP8_c.t1
OG0004925	AL8G44300	CP2_g47635_DN2_SP0_c.t1
OG0004926	AL8G43930	CP2_g47671_DN3_SP7_c.t1
OG0004927	AL8G43710	CP2_g47692_DN3_SP8_c.t1
OG0004928	AL8G43510	CP2_g47714_DN3_SP8_c.t1
OG0004929	AL8G42980	CP2_g47754_DN2_SP0_c.t1
OG0004930	AL8G42750	CP2_g47776_DN3_SP8_c.t1
OG0004931	AL8G26010	CP8_g53111_DN3_SP0_c.t1
OG0004933	AL8G41000	CP2_g47932_DN3_SP8_c.t1
OG0004934	AL8G39210	CP2_g48067_DN3_SP8_c.t1
OG0004935	AL8G37530	CP2_g48219_DN3_SP8_c.t1
OG0004936	AL8G37470	CP2_g48226_DN3_SP0_c.t1
OG0004937	AL6G34540	CP2_g48259_DN3_SP0_c.t1
OG0004938	AL6G34900	CP2_g48289_DN3_SP1_c.t1
OG0004939	AL4G17280	CP16_g55541_DN3_SP0_c.t1
OG0004940	AL6G31040	CP8_g54379_DN3_SP8_c.t1
OG0004941	AL6G30930	CP8_g54390_DN3_SP5_c.t1
OG0004942	AL6G31410	CP8_g54338_DN3_SP0_c.t1
OG0004943	AL6G31790	CP8_g54298_DN3_SP8_c.t1
OG0004944	AL6G31910	CP8_g54287_DN3_SP8_c.t1
OG0004945	AL6G32060	CP8_g54271_DN3_SP8_c.t1
OG0004946	AL6G32170	CP8_g54263_DN2_SP0_c.t1
OG0004947	AL6G32220	CP8_g54259_DN3_SP0_c.t1
OG0004948	AL6G32280	CP8_g54250_DN3_SP8_c.t1
OG0004949	AL6G32330	CP8_g54246_DN2_SP0_c.t1
OG0004950	AL6G33080	CP8_g54183_DN3_SP1_c.t1
OG0004951	AL6G33380	CP8_g54162_DN3_SP8_c.t1
OG0004952	AL6G33400	CP8_g54161_DN3_SP3_c.t1
OG0004953	AL8G36420	CP8_g54011_DN3_SP1_c.t1
OG0004953	AL5G24740	CP3_g14834_DN3_SP2_c.t1
OG0004955	AL8G35250	CP8_g53900_DN3_SP7_c.t1
OG0004956	AL8G34980	CP8_g53873_DN3_SP4_c.t1
OG0004957	AL8G34950	CP8_g53870_DN3_SP2_c.t1
OG0004958	AL8G34770	CP8_g53853_DN1_SP0_c.t1
OG0004959	AL8G34690	CP8_g53847_DN3_SP3_c.t1
OG0004960	AL8G34420	CP8_g53833_DN3_SP1_c.t1
OG0004961	AL8G34240	CP8_g53815_DN3_SP8_c.t1
OG0004962	AL8G33980	CP8_g53788_DN3_SP0_c.t1
OG0004964	AL8G32890	CP8_g53692_DN3_SP0_c.t1
OG0004965	AL8G31470	CP8_g53574_DN3_SP8_c.t1
OG0004966	AL8G31420	CP8_g53570_DN3_SP6_c.t1
OG0004967	AL8G30130	CP8_g53436_DN3_SP8_c.t1
OG0004969	AL5G29280	CP3_g14426_DN3_SP0_c.t1
OG0004970	AL6G50450	CP11_g32046_DN3_SP4_c.t1
OG0004971	AL6G17740	CP11_g33151_DN3_SP8_c.t1
OG0004973	AL6G16220	CP11_g33211_DN3_SP5_c.t1
OG0004975	AL6G15920	CP11_g33305_DN3_SP7_c.t1
OG0004976	AL6G15450	CP11_g33345_DN3_SP7_c.t1
OG0004977	AL6G15300	CP11_g33355_DN2_SP0_c.t1
OG0004978	AL6G14970	CP11_g33382_DN3_SP5_c.t1
OG0004979	AL6G14100	CP11_g33445_DN2_SP0_c.t1
OG0004980	nbis-gene-1449	CP11_g33499_DN3_SP5_c.t1
OG0004982	AL6G13190	CP11_g33520_DN3_SP8_c.t1
OG0004983	AL6G12780	CP11_g33550_DN3_SP8_c.t1
OG0004984	AL7G49070	CP5_g1345_DN3_SP7_c.t1, CP5_g1344_DN3_SP0_c.t1
OG0004985	AL7G49040	CP5_g1341_DN3_SP1_c.t1
OG0004987	AL7G47930	CP19_g17878_DN3_SP3_c.t1, CP13_g19883_DN3_SP3_c.t1
OG0004988	AL1G61600	CP7_g46241_DN3_SP0_c.t1
OG0004990	AL5G13060, AL2G41140	CP9_g29680_DN3_SP6_c.t1
OG0004991	AL2G41040	CP9_g29671_DN3_SP8_c.t1
OG0004992	AL2G40960	CP9_g29663_DN3_SP0_c.t1
OG0004993	AL1040U10010, nbis-gene-4, AL2G40830	CP9_g29648_DN3_SP1_c.t1
OG0004994	AL2G40770	CP9_g29642_DN3_SP8_c.t1
OG0004995	AL627U10010, AL2G40640	CP9_g29633_DN3_SP8_c.t1
OG0004996	AL2G40460	CP9_g29615_DN3_SP7_c.t1
OG0004997	AL2G38480	CP9_g29458_DN3_SP0_c.t1
OG0004998	AL3G27950	CP12_g29879_DN3_SP0_c.t1
OG0005000	AL2G37000	CP9_g29332_DN3_SP2_c.t1
OG0005002	AL2G36240	CP9_g29261_DN3_SP1_c.t1
OG0005003	AL2G36040	CP9_g29244_DN3_SP0_c.t1
OG0005005	AL2G35600	CP9_g29201_DN3_SP0_c.t1
OG0005006	AL2G35480	CP9_g29191_DN3_SP8_c.t1
OG0005007	AL2G35330	CP9_g29176_DN3_SP0_c.t1
OG0005008	AL3G50540	CP10_g43787_DN2_SP0_c.t1
OG0005009	AL3G25080	CP10_g43287_DN3_SP0_c.t1
OG0005010	AL1G63690	CP7_g46411_DN3_SP8_c.t1
OG0005011	AL3G26030	CP10_g43351_DN3_SP8_c.t1, CP7_g46352_DN3_SP1_c.t1
OG0005013	AL1G62760	CP7_g46323_DN1_SP0_c.t1
OG0005014	nbis-gene-303	CP7_g46306_DN3_SP1_c.t1
OG0005015	AL1G62080	CP11_g32821_DN3_SP6_c.t1
OG0005016	AL4G32120	CP4_g25139_DN3_SP7_c.t1
OG0005017	AL4G32290	CP4_g25127_DN3_SP3_c.t1
OG0005018	AL4G32600	CP4_g25097_DN3_SP1_c.t1
OG0005019	AL4G32920	CP1_g38951_DN3_SP2_c.t1
OG0005020	AL5G18960	CP13_g19137_DN3_SP1_c.t1
OG0005021	AL7G44620	CP5_g2100_DN3_SP1_c.t1
OG0005022	AL8G27600, AL4G21090, AL8G27540	CP8_g53248_DN3_SP7_c.t1
OG0005023	AL1G41040, AL1G41140	CP13_g19711_DN3_SP0_c.t1, CP7_g45124_DN3_SP2_c.t1
OG0005025	AL8G14950, AL1G47770, AL5G15310	CP6_g7646_DN3_SP2_c.t1
OG0005026	AL7G42340	CP6_g7581_DN3_SP3_c.t1
OG0005027	nbis-gene-1858	CP12_g30583_DN3_SP0_c.t1
OG0005028	AL7G38100	CP6_g7173_DN3_SP8_c.t1
OG0005029	AL7G39400	CP6_g7287_DN3_SP2_c.t1
OG0005030	AL2G32510	CP9_g28919_DN1_SP0_c.t1
OG0005031	AL7G29700	CP19_g18291_DN3_SP5_c.t1
OG0005032	AL2G32990	CP9_g28954_DN3_SP6_c.t1
OG0005033	AL2G33840	CP9_g29041_DN3_SP2_c.t1
OG0005035	AL2G27450	CP9_g28436_DN3_SP0_c.t1
OG0005036	AL2G27670	CP9_g28462_DN3_SP8_c.t1
OG0005037	AL2G28100	CP9_g28492_DN3_SP0_c.t1
OG0005038	AL7G24130	CP5_g1154_DN3_SP6_c.t1
OG0005039	AL7G24100	CP5_g1152_DN2_SP0_c.t1
OG0005040	AL7G23430	CP5_g1095_DN3_SP0_c.t1
OG0005042	AL3G42300	CP5_g1432_DN2_SP0_c.t1
OG0005043	AL5G20420	CP2_g48844_DN3_SP8_c.t1
OG0005044	AL5G16750	CP13_g19265_DN3_SP7_c.t1
OG0005045	AL1G24450	CP1_g37583_DN2_SP4_c.t1
OG0005046	AL5G15540	CP13_g19343_DN3_SP8_c.t1
OG0005047	AL7G52930, AL5G15380	CP13_g19354_DN3_SP7_c.t1
OG0005048	AL5G14660	CP13_g19407_DN3_SP0_c.t1
OG0005049	AL8G12170	CP13_g19885_DN3_SP8_c.t1
OG0005050	AL2G31420	CP9_g28799_DN3_SP6_c.t1
OG0005051	AL1G59000	CP9_g27832_DN1_SP0_c.t1, CP1_g38000_DN2_SP0_c.t1
OG0005052	AL1G60910	CP12_g29914_DN3_SP5_c.t1
OG0005053	AL3G28330	CP12_g29908_DN3_SP2_c.t1
OG0005054	AL4G29410	CP4_g25374_DN3_SP0_c.t1
OG0005056	AL7G35480	CP6_g6933_DN3_SP3_c.t1
OG0005057	AL7G36240	CP6_g7003_DN3_SP1_c.t1
OG0005058	AL7G36420	CP6_g7022_DN3_SP8_c.t1
OG0005059	AL7G37070	CP6_g7077_DN3_SP8_c.t1
OG0005060	AL5G31490	CP3_g14258_DN3_SP7_c.t1
OG0005061	AL5G35350	CP3_g13927_DN3_SP8_c.t1
OG0005062	AL3G46600	CP17_g5125_DN3_SP8_c.t1
OG0005063	AL3G49880	CP10_g43857_DN3_SP5_c.t1
OG0005064	AL8G20970	CP2_g48804_DN3_SP2_c.t1
OG0005065	AL7G30570	CP19_g18376_DN3_SP4_c.t1
OG0005066	AL7G30690	CP19_g18391_DN3_SP6_c.t1
OG0005067	AL7G30720	CP19_g18395_DN3_SP0_c.t1
OG0005068	AL7G30740	CP19_g18396_DN3_SP8_c.t1
OG0005069	AL5G19150	CP13_g19125_DN3_SP8_c.t1
OG0005070	AL7G33000	CP6_g6746_DN3_SP3_c.t1
OG0005072	AL5G10300	CP13_g19681_DN3_SP1_c.t1
OG0005073	AL7G32140	CP19_g18508_DN3_SP7_c.t1
OG0005074	AL3G13520	CP10_g42365_DN3_SP8_c.t1
OG0005075	AL7G38650	CP6_g7211_DN2_SP5_c.t1
OG0005077	AL1G47030	CP7_g44620_DN3_SP2_c.t1
OG0005078	AL3G10740	CP10_g42154_DN3_SP6_c.t1
OG0005079	AL8G44840	CP2_g47589_DN3_SP2_c.t1
OG0005080	AL5G45380	CP3_g13138_DN3_SP0_c.t1
OG0005081	AL5G43960	CP3_g13239_DN3_SP0_c.t1
OG0005082	AL5G42910	CP3_g13329_DN3_SP8_c.t1
OG0005083	AL5G42570	CP3_g13357_DN3_SP8_c.t1
OG0005084	AL3G12170	CP10_g42267_DN3_SP1_c.t1
OG0005085	AL5G20480, AL6G43080	CP2_g48843_DN3_SP8_c.t1
OG0005086	AL5G40340	CP3_g13499_DN3_SP8_c.t1
OG0005087	AL5G39690	CP3_g13546_DN3_SP0_c.t1
OG0005088	AL5G39270	CP3_g13586_DN3_SP8_c.t1
OG0005089	AL5G39190	CP3_g13588_DN3_SP8_c.t1
OG0005090	AL5G38770	CP3_g13620_DN3_SP5_c.t1
OG0005091	AL5G36150	CP3_g13845_DN3_SP8_c.t1
OG0005092	AL5G35890	CP3_g13869_DN3_SP8_c.t1
OG0005093	AL5G35700	CP3_g13894_DN3_SP1_c.t1
OG0005094	AL5G35130	CP3_g13949_DN3_SP8_c.t1
OG0005095	AL5G33990	CP3_g14047_DN3_SP6_c.t1
OG0005096	AL1G41030	CP7_g45125_DN3_SP3_c.t1
OG0005097	AL3G40790, AL706U10010	CP12_g30883_DN3_SP0_c.t1
OG0005098	AL8G14830	CP13_g20116_DN2_SP7_c.t1
OG0005099	AL8G21980, AL516U10020	CP2_g48749_DN3_SP7_c.t1
OG0005100	AL3G51080	CP10_g43719_DN3_SP0_c.t1
OG0005101	AL3G51560	CP10_g43683_DN3_SP1_c.t1
OG0005102	AL3G52840	CP10_g43617_DN3_SP5_c.t1
