Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_hirsuta
OG0002264	AL1G28030	CARHR016390
OG0002265	AL1G35620	CARHR022520
OG0002265	AL2G38340	CARHR071500
OG0002266	AL2G37970	CARHR071250
OG0002266	AL1G35380, AL1G35190	CARHR022340
OG0002267	AL2G37070	CARHR070440
OG0002268	AL1G33390	CARHR020910, CARHR069740
OG0002269	AL2G35430	CARHR068870
OG0002269	AL1G32470	CARHR020270
OG0002270	AL1G32380	CARHR020180
OG0002270	AL2G35310	CARHR068740
OG0002271	AL5G42240	CARHR170360
OG0002271	AL1G63710	CARHR045330
OG0002272	AL3G25300	CARHR088040
OG0002272	AL1G63550	CARHR045210
OG0002273	AL3G25420	CARHR088180
OG0002273	AL1G63410	CARHR045020
OG0002274	AL3G37960	CARHR099280
OG0002274	AL7G41880	CARHR220560
OG0002275	AL7G41700	CARHR220650
OG0002275	AL7G41710	CARHR220640
OG0002276	AL1G30290	CARHR018560
OG0002277	AL2G28180	CARHR062020
OG0002277	AL1G39440	CARHR025610
OG0002278	AL7G24170	CARHR236170
OG0002278	AL3G53710	CARHR111280
OG0002279	AL7G23750	CARHR236540
OG0002279	AL3G47830	CARHR110760
OG0002280	AL7G49370	CARHR261560
OG0002280	AL5G17050	CARHR149050
OG0002281	AL5G16650	CARHR148650
OG0002281	AL7G49020	CARHR213790
OG0002282	AL1G25220	CARHR013810
OG0002282	AL5G14700	CARHR147010
OG0002283	AL3G33000	CARHR095020
OG0002283	AL1G57430	CARHR039950
OG0002284	AL1G60440	CARHR042390
OG0002285	AL4G30300	CARHR128410, CARHR128420
OG0002285	AL4G30310	CARHR128430
OG0002286	AL4G19090	CARHR129750, CARHR129760
OG0002287	AL7G38160	CARHR223100
OG0002287	AL4G31800	CARHR129950
OG0002288	AL8G11670	CARHR174820
OG0002288	AL7G36590	CARHR224650
OG0002289	AL7G37360	CARHR223960
OG0002289	AL8G10590	CARHR173930
OG0002290	AL3G22040, AL6G43000	CARHR085150, CARHR085130
OG0002290	AL3G22050	CARHR085140
OG0002291	AL5G30730	CARHR160090
OG0002291	AL1G52230	CARHR035870
OG0002292	AL5G30260	CARHR159240, CARHR159200
OG0002292	AL5G30250	CARHR159190
OG0002293	AL7G30120	CARHR230690
OG0002293	AL8G25580	CARHR264070
OG0002294	AL8G14880	CARHR178220
OG0002294	AL7G33660	CARHR227000
OG0002295	AL6G41440	CARHR260110
OG0002295	AL1G26650	CARHR015180
OG0002296	AL4G31770	CARHR129930
OG0002296	AL7G37930	CARHR223330
OG0002297	AL5G45890	CARHR173370
OG0002298	AL4G45020	CARHR141080
OG0002298	AL5G43510	CARHR171540
OG0002299	AL4G39530	CARHR136570
OG0002300	AL4G38680	CARHR135890
OG0002301	AL4G37850	CARHR135150
OG0002301	AL5G37260	CARHR166060
OG0002302	AL4G36870	CARHR134350
OG0002302	AL5G36440	CARHR165300
OG0002303	AL5G36140	CARHR165040
OG0002303	AL5G26020, AL4G36590	CARHR134030
OG0002304	AL1G26580	CARHR015110
OG0002305	AL2G26920	CARHR060640
OG0002306	AL1G14740	CARHR004420
OG0002306	AL6G47740	CARHR253440
OG0002307	AL4G10790	CARHR112540
OG0002307	AL7G11180	CARHR247510
OG0002308	AL7G12250	CARHR246720
OG0002308	AL4G11860	CARHR113570
OG0002309	AL1G50880	CARHR034880, CARHR034860
OG0002310	nbis-gene-543, AL6G44530	CARHR256140
OG0002310	AL6G44540	CARHR256130
OG0002311	AL7G33110, AL7G21380	CARHR043790
OG0002312	AL7G37060	CARHR224260
OG0002312	AL8G10840	CARHR174170
OG0002313	AL3G17850	CARHR081350
OG0002313	AL8G22900	CARHR182300
OG0002315	AL3G30750	CARHR092980
OG0002315	AL1G54970	CARHR037980
OG0002316	AL1G55060	CARHR038050
OG0002316	AL3G30930	CARHR093110
OG0002317	AL3G31010	CARHR093200
OG0002318	AL3G31550	CARHR093670
OG0002318	AL1G55500	CARHR038750
OG0002319	AL5G25170, AL5G25150	CARHR154730, CARHR154750, CARHR154700, CARHR154740
OG0002320	AL1G10550	CARHR000530
OG0002320	AL6G52810	CARHR248780
OG0002321	AL1G10600	CARHR000580
OG0002321	AL6G52760	CARHR248880
OG0002322	AL6G53000	CARHR248560
OG0002323	AL1G11860, AL1G11870	CARHR001850
OG0002324	AL1G17620, AL1G17650	CARHR007250, CARHR007220
OG0002325	AL1G19310	CARHR008790
OG0002326	AL1G21090	CARHR010480
OG0002326	AL2G17170	CARHR053430
OG0002327	AL5G11460	CARHR144870
OG0002327	AL1G26500	CARHR015020
OG0002328	AL1G28340	CARHR016690
OG0002328	AL2G40320	CARHR073360
OG0002329	AL1G28430	CARHR016780
OG0002329	AL2G40140	CARHR073180
OG0002330	AL1G29760	CARHR018070
OG0002330	AL2G32340	CARHR065580
OG0002332	AL2G34450	CARHR067840
OG0002332	AL1G31310	CARHR019450
OG0002333	AL2G31830	CARHR065020
OG0002333	AL1G36060	CARHR022880
OG0002334	AL1G37620	CARHR024270
OG0002334	AL2G29590	CARHR063430, CARHR063420
OG0002335	AL3G41520, AL1G38260	CARHR024650
OG0002335	AL2G29230	CARHR063090
OG0002336	AL2G13660	CARHR049860
OG0002336	AL2G13650	CARHR049840
OG0002337	AL2G16790	CARHR053080
OG0002337	AL2G16800	CARHR053090
OG0002338	AL8G10420	CARHR173800
OG0002339	AL3G50060, AL3G50050	CARHR293500
OG0002340	AL3G52690	CARHR106720
OG0002340	AL7G16490	CARHR243010
OG0002341	nbis-gene-1723	CARHR217610
OG0002341	nbis-gene-1722	CARHR241690
OG0002342	AL3G47260	CARHR105820
OG0002342	AL7G17340	CARHR242180
OG0002343	AL7G20450	CARHR239470
OG0002343	AL4G15300	CARHR117300
OG0002344	AL7G20460	CARHR239460
OG0002344	AL4G15170	CARHR117320
OG0002345	AL4G14640	CARHR117810
OG0002346	AL7G26230	CARHR234250
OG0002352	AL7G21730	CARHR238320
OG0002353	AL6G28460	CARHR195820
OG0002353	AL3G12910	CARHR077320
OG0002354	AL6G28080	CARHR196120
OG0002354	AL3G12730	CARHR077140
OG0002355	AL3G44980	CARHR196140, CARHR196160
OG0002355	AL6G28060	CARHR196130
OG0002356	AL6G27660	CARHR196540
OG0002356	AL3G12350	CARHR076930
OG0002357	AL6G26820	CARHR197370
OG0002357	AL6G13700, AL4G42800	CARHR209200
OG0002358	AL3G11410	CARHR076130
OG0002358	AL6G26430	CARHR197740
OG0002359	AL6G26200	CARHR197990
OG0002359	AL3G11130	CARHR075920
OG0002360	AL6G23690	CARHR200380
OG0002360	AL1G40650	CARHR026820
OG0002361	AL6G36760	CARHR188380
OG0002361	AL6G21490	CARHR202360
OG0002362	AL8G42320	CARHR278850
OG0002362	AL6G20350	CARHR203400
OG0002363	AL8G40790	CARHR277530
OG0002364	AL6G18970, AL6G19170	CARHR204490
OG0002365	AL6G18320, AL6G18280	CARHR205210, CARHR205250
OG0002366	AL6G50080	CARHR251220
OG0002367	AL4G23780	CARHR122480
OG0002367	AL295U10010, AL4G23790, AL4G23820	CARHR122490
OG0002368	AL1G14920	CARHR004620
OG0002368	AL4G27830	CARHR126270
OG0002369	AL8G16620	CARHR179920
OG0002369	AL1G13840	CARHR003570
OG0002370	AL8G16230	CARHR179530
OG0002370	AL1G13760	CARHR003500
OG0002371	AL1G13360	CARHR003130
OG0002371	AL8G15810	CARHR179030
OG0002372	AL7G27400, AL7G27420	CARHR233130
OG0002375	AL5G13300	CARHR145880
OG0002375	AL5G13390	CARHR145960
OG0002376	AL299U10020, AL8G37720	CARHR274770
OG0002377	AL6G32650	CARHR191780
OG0002378	AL5G22410	CARHR104590
OG0002378	AL6G33280	CARHR191280
OG0002379	AL5G25840	CARHR155410
OG0002379	AL8G35540	CARHR285390
OG0002380	AL8G33000	CARHR270860
OG0002381	AL8G30950	CARHR268740
OG0002381	AL7G26140	CARHR234310
OG0002382	AL8G30080	CARHR267940
OG0002382	AL7G25580	CARHR234880
OG0002383	AL7G25330	CARHR235120
OG0002383	AL1072U10010, AL8G29420	CARHR267410
OG0002385	AL3G22920, AL5G36330, nbis-gene-1475	CARHR085940
OG0002386	AL3G22000	CARHR085090
OG0002386	AL6G14280	CARHR208640
OG0002387	AL6G13680	CARHR209210
OG0002387	AL3G21540	CARHR084690
OG0002388	AL7G47710	CARHR212890
OG0002388	AL2G10820	CARHR046750
OG0002389	AL1G28860	CARHR017160
OG0002389	AL2G39470	CARHR072680
OG0002390	AL142U10020, AL2G37820	CARHR071120
OG0002390	AL1G35070	CARHR022220
OG0002391	AL1G34750	CARHR021970
OG0002392	AL2G36350	CARHR069830
OG0002392	AL1G33480	CARHR021020
OG0002393	AL5G19680, AL3G50530	CARHR107740
OG0002394	AL7G14960	CARHR244480
OG0002394	AL3G50950	CARHR108410
OG0002395	AL3G24790	CARHR087630
OG0002395	AL1G64210	CARHR045700
OG0002396	AL3G25820	CARHR088500
OG0002397	AL1G62920	CARHR044580
OG0002398	AL3G27360	CARHR089980
OG0002399	AL7G16710	CARHR242890
OG0002400	AL1G61370	CARHR043240
OG0002401	AL4G32350	CARHR130520
OG0002401	AL5G33520	CARHR162630
OG0002402	AL9U11590	CARHR218250
OG0002402	AL3G41290	CARHR101720
OG0002403	AL9U11010	CARHR218580
OG0002403	AL3G40640	CARHR101290
OG0002404	AL7G43170	CARHR219200
OG0002404	AL3G39590	CARHR100320
OG0002405	AL7G42400	CARHR220040
OG0002405	AL7G42390	CARHR220050
OG0002406	AL4G19080	CARHR183550
OG0002406	AL7G41250	CARHR221180
OG0002407	AL7G40920	CARHR221500, CARHR221520
OG0002407	nbis-gene-758	CARHR098330
OG0002408	AL1G30250	CARHR018500, CARHR247960
OG0002408	AL2G33020	CARHR066260
OG0002409	AL2G33490	CARHR066760
OG0002409	AL1G30390	CARHR018630
OG0002410	AL2G34170	CARHR067570
OG0002412	AL1G31490	CARHR019560
OG0002412	AL2G34650	CARHR068070
OG0002413	AL2G27460	CARHR061350
OG0002413	AL5G20720, AL5G24630	CARHR154320
OG0002414	AL2G27570	CARHR061460
OG0002415	AL1G39600	CARHR025760
OG0002415	AL2G27610	CARHR061500
OG0002416	AL2G27620	CARHR061520
OG0002416	AL1G39620	CARHR025770
OG0002417	AL1G39400	CARHR025570
OG0002417	AL2G28330	CARHR062120
OG0002418	AL2G28030	CARHR061860
OG0002418	AL2G28380	CARHR062160
OG0002419	AL7G24000	CARHR236330
OG0002419	AL3G53420	CARHR110990
OG0002420	AL7G48150	CARHR213020
OG0002420	AL2G11600	CARHR047700
OG0002421	AL1G19740	CARHR009220
OG0002421	AL1G66150	CARHR055140
OG0002422	AL5G17510	CARHR149630
OG0002422	AL7G49660	CARHR261790
OG0002423	AL1G24460	CARHR013140
OG0002423	AL5G15690	CARHR147890
OG0002425	AL8G12600	CARHR176000
OG0002425	AL7G35800	CARHR225320
OG0002426	AL1G45720	CARHR176670
OG0002427	AL1G41950	CARHR027840
OG0002427	AL4G29620	CARHR127960
OG0002428	AL8G10370	CARHR173750, CARHR173720
OG0002429	AL7G37310	CARHR224010
OG0002429	AL8G10610	CARHR173950
OG0002430	AL6G45790	CARHR255190
OG0002430	AL7G30000	CARHR230790
OG0002431	AL7G11210	CARHR247460
OG0002431	AL3G16190	CARHR079980
OG0002432	AL7G30710	CARHR229840
OG0002432	AL6G46880	CARHR254180
OG0002433	AL5G22020	CARHR230190
OG0002434	AL6G47320	CARHR253770
OG0002434	AL7G30990	CARHR229480
OG0002435	AL6G47550	CARHR253580
OG0002435	AL7G31210	CARHR229320
OG0002436	AL6G47650	CARHR253490
OG0002436	AL7G31330	CARHR229190
OG0002437	AL8G14740	CARHR178090
OG0002437	AL7G33850	CARHR226800
OG0002438	AL7G33230	CARHR227480
OG0002438	AL7G33240	CARHR227470
OG0002439	AL8G23860	CARHR216290, CARHR258810
OG0002439	AL7G28960	CARHR106330
OG0002440	AL6G48990	CARHR252180
OG0002440	AL7G32980	CARHR227720
OG0002441	AL7G32490	CARHR228200
OG0002441	AL7G32480	CARHR228210
OG0002442	AL7G32370, AL7G32360	CARHR228350, CARHR228360, CARHR228330
OG0002442	AL7G32350	CARHR228370
OG0002444	AL6G13330	CARHR209520, CARHR209510
OG0002444	AL1G11350	CARHR001320
OG0002445	nbis-gene-408, AL2G15570	CARHR285170
OG0002446	AL5G43430	CARHR171490
OG0002446	AL4G44950	CARHR141030
OG0002447	AL4G42450	CARHR138810
OG0002447	AL5G41660	CARHR170000, CARHR169980
OG0002448	AL1G54750	CARHR037820, CARHR290860
OG0002449	AL5G39540	CARHR168190, CARHR043630
OG0002449	AL1G59460	CARHR041720
OG0002450	AL4G40080	CARHR136860
OG0002450	AL4G39860	CARHR167370
OG0002450	AL5G38950	CARHR167620
OG0002451	AL4G39330	CARHR136440
OG0002451	AL5G38570	CARHR167280
OG0002452	AL5G38480	CARHR167200, CARHR167170, CARHR167180
OG0002453	AL5G35290	CARHR164170
OG0002453	AL4G36000	CARHR133390
OG0002454	AL5G34250	CARHR163230
OG0002454	AL4G33410	CARHR257780, CARHR131560
OG0002455	AL5G34220	CARHR289330
OG0002456	AL4G32150	CARHR130300
OG0002456	AL5G33320	CARHR162340
OG0002457	AL6G43540, AL3G51060	CARHR108480
OG0002458	AL3G51630	CARHR108950
OG0002458	AL7G14460	CARHR244950
OG0002459	AL3G51970	CARHR109210
OG0002459	AL7G14190	CARHR245170
OG0002460	AL3G53110	CARHR109400
OG0002461	AL7G23260	CARHR236920
OG0002461	AL3G48380	CARHR110270
OG0002462	AL4G38460	CARHR135690
OG0002462	AL4G38470	CARHR135710
OG0002463	AL4G35610, AL4G35600	CARHR133470, CARHR133460, CARHR133000
OG0002464	AL7G30520	CARHR230060
OG0002464	AL6G46510	CARHR254510
OG0002465	AL7G13880	CARHR245430
OG0002465	AL4G13510	CARHR293130
OG0002466	AL1G48560	CARHR033450, CARHR033490, CARHR033530, CARHR033500
OG0002466	AL1G48480	CARHR033440, CARHR033510
OG0002467	AL6G47010	CARHR254070
OG0002467	AL7G30800	CARHR229700
OG0002468	AL6G38260	CARHR187120
OG0002468	AL3G16760	CARHR080460
OG0002469	AL3G53410	CARHR110980
OG0002469	AL7G23990	CARHR236340
OG0002470	AL4G43490	CARHR139630, CARHR150030
OG0002470	AL4G43470	CARHR139620
OG0002471	AL4G43350	CARHR139530, CARHR139540
OG0002472	AL4G42230	CARHR138570
OG0002472	AL6G35420	CARHR189520
OG0002473	AL3G14620	CARHR078790
OG0002474	AL3G14660	CARHR185250
OG0002475	AL3G16640	CARHR080340
OG0002475	AL3G16650	CARHR080350
OG0002476	AL3G19730	CARHR083030
OG0002476	AL3G19720	CARHR083020
OG0002477	AL6G10730	CARHR211770
OG0002477	AL3G19910	CARHR083240
OG0002478	AL3G22640	CARHR085680
OG0002478	AL6G15440	CARHR207710
OG0002479	AL3G23900	CARHR086790
OG0002481	AL3G26330	CARHR088960
OG0002481	AL1G62780	CARHR044410
OG0002483	AL3G29960	CARHR092230
OG0002483	AL7G38770	CARHR222650
OG0002484	AL7G38820	CARHR222610
OG0002485	AL7G50580	CARHR262480
OG0002486	AL2G24180	CARHR058370
OG0002486	AL7G46640	CARHR215040
OG0002487	AL2G22800	CARHR057490
OG0002487	AL7G45600	CARHR216120
OG0002489	AL3G17240	CARHR080830
OG0002489	AL6G30150	CARHR194200
OG0002490	AL5G31780	CARHR160930
OG0002491	AL1G11760	CARHR001730
OG0002491	AL2G30540	CARHR064270
OG0002492	AL2G18190	CARHR053790
OG0002492	AL1G20260	CARHR009680
OG0002493	AL2G18560	CARHR054290
OG0002493	AL1G20440	CARHR009860
OG0002494	AL1G21100	CARHR010490
OG0002494	AL1G21110	CARHR010500
OG0002495	AL2G12330	CARHR048320
OG0002496	AL5G15490	CARHR013250
OG0002496	AL1G24540	CARHR013230
OG0002497	AL1G25320	CARHR013900, CARHR013910
OG0002498	AL5G12920	CARHR145600
OG0002498	AL1G25860	CARHR014390
OG0002499	AL5G11780	CARHR145070
OG0002500	AL1G26730	CARHR015250
OG0002500	AL5G10960	CARHR144410
OG0002501	AL1G27800	CARHR016180
OG0002502	AL1G29520	CARHR017860
OG0002502	nbis-gene-1448	CARHR257910
OG0002502	AL8G24650	CARHR257920
OG0002503	AL1G35720	CARHR022650
OG0002503	AL2G38520	CARHR071660
OG0002504	AL1G37170	CARHR023820
OG0002504	AL2G29900	CARHR063720
OG0002505	AL1G37310	CARHR023980
OG0002505	AL2G29810	CARHR063610
OG0002506	AL2G29410	CARHR063230
OG0002506	AL1G37980	CARHR024530
OG0002507	AL1G22670	CARHR011840
OG0002507	AL2G14320	CARHR050550
OG0002508	AL7G10570	CARHR294400
OG0002509	AL4G11690	CARHR113390
OG0002509	AL7G11990	CARHR246930
OG0002510	AL7G13130	CARHR246020
OG0002510	AL4G12600	CARHR292810
OG0002511	AL7G13440, AL2G17600	CARHR245770
OG0002511	AL4G13030	CARHR114350
OG0002512	AL7G13660	CARHR245610
OG0002512	AL4G13230	CARHR292970
OG0002513	AL7G16050	CARHR243470, CARHR042980
OG0002513	AL7G16060	CARHR243460
OG0002514	AL3G47060	CARHR105680
OG0002514	AL7G17110	CARHR242600
OG0002515	AL7G18900	CARHR240820
OG0002515	AL4G17710, AL4G17830	CARHR115330
OG0002516	AL4G16660	CARHR116220
OG0002516	AL7G19740	CARHR240030
OG0002517	AL7G20370	CARHR239560, CARHR239510
OG0002518	AL2G29520	CARHR063340
OG0002518	AL1G37810	CARHR024350
OG0002519	AL7G25140, AL2G19630	CARHR056460
OG0002521	nbis-gene-2130, nbis-gene-2129, AL4G16670	CARHR259740
OG0002521	nbis-gene-2131, AL8G29470	CARHR267460
OG0002523	AL6G42850, AL6G42830, AL6G42820, AL6G42860	CARHR260160
OG0002524	AL8G22930, AL8G22920	CARHR168510, CARHR182290, CARHR182280
OG0002525	AL8G13700, AL8G14330	CARHR177620
OG0002525	AL8G13720	CARHR177200
OG0002526	nbis-gene-1033	CARHR102560, CARHR189910, CARHR184360, CARHR292720, CARHR182900
OG0002526	nbis-gene-455, nbis-gene-181	CARHR282560
OG0002530	AL7G21520	CARHR238490
OG0002530	AL4G14070	CARHR184720
OG0002531	AL7G10640	CARHR294460
OG0002532	AL5G25510	CARHR155190
OG0002533	AL5G28040	CARHR157380
OG0002533	AL8G40530	CARHR277320
OG0002534	AL5G27220, AL5G27230	CARHR156630, CARHR156620
OG0002535	AL5G11150	CARHR144570
OG0002536	AL6G28510	CARHR195770, CARHR077380
OG0002537	AL2G36830, AL2G36840	CARHR070250
OG0002538	AL6G27290	CARHR196890
OG0002539	AL6G26780	CARHR197410
OG0002540	AL6G26470	CARHR197710
OG0002540	AL3G11450	CARHR076170
OG0002541	AL6G25670	CARHR198450
OG0002541	AL3G10750	CARHR075540
OG0002542	AL6G25250	CARHR198810
OG0002542	AL3G10560	CARHR075330
OG0002543	AL5G34400	CARHR163380
OG0002543	AL4G33660	CARHR132310
OG0002544	AL6G22720	CARHR201180
OG0002544	AL6G38120	CARHR187410
OG0002545	AL8G41760	CARHR278350
OG0002546	AL8G41110	CARHR277780
OG0002546	AL6G19650	CARHR204160
OG0002547	AL6G50000	CARHR251300
OG0002547	AL1G12860	CARHR035450, CARHR002710
OG0002548	AL1G13030	CARHR002880
OG0002548	AL6G49580	CARHR251770
OG0002549	AL1G17820	CARHR007420
OG0002549	AL4G23420	CARHR122060
OG0002550	AL4G24450	CARHR123010
OG0002550	AL1G17420	CARHR006990
OG0002551	AL4G25730	CARHR124270
OG0002551	AL1G16680	CARHR006350
OG0002552	AL4G27820	CARHR126250
OG0002552	AL1G14930	CARHR004630
OG0002553	AL1G14280	CARHR003950
OG0002554	AL1G13740	CARHR003490
OG0002554	AL8G16200	CARHR179480
OG0002555	AL8G15950	CARHR179170
OG0002556	AL4G29200	CARHR127540
OG0002556	AL1G41630	CARHR027580
OG0002557	AL4G29510	CARHR127890
OG0002557	AL1G41840	CARHR027780
OG0002558	AL4G31570	CARHR129690
OG0002558	AL1G46340	CARHR031580
OG0002559	AL5G30640	CARHR160000
OG0002559	AL8G44520	CARHR280790
OG0002560	AL8G42950	CARHR279350
OG0002561	AL8G42080	CARHR278640
OG0002561	AL6G20210	CARHR203600
OG0002562	AL8G40560	CARHR277350
OG0002562	AL5G28070	CARHR157410
OG0002563	AL8G39240	CARHR276190
OG0002563	AL5G26680	CARHR156100
OG0002564	AL8G38880	CARHR275890
OG0002564	AL6G17440	CARHR205920
OG0002565	AL6G17770	CARHR205670
OG0002565	AL8G38380	CARHR275440
OG0002566	AL6G35760	CARHR189190
OG0002567	AL5G23920	CARHR150540
OG0002567	AL8G36970	CARHR274030
OG0002568	AL8G36830	CARHR273900
OG0002568	AL5G24210	CARHR150040
OG0002569	AL8G36600	CARHR273640
OG0002569	AL5G24510	CARHR154130
OG0002570	AL5G26300	CARHR155660
OG0002570	AL3G40320, AL8G35200	CARHR272800
OG0002571	AL1G27830	CARHR016220
OG0002572	AL2G41470	CARHR074430
OG0002572	AL7G40190	CARHR151090, CARHR222110
OG0002573	AL7G41900, AL3G37970	CARHR099290
OG0002574	AL8G33410	CARHR271230
OG0002574	AL7G27190	CARHR233300
OG0002575	AL4G43680, AL4G43060, AL4G43050	CARHR256740
OG0002575	AL8G32920	CARHR270770
OG0002576	AL8G32170	CARHR270040
OG0002578	AL7G43740	CARHR055380, CARHR055390, CARHR055370
OG0002579	AL6G50820	CARHR250510
OG0002580	AL6G17060	CARHR206240
OG0002580	AL3G23850	CARHR086750
OG0002581	AL5G38880	CARHR167530
OG0002582	AL3G22070	CARHR085160
OG0002582	AL6G14430	CARHR208510
OG0002583	AL3G21610	CARHR084760
OG0002584	AL3G19930	CARHR083260
OG0002584	AL6G10610	CARHR211830
OG0002585	AL5G16050	CARHR148210
OG0002585	AL7G48540	CARHR213380
OG0002586	AL2G41230	CARHR074220
OG0002587	AL2G39240	CARHR072390
OG0002587	AL2G39250	CARHR072410
OG0002588	AL2G36670	CARHR070090
OG0002588	AL1G33960	CARHR021400
OG0002589	AL1G33820	CARHR021240
OG0002589	AL2G36510	CARHR069960
OG0002590	AL2G36340	CARHR069820
OG0002591	AL1G33170	CARHR020810
OG0002591	AL2G36140	CARHR069640
OG0002592	AL1G33040	CARHR020700
OG0002592	AL2G36010	CARHR069530
OG0002593	AL6G39050	CARHR182980, CARHR182990, CARHR289360, CARHR292330, CARHR292220, CARHR266170, CARHR183000, CARHR182960, CARHR186360
OG0002595	AL6G52570, AL1G64370	CARHR044320, CARHR045850, CARHR043880, CARHR045840, CARHR045830
OG0002596	AL1G62850	CARHR044480
OG0002596	AL3G26250	CARHR088880
OG0002597	AL1G62830	CARHR044460
OG0002597	AL3G26290	CARHR088920
OG0002598	AL1G62710	CARHR044340
OG0002599	AL3G26610, AL1G62560	CARHR089220
OG0002600	AL5G33530	CARHR162640
OG0002600	AL4G32410	CARHR130570
OG0002601	AL3G38630	CARHR099720
OG0002601	AL7G42280	CARHR220150
OG0002602	AL7G41200	CARHR221220
OG0002602	AL3G37130, AL166U10010	CARHR098670
OG0002604	AL2G34210	CARHR067620
OG0002605	AL1G39850	CARHR026010
OG0002605	AL2G27430	CARHR061310
OG0002606	AL2G27590	CARHR061480
OG0002606	AL1G39750	CARHR025900
OG0002607	AL4G30140	CARHR128310
OG0002607	AL6G42110	CARHR259450
OG0002608	AL8G14610, AL8G14640	CARHR177950
OG0002609	AL3G32540	CARHR094570
OG0002609	AL1G57020	CARHR039670
OG0002610	AL1G57740	CARHR040160
OG0002611	AL3G34360	CARHR096300
OG0002611	AL1G58530	CARHR040890
OG0002613	AL1G61260	CARHR043150
OG0002613	AL3G28010	CARHR090510
OG0002614	AL3G28000	CARHR090500
OG0002614	AL1G61280	CARHR043160
OG0002616	AL5G31330, AL113U10020	CARHR184140, CARHR153680
OG0002618	AL3G52360	CARHR106510
OG0002618	AL7G16720	CARHR242910
OG0002619	AL3G49320	CARHR106860
OG0002619	AL3G29540	CARHR091860
OG0002620	AL3G49520	CARHR107030
OG0002620	AL7G16170	CARHR243330
OG0002621	AL7G16120	CARHR243380
OG0002622	AL7G31160	CARHR253640
OG0002623	AL6G45710	CARHR255270, CARHR255260
OG0002624	AL5G45900	CARHR173380
OG0002624	AL4G47740	CARHR143540
OG0002625	AL5G43710	CARHR171760
OG0002625	AL4G45170	CARHR141220
OG0002626	AL5G41930	CARHR170170
OG0002626	AL4G42720	CARHR139030
OG0002627	AL5G39600	CARHR168260
OG0002628	AL4G40670	CARHR137350
OG0002629	AL5G38890	CARHR167540, CARHR254100
OG0002629	AL4G39710	CARHR136710
OG0002630	AL5G37460	CARHR166290
OG0002630	AL4G38220	CARHR135480
OG0002631	AL5G36310	CARHR165200
OG0002631	AL4G36750	CARHR134250
OG0002632	AL3G38210	CARHR099470, CARHR099450, CARHR099460
OG0002632	AL3G38220	CARHR099480
OG0002633	AL5G34910	CARHR163820
OG0002634	AL7G24930	CARHR235450
OG0002634	AL8G28230	CARHR266650
OG0002635	AL3G42390	CARHR102770
OG0002635	AL7G44580	CARHR216910
OG0002636	AL2G25760	CARHR059720
OG0002637	AL7G22960	CARHR237250
OG0002637	AL3G48520	CARHR110170
OG0002638	AL4G36940	CARHR134410
OG0002639	AL4G18740, AL5G11470, AL1G40150	CARHR026340
OG0002639	AL5G19970	CARHR028690
OG0002640	AL1G11330	CARHR001300
OG0002640	AL6G52600	CARHR249470
OG0002641	AL4G10370	CARHR112100
OG0002642	AL7G11120	CARHR247550
OG0002642	AL4G10730	CARHR112480
OG0002643	AL6G44520	CARHR032370, CARHR256160
OG0002643	AL1G47350	CARHR032360
OG0002644	AL3G54170	CARHR111630
OG0002644	AL7G24470	CARHR235840
OG0002645	AL5G42590	CARHR170670
OG0002645	AL4G43990	CARHR140140
OG0002646	AL4G42370	CARHR138700
OG0002647	AL6G29380	CARHR194880
OG0002647	AL3G13810	CARHR078040
OG0002648	AL3G17950	CARHR081440
OG0002648	AL8G22720	CARHR182480
OG0002649	AL3G20430	CARHR083660
OG0002649	AL6G11320	CARHR211260
OG0002650	AL3G20600	CARHR083830
OG0002651	AL3G23180	CARHR086180
OG0002651	AL6G16330	CARHR207030, CARHR207020
OG0002652	AL3G24830	CARHR087680
OG0002652	AL3G24840	CARHR087690
OG0002653	AL1G55230	CARHR038190
OG0002653	AL3G31140	CARHR093300
OG0002654	AL4G12410	CARHR114130
OG0002654	AL7G12920	CARHR246150
OG0002655	AL5G19000	CARHR152300
OG0002655	AL7G50800	CARHR262820
OG0002656	AL7G41590	CARHR220760
OG0002657	AL3G37380	CARHR098910
OG0002657	AL7G41480	CARHR220870
OG0002658	AL3G36610	CARHR098230
OG0002658	AL3G36580	CARHR098210
OG0002660	AL7G46560	CARHR215120
OG0002660	AL2G24000	CARHR058200
OG0002661	AL6G40930, AL6G40920	CARHR185380
OG0002662	AL6G51710	CARHR250030
OG0002663	AL5G19010, AL1G12730	CARHR002340
OG0002664	AL1G17730	CARHR007340
OG0002665	AL1G20190	CARHR009620
OG0002665	AL1G67510	CARHR054450
OG0002666	AL1G20780	CARHR010190
OG0002666	AL2G17680	CARHR283920
OG0002667	AL2G15720	CARHR051820
OG0002667	AL1G21630	CARHR113010
OG0002668	AL1G22410	CARHR011580
OG0002669	AL1G10340	CARHR000370
OG0002669	AL1G22960	CARHR012110
OG0002670	AL1G25690	CARHR014230
OG0002670	AL5G13240	CARHR145830
OG0002672	AL5G10630	CARHR144120
OG0002672	AL1G26970	CARHR059470, CARHR015460
OG0002673	AL1G27260, AL1G27240, AL1G27220	CARHR015690
OG0002674	AL7G51010	CARHR017580
OG0002674	AL2G38910	CARHR072000
OG0002675	AL1G29610	CARHR017950
OG0002676	AL6G49350, AL6G48900	CARHR252230
