Orthogroup	Arabidopsis_lyrata_Rawat	Arabidopsis_thaliana
OG0001581	AL7G50830, AL7G50850	AT5G39460.1
OG0001581	AL7G50860	AT5G39450.1
OG0001582	AL1G15000	AT1G05230.1
OG0001583	AL1G21940	AT1G10960.1
OG0001583	AL2G15540	AT1G60950.1
OG0001584	AL1G26880	AT1G14860.1
OG0001584	AL5G10770	AT2G01670.1
OG0001585	AL1G36090	AT1G22550.1
OG0001585	AL1G36100	AT1G22570.1
OG0001586	AL5G13550	AT2G03760.1
OG0001587	AL1G37040	AT1G23260.1
OG0001587	AL2G30090	AT1G70660.1
OG0001588	AL2G10610	AT1G64330.1
OG0001588	AL7G47470	AT5G41790.1
OG0001589	AL5G17600	AT3G28080.1, AT3G28070.1
OG0001589	AL5G17610	AT3G28100.1
OG0001589	AL5G17620	AT3G28130.2
OG0001590	AL1G51050	AT1G36640.1
OG0001590	AL8G25770	AT5G51465.1
OG0001591	AL4G11930	AT2G22425.1
OG0001591	AL7G12360	AT4G40042.1
OG0001592	AL7G17250	AT4G34135.1
OG0001592	AL7G17260	AT4G34131.1
OG0001593	AL1G25300	AT1G13560.1
OG0001593	AL5G14090	AT3G25585.1
OG0001595	nbis-gene-531, nbis-gene-530, AL2G22430	AT1G65500.1
OG0001595	AL2G22370	AT1G65486.3
OG0001595	nbis-gene-529	AT1G65490.2
OG0001596	AL4G25920	AT3G43837.1, AT1G35617.1
OG0001597	AL5G30870	AT3G50710.1
OG0001598	AL6G18350	AT5G08005.1
OG0001598	AL8G37740	AT5G61100.1
OG0001598	AL8G37750	AT5G61110.1
OG0001599	AL7G23680	AT4G28800.2, AT4G28815.1
OG0001599	AL7G23690	AT4G28811.1
OG0001603	AL5G27860	AT3G48450.1
OG0001603	AL8G40350	AT5G63270.1
OG0001604	AL1G31580	AT1G19020.1
OG0001604	AL5G27510	AT3G48180.1
OG0001605	AL7G49400	AT5G40430.1, AT2G25230.1
OG0001606	AL6G28240	AT5G17190.1
OG0001606	AL3G12770	AT3G03160.1
OG0001607	AL3G12560	AT3G03050.1
OG0001607	AL6G27910	AT5G16910.1
OG0001608	AL3G34490	AT3G20620.1
OG0001609	AL6G26950	AT5G16070.1
OG0001609	AL3G11890	AT3G02530.1
OG0001610	AL1G40750	AT1G27350.1
OG0001610	AL1G40730	AT1G27330.1
OG0001611	AL6G23380	AT5G12480.1
OG0001611	AL6G30940	AT5G19450.1
OG0001612	AL6G30980	AT5G19480.1
OG0001612	AL6G23020	AT5G12230.1
OG0001613	AL6G22460	AT5G11730.1
OG0001613	nbis-gene-1577, AL6G37920	AT5G25970.1
OG0001614	AL8G42460	AT5G64960.1
OG0001614	AL6G20770	AT5G10270.1
OG0001615	AL4G11780	AT2G22290.1
OG0001615	AL6G20760	AT5G10260.1
OG0001616	nbis-gene-1501	AT5G09730.1
OG0001616	AL8G41990	AT5G64570.1
OG0001617	AL6G19560	AT5G09220.1
OG0001617	AL8G41080	AT5G63850.1
OG0001618	AL6G34280	AT5G23090.1
OG0001618	AL6G18600	AT5G08190.1
OG0001619	AL6G49920	AT4G03010.1
OG0001619	AL1G12940	AT1G03440.1
OG0001620	AL1G17750	AT1G07570.3
OG0001620	AL4G23480	AT2G28930.1
OG0001621	AL4G24740	AT2G29990.1
OG0001621	AL1G17330	AT1G07180.1
OG0001622	AL1G17210	AT1G07090.1
OG0001623	AL4G25320	AT2G30440.1
OG0001623	AL1G16890	AT1G06870.1
OG0001624	AL4G25870	AT2G30930.1
OG0001624	AL1G16570	AT1G06540.1
OG0001625	AL4G26990	AT2G31730.1
OG0001625	AL1G15620	AT1G05710.10
OG0001626	AL4G28840	AT2G33220.2
OG0001627	AL1G14160	AT1G04510.1
OG0001627	AL4G28990	AT2G33340.1
OG0001628	AL1G13670	AT1G04070.1
OG0001628	AL8G16140	AT5G43970.1
OG0001629	AL6G49370	AT4G03520.1
OG0001629	AL1G13170	AT1G03680.1
OG0001630	AL7G27380	AT4G25700.1
OG0001630	AL8G27050	AT5G52570.1
OG0001631	AL8G17530	AT5G43130.2
OG0001631	AL1G41250	AT1G27720.1
OG0001632	AL4G29700	AT2G33870.1
OG0001633	AL8G38420, AL8G38460	AT5G61700.1
OG0001633	AL8G38500	AT5G61740.1
OG0001634	AL1G25740	AT1G13910.1
OG0001635	AL6G34940	AT5G23670.1
OG0001635	AL5G28290	AT3G48780.1
OG0001635	AL5G28300	AT3G48790.1
OG0001636	AL5G29390	AT3G49550.1
OG0001636	AL6G36220	AT5G24610.1
OG0001637	AL6G31030	AT5G19520.1
OG0001638	AL6G31530	AT5G20000.1
OG0001638	AL6G31520	AT5G19990.1
OG0001640	AL7G26210	AT4G26670.1
OG0001640	AL8G31060	AT5G55510.1
OG0001641	AL8G30720	AT5G55180.2
OG0001641	AL7G26010	AT4G26830.2
OG0001642	AL8G30530	AT5G55050.1
OG0001643	AL7G25450	AT4G27350.1
OG0001643	AL8G29560	AT5G54240.1
OG0001644	AL3G23270	AT3G11710.1
OG0001645	AL3G22990	AT3G11450.1
OG0001645	AL6G16060	AT5G06110.1
OG0001646	AL6G15500	AT5G05610.1
OG0001646	AL3G22720	AT3G11200.1
OG0001647	AL5G38620	AT3G57140.1
OG0001647	AL6G13630	AT5G04040.1
OG0001648	AL7G48950	AT5G40770.1
OG0001648	AL5G16470	AT3G27280.1
OG0001649	AL7G48680	AT5G40890.1
OG0001649	AL5G16280	AT3G27170.1
OG0001650	AL7G48030	AT5G41390.1
OG0001650	AL2G11310	AT1G63830.1
OG0001651	AL1G28360	AT1G16240.1
OG0001651	AL2G40260	AT1G79590.3
OG0001652	AL2G39950	AT1G79340.1
OG0001652	AL2G39930	AT1G79330.1
OG0001653	AL1G28600	AT1G16460.2
OG0001653	AL2G39700	AT1G79230.1
OG0001655	AL2G22180	AT1G65480.2
OG0001655	AL7G33520	AT4G20370.1
OG0001656	AL2G36600	AT1G76460.1
OG0001656	AL1G33900	AT1G20880.1
OG0001657	AL7G15710	AT4G35460.1
OG0001657	AL3G50290	AT2G17420.1
OG0001658	AL3G50910	AT2G17870.1
OG0001658	AL7G15030	AT4G36020.1
OG0001659	AL1G64540	AT1G54320.1
OG0001659	AL3G24420	AT3G12740.1
OG0001660	AL1G62540	AT1G53830.1
OG0001660	AL3G26630	AT3G14310.1
OG0001661	AL1G61390	AT1G53035.2
OG0001661	AL3G27800	AT3G15358.1
OG0001662	AL4G32070	AT2G35970.1, AT4G09590.1, AT2G35960.1
OG0001662	AL5G33130	AT3G52470.1
OG0001663	AL4G32430, AL5G33550	AT3G52770.1
OG0001664	AL4G32690	AT2G36500.1
OG0001664	AL5G33740	AT3G52950.1
OG0001665	AL4G32710	AT2G36530.1
OG0001666	AL7G41160	AT4G14760.1
OG0001666	AL3G37110	AT3G22790.1
OG0001667	AL7G39500	AT4G15800.1
OG0001667	AL3G29440	AT3G16570.1
OG0001668	AL3G29620	AT3G16690.3
OG0001669	AL7G39280	AT4G15955.3
OG0001669	AL7G39270	AT4G15960.1
OG0001670	AL2G33850	AT1G74010.1
OG0001670	AL2G33860	AT1G74020.1
OG0001671	AL5G18130, AL352U10010	AT3G28500.1
OG0001671	AL7G49960	AT5G40040.1
OG0001672	AL5G15450	AT3G26618.1
OG0001672	AL1G24560	AT1G12920.1
OG0001673	AL5G14650	AT3G25990.1
OG0001673	AL1G25210	AT1G13450.1
OG0001674	AL3G32950	AT3G19540.1
OG0001674	AL1G57380	AT1G49840.1
OG0001675	AL1G57950	AT1G50310.1
OG0001675	AL3G33510	AT3G19940.1
OG0001676	AL3G35000	AT3G21055.2
OG0001676	AL1G59250	AT1G51400.1
OG0001677	AL3G29300	AT3G16480.1
OG0001677	AL1G60040	AT1G51980.1
OG0001678	AL1G60130	AT1G52060.1
OG0001678	AL1G60150	AT1G52070.1
OG0001679	AL1G61060	AT1G52740.1
OG0001680	AL7G52840	AT5G38080.1
OG0001680	AL7G52820	AT5G38090.1
OG0001681	AL7G36970	AT4G17615.3
OG0001681	AL8G10980	AT5G47100.1
OG0001682	AL8G10970	AT5G47110.1
OG0001682	AL7G37000	AT4G17600.1
OG0001683	AL3G49350	AT2G16660.1
OG0001683	AL7G16270	AT4G34950.1
OG0001684	AL3G49450	AT2G16730.1
OG0001684	AL7G16210	AT4G35010.1
OG0001685	AL7G31550	AT4G22140.1
OG0001686	AL7G31570	AT4G22120.1
OG0001686	AL6G47880	AT4G04340.1
OG0001687	AL6G48350	AT4G04860.1
OG0001688	AL3G41180	AT3G25260.1
OG0001688	AL3G41240, AL3G41230	AT3G25280.1
OG0001689	AL1G50430	AT1G35580.1
OG0001689	AL6G43070	AT4G09510.1
OG0001690	AL5G45820	AT3G63030.1
OG0001690	AL4G47640, AL7G30840	AT4G22745.1
OG0001691	AL5G45630	AT3G62860.1
OG0001691	AL4G47210	AT2G47630.1
OG0001692	AL5G45450	AT3G62700.1
OG0001692	AL4G47380, AL946U10010	AT2G47800.1
OG0001693	AL4G46450	AT2G46970.1
OG0001693	AL5G29590, AL5G44770, AL5G44870	AT3G62090.2
OG0001694	AL5G15160	AT3G26390.1
OG0001694	nbis-gene-1123	AT2G39782.1
OG0001695	AL5G42480	AT3G60260.1
OG0001695	AL4G43850, AL364U10010	AT2G44770.1
OG0001696	AL5G42470	AT3G60250.1
OG0001696	AL4G43750	AT2G44680.1
OG0001697	AL4G41900	AT2G43240.1
OG0001697	AL5G41220	AT3G59360.1
OG0001698	AL4G41440	AT2G42830.2
OG0001698	AL5G40560	AT3G58780.4
OG0001699	AL4G40660	AT2G42300.1
OG0001699	AL5G39470	AT3G57800.1
OG0001700	AL5G38430	AT3G56980.1
OG0001700	AL5G38400	AT3G56970.1
OG0001701	AL5G35640	AT3G54560.1
OG0001701	AL4G36110	AT2G38810.1
OG0001702	nbis-gene-124	AT5G11412.1
OG0001702	nbis-gene-2118	AT5G53720.1
OG0001703	AL3G42150	AT5G35680.3, AT2G04520.1
OG0001704	AL8G19440, AL8G19460, AL482U10010	AT5G42230.1
OG0001704	AL3G45000	AT2G12480.3
OG0001704	AL8G19380	AT5G42240.1
OG0001705	AL6G47820	AT4G04200.1
OG0001705	AL4G37540	AT2G39960.1
OG0001706	AL7G11230	AT4G39250.1
OG0001706	AL4G10850	AT2G21650.1
OG0001707	AL6G42660	AT4G08850.1
OG0001707	AL1G50590, AL1G50610	AT1G35710.1
OG0001708	AL6G43790	AT4G10040.1
OG0001708	AL1G36380	AT1G22840.1
OG0001709	AL6G44380	AT4G10430.1
OG0001709	AL1G47600	AT1G33230.2
OG0001710	AL3G16680	AT3G05920.1
OG0001710	AL6G38500	AT5G26690.1
OG0001711	AL6G39740	AT5G27330.1
OG0001711	AL3G15510	AT3G05130.1
OG0001712	AL3G15400	AT3G05030.1
OG0001712	AL6G40010	AT5G27150.1
OG0001713	AL4G42320	AT2G43535.1
OG0001713	AL2G24960, AL4G42300	AT2G43510.1
OG0001714	AL3G11010	AT3G01230.1
OG0001714	AL3G11000	AT3G01240.1
OG0001715	AL3G12850	AT3G03240.1
OG0001716	AL1G19060	AT1G08630.1
OG0001716	AL3G14530	AT3G04520.1
OG0001717	AL3G29560	AT3G16640.1
OG0001717	AL3G16150	AT3G05540.1
OG0001719	AL3G17190	AT3G06300.1
OG0001719	AL6G30250	AT5G18900.1
OG0001720	AL3G17350	AT3G06400.3
OG0001720	AL6G29890	AT5G18620.2
OG0001721	AL3G17480	AT3G06460.1
OG0001721	AL3G17490	AT3G06470.1
OG0001722	nbis-gene-670, AL5G26500, AL4G22460	AT3G06700.1
OG0001723	AL3G18220	AT3G07010.1
OG0001723	AL8G22090	AT5G48900.1
OG0001724	AL6G42330	AT4G08520.1
OG0001724	AL3G21030	AT3G09800.6
OG0001725	AL4G13960	AT2G23930.1
OG0001725	AL3G23040	AT3G11500.1
OG0001726	AL3G31150	AT3G18000.1
OG0001726	AL1G55250	AT1G48600.2
OG0001727	AL3G31540	AT3G18295.1
OG0001727	AL1G55490	AT1G48770.1
OG0001728	AL7G24640	AT4G28000.2
OG0001728	AL8G27350	AT5G52882.1
OG0001729	AL5G31880	AT3G51430.1
OG0001729	AL5G31870	AT3G51420.1
OG0001729	AL5G31890	AT3G51440.1
OG0001730	AL1G11010	AT1G01440.1
OG0001730	AL6G52270	AT4G01090.1
OG0001731	AL6G52310	AT4G01060.1
OG0001731	AL1G11070	AT1G01380.1
OG0001732	AL6G51330	AT4G01960.1
OG0001732	AL1G11730	AT1G02380.1
OG0001733	AL1G12060	AT1G02690.2
OG0001733	AL6G51020	AT4G02150.1
OG0001734	AL2G17980	AT1G58080.1
OG0001734	AL1G20370	AT1G09795.1
OG0001735	AL1G21930	AT1G10950.1
OG0001736	AL2G15080	AT1G61250.1
OG0001736	AL1G22200	AT1G11180.2
OG0001737	AL1G44280	AT1G30350.1
OG0001737	AL1G23120	AT1G11920.1
OG0001738	AL1G23360	AT1G12090.1
OG0001739	AL1G24770	AT1G13100.1
OG0001739	AL1G24750	AT1G13090.2
OG0001739	AL5G15780	AT3G26830.1
OG0001740	AL1G36650	AT1G23080.1
OG0001740	AL2G30460	AT1G70940.1
OG0001741	AL7G12710	AT4G37930.1
OG0001741	AL6G38650	AT5G26780.2
OG0001742	AL2G29940	AT1G70550.1
OG0001742	AL1G37140	AT1G23340.1
OG0001743	AL1G37570	AT1G23820.1
OG0001743	AL2G29610	AT1G70310.1
OG0001744	AL2G14700	AT1G61566.1
OG0001744	AL8G22740	AT2G22055.1
OG0001744	AL2G14720	AT1G61563.1
OG0001745	AL7G11980	AT4G39770.1
OG0001745	AL4G11670	AT2G22190.1
OG0001746	AL4G11940	AT2G22430.1
OG0001746	AL7G12380	AT4G40060.1
OG0001747	AL7G13180	AT4G37580.1
OG0001747	AL4G12840	AT2G23060.1
OG0001748	AL3G33610	AT3G19960.2
OG0001748	AL1G58000	AT1G50360.1
OG0001749	AL3G49170	AT2G16580.1
OG0001749	AL7G16440	AT4G34760.1
OG0001750	nbis-gene-1737	AT4G31630.1
OG0001750	nbis-gene-1738	AT4G31615.1
OG0001751	AL7G21090	AT4G30990.3
OG0001752	AL1G37590	AT1G23840.1
OG0001752	AL1G37600	AT1G23850.1
OG0001752	AL1G37580	AT1G23830.1
OG0001753	AL3G14560	AT3G04540.1
OG0001754	AL3G52230	AT2G16130.1
OG0001754	AL3G52220	AT2G16120.1
OG0001755	AL5G23390	AT3G44920.1
OG0001755	AL5G23370	AT3G44910.1
OG0001756	nbis-gene-1854	AT4G15230.1
OG0001756	AL7G40420	AT4G15236.1, AT4G15233.1
OG0001763	AL3G13170	AT3G03490.1
OG0001763	AL6G28640	AT5G17550.1
OG0001764	AL6G27740	AT5G16730.1
OG0001764	AL3G12390	AT3G02930.1
OG0001765	AL6G27370	AT5G16440.1
OG0001765	AL3G12190	AT3G02780.1
OG0001766	AL6G27280	AT5G16360.1
OG0001767	AL1G22420	AT1G11340.1
OG0001767	AL1G22500	AT1G11410.4
OG0001768	AL2G29600	AT1G70300.1
OG0001768	AL6G25650	AT5G14880.1
OG0001769	AL3G10450	AT3G01700.1
OG0001769	AL6G25090	AT5G14380.1
OG0001770	AL2G40900	AT1G80560.1
OG0001770	AL1G50860	AT1G31180.2
OG0001770	AL6G24870	AT5G14200.1
OG0001771	AL6G50590	AT4G02465.1
OG0001772	AL6G21070	AT5G10540.1
OG0001772	AL112U10040	AT5G65620.2
OG0001773	AL8G42960	AT5G65390.1
OG0001773	AL6G20930	AT5G10430.1
OG0001774	AL6G18370	AT5G08020.1
OG0001774	AL8G37660	AT5G61000.1
OG0001775	AL6G17930	AT5G07620.1
OG0001775	AL8G38290	AT5G61570.1
OG0001776	AL1G12690	AT1G03210.2
OG0001776	nbis-gene-1659	AT4G02860.1
OG0001777	AL1G17690	AT1G07510.1
OG0001777	AL4G23650	AT2G29080.1
OG0001778	AL4G23950	AT2G29390.1
OG0001778	AL1G17570	AT1G07420.1
OG0001779	AL4G24290	AT2G29570.1
OG0001779	AL1G17520	AT1G07370.1
OG0001780	AL1G17140	AT1G07030.1
OG0001780	AL4G24990	AT2G30160.1
OG0001781	AL1G16130	AT1G06170.1
OG0001781	AL4G26440	AT2G31220.2
OG0001782	AL4G28830	AT2G33210.1
OG0001782	AL3G39390	AT3G23990.1
OG0001783	AL8G15930	AT5G44110.1
OG0001784	AL7G27900	AT4G25240.1
OG0001784	AL8G25780	AT5G51480.1
OG0001785	AL8G26310	AT5G51980.1
OG0001785	AL7G27650	AT4G25440.1
OG0001786	AL7G27600	AT4G25490.1
OG0001786	AL7G27630	AT4G25470.1
OG0001787	AL8G17790	AT5G42980.1
OG0001787	AL1G52740	AT1G45145.1
OG0001788	AL8G17560	AT5G43110.1, AT5G43090.1
OG0001788	AL6G42380	AT4G08560.1
OG0001789	AL1G44330	AT1G30400.1
OG0001789	AL4G30650	AT2G34660.1
OG0001790	AL8G40510	AT5G63450.2
OG0001790	AL5G27970	AT3G48520.1
OG0001791	AL8G40010	AT5G62980.1
OG0001791	AL3G35860	AT3G21730.1
OG0001791	AL3G23320	AT3G11750.1
OG0001792	AL5G27390	AT3G48050.1, AT3G48060.2
OG0001793	AL1G40660	AT1G24267.2
OG0001793	AL1G40670	AT1G24265.3
OG0001795	AL6G38060	AT5G26070.1
OG0001795	AL3G34790	AT3G20850.1
OG0001796	AL5G22260	AT3G44190.1
OG0001796	AL6G33120	AT5G22140.1
OG0001797	AL5G22380	AT3G44260.1
OG0001797	AL6G33240	AT5G22250.1
OG0001798	AL8G37030	AT5G60410.2
OG0001799	AL8G36440, AL8G36430	AT5G59870.1
OG0001800	AL5G25830	AT3G46820.1
OG0001800	AL48U10070, AL8G35530	AT5G59160.1
OG0001801	AL8G32390	AT5G56570.1
OG0001802	AL8G31480	AT5G55920.1
OG0001802	AL7G26290	AT4G26600.5
OG0001803	AL3G23340	AT3G11770.1
OG0001803	AL6G16540	AT5G06450.1
OG0001804	AL6G15560	AT5G05670.1
OG0001804	AL3G53170	AT2G18770.2
OG0001805	AL3G21960	AT3G10540.1
OG0001805	AL6G14150	AT5G04510.1
OG0001806	AL3G21630	AT3G10300.6
OG0001806	AL6G13790	AT5G04170.1
OG0001807	AL6G13750	AT5G04130.1
OG0001807	AL3G21600	AT3G10270.2
OG0001808	AL3G21000	AT3G09770.1
OG0001808	AL6G12480	AT5G03200.1
OG0001809	AL5G16530	AT3G27300.4
OG0001809	AL7G48960	AT5G40760.1
OG0001810	AL7G14750	AT4G36280.1
OG0001810	AL7G14760	AT4G36270.1
OG0001810	AL7G14740	AT4G36290.1
OG0001811	AL1G29350	AT1G17140.1
OG0001811	AL2G38800	AT1G78430.1
OG0001812	AL2G37060	AT1G76930.1
OG0001813	AL2G36980	AT1G76860.1
OG0001813	AL1G34240	AT1G21190.1
OG0001814	AL2G36850	AT1G76700.1
OG0001814	AL1G34130	AT1G21080.3
OG0001815	AL2G36130	AT1G76090.1
OG0001815	AL1G33160	AT1G20330.1
OG0001816	AL2G31760	AT1G72130.1
OG0001817	AL7G52810	AT5G38100.1
OG0001818	AL1G31950	AT1G19360.1
OG0001818	AL2G35000	AT1G75110.1
OG0001818	AL2G35010	AT1G75120.1
OG0001819	AL3G50510	AT2G17540.1
OG0001819	AL7G15660	AT4G35510.1
OG0001820	AL7G15040	AT4G36010.1
OG0001821	AL4G32590	AT2G36410.1
OG0001821	AL5G33710	AT3G52920.1
OG0001822	AL5G15290	AT3G26520.1
OG0001822	AL4G33020	AT2G36830.1
OG0001823	AL7G39690	AT4G15710.1
OG0001824	AL2G32780	AT1G73030.1
OG0001824	AL1G30080	AT1G17730.1
OG0001825	AL8G30070	AT5G54610.1
OG0001826	AL2G34230	AT1G74380.1
OG0001826	AL1G31140	AT1G18690.1
OG0001827	AL7G23280	AT4G29160.1
OG0001827	AL3G48370	AT2G19830.2
OG0001828	AL1G38930	AT1G26770.2
OG0001828	AL2G28670	AT1G69530.3
OG0001829	AL7G35980	AT4G18380.1
OG0001829	AL8G12300	AT5G46170.1
OG0001830	AL7G34980	AT4G19110.2
OG0001831	AL1G17550	AT1G07390.3
OG0001832	AL1G59630	AT1G51690.5
OG0001833	AL3G28820	AT3G16140.1
OG0001833	AL1G60400	AT1G52230.1
OG0001834	AL4G30330	AT2G34360.1
OG0001834	AL8G26880	AT5G52450.1
OG0001835	AL7G36490, AL7G36510, AL7G36480	AT4G17990.2
OG0001836	AL4G24300	AT2G29580.1
OG0001836	AL6G17220	AT5G07060.1
OG0001836	AL1G17510	AT1G07360.1
OG0001837	AL3G47250	AT2G15500.1
OG0001837	AL7G17280	AT4G34110.1
OG0001838	AL3G49980	AT2G17130.1
OG0001838	AL7G15910	AT4G35260.1
OG0001839	AL7G29550	AT4G23800.1
OG0001839	AL6G45220	AT4G11080.1
OG0001840	AL7G30630	AT4G22890.1
OG0001840	AL6G46730	AT4G11960.1
OG0001842	AL1G12780	AT1G03280.1
OG0001842	AL7G33550	AT4G20340.1
OG0001843	AL6G49010	AT4G05420.1
OG0001843	AL7G33030	AT4G21100.1
OG0001844	AL6G48580	AT4G05000.1
OG0001844	AL7G32460	AT4G21560.1
OG0001845	AL1G18510	AT1G08130.1
OG0001845	AL1G56130	AT1G49250.1
OG0001846	AL5G38580	AT3G57090.1
OG0001848	AL5G44860	AT3G62100.1
OG0001848	AL4G46470	AT2G46990.1
OG0001849	AL5G42940	AT3G60630.1
OG0001849	AL4G44270	AT2G45160.1
OG0001850	AL5G42510	AT3G60290.1
OG0001851	AL5G42400	AT3G60190.1
OG0001851	AL4G43630	AT2G44590.3
OG0001852	AL5G42300	AT3G60100.2
OG0001852	AL4G43330	AT2G44350.2
OG0001853	AL4G43130	AT2G44180.1
OG0001853	AL5G42170	AT3G59990.1
OG0001854	AL5G41790	AT3G59740.1, AT3G59750.1
OG0001854	AL5G41770	AT3G59700.1
OG0001855	AL4G38920	AT2G40950.1
OG0001855	AL5G38030	AT3G56660.1
OG0001856	AL772U10020, AL4G37330	AT2G39795.1
OG0001856	AL5G36810	AT3G55605.1
OG0001857	AL5G35840, AL5G35830	AT3G54760.1
OG0001858	AL5G34230	AT3G53320.1
OG0001858	AL4G33420	AT2G37070.1
OG0001859	AL7G14490	AT4G36580.1
OG0001859	AL3G51600	AT2G18330.1
OG0001860	AL7G14200	AT4G36800.1
OG0001860	AL3G51960	AT2G18600.1
OG0001861	AL2G23100	AT1G65810.1
OG0001862	AL6G47460, AL6G47450	AT4G12510.1, AT4G12520.1
OG0001863	AL6G48040, AL6G48030	AT4G04580.1
OG0001864	AL4G12330	AT2G22795.1
OG0001864	AL7G12850	AT4G37820.1
OG0001865	AL1G51130	AT1G36990.1
OG0001865	AL6G42320	AT4G08510.1
OG0001866	AL1G20330	AT1G09780.1
OG0001866	AL3G19560	AT3G08590.1
OG0001867	AL4G41070	AT2G42530.1
OG0001867	AL4G41090	AT2G42540.2
OG0001869	AL1G33990	AT1G20960.1
OG0001869	AL4G40630	AT2G42270.1
OG0001870	AL4G39780, AL4G39850	AT2G41445.2
OG0001870	AL4G31390, AL4G21770	AT2G41470.1
OG0001870	AL4G39830	AT2G41440.1
OG0001871	AL3G11950	AT3G02580.1
OG0001871	AL3G11960	AT3G02590.1
OG0001872	AL3G16960	AT3G06110.2
OG0001872	nbis-gene-766	AT3G23610.3
OG0001873	AL1G25850	AT1G14010.1
OG0001873	nbis-gene-1194	AT2G03290.1
OG0001874	AL4G17270	AT2G25670.1
OG0001874	AL7G19150	AT4G32610.1
OG0001875	AL7G50700	AT5G39610.1
OG0001875	nbis-gene-1252	AT3G29035.1
OG0001876	AL7G50770	AT5G39530.1
OG0001876	AL7G50790	AT5G39520.1
OG0001877	AL7G52500	AT5G38300.1
OG0001877	AL2G25370	AT1G67035.2
OG0001878	AL6G53050	AT4G00400.1
OG0001878	AL1G10770	AT1G01610.1
OG0001879	AL1G21540	AT1G10680.1
OG0001879	AL7G27040	AT4G25960.1
OG0001880	AL1G21650	AT1G10730.1
OG0001880	AL2G15800	AT1G60780.1
OG0001881	AL1G23220	AT1G12010.1
OG0001881	AL2G13510	AT1G62380.1
OG0001882	AL1G23280	AT1G12040.1
OG0001882	AL2G13430	AT1G62440.1
OG0001883	AL2G12450	AT1G63090.1
OG0001883	AL1G24310	AT1G12710.2
OG0001884	AL5G14130	AT3G25610.1
OG0001884	AL1G24900	AT1G13210.1
OG0001885	AL5G11740	AT2G02470.1
OG0001885	AL1G26400	AT1G14510.1
OG0001886	AL1G27400	AT1G15310.1
OG0001886	AL1G55720, AL1G55710	AT1G48900.1
OG0001887	AL1G27940	AT1G15790.3
OG0001888	AL2G32010	AT1G72330.3
OG0001888	AL1G29550	AT1G17290.1
OG0001889	AL1G29740	AT1G17455.1
OG0001889	AL2G32300	AT1G72630.1
OG0001890	AL5G11610	AT2G02380.1
OG0001890	AL5G11620	AT2G02390.3
OG0001891	AL2G29340	AT1G70090.1
OG0001891	AL1G38000	AT1G24170.1
OG0001892	AL7G12650	AT4G37990.1
OG0001892	AL7G12670	AT4G37980.1
OG0001893	AL7G19400	AT4G32440.2
OG0001894	AL3G46630	AT2G14850.1
OG0001894	AL7G17540	AT4G33890.1
OG0001895	AL7G20710	AT4G31360.1
OG0001895	AL4G14870	AT2G24440.1
OG0001896	AL4G14850	AT2G24420.1
OG0001896	AL7G20740	AT4G31340.1
OG0001897	AL7G21180	AT4G30910.2
OG0001897	AL7G21170	AT4G30920.1
OG0001897	AL4G14400	AT2G24200.1
OG0001898	AL14U10010	AT4G07350.1, AT1G40129.1
OG0001900	AL7G50380	AT5G39860.1
OG0001900	AL5G18620	AT3G28857.1
OG0001901	nbis-gene-1817	AT4G18823.1
OG0001901	AL6G30800	AT5G19315.1
OG0001902	AL8G26140	AT5G51845.1
OG0001910	AL7G21580	AT4G30560.1
OG0001910	AL4G14010	AT2G23980.2
OG0001911	AL4G14110	AT2G24060.1
OG0001911	AL7G21430	AT4G30690.1
OG0001912	AL6G27330	AT5G16400.1
OG0001912	AL3G12140	AT3G02730.1
OG0001913	AL7G24650	AT4G27990.1
OG0001913	nbis-gene-674	AT3G07430.1
OG0001914	AL3G11640	AT3G02340.1
OG0001914	AL6G26690	AT5G15820.1
OG0001915	AL6G24110	AT5G13490.1
OG0001915	AL3G19540	AT3G08580.1
OG0001916	AL6G30920	AT5G19430.4
OG0001916	AL6G23110	AT5G12310.1
OG0001917	AL6G22890	AT5G12110.1
OG0001917	AL6G31020	AT5G19510.1
OG0001918	AL6G36610	AT5G24940.1
OG0001918	AL6G21290	AT5G10740.1
OG0001919	AL6G36530	AT5G24860.2
OG0001919	AL6G21160	AT5G10625.1
OG0001920	AL8G42740	AT5G65207.1
OG0001920	AL6G20490	AT5G10040.1
OG0001921	AL6G20450	AT5G10010.1
OG0001922	AL4G12310	AT2G22780.1
OG0001922	AL6G20090	AT5G09660.4
OG0001923	AL6G19830	AT5G09440.1
OG0001923	AL8G41610, AL8G41620	AT5G64260.1
OG0001924	AL6G18210	AT5G07880.1
OG0001924	AL8G37870	AT5G61210.1
OG0001925	AL1G16780	AT1G06770.1
OG0001925	AL4G25470	AT2G30580.1
OG0001926	AL4G25520	AT2G30630.2
OG0001926	AL1G16760	AT1G06750.2
OG0001927	AL1G16180	AT1G06200.2
OG0001927	AL4G26330	AT2G31140.1
OG0001928	AL3G46920	AT2G15220.1
OG0001928	AL3G46910	AT2G15170.1
OG0001929	AL1G14430	AT1G04710.1
OG0001929	AL4G28710	AT2G33150.1
OG0001930	AL8G15880	AT5G44140.1
OG0001930	AL1G13440	AT1G03860.1
OG0001931	AL7G27590	AT4G25500.1
OG0001931	AL8G26390	AT5G52040.2
OG0001932	AL4G45900	AT2G46495.1, AT2G46494.1, AT1G28040.1
OG0001933	AL4G29180	AT2G33510.2
