Orthogroup	Arabidopsis_lyrata_Rawat	Arabis_alpina
OG0002852	AL6G38710	Aa_G691110.h1.t1
OG0002853	AL6G18770	Aa_G691920.h1.t1
OG0002854	AL4G20820, AL4G20790	Aa_G624470.h1.t1
OG0002856	AL1G16910	Aa_G22340.h1.t1
OG0002857	AL1G16070	Aa_G706800.h1.t1
OG0002857	AL4G26590	Aa_G167520.h1.t1
OG0002858	AL4G27980	Aa_G346500.h1.t1
OG0002859	AL1G14910	Aa_G235350.h1.t1
OG0002859	AL4G27840	Aa_G243590.h1.t1
OG0002860	AL1G14580	Aa_G217790.h1.t1
OG0002861	AL4G28850	Aa_G363590.h1.t1
OG0002861	AL1G14290	Aa_G38940.h1.t1
OG0002862	AL1G18200, AL7G46970, AL7G46960, AL6G53580	Aa_G345280.h1.t1
OG0002863	AL7G27390	Aa_G29630.h1.t1
OG0002864	AL1G41570	Aa_G48020.h1.t1
OG0002865	AL1G45830	Aa_G463040.h1.t1
OG0002867	AL212U10010, AL4G31610	Aa_G502590.h1.t1
OG0002868	AL8G43630	Aa_G23460.h1.t1
OG0002869	AL8G43410	Aa_G81290.h1.t1
OG0002869	AL5G29520	Aa_G225300.h1.t1
OG0002871	AL8G40430	Aa_G75300.h1.t1
OG0002872	AL8G38490	Aa_G435210.h1.t1
OG0002873	AL6G32770	Aa_G444240.h1.t1
OG0002874	AL7G26110	Aa_G86670.h1.t1
OG0002875	AL8G30840	Aa_G480140.h1.t1
OG0002877	AL5G33890	Aa_G303860.h1.t1
OG0002877	AL2G12210	Aa_G72390.h1.t1
OG0002878	nbis-gene-1458	Aa_G388280.h1.t1
OG0002879	AL6G13720	Aa_G140800.h1.t1
OG0002879	AL3G21580	Aa_G322150.h1.t1
OG0002880	AL7G48090	Aa_G309380.h1.t1, Aa_G569210.h1.t1, Aa_G247410.h1.t1, Aa_G547840.h1.t1
OG0002881	AL2G41290, AL4G18200	Aa_G497490.h1.t1
OG0002882	AL2G24560, AL2G24400, AL2G24390, AL2G24570	Aa_G21480.h1.t1
OG0002883	AL2G38940	Aa_G343730.h1.t1
OG0002884	AL5G29710	Aa_G462730.h1.t1
OG0002885	AL3G37360	Aa_G51850.h1.t1
OG0002886	AL4G32860	Aa_G758490.h1.t1
OG0002886	AL5G34000	Aa_G211600.h1.t1
OG0002887	AL8G23950, AL7G28830	Aa_G201720.h1.t1
OG0002888	AL9U11880, AL9U11820	Aa_G283120.h1.t1
OG0002889	AL3G40290	Aa_G284690.h1.t1
OG0002889	AL9U10770	Aa_G183900.h1.t1
OG0002890	AL9U10300	Aa_G66720.h1.t1
OG0002891	AL3G20830	Aa_G483310.h1.t1
OG0002892	AL2G34280	Aa_G824370.h1.t1
OG0002893	AL8G13120	Aa_G118050.h1.t1
OG0002893	AL7G35060	Aa_G78040.h1.t1
OG0002893	AL6G32000	Aa_G15610.h1.t1
OG0002894	AL4G14810	Aa_G357810.h1.t1
OG0002894	AL8G13850	Aa_G366840.h1.t1
OG0002895	AL3G28250	Aa_G507800.h1.t1
OG0002895	AL1G61050	Aa_G173630.h1.t1
OG0002896	AL8G26990, AL7G27440	Aa_G239370.h1.t1, Aa_G151900.h1.t1
OG0002897	AL3G47200, AL3G47210	Aa_G405270.h1.t1
OG0002898	AL4G42560, AL8G10940	Aa_G136410.h1.t1
OG0002899	AL7G16460	Aa_G238280.h1.t1
OG0002899	AL3G49160	Aa_G313580.h1.t1
OG0002900	AL7G30530	Aa_G20070.h1.t1
OG0002900	AL6G46520	Aa_G475360.h1.t1
OG0002901	AL66U10020, AL8G15260	Aa_G479970.h1.t1
OG0002902	AL6G48230	Aa_G189380.h1.t1
OG0002903	AL5G31600	Aa_G326370.h1.t1
OG0002903	AL8G45250	Aa_G44080.h1.t1
OG0002904	AL8G45450	Aa_G113880.h1.t1
OG0002904	AL5G31670	Aa_G122470.h1.t1
OG0002905	AL8G45600	Aa_G113750.h1.t1
OG0002905	AL5G31900	Aa_G122720.h1.t1
OG0002906	AL4G46820	Aa_G249860.h1.t1
OG0002906	AL5G45070, AL2G23490	Aa_G167660.h1.t1
OG0002907	nbis-gene-1410	Aa_G2510.h1.t1
OG0002907	AL4G46490	Aa_G178000.h1.t1
OG0002908	AL5G44160	Aa_G33400.h1.t1
OG0002909	AL4G45630	Aa_G536060.h1.t1
OG0002909	AL5G44040	Aa_G128080.h1.t1
OG0002910	AL5G43060	Aa_G48650.h1.t1
OG0002911	AL4G42670	Aa_G445440.h1.t1
OG0002912	AL1G62820, AL6G40520, AL1G48760, AL5G36800	Aa_G213620.h1.t1
OG0002913	nbis-gene-1362	Aa_G591930.h1.t1
OG0002914	AL8G28130	Aa_G198240.h1.t1
OG0002915	AL3G43810	Aa_G611590.h1.t1, Aa_G116390.h1.t1
OG0002916	AL7G14630	Aa_G179540.h1.t1
OG0002916	AL3G51370	Aa_G606700.h1.t1
OG0002917	AL8G33340	Aa_G307410.h1.t1
OG0002920	AL4G44680, AL4G44690	Aa_G16150.h1.t1
OG0002921	AL3G12860	Aa_G267910.h1.t1
OG0002921	AL6G28390	Aa_G56660.h1.t1
OG0002922	AL6G39750	Aa_G251080.h1.t1
OG0002922	AL3G15500	Aa_G4890.h1.t1
OG0002923	AL88U10040, AL3G16400	Aa_G51160.h1.t1
OG0002924	AL3G19360	Aa_G258670.h1.t1
OG0002924	AL3G25440	Aa_G463620.h1.t1
OG0002925	AL3G19960, AL3G19950	Aa_G53970.h1.t1
OG0002926	AL3G21240	Aa_G324410.h1.t1
OG0002926	AL3G21250	Aa_G324400.h1.t1
OG0002927	AL3G25120, AL3G25110	Aa_G595510.h1.t1, Aa_G595500.h1.t1
OG0002928	AL3G27330	Aa_G1330.h1.t1
OG0002929	AL3G28670	Aa_G32130.h1.t1
OG0002930	AL3G28490, AL3G28480	Aa_G233660.h1.t1
OG0002931	AL3G31230	Aa_G63000.h1.t1
OG0002931	AL3G31240	Aa_G62990.h1.t1
OG0002932	AL3G31370	Aa_G549530.h1.t1, Aa_G181800.h1.t1
OG0002932	AL3G31360	Aa_G181810.h1.t1
OG0002933	AL3G32810	Aa_G441970.h1.t1, Aa_G611840.h1.t1
OG0002933	AL3G32800	Aa_G611830.h1.t1
OG0002935	AL3G35890	Aa_G235770.h1.t1, Aa_G235720.h1.t1, Aa_G399610.h1.t1
OG0002936	AL3G35810	Aa_G171680.h1.t1
OG0002937	AL2G20410, AL7G45250	Aa_G474670.h1.t1
OG0002938	AL6G53070	Aa_G299920.h1.t1
OG0002939	AL6G51630	Aa_G46780.h1.t1
OG0002940	AL1G16170	Aa_G751990.h1.t1
OG0002941	nbis-gene-88	Aa_G121060.h1.t1
OG0002942	AL1G32480	Aa_G544410.h1.t1, Aa_G544400.h1.t1
OG0002943	AL2G11670, AL2G11680	Aa_G747900.h1.t1
OG0002944	AL2G15250	Aa_G482480.h1.t1
OG0002944	AL2G15260	Aa_G485790.h1.t1
OG0002945	AL2G18530, AL2G18540	Aa_G56990.h1.t1
OG0002946	AL4G13080	Aa_G204820.h1.t1
OG0002947	AL6G48420	Aa_G257060.h1.t1
OG0002949	AL5G17400	Aa_G352030.h1.t1
OG0002950	AL7G12800	Aa_G237360.h1.t1
OG0002950	AL4G12230	Aa_G224800.h1.t1
OG0002952	AL7G19440	Aa_G9890.h1.t1
OG0002952	AL4G16970	Aa_G269880.h1.t1
OG0002953	AL4G19200	Aa_G647380.h1.t1
OG0002953	AL7G18330	Aa_G288260.h1.t1
OG0002954	AL7G19730	Aa_G314990.h1.t1
OG0002955	AL7G19890	Aa_G324930.h1.t1
OG0002955	AL4G16490	Aa_G373630.h1.t1
OG0002956	AL6G30340	Aa_G671840.h1.t1
OG0002957	AL6G51270, AL6G51310, AL6G51290	Aa_G191470.h1.t1
OG0002958	AL3G53770	Aa_G627440.h1.t1
OG0002958	AL7G24280	Aa_G18410.h1.t1
OG0002959	AL8G12110, AL1G54190, AL1G54150, AL1G54120	Aa_G513300.h1.t1
OG0002961	AL1G64080, AL1G63810, AL1G64360	Aa_G657200.h1.t1
OG0002962	AL7G12610, AL2G20220	Aa_G294450.h1.t1, Aa_G294460.h1.t1
OG0002971	AL6G15340	Aa_G170420.h1.t1
OG0002972	AL7G21670	Aa_G678150.h1.t1
OG0002973	AL8G19000, AL3G18970	Aa_G658010.h1.t1, Aa_G174340.h1.t1, Aa_G52030.h1.t1
OG0002975	nbis-gene-1601, AL6G38780, AL6G37640, AL6G39390	Aa_G155610.h1.t1
OG0002976	AL6G27890	Aa_G162260.h1.t1
OG0002976	AL3G12530	Aa_G111850.h1.t1
OG0002977	AL6G26890	Aa_G379090.h1.t1
OG0002978	AL6G24790	Aa_G72880.h1.t1, Aa_G52480.h1.t1
OG0002979	AL6G23940	Aa_G19570.h1.t1
OG0002981	AL6G20840	Aa_G159120.h1.t1
OG0002982	AL6G20240	Aa_G152860.h1.t1
OG0002982	AL8G42110	Aa_G20990.h1.t1
OG0002983	AL6G43360, AL7G29850	Aa_G55820.h1.t1
OG0002984	AL6G18840	Aa_G210630.h1.t1
OG0002985	AL1G17300	Aa_G435900.h1.t1
OG0002986	AL4G40690	Aa_G210160.h1.t1, Aa_G317300.h1.t1
OG0002987	AL1G13570	Aa_G655380.h1.t1
OG0002988	AL1G41170	Aa_G326520.h1.t1
OG0002989	AL4G30740, AL1G44630	Aa_G138840.h1.t1
OG0002990	AL1G44790	Aa_G216270.h1.t1
OG0002991	AL7G28140	Aa_G658280.h1.t1
OG0002991	AL4G31370	Aa_G52080.h1.t1
OG0002992	AL8G43970	Aa_G383070.h1.t1
OG0002993	AL8G43920, AL5G29990	Aa_G383020.h1.t1
OG0002994	AL8G43800	Aa_G23620.h1.t1
OG0002994	AL5G29930	Aa_G52940.h1.t1
OG0002995	AL8G37520	Aa_G549050.h1.t1, Aa_G549060.h1.t1
OG0002996	AL6G47720, AL6G33770, AL6G33800	Aa_G173770.h1.t1
OG0002997	AL8G36860	Aa_G456980.h1.t1, Aa_G457000.h1.t1, Aa_G456990.h1.t1
OG0002999	AL8G34150, AL8G34270	Aa_G31480.h1.t1, Aa_G31600.h1.t1
OG0003000	AL8G31800	Aa_G216680.h1.t1
OG0003002	AL8G30440	Aa_G542680.h1.t1
OG0003002	AL7G25880	Aa_G363750.h1.t1
OG0003003	AL8G30390	Aa_G542620.h1.t1
OG0003004	AL1G20150, AL1G57770	Aa_G516390.h1.t1
OG0003005	AL6G16820	Aa_G386310.h1.t1
OG0003006	AL1G12600	Aa_G358070.h1.t1
OG0003006	AL6G50160	Aa_G188860.h1.t1
OG0003008	AL3G11670	Aa_G461230.h1.t1
OG0003010	AL7G48380, AL7G48430	Aa_G298310.h1.t1
OG0003011	AL2G38150	Aa_G526830.h1.t1
OG0003012	AL6G44430	Aa_G58980.h1.t1
OG0003012	AL1G26060	Aa_G676710.h1.t1
OG0003014	AL7G15520	Aa_G157110.h1.t1
OG0003014	AL3G50590	Aa_G580090.h1.t1
OG0003015	nbis-gene-1713	Aa_G157100.h1.t1
OG0003015	AL3G50600	Aa_G580100.h1.t1
OG0003016	AL6G42310	Aa_G12630.h1.t1
OG0003017	AL9U11070	Aa_G674050.h1.t1
OG0003018	AL3G40560, AL9U10840	Aa_G311170.h1.t1
OG0003020	AL7G42610, AL7G42580	Aa_G206680.h1.t1
OG0003021	AL2G33730	Aa_G30420.h1.t1
OG0003022	AL1G39660	Aa_G283440.h1.t1
OG0003022	AL2G27680	Aa_G193440.h1.t1
OG0003023	AL7G22940	Aa_G332430.h1.t1
OG0003024	AL1G34230, AL2G36970	Aa_G165010.h1.t1
OG0003026	AL5G17690, AL7G49880	Aa_G768640.h1.t1
OG0003027	AL8G13280	Aa_G239420.h1.t1, Aa_G386610.h1.t1
OG0003028	AL1G57460	Aa_G92530.h1.t1
OG0003029	AL3G34290	Aa_G250590.h1.t1
OG0003030	AL1G56300	Aa_G95950.h1.t1
OG0003030	AL4G25950	Aa_G634480.h1.t1
OG0003032	AL3G28860	Aa_G568120.h1.t1
OG0003033	AL4G35220	Aa_G979100.h1.t1
OG0003034	AL8G23360	Aa_G43730.h1.t1
OG0003035	AL7G46100	Aa_G245290.h1.t1
OG0003037	AL6G48790	Aa_G41850.h1.t1, Aa_G41840.h1.t1
OG0003038	AL5G22800	Aa_G339790.h1.t1
OG0003039	AL5G43110	Aa_G48700.h1.t1
OG0003039	AL4G44520	Aa_G289590.h1.t1
OG0003040	AL5G42670	Aa_G77290.h1.t1
OG0003041	AL5G42350	Aa_G103290.h1.t1, Aa_G218970.h1.t1, Aa_G218980.h1.t1
OG0003042	AL4G41820	Aa_G401520.h1.t1
OG0003043	AL5G39790	Aa_G98590.h1.t1
OG0003044	AL5G34460	Aa_G402260.h1.t1
OG0003045	AL125U10010	Aa_G267900.h1.t1
OG0003046	AL5G33510	Aa_G698170.h1.t1
OG0003047	AL2G26030	Aa_G335170.h1.t1, Aa_G604840.h1.t1
OG0003047	AL2G26010	Aa_G335160.h1.t1
OG0003048	AL2G26200, AL1G40590	Aa_G7230.h1.t1
OG0003049	AL2G26650	Aa_G469590.h1.t1
OG0003051	AL1G40460	Aa_G61700.h1.t1
OG0003052	AL7G10660	Aa_G137950.h1.t1
OG0003053	AL1G50640, AL1G50680	Aa_G529510.h1.t1
OG0003054	AL7G33560, AL7G33140	Aa_G572320.h1.t1
OG0003055	AL6G30530	Aa_G128890.h1.t1
OG0003056	AL6G30790	Aa_G441560.h1.t1
OG0003057	nbis-gene-1581	Aa_G40980.h1.t1
OG0003058	AL3G14990	Aa_G4520.h1.t1
OG0003058	AL6G40460	Aa_G378520.h1.t1
OG0003059	AL8G25140	Aa_G241230.h1.t1, Aa_G714150.h1.t1
OG0003060	AL4G44430	Aa_G289650.h1.t1
OG0003061	AL4G42750	Aa_G831400.h1.t1
OG0003062	AL4G42730	Aa_G125490.h1.t1, Aa_G552000.h1.t1, Aa_G323680.h1.t1, Aa_G234090.h1.t1
OG0003063	AL4G40040	Aa_G145800.h1.t1, Aa_G145810.h1.t1
OG0003064	AL6G40880, AL3G15610	Aa_G4990.h1.t1
OG0003064	AL6G39600	Aa_G430220.h1.t1
OG0003065	AL1G19550	Aa_G50940.h1.t1
OG0003065	AL3G16140	Aa_G45810.h1.t1
OG0003066	AL3G16430	Aa_G51190.h1.t1
OG0003067	AL8G23200	Aa_G128250.h1.t1
OG0003068	AL6G10160	Aa_G264580.h1.t1
OG0003069	AL3G22420, AL3G22410	Aa_G136840.h1.t1
OG0003070	AL3G25280	Aa_G176060.h1.t1
OG0003071	AL2G26120	Aa_G241950.h1.t1
OG0003072	AL3G31180	Aa_G176980.h1.t1
OG0003073	AL3G31520	Aa_G82140.h1.t1
OG0003073	AL1G55480	Aa_G161190.h1.t1
OG0003074	AL7G46700	Aa_G288090.h1.t1
OG0003077	AL1G10740	Aa_G291110.h1.t1
OG0003078	AL1G12160	Aa_G6670.h1.t1
OG0003079	AL1G12880	Aa_G135030.h1.t1
OG0003080	AL1G16400	Aa_G22870.h1.t1
OG0003080	AL4G26010	Aa_G555110.h1.t1
OG0003081	AL2G15960	Aa_G222910.h1.t1
OG0003081	AL1G21790	Aa_G43340.h1.t1
OG0003082	AL5G10700, AL1G26930	Aa_G640080.h1.t1
OG0003083	AL5G10460	Aa_G278090.h1.t1
OG0003083	AL1G27040	Aa_G661470.h1.t1
OG0003084	AL2G34690	Aa_G64460.h1.t1
OG0003084	AL1G27580	Aa_G112410.h1.t1
OG0003085	AL1G30940	Aa_G132430.h1.t1
OG0003085	AL2G33890	Aa_G30600.h1.t1
OG0003087	AL1G33670	Aa_G119620.h1.t1
OG0003087	AL1G33680	Aa_G119630.h1.t1
OG0003088	AL1G33690	Aa_G119640.h1.t1
OG0003089	AL1G34200, nbis-gene-1282, AL5G21570	Aa_G60780.h1.t1
OG0003090	AL2G31840	Aa_G252120.h1.t1
OG0003092	AL8G15050	Aa_G123870.h1.t1, Aa_G123860.h1.t1
OG0003093	AL7G14560	Aa_G179580.h1.t1
OG0003094	AL7G16300	Aa_G84860.h1.t1
OG0003094	AL7G16290	Aa_G84890.h1.t1
OG0003095	AL7G16310	Aa_G84840.h1.t1
OG0003097	AL1G38710	Aa_G632470.h1.t1
OG0003098	AL6G51930	Aa_G624580.h1.t1
OG0003100	AL9U11480, AL2G19900, AL2G22230, AL6G41900, AL4G20700, AL7G11630, AL5G12730, AL8G21940, AL1G50720	Aa_G131400.h1.t1
OG0003101	AL3G51410, AL3G51420, AL3G51400	Aa_G606710.h1.t1, Aa_G235690.h1.t1
OG0003102	AL7G21440	Aa_G129840.h1.t1
OG0003102	AL4G14100	Aa_G537790.h1.t1
OG0003104	AL8G38090, AL4G25440	Aa_G470350.h1.t1
OG0003106	nbis-gene-1359	Aa_G14340.h1.t1
OG0003116	AL4G13950	Aa_G166890.h1.t1
OG0003116	AL7G21660	Aa_G489460.h1.t1
OG0003117	AL6G29010	Aa_G474060.h1.t1
OG0003118	AL6G26850	Aa_G379160.h1.t1
OG0003118	AL3G11810	Aa_G42460.h1.t1
OG0003120	AL6G20850	Aa_G159130.h1.t1
OG0003120	AL8G42830	Aa_G37290.h1.t1
OG0003121	AL4G28370, AL4G28380	Aa_G148630.h1.t1
OG0003122	nbis-gene-1281	Aa_G335810.h1.t1
OG0003123	AL1G53870	Aa_G332850.h1.t1
OG0003123	AL7G21020	Aa_G521310.h1.t1
OG0003124	AL1G42740	Aa_G408540.h1.t1
OG0003125	AL1G49280	Aa_G299220.h1.t1
OG0003125	AL1G20850	Aa_G165490.h1.t1
OG0003126	AL1G45750	Aa_G703300.h1.t1
OG0003126	AL1G45780	Aa_G463090.h1.t1
OG0003127	AL8G44680	Aa_G147110.h1.t1
OG0003128	AL6G33500, AL7G45920	Aa_G692840.h1.t1
OG0003129	AL8G40650	Aa_G559270.h1.t1
OG0003129	AL5G28210	Aa_G168290.h1.t1
OG0003130	AL8G40060, AL3G51100	Aa_G492230.h1.t1
OG0003130	AL8G40050	Aa_G492240.h1.t1
OG0003131	AL653U10010	Aa_G583370.h1.t1
OG0003132	AL6G35410	Aa_G377450.h1.t1
OG0003134	AL3G36600	Aa_G326780.h1.t1
OG0003136	AL6G33530, AL6G33550	Aa_G173940.h1.t1
OG0003138	AL271U10030, AL8G26690	Aa_G411500.h1.t1
OG0003140	AL264U10030, AL1G35210, AL1G35230	Aa_G272230.h1.t1
OG0003141	AL3G29990	Aa_G20370.h1.t1
OG0003142	AL1G12240	Aa_G6750.h1.t1
OG0003143	AL6G50530	Aa_G354900.h1.t1
OG0003144	AL5G36340, AL5G36320	Aa_G719750.h1.t1
OG0003146	AL6G14090	Aa_G73120.h1.t1
OG0003148	AL2G11720	Aa_G462390.h1.t1
OG0003149	AL2G41630, AL2G41620	Aa_G239060.h1.t1, Aa_G239040.h1.t1
OG0003150	AL2G41220	Aa_G497440.h1.t1
OG0003152	AL2G40060	Aa_G145380.h1.t1
OG0003152	AL1G28480	Aa_G65530.h1.t1
OG0003153	AL2G39260	Aa_G835360.h1.t1
OG0003154	AL2G36990	Aa_G164990.h1.t1
OG0003154	AL1G34250	Aa_G60810.h1.t1
OG0003156	AL5G14600	Aa_G257340.h1.t1
OG0003157	AL2G35150	Aa_G348850.h1.t1
OG0003157	AL1G32220	Aa_G323730.h1.t1
OG0003158	AL3G27340	Aa_G1320.h1.t1
OG0003158	AL1G61660	Aa_G501480.h1.t1
OG0003159	AL4G32190	Aa_G505620.h1.t1
OG0003161	AL6G19590, AL5G24010	Aa_G557690.h1.t1
OG0003162	AL7G42790, AL3G38950	Aa_G79780.h1.t1, Aa_G305930.h1.t1
OG0003163	AL7G41230, AL3G37140	Aa_G754120.h1.t1
OG0003164	AL3G35540	Aa_G388580.h1.t1
OG0003164	AL7G39790	Aa_G448620.h1.t1
OG0003165	AL2G33260	Aa_G524720.h1.t1
OG0003166	AL1G30630	Aa_G55170.h1.t1, Aa_G577520.h1.t1
OG0003167	AL5G17370	Aa_G34180.h1.t1
OG0003168	nbis-gene-1943	Aa_G245530.h1.t1
OG0003168	AL5G19090	Aa_G247630.h1.t1
OG0003169	AL5G16990	Aa_G27410.h1.t1
OG0003172	AL2G22680	Aa_G32430.h1.t1
OG0003173	AL6G44230, AL4G39300	Aa_G124030.h1.t1
OG0003175	AL8G17810	Aa_G492540.h1.t1
OG0003176	AL7G37110, AL7G37120	Aa_G607270.h1.t1
OG0003177	AL8G25540, AL8G25530	Aa_G84040.h1.t1, Aa_G84030.h1.t1
OG0003178	AL8G23630, AL1G26390	Aa_G297970.h1.t1
OG0003179	AL7G38480	Aa_G49390.h1.t1
OG0003180	AL7G37630, AL4G31190	Aa_G173150.h1.t1
OG0003181	AL5G31360	Aa_G476620.h1.t1
OG0003182	AL5G42770	Aa_G208930.h1.t1
OG0003183	AL4G42690	Aa_G551950.h1.t1
OG0003185	AL5G44650	Aa_G2380.h1.t1
OG0003186	AL5G23760	Aa_G525150.h1.t1
OG0003186	AL4G16500	Aa_G371770.h1.t1
OG0003187	AL5G37330	Aa_G287250.h1.t1
OG0003189	AL4G36540	Aa_G509520.h1.t1
OG0003189	AL5G36090	Aa_G287650.h1.t1
OG0003190	AL5G34650	Aa_G394530.h1.t1
OG0003190	AL4G34010	Aa_G304520.h1.t1
OG0003192	AL3G51020, AL6G43520	Aa_G197430.h1.t1
OG0003193	AL5G38050	Aa_G174980.h1.t1
OG0003193	AL4G38930	Aa_G144260.h1.t1, Aa_G544540.h1.t1
OG0003194	AL100U10010, AL4G36520	Aa_G844080.h1.t1
OG0003195	AL4G13600	Aa_G11800.h1.t1
OG0003196	AL4G16380	Aa_G321360.h1.t1
OG0003197	AL6G46240, AL6G46230	Aa_G352500.h1.t1
OG0003198	AL3G15730	Aa_G5110.h1.t1
OG0003199	AL7G24150	Aa_G44680.h1.t1
OG0003200	AL3G14750	Aa_G4360.h1.t1
OG0003200	AL6G40700	Aa_G414150.h1.t1
OG0003201	AL3G15720	Aa_G5100.h1.t1
OG0003202	AL6G30310	Aa_G83740.h1.t1
OG0003202	AL3G17120	Aa_G524390.h1.t1
OG0003203	AL3G18500, AL3G18560	Aa_G78690.h2.t1, Aa_G78690.h1.t1
OG0003206	nbis-gene-1655, AL3G24510	Aa_G40020.h1.t1
OG0003208	AL3G31960	Aa_G104630.h1.t1
OG0003210	AL7G53030	Aa_G336610.h1.t1
OG0003211	AL1G14420	Aa_G477730.h1.t1
OG0003211	AL1G21030	Aa_G446430.h1.t1
OG0003212	AL1G17260	Aa_G441360.h1.t1, Aa_G441370.h1.t1
OG0003213	AL1G18850, AL1G18840	Aa_G368310.h1.t1
OG0003214	AL2G16650	Aa_G238510.h2.t1, Aa_G238510.h1.t1
OG0003214	AL1G21350	Aa_G427950.h1.t1
OG0003215	AL1G24330	Aa_G291920.h1.t1, Aa_G291920.h2.t1
OG0003216	AL1G24840	Aa_G726120.h1.t1
OG0003218	AL8G24660	Aa_G535270.h1.t1
OG0003218	AL1G29530	Aa_G324130.h1.t1
OG0003219	AL1G36120	Aa_G589590.h1.t1
OG0003221	AL1G36450	Aa_G843640.h1.t1
OG0003221	AL8G15180	Aa_G518700.h1.t1
OG0003222	AL2G30840	Aa_G170740.h1.t1
OG0003222	AL1G36480	Aa_G399790.h1.t1
OG0003225	AL7G39240	Aa_G406950.h1.t1
OG0003226	AL1G54490	Aa_G418790.h1.t1
OG0003229	AL1G38980, AL1G50130	Aa_G579780.h1.t1, Aa_G579770.h1.t1, Aa_G284650.h1.t1
OG0003231	AL5G13670, AL5G13530	Aa_G560080.h1.t1
OG0003233	AL7G14730, AL1G65990	Aa_G179440.h1.t1
OG0003237	AL7G51630	Aa_G282150.h1.t1
OG0003239	AL5G23970	Aa_G436400.h1.t1
OG0003240	nbis-gene-1826	Aa_G122420.h1.t1
OG0003247	AL5G25720	Aa_G500660.h1.t1
OG0003248	AL5G27420, AL5G27410	Aa_G213550.h1.t1, Aa_G210260.h1.t1, Aa_G561400.h1.t1
OG0003249	AL8G11800	Aa_G160440.h1.t1
OG0003250	AL6G25960, AL3G10980	Aa_G596020.h1.t1
OG0003251	AL6G24700	Aa_G354700.h1.t1
OG0003252	AL6G22790	Aa_G215900.h1.t1
OG0003252	AL6G38140	Aa_G112910.h1.t1
OG0003253	AL7G35850, AL3G37850	Aa_G340030.h1.t1
OG0003254	AL8G42510	Aa_G20670.h1.t1
OG0003254	AL6G20740	Aa_G159030.h1.t1
OG0003255	AL6G20710	Aa_G159020.h1.t1
OG0003256	AL6G20630, AL6G20600	pep1hit_1.1
OG0003257	AL6G20070	Aa_G516780.h1.t1
OG0003258	AL8G41670	Aa_G51590.h1.t1
OG0003259	AL4G24480	Aa_G391900.h1.t1
OG0003260	AL4G25370	Aa_G552340.h1.t1
OG0003261	AL4G25450	Aa_G470360.h1.t1
OG0003262	AL1G15450	Aa_G79400.h1.t1
OG0003262	AL80U10030, AL4G27260	Aa_G154670.h1.t1
OG0003263	AL1G56240, AL1G56150	Aa_G865900.h2.t1, Aa_G865900.h1.t1, Aa_G453620.h1.t1
OG0003266	AL1G38520	Aa_G67310.h1.t1, Aa_G703640.h1.t1
OG0003267	AL1G44340	Aa_G389890.h1.t1
OG0003269	AL8G41330	Aa_G268310.h1.t1
OG0003270	AL8G37880	Aa_G620760.h1.t1
OG0003271	AL6G34820	Aa_G143250.h1.t1
OG0003273	AL5G23460	Aa_G629210.h1.t1
OG0003274	AL3G51610	Aa_G415530.h1.t1
OG0003275	AL2G30990	Aa_G290170.h1.t1, Aa_G290160.h1.t1
OG0003276	AL8G34650, AL7G45810	Aa_G93760.h1.t1, Aa_G64140.h1.t1
OG0003277	AL8G31600	Aa_G755850.h1.t1
OG0003278	AL8G43500	Aa_G23320.h1.t1
OG0003279	AL8G43350	Aa_G81300.h1.t1
OG0003280	AL3G38450, AL6G12940, AL6G12510	Aa_G456280.h1.t1
OG0003281	AL1G23670	Aa_G18820.h1.t1
OG0003282	AL1G37060, AL1G31870	Aa_G92630.h1.t1, Aa_G62560.h1.t1
OG0003283	AL1G51210	Aa_G13750.h1.t1
OG0003284	AL2G41130	Aa_G312110.h1.t1
OG0003285	AL7G35100	Aa_G203390.h1.t1
OG0003285	AL7G35260	Aa_G69950.h1.t1
OG0003286	AL7G34350	Aa_G148240.h1.t1
OG0003287	AL1G35730	Aa_G122570.h1.t1, Aa_G485970.h1.t1
OG0003289	AL3G36770	Aa_G96510.h1.t1
OG0003289	AL7G40970	Aa_G31170.h1.t1
OG0003290	AL3G36430	Aa_G538140.h1.t1
OG0003290	AL7G40810	Aa_G418480.h1.t1
OG0003295	AL7G36000	Aa_G45850.h1.t1, Aa_G45850.h5.t1, Aa_G45850.h4.t1, Aa_G45850.h3.t1, Aa_G45850.h2.t1, Aa_G45860.h6.t1, Aa_G45860.h2.t1, Aa_G45860.h1.t1, Aa_G45860.h4.t1, Aa_G45860.h7.t1, Aa_G45860.h3.t1, Aa_G45860.h5.t1
OG0003298	AL6G15620, AL6G21620	Aa_G73370.h1.t1
OG0003298	AL7G34450	Aa_G148370.h1.t1
OG0003300	AL8G19340, AL1G57840	Aa_G63600.h1.t1
OG0003301	AL5G31810	Aa_G122660.h1.t1
OG0003302	AL4G45430	Aa_G16790.h1.t1
OG0003303	AL5G35220	Aa_G260960.h1.t1
OG0003304	AL7G25610, AL7G25600	Aa_G316630.h1.t1
OG0003306	AL3G41820	Aa_G8950.h1.t1, Aa_G10.h1.t1
OG0003307	AL1G40390	Aa_G474500.h1.t1
OG0003307	AL2G26540	Aa_G56020.h1.t1
OG0003308	AL3G53200	Aa_G426540.h2.t1, Aa_G325450.h1.t1, Aa_G325450.h2.t1, Aa_G426540.h1.t1
OG0003310	AL1G52440	Aa_G82600.h1.t1
