Orthogroup	Arabidopsis_lyrata_Rawat	Eutrema_salsugineum
OG0002489	AL3G17240	XP_006407962.1
OG0002489	AL6G30150	XP_006400435.1
OG0002490	AL5G31770, AL5G31760	XP_024013462.1
OG0002491	AL1G11760	XP_006418346.1
OG0002491	AL2G30540	XP_006390819.1
OG0002492	AL2G18190	XP_006392319.2
OG0002493	AL2G18560	XP_006392357.1
OG0002493	AL1G20440	XP_006417527.1
OG0002494	AL1G21100	XP_006417475.1
OG0002494	AL1G21110	XP_006417474.1
OG0002495	AL2G12330	XP_006391772.1
OG0002496	AL5G15490	XP_006395535.1
OG0002496	AL1G24540	XP_006417177.1
OG0002497	AL1G25320	XP_024008372.1
OG0002498	AL5G12920	XP_024007068.1
OG0002498	AL1G25860	XP_006417065.1
OG0002499	AL5G11780	XP_006395778.1
OG0002500	AL1G26730	XP_006416979.1
OG0002500	AL5G10960	XP_006395846.1
OG0002501	AL1G27800	XP_006416887.1
OG0002502	nbis-gene-1448, AL8G24650	XP_006402105.1
OG0002503	AL1G35720	XP_006416213.1
OG0002503	AL2G38520	XP_006390011.1
OG0002504	AL1G37170	XP_024008598.1
OG0002504	AL2G29900	XP_024010992.1
OG0002505	AL1G37310	XP_006416073.1
OG0002505	AL2G29810	XP_024009568.1
OG0002506	AL2G29410	XP_006390923.1
OG0002506	AL1G37980	XP_006416021.1
OG0002507	AL1G22670	XP_006417346.1
OG0002507	AL2G14320	XP_006391963.1
OG0002508	AL7G10570	XP_006411658.2
OG0002509	AL4G11690	XP_006404676.2
OG0002509	AL7G11990	XP_006411774.1
OG0002510	AL7G13130	XP_006411866.1
OG0002510	AL4G12600	XP_006404763.1
OG0002511	AL7G13440, AL2G17600	XP_006411897.1
OG0002511	AL4G13030	XP_006404785.1
OG0002512	AL7G13660	XP_006411914.1
OG0002512	AL4G13230	XP_006404817.2
OG0002513	AL7G16050	XP_006412140.1
OG0002514	AL3G47060	XP_006412257.1, XP_006409565.1
OG0002515	AL7G18900	XP_006412427.1
OG0002515	AL4G17710, AL4G17830	XP_006408826.1
OG0002516	AL4G16660	XP_006405153.1
OG0002516	AL7G19740	XP_006412512.1
OG0002517	AL7G20370	XP_024004601.1
OG0002518	AL2G29520	XP_024010809.1
OG0002518	AL1G37810	XP_024008271.1
OG0002519	AL7G25140	XP_024004569.1
OG0002520	AL2G24660, AL2G24840	XP_006391419.1, XP_006391421.1
OG0002521	nbis-gene-2130, nbis-gene-2129, AL4G16670	XP_024012239.1, XP_006401606.1
OG0002521	nbis-gene-2131, AL8G29470	XP_024011202.1
OG0002522	AL5G21870, AL5G21590, AL4G20910	XP_006401823.2
OG0002523	AL6G42850, AL6G42830, AL6G42820, AL6G42860	XP_006397203.1
OG0002524	AL8G22930, AL8G22920	XP_006395074.2
OG0002525	AL8G13750	XP_006398184.1
OG0002530	AL7G21520	XP_024005318.1
OG0002530	AL4G14070	XP_006404897.1
OG0002531	AL7G10640	XP_006411668.1
OG0002532	AL5G25510	XP_006418878.1
OG0002533	AL5G28040	XP_006404234.1
OG0002533	AL8G40530	XP_006394274.1
OG0002534	AL5G27220, AL5G27230	XP_024013420.1, XP_006404317.1
OG0002535	AL5G11150	XP_006395825.1
OG0002537	AL2G36830, AL2G36840	XP_006390164.1
OG0002538	AL6G27290	XP_006400173.1, XP_006400174.1
OG0002539	AL6G26780	XP_006400116.1
OG0002540	AL6G26470	XP_024011867.1
OG0002540	AL3G11450	XP_006408436.1
OG0002541	AL6G25670	XP_024012286.1
OG0002541	AL3G10750	XP_006408502.1
OG0002542	AL6G25250	XP_024012023.1
OG0002542	AL3G10560	XP_006408527.1
OG0002543	AL5G34400	XP_024013778.1
OG0002543	AL4G33660	XP_006410910.1, XP_024003919.1
OG0002544	AL6G22720	XP_006399714.1
OG0002544	AL6G38120	XP_006394858.1
OG0002545	AL8G41760	XP_006394157.1
OG0002545	nbis-gene-1496	XP_006399436.1
OG0002546	AL8G41110	XP_024007064.1
OG0002546	AL6G19650	XP_006399400.1
OG0002547	AL6G50000	XP_006396519.1
OG0002547	AL1G12860	XP_006418243.1
OG0002548	AL6G49580	XP_006396561.1
OG0002549	AL4G23420	XP_006409924.1
OG0002550	AL4G24450	XP_006410031.1
OG0002551	AL4G25730	XP_006410180.1
OG0002551	AL1G16680	XP_006417895.1
OG0002552	AL4G27820	XP_006410375.1
OG0002552	AL1G14930	XP_006418057.1
OG0002553	AL4G28870	XP_024016781.1
OG0002553	AL1G14280	XP_006418110.1
OG0002554	AL1G13740	XP_006418162.1
OG0002554	AL8G16200	XP_024013300.1
OG0002556	AL4G29200	XP_006410496.1
OG0002556	AL1G41630	XP_006415698.1
OG0002557	AL1G41840	XP_006415676.1
OG0002558	AL4G31570	XP_006410710.1
OG0002558	AL1G46340	XP_006415238.1
OG0002559	AL5G30640	XP_006404027.1
OG0002559	AL8G44520	XP_024007633.1
OG0002560	AL8G42950	XP_006394041.2
OG0002561	AL8G42080	XP_006394127.1
OG0002561	AL6G20210	XP_006399462.1
OG0002562	AL8G40560	XP_006394270.1
OG0002562	AL5G28070	XP_006404231.1
OG0002563	AL8G39240	XP_006394401.1
OG0002563	AL5G26680	XP_006404377.1
OG0002564	AL8G38880	XP_006394434.1
OG0002564	AL6G17440	XP_006399204.1
OG0002565	AL6G17770	XP_006399229.1
OG0002565	AL8G38380	XP_006394484.1
OG0002566	AL6G35760	XP_006394685.1
OG0002566	AL5G29020	XP_006404160.1
OG0002567	AL5G23920	XP_006419043.1
OG0002567	AL8G36970	XP_006400855.1
OG0002568	AL8G36830	XP_006400868.1
OG0002568	AL5G24210	XP_024009599.1
OG0002569	AL8G36600	XP_006400890.1
OG0002569	AL5G24510	XP_006418993.1
OG0002570	AL5G26300	XP_006404418.1
OG0002571	AL1G27830	XP_006408414.1
OG0002571	AL8G34440	XP_006401097.2
OG0002572	AL2G41470	XP_006389749.1
OG0002572	AL7G40190	XP_024005121.1
OG0002573	AL7G41900, AL3G37970	XP_006414731.1, XP_006406040.1
OG0002574	AL8G33410	XP_006401205.1
OG0002574	AL7G27190	XP_006413264.1
OG0002575	AL4G43680, AL4G43060, AL4G43050	XP_006397901.2
OG0002575	AL8G32920	XP_006401253.1
OG0002576	AL8G32170	XP_006401320.2, XP_006401318.1, XP_006401317.1
OG0002577	AL8G30960	XP_006401455.1
OG0002578	AL7G43740	XP_006403054.1, XP_024006337.1
OG0002579	AL6G50830	XP_006396438.1
OG0002579	AL6G50820	XP_006396439.1
OG0002580	AL6G17060	XP_006399167.1
OG0002580	AL3G23850	XP_006407358.1
OG0002581	AL5G38880	XP_006402887.1
OG0002582	AL3G22070	XP_006407531.1
OG0002582	AL6G14430	XP_006398930.1
OG0002583	AL6G13780	XP_006398872.1
OG0002583	AL3G21610	XP_006407587.1
OG0002584	AL3G19930	XP_006407732.1
OG0002584	AL6G10610	XP_024011703.1
OG0002585	AL5G16050	XP_006395492.1
OG0002585	AL7G48540	XP_006405407.1
OG0002586	AL1G27600	XP_006416900.1
OG0002586	AL2G41230	XP_006389776.2
OG0002587	AL2G39240, AL2G39250	XP_006389953.1
OG0002588	AL2G36670	XP_006390181.1
OG0002588	AL1G33960	XP_006416346.1
OG0002589	AL1G33820	XP_006416361.1
OG0002589	AL2G36510	XP_006390201.1
OG0002590	AL2G36340	XP_006390217.1
OG0002590	AL1G33470	XP_006416387.1
OG0002591	AL1G33170	XP_024009109.1
OG0002591	AL2G36140	XP_006390238.1
OG0002592	AL1G33040	XP_006416422.1
OG0002592	AL2G36010	XP_006390248.1
OG0002593	AL6G39050	XP_006394933.2
OG0002594	AL5G44970	XP_006402396.1, XP_024013287.1
OG0002595	AL6G52570, AL1G64370	XP_024005975.1
OG0002596	AL1G62850	XP_006392713.2
OG0002596	AL3G26250	XP_006407134.1
OG0002597	AL1G62830	XP_006392715.1
OG0002597	AL3G26290	XP_024015541.1
OG0002598	AL1G62710	XP_006392728.1, XP_024005980.1
OG0002599	AL3G26610, AL1G62560	XP_006392742.1
OG0002600	AL5G33530	XP_006403771.1
OG0002600	AL4G32410	XP_006410801.1
OG0002601	AL3G38630	XP_024009579.1
OG0002601	AL7G42280	XP_024005635.1
OG0002602	AL7G41200	XP_006414651.1
OG0002602	AL3G37130, AL166U10010	XP_006406126.1
OG0002604	AL2G34210	XP_006390435.1
OG0002605	AL1G39850	XP_006415873.1
OG0002605	AL2G27430	XP_006391129.1
OG0002606	AL1G39750	XP_006391112.1, XP_006415885.1
OG0002607	AL4G30140	XP_024003974.1
OG0002607	AL6G42110	XP_006397306.1
OG0002608	AL8G14610, AL8G14640	XP_006398126.1
OG0002609	AL3G32540	XP_006406530.1
OG0002609	AL1G57020	XP_006393232.1
OG0002610	AL1G57670	XP_006393182.1
OG0002611	AL3G34360	XP_006406372.1
OG0002611	AL1G58530	XP_006393104.1
OG0002612	AL3G28040	XP_006406964.1
OG0002613	AL1G61260	XP_006392851.1
OG0002613	AL3G28010	XP_006406966.1
OG0002614	AL3G28000	XP_006406967.1
OG0002614	AL1G61280	XP_006392850.1
OG0002616	AL5G31330, AL113U10020	XP_006403972.1
OG0002617	AL3G46470	XP_006409638.1, XP_024016387.1
OG0002618	AL3G52360	XP_006409460.1
OG0002618	AL7G16720	XP_006412219.1
OG0002619	AL3G29540	XP_006406820.2
OG0002620	AL3G49520	XP_006409391.1
OG0002620	AL7G16170	XP_006412159.1
OG0002621	AL7G16120	XP_006412152.1
OG0002622	AL7G31160	XP_006413657.1, XP_006396747.1
OG0002623	AL6G45710, AL6G45720	XP_024010516.1, XP_006396923.1
OG0002624	AL5G45900	XP_006402312.1
OG0002624	AL4G47740	XP_006398009.1
OG0002625	AL5G43710	XP_024012840.1
OG0002625	AL4G45170	XP_006397779.2
OG0002626	AL5G41930	XP_024012793.1
OG0002626	AL4G42720	XP_024010859.1
OG0002627	AL5G39600	XP_006402822.1
OG0002628	AL5G39450	XP_006402841.1
OG0002628	AL4G40670	XP_006411491.1
OG0002629	AL5G38890	XP_024012986.1
OG0002629	AL4G39710	XP_006411426.1
OG0002630	AL5G37460	XP_006403019.1
OG0002630	AL4G38220	XP_024016791.1
OG0002631	AL5G36310	XP_006403485.1
OG0002631	AL4G36750	XP_006411166.1
OG0002632	AL3G38210, AL3G38220	XP_006406018.1
OG0002633	AL4G34790	XP_006410976.2
OG0002633	AL5G34910	XP_006403638.1
OG0002634	AL7G24930	XP_006413036.1
OG0002634	AL8G28230	XP_006401695.1
OG0002635	AL3G42390	XP_024009637.1
OG0002635	AL7G44580	XP_024007360.1
OG0002636	AL2G25760	XP_006391504.1
OG0002637	AL7G22960	XP_006412840.1
OG0002637	AL3G48520	XP_024015988.1
OG0002638	AL4G36950	XP_006411181.1
OG0002638	AL4G36940	XP_006411180.1
OG0002639	AL4G18740, AL5G11470, AL1G40150, AL5G19960, AL5G19970	XP_006415834.1
OG0002640	AL1G11330	XP_006418393.1
OG0002640	AL6G52600	XP_006396327.2
OG0002641	AL2G17580, AL7G10790	XP_006404564.1, XP_006411680.1
OG0002642	AL7G11120	XP_024004342.1
OG0002642	AL4G10730	XP_006404606.1
OG0002643	AL6G44520	XP_024009846.1
OG0002644	AL3G54170	XP_006409028.1
OG0002644	AL7G24470	XP_006412991.2
OG0002645	AL5G42590	XP_006402590.1
OG0002645	AL4G43990	XP_006397668.1
OG0002646	AL4G42370	XP_006397529.1
OG0002647	AL6G29380	XP_006400365.1
OG0002647	AL3G13810	XP_006408243.1
OG0002648	AL3G17950	XP_006407898.1
OG0002648	AL8G22720	XP_006395088.1
OG0002649	AL3G20430	XP_006407690.1
OG0002650	AL3G20600	XP_024015565.1
OG0002651	AL3G23180	XP_006407428.1
OG0002652	AL3G24830, AL3G24840	XP_006407262.1
OG0002653	AL3G31140	XP_006406667.1
OG0002654	AL4G12410	XP_006404747.2
OG0002655	AL5G19000	XP_006395307.1
OG0002655	AL7G50800	XP_006405624.1
OG0002656	AL7G41590	XP_024005251.1
OG0002656	AL3G37490	XP_006406100.1
OG0002657	AL7G41480	XP_024005903.1
OG0002658	AL3G36610	XP_006406182.1
OG0002658	AL3G36580	XP_006406184.1
OG0002659	AL4G26870, AL1G61270	XP_024014971.1
OG0002660	AL7G46560	XP_006405840.1
OG0002660	AL2G24000	XP_024009536.1
OG0002661	AL6G40930, AL6G40920	XP_006395035.1, XP_024011786.1
OG0002662	AL6G51710	XP_006396359.1
OG0002663	AL5G19010, AL1G12730	XP_006418255.1
OG0002664	AL1G17730	XP_006392249.1
OG0002665	AL1G20190	XP_006417551.1
OG0002665	AL1G67510	XP_006392379.1
OG0002666	AL1G20780	XP_006417497.1
OG0002666	AL2G17680	XP_006392284.1
OG0002667	AL2G15720	XP_006392112.1
OG0002667	AL1G21630	XP_006417433.1
OG0002668	AL1G22410	XP_006417366.1, XP_024007716.1, XP_024016385.1
OG0002669	AL1G10340	XP_006418476.1
OG0002669	AL1G22960	XP_006417310.1
OG0002670	AL5G13240	XP_024007445.1
OG0002672	AL5G10630	XP_006395878.1
OG0002672	AL1G26970	XP_006416958.1
OG0002673	AL1G27220	XP_006416938.1
OG0002674	AL7G51010	XP_006416748.1
OG0002674	AL2G38910	XP_006389980.1
OG0002675	AL1G29610	XP_006416712.1
OG0002677	AL4G31480	XP_006410701.2
OG0002677	nbis-gene-1687	XP_006411610.1
OG0002678	AL4G10220	XP_006404551.1
OG0002678	AL7G10620	XP_006411664.1
OG0002679	AL7G12160	XP_024014332.1
OG0002680	nbis-gene-950, AL2G12800, AL4G12540	XP_024014346.1
OG0002680	AL7G13100	XP_006411862.2
OG0002681	AL7G16640	XP_024005171.1
OG0002681	AL3G52520	XP_006409445.1
OG0002682	AL7G16780	XP_006412224.1
OG0002682	AL3G52260	XP_006409466.1
OG0002683	AL7G17090	XP_006412256.2
OG0002683	AL3G47050	XP_024016150.1
OG0002684	AL4G17080	XP_006405224.1
OG0002685	AL4G18020	XP_006408834.1
OG0002685	AL7G18750	XP_006412409.1
OG0002686	AL7G17740	XP_024015005.1, XP_006412319.1
OG0002688	AL4G16210	XP_006405104.1
OG0002688	AL7G20100	XP_006412543.1
OG0002689	AL1G39540, AL5G14150, AL9U10800, nbis-gene-251, AL6G36070, nbis-gene-2215	XP_024008937.1
OG0002689	nbis-gene-540	XP_024009199.1
OG0002690	AL1G40840, AL1G40620	XP_006415790.1, XP_024007741.1
OG0002694	AL2G17180, AL2G16970, AL2G16990	XP_006392236.1
OG0002695	AL3G26240, AL286U10020, AL3G19220	XP_006407789.1
OG0002697	AL5G29040, AL5G28960, AL5G29030	XP_024013783.1
OG0002699	AL8G26160	XP_006401902.1
OG0002699	AL604U10010, AL8G26170	XP_006401901.1
OG0002700	AL4G39720	XP_024012588.1
OG0002705	AL7G25540	XP_006413095.1
OG0002705	AL8G29840	XP_006401567.1
OG0002707	AL3G52600	XP_006409436.1
OG0002708	AL6G25760	XP_006400017.1
OG0002708	AL3G10880	XP_006408490.1
OG0002710	AL6G22820	XP_006399720.1
OG0002711	AL6G20140	XP_006399456.1
OG0002711	AL8G42020	XP_006394133.1
OG0002712	AL7G52750	XP_006405800.2
OG0002713	AL6G19370	XP_006399370.1
OG0002714	AL8G38150	XP_006394503.1
OG0002714	AL6G18000	XP_006399247.1
OG0002715	AL4G22800	XP_006409753.1
OG0002715	AL1G18670	XP_006417711.1
OG0002716	AL4G22590, AL4G22580	XP_006409780.1
OG0002717	AL4G26920	XP_006410298.1
OG0002717	AL1G15740	XP_006417985.1
OG0002718	AL1G14170	XP_006418121.1
OG0002718	AL4G28980	XP_024003789.1
OG0002719	AL6G12230, AL8G16520, AL37U10030	XP_024013263.1
OG0002720	AL7G27570, AL7G27580	XP_006399357.1, XP_006399362.1
OG0002721	AL1G53740	XP_024006090.1
OG0002723	AL4G30570	XP_006410606.1
OG0002723	AL1G44020	XP_006415510.1
OG0002724	AL1G45650	XP_006415367.1
OG0002724	AL4G31090	XP_006410666.1
OG0002725	AL5G44840	XP_006402407.1
OG0002726	AL6G37090	XP_006394786.1
OG0002727	AL5G21270	XP_024009455.1
OG0002728	AL5G23750	XP_006419060.1
OG0002729	AL5G24200	XP_024009692.1
OG0002729	AL8G36840	XP_006400867.2
OG0002730	AL7G41310	XP_006414664.1, XP_006414662.1
OG0002731	AL7G26370	XP_006413169.1
OG0002732	AL5G28920	XP_024013738.1
OG0002732	AL5G28930	XP_006404165.1
OG0002733	AL6G17400	XP_024012640.1
OG0002733	AL8G39050	XP_006394418.2
OG0002734	AL6G16380	XP_006399104.2
OG0002734	AL3G23210	XP_006407425.1
OG0002735	AL4G38080	XP_006411285.1
OG0002736	AL6G14670	XP_006398953.1
OG0002736	AL3G22180	XP_006407517.1
OG0002737	AL6G13120	XP_006398814.1
OG0002738	AL7G24320	XP_006412975.1
OG0002738	AL3G53790	XP_006409006.1
OG0002739	AL6G11180, AL6G11190, AL1G33340	XP_006398660.1, XP_024012429.1, XP_006398659.2
OG0002740	AL3G19940	XP_006407730.1
OG0002740	AL6G10520	XP_006398606.2
OG0002741	AL1G28990, AL2G39310	XP_006389946.1
OG0002742	nbis-gene-890	XP_006409318.1
OG0002743	AL7G25560	XP_006413097.1
OG0002743	AL8G29870	XP_006401565.1
OG0002744	AL3G26080	XP_006407151.1
OG0002744	AL1G63040	XP_006392694.1
OG0002745	AL1G61960	XP_006392788.1
OG0002746	AL3G27620	XP_024015597.1
OG0002746	AL1G61540	XP_006392821.2
OG0002747	AL5G22490	XP_006404468.1
OG0002747	AL7G19120	XP_006412446.1
OG0002748	AL7G28600	XP_024005893.1
OG0002749	AL7G42740	XP_006414857.1
OG0002750	AL2G23570	XP_006391335.1, XP_006391334.1
OG0002751	AL7G40320, AL9U11050, AL7G40350, AL7G40310	XP_006414549.1
OG0002752	AL3G35770	XP_006406248.1
OG0002753	AL2G24620	XP_006391410.1
OG0002754	AL7G39390	XP_006414431.1
OG0002754	AL3G29550	XP_006406819.1
OG0002755	AL1G30570	XP_006416630.1
OG0002755	AL2G33420	XP_006390533.1
OG0002756	AL4G20530	XP_006417154.1, XP_006417153.1, XP_006409146.1
OG0002757	AL7G23730	XP_006412912.1
OG0002757	AL3G47860	XP_006408938.1
OG0002758	AL3G47950	XP_006408928.2
OG0002758	AL7G23400	XP_024005205.1
OG0002759	AL2G11230	XP_006415229.1, XP_024004392.1
OG0002760	AL7G48690	XP_006405417.1, XP_006405507.1
OG0002761	AL2G29140	XP_006390956.1
OG0002761	AL1G38460	XP_006415991.1
OG0002762	AL7G13700	XP_024005744.1
OG0002762	AL4G13330	XP_006404828.1
OG0002763	AL1G59430	XP_006393036.1
OG0002763	AL3G35060	XP_024015361.1
OG0002764	AL1G59590	XP_006393012.2
OG0002765	AL1G21240	XP_024006866.1
OG0002766	AL9U11040	XP_024005398.1
OG0002766	AL2G22880, AL2G24350, AL3G40740	XP_024009557.1
OG0002767	AL4G31750	XP_024016687.1
OG0002768	AL7G36190, AL7G36200	XP_006414134.1
OG0002769	AL8G10630	XP_006398433.1
OG0002769	AL7G37300	XP_006414233.1
OG0002770	AL8G10580	XP_006398438.1
OG0002770	AL7G37370	XP_006414242.1
OG0002771	AL5G30460, AL8G44340	XP_006404039.1
OG0002772	AL4G34930	XP_006410995.1
OG0002772	AL5G35070	XP_006403621.1
OG0002773	AL7G30950	XP_006413638.1
OG0002775	AL6G25460	XP_006399983.1
OG0002775	AL3G10640	XP_006408518.1
OG0002776	AL4G47000	XP_006397939.1
OG0002776	AL5G45320	XP_006402368.1
OG0002777	AL4G43920	XP_006397664.1
OG0002777	AL5G42540	XP_006402593.1
OG0002778	AL4G42150	XP_024010759.1
OG0002779	AL4G38540	XP_006411334.1
OG0002779	AL5G37710	XP_024012981.1
OG0002780	AL5G36110	XP_006403507.1
OG0002780	AL5G36120	XP_006403506.1
OG0002781	AL3G26550	XP_006407102.2
OG0002782	AL4G33520	XP_006410895.1
OG0002782	AL5G34300	XP_006403695.1
OG0002783	AL5G33960	XP_024013788.1
OG0002784	AL3G42800	XP_006396165.1
OG0002785	AL3G39710	XP_024009601.1
OG0002786	AL3G52080	XP_006409123.1
OG0002788	AL5G11000	XP_006395841.1
OG0002788	AL1G26710	XP_006416982.2
OG0002789	AL3G48670	XP_006409035.1, XP_006408874.2
OG0002790	AL4G36780	XP_024004193.1
OG0002791	AL7G11020	XP_006411706.1
OG0002791	AL4G10610	XP_006404590.1
OG0002792	AL1G49950	XP_006397435.1
OG0002793	AL1G48710	XP_006396077.1
OG0002793	AL2G31410	XP_006390738.2
OG0002794	AL5G11320	XP_024007598.1, XP_024007194.1
OG0002795	AL3G16550	XP_024005497.1, XP_006408026.1
OG0002797	AL5G41840	XP_006402656.1
OG0002798	AL4G42310	XP_006397523.1
OG0002799	AL8G10960	XP_006398407.1
OG0002800	AL492U10010, AL3G14140, AL3G14100, AL3G14150	XP_006408215.2
OG0002801	AL8G13590	XP_024010982.1
OG0002802	nbis-gene-1593	XP_006394988.1
OG0002802	AL3G15380	XP_006408120.1
OG0002803	AL6G30440	XP_006400461.1
OG0002804	AL3G17040	XP_024015534.1
OG0002805	AL6G51200	XP_006396402.1
OG0002806	AL5G21320, AL3G27790	XP_006406984.1, XP_006391698.1, XP_006415224.1, XP_006415225.1
OG0002807	AL3G29930	XP_024015542.1
OG0002807	AL7G38960	XP_024005820.1
OG0002808	AL3G31900	XP_006406589.1
OG0002809	AL8G37450, AL1G58630	XP_006393099.1
OG0002810	AL7G41690	XP_006414707.2
OG0002811	AL1G24810	XP_006417150.1
OG0002812	AL1G21560	XP_006417430.1
OG0002812	AL2G15780	XP_006392116.1
OG0002813	AL2G14420	XP_006391977.1
OG0002813	AL1G22580	XP_006417353.1
OG0002814	AL1G22720	XP_006417337.1
OG0002814	AL2G14290	XP_006391961.1
OG0002815	AL2G13050	XP_006391826.1
OG0002815	AL1G23580	XP_006417250.1
OG0002816	AL1G23730	XP_006417239.1
OG0002816	AL2G12840	XP_006396730.1, XP_024015598.1
OG0002817	AL1G29560	XP_006390674.2
OG0002818	AL2G32380	XP_006390632.1
OG0002818	AL1G29790	XP_006416696.1
OG0002819	AL2G30530	XP_006390820.1
OG0002819	AL1G36620	XP_006416129.1
OG0002820	nbis-gene-1761	XP_006412887.1, XP_006402166.1
OG0002821	AL7G47740	XP_024014763.1
OG0002821	AL2G10830	XP_006391660.1
OG0002822	AL1G56260, AL1G56180	XP_006393269.1
OG0002823	AL7G13850, AL7G13840	XP_024005510.1
OG0002824	AL5G11570	XP_024007435.1
OG0002825	AL7G15410	XP_006412071.1
OG0002825	AL7G15430	XP_006412073.1
OG0002826	AL4G16980	XP_006405185.1
OG0002826	AL7G19430	XP_006412477.1
OG0002827	AL7G17780	XP_006412321.1
OG0002827	AL3G46040	XP_006409657.1
OG0002828	AL7G20280	XP_006412563.1
OG0002829	AL6G51790	XP_006396352.1
OG0002833	nbis-gene-1749	XP_006412765.1
OG0002834	AL5G43600	XP_024012909.1
OG0002835	AL5G18590	XP_024006859.1, XP_006395337.1
OG0002836	nbis-gene-1995	XP_006391965.2, XP_006391964.2
OG0002836	AL7G15460, nbis-gene-1587	XP_024004396.1
OG0002837	AL8G27810	XP_006401738.1
OG0002837	nbis-gene-1768	XP_006413012.2
OG0002839	nbis-gene-1298, nbis-gene-1297	XP_006419054.1
OG0002844	AL6G52060	XP_006395748.2
OG0002845	AL3G13140	XP_006408300.1
OG0002845	AL6G28600	XP_006400291.1
OG0002846	AL3G10080	XP_006408564.1
OG0002846	AL6G24720	XP_006399912.1
OG0002847	AL6G24580	XP_006399896.1
OG0002848	AL7G43090	XP_024005359.1
OG0002849	nbis-gene-1120, AL5G26040	XP_024004427.1, XP_006404252.1, XP_006414739.2
OG0002850	AL6G21940	XP_006399631.1
OG0002851	AL6G21820	XP_024012176.1, XP_024012382.1
OG0002852	AL1G30320, AL6G38710	XP_006394912.1
OG0002853	AL6G18770	XP_006399324.1
OG0002854	AL4G20820, AL4G20790	XP_006408663.1, XP_006408653.1
OG0002855	AL4G22440	XP_006409793.1
OG0002856	AL4G25340	XP_006410146.1
OG0002856	AL1G16910	XP_006417871.1
OG0002857	AL4G26590	XP_006410267.1
OG0002858	AL4G27980	XP_006410389.1
OG0002858	AL1G14830	XP_006418063.2
OG0002859	AL4G27840	XP_006410378.1
OG0002860	AL1G14580	XP_006418088.1
OG0002861	AL4G28850	XP_006410463.1
OG0002861	AL1G14290	XP_006418109.1
OG0002862	AL1G18200, AL7G46970, AL7G46960, AL6G53580	XP_006417753.1
OG0002863	AL7G27410	XP_006413283.1
OG0002863	AL7G27390	XP_006413281.1
OG0002864	AL1G41570	XP_006415703.1
OG0002865	AL4G31640	XP_006410720.1
OG0002865	AL1G45830	XP_024008798.1
OG0002866	nbis-gene-191	XP_006415281.1
OG0002867	AL212U10010, AL4G31610	XP_006410715.1
OG0002868	AL5G29800, AL8G14300	XP_006404100.1
OG0002869	AL8G43410	XP_024006915.1
OG0002869	AL5G29520	XP_024013776.1
OG0002870	AL8G40820	XP_006394250.1
OG0002870	AL6G19290	XP_006399363.2
OG0002871	AL8G40430	XP_024007626.1
OG0002872	AL8G38410	XP_024004347.1
OG0002872	AL8G38490	XP_024007520.1
OG0002873	AL6G32580	XP_024012379.1
OG0002873	AL6G32770	XP_006400685.1
OG0002874	AL7G26110	XP_006413146.1
OG0002874	AL8G30810	XP_006401473.1
OG0002875	AL8G30840	XP_006401470.1
OG0002878	nbis-gene-1458	XP_006398920.1, XP_006409474.2
OG0002879	AL6G13720	XP_006398867.1
OG0002879	AL3G21580	XP_006407591.1
OG0002880	AL7G48090	XP_006405362.1
OG0002881	AL2G41290, AL4G18200	XP_024011131.1
OG0002882	AL2G24560, AL2G24400, AL2G24390, AL2G24570	XP_006397159.1, XP_006405092.1
OG0002883	AL2G38940	XP_006389977.1
OG0002883	AL1G29220, AL7G51000	XP_024008335.1
OG0002884	AL5G29710	XP_024013655.1
OG0002885	AL3G37360	XP_024014948.1
OG0002886	AL4G32860	XP_006410841.1
OG0002886	AL5G34000	XP_006391880.2, XP_006403723.1
OG0002887	AL7G28830	XP_006413440.1, XP_006413438.1
OG0002888	AL9U11880, AL9U11820	XP_024005027.1, XP_006415005.1, XP_024004575.1
OG0002889	AL3G40290	XP_024009523.1
OG0002889	AL9U10770	XP_024005387.1
OG0002890	AL9U10300	XP_006414921.1
OG0002891	AL1G33940	XP_006416348.1
OG0002893	AL8G13120	XP_006398232.1
OG0002894	AL4G14810	XP_006404971.2
OG0002895	AL3G28250	XP_006406945.1
OG0002895	AL1G61050	XP_006392876.1
OG0002896	AL8G26990, AL7G27440	XP_006413286.2
OG0002897	AL3G47200, AL3G47210	XP_006409549.1
OG0002898	AL4G42560, AL8G10940	XP_006398410.1, XP_006398412.1, XP_006418523.1
OG0002899	AL7G16460	XP_006412189.1
OG0002899	AL3G49160	XP_006409423.1
OG0002900	AL7G30530	XP_006413592.1
OG0002901	AL66U10020, AL8G15260	XP_006398069.1
OG0002902	AL6G48230	XP_006396671.2
OG0002902	nbis-gene-1804, AL3G50460	XP_006413717.1
OG0002903	AL5G31600	XP_006403943.1
OG0002903	AL8G45250	XP_006393834.1
OG0002904	AL8G45450	XP_006393800.1, XP_006393802.1
OG0002905	AL5G31900	XP_006403913.1
OG0002906	AL5G45070, AL2G23490	XP_006402386.1
OG0002907	nbis-gene-1410	XP_006402405.1
OG0002907	AL4G46490	XP_006397891.1
OG0002908	AL5G44160	XP_006397829.1
OG0002909	AL4G45630	XP_006397819.2
OG0002911	AL5G41850, AL4G42670	XP_006402655.1
OG0002912	AL1G62820	XP_024006222.1
OG0002914	AL8G28130	XP_024011791.1
OG0002914	AL7G24720	XP_006413014.1
OG0002915	AL3G43810	XP_024013033.1, XP_006408978.1, XP_006396108.1
