Orthogroup	Arabidopsis_lyrata_Rawat	Camelina_sativa
OG0000913	AL6G26930	XP_010420282.1, XP_010453757.1, XP_010492477.1
OG0000913	AL3G11880	XP_010463663.1, XP_010485561.1, XP_010498313.1
OG0000914	AL6G52290	XP_010427832.1, XP_010456210.1
OG0000914	AL1G11030, AL1G11060	XP_010457132.1
OG0000915	AL1G11420, AL8G10250, AL6G52650	XP_010474697.1, XP_010457173.1, XP_010480662.1, XP_010495011.1, XP_010481285.1, XP_010441417.1
OG0000916	AL1G24890	XP_010495079.2
OG0000916	AL1G22170	XP_010476016.1
OG0000916	AL1G25230	XP_010462691.1, XP_010501456.1, XP_010476344.1
OG0000917	AL1G35960	XP_010477503.1, XP_010459997.1, XP_010498712.1
OG0000917	AL1G35950	XP_010459996.1, XP_010477502.1
OG0000917	AL7G31590	XP_019098468.1, XP_019087366.1
OG0000918	AL1G66360, AL3G52190	XP_010484754.1
OG0000920	AL1G67480, AL1G67450	XP_019087361.1
OG0000920	AL5G14680	XP_010425262.1, XP_019100076.1
OG0000922	AL3G40520	XP_010490121.1, XP_010492056.1, XP_010513659.1, XP_010488591.1, XP_010510250.1
OG0000923	AL5G27270	XP_010503417.1, XP_010426267.1, XP_019102279.1
OG0000923	AL8G39660	XP_010483980.1, XP_010444119.1
OG0000924	AL1G37870	XP_010498927.1, XP_010460178.1, XP_010477728.1
OG0000924	AL6G27070	XP_010453775.1, XP_010420302.1, XP_019097801.1
OG0000925	AL6G36650	XP_019097607.1, XP_010454826.1
OG0000925	AL6G21310	XP_010422812.1, XP_010491753.1
OG0000926	AL9U11150, AL6G20860	XP_010453063.1, XP_010422849.1, XP_010491703.1
OG0000927	AL4G24470	XP_010414345.1, XP_019101426.1, XP_010469929.1
OG0000927	AL5G37160	XP_019101925.1, XP_010504458.1
OG0000927	AL6G15630	XP_010491108.1, XP_010423436.1, XP_010452479.1
OG0000928	AL4G25510	XP_010510326.1, XP_010469823.1, XP_010414239.1
OG0000928	AL1G16770	XP_010486562.1, XP_010475419.1, XP_010457824.1
OG0000929	AL4G25630	XP_019082545.1, XP_010510296.1
OG0000929	AL1G16710	XP_010457811.1, XP_019098865.1
OG0000929	AL4G25640	XP_010510290.1, XP_010414222.1, XP_010469804.1
OG0000930	nbis-gene-1550	XP_019089944.1
OG0000930	AL6G33710	XP_010454535.1
OG0000931	AL5G25290	XP_010503255.1, XP_010514967.1, XP_010426077.1
OG0000931	AL8G35730	XP_010483547.1, XP_010443681.1, XP_010454839.1
OG0000932	AL7G24550	XP_010433266.1, XP_010438509.1, XP_010448036.1
OG0000932	AL8G33860	XP_010483320.1
OG0000932	AL1G35970	XP_010459999.1, XP_010477504.1, XP_010498713.1
OG0000933	nbis-gene-172	XP_010443444.2
OG0000933	AL8G33570, AL8G33590	XP_010443445.1
OG0000933	AL8G30980	XP_019088065.1, XP_010482989.1
OG0000934	AL7G27170, AL7G27160	XP_019086936.1
OG0000934	AL8G33210	XP_010483227.1, XP_010443403.1, XP_010451899.1
OG0000935	AL8G30970	XP_010443168.1, XP_010449590.1, XP_010482986.1, XP_010443169.1, XP_010443171.1, XP_010449601.1, XP_010482987.1
OG0000935	AL8G30990	XP_010497945.1, XP_010482993.1, XP_010449664.1, XP_010443177.1
OG0000936	AL7G15370	XP_010436246.1, XP_010446885.1, XP_010437434.1
OG0000936	AL1G52130	XP_010480967.1
OG0000936	AL4G18420, nbis-gene-2066, AL5G14310	XP_019085859.1
OG0000938	AL2G38750, AL60U10060	XP_010428965.1, XP_010472054.1
OG0000938	AL3G26800	XP_010465338.1, XP_010501892.1, XP_010487247.1
OG0000939	AL1G50820	XP_010500058.1, XP_010496064.1, XP_010461342.1
OG0000939	AL1G35650	XP_010459961.1, XP_010498683.1, XP_010477480.1
OG0000940	AL7G24740	XP_019088540.1, XP_010433295.1, XP_010438539.1, XP_010448066.1
OG0000941	AL7G41930	XP_010466675.1, XP_010440491.2, XP_010435149.1, XP_010488396.1, XP_010421510.1, XP_010450059.1
OG0000942	nbis-gene-1731, nbis-gene-1733	XP_010437953.1, XP_010447438.1, XP_010432771.1
OG0000942	AL7G19790	XP_010447439.1, XP_010432772.1, XP_010437954.1
OG0000943	AL5G30400	XP_019085730.1
OG0000943	AL5G30390	XP_010503698.1, XP_010426574.1
OG0000944	AL5G30340	XP_010515381.1, XP_010503689.1, XP_019084825.1
OG0000946	AL1G16630	XP_010486415.1, XP_019091435.1, XP_010475400.1
OG0000947	AL39U10040, AL4G47460	XP_010507838.1, XP_010497805.1, XP_010518505.1, XP_010506828.1
OG0000947	AL5G45740	XP_010512694.1, XP_010413216.1, XP_010468902.1
OG0000948	AL5G38730	XP_010516338.1, XP_010504652.1, XP_010427593.1, XP_010427594.1
OG0000948	AL5G38750	XP_010516340.1
OG0000949	AL4G36850, AL463U10020	XP_010509011.1, XP_010505623.1, XP_010517299.1
OG0000951	AL7G15240	XP_010446873.1, XP_010437416.1, XP_010432222.1
OG0000951	AL7G44430	XP_010440740.1, XP_010450391.1
OG0000951	AL3G43150	XP_010467089.1, XP_010488774.1, XP_019084404.1
OG0000952	AL1G20030	XP_010458237.1, XP_010490093.1, XP_010475788.1
OG0000952	AL1G20020	XP_010475786.1, XP_010458234.1, XP_010490072.1
OG0000954	AL6G47840	XP_019089455.1, XP_010422258.1, XP_019098171.1, XP_019084335.1, XP_010424584.1
OG0000955	AL1G25580	XP_010458840.1, XP_010476406.1
OG0000955	AL6G39170	XP_010493976.1, XP_019084268.1
OG0000956	AL7G23390	XP_010447897.1, XP_010438357.2
OG0000956	AL2G29360	XP_019083008.1
OG0000957	AL7G11790	XP_010431938.1, XP_010437081.1, XP_010446517.1
OG0000957	AL7G11800	XP_019089345.1, XP_010431940.1, XP_019087979.1, XP_010446520.1
OG0000958	AL6G42210	XP_010434219.1
OG0000958	AL6G42140	XP_019090209.1, XP_010421745.1, XP_019085687.1, XP_019084676.1, XP_010455260.1, XP_010436500.1
OG0000959	AL2G11410	XP_019093969.1
OG0000959	AL2G10960	XP_019083693.1, XP_010418455.1, XP_010430526.1
OG0000959	AL2G11610	XP_010418348.1, XP_019093639.1, XP_019085681.1
OG0000959	AL2G12900, AL2G12890	XP_010473512.1, XP_019085676.1, XP_019083670.1, XP_010418289.1, XP_010430360.1, XP_010418346.1
OG0000962	AL5G13760	XP_019099880.1, XP_019085819.1
OG0000962	AL5G13750	XP_010502413.1, XP_010425188.1
OG0000963	AL6G25630	XP_010492304.2, XP_010420136.2
OG0000963	AL3G49610	XP_010516020.2, XP_010489291.2
OG0000963	AL3G49630	XP_010489287.1, XP_010516008.1, XP_010489475.1, XP_010467417.1, XP_010489288.1, XP_019083845.1
OG0000964	AL4G26970, AL4G27140	XP_019082536.1, XP_010497335.1, XP_010473910.1, XP_010510143.1, XP_010418725.1, XP_010513149.1, XP_019093230.1
OG0000965	AL7G27460	XP_010433609.1, XP_010438848.1, XP_010448403.1
OG0000965	AL8G26910	XP_010442773.1, XP_010482608.1, XP_010444885.1
OG0000966	AL5G28530	XP_010503548.1, XP_010515238.1, XP_010426404.1
OG0000966	AL6G35210	XP_010421197.1, XP_019097774.1, XP_010454674.1
OG0000967	AL6G37260	XP_010454875.1, XP_010493803.1, XP_010421396.1
OG0000967	AL6G37270	XP_010421401.1, XP_010454877.1
OG0000968	AL8G36730	XP_010483655.1, XP_010443804.1, XP_010455588.1, XP_010455999.1
OG0000968	AL8G36740	XP_010456016.1, XP_010483657.1, XP_010455580.1
OG0000968	AL8G36750	XP_019095666.1
OG0000969	AL8G34550	XP_010483436.1, XP_010453676.1, XP_010443567.1
OG0000969	AL6G15210	XP_010452439.1, XP_010423480.1, XP_010491069.1
OG0000970	AL5G17330	XP_010425563.1, XP_010502788.1, XP_010514494.1, XP_010514492.1
OG0000970	AL5G17260	XP_010514493.1, XP_010425561.1, XP_010502789.1
OG0000970	AL5G17310	XP_010425562.1
OG0000971	AL8G12460	XP_010441638.1, XP_010494770.1
OG0000971	AL8G12470	XP_010495745.1
OG0000973	AL7G37090	XP_010449599.1, XP_010434651.1, XP_010439989.1
OG0000973	AL8G10830	XP_010441488.1, XP_010494949.1, XP_010481349.1
OG0000974	AL3G19500	XP_010464461.1, XP_010461980.1
OG0000974	AL3G22660	XP_010486756.1, XP_010464809.1, XP_010488269.1
OG0000975	AL4G34840	XP_010517068.1, XP_010509262.1, XP_010505388.1
OG0000975	AL5G34950	XP_010504182.1, XP_010427058.1, XP_010515904.1, XP_010515905.1, XP_010504184.1, XP_010427059.1
OG0000976	AL8G26450	XP_019095617.1, XP_010473628.1, XP_010444369.1, XP_019095618.1, XP_010442730.1
OG0000976	AL8G18530	XP_010481968.1, XP_019087232.1, XP_010494207.1
OG0000978	AL3G15000	XP_010485869.1, XP_010419205.1, XP_010463973.1
OG0000978	AL7G16530	XP_010447045.1, XP_010432386.1, XP_010437575.1
OG0000979	AL1G12990, AL1G13550	XP_010501303.1, XP_010480332.2, XP_019094364.1
OG0000980	AL5G19700	XP_010425759.1, XP_010502978.1
OG0000980	AL5G19780	XP_010425761.1, XP_010502982.1
OG0000982	AL1G25910	XP_010458875.1
OG0000982	AL1G25890	XP_010480468.1, XP_019090867.1
OG0000982	AL7G35920, AL1G36940, AL1G36930, AL7G35910, AL1G37000, AL1G36880	XP_019094437.1, XP_010460106.1, XP_010498827.1
OG0000983	AL3G11930	XP_010463671.1, XP_010485569.1, XP_010498868.1
OG0000984	AL3G11480	XP_010463051.1, XP_010485464.1, XP_010463620.1
OG0000985	AL4G20610	XP_010417849.1, XP_010473094.1, XP_010510821.1
OG0000985	AL3G34690	XP_010488063.1, XP_010466283.1, XP_010509323.1
OG0000986	AL4G26770	XP_010469715.1, XP_010414116.1
OG0000986	AL1G15830	XP_010485488.1, XP_019091891.1, XP_010475310.1, XP_010459990.1
OG0000987	AL8G26770	XP_010442763.1, XP_010482597.1, XP_010444761.1
OG0000987	AL7G27500	XP_010448409.1, XP_010438859.1, XP_010433613.1
OG0000988	AL7G26600	XP_010448286.1, XP_010433515.1, XP_010438770.1, XP_010448283.1
OG0000988	AL8G41770	XP_010485313.2, XP_010478467.1
OG0000989	AL4G39730	XP_010505948.1, XP_010508696.1, XP_010517653.1
OG0000989	AL3G21660	XP_010482840.1, XP_010486635.1, XP_010464705.1
OG0000990	nbis-gene-2192	XP_019087190.1, XP_010457018.1
OG0000990	nbis-gene-2193	XP_019095673.1, XP_010446227.2, XP_019086951.1
OG0000992	nbis-gene-1481	XP_019097790.1, XP_019090268.1, XP_019084486.1
OG0000993	AL3G20560	XP_010472453.1, XP_010464586.1, XP_010486508.1
OG0000993	AL6G11600	XP_010423873.1, XP_010452072.1, XP_010490652.1
OG0000994	AL1G27950	XP_010476676.1, XP_010497407.1, XP_010459116.1
OG0000994	AL2G40840	XP_010429933.1, XP_010472902.1, XP_010419388.1
OG0000995	AL1G50030	XP_019097766.1
OG0000995	AL2G27110	XP_010511814.1, XP_010470769.1
OG0000996	AL5G24880	XP_019101867.1, XP_010507222.1, XP_010431031.1
OG0000997	AL2G27520	XP_010511869.1, XP_010511868.1, XP_010474207.1, XP_010415488.1
OG0000997	AL1G39820	XP_010499104.1, XP_010460370.1, XP_010477920.1
OG0000998	AL3G50780	XP_010467572.1, XP_010413527.1, XP_019098804.1, XP_010490390.1
OG0000998	AL7G15150	XP_010437402.1, XP_010432212.1, XP_010446860.1
OG0000999	AL1G63440	XP_010462392.1, XP_010481188.1
OG0000999	AL1G57810	XP_019094674.1
OG0001001	AL4G32560	XP_010516861.1, XP_010509475.1, XP_010505186.1
OG0001001	AL5G33700	XP_010515769.1, XP_010504040.1, XP_010426922.1
OG0001002	AL3G37410	XP_010488338.1, XP_010511996.1, XP_010466597.1
OG0001002	AL7G41560	XP_010435107.1, XP_010440445.1, XP_010450022.1
OG0001003	AL7G46710	XP_010435691.1
OG0001003	AL7G46720	XP_010451721.1
OG0001004	AL8G21230	XP_010442266.1, XP_010493661.1, XP_010482092.1
OG0001004	nbis-gene-2059, AL5G17180, nbis-gene-2060	XP_010493660.1, XP_010442263.1, XP_019095522.1
OG0001005	AL8G11640	XP_010494852.1, XP_010441556.1, XP_010481423.1
OG0001005	AL7G36620	XP_010439927.1, XP_010434604.1
OG0001006	AL1G56230	XP_019102254.1, XP_010503213.1
OG0001007	AL7G32960	XP_010434225.1, XP_010439508.1, XP_010449110.1
OG0001007	AL6G48940	XP_010431492.1, XP_010422420.1, XP_010455859.1
OG0001008	AL5G22460	XP_010514771.1, XP_010503083.1, XP_010425848.1
OG0001008	AL5G22450	XP_010503081.1, XP_010425847.1, XP_010514769.1
OG0001008	AL5G22430	XP_010495899.1
OG0001009	AL5G36580	XP_010427314.1, XP_010504397.1, XP_010516112.1
OG0001009	AL4G37050	XP_019099897.1, XP_019101050.1, XP_019101960.1
OG0001010	AL7G23090	XP_010438310.1, XP_010447865.1, XP_010433106.1
OG0001010	AL3G48470	XP_010416663.1, XP_010495948.1, XP_010489131.1
OG0001011	AL6G38560	XP_019084663.1, XP_019084657.1, XP_019097711.1, XP_019090035.1, XP_019098728.1
OG0001011	AL3G16610	XP_010417898.1, XP_010486063.1, XP_010433011.1, XP_010464141.1
OG0001012	AL7G25010	XP_010448094.1, XP_010438569.1, XP_010433330.1
OG0001012	AL8G29290	XP_010442990.1, XP_010446514.1, XP_010482823.1
OG0001012	AL8G29300	XP_010485116.1, XP_010474417.1
OG0001013	AL6G30350	XP_010496738.1, XP_010420684.1
OG0001013	AL3G17050	XP_019092861.1, XP_019097033.1, XP_019100237.1
OG0001014	AL7G40210	XP_019089394.1, XP_019087428.1, XP_019089408.1
OG0001014	AL7G40220	XP_010449951.1
OG0001014	AL5G19930	XP_010511939.1, XP_010466591.1
OG0001015	AL3G48290, AL3G48310	XP_010467916.1
OG0001015	AL3G48270	XP_010467913.1, XP_010489122.1, XP_010416585.1
OG0001016	AL1G66020	XP_019101544.1, XP_010480241.1, XP_010414978.1, XP_010511274.1, XP_010511272.1, XP_010418940.1
OG0001017	AL1G36840	XP_010477606.1, XP_010498822.1, XP_010460098.1
OG0001017	AL2G30210	XP_010471078.1, XP_010427867.1, XP_010415766.1
OG0001019	AL3G34230, AL3G34220	XP_010474539.1, XP_010419416.1, XP_010489970.1, XP_010497145.1
OG0001019	AL5G43820, AL5G43680, AL5G44780, AL73U10010, AL5G29530, AL5G44690	XP_010473812.1
OG0001020	AL2G18040	XP_010418887.1, XP_010474058.1, XP_010418886.1, XP_010513504.1, XP_019085501.1, XP_010412565.1, XP_010418885.1
OG0001020	AL2G18020, AL2G18600	XP_019086727.1
OG0001020	AL2G17380	XP_010414686.1
OG0001020	AL2G17360	XP_010431664.1, XP_010451399.1
OG0001021	AL3G53310	XP_010489052.1, XP_010489053.1, XP_010425823.1
OG0001022	AL8G20010	XP_010456858.1, XP_010424232.1, XP_019092343.1, XP_019092342.1
OG0001029	AL8G12610	XP_010426253.1
OG0001030	nbis-gene-1273	XP_019099802.1
OG0001031	AL6G25400	XP_010420108.1, XP_010453588.1, XP_010492275.1
OG0001031	AL6G26240	XP_010453672.1, XP_010492370.1, XP_010420192.1, XP_010505856.1
OG0001032	AL6G21720	XP_010456484.1, XP_010491804.1, XP_010419664.1
OG0001032	AL6G36970	XP_010493781.1, XP_010454851.1, XP_010421380.1
OG0001033	AL4G24980	XP_010510398.1, XP_010414297.1, XP_010469887.1, XP_010414299.1, XP_010510401.1
OG0001033	AL4G24960	XP_010414300.1, XP_010469889.1, XP_010510403.1
OG0001034	AL4G27730	XP_010414008.1, XP_010469606.1, XP_010510035.1
OG0001034	AL1G15050	XP_010484858.1, XP_010457609.1, XP_010475210.1
OG0001035	AL4G10570, AL4G10580	XP_010429048.1, XP_010429041.1, XP_010416888.1
OG0001036	AL5G24300	XP_019095986.1, XP_010513574.1, XP_010513573.1, XP_019091102.1, XP_010480918.1, XP_010480919.1, XP_010480901.1, XP_010501794.1, XP_010463147.1, XP_010474126.1, XP_010418992.1
OG0001036	AL1G43830	XP_010499514.1, XP_010478370.1, XP_010460774.1
OG0001037	AL4G12270	XP_010472267.1, XP_010417031.1, XP_010429206.1
OG0001037	AL4G31180	XP_010412879.1, XP_010505017.1, XP_010516686.1, XP_010509646.1
OG0001038	AL5G18530	XP_010514596.1, XP_010502879.1, XP_010425659.1
OG0001038	AL5G18560	XP_010425663.1, XP_019099622.1, XP_019100119.1, XP_010514600.1
OG0001039	AL6G35540	XP_010454707.1, XP_010421228.1
OG0001039	AL6G35550	XP_010454708.1, XP_010493554.1, XP_010421231.1
OG0001040	AL4G11160	XP_010472183.1, XP_019083465.1, XP_010429104.1
OG0001040	AL4G11150	XP_010429101.1, XP_010416937.1
OG0001040	AL4G11480	XP_010472179.1
OG0001041	AL8G32080	XP_010451000.1
OG0001041	AL8G32090	XP_010467637.1, XP_010456935.1, XP_019084696.1
OG0001041	nbis-gene-2152	XP_010451090.1
OG0001042	AL5G24020, AL5G28380	XP_010515218.1, XP_010503529.1, XP_010426385.1
OG0001042	AL8G25110	XP_019088042.1, XP_010442575.1, XP_010482409.1
OG0001043	nbis-gene-1462	XP_010423529.1, XP_010491014.1
OG0001044	AL3G21860	XP_010484714.1, XP_010486658.1, XP_010468099.1, XP_010468098.2
OG0001044	AL6G14020	XP_010423586.1, XP_010452334.1, XP_010490947.1
OG0001045	AL2G37710	XP_010416695.1, XP_010428829.1, XP_010471945.1
OG0001045	AL1G34950	XP_010477422.1, XP_010498632.1, XP_010459897.1
OG0001046	AL1G34080	XP_010459795.1, XP_010498556.2, XP_010477361.1
OG0001046	AL2G36740	XP_010416580.1, XP_010428724.1, XP_010471815.1
OG0001047	AL1G32700	XP_010477222.1, XP_010459677.1, XP_010498425.1
OG0001047	AL2G35750	XP_010428612.1, XP_010416471.1, XP_010471704.1
OG0001048	AL4G41290	XP_010508534.1, XP_010517814.1, XP_010508535.1, XP_010506111.1
OG0001049	AL1G62550	XP_010462290.1, XP_010501046.1, XP_010479962.1
OG0001049	AL3G26620	XP_010487229.1, XP_010501837.1, XP_010465322.1
OG0001050	AL6G24960	XP_019097944.1, XP_019083809.1
OG0001050	AL4G17170	XP_010429565.1, XP_019083499.1, XP_010472575.1
OG0001051	AL8G24040	XP_010441452.1, XP_010482308.1
OG0001052	AL8G12680	XP_010441660.1, XP_010481521.1, XP_010494740.1
OG0001052	AL7G35670	XP_010496255.1, XP_010439832.1
OG0001053	AL3G28290	XP_010465537.1, XP_010503256.1, XP_010487394.1, XP_010421709.1
OG0001053	AL1G61020	XP_010479786.1, XP_010462119.1
OG0001054	AL3G49510	XP_010516149.1, XP_010489260.1, XP_010467405.1
OG0001054	AL7G16180	XP_010447005.1, XP_010432347.1, XP_010437532.1
OG0001055	AL1G49650	XP_019094885.1, XP_019097970.1, XP_010463045.1, XP_019091514.1
OG0001055	AL1G49660	XP_010478889.1
OG0001056	AL5G36650	XP_010504408.1, XP_010516124.1, XP_010427324.1
OG0001056	AL4G37130	XP_010505648.1, XP_010517323.1, XP_010508990.1
OG0001057	AL3G41690, AL7G50560	XP_010441086.1, XP_010450776.1, XP_010435855.1, XP_010466965.1, XP_010488654.1, XP_010514215.1
OG0001058	AL7G25710	XP_010442088.1, XP_010438658.1, XP_010433406.1, XP_010448177.1, XP_019097262.1, XP_010481915.1
OG0001058	AL3G53430	XP_010489035.1, XP_010467817.1
OG0001059	AL4G33650	XP_010509358.1
OG0001059	AL3G23530	XP_010498291.1
OG0001060	AL4G14760, AL3G14910	XP_010485861.1, XP_010463964.1
OG0001060	AL2G32050	XP_010471264.1, XP_010415982.1, XP_010428118.2
OG0001062	AL3G30340	XP_010465763.1, XP_010487602.1
OG0001063	AL3G35930	XP_010488201.1, XP_010488203.1, XP_010510623.1, XP_010510614.1, XP_019096423.1, XP_010488200.1, XP_010510612.1, XP_010466437.1
OG0001063	AL3G35940	XP_019089958.1, XP_010430963.1, XP_010466442.1, XP_010510647.1, XP_010420749.2, XP_010488204.1
OG0001064	AL2G24170	XP_019093527.1, XP_010415181.1, XP_010511463.1
OG0001065	AL6G53400	XP_010426564.1, XP_010419541.1, XP_010456322.1
OG0001065	AL4G44410	XP_010508183.1, XP_010506472.1
OG0001066	AL1G26000	XP_019094205.1, XP_010495771.1, XP_010458894.1
OG0001066	AL1G25990	XP_010495763.1, XP_010458888.1, XP_010476442.1
OG0001067	AL2G30030	XP_010415746.1, XP_010427840.1, XP_010471058.1
OG0001067	AL1G37070	XP_010460117.1, XP_010498837.1
OG0001068	AL1G62000, AL667U10010	XP_010422526.1
OG0001069	AL2G14270	XP_010430204.1, XP_010473402.1, XP_010418157.1
OG0001069	AL2G14280	XP_010418158.1, XP_010430203.1
OG0001070	AL8G15230	XP_019097244.1, XP_010481693.1
OG0001070	AL8G15090	XP_010441862.1
OG0001070	AL8G15070	XP_010441859.1, XP_010481676.1
OG0001070	AL8G15080	XP_019097491.1, XP_010494491.1
OG0001071	AL1G56090	XP_010479358.1, XP_010461761.1, XP_010500465.1
OG0001071	AL1G56080	XP_010500467.1, XP_010461762.1, XP_010479359.1
OG0001071	AL1G56070	XP_010479360.1, XP_010461763.1, XP_010500468.1
OG0001072	AL1G49420	XP_010501712.1, XP_019091419.1, XP_019091665.1, XP_010496912.1, XP_010460983.1, XP_010478907.1, XP_010478906.1, XP_010478905.1, XP_010501713.1
OG0001073	nbis-gene-1760	XP_019089484.1, XP_019086577.1
OG0001073	nbis-gene-1454	XP_010437265.1, XP_019085669.1, XP_010418171.1, XP_010481211.1, XP_010481209.1, XP_010414931.1
OG0001076	AL6G42950	XP_010470626.1, XP_010468187.1
OG0001076	AL6G29360, AL6G29140	XP_019090399.1, XP_010495270.1, XP_010424159.1
OG0001077	nbis-gene-1820	XP_010439880.1, XP_010412987.2, XP_010439882.2
OG0001077	AL7G52530	XP_010450945.1, XP_010440924.1, XP_010435726.1
OG0001078	AL3G46690, AL6G49880	XP_010455020.1, XP_019090609.1, XP_019089078.1
OG0001079	AL5G35620	XP_010515990.1, XP_010427161.1, XP_010504266.1
OG0001080	AL7G40020	XP_010434409.1, XP_010434972.1, XP_010440299.1, XP_010440301.1, XP_010434973.1, XP_019089660.1
OG0001080	AL7G40050	XP_010434978.1
OG0001081	AL2G35570	XP_010416449.1, XP_010428584.1, XP_010471672.1
OG0001081	AL1G32560	XP_010498406.1, XP_010477209.1, XP_019091345.1
OG0001082	AL1G43670	XP_010460760.1, XP_010478357.1
OG0001082	AL5G26850	XP_010515066.1, XP_010426205.1, XP_010503363.1
OG0001085	AL7G35590	XP_019086804.1, XP_019088562.1, XP_010449482.1
OG0001085	AL9U10340	XP_010435287.1, XP_010440602.1, XP_010450229.1
OG0001086	AL7G42570	XP_010435212.1, XP_010450146.1, XP_010450125.1
OG0001086	AL3G38710	XP_010512939.1, XP_010466740.1, XP_010488460.1
OG0001087	AL7G39260	XP_010436553.1, XP_010436555.1, XP_010436556.1, XP_010436554.1, XP_010449869.2
OG0001087	AL3G29650	XP_010487538.1, XP_010504613.1, XP_010465696.1
OG0001088	AL4G13140	XP_019085108.1
OG0001088	AL4G13150	XP_019085107.1, XP_019093033.1, XP_010417075.2, XP_019085103.1, XP_019093864.1
OG0001089	AL5G18250	XP_010502856.1, XP_010425638.1, XP_010514564.1, XP_010430850.2
OG0001090	AL5G15810	XP_010425410.1, XP_019101816.1, XP_010502627.1, XP_010425409.1, XP_010514350.1, XP_010502630.1
OG0001090	AL5G15770	XP_010425405.1, XP_010502632.1, XP_010514347.1
OG0001091	AL1G38350	XP_010477765.1
OG0001091	AL22U10050	XP_010470995.1
OG0001092	AL8G13930	XP_010481630.1
OG0001092	AL8G13950	XP_010481629.1
OG0001092	AL378U10020, AL8G13880	XP_010494626.1, XP_010495706.1
OG0001094	AL1G60880	XP_010500869.1, XP_010462105.1, XP_010479774.1
OG0001095	AL7G36230	XP_010439890.1, XP_019082301.1
OG0001096	AL1G20180	XP_010458260.1, XP_010475804.1, XP_010490215.1
OG0001096	AL1G67420	XP_010511351.1, XP_010470318.1
OG0001097	AL5G41190	XP_010469342.1, XP_019101694.1, XP_010413712.1, XP_010469343.1, XP_010512183.1, XP_019093802.1
OG0001098	AL4G33590	XP_010509364.1, XP_010516981.1, XP_010505299.1
OG0001098	AL5G34380	XP_010515836.1, XP_010504108.1, XP_010426996.1
OG0001099	AL3G40090	XP_010513600.1, XP_010466870.1, XP_010488565.1
OG0001100	AL1G48730, AL4G27470	XP_010425898.1
OG0001101	AL4G38850	XP_010506004.1, XP_019100998.1, XP_019100579.1
OG0001101	AL4G38870, AL4G38880, AL4G38860	XP_019102054.1, XP_010505848.1
OG0001102	AL6G48250	XP_010432328.1, XP_010455777.1, XP_019089378.1, XP_010422297.1
OG0001102	AL6G48240	XP_010422298.1, XP_010455776.1, XP_010432317.1
OG0001103	AL6G38620	XP_010421531.1, XP_010455024.1, XP_010493927.1
OG0001103	AL3G16590	XP_010486058.1, XP_010464137.1, XP_010432712.1
OG0001104	AL3G15490	XP_010464019.1, XP_010423468.1, XP_010485912.1
OG0001104	AL3G15300	XP_010485885.1, XP_010420622.1
OG0001105	AL3G17670	XP_010464239.1, XP_010486178.1, XP_010442460.1
OG0001105	AL3G17690	XP_010464244.1, XP_010486179.1
OG0001105	AL3G17680	XP_019100327.1, XP_010464240.1
OG0001106	AL3G21880	XP_010464721.1, XP_010484887.1, XP_010486661.1
OG0001106	AL3G21870	XP_010464724.1, XP_010486659.1, XP_010484822.1
OG0001107	AL1G55750	XP_010500433.1, XP_010461727.1, XP_010479318.1
OG0001107	AL3G31920	XP_010489916.1, XP_010507028.1, XP_010465970.1
OG0001108	nbis-gene-274	XP_010473026.1, XP_010473038.1
OG0001108	nbis-gene-276	XP_010494163.1
OG0001109	AL7G44330, AL1G26900	XP_010476562.1, XP_010476563.1, XP_010496606.1, XP_019091395.1, XP_010496599.1, XP_010459003.1
OG0001110	AL1G33230, nbis-gene-115	XP_010498620.1, XP_010477406.2, XP_010459882.1
OG0001110	AL1G33090	XP_010498458.1, XP_010459707.2
OG0001111	AL1G54940	XP_010461648.1, XP_010500356.1, XP_010479252.1
OG0001111	AL3G30650	XP_010505557.1, XP_010465805.1, XP_010487644.1
OG0001112	AL7G37560	XP_010434708.1, XP_010440047.1
OG0001112	AL7G15210	XP_010446870.1, XP_019086864.1
OG0001115	AL5G30120, AL5G30140	XP_010426537.1, XP_010426532.1, XP_010426536.1, XP_010426534.1, XP_010426535.1, XP_010426533.1
OG0001115	AL8G13560	XP_019095848.1, XP_019097716.1, XP_019095564.1, XP_010441761.1
OG0001116	AL8G28670	XP_010482777.1, XP_010482798.1, XP_010442946.1, XP_010442964.1, XP_010482827.1, XP_010446635.1, XP_010446357.1, XP_010446646.1, XP_010446004.1, XP_019091570.1
OG0001116	AL8G29010	XP_010482799.1, XP_010442965.1
OG0001120	AL4G27610	XP_019093223.1, XP_010414021.1, XP_019101358.1
OG0001120	AL4G27600	XP_010510075.1, XP_019093820.1, XP_010414022.1
OG0001121	AL6G24060	XP_010492095.1, XP_010419921.1, XP_010453416.1
OG0001121	AL6G24050	XP_010492093.1, XP_010419920.1, XP_010453415.1
OG0001122	AL112U10010, AL8G43190	XP_019087950.1, XP_010463405.1
OG0001122	AL8G29170	XP_010474348.1
OG0001122	AL6G21060	XP_010491726.1, XP_019089840.1
OG0001123	AL6G20950	XP_010453069.1, XP_010491713.1, XP_010422840.1
OG0001123	AL8G43000	XP_010484367.1, XP_010444527.1, XP_010497733.2, XP_010463089.1
OG0001124	AL4G23750	XP_010469980.1, XP_019082569.1
OG0001124	AL4G23700, AL4G23760	XP_010414430.1, XP_010473984.2, XP_010510528.1
OG0001125	AL4G28550	XP_010469519.1, XP_010469520.1, XP_019101338.1, XP_010413919.1
