Orthogroup	Arabidopsis_lyrata_Rawat	Brassica_oleracea
OG0002798	AL4G42310	XP_013627764.1
OG0002799	AL8G10960	XP_013610859.1, XP_013616139.1
OG0002800	AL3G14060	XP_013624119.1
OG0002801	AL8G13590	XP_013594059.1
OG0002802	nbis-gene-1593	XP_013606947.1
OG0002802	AL3G15380	XP_013629908.1
OG0002803	AL6G30440	XP_013607340.1
OG0002804	AL3G17040	XP_013639784.1
OG0002805	AL6G51200	XP_013622537.1, XP_013606152.1
OG0002805	AL3G44080	XP_013611450.1
OG0002806	AL5G21320, AL3G27790	XP_013610141.1, XP_013591071.1
OG0002807	AL3G29930	XP_013622059.1
OG0002807	AL7G38960	XP_013584524.1
OG0002808	AL3G31900	XP_013585082.1, XP_013625776.1
OG0002809	AL8G37450, AL1G58630	XP_013587781.1
OG0002811	AL1G24830	XP_013603323.1
OG0002811	AL1G24810	XP_013584657.1
OG0002812	AL1G21560	XP_013615323.1
OG0002812	AL2G15780	XP_013607718.1
OG0002813	AL2G14420	XP_013591461.1
OG0002813	AL1G22580	XP_013584576.1, XP_013602679.1
OG0002814	AL1G22720	XP_013600870.1
OG0002814	AL2G14290	XP_013616673.1
OG0002815	AL2G13050, AL1G23580	XP_013612791.1, XP_013610953.1
OG0002816	AL1G23730	XP_013584852.1
OG0002817	AL1G29560	XP_013591185.1
OG0002818	AL2G32380	XP_013620245.1, XP_013591296.1
OG0002818	AL1G29790	XP_013604485.1
OG0002819	AL2G30530	XP_013590311.1
OG0002819	AL1G36620	XP_013584334.1
OG0002821	AL2G10830	XP_013610286.1, XP_013611255.1
OG0002822	AL1G56260, AL1G56180	XP_013603732.1, XP_013614777.1, XP_013585297.1, XP_013597240.1, XP_013590779.1
OG0002823	AL7G13850, AL7G13840	XP_013586084.1, XP_013596054.1, XP_013585189.1
OG0002824	AL5G11590, AL5G11570, AL8G13800, AL5G11580	XP_013593590.1, XP_013596011.1
OG0002825	AL7G15410	XP_013628091.1
OG0002825	AL7G15430	XP_013587423.1, XP_013597120.1
OG0002826	AL7G19430	XP_013595770.1, XP_013597875.1
OG0002827	AL7G17780	XP_013604664.1
OG0002827	AL3G46040	XP_013622124.1
OG0002828	AL7G20280	XP_013607802.1
OG0002829	AL6G51790	XP_013614047.1, XP_013607451.1, XP_013589740.1, XP_013605970.1, XP_013606555.1
OG0002830	AL1G54200	XP_013624392.1
OG0002831	AL4G33860, AL4G33850	XP_013584523.1
OG0002832	AL8G24290, AL8G23220, AL3G30620	XP_013615440.1
OG0002835	AL5G18590	XP_013596722.1
OG0002835	AL5G18520	XP_013594274.1, XP_013619067.1
OG0002836	AL7G15460, nbis-gene-1587	XP_013596818.1
OG0002837	AL8G27810	XP_013607063.1, XP_013622880.1, XP_013618289.1
OG0002837	nbis-gene-1768	XP_013618781.1
OG0002839	nbis-gene-1959	XP_013608005.1
OG0002845	AL6G28600	XP_013611993.1
OG0002846	AL3G10080	XP_013616427.1
OG0002846	AL6G24720	XP_013628012.1
OG0002847	AL6G24580	XP_013622382.1, XP_013605982.1, XP_013621435.1, XP_013606894.1, XP_013618287.1, XP_013617861.1
OG0002848	AL7G43090	XP_013603691.1
OG0002850	AL6G21940	XP_013608942.1
OG0002850	AL6G37140	XP_013609478.1
OG0002851	AL6G21830	XP_013591145.1
OG0002851	AL6G21820	XP_013620097.1
OG0002852	AL6G38710	XP_013606329.1, XP_013599115.1
OG0002853	AL6G18770	XP_013630258.1
OG0002854	AL4G20820, AL4G20790	XP_013636861.1, XP_013637019.1
OG0002855	AL4G22440	XP_013630868.1
OG0002856	AL1G16910	XP_013638193.1, XP_013634081.1, XP_013600211.1, XP_013600054.1
OG0002857	AL1G16070	XP_013600682.1
OG0002857	AL4G26590	XP_013625131.1, XP_013632123.1
OG0002858	AL4G27980	XP_013637271.1
OG0002858	AL1G14830	XP_013586838.1
OG0002859	AL1G14910	XP_013586069.1
OG0002860	AL4G28230	XP_013634480.1
OG0002860	AL1G14580	XP_013605932.1, XP_013604973.1
OG0002861	AL4G28850	XP_013635318.1
OG0002861	AL1G14290	XP_013603464.1, XP_013584894.1
OG0002863	AL7G27410	XP_013594042.1
OG0002863	AL7G27390	XP_013599886.1, XP_013599869.1
OG0002864	AL1G41570	XP_013613570.1
OG0002864	AL5G37210	XP_013621987.1
OG0002865	AL1G45830	XP_013584068.1
OG0002867	AL212U10010, AL4G31610	XP_013631630.1
OG0002867	AL1G46120	XP_013638740.1, XP_013599979.1
OG0002868	AL8G43630	XP_013612569.1
OG0002868	AL5G29800, AL8G14300	XP_013604271.1
OG0002869	AL8G43410	XP_013628586.1
OG0002869	AL5G29520	XP_013597701.1
OG0002870	AL8G40820	XP_013618615.1
OG0002870	AL6G19290	XP_013628582.1
OG0002871	AL8G40430	XP_013620963.1
OG0002872	AL8G38410	XP_013596935.1
OG0002872	AL8G38490	XP_013596629.1
OG0002873	AL6G32580	XP_013608347.1
OG0002873	AL6G32770	XP_013616454.1, XP_013610027.1
OG0002874	AL7G26110	XP_013598432.1, XP_013600547.1
OG0002875	AL8G30840	XP_013620796.1
OG0002875	AL7G26130	XP_013605183.1
OG0002877	AL5G33890	XP_013616748.1
OG0002878	nbis-gene-1458	XP_013608535.1
OG0002879	AL3G21580	XP_013591859.1, XP_013638643.1
OG0002880	AL7G48090	XP_013636612.1
OG0002881	AL2G41290, AL4G18200	XP_013617789.1, XP_013617791.1, XP_013590398.1, XP_013589723.1
OG0002882	AL2G24560, AL2G24400, AL2G24390, AL2G24570	XP_013619271.1
OG0002883	AL1G29220, AL7G51000	XP_013585324.1
OG0002884	AL5G29710	XP_013585726.1, XP_013602752.1
OG0002885	AL3G37360	XP_013632083.1, XP_013639706.1
OG0002886	AL4G32860	XP_013633607.1
OG0002886	AL5G34000	XP_013636895.1
OG0002887	AL7G28830	XP_013599456.1
OG0002888	AL9U11880, AL9U11820	XP_013628813.1
OG0002889	AL3G40290	XP_013594048.1
OG0002889	AL9U10770	XP_013636028.1
OG0002890	AL9U10300	XP_013637117.1
OG0002891	AL1G33940	XP_013585631.1
OG0002892	AL2G34280	XP_013619876.1
OG0002893	AL8G13120	XP_013608818.1
OG0002893	AL7G35060, AL6G32000	XP_013619725.1
OG0002894	AL4G14810	XP_013630469.1
OG0002895	AL3G28250	XP_013591773.1
OG0002895	AL1G61050	XP_013592088.1
OG0002896	AL7G27440	XP_013604182.1
OG0002897	AL3G47200, AL3G47210	XP_013600521.1, XP_013599004.1, XP_013627027.1
OG0002898	AL4G42560, AL8G10940	XP_013616404.1, XP_013619693.1, XP_013595768.1
OG0002899	AL7G16460	XP_013596718.1
OG0002899	AL3G49160	XP_013599401.1
OG0002900	AL7G30530	XP_013619262.1
OG0002900	AL6G46520	XP_013610433.1
OG0002901	AL66U10020, AL8G15260	XP_013609315.1
OG0002902	AL6G48230	XP_013610705.1, XP_013627690.1
OG0002902	nbis-gene-1804, AL3G50460	XP_013593552.1
OG0002903	AL5G31600	XP_013605278.1
OG0002903	AL8G45250	XP_013598352.1
OG0002904	AL8G45450	XP_013609087.1
OG0002904	AL5G31670	XP_013599907.1, XP_013593870.1
OG0002905	AL8G45600	XP_013612216.1
OG0002905	AL5G31900	XP_013599753.1
OG0002906	AL4G46820	XP_013629086.1
OG0002906	AL5G45070, AL2G23490	XP_013604902.1
OG0002907	nbis-gene-1410	XP_013591523.1
OG0002907	AL4G46490	XP_013613919.1, XP_013631705.1, XP_013637050.1
OG0002908	AL5G44160	XP_013635105.1, XP_013635013.1, XP_013627412.1
OG0002909	AL4G45630	XP_013630984.1, XP_013626363.1
OG0002910	AL5G43060	XP_013636212.1, XP_013604487.1
OG0002911	AL4G42670	XP_013637075.1
OG0002912	AL1G62820, AL6G40520, AL1G48760, AL5G36800	XP_013603032.1
OG0002914	AL8G28130	XP_013608640.1
OG0002914	AL7G24720	XP_013595139.1
OG0002915	AL3G43810	XP_013605330.1, XP_013605331.1, XP_013598065.1
OG0002916	AL3G51370	XP_013613277.1, XP_013593346.1
OG0002917	AL8G33340	XP_013593058.1
OG0002918	AL68U10040, AL4G34760, AL4G34780, AL68U10030, AL4G34730	XP_013623949.1
OG0002919	AL6G30680, AL6G30700, AL6G30710	XP_013619639.1, XP_013616294.1
OG0002920	AL4G44680, AL4G44690	XP_013631580.1, XP_013625592.1, XP_013623332.1
OG0002921	AL3G12860	XP_013637785.1
OG0002921	AL6G28390	XP_013629199.1
OG0002922	AL6G39750	XP_013599104.1
OG0002923	AL88U10040, AL3G16400	XP_013637758.1, XP_013636254.1
OG0002924	AL3G19360	XP_013628385.1
OG0002924	AL3G25440	XP_013628853.1
OG0002925	AL3G19960, AL3G19950	XP_013585518.1
OG0002926	AL3G21250	XP_013583553.1
OG0002927	AL3G25120, AL3G25110	XP_013583579.1, XP_013583577.1
OG0002928	AL3G27330, AL975U10010	XP_013587347.1, XP_013630597.1
OG0002929	AL3G28670	XP_013638571.1
OG0002930	AL3G28490, AL3G28480	XP_013587626.1, XP_013622651.1, XP_013589636.1
OG0002931	AL3G31230	XP_013619499.1
OG0002931	AL3G31240	XP_013609009.1
OG0002932	AL3G31360	XP_013587629.1, XP_013638931.1
OG0002933	AL3G32800	XP_013584479.1, XP_013610393.1, XP_013587589.1
OG0002936	AL3G35810	XP_013621750.1, XP_013587037.1
OG0002937	AL7G45250	XP_013634264.1
OG0002938	AL6G53070	XP_013620827.1, XP_013611305.1
OG0002938	AL1G10780	XP_013604168.1, XP_013587076.1
OG0002939	AL6G51630	XP_013609269.1
OG0002940	AL4G26340, AL163U10030	XP_013630428.1
OG0002940	AL1G16170	XP_013586792.1
OG0002941	nbis-gene-88	XP_013604681.1
OG0002942	AL1G32480	XP_013604265.1, XP_013638526.1
OG0002943	AL2G11670, AL2G11680	XP_013634251.1, XP_013609070.1, XP_013612232.1
OG0002946	AL4G13080	XP_013604842.1, XP_013629994.1
OG0002947	AL7G32210, AL7G31640	XP_013639222.1
OG0002947	AL6G48420	XP_013613285.1, XP_013622215.1
OG0002948	AL7G10910	XP_013589847.1, XP_013596488.1
OG0002949	AL5G17400	XP_013596990.1
OG0002949	AL7G11220	XP_013596655.1, XP_013598083.1
OG0002950	AL7G12800	XP_013622714.1, XP_013595874.1
OG0002951	AL7G15480, AL3G50630	XP_013598697.1, XP_013610438.1, XP_013627656.1
OG0002952	AL7G19440	XP_013618040.1
OG0002952	AL4G16970	XP_013604255.1
OG0002953	AL4G19200	XP_013626313.1
OG0002953	AL7G18330	XP_013596772.1
OG0002954	AL4G16690	XP_013602394.1
OG0002954	AL7G19730	XP_013638221.1
OG0002955	AL7G19890	XP_013602664.1
OG0002955	AL4G16490	XP_013633903.1
OG0002956	AL3G39140, AL6G30340	XP_013627961.1, XP_013619653.1, XP_013591978.1
OG0002957	AL6G51270	XP_013614808.1, XP_013614773.1
OG0002958	AL3G53770	XP_013593837.1, XP_013602717.1
OG0002958	AL7G24280	XP_013616306.1
OG0002961	AL1G64080, AL1G63810, AL1G64360	XP_013634871.1
OG0002962	AL7G12610, AL2G20220	XP_013622465.1, XP_013624788.1
OG0002963	nbis-gene-715, AL3G29940	XP_013594628.1
OG0002963	AL3G30060	XP_013601309.1
OG0002971	AL6G15340	XP_013615510.1
OG0002972	AL7G21670	XP_013593622.1
OG0002973	AL8G19000, AL3G18970	XP_013587301.1
OG0002974	AL433U10020	XP_013614407.1, XP_013588965.1
OG0002975	AL6G38780, AL6G37640, AL6G39390	XP_013637211.1, XP_013605035.1
OG0002976	AL6G27890, AL3G12530	XP_013630730.1, XP_013611196.1
OG0002977	AL6G26890	XP_013608430.1
OG0002978	AL6G24790	XP_013612994.1, XP_013629532.1
OG0002979	AL6G23940	XP_013620838.1, XP_013606484.1, XP_013623632.1
OG0002980	AL7G10750	XP_013628111.1
OG0002981	AL6G20840	XP_013613637.1
OG0002982	AL6G20240	XP_013613056.1
OG0002982	AL8G42110	XP_013610913.1
OG0002983	AL6G43360, AL7G29850	XP_013588448.1, XP_013596055.1
OG0002984	AL6G18840	XP_013627482.1
OG0002985	AL1G17300	XP_013585249.1
OG0002985	AL4G24750	XP_013635015.1
OG0002986	AL5G39380	XP_013623420.1
OG0002986	AL4G40690	XP_013632397.1
OG0002987	AL1G13570	XP_013600240.1
OG0002987	AL8G15960	XP_013611419.1
OG0002988	AL8G18200	XP_013606215.1
OG0002988	AL1G41170	XP_013593608.1
OG0002989	AL4G30740	XP_013631151.1, XP_013628491.1
OG0002990	AL1G44790	XP_013638537.1
OG0002990	AL1G44780	XP_013595510.1
OG0002992	AL8G43970	XP_013597620.1, XP_013618141.1, XP_013615072.1, XP_013612149.1, XP_013606427.1, XP_013612152.1, XP_013607152.1
OG0002994	AL8G43800	XP_013628785.1, XP_013606713.1
OG0002994	AL5G29930	XP_013595524.1
OG0002995	AL8G37520	XP_013596194.1, XP_013594118.1
OG0002996	AL6G47720, AL6G33770, AL6G33800	XP_013611964.1
OG0002997	AL8G36860	XP_013620077.1, XP_013607021.1, XP_013608321.1, XP_013628663.1
OG0002999	AL8G34150, AL8G34270	XP_013615915.1, XP_013611150.1, XP_013626250.1, XP_013621338.1
OG0003000	AL8G31800	XP_013629982.1, XP_013629983.1, XP_013611259.1
OG0003001	AL1G16370	XP_013603188.1
OG0003002	AL8G30440	XP_013628931.1
OG0003002	AL7G25880	XP_013603227.1
OG0003003	AL7G25840	XP_013617297.1, XP_013597518.1
OG0003004	AL1G20150, AL1G57770	XP_013604269.1, XP_013586208.1
OG0003005	AL6G16820	XP_013609287.1
OG0003006	AL6G50160	XP_013612696.1
OG0003008	AL3G11670	XP_013634003.1, XP_013605437.1
OG0003009	AL6G11980	XP_013610973.1
OG0003009	AL3G20770	XP_013624154.1
OG0003010	AL7G48380, AL7G48430	XP_013587771.1, XP_013634543.1
OG0003011	AL2G38150	XP_013591192.1
OG0003012	AL6G44430, AL1G26060, AL6G44410, nbis-gene-451, AL2G19860	XP_013627749.1
OG0003013	AL2G37750	XP_013590259.1
OG0003013	AL1G34970	XP_013586673.1
OG0003014	AL7G15520	XP_013630270.1
OG0003014	AL3G50590	XP_013606492.1
OG0003015	AL3G50600	XP_013623123.1
OG0003017	AL9U11070	XP_013625217.1, XP_013595428.1
OG0003018	AL3G40560	XP_013610346.1
OG0003018	AL9U10840	XP_013636029.1
OG0003019	AL7G42750	XP_013633905.1, XP_013636864.1
OG0003020	AL7G42610, AL7G42580	XP_013636702.1, XP_013605466.1
OG0003021	AL1G30840	XP_013585181.1
OG0003021	AL2G33730	XP_013591074.1
OG0003022	AL1G39660	XP_013586758.1, XP_013590180.1
OG0003022	AL2G27680	XP_013590631.1
OG0003023	AL7G22940	XP_013623855.1
OG0003024	AL1G34230, AL2G36970	XP_013620757.1, XP_013591853.1
OG0003026	AL5G17690	XP_013620540.1, XP_013606544.1
OG0003026	AL7G49880	XP_013634993.1
OG0003027	AL8G13280	XP_013615997.1, XP_013620989.1, XP_013615740.1
OG0003028	AL3G33020	XP_013636578.1
OG0003028	AL1G57460	XP_013622389.1
OG0003029	AL1G58480	XP_013588260.1
OG0003029	AL3G34290	XP_013584192.1, XP_013629829.1
OG0003030	AL1G56300	XP_013591522.1, XP_013585704.1
OG0003032	AL3G28860	XP_013609713.1
OG0003033	AL4G35210, AL4G35220	XP_013625781.1
OG0003034	AL8G23360	XP_013608389.1
OG0003035	AL7G46100	XP_013626336.1
OG0003037	AL6G48790	XP_013613086.1
OG0003039	AL5G43110	XP_013602032.1, XP_013633835.1
OG0003039	AL4G44520	XP_013637645.1
OG0003040	AL5G42670	XP_013630866.1, XP_013589971.1, XP_013630867.1
OG0003041	AL5G42350	XP_013602564.1, XP_013634663.1, XP_013591561.1, XP_013599775.1
OG0003043	AL5G39790	XP_013590078.1
OG0003044	AL5G34460	XP_013605463.1, XP_013592509.1, XP_013613513.1
OG0003045	AL125U10010	XP_013587672.1
OG0003047	AL2G26010	XP_013592362.1
OG0003048	AL2G26200	XP_013621356.1
OG0003048	AL1G40590	XP_013628729.1, XP_013597568.1
OG0003049	AL2G26670, AL2G26650	XP_013587767.1, XP_013618263.1, XP_013592707.1
OG0003050	AL7G45160	XP_013592579.1
OG0003051	AL1G40460	XP_013596953.1
OG0003051	AL7G28380	XP_013599563.1
OG0003052	AL4G10290	XP_013600677.1
OG0003052	AL7G10660	XP_013593612.1, XP_013630407.1
OG0003054	AL7G33560, AL7G33140	XP_013593541.1
OG0003055	AL6G30530	XP_013610591.1, XP_013608368.1, XP_013610730.1, XP_013615231.1
OG0003056	AL3G16830, AL6G30790	XP_013624256.1
OG0003057	nbis-gene-1581	XP_013608674.1
OG0003058	AL3G14990	XP_013625657.1, XP_013584003.1
OG0003059	AL4G47080	XP_013636808.1, XP_013632358.1
OG0003061	AL4G42750	XP_013635299.1
OG0003062	AL4G42730	XP_013627959.1, XP_013635725.1, XP_013635788.1, XP_013633466.1, XP_013633467.1, XP_013635782.1
OG0003063	AL4G40040	XP_013635560.1, XP_013635207.1, XP_013635398.1
OG0003064	AL6G40880, AL3G15610	XP_013587520.1
OG0003064	AL6G39600	XP_013598705.1
OG0003065	AL3G16140	XP_013638234.1, XP_013622264.1, XP_013601534.1
OG0003066	AL3G16430	XP_013592583.1
OG0003067	AL3G17710, AL8G23200	XP_013612496.1
OG0003069	AL3G22420, AL3G22410	XP_013627295.1, XP_013589918.1
OG0003071	AL2G26120	XP_013633320.1
OG0003072	AL3G31180	XP_013639597.1, XP_013625560.1
OG0003073	AL3G31520	XP_013586340.1
OG0003074	AL2G24290	XP_013590899.1, XP_013613999.1
OG0003075	AL6G30240	XP_013613670.1
OG0003075	AL6G30220	XP_013612763.1
OG0003076	AL6G52780	XP_013609875.1
OG0003076	AL1G10590	XP_013585837.1, XP_013600306.1
OG0003077	AL1G10740	XP_013583918.1
OG0003077	AL6G53030	XP_013611084.1
OG0003078	AL1G12160	XP_013603379.1, XP_013626895.1, XP_013603099.1, XP_013584471.1
OG0003079	AL1G12880	XP_013583732.1
OG0003080	AL4G26010	XP_013636345.1
OG0003081	AL2G15960	XP_013605799.1
OG0003081	AL1G21790	XP_013585886.1
OG0003082	AL5G10700	XP_013619192.1, XP_013609688.1
OG0003083	AL1G27040	XP_013603290.1, XP_013584180.1, XP_013603047.1
OG0003084	AL2G34690	XP_013616357.1
OG0003084	AL1G27580	XP_013585839.1
OG0003085	AL1G30940	XP_013586515.1
OG0003085	AL2G33890	XP_013604296.1
OG0003086	AL2G36280	XP_013591112.1
OG0003086	AL1G33450	XP_013603501.1
OG0003087	AL1G33670	XP_013595429.1, XP_013604083.1
OG0003088	AL1G33700	XP_013597183.1
OG0003088	AL1G33690	XP_013587710.1
OG0003089	nbis-gene-1282, AL5G21570	XP_013584686.1, XP_013596104.1
OG0003092	AL8G15040, AL8G15050	XP_013600460.1
OG0003093	AL7G14560	XP_013606732.1, XP_013596958.1, XP_013595764.1, XP_013625071.1
OG0003094	AL7G16300	XP_013622102.1
OG0003094	AL7G16290	XP_013627797.1
OG0003095	AL6G50970	XP_013611862.1
OG0003095	AL7G16310	XP_013635607.1
OG0003096	AL7G19810, AL7G19800	XP_013596785.1, XP_013594732.1, XP_013623290.1
OG0003097	AL1G38710	XP_013586201.1, XP_013604543.1
OG0003098	AL6G51930	XP_013621904.1, XP_013619475.1, XP_013590868.1, XP_013585949.1, XP_013621903.1
OG0003099	AL3G39230	XP_013615159.1
OG0003100	AL9U11480, AL2G19900, AL2G22230, AL6G41900, AL4G20700, AL7G11630, AL5G12730, AL8G21940, AL1G50720	XP_013615413.1, XP_013592780.1
OG0003101	AL3G51410, AL3G51420, AL3G51400	XP_013622571.1
OG0003102	AL7G21440	XP_013601295.1
OG0003102	AL4G14100	XP_013598587.1
OG0003103	nbis-gene-14	XP_013634487.1
OG0003104	AL4G25440	XP_013632659.1
OG0003106	nbis-gene-1091	XP_013632511.1, XP_013633398.1, XP_013628003.1
OG0003106	nbis-gene-1359	XP_013603716.1
OG0003116	AL4G13950	XP_013636248.1
OG0003116	AL7G21660	XP_013597687.1
OG0003117	AL6G29010	XP_013608592.1, XP_013621754.1
OG0003118	AL6G26850	XP_013612574.1
OG0003118	AL3G11810	XP_013622302.1
OG0003119	AL6G25710	XP_013625759.1, XP_013628575.1, XP_013606307.1
OG0003120	AL6G20850	XP_013612478.1
OG0003120	AL8G42830	XP_013612912.1
OG0003121	AL4G28370, AL4G28380	XP_013631468.1, XP_013634740.1, XP_013621855.1
OG0003122	nbis-gene-1281, AL7G27940	XP_013599156.1, XP_013609353.1
OG0003123	AL7G21020	XP_013585512.1
OG0003124	AL1G42740	XP_013621843.1
OG0003125	AL1G49280	XP_013637678.1
OG0003125	AL1G20850	XP_013638185.1
OG0003127	AL8G44680	XP_013598692.1
OG0003128	AL6G33500	XP_013625226.1, XP_013606543.1
OG0003128	AL7G45920	XP_013605210.1
OG0003129	AL8G40650, AL5G28210	XP_013612554.1, XP_013630101.1
OG0003130	AL3G51100	XP_013611847.1
OG0003130	AL8G40050	XP_013611848.1
OG0003131	AL6G17750	XP_013610491.1
OG0003131	AL653U10010	XP_013594198.1
OG0003132	AL6G35410	XP_013599450.1
OG0003133	AL2G14950	XP_013606241.1, XP_013611551.1
OG0003134	AL3G36600	XP_013585164.1, XP_013625286.1
OG0003136	AL6G33530	XP_013608340.1
OG0003136	AL6G33550	XP_013620033.1, XP_013619670.1
OG0003138	AL271U10030, AL8G26690	XP_013616676.1, XP_013626360.1
OG0003139	AL7G27120	XP_013613066.1
OG0003140	AL264U10030, AL1G35210, AL1G35230	XP_013583982.1, XP_013596529.1
OG0003141	AL3G29990	XP_013585073.1, XP_013626977.1, XP_013626721.1
OG0003142	AL6G50640, AL1G12240	XP_013616119.1, XP_013610982.1
OG0003143	AL6G50530	XP_013610597.1
OG0003143	AL6G50570	XP_013618952.1
OG0003146	AL6G14090	XP_013608534.1, XP_013592481.1, XP_013611813.1
OG0003148	AL2G11720	XP_013611383.1, XP_013612794.1, XP_013631038.1
OG0003150	AL2G41220	XP_013621497.1
OG0003150	AL1G27610	XP_013586747.1
OG0003152	AL1G28480	XP_013600228.1
OG0003153	AL2G39260	XP_013588114.1, XP_013589443.1
OG0003154	AL2G36990	XP_013588299.1
OG0003154	AL1G34250	XP_013637848.1, XP_013600485.1
OG0003156	AL5G14600	XP_013597351.1, XP_013584395.1
OG0003157	AL2G35150	XP_013587972.1
OG0003157	AL1G32220	XP_013637788.1
OG0003158	AL3G27340	XP_013592216.1
OG0003158	AL1G61660	XP_013591932.1
OG0003159	AL4G32190	XP_013634458.1, XP_013627561.1, XP_013635219.1, XP_013635148.1
OG0003160	AL4G32540, AL2G25230	XP_013626053.1, XP_013636514.1
OG0003161	AL5G24010	XP_013628717.1
OG0003162	AL3G38950	XP_013594116.1
OG0003163	AL7G41230	XP_013590267.1
OG0003163	AL3G37140	XP_013584581.1
OG0003164	AL3G35540	XP_013638428.1
OG0003164	AL7G39790	XP_013601296.1
OG0003165	AL2G33260	XP_013588343.1, XP_013616529.1
OG0003166	AL1G30630	XP_013586943.1
OG0003167	AL5G17370	XP_013595347.1, XP_013615808.1, XP_013618483.1, XP_013616401.1
OG0003168	nbis-gene-1943	XP_013634970.1
OG0003168	AL5G19090	XP_013592981.1
OG0003169	AL5G16990	XP_013598377.1
OG0003171	AL4G14820	XP_013628685.1
OG0003172	AL2G22670, AL2G22650	XP_013615516.1, XP_013615612.1, XP_013633268.1, XP_013636804.1
OG0003173	AL1G57110	XP_013590841.1
OG0003175	AL8G17810, AL1G52820	XP_013637468.1, XP_013614074.1
OG0003176	AL7G37120	XP_013597715.1, XP_013638389.1
OG0003177	AL8G25540, AL8G25530	XP_013615869.1, XP_013619601.1
OG0003178	AL8G23630	XP_013623218.1
OG0003178	AL1G26390	XP_013637689.1
OG0003179	AL7G38480	XP_013601448.1
OG0003179	AL4G31840	XP_013633852.1
OG0003180	AL7G37630, AL4G31190	XP_013599880.1, XP_013601254.1
OG0003181	AL8G45120, AL5G31360	XP_013596066.1, XP_013604625.1, XP_013587411.1
OG0003182	AL5G42770	XP_013602188.1
OG0003182	AL3G24710	XP_013592667.1
OG0003183	AL5G41860, AL4G42690	XP_013636188.1, XP_013592846.1
OG0003184	AL5G40160	XP_013591321.1
OG0003185	AL5G44650	XP_013633212.1, XP_013633697.1
OG0003186	AL5G23760	XP_013601589.1
OG0003189	AL5G36090	XP_013599987.1
OG0003190	AL4G34010	XP_013637052.1
OG0003191	AL2G26770	XP_013591704.1, XP_013618382.1
OG0003192	AL3G51020, AL6G43520	XP_013629365.1
OG0003193	AL5G38050	XP_013637505.1
OG0003194	AL100U10010, AL4G36520	XP_013634166.1, XP_013622577.1, XP_013636900.1
OG0003195	AL4G13600	XP_013635798.1
OG0003195	AL7G13940	XP_013594088.1, XP_013587371.1
OG0003196	AL4G16380	XP_013604482.1
OG0003196	AL7G20000	XP_013591527.1
OG0003198	AL3G15730	XP_013625240.1
OG0003199	AL7G24150	XP_013584034.1
OG0003200	AL6G40700	XP_013597464.1, XP_013620153.1
OG0003201	AL3G15720, AL6G39520	XP_013637007.1, XP_013630501.1
OG0003202	AL6G30310	XP_013629186.1
OG0003203	AL3G18500, AL3G18560	XP_013637974.1
OG0003206	AL3G24510	XP_013626292.1, XP_013589107.1, XP_013584086.1
OG0003207	nbis-gene-730	XP_013624364.1
OG0003208	AL3G31960	XP_013583243.1, XP_013592561.1, XP_013624242.1
OG0003210	AL7G53030	XP_013588442.1
OG0003211	AL1G14420	XP_013585969.1, XP_013604927.1
OG0003211	AL1G21030	XP_013586018.1
OG0003212	AL1G17260	XP_013591104.1, XP_013614906.1, XP_013601003.1
OG0003213	AL1G18840	XP_013600465.1
OG0003214	AL2G16650	XP_013639274.1
OG0003215	AL1G24330	XP_013601056.1, XP_013584903.1
OG0003216	AL1G24840	XP_013605689.1
OG0003217	AL5G11280, AL98U10010	XP_013595349.1
OG0003218	AL1G29530	XP_013600644.1, XP_013638400.1
OG0003219	AL1G36120	XP_013584191.1, XP_013596119.1
OG0003220	AL2G31610	XP_013590857.1
OG0003220	AL1G36180	XP_013587604.1
OG0003221	AL1G36440	XP_013585215.1
OG0003222	AL1G36480	XP_013586243.1
OG0003224	AL2G17270	XP_013607739.1
OG0003224	AL2G17210	XP_013611455.1
OG0003225	AL7G39240	XP_013596193.1
OG0003226	AL1G54490	XP_013584912.1, XP_013590751.1
OG0003228	AL746U10010, AL7G17750	XP_013596875.1
OG0003229	AL1G38980, AL1G50130	XP_013604042.1, XP_013584937.1
OG0003230	AL7G25090	XP_013600854.1
OG0003230	AL2G19600	XP_013621552.1
OG0003231	AL5G13670	XP_013596305.1
OG0003231	AL5G13530	XP_013619343.1
OG0003232	AL4G12760	XP_013624318.1
OG0003232	AL1G60350, AL3G29500, AL3G45750, AL6G50810	XP_013583357.1
OG0003233	AL7G14730, AL1G65990	XP_013598410.1, XP_013625066.1
OG0003236	AL4G12050	XP_013635155.1, XP_013600370.1
OG0003239	AL5G23980	XP_013596319.1
OG0003239	AL5G23970	XP_013629364.1
OG0003240	nbis-gene-1826	XP_013597467.1, XP_013597438.1
OG0003246	AL5G25610	XP_013629440.1, XP_013603080.1
OG0003247	AL5G25720	XP_013628916.1
OG0003247	AL8G35700	XP_013603198.1
OG0003248	AL5G27420, AL5G27410	XP_013604989.1
OG0003249	AL8G11800	XP_013616098.1
OG0003250	AL6G25960	XP_013609999.1, XP_013626748.1
OG0003250	AL3G10980	XP_013626717.1
OG0003251	AL6G24700	XP_013628017.1
OG0003252	AL6G38140	XP_013617902.1
OG0003254	AL6G20740	XP_013621877.1
OG0003255	AL6G20710	XP_013609933.1
OG0003256	AL6G20630, AL6G20600	XP_013612271.1, XP_013628481.1
OG0003257	AL6G20070	XP_013622892.1, XP_013606296.1
