Orthogroup	Arabidopsis_lyrata_Rawat	Arabidopsis_arenosa
OG0003312	AL4G43230	jg19777
OG0003313	AL3G52630	jg27701
OG0003313	AL7G16570	jg8887
OG0003314	AL3G15480	jg24405
OG0003315	AL3G16750	jg24524
OG0003315	AL6G38310	jg6541
OG0003316	AL3G17070	jg24553
OG0003316	AL6G30330	jg5749
OG0003317	AL8G21720	jg21431
OG0003318	AL3G29360	jg25708
OG0003318	AL3G27770	jg25566
OG0003319	AL3G29790	jg25760
OG0003319	AL7G39100	jg11058
OG0003320	AL1G56520, AL1G56550	jg33054
OG0003320	AL3G32270	jg26024
OG0003321	AL7G24230	jg9601
OG0003321	AL7G19320	jg9144
OG0003322	AL7G51640	jg12421
OG0003323	AL3G36500	jg26450
OG0003324	AL7G22020	jg9394
OG0003324	AL3G52930	jg28080
OG0003325	AL2G26690	jg2347
OG0003325	AL8G23210	jg21580
OG0003326	AL5G32230	jg15076
OG0003327	AL1G10890	jg28469
OG0003328	AL6G52390	jg8134
OG0003328	AL1G11110	jg28494
OG0003329	AL7G21500	jg9346
OG0003330	AL1G17450	jg29084
OG0003331	AL1G19170	jg29235
OG0003332	AL1G26300	jg29916
OG0003332	AL5G11930	jg13072
OG0003333	AL1G28020	jg30077
OG0003334	AL1G31910	jg17012, jg30458
OG0003335	AL1G33380	jg30581
OG0003335	AL1G33370	jg30580
OG0003336	AL1G36420	jg30847
OG0003336	AL2G31030	jg2768
OG0003337	AL2G30170	jg2687
OG0003337	AL1G36860	jg30881
OG0003338	AL1G38020	jg30994
OG0003338	AL2G29300	jg2610
OG0003339	AL8G44850	jg23727
OG0003339	AL8G44860	jg23728
OG0003340	AL7G37400	jg10888
OG0003340	AL8G10530	jg20294
OG0003341	AL8G15020, AL90U10020	jg20675
OG0003342	AL2G23110	jg2007
OG0003343	AL7G22930	jg9489
OG0003343	AL7G22920	jg9488
OG0003344	AL4G12130	jg16685
OG0003345	AL7G48050	jg12762
OG0003345	AL7G48070	jg12761
OG0003346	nbis-gene-816	jg288, jg134
OG0003347	AL7G15550	jg8788
OG0003349	AL1G52360	jg32624
OG0003349	AL310U10010	jg8943
OG0003350	AL4G16890	jg17126
OG0003350	AL7G19510	jg9161
OG0003351	AL2G31750	jg2841
OG0003352	AL6G52040	jg8101
OG0003352	AL1G10840	jg28464
OG0003353	AL7G25270	jg9700
OG0003354	nbis-gene-140	jg30769
OG0003354	nbis-gene-141	jg30770
OG0003355	AL1G49500, AL1G49490	jg31782
OG0003356	AL1G41370	jg31305
OG0003357	AL1G46390	jg17535
OG0003357	AL1G51920	jg7171
OG0003357	AL4G18070	jg13726
OG0003357	AL2G29160, AL5G38960, AL5G38980	jg9837, jg1718, jg13505
OG0003357	AL6G38900	jg7023, jg27975
OG0003357	nbis-gene-1247	jg21170
OG0003357	AL8G20860	jg23145
OG0003358	AL7G47240	jg14179
OG0003358	nbis-gene-1790, nbis-gene-1053	jg2211
OG0003359	AL2G19060, AL7G49440, AL9U11180, AL3G33540	jg3875
OG0003360	AL3G47040	jg27559
OG0003360	AL3G46980	jg27555
OG0003360	AL9U10040	jg11502, jg11503
OG0003360	AL9U10030	jg11501
OG0003361	AL8G27090	jg21965
OG0003361	AL4G22300	jg17729
OG0003362	AL3G46020	jg17894, jg22902, jg17892, jg17883
OG0003363	AL5G26250	jg14499
OG0003363	AL5G26260	jg14500
OG0003363	AL5G26270	jg14501
OG0003363	AL5G26240	jg14498
OG0003372	AL5G27310	jg14600
OG0003373	AL1G41430	jg31311
OG0003373	AL1G41520	jg31320
OG0003374	AL1G47090	jg31932
OG0003375	AL8G25150	jg21754
OG0003376	AL7G44410	jg11946
OG0003377	AL6G27230	jg5456
OG0003378	AL6G27120	jg5447
OG0003378	AL3G11990	jg24081
OG0003379	AL7G48160	jg12753
OG0003379	AL7G48170	jg12752
OG0003381	AL6G23000	jg5062
OG0003381	AL3G23680	jg25162, jg25160
OG0003382	nbis-gene-589	jg2710
OG0003382	AL2G30430	jg33151
OG0003382	AL1G67430	jg1292
OG0003383	AL6G21300	jg4904
OG0003384	AL7G13160	jg8574
OG0003385	AL6G18570	jg4665
OG0003386	AL6G18110	jg4617
OG0003387	AL8G24840	jg21728
OG0003387	AL7G28260	jg9981
OG0003388	AL8G24620	jg21709
OG0003388	AL7G28310	jg9984
OG0003389	AL4G27970	jg18328
OG0003389	AL4G20060	jg17520
OG0003390	AL4G25040	jg18061
OG0003391	AL8G17040	jg20899
OG0003391	AL6G41710	jg7193
OG0003392	AL8G15900	jg20781
OG0003392	AL8G15910	jg20783, jg20782
OG0003393	AL4G30860	jg18602
OG0003393	AL1G44680	jg31620
OG0003394	AL1G44690	jg31621
OG0003395	nbis-gene-632, nbis-gene-2213	jg23608
OG0003396	AL8G42060	jg23469
OG0003396	AL6G20170	jg4791
OG0003397	AL7G17940	jg9017
OG0003398	AL8G40260	jg23288
OG0003399	AL3G51140, AL8G39970	jg23256
OG0003400	AL8G39880	jg23244
OG0003400	AL5G27380	jg14612
OG0003401	AL6G35310	jg6248
OG0003402	AL6G32480	jg5957
OG0003403	AL6G33140	jg6020, jg6018
OG0003403	AL2G24610	jg2131, jg2133
OG0003404	AL8G34910	jg22778
OG0003404	AL5G26480	jg14518
OG0003405	AL8G32490	jg22548
OG0003405	AL2G30930, AL239U10010	jg2756
OG0003406	AL8G19870	jg21275
OG0003408	AL6G14640	jg4244
OG0003409	AL6G13010	jg4098
OG0003409	nbis-gene-1444	jg4097
OG0003410	AL3G20470	jg24855
OG0003410	AL6G11350	jg3943
OG0003411	AL6G10480	jg3858
OG0003412	AL3G19840	jg24798
OG0003412	AL6G10260	jg3838
OG0003413	AL3G23980	jg25189
OG0003414	AL2G39350	jg3578
OG0003415	AL7G11100	jg8386
OG0003416	AL2G36660	jg3315
OG0003417	AL1G63740	jg33740
OG0003418	AL3G26780	jg25454
OG0003418	AL1G62330	jg33593
OG0003419	AL1G61950	jg33552
OG0003419	AL1G61940	jg33551, jg2920
OG0003420	AL4G32720	jg18789
OG0003421	AL3G38530	jg26626
OG0003421	AL7G42230	jg11371
OG0003422	AL4G13170	jg16785
OG0003422	AL7G13570	jg8608
OG0003423	AL2G33500	jg3012
OG0003423	AL7G17070	jg8935
OG0003424	AL5G18120	jg13619
OG0003424	AL5G18110	jg13618
OG0003425	AL2G28600	jg2532
OG0003425	AL1G38970	jg31081
OG0003426	AL8G12270	jg20451
OG0003426	AL7G35990	jg10756
OG0003427	AL1G59780	jg33341
OG0003427	AL1G59730	jg33339
OG0003428	AL1G59770	jg33340
OG0003428	AL3G35370	jg26320
OG0003429	AL1G61250	jg33487
OG0003429	AL3G53880	jg28300
OG0003430	nbis-gene-1251	jg13705
OG0003431	AL7G35570	jg10719
OG0003431	AL7G35560	jg10718
OG0003432	AL7G35690	jg10733
OG0003432	AL5G33410	jg15185
OG0003433	AL5G30890	jg14943
OG0003434	AL8G25630	jg21797
OG0003434	AL8G25670	jg21808
OG0003435	AL1G51940	jg32508
OG0003435	AL1G52040	jg21785, jg32509
OG0003437	AL7G34090	jg11643
OG0003438	AL8G15320	jg20707
OG0003438	AL7G33430	jg10508
OG0003439	AL3G21950	jg24992
OG0003439	AL3G22350	jg25026
OG0003439	AL4G14330	jg16888
OG0003440	AL7G31970	jg10364
OG0003441	AL7G44820	jg12000
OG0003441	AL1G49060	jg32135
OG0003442	AL4G43550	jg19808
OG0003443	AL4G41200	jg19580
OG0003443	AL5G40420	jg15893
OG0003444	AL4G39500	jg19427
OG0003445	AL5G38460	jg15683
OG0003446	AL4G37970	jg19275
OG0003447	AL3G42760	jg27033
OG0003447	AL5G33790	jg15224
OG0003448	AL3G39820	jg26745
OG0003448	AL4G17820	jg17213
OG0003449	AL7G14320	jg8668
OG0003450	AL4G11920	jg16669
OG0003451	AL3G54010	jg28315
OG0003452	AL6G43400	jg7292
OG0003452	AL1G48590	jg32087
OG0003453	AL5G30070, AL6G40800	jg6824
OG0003453	AL4G46990	jg20155
OG0003454	AL4G46930	jg20149
OG0003454	AL3G49500	jg27772
OG0003455	AL4G44960	jg19974
OG0003456	AL4G43870, AL364U10030	jg19839
OG0003457	AL5G41980	jg16036
OG0003458	AL4G42780	jg19738
OG0003460	AL3G17200	jg24561
OG0003460	AL3G17220	jg24563
OG0003461	AL3G17740	jg24613
OG0003462	AL3G20090	jg24824
OG0003462	AL3G20300	jg24842
OG0003463	AL5G11970	jg13075
OG0003463	AL3G23010	jg25099
OG0003464	AL3G23520	jg25145
OG0003465	AL3G27280, AL3G25540	jg25515, jg25345
OG0003466	AL3G25750	jg25364
OG0003466	AL3G25760	jg25365
OG0003467	AL3G28520	jg25631
OG0003468	AL7G28870	jg10044
OG0003468	AL7G28860	jg10043
OG0003469	AL7G21230	jg9312
OG0003470	AL1G19360	jg29253
OG0003471	AL1G18400	jg29166
OG0003471	AL1G18390	jg29165
OG0003472	AL1G20040	jg29317
OG0003473	AL1G20580	jg29372
OG0003473	AL2G17890	jg1157, jg1159
OG0003474	AL1G20910	jg29399
OG0003475	AL2G12700	jg605
OG0003475	AL1G23810	jg29689
OG0003476	AL1G24550	jg29749
OG0003476	AL5G15480	jg13353
OG0003477	AL1G48800	jg32102
OG0003477	AL1G26610	jg29945
OG0003478	AL2G16480	jg986
OG0003479	AL1G29930	jg30286
OG0003479	AL7G49920	jg12612
OG0003480	AL3G42280	jg26984
OG0003480	nbis-gene-2095	jg21877
OG0003481	AL8G11080	jg20342
OG0003481	AL7G37540	jg10901
OG0003482	AL3G53130	jg28059
OG0003482	AL7G38810	jg11028
OG0003483	AL355U10020, nbis-gene-1167	jg20031
OG0003483	AL4G45560	jg20030
OG0003484	AL7G10290	jg8305, jg8298
OG0003484	AL7G24500	jg9626
OG0003485	AL7G13210	jg8578
OG0003485	AL7G13200	jg8577
OG0003486	AL7G15290	jg8760
OG0003487	AL7G16600	jg8890
OG0003488	AL4G14490	jg16896
OG0003488	AL7G21140	jg9305
OG0003490	AL1G36810	jg30876
OG0003490	nbis-gene-1642	jg7529
OG0003490	nbis-gene-1641	jg7527
OG0003491	AL2G28810	jg2554
OG0003491	AL1G38730	jg31056
OG0003492	AL3G51230, AL3G46760, AL1G58120	jg17104, jg16425, jg27818, jg1491, jg6971
OG0003492	AL5G20080, AL9U11550	jg13938, jg11851, jg17382
OG0003492	AL5G11870	jg32063, jg13939, jg1563
OG0003494	AL1G63660	jg33722
OG0003495	AL2G20010	jg1824, jg1708
OG0003495	AL2G20200	jg1850
OG0003495	AL2G20070	jg1827
OG0003495	AL6G40220	jg1825
OG0003495	AL2G20030	jg1709
OG0003496	AL2G25100	jg2182
OG0003496	AL2G25070	jg2178
OG0003497	AL2G25780, AL2G25790	jg2248
OG0003497	AL2G26510	jg2322
OG0003498	AL6G52880	jg8185
OG0003499	AL2G22350, AL5G23570	jg17501
OG0003500	AL5G22770	jg14188
OG0003500	AL5G22840	jg14199
OG0003501	nbis-gene-1562	jg6271
OG0003501	AL6G35620	jg6274
OG0003502	AL8G27140	jg21972
OG0003512	AL4G19430	jg17379
OG0003512	AL4G19450	jg17380
OG0003513	AL5G26000	jg14486
OG0003514	AL6G27900	jg5519
OG0003515	AL6G26760	jg5414, jg18792
OG0003516	AL6G22130	jg4979
OG0003517	AL3G33220	jg26123
OG0003518	AL6G19240	jg4709
OG0003518	AL5G33000	jg15145
OG0003519	AL8G38080	jg23085
OG0003520	AL6G17950	jg4607
OG0003520	AL3G21620	jg24963
OG0003521	AL4G21200	jg17631
OG0003521	AL1G53070	jg32718
OG0003521	AL4G21190	jg17630
OG0003522	AL4G22650	jg17694
OG0003522	AL4G22670	jg17692
OG0003523	AL4G21740	jg17795
OG0003525	AL4G25280, AL136U10020	jg18084
OG0003526	AL4G26530, AL2G35340	jg3196
OG0003527	AL4G26650	jg18201
OG0003528	AL4G26840	jg18221
OG0003529	AL4G27630	jg18296
OG0003530	AL1G13830	jg28740
OG0003532	AL1G44970	jg31651
OG0003533	AL74U10010	jg7618
OG0003533	AL8G22110	jg21470
OG0003533	AL8G44260	jg23673
OG0003534	AL8G44020	jg23649
OG0003535	AL6G20960	jg4875
OG0003535	AL8G43010	jg23557
OG0003536	AL8G39020	jg23170
OG0003537	AL8G38580	jg23129
OG0003538	AL3G41810	jg26913
OG0003538	AL6G37550	jg6452
OG0003539	AL2G27820	jg2464
OG0003539	AL6G33300	jg6037
OG0003540	AL6G34110	jg6133
OG0003541	AL8G37090	jg22989
OG0003541	AL8G37100	jg22990
OG0003542	AL2G33600	jg3020
OG0003542	AL6G43100	jg7261
OG0003543	AL8G35960	jg22882
OG0003543	AL8G35970	jg22883
OG0003544	AL8G35820	jg22871
OG0003545	AL8G34390	jg22735
OG0003546	AL8G33840	jg22682
OG0003548	AL8G31210	jg22399
OG0003549	AL6G17430	jg4551
OG0003550	AL6G15910	jg4353
OG0003551	AL6G15010	jg4272
OG0003552	AL6G42620	jg7180
OG0003552	AL3G48780	jg28131
OG0003553	AL6G12050	jg4012
OG0003554	AL5G16870	jg13491
OG0003554	AL7G49260	jg12668
OG0003555	AL2G39440	jg3586
OG0003555	AL1G47190	jg31942
OG0003556	AL1G35880	jg30803
OG0003557	AL3G50130	jg27851
OG0003558	AL1G57220	jg33103
OG0003559	AL7G41840	jg11336
OG0003560	AL7G41570	jg11307
OG0003561	AL8G25460	jg21780
OG0003561	AL8G25480, AL268U10010, AL8G25450	jg21782
OG0003562	AL6G39190	jg6620
OG0003562	AL7G39490	jg11106
OG0003563	AL2G33060	jg2969
OG0003564	AL1G31510	jg30421
OG0003565	AL5G14340	jg13240
OG0003565	AL5G14330	jg13238
OG0003566	AL2G28650	jg2536
OG0003567	AL8G13020	jg20519
OG0003567	AL8G13030	jg20520
OG0003568	AL8G17920	jg20988
OG0003568	AL1G66580	jg20989, jg1356
OG0003569	AL2G33390	jg3002
OG0003571	AL7G33290	jg10488
OG0003572	AL7G34280	jg10600
OG0003573	AL7G38440	jg10991
OG0003574	AL5G32480	jg15101
OG0003575	AL5G45730	jg16364
OG0003575	AL39U10030, AL4G47450	jg20202
OG0003576	AL2G23480	jg16302
OG0003577	AL4G46560	jg20113
OG0003577	AL5G44960	jg16292
OG0003578	AL6G15510	jg4319
OG0003578	AL5G44050	jg16221
OG0003579	AL2G22100	jg1905
OG0003579	AL5G43050	jg16132
OG0003580	AL5G37470	jg15584
OG0003580	AL5G40250	jg15875
OG0003581	AL5G39800	jg15831
OG0003581	AL4G40790	jg19541
OG0003582	AL4G40250	jg19486
OG0003583	AL5G36240	jg15450
OG0003584	AL5G21410, AL5G34180	jg15259
OG0003585	AL8G28460	jg22102
OG0003586	AL7G52790	jg12308
OG0003586	AL2G24900	jg2164
OG0003587	AL5G37300	jg15571
OG0003587	AL4G37960	jg19274
OG0003588	AL4G41500	jg19611
OG0003589	AL5G32090	jg15050
OG0003589	AL4G35770	jg19033
OG0003590	AL4G34700	jg18940
OG0003591	AL4G29720	jg18499
OG0003591	AL6G12870	jg4086
OG0003592	AL4G18850	jg17313
OG0003592	AL5G21960	jg14082
OG0003593	AL1G48460	jg32072
OG0003594	AL6G45780	jg7591, jg7504
OG0003594	AL6G45770	jg7503
OG0003595	AL6G38480	jg6552
OG0003595	AL1G54410	jg32867, jg32854
OG0003596	AL6G39870	jg6689
OG0003597	AL1G13720	jg28730
OG0003598	AL8G29180	jg22185
OG0003599	AL6G29470	jg5669
OG0003599	AL3G13950	jg24266
OG0003600	AL3G17080	jg24554
OG0003600	nbis-gene-1518	jg5305
OG0003600	AL3G17020	jg24548
OG0003601	AL3G24300	jg25218
OG0003602	AL3G28050	jg25594
OG0003603	AL1G60430	jg33410
OG0003604	AL4G14630	jg16905
OG0003604	AL7G21070	jg9299
OG0003605	AL3G34460	jg26219
OG0003605	AL3G34450	jg26218
OG0003606	AL1G58850	jg33248
OG0003606	AL3G34530	jg26225
OG0003607	AL7G41980	jg11349
OG0003608	AL7G41870	jg11341
OG0003608	AL3G37950	jg26582
OG0003609	AL5G11210	jg13015
OG0003609	AL5G11200	jg13014
OG0003610	AL1G64960	jg1540
OG0003611	AL1G65310	jg1500
OG0003612	AL5G33080	jg15153
OG0003613	AL1G36590	jg30863
OG0003613	AL1G10800	jg28461
OG0003614	AL1G12360	jg28606
OG0003614	AL1G12370	jg28607
OG0003615	AL1G15560	jg28907
OG0003616	AL1G16040	jg28957
OG0003617	AL1G16310	jg28982
OG0003617	AL1G16320	jg28983
OG0003618	AL1G18720	jg29193
OG0003619	AL1G20790, AL1G47570, AL1G47560, AL1G20660	jg29387
OG0003620	AL2G16960	jg1020
OG0003622	AL1G22110	jg29522
OG0003623	AL1G23470	jg29663
OG0003623	AL2G13290	jg664
OG0003624	AL1G26840	jg29967
OG0003625	AL1G28770	jg30144
OG0003625	AL2G39560	jg3597
OG0003626	AL1G29230	jg30227
OG0003627	AL1G33710	jg30616
OG0003628	AL8G14810	jg20663
OG0003629	AL5G22860, AL7G17190	jg8948
OG0003629	AL7G17200	jg14197
OG0003630	AL7G18660	jg9086
OG0003630	AL4G18230	jg17241
OG0003631	AL5G22610	jg14162, jg14164, jg14163
OG0003631	AL7G17670	jg8991
OG0003632	AL4G16790	jg17106
OG0003632	AL7G19680	jg9181
OG0003633	AL1G38010	jg30993
OG0003634	AL6G52820	jg8178
OG0003635	nbis-gene-42	jg28973
OG0003635	AL4G26240	jg18161
OG0003637	AL4G22700	jg17689
OG0003637	AL1G37360	jg30931
OG0003637	AL1G37380	jg30932
OG0003638	nbis-gene-672	jg24651
OG0003639	AL8G24770	jg21722
OG0003639	AL8G24750	jg21720
OG0003639	AL3G46350	jg27493
OG0003639	AL8G24730	jg21718
OG0003640	AL8G40710	jg23332
OG0003640	AL8G40720	jg23333
OG0003640	AL4G15580	jg16993, jg17276
OG0003641	AL4G21510	jg17666
OG0003642	AL5G29230	jg14801, jg14803, jg14787
OG0003642	AL5G29210	jg14789
OG0003645	nbis-gene-1801	jg10329
OG0003646	AL8G26400	jg21889
OG0003656	AL5G27830	jg14658
OG0003656	AL5G27840	jg14659
OG0003658	AL8G13320, AL7G35020	jg10672
OG0003659	AL3G11320	jg24013
OG0003659	AL6G26380	jg5378
OG0003660	AL7G31260	jg10296
OG0003661	AL6G22680	jg5031
OG0003662	AL6G22340	jg4994
OG0003664	AL6G20060	jg4780
OG0003665	nbis-gene-687	jg25021
OG0003666	AL1G17000	jg29048
OG0003666	AL4G25110	jg18067
OG0003668	AL7G27530	jg9909
OG0003669	AL1G42780	jg31416
OG0003670	AL6G34880	jg6208
OG0003671	AL6G36270	jg6335
OG0003671	AL6G36260	jg6333
OG0003672	AL6G37600	jg6456
OG0003673	AL6G32570	jg5967
OG0003673	AL5G21610	jg14042
OG0003674	AL5G22290	jg14134
OG0003674	AL6G33200	jg6029
OG0003675	AL8G37010	jg22982
OG0003676	AL8G36620	jg22942
OG0003677	AL4G30170	jg18525
OG0003677	AL4G30150	jg18523
OG0003677	AL4G30160	jg18524
OG0003678	AL7G26570	jg9817
OG0003679	AL8G31120	jg22391
OG0003680	AL5G29420	jg14813
OG0003680	AL5G29410	jg14812
OG0003681	AL5G28120	jg14684
OG0003682	nbis-gene-1492	jg4717
OG0003682	AL6G50720	jg7978
OG0003683	AL6G10880	jg3898
OG0003684	AL5G16940	jg13508
OG0003685	AL1G18110	jg21255, jg21250, jg21261, jg21266, jg29140
OG0003686	AL7G47190	jg12847
OG0003686	AL2G10120	jg367
OG0003688	AL2G22300	jg1919
OG0003688	AL8G25550	jg21789
OG0003689	AL2G40970, AL6G52910	jg3717
OG0003690	nbis-gene-1592	jg6696
OG0003691	AL2G34930	jg3157, jg3155
OG0003692	AL1G64320	jg33796
OG0003693	AL1G61490	jg33516
OG0003693	AL3G27700	jg25555
OG0003694	AL8G24230	jg21674
OG0003695	AL7G39800	jg11140
OG0003696	AL7G24040	jg9581
OG0003697	AL7G23610	jg9544
OG0003698	AL5G17640	jg13575
OG0003698	AL7G49820	jg12621
OG0003699	AL6G52210	jg8116
OG0003700	AL8G12250	jg20449
OG0003701	AL3G30840	jg25879
OG0003701	AL3G30820	jg25877
OG0003702	AL4G42420	jg19700
OG0003703	nbis-gene-1992	jg20627
OG0003704	AL1G58810, AL1G58840	jg33247
OG0003704	AL1G58160	jg33186
OG0003705	AL3G30480	jg26596, jg26783, jg26781
OG0003706	AL1G26870	jg29970
OG0003707	AL3G35320	jg26315
OG0003707	AL1G59650	jg33330
OG0003708	AL878U10010, AL3G46580	jg27518
OG0003709	AL4G29340	jg18465
OG0003709	AL1G51390	jg32474
OG0003710	AL4G31940	jg18716
OG0003710	AL4G31930	jg18715
OG0003711	AL3G40870, AL5G36010	jg15427
OG0003712	AL8G44880	jg23730
OG0003713	AL2G23500, AL5G45060	jg16300
OG0003714	AL4G46050	jg20068
OG0003715	AL1G53560, AL5G43630	jg16188
OG0003716	AL5G43400	jg16167
OG0003717	AL5G41040	jg15957
OG0003718	AL8G10870	jg20332, jg31018
OG0003718	AL5G37060	jg15534
OG0003719	AL4G37250	jg19199
OG0003721	AL1G40440	jg31225
OG0003722	AL3G46120	jg27478
OG0003722	AL3G51840	jg28012
OG0003723	AL3G52920	jg28081
OG0003723	AL5G14080	jg13217
OG0003724	AL3G52860	jg28089
OG0003724	AL3G52870	jg28088
OG0003725	AL1G54170, AL3G52820	jg28093
OG0003726	AL7G22410	jg9435
OG0003727	AL7G45710	jg12145
OG0003728	AL4G13070	jg16770
OG0003728	AL4G13090	jg16774
OG0003728	AL4G13110	jg16775
OG0003730	AL6G39160	jg6615
OG0003731	AL4G38180	jg19292
OG0003733	AL4G42940	jg19752
OG0003734	AL4G42810	jg19742
OG0003735	AL4G42650	jg19725
OG0003736	AL3G17290	jg24569
OG0003737	AL3G18900	jg24711
OG0003738	AL3G19430	jg24762
OG0003739	AL3G26360	jg25421
OG0003739	AL3G26380	jg25422
OG0003740	AL3G26880	jg25464
OG0003742	AL3G31290	jg25933
OG0003742	AL4G11350	jg16629
OG0003743	AL451U10010, AL3G31880	jg25988
OG0003744	AL3G35880	jg26377
OG0003745	AL5G32260	jg15079
OG0003746	AL1G12610	jg28630
OG0003747	AL1G15580	jg28912
OG0003747	AL1G15590	jg28913
OG0003748	AL1G17590	jg29097
OG0003749	AL2G40490	jg3670
OG0003749	AL1G28160	jg30091
OG0003750	AL1G29120	jg30216
OG0003751	AL1G29590	jg30258
OG0003752	AL2G30860	jg2749
OG0003753	AL2G30100	jg2681
OG0003754	AL3G43930	jg27212
OG0003754	AL7G44130	jg11921
OG0003755	AL2G10280	jg378
OG0003755	AL7G47120	jg12856
OG0003756	AL7G33170	jg10475
OG0003756	AL8G15580	jg20751
OG0003757	AL8G32340, AL1G54730	jg32892
OG0003758	AL3G31300, AL814U10010	jg25934
OG0003758	AL5G17190	jg13532
OG0003759	AL1G56280, AL1G56190	jg33036, jg33031
OG0003760	AL7G10420	jg8317
OG0003760	AL7G10430	jg8318
OG0003761	AL7G11780	jg8460, jg8453, jg8446, jg8433
OG0003762	AL7G11840	jg8463
OG0003763	AL4G11980	jg16674
OG0003763	AL7G12460	jg8517
OG0003764	AL7G14400	jg8673
OG0003765	AL7G27110	jg9870
OG0003767	AL6G52030	jg8100
OG0003767	AL6G52670	jg8162
OG0003768	AL7G24360	jg9612
OG0003769	AL1G44590	jg31612
OG0003770	AL1G48550	jg32077
OG0003771	AL8G20310	jg24031
OG0003771	AL4G12490, AL4G12510	jg32173
OG0003772	AL7G46300	jg12205
OG0003774	AL4G25740	jg18131
OG0003775	AL4G33320	jg18845
OG0003775	AL4G33400	jg18844, jg18851
OG0003775	AL4G34490, AL4G34570, AL4G34290	jg18927
OG0003776	AL7G38460	jg10994
OG0003777	AL7G39590	jg11119
OG0003791	AL6G28330	jg5554
OG0003791	AL6G28350	jg5555
OG0003792	AL6G26980	jg5435
OG0003793	AL6G24230	jg5173
OG0003794	AL3G26740	jg25451
OG0003794	AL6G22640	jg5026
OG0003795	AL6G21260	jg4901
OG0003796	AL6G20160	jg4790
OG0003797	AL6G18800	jg4684
OG0003797	AL6G34640	jg6186
OG0003798	AL7G28360	jg9989
OG0003800	AL283U10030, AL4G25850	jg18141
OG0003801	AL1G15680	jg28924
OG0003801	AL4G26950	jg18232
OG0003802	AL80U10090, AL4G27330	jg18265
OG0003803	AL4G29120	jg18443
OG0003804	AL8G25740	jg21814
OG0003804	AL7G27910	jg9946
OG0003805	AL6G41500	jg7217
OG0003805	AL7G50490	jg12555
OG0003806	AL4G31670	jg18690
OG0003806	AL1G49410	jg31788
OG0003808	AL8G44200	jg23666
OG0003808	AL8G44190	jg23665
OG0003809	AL8G40850	jg23347
OG0003810	AL5G27740	jg14647
OG0003810	AL8G40240	jg23286
OG0003811	AL8G39510	jg23214
OG0003812	AL1G60620	jg33427
OG0003813	AL6G53500	jg8245
OG0003813	AL8G42840	jg23539
OG0003814	AL6G34700, AL6G30600	jg6192, jg5775
OG0003815	AL6G22200	jg4985
OG0003816	AL6G33060	jg6011
OG0003817	AL8G37280	jg23009
OG0003818	AL8G34090	jg22703
OG0003819	AL7G26410	jg9800
OG0003820	AL8G31020	jg22382
OG0003821	AL8G30570	jg22331
OG0003822	AL8G29630	jg22223
OG0003823	AL6G17350	jg4543
OG0003824	AL6G16130	jg4378
OG0003825	AL5G21520	jg14032
OG0003825	AL5G21420	jg14023
OG0003826	AL8G22790	jg21541
OG0003827	AL6G13980	jg4185
OG0003828	AL7G14890	jg8714
OG0003829	AL7G48240	jg12746
OG0003830	AL2G39320	jg3574
OG0003831	AL2G38690, AL2G38720	jg3511
OG0003832	nbis-gene-1205	jg13206
OG0003834	AL1G43430	jg31487, jg31492
OG0003834	AL1G63070	jg33665
OG0003835	AL5G24390	jg14351
OG0003836	AL5G24270	jg14339
OG0003837	AL9U11810	jg11675
OG0003838	AL7G40150	jg11174
OG0003839	AL7G39660	jg11127
OG0003840	AL1G30950	jg30374
OG0003840	nbis-gene-598	jg3054, jg3051
OG0003841	AL2G28340	jg2504
OG0003842	AL1G38650	jg31049
OG0003842	nbis-gene-568	jg2567
OG0003843	AL1G58200	jg33189, jg33191
OG0003844	AL3G34130	jg26198
OG0003844	AL1G58390	jg33207
OG0003845	AL4G15890	jg17021
OG0003845	AL4G15770	jg17009
OG0003846	AL5G18880	jg13706
OG0003848	AL5G30830	jg14936
OG0003849	AL7G29660	jg10125
OG0003850	AL7G30030	jg10160
OG0003851	AL3G32650	jg26062
OG0003852	AL3G10540	jg23934
OG0003852	AL1G28720	jg30140
OG0003853	AL5G44250	jg16235
OG0003854	AL1G55650	jg32970
OG0003854	AL4G44400	jg19923
OG0003855	AL5G41160	jg15971
OG0003856	AL5G39820	jg15833
OG0003857	AL5G39640	jg15818
OG0003858	AL5G39630	jg15817
OG0003859	AL5G35050	jg15340
OG0003860	AL5G10450	jg12935
OG0003861	AL9U12210	jg11711
OG0003861	AL3G41980	jg26940
OG0003862	AL3G39800	jg26742
OG0003863	AL2G27230	jg2401, jg1734
OG0003865	AL4G33680	jg18879
OG0003866	AL4G33130	jg18831
OG0003867	AL4G12000	jg16675
OG0003868	AL2G26170, AL2G26160, AL1G52210	jg2288, jg32606
OG0003869	AL1G48170	jg32035
OG0003870	AL1G48090	jg32023
OG0003870	AL6G43850	jg7343
OG0003871	AL2G11840	jg539
OG0003872	AL6G45870	jg7509
OG0003873	AL3G53520	jg28270
OG0003873	AL4G32160	jg18739
OG0003874	AL181U10040, AL4G46330	jg20092
OG0003875	AL5G17750	jg13590
OG0003875	AL4G42490	jg19708
OG0003876	AL1G64650	jg1585
OG0003876	AL4G41050	jg19567
OG0003877	nbis-gene-1143	jg19489
OG0003878	AL4G39590	jg19436
OG0003878	AL3G43260	jg27089
OG0003879	AL3G12410	jg24121
