Orthogroup	Arabidopsis_lyrata_Rawat	Brassica_rapa
OG0002770	AL8G10580	XP_009101423.2
OG0002770	AL7G37370	XP_009144590.1
OG0002771	AL8G44340	XP_009103462.1
OG0002772	AL4G34930	XP_009141702.1, XP_018514348.1
OG0002772	AL5G35070	XP_009103901.1
OG0002773	AL7G30950	XP_009136044.2
OG0002775	AL6G25460	XP_033137828.1
OG0002775	AL3G10640	XP_009147440.1
OG0002776	AL4G47000	XP_009142535.1
OG0002776	AL5G45320	XP_009116918.2
OG0002777	AL4G43920	XP_009133690.1
OG0002777	AL5G42540	XP_009116713.1, XP_009138843.1
OG0002778	AL5G41460	XP_033135970.1
OG0002778	AL4G42150	XP_009142931.1
OG0002779	AL4G38540	XP_009133448.1
OG0002779	AL5G37710	XP_018510027.1
OG0002780	AL5G36110	XP_009103947.1
OG0002780	AL5G36120	XP_009116198.1
OG0002781	AL3G26550	XP_009146388.1
OG0002782	AL5G34300	XP_009116031.3, XP_033145904.1
OG0002783	AL5G33960	XP_033128325.1, XP_033146025.1, XP_018515098.1
OG0002784	AL3G42800	XP_009136167.1
OG0002785	AL3G39710	XP_033144200.1
OG0002786	AL3G52080	XP_009102227.1, XP_033146356.1, XP_009150722.1, XP_009112557.1
OG0002788	AL5G11000	XP_009101297.1
OG0002788	AL1G26710	XP_033133796.1
OG0002789	AL3G48670	XP_009102151.1
OG0002790	AL4G36760	XP_009141804.2
OG0002790	AL4G36780	XP_009141805.1, XP_009133363.1
OG0002791	AL7G11020	XP_009150026.2, XP_009109502.1
OG0002791	AL4G10610	XP_009140277.1
OG0002793	AL2G31410	XP_009105842.2, XP_009104891.1
OG0002794	AL5G11320	XP_009145898.2
OG0002795	AL6G38670	XP_009151162.1, XP_009111720.1
OG0002796	AL3G15740	XP_018512998.1
OG0002797	AL5G41840	XP_009133635.2, XP_009142961.1, XP_009104224.1
OG0002798	AL1G53780	XP_009142953.2
OG0002798	AL4G42310	XP_033142841.1, XP_033142840.1, XP_009133612.1, XP_009133607.1
OG0002799	AL8G10960	XP_009114296.1, XP_009128942.1
OG0002800	AL3G14060	XP_009135968.1
OG0002802	nbis-gene-1593	XP_009111932.1
OG0002802	AL3G15380	XP_009134806.1
OG0002803	AL6G30440	XP_009120923.1
OG0002804	AL3G17040	XP_009124936.1
OG0002805	AL6G51200	XP_009134452.1, XP_009111324.1
OG0002805	AL3G44080	XP_009112390.1
OG0002806	AL5G21320, AL3G27790	XP_009115615.1
OG0002807	AL3G29930	XP_009135507.1
OG0002807	AL7G38960	XP_009146394.1
OG0002808	AL3G31900	XP_009112621.1, XP_009145879.1, XP_009135585.1
OG0002809	AL8G37450, AL1G58630	XP_009144936.1, XP_009147796.1
OG0002810	AL7G41690	XP_033146653.1
OG0002811	AL1G24830	XP_009110599.1
OG0002811	AL1G24810	XP_009148786.1
OG0002812	AL1G21560	XP_009148412.1
OG0002812	AL2G15780	XP_009113184.1
OG0002813	AL2G14420	XP_009105127.1
OG0002813	AL1G22580	XP_009148482.1, XP_009110723.1
OG0002814	AL1G22720	XP_033136604.1
OG0002814	AL2G14290	XP_009105258.1
OG0002815	AL2G13050, AL1G23580	XP_009112702.1, XP_009113054.1
OG0002818	AL2G32380	XP_018512273.2, XP_009105932.1
OG0002818	AL1G29790	XP_033134650.1
OG0002819	AL2G30530	XP_009105761.2
OG0002819	AL1G36620	XP_033134604.1
OG0002820	nbis-gene-1761	XP_018509447.1, XP_018513022.1
OG0002821	AL2G10830	XP_009112811.1, XP_009112894.1
OG0002822	AL1G56260, AL1G56180	XP_009107309.1, XP_009102051.1, XP_009147907.1
OG0002823	AL7G13850, AL7G13840	XP_009139351.1, XP_009138466.1, XP_009139287.1
OG0002824	AL5G11590, AL5G11570, AL8G13800, AL5G11580	XP_009101263.2
OG0002825	AL7G15430	XP_009151156.2
OG0002826	AL7G19430	XP_009126053.1, XP_009138081.2
OG0002827	AL7G17780	XP_009120274.1
OG0002827	AL3G46040	XP_009136242.1
OG0002828	AL7G20280	XP_009126691.1
OG0002829	AL6G51790	XP_033141057.1, XP_009111357.1
OG0002830	AL1G54200	XP_033129210.1
OG0002831	AL4G33860, AL4G33850	XP_009119220.1
OG0002831	AL2G12200	XP_009112730.1
OG0002832	AL8G24290, AL8G23220, AL3G30620	XP_009136038.1, XP_009135552.2
OG0002833	AL3G47880	XP_009112644.1
OG0002833	nbis-gene-1749	XP_018509452.1
OG0002835	AL5G18590	XP_009151841.1
OG0002835	AL5G18520	XP_009151844.2, XP_033140732.1
OG0002836	AL7G15460, nbis-gene-1587	XP_033144047.1
OG0002837	AL8G27810	XP_009119857.1, XP_009132498.1, XP_033141806.1
OG0002837	nbis-gene-1768	XP_009144044.1
OG0002839	nbis-gene-1959	XP_033128457.1, XP_033143695.1, XP_033134850.1
OG0002845	AL6G28600	XP_033138426.1
OG0002846	AL3G10080	XP_009127042.1
OG0002846	AL6G24720	XP_033143146.1
OG0002847	AL6G24580	XP_009131369.2, XP_009121714.2, XP_009125955.2, XP_033135300.1, XP_009129739.1
OG0002848	AL7G43090	XP_009107906.1
OG0002850	AL6G21940	XP_009121968.1
OG0002850	AL6G37140	XP_033134491.1
OG0002851	AL6G21830	XP_018508572.2
OG0002851	AL6G21820	XP_009125793.1
OG0002852	AL6G38710	XP_009111770.1, XP_009151164.1
OG0002853	AL6G18770	XP_009131056.2
OG0002854	AL4G20820, AL4G20790	XP_009103578.2, XP_009140760.1
OG0002855	AL4G22440	XP_009140827.1
OG0002856	AL1G16910	XP_009119017.2, XP_009110971.1, XP_009118472.1
OG0002857	AL1G16070	XP_009118554.1
OG0002857	AL4G26590	XP_009132779.1, XP_009144217.2
OG0002858	AL4G27980	XP_009144004.1
OG0002858	AL1G14830	XP_009119208.1
OG0002859	AL1G14910	XP_009119200.1
OG0002860	AL4G28230	XP_009143930.1
OG0002860	AL1G14580	XP_009118620.1, XP_009111075.1
OG0002861	AL4G28850	XP_009143881.1
OG0002861	AL1G14290	XP_009118628.1, XP_033138316.1
OG0002863	AL7G27390	XP_009139407.1, XP_009139426.2
OG0002864	AL1G41570	XP_009113712.2
OG0002865	AL1G45830	XP_009145233.1, XP_009114968.1
OG0002867	AL212U10010, AL4G31610	XP_009143658.1
OG0002867	AL1G46120	XP_009145216.1, XP_009107999.1
OG0002868	AL8G43630	XP_009112205.1
OG0002868	AL5G29800, AL8G14300	XP_009101448.1
OG0002869	AL8G43410	XP_009150662.1
OG0002869	AL5G29520	XP_009136515.1
OG0002870	AL8G40820	XP_009130268.1
OG0002870	AL6G19290	XP_009131085.1
OG0002871	AL8G40430	XP_033141651.1
OG0002872	AL8G38410	XP_009136510.1
OG0002872	AL8G38490	XP_009136512.1
OG0002873	AL6G32580	XP_033138587.1
OG0002873	AL6G32770	XP_009126507.2, XP_033138519.1, XP_033138515.1
OG0002874	AL7G26110	XP_009137611.1, XP_009142725.1
OG0002875	AL8G30840	XP_009127011.1
OG0002875	AL7G26130	XP_033133172.1
OG0002877	AL2G12310	XP_009106822.1
OG0002878	nbis-gene-1458	XP_009122928.1
OG0002879	AL3G21580	XP_009123043.1, XP_018514864.1
OG0002880	AL7G48090	XP_009140085.1
OG0002880	AL2G11340	XP_009125181.1
OG0002881	AL2G41290, AL4G18200	XP_033140156.1, XP_033141196.1, XP_033141198.1, XP_009104450.1, XP_033132060.1
OG0002882	AL2G24560, AL2G24400, AL2G24390, AL2G24570	XP_033141456.1, XP_033141455.1, NP_001288940.1
OG0002883	AL1G29220, AL7G51000	XP_009149141.1, XP_033129692.1
OG0002884	AL5G29710	XP_009101260.1
OG0002885	AL3G37360	XP_033145114.1, XP_033147288.1, XP_033129422.1
OG0002886	AL4G32860	XP_009143564.1
OG0002886	AL5G34000	XP_009139432.1
OG0002887	AL7G28830	XP_009138011.1
OG0002888	AL9U11880, AL9U11820	XP_009108483.1
OG0002889	AL3G40290	XP_009102476.1
OG0002889	AL9U10770	XP_009139642.1
OG0002890	AL9U10300	XP_009139632.1
OG0002891	AL1G33940	XP_009149571.1
OG0002892	AL2G34280	XP_009128044.2
OG0002893	AL8G13120	XP_009114403.1
OG0002893	AL7G35060, AL6G32000	XP_018512234.2, XP_009120803.1
OG0002895	AL3G28250	XP_009144818.1
OG0002895	AL1G61050	XP_009147669.1
OG0002896	AL7G27440	XP_009109196.2
OG0002897	AL3G47200, AL3G47210	XP_009110190.1, XP_009119412.2, XP_009136271.1
OG0002898	AL4G42560, AL8G10940	XP_009128944.1, XP_009128945.1, XP_009101444.1
OG0002899	AL7G16460	XP_009109269.1
OG0002899	AL3G49160	XP_009121212.1
OG0002900	AL7G30530	XP_009136588.1
OG0002900	AL6G46520	XP_009102714.1
OG0002902	AL6G48230	XP_009134317.1
OG0002902	nbis-gene-1804, AL3G50460	XP_033148183.1
OG0002903	AL5G31600	XP_009115795.1
OG0002903	AL8G45250	XP_033131234.1
OG0002904	AL5G31670	XP_009115803.1, XP_009136605.1
OG0002905	AL8G45600	NP_001288967.1
OG0002905	AL5G31900	XP_009149006.1, XP_033136984.1
OG0002906	AL4G46820	XP_009133805.1
OG0002906	AL5G45070, AL2G23490	XP_009116902.1
OG0002907	nbis-gene-1410	XP_009104372.1
OG0002907	AL4G46490	XP_009142574.1, XP_009142463.1
OG0002908	AL5G44160	XP_009142649.2, XP_009133779.1, XP_009142417.1
OG0002909	AL4G45630	XP_009142659.1, XP_009133771.1
OG0002909	AL5G44040	XP_009138762.1
OG0002910	AL5G43060	XP_009138817.1, XP_009116754.2
OG0002911	AL4G42670	XP_009142960.1
OG0002912	AL1G62820, AL6G40520, AL1G48760, AL5G36800	XP_033135571.1
OG0002913	AL5G35570	XP_009117170.1
OG0002914	AL8G28130	XP_009119888.1
OG0002914	AL7G24720	XP_018508983.1
OG0002915	AL3G43810	XP_009108020.2, XP_009108022.1, XP_009102341.1
OG0002916	AL3G51370	XP_033136737.1, XP_009102261.1
OG0002917	AL8G33340	XP_009102208.1
OG0002918	AL68U10040, AL4G34760, AL4G34780, AL68U10030, AL4G34730	XP_009133207.1
OG0002919	AL6G30680, AL6G30700, AL6G30710	XP_009126312.1, XP_009126313.2
OG0002920	AL4G44680, AL4G44690	XP_009143150.1, XP_009133729.1, XP_009133730.2
OG0002921	AL3G12860	XP_033148194.1
OG0002921	AL6G28390	XP_009131588.1
OG0002922	AL6G39750	XP_009151217.1
OG0002923	AL88U10040, AL3G16400	XP_009147210.1, XP_009124863.1
OG0002924	AL3G19360	XP_009135012.1
OG0002924	AL3G25440	XP_009135310.1
OG0002925	AL3G19960, AL3G19950	XP_009146969.1
OG0002926	AL3G21250	XP_009146881.1
OG0002927	AL3G25120, AL3G25110	XP_033148259.1, XP_009146536.1
OG0002928	AL3G27330, AL975U10010	XP_009146297.2, XP_033142451.1
OG0002928	AL1G61680	XP_009116545.1
OG0002929	AL3G28670	XP_033148707.1
OG0002930	AL3G28490, AL3G28480	XP_009146195.2, XP_009135457.1, XP_009115229.1
OG0002931	AL3G31230	XP_009113531.1
OG0002931	AL3G31240	XP_009113523.1
OG0002932	AL3G31360	XP_009113475.2, XP_018514325.1, XP_018514326.2
OG0002933	AL3G32800	XP_009111878.1, XP_009145796.1
OG0002936	AL3G35810	XP_009135765.1, XP_009145464.1, XP_009109403.2
OG0002937	AL7G45250	XP_009124229.1
OG0002938	AL6G53070	XP_009128484.1, XP_009111490.2
OG0002938	AL1G10780	XP_009118821.2, XP_009119710.1
OG0002939	AL6G51630	XP_009111344.1
OG0002940	AL4G26340, AL163U10030	XP_009132771.1
OG0002940	AL1G16170	XP_009119083.1
OG0002941	nbis-gene-88	XP_009117845.1
OG0002942	AL1G32480	XP_009110260.1, XP_009149461.1
OG0002943	AL2G11670, AL2G11680	XP_009112937.1
OG0002946	AL4G13080	XP_009117290.1
OG0002947	AL7G32210, AL7G31640	XP_009146404.1
OG0002947	AL6G48420	XP_009114533.1, XP_009134324.1
OG0002948	AL7G10910	XP_009144504.2, XP_009101910.1
OG0002949	AL5G17400	XP_033129468.1
OG0002949	AL7G11220	XP_009101888.1
OG0002950	AL7G12800	XP_009109400.1, XP_009132311.1
OG0002951	AL7G15480, AL3G50630	XP_009121096.1, XP_009112442.1, XP_009150777.1
OG0002952	AL7G19440	XP_009126062.1
OG0002952	AL4G16970	XP_009117054.1
OG0002953	AL4G19200	XP_009133943.1
OG0002953	AL7G18330	XP_009138175.1
OG0002954	AL4G16690	XP_009147957.1
OG0002954	AL7G19730	XP_009126351.2
OG0002955	AL7G19890	XP_009126471.1
OG0002955	AL4G16490	XP_009140631.1
OG0002956	AL3G39140, AL6G30340	XP_009135874.1, XP_009126439.2, XP_009106181.1
OG0002957	AL6G51270	XP_009123539.2
OG0002958	AL3G53770	XP_033136500.1
OG0002958	AL7G24280	XP_009144375.1
OG0002962	AL7G12610, AL2G20220	XP_009131413.1, XP_033132989.1, XP_033132988.1, XP_033132987.1
OG0002963	nbis-gene-715, AL3G29940	XP_009114238.1
OG0002963	AL3G30060	XP_033134779.1, XP_009114314.1, XP_033132816.1
OG0002964	nbis-gene-1012	XP_018515417.1, XP_033141785.1
OG0002971	AL6G15340	XP_009122152.1, XP_009125601.1
OG0002972	AL7G21670	XP_009137924.1
OG0002973	AL8G19000, AL3G18970	XP_009147050.2
OG0002975	AL6G38780, AL6G37640, AL6G39390	XP_009140598.1, XP_009117099.1
OG0002976	AL6G27890, AL3G12530	XP_009131569.1, XP_009121426.1
OG0002977	AL6G26890	XP_009122869.1
OG0002978	AL6G24790	XP_009121693.1, XP_009131387.1
OG0002979	AL6G23940	XP_009121771.1, XP_009125902.1, XP_009131331.1
OG0002980	AL7G10750	XP_018513090.2, XP_009109990.1
OG0002981	AL6G20840	XP_009130503.2
OG0002982	AL6G20240	XP_009122117.1
OG0002982	AL8G42110	XP_009112150.1
OG0002983	AL6G43360, AL7G29850	XP_009137168.1, XP_009137360.1
OG0002984	AL6G18840	XP_033140845.1, XP_009131063.2
OG0002985	AL1G17300	XP_009118984.1, XP_018509205.1
OG0002985	AL4G24750	XP_009144339.1, XP_009141028.1
OG0002986	AL5G39380	XP_033142147.1, XP_033142153.1
OG0002987	AL1G13570	XP_009111133.1
OG0002987	AL8G15960	XP_009113951.1
OG0002988	AL8G18200	XP_009114033.1
OG0002988	AL1G41170	XP_009102962.1
OG0002989	AL4G30740	XP_033146280.1, XP_009133000.1, XP_033148771.1
OG0002990	AL1G44790	XP_009115054.1
OG0002990	AL1G44780	XP_009102689.1
OG0002992	AL8G43970	XP_009103426.1, XP_033140772.1, XP_009141044.1, XP_033140770.1, XP_009112373.2, XP_009112378.2, XP_009112374.2
OG0002994	AL8G43800	XP_009150694.1, XP_009112213.1
OG0002994	AL5G29930	XP_009136524.1
OG0002995	AL8G37520	XP_009136411.3
OG0002996	AL6G47720, AL6G33770, AL6G33800	XP_009120644.2
OG0002997	AL8G36860	XP_009126618.2, XP_033138136.1, XP_009120547.2, XP_009120549.2, XP_009131930.1
OG0002999	AL8G34150, AL8G34270	XP_018512220.1, XP_009120321.1, XP_009132086.2, XP_009126795.2
OG0003000	AL8G31800	XP_009132330.1, XP_009120133.1
OG0003001	AL1G16370	XP_009110994.2
OG0003002	AL8G30440	XP_009132416.1
OG0003002	AL7G25880	XP_009109159.1
OG0003003	AL7G25840	XP_009142954.1, XP_033144050.1
OG0003004	AL1G20150, AL1G57770	XP_009118303.1
OG0003005	AL6G16820	XP_009122283.1
OG0003006	AL6G50160	XP_009111256.1
OG0003008	AL3G11670	XP_009139037.1, XP_009116440.1
OG0003009	AL6G11980	XP_009122760.1
OG0003009	AL3G20770	XP_009135048.1
OG0003010	AL7G48380, AL7G48430	XP_009125176.1, XP_033145809.1, XP_009107662.1
OG0003011	AL2G38150	XP_009106432.2
OG0003012	AL6G44430, AL1G26060, AL6G44410, nbis-gene-451, AL2G19860	XP_009132617.1
OG0003013	AL2G37750	XP_009104617.1
OG0003013	AL1G34970	XP_009149697.1
OG0003014	AL7G15520	XP_009109285.2
OG0003014	AL3G50590	XP_009112441.1
OG0003015	AL3G50600	XP_009150778.1
OG0003017	AL9U11070	XP_009136097.1, XP_009102441.1
OG0003018	AL3G40560	XP_018510169.1
OG0003018	AL9U10840	XP_009139686.1
OG0003019	AL7G42750	XP_009142022.1, XP_009139598.1
OG0003020	AL7G42610, AL7G42580	XP_009139576.2, XP_009107497.2
OG0003021	AL1G30840	XP_009149284.1
OG0003021	AL2G33730	XP_009106045.1
OG0003022	AL1G39660	XP_009115343.1
OG0003022	AL2G27680	XP_009105021.1
OG0003023	AL7G22940	XP_009128708.1
OG0003024	AL1G34230, AL2G36970	XP_033141094.1, XP_009104657.1
OG0003026	AL5G17690	XP_009129380.1, XP_009111591.1
OG0003026	AL7G49880	XP_009139968.1
OG0003027	AL8G13280	XP_009128805.1
OG0003028	AL3G33020	XP_009111676.1
OG0003028	AL1G57460	XP_009107249.1
OG0003029	AL1G58480	XP_009147805.1
OG0003029	AL3G34290	XP_009145620.1, XP_009135690.1
OG0003030	AL1G56300	XP_033128466.1, XP_009144984.2
OG0003030	AL4G25950	XP_009147789.1
OG0003032	AL3G28860	XP_009114896.1
OG0003033	AL4G35210, AL4G35220	XP_009133238.1
OG0003034	AL8G23360	XP_009146667.1
OG0003035	AL7G46100	XP_018508979.2
OG0003037	AL6G48790	XP_009114495.1
OG0003039	AL5G43110	XP_009116762.1, XP_009138811.1
OG0003039	AL4G44520	XP_009143136.1
OG0003040	AL5G42670	XP_009138836.1, XP_009104260.1, XP_009138835.1
OG0003041	AL5G42350	XP_009116691.1, XP_009138869.1, XP_009104245.1, XP_009116689.1
OG0003043	AL5G39790	XP_009104106.1
OG0003044	AL5G34460	XP_009116048.1, XP_009103867.1, XP_009139395.2
OG0003045	AL125U10010	XP_009116759.2
OG0003047	AL2G26010	XP_009105284.1
OG0003048	AL2G26200	XP_009127558.1
OG0003048	AL1G40590	XP_018509341.2, XP_009103004.1
OG0003049	AL2G26670, AL2G26650	XP_009105339.1, XP_009127585.1, XP_009105086.1
OG0003050	AL7G45160	XP_009144656.1
OG0003051	AL1G40460	XP_009103033.1
OG0003051	AL7G28380	XP_009138572.1
OG0003052	AL4G10290	XP_009117431.1
OG0003052	AL7G10660	XP_009109529.1
OG0003054	AL7G33560, AL7G33140	XP_018515003.1
OG0003055	AL6G30530	XP_009120917.1, XP_009126298.1, XP_009126299.1
OG0003056	AL3G16830, AL6G30790	XP_009124943.1
OG0003057	nbis-gene-1581	XP_009111709.1
OG0003058	AL3G14990	XP_009134789.2, XP_009124200.1
OG0003059	AL4G47080	XP_033148022.1
OG0003061	AL4G42750	XP_009142232.1
OG0003062	AL4G42730	XP_009133643.1, XP_033145459.1, XP_009142299.2, XP_033145457.1
OG0003063	AL4G40040	XP_009142771.2, XP_009142772.1
OG0003064	AL6G40880, AL3G15610	XP_009124069.1
OG0003064	AL6G39600	XP_009151208.1
OG0003065	AL3G16140	XP_009147227.1, XP_009134829.1, XP_009124018.1
OG0003066	AL3G16430	XP_033147705.1
OG0003067	AL3G17710, AL8G23200	XP_009111879.1, XP_009129785.1
OG0003069	AL3G22420, AL3G22410	XP_009135138.2, XP_009122559.1
OG0003071	AL2G26120	XP_018510802.1
OG0003071	AL3G28680	XP_009135845.1
OG0003072	AL3G31180	XP_009113573.2, XP_009135565.1
OG0003072	AL1G55260	XP_009145944.1
OG0003073	AL3G31520	XP_018514773.1
OG0003073	AL1G55480	XP_009144999.2
OG0003074	AL2G24290	XP_009105207.1, XP_009148657.1
OG0003075	AL6G30220	XP_009120935.1
OG0003076	AL6G52780	XP_009111466.1
OG0003076	AL1G10590	XP_009119731.1, XP_009118831.2
OG0003077	AL1G10740	XP_009119713.1
OG0003077	AL6G53030	XP_009111487.2
OG0003078	AL1G12160	XP_009118746.1, XP_009109724.1, XP_009109723.2, XP_009111183.1, XP_009119612.1
OG0003079	AL1G12880	XP_009119549.1
OG0003080	AL4G26010	XP_009141120.1
OG0003081	AL2G15960	XP_009103874.1
OG0003081	AL1G21790	XP_009148418.1
OG0003082	AL5G10700	XP_009129220.2, XP_018510015.1
OG0003083	AL1G27040	XP_009110512.1, XP_009148884.1, XP_009117859.1
OG0003084	AL2G34690	XP_009128064.1
OG0003084	AL1G27580	XP_009148940.1
OG0003085	AL1G30940	XP_009149293.1
OG0003085	AL2G33890	XP_009117611.1
OG0003086	AL2G36280	XP_009106276.1
OG0003086	AL1G33450	XP_009110223.1
OG0003087	AL1G33670	XP_009103331.1, XP_009149548.1, XP_009110216.1
OG0003088	AL1G33690	XP_009149550.1
OG0003089	nbis-gene-1282, AL5G21570	XP_033129108.1, XP_033130983.1
OG0003092	AL8G15040, AL8G15050	XP_009110594.1
OG0003093	AL7G14560	XP_009144195.1, XP_009144127.1, XP_009138429.1, XP_009109314.1
OG0003094	AL7G16300	XP_009108695.1
OG0003094	AL7G16290	XP_033134063.1
OG0003095	AL6G50970	XP_033136780.1
OG0003095	AL7G16310	XP_009108028.2
OG0003096	AL7G19810, AL7G19800	XP_009138067.1, XP_009130110.2, XP_009126385.2
OG0003097	AL1G38710	XP_009115415.1, XP_009110042.1
OG0003098	AL6G51930	XP_009134484.1, XP_009128513.1, XP_009151456.1, XP_009134481.1, XP_009134482.1
OG0003099	AL3G39230	XP_033136832.1
OG0003100	AL9U11480, AL2G19900, AL2G22230, AL6G41900, AL4G20700, AL7G11630, AL5G12730, AL8G21940, AL1G50720	XP_033136256.1, XP_033141178.1, XP_033148560.1
OG0003101	AL3G51410, AL3G51420, AL3G51400	XP_009150747.1
OG0003102	AL7G21440	XP_009127643.2, XP_018509273.2
OG0003102	AL4G14100	XP_009137959.1
OG0003104	AL8G38090	XP_033135290.1, XP_033142401.1
OG0003104	AL4G25440	XP_033145609.1
OG0003105	AL27U10050, AL8G23590, AL8G21910, AL7G49530, AL5G15210, AL2G22270, AL9U11510, AL2G22280, AL4G20720, AL1G50700, AL1G44440, AL8G20220, AL8G18780, AL3G51050, AL5G12680, AL2G19940, AL1G55610, AL6G41940, AL4G18530, AL7G11660, AL5G12690, AL5G28280, AL7G24600	XP_009120083.2
OG0003106	nbis-gene-1091	XP_033148156.1, XP_033145881.1, XP_033143087.1
OG0003106	nbis-gene-1359	XP_033131413.1, XP_033137118.1
OG0003116	AL4G13950	XP_009140505.2
OG0003117	AL6G29010	XP_009121042.1, XP_033143049.1
OG0003118	AL6G26850	XP_009121530.1
OG0003118	AL3G11810	XP_009134674.1
OG0003119	AL6G25710	XP_009131430.1, XP_009121622.1
OG0003120	AL6G20850	XP_009122063.1
OG0003120	AL8G42830	XP_009112174.1
OG0003121	AL4G28370, AL4G28380	XP_009143928.1, XP_009132904.2
OG0003122	nbis-gene-1281, AL7G27940	XP_009137503.1, XP_009138982.1
OG0003123	AL7G21020	XP_009108954.1, XP_009127279.1
OG0003124	AL1G42740	XP_009132972.2
OG0003125	AL1G49280	XP_009115010.1
OG0003125	AL1G20850	XP_009148337.1
OG0003126	AL1G45780	XP_009108111.1
OG0003127	AL8G44680	XP_009103487.1
OG0003128	AL6G33500	XP_009131882.1, XP_009120652.1
OG0003128	AL7G45920	XP_033132268.1
OG0003129	AL8G40650, AL5G28210	XP_009112088.2, XP_009150411.1
OG0003130	AL3G51100	XP_009112052.1
OG0003130	AL8G40050	XP_009112048.1
OG0003131	AL6G17750	XP_009122338.1
OG0003133	AL2G14950	XP_033133490.1, XP_009113135.1
OG0003134	AL3G36600	XP_009145389.1, XP_009135802.1
OG0003136	AL6G33530	XP_033134346.1
OG0003136	AL6G33550	XP_033140100.1
OG0003138	AL271U10030, AL8G26690	XP_009127250.1, XP_009132533.1
OG0003139	AL7G27120	XP_009120252.1
OG0003140	AL264U10030, AL1G35210, AL1G35230	XP_009145385.1, XP_009103273.2
OG0003141	AL3G29990	XP_009146048.1, XP_009135509.1, XP_033143957.1
OG0003142	AL6G50640, AL1G12240	XP_033139976.1, XP_033134572.1
OG0003143	AL6G50530	XP_009111279.2
OG0003143	AL6G50570	XP_009144557.2
OG0003146	AL6G14090	XP_009122594.1
OG0003148	AL2G11720	XP_009112941.1, XP_009112750.1
OG0003150	AL2G41220	XP_033141834.1
OG0003150	AL1G27610	XP_009148946.1
OG0003152	AL1G28480	XP_009117767.1
OG0003153	AL2G39260	XP_009106600.1, XP_009104565.1
OG0003154	AL2G36990	XP_009104656.1
OG0003154	AL1G34250	XP_009149597.1, XP_009110193.1
OG0003156	AL5G14600	XP_009103362.1, XP_009149497.1
OG0003157	AL2G35150	XP_009104713.1
OG0003157	AL1G32220	XP_009149434.1
OG0003158	AL3G27340	XP_009147615.1
OG0003158	AL1G61660	XP_009144782.1
OG0003159	AL4G32190	XP_033147443.1, XP_009133064.1, XP_009141561.1
OG0003160	AL4G32540, AL2G25230	XP_009133078.1, XP_009141587.1
OG0003161	AL5G24010	XP_009150068.1
OG0003162	AL3G38950	XP_009102560.1
OG0003163	AL7G41230	XP_009148357.1
OG0003164	AL3G35540	XP_033147469.1
OG0003165	AL2G33260	XP_009104808.1, XP_009127995.1
OG0003166	AL1G30630	XP_009149269.1
OG0003167	AL5G17370	XP_009151914.1, XP_033140676.1
OG0003168	nbis-gene-1943	XP_018513970.1
OG0003168	AL5G19090	XP_009151808.1
OG0003169	AL5G16990	XP_018515514.1
OG0003172	AL2G22670, AL2G22650	XP_009140719.1
OG0003172	AL2G22660	XP_009105158.1
OG0003173	AL1G57110	XP_033128450.1
OG0003175	AL8G17810, AL1G52820	XP_009101819.1, XP_009123703.1
OG0003176	AL7G37120	XP_009136851.1, XP_009130677.1
OG0003177	AL8G25540, AL8G25530	XP_033138769.1, XP_033137903.1, XP_009119427.2, XP_009127317.1
OG0003178	AL8G23630	XP_009134025.1
OG0003178	AL1G26390	XP_033128037.1
OG0003179	AL7G38480	XP_009136775.1, XP_009145854.1
OG0003179	AL4G31840	XP_009141515.1
OG0003180	AL7G37630, AL4G31190	XP_009108293.1, XP_009145206.1
OG0003181	AL8G45120, AL5G31360	XP_009136578.1, XP_009115775.1
OG0003182	AL5G42770	XP_009116731.1
OG0003182	AL3G24710	XP_009104266.1
OG0003183	AL5G41860, AL4G42690	XP_009138892.1, XP_009116647.1, XP_009104225.1
OG0003184	AL5G40160	XP_009104132.1
OG0003186	AL5G23760	XP_033134380.1
OG0003187	AL5G37330	XP_009116302.2
OG0003189	AL5G36090	XP_009116195.2
OG0003190	AL4G34010	XP_009141670.1
OG0003191	AL2G26770	XP_009105361.1
OG0003192	AL3G51020, AL6G43520	XP_009150755.2
OG0003193	AL5G38050	XP_009139085.1
OG0003194	AL100U10010, AL4G36520	XP_009141793.2, XP_009133348.1, XP_009143336.1
OG0003195	AL4G13600	XP_033145482.1
OG0003195	AL7G13940	XP_009138463.1, XP_009140331.1
OG0003196	AL4G16380	XP_009117079.1
OG0003196	AL7G20000	XP_033135190.1
OG0003198	AL3G15730	XP_009134820.1
OG0003199	AL7G24150	XP_009129641.1
OG0003200	AL6G40700	XP_009151260.1, XP_009129817.2
OG0003201	AL3G15720, AL6G39520	XP_009124072.1, XP_009147256.1, XP_009134819.1
OG0003202	AL6G30310	XP_009131712.1
OG0003203	AL3G18500, AL3G18560	XP_009147095.1
OG0003206	AL3G24510	XP_033142348.1, XP_033148869.1, XP_009146579.1
OG0003207	nbis-gene-730	XP_018514459.2
OG0003208	AL3G31960	XP_009146116.1, XP_009112576.1
OG0003210	AL7G53030	XP_009125055.1
OG0003211	AL1G14420	XP_009119263.2, XP_009111086.2
OG0003211	AL1G21030	XP_033128735.1
OG0003212	AL1G17260	XP_033129011.1, XP_033132517.1
OG0003213	AL1G18840	XP_009110895.1
OG0003214	AL2G16650	XP_009103320.1
OG0003215	AL1G24330	XP_009118059.1, XP_009148571.1
