Orthogroup	Arabidopsis_lyrata_Rawat	Arabidopsis_lyrata_NCBI
OG0002758	AL3G47950	XP_020887674.1
OG0002758	AL7G23400	XP_002869455.1
OG0002759	AL2G11230	XP_020891633.1
OG0002760	AL7G48690	XP_020872138.1
OG0002761	AL2G29140	XP_020890733.1
OG0002761	AL1G38460	XP_002890621.1
OG0002762	AL7G13700	XP_002866966.2
OG0002762	AL4G13330	XP_020884084.1
OG0002763	AL1G59430	XP_020869440.1
OG0002763	AL3G35060	XP_020886946.1
OG0002764	AL1G59590	XP_002894328.1
OG0002764	AL3G35270	XP_020889382.1
OG0002765	AL1G21240	XP_002889808.1
OG0002765	AL1G60030	XP_002894346.1
OG0002765	AL1G60020	XP_002894345.1
OG0002766	AL9U11040	XP_002863174.1
OG0002766	AL3G40740	XP_020889367.1
OG0002767	AL4G31750	XP_002881407.1
OG0002768	AL7G36190	XP_020874373.1
OG0002768	AL7G36200	XP_020874372.1
OG0002769	AL8G10630	XP_020882622.1
OG0002769	AL7G37300	XP_020874564.1
OG0002770	AL8G10580	XP_020890829.1, XP_020871830.1
OG0002770	AL7G37370	XP_002870110.1
OG0002771	AL5G30460	XP_002877740.1
OG0002771	AL8G44340	XP_020871678.1
OG0002772	AL4G34930	XP_002881555.1
OG0002772	AL5G35070	XP_020880870.1
OG0002773	AL7G30950	XP_020873804.1
OG0002775	AL6G25460	XP_002873685.1
OG0002775	AL3G10640	XP_002884277.1
OG0002776	AL4G47000	XP_020882892.1
OG0002776	AL5G45320	XP_020879847.1
OG0002777	AL4G43920	XP_002881983.1
OG0002777	AL5G42540	XP_020880056.1
OG0002778	AL5G41460	XP_002878276.1
OG0002778	AL4G42150	XP_020884585.1
OG0002779	AL4G38540	XP_020883960.1
OG0002779	AL5G37710	XP_020879891.1
OG0002780	AL5G36110	XP_020881421.1
OG0002780	AL5G36120	XP_002876281.1
OG0002781	AL3G26550	XP_002885026.2
OG0002782	AL4G33520	XP_020883328.1
OG0002782	AL5G34300	XP_002876203.1
OG0002783	AL5G33960	XP_002876187.1
OG0002784	AL3G42800	XP_002885794.1
OG0002785	AL3G39710	XP_002885634.1
OG0002785	AL3G39720	XP_020886077.1
OG0002786	AL3G52080	XP_020889462.1
OG0002787	AL1G13510	XP_002889482.1
OG0002787	AL4G33010	XP_002879626.1
OG0002788	AL5G11000	XP_020882336.1
OG0002788	AL1G26710	XP_020867673.1
OG0002789	AL3G48670	XP_020888120.1
OG0002790	AL4G36760	XP_002879794.1
OG0002790	AL4G36780	XP_020883748.1
OG0002791	AL7G11020	XP_020872666.1
OG0002791	AL4G10610	XP_002880378.1
OG0002792	AL6G41460	XP_002874493.1
OG0002792	AL1G49950	XP_020868820.1
OG0002793	AL1G48710	XP_020868482.1
OG0002793	AL2G31410	XP_002887392.1
OG0002794	AL5G11320	XP_020880650.1
OG0002794	AL5G11230	XP_002875106.1
OG0002795	AL3G16550	XP_020887894.1
OG0002795	AL6G38670	XP_002872236.1
OG0002796	AL6G40360	XP_020876972.1
OG0002796	AL3G15740	XP_002884500.1
OG0002797	AL4G42660	XP_002880067.1
OG0002797	AL5G41840	XP_002876524.1
OG0002798	AL1G53780	XP_002894052.1
OG0002798	AL4G42310	XP_020883601.1
OG0002799	AL8G10960	XP_020885625.1
OG0002799	AL7G37010	XP_002868049.1
OG0002800	AL3G14060	XP_020886513.1
OG0002800	AL492U10010	XP_020888587.1
OG0002800	AL3G14140	XP_020887053.1
OG0002800	AL3G14100	XP_020887038.1
OG0002800	AL3G14150	XP_020887040.1
OG0002801	AL8G13590	XP_002863498.1, XP_002863495.1
OG0002802	nbis-gene-1593	XP_020876961.1
OG0002802	AL3G15380	XP_020886363.1
OG0002803	AL3G17010	XP_020886537.1
OG0002803	AL6G30440	XP_020878820.1
OG0002804	AL3G17040	XP_002882453.2
OG0002804	AL6G30380	XP_020878390.1
OG0002805	AL6G51200	XP_002872859.1
OG0002805	AL3G44080	XP_002883757.2
OG0002806	AL5G21320	XP_002875603.1
OG0002806	AL3G27790	XP_020886991.1
OG0002807	AL3G29930	XP_020889126.1
OG0002807	AL7G38960	XP_002868156.1
OG0002808	AL1G55770	XP_002894150.1
OG0002808	AL3G31900	XP_020887272.1
OG0002809	AL8G37450	XP_002864707.1
OG0002809	AL1G58630	XP_020867446.1
OG0002810	AL3G37790	XP_020888971.1
OG0002810	AL7G41690	XP_002870312.2
OG0002811	AL1G24830	XP_002892730.1
OG0002811	AL1G24810	XP_020869282.1
OG0002812	AL1G21560	XP_020870806.1
OG0002812	AL2G15780	XP_002888124.1
OG0002813	AL2G14420	XP_002888072.1
OG0002813	AL1G22580	XP_002889871.1
OG0002814	AL1G22720	XP_020870937.1
OG0002814	AL2G14290	XP_020890209.1
OG0002815	AL2G13050	XP_020890772.1
OG0002815	AL1G23580	XP_020867362.1
OG0002816	AL1G23730	XP_020868461.1
OG0002816	AL2G12840	XP_002888001.2
OG0002817	AL1G29560, AL1G29540	XP_020868553.1
OG0002818	AL2G32380	XP_002887447.1
OG0002818	AL1G29790	XP_002890230.1
OG0002819	AL2G30530	XP_002888810.1
OG0002819	AL1G36620	XP_020869405.1
OG0002820	nbis-gene-1229	XP_002877073.2
OG0002820	nbis-gene-1761	XP_002867427.1
OG0002821	AL7G47740	XP_020872056.1
OG0002821	AL2G10830	XP_002887915.1
OG0002822	AL1G56260	XP_020866393.1
OG0002822	AL1G56180	XP_002894168.1
OG0002823	AL7G13850	XP_020872106.1
OG0002823	AL7G13840	XP_020872105.1
OG0002824	AL5G11590	XP_002876816.1
OG0002824	AL5G11570	XP_002876814.1
OG0002824	AL8G13800	XP_002865264.1
OG0002824	AL5G11580	XP_020881097.1
OG0002824	AL5G11550	XP_020881102.1
OG0002825	AL7G15410	XP_002869067.1
OG0002825	AL7G15430	XP_002869069.1
OG0002826	AL4G16980	XP_020884290.1
OG0002826	AL7G19430	XP_020874071.1
OG0002827	AL7G17780	XP_020872688.1
OG0002827	AL3G46040	XP_020888845.1
OG0002828	AL4G15760	XP_002878800.1
OG0002828	AL7G20280	XP_002869315.1
OG0002829	AL6G51790	XP_020876994.1
OG0002830	AL1G54200	XP_002891386.1
OG0002830	AL1G60980	XP_002894396.2, XP_020866654.1, XP_002894395.1
OG0002831	AL4G33860	XP_020885811.1
OG0002831	AL4G33850	XP_002879672.1
OG0002831	AL2G12280	XP_020891263.1
OG0002832	AL8G24290	XP_002864048.1
OG0002832	AL8G23220	XP_020866561.1
OG0002832	AL3G30620	XP_020889159.1
OG0002833	AL3G47880	XP_020888880.1
OG0002833	nbis-gene-1749	XP_020875301.1
OG0002834	AL5G43600	XP_020881568.1
OG0002835	AL5G18590	XP_020879711.1
OG0002835	AL5G18520	XP_002877131.1
OG0002836	nbis-gene-1995	XP_002863542.2
OG0002836	AL7G15460	XP_002869071.1
OG0002836	nbis-gene-1587	XP_020876248.1
OG0002837	AL8G27810	XP_002864227.1
OG0002837	nbis-gene-1768	XP_002869531.1
OG0002839	nbis-gene-1959	XP_002877339.1, XP_002868789.1
OG0002839	nbis-gene-1298	XP_002875723.1
OG0002839	nbis-gene-1297	XP_002875722.1
OG0002844	AL5G12570	XP_002875181.1
OG0002844	AL6G52060	XP_020877220.1
OG0002845	AL3G13140	XP_002884381.2
OG0002845	AL6G28600	XP_002873833.1
OG0002846	AL3G10080	XP_002882151.1
OG0002846	AL6G24720	XP_020877912.1
OG0002847	AL6G24580	XP_002871591.1
OG0002848	AL5G12040, AL5G12300	XP_002875167.1, XP_002875147.1
OG0002848	AL7G43090	XP_020875733.1
OG0002848	AL3G39700	XP_002885633.1
OG0002849	nbis-gene-1120	XP_020881854.1
OG0002849	AL5G26040	XP_020882812.1, XP_020879746.1
OG0002850	AL6G21940	XP_002873505.1
OG0002850	AL6G37140	XP_002874258.1
OG0002851	AL6G21830	XP_002873500.1
OG0002851	AL6G21820	XP_002873499.1
OG0002852	AL1G30320	XP_020866244.1
OG0002852	AL6G38710	XP_002872240.1
OG0002853	AL6G34580	XP_002872051.2
OG0002853	AL6G18770	XP_020877032.1
OG0002854	AL4G20820	XP_020884506.1
OG0002854	AL4G20790	XP_020883136.1
OG0002855	AL4G22440	XP_002880966.1
OG0002856	AL4G25340	XP_002881111.1
OG0002856	AL1G16910	XP_020869368.1
OG0002857	AL1G16070	XP_020869886.1
OG0002857	AL4G26590	XP_002879322.1
OG0002858	AL4G27980	XP_002879399.1
OG0002858	AL1G14830	XP_020868787.1
OG0002859	AL1G14910	XP_002892269.1
OG0002859	AL4G27840	XP_020883155.1
OG0002860	AL4G28230	XP_002881240.1
OG0002860	AL1G14580	XP_020867334.1
OG0002861	AL4G28850	XP_002881269.1
OG0002861	AL1G14290	XP_020867463.1
OG0002862	AL1G18200	XP_020867784.1
OG0002862	AL7G46970	XP_002868555.1
OG0002862	AL7G46960	XP_020873082.1
OG0002862	AL6G53580	XP_020879140.1
OG0002863	AL7G27410	XP_020873764.1
OG0002863	AL7G27390	XP_020873762.1
OG0002864	AL1G41570	XP_002890756.1
OG0002865	AL4G31640	XP_020883918.1
OG0002865	AL1G45830	XP_002893684.1
OG0002866	nbis-gene-191	XP_002890955.2
OG0002867	AL212U10010	XP_002862723.1
OG0002867	AL4G31610	XP_020885695.1
OG0002868	AL8G43630	XP_020871060.1
OG0002868	AL5G29800	XP_020882136.1
OG0002868	AL8G14300	XP_020866231.1
OG0002869	AL8G43410	XP_020885977.1
OG0002869	AL5G29520	XP_002875982.1
OG0002870	AL8G40820	XP_002864861.1
OG0002870	AL6G19290	XP_002871347.1
OG0002871	AL8G40430	XP_020885664.1
OG0002872	AL8G38410	XP_020878763.1
OG0002872	AL8G38490	XP_002866451.1
OG0002873	AL6G32580	XP_020878616.1
OG0002873	AL6G32770	XP_020877222.1
OG0002874	AL7G26110	XP_002867545.1
OG0002874	AL8G30810	XP_020884696.1
OG0002875	AL8G30840	XP_020889874.1
OG0002875	AL7G26130	XP_002869595.1
OG0002877	AL5G33890	XP_020881891.1
OG0002877	AL2G12310	XP_020865784.1
OG0002877	AL2G12210	XP_002886421.2
OG0002877	AL2G12290	XP_020890697.1
OG0002878	nbis-gene-1458	XP_020879779.1, XP_020879307.1
OG0002879	AL6G13720	XP_020878431.1
OG0002879	AL3G21580	XP_020886428.1
OG0002880	AL7G48090	XP_020875136.1
OG0002880	AL2G11340	XP_002886384.1
OG0002881	AL2G41290	XP_002889304.2
OG0002881	AL4G18200	XP_020885337.1
OG0002882	AL2G24560	XP_020865923.1
OG0002882	AL2G24400	XP_020865712.1
OG0002882	AL2G24390	XP_020891616.1
OG0002882	AL2G24570	XP_020865634.1
OG0002883	AL2G38940	XP_020890440.1
OG0002883	AL1G29220	XP_020869601.1
OG0002883	AL7G51000	XP_020872922.1
OG0002884	AL5G29710	XP_002877697.1
OG0002885	AL3G37360	XP_002883388.1
OG0002885	AL3G39210	XP_002883488.1
OG0002885	AL3G39180	XP_002883486.1
OG0002886	AL4G32860	XP_002881460.1
OG0002886	AL5G34000	XP_002877902.1
OG0002887	AL8G23950	XP_020878835.1
OG0002887	AL7G28830	XP_020873381.1
OG0002888	AL9U11880	XP_020877035.1
OG0002888	AL9U11820	XP_020875707.1
OG0002889	AL3G40290	XP_002885665.1
OG0002889	AL9U10770	XP_020876391.1
OG0002890	AL9U10300	XP_002863244.2
OG0002891	AL1G33940	XP_020870735.1
OG0002891	AL3G20830	XP_020885878.1
OG0002892	AL2G34280	XP_002887540.2
OG0002893	AL8G13120	XP_002865238.1
OG0002893	AL7G35060	XP_020874543.1
OG0002893	AL6G32000	XP_020878758.1
OG0002894	AL4G14810	XP_002880579.1
OG0002894	AL8G13850	XP_002863511.1
OG0002895	AL3G28250	XP_020887649.1
OG0002895	AL1G61050	XP_020867819.1
OG0002896	AL8G26990	XP_002864181.1
OG0002896	AL7G27440	XP_020872491.1
OG0002897	AL3G47200	XP_002883897.1
OG0002897	AL3G47210	XP_002883898.1
OG0002898	AL4G42560	XP_020882725.1
OG0002898	AL8G10940	XP_020868915.1
OG0002899	AL7G16460	XP_020872644.1
OG0002899	AL3G49160	XP_020888002.1
OG0002900	AL7G30530	XP_020873334.1
OG0002900	AL6G46520	XP_020876082.1
OG0002901	AL66U10020, AL8G15260	XP_020877555.1, XP_002862972.1
OG0002902	AL6G48230	XP_002874813.2
OG0002902	nbis-gene-1804, AL3G50460	XP_020873795.1
OG0002903	AL5G31600	XP_020881648.1
OG0002903	AL8G45250	XP_020887391.1
OG0002904	AL8G45450	XP_002865085.1
OG0002904	AL5G31670	XP_002876077.1
OG0002905	AL8G45600	XP_020882826.1
OG0002905	AL5G31900	XP_020880075.1
OG0002906	AL4G46820	XP_020884103.1
OG0002906	AL5G45070, AL2G23490	XP_020882224.1, XP_020865875.1
OG0002907	nbis-gene-1410	XP_020880316.1
OG0002907	AL4G46490	XP_020885129.1
OG0002908	AL5G44160	XP_002878399.1
OG0002909	AL4G45630	XP_020884379.1
OG0002909	AL5G44040	XP_002878394.1
OG0002910	AL5G43060	XP_002876580.1
OG0002911	AL5G41850	XP_020880097.1
OG0002911	AL4G42670	XP_002881932.2
OG0002912	AL1G62820	XP_002891789.2
OG0002912	AL6G40520	XP_002872311.2
OG0002912	AL1G48760	XP_020866117.1
OG0002912	AL5G36800	XP_020880283.1
OG0002913	nbis-gene-1362	XP_020881276.1
OG0002913	AL5G35570	XP_002877983.1
OG0002914	AL8G28130	XP_002864242.1
OG0002914	AL7G24720	XP_002869532.1
OG0002915	AL3G43810	XP_002885820.1
OG0002916	AL7G14630	XP_002867014.1
OG0002916	AL3G51370	XP_002886153.1
OG0002917	AL3G53000	XP_002884185.1
OG0002917	AL8G33340	XP_002864515.1
OG0002918	AL4G34750	XP_020885128.1
OG0002918	AL4G34760, AL4G34780	XP_020884745.1
OG0002918	AL68U10030, AL4G34730	XP_020882730.1, XP_020874149.1
OG0002919	AL6G30680	XP_020876552.1
OG0002919	AL6G30700	XP_020875819.1
OG0002919	AL6G30710	XP_002871874.1
OG0002920	AL4G44680	XP_002880182.1
OG0002921	AL3G12860	XP_002884366.1
OG0002921	AL6G28390	XP_002873822.1
OG0002922	AL6G39750	XP_002874383.1
OG0002922	AL3G15500	XP_020886885.1
OG0002923	AL88U10040	XP_020873798.1
OG0002923	AL3G16400	XP_020887212.1
OG0002923	AL6G38910	XP_002874333.1
OG0002924	AL3G19360	XP_020888164.1
OG0002924	AL3G25440	XP_020886125.1
OG0002925	AL3G19960	XP_020886940.1
OG0002925	AL3G19950	XP_002884705.2
OG0002926	AL3G21240	XP_020888629.1
OG0002926	AL3G21250	XP_020888630.1, XP_020873842.1
OG0002927	AL3G25120	XP_002882815.1
OG0002928	AL3G27330	XP_020887602.1
OG0002928	AL975U10010	XP_002862182.2
OG0002928	AL1G61680	XP_002894432.1
OG0002929	AL2G18120	XP_002888234.1
OG0002929	AL3G28670	XP_020886643.1
OG0002930	AL3G28490	XP_002882966.1
OG0002930	AL3G28480	XP_002882965.1
OG0002931	AL3G31230	XP_002883106.1
OG0002931	AL3G31240	XP_020886031.1
OG0002932	AL3G31360	XP_002883116.1
OG0002933	AL3G32810	XP_020888176.1
OG0002933	AL3G32800	XP_002883178.1
OG0002935	AL3G35890	XP_020886808.1
OG0002936	AL3G35810	XP_020887849.1
OG0002937	AL2G20410	XP_002888334.1
OG0002937	AL7G45250	XP_002870476.1
OG0002938	AL6G53070	XP_002875027.1
OG0002938	AL1G10780	XP_002892051.1
OG0002939	AL6G51630	XP_002872878.1
OG0002940	AL4G26340	XP_020884814.1
OG0002940	AL163U10030	XP_002862788.1
OG0002940	AL1G16170	XP_002892326.1
OG0002941	nbis-gene-88	XP_002875059.2
OG0002942	AL1G32480	XP_020867738.1
OG0002943	AL2G11670	XP_020891082.1
OG0002943	AL2G11680	XP_002887953.1
OG0002944	AL2G15250	XP_002888107.1
OG0002944	AL2G15260	XP_020890055.1
OG0002945	AL2G18530	XP_002886724.2
OG0002945	AL2G18540	XP_002886725.2
OG0002946	AL4G13080	XP_020883239.1
OG0002947	AL7G31640	XP_020873318.1
OG0002947	AL7G50070	XP_020872919.1
OG0002947	AL6G48420	XP_020876380.1
OG0002948	AL7G10890	XP_020872327.1
OG0002948	AL7G10910	XP_002868877.1
OG0002949	AL5G17400	XP_020879697.1
OG0002949	AL7G11220	XP_002868894.1
OG0002950	AL7G12800	XP_020874760.1
OG0002950	AL4G12230	XP_020885449.1
OG0002951	AL7G15480	XP_002869073.1
OG0002951	AL3G50630	XP_002884074.1
OG0002952	AL7G19440	XP_020874072.1
OG0002952	AL4G16970	XP_002878861.1
OG0002953	AL4G19200	XP_002878962.1
OG0002953	AL7G18330	XP_002867193.1
OG0002954	AL4G16690	XP_020885558.1
OG0002954	AL7G19730	XP_020874369.1
OG0002955	AL7G19890	XP_020875710.1
OG0002955	AL4G16490	XP_020882816.1
OG0002956	AL3G39140	XP_002883483.1
OG0002956	AL6G30340	XP_002871852.1
OG0002957	AL6G51270	XP_020879476.1
OG0002957	AL6G51290	XP_002872864.2
OG0002958	AL3G53770	XP_020889573.1
OG0002958	AL7G24280	XP_020875116.1
OG0002959	AL8G12110	XP_002863409.2
OG0002959	AL1G54190	XP_002891385.2
OG0002959	AL1G54150	XP_002891383.1
OG0002959	AL1G54120	XP_002891382.2
OG0002961	AL1G63810	XP_020869866.1
OG0002961	AL1G64360	XP_020866228.1
OG0002962	AL7G12610	XP_002866919.1
OG0002962	AL2G20220	XP_020890900.1
OG0002963	nbis-gene-715	XP_002885181.2
OG0002963	AL3G29940	XP_020889234.1
OG0002963	AL3G30060	XP_002883041.2
OG0002964	nbis-gene-1012	XP_002880841.2
OG0002965	nbis-gene-236, AL6G39910, AL3G34300, AL5G17290, AL2G18690, AL1031U10010, AL2G22580, AL5G19810, AL6G34510, AL6G41960, AL2G16090, AL1G59740, AL4G20730, AL6G43510, AL8G20930, AL1G50690, AL3G51030, AL5G12670, AL8G20230, AL2G23140, AL8G17260, AL7G11680, AL5G29730, AL9U11530, AL1G45320, AL7G15190, AL1G55590, AL1G44420, AL3G39070, AL8G23600, AL7G49540, AL27U10060, AL8G18830, AL2G25150, AL2G23190, AL8G18160, nbis-gene-793, AL7G48330	XP_020865700.1
OG0002971	AL6G15340	XP_002871160.1
OG0002971	AL2G31390	XP_020889593.1
OG0002972	AL7G21670	XP_020874269.1
OG0002973	AL8G19000	XP_020883120.1
OG0002973	AL3G18970	XP_002882538.2
OG0002974	AL433U10020	XP_020888103.1, XP_020880599.1, XP_020875418.1
OG0002975	AL6G38780	XP_020876191.1
OG0002975	AL6G37640	XP_020877842.1
OG0002975	AL6G39390	XP_020876888.1
OG0002976	AL6G27890	XP_020877367.1
OG0002976	AL3G12530	XP_002882268.1
OG0002977	AL6G26890	XP_002871699.1
OG0002978	AL3G10200	XP_002882160.1
OG0002978	AL6G24790	XP_002871602.1
OG0002979	AL6G23940	XP_020879165.1
OG0002980	AL7G10750	XP_020875191.1
OG0002981	AL6G20840	XP_020878573.1
OG0002981	AL8G42820	XP_020869100.1
OG0002982	AL6G20240	XP_002873426.1
OG0002982	AL8G42110	XP_002866629.1
OG0002983	AL6G43360	XP_020879014.1
OG0002983	AL7G29850	XP_020873455.1
OG0002984	AL6G18840	XP_020876278.1
OG0002985	AL1G17300	XP_020869580.1
OG0002985	AL4G24750	XP_020882779.1
OG0002986	AL5G39380	XP_020881363.1
OG0002987	AL1G13570	XP_020869655.1
OG0002987	AL8G15960	XP_020889889.1
OG0002988	AL8G18200	XP_002863733.2
OG0002988	AL1G41170	XP_002890741.1
OG0002989	AL4G30740	XP_020885508.1
OG0002989	AL1G44630	XP_020866070.1
OG0002990	AL1G44790	XP_002890892.1
OG0002990	AL1G44780	XP_002890891.1
OG0002991	AL7G28140	XP_020873246.1
OG0002991	AL4G31370	XP_020882933.1
OG0002991	AL1G46740	XP_020868029.1
OG0002992	AL8G43970	XP_002865008.1
OG0002993	AL8G43920	XP_002866704.1
OG0002993	AL5G29990	XP_002877713.1
OG0002994	AL8G43800	XP_020885106.1
OG0002994	AL5G29930	XP_002877711.1
OG0002995	AL8G37520	XP_020865768.1
OG0002996	AL6G33770, AL6G33800	XP_020877258.1, XP_020877261.1
OG0002997	AL8G36860	XP_020882524.1
OG0002998	AL4G13320	XP_020884088.1
OG0002998	AL4G13310	XP_020884087.1
OG0002999	AL8G34150	XP_002866246.1
OG0002999	AL8G34270	XP_002866252.1
OG0003000	AL8G31800	XP_002864439.1
OG0003001	AL1G16360	XP_002892336.2
OG0003001	AL1G16370	XP_002892337.2
OG0003002	AL8G30440	XP_020871299.1
OG0003002	AL7G25880	XP_020873768.1
OG0003003	AL7G25840	XP_002867530.1
OG0003003	AL8G30390	XP_020871689.1
OG0003004	AL1G20150	XP_020868163.1
OG0003004	AL1G57770	XP_020866759.1
OG0003005	AL6G16820	XP_020875896.1
OG0003006	AL1G12600	XP_002892148.1
OG0003006	AL6G50160	XP_020876705.1
OG0003008	AL5G38900	XP_002876413.1
OG0003008	AL3G11670	XP_002882226.1
OG0003009	AL6G11980	XP_002870985.1
OG0003009	AL3G20770	XP_002882625.1
OG0003010	AL7G48380	XP_020873193.1
OG0003010	AL7G48430	XP_020873190.1
OG0003011	AL2G38150	XP_020891017.1
OG0003012	AL6G44410	XP_020879320.1
OG0003012	nbis-gene-451	XP_002886802.1
OG0003012	AL2G19860	XP_002886803.1
OG0003013	AL2G37750	XP_002889146.2
OG0003013	AL1G34970	XP_002893182.1
OG0003014	AL7G15520	XP_020873087.1
OG0003014	AL3G50590	XP_002884072.1
OG0003015	nbis-gene-1713	XP_020873088.1
OG0003015	AL3G50600	XP_020888027.1
OG0003016	AL6G42310	XP_020877459.1
OG0003017	AL9U11070	XP_002863175.1
OG0003017	AL3G40750	XP_020888787.1
OG0003018	AL3G40560	XP_002883561.1
OG0003018	AL9U10840	XP_020876711.1
OG0003019	AL7G42750	XP_020874234.1
OG0003020	AL7G42610	XP_002868329.2
OG0003020	AL7G42580	XP_002868327.1
OG0003021	AL1G30840	XP_020866336.1
OG0003021	AL2G33730	XP_002888950.1
OG0003022	AL1G39660	XP_020866365.1
OG0003022	AL2G27680	XP_020865683.1
OG0003023	AL7G22940	XP_020873138.1
OG0003024	AL1G34230	XP_002890429.1
OG0003024	AL2G36970	XP_020890019.1
OG0003026	AL5G17690	XP_020882358.1
OG0003026	AL7G49880	XP_002868672.1
OG0003027	AL8G13230	XP_002865240.1
OG0003027	AL8G13280	XP_020871876.1
OG0003028	AL3G33020	XP_002883194.1
OG0003028	AL1G57460	XP_020866731.1
OG0003029	AL1G58480	XP_002891593.1
OG0003029	AL3G34290	XP_020889529.1
OG0003030	AL1G56300	XP_020866035.1
OG0003030	AL4G25950	XP_002881142.1
OG0003031	AL1G59560	XP_020868916.1
OG0003032	AL3G28860	XP_002882984.1
OG0003033	AL4G35210	XP_020884309.1
OG0003033	AL4G35220	XP_020884311.1
OG0003034	AL8G23360	XP_002863997.1
OG0003035	AL7G33510	XP_020874745.1
OG0003037	AL6G48790	XP_020876367.1
OG0003037	AL7G32840	XP_002867856.1
OG0003038	AL5G22800	XP_020880272.1
OG0003039	AL5G43110	XP_002878349.1
OG0003039	AL4G44520	XP_002882009.1
OG0003040	AL5G42670	XP_002876554.2
OG0003041	AL5G42350	XP_020882373.1
OG0003042	AL4G41820	XP_020883358.1
OG0003043	AL5G39790	XP_002878188.1
OG0003044	AL5G34460	XP_002877924.1
OG0003046	AL2G23220	XP_002888461.1
OG0003047	AL2G26030	XP_020865807.1
OG0003047	AL2G26010	XP_002888597.2
OG0003048	AL2G26200	XP_002887128.1
OG0003048	AL1G40590	XP_020866860.1
OG0003049	AL2G26670	XP_002888632.1
OG0003050	AL7G45160	XP_002868460.1
OG0003051	AL1G40460	XP_020870685.1
OG0003051	AL7G28380	XP_020873678.1
OG0003052	AL4G10290	XP_002878537.1
OG0003052	AL7G10660	XP_020872801.1
OG0003053	AL1G50640	XP_020868072.1
OG0003053	AL1G50680	XP_002893892.2
OG0003054	AL7G33560	XP_020874256.1
OG0003054	AL7G33140	XP_020875028.1
OG0003055	AL6G30530	XP_002873931.1
OG0003056	AL3G16830	XP_020887438.1
OG0003056	AL6G30790	XP_020878272.1
OG0003057	nbis-gene-1581	XP_020876187.1
OG0003058	AL3G14990	XP_020889399.1
OG0003058	AL6G40460	XP_020878805.1
OG0003059	AL4G47080	XP_020884109.1
OG0003059	AL8G25140	XP_002864085.1
OG0003060	AL4G44430	XP_020882789.1
OG0003061	AL4G42750	XP_002880073.1
OG0003062	AL4G42730	XP_002881934.1
OG0003063	AL4G40040	XP_002879950.1
OG0003064	AL6G40880, AL3G15610	XP_002882401.1
OG0003064	AL6G39600	XP_020876905.1
OG0003065	AL1G19550	XP_020866925.1
OG0003065	AL3G16140	XP_002882422.1
OG0003066	AL3G16430	XP_020886154.1
OG0003067	AL3G17710	XP_020888024.1
OG0003067	AL8G23200	XP_002863984.1
OG0003068	AL6G10160	XP_002872988.1
OG0003069	AL3G22420	XP_020889003.1
OG0003069	AL3G22410	XP_002884818.1
OG0003070	AL3G25280	XP_002884965.1
OG0003071	AL2G26120	XP_020889712.1
OG0003071	AL3G28680	XP_020887246.1
OG0003072	AL3G31180	XP_020886476.1
OG0003072	AL1G55260	XP_020868450.1
OG0003073	AL3G31520	XP_020886618.1
OG0003073	AL1G55480	XP_020868677.1
OG0003074	AL7G46700	XP_002868542.1
OG0003074	AL2G24290	XP_002887043.1
OG0003075	AL6G30240	XP_020878603.1
OG0003075	AL6G30220	XP_002871847.1
OG0003076	AL6G52780	XP_020878864.1
OG0003076	AL1G10590	XP_020870080.1
OG0003077	AL1G10740	XP_020866660.1
OG0003077	AL6G53030	XP_002872952.1
OG0003078	AL1G12160	XP_002892124.1
OG0003079	AL1G12880	XP_020870322.1
OG0003079	AL1G67150	XP_002891998.1
OG0003079	AL1G51780	XP_020866151.1
OG0003080	AL1G16400	XP_002889601.1
OG0003080	AL4G26010	XP_002881146.1
OG0003081	AL2G15960	XP_002886604.2
OG0003081	AL1G21790	XP_020869791.1
OG0003082	AL5G10700	XP_002875083.1
OG0003082	AL1G26930	XP_002892836.1
OG0003083	AL5G10460	XP_002875073.1
OG0003083	AL1G27040	XP_002892843.1
OG0003084	AL2G34690	XP_020865961.1
OG0003084	AL1G27580	XP_002892869.1
OG0003085	AL1G30940	XP_002890281.1
OG0003085	AL2G33890	XP_020891015.1
OG0003086	AL2G36280	XP_002889066.1
OG0003086	AL1G33450	XP_020866803.1
OG0003087	AL1G33670	XP_020868213.1
OG0003087	AL1G33680	XP_020868214.1
OG0003088	AL1G33700	XP_020870112.1
OG0003088	AL1G33690	XP_002890403.1
OG0003089	AL1G34200	XP_002890428.1
OG0003089	nbis-gene-1282	XP_002875612.2
OG0003089	AL5G21570	XP_020881776.1
OG0003090	AL2G31840	XP_002887420.1
OG0003092	AL8G15040	XP_002865343.1
OG0003092	AL8G15050	XP_002865344.2
OG0003093	AL7G14560	XP_002867011.1
OG0003094	AL7G16300	XP_002869118.1
OG0003094	AL7G16290	XP_002869117.1
OG0003095	AL6G50970	XP_020877429.1
OG0003095	AL7G16310	XP_020874608.1
OG0003096	AL7G19800	XP_002867263.1
OG0003097	AL2G28840	XP_020891349.1
OG0003097	AL1G38710	XP_020866640.1
OG0003098	AL6G51930	XP_020879122.1
OG0003100	AL9U11480	XP_002863192.1, XP_020871405.1
OG0003100	AL2G19900, AL2G22230, AL6G41900, AL4G20700, AL7G11630, AL5G12730, AL8G21940, AL1G50720	XP_020880674.1
OG0003101	AL3G51410	XP_002886156.2
OG0003101	AL3G51420	XP_020887974.1
OG0003102	AL7G21440	XP_002867334.1
OG0003102	AL4G14100	XP_020884549.1
