Orthogroup	Camelina_sativa	Conringia_planisiliqua
OG0001948	XP_010448362.1, XP_010438828.1, XP_010433585.1	CP19_g18058_DN3_SP0_c.t1
OG0001949	XP_010490362.1, XP_010423255.1, XP_010467444.1	CP10_g43862_DN3_SP1_c.t1
OG0001949	XP_019096705.1, XP_019098818.1, XP_019092509.1	CP10_g43861_DN3_SP8_c.t1
OG0001950	XP_010441026.1, XP_010435805.1, XP_010450845.1	CP5_g1588_DN3_SP8_c.t1
OG0001950	XP_010425768.1, XP_010514671.1, XP_010502995.1	CP2_g48857_DN3_SP8_c.t1
OG0001951	XP_010448266.1, XP_010438749.1, XP_010433498.1	CP19_g17992_DN3_SP8_c.t1
OG0001951	XP_010483081.1, XP_010443253.1, XP_010450699.1	CP8_g53598_DN3_SP8_c.t1
OG0001952	XP_010482899.1, XP_010443072.1, XP_010448802.1	CP8_g53462_DN3_SP2_c.t1
OG0001952	XP_010433418.1, XP_010438672.1, XP_010448184.1	CP5_g1311_DN3_SP8_c.t1
OG0001953	XP_010448473.1, XP_010443046.1, XP_010482874.1, XP_019085998.1	CP8_g53435_DN3_SP8_c.t1
OG0001953	XP_010438647.1	CP5_g1291_DN3_SP8_c.t1
OG0001955	XP_010452595.1, XP_010491226.1, XP_010423322.1	CP11_g33247_DN3_SP1_c.t1
OG0001955	XP_010498177.1, XP_010486853.1, XP_010464916.1	CP10_g43148_DN3_SP0_c.t1
OG0001956	XP_010494177.1, XP_010464741.1, XP_010486677.1	CP10_g43029_DN3_SP8_c.t1
OG0001956	XP_010452386.1, XP_010491011.1, XP_010423528.1	CP11_g33411_DN3_SP8_c.t1
OG0001957	XP_010464649.1	CP10_g42956_DN3_SP8_c.t1
OG0001957	XP_010490835.1, XP_010423702.1, XP_010452232.1, XP_019100944.1	CP11_g33540_DN3_SP5_c.t1
OG0001958	XP_010490800.1, XP_010452203.1	CP11_g33563_DN3_SP8_c.t1
OG0001958	XP_010486556.1, XP_010464637.1, XP_010476987.1	CP10_g42944_DN3_SP8_c.t1
OG0001959	XP_010447294.1, XP_010432620.1, XP_010437810.1	CP10_g42864_DN3_SP2_c.t1
OG0001960	XP_010514444.1, XP_010425489.1	CP13_g19267_DN3_SP8_c.t1
OG0001960	XP_010441224.1, XP_010436005.1, XP_010450634.1	CP5_g1348_DN3_SP8_c.t1
OG0001961	XP_010497372.1, XP_010459110.1, XP_010476667.1	CP7_g46159_DN3_SP0_c.t1
OG0001961	XP_010474514.1	CP9_g29662_DN3_SP0_c.t1
OG0001962	XP_010429896.1, XP_010472867.1	CP9_g29626_DN3_SP8_c.t1
OG0001962	XP_010459132.1, XP_010497540.1	CP7_g46138_DN3_SP8_c.t1
OG0001963	XP_010476702.1, XP_010497574.1, XP_010459136.1	CP7_g46134_DN3_SP6_c.t1
OG0001963	XP_010474504.2, XP_010417651.1	CP9_g29617_DN3_SP7_c.t1
OG0001964	XP_010476736.1, XP_010459168.1	CP7_g46112_DN3_SP6_c.t1
OG0001965	XP_010498548.1, XP_010459789.1	CP7_g45673_DN3_SP8_c.t1
OG0001965	XP_010471809.1, XP_010416575.1, XP_010428720.1	CP9_g29298_DN3_SP8_c.t1
OG0001966	XP_010446906.1, XP_010432256.1	CP5_g449_DN2_SP0_c.t1
OG0001966	XP_019092548.1, XP_010446891.1, XP_010437438.1, XP_019098667.1, XP_010496732.1, XP_010432242.1	CP5_g441_DN3_SP0_c.t1
OG0001967	XP_010498492.1, XP_010459744.1, XP_010477304.1	CP7_g45707_DN3_SP8_c.t1
OG0001967	XP_010428684.1, XP_010416542.1, XP_010471781.1	CP9_g29273_DN3_SP5_c.t1
OG0001968	XP_010471731.1, XP_010471734.1, XP_010471737.1, XP_010416497.1, XP_010428638.1	CP9_g29233_DN3_SP1_c.t1
OG0001969	XP_010467484.1, XP_019083776.1, XP_019096951.1	CP10_g43824_DN3_SP5_c.t1
OG0001969	XP_010446945.1, XP_010437494.1, XP_010432301.1	CP5_g479_DN3_SP6_c.t1
OG0001970	XP_010467525.1, XP_010489382.1, XP_010514864.1	CP10_g43791_DN3_SP8_c.t1
OG0001970	XP_010432275.1, XP_010437462.1, XP_010446918.1	CP5_g461_DN3_SP6_c.t1
OG0001971	XP_010467565.1, XP_010489402.1, XP_010514697.1	CP10_g43765_DN3_SP8_c.t1
OG0001971	XP_010446875.1, XP_010437419.1, XP_010432223.1	CP5_g428_DN3_SP0_c.t1
OG0001972	XP_010413502.1, XP_010489410.1, XP_010467573.1	CP10_g43744_DN3_SP3_c.t1
OG0001972	XP_010446852.1, XP_010437400.1, XP_010432209.1	CP5_g418_DN3_SP8_c.t1
OG0001973	XP_010465279.1, XP_010487184.1, XP_010501530.1	CP10_g43367_DN3_SP6_c.t1
OG0001973	XP_010501089.1, XP_010462326.1, XP_010480012.1	CP7_g46337_DN3_SP1_c.t1
OG0001974	XP_010502377.1, XP_010487310.1, XP_010465428.1	CP10_g43463_DN3_SP8_c.t1
OG0001974	XP_010462209.1, XP_010500968.1	CP7_g46250_DN3_SP8_c.t1
OG0001975	XP_010426930.1, XP_010515779.1, XP_010504054.1	CP3_g14062_DN3_SP8_c.t1
OG0001975	XP_010509456.1, XP_010516883.1, XP_010505203.1	CP4_g25083_DN3_SP7_c.t1
OG0001977	XP_019086433.1	CP71_g11196_DN2_SP6_c.t1
OG0001977	XP_019092128.1, XP_019096618.1, XP_019083371.1	CP12_g30785_DN2_SP4_c.t1
OG0001978	XP_010450031.1, XP_010440456.1	CP6_g7495_DN1_SP0_c.t1, CP6_g7496_DN2_SP0_c.t1
OG0001978	XP_019101432.1, XP_010485484.1, XP_010463645.1	CP10_g42235_DN3_SP0_c.t1
OG0001979	XP_010450024.1, XP_010440447.1, XP_010435109.1	CP6_g7488_DN3_SP3_c.t1
OG0001979	XP_010466600.1	CP12_g30662_DN3_SP8_c.t1
OG0001980	XP_010435091.1, XP_010450015.1	CP6_g7464_DN3_SP8_c.t1
OG0001980	XP_010488323.1, XP_010511855.1, XP_010466583.1	CP12_g30649_DN3_SP8_c.t1
OG0001981	XP_010449880.1, XP_010434910.1, XP_010440236.1	CP6_g7281_DN3_SP8_c.t1
OG0001982	XP_010516208.1, XP_010504493.1, XP_010427416.1	CP3_g13741_DN3_SP8_c.t1
OG0001982	XP_010505756.1, XP_010517448.1, XP_010508883.1	CP4_g24690_DN3_SP6_c.t1
OG0001984	XP_010425380.1, XP_010514328.1, XP_010502602.1, XP_010502601.1	CP13_g19344_DN3_SP5_c.t1
OG0001984	XP_010476266.1, XP_010458729.1, XP_019096959.1	CP1_g37590_DN3_SP7_c.t1
OG0001985	XP_010481558.1, XP_010441699.1, XP_010494667.1	CP13_g19963_DN3_SP8_c.t1
OG0001985	XP_010439772.1, XP_010449418.1, XP_010434467.1	CP6_g6902_DN3_SP8_c.t1
OG0001986	XP_010500515.1, XP_010461814.1, XP_010479440.1	CP1_g38134_DN3_SP7_c.t1
OG0001986	XP_010466061.1, XP_010487861.1	CP12_g30268_DN3_SP1_c.t1
OG0001987	XP_010500668.1, XP_010479555.1	CP1_g38026_DN3_SP1_c.t1
OG0001987	XP_010509100.1, XP_010488042.1	CP12_g30414_DN3_SP8_c.t1
OG0001988	XP_010500738.1, XP_010479648.1, XP_010461994.1	CP1_g37968_DN3_SP5_c.t1
OG0001988	XP_010466341.1, XP_010488103.1, XP_019082804.1	CP12_g30466_DN3_SP4_c.t1
OG0001989	XP_010503838.1, XP_010465618.1, XP_019096662.1	CP12_g29964_DN3_SP7_c.t1
OG0001990	XP_019101923.1, XP_019090086.1, XP_010485214.1, XP_010451458.1, XP_010485213.1, XP_019098414.1, XP_019082657.1, XP_010413070.1, XP_010418004.1	CP6_g8672_DN2_SP0_c.t1, CP25_g55810_DN2_SP0_c.t1, CP29_g22156_DN2_SP0_c.t1
OG0001992	XP_010445298.1, XP_010434608.1, XP_010449546.1	CP6_g7038_DN3_SP0_c.t1
OG0001992	XP_010481417.1, XP_010441550.1, XP_019097973.1	CP13_g19827_DN3_SP0_c.t1
OG0001993	XP_010428386.1, XP_010422711.1	CP8_g54529_DN3_SP2_c.t1
OG0001994	XP_010422147.1, XP_010434035.1, XP_010455610.1	CP20_g4398_DN3_SP0_c.t1
OG0001994	XP_010433972.1, XP_010439263.1, XP_010448809.1	CP19_g18383_DN3_SP6_c.t1
OG0001995	XP_010434062.1, XP_010439346.1, XP_010448906.1	CP19_g18448_DN3_SP5_c.t1
OG0001996	XP_010434104.1, XP_010448968.1, XP_019087802.1	CP19_g18489_DN3_SP3_c.t1
OG0001997	XP_010422414.1, XP_010431656.1, XP_010455854.1	CP11_g31910_DN3_SP8_c.t1
OG0001997	XP_010449093.1, XP_010439496.1, XP_010434201.1	CP6_g6730_DN3_SP3_c.t1
OG0001998	XP_010413211.1, XP_010512697.1, XP_010468899.1	CP3_g13103_DN2_SP0_c.t1
OG0001998	XP_010518517.1, XP_010507828.1, XP_010506844.1, XP_010438534.1	CP4_g23928_DN3_SP0_c.t1
OG0001999	XP_010506486.1, XP_010508170.1	CP4_g24186_DN3_SP8_c.t1
OG0001999	XP_010469136.1, XP_010413505.1, XP_010512420.1	CP3_g13305_DN3_SP8_c.t1
OG0002000	XP_010508213.1, XP_010518122.1, XP_010506446.1	CP4_g24222_DN3_SP8_c.t1
OG0002000	XP_010469167.1, XP_010512385.1, XP_010413544.1	CP3_g13334_DN3_SP8_c.t1
OG0002001	XP_010413545.1, XP_010512384.1, XP_010469168.1	CP3_g13335_DN3_SP0_c.t1
OG0002001	XP_010506445.1, XP_010518117.1, XP_010508214.1	CP4_g24223_DN3_SP0_c.t1
OG0002002	XP_010413606.1, XP_010469236.1, XP_010512308.1	CP3_g13385_DN3_SP8_c.t1
OG0002002	XP_010508312.1	CP4_g24300_DN3_SP8_c.t1
OG0002003	XP_010491326.1, XP_010475916.1, XP_010458398.1	CP1_g37339_DN3_SP8_c.t1
OG0002003	XP_010427686.1, XP_010504732.1, XP_019102426.1	CP3_g13555_DN3_SP8_c.t1
OG0002005	XP_010433327.1, XP_010448088.1, XP_010438564.1	CP5_g1232_DN3_SP8_c.t1
OG0002005	XP_010442920.1, XP_010482754.1, XP_010445889.1	CP8_g53319_DN3_SP8_c.t1
OG0002007	XP_019100513.1, XP_019102020.1, XP_019101252.1	CP4_g24836_DN2_SP0_c.t1
OG0002009	XP_010515623.1, XP_010503893.1, XP_010426765.1	CP3_g14184_DN3_SP8_c.t1
OG0002009	XP_019101258.1, XP_010505433.1, XP_010517105.1	CP4_g24907_DN3_SP7_c.t1
OG0002011	XP_019098785.1, XP_010416863.1, XP_010429019.1	CP16_g54748_DN3_SP0_c.t1
OG0002011	XP_010431836.1, XP_010446401.1, XP_010436982.1	CP5_g65_DN3_SP0_c.t1
OG0002012	XP_010437905.1, XP_010421895.1, XP_010455379.1	CP20_g4077_DN3_SP0_c.t1, CP20_g4134_DN3_SP4_c.t1
OG0002013	XP_010486021.1, XP_010464095.1, XP_010430361.1	CP10_g42556_DN3_SP4_c.t1
OG0002013	XP_010455072.1, XP_010421561.1, XP_010493963.1	CP2_g48571_DN3_SP6_c.t1
OG0002014	XP_010413227.1, XP_010468914.1, XP_010512678.1	CP3_g13119_DN3_SP8_c.t1
OG0002014	XP_010506806.1, XP_010518480.1, XP_010507865.1	CP4_g23956_DN3_SP8_c.t1
OG0002015	XP_010506794.1, XP_010512806.1, XP_010413108.1	CP4_g23964_DN3_SP0_c.t1
OG0002015	XP_010512664.1, XP_010413254.1, XP_010468929.1	CP3_g13133_DN3_SP0_c.t1
OG0002016	XP_010505027.1, XP_010505065.1, XP_010487590.1, XP_010465742.1	CP12_g30055_DN2_SP0_c.t1
OG0002017	XP_010508620.1, XP_010506011.1, XP_010517714.1	CP4_g24514_DN3_SP0_c.t1
OG0002017	XP_010427698.1, XP_010507503.1, XP_010504739.1, XP_010516441.1	CP3_g13547_DN3_SP0_c.t1
OG0002018	XP_010485956.1, XP_010424987.1, XP_010464044.1	CP10_g42515_DN3_SP5_c.t1
OG0002018	XP_010414929.1, XP_010511227.1, XP_010418919.2, XP_010480201.1	CP2_g50300_DN3_SP6_c.t1
OG0002019	XP_019096632.1, XP_019097630.1, XP_019097166.1, XP_019097779.1, XP_019092094.1, XP_019093730.1, XP_019089851.1, XP_019084528.1	CP8_g54464_DN2_SP0_c.t1
OG0002020	XP_010487591.1, XP_010468224.1, XP_010505073.1	CP12_g30056_DN3_SP0_c.t1
OG0002021	XP_010505177.1, XP_010465754.1, XP_010487599.1	CP12_g30067_DN3_SP8_c.t1
OG0002021	XP_010500315.1, XP_010461603.1, XP_019095176.1	CP1_g38338_DN3_SP8_c.t1
OG0002022	XP_010487624.1, XP_010465792.1	CP12_g30082_DN3_SP8_c.t1
OG0002022	XP_010479243.1, XP_010461636.1	CP1_g38313_DN3_SP8_c.t1
OG0002023	XP_010425738.1, XP_010514647.1, XP_010502964.1	CP13_g19115_DN3_SP4_c.t1
OG0002023	XP_010450824.1, XP_010441048.1, XP_010435831.1	CP5_g1542_DN3_SP6_c.t1
OG0002024	XP_010440856.1, XP_010450500.1, XP_010435579.1	CP5_g1802_DN3_SP3_c.t1
OG0002025	XP_010466506.1, XP_019083034.1, XP_010488248.1	CP12_g30596_DN3_SP8_c.t1
OG0002025	XP_010440363.1, XP_010435003.1, XP_010496132.1	CP6_g7412_DN3_SP7_c.t1
OG0002026	XP_010454116.1, XP_010492884.1	CP8_g54475_DN3_SP3_c.t1
OG0002026	XP_010492882.1, XP_019083878.1	CP8_g54476_DN3_SP1_c.t1
OG0002027	XP_010456237.1, XP_010422804.1, XP_010427500.1	CP8_g54604_DN3_SP7_c.t1
OG0002027	XP_010480177.1, XP_010457114.1, XP_010474755.1	CP1_g36464_DN3_SP8_c.t1
OG0002028	XP_010427934.1, XP_010422757.1, XP_010456196.1	CP8_g54573_DN3_SP6_c.t1
OG0002028	XP_010457135.1, XP_010474732.1, XP_010480374.1	CP1_g36482_DN3_SP6_c.t1
OG0002029	XP_010457006.1, XP_010466778.1	CP8_g54572_DN3_SP0_c.t1
OG0002030	XP_010481170.1, XP_010457253.1, XP_010474846.1	CP1_g36803_DN3_SP0_c.t1
OG0002030	XP_010422630.1, XP_010429296.1, XP_010456070.1	CP11_g32096_DN3_SP0_c.t1
OG0002032	XP_010511303.1, XP_010480275.1, XP_010415009.2	CP2_g49840_DN3_SP2_c.t1
OG0002032	XP_010475767.1, XP_010489936.1, XP_010458217.1	CP1_g37214_DN3_SP8_c.t1
OG0002033	XP_010491424.1, XP_010458409.1, XP_010475928.1	CP1_g37348_DN3_SP0_c.t1
OG0002034	XP_010430146.1, XP_010418104.1, XP_010473337.1	CP2_g49150_DN3_SP6_c.t1
OG0002035	XP_010476100.1	CP1_g37464_DN3_SP3_c.t1
OG0002035	XP_010473410.1, XP_010418166.1, XP_010430215.1	CP2_g49086_DN3_SP8_c.t1
OG0002036	XP_010473534.1, XP_010430382.1, XP_010418312.1	CP2_g48970_DN3_SP8_c.t1
OG0002036	XP_010458693.1, XP_010494443.1, XP_010476235.1	CP1_g37565_DN3_SP8_c.t1
OG0002037	XP_010425347.1, XP_010514289.1, XP_010502548.1	CP13_g19374_DN3_SP5_c.t1
OG0002037	XP_010476293.1, XP_010458748.1, XP_010494920.1	CP1_g37606_DN3_SP5_c.t1
OG0002038	XP_010496390.1, XP_010458978.1, XP_010476532.1	CP1_g37776_DN1_SP0_c.t1
OG0002038	XP_010502201.1, XP_010513934.1, XP_010502189.1	CP13_g19614_DN3_SP0_c.t1
OG0002039	XP_010497268.1, XP_010476651.1	CP4_g25555_DN3_SP0_c.t1, CP3_g14961_DN3_SP0_c.t1
OG0002041	XP_010498829.1, XP_010460111.1, XP_010477612.1	CP7_g45461_DN3_SP6_c.t1
OG0002041	XP_010471073.1, XP_010427855.1	CP9_g28692_DN3_SP8_c.t1
OG0002042	XP_010441344.1, XP_019087719.1	CP19_g17851_DN3_SP8_c.t1
OG0002042	XP_010473689.1, XP_010430555.1, XP_010418487.1	CP13_g19091_DN3_SP6_c.t1
OG0002043	XP_010431775.1, XP_010436933.1, XP_010446345.1	CP5_g23_DN2_SP0_c.t1
OG0002044	XP_010516350.1, XP_010489251.1, XP_010467403.1	CP10_g43896_DN3_SP7_c.t1
OG0002045	XP_010447296.1, XP_010437813.1, XP_010432622.1	CP5_g706_DN3_SP7_c.t1
OG0002045	XP_010429639.1, XP_010472645.1, XP_010417401.1	CP18_g12298_DN3_SP8_c.t1
OG0002046	XP_010473882.1, XP_010418683.1, XP_010513116.1, XP_010473886.1, XP_010513123.1, XP_010513117.1, XP_010418686.1, XP_019100798.1	CP4_g25535_DN3_SP0_c.t1, CP4_g25495_DN3_SP0_c.t1
OG0002047	XP_019090154.1	CP3_g14332_DN3_SP0_c.t1
OG0002048	XP_010421901.1, XP_010437792.1, XP_010455382.1	CP20_g4137_DN3_SP1_c.t1, CP20_g4143_DN3_SP1_c.t1
OG0002052	XP_010451316.1, XP_019085773.1, XP_010415083.1, XP_010507444.1, XP_010507445.1, XP_010463228.1, XP_010431288.1, XP_010468183.1, XP_010468182.1, XP_019085935.1, XP_019084173.1, XP_019086488.1, XP_010497136.1, XP_010430659.1, XP_019085816.1, XP_019082590.1, XP_019087274.1, XP_010463247.1, XP_010418880.1, XP_019085409.1, XP_010463299.1, XP_010462983.1, XP_010501819.1, XP_019085488.1, XP_010463215.1, XP_010484950.1, XP_010437410.1, XP_010463337.1, XP_010481200.1, XP_010484968.1, XP_010469730.1, XP_010469740.1, XP_010445258.1, XP_010485295.1	CP6_g8576_DN1_SP0_c.t1
OG0002056	XP_010483486.1, XP_010454275.1, XP_010443631.1	CP8_g53883_DN3_SP5_c.t1
OG0002056	XP_010515039.1, XP_010426167.1, XP_010503328.1	CP3_g14680_DN3_SP8_c.t1
OG0002057	XP_010503431.1, XP_019102284.1, XP_010426278.1	CP3_g14577_DN3_SP5_c.t1
OG0002057	XP_010459447.1, XP_010484005.1, XP_010444155.1	CP2_g48017_DN3_SP3_c.t1
OG0002058	XP_010454041.1, XP_010492817.1, XP_010420561.1	CP8_g54517_DN3_SP8_c.t1
OG0002058	XP_010515838.1, XP_010463859.1, XP_010485756.1	CP10_g42389_DN3_SP8_c.t1
OG0002059	XP_010454038.1, XP_010492813.1	CP8_g54518_DN3_SP5_c.t1
OG0002059	XP_010453587.1, XP_010492270.1, XP_010420103.1	CP11_g32506_DN2_SP0_c.t1
OG0002060	XP_010492802.1, XP_010454030.1	CP11_g32162_DN3_SP0_c.t1
OG0002060	XP_010420536.1, XP_019098086.1, XP_010454021.1	CP11_g32174_DN3_SP0_c.t1
OG0002061	XP_010497370.1, XP_010463793.1, XP_010510613.1, XP_010485684.1	CP10_g42336_DN3_SP0_c.t1
OG0002061	XP_010420474.1, XP_010492704.1, XP_010453947.1	CP11_g32223_DN3_SP0_c.t1
OG0002062	XP_019090398.1, XP_010492609.1, XP_010424131.1	CP11_g32286_DN3_SP8_c.t1
OG0002062	XP_010504293.1, XP_010485629.1, XP_010463736.2	CP10_g42293_DN3_SP1_c.t1
OG0002063	XP_010485604.1, XP_010501311.1, XP_010463702.1	CP10_g42268_DN3_SP6_c.t1
OG0002063	XP_010492548.1, XP_010453804.1	CP11_g32328_DN3_SP8_c.t1
OG0002064	XP_010453781.1, XP_010420310.1, XP_010492508.1	CP11_g32348_DN3_SP6_c.t1
OG0002064	XP_010463682.1, XP_010499762.1, XP_010485582.1	CP10_g42256_DN3_SP8_c.t1
OG0002065	XP_010463662.1, XP_010498199.1, XP_010485559.1	CP10_g42245_DN3_SP8_c.t1
OG0002065	XP_010420281.1, XP_010492475.1, XP_010453752.1	CP11_g32368_DN3_SP8_c.t1
OG0002066	XP_010485491.1, XP_010463650.1, XP_010495813.1	CP10_g42241_DN3_SP8_c.t1
OG0002066	XP_010420275.1, XP_010453743.1, XP_010492449.1	CP11_g32378_DN3_SP7_c.t1
OG0002067	XP_010492241.1, XP_010420073.1, XP_010453558.1	CP11_g32528_DN3_SP8_c.t1
OG0002067	XP_010485381.1, XP_010496278.1, XP_010435655.1	CP10_g42127_DN3_SP5_c.t1
OG0002068	XP_010453433.1, XP_010492115.1, XP_010419940.1	CP11_g32615_DN3_SP8_c.t1
OG0002068	XP_010486971.1, XP_010499116.1	CP10_g43208_DN3_SP6_c.t1
OG0002069	XP_010419876.1, XP_010453367.1, XP_010492055.1	CP11_g32656_DN3_SP8_c.t1
OG0002069	XP_010478041.1, XP_010462922.1, XP_010499189.1	CP7_g45160_DN3_SP6_c.t1
OG0002070	XP_010454927.1, XP_010493842.1	CP2_g48487_DN3_SP8_c.t1
OG0002070	XP_010491906.1, XP_010419745.1, XP_010453214.1	CP11_g32767_DN3_SP8_c.t1
OG0002072	XP_019096027.1, XP_010462798.1, XP_010444421.1	CP11_g32942_DN3_SP7_c.t1
OG0002073	XP_010422975.1, XP_010491582.1, XP_010452944.1	CP20_g4340_DN2_SP0_c.t1
OG0002073	XP_010422974.1, XP_010452946.1, XP_010491583.1	CP11_g32974_DN3_SP0_c.t1
OG0002074	XP_010443938.1, XP_010457069.1, XP_010483789.1	CP2_g48178_DN3_SP2_c.t1
OG0002074	XP_010452749.1, XP_010423164.1, XP_010491400.1	CP11_g33112_DN3_SP5_c.t1
OG0002075	XP_010446129.1, XP_010422508.1, XP_010430601.1, XP_010456961.1	CP11_g31994_DN3_SP1_c.t1
OG0002075	XP_010474960.1, XP_010481943.1	CP1_g36733_DN3_SP0_c.t1
OG0002076	XP_010473196.1, XP_010417951.1	CP4_g25968_DN3_SP8_c.t1
OG0002077	XP_010414551.1, XP_019101472.1, XP_019093456.1	CP4_g25923_DN3_SP6_c.t1
OG0002077	XP_010458024.1, XP_010475592.1	CP1_g37082_DN3_SP7_c.t1
OG0002078	XP_010485029.1, XP_010457639.1, XP_010475247.1	CP1_g36841_DN3_SP8_c.t1
OG0002078	XP_010414053.1, XP_010510119.1	CP4_g25550_DN3_SP4_c.t1
OG0002079	XP_010475216.1, XP_010484879.1, XP_010457615.1	CP1_g36821_DN3_SP5_c.t1
OG0002079	XP_010510059.1, XP_010414019.1, XP_010469621.1	CP3_g14714_DN3_SP0_c.t1
OG0002080	XP_010475017.1, XP_010457404.1, XP_010482678.2	CP1_g36690_DN2_SP0_c.t1
OG0002080	XP_010441925.1, XP_010494416.1	CP13_g20195_DN3_SP0_c.t1
OG0002081	XP_010481942.1, XP_010442116.1, XP_010494236.1	CP13_g20581_DN3_SP3_c.t1
OG0002081	XP_010500244.1, XP_010461521.1, XP_010479123.1	CP1_g38483_DN3_SP8_c.t1
OG0002082	XP_010458930.1, XP_010476486.1, XP_010495978.1	CP1_g37741_DN3_SP8_c.t1
OG0002082	XP_010425052.1, XP_010514053.1	CP13_g19549_DN3_SP8_c.t1
OG0002083	XP_010464904.1, XP_010444735.1	CP2_g47603_DN3_SP8_c.t1
OG0002083	XP_010414323.1, XP_010467662.1, XP_010489548.1	CP10_g43670_DN3_SP8_c.t1
OG0002084	XP_010503664.1, XP_010426526.1, XP_010515361.2	CP3_g14381_DN2_SP0_c.t1
OG0002084	XP_010412679.1	CP20_g4260_DN2_SP0_c.t1
OG0002084	XP_010464071.1, XP_010484499.1, XP_010444650.1	CP2_g47674_DN3_SP0_c.t1
OG0002085	XP_010462607.1, XP_010484288.1, XP_010444447.1	CP2_g47807_DN3_SP0_c.t1
OG0002086	XP_010444005.1, XP_010483861.1, XP_010457723.1	CP2_g48123_DN3_SP7_c.t1
OG0002086	XP_010452695.1, XP_010423220.1, XP_010491342.1	CP11_g33164_DN3_SP7_c.t1
OG0002087	XP_010515307.1, XP_010503618.1, XP_010426471.1	CP3_g14420_DN3_SP8_c.t1
OG0002087	XP_010454784.1, XP_010421304.1	CP2_g48385_DN3_SP8_c.t1, CP1_g36968_DN3_SP0_c.t1
OG0002088	XP_019088181.1, XP_010456680.1, XP_019084647.1	CP2_g48394_DN3_SP0_c.t1
OG0002088	XP_010454803.1, XP_010493724.1, XP_010421320.1	CP2_g48393_DN3_SP0_c.t1
OG0002089	XP_010503019.1, XP_010514705.1, XP_010425798.1, XP_019096615.1	CP3_g16539_DN3_SP4_c.t1
OG0002089	XP_010493156.1, XP_010454354.1, XP_010420887.1	CP8_g54273_DN3_SP5_c.t1
OG0002090	XP_010493401.1, XP_010454572.1	CP8_g54108_DN3_SP4_c.t1
OG0002090	XP_010514824.1, XP_010503144.1, XP_010425925.1	CP3_g14953_DN1_SP2_c.t1
OG0002092	XP_010433568.1, XP_010448343.1, XP_010438816.1	CP19_g18045_DN3_SP8_c.t1
OG0002092	XP_010451866.1, XP_010483223.1	CP8_g53715_DN3_SP8_c.t1
OG0002093	XP_010433549.1, XP_010438804.1, XP_010448323.1	CP19_g18028_DN3_SP0_c.t1
OG0002093	XP_010483179.1, XP_010451636.1, XP_010443352.1	CP8_g53684_DN3_SP8_c.t1
OG0002094	XP_010438757.1, XP_010433509.1, XP_010448273.1	CP19_g17999_DN3_SP2_c.t1
OG0002094	XP_010483102.1, XP_010443278.1, XP_010450894.1	CP8_g53613_DN3_SP8_c.t1
OG0002095	XP_010438706.1, XP_010448220.1, XP_010433449.1	CP19_g17961_DN1_SP7_c.t1
OG0002096	XP_010448765.1, XP_010482896.1	CP8_g53457_DN3_SP8_c.t1
OG0002096	XP_019088846.1, XP_010438669.1, XP_010433417.1	CP5_g1308_DN3_SP8_c.t1
OG0002097	XP_010422556.1, XP_010455996.1, XP_010430038.1	CP11_g32033_DN3_SP5_c.t1
OG0002097	XP_010481523.1, XP_010474912.1, XP_010474910.1	CP1_g36760_DN3_SP8_c.t1
OG0002098	XP_010460626.1, XP_010447091.1, XP_010478207.1, XP_010432421.1, XP_019097846.1	CP11_g32026_DN3_SP0_c.t1
OG0002099	XP_010486775.1, XP_010486479.1	CP10_g43091_DN3_SP6_c.t1
OG0002100	XP_010490594.1, XP_019089954.1, XP_019089952.1, XP_010423923.1	CP11_g33692_DN3_SP0_c.t1
OG0002100	XP_010468440.1, XP_010486458.1, XP_010464535.1	CP10_g42871_DN2_SP0_c.t1
OG0002101	XP_010507438.1	CP10_g42312_DN3_SP8_c.t1
OG0002101	XP_010490565.1, XP_010423954.1, XP_019089935.1	CP11_g33716_DN3_SP7_c.t1
OG0002102	XP_010425457.1, XP_010514407.1, XP_010502681.1	CP13_g19291_DN3_SP8_c.t1
OG0002102	XP_010450604.1	CP19_g17946_DN3_SP8_c.t1
OG0002104	XP_010497362.1, XP_010476664.1	CP7_g46160_DN3_SP8_c.t1
OG0002104	XP_010417699.1, XP_010472916.1	CP9_g29665_DN3_SP8_c.t1
OG0002105	XP_010497716.1, XP_010459157.1, XP_010476726.1	CP7_g46120_DN3_SP4_c.t1
OG0002105	XP_010417634.1, XP_010472832.1, XP_010429866.1	CP9_g29603_DN3_SP7_c.t1
OG0002106	XP_010476755.1, XP_010497848.1, XP_010459184.1	CP7_g46100_DN3_SP6_c.t1
OG0002106	XP_019085163.1, XP_010472776.1, XP_019082849.1	CP9_g29565_DN3_SP7_c.t1
OG0002107	XP_010476759.1	CP9_g29559_DN3_SP8_c.t1
OG0002108	XP_010429786.1, XP_010417536.1, XP_010472753.1	CP9_g29555_DN3_SP1_c.t1
OG0002108	XP_010497920.1, XP_010459191.1, XP_010476761.1	CP7_g46096_DN3_SP0_c.t1
OG0002109	XP_010459957.1	CP7_g45571_DN3_SP8_c.t1
OG0002110	XP_010471866.1, XP_010431541.1, XP_010416626.1	CP9_g29346_DN3_SP8_c.t1
OG0002110	XP_010477405.1, XP_010498599.1	CP7_g45638_DN3_SP8_c.t1
OG0002111	XP_010459808.1, XP_010477366.1, XP_010498559.1	CP7_g45663_DN3_SP8_c.t1
