Orthogroup	Camelina_sativa	Alyssum_gmelinii
OG0002167	XP_010444881.1	Ag011G1035700
OG0002168	XP_010431556.1, XP_010472132.1	Ag015G2181500
OG0002168	XP_010437006.2, XP_010431861.1, XP_010446444.1	Ag011G1040500
OG0002169	XP_010446439.1, XP_010431866.1, XP_010437013.1	Ag011G1041000
OG0002169	XP_019093909.1, XP_019083715.1, XP_010429059.1	Ag015G2182000
OG0002170	XP_010429130.1, XP_010472210.1, XP_010416973.1	Ag015G2189600
OG0002170	XP_019083464.1, XP_010472176.1	Ag015G2186400
OG0002171	XP_010437244.1, XP_010421950.1, XP_010455430.1	Ag021G2602700
OG0002172	XP_010494072.1, XP_010455163.1, XP_010421672.1	Ag038G4177500
OG0002172	XP_010485881.1, XP_010463980.1, XP_010420228.1	Ag014G1826000
OG0002174	XP_010518193.1, XP_010506524.1, XP_019101161.1	Ag003G0316800
OG0002174	XP_010474808.1, XP_010457074.1	Ag034G3654100
OG0002175	XP_010446623.1, XP_010437185.1, XP_010448303.1	Ag003G0407500, Ag003G0407400, Ag025G2972300, Ag003G0406700
OG0002176	XP_010464113.1, XP_019096212.1, XP_010431049.1	Ag014G1841300
OG0002177	XP_010464285.1, XP_010446228.1, XP_010486222.1, XP_010442362.1, XP_010442359.1	Ag014G1863200
OG0002178	XP_010464328.1, XP_010486261.1, XP_010449510.1	Ag014G1866400
OG0002179	XP_010463101.1, XP_010486405.1, XP_010464472.1	Ag014G1882400
OG0002179	XP_019092792.1, XP_010463021.1, XP_010486401.1, XP_019100658.1	Ag014G1882200
OG0002180	XP_010498552.1, XP_010497629.2, XP_010464963.1	Ag014G1944900
OG0002181	XP_010479241.1, XP_010461637.1	Ag025G2926800
OG0002181	XP_010505302.1, XP_010487629.1, XP_010465793.1	Ag014G2058300
OG0002182	XP_010465898.1, XP_010506481.1, XP_010487727.1	Ag014G2074300
OG0002182	XP_010500402.1, XP_010461693.1, XP_010479289.1	Ag025G2941900
OG0002183	XP_010487766.1, XP_010506890.1, XP_010465940.1, XP_010461753.1, XP_010479341.1, XP_010500457.1	Ag014G2084000
OG0002184	XP_010487869.1, XP_010507626.1, XP_010466072.1	Ag014G2117400
OG0002185	XP_010441087.1, XP_010450775.1	Ag061G5019800
OG0002186	XP_010511470.1, XP_010466538.1, XP_010488283.1	Ag027G3035300
OG0002187	XP_010415048.1, XP_010511394.1, XP_019094052.1	Ag036G4115200
OG0002188	XP_010511222.1, XP_019094980.1, XP_010414926.1	Ag036G4123400, Ag002G0275100
OG0002189	XP_010426853.1, XP_010503981.1, XP_010515698.1, XP_010509549.1, XP_010516793.1, XP_010505110.1	Ag017G2411300
OG0002190	XP_010503885.1	Ag017G2423200
OG0002191	XP_010485082.1, XP_010457647.1, XP_010475259.1, XP_019093228.1, XP_010513144.1	Ag034G3716300
OG0002192	XP_010448544.1, XP_010462192.1, XP_010463441.1, XP_010475894.1	Ag034G3786300, Ag034G3785900, Ag034G3785600, Ag034G3786200
OG0002193	XP_010491057.1, XP_010462621.1, XP_019094384.1	Ag034G3787400
OG0002194	XP_010475909.1, XP_010458393.1, XP_010491281.1	Ag034G3788300
OG0002195	XP_019093052.1, XP_010418038.1, XP_019085268.1	Ag002G0221700
OG0002195	XP_010492141.2, XP_010480423.1, XP_010458470.1	Ag034G3797800
OG0002196	XP_010430358.1, XP_010418281.1	Ag002G0171800
OG0002196	XP_010494060.1, XP_010476202.1, XP_010458661.1	Ag034G3822400
OG0002197	XP_010476581.1, XP_010459024.1, XP_010496788.1	Ag034G3877300
OG0002198	XP_010498791.1, XP_010460075.1, XP_010477581.1	Ag034G4032900
OG0002198	XP_010415801.1, XP_010471111.1, XP_010427920.1	Ag034G4051000
OG0002199	XP_010427916.1, XP_010415797.1, XP_010471108.2	Ag034G4051700
OG0002199	XP_019094433.1, XP_010498796.1, XP_010460079.1	Ag034G4034100
OG0002200	XP_010427938.1, XP_010415814.1, XP_010471122.1, XP_010415810.1, XP_010427944.1	Ag034G4049300
OG0002201	XP_010430320.1	Ag002G0177000
OG0002202	XP_010473721.1, XP_010430591.1	Ag024G2893800
OG0002203	XP_010447845.1, XP_010438290.1, XP_010433089.1, XP_010495935.1, XP_010416788.1, XP_010489141.1	Ag065G5121800
OG0002204	XP_010468792.1, XP_010463294.1	Ag025G2903100
OG0002206	NP_001306958.1, XP_010471596.1, NP_001290396.1, XP_010498338.1, XP_010459587.1, XP_010477131.1	Ag072G5254300
OG0002207	XP_019083461.1, XP_010429099.1, XP_010472171.1, XP_010518487.1, XP_010478621.1, XP_010437054.1, XP_010431904.1	Ag011G1045000
OG0002208	XP_010446658.1, XP_010497558.1, XP_010432059.1, XP_010437228.1	Ag011G1078100
OG0002209	XP_019089010.1	Ag011G1153500
OG0002209	XP_010488667.1, XP_010437700.1, XP_010437701.1, XP_019089013.1, XP_010432497.1, XP_010447173.1	Ag011G1153700, Ag011G1152500, Ag011G1153200, Ag011G1217700
OG0002210	XP_010437642.1, XP_010447110.1, XP_010432438.1	Ag011G1158800
OG0002211	XP_010488465.1, XP_010466748.1	Ag064G5105200
OG0002212	XP_010499210.1, XP_010478059.1	Ag018G2485300
OG0002213	XP_010448203.1, XP_010433431.1, XP_010438688.1, XP_010482932.1, XP_010443119.1, XP_010449106.1	Ag010G1003800
OG0002221	XP_010461113.1, XP_010478682.1, XP_010499838.1, XP_010516697.1, XP_010505024.1	Ag013G1340900, Ag074G5278000
OG0002222	XP_010460662.1, XP_010499401.1, XP_010478248.1	Ag019G2547000
OG0002223	XP_010420473.1, XP_010492701.1, XP_010453945.1	Ag013G1363300
OG0002223	XP_010463790.1	Ag014G1799200
OG0002224	XP_010439003.1, XP_010433743.1, XP_010448541.1	Ag013G1402500
OG0002225	XP_010492271.1, XP_010420107.1, XP_019090454.1	Ag013G1441600
OG0002225	XP_010485405.1, XP_010435631.1, XP_010496296.1	Ag031G3154500
OG0002226	XP_010492163.1, XP_010419992.1, XP_010453485.1	Ag013G1458300, Ag013G1458900
OG0002227	XP_010473113.1	Ag013G1591000
OG0002227	XP_010488844.1, XP_019091569.1, XP_010475640.1	Ag034G3756000
OG0002228	XP_010470051.1, XP_010510588.1, XP_010414489.1	Ag013G1609900
OG0002228	XP_010488010.1, XP_010475555.1, XP_010457986.1	Ag034G3746700
OG0002229	XP_010510124.1, XP_010418713.1	Ag013G1656100
OG0002229	XP_010485061.1, XP_010475254.1, XP_019091784.1	Ag034G3716000
OG0002230	XP_010475085.1, XP_010457476.1	Ag034G3697000
OG0002230	XP_010481857.1, XP_010494330.1, XP_010442018.1	Ag013G1678300
OG0002231	XP_010457458.1	Ag034G3695700
OG0002231	XP_010494354.1, XP_010481829.1	Ag013G1682400
OG0002232	XP_019095580.1, XP_019095579.1, XP_010441907.1, XP_010494432.1	Ag013G1689700
OG0002233	XP_019094360.1	Ag034G3687400, Ag034G3687700, Ag034G3687200
OG0002233	XP_010422457.1	Ag013G1691200
OG0002234	XP_010448471.1, XP_010433681.1, XP_010438922.1, XP_010482458.1, XP_010442941.1, XP_019087228.1	Ag013G1692300
OG0002235	XP_010448459.1, XP_010438910.1, XP_019086623.1	Ag013G1693600
OG0002235	XP_010499594.1, XP_010460860.1, XP_010478478.1	Ag013G1746500
OG0002236	XP_010433618.1, XP_010448414.1, XP_010438865.1	Ag013G1698700
OG0002237	XP_010478277.1, XP_010499434.1, XP_010460690.1, XP_010413775.1, XP_010469397.1	Ag013G1727600
OG0002238	XP_010499549.1, XP_010467615.1, XP_010489508.1, XP_010413922.1	Ag013G1742500, Ag042G4379700
OG0002239	XP_010460891.1, XP_010478517.1	Ag013G1751400
OG0002240	XP_010460969.1, XP_010499691.1, XP_010478892.1	Ag013G1758300
OG0002241	XP_010461063.1, XP_010499787.1	Ag013G1767700
OG0002241	XP_010516717.1, XP_010505044.1, XP_010509621.1	Ag023G2837200
OG0002242	XP_010484556.1, XP_010464552.1, XP_010444696.1	Ag004G0421400
OG0002242	XP_010503702.1, XP_010515391.1, XP_010426575.1	Ag008G0956000
OG0002243	XP_010491336.1	Ag022G2657800
OG0002243	XP_010457733.1, XP_010483867.1, XP_010444008.1	Ag004G0492400, Ag048G4624000
OG0002244	XP_010443891.1, XP_010483739.1, XP_010456769.1	Ag004G0508700
OG0002245	XP_010497097.1, XP_010424279.1, XP_010435372.2, XP_010493616.1, XP_010493618.1, XP_010454773.1, XP_010421279.1	Ag004G0530600
OG0002246	XP_010514706.1, XP_010503017.1, XP_010425799.1, XP_010493159.1, XP_010420893.1, XP_010454359.1	Ag003G0411400, Ag025G2962500, Ag004G0571600, Ag004G0571200
OG0002247	XP_010420925.1, XP_010493189.1, XP_010454385.1, XP_010514709.1, XP_010503024.1, XP_010425806.1	Ag004G0575200, Ag004G0575000
OG0002248	XP_019093713.1, XP_010450803.1, XP_010440650.1, XP_010496005.1	Ag004G0577900
OG0002248	XP_010470043.2, XP_010450275.1, XP_010440647.2, XP_019089178.1	Ag034G3975500
OG0002249	XP_010443750.1, XP_019093009.1	Ag004G0634600
OG0002249	XP_010414458.1	Ag036G4088200
OG0002250	XP_019098488.1, XP_010483469.1, XP_010454084.1	Ag004G0662000
OG0002250	XP_010431524.1, XP_010485548.1, XP_010463527.1	Ag031G3156800
OG0002251	XP_010443447.1, XP_010483282.1, XP_010452498.1	Ag004G0682800
OG0002252	XP_010443316.1, XP_010483142.1, XP_010451346.1	Ag004G0711200
OG0002253	XP_010482888.1, XP_010448660.1, XP_010433408.1, XP_010438660.1, XP_010448179.1	Ag052G4843100, Ag033G3481100, Ag004G0754600
OG0002254	XP_010480329.1	Ag034G3677700
OG0002254	XP_010456000.1, XP_019084363.1	Ag022G2641300
OG0002255	XP_010439405.1, XP_010434107.1, XP_010448972.1	Ag033G3625300, Ag022G2676100, Ag022G2676400
OG0002256	XP_010464838.1, XP_010486783.1, XP_010494961.1	Ag014G1931700
OG0002256	XP_010491127.1, XP_010423420.1, XP_010452490.1	Ag022G2705800
OG0002257	XP_010464790.1, XP_010490021.1, XP_010486720.1	Ag014G1925000
OG0002257	XP_010452440.1, XP_010423477.1, XP_010495076.1	Ag022G2715400
OG0002258	XP_010509119.1, XP_010517142.1, XP_010505470.1	Ag039G4280200
OG0002258	XP_010423693.1, XP_010452238.1, XP_010490844.1	Ag022G2750700
OG0002259	XP_010490762.1, XP_010423796.1	Ag022G2765800
OG0002261	XP_019086357.1, XP_010450605.1, XP_010441250.1	Ag075G5289400
OG0002261	XP_010514411.1, XP_010502683.1, XP_010425459.1	Ag012G1309800
OG0002262	XP_010430000.1, XP_010417742.1, XP_010472977.1	Ag048G4561800
OG0002263	XP_010472951.1, XP_010429982.1, XP_010417726.1	Ag048G4563400
OG0002263	XP_010497204.1, XP_010476640.1	Ag034G3884500
OG0002264	XP_010417670.2, XP_010472884.1, XP_010429917.1	Ag048G4574000
OG0002264	XP_010459123.1, XP_010476686.1, XP_010497475.1	Ag034G3892900
OG0002265	XP_010477474.1, XP_010459955.1, XP_010498681.1	Ag034G4015700
OG0002266	XP_010416730.1, XP_010471971.1, XP_019085046.1	Ag048G4629200
OG0002266	XP_010480589.1, XP_010498657.1	Ag034G4013200
OG0002267	XP_010471856.1, XP_010416620.1, XP_010428760.1	Ag048G4650100
OG0002267	XP_010477393.1, XP_010498581.1, XP_010459838.1	Ag034G4000600
OG0002268	XP_010428670.1, XP_010416530.1, XP_010471769.1	Ag048G4675400
OG0002269	XP_010471659.1, XP_010416436.1, XP_010428572.1	Ag048G4707300
OG0002269	XP_010477198.1, XP_010459651.1, XP_010498397.1	Ag034G3967100
OG0002270	XP_010459638.1, XP_010498387.1, XP_010477186.1	Ag034G3965900
OG0002270	XP_019085013.1, XP_010471645.1, XP_010416415.1	Ag048G4709100
OG0002271	XP_010413607.1, XP_010469237.1, XP_010512304.1	Ag031G3230100
OG0002271	XP_010480105.1, XP_010501181.1, XP_010462417.1	Ag032G3429300
OG0002272	XP_010500491.1, XP_010465177.1, XP_010487098.1	Ag014G1965400
OG0002272	XP_010501167.1, XP_010462406.1, XP_010480093.1	Ag032G3431000
OG0002273	XP_010487113.1, XP_010465193.1, XP_010500673.1	Ag014G1968000
OG0002273	XP_010480071.1, XP_019091861.1, XP_010501151.1	Ag032G3437100, Ag001G0019000
OG0002274	XP_010450052.1, XP_010440481.1, XP_010435138.1	Ag007G0897200
OG0002275	XP_010435122.1, XP_010450038.1, XP_010440462.1	Ag007G0898800
OG0002275	XP_010450039.1, XP_010435123.1, XP_010440463.1	Ag007G0898600
OG0002276	XP_010428262.1, XP_010471397.1, XP_010416145.1	Ag078G5344300
OG0002276	XP_010459409.2, XP_010476957.2, XP_010498171.1	Ag034G3935000
OG0002277	XP_010415539.1, XP_010511937.1, XP_010470885.1	Ag056G4946100
OG0002278	XP_010447984.1, XP_010433224.1, XP_010438464.1	Ag088G5441400
OG0002279	XP_010433167.1, XP_010438388.1, XP_010447920.1	Ag045G4514400
OG0002279	XP_010495919.1, XP_010489072.1, XP_010416079.1	Ag088G5433700
OG0002280	XP_010514475.1, XP_010502767.1	Ag033G3590800, Ag012G1300300
OG0002281	XP_010425482.1, XP_010502705.1, XP_010514435.1	Ag012G1307700
OG0002282	XP_010458797.1, XP_010476343.1, XP_010495328.1	Ag034G3843800
OG0002282	XP_010514231.1, XP_010502490.1, XP_010425263.1	Ag012G1330000
OG0002283	XP_010479423.1, XP_010500543.1, XP_010461840.1	Ag001G0012600
OG0002284	XP_010500825.1, XP_010462064.1, XP_010479732.1	Ag001G0075400
OG0002284	XP_010487455.1, XP_010503795.1, XP_010465616.1	Ag014G2026500
OG0002285	XP_010516579.1, XP_010504887.1, XP_010509768.1	Ag023G2817400
OG0002285	XP_010504888.1, XP_010509767.1, XP_010516580.1	Ag023G2817500
OG0002286	XP_010509595.1, XP_019099753.1, XP_010513041.1	Ag023G2842200, Ag039G4297600, Ag039G4309000, Ag039G4309300, Ag066G5129300, Ag066G5129600, Ag023G2842100
OG0002287	XP_010434798.1, XP_010440126.2, XP_010449753.1	Ag031G3141000
OG0002287	XP_010516774.1, XP_010505091.1, XP_010509573.1	Ag023G2845100
OG0002288	XP_010495770.1, XP_010484763.1, XP_010445785.1	Ag031G3391400
OG0002288	XP_010436506.1, XP_010449539.1, XP_010439925.1	Ag050G4786100
OG0002289	XP_010440017.1, XP_010434680.1, XP_010449628.1	Ag050G4798000
OG0002289	XP_010481330.1, XP_010494975.1, XP_010441467.1	Ag016G2330600
OG0002290	XP_010486671.1, XP_010486370.1, XP_010468101.1, XP_010418602.1, XP_010468102.1	Ag014G2019200, Ag008G0949000, Ag014G2019300
OG0002291	XP_010515430.1, XP_010426600.1, XP_010503726.1	Ag008G0951400
OG0002292	XP_010431199.1, XP_010503686.1	Ag008G0960900, Ag008G0961300
OG0002293	XP_010439185.1, XP_010448718.1, XP_010433915.1	Ag077G5324000, Ag033G3495400
OG0002293	XP_010485051.1, XP_010473231.1, XP_010446028.1	Ag051G4818600
OG0002294	XP_010494514.1, XP_010481723.1, XP_010441841.1	Ag016G2345000
OG0002294	XP_010434312.1, XP_010439609.1, XP_010449215.1	Ag033G3572300
OG0002295	XP_010436004.1, XP_010421830.1, XP_010455321.1	Ag028G3077300, Ag026G2984200
OG0002295	XP_010476530.1, XP_010458977.1, XP_010496379.1	Ag034G3867800
OG0002296	XP_019102478.1, XP_019102479.1	Ag031G3143800
OG0002297	XP_019098606.1, XP_010468891.1, XP_010497016.2, XP_010512714.1, XP_019093187.1, XP_010413203.1	Ag031G3174000
OG0002298	XP_010506559.1, XP_010518223.1, XP_010508105.1	Ag003G0314200
OG0002298	XP_010512458.1, XP_010469048.1	Ag031G3211000
OG0002299	XP_010504643.1, XP_010516333.1, XP_010427588.1	Ag031G3302000
OG0002299	XP_010505925.2, XP_010512910.1, XP_019082317.1	Ag003G0411000
OG0002300	XP_010412977.1, XP_010505831.1, XP_010517518.1, XP_010508808.1	Ag039G4193900
OG0002301	XP_010505737.1, XP_010508901.1, XP_010517427.1	Ag039G4216800
OG0002301	XP_010427402.1, XP_010504473.1, XP_010516193.1	Ag031G3331000
OG0002302	XP_019102539.1	Ag039G4241200
OG0002302	XP_010427293.1, XP_010504382.1	Ag031G3347100
OG0002303	XP_010504339.1, XP_010516057.1, XP_010427242.1	Ag031G3357900
OG0002304	XP_010477761.1	Ag053G4873300, Ag053G4873400, Ag025G2903000, Ag025G2903200
OG0002305	XP_010436948.1, XP_010446361.1	Ag011G1030800
OG0002305	XP_010511788.1, XP_010415416.1, XP_010470751.1	Ag067G5196700
OG0002306	XP_019091897.1	Ag034G3706200
OG0002306	XP_010433092.1, XP_010422243.1, XP_010496155.1	Ag066G5137700
OG0002307	XP_010429080.1, XP_010416915.1, XP_010472156.1	Ag015G2184100
OG0002307	XP_010437034.1, XP_010431887.1, XP_010446453.1	Ag011G1043600
OG0002308	XP_010446585.1, XP_010431981.1, XP_010437123.1	Ag011G1060700
OG0002308	XP_010416995.1, XP_010429155.1, XP_010472223.1	Ag015G2191500
OG0002309	XP_019091107.1, XP_019100886.1, XP_019100887.1, XP_010500069.1, XP_010461353.1, XP_010513439.2, XP_019091108.1, XP_019098621.1, XP_010500071.1, XP_019100885.1	Ag015G2253200
OG0002310	XP_010437070.1, XP_010455445.1	Ag021G2604400
OG0002311	XP_019087922.1, XP_010434235.1, XP_019088961.1, XP_010448545.1, XP_010433751.1, XP_019088264.1, XP_010448537.1, XP_010438999.1, XP_010448539.1, XP_019089589.1	Ag003G0415000
OG0002312	XP_010494948.1, XP_010481350.1, XP_010441489.1	Ag037G4130700, Ag016G2322100
OG0002313	XP_010486203.1, XP_010464261.1, XP_010444366.1	Ag014G1861000
OG0002314	XP_010502987.1, XP_010425764.1, XP_010514668.1	Ag014G1900100, Ag014G1900000
OG0002315	XP_010487657.1, XP_010465820.1, XP_010505667.1	Ag014G2063000
OG0002316	XP_010500369.1, XP_010479266.1	Ag025G2935600
OG0002316	XP_010465835.1, XP_010487672.1, XP_010505870.1	Ag014G2065000
OG0002317	XP_010506007.1, XP_010487683.1, XP_010465844.1	Ag014G2067600
OG0002318	XP_010487746.1, XP_019092122.1, XP_019102516.1	Ag014G2079900
OG0002318	XP_010479307.1, XP_010461706.1, XP_010500419.1	Ag025G2944100
OG0002319	XP_019099868.1	Ag014G2131800
OG0002320	XP_010479747.1, XP_010457078.1, XP_010474803.1	Ag034G3654500
OG0002321	XP_010457083.1, XP_019094355.1, XP_019098071.1	Ag034G3655000
OG0002321	XP_010427322.1	Ag019G2529300
OG0002322	XP_010427031.1, XP_010456286.1, XP_010419590.1	Ag019G2532600
OG0002322	XP_010479896.1, XP_010457089.1	Ag034G3655700
OG0002323	XP_010474667.1, XP_010481058.1, XP_010457237.2	Ag034G3670800
OG0002324	XP_019094752.1, XP_019098885.1, XP_019091363.1, XP_019094751.1, XP_010487504.1, XP_019091364.1	Ag034G3742700, Ag034G3742500
OG0002325	XP_010489512.1, XP_010475706.1, XP_010458156.1	Ag034G3761700
OG0002326	XP_010475895.1, XP_010490965.1, XP_010458379.1	Ag034G3786700
OG0002326	XP_010470205.1, XP_010511032.1, XP_010414661.1	Ag002G0249500
OG0002327	XP_010476507.1, XP_010458954.1	Ag034G3865700
OG0002328	XP_010459160.1, XP_010476727.1	Ag034G3899600
OG0002329	XP_010476737.1, XP_010497767.1, XP_019091288.1, XP_019093440.1, XP_010417617.1, XP_010429841.1	Ag034G3900700
OG0002330	XP_010476902.1, XP_010498100.1, XP_019091970.1	Ag034G3924300
OG0002330	XP_010471297.1, XP_010416028.1, XP_010428155.1	Ag018G2436500
OG0002331	XP_019093343.1	Ag025G2942400, Ag018G2444800
OG0002332	XP_010459523.1, XP_010477077.1, XP_010501519.1	Ag034G3953200
OG0002333	XP_010477512.1, XP_010460009.1, XP_010498724.1	Ag034G4022700
OG0002334	XP_010477691.1, XP_010460163.1, XP_010498895.1	Ag018G2462100
OG0002334	XP_010415706.1, XP_010471024.1, XP_010427800.1	Ag034G4066400
OG0002335	XP_010460207.1, XP_010498954.1, XP_010477749.1	Ag018G2467900
OG0002335	XP_010512071.1, XP_010415671.1, XP_010471000.1	Ag034G4072400
OG0002336	XP_010473443.1, XP_010418208.1, XP_010430269.1	Ag002G0187700
OG0002337	XP_010510986.1, XP_010414621.1, XP_010470168.1, XP_010510987.1, XP_010470169.1, XP_010414623.1	Ag002G0245800
OG0002338	XP_010481310.1, XP_010494993.1, XP_010441439.1	Ag016G2332300
OG0002340	XP_010437573.1, XP_010432382.1, XP_010447041.1	Ag011G1147900
OG0002341	XP_010447220.1, XP_010432541.1, XP_019087297.1, XP_010444985.1, XP_010444986.1, XP_010437745.1	Ag011G1203200
OG0002342	XP_019088717.1, XP_010432474.1, XP_010447158.1	Ag011G1220400
OG0002343	XP_010438020.1, XP_010432844.1, XP_010447519.1	Ag011G1248200
OG0002344	XP_010438021.1, XP_010447518.1, XP_010432845.1	Ag011G1248300
OG0002345	XP_010417177.1, XP_010417183.1, XP_010429399.1, XP_010472435.1, XP_019083742.1, XP_010438094.1, XP_010432913.1, XP_010447630.1	Ag011G1266100
OG0002346	XP_010448232.1, XP_010438716.1, XP_010433462.1	Ag010G1002600
OG0002352	XP_010447720.1, XP_010438180.1, XP_010432988.1, XP_010436326.1, XP_010451104.2, XP_010438179.1	Ag046G4528400, Ag047G4539200
OG0002353	XP_010453929.1, XP_010420453.1, XP_010492691.2	Ag013G1364900
OG0002353	XP_019099050.1, XP_010463779.1, XP_010485664.1	Ag014G1798400
OG0002354	XP_010453886.1, XP_010420414.1, XP_010492638.1	Ag013G1372100
OG0002354	XP_010506605.1, XP_010463760.1, XP_010485647.1	Ag014G1796200
OG0002355	XP_010424133.1, XP_010453885.1, XP_010492637.1, XP_010420413.1	Ag013G1372200
OG0002356	XP_010492579.1, XP_010420366.1, XP_010453828.1	Ag013G1382800
OG0002357	XP_010452298.1, XP_010490903.1, XP_010423636.1	Ag022G2740100
OG0002358	XP_010451879.1	Ag014G1777500
OG0002358	XP_010420222.1	Ag013G1410700
OG0002359	XP_010492365.1, XP_019083821.1	Ag013G1416700
OG0002359	XP_019096620.1, XP_010463577.1	Ag014G1774200
OG0002360	XP_010460477.1, XP_010499190.1	Ag013G1478000
OG0002361	XP_010454834.1, XP_010493758.1	Ag004G0538500
OG0002361	XP_010491779.1, XP_010453126.1, XP_010419646.1	Ag013G1515000
OG0002362	XP_010484281.1, XP_010444440.1	Ag004G0447100
OG0002362	XP_010491636.1, XP_010422923.1, XP_010453001.1	Ag013G1535900
OG0002363	XP_010423046.1, XP_010491506.1, XP_010452877.1	Ag013G1551300
OG0002363	XP_010484120.1, XP_010460858.1, XP_010444281.1	Ag004G0465200
OG0002364	XP_010454648.1, XP_010493480.1	Ag004G0516800
OG0002364	XP_010491489.1	Ag013G1553600
OG0002365	XP_010491415.1, XP_010491414.1, XP_010423156.1, XP_010452762.1, XP_010452761.1, XP_010423155.1	Ag013G1562800
OG0002366	XP_010422528.1, XP_010430455.1	Ag013G1571200
OG0002367	XP_019101451.1, XP_010414412.1	Ag013G1615200, Ag013G1615100
OG0002368	XP_010457592.1, XP_010475188.1	Ag034G3709300
OG0002368	XP_010469585.1, XP_010413993.1, XP_010510015.1	Ag013G1662000, Ag013G1662200
OG0002369	XP_010481836.1, XP_010441996.1	Ag013G1681700
OG0002369	XP_010457462.2, XP_010475074.1	Ag034G3695900
OG0002370	XP_010481807.2, XP_010441966.2	Ag013G1684300
OG0002370	XP_010475059.1	Ag034G3695100
OG0002371	XP_010441914.1, XP_010481767.1, XP_010494425.1	Ag013G1689100
OG0002372	XP_010448389.1, XP_010433598.1, XP_010438841.1, XP_010448394.1, XP_010438844.1, XP_010433604.1	Ag013G1700200, Ag013G1700000
OG0002373	XP_019100862.1	Ag034G3676400
OG0002373	XP_019100861.1, XP_019100860.1	Ag013G1731800, Ag034G3676500
OG0002374	XP_010499661.1, XP_010478554.1, XP_010460914.1	Ag013G1754300
OG0002375	XP_010502381.1, XP_010425159.1, XP_010425148.1, XP_010502368.1, XP_010514126.1	Ag062G5063900
OG0002377	XP_019097191.1, XP_010454429.1, XP_010420958.1	Ag004G0582200
OG0002378	XP_010514767.1, XP_010503080.1, XP_010425841.1, XP_010421015.1, XP_010493301.1, XP_010454490.1	Ag004G0590700
OG0002379	XP_010426127.1, XP_010503300.1, XP_010515008.1, XP_010483535.1, XP_010443664.1, XP_010454720.1	Ag004G0651100
OG0002380	XP_010438032.1, XP_010447502.1	Ag011G1251800
OG0002380	XP_010451794.1, XP_010443380.1, XP_010483206.1	Ag004G0699500
OG0002381	XP_010482984.1, XP_010443166.1, XP_010449567.1, XP_010438710.1, XP_010433452.1, XP_010448225.1	Ag004G0741300
OG0002382	XP_010448429.1, XP_010443040.1, XP_010482869.1, XP_010448164.1, XP_010433392.1, XP_010438645.1	Ag004G0757500
OG0002383	XP_010438615.1, XP_010448134.1, XP_010433367.1	Ag010G1009600
OG0002383	XP_010482828.1, XP_010442995.1	Ag004G0780400
OG0002386	XP_019092123.1, XP_010486076.1	Ag014G1914800, Ag014G1914900
OG0002386	XP_010490980.1, XP_010423551.1, XP_010452364.1	Ag022G2728900
OG0002387	XP_010423637.1, XP_010452296.1, XP_010490902.1	Ag022G2740200, Ag015G2239000
OG0002388	XP_010441331.1, XP_010447780.1, XP_010436115.1	Ag075G5302400
OG0002388	XP_010473675.1, XP_010418473.1, XP_010430539.1	Ag024G2864000
OG0002389	XP_010476784.1, XP_010459213.1, XP_010497993.1	Ag034G3905200
OG0002389	XP_010429772.1	Ag048G4593300
OG0002390	XP_010428844.1, XP_010416714.1, XP_010471958.1	Ag048G4633600
OG0002391	XP_010471918.1, XP_010428806.1, XP_010416665.1	Ag048G4642700
OG0002391	XP_010496322.1, XP_010459876.1, XP_019095425.1	Ag034G4007100
OG0002392	XP_010471775.1	Ag048G4672800
OG0002392	XP_010459738.1, XP_010498487.1, XP_010477297.1	Ag034G3983300
OG0002393	XP_010432260.1, XP_010446908.1, XP_019087280.1	Ag011G1122300
OG0002393	XP_010514804.1, XP_010467531.1, XP_010489389.1	Ag040G4340900
OG0002394	XP_010446831.1	Ag011G1107100
OG0002394	XP_010489433.1, XP_019092374.1	Ag040G4352700
OG0002395	XP_010465108.1, XP_010499897.1, XP_010487050.1	Ag014G1959900
OG0002395	XP_010481201.1, XP_010449744.1, XP_010462468.1, XP_010501230.1	Ag032G3423800
OG0002396	XP_010465239.1, XP_010501142.1, XP_010487147.1	Ag014G1973700
OG0002396	XP_010462357.1, XP_010480032.1, XP_010501120.1	Ag032G3442100
OG0002397	XP_010465273.1, XP_010501473.1, XP_010487180.1	Ag014G1977900
OG0002397	XP_010462328.1	Ag032G3446800
OG0002398	XP_010462202.1, XP_010500961.1, XP_010479877.1	Ag032G3471200, Ag014G2004200
OG0002399	XP_010516847.1, XP_019091991.1, XP_010489202.1	Ag044G4491600
OG0002399	XP_010447066.1, XP_010437604.1, XP_010437603.1, XP_010432404.1	Ag032G3471500
OG0002401	XP_010516836.1, XP_010505156.1, XP_010509497.1	Ag054G4883200
OG0002401	XP_010515749.1, XP_010426896.1, XP_010504020.1	Ag031G3411600
OG0002402	XP_010435332.1	Ag007G0868100
OG0002403	XP_010497055.1, XP_010513796.1, XP_019098538.1, XP_010488603.1, XP_019092296.1	Ag029G3102000
OG0002404	XP_010450192.1	Ag007G0884300, Ag034G4023200
OG0002405	XP_010435198.1	Ag007G0890000
OG0002406	XP_010440408.1, XP_010450005.1, XP_010435081.1, XP_010440409.1, XP_010435085.1	Ag007G0905200
OG0002407	XP_010449972.1, XP_010435049.1	Ag007G0911200
OG0002407	XP_010511345.1, XP_010466522.1	Ag027G3037600
