Orthogroup	Camelina_sativa	Arabidopsis_lyrata_NCBI
OG0002659	XP_010513156.1, XP_010418727.1	XP_020885038.1
OG0002659	XP_010481161.1, XP_010463431.1, XP_010501991.1	XP_002894412.2
OG0002660	XP_010435610.1, XP_010440882.1, XP_010450528.1	XP_020873886.1
OG0002660	XP_010415171.1, XP_010470502.1, XP_010511553.1	XP_020890184.1
OG0002661	XP_010494115.1, XP_010494119.1, XP_010494118.1, XP_010455206.2, XP_010421708.1	XP_020876658.1, XP_020876655.1
OG0002662	XP_010428585.1, XP_010422702.1, XP_010456138.1	XP_002874967.1
OG0002663	XP_010474940.1, XP_010457326.2, XP_010481702.1	XP_020879812.1
OG0002663	XP_010483190.1, XP_010475063.1, XP_010457449.1	XP_020869288.1
OG0002664	XP_010457939.1, XP_010487643.1, XP_010475516.1	XP_020886019.1, XP_020886216.1
OG0002665	XP_010490222.1, XP_010475806.1, XP_010458262.1	XP_002889763.1
OG0002665	XP_010511353.1	XP_020868778.1
OG0002666	XP_010490656.1, XP_010458341.1	XP_020870947.1
OG0002666	XP_019083138.1, XP_010470242.1	XP_002888209.1
OG0002667	XP_010418026.1, XP_010473261.1, XP_010510904.1	XP_020890085.1
OG0002667	XP_010458429.1, XP_010491737.1, XP_010475944.1	XP_020870795.1
OG0002668	XP_010476053.1, XP_010458532.1	XP_020866044.1
OG0002669	XP_010479531.1, XP_010474828.1	XP_020869394.1
OG0002669	XP_010501432.2, XP_010476115.1	XP_002889895.2
OG0002670	XP_019090989.1, XP_010495624.1, XP_010476413.1	XP_020869223.1
OG0002670	XP_010514117.1, XP_010425141.1, XP_010502360.1	XP_002875206.1
OG0002671	XP_010480469.2, XP_010458886.1	XP_020866788.1
OG0002671	XP_010495755.1, XP_010458887.1	XP_002890039.2
OG0002672	XP_010502135.1, XP_010513882.1, XP_010424927.1	XP_020880046.1
OG0002672	XP_010476569.1, XP_010459010.1, XP_010496659.1	XP_020869342.1
OG0002673	XP_010476594.1, XP_019099009.1	XP_002890092.1
OG0002673	XP_010496890.1, XP_010459036.1, XP_010476597.1	XP_020867013.1
OG0002674	XP_010498045.1, XP_010459265.1, XP_010476839.1	XP_002868726.1
OG0002674	XP_010428979.1, XP_010416827.1, XP_010472067.1	XP_002889194.1
OG0002675	XP_010415988.1, XP_010471271.1, XP_010428124.1	XP_002888873.2
OG0002675	XP_010498078.1, XP_010476879.1	XP_020867935.1
OG0002677	XP_010509616.1, XP_010505049.1	XP_002879550.2
OG0002677	XP_019088988.1, XP_010436913.1, XP_010431747.1	XP_020872526.1
OG0002678	XP_010419253.1, XP_010429007.1, XP_010472091.1	XP_020885496.1
OG0002678	XP_010436974.1, XP_010446391.1, XP_010431822.1	XP_020874403.1
OG0002679	XP_010431972.1, XP_010437117.1, XP_010446560.1	XP_020874967.1
OG0002679	XP_010429152.2, XP_010416992.1	XP_020883414.1
OG0002680	XP_010429225.1	XP_020883572.1
OG0002680	XP_010446639.1, XP_010437198.1	XP_020874666.1
OG0002681	XP_010447057.1, XP_010437590.1	XP_002867112.1
OG0002681	XP_010467360.1, XP_010489210.1, XP_010516792.1	XP_020888549.1
OG0002682	XP_010447078.1, XP_010432412.1, XP_010437613.1	XP_020875581.1
OG0002682	XP_010467348.1	XP_002884158.1
OG0002683	XP_010437653.1, XP_010432446.1, XP_010447118.1	XP_002867127.1
OG0002683	XP_010488951.1, XP_010518114.1, XP_010467291.1	XP_020889356.1
OG0002684	XP_010472572.1, XP_010417332.1	XP_020885037.1
OG0002685	XP_010472621.1, XP_010429610.1, XP_010417372.1	XP_020883197.1
OG0002685	XP_010447316.1, XP_010432633.1, XP_010437829.1	XP_020874652.1
OG0002686	XP_010437726.1, XP_010447203.1	XP_020872095.1
OG0002687	XP_010488907.1, XP_010496773.1	XP_002885933.1
OG0002687	XP_010437713.1, XP_010447188.1	XP_002867155.1
OG0002687	XP_019089277.1	XP_002867154.1
OG0002688	XP_010429502.1, XP_010472512.1, XP_010417265.1	XP_002878824.1
OG0002688	XP_010447481.1, XP_010432805.1, XP_019087305.1, XP_010497277.1	XP_020872107.1
OG0002689	XP_010468744.1	XP_020882002.1, XP_020871812.1, XP_020871879.1
OG0002690	XP_010460473.1, XP_010478037.1, XP_019095586.1, XP_010460500.1, XP_010478079.1	XP_020867292.1, XP_020868725.1
OG0002692	XP_019097503.1, XP_019089497.1	XP_020890809.1
OG0002693	XP_010502030.1, XP_019090809.1	XP_020868873.1
OG0002693	XP_019088225.1	XP_020873022.1
OG0002694	XP_019082577.1, XP_019100957.1, XP_010470829.1, XP_019101875.1, XP_019086283.1, XP_019087446.1, XP_019087445.1, XP_019089156.1, XP_019084806.1	XP_020890336.1, XP_002888172.1, XP_020890320.1
OG0002695	XP_010464428.1, XP_010486357.1, XP_010486356.1, XP_010458380.1, XP_010458261.1	XP_020871509.1, XP_002885005.1, XP_002884670.1
OG0002696	XP_010424550.1	XP_002872633.1, XP_020877187.1, XP_020877712.1
OG0002697	XP_019101113.1	XP_020882517.1
OG0002697	XP_010511238.1, XP_010414942.1, XP_010426438.1, XP_010426439.1, XP_010515275.1	XP_002863952.2, XP_002877659.1
OG0002697	XP_019086459.1, XP_019089419.1	XP_002877662.1
OG0002698	XP_019091853.1, XP_019096509.1	XP_020875087.1
OG0002698	XP_010475394.1, XP_010448026.1, XP_010445738.1, XP_010502123.1	XP_020874992.1
OG0002698	XP_019087536.1, XP_019086630.1, XP_010436888.1	XP_020875437.1, XP_020872052.1
OG0002698	XP_010436887.1	XP_020875096.1
OG0002699	XP_010442692.1, XP_019095811.1, XP_010443997.1	XP_002865878.1
OG0002699	XP_010482531.1, XP_019087845.1, XP_010444025.1	XP_002862377.1, XP_020872012.1
OG0002700	XP_010485072.1, XP_010473696.1	XP_002865896.1
OG0002700	XP_019087627.1, XP_019095849.1	XP_020880579.1
OG0002700	XP_019095619.1, XP_010444507.1, XP_019087629.1	XP_002865898.2
OG0002705	XP_010448161.1, XP_010433386.1, XP_010438641.1	XP_002867515.2
OG0002705	XP_010482854.1, XP_010448212.1, XP_010443023.1	XP_020870903.1
OG0002706	XP_019084691.1, XP_010456563.1, XP_010495257.1	XP_020877780.1
OG0002706	XP_010453976.1, XP_019090055.1, XP_010420502.1, XP_010492739.1	XP_020877787.1
OG0002706	XP_010420503.2, XP_010495258.1, XP_010456564.1	XP_020877785.1
OG0002707	XP_010467373.1, XP_010516721.1, XP_010489216.1	XP_020888515.1
OG0002708	XP_010453626.1, XP_010492317.1	XP_020878026.1
OG0002708	XP_010485503.1, XP_010501826.1, XP_010463536.1	XP_020885968.1
OG0002710	XP_010419787.1, XP_010497742.2, XP_010491959.1, XP_010453267.1, XP_010470518.1, XP_010511468.1	XP_020879378.1
OG0002711	XP_010422948.1, XP_010452970.1, XP_010491612.1	XP_002873419.1
OG0002711	XP_010462944.1, XP_010444398.1, XP_010484246.1	XP_002866625.1
OG0002712	XP_019089443.1, XP_019089271.1	XP_020874849.1
OG0002712	XP_010515390.1	XP_020879684.1
OG0002713	XP_010423039.1, XP_010452878.1, XP_010491513.1	XP_020877933.1
OG0002714	XP_010483816.1, XP_019093327.1	XP_020884092.1
OG0002714	XP_010491384.1, XP_019090474.1, XP_010423182.1	XP_020877425.1
OG0002715	XP_010417912.1, XP_010473150.1, XP_010510756.1	XP_002880982.1
OG0002716	XP_010510738.1, XP_010510744.1, XP_010417919.1, XP_010473164.1, XP_010473159.1	XP_002880973.1, XP_020884688.1, XP_002880972.1
OG0002717	XP_010469687.1	XP_002881188.1
OG0002717	XP_010485339.1, XP_010475301.1, XP_010457681.1	XP_002889568.1
OG0002718	XP_010483898.1, XP_010475112.1, XP_010457500.1	XP_020868054.1
OG0002718	XP_010413888.1, XP_010469492.1, XP_010509904.1	XP_020883115.1
OG0002719	XP_010452157.1, XP_010423793.1, XP_010490763.1	XP_002873069.1
OG0002719	XP_010441992.1, XP_019095993.1, XP_010495648.1	XP_020871048.1, XP_020874921.1
OG0002720	XP_010438869.1, XP_010448416.1, XP_010433622.1	XP_020873315.1
OG0002720	XP_010433623.1, XP_010448417.1	XP_002869669.1
OG0002721	XP_010479152.1, XP_010461546.1, XP_010500273.1	XP_020869274.1
OG0002721	XP_010494212.1, XP_010481964.1, XP_010442131.1	XP_020870574.1
OG0002723	XP_010504923.1, XP_010509734.1	XP_020882792.1
OG0002723	XP_010478385.1	XP_020868055.1
OG0002724	XP_010460913.1, XP_010478555.1, XP_010499663.1	XP_020866098.1
OG0002724	XP_010509669.1, XP_019100450.1	XP_020884508.1
OG0002725	XP_010468983.1, XP_010413305.1, XP_010512599.1	XP_002876662.1
OG0002726	XP_010432734.1, XP_010437919.1	XP_020872451.1
OG0002726	XP_010421388.1, XP_010493791.1	XP_020879032.1
OG0002727	XP_010420928.1, XP_010493195.1	XP_002874016.1
OG0002728	XP_010425942.1, XP_010514861.1, XP_010503169.1	XP_020882415.1
OG0002728	XP_010483718.1, XP_010443870.1, XP_010456667.1	XP_002864697.1
OG0002729	XP_010425984.1, XP_010503178.1	XP_020881742.1
OG0002729	XP_010456153.1, XP_010483669.1	XP_002866377.2
OG0002730	XP_010450013.1, XP_010450010.1, XP_010450012.1, XP_010450011.1, XP_010440410.1, XP_010435089.1, XP_010435087.1, XP_010440411.1, XP_010440412.1, XP_010435090.1, XP_010440414.1, XP_010450014.1	XP_020875728.1
OG0002731	XP_010443243.1, XP_010450585.1, XP_010483072.1	XP_002864427.1
OG0002731	XP_010448256.1, XP_010438738.1, XP_010433485.1	XP_002867561.1
OG0002732	XP_019099697.1, XP_019085830.1	XP_020881543.1
OG0002732	XP_010515262.1, XP_010426433.1, XP_010503571.1	XP_020882163.1
OG0002733	XP_019097235.1, XP_010423243.1	XP_002873299.1
OG0002733	XP_010444058.1, XP_010483915.1	XP_020871539.1
OG0002734	XP_010486834.1, XP_010464906.1, XP_010497727.1	XP_020872156.1, XP_002884856.1
OG0002735	XP_010505755.1, XP_010517447.1, XP_010508884.1	XP_020883883.1
OG0002735	XP_010423469.1, XP_010491080.1, XP_010452450.1	XP_002871162.1
OG0002736	XP_010423512.1, XP_010491027.1	XP_020875948.1
OG0002736	XP_010418644.1, XP_010486686.2	XP_002882691.1
OG0002737	XP_010452241.1, XP_010490852.1, XP_010423687.1	XP_020879581.1
OG0002738	XP_010448003.1, XP_010438482.1, XP_010433242.1	XP_020875578.1
OG0002738	XP_010489005.1, XP_010467781.1	XP_002886298.1
OG0002740	XP_010466814.1, XP_010464514.1, XP_010486443.1	XP_020886044.1
OG0002741	XP_010476813.1, XP_010459232.1, XP_019095320.1	XP_020868124.1
OG0002741	XP_010417498.1, XP_010472720.1, XP_010429749.1	XP_002889218.1
OG0002742	XP_010467509.1	XP_020889439.1
OG0002743	XP_010438643.1	XP_020873380.1
OG0002743	XP_019091885.1	XP_002866046.1
OG0002744	XP_010465267.2, XP_010487170.1	XP_002882859.1
OG0002744	XP_010501105.1, XP_010462342.1, XP_019095245.1	XP_002894485.1
OG0002745	XP_010462238.1, XP_010479906.1, XP_010500988.1	XP_020867153.1
OG0002745	XP_010502183.1, XP_010465398.1	XP_020888806.1
OG0002746	XP_010489840.1, XP_010465472.1	XP_020887173.1
OG0002746	XP_010500950.1, XP_010462183.1, XP_010479862.1	XP_020867138.1
OG0002747	XP_010425852.1, XP_010412520.1	XP_020881494.1
OG0002747	XP_010437878.1, XP_010437879.1	XP_020872744.1
OG0002748	XP_010442440.1, XP_010441006.1, XP_010482261.1	XP_020879819.1
OG0002748	XP_010439007.1, XP_010433749.1	XP_020873699.1
OG0002749	XP_010481086.1	XP_002892603.1
OG0002749	XP_010495831.1, XP_010450162.1, XP_010435225.1, XP_010496964.1	XP_002868338.1
OG0002750	XP_010470475.1, XP_010511525.1, XP_010415143.1, XP_010474118.2	XP_020891303.1
OG0002751	XP_019098146.1, XP_010435045.1, XP_019087430.1, XP_010449952.1	XP_020873071.1
OG0002752	XP_010466418.1, XP_010510456.1	XP_002885457.1
OG0002752	XP_010449943.1, XP_010434994.1, XP_010440316.1	XP_020875504.1
OG0002753	XP_010470542.1, XP_010511495.1	XP_002888527.1
OG0002753	XP_010496735.1, XP_010474151.1	XP_002888526.1
OG0002754	XP_010465685.1, XP_010487527.1	XP_020889103.1
OG0002755	XP_010476998.1, XP_010498208.1	XP_020869046.1
OG0002757	XP_010447919.1, XP_010433163.1, XP_010438387.1	XP_002867437.1
OG0002757	XP_010416099.1, XP_010489078.1, XP_010495917.1	XP_020887362.1
OG0002758	XP_010467933.1, XP_010416236.1, XP_010489089.1	XP_020887674.1
OG0002759	XP_010511039.1, XP_010470223.1	XP_002888201.1
OG0002759	XP_010430505.1, XP_010473635.1, XP_010418429.1	XP_020891633.1
OG0002760	XP_019100641.1	XP_002882029.2
OG0002760	XP_010450592.1, XP_010441252.1, XP_010436028.1	XP_020872138.1
OG0002761	XP_010415652.1, XP_010470989.1, XP_010512046.1	XP_020890733.1
OG0002762	XP_010436228.1, XP_010446693.1	XP_002866966.2
OG0002762	XP_010472337.1, XP_010429292.1	XP_020884084.1
OG0002763	XP_010500731.1, XP_010461988.1, XP_010479639.1	XP_020869440.1
OG0002763	XP_010509699.1, XP_010466333.1	XP_020886946.1
OG0002764	XP_010462003.1, XP_010500746.1, XP_010479663.1	XP_002894328.1
OG0002764	XP_010488122.1, XP_010509987.1, XP_010466358.1	XP_020889382.1
OG0002765	XP_010462624.2, XP_010491256.1, XP_010480415.1	XP_002889808.1
OG0002765	XP_010450994.1, XP_010450993.1	XP_020880055.1
OG0002765	XP_010481128.1, XP_010500793.1, XP_010463406.1	XP_002894346.1, XP_002894345.1
OG0002766	XP_010495985.1, XP_010440651.1, XP_010450284.1	XP_002863174.1
OG0002766	XP_010513807.1, XP_010488610.1, XP_019092091.1	XP_020889367.1
OG0002767	XP_010505084.1, XP_010509583.1, XP_010516761.1	XP_002881407.1
OG0002767	XP_010449707.1, XP_010440091.1, XP_010434759.1, XP_019086570.1	XP_020874280.1
OG0002768	XP_010439889.1, XP_010434561.1, XP_010517569.1	XP_020874373.1
OG0002768	XP_010517571.1, XP_010439888.1, XP_010434560.1	XP_020874372.1
OG0002769	XP_010481333.1, XP_010441463.1, XP_010494971.1	XP_020882622.1
OG0002769	XP_010449620.1, XP_010434670.1, XP_010440010.1	XP_020874564.1
OG0002770	XP_010494978.1, XP_010481328.1, XP_010441462.1	XP_020890829.1, XP_020871830.1
OG0002770	XP_010434682.1, XP_010449630.1, XP_010440021.1	XP_002870110.1
OG0002771	XP_010515393.1, XP_010503704.1, XP_010426579.1	XP_002877740.1
OG0002771	XP_010444705.1	XP_020871678.1
OG0002772	XP_010517077.1, XP_010505400.1, XP_010509245.1	XP_002881555.1
OG0002772	XP_010515920.1, XP_019100326.1, XP_010427070.1	XP_020880870.1
OG0002773	XP_010448865.1, XP_010434011.1, XP_010439308.1	XP_020873804.1
OG0002773	XP_010445202.1	XP_020872565.1
OG0002774	XP_019089091.1, XP_019087824.1	XP_020873112.1
OG0002775	XP_010453598.1, XP_010492283.1, XP_010420117.1	XP_002873685.1
OG0002775	XP_010496301.1, XP_010435627.1	XP_002884277.1
OG0002776	XP_010512643.1, XP_010413274.1, XP_010468947.1	XP_020879847.1
OG0002777	XP_010506417.1, XP_010508243.1, XP_010518090.1	XP_002881983.1
OG0002777	XP_010469198.1, XP_010413572.1, XP_010512348.1	XP_020880056.1
OG0002778	XP_019093962.1, XP_010413682.1, XP_019101701.1	XP_002878276.1
OG0002778	XP_019098509.1, XP_010517900.1, XP_010508436.1, XP_010506210.1	XP_020884585.1
OG0002779	XP_010517507.1, XP_010508820.1, XP_010505819.1	XP_020883960.1
OG0002779	XP_019099727.1, XP_010427456.1	XP_020879891.1
OG0002780	XP_010427237.1, XP_010504333.1	XP_020881421.1
OG0002780	XP_010427238.1, XP_010504334.1, XP_010516053.1	XP_002876281.1
OG0002781	XP_010419131.1, XP_010489826.1, XP_010489827.1	XP_002885026.2
OG0002782	XP_010509373.1, XP_010505292.1, XP_010516974.1	XP_020883328.1
OG0002782	XP_010426980.1, XP_010515829.1, XP_010504101.1	XP_002876203.1
OG0002783	XP_010504061.1, XP_010431313.1, XP_010515792.1	XP_002876187.1
OG0002784	XP_010412561.1, XP_010488748.1, XP_010467062.1	XP_002885794.1
OG0002784	XP_010450419.1, XP_010440768.1, XP_010435467.1	XP_020875293.1
OG0002785	XP_010466828.1	XP_002885634.1
OG0002785	XP_010513375.1, XP_010488526.1, XP_010466830.1	XP_020886077.1
OG0002786	XP_019092072.1, XP_019084639.1	XP_002884151.2
OG0002786	XP_010489578.1, XP_019092728.1, XP_019098934.1, XP_019096672.1, XP_019096673.1, XP_019092468.1	XP_020889462.1
OG0002787	XP_010482740.1, XP_019091539.1, XP_010475023.1	XP_002889482.1
OG0002787	XP_010507585.1, XP_010513012.1, XP_010412904.1	XP_002879626.1
OG0002788	XP_010424966.1, XP_010513921.1, XP_010502184.1	XP_020882336.1
OG0002788	XP_010458982.1, XP_010476538.1, XP_010496442.1	XP_020867673.1
OG0002789	XP_010467908.1, XP_010489158.1, XP_010416919.1	XP_020888120.1
OG0002790	XP_010517285.1, XP_019099775.1, XP_019101044.1	XP_002879794.1
OG0002790	XP_010505611.1, XP_010517292.1, XP_010509018.1	XP_020883748.1
OG0002791	XP_010446443.1, XP_010431862.1, XP_010437007.1	XP_020872666.1
OG0002792	XP_010455317.1, XP_010436023.1, XP_010421827.1	XP_002874493.1
OG0002792	XP_010500018.1, XP_010461297.1, XP_010478923.1	XP_020868820.1
OG0002793	XP_010478854.1	XP_020868482.1
OG0002793	XP_010471192.1, XP_010415894.1, XP_010428030.1	XP_002887392.1
OG0002794	XP_010506910.1	XP_002875106.1
OG0002795	XP_010432302.1, XP_010464134.1, XP_010486056.1	XP_020887894.1
OG0002795	XP_010421536.1, XP_010455039.1	XP_002872236.1
OG0002796	XP_010494074.1, XP_010455164.1, XP_010421673.1	XP_020876972.1
OG0002796	XP_010485965.1, XP_010464050.1, XP_010425447.1	XP_002884500.1
OG0002797	XP_010512256.1, XP_019093765.1, XP_019082950.1	XP_002876524.1
OG0002798	XP_010508416.1, XP_019102027.1, XP_010506235.1	XP_020883601.1
OG0002799	XP_010434644.1, XP_010439982.1	XP_002868049.1
OG0002800	XP_010463902.1, XP_019092913.1, XP_019096266.1	XP_020888587.1, XP_020887053.1
OG0002800	XP_019092925.1, XP_010463901.1, XP_019096265.1	XP_020887038.1, XP_020887040.1
OG0002801	XP_010485892.1, XP_010421475.1	XP_020886536.1
OG0002802	XP_019090027.1, XP_010494038.1	XP_020876961.1
OG0002802	XP_010421835.1, XP_010485900.1, XP_010464001.1	XP_020886363.1
OG0002803	XP_019100229.1, XP_010464183.1, XP_010486106.1	XP_020886537.1
OG0002803	XP_010492946.1	XP_020878820.1
OG0002804	XP_010464185.1, XP_010486108.1, XP_010436636.1	XP_002882453.2
OG0002804	XP_010454164.1, XP_010420687.1, XP_010492939.1	XP_020878390.1
OG0002805	XP_010456090.1, XP_010429078.1, XP_010422647.1	XP_002872859.1
OG0002805	XP_019084474.1, XP_010467141.1	XP_002883757.2
OG0002806	XP_010502818.1, XP_010502799.1, XP_010465494.1, XP_010487357.1, XP_010465491.1	XP_002875603.1, XP_020886991.1
OG0002807	XP_010504843.1	XP_020889126.1
OG0002807	XP_010434871.1, XP_010449841.1	XP_002868156.1
OG0002808	XP_010479319.1, XP_010500434.1	XP_002894150.1
OG0002808	XP_010487783.1, XP_010507015.1, XP_010465967.1, XP_010465968.1	XP_020887272.1
OG0002809	XP_010461933.1, XP_010500665.1, XP_010479551.1	XP_002864707.1, XP_020867446.1
OG0002810	XP_010466630.1, XP_010512137.1, XP_010488361.1	XP_020888971.1
OG0002810	XP_010435121.1, XP_010440461.1, XP_010450037.1	XP_002870312.2
OG0002811	XP_010458758.1, XP_010495026.1, XP_010476305.1	XP_002892730.1
OG0002811	XP_010476304.1, XP_019098973.1, XP_010458757.1	XP_020869282.1
OG0002812	XP_010458430.1, XP_010475948.1, XP_010491767.1	XP_020870806.1
OG0002812	XP_010510909.1, XP_010418021.1, XP_010513359.1	XP_002888124.1
OG0002813	XP_010418141.1, XP_010430189.1	XP_002888072.1
OG0002813	XP_010458544.1, XP_010476070.1, XP_010492868.1	XP_002889871.1
OG0002814	XP_010493043.1, XP_010476089.1, XP_010458564.1	XP_020870937.1
OG0002814	XP_019085221.1, XP_010473399.1, XP_010418155.1	XP_020890209.1
OG0002815	XP_019093490.1, XP_010430348.1, XP_010418273.1	XP_020890772.1
OG0002816	XP_019090853.1, XP_019098963.1, XP_019095294.1	XP_020868461.1
OG0002816	XP_019085692.1, XP_019093627.1	XP_002888001.2
OG0002817	XP_019095098.1, XP_019099051.1, XP_019091884.1, XP_019099049.1, XP_010471256.1, XP_010428113.1	XP_020868553.1
OG0002818	XP_010471301.1, XP_010428162.1, XP_010416032.1	XP_002887447.1
OG0002818	XP_010498106.1	XP_002890230.1
OG0002819	XP_010477587.1, XP_010460081.1, XP_010498807.1	XP_020869405.1
OG0002820	XP_019094527.1, XP_019089110.1	XP_002893883.1
OG0002820	XP_019089452.1	XP_002877073.2
OG0002820	XP_019088138.1	XP_002867427.1
OG0002821	XP_010441330.1	XP_020872056.1
OG0002821	XP_010418472.1, XP_010473674.1, XP_010430538.1	XP_002887915.1
OG0002822	XP_019094292.1, XP_019094291.1, XP_019097540.1, XP_019091355.1, XP_019091409.1, XP_019097542.1, XP_010479364.1	XP_020866393.1, XP_002894168.1
OG0002823	XP_010446708.1, XP_019087240.1, XP_010432097.1	XP_020872106.1, XP_020872105.1
OG0002824	XP_010502240.1, XP_010514002.1	XP_002876816.1
OG0002824	XP_010514004.1	XP_002876814.1, XP_002865264.1, XP_020881097.1
OG0002825	XP_010432241.1, XP_010446890.1, XP_010444953.1	XP_002869067.1
OG0002825	XP_010432243.1, XP_010436248.1, XP_010437440.1, XP_010446892.1	XP_002869069.1
OG0002826	XP_019085136.1, XP_010472554.2	XP_020884290.1
OG0002826	XP_019088170.1, XP_010432725.1, XP_010447394.1	XP_020874071.1
OG0002827	XP_010432525.1, XP_010437728.1, XP_010447205.1	XP_020872688.1
OG0002827	XP_010517533.1, XP_010467235.1, XP_010488893.1	XP_020888845.1
OG0002828	XP_010447538.1, XP_010432822.1, XP_010438000.1	XP_002869315.1
OG0002829	XP_010428417.1, XP_010428489.1, XP_010422710.1, XP_010456147.1	XP_020876994.1
OG0002830	XP_010463424.1	XP_002894396.2, XP_020866654.1, XP_002894395.1
OG0002830	XP_019089001.1	XP_020870156.1
OG0002831	XP_010505330.1, XP_010507596.1, XP_019101953.1	XP_020885811.1, XP_002879672.1
OG0002831	XP_010469708.1, XP_010513319.1	XP_020891263.1
OG0002832	XP_010472449.1	XP_002864048.1, XP_020866561.1
OG0002832	XP_010487641.1, XP_010419518.2, XP_010465802.1	XP_020889159.1
OG0002832	XP_010478093.1	XP_020871552.1
OG0002833	XP_010489086.1	XP_020888880.1
OG0002833	XP_019098799.1, XP_010414450.1, XP_019093537.1, XP_019101013.1	XP_020872903.1, XP_020884697.1
OG0002834	XP_010418592.1, XP_010473806.1, XP_010513764.1	XP_020881568.1
OG0002835	XP_010502883.1, XP_019102063.1, XP_010425664.1	XP_020879711.1
OG0002835	XP_010514594.1, XP_010430857.1, XP_010502877.1	XP_002877131.1
OG0002836	XP_019087279.1, XP_010436249.1, XP_010451040.1	XP_002869071.1
OG0002836	XP_019090110.1, XP_019097452.1	XP_020876248.1
OG0002837	XP_010442871.1, XP_010445584.1	XP_002864227.1
OG0002837	XP_010448063.1, XP_010433291.1, XP_010438531.1	XP_002869531.1
OG0002839	XP_010430999.1, XP_010507203.1, XP_010412560.1	XP_002875723.1
OG0002839	XP_010412558.1, XP_010430998.1	XP_002875722.1
OG0002844	XP_010425070.1, XP_010514064.1, XP_010502307.1	XP_002875181.1
OG0002844	XP_010445524.1, XP_010419542.1, XP_010426572.1	XP_020877220.1
OG0002845	XP_010511040.1, XP_010485687.2, XP_010463796.1	XP_002884381.2
OG0002845	XP_010492707.1, XP_010420477.1, XP_010453949.1	XP_002873833.1
OG0002846	XP_010496416.1, XP_010435684.1	XP_002882151.1
OG0002846	XP_010453516.1, XP_010420027.1, XP_010492197.1	XP_020877912.1
OG0002847	XP_010453497.1, XP_010492176.1, XP_010420005.1	XP_002871591.1
OG0002848	XP_019087724.1, XP_019089309.1, XP_019086414.1	XP_020875733.1
OG0002849	XP_019101776.1	XP_020881854.1
OG0002849	XP_019100745.1, XP_010492832.1	XP_020882812.1, XP_020879746.1
OG0002850	XP_010491850.1, XP_010419687.1, XP_010453174.1	XP_002873505.1
OG0002850	XP_010493797.1, XP_010421392.1, XP_019090251.1	XP_002874258.1
OG0002851	XP_010495028.1, XP_019090321.1	XP_002873500.1
OG0002851	XP_010491836.1, XP_010453158.1, XP_019083761.1	XP_002873499.1
OG0002852	XP_010455043.1, XP_010493938.1	XP_002872240.1
OG0002853	XP_010493452.1, XP_010421132.1, XP_010454613.1	XP_002872051.2
OG0002853	XP_010423106.1, XP_010423104.1, XP_010491464.1, XP_010424727.1	XP_020877032.1
OG0002854	XP_010417856.1, XP_010510811.1	XP_020884506.1
OG0002854	XP_010510813.1, XP_010417858.1, XP_010473102.1	XP_020883136.1
OG0002855	XP_010458057.1, XP_010475615.1	XP_002892450.2
OG0002855	XP_010473180.1, XP_010510722.1, XP_010417933.1	XP_002880966.1
OG0002856	XP_010475439.1, XP_010457839.1, XP_010486826.1	XP_020869368.1
OG0002857	XP_010485710.1, XP_010457728.1, XP_010475333.1	XP_020869886.1
OG0002857	XP_010510207.1, XP_010469698.1	XP_002879322.1
OG0002858	XP_010509995.1, XP_010413975.1, XP_010469569.1	XP_002879399.1
OG0002858	XP_010475180.1, XP_010484651.1	XP_020868787.1
OG0002859	XP_010484720.1, XP_010475186.1, XP_010457589.1	XP_002892269.1
OG0002859	XP_010413992.1, XP_010510014.1, XP_010469583.1	XP_020883155.1
OG0002860	XP_010513106.1, XP_010418669.1	XP_002881240.1
OG0002860	XP_010475153.1, XP_019091856.1, XP_010484338.1	XP_020867334.1
OG0002861	XP_010509914.1	XP_002881269.1
OG0002861	XP_010457515.1, XP_010475123.1	XP_020867463.1
OG0002862	XP_010458004.1, XP_010475570.1, XP_010488136.1	XP_020867784.1, XP_002868555.1, XP_020873082.1, XP_020879140.1
OG0002863	XP_010448392.1, XP_010438840.2, XP_010433601.1	XP_020873764.1
OG0002863	XP_010448387.1, XP_010433599.1, XP_010438842.1	XP_020873762.1
OG0002864	XP_010460577.1, XP_010478161.1, XP_010499299.1	XP_002890756.1
OG0002865	XP_010505072.1, XP_010516740.1, XP_010509591.1	XP_020883918.1
OG0002865	XP_010460996.1, XP_010478590.1, XP_010499717.1	XP_002893684.1
OG0002866	XP_010499739.1, XP_010461016.1, XP_010478611.1	XP_002890955.2
OG0002868	XP_019095687.1, XP_010444614.1, XP_010463781.1	XP_020871060.1
OG0002868	XP_010426507.1, XP_010515345.1, XP_010503648.1	XP_020882136.1, XP_020866231.1
OG0002869	XP_010444585.1, XP_010484412.1, XP_010463501.1	XP_020885977.1
OG0002869	XP_010503631.1, XP_010515326.1, XP_010426489.1	XP_002875982.1
OG0002870	XP_019093955.1, XP_019095471.1	XP_002864861.1
OG0002870	XP_010452868.1, XP_010491501.1	XP_002871347.1
OG0002871	XP_010444220.1, XP_010460157.1, XP_010484067.1	XP_020885664.1
OG0002872	XP_019087680.1	XP_020878763.1
OG0002872	XP_010457652.1, XP_010483850.1	XP_002866451.1
OG0002873	XP_010497367.1	XP_020878616.1
OG0002873	XP_010493235.1, XP_010420963.1	XP_020877222.1
OG0002874	XP_010438705.1, XP_010433444.1, XP_010448217.1	XP_002867545.1
